"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","XX%","wFB","wSL","wCT","wCB","wCH","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSI%","pfxSL%","pfxCU%","pfxCH%","pfxvFA","pfxvFC","pfxvSI","pfxvSL","pfxvCU","pfxvCH","pfxFA-X","pfxFC-X","pfxSI-X","pfxSL-X","pfxCU-X","pfxCH-X","pfxFA-Z","pfxFC-Z","pfxSI-Z","pfxSL-Z","pfxCU-Z","pfxCH-Z","pfxwFA","pfxwFC","pfxwSI","pfxwSL","pfxwCU","pfxwCH","pfxwFA/C","pfxwFC/C","pfxwSI/C","pfxwSL/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piFC%","piSI%","piSL%","pivCH","pivCU","pivFA","pivFC","pivSI","pivSL","piCH-X","piCU-X","piFA-X","piFC-X","piSI-X","piSL-X","piCH-Z","piCU-Z","piFA-Z","piFC-Z","piSI-Z","piSL-Z","piwCH","piwCU","piwFA","piwFC","piwSI","piwSL","piwCH/C","piwCU/C","piwFA/C","piwFC/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Cade Povich",30055,"2024-09-27","@MIN",2,2024,"BAL","A",24,1,0,0,1,1,0,0,0,0,0,0,5.2,20,2,0,0,0,1,0,0,1,0,2,3.17647094462574,1.58823547231287,3.17647094462574,2,0,0,4,9,4,1,0,0,0,0.1,0.05,0.05,6.11308908401489,0,0.105263157894737,0.529411824104289,0.117647058823529,1,2.99000917025503,-2.99000917025503,5.39143455545184,0,73.7148634704696,132.280319352112,0.444444444,0.235294117,0.235294117,0.529411764,0.111111111,0,2,3.17647094462574,22,57,79,0.306400030851364,-0.138668030500412,0.445068061351776,2.58899998664856,0.27138364315033,0.996742844581604,1.10366666316986,0.870000004768372,1.62440001964569,1,1,0.264036357402802,0.0433649272083557,0,0,0.55696203,93.65909091,0.10126582,82.125,NA,NA,0.21518987,78.29411765,0.12658228,87.1,NA,2.23848176002502,0.0724043697118759,NA,1.11532187461853,-1.12735903263092,5.08745854551142,0.905054621398449,NA,6.56071690952077,-11.2735903263092,0.40909091,0.82857143,0.59493671,0.77777778,0.93103448,0.87234043,0.44303797,0.75,0.07594937,7,8,2,1,11,5,17,0.41176471,0.47058824,0.11764706,0.05882353,0.64705882,0.29411765,3.41187458985129,69,41.51192,38.63961,44.63175,73.1231,41.3027,80,57.10656,50.36704,60.11631,NA,NA,NA,80,52.57929,79.62949,NA,NA,NA,60.54421,42.33212,67.20464,-0.52966,3.2826,85.28,105.66,95.06,92.58,134.84,126.06,94.42,105.86,96.56,NA,NA,NA,101.62,160.22,147.74,NA,NA,NA,93.5962025316456,117.575696202532,107.901012658228,0.55696203,NA,NA,0.10126582,0.21518987,0.12658228,93.6500022194602,NA,NA,82.0749969482422,78.2470559512868,87.05,5.32925449718129,NA,NA,-5.61859321594238,-4.35222087186926,8.7826042175293,9.70795926180753,NA,NA,-0.842655956745148,-8.12957673914292,4.53266067504883,2.34783061593771,NA,NA,0.0730913765728474,1.16906611993909,-1.13860846683383,5.3359786725857,NA,NA,0.913642207160592,6.87685952905346,-11.3860846683383,0.43243243,0.73809524,0.59493671,0.75,0.93548387,0.87234043,0.53164557,17.60344828,0.12658228,0.21518987,0.55696203,NA,NA,0.10126582,86.9503051757813,78.1357565487132,93.5574063387784,NA,NA,81.9727020263672,8.43468017578125,-5.09968162985409,4.72504945234819,NA,NA,-6.45297384262085,3.47242279052734,-9.56983319450827,8.84901150790128,NA,NA,-2.0464916229248,-1.13860846683383,1.16906611993909,2.34783061593771,NA,NA,0.0730913765728474,-11.3860846683383,6.87685952905346,5.3359786725857,NA,NA,0.913642207160592,0.44444444,0.72093023,0.59493671,0.75,0.93548387,0.87234043,0.5443038,17,89.8581686580882,23.4706851734835,0,0,105.564,6,0.35294118,"2024-09-27",0
"Cade Povich",30055,"2024-09-21","DET",2,2024,"BAL","H",24,0,0,3.6,1,1,0,0,0,0,0,0,5,20,2,2,2,0,3,0,0,0,0,7,12.6,5.4,3.6,2.33333333,0,0,0,6,4,0,0,0,0,0.35,0.15,0.2,4.13109908401489,0,0.117647058823529,1,0.2,0.6,2.1664797782898,1.4335202217102,3.98088986575604,91.6813762919484,52.8952626867303,97.1893956724945,0,0.4,0,0.6,0,0,1,1.8,27,62,89,0.0171400420367718,-0.313860028982162,0.331000089645386,0.334700018167496,0.0359892472624779,0.933799982070923,0.891200006008148,0.870000004768372,0.939999997615814,1,1,0.126797005534172,-0.108441852004655,0,0,0.57303371,92.56862745,0.17977528,83.125,NA,NA,0.13483146,77.83333333,0.11235955,86.1,NA,1.03122889995575,0.0967134162783623,NA,0.474967956542969,-0.514957010746002,2.02201745089363,0.604458851739764,NA,3.95806630452474,-5.14957010746002,0.3,0.67346939,0.50561798,0.75,0.75757576,0.75555556,0.5505618,0.8,0.12359551,3,3,4,0,4,6,10,0.3,0.3,0.4,0,0.4,0.6,3.64178706342479,60,57.97509,48.84952,65.4916,48.22998,42.38136,50.81438,55.29126,55.92953,51.03923,52.65479,57.90797,53.58994,77.02701,59.64664,77.73577,NA,NA,NA,59.20674,52.08658,60.68574,-0.44657,3.40724,74.14,122.74,106.92,111.64,81.54,70.66,108.3,92.74,96.94,108.64,68.98,78.38,120.24,128.68,128.44,NA,NA,NA,107.104494382022,97.858202247191,97.6784269662922,0.43820225,NA,0.13483146,0.17977528,0.13483146,0.11235955,92.6948742988782,NA,91.9500020345052,82.96875,77.8583323160807,86.0799987792969,6.98248995267428,NA,9.92703819274902,-2.87464380264282,-3.9967295328776,9.64837493896484,10.4932196201422,NA,7.14439328511556,3.20541667938232,-8.43986256917318,5.46164093017578,0.774779886007309,NA,0.298134114593267,0.139635898172855,0.521480858325958,-0.512646097689867,1.98661509232643,NA,2.4844509549439,0.872724363580346,4.34567381938299,-5.12646097689867,0.28205128,0.68,0.50561798,0.72727273,0.76470588,0.75555556,0.56179775,17.31884058,0.11235955,0.13483146,0.43820225,NA,0.13483146,0.17977528,86.0499633789063,77.8530680338542,92.7005458733974,NA,91.9451700846354,82.9647827148438,9.27201538085938,-4.78062661488851,6.43329718174079,NA,9.45121892293294,-3.74660801887512,4.22574615478516,-10.0586668650309,9.45477529672476,NA,5.97019577026367,1.73361003398895,-0.512646097689867,0.521480858325958,0.774779886007309,NA,0.298134114593267,0.139635898172855,-5.12646097689867,4.34567381938299,1.98661509232643,NA,2.4844509549439,0.872724363580346,0.28571429,0.64814815,0.50561798,0.7,0.77142857,0.75555556,0.60674157,10,96.1984741210938,28.8847991943359,0,0,101.485,7,0.7,"2024-09-21",0
"Cade Povich",30055,"2024-09-15","@DET",2,2024,"BAL","A",24,0,1,3.6,1,1,0,0,0,0,0,0,5,19,2,2,2,1,2,0,0,0,0,8,14.4,3.6,3.6,4,0,0,3,5,1,2,0,0,0,0.42105263,0.10526316,0.31578947,2.51830525522336,1.8,0.117647058823529,0.8,0.125,0.76923077,3.7664797782898,-0.166479778289795,2.67848818451166,91.6813762919484,93.3447737533481,64.7888072114456,0.6,0.111111111,0.333333333,0.555555555,0.4,0.2,0,0,32,57,89,-0.02412398904562,-0.363236010074615,0.339112043380737,0.400000035762787,0.042194090783596,0.798631608486176,0.782800018787384,0.870000004768372,0.48199999332428,1,1,0.0131577495485544,-0.043364404017625,0,0,0.58426966,92.01923077,0.16853933,82,NA,NA,0.1011236,75.55555556,0.14606742,85.30769231,NA,-0.863919973373413,1.38725936412811,NA,-0.0211254805326462,0.462345719337463,-1.66138456417964,9.24839576085408,NA,-0.234727561473846,3.5565055333651,0.34693878,0.65,0.48314607,0.52941176,0.80769231,0.69767442,0.4494382,0.42105263,0.14606742,6,0,3,3,3,3,9,0.66666667,0,0.33333333,0.33333333,0.33333333,0.33333333,2.72427911308031,57,33.26803,33.08628,41.75994,20,44.92318,20,53.72887,46.2406,58.62044,45.02159,44.09698,61.67236,67.43503,40.12115,77.67971,NA,NA,NA,43.72737,39.09449,53.65182,0.51511,4.84976,76.96,93.52,74.94,104.76,55.06,47.6,93,112.28,102.36,113.94,93.48,98.44,102.76,110.22,114.62,NA,NA,NA,96.7851685393258,100.448988764045,94.2669662921348,0.42696629,NA,0.15730337,0.16853933,0.1011236,0.14606742,91.9236867804276,NA,92.0071411132812,81.9200032552083,75.477776421441,85.2846116286058,5.40785940069901,NA,8.97939573015485,-5.10950673421224,-6.42109468248155,7.61615518423227,9.41066059313322,NA,6.24941199166434,0.639905675252279,-8.90355851915148,4.25951502873347,-1.04918741807342,NA,0.186375495046377,1.42620076984167,-0.0225558057427406,0.466506455093622,-2.76101952124583,NA,1.33125353604555,9.50800513227781,-0.250620063808229,3.58851119302786,0.23076923,0.68,0.48314607,0.44444444,0.76470588,0.69767442,0.56179775,16.7761194,0.14606742,0.1011236,0.42696629,NA,0.15730337,0.16853933,85.4911452073317,75.6828342013889,92.1608693976151,NA,92.2456316266741,82.1184895833333,7.96819070669321,-6.11927244398329,5.38399465460526,NA,8.9917847769601,-5.21755676269531,2.99053808358999,-10.3053190443251,8.2478461014597,NA,4.89616557529994,-0.886855761210124,0.466506455093622,-0.0225558057427406,-1.04918741807342,NA,0.186375495046377,1.42620076984167,3.58851119302786,-0.250620063808229,-2.76101952124583,NA,1.33125353604555,9.50800513227781,0.25,0.67346939,0.48314607,0.4,0.78787879,0.69767442,0.5505618,9,84.2185601128472,27.8117031521267,1,0.11111111,109.189,2,0.22222222,"2024-09-15",0
"Cade Povich",30055,"2024-09-09","@BOS",2,2024,"BAL","A",24,0,1,7.71428676527388,1,1,0,0,0,0,0,0,4.2,21,5,4,4,2,2,0,0,0,0,5,9.64285845659235,3.85714338263694,9.64285845659235,2.5,0.166666666,0,6,5,3,0,1,0,0,0.23809524,0.0952381,0.14285714,4.14525062469826,3.85714338263694,0.263157894736842,1.50000020435881,0.25,0.71428571,7.88076613484605,-0.166479369572175,3.9293460317455,196.460118819742,197.357818447571,95.9071103548924,1.2,0.214285714,0.428571428,0.357142857,0,0.4,2,3.85714338263694,30,46,76,-0.186704039573669,-0.438935935497284,0.252231895923615,-1.51200008392334,-0.145664736628532,0.747276186943054,0.811760008335114,0.920000016689301,0.583599984645844,1,1,-0.203027620911598,-0.0468184772725757,0,0,0.47368421,92.52777778,0.21052632,82.625,NA,NA,0.21052632,75.9375,0.10526316,85.875,NA,-0.838826715946198,0.551173448562622,NA,-0.417133718729019,-1.11470127105713,-2.33007421096166,3.44483405351639,NA,-2.60708574205637,-13.9337658882141,0.26190476,0.70588235,0.46052632,0.72727273,0.58333333,0.62857143,0.44736842,0.42857143,0.17105263,7,6,1,1,7,6,14,0.5,0.42857143,0.07142857,0.07142857,0.5,0.42857143,8.15180189834907,34,54.77324,37.24613,60.78194,25.23576,48.33191,29.10443,58.30919,51.71793,56.7682,30.33459,50.88469,30.91223,69.24365,51.15049,61.89394,NA,NA,NA,50.35132,46.79751,49.761,0.10358,4.23246,79.54,99.86,84.5,90,75.68,71.28,94.36,106.16,103.06,111.78,49.36,71.72,111.02,130.72,135.56,NA,NA,NA,96.5355263157895,100.513684210526,99.196052631579,0.39473684,NA,0.07894737,0.21052632,0.21052632,0.10526316,92.5666666666667,NA,91.8833312988281,82.5374984741211,75.9250030517578,85.875,6.45259145100911,NA,9.34536298116048,-4.39064073562622,-6.05365419387817,9.12994289398193,9.5722412109375,NA,6.52501678466797,2.44767737388611,-8.80728816986084,4.67305469512939,-1.27750604599714,NA,0.485259085893631,0.59703167527914,-0.428192418068647,-1.11200027540326,-4.25835348665714,NA,8.08765143156052,3.73144797049463,-2.67620261292905,-13.9000034425408,0.19444444,0.7,0.46052632,0.71428571,0.60714286,0.62857143,0.52631579,17.76363636,0.10526316,0.21052632,0.40789474,NA,0.06578947,0.21052632,86.0738906860352,76.1228561401367,92.8200526083669,NA,91.6925598144531,82.7097396850586,8.60827732086182,-6.89778327941895,5.81718986265121,NA,9.08960800170899,-5.27604293823242,3.60214757919312,-10.1670427322388,8.80277670583417,NA,5.36579818725586,1.3673597574234,-1.11200027540326,-0.428192418068647,-1.09777941554785,NA,0.305532455444336,0.59703167527914,-13.9000034425408,-2.67620261292905,-3.54122392112209,NA,6.11064910888672,3.73144797049463,0.18918919,0.71794872,0.46052632,0.71428571,0.60714286,0.62857143,0.51315789,14,89.8004673549107,8.26491383143834,2,0.14285714,110.012,5,0.35714286,"2024-09-09",0
"Cade Povich",30055,"2024-09-03","CHW",2,2024,"BAL","H",24,1,0,0,1,1,1,0,0,0,0,0,7.1,27,5,0,0,0,0,0,0,0,0,10,12.2727278047357,0,6.13636390236785,10,0.25,0,8,6,2,0,2,1,0,0.37037037,0,0.37037037,1.85312552066498,0,0.185185185185185,0.681818211374205,0.294117647058824,1,0.439206932792974,-0.439206932792974,1.67630477332852,0,9.22817388736017,39.8569196564399,1.333333333,0.125,0.5,0.375,0,0,9,11.0454550242621,28,70,98,0.115359984338284,-0.0520399697124958,0.16739995777607,3.24270009994507,0.348677426576614,0.260857135057449,0.284249991178513,0.870000004768372,0.00999999977648258,1,1,0.310425579547882,0.131808765749506,0,0,0.46938776,92.47826087,0.17346939,82.35294118,NA,NA,0.24489796,76.70833333,0.1122449,86,NA,0.720812141895294,0.252879410982132,NA,0.286222219467163,0.866705775260925,1.56698291716368,1.48752594695372,NA,1.19259258111318,7.87914341146296,0.35849057,0.57777778,0.45918367,0.52631579,0.92307692,0.75555556,0.45918367,0.74074074,0.1122449,6,9,2,3,9,5,17,0.35294118,0.52941176,0.11764706,0.17647059,0.52941176,0.29411765,0.276028573053891,83,50.23831,41.91439,54.47201,67.47698,45.74777,71.2271,80,58.5496,80,50.87177,74.86037,60.01876,52.2392,54.40537,42.51229,NA,NA,NA,68.79361,51.88968,70.62377,-1.04217,2.51384,83.92,106.32,84.3,104.9,112.88,105.72,103.06,136.08,140.58,123.98,73.92,93.38,123.64,105.48,116.04,NA,NA,NA,106.853469387755,116.041224489796,117.134081632653,0.37755102,NA,0.09183673,0.17346939,0.24489796,0.1122449,92.5945945945946,NA,91.8111097547743,82.4117647058823,76.6625010172526,86.0181829279119,6.36325650601774,NA,10.8401065402561,-5.4042475083295,-6.20571454366048,9.53370943936435,10.2970226390942,NA,7.11597442626953,3.1032699136173,-8.32076899210612,4.61931124600497,0.0242345258593559,NA,0.70240169391036,0.254885498434305,0.285495039075613,0.875027902424335,0.0654987185387998,NA,7.80446326567067,1.49932646137827,1.18956266281505,7.9547991129485,0.35416667,0.56,0.45918367,0.58823529,0.85714286,0.75555556,0.51020408,16.71428571,0.1122449,0.24489796,0.37755102,NA,0.09183673,0.17346939,85.8218272816051,76.4775797526042,92.4325644003378,NA,91.6492648654514,82.2343319163603,9.22301760586825,-7.14501825968425,5.74150910248628,NA,10.3896653917101,-6.26188300637638,3.39445356889205,-10.0794334411621,9.35890156513936,NA,6.08202997843425,1.97784221873564,0.875027902424335,0.285495039075613,0.0242345258593559,NA,0.70240169391036,0.254885498434305,7.9547991129485,1.18956266281505,0.0654987185387998,NA,7.80446326567067,1.49932646137827,0.38,0.54166667,0.45918367,0.63157895,0.84615385,0.75555556,0.48979592,17,88.0780181884766,12.0419025421143,1,0.05882353,103.116,7,0.41176471,"2024-09-03",0
"Cade Povich",30055,"2024-08-29","@LAD",2,2024,"BAL","A",24,0,1,13.5000012874604,1,1,0,0,0,0,0,0,3.1,21,10,5,5,0,1,0,0,0,0,3,8.10000077247627,2.70000025749209,27.0000025749209,3,0.25,0,8,5,4,0,2,0,0,0.14285714,0.04761905,0.0952381,4.52062024654155,0,0.5,3.30000031471255,0.588235294117647,0.54545455,2.2664796924591,11.2335215950014,4.53449251808646,343.805193882625,55.4233549585128,110.961684181801,1.6,0.235294117,0.470588235,0.294117647,0,0,0,0,34,53,87,-0.2153400182724,-0.501699984073639,0.286359995603561,-2.96800017356873,-0.314074069261551,1.05645453929901,0.850000023841858,0.870000004768372,0.532000005245209,1,1,-0.283170431852341,0.0793376967350451,0,0,0.54022989,91.17021277,0.14942529,81.46153846,NA,NA,0.25287356,76.31818182,0.05747126,84.8,NA,-2.13619804382324,0.466705918312073,NA,-1.53362166881561,-0.0664576292037964,-4.54510222090052,3.59004552547748,NA,-6.97100758552551,-1.32915258407593,0.25531915,0.675,0.44827586,0.83333333,0.96296296,0.92307692,0.45977011,0.42857143,0.03448276,7,5,5,4,7,6,17,0.41176471,0.29411765,0.29411765,0.23529412,0.41176471,0.35294118,3.37525527409177,25,22.57966,24.63866,30.69881,48.25514,46.80821,46.69805,50.06495,44.7075,53.04141,46.00358,31.21972,54.70257,20,37.31853,20,NA,NA,NA,37.93951,34.20869,42.0292,0.87468,5.38911,74,20.86,12.6,101.26,90.92,84.08,90.18,106.96,93.22,87.12,118.24,113.54,102.9,54.5,44.82,NA,NA,NA,92.6662068965517,91.5085057471264,83.2625287356322,0.22988506,NA,0.28735632,0.14942529,0.25287356,0.08045977,91.95,NA,90.82,81.3153827373798,76.281815962358,85.7285679408482,5.72233352661133,NA,8.86969116210937,-5.69405247614934,-5.6732028614391,7.93333871023996,9.2172233581543,NA,6.58797058105469,0.300165194731492,-7.81078199906783,5.22515542166574,-0.938070178031921,NA,-0.982299625873566,0.513182047754526,-1.5516402721405,-0.357664998620749,-4.69035089015961,NA,-3.92919850349426,3.94755421349636,-7.05291032791138,-5.10949998029641,0.175,0.68085106,0.44827586,0.85714286,0.9375,0.92307692,0.54022989,20.5,0.05747126,0.25287356,0.2183908,NA,0.32183908,0.14942529,84.6833984375,76.256308815696,91.9618498149671,NA,90.6786324637277,81.3110821063702,7.37802581787109,-5.92961744828658,5.26318720767373,NA,8.79270553588867,-6.37467780480018,4.20089988708496,-9.21373471346769,8.37575410541735,NA,5.39934212820871,-1.32657491243803,-0.0681494288146496,-1.5516402721405,-0.903021473437548,NA,-1.30686390027404,0.513182047754526,-1.36298857629299,-7.05291032791138,-4.75274459703972,NA,-4.66737107240728,3.94755421349636,0.175,0.68085106,0.44827586,0.85714286,0.9375,0.92307692,0.54022989,17,85.2034265854779,4.88495456471163,1,0.05882353,104.635,7,0.41176471,"2024-08-29",0
"Cade Povich",30055,"2024-08-23","HOU",2,2024,"BAL","H",24,0,0,9,1,1,0,0,0,0,0,0,5,24,8,5,5,2,2,0,1,0,0,3,5.4,3.6,14.4,1.5,0.2,0,5,9,4,2,1,0,0,0.125,0.08333333,0.04166667,5.8081422726502,3.6,0.380952380952381,2,0.375,0.73170732,8.96647977828979,0.0335202217102051,6.48809490948915,229.203440729871,224.805684719856,159.56256362775,0.555555555,0.222222222,0.277777777,0.5,0.222222222,0.222222222,2,3.6,29,55,84,-0.352519989013672,-0.644779980182648,0.292259991168976,-3.6292998790741,-0.390247315168381,0.809750020503998,0.79666668176651,0.870000004768372,0.744000017642975,1,1,-0.427205234766006,-0.00813898269293145,0,0,0.45238095,92.23684211,0.13095238,82.90909091,NA,NA,0.29761905,76.28,0.11904762,87,NA,-1.50134181976318,-0.51930832862854,NA,0.250957876443863,-1.03012251853943,-3.95089952569259,-4.720984805714,NA,1.00383150577545,-10.3012251853943,0.33333333,0.63888889,0.46428571,0.75,0.7826087,0.76923077,0.42857143,0.66666667,0.10714286,6,7,5,6,6,6,18,0.33333333,0.38888889,0.27777778,0.33333333,0.33333333,0.33333333,8.84777351321909,25,52.49381,42.40567,64.17141,44.03382,42.69765,44.287,28.19771,53.96848,20,41.10671,28.64144,48.92148,65.66853,50.51612,59.2141,NA,NA,NA,35.58849,43.88653,32.64815,1.02075,5.60822,76.96,116.64,99.22,90.2,88.54,80.82,97.28,65.76,67.46,93.52,86.72,86.58,112.52,109.52,101.1,NA,NA,NA,94.6152380952381,85.0759523809524,80.3052380952381,0.41666667,NA,0.03571429,0.13095238,0.29761905,0.11904762,92.1571428571429,NA,92.1666666666667,82.781815962358,76.2560009765625,87.0099975585938,7.22472011021205,NA,10.4121233622233,-5.12984362515536,-5.07349090576172,10.5215957641602,9.63473249162946,NA,6.20418930053711,2.28994785655629,-8.14458557128906,4.34824867248535,-1.22488242015243,NA,-0.241419844329357,-0.547198448330164,0.24851893261075,-1.03806694969535,-3.49966405757836,NA,-8.0473281443119,-4.97453134845604,0.994075730443001,-10.3806694969535,0.31111111,0.64102564,0.46428571,0.71428571,0.8,0.76923077,0.46428571,17.05084746,0.11904762,0.29761905,0.41666667,NA,0.03571429,0.13095238,86.9857788085938,76.1924267578125,92.1216936383929,NA,92.1321004231771,82.7365167791193,10.0124061584473,-5.86004760742188,6.61735185895647,NA,10.044869740804,-6.05953910134055,3.06992797851562,-9.59149658203125,8.87137538364955,NA,5.14010334014893,0.993185390125621,-1.03806694969535,0.24851893261075,-1.22488242015243,NA,-0.241419844329357,-0.547198448330164,-10.3806694969535,0.994075730443001,-3.49966405757836,NA,-8.0473281443119,-4.97453134845604,0.34042553,0.62162162,0.46428571,0.625,0.86956522,0.76923077,0.44047619,18,87.8501654730903,20.8606957329644,2,0.11111111,109.462,7,0.38888889,"2024-08-23",0
"Cade Povich",30055,"2024-08-17","BOS",2,2024,"BAL","H",24,0,1,2.84210540581279,1,1,1,0,0,0,0,0,6.1,25,6,2,2,0,0,0,0,0,0,6,8.52631621743836,0,8.52631621743836,6,0,0,4,11,4,1,0,0,0,0.24,0,0.24,3.88697068401489,0,0.24,0.947368468604262,0.315789473684211,0.66666667,1.27174284108127,1.57036256473151,3.8978628363331,72.3800375476952,30.2754679096503,95.1238849700623,0.363636363,0.210526315,0.210526315,0.578947368,0.09090909,0,1,1.42105270290639,26,63,89,0.14989997446537,-0.32957997918129,0.479479938745499,1.77569997310638,0.190935492515564,1.10591995716095,1.1334285736084,0.870000004768372,2.04999995231628,1,1,0.252727299928665,-0.117184059665433,0,0,0.4494382,92.475,0.15730337,82.78571429,NA,NA,0.19101124,76.76470588,0.20224719,86,NA,1.25474691390991,0.403902024030685,NA,-0.279664099216461,0.631136536598206,3.13686728477478,2.88501445736204,NA,-1.64508293656742,3.50631409221225,0.41176471,0.71052632,0.53932584,0.42857143,0.88888889,0.6875,0.42696629,0.84,0.16853933,5,9,5,3,12,4,19,0.26315789,0.47368421,0.26315789,0.15789474,0.63157895,0.21052632,1.52549755805087,65,44.99437,38.34469,57.75985,57.6891,41.57774,65.24923,58.4433,52.44247,60.22218,NA,NA,NA,49.155,52.62682,50.87972,NA,NA,NA,52.13131,44.79787,60.3613,-0.007,4.06659,71.18,98.92,78.22,95,115.96,111.02,99.64,100.26,95.96,NA,NA,NA,117.14,94.32,99.38,NA,NA,NA,95.7505617977528,102.053483146067,95.7867415730337,0.4494382,NA,NA,0.15730337,0.19101124,0.20224719,92.4125,NA,NA,82.7857142857143,76.688232421875,85.8833346896701,6.82840728759766,NA,NA,-4.37153625488281,-5.49588506362017,8.93227386474609,9.55786361694336,NA,NA,3.25745146615165,-7.75469342400046,4.6541879442003,1.24637150764465,NA,NA,0.406523633748293,-0.304892133921385,0.638587098568678,3.11592876911163,NA,NA,2.90374024105924,-1.79348314071403,3.54770610315932,0.37209302,0.69565217,0.53932584,0.375,0.84375,0.6875,0.51685393,17.453125,0.20224719,0.19101124,0.4494382,NA,NA,0.15730337,85.8658243815104,76.6651970358456,92.4219177246094,NA,NA,82.7778843470982,8.66095987955729,-6.21262808407054,6.29358062744141,NA,NA,-5.29481560843332,3.5397777557373,-9.22829212861903,8.72325668334961,NA,NA,2.03231838771275,0.638587098568678,-0.304892133921385,1.24637150764465,NA,NA,0.406523633748293,3.54770610315932,-1.79348314071403,3.11592876911163,NA,NA,2.90374024105924,0.34090909,0.73333333,0.53932584,0.33333333,0.84848485,0.6875,0.50561798,19,90.2110017475329,24.2749955026727,1,0.05263158,102.545,7,0.36842105,"2024-08-17",0
