"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","CT%","CTv","CB%","CBv","CH%","CHv","wFB","wCT","wCB","wCH","wFB/C","wCT/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_KC","pb_s_KC","pb_c_KC","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_KC","sp_l_KC","sp_p_KC","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSI%","pfxKC%","pfxCH%","pfxvFA","pfxvFC","pfxvSI","pfxvKC","pfxvCH","pfxFA-X","pfxFC-X","pfxSI-X","pfxKC-X","pfxCH-X","pfxFA-Z","pfxFC-Z","pfxSI-Z","pfxKC-Z","pfxCH-Z","pfxwFA","pfxwFC","pfxwSI","pfxwKC","pfxwCH","pfxwFA/C","pfxwFC/C","pfxwSI/C","pfxwKC/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piSI%","piSL%","pivCH","pivCU","pivFA","pivSI","pivSL","piCH-X","piCU-X","piFA-X","piSI-X","piSL-X","piCH-Z","piCU-Z","piFA-Z","piSI-Z","piSL-Z","piwCH","piwCU","piwFA","piwSI","piwSL","piwCH/C","piwCU/C","piwFA/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"James Paxton",11828,"2024-08-11","HOU",3,2024,"BOS","H",35,0,0,0,1,1,0,0,0,0,0,0,0.2,3,2,0,0,0,0,0,0,0,0,0,0,0,27.000028163224,0,0.333333333,0,3,0,0,0,1,0,0,0,0,0,-0.816270915985108,0,0.666666666666667,3.00000312924711,0.666666666666667,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,76.4551252906048,76.9288520456552,3,0,1,0,0,0,0,0,1,4,5,0.0267600081861019,-0.0468439720571041,0.073603980243206,0.299699991941452,0.0288728326559067,0.892133355140686,0.870000004768372,0.870000004768372,0.790000021457672,1,1,-0.0169139057397842,0.0469094305477116,0,0,0.8,90.75,NA,NA,0.2,81,NA,NA,0.335917860269547,NA,-0.479063183069229,NA,8.39794650673866,NA,-47.9063183069229,NA,1,0.5,0.6,1,1,1,0.8,1,0,2,1,0,0,3,0,3,0.66666667,0.33333333,0,0,1,0,1.45977924691138,39,NA,NA,NA,80,42.39629,80,80,57.46879,80,80,31.89203,80,NA,NA,NA,80,34.27139,80,-4.18932,-2.20689,NA,NA,NA,71.2,157.8,147.82,97.76,111.4,106.9,95.32,141.02,145.36,NA,NA,NA,81.336,145.164,139.144,0.6,NA,0.2,0.2,NA,90.8333333333333,NA,91.4000015258789,81.1999969482422,NA,7.85034624735514,NA,9.82527446746826,-2.28358554840088,NA,7.68554751078288,NA,5.27788496017456,-3.13028955459595,NA,0.366865903139114,NA,-0.0242429338395596,-0.486331313848495,NA,12.2288634379705,NA,-2.42429338395596,-48.6331313848495,NA,0,0.75,0.6,NA,1,1,0.8,16,NA,0.2,0.6,0.2,NA,NA,81.0521011352539,90.7434997558594,91.2880020141602,NA,NA,-3.38529992103577,7.24726676940918,9.28695964813232,NA,NA,-4.31605005264282,6.73592313130697,4.09434986114502,NA,NA,-0.486331313848495,0.366865903139114,-0.0242429338395596,NA,NA,-48.6331313848495,12.2288634379705,-2.42429338395596,NA,0,0.75,0.6,NA,1,1,0.8,3,80.177480061849,4.20501041412354,0,0,94.6061,0,0,"2024-08-11",0
"James Paxton",11828,"2024-08-05","@KCR",3,2024,"BOS","A",35,1,0,3,1,1,1,0,0,0,0,0,6,23,5,2,2,0,1,0,0,0,0,4,6,1.5,7.5,4,0.222222222,0,9,7,2,2,2,0,0,0.17391304,0.04347826,0.13043478,4.23094647344689,0,0.227272727272727,1,0.277777777777778,0.66666667,2.33314644495646,0.666853555043538,4.09715625221531,70.4606614430252,55.8514803917263,100.08182079277,1.285714285,0.111111111,0.5,0.388888888,0.285714285,0,8,12,28,62,90,0.13449801504612,-0.361474007368088,0.495972037315369,1.2039999961853,0.117865882813931,1.04924166202545,1.10706663131714,0.870000004768372,0.270999997854233,1,1,0.126420259475708,0.00176566747889395,0,0,0.51111111,92.80434783,NA,NA,0.45555556,80.73170732,0.03333333,84,-0.297611802816391,NA,1.75575911998749,-0.0322868339717388,-0.646982180035633,NA,4.28233931704265,-1.07622779905796,0.32608696,0.63636364,0.47777778,0.46666667,0.96428571,0.79069767,0.48888889,0.60869565,0.1,7,5,6,6,4,8,18,0.38888889,0.27777778,0.33333333,0.33333333,0.22222222,0.44444444,1.52742559707868,61,20,41.43352,20,62.71328,43.9583,73.23663,68.47126,38.15811,78.88916,41.77814,40.51937,43.95416,NA,NA,NA,50.18506,33.76517,58.92112,0.11391,4.24796,83.68,-4.60000000000001,-7.59999999999999,78.68,114.32,91.62,99.84,122.92,125.28,97.16,98.2,94,NA,NA,NA,90.3217777777778,104.254666666667,94.2588888888889,0.2,NA,0.31111111,0.45555556,0.03333333,92.5388861762153,NA,92.8535679408482,80.6439000571646,83.9666646321615,7.44873301188151,NA,8.57076917375837,-0.0934711723792844,8.88244883219401,7.15565405951606,NA,5.91189575195312,-3.12075172982565,5.15587997436523,-1.7025832682848,NA,1.40128535404801,1.81948812678456,-0.0332007221877575,-9.45879593491554,NA,5.00459055017148,4.43777591898674,-1.10669073959192,0.31707317,0.6122449,0.47777778,0.53846154,0.93333333,0.81395349,0.54444444,17.43939394,0.03333333,0.45555556,0.44444444,0.06666667,NA,84.0338643391927,80.695342273247,92.8925659179688,92.2158813476562,NA,8.74305661519369,-0.878407362030774,7.08975067138672,9.36314646402995,NA,4.17655658721924,-4.60084459258289,5.75599594116211,3.7453982035319,NA,-0.0332007221877575,1.81948812678456,-0.62849335372448,0.327195439487696,NA,-1.10669073959192,4.43777591898674,-1.5712333843112,5.45325732479493,NA,0.325,0.58,0.46666667,0.53846154,0.96551724,0.83333333,0.55555556,18,85.7016059027778,10.1348198784722,1,0.05555556,105.128,7,0.38888889,"2024-08-05",0
"James Paxton",11828,"2024-07-30","SEA",3,2024,"BOS","H",35,0,1,6.23076968785577,1,1,0,0,0,0,0,0,4.1,21,6,6,3,1,1,0,0,0,0,5,10.3846161464263,2.07692322928526,12.4615393757115,5,0.666666666,1,3,8,3,1,2,1,1,0.23809524,0.04761905,0.19047619,4.13108282082677,2.07692322928526,0.3,1.61538473388853,0.357142857142857,0.17857143,4.55109526447997,1.6796744233758,4.34249538374062,146.341384501823,110.688876249345,106.185262110772,0.375,0.214285714,0.214285714,0.571428571,0.125,0.125,3,6.23076968785577,24,48,72,-0.243184044957161,-0.596603989601135,0.353419929742813,-1.89030003547668,-0.182109817862511,1.15492725372314,0.97735995054245,0.870000004768372,3.12199997901917,1,1,-0.258340716362,0.047778497682678,0,0,0.58333333,93,NA,NA,0.38888889,81.42857143,0.02777778,83.5,-1.17543816566467,NA,0.00273451209068298,-0.522771596908569,-2.7986622992016,NA,0.00976611460958208,-26.1385798454285,0.38636364,0.71428571,0.51388889,0.58823529,0.9,0.75675676,0.38888889,0.66666667,0.125,4,6,5,2,6,7,15,0.26666667,0.4,0.33333333,0.13333333,0.4,0.46666667,4.83827600128828,32,47.42609,48.3421,57.30876,50.35322,44.82916,56.46852,76.4496,28.70856,80,50.22528,37.17019,49.09859,NA,NA,NA,54.02233,30.91516,60.7773,-0.12448,3.89037,101.26,132.92,124.3,67.38,124.4,102.46,70.92,127.04,116.5,89.7,108.44,95.94,NA,NA,NA,77.0502777777778,118.466666666667,100.726111111111,0.47222222,NA,0.11111111,0.38888889,0.02777778,92.9470573874081,NA,93.1750030517578,81.3250034877232,83.1500015258789,7.25416654698989,NA,8.84018516540527,-0.00389004445501736,9.23426055908203,7.22790258071002,NA,6.56136655807495,-2.66658510480608,4.18631982803345,-1.77587580308318,NA,0.579148299992085,1.05226577818394,-0.530465837568045,-5.22316412671524,NA,7.23935374990106,3.75809206494263,-26.5232918784022,0.4,0.62162162,0.51388889,0.5,0.91304348,0.75675676,0.51388889,19.24,0.02777778,0.38888889,0.58333333,NA,NA,83.1016006469727,81.2724086216518,92.9478876023066,NA,NA,9.0673999786377,-0.780328750610352,6.84521775018601,NA,NA,2.90427494049072,-3.9508353642055,6.38656688871838,NA,NA,-0.530465837568045,1.05226577818394,-1.1967275030911,NA,NA,-26.5232918784022,3.75809206494263,-2.84935119783594,NA,NA,0.375,0.625,0.51388889,0.5,0.88,0.75675676,0.55555556,15,92.2764107840402,28.9843946184431,1,0.06666667,109.124,7,0.46666667,"2024-07-30",0
"James Paxton",11828,"2024-07-21","BOS",22,2024,"LAD","H",35,1,0,5.4,1,1,0,0,0,0,0,0,5,24,4,3,3,1,4,0,0,0,0,7,12.6,7.2,7.2,1.75,0,0,6,5,2,0,0,0,0,0.29166667,0.16666667,0.125,4.59075512235039,1.8,0.2,1.6,0.25,0.75757576,5.3664797782898,0.0335202217102051,4.27848818451166,133.655451287238,129.486943861377,105.182246165367,1.2,0.153846153,0.461538461,0.384615384,0,0.2,6,10.8,37,58,95,-0.034120000898838,-0.446500062942505,0.412380069494247,-0.947200059890747,-0.100232809782028,0.953185200691223,0.944666624069214,0.870000004768372,1.86199998855591,1,1,-0.0913577824831009,0.0555620096636161,0,0,0.55789474,93.18867925,NA,NA,0.37894737,81.05555556,0.06315789,81.5,-2.36342525482178,NA,1.44064033031464,-0.123901382088661,-4.45929293362599,NA,4.00177869531843,-2.06502303481102,0.2244898,0.63043478,0.42105263,0.63636364,0.75862069,0.725,0.48421053,0.70833333,0.11578947,5,5,3,0,6,7,13,0.38461538,0.38461538,0.23076923,0,0.46153846,0.53846154,4.86130244094017,46,44.06585,56.78721,32.13113,39.01367,34.99186,44.23939,76.82298,33.59296,80,67.68859,33.94279,78.94825,NA,NA,NA,47.51904,26.46927,61.4239,0.27954,4.4964,113.36,81.8,90.56,80,89.32,66.16,98.98,114.58,99.84,90.54,138.62,131.2,NA,NA,NA,86.5006315789474,108.058947368421,93.0568421052632,0.53684211,NA,0.02105263,0.37894737,0.06315789,93.1627412683823,NA,93.8500061035156,80.9611138237847,81.5333353678385,6.10168337354473,NA,8.19381618499756,-0.595019711388482,8.78663698832194,8.03188967237286,NA,5.54593229293823,-2.81833012898763,4.15428670247396,-1.83078872412443,NA,-0.561005815863609,1.45214771479368,-0.127184256911278,-3.58978181200869,NA,-28.0502907931805,4.03374365220467,-2.11973761518796,0.26190476,0.54716981,0.42105263,0.54545455,0.79310345,0.725,0.55789474,16.04285714,0.06315789,0.37894737,0.54736842,0.01052632,NA,81.5918833414714,80.9842529296875,93.2472862830529,92.959602355957,NA,8.68762524922689,-1.06823741065131,5.62272409292368,9.79607963562012,NA,2.6810572942098,-4.08721372816298,7.20392549954928,5.97101020812988,NA,-0.127184256911278,1.45214771479368,-1.92058465629816,-0.47120988368988,NA,-2.11973761518796,4.03374365220467,-3.69343203134262,-47.120988368988,NA,0.27272727,0.54901961,0.42105263,0.58333333,0.78571429,0.725,0.53684211,13,97.0492694561298,13.5754629281851,1,0.07692308,110.564,9,0.69230769,"2024-07-21",0
"James Paxton",11828,"2024-07-12","@DET",22,2024,"LAD","A",35,0,0,7.36363764045674,1,1,0,0,0,0,0,0,3.2,20,5,3,3,0,4,0,0,0,0,1,2.45454588015225,9.81818352060899,12.2727294007612,0.25,0,0,5,8,2,1,0,0,0,0.05,0.2,-0.15,8.62917158401489,0,0.3125,2.45454588015225,0.333333333333333,0.66666667,5.89375297845896,1.46988466199779,9.19268098223447,182.2574651761,142.036271243406,223.937271011276,0.625,0.133333333,0.333333333,0.533333333,0.125,0,2,4.9090917603045,34,47,81,-0.180084004998207,-0.40530002117157,0.225216031074524,-1.5,-0.158227846026421,0.814539968967438,0.681699991226196,0.870000004768372,1.5628000497818,1,1,-0.212586387991905,-0.00850037491611136,0,0,0.64197531,91.55769231,NA,NA,0.2962963,79.66666667,0.0617284,79.8,-0.237617880105972,NA,-0.534027814865112,-1.31134307384491,-0.456957461742254,NA,-2.2251158952713,-26.2268614768982,0.27777778,0.74074074,0.43209877,0.8,0.95,0.88571429,0.33333333,0.65,0.04938272,3,8,4,2,7,6,15,0.2,0.53333333,0.26666667,0.13333333,0.46666667,0.4,4.61563454992334,36,20,54.99085,20,32.90673,28.87013,42.51806,26.41031,36.531,33.79461,41.89093,33.94964,48.02934,NA,NA,NA,24.71398,22.59558,35.02197,1.69634,6.6216,117.42,28.72,33.64,76.64,89.24,62.32,79.38,38.08,44.7,94.36,104.72,96.08,NA,NA,NA,84.5767901234568,86.9328395061728,69.4649382716049,0.56790123,NA,0.07407407,0.2962963,0.0617284,91.5413022248641,NA,91.4166666666667,79.625,79.7599975585938,6.38747240149457,NA,8.50747807820638,0.132845193147659,8.06023864746094,8.10026085895041,NA,6.33236249287923,-1.71902465820312,4.41951103210449,0.954182900488377,NA,-1.17995216697454,-0.546614516526461,-1.32175254821777,2.0743106532356,NA,-19.6658694495757,-2.27756048552692,-26.4350509643555,0.27083333,0.66666667,0.43209877,0.76923077,0.95454545,0.88571429,0.40740741,16.59016393,0.0617284,0.2962963,0.58024691,0.0617284,NA,79.8315612792969,79.6695404052734,91.6206574135638,91.3600219726563,NA,8.06885223388672,-0.491434574127197,5.83707703935339,8.39384384155273,NA,3.13780651092529,-3.15439987182617,7.1844696694232,5.19253387451172,NA,-1.32175254821777,-0.546614516526461,0.954182900488377,-1.17995216697454,NA,-26.4350509643555,-2.27756048552692,2.03017638401782,-23.5990433394909,NA,0.26530612,0.6875,0.43209877,0.76923077,0.95454545,0.88571429,0.39506173,15,93.6309000651042,25.5822184244792,1,0.06666667,102.198,7,0.46666667,"2024-07-12",0
"James Paxton",11828,"2024-07-06","MIL",22,2024,"LAD","H",35,0,0,3.6,1,1,0,0,0,0,0,0,5,21,4,2,2,1,2,0,0,0,0,3,5.4,3.6,7.2,1.5,0,0,6,5,5,0,0,0,0,0.14285714,0.0952381,0.04761905,5.30455675746366,1.8,0.210526315789474,1.2,0.2,0.86956522,5.7664797782898,-2.1664797782898,4.67848818451166,89.103634191492,139.00711471626,114.84853560366,1.2,0.3125,0.375,0.3125,0,0.2,3,5.4,39,44,83,0.0599200613796711,-0.29283994436264,0.352760016918182,0.389799952507019,0.0412486791610718,0.888857126235962,1.01320004463196,0.870000004768372,1.4539999961853,1,1,-0.100719712674618,0.168132190575779,0,0,0.59036145,92.7755102,0.01204819,84,0.3253012,81.22222222,0.07228916,81.66666667,-0.125331848859787,0.284230947494507,0.149526029825211,-0.462324172258377,-0.25577928338732,28.4230947494507,0.553800110463743,-7.70540287097295,0.21568627,0.65625,0.38554217,0.72727273,1,0.90625,0.38554217,0.47619048,0.03614458,9,6,1,2,7,7,16,0.5625,0.375,0.0625,0.125,0.4375,0.4375,7.81905799666509,49,64.12871,53.11221,58.29233,36.99661,37.37187,47.45108,53.48288,44.06822,69.255,30.42015,36.7145,35.68879,39.90166,62.77148,44.25566,34.62821,32.59471,46.35582,1.0804,5.69769,105.34,103.38,104.92,76.44,85.76,69.96,97.16,136.64,155.2,98.9,84.88,79.16,93.66,86.82,91.32,89.6336585365854,95.4829268292683,90.5092682926829,0.40963855,0.02409639,0.18072289,0.31325301,0.07228916,92.8176484949448,82.8000030517578,92.4600016276042,81.0730731670673,81.7166697184245,6.09338558421415,-0.214868530631065,9.14934285481771,0.520566720228929,8.526091893514,8.23310762293199,1.02776908874512,5.43900044759115,-1.79542981661283,4.8817450205485,-0.654105357825756,0.294976014643908,0.626638129353523,0.179395627230406,-0.471198171377182,-1.92383928772281,14.7488007321954,4.17758752902349,0.689983181655407,-7.85330285628637,0.19148936,0.63888889,0.38554217,0.66666667,1,0.90625,0.43373494,16.24193548,0.07228916,0.3253012,0.42168675,0.1686747,0.01204819,81.6880849202474,81.07080078125,92.8037806919643,92.4170793805804,83.9954986572266,8.39048194885254,-0.0266716568558304,5.67257777622768,8.79533495221819,-1.2729400396347,3.47997315724691,-3.24537997775608,7.14721200125558,4.14168058122907,0.410708010196686,-0.471198171377182,0.144346922636032,-0.457977168262005,0.430509939789772,0.330024719238281,-7.85330285628637,0.534618231985304,-1.3085061950343,3.07507099849837,33.0024719238281,0.21276596,0.61111111,0.38554217,0.7,1,0.90625,0.43373494,16,94.1919403076172,9.59272956848145,2,0.125,118.146,7,0.4375,"2024-07-06",0
"James Paxton",11828,"2024-06-30","@SFG",22,2024,"LAD","A",35,0,1,20.25,1,1,0,0,0,0,0,0,4,25,12,9,9,1,2,0,0,0,0,4,9,4.5,27,2,0,0,4,7,8,0,0,0,0,0.16,0.08,0.08,5.15889708401489,2.25,0.521739130434783,3.5,0.611111111111111,0.3968254,5.9164797782898,14.3335202217102,5.31249448917806,501.207942327142,142.577178786842,130.16975672018,0.571428571,0.421052631,0.210526315,0.368421052,0,0.142857142,1,2.25,32,57,89,-0.32109397649765,-0.514014005661011,0.192920073866844,-7.10400009155273,-0.755342900753021,0.853864014148712,0.575999975204468,0.870000004768372,0.0199999995529652,1,1,-0.526555418968201,0.15050727643373,0,0,0.40449438,93.27777778,NA,NA,0.41573034,81.16216216,0.17977528,81.875,-6.21989154815674,NA,-1.29922568798065,0.978759765625,-17.2774765226576,NA,-3.51142077832609,6.11724853515625,0.42105263,0.8125,0.56179775,0.625,0.88461538,0.76,0.35955056,0.64,0.13483146,9,4,6,1,7,11,19,0.47368421,0.21052632,0.31578947,0.05263158,0.36842105,0.57894737,8.47746439232905,7,54.05664,57.38183,48.22918,43.88471,36.93429,55.58511,80,27.8108,80,47.3987,38.33824,50.44868,NA,NA,NA,42.15992,35.05654,49.27365,0.61249,4.99583,113.96,81.6,85.64,77.06,96.72,77.66,73.9,117.58,103.26,92.72,93.66,88.3,NA,NA,NA,89.991011235955,94.1359550561798,85.2438202247191,0.31460674,NA,0.08988764,0.41573034,0.17977528,93.2535749162946,NA,93.3874969482422,81.164867504223,81.8562469482422,6.79628208705357,NA,8.2643346786499,0.648067010415567,9.07765960693359,8.50639942714146,NA,5.53776121139526,-2.31591796875,4.59847450256348,-5.45231879502535,NA,-0.824879556894302,-1.30999084189534,0.989083874970675,-19.4725671250905,NA,-10.3109944611788,-3.54051578890633,6.18177421856672,0.41666667,0.73170732,0.56179775,0.55,0.9,0.76,0.46067416,18.3125,0.17977528,0.41573034,0.3258427,0.07865169,NA,82.1007537841797,81.4032015413851,93.6261449353448,93.1692679268973,NA,8.49345684051514,-0.263286332826357,6.06603951289736,7.34027535574777,NA,3.16701912879944,-3.87123314110008,7.39730571878367,4.30851582118443,NA,0.989083874970675,-1.30999084189534,-6.32279627770185,0.0455979257822037,NA,6.18177421856672,-3.54051578890633,-21.8027457851788,0.651398939745767,NA,0.4,0.76923077,0.56179775,0.55,0.9,0.76,0.43820225,19,95.7586605674342,19.8936976382607,4,0.21052632,111.297,11,0.57894737,"2024-06-30",0
"James Paxton",11828,"2024-06-24","@CHW",22,2024,"LAD","A",35,0,0,0,1,1,0,0,0,0,0,0,5,21,3,0,0,0,3,0,0,1,0,6,10.8,5.4,5.4,2,0,0,2,8,2,1,0,0,0,0.28571429,0.14285714,0.14285714,4.75291275266579,0,0.166666666666667,1.2,0.25,1,2.5664797782898,-2.5664797782898,4.98569322824478,0,62.8457478771912,122.272367777729,0.25,0.166666666,0.166666666,0.666666666,0.125,0,0,0,34,57,91,0.279131948947906,-0.155702009797096,0.434833973646164,2.48499989509583,0.256053566932678,1.07065451145172,1.00399994850159,0.870000004768372,1.31940007209778,1,1,0.18788380920887,0.072827695727887,0,0,0.58241758,93.13207547,NA,NA,0.37362637,81.17647059,0.04395604,81.5,0.461977541446686,NA,1.14218246936798,-0.11749130487442,0.871655738578652,NA,3.35936020402347,-2.9372826218605,0.25531915,0.79545455,0.51648352,0.41666667,0.77142857,0.68085106,0.48351648,0.76190476,0.16483516,0,7,5,2,7,3,12,0,0.58333333,0.41666667,0.16666667,0.58333333,0.25,2.17013784274664,64,20,55.05296,20,56.18653,37.20073,69.62302,NA,NA,NA,40.15356,37.63051,44.04197,NA,NA,NA,43.45749,29.20294,55.22105,0.53187,4.8749,120.22,24.42,32.22,77.82,98.3,76.7,88.68,104.84,90.04,96.02,101.46,94.38,NA,NA,NA,86.5538297872341,96.5078723404255,81.6278723404255,0.54945055,NA,0.03296703,0.37362637,0.04395604,93.08599609375,NA,93.0666707356771,81.0588235294118,81.4000015258789,6.40815673828125,NA,8.61394309997559,0.148358190760893,7.96832752227783,8.57086669921875,NA,6.4569714864095,-2.13046915390912,5.89322757720947,0.953696347773075,NA,-0.501907240599394,1.18730326369405,-0.120492223650217,1.90739269554615,NA,-16.7302413533131,3.49206842262955,-3.01230559125543,0.23809524,0.75510204,0.51648352,0.3,0.78378378,0.68085106,0.53846154,17,0.04395604,0.37362637,0.58241758,NA,NA,81.4563522338867,81.1163401884191,93.1644862912736,NA,NA,7.61997985839844,-0.659047182868509,5.75710368606279,NA,NA,4.57526254653931,-3.52843430463006,7.60415591833726,NA,NA,-0.120492223650217,1.19865988567472,0.451789107173681,NA,NA,-3.01230559125543,3.52547025198446,0.852432277686191,NA,NA,0.25,0.76595745,0.51648352,0.36363636,0.77777778,0.68085106,0.51648352,12,92.9588623046875,35.423220316569,0,0,107.26,5,0.41666667,"2024-06-24",0
"James Paxton",11828,"2024-06-17","@COL",22,2024,"LAD","A",35,1,0,1.28571428571429,1,1,1,0,0,0,0,0,7,25,2,1,1,1,1,0,0,0,0,8,10.2857142857143,1.28571428571429,2.57142857142857,8,0.125,0,8,7,1,0,1,0,0,0.32,0.04,0.28,2.68067948401489,1.28571428571429,0.0833333333333333,0.428571428571429,0.0666666666666667,1,3.1664797782898,-1.88076549257551,2.8213453273688,31.8227264969614,77.1260041595167,69.9693346401561,1.142857142,0.0625,0.5,0.4375,0,0.142857142,7,9,28,63,91,0.370360016822815,-0.14395597577095,0.514315962791443,3.40300011634827,0.296170592308044,0.849215984344482,1.08554291725159,0.916800022125244,0.242800012230873,1,1,0.38415265083313,0.0519672805512272,0,0,0.6043956,93.38181818,NA,NA,0.30769231,81.25,0.08791209,82.625,2.16241002082825,NA,0.540305733680725,-0.187210366129875,3.93165458332409,NA,1.92966333457402,-2.34012957662344,0.4,0.7804878,0.57142857,0.5,0.90625,0.75,0.45054945,0.72,0.14285714,4,8,4,1,10,5,16,0.25,0.5,0.25,0.0625,0.625,0.3125,2.15607085074251,75,20,44.31461,20,45.85594,39.05662,52.64132,NA,NA,NA,72.65371,44.37242,77.77824,NA,NA,NA,48.69174,33.96776,58.41121,0.20669,4.38713,115.32,72.8,79.18,80.32,94.56,74.32,NA,NA,NA,100.2,129.94,122.94,NA,NA,NA,90.4775824175824,103.906813186813,90.8632967032967,0.6043956,NA,NA,0.30769231,0.08791209,93.33818359375,NA,NA,81.2857142857143,82.625,5.25011874112216,NA,NA,0.359808649335589,6.15462732315063,6.15588156960227,NA,NA,-1.81370953151158,2.65648221969604,2.2228245139122,NA,NA,0.550118487328291,-0.191409230232239,4.041499116204,NA,NA,1.96470888331532,-2.39261537790298,0.34090909,0.78723404,0.57142857,0.4,0.89189189,0.75,0.51648352,15.58461538,0.08791209,0.30769231,0.51648352,0.08791209,NA,82.7340545654297,81.386221749442,93.4816946476064,93.2681579589844,NA,5.8739800453186,-0.576262950897217,4.44176499387051,5.49517011642456,NA,2.10230374336243,-2.49721527099609,6.24896824613531,4.43030881881714,NA,-0.191409230232239,0.550118487328291,2.76584021747112,-0.543015703558922,NA,-2.39261537790298,1.96470888331532,5.88476642015133,-6.78769629448652,NA,0.35555556,0.7826087,0.57142857,0.4375,0.88888889,0.75,0.50549451,16,88.4974527994792,18.4313720703125,1,0.0625,109.426,5,0.3125,"2024-06-17",0
"James Paxton",11828,"2024-06-11","TEX",22,2024,"LAD","H",35,1,0,1.5,1,1,1,0,0,0,0,0,6,22,2,1,1,0,2,0,0,0,0,2,3,3,3,1,0,0,6,10,2,2,0,0,0,0.09090909,0.09090909,0,6.44839024124437,0,0.1,0.666666666666667,0.111111111111111,0.75,3.49981311162313,-1.99981311162313,6.01982712199291,37.126514246455,85.0594798719197,147.262961615025,0.6,0.111111111,0.333333333,0.555555555,0.2,0,14,21,36,51,87,0.151320055127144,-0.105579994618893,0.256900042295456,1.86779999732971,0.197650790214539,0.632818162441254,0.726333320140839,0.870000004768372,0.0159999988973141,1,1,0.263759195804596,-0.0246382853942672,0,0,0.59770115,92.65384615,0.05747126,83.6,0.27586207,80.45833333,0.06896552,83.16666667,2.84376502037048,0.234109133481979,0.20851181447506,-0.598259091377258,5.46877888532785,4.68218266963959,0.868799226979415,-9.97098485628764,0.2244898,0.68421053,0.42528736,0.72727273,0.96153846,0.89189189,0.43678161,0.5,0.04597701,6,6,6,5,7,6,18,0.33333333,0.33333333,0.33333333,0.27777778,0.38888889,0.33333333,2.35019479634684,67,27.81905,49.53823,20.98482,43.79162,35.49643,56.80785,NA,NA,NA,32.68786,33.99156,35.40065,65.65603,55.15834,64.64956,34.48821,28.51978,45.54693,1.0891,5.71074,101.7,74.98,72.22,72.96,96.44,77.72,98.4,108.54,112.12,96.38,80.04,71.14,100.72,140.68,135.5,84.4602298850575,93.6737931034483,80.8232183908046,0.5862069,0.05747126,0.01149425,0.27586207,0.06896552,92.6176470588235,83.5200012207031,90.8000030517578,80.3791656494141,83,6.17486691942402,-0.506639623641968,9.52052879333496,-0.302391509215037,7.53246943155925,8.02026786056219,0.748613786697388,4.83914995193481,-2.85826778411865,6.53449249267578,3.33808039501309,0.236479297280312,-0.416426986455917,0.206292860209942,-0.607780512422323,6.54525567649626,4.72958594560623,-41.6426986455917,0.859553584208091,-10.1296752070387,0.23809524,0.6,0.42528736,0.7,0.96296296,0.89189189,0.51724138,15.06153846,0.06896552,0.26436782,0.57471264,0.02298851,0.06896552,83.2877807617188,80.5891378651495,92.93041015625,91.4935455322266,83.5509134928385,7.2093620300293,-0.809901113095491,5.62927001953125,8.34963035583496,-1.05657919247945,5.07592995961507,-4.56419637928838,7.0449365234375,3.85054016113281,-0.474347154299418,-0.607780512422323,0.241341564804316,3.28791025653481,-0.366256847977638,0.201430592685938,-10.1296752070387,1.04931115132311,6.57582051306963,-18.3128423988819,3.35717654476563,0.22222222,0.64285714,0.42528736,0.7,0.96296296,0.89189189,0.48275862,18,88.8221299913194,23.5043182373047,1,0.05555556,103.343,6,0.33333333,"2024-06-11",0
