"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CH%","CHv","XX%","wFB","wSL","wCT","wCH","wFB/C","wSL/C","wCT/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_KC","pb_s_KC","pb_c_KC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_KC","sp_l_KC","sp_p_KC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSL%","pfxKC%","pfxCH%","pfxvFA","pfxvSL","pfxvKC","pfxvCH","pfxFA-X","pfxSL-X","pfxKC-X","pfxCH-X","pfxFA-Z","pfxSL-Z","pfxKC-Z","pfxCH-Z","pfxwFA","pfxwSL","pfxwKC","pfxwCH","pfxwFA/C","pfxwSL/C","pfxwKC/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piSL%","pivCH","pivCU","pivFA","pivSL","piCH-X","piCU-X","piFA-X","piSL-X","piCH-Z","piCU-Z","piFA-Z","piSL-Z","piwCH","piwCU","piwFA","piwSL","piwCH/C","piwCU/C","piwFA/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"DJ Herz",26389,"2024-09-25","KCR",24,2024,"WSN","H",23,0,1,1.8,1,1,0,0,0,0,0,0,5,21,3,1,1,0,3,0,0,0,0,3,5.4,5.4,5.4,1,0,1,2,10,2,0,0,1,1,0.14285714,0.14285714,0,7.10183792472929,0,0.166666666666667,1.2,0.2,0.83333333,3.7664797782898,-1.9664797782898,6.79049659073353,43.9378481443274,92.3032450105948,165.886746980281,0.2,0.142857142,0.142857142,0.714285714,0,0,0,0,29,52,81,0.131936028599739,-0.240743964910507,0.372680008411407,1.45509994029999,0.151100724935532,1.07548570632935,0.923759996891022,0.870000004768372,0.962000012397766,1,1,0.150154232978821,-0.0274784709270504,0,0,0.56790123,92.41304348,0.0617284,82.2,0.16049383,85.53846154,0.20987654,82.47058824,NA,-0.236775308847427,0.434629440307617,0.73119980096817,0.575161874294281,-0.514728932277016,8.69258880615234,5.62461385360131,3.38330514290754,0.28888889,0.75,0.49382716,0.61538462,0.88888889,0.8,0.44444444,0.57142857,0.09876543,4,6,5,2,12,1,15,0.26666667,0.4,0.33333333,0.13333333,0.8,0.06666667,3.28179090860093,58,34.62697,50.99286,34.61407,33.49083,46.5291,30.28571,63.12905,43.6183,76.64755,70.23887,55.04838,79.70773,34.50025,45.519,38.4285,1.08835,5.70962,102.48,60.4,59.92,94.6,69.04,58.96,85.88,136.32,135.26,85.92,131.94,128.5,94.3175308641975,82.0155555555556,75.8666666666667,0.56790123,0.18518519,0.03703704,0.20987654,92.3326044497283,85.1,81.8666687011719,82.3176484949448,8.40114693019701,0.86516539255778,0.81932258605957,8.69149600758272,8.95426144807235,1.57544314066569,0.206482827663422,2.09334496890797,-0.25646560266614,0.795535285025835,0.385147497057915,0.621299214661121,-0.557533918839434,5.3035685668389,12.8382499019305,3.65470126271248,0.24324324,0.70454545,0.49382716,0.55555556,0.87096774,0.8,0.54320988,17.46666667,0.20987654,0.0617284,0.56790123,0.16049383,82.7410098805147,82.4865966796875,92.7635869565217,85.959716796875,7.91806209788603,-0.168296504020691,7.65764850118886,0.0632907381424537,0.89470594069537,-0.735969066619873,7.83282802415931,0.629019003648024,0.621299214661121,0.439921457320452,-0.25646560266614,0.740761324763298,3.65470126271248,8.79842914640903,-0.557533918839434,5.69816403664075,0.23684211,0.72093023,0.49382716,0.55555556,0.87096774,0.8,0.5308642,15,89.9545288085938,32.716302054269,0,0,111.047,5,0.33333333,"2024-09-25",0
"DJ Herz",26389,"2024-09-18","@NYM",24,2024,"WSN","A",23,0,1,18.9000018024446,1,1,0,0,0,0,0,0,3.1,19,6,7,7,0,3,0,0,0,0,5,13.5000012874604,8.10000077247627,16.2000015449525,1.66666667,0,0,4,3,4,1,0,0,0,0.26315789,0.15789474,0.10526316,4.7538481931377,0,0.375,2.70000025749209,0.545454545454545,0.22222222,2.86647974967956,16.0335220527651,4.22728744505598,461.347449512959,70.6726581672251,103.944943247783,1.333333333,0.363636363,0.363636363,0.272727272,0.333333333,0,0,0,35,48,83,-0.241298034787178,-0.457496017217636,0.216197982430458,-3.68400001525879,-0.400652527809143,0.950219988822937,0.962500035762787,0.870000004768372,0.662999987602234,1,1,-0.149677753448486,-0.1042613739383,0,0,0.51807229,93.90697674,0.03614458,82.66666667,0.1686747,86.92857143,0.27710843,84.26086957,NA,0.875601291656494,0.0434236712753773,-0.704470276832581,-1.7625253200531,2.03628207361975,1.44745570917924,-5.03193054880415,-7.66315356544826,0.25490196,0.71875,0.43373494,0.46153846,0.7826087,0.66666667,0.38554217,0.57894737,0.14457831,5,4,2,1,6,4,11,0.45454545,0.36363636,0.18181818,0.09090909,0.54545455,0.36363636,4.49367259019197,26,51.57988,54.72896,47.97017,49.21198,61.00391,37.10779,45.51897,53.94674,41.88805,43.51429,44.6095,38.23214,46.43293,58.75259,37.39149,0.34702,4.59762,98.8,91.92,89.56,100.22,88.8,95.2,97.38,102.24,100,83.96,106.82,101.24,98.9214457831325,92.5277108433735,94.6501204819277,0.51807229,0.18072289,0.02409639,0.27710843,93.9116267714389,86.513330078125,82.3499984741211,84.195652173913,8.64846730786701,1.88167394002279,0.735880136489868,9.88740075152853,9.61246863076853,1.82455139160156,-0.929806530475616,3.95379970384681,0.92127126082778,-0.657189223915339,0.00431566312909126,-1.7912409119308,2.14249130425065,-4.38126149276892,0.215783156454563,-7.78800396491652,0.29166667,0.62857143,0.43373494,0.42857143,0.81818182,0.66666667,0.42168675,17.109375,0.27710843,0.03614458,0.51807229,0.1686747,84.0096276324728,82.2072347005208,93.7470021802326,86.6099679129464,9.27078910495924,0.438013672828674,8.0545100722202,0.989489623478481,2.68054298732592,-1.56117995580037,8.68416151889535,0.424890688487462,-1.7912409119308,0.0436800308525562,0.92127126082778,-0.696553591638803,-7.78800396491652,1.45600102841854,2.14249130425065,-4.97538279742002,0.28571429,0.64705882,0.43373494,0.42857143,0.81818182,0.66666667,0.40963855,11,90.8648015802557,13.3976925936612,1,0.09090909,113.278,5,0.45454545,"2024-09-18",0
"DJ Herz",26389,"2024-09-13","MIA",24,2024,"WSN","H",23,1,0,1.8,1,1,0,0,0,0,0,0,5,20,4,1,1,1,1,0,0,0,0,5,9,1.8,7.2,5,0,1,5,6,2,0,0,1,1,0.25,0.05,0.2,3.59038158401489,1.8,0.210526315789474,1,0.230769230769231,1,4.3664797782898,-2.5664797782898,3.58088986575603,43.9378481443274,106.723635781096,88.3242780134703,0.833333333,0.153846153,0.384615384,0.461538461,0,0.166666666,2,3.6,28,59,87,0.170188099145889,-0.295679956674576,0.465868055820465,1.45509994029999,0.151100724935532,1.24893999099731,1.01367998123169,0.870000004768372,1.45160007476807,1,1,0.0764589682221413,0.0598070656727212,0,0,0.51724138,93.35555556,0.08045977,82.57142857,0.13793103,86.58333333,0.26436782,83.26086957,NA,1.56915152072906,0.374740988016129,0.684292793273926,-2.0956084728241,3.48700337939792,5.35344268594469,5.70243994394938,-9.11134118619172,0.36734694,0.65789474,0.49425287,0.72222222,0.84,0.79069767,0.43678161,0.65,0.10344828,6,5,3,3,7,4,14,0.42857143,0.35714286,0.21428571,0.21428571,0.5,0.28571429,4.26092834660439,56,51.9069,53.792,45.11834,58.13426,57.6293,53.67978,33.60299,54.76931,35.44147,80,48.23372,80,54.01555,56.24533,50.90464,-0.12406,3.891,104.88,70.94,72.46,105.24,103.7,110.98,95.14,100.82,95.98,85.06,163.44,159.56,102.443488372093,97.2148837209302,100.321395348837,0.51724138,0.17241379,0.04597701,0.26436782,93.2822265625,85.9533365885417,81.5250015258789,83.2347836701766,9.03611450195313,1.4648733774821,0.924362897872925,10.0092945928159,9.65945366753472,1.92485186258952,-0.90069055557251,3.89054140837296,1.58680969104171,0.895059090107679,0.176063045859337,-2.11346473917365,3.52624375787046,5.96706060071786,4.40157614648342,-9.18897712684196,0.35,0.61702128,0.49425287,0.64285714,0.86206897,0.79069767,0.54022989,16.36363636,0.26436782,0.08045977,0.51724138,0.13793103,83.3203761888587,82.5797031947545,93.3811197916667,86.5723368326823,9.65367856233016,0.517292703901018,8.59536539713542,0.708445946375529,2.69982993084451,-1.67807197570801,8.58729858398437,0.83046833674113,-2.11346473917365,0.378643039613962,1.58680969104171,0.692479096353054,-9.18897712684196,5.40918628019946,3.52624375787046,5.77065913627545,0.33333333,0.625,0.49425287,0.69230769,0.83333333,0.79069767,0.55172414,14,86.5912240835337,14.0957712026743,3,0.21428571,100.264,3,0.21428571,"2024-09-13",0
"DJ Herz",26389,"2024-09-07","@PIT",24,2024,"WSN","A",23,1,0,0,1,1,0,0,0,0,0,0,5,18,0,0,0,0,3,0,0,0,0,5,9,5.4,0,1.66666667,0,0,5,4,1,1,0,0,0,0.27777778,0.16666667,0.11111111,4.73215809434021,0,0,0.6,0,1,2.96647977828979,-2.96647977828979,4.17608650326729,0,73.0760573165932,102.707635440677,1.25,0.1,0.5,0.4,0.25,0,4,7.2,34,53,87,0.294820010662079,-0.041013989597559,0.335833996534348,2.60500001907349,0.259591430425644,0.787744462490082,1.0647599697113,0.870000004768372,0.766600012779236,1,1,0.301999121904373,0.0722593143023946,0,0,0.57471264,94.1,0.04597701,82.5,0.11494253,86.7,0.26436782,84.60869565,NA,0.87708705663681,0.0823393613100052,0.598200917243958,1.24689412117004,1.75417411327362,2.05848403275013,5.98200917243958,5.42127878769584,0.29411765,0.72222222,0.47126437,0.53333333,0.80769231,0.70731707,0.4137931,0.66666667,0.13793103,5,1,4,2,5,3,10,0.5,0.1,0.4,0.2,0.5,0.3,2.11034016215204,69,43.19886,52.65477,37.24973,33.74254,60.05178,20,53.35069,52.79,57.63906,61.86483,46.80891,51.41866,33.28149,56.88801,20.79287,1.16407,5.8232,98.58,75.5,74.78,107.64,63.5,72.6,105.7,100.98,98.12,82.04,118.54,112.04,104.388735632184,73.1073563218391,77.6029885057471,0.57471264,0.13793103,0.02298851,0.26436782,93.997998046875,85.9249979654948,82.4000015258789,84.5782629925272,7.930625,1.10098799069722,1.02187252044678,9.8295434039572,9.90650817871094,2.16735299428304,-0.436785221099854,3.73822784423828,0.91870317235589,0.714733958244324,0.00431566312909126,1.25972726941109,1.83740634471178,5.9561163187027,0.215783156454563,5.47707508439603,0.25,0.69767442,0.47126437,0.45454545,0.8,0.70731707,0.49425287,15.04347826,0.26436782,0.04597701,0.57471264,0.11494253,84.545654296875,82.3984756469727,93.964794921875,86.5922302246094,9.34292602539062,0.276882767677307,7.46978149414062,0.189904677867889,2.27856694097104,-0.830891191959381,8.92059875488281,0.773281955718994,1.25972726941109,0.0830443985760212,0.91870317235589,0.636005222797394,5.47707508439603,2.07610996440053,1.83740634471178,6.36005222797394,0.25581395,0.68181818,0.47126437,0.45454545,0.8,0.70731707,0.50574713,10,86.1824401855469,6.17161598205566,0,0,100.129,4,0.4,"2024-09-07",1
"DJ Herz",26389,"2024-08-31","CHC",24,2024,"WSN","H",23,0,1,7.71428676527388,1,1,0,0,0,0,0,0,4.2,19,3,4,4,0,2,0,0,0,1,5,9.64285845659235,3.85714338263694,5.78571507395541,2.5,0,0,4,4,4,0,0,0,0,0.26315789,0.10526316,0.15789474,4.02996176764818,0,0.176470588235294,1.07142871739915,0.25,0.2,2.30933680437048,5.4049499609034,3.6053441862705,188.305089130221,57.2822931899167,88.9152343637442,1,0.333333333,0.333333333,0.333333333,0,0,2,3.85714338263694,32,55,87,-0.173400014638901,-0.491367965936661,0.31796795129776,-0.901900053024292,-0.0936552509665489,1.30348002910614,1.01999998092651,0.870000004768372,1.51839995384216,1,1,0.0679952129721642,-0.201023729533181,0,0,0.51724138,94.4,0.02298851,82.5,0.22988506,86.6,0.22988506,83.65,NA,2.0776731967926,-0.122333601117134,0.302421241998672,-1.02502751350403,4.61705154842801,-6.1166800558567,1.51210620999336,-5.12513756752014,0.35185185,0.6969697,0.48275862,0.68421053,0.86956522,0.78571429,0.37931034,0.63157895,0.10344828,5,7,0,1,7,4,12,0.41666667,0.58333333,0,0.08333333,0.58333333,0.33333333,3.82762677579155,51,39.01954,58.92193,35.59268,65.5412,50.40864,69.34182,41.87921,65.06551,38.49652,20,45.54018,20,49.98523,56.42004,49.78924,0.12633,4.26659,115.08,66,78.6,100.54,117.18,112.32,102.12,74.54,79.08,122.04,-192.1,-197.72,104.511034482759,91.5671264367816,92.9811494252874,0.51724138,0.24137931,0.01149425,0.22988506,94.2666666666667,86.3523821149554,81.8000030517578,83.7049987792969,7.90426500108507,1.00122833251953,1.05488216876984,9.4923698425293,8.98110487196181,1.51177124750046,-3.73586273193359,2.60724067687988,2.10620906949043,0.26885062083602,-0.0897959321737289,-1.04594422131777,4.68046459886763,1.28024105160009,-8.97959321737289,-5.22972110658884,0.25581395,0.70454545,0.48275862,0.54545455,0.87096774,0.78571429,0.50574713,17.80597015,0.22988506,0.02298851,0.51724138,0.22988506,83.777734375,82.4218444824219,94.3412868923611,86.6055358886719,9.0763069152832,0.813472509384155,7.2609619140625,0.117312395572662,1.4863410949707,-3.47594499588013,7.93566284179687,0.220637917518616,-1.04594422131777,-0.124844636768103,2.10620906949043,0.303899325430393,-5.22972110658884,-6.24223183840513,4.68046459886763,1.51949662715197,0.26190476,0.68888889,0.48275862,0.54545455,0.87096774,0.78571429,0.51724138,12,90.7001342773438,15.8908958435059,0,0,109.764,3,0.25,"2024-08-31",0
"DJ Herz",26389,"2024-08-25","@ATL",24,2024,"WSN","A",23,0,0,0,1,1,0,0,0,0,0,0,5,20,1,0,0,0,3,0,1,0,0,8,14.4,5.4,1.8,2.66666667,0,0,3,2,3,0,0,0,0,0.4,0.15,0.25,3.29154408401489,0,0.0625,0.8,0.125,1,2.3664797782898,-2.3664797782898,2.97128314077854,0,58.655666546092,73.5926903955643,1.5,0.375,0.375,0.25,0,0,1,1.8,34,58,92,0.306068032979965,-0.155255988240242,0.461324036121368,2.53500008583069,0.257621943950653,1.1771000623703,1.10704004764557,0.920000016689301,1.56880009174347,1,1,0.220656916499138,0.0393617877422355,0,0,0.45652174,93.64285714,0.04347826,81.5,0.19565217,85.55555556,0.30434783,83.17857143,NA,0.926122069358826,0.0976123809814453,0.205364167690277,0.881643116474152,2.20505254609244,2.44030952453613,1.14091204272376,3.14872541597911,0.32075472,0.71794872,0.48913043,0.58823529,0.64285714,0.62222222,0.42391304,0.55,0.18478261,4,1,3,0,6,2,8,0.5,0.125,0.375,0,0.75,0.25,3.53921290244417,70,69.74255,49.53708,62.69579,52.56756,49.33501,48.28225,22.97523,55.73,20,51.53005,46.20238,49.19971,51.46818,51.10381,45.24139,0.0342,4.12839,100.78,120.32,117.48,98.26,88.36,84.9,110.16,64.06,66.92,85.02,98.88,95.98,101.052826086957,93.4115217391304,91.4636956521739,0.45652174,0.20652174,0.0326087,0.30434783,93.5452357700893,85.4578921669408,80.7666676839193,83.0821446010045,7.69630214146205,0.261277826208817,0.565330783526103,8.65307181222098,9.24871898832775,1.43327492161801,-0.929181575775146,3.29461479187012,0.970058836042881,0.299731563776731,0.0436800308525562,0.929226811975241,2.30966389534019,1.57753454619332,1.45600102841854,3.31866718562586,0.31914894,0.66666667,0.48913043,0.53333333,0.66666667,0.62222222,0.48913043,17.66666667,0.30434783,0.06521739,0.45652174,0.17391304,82.993887765067,82.0903015136719,93.4639892578125,85.710563659668,8.4463391985212,0.597316821416219,7.39224315824963,-0.723234713077545,1.80858857291085,-1.58646170298258,8.30446588425409,0.11773294955492,0.929226811975241,0.0531641058623791,0.970058836042881,0.290247488766909,3.31866718562586,0.886068431039651,2.30966389534019,1.81404680479318,0.29166667,0.70454545,0.48913043,0.57142857,0.64516129,0.62222222,0.47826087,8,85.9924087524414,9.50854206085205,0,0,100.326,2,0.25,"2024-08-25",0
"DJ Herz",26389,"2024-08-20","COL",24,2024,"WSN","H",23,0,1,3.17647094462574,1,1,0,0,0,0,0,0,5.2,25,6,3,2,0,2,0,0,0,0,7,11.1176483061901,3.17647094462574,9.52941283387721,3.5,0,0,8,5,3,0,0,0,0,0.28,0.08,0.2,3.40715148401489,0,0.260869565217391,1.4117648642781,0.375,0.625,1.75471491401169,1.42175603061405,3.08884012800992,77.5373877776854,43.9525192085037,76.4335400557449,1.6,0.1875,0.5,0.3125,0,0,0,0,32,61,93,0.016680046916008,-0.44693198800087,0.463612020015717,0.454099982976913,0.0471547171473503,1.13689231872559,0.890999972820282,0.870000004768372,1.35399997234344,1,1,0.0955971330404282,-0.0809255175837368,0,0,0.53763441,93.66,0.01075269,81,0.1827957,85.58823529,0.2688172,84.4,NA,-0.0300941318273544,-0.0344077162444592,-0.232290744781494,0.770992755889893,-0.0601882636547089,-3.44077162444592,-1.36641614577349,3.08397102355957,0.34615385,0.75609756,0.52688172,0.61111111,0.80645161,0.73469388,0.44086022,0.8,0.13978495,6,6,4,2,10,4,16,0.375,0.375,0.25,0.125,0.625,0.25,2.09428863375836,56,65.22253,53.51821,60.80983,55.99094,54.78738,57.92345,51.48711,54.30619,59.00906,20,44.12189,20,57.31561,54.5455,59.93661,-0.32908,3.58347,105.62,111.88,111.14,105.9,92.48,89.46,92.6,120.24,118.72,80.78,51.82,45.32,103.123440860215,102.332258064516,100.161935483871,0.53763441,0.1827957,0.01075269,0.2688172,93.602001953125,85.5411735983456,81.1999969482422,84.33599609375,7.56508972167969,-0.381079729865579,-0.323271334171295,10.0332482910156,9.86013122558594,1.25549866171444,-2.10463690757751,3.20716613769531,-0.061398833990097,-0.234735436737537,-0.0350487045943737,0.77631077170372,-0.122797667980194,-1.3807966866914,-3.50487045943737,3.10524308681488,0.23255814,0.76,0.51612903,0.7,0.76315789,0.75,0.53763441,17.03125,0.2688172,0.01075269,0.53763441,0.1827957,84.753154296875,81.5947036743164,94.037431640625,85.9595372817096,9.27116149902344,-1.27155995368958,6.71015319824219,-1.47247224695542,1.82955657958984,-2.93811011314392,8.73530578613281,-0.0494571573594037,0.77631077170372,-0.0350487045943737,-0.061398833990097,-0.234735436737537,3.10524308681488,-3.50487045943737,-0.122797667980194,-1.3807966866914,0.25,0.73584906,0.52688172,0.6,0.76923077,0.73469388,0.56989247,16,84.4194946289062,15.1035814285278,0,0,102.741,3,0.1875,"2024-08-20",0
"DJ Herz",26389,"2024-08-14","@BAL",24,2024,"WSN","A",23,0,1,3,1,1,1,0,0,0,0,0,6,23,4,2,2,1,2,0,0,0,0,5,7.5,3,6,2.5,0,1,7,7,1,1,0,1,1,0.2173913,0.08695652,0.13043478,4.32727917367728,1.5,0.19047619047619,1,0.2,0.86956522,4.6664797782898,-1.6664797782898,4.26382291888197,73.2297469072123,113.933831166347,104.827849409702,1,0.066666666,0.466666666,0.466666666,0.142857142,0.142857142,1,1.5,27,58,85,0.0557400621473789,-0.297639966011047,0.353380024433136,0.801999986171722,0.0862365663051605,0.77547824382782,0.80733335018158,0.870000004768372,0.71399998664856,1,1,0.104232348501682,-0.0323540429643899,0,0,0.41176471,94.37142857,NA,NA,0.35294118,86.73333333,0.23529412,85.4,NA,-0.886039674282074,NA,0.0226184241473675,2.12652039527893,-2.53154192652021,NA,0.0753947471578916,10.6326019763947,0.38297872,0.76315789,0.55294118,0.72222222,0.75862069,0.74468085,0.44705882,0.52173913,0.14117647,8,4,4,2,11,3,16,0.5,0.25,0.25,0.125,0.6875,0.1875,3.5386847241517,57,43.60438,50.3065,40.71992,73.25362,56.3298,72.88175,46.64243,59.29815,45.64855,NA,NA,NA,57.4238,58.71729,55.48591,-0.3358,3.57339,103.88,82.66,81.3,99.04,113.66,113.16,84.5,94.6,95.34,NA,NA,NA,95.0470588235294,99.6388235294118,99.3741176470588,0.41176471,0.35294118,NA,0.23529412,94.2314313616071,86.6100016276042,NA,85.3799987792969,7.89997035435268,0.18817769686381,NA,10.0315933227539,9.49200003487723,1.39175020853678,NA,3.35945625305176,-0.884542163461447,0.00162308290600777,NA,2.22179152444005,-2.52726332417556,0.00541027635335922,NA,11.1089576222003,0.35,0.73333333,0.55294118,0.57142857,0.81818182,0.74468085,0.52941176,17.04918033,0.23529412,NA,0.41176471,0.35294118,85.1085571289063,NA,93.967822265625,86.3329508463542,9.53547668457031,NA,7.36725289481027,-0.682440821329753,1.91842842102051,NA,8.51114153180804,0.295952320098877,2.22179152444005,NA,-0.884542163461447,0.00162308290600777,11.1089576222003,NA,-2.52726332417556,0.00541027635335922,0.36842105,0.70212766,0.55294118,0.57142857,0.81818182,0.74468085,0.55294118,16,87.9858723958333,12.3620432535807,1,0.0625,113.101,3,0.1875,"2024-08-14",0
"DJ Herz",26389,"2024-08-08","SFG",24,2024,"WSN","H",23,0,0,6.75000160932579,1,1,0,0,0,0,0,0,2.2,16,4,2,2,0,4,0,0,0,0,4,13.5000032186516,13.5000032186516,13.5000032186516,1,0,0,2,4,2,1,0,0,0,0.25,0.25,0,6.64407283401489,0,0.333333333333333,3.00000071525591,0.5,0.75,4.66648013591775,2.08352147340804,6.93449328598702,164.766969824734,113.933839761571,169.366531316476,0.5,0.25,0.25,0.5,0.25,0,1,3.3750008046629,35,39,74,-0.130640000104904,-0.443420022726059,0.312780022621155,-1.12090003490448,-0.116396673023701,1.49169409275055,0.930000007152557,0.870000004768372,1.94160008430481,1,1,-0.129611924290657,0.0420336461840408,0,0,0.60810811,92.46666667,0.01351351,84,0.13513514,86.1,0.24324324,83.27777778,NA,-1.19040083885193,0.173208177089691,-0.66188657283783,0.0327415615320206,-2.64533519744873,17.3208177089691,-6.6188657283783,0.181897564066781,0.1627907,0.77419355,0.41891892,0.85714286,0.83333333,0.83870968,0.41891892,0.4375,0.06756757,4,2,2,1,4,3,8,0.5,0.25,0.25,0.125,0.5,0.375,4.59937876924262,38,26.22325,52.58056,21.23656,36.96181,48.17243,31.203,20,43.55508,20,NA,NA,NA,21.61125,46.75447,20,1.8891,6.91074,100.8,47.66,50.64,90.86,82.22,75.16,80.44,49.48,52.32,NA,NA,NA,91.7289189189189,68.9467567567568,65.8005405405405,0.60810811,0.14864865,NA,0.24324324,92.3666666666667,85.7545443448153,NA,83.2333306206597,8.50020684136285,2.08206367492676,NA,10.2801327175564,8.94314710828993,2.43415849859064,NA,2.61024538675944,-1.24864650517702,-0.501582819968462,NA,0.0273163095116615,-2.77477001150449,-4.55984381789511,NA,0.151757275064786,0.17073171,0.72727273,0.41891892,0.85714286,0.83333333,0.83870968,0.44594595,19.22807018,0.24324324,NA,0.60810811,0.14864865,83.5269843207465,NA,92.6667100694444,86.0498934659091,9.83595530192057,NA,7.91267903645833,1.17378182844682,1.79417737325033,NA,8.1928466796875,1.31578688188033,0.0273163095116615,NA,-1.24864650517702,-0.501582819968462,0.151757275064786,NA,-2.77477001150449,-4.55984381789511,0.17073171,0.72727273,0.41891892,0.85714286,0.83333333,0.83870968,0.44594595,8,95.5973510742188,24.6331977844238,1,0.125,103.255,5,0.625,"2024-08-08",0
"DJ Herz",26389,"2024-08-03","MIL",24,2024,"WSN","H",23,1,0,0,1,1,0,0,0,0,0,0,5,20,2,1,0,0,1,0,1,1,0,6,10.8,1.8,3.6,6,0.2,0,5,5,2,1,1,0,0,0.3,0.05,0.25,3.00450908401489,0,0.111111111111111,0.6,0.166666666666667,0.75,1.9664797782898,-1.9664797782898,3.47848818451166,0,49.0420726990911,85.8496672887804,1,0.166666666,0.416666666,0.416666666,0.2,0,6,10.8,28,49,77,0.134095996618271,-0.115571983158588,0.249667972326279,1.45509994029999,0.151100724935532,0.573180973529816,0.622240006923676,0.870000004768372,0.40039998292923,1,1,0.130995661020279,0.102954876089264,0,0,0.67532468,93.96153846,0.01298701,80,0.11688312,86.22222222,0.19480519,84.73333333,NA,1.58408045768738,-0.0344077162444592,0.682089388370514,-0.852551400661469,3.04630857247573,-3.44077162444592,7.5787709818946,-5.68367600440979,0.23076923,0.71052632,0.46753247,0.88888889,0.74074074,0.77777778,0.49350649,0.6,0.1038961,7,4,1,1,6,5,12,0.58333333,0.33333333,0.08333333,0.08333333,0.5,0.41666667,1.73268140066775,67,50.36235,44.98785,48.23898,41.96026,46.33356,38.25832,77.28618,69.33479,80,20,43.66958,20,43.32167,45.56298,42.95428,0.54031,4.88756,98.02,78.78,77.8,87.48,90.2,78.02,95.8,128.82,127.42,79.5,27,20.36,90.4405263157895,91.6878947368421,83.0678947368421,0.67532468,0.11688312,0.01298701,0.19480519,93.921151968149,86.2444458007812,80.3000030517578,84.686669921875,7.24518467829778,-0.0829176041815016,0.409769088029861,8.99233194986979,8.52356133094201,1.37735144297282,-3.71600246429443,3.19199244181315,1.63630529120564,0.690139874815941,-0.0350487045943737,-0.865661315619946,3.14674094462624,7.66822083128823,-3.50487045943737,-5.7710754374663,0.14705882,0.72093023,0.46753247,0.8,0.77419355,0.77777778,0.55844156,16.94736842,0.19480519,0.01298701,0.67532468,0.11688312,84.3692301432292,79.9731979370117,93.6271127554087,85.9426879882812,8.67210896809896,0.155137002468109,6.78974386361929,-0.80348719490899,2.02867558797201,-4.8078498840332,7.73217362623948,0.378409359190199,-0.865661315619946,-0.0350487045943737,1.63630529120564,0.690139874815941,-5.7710754374663,-3.50487045943737,3.14674094462624,7.66822083128823,0.14705882,0.72093023,0.46753247,1,0.74193548,0.77777778,0.55844156,12,92.7420857747396,15.1665573120117,0,0,108.185,4,0.33333333,"2024-08-03",0
