"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","SF%","SFv","wFB","wSL","wCB","wSF","wFB/C","wSL/C","wCB/C","wSF/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_KC","pb_s_KC","pb_c_KC","pb_o_FC","pb_s_FC","pb_c_FC","pb_o_FS","pb_s_FS","pb_c_FS","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_KC","sp_l_KC","sp_p_KC","sp_s_FS","sp_l_FS","sp_p_FS","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxFS%","pfxSL%","pfxKC%","pfxvFA","pfxvFC","pfxvFS","pfxvSL","pfxvKC","pfxFA-X","pfxFC-X","pfxFS-X","pfxSL-X","pfxKC-X","pfxFA-Z","pfxFC-Z","pfxFS-Z","pfxSL-Z","pfxKC-Z","pfxwFA","pfxwFC","pfxwFS","pfxwSL","pfxwKC","pfxwFA/C","pfxwFC/C","pfxwFS/C","pfxwSL/C","pfxwKC/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCU%","piFA%","piFS%","piSI%","piSL%","pivCU","pivFA","pivFS","pivSI","pivSL","piCU-X","piFA-X","piFS-X","piSI-X","piSL-X","piCU-Z","piFA-Z","piFS-Z","piSI-Z","piSL-Z","piwCU","piwFA","piwFS","piwSI","piwSL","piwCU/C","piwFA/C","piwFS/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Carlos Hernandez",22713,"2024-09-29","@ATL",7,2024,"KCR","A",27,0,0,0,1,0,0,0,0,0,1,0,1.2,6,0,0,0,0,1,0,0,0,0,1,5.40000205993731,5.40000205993731,0,1,0,0,1,2,1,0,0,0,0,0.16666667,0.16666667,0,5.98386797026267,0,0,0.600000228881923,0,1,3.76648000717172,-3.76648000717172,5.58089078678074,0,91.7881280936203,136.993529931512,0.5,0.25,0.25,0.5,0,0,0,0,15,20,35,0.117663994431496,-0.0226079951971769,0.140271991491318,0.782000005245209,0.079471543431282,1.02833330631256,1.46480000019073,1.38359999656677,1.36479997634888,1,1,0.0903101861476898,0.0241118535832024,1,0,0.51428571,96.22222222,0.2,85.14285714,0.2,81.42857143,0.08571429,86,0.882514178752899,-0.183763161301613,0.212085232138634,0.0447209104895592,4.90285654862722,-2.62518801859447,3.02978903055191,1.49069701631864,0.22727273,0.76923077,0.42857143,0.8,0.7,0.73333333,0.37142857,0.5,0.11428571,1,3,0,0,4,0,4,0.25,0.75,0,0,1,0,4.96614708584799,49.53524,53.51743,39.85079,27.19205,56.6537,20.78473,24.08146,42.06445,47.14595,NA,NA,NA,34.65877,51.12116,32.55695,33.76965,49.52349,31.36743,1.13374,5.7777,104.46,91.6,93.8,130.92,94.28,99.94,110.86,107.44,100.6,93.28,79.52,82.3,109.864571428571,92.056,91.9331428571429,0.51428571,NA,0.08571429,0.2,0.2,96.1277804904514,NA,85.7333374023438,85.028573172433,81.2428588867188,-4.35044394599067,NA,-6.43537012736003,2.40530667986189,2.08142730167934,10.0668987698025,NA,6.27158991495768,-0.197702952793666,-3.38997159685407,0.890921570360661,NA,0.044766403734684,-0.187958758324385,0.214739698916674,4.94956427978145,NA,1.4922134578228,-2.68512511891978,3.06770998452391,0.21052632,0.6875,0.42857143,0.75,0.72727273,0.73333333,0.45714286,17.34482759,0.22857143,0.48571429,0.08571429,0.02857143,0.17142857,81.5029602050781,96.04638671875,85.6605326334635,96.1920013427734,85.1225840250651,2.49179005622864,-3.75349291633157,-6.3013235727946,-7.6516900062561,3.49005508422852,-4.03226137161255,9.47540283203125,5.64197985331217,7.40823984146118,-1.45393546422323,0.124943766742945,0.6690369322896,0.044766403734684,0.22188463807106,-0.0981628261506557,1.56179708428681,3.93551136640941,1.4922134578228,22.188463807106,-1.63604710251093,0.21052632,0.6875,0.42857143,0.75,0.72727273,0.73333333,0.45714286,4,92.2779769897461,20.1473064422607,0,0,100.087,1,0.25,"2024-09-29",0
"Carlos Hernandez",22713,"2024-09-27","@ATL",7,2024,"KCR","A",27,0,0,0,1,0,0,0,0,0,0,0,2,7,0,1,0,0,1,0,0,0,0,2,9,4.5,0,2,0,0,2,2,0,0,0,0,0,0.28571429,0.14285714,0.14285714,3.93407601794024,0,0,0.5,0,0,2.6664797782898,-2.6664797782898,4.17848818451166,0,64.4428371776046,102.105161598471,1,0,0.5,0.5,0,0,0,0,11,17,28,-0.00281598884612322,-0.0412079803645611,0.0383919924497604,0.0139999836683273,0.00142276659607887,0.287000000476837,0.32039999961853,0.406000018119812,NA,0,1,0.0115436045452952,-0.0213554123552067,0,0,0.39285714,97,0.32142857,84.33333333,0.10714286,83.66666667,0.17857143,89.8,0.150176733732224,0.219689443707466,0.265852570533752,0.506797254085541,1.3652430339293,2.44099381897185,8.86175235112508,10.1359450817108,0.25,0.83333333,0.5,0.5,0.6,0.57142857,0.42857143,0.57142857,0.21428571,2,2,0,1,2,1,4,0.5,0.5,0,0.25,0.5,0.25,1.32929295726606,63.06183,57.68056,62.47574,25.79326,45.33678,23.23591,64.44192,39.44376,70.16953,NA,NA,NA,33.91577,52.90933,49.19425,44.37259,51.89626,45.9948,0.47502,4.78962,90.6,97.5,94.24,92.92,59.38,66.1,118.6,109.58,119.04,95.02,87.48,57.2,95.135,84.7521428571429,81.2378571428571,0.39285714,NA,0.17857143,0.32142857,0.10714286,96.8363591974432,NA,89.6599975585937,84.4222208658854,83.6666666666667,-5.27868548306552,NA,-6.91838989257812,3.50264083014594,3.01037375132243,10.2587363503196,NA,7.21401443481445,-0.596864912245009,-1.76391506195068,0.150748271495104,NA,0.512857735157013,0.21863853558898,0.269207611680031,1.37043883177367,NA,10.2571547031403,2.42931706209977,8.97358705600103,0.21428571,0.78571429,0.5,0.33333333,0.63636364,0.57142857,0.5,17.19047619,0.17857143,0.39285714,0.17857143,NA,0.25,83.5111022949219,96.6512340198864,89.4574829101562,NA,84.4579729352679,2.51970405578613,-4.54519098455256,-6.59067001342773,NA,5.67536435808454,-2.83390007019043,9.07609627463601,5.99802780151367,NA,-1.99034432002476,0.0535043850541115,0.150748271495104,0.512857735157013,NA,0.434341762214899,1.07008770108223,1.37043883177367,10.2571547031403,NA,6.2048823173557,0.23076923,0.73333333,0.5,0.33333333,0.63636364,0.57142857,0.53571429,4,70.3099060058594,15.006646156311,0,0,99.065,1,0.25,"2024-09-27",0
"Carlos Hernandez",22713,"2024-09-21","SFG",7,2024,"KCR","H",27,0,0,40.5000422448361,1,0,0,0,0,0,0,0,0.2,5,2,3,3,1,0,0,1,0,0,0,0,0,27.000028163224,0,0,0,1,3,0,0,0,0,0,0,0,0,7.74112908401489,13.500014081612,0.5,3.00000312924711,0.333333333333333,0,27.1665048122667,13.3335374325693,14.4705293973308,963.020280162619,673.497539543199,358.146133107427,0.333333333,0,0.25,0.75,0,0.333333333,0,0,7,13,20,-0.0588880032300949,-0.0784140005707741,0.0195259973406792,-3.77999997138977,-0.370044052600861,0.455480009317398,0.29050001502037,0.581000030040741,0.00999999977648258,1,1,-0.135145142674446,0.00585735391210943,0,0,0.55,96.72727273,0.15,85.33333333,0.2,82.75,0.1,89.5,0.449684858322144,-0.463952898979187,-1.51109743118286,-0.096498891711235,4.08804416656494,-15.4650966326396,-37.7774357795715,-4.82494458556175,0.27272727,0.77777778,0.5,0.66666667,0.85714286,0.8,0.45,0.6,0.1,4,0,0,0,2,2,4,1,0,0,0,0.5,0.5,18.7765253499989,39.31839,50.61364,32.83132,80,52.00681,80,39.39926,48.18279,50.16967,NA,NA,NA,20,39.24703,20,36.89,46.24749,35.86469,0.93989,5.48693,95.44,62.46,59.18,121.3,130.16,143.78,115.02,79.32,77.58,75.96,29.74,19.5,101.287,72.715,71.582,0.55,NA,0.1,0.15,0.2,96.7363614169034,NA,89.5999984741211,85.1000010172526,82.9500045776367,-5.98051244562322,NA,-7.02244281768799,3.57444349924723,1.94980442523956,9.92088179154829,NA,7.37378978729248,0.668789784113566,-1.99774038791656,0.43490844219923,NA,-0.0984223820269108,-0.471209853887558,-1.51371193304658,3.95371311090209,NA,-4.92111910134554,-15.7069951295853,-37.8427983261645,0.125,0.75,0.5,1,0.77777778,0.8,0.6,18.06666667,0.25,0.6,0.05,NA,0.1,83.240380859375,96.0662434895833,86.6919021606445,NA,84.3845520019531,2.61709594726562,-5.68975385030111,-8.02495002746582,NA,4.69076538085938,-3.20426025390625,8.71392758687337,5.82911014556885,NA,0.785372972488403,-1.47434756532311,0.399859737604856,-0.0633736774325371,NA,-0.510574221611023,-29.4869513064623,3.33216448004047,-6.33736774325371,NA,-25.5287110805511,0,0.71428571,0.5,NA,0.8,0.8,0.7,4,93.5361709594727,31.0516777038574,1,0.25,103.815,3,0.75,"2024-09-21",0
"Carlos Hernandez",22713,"2024-09-18","DET",7,2024,"KCR","H",27,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,0,0,0,0,1,9,18,0,0.5,0,0,1,0,0,0,0,0,0,0.25,0.5,-0.25,12.8727915840149,0,0,2,0,1,7.1664797782898,-7.1664797782898,7.1664797782898,0,176.309913102804,176.439130411058,1,0,1,0,0,0,0,0,10,10,20,0.0196940042078495,-0.0287459976971149,0.0484400019049644,0.533999979496002,0.0522760674357414,0.483150005340576,0.321000009775162,0.321000009775162,NA,0,1,0.0157855618745089,0.024976114603104,0,0,0.55,98.81818182,0.1,86.5,0.25,84.2,0.1,90,0.394845098257065,-0.111731298267841,0.249595299363136,-0.109488278627396,3.58950089324604,-5.58656491339207,4.99190598726273,-5.47441393136978,0.25,0.5,0.35,0.66666667,0.5,0.57142857,0.4,0.75,0.15,1,0,0,0,1,0,1,1,0,0,0,1,0,9.05257874419478,71.61119,60.5323,67.09661,53.13066,73.69401,57.26941,60.29472,49.94152,62.33648,NA,NA,NA,31.64793,45.57769,43.11262,64.3447,56.12871,64.46368,-0.76577,2.92844,101.12,97.02,102.38,128.04,119,133.38,101.98,128.16,139.64,82.72,72.96,62.74,102.187,104.597,110.831,0.55,NA,0.1,0.1,0.25,98.627274946733,NA,89.8000030517578,86.6999969482422,83.8200012207031,-4.89481284401633,NA,-6.22622346878052,3.75235319137573,1.68937377929688,10.02347425981,NA,5.79527950286865,1.63847053050995,-3.58011360168457,0.397457960993052,NA,-0.1116958335042,-0.114038866013288,0.252217136323452,3.61325419084592,NA,-5.58479167521,-5.70194330066442,5.04434272646904,0.16666667,0.625,0.35,0.5,0.6,0.57142857,0.4,17.5625,0.35,0.55,0.1,NA,NA,84.465340750558,98.4817560369318,89.63330078125,NA,NA,2.62685421534947,-4.754544691606,-6.40508508682251,NA,NA,-3.41793414524623,9.02046966552734,4.48547983169556,NA,NA,0.138178270310163,0.397457960993052,-0.1116958335042,NA,NA,1.97397529014519,3.61325419084592,-5.58479167521,NA,NA,0.18181818,0.55555556,0.35,0.5,0.6,0.57142857,0.45,1,79.582763671875,-10.2761468887329,0,0,79.5828,0,0,"2024-09-18",0
"Carlos Hernandez",22713,"2024-09-16","DET",7,2024,"KCR","H",27,0,0,0,1,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,1,9,0,18,1,0,0,2,0,1,0,0,0,0,0.25,0,0.25,0.992229084014893,0,0.5,2,0.666666666666667,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,27.1538118692049,27.173712862954,2,0.333333333,0.666666666,0,0,0,0,0,1,11,12,0.0417679995298386,-0.0184779968112707,0.0602459982037544,0.533999979496002,0.0522760637104511,0.799600005149841,0.703400015830994,0.703400015830994,NA,0,1,0.0339535437524319,0.018282573382174,0,0,0.5,99.5,0.08333333,85,0.25,83,0.16666667,90,-0.197640314698219,-0.0207000374794006,0.132020100951195,-0.657358109951019,-3.29400524497032,-2.07000374794006,4.40067003170649,-32.867905497551,0.8,0.71428571,0.75,0.5,0.6,0.55555556,0.58333333,1,0.33333333,2,1,0,0,2,1,3,0.66666667,0.33333333,0,0,0.66666667,0.33333333,3.30020570302386,80,56.70989,80,76.37423,60.45572,80,42.99756,50.0803,45.78192,NA,NA,NA,80,50.26899,80,80,52.9395,80,-2.15969,0.83756,107.98,145.38,147.4,152.36,201.36,203.68,97.38,88.76,95.86,100.78,143.24,127.72,107.828333333333,135.533333333333,135.925,0.5,NA,0.16666667,0.08333333,0.25,99.2166646321615,NA,89.5999984741211,84.9000015258789,83.0333353678385,-5.976775487264,NA,-6.31032943725586,1.63940143585205,2.67021592458089,9.37593777974447,NA,6.42030239105225,-1.85114455223083,-2.77502950032552,-0.201990332454443,NA,-0.66324944794178,-0.0210469514131546,0.133502695709467,-3.36650554090738,NA,-33.162472397089,-2.10469514131546,4.45008985698223,0.83333333,0.66666667,0.75,0.4,0.75,0.55555556,0.5,18.625,0.33333333,0.5,0.16666667,NA,NA,83.3497772216797,99.0835774739583,89.4568023681641,NA,NA,2.76894760131836,-5.87943649291992,-6.33360481262207,NA,NA,-4.18958234786987,8.53693135579427,5.37931537628174,NA,NA,0.112455744296312,-0.201990332454443,-0.66324944794178,NA,NA,2.81139360740781,-3.36650554090738,-33.162472397089,NA,NA,0.83333333,0.66666667,0.75,0.4,0.75,0.55555556,0.5,3,88.4371337890625,6.90514055887858,0,0,99.5011,1,0.33333333,"2024-09-16",0
"Carlos Hernandez",22713,"2024-09-15","@PIT",7,2024,"KCR","A",27,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,1,2,0,0,0,0,0,0.25,0,0.25,3.28666658401489,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,4.19049659073353,0,27.1538118692049,102.403901559937,0.5,0,0.333333333,0.666666666,0,0,0,0,8,12,20,0.0489619970321655,-0.0117659997195005,0.0607279986143112,0.521000027656555,0.0519182868301868,0.681150019168854,0.845200002193451,0.845200002193451,0.768999993801117,1,1,0.0522599518299103,0.0196214188729922,0,0,0.7,98.78571429,0.15,87,0.1,84.5,0.05,88,0.372918844223022,-0.0286024995148182,0.0197809934616089,-0.0620911717414856,2.66370603016445,-0.95341665049394,0.989049673080444,-6.20911717414856,0.30769231,0.71428571,0.45,0.5,0.8,0.66666667,0.35,0.5,0.15,0,2,1,0,2,1,3,0,0.66666667,0.33333333,0,0.66666667,0.33333333,-0.0878647537091454,57.14734,54.50004,39.79447,21.62457,57.11064,23.39015,23.0876,46.54235,20,NA,NA,NA,20,45.50974,20,40.30093,50.39243,23.28996,0.72798,5.16906,111.48,92.86,105.58,119.08,77,92.72,91.72,70.94,68.38,85.04,-27.02,-30.32,109.322,82.295,93.136,0.7,NA,0.05,0.15,0.1,98.6857125418527,NA,87.9000015258789,86.7000020345052,84.3999938964844,-5.64941024780273,NA,-3.90949583053589,4.172394434611,1.84665703773499,9.6814444405692,NA,5.81038904190063,-0.598297317822774,-2.67337393760681,0.419045250862837,NA,-0.0633736774325371,-0.0296466685831547,0.0197252556681633,2.99318036330598,NA,-6.33736774325371,-0.988222286105156,0.986262783408165,0.27272727,0.66666667,0.45,0.33333333,0.83333333,0.66666667,0.45,15.6875,0.1,0.7,0.05,NA,0.15,84.3215026855469,98.6258283342634,87.8062973022461,NA,86.6068725585938,2.57216501235962,-5.22227913992746,-3.93345999717712,NA,5.00710678100586,-4.27697992324829,8.82400621686663,5.26421022415161,NA,-1.56862195332845,0.0197252556681633,0.419045250862837,-0.0633736774325371,NA,-0.0296466685831547,0.986262783408165,2.99318036330598,-6.33736774325371,NA,-0.988222286105156,0.27272727,0.66666667,0.45,0.33333333,0.83333333,0.66666667,0.45,3,98.1712036132812,17.1615371704102,0,0,98.4924,3,1,"2024-09-15",0
"Carlos Hernandez",22713,"2024-09-13","@PIT",7,2024,"KCR","A",27,0,0,0,1,0,0,0,0,0,0,0,1.1,6,1,0,0,0,1,0,0,0,0,1,6.75000160932579,6.75000160932579,6.75000160932579,1,0,0,1,3,0,0,0,0,0,0.16666667,0.16666667,0,6.50739574934539,0,0.2,1.50000035762795,0.25,1,3.91647995710377,-3.91647995710377,7.31849968220768,0,95.5170293798036,180.221016150045,0.333333333,0,0.25,0.75,0,0,0,0,11,17,28,0.0230619981884956,-0.010945999994874,0.0340080000460148,0.73199999332428,0.0729446932673454,0.266866654157639,0.306933343410492,0.402799993753433,0.19140000641346,1,1,0.00994500424712896,0.0764726797504861,0,0,0.5,98.71428571,0.21428571,87,0.21428571,84.66666667,0.07142857,91,0.778934419155121,-0.937951743602753,0.181524410843849,0,5.56381727967943,-15.6325290600459,3.02540684739749,0,0.25,0.875,0.42857143,0.6,1,0.83333333,0.28571429,0.83333333,0.07142857,3,1,0,1,2,1,4,0.75,0.25,0,0.25,0.5,0.25,2.17426834599901,53.86447,68.21585,51.94801,58.28471,62.4346,56.11885,51.98491,55.82104,50.67779,NA,NA,NA,80,67.32053,80,58.84871,65.95297,57.12877,-0.42433,3.4406,102.9,83.68,95.38,120.86,119.62,135.04,130.24,92.98,103.5,133.2,194.12,209.76,114.771428571429,101.262857142857,113.788571428571,0.5,NA,0.07142857,0.21428571,0.21428571,98.6928536551339,NA,90.9499969482422,86.9000040690104,84.5666656494141,-5.80947766985212,NA,-7.96119976043701,3.77854951222738,2.15613651275635,10.3275451660156,NA,5.15006542205811,-0.273378233114878,-3.54414240519206,0.786219332367182,NA,0,-0.948941331356764,0.182819072157145,5.6158523740513,NA,0,-15.8156888559461,3.04698453595241,0.29411765,0.63636364,0.42857143,0.6,1,0.83333333,0.39285714,18,0.17857143,0.5,0.07142857,NA,0.25,84.5244201660156,98.636221749442,90.9015045166016,NA,86.4559151785714,1.52119417190552,-5.32293810163225,-7.88741970062256,NA,5.18361282348633,-4.91377792358398,9.05742808750698,3.74357986450195,NA,-2.38857105800084,0.133210871368647,0.786219332367182,0,NA,-0.899333130568266,2.66421742737293,5.6158523740513,0,NA,-12.8476161509752,0.29411765,0.63636364,0.42857143,0.6,1,0.83333333,0.39285714,4,87.5059432983398,36.6927452087402,1,0.25,100.185,1,0.25,"2024-09-13",0
"Carlos Hernandez",22713,"2024-09-09","@NYY",7,2024,"KCR","A",27,0,0,0,1,0,0,0,0,0,0,0,0.2,3,0,0,0,0,1,0,0,1,0,0,0,13.500014081612,0,0,0,0,0,2,0,0,0,0,0,0,0.33333333,-0.33333333,14.4338401827424,0,0,1.50000156462356,0,1,7.66648447216047,-7.66648447216047,12.202514422274,0,188.739704892179,301.723432731227,0,0,0,1,0,0,0,0,7,7,14,0.00666001159697771,-0.00987599790096283,0.016536008566618,0.257999986410141,0.0267912764102221,0.259599983692169,0.0775999948382378,0.155199989676476,0.106799997389317,1,1,-0.00261991587467492,0.0282748157797345,0,0,0.5,97.71428571,0.07142857,87,0.14285714,82.5,0.28571429,89.75,0.135225594043732,-0.0373910665512085,0.215415522456169,-0.127529680728912,1.93179420062474,-3.73910665512085,10.7707761228085,-3.18824201822281,0.22222222,0.8,0.42857143,0.5,1,0.83333333,0.35714286,0.66666667,0.07142857,0,1,1,2,0,0,2,0,0.5,0.5,1,0,0,6.08875410304404,29.31736,67.75404,20,34.19483,73.52577,20,47.74529,42.98021,43.81556,NA,NA,NA,20,51.6015,20,20,60.6386,20,3.0909,8.71344,98.88,51.7,74.82,156.46,132.78,151.06,92.34,97.2,105.28,85.56,10.62,-8.22,98.2528571428572,52.2542857142857,60.8914285714286,0.5,NA,0.28571429,0.07142857,0.14285714,97.7571411132812,NA,89.5250015258789,87.1999969482422,82.4499969482422,-4.6689567565918,NA,-7.28981876373291,0.229386836290359,1.3986930847168,10.6349650791713,NA,6.37118768692017,-1.73266506195068,-2.56006813049316,0.134831730276346,NA,-0.130935527384281,-0.0380783230066299,0.217715758830309,1.92616757537637,NA,-3.27338818460703,-3.80783230066299,10.8857879415154,0.22222222,0.8,0.42857143,0.5,1,0.83333333,0.35714286,18.36363636,0.21428571,0.5,0.28571429,NA,NA,83.9137674967448,97.6811872209821,89.4376754760742,NA,NA,1.38401174545288,-4.47712271554129,-7.35742282867432,NA,NA,-3.97776985168457,9.58001382010324,4.99069499969482,NA,NA,0.179637435823679,0.134831730276346,-0.130935527384281,NA,NA,5.98791452745597,1.92616757537637,-3.27338818460703,NA,NA,0.22222222,0.8,0.42857143,0.5,1,0.83333333,0.35714286,2,75.0165939331055,55.9341087341309,0,0,80.6518,0,0,"2024-09-09",0
"Carlos Hernandez",22713,"2024-09-02","CLE",7,2024,"KCR","H",27,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,0,3,0,0,0,0,0,0.25,0,0.25,6.25129158401489,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,5.70250499695539,0,27.1538118692049,140.018995908429,0,0,0,1,0,0,1,9,4,10,14,0.017108004540205,-0.00983000360429287,0.0269380081444979,0.533999979496002,0.0522760637104511,0.312519997358322,0.284799993038177,0.284799993038177,0.321000009775162,1,1,0.023193471133709,0.0315486403625666,0,0,0.5,98.14285714,0.28571429,86,0.07142857,83,0.14285714,92.5,-0.263106793165207,0.0977344065904617,0,0.173208177089691,-3.75866847378867,2.44336016476154,0,8.66040885448456,0.5,0.5,0.5,0.25,1,0.57142857,0.42857143,1,0.21428571,1,0,2,0,0,3,3,0.33333333,0,0.66666667,0,0,1,-0.208922496962062,47.50629,58.29392,40.26704,54.27568,51.48171,55.17964,35.24307,47.18004,30.9007,NA,NA,NA,20,38.88104,53.00629,38.06087,52.72037,43.14409,0.86714,5.3778,99.78,81.5,82.7,81.6,127.22,127.22,156.86,17.06,8.36,92.84,72.6,45.96,97.6714285714286,88.6885714285714,84.8614285714286,0.5,NA,0.14285714,0.28571429,0.07142857,97.9571446010045,NA,92.3499984741211,86.0749969482422,83.0999984741211,-5.21501050676618,NA,-8.17120838165283,3.7039532661438,1.10146820545197,9.64912414550781,NA,8.53699111938477,0.409462749958038,-2.08382630348206,-0.264486439526081,NA,0.175081238150597,0.0986203551292419,0,-3.77837770751544,NA,8.75406190752983,2.46550887823105,0,0.42857143,0.57142857,0.5,0.33333333,0.75,0.57142857,0.5,14.4,0.14285714,0.5,0.14285714,NA,0.21428571,84.1573486328125,97.8670567103795,92.236198425293,NA,86.2272644042969,2.1924901008606,-5.04107992989676,-7.98605537414551,NA,4.8471097946167,-3.00696516036987,8.77929142543248,6.91131019592285,NA,-0.702855666478475,0.039364367723465,-0.264486439526081,0.175081238150597,NA,0.059255987405777,1.96821838617325,-3.77837770751544,8.75406190752983,NA,1.97519958019257,0.42857143,0.57142857,0.5,0.33333333,0.75,0.57142857,0.5,3,98.9133809407552,26.7602284749349,1,0.33333333,101.84,3,1,"2024-09-02",0
"Carlos Hernandez",22713,"2024-09-01","@HOU",7,2024,"KCR","A",27,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3,27,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,-0.337270915985107,0,0,0,0,1,-2.8335202217102,2.8335202217102,-2.8335202217102,0,-72.2835889531944,-72.3365655024484,0,0,0,0,0,0,0,0,3,11,14,0.0218039937317371,0,0.0218039937317371,0.476999998092651,0.0505564361810684,0.291799992322922,0.379000008106232,0.379000008106232,0.217399999499321,1,1,0.0745081752538681,0.000214217842042785,0,0,0.35714286,98.8,0.42857143,86.66666667,0.07142857,83,0.14285714,90,0.270983308553696,0.447215765714645,0.0572940893471241,0.0121269263327122,5.41966617107391,7.45359609524409,5.72940893471241,0.606346316635609,0.58333333,1,0.64285714,0.57142857,0.5,0.55555556,0.14285714,0.33333333,0.28571429,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-2.93668948359489,64.44447,61.49136,43.56967,80,66.40334,80,46.55093,43.66349,80,NA,NA,NA,51.58943,61.46268,75.36472,74.03723,66.77362,80,-1.36793,2.0252,123.88,111.62,130.04,126.02,134.5,142.92,107.06,96.66,111.72,99.28,113.44,110.56,120.081428571429,120.617142857143,131.468571428571,0.35714286,NA,0.14285714,0.42857143,0.07142857,98.9,NA,90,86.6166687011719,83.1999969482422,-4.61722755432129,NA,-9.00362205505371,4.17692852020264,2.15687680244446,10.6789855957031,NA,6.8994083404541,0.497132341066996,-4.02436637878418,0.273823387920856,NA,0.0120918154716492,0.452416900545359,0.057969942688942,5.47646775841713,NA,0.604590773582458,7.54028167575598,5.7969942688942,0.75,0.5,0.64285714,0.5,0.66666667,0.55555556,0.42857143,15.09090909,0.21428571,0.35714286,0.14285714,NA,0.28571429,84.3730977376302,99.1221801757813,90.2178039550781,NA,87.7756500244141,2.46310329437256,-4.12359580993652,-8.53981971740723,NA,6.15171241760254,-4.28505992889404,9.64242401123047,5.40193510055542,NA,0.178585737943649,0.292176440358162,0.273823387920856,0.0120918154716492,NA,0.218210402876139,9.7392146786054,5.47646775841713,0.604590773582458,NA,5.45526007190347,0.75,0.5,0.64285714,0.5,0.66666667,0.55555556,0.42857143,0,NA,NA,0,NA,NA,0,NA,"2024-09-01",0
