"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CB%","CBv","SF%","SFv","XX%","wFB","wSL","wCT","wCB","wSF","wFB/C","wSL/C","wCT/C","wCB/C","wSF/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_o_FS","pb_s_FS","pb_c_FS","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_s_FS","sp_l_FS","sp_p_FS","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxFS%","pfxSI%","pfxSL%","pfxCU%","pfxCH%","pfxvFA","pfxvFC","pfxvFS","pfxvSI","pfxvSL","pfxvCU","pfxvCH","pfxFA-X","pfxFC-X","pfxFS-X","pfxSI-X","pfxSL-X","pfxCU-X","pfxCH-X","pfxFA-Z","pfxFC-Z","pfxFS-Z","pfxSI-Z","pfxSL-Z","pfxCU-Z","pfxCH-Z","pfxwFA","pfxwFC","pfxwFS","pfxwSI","pfxwSL","pfxwCU","pfxwCH","pfxwFA/C","pfxwFC/C","pfxwFS/C","pfxwSI/C","pfxwSL/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCU%","piFA%","piFC%","piFS%","piSI%","piSL%","piXX%","pivCU","pivFA","pivFC","pivFS","pivSI","pivSL","pivXX","piCU-X","piFA-X","piFC-X","piFS-X","piSI-X","piSL-X","piXX-X","piCU-Z","piFA-Z","piFC-Z","piFS-Z","piSI-Z","piSL-Z","piXX-Z","piwCU","piwFA","piwFC","piwFS","piwSI","piwSL","piwXX","piwCU/C","piwFA/C","piwFC/C","piwFS/C","piwSI/C","piwSL/C","piwXX/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Mark Leiter Jr.",15551,"2024-09-29","PIT",9,2024,"NYY","H",33,0,0,0,1,0,0,0,0,0,0,0,1,6,1,0,0,0,2,0,0,0,0,3,27,18,9,1.5,0,0,0,0,1,0,0,0,0,0.5,0.33333333,0.16666667,5.58022907618889,0,0.25,3,1,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,74.7751920086579,76.9288520456552,0,1,0,0,0,0,0,0,15,17,32,-0.0243959985673428,-0.291639983654022,0.267243981361389,-0.130999982357025,-0.0136033184826374,2.54220008850098,1.05799996852875,2.1159999370575,1.3400000333786,1,1,-0.00145341618917882,-0.00814299546924732,0,0,0.09375,92.33333333,NA,NA,0.0625,89,0.3125,74.4,0.53125,84.82352941,NA,-0.0680228620767593,NA,-0.0688154324889183,0.135540068149567,-0.585739552974701,-2.26742873589198,NA,-3.44077162444592,1.35540068149567,-3.44552678220412,0.40740741,0.6,0.4375,0.27272727,0.66666667,0.35714286,0.15625,0.66666667,0.28125,1,0,0,0,1,0,1,1,0,0,0,1,0,5.73708430969214,NA,NA,NA,55.51379,53.82873,71.53345,NA,NA,NA,24.64041,29.12749,20,NA,NA,NA,20,44.38062,20,79.02604,67.22705,64.29823,55.90249,64.14742,46.98839,-0.24129,3.71516,NA,NA,NA,73.76,93.06,84.62,123.42,128.04,109.64,NA,NA,NA,75.16,33.28,18.62,79.08,119.42,104.48,83.12,110.847428571429,95.6462857142857,NA,0.0625,0.53125,0.09375,NA,0.3125,NA,NA,89,84.7470559512868,92.2666625976562,NA,74.35,NA,NA,0.356886386871338,-6.04664207907284,-5.6798210144043,NA,4.58560791015625,NA,NA,4.14574718475342,3.57547131706687,10.3941141764323,NA,-10.3345520019531,NA,NA,-0.0700974091887474,-0.595801867544651,-0.0699043124914169,NA,0.133938275277615,NA,NA,-3.50487045943737,-3.50471686790971,-2.3301437497139,NA,1.33938275277615,NA,0.33333333,0.75,0.4375,0.25,0.5,0.35714286,0.25,20.15384615,0.3125,0.09375,0.0625,0.53125,NA,NA,NA,74.2780212402344,92.1743672688802,88.9421997070312,84.6670496323529,NA,NA,NA,5.18612518310547,-5.03757667541504,0.805969536304474,-5.86509121165556,NA,NA,NA,-12.1536499023437,9.32121340433756,2.9423451423645,2.07793718225816,NA,NA,NA,0.133938275277615,-0.0699043124914169,-0.0700974091887474,-0.595801867544651,NA,NA,NA,1.33938275277615,-2.3301437497139,-3.50487045943737,-3.50471686790971,NA,NA,NA,0.33333333,0.75,0.4375,0.25,0.5,0.35714286,0.25,1,96.2687606811523,16.0563945770264,0,0,96.2688,1,1,"2024-09-29",0
"Mark Leiter Jr.",15551,"2024-09-25","BAL",9,2024,"NYY","H",33,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,3,27,0,9,3,0,0,0,0,1,0,0,0,0,0.75,0,0.75,-0.459145915985107,0,0.25,1,1,1,-2.8335202217102,2.8335202217102,-2.8335202217102,0,-70.3114687254445,-72.3365655024484,0,1,0,0,0,0,4,36,6,13,19,0.000568000134080648,-0.000100000062957406,0.000668000197038054,0.49099999666214,0.0509864985942841,0.00999999977648258,0.00999999977648258,0.00999999977648258,NA,0,1,0.0568000115454197,3.13222441039596e-09,0,0,0.15789474,91.66666667,0.05263158,81,0.10526316,89.5,0.26315789,72.8,0.42105263,83.875,NA,0.00828390195965767,-0.0344077162444592,0.257133990526199,0.172426730394363,-0.0684520900249481,0.276130065321922,-3.44077162444592,12.85669952631,3.44853460788727,-0.855651125311852,0.38461538,0.83333333,0.52631579,0.2,0.6,0.4,0.31578947,0.5,0.31578947,0,1,0,1,0,0,1,0,1,0,1,0,0,0.39533157212524,NA,NA,NA,20,52.9426,20,NA,NA,NA,60.85393,21.0672,65.0536,50.49299,38.0801,53.55881,20,41.18285,20,67.79914,63.66889,70.8032,27.19303,54.73065,25.67626,1.54232,6.39057,NA,NA,NA,79.54,66.98,59.74,76.12,126.04,97.04,93.12,113.58,111.36,66,-81,-75.36,102.8,113.64,114.4,85.53,88.5018181818182,78.4954545454545,NA,0.10526316,0.42105263,0.15789474,0.05263158,0.26315789,NA,NA,89.1999969482422,83.9375,91.7333374023438,80.5999984741211,72.7,NA,NA,0.715255558490753,-5.2549524307251,-3.62009112040202,9.99496078491211,6.6068473815918,NA,NA,4.52282524108887,1.95133233070374,9.25314712524414,-3.29746532440186,-11.1538925170898,NA,NA,0.260628767311573,-0.0711510591208935,0.00753837823867798,-0.0350487045943737,0.174481421709061,NA,NA,13.0314383655787,-0.889388239011168,0.251279274622599,-3.50487045943737,3.48962843418121,NA,0.4,0.66666667,0.52631579,0,0.66666667,0.4,0.47368421,20.06666667,0.26315789,0.15789474,0.10526316,0.42105263,NA,0.05263158,NA,72.3605590820312,91.3673299153646,88.8593521118164,83.586051940918,NA,80.2154006958008,NA,6.62519226074219,-3.40807342529297,0.754377007484436,-5.42618370056152,NA,10.6169996261597,NA,-13.089860534668,8.26984024047852,3.51200485229492,0.466767132282257,NA,-4.74229001998901,NA,0.174481421709061,0.00753837823867798,0.260628767311573,-0.0711510591208935,NA,-0.0350487045943737,NA,3.48962843418121,0.251279274622599,13.0314383655787,-0.889388239011168,NA,-3.50487045943737,NA,0.4,0.66666667,0.52631579,0,0.66666667,0.4,0.47368421,1,74.4227142333984,20.6486759185791,0,0,74.4227,0,0,"2024-09-25",0
"Mark Leiter Jr.",15551,"2024-09-24","BAL",9,2024,"NYY","H",33,0,0,0,1,0,0,0,0,0,0,0,0.2,2,0,0,0,0,1,0,0,0,0,0,0,13.500014081612,0,0,0,0,1,0,0,0,0,0,0,0,0.5,-0.5,15.4342290840149,0,0,1.50000156462356,0,1,7.66648447216047,-7.66648447216047,7.66648447216047,0,183.590301062238,188.878031978827,1,0,1,0,0,0,2,27.000028163224,7,5,12,0.0279800016433001,-0.00533999688923359,0.0333199985325336,0.670000016689301,0.0695742517709732,0.606400012969971,0.24439999461174,0.48879998922348,0.887199997901917,1,1,0.0350973904132843,0.0110437722596222,0,0,0.08333333,92,NA,NA,NA,NA,0.33333333,74,0.58333333,84,NA,-0.0879258811473846,NA,NA,0.0678079426288605,0.49095231294632,-8.79258811473846,NA,NA,1.69519856572151,7.01360447066171,0.3,0.5,0.33333333,0.66666667,1,0.75,0.16666667,0.5,0.08333333,1,0,0,0,0,1,1,1,0,0,0,0,1,12.0445069242426,NA,NA,NA,67.74756,52.44701,80,NA,NA,NA,20,20,20,NA,NA,NA,NA,NA,NA,20,55.53754,20,20,53.50729,20,3.0566,8.66199,NA,NA,NA,40.12,165.72,132.38,83.88,-21.62,-81.98,NA,NA,NA,NA,NA,NA,67.7,28.72,27.18,60.7476923076923,63.2292307692308,42.1553846153846,NA,NA,0.58333333,0.08333333,NA,0.33333333,NA,NA,NA,84,92,NA,73.9249954223633,NA,NA,NA,-3.12333597455706,-3.36904120445251,NA,6.95099115371704,NA,NA,NA,2.05765288216727,7.97810363769531,NA,-10.3351488113403,NA,NA,NA,0.498559691011906,-0.0897959321737289,NA,0.0679523497819901,NA,NA,NA,7.12228130017008,-8.97959321737289,NA,1.69880874454975,NA,0.25,0.5,0.33333333,0.5,1,0.75,0.33333333,21.5,0.33333333,0.08333333,NA,0.58333333,NA,NA,NA,73.6885528564453,91.7345962524414,NA,83.7635585239955,NA,NA,NA,7.1781702041626,-3.47964000701904,NA,-3.32380975995745,NA,NA,NA,-12.2548246383667,7.63828992843628,NA,0.801943574632917,NA,NA,NA,0.0679523497819901,-0.0897959321737289,NA,0.498559691011906,NA,NA,NA,1.69880874454975,-8.97959321737289,NA,7.12228130017008,NA,NA,NA,0.25,0.5,0.33333333,0.5,1,0.75,0.33333333,1,103.88102722168,2.18348550796509,0,0,103.881,1,1,"2024-09-24",0
"Mark Leiter Jr.",15551,"2024-09-21","@OAK",9,2024,"NYY","A",33,0,0,0,1,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,3,13.5,0,0,3,0,0,2,1,0,0,0,0,0,0.5,0,0.5,0.472145751588559,0,0,0,0,1,0.166479778289795,-0.166479778289795,0.922483981400728,0,2.23186164160666,21.1036904458492,2,0,0.666666666,0.333333333,0,0,0,0,10,17,27,0.000948000000789762,0,0.000948000000789762,0.906000018119812,0.0993421003222466,0.00746666640043259,0.0108000002801418,0.0115999998524785,0,1,1,0.0872413814067841,0.0397229089403565,0,0,0.14814815,92,0.07407407,80.5,0.11111111,89,0.25925926,73.42857143,0.40740741,83.90909091,NA,0.0313289649784565,0.00450797751545906,0.127349376678467,0.409564852714539,0.888862609863281,0.783224124461412,0.225398875772953,4.24497922261556,5.85092646735055,8.08056918057528,0.16666667,0.6,0.40740741,0.5,0.55555556,0.54545455,0.55555556,0.66666667,0.18518519,3,0,0,0,3,0,3,1,0,0,0,1,0,-1.00228601383676,NA,NA,NA,21.23909,49.67313,20.10809,NA,NA,NA,44.94288,30.1152,51.77059,66.04932,49.81094,70.37697,80,31.47611,80,80,58.5047,80,65.39369,51.97366,72.28514,-0.83094,2.83068,NA,NA,NA,64.88,92.36,82.32,81.84,132.4,116.14,89.88,106.6,104.88,78.1,135.16,125.68,98.72,138.94,122.24,83.0935483870968,125.512903225806,110.750967741935,NA,0.11111111,0.40740741,0.14814815,0.07407407,0.25925926,NA,NA,89.0666707356771,84.0181829279119,91.7749938964844,80.8000030517578,73.3857160295759,NA,NA,0.194080889225006,-4.24762240323153,-4.47494554519653,5.10838079452515,4.18585886274065,NA,NA,4.21930472056071,3.99368112737482,10.2178535461426,3.11842107772827,-10.1076191493443,NA,NA,0.128898873925209,0.898621134459972,0.0314589999616146,0.00431566312909126,0.415251240134239,NA,NA,4.2966291308403,8.1692830405452,0.786474999040365,0.215783156454563,5.93216057334627,NA,0.18181818,0.5625,0.40740741,0.5,0.55555556,0.54545455,0.59259259,18.66666667,0.25925926,0.14814815,0.11111111,0.40740741,NA,0.07407407,NA,73.7471836635045,92.1095733642578,89.3949991861979,84.3608897816051,NA,81.1587524414062,NA,5.38593128749302,-3.71500253677368,0.869679609934489,-3.60643282803622,NA,5.88668489456177,NA,-12.5386712210519,8.9182071685791,2.73431650797526,2.22928688742898,NA,1.65810799598694,NA,0.415251240134239,0.0314589999616146,0.128898873925209,0.898621134459972,NA,0.00431566312909126,NA,5.93216057334627,0.786474999040365,4.2966291308403,8.1692830405452,NA,0.215783156454563,NA,0.2,0.52941176,0.40740741,0.5,0.55555556,0.54545455,0.62962963,3,82.8885192871094,10.5814609527588,0,0,92.092,0,0,"2024-09-21",0
"Mark Leiter Jr.",15551,"2024-09-13","BOS",9,2024,"NYY","H",33,1,0,13.5000032186516,1,0,0,0,0,0,0,0,1.1,7,3,2,2,1,0,0,0,0,0,2,13.5000032186516,0,20.2500048279774,2,0,0,3,2,0,0,0,0,0,0.28571429,0,0.28571429,2.12934133765022,6.75000160932579,0.428571428571429,2.25000053644193,0.5,0.625,9.91648138761559,3.583521831036,2.43449221310316,334.981683397505,237.997724249807,58.7187804527214,1.5,0,0.6,0.4,0,0.5,5,33.750008046629,10,19,29,-0.103304013609886,-0.138360008597374,0.0350559875369072,-1.40799999237061,-0.146209761500359,0.37937143445015,0.500400006771088,0.323600023984909,2.15520000457764,1,1,-0.131434798240662,-0.140868291103986,0,1,0.13793103,91.75,NA,NA,0.06896552,89,0.4137931,74.25,0.37931034,84.72727273,NA,-0.914146304130554,NA,-1.32648062705994,0.747873187065125,-0.216440677642822,-22.8536576032639,NA,-66.3240313529968,6.23227655887604,-1.96764252402566,0.44444444,0.90909091,0.62068966,0.5,0.9,0.72222222,0.37931034,0.42857143,0.17241379,1,3,1,1,2,2,5,0.2,0.6,0.2,0.2,0.4,0.4,6.30290829694738,NA,NA,NA,65.47738,45.97785,66.05226,NA,NA,NA,20,24.95648,20,NA,NA,NA,49.21521,35.2638,64.99907,52.49937,55.9602,37.62168,37.89464,46.51194,26.47054,0.87747,5.3933,NA,NA,NA,90.32,134.74,126.96,91.96,15.06,-9.88,NA,NA,NA,83.78,111.1,108.96,86.02,112.18,103.72,88.5872727272727,97.1860606060606,84.8521212121212,NA,0.06896552,0.37931034,0.13793103,NA,0.4137931,NA,NA,88.6500015258789,84.6454523259943,91.875,NA,74.0833333333333,NA,NA,1.43501663208008,-3.96683953025124,-3.94763803482056,NA,5.08716583251953,NA,NA,2.38934206962585,3.0195593400435,8.71683502197266,NA,-9.8647886912028,NA,NA,-1.32644943892956,-0.198001563549042,-0.924698427319527,NA,0.7572997584939,NA,NA,-66.3224719464779,-1.8000142140822,-23.1174606829882,NA,6.3108313207825,NA,0.5,0.81818182,0.62068966,0.55555556,0.88888889,0.72222222,0.37931034,20.68181818,0.4137931,0.13793103,0.06896552,0.37931034,NA,NA,NA,73.9843597412109,91.7961502075195,88.5547027587891,84.531660600142,NA,NA,NA,5.21218903859456,-3.58370494842529,1.70218944549561,-3.98900084062056,NA,NA,NA,-11.7279332478841,7.92520523071289,1.37188005447388,1.4850363297896,NA,NA,NA,0.7572997584939,-0.924698427319527,-1.32644943892956,-0.198001563549042,NA,NA,NA,6.3108313207825,-23.1174606829882,-66.3224719464779,-1.8000142140822,NA,NA,NA,0.5,0.81818182,0.62068966,0.55555556,0.88888889,0.72222222,0.37931034,5,93.9562377929688,-3.05798645019531,1,0.2,107.505,4,0.8,"2024-09-13",0
"Mark Leiter Jr.",15551,"2024-09-10","KCR",9,2024,"NYY","H",33,0,0,5.40000205993731,1,0,0,0,0,0,0,0,1.2,7,2,1,1,1,0,0,0,1,0,2,10.8000041198746,0,10.8000041198746,2,0,0,1,4,0,1,0,0,0,0.28571429,0,0.28571429,3.60493317169553,5.40000205993731,0.285714285714286,1.20000045776385,0.25,1,8.56648183822711,-3.1664797782898,4.39530042198015,133.992692526815,205.353236480921,107.49892312435,0.25,0,0.2,0.8,0.25,0.25,0,0,9,15,24,-0.0100479992106557,-0.0619399957358837,0.0518919974565506,0.00500001758337021,0.000519211404025555,0.432249993085861,0.410933345556259,0.548799991607666,0.126800000667572,1,1,-0.0355340950191021,0.0122882896486442,0,0,0.16666667,91.75,0.04166667,81,NA,NA,0.29166667,73.71428571,0.5,83.66666667,NA,-1.57260084152222,-0.0344077162444592,NA,0.0890392661094666,0.943232357501984,-39.3150210380554,-3.44077162444592,NA,1.27198951584952,7.86026964584986,0.4375,0.75,0.54166667,0.57142857,0.66666667,0.61538462,0.33333333,0.28571429,0.20833333,2,0,3,1,1,3,5,0.4,0,0.6,0.2,0.2,0.6,5.37954227025126,NA,NA,NA,41.40926,47.18439,40.51964,NA,NA,NA,73.98028,51.69243,74.37395,20,48.12435,20,NA,NA,NA,44.08711,56.22897,48.51354,38.56726,55.05002,36.51123,0.83569,5.33063,NA,NA,NA,74.28,75.5,61.88,90.3,122.4,126.14,70.28,35.7,17.66,NA,NA,NA,83.22,107.82,104.58,81.5565217391304,98.7886956521739,93.4113043478261,NA,NA,0.5,0.16666667,0.04166667,0.29166667,NA,NA,NA,83.4916687011719,91.8249969482422,80.6999969482422,73.5142822265625,NA,NA,NA,-5.19203758239746,-8.32637310028076,4.71558284759521,4.32433809552874,NA,NA,NA,3.15174547831217,7.20125102996826,-0.8222496509552,-9.99630737304688,NA,NA,NA,1.03889225795865,-1.59506497904658,-0.0350487045943737,0.0894988551735878,NA,NA,NA,8.65743548298876,-39.8766244761646,-3.50487045943737,1.2785550739084,NA,0.35714286,0.8,0.54166667,0.4,0.75,0.61538462,0.41666667,19.47058824,0.29166667,NA,NA,0.5,0.16666667,0.04166667,NA,73.4756992885045,NA,NA,83.4402008056641,91.7963714599609,80.6802978515625,NA,4.77799006870815,NA,NA,-5.08424441019694,-8.06108283996582,5.73080015182495,NA,-11.7094999040876,NA,NA,1.60586500167847,6.12706995010376,-2.66483998298645,NA,0.0894988551735878,NA,NA,1.03889225795865,-1.59506497904658,-0.0350487045943737,NA,1.2785550739084,NA,NA,8.65743548298876,-39.8766244761646,-3.50487045943737,NA,0.42857143,0.7,0.54166667,0.5,0.71428571,0.61538462,0.41666667,5,91.4921020507813,29.0087036132812,1,0.2,105.15,2,0.4,"2024-09-10",0
"Mark Leiter Jr.",15551,"2024-09-04","@TEX",9,2024,"NYY","A",33,0,0,0,1,0,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,1,0,1,13.500014081612,0,13.500014081612,1,0,0,1,0,1,0,0,0,0,0.33333333,0,0.33333333,1.13839575453556,0,0.333333333333333,1.50000156462356,0.5,1,0.166476649042681,-0.166476649042681,0.166476649042681,0,2.23178597293757,2.29606542354053,1,0.5,0.5,0,0,0,0,0,6,9,15,-0.0400559976696968,-0.0457479655742645,0.00569196976721287,-1.44000005722046,-0.149532705545425,0.270599991083145,0.385199993848801,0.770399987697601,0.0284000001847744,1,1,-0.0194837991148233,-0.12854280469016,0,0,0.06666667,91,0.2,77.66666667,NA,NA,0.13333333,73.5,0.6,83.55555556,NA,-0.0344077162444592,-0.637402772903442,NA,0.189198851585388,0.202886149287224,-3.44077162444592,-21.2467590967814,NA,9.45994257926941,2.25429054763582,0.5,1,0.6,0.16666667,1,0.44444444,0.2,0.33333333,0.33333333,2,0,0,0,2,0,2,1,0,0,0,1,0,3.85464207882525,NA,NA,NA,55.18731,57.87236,63.65836,NA,NA,NA,20,39.79303,20,79.36335,29.31944,80,NA,NA,NA,70.50216,65.38853,50.44162,61.49709,64.08893,46.34213,-0.58886,3.1938,NA,NA,NA,95.64,89.66,80.6,79.58,25.5,23.62,66.42,146,133.44,NA,NA,NA,101.24,136.9,130.6,92.0853333333333,124.994666666667,117.369333333333,NA,NA,0.6,0.06666667,0.2,0.13333333,NA,NA,NA,83.3555569118924,90.9000015258789,77.5666656494141,73.3500061035156,NA,NA,NA,-6.11880450778537,-8.49387264251709,5.62329483032227,3.97616457939148,NA,NA,NA,3.28953637017144,8.77075672149658,-4.58137162526449,-11.209493637085,NA,NA,NA,0.204454280436039,-0.0350487045943737,-0.642798140645027,0.191818460822105,NA,NA,NA,2.2717142270671,-3.50487045943737,-21.4266046881676,9.59092304110527,NA,0.45454545,1,0.6,0.2,0.75,0.44444444,0.26666667,22,0.13333333,NA,NA,0.6,0.06666667,0.2,NA,73.7363510131836,NA,NA,83.7754991319444,91.325798034668,77.9588012695312,NA,4.53272533416748,NA,NA,-5.68894661797418,-8.09274005889893,6.31867663065592,NA,-12.8020992279053,NA,NA,1.50744851430257,7.13740015029907,-6.0928700764974,NA,0.191818460822105,NA,NA,0.204454280436039,-0.0350487045943737,-0.642798140645027,NA,9.59092304110527,NA,NA,2.2717142270671,-3.50487045943737,-21.4266046881676,NA,0.45454545,1,0.6,0.4,0.75,0.55555556,0.26666667,2,80.9106826782227,12.0887136459351,0,0,86.2849,0,0,"2024-09-04",0
"Mark Leiter Jr.",15551,"2024-08-31","STL",9,2024,"NYY","H",33,0,0,4.5,1,0,0,0,0,0,0,0,2,8,2,2,1,0,0,0,0,1,0,3,13.5,0,9,3,0,0,2,2,1,0,0,0,0,0.375,0,0.375,1.50163533401489,0,0.25,1,0.4,0,0.166479778289795,4.3335202217102,1.67848818451166,111.660534510549,2.23186164160666,39.911237620095,1,0.2,0.4,0.4,0,0,0,0,13,20,33,-0.0725039914250374,-0.0938519984483719,0.0213480051606894,-1.01800000667572,-0.105711326003075,0.233022227883339,0.258599996566772,0.420399993658066,0.058399997651577,1,1,-0.0630564913153648,-0.248089754618461,0,1,0.21212121,92,0.18181818,80.16666667,0.03030303,89,0.21212121,73.57142857,0.36363636,84.41666667,NA,-0.327766984701157,0.100313320755959,-0.70521068572998,0.0386596657335758,0.88842761516571,-4.68238549573081,1.67188867926598,-70.521068572998,0.552280939051083,7.40356345971425,0.31578947,0.5,0.39393939,0.16666667,0.71428571,0.46153846,0.42424242,0.625,0.21212121,4,1,0,0,3,2,5,0.8,0.2,0,0,0.6,0.4,0.743052752559508,NA,NA,NA,32.24949,47.33257,31.90712,NA,NA,NA,43.11211,47.22304,45.27409,44.21581,41.28474,53.5483,80,25.00689,80,80,54.70366,70.60499,57.33873,50.66939,55.2202,-0.33052,3.58131,NA,NA,NA,50.14,72.58,52.5,92.96,122.4,132.92,93.36,93.38,81.9,68.86,210.56,233,101.92,132.1,127.28,86.4775757575758,112.754545454545,107.566666666667,NA,0.03030303,0.36363636,0.21212121,0.18181818,0.21212121,NA,NA,88.6999969482422,84.2999979654948,91.8428606305804,80.2333323160807,73.3714250837054,NA,NA,1.71581029891968,-5.38210296630859,-7.98228018624442,6.40877596537272,5.30746132986886,NA,NA,2.23306679725647,3.17079162597656,6.82244382585798,-0.833504438400269,-9.41075025285993,NA,NA,-0.71075052022934,0.898690544068813,-0.327103149145842,0.100907724350691,0.0351159386336803,NA,NA,-71.075052022934,7.48908786724011,-4.67290213065488,1.68179540584485,0.501656266195433,NA,0.33333333,0.46666667,0.39393939,0.16666667,0.71428571,0.46153846,0.45454545,17.66666667,0.21212121,NA,0.03030303,0.36363636,0.21212121,0.18181818,NA,72.9738289969308,NA,88.2543029785156,83.8902689615885,91.425545828683,79.8359832763672,NA,5.86725125994001,NA,2.27541995048523,-5.18723583221436,-7.71003559657506,7.15043131510417,NA,-11.4110859462193,NA,0.870293021202087,1.43656396865845,5.67380741664341,-2.4088929494222,NA,0.0351159386336803,NA,-0.71075052022934,0.898690544068813,-0.327103149145842,0.100907724350691,NA,0.501656266195433,NA,-71.075052022934,7.48908786724011,-4.67290213065488,1.68179540584485,NA,0.3,0.53846154,0.39393939,0.16666667,0.71428571,0.46153846,0.39393939,5,97.02255859375,18.1564910888672,0,0,109.526,3,0.6,"2024-08-31",0
"Mark Leiter Jr.",15551,"2024-08-26","@WSN",9,2024,"NYY","A",33,0,0,13.500014081612,1,0,0,0,0,0,1,0,0.2,3,1,1,1,1,0,0,0,0,0,0,0,0,13.500014081612,0,0,0,2,1,0,0,0,0,0,0,0,0,4.72206241920756,13.500014081612,0.333333333333333,1.50000156462356,0,1,22.666500118396,-9.16648603678402,5.43449475334657,334.981952945054,546.30733124084,133.351552421855,2,0,0.666666666,0.333333333,0,1,1,13.500014081612,5,9,14,-0.00534800067543983,-0.0410160012543201,0.0356680005788803,-0.665999948978424,-0.0691588819026947,0.663333356380463,0.514400005340576,0.372000008821487,0.637199997901917,1,1,-0.0192253664135933,0.0111630541176737,0,0,0.35714286,91.2,NA,NA,NA,NA,0.21428571,72.33333333,0.42857143,83.83333333,NA,-1.33308279514313,NA,NA,0.265505611896515,0.0813412666320801,-26.6616559028625,NA,NA,8.85018706321716,1.35568777720133,0.28571429,0.57142857,0.42857143,0.5,1,0.83333333,0.5,0.66666667,0.07142857,3,0,0,0,2,1,3,1,0,0,0,0.66666667,0.33333333,22.788823835863,NA,NA,NA,80,50.99281,80,NA,NA,NA,52.30309,40.5212,62.23003,NA,NA,NA,NA,NA,NA,80,55.08112,70.14639,78.79066,50.06274,72.93989,-1.66325,1.58222,NA,NA,NA,85.12,140.3,126.62,84.94,88.36,88.94,NA,NA,NA,NA,NA,NA,100.04,137,119.3,91.9507692307692,122.795384615385,111.647692307692,NA,NA,0.42857143,0.35714286,NA,0.21428571,NA,NA,NA,83.7833353678385,91.0799987792969,NA,72.3333333333333,NA,NA,NA,-4.80342769622803,-8.44027328491211,NA,5.73511377970378,NA,NA,NA,3.94903469085693,7.0888557434082,NA,-9.62120946248372,NA,NA,NA,0.0812280811369419,-1.33267815038562,NA,0.269261136651039,NA,NA,NA,1.35380135228237,-26.6535630077124,NA,8.97537122170131,NA,0.14285714,0.71428571,0.42857143,0,1,0.83333333,0.5,17.81818182,0.21428571,NA,NA,0.42857143,0.35714286,NA,NA,72.6156311035156,NA,NA,84.0519307454427,91.3643371582031,NA,NA,6.18070983886719,NA,NA,-4.53109327952067,-8.27440643310547,NA,NA,-11.2566337585449,NA,NA,2.28064839045207,6.1310001373291,NA,NA,0.269261136651039,NA,NA,0.0812280811369419,-1.33267815038562,NA,NA,8.97537122170131,NA,NA,1.35380135228237,-26.6535630077124,NA,NA,0.14285714,0.71428571,0.42857143,0,1,0.83333333,0.5,3,88.2898864746094,-1.98996448516846,1,0.33333333,100.352,1,0.33333333,"2024-08-26",0
