"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","XX%","wFB","wSL","wCB","wFB/C","wSL/C","wCB/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSL%","pfxCU%","pfxvFA","pfxvSL","pfxvCU","pfxFA-X","pfxSL-X","pfxCU-X","pfxFA-Z","pfxSL-Z","pfxCU-Z","pfxwFA","pfxwSL","pfxwCU","pfxwFA/C","pfxwSL/C","pfxwCU/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCU%","piFA%","piSL%","pivCU","pivFA","pivSL","piCU-X","piFA-X","piSL-X","piCU-Z","piFA-Z","piSL-Z","piwCU","piwFA","piwSL","piwCU/C","piwFA/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Nick Mears",25376,"2024-09-28","NYM",23,2024,"MIL","H",27,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,2,0,0,0,0,0,0.33333333,0,0.33333333,4.45139575020756,0,0,0,0,1,1.1664797782898,-1.1664797782898,4.19049659073353,0,29.7440916753395,103.055865631376,0,0,0,1,0,0,4,36,1,6,7,0.0741519927978516,0,0.0741519927978516,0.499000012874603,0.051258347928524,0.975333333015442,1.44840002059937,1.44840002059937,0.0697999969124794,1,1,0.0765419229865074,-0.000514589266049456,1,0,0.57142857,97,0.42857143,87,NA,NA,NA,0.572969913482666,0.1929891705513,NA,14.3242478370667,6.43297235171,NA,0.66666667,0.75,0.71428571,0,1,0.6,0.57142857,0.66666667,0.28571429,0,0,2,0,2,0,2,0,0,1,0,1,0,-0.515790634388877,NA,NA,NA,80,69.78579,80,80,54.43472,80,80,65.25207,80,-3.26779,-0.82459,NA,NA,NA,102.82,128.86,142.58,119.36,126.78,138.56,109.908571428571,127.968571428571,140.857142857143,0.57142857,0.42857143,NA,96.9250030517578,87.1666666666667,NA,-3.84209775924683,0.384160081545512,NA,11.91481590271,-0.0191750427087148,NA,0.579942032694817,0.194806478917599,NA,14.4985508173704,6.49354929725329,NA,NA,0.71428571,0.71428571,NA,0.6,0.6,1,15.75,NA,0.57142857,0.42857143,NA,96.5447540283203,86.783437093099,NA,-3.26997756958008,1.09367895126343,NA,10.774450302124,-1.19657866160075,NA,0.579942032694817,0.194806478917599,NA,14.4985508173704,6.49354929725329,NA,0.71428571,0.71428571,NA,0.6,0.6,1,2,89.0278167724609,42.5187759399414,0,0,93.9094,0,0,"2024-09-28",0
"Nick Mears",25376,"2024-09-26","@PIT",23,2024,"MIL","A",27,0,0,27.000028163224,1,0,0,0,0,0,0,0,0.2,4,1,2,2,1,1,0,0,0,0,1,13.500014081612,13.500014081612,13.500014081612,1,0,0,1,1,0,0,0,0,0,0.25,0.25,0,6.21610408401489,13.500014081612,0.333333333333333,3.00000312924711,0,0,24.1665016830196,2.83352648020444,6.93449631797012,654.098219649405,581.21372227429,169.366604586542,1,0,0.5,0.5,0,1,0,0,9,15,24,-0.0433400012552738,-0.0902299955487251,0.0468899980187416,-1.58800005912781,-0.158246129751205,0.775999963283539,0.436599999666214,0.436599999666214,0.395199984312057,1,1,-0.0784449651837349,0.0225944454596276,0,0,0.58333333,97,0.33333333,86.625,0.08333333,83,NA,-1.4158399105072,0.2072963565588,-0.0373910665512085,-10.1131422179086,2.591204456985,-1.86955332756042,0.30769231,0.63636364,0.45833333,0.75,0.71428571,0.72727273,0.45833333,0.25,0.125,0,1,1,0,1,1,2,0,0.5,0.5,0,0.5,0.5,22.8011206149873,45.74119,80,73.68713,59.66965,75.16962,40.47368,80,62.11205,80,77.8829,74.70723,76.76393,-1.60685,1.66682,120.58,123.98,136.88,134.08,58.54,87.58,117.04,154.46,170.72,127.275,95.9666666666667,119.401666666667,0.58333333,0.33333333,0.08333333,96.9785679408482,86.5875015258789,83.0999984741211,-3.06903866359166,0.372496902942657,0.785714030265808,12.088497706822,-0.595865488052368,-8.01305198669434,-1.42017019167542,0.208544168621302,-0.0380783230066299,-10.1440727976816,2.60680210776627,-1.9039161503315,0.25,0.66666667,0.45833333,0.66666667,0.75,0.72727273,0.5,19.95,0.08333333,0.58333333,0.33333333,82.8973541259766,96.7733851841518,86.3590469360352,1.5178200006485,-2.3950069972447,1.01273679733276,-9.64467525482178,11.0326995849609,-1.78528892993927,-0.0380783230066299,-1.42017019167542,0.208544168621302,-1.9039161503315,-10.1440727976816,2.60680210776627,0.27272727,0.61538462,0.45833333,0.66666667,0.75,0.72727273,0.54166667,2,93.6719284057617,12.3914756774902,1,0.5,101.511,1,0.5,"2024-09-26",0
"Nick Mears",25376,"2024-08-22","@STL",23,2024,"MIL","A",27,0,1,40.5000422448361,1,0,0,0,0,0,0,0,0.2,6,3,3,3,0,1,0,0,0,0,0,0,13.500014081612,40.5000422448361,0,0,0,0,2,3,1,0,0,0,0,0.16666667,-0.16666667,9.23817351648145,0,0.6,6.00000625849423,0.6,0.25,7.66648447216047,32.8335577726756,12.202514422274,981.147329474108,185.594168786925,296.672073992465,0,0.6,0,0.4,0.5,0,0,0,8,11,19,-0.307407975196838,-0.345331996679306,0.0379240028560162,-2,-0.210970461368561,2.3050000667572,1.50639998912811,1.50639998912811,0.821200013160706,1,1,-0.112472392618656,-0.0208933194393554,0,1,0.63157895,96.16666667,0.31578947,86.66666667,0.05263158,82,NA,-0.962156176567078,-0.13080021739006,-0.0344077162444592,-8.01796813805898,-2.18000362316767,-3.44077162444592,0.36363636,0.75,0.52631579,0.5,0.83333333,0.7,0.42105263,0.5,0.15789474,3,1,1,2,1,2,5,0.6,0.2,0.2,0.4,0.2,0.4,13.5528032585855,20,53.58745,20,80,77.11505,69.04589,48.8891,47.41812,63.6205,77.15324,67.58997,68.36676,-1.56152,1.73481,83.68,74.92,65,124.68,109.32,142.54,106.92,92.44,105.68,116.913684210526,102.178947368421,126.818947368421,0.63157895,0.31578947,0.05263158,96.1749979654948,86.4500020345052,82.1999969482422,-2.00967184702555,1.12779370943705,1.47846138477325,11.6737988789876,-0.32799768447876,-7.26163005828857,-0.981146011501551,-0.133788481354713,-0.0350487045943737,-8.17621676251292,-2.22980802257856,-3.50487045943737,0.25,0.72727273,0.52631579,0.5,0.75,0.7,0.57894737,20.83333333,0.05263158,0.63157895,0.31578947,82.4140014648438,96.4222615559896,86.6827697753906,2.00415992736816,-1.43861818313599,1.73071797688802,-9.27040958404541,10.5565096537272,-1.77900409698486,-0.0350487045943737,-0.981146011501551,-0.133788481354713,-3.50487045943737,-8.17621676251292,-2.22980802257856,0.22222222,0.8,0.52631579,0.5,0.75,0.7,0.52631579,5,81.8901245117188,27.3152954101562,0,0,103.09,2,0.4,"2024-08-22",0
"Nick Mears",25376,"2024-08-20","@STL",23,2024,"MIL","A",27,0,0,27.000028163224,1,0,0,0,0,0,1,0,0.2,5,3,2,2,1,0,0,0,0,0,1,13.500014081612,0,40.5000422448361,1,0,0,2,2,0,0,0,0,0,0.2,0,0.2,3.29696908401489,13.500014081612,0.6,4.50000469387067,0.666666666666667,0.625,19.6664969891489,7.33353117407511,4.70250659915622,654.098219649405,473.317480414099,115.428957973168,1,0,0.5,0.5,0,0.5,0,0,5,18,23,-0.145015984773636,-0.221027985215187,0.0760120004415512,-1.74000000953674,-0.183544307947159,1.24471998214722,1.0103999376297,1.0103999376297,2.40840005874634,1,1,-0.222773134708405,0.106268228501729,0,1,0.69565217,95.8125,0.26086957,86.5,0.04347826,82,NA,-1.64307487010956,-0.35230952501297,0.173208177089691,-10.2692179381847,-5.87182541688283,17.3208177089691,0.46153846,0.8,0.60869565,0.66666667,0.875,0.78571429,0.43478261,1,0.13043478,1,3,0,0,1,3,4,0.25,0.75,0,0,0.25,0.75,9.98970369422796,22.0357,71.04105,20,80,76.16325,75.29051,52.36487,59.98509,50.80442,80,73.00405,71.83825,-1.77672,1.41201,146,57.36,89.42,124.44,114.82,143.06,112.98,88.16,93.18,122.387826086957,105.366956521739,127.715652173913,0.69565217,0.26086957,0.04347826,95.8312530517578,86.6500040690104,82.4000015258789,-3.17795991897583,0.509367942810059,0.225852131843567,12.2854766845703,0.765501260757446,-7.89668321609497,-1.64872070029378,-0.358464520424604,0.163724601268768,-10.3045043768361,-5.97440867374341,16.3724601268768,0.44444444,0.71428571,0.60869565,0.5,0.9,0.78571429,0.60869565,21.05555556,0.04347826,0.69565217,0.26086957,82.4984970092773,95.9273910522461,86.7347513834635,1.12093997001648,-2.72299242019653,1.22338485717773,-10.2255001068115,11.0707416534424,-0.908401012420654,0.163724601268768,-1.64872070029378,-0.358464520424604,16.3724601268768,-10.3045043768361,-5.97440867374341,0.375,0.73333333,0.60869565,0.33333333,0.90909091,0.78571429,0.65217391,4,97.8125915527344,10.827091217041,1,0.25,102.062,3,0.75,"2024-08-20",0
"Nick Mears",25376,"2024-08-16","CLE",23,2024,"MIL","H",27,0,0,0,1,0,0,0,0,0,1,0,0.2,2,0,0,0,0,0,0,0,0,0,2,27.000028163224,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,-0.337270915985107,0,0,0,0,1,-2.83352648020443,2.83352648020443,-2.83352648020443,0,-66.1637288868521,-66.6847344309602,0,0,0,0,0,0,0,0,2,6,8,0.0374160259962082,0,0.0374160259962082,0.263999998569489,0.02711864374578,0.73879998922348,0.484200000762939,0.968400001525879,1.49779999256134,1,1,0.0511787869036198,-0.000534462943173435,0,0,0.625,96.6,0.375,86.33333333,NA,NA,NA,0.298581331968307,0.222726166248322,NA,5.97162663936615,7.42420554161072,NA,0.66666667,0,0.5,0,NA,0,0.25,0.5,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-2.79995524060965,NA,NA,NA,55.79887,72.76161,45.03364,44.94716,62.63602,36.98879,52.89813,71.23109,41.54042,-0.05464,3.99513,NA,NA,NA,115.8,78.64,98.36,137.54,70.72,88.46,123.9525,75.67,94.6475,0.625,0.375,NA,96.3599975585937,86.4333292643229,NA,-3.28323364257812,0.0378758956988653,NA,11.7745254516602,0.707953373591105,NA,0.301831133663654,0.225251376628876,NA,6.03662267327309,7.50837922096252,NA,0.6,0.33333333,0.5,0,0,0,0.375,18.5,NA,0.625,0.375,NA,96.1393432617188,86.1490681966146,NA,-2.77881603240967,0.621752341588338,NA,10.6237739562988,-0.797252893447876,NA,0.301831133663654,0.225251376628876,NA,6.03662267327309,7.50837922096252,0.6,0.33333333,0.5,0,0,0,0.375,0,NA,NA,0,NA,NA,0,NA,"2024-08-16",0
"Nick Mears",25376,"2024-08-14","LAD",23,2024,"MIL","H",27,0,0,0,1,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,2,0,0,0,0,0,0,0.33333333,0,0.33333333,-0.694826464786218,0,0.333333333333333,1,0.5,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,29.7440916753395,29.9783111930123,2,0,1,0,0,0,0,0,4,8,12,0.0799340456724167,-0.0595379807054996,0.139472022652626,0.499000012874603,0.051258347928524,1.39045000076294,1.45020008087158,1.45020008087158,1.73000001907349,1,1,0.0496224202215672,0.00786547623537621,1,0,0.58333333,96.85714286,0.16666667,87,0.25,82.66666667,NA,0.281422853469849,0.254269063472748,-0.521247029304504,4.02032647814069,12.7134531736374,-17.3749009768168,0.14285714,0.8,0.41666667,0,0.5,0.4,0.41666667,0.66666667,0.25,1,1,0,0,1,1,2,0.5,0.5,0,0,0.5,0.5,-0.217342140718614,20,61.18505,20,79.45939,79.14842,59.31722,22.84573,52.59417,34.01391,50.6668,70.37358,35.13287,0.08399,4.20308,115.6,41.26,52.6,133.56,100.18,133.44,104.34,40.3,55.1,123.349090909091,73.2236363636364,97.1490909090909,0.58333333,0.16666667,0.25,96.8857160295759,87.0500030517578,82.7666676839193,-2.56391852242606,0.623862028121948,0.908538341522217,11.8650926862444,0.44639453291893,-8.79271062215169,0.284340985119343,0.257588192820549,-0.529179837554693,4.06201407313347,12.8794096410275,-17.6393279184898,0.16666667,0.66666667,0.41666667,0,0.5,0.4,0.5,20.375,0.25,0.58333333,0.16666667,82.6159973144531,96.7586146763393,86.90625,1.20599269866943,-2.2444828578404,0.857532501220703,-10.58016649882,10.8179571969169,-0.817572116851807,-0.529179837554693,0.284340985119343,0.257588192820549,-17.6393279184898,4.06201407313347,12.8794096410275,0.28571429,0.6,0.41666667,0,0.66666667,0.4,0.41666667,2,82.3104019165039,-13.2798748016357,0,0,102.27,1,0.5,"2024-08-14",0
"Nick Mears",25376,"2024-08-13","LAD",23,2024,"MIL","H",27,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,3,27,0,9,3,0,0,0,0,1,0,0,0,0,0.75,0,0.75,-0.459145915985107,0,0.25,1,1,1,-2.8335202217102,2.8335202217102,-2.8335202217102,0,-66.1635788274515,-66.6845831899186,0,1,0,0,0,0,0,0,3,14,17,0.0037800008431077,-0.00318800006061792,0.00696800090372562,0.499000012874603,0.051258347928524,0.0746999979019165,0.059799998998642,0.059799998998642,0.0199999995529652,1,1,0.0201501417905092,0.0304522805558871,0,0,0.70588235,96.83333333,0.23529412,86.5,0.05882353,82,NA,0.599602520465851,-0.597703754901886,0.0389156937599182,4.99668767054876,-14.9425938725471,3.89156937599182,0.6,0.66666667,0.64705882,0.66666667,0.625,0.63636364,0.70588235,0.75,0.23529412,1,0,0,0,0,1,1,1,0,0,0,0,1,0.393334274986953,80,48.57117,80,80,71.95316,80,30.43607,53.9403,40.98908,80,65.98304,80,-2.15632,0.84261,91.78,146.24,142.02,126.64,119.92,143.68,145.76,71.34,87.22,129.088235294118,110.037647058824,130.297647058824,0.70588235,0.23529412,0.05882353,96.7916666666667,86.5500030517578,82.3000030517578,-1.8594446182251,1.23005795478821,1.7088497877121,11.6810862223307,-0.972436308860779,-8.44932842254639,0.60589312016964,-0.603132233023643,0.039364367723465,5.049109334747,-15.0783058255911,3.9364367723465,0.5,0.69230769,0.64705882,0.5,0.66666667,0.63636364,0.76470588,19.61538462,0.05882353,0.70588235,0.23529412,82.1664962768555,96.6712137858073,86.3917236328125,2.01242995262146,-1.51265621185303,1.5932400226593,-10.1595001220703,10.5707880655924,-2.33699250221252,0.039364367723465,0.60589312016964,-0.603132233023643,3.9364367723465,5.049109334747,-15.0783058255911,0.6,0.66666667,0.64705882,0.66666667,0.625,0.63636364,0.70588235,1,96.9790115356445,19.1010761260986,0,0,96.979,1,1,"2024-08-13",0
"Nick Mears",25376,"2024-08-11","CIN",23,2024,"MIL","H",27,0,0,0,1,0,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,1,6.75000160932579,0,0,1,0,0,2,1,0,0,0,0,0,0.25,0,0.25,2.16704158401489,0,0,0,0,1,1.66647942066184,-1.66647942066184,2.80048599569648,0,41.7325419133724,69.4652537965709,2,0,0.666666666,0.333333333,0,0,1,6.75000160932579,5,10,15,0.0797560289502144,0,0.0797560289502144,0.728999972343445,0.0748844370245934,0.761600017547607,0.939066708087921,0.879199981689453,1.53979992866516,1,1,0.104360662400723,0.000361011854266416,1,0,0.53333333,96.625,0.26666667,86.75,0.2,82,NA,0.689630448818207,0.105273142457008,0.145402699708939,8.62038061022758,2.63182856142521,4.84675665696462,0.44444444,0.83333333,0.6,1,1,1,0.4,0.5,0,2,1,0,0,2,1,3,0.66666667,0.33333333,0,0,0.66666667,0.33333333,0.0354861563232976,43.81442,48.62081,41.61543,80,65.42159,80,39.02419,73.12811,34.98084,78.5472,63.77341,78.34763,-1.64812,1.60491,86.38,108.26,89.48,95.1,142.32,149.46,146.76,98.5,119.56,107.132,123.822666666667,129.490666666667,0.53333333,0.26666667,0.2,96.5374984741211,87.0500030517578,81.6333312988281,-2.48023772239685,0.080317534506321,3.54923089345296,10.7936487197876,0.818791568279266,-6.4472599029541,0.69827389344573,0.106599602848291,0.146589886397123,8.72842366807163,2.66499007120728,4.88632954657078,0.42857143,0.75,0.6,1,1,1,0.53333333,20.09090909,0.2,0.53333333,0.26666667,81.3825327555339,96.320198059082,86.7787780761719,4.08266671498617,-2.13575506210327,0.709222257137299,-8.27581342061361,9.57420921325684,-0.902678489685059,0.146589886397123,0.69827389344573,0.106599602848291,4.88632954657078,8.72842366807163,2.66499007120728,0.42857143,0.75,0.6,1,1,1,0.53333333,3,82.4281717936198,12.116938273112,0,0,97.6463,1,0.33333333,"2024-08-11",0
"Nick Mears",25376,"2024-08-09","CIN",23,2024,"MIL","H",27,0,0,13.500014081612,1,0,0,0,0,0,0,0,0.2,4,2,1,1,1,0,0,0,0,0,1,13.500014081612,0,27.000028163224,1,0,0,1,1,1,0,0,0,0,0.25,0,0.25,2.72685408401489,13.500014081612,0.5,3.00000312924711,0.5,1,19.6664969891489,-6.16648290753691,2.43449162409945,327.049109824703,473.317480414099,60.6207349749633,1,0.333333333,0.333333333,0.333333333,0,1,0,0,4,8,12,-0.00458998791873455,-0.0255260169506073,0.0209360271692276,-1.3199999332428,-0.135593220591545,0.276699990034103,0.0697999969124794,0.139599993824959,0.269000023603439,1,1,-0.0957549810409546,0.0791666612576079,0,0,0.75,97.55555556,0.25,88.66666667,NA,NA,NA,-1.77070486545563,0.0805730372667313,NA,-19.6744985050625,2.68576790889104,NA,0.2,0.71428571,0.5,1,0.8,0.83333333,0.58333333,0.5,0.08333333,1,1,1,0,1,2,3,0.33333333,0.33333333,0.33333333,0,0.33333333,0.66666667,20.4085736074396,NA,NA,NA,74.20133,64.9541,73.41476,20,59.07712,20,53.61903,62.66872,53.44952,-0.09943,3.92795,NA,NA,NA,111.48,120.54,132,123.32,16.3,40.7,114.44,94.48,109.175,0.75,0.25,NA,97.4333360460069,88.4666646321615,NA,-2.12468486362033,0.187613566716512,NA,11.0925437079536,2.26962947845459,NA,-1.77454666793346,0.0813042484223843,NA,-19.7171851992607,2.71014161407948,NA,0.25,0.625,0.5,1,0.8,0.83333333,0.66666667,21.5,NA,0.75,0.25,NA,97.2333306206597,88.2561340332031,NA,-1.82783148023817,0.840960343678792,NA,9.96463351779514,0.698936303456624,NA,-1.77454666793346,0.0813042484223843,NA,-19.7171851992607,2.71014161407948,0.25,0.625,0.5,1,0.8,0.83333333,0.66666667,3,94.2616678873698,3.57830588022868,1,0.33333333,109.406,2,0.66666667,"2024-08-09",0
"Nick Mears",25376,"2024-08-07","@ATL",23,2024,"MIL","A",27,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-18.209743576056,-18.3531359984531,1,0,1,0,0,0,0,0,3,10,13,0.0743359997868538,0,0.0743359997868538,0.507000029087067,0.0515243895351887,0.977333307266235,1.38359999656677,1.38359999656677,1.5460000038147,1,1,0.0761258006095886,-6.57715139017051e-05,1,0,0.69230769,97.33333333,0.30769231,88,NA,NA,NA,0.675411403179169,0.0692989826202393,NA,7.50457114643521,1.73247456550598,NA,0.5,0.6,0.53846154,0.5,0.33333333,0.42857143,0.38461538,1,0.30769231,1,0,0,1,0,0,1,1,0,0,1,0,0,-1.59543549604583,NA,NA,NA,62.16006,70.72194,51.39303,23.76699,57.12399,20,51.66548,67.29591,37.31277,0.02194,4.11,NA,NA,NA,141.28,85.8,118.58,124.04,49.16,67.5,135.975384615385,74.5261538461538,102.863076923077,0.69230769,0.30769231,NA,97.3111097547743,87.8000030517578,NA,-1.77846569485135,-0.477387100458145,NA,11.5854763454861,1.33470976352692,NA,0.683283407241106,0.0698953941464424,NA,7.59203785823451,1.74738485366106,NA,0.42857143,0.66666667,0.53846154,0.66666667,0.25,0.42857143,0.46153846,23.1,NA,0.69230769,0.30769231,NA,97.2769775390625,87.7616729736328,NA,-1.14141135745578,0.136092752218246,NA,10.4329486423069,-0.318325102329254,NA,0.683283407241106,0.0698953941464424,NA,7.59203785823451,1.74738485366106,0.42857143,0.66666667,0.53846154,0.66666667,0.25,0.42857143,0.46153846,1,84.8490447998047,-51.1672554016113,0,0,84.849,0,0,"2024-08-07",0
