"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","CB%","CBv","XX%","wFB","wCB","wFB/C","wCB/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_KC","pb_s_KC","pb_c_KC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_KC","sp_l_KC","sp_p_KC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxKC%","pfxvFA","pfxvSI","pfxvKC","pfxFA-X","pfxSI-X","pfxKC-X","pfxFA-Z","pfxSI-Z","pfxKC-Z","pfxwFA","pfxwSI","pfxwKC","pfxwFA/C","pfxwSI/C","pfxwKC/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCU%","piFA%","piSI%","pivCU","pivFA","pivSI","piCU-X","piFA-X","piSI-X","piCU-Z","piFA-Z","piSI-Z","piwCU","piwFA","piwSI","piwCU/C","piwFA/C","piwSI/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Trevor Megill",17722,"2024-09-27","NYM",23,2024,"MIL","H",30,0,0,0,1,0,0,0,0,1,0,0,1.1,5,1,0,0,0,0,0,0,0,0,1,6.75000160932579,0,6.75000160932579,1,0,0,2,2,0,0,0,0,0,0.2,0,0.2,3.29696908401489,0,0.2,0.750000178813977,0.25,1,1.66647942066184,-1.66647942066184,3.93449257073111,0,41.7325419133724,96.8693432446014,1,0,0.5,0.5,0,0,1,6.75000160932579,1,13,14,0.0577700100839138,-0.00977195799350739,0.0675419718027115,0.998000025749207,0.102516695857048,0.414942860603333,0.748866677284241,1.56820011138916,NA,0,1,0.0521015338599682,0.0871224788147298,0,0,0.71428571,100.1,0.28571429,87.25,NA,-0.00747144222259521,0.521562814712524,-0.0747144222259521,13.0390703678131,0.8,0.55555556,0.64285714,0.25,1,0.66666667,0.64285714,1,0.21428571,1,1,2,0,3,1,4,0.25,0.25,0.5,0,0.75,0.25,0.187525466406261,80,72.19506,77.30257,NA,NA,NA,80,67.41974,80,80,70.84238,80,-2.91425,-0.29428,122.38,104.56,124.46,140.6,132.16,170.3,127.585714285714,112.445714285714,137.557142857143,0.71428571,NA,0.28571429,99.9099975585937,NA,87.0999984741211,-3.55329437255859,NA,1.82093071937561,10.8716659545898,NA,-2.75747108459473,-0.00934304296970367,NA,0.527621388435364,-0.0934304296970367,NA,13.1905347108841,0.6,0.66666667,0.64285714,0,1,0.66666667,0.64285714,17.33333333,0.28571429,0.71428571,NA,86.6945495605469,99.557958984375,NA,2.01874256134033,-3.55226821899414,NA,-4.39703750610352,9.80901870727539,NA,0.527621388435364,-0.00934304296970367,NA,13.1905347108841,-0.0934304296970367,NA,0.6,0.66666667,0.64285714,0,1,0.66666667,0.64285714,4,89.5998077392578,23.0476131439209,0,0,97.4866,1,0.25,"2024-09-27",0
"Trevor Megill",17722,"2024-09-24","@PIT",23,2024,"MIL","A",30,0,0,0,1,0,0,0,0,0,0,0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.18327091598511,0,0,0,0,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,77.697926926735,78.3097583844777,1,0,1,0,0,0,0,0,1,5,6,0.0436660014092922,0,0.0436660014092922,0.935999989509583,0.0932735428214073,1.11419999599457,0.557099997997284,1.11419999599457,0.349000006914139,1,1,0.0391904525458813,-5.92670967858311e-10,0,0,0.83333333,98.2,0.16666667,88,NA,0.784760475158691,0,15.6952095031738,0,0.5,1,0.83333333,1,1,1,0.66666667,NA,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1.37475640048187,72.96504,55.04177,80,NA,NA,NA,31.13139,79.52479,24.60309,69.10706,56.03556,76.30067,-1.06164,2.48463,95.66,142.46,131.28,180.28,47.14,84.22,109.763333333333,126.573333333333,123.436666666667,0.83333333,NA,0.16666667,98.0599975585938,NA,87.9000015258789,-3.1861255645752,NA,1.74393558502197,10.1432662963867,NA,-4.01090621948242,0.798711407929659,NA,0,15.9742281585932,NA,0,0.5,1,0.83333333,1,1,1,0.66666667,20.2,0.16666667,0.83333333,NA,87.6451034545898,97.832177734375,NA,1.84881997108459,-3.04487800598145,NA,-5.55922985076904,8.95655975341797,NA,0,0.798711407929659,NA,0,15.9742281585932,NA,0.5,1,0.83333333,1,1,1,0.66666667,1,94.2309799194336,-7.3555326461792,0,0,94.231,0,0,"2024-09-24",0
"Trevor Megill",17722,"2024-09-21","ARI",23,2024,"MIL","H",30,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,2,0,0,0,0,1,9,18,0,0.5,0,0,1,1,0,0,0,0,0,0.2,0.4,-0.2,10.4768090840149,0,0,2,0,1,7.1664797782898,-7.1664797782898,8.67848818451166,0,173.605597429526,211.511429986591,1,0,0.5,0.5,0,0,0,0,15,11,26,0.0203219950199127,-0.0185440015047789,0.0388659983873367,0.499000012874603,0.051258347928524,0.445885717868805,0.349000006914139,0.349000006914139,0.25900000333786,1,1,0.0237268041819334,0.0218498855515829,0,0,0.65384615,98.52941176,0.34615385,87.44444444,NA,0.162775993347168,-0.0624071806669235,0.957505843218635,-0.693413118521373,0.0625,0.6,0.26923077,0,0.83333333,0.71428571,0.38461538,0.4,0.07692308,1,0,1,0,0,2,2,0.5,0,0.5,0,0,1,6.1210473136084,24.29021,69.37642,20,NA,NA,NA,24.99467,73.71536,20,20,72.35302,20,2.40249,7.68083,90.22,55.78,60.62,114.38,57.38,77.8,98.5830769230769,56.3338461538462,66.5669230769231,0.65384615,NA,0.34615385,98.4941190831802,NA,87.2222222222222,-3.87967233096852,NA,3.9168095058865,10.8889582016889,NA,-2.90965970357259,0.159163575619459,NA,-0.0777870640158653,0.936256327173289,NA,-0.864300711287392,0.0625,0.6,0.26923077,0,0.83333333,0.71428571,0.38461538,19.33333333,0.34615385,0.65384615,NA,86.8274332682292,98.112060546875,NA,4.35734770033095,-4.01085348690257,NA,-4.64068984985352,9.70997978659237,NA,-0.0777870640158653,0.159163575619459,NA,-0.864300711287392,0.936256327173289,NA,0.11764706,0.55555556,0.26923077,0.5,0.8,0.71428571,0.34615385,2,95.6278076171875,20.4001960754395,0,0,96.3403,1,0.5,"2024-09-21",0
"Trevor Megill",17722,"2024-09-18","PHI",23,2024,"MIL","H",30,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,1,1,1,0,0,0,0,0.25,0,0.25,2.72685408401489,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,29.7440916753395,66.5170884121943,1,0.333333333,0.333333333,0.333333333,0,0,0,0,1,12,13,0.106562003493309,-0.0684099942445755,0.174971997737885,0.499000012874603,0.0512583404779434,2.22979998588562,1.84940004348755,1.84940004348755,2.31839990615845,1,1,0.0383403711020947,0.00944956708421549,1,0,0.76923077,99.4,0.23076923,87.33333333,NA,0.776121497154236,-0.406658798456192,7.76121497154236,-13.5552932818731,0.83333333,0.57142857,0.69230769,0.8,1,0.88888889,0.53846154,1,0.07692308,0,1,2,0,3,0,3,0,0.33333333,0.66666667,0,1,0,2.94224516370577,75.2896,63.45552,69.37143,NA,NA,NA,80,66.39201,80,80,62.04151,80,-2.0258,1.03839,103.78,126.74,122.64,121.48,125.98,155.12,107.864615384615,126.564615384615,130.135384615385,0.76923077,NA,0.23076923,99.3,NA,87.2000020345052,-3.4123908996582,NA,3.02238527933756,10.2180046081543,NA,-3.90397389729818,0.827746223658323,NA,-0.413239911198616,8.27746223658323,NA,-13.7746637066205,0.83333333,0.57142857,0.69230769,0.8,1,0.88888889,0.53846154,22.33333333,0.23076923,0.76923077,NA,86.901601155599,99.0498291015625,NA,3.35974979400635,-3.33629989624023,NA,-5.57107671101888,8.95307693481445,NA,-0.413239911198616,0.827746223658323,NA,-13.7746637066205,8.27746223658323,NA,0.83333333,0.57142857,0.69230769,0.8,1,0.88888889,0.53846154,3,80.5955098470052,13.0673344930013,0,0,103.184,1,0.33333333,"2024-09-18",0
"Trevor Megill",17722,"2024-09-15","@ARI",23,2024,"MIL","A",30,0,0,9,1,0,0,0,0,0,0,1,1,4,0,1,1,0,1,0,0,1,0,1,9,9,0,1,0,0,1,1,0,0,0,0,0,0.25,0.25,0,6.21610408401489,0,0,1,0,0,4.1664797782898,4.8335202217102,5.67848818451166,218.032512457265,101.674844552433,139.014259199392,1,0,0.5,0.5,0,0,0,0,10,11,21,-0.192199990153313,-0.335799992084503,0.143599987030029,-0.488999992609024,-0.0493939407169819,3.03266668319702,2.48600006103516,2.48600006103516,2.26999998092651,1,1,-0.0399985499680042,-0.0233780127179737,0,1,0.66666667,98.35714286,0.33333333,86.85714286,NA,0.257786184549332,-0.0503650605678558,1.84132988963808,-0.719500865255083,0.23076923,0.875,0.47619048,0.33333333,1,0.8,0.38095238,0.25,0.0952381,1,1,0,0,2,0,2,0.5,0.5,0,0,1,0,2.89488352598524,60.01557,62.53134,47.02073,NA,NA,NA,74.44816,71.54585,59.60394,66.51735,65.4774,51.39772,-0.90075,2.72597,104.3,66.08,68.38,133.46,93.96,115.44,114.02,75.3733333333333,84.0666666666667,0.66666667,NA,0.33333333,98.3285696847098,NA,86.7714320591518,-3.02768543788365,NA,2.17953790937151,10.390251159668,NA,-3.24652808053153,0.257546063512564,NA,-0.045611809939146,1.83961473937546,NA,-0.651597284844944,0.27272727,0.7,0.47619048,0.33333333,1,0.8,0.47619048,21.625,0.33333333,0.66666667,NA,86.6322108677455,98.1863054547991,NA,2.23990930829729,-3.09849493844169,NA,-5.13690294538225,9.07430866786412,NA,-0.045611809939146,0.257546063512564,NA,-0.651597284844944,1.83961473937546,NA,0.33333333,0.66666667,0.47619048,0.25,1,0.7,0.42857143,2,90.6741333007812,21.0923633575439,0,0,93.4795,0,0,"2024-09-15",0
"Trevor Megill",17722,"2024-09-13","@ARI",23,2024,"MIL","A",30,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,1,1,0,0,0,0,0,0,0.33333333,-0.33333333,11.7253957421829,0,0,1,0,1,6.1664797782898,-6.1664797782898,7.67848818451166,0,149.628679803828,187.345706390858,1,0,0.5,0.5,0,0,0,0,6,6,12,0.143140003085136,-0.0700400024652481,0.213180005550385,0.511000037193298,0.0516161620616913,2.56400012969971,2.48600006103516,2.48600006103516,3.49600005149841,1,1,0.0327946394681931,0.023032191984386,1,0,0.75,99.22222222,0.25,87.66666667,NA,0.78880250453949,-0.0681448876857758,8.764472272661,-2.27149625619252,0.14285714,0.8,0.41666667,1,1,1,0.41666667,0.66666667,0,0,1,1,0,2,0,2,0,0.5,0.5,0,1,0,6.25229347383954,39.96319,66.70213,31.4887,NA,NA,NA,20,79.75583,20,20,70.45616,20,2.04033,7.13759,107.36,66.66,74.02,139.86,-5.13999999999999,27.22,115.485,48.71,62.32,0.75,NA,0.25,99.1777750651042,NA,87.7333374023438,-3.79642952813043,NA,0.472893635431925,10.7638066609701,NA,-2.93629964192708,0.79955131188035,NA,-0.0700706765055656,8.88390346533722,NA,-2.33568921685219,0.14285714,0.8,0.41666667,1,1,1,0.41666667,20.66666667,0.25,0.75,NA,87.6184692382812,99.1238878038194,NA,0.760658661524455,-3.93552101982964,NA,-4.92714341481527,9.42084757486979,NA,-0.0700706765055656,0.79955131188035,NA,-2.33568921685219,8.88390346533722,NA,0.14285714,0.8,0.41666667,1,1,1,0.41666667,2,99.7701416015625,11.4718151092529,0,0,100.2,2,1,"2024-09-13",0
"Trevor Megill",17722,"2024-09-12","@SFG",23,2024,"MIL","A",30,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,3,27,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,-0.337270915985107,0,0,0,0,1,-2.8335202217102,2.8335202217102,-2.8335202217102,0,-66.1635788274515,-66.6845831899186,0,0,0,0,0,0,0,0,3,9,12,0.0475580021739006,0,0.0475580021739006,0.474000006914139,0.0503987222909927,0.633199989795685,0.999399960041046,0.999399960041046,0.859400033950806,1,1,0.0754752606153488,-0.000367864942070001,0,0,0.83333333,98.6,0.16666667,86,NA,0.754131376743317,0.0334886722266674,7.54131376743317,1.67443361133337,0.28571429,0.4,0.33333333,0,0,0,0.41666667,0.66666667,0.33333333,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-2.79995524060965,66.66675,64.66635,53.71364,NA,NA,NA,80,63.73604,80,76.34864,61.62799,69.44825,-1.51153,1.8098,116.5,107.02,115.48,157.22,142.6,186.9,123.286666666667,112.95,127.383333333333,0.83333333,NA,0.16666667,98.6400024414063,NA,85.9000015258789,-3.70578804016113,NA,3.20530486106873,10.9076187133789,NA,-4.31958484649658,0.762575067579746,NA,0.0337270088493824,7.62575067579746,NA,1.68635044246912,0.4,0.28571429,0.33333333,0,0,0,0.58333333,17.88888889,0.16666667,0.83333333,NA,86.0283508300781,98.8317199707031,NA,3.44311499595642,-3.76173896789551,NA,-6.04166984558105,9.6837532043457,NA,0.0337270088493824,0.762575067579746,NA,1.68635044246912,7.62575067579746,NA,0.4,0.28571429,0.33333333,0,0,0,0.58333333,0,NA,NA,0,NA,NA,0,NA,"2024-09-12",0
"Trevor Megill",17722,"2024-09-10","@SFG",23,2024,"MIL","A",30,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,2,0,0,0,0,0,0.33333333,0,0.33333333,4.45139575020756,0,0,0,0,1,1.1664797782898,-1.1664797782898,4.19049659073353,0,29.7440916753395,103.055865631376,0,0,0,1,0,0,0,0,2,5,7,0.137030005455017,0,0.137030005455017,0.474000006914139,0.0503987222909927,1.83393335342407,2.46160006523132,2.46160006523132,3.396399974823,1,1,0.074788510799408,-6.9325830568609e-05,1,0,0.42857143,96.66666667,0.57142857,85,NA,0.209018498659134,0.55694055557251,6.9672832886378,13.9235138893127,0,1,0.57142857,NA,0.75,0.75,0.57142857,0.66666667,0.14285714,0,0,2,0,2,0,2,0,0,1,0,1,0,-0.515790634388877,67.73996,66.59273,58.90724,NA,NA,NA,64.76652,57.11283,58.762,66.59485,60.43876,58.72504,-0.90557,2.71874,110.28,93.82,101.02,101.08,115.92,125.62,105.022857142857,106.448571428571,115.077142857143,0.42857143,NA,0.57142857,96.8333333333333,NA,84.9250030517578,-0.855215549468994,NA,4.25531387329102,11.1372667948405,NA,-2.66737937927246,0.211249623447657,NA,0.605710420757532,7.04165411492189,NA,15.1427605189383,0,1,0.57142857,NA,0.75,0.75,0.57142857,16,0.57142857,0.42857143,NA,85.0213470458984,96.9268391927083,NA,4.48647737503052,-1.03965171178182,NA,-4.13619232177734,10.0467669169108,NA,0.605710420757532,0.211249623447657,NA,15.1427605189383,7.04165411492189,NA,0,1,0.57142857,NA,0.75,0.75,0.57142857,2,91.3480072021484,41.0251770019531,0,0,91.3577,0,0,"2024-09-10",0
"Trevor Megill",17722,"2024-09-03","STL",23,2024,"MIL","H",30,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4.72206241920756,0,0,0,0,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,77.697926926735,114.84853560366,2,0,0.666666666,0.333333333,0,0,0,0,4,6,10,0.106562003493309,0,0.106562003493309,0.499000012874603,0.051258347928524,1.4058666229248,1.84940004348755,1.84940004348755,2.31839990615845,1,1,0.0759026855230331,-0.000104596461345044,1,0,0.8,99.25,0.2,86.5,NA,0.388585090637207,0.285408645868301,4.85731363296509,14.2704322934151,0.2,0.8,0.5,1,1,1,0.5,0.66666667,0,2,1,0,0,1,2,3,0.66666667,0.33333333,0,0,0.33333333,0.66666667,1.17363622456185,52.61524,76.44051,31.02551,NA,NA,NA,80,60.74954,80,67.12697,72.37471,50.3841,-0.93862,2.66916,134.08,91.84,119.62,109.56,131.62,161.16,129.176,99.796,127.928,0.8,NA,0.2,99.1999969482422,NA,86.5500030517578,-2.29997968673706,NA,4.51124238967896,11.4089069366455,NA,-4.88369655609131,0.435302637517452,NA,0.289152771234512,5.44128296896815,NA,14.4576385617256,0.2,0.8,0.5,1,1,1,0.5,18.42857143,0.2,0.8,NA,86.8199996948242,99.4939117431641,NA,4.41925525665283,-2.17541337013245,NA,-6.52791976928711,10.0559663772583,NA,0.289152771234512,0.435302637517452,NA,14.4576385617256,5.44128296896815,NA,0.2,0.8,0.5,1,1,1,0.5,3,97.4311828613281,5.34802309672038,0,0,107.758,1,0.33333333,"2024-09-03",0
"Trevor Megill",17722,"2024-08-30","@CIN",23,2024,"MIL","A",30,1,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,1,2,0,0,0,0,0,0.25,0,0.25,3.28666658401489,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,4.19049659073353,0,29.7440916753395,103.055865631376,0.5,0,0.333333333,0.666666666,0,0,1,9,6,8,14,0.149399995803833,-0.0297800358384848,0.179180026054382,0.560999989509583,0.0530496463179588,2.02325010299683,2.31500005722046,2.31500005722046,4.29400014877319,1,1,0.0611134544014931,0.0127281312643337,1,0,0.78571429,98.27272727,0.21428571,86.33333333,NA,0.323690712451935,-0.0216845311224461,2.94264284047213,-0.722817704081535,0.22222222,0.6,0.35714286,0.5,1,0.8,0.35714286,0.75,0.07142857,0,1,2,0,2,1,3,0,0.33333333,0.66666667,0,0.66666667,0.33333333,-0.0837737115166974,61.65727,57.36883,56.4232,NA,NA,NA,72.33385,62.65235,76.30363,66.11411,54.78035,65.38906,-0.8757,2.76354,88.42,112.66,106.58,111.08,92.94,117.58,93.2757142857143,108.434285714286,108.937142857143,0.78571429,NA,0.21428571,98.2454501065341,NA,86.4333292643229,-2.57579630071467,NA,2.91974449157715,9.85831798206676,NA,-3.00410270690918,0.325933590531349,NA,-0.0223949514329433,2.96303264119408,NA,-0.746498381098111,0,0.71428571,0.35714286,NA,0.8,0.8,0.5,19.6,0.21428571,0.78571429,NA,86.6336975097656,98.4365567294034,NA,3.04488309224447,-2.66856540333141,NA,-4.34156672159831,8.76934537020597,NA,-0.0223949514329433,0.325933590531349,NA,-0.746498381098111,2.96303264119408,NA,0,0.625,0.35714286,NA,0.8,0.8,0.57142857,3,90.648915608724,41.3261566162109,0,0,97.7929,2,0.66666667,"2024-08-30",1
