"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","CH%","CHv","wFB","wSL","wCB","wCH","wFB/C","wSL/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSL%","pfxCU%","pfxCH%","pfxvFA","pfxvSL","pfxvCU","pfxvCH","pfxFA-X","pfxSL-X","pfxCU-X","pfxCH-X","pfxFA-Z","pfxSL-Z","pfxCU-Z","pfxCH-Z","pfxwFA","pfxwSL","pfxwCU","pfxwCH","pfxwFA/C","pfxwSL/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piSL%","pivCH","pivCU","pivFA","pivSL","piCH-X","piCU-X","piFA-X","piSL-X","piCH-Z","piCU-Z","piFA-Z","piSL-Z","piwCH","piwCU","piwFA","piwSL","piwCH/C","piwCU/C","piwFA/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Kyle Leahy",24763,"2024-09-28","@SFG",28,2024,"STL","A",27,0,0,0,1,0,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,1,6.75000160932579,0,0,1,0,0,2,1,0,0,0,0,0,0.25,0,0.25,2.16704158401489,0,0,0,0,1,1.66647942066184,-1.66647942066184,2.80048599569648,0,42.7730821198942,69.4652537965709,2,0,0.666666666,0.333333333,0,0,3,20.2500048279774,5,8,13,0.107128024101257,0,0.107128024101257,1.2150000333786,0.129186600446701,1.07679998874664,1.29339993000031,0.869400024414062,1.79619991779327,1,1,0.099516361951828,-2.89685446730331e-05,1,0,0.23076923,96,0.38461538,91,NA,NA,0.38461538,90.8,0.139108762145042,0.424170464277267,NA,0.377027064561844,4.63695873816808,8.48340928554535,NA,7.54054129123688,0.375,0.6,0.46153846,0.33333333,1,0.66666667,0.38461538,0.25,0.15384615,1,2,0,0,1,2,3,0.33333333,0.66666667,0,0,0.33333333,0.66666667,0.0348170510481283,46.93503,62.51282,60.01066,NA,NA,NA,20,52.92943,20,43.55807,41.00777,50.52677,29.35802,57.19812,36.4475,1.40782,6.18882,79.96,97.44,90.34,NA,NA,NA,97.6,59.32,48.26,84.26,117.82,114.02,85.6846153846154,96.4815384615385,89.7369230769231,0.23076923,0.38461538,NA,0.38461538,96.1666666666667,90.9,NA,90.7599975585938,-4.02676741282145,1.45142955780029,NA,-8.67434997558594,8.64772033691406,3.36358947753906,NA,4.27768173217773,0.140273083001375,0.429479382932186,NA,0.381710961461067,4.67576943337917,8.58958765864372,NA,7.63421922922134,0.33333333,0.57142857,0.46153846,0,1,0.66666667,0.53846154,15.55555556,0.38461538,NA,0.23076923,0.38461538,90.9258605957031,NA,96.2833048502604,91.0122619628906,-8.54641189575195,NA,-4.02792326609294,1.91336402893066,2.81917572021484,NA,8.15506998697917,2.25576992034912,0.381710961461067,NA,0.140273083001375,0.429479382932186,7.63421922922134,NA,4.67576943337917,8.58958765864372,0.33333333,0.57142857,0.46153846,0,1,0.66666667,0.53846154,3,89.4547119140625,-3.58257738749186,1,0.33333333,102.222,2,0.66666667,"2024-09-28",0
"Kyle Leahy",24763,"2024-09-26","@COL",28,2024,"STL","A",27,0,0,27.000028163224,1,0,0,0,0,0,0,0,0.1,3,2,1,1,0,0,0,0,0,0,0,0,0,54.0000563264481,0,0,0,0,2,1,0,0,0,0,0,0,0,9.75339574477623,0,0.666666666666667,6.00000625849423,0.666666666666667,0.5,3.1664797782898,23.8335483849342,12.2385396785169,666.668513688417,79.6352116744142,297.542650377296,0,0.333333333,0,0.666666666,0,0,0,0,3,5,8,-0.322960019111633,-0.33703601360321,0.0140759758651257,-1.62699997425079,-0.141601383686066,1.39626657962799,1.39179992675781,2.78359985351562,NA,0,1,-0.149358227849007,-0.0819443212657047,0,1,0.375,96.66666667,0.375,88.66666667,0.125,82,0.125,90,-1.43444168567657,0.249823242425919,-0.04739710688591,-0.0344077162444592,-47.8147228558858,8.32744141419728,-4.739710688591,-3.44077162444592,0,0.8,0.5,NA,1,1,0.625,0.66666667,0,1,1,1,0,1,2,3,0.33333333,0.33333333,0.33333333,0,0.33333333,0.66666667,5.39568794099799,20,52.76246,20,20,49.0782,20,80,49.65428,80,57.17516,48.67452,59.60581,43.41115,50.05576,44.48133,0.53475,4.87922,88.44,105.7,100.88,97.58,-4.22,2.34,96.46,165.6,175.86,93.6666666666667,110.1,110.533333333333,94.55,116.0725,120.3,0.375,0.375,0.125,0.125,96.6333414713542,88.7333374023438,82.0999984741211,89.8000030517578,-3.43816057840983,4.89334106445312,4.25499820709229,-5.70407724380493,7.12524668375651,0.638514479001363,-7.2661395072937,2.0842227935791,-1.44769589602947,0.252764467149973,-0.0483221560716629,-0.0350487045943737,-48.2565298676491,8.42548223833243,-4.83221560716629,-3.50487045943737,0.33333333,0.6,0.5,1,1,1,0.625,16.6,0.125,0.125,0.375,0.375,89.9568023681641,82.3087005615234,96.7977294921875,88.9218343098958,-5.53381013870239,4.18835020065308,-3.3000701268514,5.34119987487793,2.10791993141174,-7.48280000686646,6.80711682637533,0.416781822840373,-0.0350487045943737,-0.0483221560716629,-1.44769589602947,0.252764467149973,-3.50487045943737,-4.83221560716629,-48.2565298676491,8.42548223833243,0.33333333,0.6,0.5,1,1,1,0.625,3,98.205078125,29.2103424072266,1,0.33333333,111.977,2,0.66666667,"2024-09-26",0
"Kyle Leahy",24763,"2024-09-06","SEA",28,2024,"STL","H",27,0,0,20.2500048279774,1,0,0,0,0,0,0,0,1.1,9,4,3,3,0,1,0,0,1,0,2,13.5000032186516,6.75000160932579,27.0000064373032,2,0,0,3,3,0,0,0,0,0,0.22222222,0.11111111,0.11111111,4.21117352961889,0,0.5,3.75000089406988,0.666666666666667,0.4,2.41647959947582,17.8335252285016,5.81849932457973,500.00098293375,61.2041468971542,142.397729710601,1,0,0.5,0.5,0,0,0,0,16,23,39,-0.0384000018239021,-0.0776800066232681,0.039280004799366,-2.54200005531311,-0.268143475055695,0.343799978494644,0.370199978351593,0.464800000190735,0.0263999998569489,1,1,-0.175726875662804,0.0640340186939358,0,0,0.48717949,95.57894737,0.30769231,88.33333333,0.1025641,83.25,0.1025641,89.75,-0.252090275287628,-0.698763251304626,-0.220357209444046,-0.254216015338898,-1.32679092256646,-5.82302709420522,-5.50893023610115,-6.35540038347244,0.2,0.89473684,0.53846154,0.75,0.94117647,0.9047619,0.48717949,0.66666667,0.05128205,3,0,3,0,5,1,6,0.5,0,0.5,0,0.83333333,0.16666667,1.19891781025379,73.881,49.01557,80,20,68.12956,20,68.62292,61.71302,60.44907,51.19448,67.42396,52.82463,58.79084,64.70246,52.65769,-0.42073,3.446,64.58,158.68,148.68,105.52,58.86,58.52,99.38,97.04,103.18,95.1333333333333,107.893333333333,114.533333333333,95.1338461538461,102.785641025641,106.759487179487,0.48717949,0.30769231,0.1025641,0.1025641,95.4631604646382,88.4166666666667,83.1999969482422,89.7750015258789,-2.83392374139083,4.62840970357259,4.56577968597412,-7.12439346313477,10.3208296926398,1.44058434168498,-7.13312244415283,4.25767993927002,-0.274786744266748,-0.709975108504295,-0.224881749600172,-0.25890327244997,-1.44624602245657,-5.9164592375358,-5.6220437400043,-6.47258181124926,0.125,0.82608696,0.53846154,1,0.89473684,0.9047619,0.58974359,19.96666667,0.1025641,0.1025641,0.48717949,0.30769231,89.8062286376953,83.22802734375,95.5066560444079,88.454355875651,-7.4089298248291,4.41067504882812,-2.88846146432977,4.74301719665527,3.11162495613098,-8.91914463043213,9.4291165000514,0.446041663487752,-0.25890327244997,-0.224881749600172,-0.274786744266748,-0.709975108504295,-6.47258181124926,-5.6220437400043,-1.44624602245657,-5.9164592375358,0.13333333,0.79166667,0.53846154,1,0.89473684,0.9047619,0.61538462,6,89.7711079915365,21.0090370178223,0,0,105.711,3,0.5,"2024-09-06",0
"Kyle Leahy",24763,"2024-09-02","@MIL",28,2024,"STL","A",27,0,0,0,1,0,0,0,0,0,0,0,2.1,7,0,0,0,0,0,0,0,0,0,4,15.4285735305478,0,0,4,0,0,1,1,1,0,0,0,0,0.57142857,0,0.57142857,0.153749494349056,0,0,0,0,1,-0.262092117387485,0.262092117387485,0.385911573562526,0,-4.62107584094482,11.1153157099558,1,0.333333333,0.333333333,0.333333333,0,0,0,0,6,20,26,0.00328001007437706,0,0.00328001007437706,1.22800004482269,0.126142784953117,0.0212857145816088,0.0273000001907349,0.0498000010848045,NA,0,1,0.149480640888214,0.00461378999413201,0,0,0.42307692,94.90909091,0.26923077,87.71428571,0.11538462,83.33333333,0.19230769,89.2,0.638566255569458,0.249026224017143,0.302285641431808,0.628719627857208,5.80514777790416,3.55751748595919,10.0761880477269,12.5743925571442,0.47058824,0.77777778,0.57692308,0.5,0.71428571,0.6,0.34615385,0.85714286,0.23076923,2,1,0,0,0,3,3,0.66666667,0.33333333,0,0,0,1,0.0489817154012888,79.40448,37.17721,80,80,49.31457,80,80,50.11016,80,48.89332,61.05819,38.51546,78.2819,50.10771,80,-1.63164,1.62963,85.28,147.9,121.96,98.4,139.26,131.5,98.66,131.72,124.54,104.002857142857,120.308571428571,125.522857142857,97.4953846153846,132.629230769231,125.111538461538,0.42307692,0.26923077,0.11538462,0.19230769,94.8909135298295,87.7428588867188,83.1666666666667,89.4,-3.48179314353249,5.27339008876256,3.08240477244059,-6.81354370117188,9.9792875810103,3.66732134137835,-7.1752503712972,5.60889472961426,0.64595390111208,0.251609150320292,0.305676110088825,0.636119246482849,5.872308191928,3.59441643314702,10.1892036696275,12.722384929657,0.63636364,0.53333333,0.57692308,0.71428571,0.5,0.6,0.57692308,17.26315789,0.19230769,0.11538462,0.42307692,0.26923077,89.7073974609375,83.4337310791016,95.1917502663352,88.0406755719866,-6.62847442626953,3.40603987375895,-3.15237981622869,6.05602700369699,4.27022209167481,-8.77853012084961,8.95478265935724,2.14660712650844,0.636119246482849,0.305676110088825,0.64595390111208,0.251609150320292,12.722384929657,10.1892036696275,5.872308191928,3.59441643314702,0.58333333,0.57142857,0.57692308,0.57142857,0.625,0.6,0.53846154,3,93.7678731282552,15.5724411010742,0,0,107.841,1,0.33333333,"2024-09-02",0
"Kyle Leahy",24763,"2024-08-26","SDP",28,2024,"STL","H",27,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2.31606242325356,0,0,0,0,1,6.1664797782898,-6.1664797782898,6.1664797782898,0,153.359453206221,150.806929171676,2,0,1,0,0,0,1,9,4,4,8,0.00327599979937077,-0.00205600028857589,0.00533200008794665,0.480000019073486,0.0506329126656055,0.0564000010490417,0.0564000010490417,0.0564000010490417,NA,0,1,0.0455422140657902,0.0125428876795479,0,0,0.5,95,0.375,89,0.125,83,NA,NA,0.955398440361023,-0.267598271369934,-0.0344077162444592,NA,23.8849610090256,-8.9199423789978,-3.44077162444592,NA,0.2,0.66666667,0.375,1,1,1,0.375,0.66666667,0,1,1,0,0,2,0,2,0.5,0.5,0,0,1,0,6.60409942954487,NA,NA,NA,20,50.88378,20,55.58473,58.95594,60.72518,20,52.77329,20,20,55.44544,20,2.11356,7.24743,NA,NA,NA,79.34,53.2,42.88,98.08,127.3,137.38,85.76,18.3,12.02,91.1175,77.1625,78.5575,0.5,0.375,0.125,NA,95.125,89,82.5999984741211,NA,-2.15279221534729,4.66912841796875,1.92193865776062,NA,9.02947616577148,1.42570781707764,-7.05938673019409,NA,0.972955025732517,-0.275654554367065,-0.0350487045943737,NA,24.3238756433129,-9.18848514556885,-3.50487045943737,NA,0.25,0.5,0.375,1,1,1,0.5,17.8,NA,0.125,0.5,0.375,NA,82.8806991577148,95.4249267578125,89.3213704427083,NA,2.40552997589111,-1.99565005302429,5.26554679870605,NA,-8.75739002227783,7.9662823677063,-0.0361828655004501,NA,-0.0350487045943737,0.972955025732517,-0.275654554367065,NA,-3.50487045943737,24.3238756433129,-9.18848514556885,0.25,0.5,0.375,1,1,1,0.5,2,84.2045135498047,-27.7438926696777,0,0,97.1479,1,0.5,"2024-08-26",0
"Kyle Leahy",24763,"2024-08-24","@MIN",28,2024,"STL","A",27,0,0,9,1,0,0,0,0,0,0,0,1,4,1,1,1,1,0,0,0,0,0,1,9,0,9,1,0,0,2,1,0,0,0,0,0,0.25,0,0.25,2.16704158401489,9,0.25,1,0,1,14.1664797782898,-5.16647977828979,2.67848818451166,222.222606099656,349.957430624373,66.5170884121943,2,0,0.666666666,0.333333333,0,1,0,0,2,9,11,-0.00231598364189267,-0.00275999773293734,0.000444014061940834,-0.515999972820282,-0.0540880486369133,0.0135999992489815,0.0199999995529652,0.0199999995529652,NA,0,1,-0.0941085293889046,-0.0761843948600522,0,0,0.27272727,96.33333333,0.63636364,88.28571429,0.09090909,83,NA,NA,-1.30202877521515,0.61651337146759,-0.0344077162444592,NA,-43.4009591738383,8.80733387810843,-3.44077162444592,NA,0.66666667,0.8,0.72727273,0.75,0.75,0.75,0.45454545,0.75,0.18181818,2,1,0,2,0,1,3,0.66666667,0.33333333,0,0.66666667,0,0.33333333,12.7723379825969,NA,NA,NA,20,51.18791,20,80,53.60636,80,80,64.20908,80,80,64.81168,80,-2.72683,-0.01315,NA,NA,NA,81.06,35.58,25.88,86.52,132.94,126.54,124.254285714286,161.571428571429,171.517142857143,110.036363636364,142.309090909091,146.010909090909,0.27272727,0.63636364,0.09090909,NA,96.0999959309896,88.1714303152902,83.3000030517578,NA,-3.68889935811361,6.09743227277483,3.577476978302,NA,8.65910720825195,1.58380685533796,-7.33166265487671,NA,-1.30212038010359,0.624199740588665,-0.0350487045943737,NA,-43.4040126701196,8.91713915126664,-3.50487045943737,NA,0.6,0.83333333,0.72727273,1,0.6,0.75,0.54545455,20.14285714,NA,0.09090909,0.27272727,0.63636364,NA,83.3455963134766,96.1164957682292,88.1809605189732,NA,3.8701798915863,-3.8108065923055,6.33753476824079,NA,-8.70635986328125,8.00630315144857,0.42330527305603,NA,-0.0350487045943737,-1.30212038010359,0.624199740588665,NA,-3.50487045943737,-43.4040126701196,8.91713915126664,0.6,0.83333333,0.72727273,1,0.6,0.75,0.54545455,3,75.8200378417969,-36.4847768147786,1,0.33333333,107.484,1,0.33333333,"2024-08-24",0
"Kyle Leahy",24763,"2024-08-20","MIL",28,2024,"STL","H",27,0,0,0,1,0,0,0,0,0,0,0,1.2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,6.03472908401489,0,0,0,0,1,3.1664797782898,-3.1664797782898,4.98089055789882,0,79.6352116744142,122.156307773627,1,0,0.5,0.5,0.5,0,2,10.8000041198746,2,9,11,0.0588559955358505,0,0.0588559955358505,1.36000001430511,0.143459916114807,0.484799981117249,0.5878666639328,0.501199960708618,NA,0,1,0.120888009667397,0.000514626116981179,0,0,0.36363636,95,0.63636364,87,NA,NA,NA,NA,0.890976309776306,0.623043298721313,NA,NA,22.2744077444077,8.90061855316162,NA,NA,0.5,0.57142857,0.54545455,1,1,1,0.63636364,1,0,2,1,1,1,1,2,4,0.5,0.25,0.25,0.25,0.25,0.5,0.210623847057684,NA,NA,NA,NA,NA,NA,80,52.34419,80,43.64097,61.54882,45.03597,71.94631,62.40043,80,-1.23803,2.22005,NA,NA,NA,NA,NA,NA,93.02,151.64,148.82,104.562857142857,86.9342857142857,95.1657142857143,100.365454545455,110.463636363636,114.676363636364,0.36363636,0.63636364,NA,NA,95.1999969482422,86.8857160295759,NA,NA,-2.44289898872375,6.49385724748884,NA,NA,9.49621963500977,1.20729855128697,NA,NA,0.90628956258297,0.61269049718976,NA,NA,22.6572390645742,8.75272138842515,NA,NA,0.33333333,0.625,0.54545455,1,1,1,0.72727273,17.57142857,NA,NA,0.36363636,0.63636364,NA,NA,95.2912750244141,86.9697701590402,NA,NA,-2.14763760566711,7.02289417811802,NA,NA,8.28485488891602,-0.235636063984462,NA,NA,0.90628956258297,0.61269049718976,NA,NA,22.6572390645742,8.75272138842515,0.33333333,0.625,0.54545455,1,1,1,0.72727273,4,90.9347381591797,21.2810440063477,0,0,97.9739,1,0.25,"2024-08-20",0
"Kyle Leahy",24763,"2024-08-14","@CIN",28,2024,"STL","A",27,0,0,13.500014081612,1,0,0,0,0,0,0,0,0.2,3,1,1,1,1,0,0,0,0,0,1,13.500014081612,0,13.500014081612,1,0,0,0,2,0,0,0,0,0,0.33333333,0,0.33333333,4.45139575020756,13.500014081612,0.333333333333333,1.50000156462356,0,1,19.6664969891489,-6.16648290753691,4.70250659915622,333.334256844208,485.118963051864,115.428957973168,0,0,0,1,0,0.5,0,0,1,8,9,-0.005929971113801,-0.00840000528842211,0.00247003440745175,-0.621000051498413,-0.058723408728838,0.0509999990463257,0.0609999969601631,0.0609999969601631,0.0199999995529652,1,1,-0.0840448066592216,-0.0322291389229054,0,0,0.55555556,95.4,0.44444444,88.75,NA,NA,NA,NA,-1.34110724925995,0.446836829185486,NA,NA,-26.822144985199,11.1709207296371,NA,NA,0.33333333,0.66666667,0.55555556,0,1,0.8,0.66666667,1,0.11111111,1,0,1,0,1,1,2,0.5,0,0.5,0,0.5,0.5,17.0746892964408,NA,NA,NA,NA,NA,NA,80,57.99339,80,46.49657,61.36849,39.34187,74.57398,60.91712,78.58023,-1.40128,1.97517,NA,NA,NA,NA,NA,NA,86.04,131.64,125.8,126.54,96.95,112.79,104.04,116.222222222222,120.017777777778,0.55555556,0.44444444,NA,NA,95.6200012207031,88.5250015258789,NA,NA,-2.64982032775879,5.4795970916748,NA,NA,9.5991081237793,1.62183976173401,NA,NA,-1.3417728766799,0.452088624238968,NA,NA,-26.8354575335979,11.3022156059742,NA,NA,0.33333333,0.66666667,0.55555556,0,1,0.8,0.66666667,15.66666667,NA,NA,0.55555556,0.44444444,NA,NA,95.7669555664063,88.6321716308594,NA,NA,-2.20289535522461,6.05877256393433,NA,NA,8.52525634765625,0.352871745824814,NA,NA,-1.3417728766799,0.452088624238968,NA,NA,-26.8354575335979,11.3022156059742,0.5,0.57142857,0.55555556,0,1,0.8,0.77777778,2,93.3521423339844,37.2399597167969,0,0,96.4231,1,0.5,"2024-08-14",0
"Kyle Leahy",24763,"2024-08-12","@CIN",28,2024,"STL","A",27,0,0,0,1,0,0,0,0,0,0,0,1.2,5,0,0,0,0,0,0,0,0,0,1,5.40000205993731,0,0,1,0,0,2,2,0,0,0,0,0,0.2,0,0.2,3.29696908401489,0,0,0,0,1,1.96647932052595,-1.96647932052595,3.78089010013497,0,50.1455038122606,93.1574283965535,1,0,0.5,0.5,0,0,0,0,9,15,24,0.00984003581106663,0,0.00984003581106663,1.00399994850159,0.0949409008026123,0.0733999982476234,0.086499996483326,0.111999996006489,0.0410000011324883,1,1,0.134455069899559,-0.000394633305676267,0,0,0.58333333,96.28571429,0.25,90.16666667,0.08333333,84,0.08333333,90.5,0.261752665042877,1.07451593875885,-0.0879258811473846,-0.0582131333649158,1.86966189316341,17.9085989793142,-4.39629405736923,-2.91065666824579,0.46666667,0.77777778,0.58333333,0.85714286,0.85714286,0.85714286,0.375,0.6,0.08333333,1,1,2,1,3,0,4,0.25,0.25,0.5,0.25,0.75,0,0.183989600823698,36.0712,55.64249,25.80954,80,80,80,42.69685,54.09006,36.31777,80,67.2559,80,65.46682,62.36654,67.85234,-0.83549,2.82386,91.1,93.36,88,96.38,166.92,177.96,96.52,93.94,99.04,89.94,122.32,152.86,94.4116666666667,107.068333333333,118.151666666667,0.58333333,0.25,0.08333333,0.08333333,96.1071428571429,90.1500040690104,83.6999969482422,90.3500061035156,-3.61450931004115,2.58399613698324,5.07691192626953,-9.05856323242188,9.91789354596819,2.30990823109945,-7.49853229522705,4.28526973724365,0.263436887413263,1.08987860381603,-0.0897959321737289,-0.0592916384339333,1.88169205295188,18.1646433969339,-4.48979660868645,-2.96458192169666,0.30769231,0.90909091,0.58333333,0.75,0.9,0.85714286,0.45833333,17.94736842,0.08333333,0.08333333,0.58333333,0.25,90.3434982299805,83.6817474365234,96.0950142996652,90.1222229003906,-9.09946441650391,5.5989351272583,-3.27437428065709,3.02330493927002,2.92560005187988,-9.2137451171875,8.86476353236607,1.00485197703044,-0.0592916384339333,-0.0897959321737289,0.263436887413263,1.08987860381603,-2.96458192169666,-4.48979660868645,1.88169205295188,18.1646433969339,0.38461538,0.81818182,0.58333333,0.8,0.88888889,0.85714286,0.45833333,4,84.024528503418,23.4862251281738,0,0,87.1642,0,0,"2024-08-12",0
"Kyle Leahy",24763,"2024-08-08","TBR",28,2024,"STL","H",27,0,0,54.0000563264481,1,0,0,0,0,0,1,0,0.1,3,1,2,2,0,1,0,0,0,0,0,0,27.000028163224,27.000028163224,0,0,0,0,1,1,0,0,0,0,0,0.33333333,-0.33333333,12.5329512968893,0,0.5,6.00000625849423,0.5,0,12.1664891660311,41.8335671604169,16.7025191161447,1333.33702737683,300.808166971205,405.417943604044,0,0.5,0,0.5,0,0,0,0,4,5,9,-0.129772022366524,-0.199164018034935,0.0693920031189919,-1.02199995517731,-0.107805907726288,2.31373333930969,1.32200002670288,1.32200002670288,2.32079982757568,1,1,-0.0828943327069283,0.0268066150076875,0,1,0.66666667,95.66666667,0.22222222,91,NA,NA,0.11111111,89,-0.223579570651054,-0.463952898979187,NA,-0.04739710688591,-3.72632617751757,-23.1976449489594,NA,-4.739710688591,0,0.75,0.33333333,NA,0.66666667,0.66666667,0.44444444,1,0.11111111,0,1,1,0,2,0,2,0,0.5,0.5,0,1,0,16.2087797537125,20,44.36981,20,NA,NA,NA,61.22643,58.6045,66.34282,80,45.67954,80,60.77755,52.6753,68.70684,-0.54416,3.26085,88.74,-1.35999999999999,-7.86,NA,NA,NA,88.72,100.2,104.08,87.62,165.82,157.96,88.4777777777778,103.497777777778,103.615555555556,0.66666667,0.22222222,NA,0.11111111,95.6166687011719,90.6499938964844,NA,89.1999969482422,-2.98781903584798,3.78454995155334,NA,-6.00160789489746,9.81040891011556,1.55945014953613,NA,3.85489869117737,-0.22370284050703,-0.471209853887558,NA,-0.0483221560716629,-3.72838067511717,-23.5604926943779,NA,-4.83221560716629,0,0.6,0.33333333,NA,0.66666667,0.66666667,0.55555556,14.5,0.11111111,NA,0.66666667,0.22222222,89.405403137207,NA,95.8247273763021,90.8541488647461,-6.18498992919922,NA,-2.76316674550374,4.17093467712402,3.21113991737366,NA,8.82504653930664,0.552531480789185,-0.0483221560716629,NA,-0.22370284050703,-0.471209853887558,-4.83221560716629,NA,-3.72838067511717,-23.5604926943779,0,0.6,0.33333333,NA,0.66666667,0.66666667,0.55555556,2,83.8543167114258,29.6883697509766,0,0,96.2717,1,0.5,"2024-08-08",0
