"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","wFB","wSL","wCB","wFB/C","wSL/C","wCB/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSL%","pfxCU%","pfxvFA","pfxvSL","pfxvCU","pfxFA-X","pfxSL-X","pfxCU-X","pfxFA-Z","pfxSL-Z","pfxCU-Z","pfxwFA","pfxwSL","pfxwCU","pfxwFA/C","pfxwSL/C","pfxwCU/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCU%","piFA%","piSL%","pivCU","pivFA","pivSL","piCU-X","piFA-X","piSL-X","piCU-Z","piFA-Z","piSL-Z","piwCU","piwFA","piwSL","piwCU/C","piwFA/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Jordan Leasure",29950,"2024-07-14","PIT",4,2024,"CHW","H",25,0,0,36,1,0,0,0,0,0,0,0,1,8,4,4,4,0,1,0,0,0,0,0,0,9,36,0,0,0,2,3,2,0,0,0,0,0,0.125,-0.125,7.80369783401489,0,0.571428571428571,5,0.571428571428571,0.2,6.1664797782898,29.8335202217102,10.7025049969554,888.905428485177,146.556464726554,264.406843865182,0.666666666,0.285714285,0.285714285,0.428571428,0,0,1,9,10,16,26,-0.267450004816055,-0.296440005302429,0.0289899874478579,-3.50300002098083,-0.360947966575623,0.778699994087219,0.975800037384033,0.975800037384033,0.128799989819527,1,1,-0.283476442098618,-0.0599806104849725,0,1,0.57692308,96.53333333,0.23076923,87.83333333,0.19230769,79,0.15912301838398,-2.21534991264343,-0.767797231674194,1.06082012255987,-36.9224985440572,-15.3559446334839,0.23076923,0.53846154,0.38461538,0.66666667,1,0.9,0.5,0.5,0.03846154,4,1,2,1,3,3,7,0.57142857,0.14285714,0.28571429,0.14285714,0.42857143,0.42857143,6.83962377433764,65.13928,53.31823,64.34006,25.09479,59.427,20,56.21378,53.23986,61.82399,35.12985,54.73914,32.04947,1.04924,5.65095,101.9,120,116.52,108.3,41.56,47.4,108.32,93.5,96.46,107.073846153846,68.6307692307692,72.0138461538462,0.57692308,0.23076923,0.19230769,96.5666666666667,87.7999979654948,78.8,-2.69093170166016,2.98679669698079,7.07099761962891,10.0971343994141,1.50953356424967,-6.62886123657227,0.138428010046482,-2.23396637663245,-0.768929168581963,0.922853400309881,-37.2327729438742,-15.3785833716393,0.16666667,0.57142857,0.38461538,0.5,1,0.9,0.53846154,17.94444444,0.19230769,0.57692308,0.23076923,78.7744995117187,96.5469319661458,87.7451985677083,7.52595596313477,-2.26729049682617,3.44995657602946,-7.97515182495117,9.17267252604167,0.512717008590698,-0.768929168581963,0.138428010046482,-2.23396637663245,-15.3785833716393,0.922853400309881,-37.2327729438742,0.15384615,0.61538462,0.38461538,0.5,1,0.9,0.5,7,91.010986328125,14.7596784319196,0,0,105.147,3,0.42857143,"2024-07-14",0
"Jordan Leasure",29950,"2024-07-10","MIN",4,2024,"CHW","H",25,0,0,9,1,0,0,0,0,0,1,0,1,4,1,1,1,1,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,2,0,0,0,0,0,0,13.2527290840149,9,0.25,1,0,1,16.1664797782898,-7.16647977828979,9.21451340317726,222.226357121294,387.116711703312,227.389229439621,0,0,0,1,0.5,0.25,0,0,2,8,10,-0.00747996475547552,-0.0775079652667046,0.0700279995799065,-0.503000020980835,-0.0518289543688297,0.921550035476685,0.915800034999847,0.915800034999847,1.44520008563995,1,1,-0.00870727468281984,0.000590553433271624,0,0,0.8,95.875,0.1,89,0.1,78,0.730335891246796,0.054188709706068,-1.41040623188019,9.12919864058495,5.4188709706068,-141.040623188019,0.33333333,0.85714286,0.7,1,0.83333333,0.85714286,0.7,0.5,0.1,2,1,1,2,1,1,4,0.5,0.25,0.25,0.5,0.25,0.25,11.1592129508807,80,47.5607,80,74.0893,61.95958,79.7636,31.3106,38.05224,27.466,80,53.9678,80,-1.86223,1.28375,84.36,162.22,157.3,96.88,133.32,132.5,96.52,90.66,88.42,95.592,131.944,130.572,0.8,0.1,0.1,95.9250030517578,88.6999969482422,77.5999984741211,-4.41788864135742,2.71563863754272,5.41147232055664,10.7018871307373,4.08214855194092,-7.30210781097412,0.703519441187382,0.054773960262537,-1.41166830062866,8.79399301484227,5.4773960262537,-141.166830062866,0.33333333,0.85714286,0.7,1,0.83333333,0.85714286,0.7,15.5,0.1,0.8,0.1,77.481201171875,95.8229598999023,88.5973968505859,6.13634014129639,-3.91645002365112,3.35261988639832,-8.53232002258301,9.84284973144531,3.16483998298645,-1.41166830062866,0.703519441187382,0.054773960262537,-141.166830062866,8.79399301484227,5.4773960262537,0.5,0.75,0.7,1,0.83333333,0.85714286,0.8,4,88.9591445922852,50.6480712890625,1,0.25,101.095,1,0.25,"2024-07-10",1
"Jordan Leasure",29950,"2024-07-08","MIN",4,2024,"CHW","H",25,0,0,54.0000563264481,1,0,0,0,0,0,0,1,0.2,6,4,4,4,2,0,0,0,0,0,0,0,0,54.0000563264481,0,0,0,3,2,1,0,0,0,0,0,0,0,5.51506241997356,27.000028163224,0.666666666666667,6.00000625849423,0.5,0,42.1665204585023,11.8335358679458,7.70250972840334,1333.35953353014,1012.57433244708,189.774252798055,1.5,0.166666666,0.5,0.333333333,0,1,0,0,12,17,29,-0.551537990570068,-0.615209996700287,0.0636719912290573,-3.60500001907349,-0.371457993984222,1.42820000648499,0.915800034999847,0.915800034999847,0.497000008821487,1,1,-0.498296201229095,0.112119203563701,0,1,0.5862069,96.58823529,0.34482759,88.9,0.06896552,78,-1.09309864044189,-2.71948933601379,0.193869575858116,-6.42999200259938,-27.1948933601379,9.69347879290581,0.29411765,0.91666667,0.55172414,0.6,0.81818182,0.75,0.4137931,0.83333333,0.13793103,4,1,1,2,0,4,6,0.66666667,0.16666667,0.16666667,0.33333333,0,0.66666667,30.5326841503027,51.46232,55.71552,47.60311,33.57929,59.10543,20,57.81732,60.06002,60.78526,40.52821,59.1622,30.3827,0.71386,5.14788,121.4,57.6,59.82,98.64,48.52,50.76,95.56,128.4,134.26,99.1475862068966,76.6910344827586,80.1779310344828,0.5862069,0.34482759,0.06896552,96.6352969898897,88.6799987792969,77.9499969482422,-2.42417189654182,3.22981605529785,5.42282295227051,9.96811720904182,2.0950403213501,-7.99340438842773,-1.09046561643481,-2.73655712604523,0.196422282606363,-6.41450362608713,-27.3655712604523,9.82111413031816,0.2,0.92857143,0.55172414,0.66666667,0.76923077,0.75,0.48275862,23.2173913,0.06896552,0.5862069,0.34482759,77.7447967529297,96.4716940487132,88.5047790527344,6.3985800743103,-1.83047586328843,4.14409217834473,-9.48712539672852,9.12955789005055,0.817710304260254,0.196422282606363,-1.09046561643481,-2.73655712604523,9.82111413031816,-6.41450362608713,-27.3655712604523,0.3125,0.84615385,0.55172414,0.6,0.81818182,0.75,0.44827586,6,88.7693684895833,1.35142199198405,1,0.16666667,116.658,3,0.5,"2024-07-08",0
"Jordan Leasure",29950,"2024-06-12","@SEA",4,2024,"CHW","A",25,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,1,0,0,0,0,6.03472908401489,0,0.333333333333333,1,0.333333333333333,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,74.3883906335265,76.9288520456552,0,1,0,0,0,0,1,9,1,5,6,0.0250520072877407,-0.0176360085606575,0.0426880158483982,0.430000007152557,0.048835888504982,0.624399960041046,0.4617999792099,0.4617999792099,2.17919993400574,1,1,0.0244420506060123,0.0156796804813725,0,0,0.66666667,96.25,0.33333333,89,NA,NA,0.377820432186127,-0.406658798456192,NA,9.44551080465317,-20.3329399228096,NA,0.5,0.75,0.66666667,1,1,1,0.66666667,1,0,1,1,1,1,2,0,3,0.33333333,0.33333333,0.33333333,0.33333333,0.66666667,0,35.4835263102465,NA,NA,NA,80,58.1331,80,43.83429,52.18412,51.54316,80,55.22484,80,-1.93145,1.17992,NA,NA,NA,110.66,125.04,131.78,93.64,111.84,113.94,103.852,119.76,124.644,0.66666667,0.33333333,NA,96.2249984741211,89,NA,-3.26966333389282,2.88105344772339,NA,10.4164514541626,2.08522748947144,NA,0.341779191046953,-0.413239941000938,NA,8.54447977617383,-20.6619970500469,NA,0,0.8,0.66666667,NA,1,1,0.83333333,18,NA,0.66666667,0.33333333,NA,96.5275268554688,89.2737503051758,NA,-2.59490752220154,3.52642011642456,NA,9.20623207092285,0.656376481056213,NA,0.341779191046953,-0.413239941000938,NA,8.54447977617383,-20.6619970500469,0,0.8,0.66666667,NA,1,1,0.83333333,3,85.5950393676758,16.6855506896973,0,0,103.578,1,0.33333333,"2024-06-12",0
"Jordan Leasure",29950,"2024-06-10","@SEA",4,2024,"CHW","A",25,0,1,54.0000563264481,1,0,0,0,0,0,0,0,0.2,6,2,4,4,1,2,0,0,0,0,0,0,27.000028163224,27.000028163224,0,0,0,2,1,1,0,0,0,0,0,0.33333333,-0.33333333,11.4582846324343,13.500014081612,0.5,6.00000625849423,0.333333333333333,0,31.6665095061374,22.3335468203107,14.4345041410879,1333.35953353014,759.985809651122,357.249912288199,2,0.25,0.5,0.25,0,1,0,0,13,10,23,-0.247447997331619,-0.430136024951935,0.182688027620316,-3.07299995422363,-0.349006235599518,3.73230004310608,3.26826667785645,5.44640016555786,NA,0,1,-0.0690775141119957,0.00277845067290275,0,1,0.52173913,96.41666667,0.47826087,90.09090909,NA,NA,-1.72812378406525,-0.349917143583298,NA,-14.4010315338771,-3.18106494166634,NA,0.07142857,0.88888889,0.39130435,0,0.875,0.77777778,0.39130435,0.33333333,0.08695652,3,1,0,0,3,1,4,0.75,0.25,0,0,0.75,0.25,33.4391207623919,NA,NA,NA,20,58.09124,20,20,44.75851,22.30814,20,52.3428,20,3.31855,9.05492,NA,NA,NA,98.74,29.2,38.04,89.52,69.96,71.18,94.3304347826087,48.6939130434783,53.8895652173913,0.52173913,0.47826087,NA,96.4000040690104,90.1454523259943,NA,-2.78393173217773,2.98716076937589,NA,10.1267274220785,4.67328747836026,NA,-1.73953995108604,-0.357849430292845,NA,-14.4961662590504,-3.25317663902586,NA,0.07692308,0.8,0.39130435,0,0.875,0.77777778,0.43478261,19.29411765,NA,0.52173913,0.47826087,NA,96.7134806315104,90.4569369229403,NA,-2.20491313934326,3.62599355524237,NA,9.00423304239909,3.28384850241921,NA,-1.73953995108604,-0.357849430292845,NA,-14.4961662590504,-3.25317663902586,0.07692308,0.8,0.39130435,0,0.875,0.77777778,0.43478261,4,94.397819519043,9.67615413665771,1,0.25,107.995,2,0.5,"2024-06-10",0
"Jordan Leasure",29950,"2024-06-08","BOS",4,2024,"CHW","H",25,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,0,1,0,0,0,0,0,0.66666667,0,0.66666667,-0.078604246671107,0,0,0,0,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-21.8357081571767,15.0336680287444,0,0,0,1,0,0,0,0,7,9,16,0.011656048707664,0,0.011656048707664,0.496999979019165,0.0512107163667679,0.15486666560173,0.267000019550323,0.267000019550323,0.158199995756149,1,1,0.0755378678441048,-0.000272808947312853,0,0,0.75,95.83333333,0.1875,87.66666667,0.0625,79,0.748513460159302,0.0457072965800762,-0.0344077162444592,6.23761216799418,1.52357655266921,-3.44077162444592,0.2,0.5,0.3125,1,1,1,0.375,0.33333333,0,1,0,0,0,1,0,1,1,0,0,0,1,0,-1.72711696253089,31.38873,53.5217,27.89847,50.26226,55.97346,35.16233,58.36804,44.48434,62.63387,50.10643,50.03741,38.83477,0.1188,4.25529,76.82,70.78,58.56,101.54,95.7,100.84,87.44,77.76,72.92,97.35125,90.77875,92.9625,0.75,0.1875,0.0625,95.6666666666667,87.4000040690104,78.5999984741211,-3.13905239105225,2.72467358907064,5.53065538406372,10.5743408203125,1.491730372111,-6.95162534713745,0.757722895592451,0.0458161719143391,-0.0350487045943737,6.31435746327043,1.52720573047797,-3.50487045943737,0.2,0.5,0.3125,1,1,1,0.375,18.76923077,0.0625,0.75,0.1875,78.8265991210938,95.8963216145833,87.5899353027344,5.71445989608765,-2.70029735565186,3.11608664194743,-8.59000015258789,9.72702344258626,0.709099928538005,-0.0350487045943737,0.757722895592451,0.0458161719143391,-3.50487045943737,6.31435746327043,1.52720573047797,0.2,0.5,0.3125,1,1,1,0.375,1,83.1820983886719,38.3086280822754,0,0,83.1821,0,0,"2024-06-08",0
"Jordan Leasure",29950,"2024-06-04","@CHC",4,2024,"CHW","A",25,0,1,18,1,0,0,0,0,0,0,1,1,6,2,2,2,0,1,0,0,0,0,2,18,9,18,2,0,0,1,1,1,0,0,0,0,0.33333333,0.16666667,0.16666667,3.79739574356156,0,0.4,3,0.666666666666667,0.33333333,2.1664797782898,15.8335202217102,3.67848818451166,444.452714242589,50.3323659358507,89.6663768027962,1,0.333333333,0.333333333,0.333333333,0,0,0,0,12,13,25,-0.554080009460449,-0.656300008296967,0.10222002863884,-1.53100001811981,-0.164094313979149,2.39526677131653,2.45760011672974,2.45760011672974,NA,0,1,-0.0794422701001167,-0.151880610547497,0,1,0.56,96,0.36,88.22222222,0.08,78.5,-0.182251289486885,-0.474803686141968,-0.096498891711235,-1.30179492490632,-5.27559651268853,-4.82494458556175,0.31578947,0.66666667,0.4,0.5,1,0.7,0.24,0.33333333,0.12,1,1,1,0,1,2,3,0.33333333,0.33333333,0.33333333,0,0.33333333,0.66666667,3.73641029751347,20,51.18395,20,39.20021,54.13049,32.56312,57.66806,52.64655,55.41528,35.46801,52.40527,28.38443,1.02823,5.61944,85.6,-2,-5.72,89.2,79.14,68.6,93.62,129.04,128.42,90.5032,90.6128,84.1896,0.56,0.36,0.08,96.0428553989955,88.0888875325521,78.4000015258789,-2.39771134512765,3.28450224134657,5.13056182861328,9.23934282575335,1.06547493404812,-9.00376892089844,-0.185801945626736,-0.483310583978891,-0.0984223820269108,-1.32715675447668,-5.37011759976546,-4.92111910134554,0.23529412,0.75,0.4,0.25,1,0.7,0.32,21.05263158,0.08,0.56,0.36,78.6910552978516,96.3684517996652,88.3890652126736,4.63207530975342,-2.31768798828125,3.44693438212077,-10.2361507415771,8.25538853236607,-0.35476467344496,-0.0984223820269108,-0.185801945626736,-0.483310583978891,-4.92111910134554,-1.32715675447668,-5.37011759976546,0.2,0.7,0.4,0.33333333,0.85714286,0.7,0.4,3,92.3530578613281,20.0892804463704,0,0,99.4093,2,0.66666667,"2024-06-04",0
"Jordan Leasure",29950,"2024-06-01","@MIL",4,2024,"CHW","A",25,0,0,0,1,0,0,0,0,0,0,1,1.1,6,1,0,0,0,1,0,0,1,0,2,13.5000032186516,6.75000160932579,6.75000160932579,2,0,0,2,1,0,0,0,0,0,0.33333333,0.16666667,0.16666667,3.69039574374473,0,0.2,1.50000035762795,0.333333333333333,1,2.41647959947582,-2.41647959947582,3.55048617451045,0,56.3463678087162,86.4819978911584,2,0,0.666666666,0.333333333,0,0,0,0,8,13,21,-0.185581997036934,-0.366403996944427,0.180821985006332,-1.06400001049042,-0.109296359121799,2.70402860641479,2.16933345794678,2.88920021057129,2.25880002975464,1,1,0.0243347715586424,-0.0929664408378341,0,1,0.57142857,96.66666667,0.38095238,88.375,0.04761905,80,-0.145168960094452,0.563915967941284,-0.0968978852033615,-1.20974133412043,7.04894959926605,-9.68978852033615,0.27272727,0.6,0.42857143,0.33333333,0.83333333,0.66666667,0.47619048,0.5,0.14285714,1,2,0,0,2,1,3,0.33333333,0.66666667,0,0,0.66666667,0.33333333,1.37148059673613,20,52.15188,20,40.07175,59.73018,25.76948,23.82975,47.62675,27.78521,22.02048,54.45838,20,1.86368,6.87261,56.64,-66.32,-80.24,104.48,87.42,97.26,85.06,96.64,94.56,94.8038095238095,83.6114285714286,87.7790476190476,0.57142857,0.38095238,0.04761905,96.5333353678385,88.3499984741211,80.0999984741211,-2.99680137634277,3.00817203521729,2.50014543533325,10.1981061299642,2.10341119766235,-7.09519195556641,-0.151856083422899,0.570484600961208,-0.0991095378994942,-1.26546736185749,7.1310575120151,-9.91095378994942,0.18181818,0.7,0.42857143,0,0.85714286,0.66666667,0.47619048,18.2,0.04761905,0.57142857,0.38095238,79.9055023193359,96.3374430338542,88.1198348999023,3.00443005561829,-2.61886024475098,3.41880869865417,-9.88934993743896,9.14236386617025,0.723987996578217,-0.0991095378994942,-0.151856083422899,0.570484600961208,-9.91095378994942,-1.26546736185749,7.1310575120151,0.27272727,0.6,0.42857143,0.33333333,0.83333333,0.66666667,0.47619048,3,94.594970703125,13.0310198465983,0,0,101.148,1,0.33333333,"2024-06-01",0
"Jordan Leasure",29950,"2024-05-29","TOR",4,2024,"CHW","H",25,0,0,0,1,0,0,0,0,0,0,0,1,5,1,0,0,0,1,0,0,0,0,0,0,9,9,0,0,0,1,2,1,0,0,0,0,0,0.2,-0.2,9.24976908401489,0,0.25,2,0.25,1,6.1664797782898,-6.1664797782898,9.19049659073353,0,146.556464726554,226.79174951669,0.5,0.25,0.25,0.5,0,0,0,0,9,16,25,0.0201659947633743,-0.0125799998641014,0.0327459946274757,0.496999979019165,0.0512107163667679,0.360760003328323,0.347000002861023,0.347000002861023,0.256999999284744,1,1,0.0255659352988005,0.0303327080577955,0,0,0.76,95.73684211,0.2,88.6,0.04,79,0.244557470083237,-0.488123655319214,0.177418887615204,1.28714457938546,-9.76247310638428,17.7418887615204,0.30769231,0.75,0.52,0.75,0.66666667,0.69230769,0.48,0.8,0.16,0,3,1,4,0,0,4,0,0.75,0.25,1,0,0,7.46109830929953,80,49.2219,80,41.96304,52.01227,42.82366,80,42.82212,80,54.3719,45.82848,63.30051,-0.1462,3.85779,135,132.32,91.92,93.48,85.82,79,85.06,159.26,157.58,93.4568,102.368,95.2328,0.76,0.2,0.04,95.7894736842105,88.8,79.4000015258789,-3.74743130332545,2.78124179840088,3.66357278823853,10.3811388517681,3.93958587646484,-6.53278255462646,0.243858646601439,-0.496468298137188,0.179673105478287,1.2834665610602,-9.92936596274376,17.9673105478287,0.27272727,0.71428571,0.52,1,0.6,0.69230769,0.56,18.75,0.04,0.76,0.2,79.8329010009766,96.2430291426809,89.2419189453125,4.05300998687744,-3.10434200889186,3.47321624755859,-8.06278991699219,9.18510677939967,2.65627994537354,0.179673105478287,0.243858646601439,-0.496468298137188,17.9673105478287,1.2834665610602,-9.92936596274376,0.25,0.76923077,0.52,1,0.6,0.69230769,0.52,4,79.2477035522461,20.7967128753662,0,0,86.1099,0,0,"2024-05-29",0
"Jordan Leasure",29950,"2024-05-28","TOR",4,2024,"CHW","H",25,0,0,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,3,0,0,0,0,1,9,27,0,0.33333333,0,0,0,2,0,0,0,0,0,0.16666667,0.5,-0.33333333,14.2767290940034,0,0,3,0,1,10.1664797782898,-10.1664797782898,13.1904965907335,0,242.780563517257,326.302027882092,0,0,0,1,0,0,0,0,15,12,27,0.0201659947633743,-0.0366120040416718,0.0567780025303364,0.497000008821487,0.0512107126414776,0.643233358860016,0.347000002861023,0.347000002861023,0.256999999284744,1,1,-0.0105881653726101,0.0419391431874329,0,0,0.7037037,95.57894737,0.25925926,87.85714286,0.03703704,79,-0.10011850297451,-0.269609004259109,0.182590544223785,-0.526939489339527,-3.85155720370156,18.2590544223785,0.125,0.63636364,0.33333333,0.5,0.85714286,0.77777778,0.40740741,0.33333333,0.07407407,0,1,1,0,2,0,2,0,0.5,0.5,0,1,0,9.05411485454326,80,52.94197,80,64.10718,62.69949,58.14143,38.40882,56.03113,39.41576,60.89921,59.44156,56.85142,-0.55172,3.24951,132.28,100.16,76.56,92.94,89.62,92.7,85.04,88.22,82.02,92.3488888888889,89.6474074074074,89.3333333333333,0.7037037,0.25925926,0.03703704,95.4684223375822,88.028573172433,78.9000015258789,-2.8739541706286,3.08464431762695,5.38715410232544,11.0766007272821,2.58515575953892,-5.42804098129272,-0.0680479817092419,-0.234894525259733,0.184771567583084,-0.358147272153905,-3.35563607513905,18.4771567583084,0.07142857,0.61538462,0.33333333,1,0.75,0.77777778,0.48148148,18.47619048,0.03703704,0.7037037,0.25925926,79.2436981201172,95.8463391755757,88.4078020368304,6.25540018081665,-2.22042525442023,3.87097004481724,-6.96266984939575,10.0169517115543,1.15722642626081,0.184771567583084,-0.0680479817092419,-0.234894525259733,18.4771567583084,-0.358147272153905,-3.35563607513905,0.07142857,0.61538462,0.33333333,1,0.75,0.77777778,0.48148148,2,87.2975692749023,25.4916152954102,0,0,88.7122,0,0,"2024-05-28",0
