"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","XX%","wFB","wSL","wCB","wFB/C","wSL/C","wCB/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSL%","pfxCU%","pfxvFA","pfxvSL","pfxvCU","pfxFA-X","pfxSL-X","pfxCU-X","pfxFA-Z","pfxSL-Z","pfxCU-Z","pfxwFA","pfxwSL","pfxwCU","pfxwFA/C","pfxwSL/C","pfxwCU/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCU%","piFA%","piSL%","pivCU","pivFA","pivSL","piCU-X","piFA-X","piSL-X","piCU-Z","piFA-Z","piSL-Z","piwCU","piwFA","piwSL","piwCU/C","piwFA/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Triston McKenzie",18000,"2024-06-28","@KCR",5,2024,"CLE","A",26,0,1,19.2857169131847,1,1,0,0,0,0,0,0,2.1,14,5,5,5,2,3,1,0,0,0,3,11.5714301479108,11.5714301479108,19.2857169131847,1,0,0,3,4,1,0,0,0,0,0.21428571,0.21428571,0,6.36543826573378,7.71428676527388,0.454545454545455,3.42857189567728,0.5,0.57692308,15.5950529001199,3.69066401306477,7.04420900296882,484.451432846263,391.100629744362,173.397330689022,0.75,0.125,0.375,0.5,0,0.5,1,3.85714338263694,29,29,58,-0.32598203420639,-0.466150045394897,0.140168011188507,-4.01100015640259,-0.392657846212387,0.927466690540314,0.907466650009155,0.920000016689301,1.20240008831024,1,1,-0.274592965841293,-0.0768827664208359,0,0,0.5,93.4137931,0.36206897,86.76190476,0.13793103,80,0.01724138,-1.31663811206818,-1.22939717769623,-0.427592366933823,-4.54013142092475,-5.85427227474394,-5.34490458667278,0.17948718,0.57894737,0.31034483,0.42857143,1,0.77777778,0.32758621,0.14285714,0.06896552,4,3,1,0,2,6,8,0.5,0.375,0.125,0,0.25,0.75,13.4846004598977,13,20,46.91432,20,25.82397,56.37124,20,20,24.66722,20,20,42.43021,20,3.37748,9.14331,108.16,44.86,31.44,87.5,80.34,79.92,83.64,-1.06,2.75999999999999,88.9520689655172,45.9737931034483,45.2958620689655,0.5,0.36206897,0.13793103,93.2448309536638,86.6761939639137,79.9749984741211,-2.08086816195784,1.02964873540969,3.51246857643127,11.3619174299569,4.92616053989955,-3.49833798408508,-1.25685674324632,-1.2554228156805,-0.446889411658049,-4.33398876981489,-5.97820388419288,-5.58611764572561,0.23076923,0.47368421,0.31034483,0.55555556,1,0.77777778,0.32758621,17.28888889,0.13793103,0.5,0.36206897,79.877311706543,93.1660998114224,86.578130812872,4.19604396820068,-1.61133443898168,1.71396346319289,-4.93005847930908,10.3566494645744,3.78963034493583,-0.446889411658049,-1.25685674324632,-1.2554228156805,-5.58611764572561,-4.33398876981489,-5.97820388419288,0.25,0.44444444,0.31034483,0.6,1,0.77777778,0.31034483,8,98.8072052001953,14.4594774246216,2,0.25,106.809,6,0.75,"2024-06-28",0
"Triston McKenzie",18000,"2024-06-23","TOR",5,2024,"CLE","H",26,0,0,9,1,1,0,0,0,0,0,0,3,16,3,3,3,2,4,0,0,1,0,6,18,12,9,1.5,0,0,2,4,0,0,0,0,0,0.375,0.25,0.125,5.21218220901489,6,0.25,2.33333333333333,0.25,0.95238095,11.8331464449565,-2.83314644495646,5.18249098658562,226.077304527663,296.306723047299,127.082311176977,0.5,0,0.333333333,0.666666666,0,0.5,4,12,33,41,74,-0.179384022951126,-0.44065597653389,0.261271953582764,-1.55999994277954,-0.164556965231895,0.864988207817078,0.849733352661133,0.870000004768372,1.14359998703003,1,1,-0.251966089010239,0.0445828884879708,0,0,0.44594595,92.93939394,0.16216216,87.08333333,0.39189189,78.86206897,NA,-1.93433547019958,0.178280085325241,-0.791613101959229,-5.86162263696844,1.48566737771034,-2.72970035158355,0.18604651,0.64516129,0.37837838,0.125,0.9,0.67857143,0.41891892,0.4375,0.12162162,4,1,1,0,3,3,6,0.66666667,0.16666667,0.16666667,0,0.5,0.5,9.64105732283647,28,20,43.99083,24.31538,46.50993,43.66454,46.04186,21.44991,27.0261,31.72457,25.2655,34.53761,28.93238,1.66207,6.5702,95.66,90.26,74.36,80.56,78.9,61.48,93.42,87.7,93.44,88.562972972973,84.7789189189189,71.7102702702703,0.44594595,0.16216216,0.39189189,92.8515181107955,87.0499979654948,78.8068931842672,-2.63632202148438,1.1951097647349,4.02739636651401,10.7707759972775,4.91486422220866,-3.83402488971579,-1.90949738770723,0.177304822951555,-0.789574362337589,-5.78635572032495,1.47754019126296,-2.7226702149572,0.17948718,0.6,0.37837838,0.14285714,0.85714286,0.67857143,0.47297297,18,0.39189189,0.44594595,0.16216216,78.7099104256466,92.7677038944129,86.9621785481771,4.76299996211611,-2.19992990204782,1.95422554016113,-5.20213054788524,9.72303448301373,3.58622487386068,-0.789574362337589,-1.90949738770723,0.177304822951555,-2.7226702149572,-5.78635572032495,1.47754019126296,0.175,0.61764706,0.37837838,0.14285714,0.85714286,0.67857143,0.45945946,6,98.667724609375,17.3714650472005,2,0.33333333,107.432,4,0.66666667,"2024-06-23",0
"Triston McKenzie",18000,"2024-06-18","SEA",5,2024,"CLE","H",26,0,1,15.4285735305478,1,1,0,0,0,0,0,0,2.1,14,3,4,4,1,4,0,0,1,0,0,0,15.4285735305478,11.5714301479108,0,0,0,3,7,0,0,0,0,0,0,0.28571429,-0.28571429,11.6227086575653,3.85714338263694,0.3,3.00000040871762,0.222222222222222,0.53571429,13.8807669522813,1.54780657826646,12.8453634584558,387.56114627701,347.903419997571,317.715954365572,0.428571428,0,0.3,0.7,0,0.142857142,1,3.85714338263694,30,29,59,-0.269423991441727,-0.472435981035233,0.203011989593506,-2.44000005722046,-0.257383972406387,1.16885006427765,0.944533348083496,0.870000004768372,1.47560000419617,1,1,-0.227314129471779,-0.00318933686308515,0,0,0.54237288,92.1875,0.11864407,87.28571429,0.33898305,78.45,NA,-1.81569170951843,0.136708050966263,-0.419404447078705,-5.6740365922451,1.9529721566609,-2.09702223539352,0.13513514,0.72727273,0.3559322,0.6,0.9375,0.85714286,0.37288136,0.21428571,0.05084746,2,5,3,0,7,3,10,0.2,0.5,0.3,0,0.7,0.3,9.97012541165751,21,33.02525,39.97366,41.14048,20,48.28757,20,20,25.51071,20,20,35.50285,20,3.01503,8.59964,89.56,65.18,56.24,74.8,55.56,45.88,91.98,20.96,17.52,81.8416949152542,54.7159322033898,46.0271186440678,0.54237288,0.11864407,0.33898305,92.1843719482422,87.2428588867188,78.4,-1.98255932331085,2.17221123831613,4.60115623474121,11.3513813018799,5.9154052734375,-4.70055999755859,-1.82992788776755,0.13724859058857,-0.390062615275383,-5.7185246492736,1.96069415126528,-1.95031307637691,0.11764706,0.68,0.3559322,0.5,0.94117647,0.85714286,0.42372881,18.11111111,0.33898305,0.54237288,0.11864407,78.2892639160156,92.1011199951172,87.1619262695312,5.1238338470459,-1.6693788766861,2.80568586077009,-6.31517715454102,9.84937191009521,4.17849704197475,-0.390062615275383,-1.82992788776755,0.13724859058857,-1.95031307637691,-5.7185246492736,1.96069415126528,0.11428571,0.70833333,0.3559322,0.5,0.94117647,0.85714286,0.40677966,10,93.2242004394531,30.1902191162109,2,0.2,106.707,5,0.5,"2024-06-18",0
"Triston McKenzie",18000,"2024-06-11","@CIN",5,2024,"CLE","A",26,1,0,3.37500020116569,1,1,0,0,0,0,0,0,5.1,22,4,2,2,0,2,0,0,0,0,4,6.75000040233138,3.37500020116569,6.75000040233138,2,0,0,8,8,0,0,0,0,0,0.18181818,0.09090909,0.09090909,4.81095222341448,0,0.2,1.12500006705523,0.25,0.66666667,2.79147975593805,0.583520445227636,5.05949250045495,84.7789942510956,68.4714701721706,124.022407778631,1,0,0.5,0.5,0,0,3,5.06250030174853,32,43,75,0.0582400485873222,-0.404289931058884,0.462529987096786,0.789999961853027,0.0747044831514359,1.10574996471405,1.08766663074493,0.870000004768372,2.06599998474121,1,1,0.0916305705904961,-0.0389603915754931,0,0,0.53333333,90.35,0.25333333,84.63157895,0.21333333,76.4375,NA,-0.0110048279166222,0.281815230846405,0.549151659011841,-0.0275120697915554,1.48323805708634,3.43219786882401,0.2,0.73333333,0.41333333,0.66666667,0.95454545,0.87096774,0.4,0.36363636,0.05333333,6,6,4,4,9,3,16,0.375,0.375,0.25,0.25,0.5625,0.1875,1.18542691530132,57,52.63676,42.21415,60.14586,28.99561,48.78092,21.13711,20,24.07624,20,20,36.00134,20,2.16116,7.31883,86.88,114.4,100.02,84.64,78.46,68.44,88.9,52.68,55.94,86.1970666666667,79.5962666666667,72.0104,0.53333333,0.25333333,0.21333333,90.2650024414063,84.7578960217928,76.375,-1.25996179580688,2.22021404065584,4.93919706344604,11.8296447753906,5.04931359542044,-4.2854175567627,-0.0172241032123566,0.279538452625275,0.540136601775885,-0.0430602580308914,1.47125501381723,3.37585376109928,0.19047619,0.6969697,0.41333333,0.75,0.91304348,0.87096774,0.44,18.83018868,0.21333333,0.53333333,0.25333333,76.4693603515625,90.3877990722656,84.8801012541118,5.13714742660522,-1.10618267059326,2.43309081228156,-5.93982076644897,10.4941848754883,3.6373126381322,0.540136601775885,-0.0172241032123566,0.279538452625275,3.37585376109928,-0.0430602580308914,1.47125501381723,0.15,0.71428571,0.41333333,0.66666667,0.92,0.87096774,0.46666667,16,84.3733968098958,15.7482706705729,2,0.125,105.59,5,0.3125,"2024-06-11",0
"Triston McKenzie",18000,"2024-06-04","KCR",5,2024,"CLE","H",26,0,0,8.43750050291422,1,1,0,0,0,0,0,0,5.1,27,9,5,5,3,2,0,0,1,0,7,11.8125007040799,3.37500020116569,15.1875009052456,3.5,0,0,3,9,6,1,0,0,0,0.25925926,0.07407407,0.18518519,4.07684842735651,5.06250030174853,0.36,2.06250012293459,0.4,0.88235294,8.97898012474181,-0.541479621827593,4.21799402646433,211.947485627739,224.386387153522,103.087970930914,0.333333333,0.333333333,0.166666666,0.5,0.111111111,0.333333333,3,5.06250030174853,34,52,86,-0.235752001404762,-0.538300037384033,0.30254802107811,-2.62199997901917,-0.276582270860672,0.732096552848816,0.763133347034454,0.870000004768372,0.844799995422363,1,1,-0.361125618219376,0.0391025182780117,0,0,0.48837209,91.23809524,0.13953488,86.75,0.37209302,78.0625,NA,-2.6174373626709,-0.694875001907349,-0.619053602218628,-6.231993720645,-5.79062501589457,-1.93454250693321,0.32692308,0.67647059,0.46511628,0.52941176,0.91304348,0.75,0.39534884,0.59259259,0.11627907,4,10,4,2,10,6,18,0.22222222,0.55555556,0.22222222,0.11111111,0.55555556,0.33333333,9.96708607487275,23,34.06314,48.66517,38.94194,53.00589,42.50888,55.69337,20,20.24519,20,33.55025,35.2016,39.67568,1.14737,5.79815,86.52,81.68,69.3,80.92,108.58,97.46,90.06,64.82,60.64,84.2790697674419,92.4646511627907,81.8441860465116,0.48837209,0.13953488,0.37209302,91.1404738653274,86.7999979654948,78.0437469482422,-0.411462783813477,2.52282778422038,4.83048868179321,10.8982914515904,5.12284374237061,-3.8345468044281,-2.58405338227749,-0.707882456481457,-0.632444594055414,-6.15250805304164,-5.89902047067881,-1.97638935642317,0.31111111,0.63414634,0.46511628,0.42857143,0.92307692,0.75,0.47674419,15.57627119,0.37209302,0.48837209,0.13953488,77.9169616699219,91.0365804036458,86.6617533365885,5.25919818878174,-0.0772834618886312,3.0935484568278,-5.42122745513916,9.87940252394903,3.75405089060465,-0.632444594055414,-2.58405338227749,-0.707882456481457,-1.97638935642317,-6.15250805304164,-5.89902047067881,0.34782609,0.6,0.46511628,0.5,0.91666667,0.75,0.46511628,18,91.9364827473958,23.9481794569227,2,0.11111111,107.431,9,0.5,"2024-06-04",0
"Triston McKenzie",18000,"2024-05-28","@COL",5,2024,"CLE","A",26,0,0,7.2,1,1,0,0,0,0,0,0,5,24,6,4,4,2,3,0,0,0,0,9,16.2,5.4,10.8,3,0,0,5,6,1,0,0,0,0,0.375,0.125,0.25,3.15539054221048,3.6,0.285714285714286,1.8,0.4,0.80645161,6.56647977828979,0.633520221710206,3.18088986575603,180.861843622131,163.595313405713,77.287339999414,0.833333333,0.083333333,0.416666666,0.5,0,0.333333333,7,12.6,31,63,94,-0.122132033109665,-0.642548024654388,0.520415961742401,-0.855000019073486,-0.074412539601326,1.19419193267822,1.03791999816895,0.910000026226044,1.17279994487762,1,1,-0.0923367291688919,-0.00993496583055307,0,0,0.4787234,91.15555556,0.18085106,85.47058824,0.34042553,77.53125,NA,-3.15596795082092,0.140093922615051,0.851886749267578,-7.01326211293538,0.824081897735596,2.66214609146118,0.38181818,0.66666667,0.5,0.47619048,0.84615385,0.68085106,0.41489362,0.54166667,0.15957447,9,1,2,0,6,6,12,0.75,0.08333333,0.16666667,0,0.5,0.5,5.23544967032372,36,26.95794,45.12185,35.89306,44.24345,33.29966,52.5509,26.06941,25.46371,36.50473,29.58138,28.61753,40.47669,1.39394,6.168,101.6,77.66,63.22,70.16,107.12,81.9,94.24,93.42,90.26,85.2178723404255,94.6134042553192,77.0527659574468,0.4787234,0.18085106,0.34042553,91.0688910590278,85.4470573874081,77.4468765258789,-1.38655921088325,1.83944612390855,3.11371493339539,9.40043470594618,3.13419813268325,-3.86906909942627,-3.16814227774739,0.138680052012205,0.818325571715832,-7.04031617277198,0.815765011836501,2.55726741161197,0.40384615,0.61904762,0.5,0.47619048,0.84615385,0.68085106,0.44680851,18.78571429,0.34042553,0.4787234,0.18085106,77.6461029052734,91.2857096354167,85.641019933364,3.62703227996826,-0.898980967203776,2.46584589341108,-4.67391204833984,8.84416368272569,2.46234826480641,0.818325571715832,-3.16814227774739,0.138680052012205,2.55726741161197,-7.04031617277198,0.815765011836501,0.36734694,0.64444444,0.5,0.44444444,0.82758621,0.68085106,0.4787234,12,93.1467997233073,16.4038441975911,2,0.16666667,105.113,5,0.41666667,"2024-05-28",0
"Triston McKenzie",18000,"2024-05-22","NYM",5,2024,"CLE","H",26,0,0,5.4,1,1,0,0,0,0,0,0,5,24,5,3,3,3,3,0,1,0,0,5,9,5.4,9,1.66666667,0,0,5,10,0,1,0,0,0,0.20833333,0.125,0.08333333,5.28670999031928,5.4,0.25,1.6,0.166666666666667,1,11.3664797782898,-5.96647977828979,6.59049659073353,135.646382716598,284.547484218298,162.110068579179,0.5,0,0.333333333,0.666666666,0.1,0.3,0,0,38,58,96,-0.130603983998299,-0.413908004760742,0.283304005861282,-0.967999994754791,-0.10210970044136,0.706319987773895,0.649666666984558,0.870000004768372,0.638400018215179,1,1,-0.287861675024033,0.102954003913206,0,0,0.54736842,89.76923077,0.25263158,84.33333333,0.2,76.42105263,0.01041667,-1.96806764602661,0.603965222835541,-1.36788022518158,-3.7847454731281,2.51652176181475,-7.19936960621884,0.25925926,0.73170732,0.46315789,0.64285714,0.93333333,0.84090909,0.43157895,0.625,0.07291667,7,3,5,2,8,5,15,0.46666667,0.2,0.33333333,0.13333333,0.53333333,0.33333333,8.63141631236485,31,54.33354,40.81306,67.99779,41.30538,37.82092,39.72463,20,27.50552,20,33.50675,29.50052,37.46766,1.15008,5.80221,93.66,125.4,102.16,80.72,85.26,72.02,89.64,79.44,76.88,85.6129787234043,91.8874468085107,79.3529787234042,0.54736842,0.25263158,0.2,89.7307692307692,84.3041687011719,76.4631604646382,-1.02533157055195,2.61658032735189,4.81935159783614,11.153556236854,4.11299864451091,-4.8090531198602,-1.99299426749349,0.608384095132351,-1.36070933192968,-3.83268128364132,2.53493372971813,-7.16162806278781,0.22916667,0.70212766,0.46315789,0.54545455,0.93939394,0.84090909,0.49473684,18.58333333,0.2,0.54736842,0.25263158,76.1607794510691,89.4494159405048,83.9918263753255,5.54374092503598,-0.599511990180382,3.26410388946533,-6.61556243896484,9.94523151104267,2.7266887029012,-1.36070933192968,-2.0038000382483,0.608384095132351,-7.16162806278781,-3.85346161201596,2.53493372971813,0.22916667,0.70212766,0.46315789,0.54545455,0.93939394,0.84090909,0.49473684,15,93.5667561848958,26.2033386230469,3,0.2,104.107,7,0.46666667,"2024-05-22",0
"Triston McKenzie",18000,"2024-05-17","MIN",5,2024,"CLE","H",26,0,0,1.35000012874605,1,1,1,0,0,0,0,0,6.2,23,2,1,1,1,4,0,0,0,0,5,6.75000064373022,5.40000051498418,2.70000025749209,1.25,0,0,5,6,2,0,0,0,0,0.2173913,0.17391304,0.04347826,5.60237747301193,1.35000012874605,0.105263157894737,0.900000085830697,0.0769230769230769,1,5.41647999286654,-4.06647986412049,4.82728750227644,33.9115989132116,134.617194555515,118.245711776986,0.833333333,0.153846153,0.384615384,0.461538461,0,0.166666666,2,2.70000025749209,43,48,91,0.190388023853302,-0.290063947439194,0.480451971292496,1.94000005722046,0.204641357064247,0.927699983119965,1.04097139835358,0.870000004768372,3.28880000114441,1,1,0.166724905371666,0.0385009513897027,0,0,0.43956044,91.1,0.20879121,84.47368421,0.35164835,77.6875,NA,0.591699004173279,0.653333127498627,0.576321840286255,1.4792475104332,3.43859540788751,1.80100575089455,0.17857143,0.65714286,0.36263736,0.7,0.91304348,0.84848485,0.38461538,0.47826087,0.05494505,7,2,4,2,7,4,14,0.53846154,0.15384615,0.30769231,0.15384615,0.53846154,0.30769231,6.02817015224459,63,36.9583,49.1853,37.4892,21.35936,44.57456,20,20,30.80398,20,20,38.28016,20,2.6285,8.01984,85.32,86.96,72.36,77.5,65.78,52.22,92.38,43.48,44.94,83.4217777777778,68.6028888888889,57.844,0.43956044,0.20879121,0.35164835,91.1200012207031,84.4789460834704,77.5656280517578,-1.09727115631104,2.88906177721526,3.85940003395081,11.6276580810547,4.30065757349918,-4.35929298400879,0.69328323751688,0.661592308431864,0.570060029625893,1.7332080937922,3.48206478122034,1.78143759258091,0.16981132,0.65789474,0.37362637,0.66666667,0.92,0.85294118,0.41758242,17.59701493,0.35164835,0.43956044,0.20879121,77.5435943603516,91.1009155273437,84.4471564041941,4.59156084060669,-0.645606184005737,3.56065167878803,-6.31380987167358,10.3162300109863,2.92494884290193,0.570060029625893,0.990798242390156,0.661592308431864,1.78143759258091,2.47699560597539,3.48206478122034,0.13461538,0.69230769,0.37362637,0.42857143,0.96296296,0.85294118,0.42857143,14,90.7774188701923,11.3641744760367,3,0.21428571,111.063,6,0.42857143,"2024-05-17",0
"Triston McKenzie",18000,"2024-05-11","@CHW",5,2024,"CLE","A",26,0,1,1.35000012874605,1,1,1,0,0,0,0,0,6.2,27,4,2,1,0,3,0,0,0,0,5,6.75000064373022,4.05000038623813,5.40000051498418,1.66666667,0.09090909,0,11,6,2,1,1,0,0,0.18518519,0.11111111,0.07407407,4.70756036078502,0,0.166666666666667,1.05000010013581,0.210526315789474,0.71428571,3.01647976398468,-1.66647963523863,4.37728745936109,33.9115989132116,74.1411033817724,107.050804393248,1.833333333,0.105263157,0.578947368,0.315789473,0.166666666,0,1,1.35000012874605,31,61,92,0.0901121497154236,-0.373176008462906,0.463288158178329,1.37699997425079,0.141885623335838,0.949442863464355,0.805257141590118,0.870000004768372,0.387599974870682,1,1,0.148934975266457,-0.0540244196311025,0,0,0.48351648,90.45454545,0.24175824,85.09090909,0.27472527,77.6,0.01086957,0.18207810819149,0.422329306602478,1.24577355384827,0.413813882253387,1.9196786663749,4.98309421539307,0.2826087,0.62222222,0.45054945,0.76923077,0.92857143,0.87804878,0.49450549,0.85185185,0.05434783,10,8,1,2,13,4,19,0.52631579,0.42105263,0.05263158,0.10526316,0.68421053,0.21052632,2.26804200960796,64,54.0948,51.40069,56.54795,62.51161,46.74849,69.57049,44.10047,26.09506,71.15879,56.05127,38.55863,69.84844,-0.25053,3.7013,101.98,113.98,96.32,81.9,120.34,107.1,93.46,107.22,108.3,90.1751111111111,115.512,104.385555555556,0.48351648,0.24175824,0.27472527,90.3636363636364,85.0499988902699,77.407998046875,-1.42996163801713,2.81580075350675,4.01373992919922,12.1955732865767,5.09925426136364,-4.75066314697266,0.216120138764381,0.424195423722267,1.30211047455668,0.491182133555412,1.9281610169194,5.20844189822674,0.27027027,0.57407407,0.45054945,0.9,0.87096774,0.87804878,0.59340659,18.13846154,0.27472527,0.48351648,0.24175824,77.501630859375,90.4815673828125,85.1490256569602,4.51629821777344,-1.00168973749334,3.42064528031783,-6.572255859375,10.880204634233,3.6955531727184,1.30211047455668,0.216120138764381,0.424195423722267,5.20844189822674,0.491182133555412,1.9281610169194,0.30555556,0.54545455,0.45054945,0.81818182,0.9,0.87804878,0.6043956,19,88.5121106599507,10.4449205900493,1,0.05263158,106.418,4,0.21052632,"2024-05-11",0
"Triston McKenzie",18000,"2024-05-06","DET",5,2024,"CLE","H",26,0,0,1.8,1,1,0,0,0,0,0,0,5,21,3,1,1,1,3,0,0,0,0,6,10.8,5.4,5.4,2,0,0,2,9,1,1,0,0,0,0.28571429,0.14285714,0.14285714,4.90631411455267,1.8,0.166666666666667,1.2,0.181818181818182,1,5.1664797782898,-3.3664797782898,5.28809490948916,45.2154609055327,128.317596918708,129.70948011813,0.222222222,0.083333333,0.166666666,0.75,0.111111111,0.111111111,1,1.8,33,50,83,0.169731959700584,-0.3124920129776,0.482223987579346,1.39999997615814,0.147679328918457,1.24350476264954,1.01200008392334,0.870000004768372,1.3400000333786,1,1,0.0703271850943565,0.0661676356725028,0,0,0.56626506,91.36170213,0.22891566,85.73684211,0.20481928,78.17647059,NA,-0.605511248111725,0.289573073387146,0.911850988864899,-1.28832180449303,1.52406880730077,5.36382934626411,0.26923077,0.64516129,0.40963855,0.64285714,0.85,0.76470588,0.37349398,0.66666667,0.09638554,4,6,2,3,4,5,12,0.33333333,0.5,0.16666667,0.25,0.33333333,0.41666667,3.90698900127633,54,20,46.79939,34.86118,38.97207,50.46435,38.84903,20,28.06459,22.85771,21.00401,39.91036,29.83875,1.92682,6.96732,100.78,84.64,64.46,89.86,69.92,71.26,91.58,78.64,73.74,92.4696385542169,74.8260240963855,70.4050602409638,0.57831325,0.21686747,0.20481928,91.2291666666667,85.5999959309896,78.1529397403493,-1.07186905543009,2.48415925767687,3.66330943388097,12.1226005554199,4.73247951931424,-4.47217155905331,-0.633691385388374,0.356130417436361,0.920627530664206,-1.32019038622578,1.9785023190909,5.41545606273062,0.27083333,0.6,0.40963855,0.61538462,0.85714286,0.76470588,0.42168675,18.86440678,0.20481928,0.56626506,0.22891566,78.2041302849265,91.3682367852394,85.6997905530428,4.02170428107767,-0.813462034184882,2.75512474461606,-6.38893486471737,10.6198743454953,3.20057176288806,0.920627530664206,-0.609448451548815,0.331887483596802,5.41545606273062,-1.29669883308258,1.74677622945685,0.26,0.63636364,0.40963855,0.61538462,0.85714286,0.76470588,0.39759036,12,85.6323649088542,29.727289835612,2,0.16666667,109.819,3,0.25,"2024-05-06",0
