"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CB%","CBv","XX%","wFB","wSL","wCT","wCB","wFB/C","wSL/C","wCT/C","wCB/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSI%","pfxSL%","pfxvFA","pfxvFC","pfxvSI","pfxvSL","pfxFA-X","pfxFC-X","pfxSI-X","pfxSL-X","pfxFA-Z","pfxFC-Z","pfxSI-Z","pfxSL-Z","pfxwFA","pfxwFC","pfxwSI","pfxwSL","pfxwFA/C","pfxwFC/C","pfxwSI/C","pfxwSL/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piFA%","piFC%","piSI%","piSL%","pivFA","pivFC","pivSI","pivSL","piFA-X","piFC-X","piSI-X","piSL-X","piFA-Z","piFC-Z","piSI-Z","piSL-Z","piwFA","piwFC","piwSI","piwSL","piwFA/C","piwFC/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Shawn Armstrong",12857,"2024-09-19","WSN",17,2024,"CHC","H",33,0,0,27.000028163224,1,0,0,0,0,0,1,0,0.2,4,3,2,2,0,0,0,0,0,0,0,0,0,40.5000422448361,0,0,0,1,0,3,0,0,0,0,0,0,0,5.15272908401489,0,0.75,4.50000469387067,0.75,0.33333333,3.1664797782898,23.8335483849342,3.1664797782898,674.258506642282,80.0700356271687,78.3097583844777,1,0.75,0.25,0,0,0,0,0,4,11,15,-0.0199480075389147,-0.123544029891491,0.103596024215221,-0.10300001502037,-0.0110396603122354,1.21909999847412,1.20759999752045,1.20759999752045,2.82239985466003,1,1,-0.0826390907168388,0.066276193855316,0,0,0.4,94.66666667,NA,NA,0.46666667,92,0.13333333,86,NA,-0.176545530557632,NA,-0.612991750240326,-0.111731298267841,-2.94242550929387,NA,-8.75702500343323,-5.58656491339207,0.28571429,0.75,0.53333333,1,0.83333333,0.875,0.53333333,0.75,0.06666667,0,1,3,0,4,0,4,0,0.25,0.75,0,1,0,17.8696697800944,NA,76.16511,26.01314,80,20,20,20,28.74991,47.04925,34.20824,76.18461,49.64558,69.26107,58.11815,38.03596,65.55392,-0.37894,3.50868,111.08,130.88,108.08,89.12,80.06,80.12,108.82,95.46,87.8,87.34,131.5,137.94,96.9823529411765,112.567058823529,109.196470588235,0.2,0.46666667,0.2,0.13333333,94.5666707356771,91.8571428571429,94.4333292643229,85.75,-4.03472805023193,0.961168834141323,-8.45914777119954,4.43276214599609,8.2350222269694,5.37140546526228,5.64066505432129,-1.55271780490875,-0.510574221611023,-0.618590842932463,0.33396227657795,-0.114038866013288,-17.0191407203674,-8.83701204189232,11.1320758859317,-5.70194330066442,0.2,0.7,0.53333333,1,0.85714286,0.875,0.66666667,17.27272727,0.2,0.46666667,0.2,0.13333333,94.6644287109375,91.9399239676339,94.5432942708333,85.8324508666992,-3.68961016337077,1.35257720947266,-8.11362012227376,5.22076034545898,7.21319961547852,4.37252862112863,4.48353004455566,-3.11171507835388,-0.510574221611023,-0.618590842932463,0.33396227657795,-0.114038866013288,-17.0191407203674,-8.83701204189232,11.1320758859317,-5.70194330066442,0.2,0.7,0.53333333,1,0.85714286,0.875,0.66666667,4,93.7227020263672,7.75406408309937,0,0,102.306,3,0.75,"2024-09-19",0
"Shawn Armstrong",12857,"2024-09-17","OAK",17,2024,"CHC","H",33,0,0,0,1,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,1,9,0,18,1,0,0,0,0,3,0,0,0,0,0.25,0,0.25,2.72685408401489,0,0.5,2,0.666666666666667,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,30.6521753455268,29.9783111930123,0,1,0,0,0,0,0,0,4,12,16,0.034743994474411,-0.0606039986014366,0.0953479930758476,0.46900001168251,0.0502679608762264,1.04250001907349,0.626400053501129,0.626400053501129,0.560800015926361,1,1,-0.00062504771631211,0.0339526197438786,0,0,0.3125,94.6,NA,NA,0.6875,92,NA,NA,NA,-0.528492569923401,NA,0.158338248729706,NA,-10.569851398468,NA,1.43943862481551,NA,0.6,0.66666667,0.625,0.66666667,1,0.8,0.375,0.5,0.125,0,2,1,1,1,1,3,0,0.66666667,0.33333333,0.33333333,0.33333333,0.33333333,13.9437161854153,NA,45.07034,22.60321,51.87572,45.23078,37.22146,49.96824,NA,NA,NA,34.78202,39.68079,29.46476,39.46915,38.62638,30.18379,0.77965,5.24657,121.64,150.8,125.4,107.76,103.48,102.14,NA,NA,NA,88.86,100.82,92.94,98.73875,105.9425,96.62875,0.125,0.6875,0.1875,NA,94.6999969482422,91.8454534357244,94.0333251953125,NA,-4.84413433074951,0.454703981226141,-9.1700070699056,NA,9.13948059082031,7.1761474609375,6.39190165201823,NA,-0.369220048189163,0.15939424932003,-0.210609957575798,NA,-18.4610024094582,1.44903863018209,-7.02033191919327,NA,0.6,0.66666667,0.625,0.66666667,1,0.8,0.375,22.08333333,0.125,0.625,0.1875,0.0625,94.9810485839844,92.4967712402344,94.2432963053385,87.8175964355469,-4.57278490066528,0.880878639221191,-9.12081019083659,1.14252996444702,8.2751407623291,6.10258293151855,5.18881352742513,4.66569995880127,-0.369220048189163,0.19747257232666,-0.210609957575798,-0.0380783230066299,-18.4610024094582,1.9747257232666,-7.02033191919327,-3.80783230066299,0.6,0.66666667,0.625,0.66666667,1,0.8,0.375,3,90.3760986328125,13.5515556335449,0,0,102.198,1,0.33333333,"2024-09-17",0
"Shawn Armstrong",12857,"2024-09-11","@LAD",17,2024,"CHC","A",33,0,1,9,1,0,0,0,0,0,0,0,1,6,2,1,1,0,1,0,0,0,0,0,0,9,18,0,0,0,1,3,1,1,0,0,0,0,0.16666667,-0.16666667,9.23817351648145,0,0.4,3,0.4,0.66666667,6.1664797782898,2.8335202217102,10.7025049969554,224.752601111951,154.196826049632,260.423260829222,0.333333333,0.2,0.2,0.6,0.333333333,0,0,0,5,12,17,-0.168559998273849,-0.291759967803955,0.123199969530106,-0.522000014781952,-0.0552380979061127,2.01366662979126,1.50600004196167,1.50600004196167,0.509999990463257,1,1,-0.060589924454689,-0.0231180715860075,0,1,0.23529412,92.75,0.05882353,86,0.70588235,90.58333333,NA,NA,NA,-0.821006655693054,0.0572940893471241,-0.0605580024421215,NA,-20.5251663923264,5.72940893471241,-0.504650020351012,NA,0.42857143,0.7,0.58823529,1,0.85714286,0.9,0.58823529,0.66666667,0.05882353,3,1,1,1,2,2,5,0.6,0.2,0.2,0.2,0.4,0.4,4.78534611247336,NA,20,20,34.38527,80,44.93782,80,NA,NA,NA,61.20963,34.98485,42.91834,61.5743,36.34546,47.60575,-0.59366,3.1866,82.7,29.16,-36.76,117.96,184.26,198.14,105.36,138.96,154.16,84.08,80.92,76.48,90.0555555555556,93.1,86.0466666666667,0.11764706,0.70588235,0.11764706,0.05882353,92.3000030517578,90.5750020345052,93.1500015258789,85.6999969482422,-4.60789394378662,0.800523440043131,-8.86339378356934,2.93403220176697,7.55162906646729,6.72699801127116,6.63597059249878,5.92298984527588,-0.859671711921692,-0.0676620900630951,0.0308939404785633,0.057969942688942,-42.9835855960846,-0.563850750525792,1.54469702392817,5.7969942688942,0.28571429,0.8,0.58823529,1,0.875,0.9,0.58823529,17.81818182,0.11764706,0.70588235,0.11764706,0.05882353,92.0223541259766,90.2599487304688,92.8303527832031,85.4326019287109,-4.43571996688843,1.44381507237752,-8.75254058837891,3.68434000015259,6.53009510040283,5.60918807983398,5.42053508758545,4.30415010452271,-0.859671711921692,-0.0676620900630951,0.0308939404785633,0.057969942688942,-42.9835855960846,-0.563850750525792,1.54469702392817,5.7969942688942,0.375,0.77777778,0.58823529,1,0.85714286,0.9,0.52941176,5,86.5925354003906,23.8252685546875,1,0.2,104.053,2,0.4,"2024-09-11",0
"Shawn Armstrong",12857,"2024-09-09","@LAD",17,2024,"CHC","A",33,0,0,0,1,0,0,0,0,0,1,0,0.2,3,1,0,0,0,0,0,0,0,0,1,13.500014081612,0,13.500014081612,1,0,0,0,1,1,0,0,0,0,0.33333333,0,0.33333333,2.61817353088578,0,0.333333333333333,1.50000156462356,0.5,1,0.166476649042681,-0.166476649042681,2.43449162409945,0,5.94316788435742,60.6207349749633,0,0.5,0,0.5,0,0,1,13.500014081612,6,8,14,0.0560999996960163,-0.0448800027370453,0.100979998707771,0.501999974250793,0.0531216897070408,1.6065000295639,0.689999997615814,1.37999999523163,0.564000010490417,1,1,0.00843135267496109,0.0264892814138195,0,0,0.28571429,92,0.28571429,85.25,0.42857143,90.5,NA,NA,NA,-0.0077454186975956,0.508771002292633,-0.448842614889145,NA,-0.19363546743989,12.7192750573158,-7.48071024815242,NA,0.14285714,0.71428571,0.42857143,1,1,1,0.5,NA,0,1,1,0,0,1,1,2,0.5,0.5,0,0,0.5,0.5,3.4292784158419,NA,20,32.69595,20,80,28.08801,80,80,25.49895,80,21.87291,41.49586,28.66928,39.99739,35.13988,52.90221,0.74684,5.19735,96.6,26.2,5.18000000000001,78.16,150.72,130.58,92.98,165.92,175.18,79.74,108.08,111.82,85.7057142857143,119,117.368571428571,0.14285714,0.42857143,0.14285714,0.28571429,92.1500015258789,90.5666707356771,92,85.3249969482422,-3.51547074317932,0.765104055404663,-8.70261383056641,5.51598119735718,9.03936958312988,6.3987070719401,6.59598159790039,5.55358934402466,-0.124844636768103,-0.456088423728943,0.115939885377884,0.557978898286819,-6.24223183840513,-7.60147372881571,5.7969942688942,13.9494724571705,0.14285714,0.71428571,0.42857143,1,1,1,0.5,18.18181818,0.14285714,0.42857143,0.14285714,0.28571429,92.0578002929688,90.4706217447917,91.9136047363281,85.2352752685547,-3.48904991149902,1.16100064913432,-8.31369972229004,6.04936981201172,8.44058513641357,5.36032168070475,5.71410989761353,4.39595746994019,-0.124844636768103,-0.456088423728943,0.115939885377884,0.557978898286819,-6.24223183840513,-7.60147372881571,5.7969942688942,13.9494724571705,0.14285714,0.71428571,0.42857143,1,1,1,0.5,2,88.9286956787109,16.3904705047607,0,0,98.298,1,0.5,"2024-09-09",0
"Shawn Armstrong",12857,"2024-09-07","NYY",17,2024,"CHC","H",33,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,1,1,1,0,0,0,0,0.25,0,0.25,2.72685408401489,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,30.6521753455268,66.5170884121943,1,0.333333333,0.333333333,0.333333333,0,0,0,0,7,12,19,0.0154399964958429,-0.00722800008952618,0.0226679965853691,0.46900001168251,0.0502679497003555,0.273400008678436,0.267599999904633,0.267599999904633,NA,0,1,0.0425160303711891,0.0139579857434297,0,0,0.47368421,92.11111111,NA,NA,0.52631579,90.6,NA,NA,NA,-0.214950293302536,NA,0.479218453168869,NA,-2.3883365922504,NA,4.79218453168869,NA,0.41666667,0.71428571,0.52631579,0.6,1,0.8,0.36842105,0.75,0.10526316,1,2,0,1,2,0,3,0.33333333,0.66666667,0,0.33333333,0.66666667,0,2.85427221813761,NA,20,22.27749,20,48.27972,38.60244,46.86613,NA,NA,NA,68.29775,34.49,59.36825,38.41605,31.13309,30.79392,0.84508,5.34471,103.3,38.86,2.26000000000001,84.94,109.12,101.26,NA,NA,NA,88.5,133.8,122.92,91.6452631578947,103.62,86.6073684210526,0.26315789,0.52631579,0.21052632,NA,91.8200012207031,90.5900024414063,92.6750030517578,NA,-3.34784126281738,0.967822551727295,-8.8594446182251,NA,8.5989501953125,7.1738166809082,6.64121150970459,NA,-0.0315158180892467,0.48477141186595,-0.187741741538048,NA,-0.630316361784935,4.8477141186595,-4.69354353845119,NA,0.41666667,0.71428571,0.52631579,0.6,1,0.8,0.36842105,21.06666667,0.21052632,0.57894737,0.21052632,NA,92.5833282470703,90.872275612571,93.013801574707,NA,-3.6068549156189,0.996675057844682,-8.83926486968994,NA,7.76251745223999,6.19639171253551,5.47817754745483,NA,-0.00727288424968719,0.46052847802639,-0.187741741538048,NA,-0.18182210624218,4.18662252751264,-4.69354353845119,NA,0.3,0.77777778,0.52631579,0.66666667,0.85714286,0.8,0.47368421,3,86.6174621582031,17.6280911763509,0,0,93.2455,0,0,"2024-09-07",0
"Shawn Armstrong",12857,"2024-09-06","NYY",17,2024,"CHC","H",33,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,9,9,0,1,0,0,1,0,0,0,0,0,0,0.33333333,0.33333333,0,6.88572907925689,0,0,1,0,1,4.1664797782898,-4.1664797782898,4.1664797782898,0,104.77896576799,102.47548198021,1,0,1,0,0,0,0,0,6,10,16,0.0132640022784472,-0.00627200165763497,0.0195360034704208,0.468999981880188,0.0502679497003555,0.240533322095871,0.23199999332428,0.23199999332428,0.11879999935627,1,1,0.0322837196290493,0.0228604165882205,0,0,0.5,94.125,0.125,87,0.375,91.5,NA,NA,NA,0.105296775698662,-0.0847881734371185,0.716638326644897,NA,1.31620969623327,-4.23940867185593,11.9439721107483,NA,0.33333333,0.85714286,0.5625,0.66666667,0.83333333,0.77777778,0.4375,0.66666667,0.125,0,1,0,0,0,1,1,0,1,0,0,0,1,3.77585590572828,NA,59.97277,50.01316,53.77741,80,28.55425,80,28.38973,39.44056,20,58.49358,23.7655,49.51374,72.12711,36.72534,66.74979,-1.24926,2.2032,105.24,116,111.82,80.08,227.52,243.22,124.44,100.36,110.12,86.18,82.42,76.68,99.73875,116.51375,116.945,0.375,0.375,0.125,0.125,93.8666687011719,91.3166707356771,94.3499984741211,86.5500030517578,-3.57155164082845,0.825458367665609,-9.10240650177002,6.20278263092041,9.3831106821696,5.97694460550944,5.32656717300415,4.56438064575195,0.0380426719784737,0.726079732179642,0.0682137757539749,-0.0864004790782928,0.634044532974561,12.1013288696607,3.41068878769875,-4.32002395391464,0.28571429,0.77777778,0.5625,0.5,0.85714286,0.77777778,0.5625,20.61538462,0.375,0.3125,0.125,0.1875,94.2963358561198,92.4635192871094,94.7828063964844,87.2709655761719,-3.48178164164225,0.502476215362549,-9.17366981506348,5.29918352762858,8.56369972229004,4.72948989868164,4.34907484054565,3.80261325836182,0.0380426719784737,0.491873234510422,0.0682137757539749,0.147806018590927,0.634044532974561,9.83746469020844,3.41068878769875,4.92686728636424,0.28571429,0.77777778,0.5625,0.5,0.85714286,0.77777778,0.5625,1,113.007080078125,3.18331360816956,0,0,113.007,1,1,"2024-09-06",0
"Shawn Armstrong",12857,"2024-09-02","PIT",17,2024,"CHC","H",33,0,0,9,1,0,0,0,0,0,0,0,1,5,1,1,1,0,1,0,0,0,0,0,0,9,9,0,0,0,2,1,0,0,0,1,0,0,0.2,-0.2,8.30064908401489,0,0.25,2,0.25,0.5,6.1664797782898,2.8335202217102,7.67848818451166,224.752601111951,154.196826049632,187.345706390858,2,0,0.666666666,0.333333333,0,0,0,0,8,9,17,-0.0707520097494125,-0.115532010793686,0.0447800010442734,-0.531000018119812,-0.0569131821393967,0.771200001239777,0.615199983119965,0.615199983119965,NA,0,1,-0.0744008347392082,-0.0173419163443914,0,1,0.41176471,93,0.11764706,85.5,0.47058824,90.375,NA,NA,NA,0.520663917064667,-0.0344077162444592,-0.658551156520844,NA,7.43805595806667,-1.72038581222296,-8.23188945651054,NA,0.1,0.85714286,0.41176471,1,1,1,0.41176471,0.2,0,1,0,3,0,4,0,4,0.25,0,0.75,0,1,0,3.6897336125507,NA,NA,NA,NA,56.28157,39.78255,63.71441,70.48468,37.6505,80,23.94863,42.20761,20,46.33389,41.83277,23.89316,0.35317,4.60685,NA,NA,NA,112.24,100.92,120.64,122.08,103.02,114.66,80.54,73.94,72.74,100.21625,89.51,98.5625,NA,0.47058824,0.41176471,0.11764706,NA,90.3625030517578,92.9857177734375,85.6499938964844,NA,2.03791952133179,-9.2896968296596,5.3791561126709,NA,5.72418355941772,6.20427703857422,5.44168186187744,NA,-0.672328662127256,0.528661027550697,-0.0350487045943737,NA,-8.4041082765907,7.55230039358139,-1.75243522971869,0.125,0.66666667,0.41176471,1,1,1,0.52941176,19,NA,0.41176471,0.41176471,0.17647059,NA,91.2367815290179,93.4119001116071,86.510732014974,NA,2.22141851697649,-9.07192012241909,4.88674672444661,NA,4.15177290780204,5.0047116960798,4.71256319681803,NA,-0.634250339120626,0.528661027550697,-0.0731270276010036,NA,-9.06071913029466,7.55230039358139,-2.43756758670012,0,0.77777778,0.41176471,NA,1,1,0.52941176,4,86.7992451985677,2.29993613560994,0,0,92.6368,0,0,"2024-09-02",0
"Shawn Armstrong",12857,"2024-09-01","@WSN",17,2024,"CHC","A",33,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,1,0,1,0,0,0,0,0,0.33333333,-0.33333333,10.9178401874764,0,0,1,0,1,6.1664797782898,-6.1664797782898,6.1664797782898,0,154.196826049632,150.806929171676,1,0.5,0.5,0,0,0,7,63,6,5,11,0.00692800059914589,-0.00415599998086691,0.0110840005800128,0.49099999666214,0.0509865023195744,0.142399996519089,0.155199989676476,0.155199989676476,0,1,1,0.0161853097379208,0.032466381052094,0,0,0.54545455,93.16666667,0.09090909,86,0.36363636,90.25,NA,NA,NA,-0.218942552804947,0.256425648927689,0.724790215492249,NA,-3.64904254674911,25.6425648927689,18.1197553873062,NA,0.22222222,0.5,0.27272727,1,1,1,0.18181818,0.33333333,0,0,2,0,2,0,0,2,0,1,0,1,0,0,17.2405057371817,NA,27.33729,51.12671,20,20,45.54767,20,80,52.97859,80,36.09036,46.44332,48.92084,20,46.87778,20,3.04618,8.64636,96.1,86.58,98.06,96.46,-89.86,-66.14,133.72,126.58,152.52,92.3,90.34,101.02,98.2690909090909,27.4236363636364,44.3781818181818,0.18181818,0.36363636,0.36363636,0.09090909,92.3499984741211,90.2249984741211,93.5500030517578,85.8000030517578,-3.50341749191284,1.33171808719635,-9.16084575653076,4.55735301971436,9.03799438476562,4.9321403503418,6.83219337463379,6.06679725646973,0.0308939404785633,0.737185724079609,-0.256350498646498,0.259962946176529,1.54469702392817,18.4296431019902,-6.40876246616244,25.9962946176529,0,0.6,0.27272727,NA,1,1,0.45454545,16.625,0.18181818,0.36363636,0.36363636,0.09090909,92.3845062255859,90.2310256958008,93.55517578125,85.8026962280273,-2.95478010177612,1.78743243217468,-8.8377571105957,5.11879014968872,8.14130020141602,3.55770254135132,5.27830505371094,4.67203998565674,0.0308939404785633,0.737185724079609,-0.256350498646498,0.259962946176529,1.54469702392817,18.4296431019902,-6.40876246616244,25.9962946176529,0.14285714,0.5,0.27272727,1,1,1,0.36363636,2,56.4387741088867,-19.4518089294434,0,0,72.242,0,0,"2024-09-01",0
"Shawn Armstrong",12857,"2024-08-26","SDP",28,2024,"STL","H",33,0,0,0,1,0,0,0,0,0,0,0,1.1,6,2,0,0,0,0,0,0,0,0,1,6.75000160932579,0,13.5000032186516,1,0,0,3,1,1,0,0,0,0,0.16666667,0,0.16666667,2.67617353719961,0,0.333333333333333,1.50000035762795,0.4,1,1.66647942066184,-1.66647942066184,2.80048599569648,0,42.7730821198942,69.4652537965709,3,0.2,0.6,0.2,0,0,1,6.75000160932579,10,18,28,0.00681600114330649,-0.0118080014362931,0.0186240021139383,0.512999951839447,0.0541139245033264,0.123599998652935,0.106133334338665,0.0727999955415726,0.119199998676777,1,1,-0.0021694905590266,0.0573151314780497,0,0,0.57142857,93.375,0.32142857,86.11111111,0.10714286,91.33333333,NA,NA,NA,0.368481487035751,-0.108701944351196,-0.425037205219269,NA,2.30300929397345,-1.20779938167996,-14.1679068406423,NA,0.35294118,0.72727273,0.5,0.66666667,0.875,0.78571429,0.39285714,0.83333333,0.10714286,1,2,2,1,3,1,5,0.2,0.4,0.4,0.2,0.6,0.2,2.34183928252312,NA,45.29086,42.26755,44.88123,20,47.46819,21.47372,80,47.00189,80,80,46.45514,80,56.3196,43.96651,69.91473,-0.2672,3.67629,108.6,98.02,83.8,113.3,74.78,85.08,102.26,122.82,141.36,90.86,144.08,132.6,105.836428571429,105.116428571429,107.85,0.32142857,0.10714286,0.25,0.32142857,93.2666693793403,91.5,93.2571411132812,86.0333319769965,-3.40640089246962,1.43355512619019,-8.52290616716657,5.40811750623915,8.92664506700304,5.53029696146647,4.78589684622628,6.07659912109375,0.196654461324215,-0.431845515966415,0.174867529422045,-0.106818791478872,2.18504957026905,-14.3948505322138,2.49810756317207,-1.18687546087636,0.35714286,0.64285714,0.5,0.6,0.88888889,0.78571429,0.5,18.47619048,0.32142857,0.10714286,0.25,0.32142857,93.5967678493924,91.8033650716146,93.6104387555804,86.3457573784722,-3.27835231357151,1.88026396433512,-8.29718290056501,5.84463543362088,7.93545532226562,4.24949010213216,3.55318532671247,4.7236819797092,0.196654461324215,-0.431845515966415,0.174867529422045,-0.106818791478872,2.18504957026905,-14.3948505322138,2.49810756317207,-1.18687546087636,0.35714286,0.64285714,0.5,0.6,0.88888889,0.78571429,0.5,5,81.2635559082031,19.0617202758789,0,0,98.4334,1,0.2,"2024-08-26",0
"Shawn Armstrong",12857,"2024-08-25","@MIN",28,2024,"STL","A",33,1,0,0,1,0,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,6.03472908401489,0,0,0,0,1,3.1664797782898,-3.1664797782898,5.43449475334657,0,79.6352116744142,133.117981382682,1,0,0.5,0.5,1,0,2,27.000028163224,1,4,5,0.0649599730968475,0,0.0649599730968475,0.929000020027161,0.0973794609308243,0.939599990844727,0.475800007581711,0.951600015163422,3.42519998550415,1,1,0.0689460709691048,0.000189703541117081,1,0,0.4,94,NA,NA,0.6,92,NA,NA,NA,0.105273142457008,NA,0.374162763357162,NA,5.26365712285042,NA,12.4720921119054,NA,0.66666667,1,0.8,0.5,1,0.75,0.4,0.5,0.2,0,1,1,1,1,0,2,0,0.5,0.5,0.5,0.5,0,-0.586456513633777,NA,20,34.95614,20,NA,NA,NA,NA,NA,NA,80,42.39151,80,41.61057,38.60467,43.19331,0.64661,5.04701,103.22,34.42,21.76,NA,NA,NA,NA,NA,NA,95.74,128.96,134.64,98.732,91.144,89.488,0.4,0.6,NA,NA,94.1499938964844,91.9666646321615,NA,NA,-4.82012844085693,1.53661600748698,NA,NA,9.38575267791748,7.46497662862142,NA,NA,0.106599617749453,0.360904544591904,NA,NA,5.32998088747263,12.0301514863968,NA,NA,0.5,1,0.8,1,0.66666667,0.75,0.6,19.33333333,0.4,0.6,NA,NA,94.1623992919922,92.0049947102865,NA,NA,-4.53296995162964,1.68719991048177,NA,NA,8.19993495941162,6.38832982381185,NA,NA,0.106599617749453,0.360904544591904,NA,NA,5.32998088747263,12.0301514863968,NA,NA,0.5,1,0.8,1,0.66666667,0.75,0.6,2,73.4552001953125,28.7576141357422,0,0,77.5145,0,0,"2024-08-25",0
