"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","XX%","wFB","wSL","wCT","wFB/C","wSL/C","wCT/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSI%","pfxSL%","pfxvFA","pfxvFC","pfxvSI","pfxvSL","pfxFA-X","pfxFC-X","pfxSI-X","pfxSL-X","pfxFA-Z","pfxFC-Z","pfxSI-Z","pfxSL-Z","pfxwFA","pfxwFC","pfxwSI","pfxwSL","pfxwFA/C","pfxwFC/C","pfxwSI/C","pfxwSL/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piFA%","piSI%","piSL%","pivFA","pivSI","pivSL","piFA-X","piSI-X","piSL-X","piFA-Z","piSI-Z","piSL-Z","piwFA","piwSI","piwSL","piwFA/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Drew Rasmussen",25385,"2024-09-28","@BOS",12,2024,"TBR","A",28,0,0,0,1,0,0,0,0,0,0,0,2,8,2,0,0,0,0,0,0,1,0,2,9,0,9,2,0,0,5,1,0,0,0,0,0,0.25,0,0.25,0.992229084014893,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,1.92248398140073,0,27.9579124624459,45.9812600371998,5,0,0.833333333,0.166666666,0,0,0,0,9,21,30,0.0262839999049902,-0.015812000259757,0.0420960001647472,1.09399998188019,0.10539498925209,0.237999990582466,0.298600018024445,0.372000008821487,NA,0,1,0.0641963109374046,0.0462406678232432,0,0,0.6,96.11111111,0.06666667,85,0.33333333,87.2,NA,0.357893794775009,-0.0879258811473846,-0.122395679354668,1.98829885986116,-4.39629405736923,-1.22395679354668,0.3125,0.57142857,0.43333333,0.8,0.875,0.84615385,0.46666667,0.625,0.06666667,3,3,0,1,4,1,6,0.5,0.5,0,0.16666667,0.66666667,0.16666667,0.0932634842053535,NA,72.55902,72.71319,76.24976,66.93549,53.85861,56.46251,20,30.80741,20,80,67.95649,31.763,77.11562,61.51945,48.67938,-1.55918,1.73832,121.78,97.78,117.92,116.84,125.3,148.38,135.88,18.46,25.76,118.74,139.42,146.98,120.554,112.793333333333,128.57,0.36666667,0.33333333,0.23333333,0.06666667,96.3636363636364,87.2200012207031,95.6714303152902,84.8000030517578,-2.48605294661088,1.48018980026245,-9.13328988211495,5.19154357910156,10.3240606134588,-1.43868198394775,8.7823987688337,-4.07933282852173,-0.132240951061249,-0.120713733136654,0.492048643529415,-0.0897959321737289,-1.20219046419317,-1.20713733136654,7.0292663361345,-4.48979660868645,0.33333333,0.53333333,0.43333333,0.8,0.875,0.84615385,0.5,19.45454545,0.36666667,0.23333333,0.4,96.6720303622159,95.9956752232143,87.1024169921875,-1.91882965781472,-8.38627134050642,2.91317335764567,9.09525160356001,7.28009578159877,-3.51505406697591,-0.132240951061249,0.492048643529415,-0.210509665310383,-1.20219046419317,7.0292663361345,-1.75424721091986,0.35714286,0.5,0.43333333,0.8,0.875,0.84615385,0.53333333,6,88.9357096354167,-16.9493548075358,0,0,109.028,3,0.5,"2024-09-28",0
"Drew Rasmussen",25385,"2024-09-25","@DET",12,2024,"TBR","A",28,0,0,9,1,0,0,0,0,0,0,0,2,9,3,2,2,0,0,0,0,0,0,4,18,0,13.5,4,0,0,3,1,1,0,0,0,0,0.44444444,0,0.44444444,0.699963655178103,0,0.333333333333333,1.5,0.6,0.33333333,-0.833520221710205,9.83352022171021,-0.0775160185992716,232.523317858679,-23.233098233895,-3.77387914550141,3,0.2,0.6,0.2,0,0,0,0,13,24,37,-0.00283597223460674,-0.00998801458626986,0.00715204235166311,-1.03999996185303,-0.109704628586769,0.046000000089407,0.0746000036597252,0.102800004184246,NA,0,1,-0.0481166988611221,-0.0135348713365879,0,0,0.72972973,96.7037037,NA,NA,0.27027027,88.1,NA,0.0459361672401428,NA,-0.216124102473259,0.17013395274127,NA,-2.16124102473259,0.17647059,0.7,0.45945946,0,0.92857143,0.76470588,0.54054054,0.88888889,0.10810811,2,2,1,0,3,2,5,0.4,0.4,0.2,0,0.6,0.4,0.321939479117932,NA,73.82567,63.62122,64.16348,34.97415,47.23777,62.42826,NA,NA,NA,57.32518,80,45.12872,66.75189,61.39273,63.93401,-0.91532,2.70411,119.02,109.94,128.3,116.26,103.78,119.4,NA,NA,NA,131.74,118.1,126.78,121.935675675676,110.98,126.205405405405,0.54054054,0.27027027,0.18918919,NA,96.9700012207031,87.9400024414062,95.8571428571429,NA,-2.27278366088867,1.27275676727295,-8.61318043300084,NA,9.96580352783203,-1.10123929977417,7.20950535365513,NA,0.628041252493858,-0.221446983516216,-0.581521578133106,NA,3.14020626246929,-2.21446983516216,-8.30745111618723,NA,0.25,0.61904762,0.45945946,0,1,0.76470588,0.56756757,19.75,0.54054054,0.18918919,0.27027027,97.1560546875,96.0436401367188,88.1094299316406,-1.35321998596191,-7.58277402605329,2.35944709777832,8.82044143676758,6.1176997593471,-2.60979900360107,0.628041252493858,-0.581521578133106,-0.221446983516216,3.14020626246929,-8.30745111618723,-2.21446983516216,0.25,0.61904762,0.45945946,0,1,0.76470588,0.56756757,5,94.6474182128906,9.1099479675293,0,0,107.651,3,0.6,"2024-09-25",0
"Drew Rasmussen",25385,"2024-09-21","TOR",12,2024,"TBR","H",28,0,0,0,1,0,0,0,0,1,0,0,2,6,0,0,0,0,0,0,0,0,0,3,13.5,0,0,3,0,0,2,1,0,0,0,0,0,0.5,0,0.5,0.472145751588559,0,0,0,0,1,0.166479778289795,-0.166479778289795,0.922483981400728,0,2.36240711427549,21.1036904458492,2,0,0.666666666,0.333333333,0,0,0,0,10,18,28,0.265413999557495,0,0.265413999557495,0.903999984264374,0.0992861092090607,1.79979991912842,2.46339988708496,2.13420009613037,NA,0,1,0.147675842046738,-0.000207228043228813,1,0,0.75,97.19047619,NA,NA,0.25,88,NA,1.30762875080109,NA,0.153985023498535,6.22680357524327,NA,2.19978604997907,0.44444444,0.5,0.46428571,0.5,0.8,0.61538462,0.35714286,0.66666667,0.17857143,1,1,1,2,1,0,3,0.33333333,0.33333333,0.33333333,0.66666667,0.33333333,0,-0.962619947694709,NA,80,66.46128,66.47778,80,77.71185,80,NA,NA,NA,42.40786,80,36.44607,80,71.45644,74.13138,-2.00788,1.06527,134.54,94.1,120.74,140.92,136.06,177.76,NA,NA,NA,137.44,85.3,104.28,137.315714285714,105.387142857143,134.952857142857,0.42857143,0.25,0.32142857,NA,97.8499959309896,87.7857142857143,96.3777804904514,NA,-2.46151479085286,1.11684117998396,-10.4179094102648,NA,10.6864903767904,-1.85018307822091,7.47560289171007,NA,0.598094776272774,0.154618747532368,0.725832387804985,NA,4.98412313560645,2.2088392504624,8.06480430894428,NA,0.4,0.53846154,0.46428571,0.33333333,0.85714286,0.61538462,0.46428571,18.18181818,0.42857143,0.32142857,0.25,97.602793375651,96.1307983398438,87.5168108258929,-1.4690531094869,-9.55032179090712,2.41549301147461,9.44261296590169,5.9229990641276,-3.62271281651088,0.598094776272774,0.725832387804985,0.154618747532368,4.98412313560645,8.06480430894428,2.2088392504624,0.4,0.53846154,0.46428571,0.33333333,0.85714286,0.61538462,0.46428571,3,65.4851684570312,5.2183043162028,0,0,84.0777,0,0,"2024-09-21",0
"Drew Rasmussen",25385,"2024-09-18","BOS",12,2024,"TBR","H",28,0,1,6.75000160932579,1,0,0,0,0,0,0,0,1.1,8,3,1,1,0,1,0,0,0,0,2,13.5000032186516,6.75000160932579,20.2500048279774,2,0.5,0,2,2,1,0,1,0,0,0.25,0.125,0.125,4.07660408401489,0,0.428571428571429,3.00000071525591,0.6,0.75,2.41647959947582,4.33352200984997,4.68449274954509,174.392529972428,59.9522895708249,114.693325378632,1,0.2,0.4,0.4,0,0,0,0,12,24,36,-0.179774016141891,-0.471165984869003,0.291391998529434,-0.576000034809113,-0.0632619485259056,2.54929995536804,1.67779994010925,1.53139996528625,1.10400009155273,1,1,-0.0910727456212044,0.0205537720640352,0,1,0.66666667,97.25,0.02777778,84,0.30555556,88.45454545,NA,-0.105464041233063,0,-0.57936680316925,-0.439433505137761,0,-5.26697093790228,0.35294118,0.57894737,0.47222222,0.66666667,0.81818182,0.76470588,0.52777778,0.875,0.11111111,1,1,3,2,2,1,5,0.2,0.2,0.6,0.4,0.4,0.2,2.81834459124677,NA,80,69.98412,77.73858,75.12773,71.24899,63.49262,80,56.66586,80,52.08269,80,44.0061,79.34877,72.06185,72.19994,-1.69792,1.53021,142.38,103.04,127.78,145.44,90.38,132.38,152.18,149.6,147.4,143.46,103.28,118.06,143.747222222222,101.241666666667,126.505,0.41666667,0.30555556,0.25,0.02777778,97.8133382161458,88.4454567649148,96.3555569118924,83.9000015258789,-3.34150670369466,1.35185857252641,-10.4821480645074,7.6037540435791,10.6455708821615,-1.46481982144442,7.80853101942274,-2.60859751701355,0.78832245990634,-0.589207921177149,-0.902128022164106,0,5.25548306604226,-5.35643564706499,-10.0236446907123,0,0.33333333,0.61111111,0.47222222,0.66666667,0.81818182,0.76470588,0.5,21.60714286,0.41666667,0.25,0.33333333,97.5705403645833,96.1265123155382,87.8040262858073,-2.46504999796549,-9.70243157280816,3.071852684021,9.16907552083333,6.18198098076714,-3.58086903889974,0.78832245990634,-0.902128022164106,-0.589207921177149,5.25548306604226,-10.0236446907123,-4.91006600980957,0.35294118,0.57894737,0.47222222,0.66666667,0.81818182,0.76470588,0.52777778,5,77.6521362304688,19.7586639404297,0,0,96.3514,1,0.2,"2024-09-18",0
"Drew Rasmussen",25385,"2024-09-14","@CLE",12,2024,"TBR","A",28,0,0,0,1,1,0,0,0,0,0,0,2,7,1,0,0,0,0,0,0,0,0,2,9,0,4.5,2,0,0,2,2,1,0,0,0,0,0.28571429,0,0.28571429,2.71462705054979,0,0.142857142857143,0.5,0.2,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,27.9579124624459,64.7888072114456,1,0.2,0.4,0.4,0,0,0,0,5,23,28,0.0972159951925278,-0.0257000327110291,0.122916027903557,0.959999978542328,0.101265825331211,0.790914297103882,0.894999980926514,0.870000004768372,0.990000009536743,1,1,0.113168962299824,0.00974700413106128,0,0,0.42857143,97.08333333,0.17857143,86.4,0.39285714,88.54545455,NA,-0.112921647727489,0.458696156740189,0.763226926326752,-0.941013731062412,9.17392313480377,6.93842660297047,0.61538462,0.73333333,0.67857143,0.5,0.81818182,0.68421053,0.53571429,0.71428571,0.21428571,1,3,1,0,2,3,5,0.2,0.6,0.2,0,0.4,0.6,1.31980990651847,51,63.76753,53.58071,70.46802,26.73985,20.02385,53.23905,39.66578,41.1033,44.43768,80,79.49943,55.62022,69.39677,56.3448,63.16069,-1.07964,2.45763,119.48,114.4,126.66,108.8,63.06,47.32,138.86,88.24,100.72,128.82,104.7,120.68,125.465714285714,100.417142857143,111.177857142857,0.32142857,0.39285714,0.10714286,0.17857143,97.0666639539931,88.5909090909091,96.7999979654948,86.1599975585937,-2.72376187642415,1.24471239610152,-7.27499771118164,6.63316802978516,9.32610236273872,-1.21390151977539,7.69221687316895,-1.9762845993042,-0.451772797852755,0.772798679769039,0.377499043941498,0.441348452121019,-5.0196977539195,7.0254425433549,12.5833014647166,8.82696904242039,0.61538462,0.73333333,0.67857143,0.5,0.81818182,0.68421053,0.53571429,18.57142857,0.32142857,0.10714286,0.57142857,97.2018771701389,96.9289347330729,87.9475784301758,-2.27332899305556,-6.57898012797038,3.6755702495575,8.46312798394097,6.62134679158529,-2.622314453125,-0.451772797852755,0.377499043941498,1.21414713189006,-5.0196977539195,12.5833014647166,7.58841957431287,0.61538462,0.73333333,0.67857143,0.5,0.81818182,0.68421053,0.53571429,5,96.4346618652344,11.1966079711914,0,0,105.453,3,0.6,"2024-09-14",0
"Drew Rasmussen",25385,"2024-09-11","@PHI",12,2024,"TBR","A",28,0,1,5.40000205993731,1,0,0,0,0,0,0,0,1.2,8,2,1,1,0,1,0,0,0,0,1,5.40000205993731,5.40000205993731,10.8000041198746,1,0.2,0,5,1,0,0,1,0,0,0.125,0.125,0,3.87801033401489,0,0.285714285714286,1.80000068664577,0.333333333333333,0.66666667,3.76648000717172,1.63352205276559,4.67368539697623,139.514043935592,94.5062322260376,114.424464713002,5,0,0.833333333,0.166666666,0,0,0,0,10,22,32,-0.11048799008131,-0.218278020620346,0.107790030539036,-0.23499995470047,-0.0240655373781919,1.11667501926422,0.827466666698456,0.980400025844574,0.530999958515167,1,1,0.00953562557697296,-0.108479354213538,0,1,0.77419355,97.91666667,0.06451613,86,0.16129032,89.2,0.03125,-0.155813500285149,-0.0879258811473846,0.177389025688171,-0.649222917854786,-4.39629405736923,3.54778051376343,0.44444444,0.61538462,0.51612903,0.875,0.875,0.875,0.41935484,0.5,0.0625,4,2,0,1,4,1,6,0.66666667,0.33333333,0,0.16666667,0.66666667,0.16666667,1.9930519338472,NA,80,80,69.29282,58.95219,66.70375,53.17658,56.52885,74.60915,23.00417,80,80,66.77669,79.67318,77.1818,66.98031,-1.71807,1.49999,123.42,80.5,113.32,133.54,101.28,137.08,163.66,93.08,116.84,154.4,124.2,157.32,134.930322580645,96.4038709677419,129.841290322581,0.38709677,0.16129032,0.38709677,0.06451613,98.6833292643229,89.2599975585938,97.1166687011719,85.9000015258789,-2.80256430308024,1.00759878158569,-9.36077308654785,5.76869678497314,10.8552894592285,-1.41201333999634,7.62614758809408,-1.67526626586914,-0.355131201446056,0.17862556874752,0.19178169965744,-0.0897959321737289,-2.95942667871714,3.57251137495041,1.59818083047867,-4.48979660868645,0.38461538,0.61111111,0.51612903,1,0.81818182,0.875,0.58064516,18.5,0.38709677,0.38709677,0.22580645,98.4464518229167,96.890858968099,88.0481305803571,-2.2288810412089,-8.92086283365885,3.24930300031389,9.76856104532878,6.43843523661296,-2.86470603942871,-0.365936972200871,0.19178169965744,0.0888296365737915,-3.04947476834059,1.59818083047867,1.26899480819702,0.30769231,0.66666667,0.51612903,1,0.83333333,0.875,0.58064516,6,88.1702372233073,-10.5254383087158,0,0,97.8931,3,0.5,"2024-09-11",0
"Drew Rasmussen",25385,"2024-09-07","@BAL",12,2024,"TBR","A",28,0,0,0,1,0,0,0,0,0,1,0,1.2,5,0,0,0,0,0,0,0,0,0,2,10.8000041198746,0,0,2,0,0,1,2,0,0,0,0,0,0.4,0,0.4,1.53488908401489,0,0,0,0,1,0.766478862762102,-0.766478862762102,2.58088964237113,0,17.7196868897838,62.36079268733,0.5,0,0.333333333,0.666666666,0,0,3,16.2000061798119,3,13,16,0.0670200064778328,0,0.0670200064778328,0.712999999523163,0.0766666680574417,0.542400002479553,0.736000001430511,0.923999965190887,0.293999999761581,1,1,0.123670175671577,-0.00010821739087255,1,0,0.625,97.1,0.0625,87,0.3125,88.8,NA,0.782015204429626,0.173208177089691,0.289133489131927,7.82015204429626,17.3208177089691,5.78266978263855,0.5,0.5,0.5,0.4,1,0.625,0.375,0.8,0.1875,2,0,1,1,0,2,3,0.66666667,0,0.33333333,0.33333333,0,0.66666667,-0.657201131644759,NA,80,69.14289,80,59.65262,65.55008,58.84291,50.38148,75.95103,28.86442,80,78.90607,80,80,70.15803,80,-2.72995,-0.01783,126.14,117.04,145.68,117.76,111.48,116.6,166.58,109.12,134.2,120.82,131.1,149.48,125.43375,119.89625,140.6975,0.4375,0.3125,0.1875,0.0625,97.7999965122768,88.6599975585937,95.3666687011719,86.5999984741211,-3.81563949584961,0.53771390914917,-10.0205084482829,8.23481273651123,11.1050098964146,0.121975493431091,6.42731348673503,-2.30767941474915,0.597819294780493,0.292114499956369,0.193692743778229,0.175081223249435,8.54027563972133,5.84228999912739,6.45642479260763,17.5081223249435,0.57142857,0.44444444,0.5,0.25,1,0.625,0.5625,17,0.4375,0.1875,0.375,97.8964146205357,95.4368998209635,88.3781534830729,-3.33478573390416,-9.48783683776855,2.52208375930786,9.9234117780413,5.15718332926432,-1.68551540374756,0.597819294780493,0.193692743778229,0.467195723205805,8.54027563972133,6.45642479260763,7.78659538676341,0.42857143,0.55555556,0.5,0,1,0.625,0.5625,3,85.8197224934896,2.55714225769043,0,0,96.8504,2,0.66666667,"2024-09-07",0
"Drew Rasmussen",25385,"2024-09-03","MIN",12,2024,"TBR","H",28,0,0,0,1,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,0,0,0,3,13.5,0,0,3,0,0,2,1,0,0,0,0,0,0.5,0,0.5,0.472145751588559,0,0,0,0,1,0.166479778289795,-0.166479778289795,0.922483981400728,0,2.36240711427549,21.1036904458492,2,0,0.666666666,0.333333333,0,0,0,0,6,16,22,0.206209987401962,0,0.206209987401962,0.903999984264374,0.0992861092090607,1.40040004253387,1.93210005760193,1.73000001907349,2.79259991645813,1,1,0.147480204701424,-0.000229432679989455,1,0,0.54545455,97.5,0.09090909,86.5,0.36363636,90.25,NA,1.10630059242249,-0.108625918626785,0.40824168920517,9.21917160352071,-5.43129593133926,5.10302111506462,0.625,0.66666667,0.63636364,0.4,0.75,0.5,0.27272727,0.83333333,0.31818182,1,1,1,0,2,1,3,0.33333333,0.33333333,0.33333333,0,0.66666667,0.33333333,-0.962619947694709,NA,80,68.70333,80,54.56342,73.25383,58.88406,80,68.77719,63.39904,60.51991,58.41635,20,79.77005,65.73048,49.87428,-1.72409,1.49096,133.12,112.6,137.34,140.92,88.88,119.14,173.36,144.56,187.82,138.92,89,120.06,140.305454545455,102.610909090909,132.336363636364,0.36363636,0.36363636,0.18181818,0.09090909,97.9124984741211,90.0500030517578,96.4749984741211,86.4499969482422,-4.1908016204834,1.1976203918457,-10.2279481887817,8.18916416168213,11.5244436264038,0.487285524606705,8.59490394592285,-0.097784012556076,0.848941326141357,0.458291135728359,0.270799700170755,-0.110842883586884,10.611766576767,5.72863919660449,6.76999250426888,-5.54214417934418,0.53846154,0.77777778,0.63636364,0.14285714,0.85714286,0.5,0.40909091,16.5,0.36363636,0.18181818,0.45454545,98.0368499755859,96.587776184082,89.4198486328125,-3.60166358947754,-9.67638969421387,3.64284896850586,9.96757030487061,6.87577247619629,-1.53523349761963,0.848941326141357,0.270799700170755,0.347448252141476,10.611766576767,6.76999250426888,3.47448252141476,0.53846154,0.77777778,0.63636364,0.14285714,0.71428571,0.42857143,0.40909091,3,86.9816080729167,4.28877480824788,0,0,96.83,1,0.33333333,"2024-09-03",0
"Drew Rasmussen",25385,"2024-08-31","SDP",12,2024,"TBR","H",28,0,0,9,1,0,0,0,0,0,0,0,2,10,4,2,2,0,1,0,0,0,0,0,0,4.5,18,0,0.25,0,4,3,2,0,1,0,0,0,0.1,-0.1,6.91870908401489,0,0.444444444444444,2.5,0.444444444444444,0.6,4.6664797782898,4.3335202217102,6.9344923876226,232.523317858679,117.542181181042,170.667847955418,1.333333333,0.222222222,0.444444444,0.333333333,0,0,0,0,14,24,38,0.000554007012397051,-0.0461499728262424,0.0467039793729782,-1.09599995613098,-0.120373412966728,0.231040000915527,0.10419999808073,0.124200001358986,0.226999998092651,1,1,-0.143829673528671,0.146227557056206,0,0,0.78947368,96.63333333,0.05263158,85.5,0.15789474,89.66666667,NA,-1.83346486091614,0.132913440465927,0.651050448417664,-6.11154953638713,6.64567202329636,10.8508408069611,0.0625,0.63636364,0.39473684,1,1,1,0.57894737,0.6,0,3,2,4,1,8,0,9,0.33333333,0.22222222,0.44444444,0.11111111,0.88888889,0,5.2202480965877,NA,68.82742,80,65.15395,62.45708,70.80124,49.78701,78.45621,69.2462,78.87623,29.71101,79.93056,23.95631,65.82068,74.60572,54.87379,-0.85747,2.79089,133.22,67.92,101.94,124.56,112.7,142.68,128.78,143.24,150.3,117.64,47.98,70.22,126.196315789474,91.1257894736842,119.846842105263,0.28947368,0.15789474,0.5,0.05263158,97.2636385830966,89.5999959309896,96.152632863898,85.4499969482422,-4.0395393371582,0.834782918294271,-10.3231851678146,7.8635401725769,11.5377162586559,0.160965184370677,8.31115642346834,-1.18758010864258,0.280373394489288,0.661881648004055,-2.1384002789855,0.134383205324411,2.54884904081171,11.0313608000676,-11.25473831045,6.71916026622057,0.07142857,0.58333333,0.39473684,1,1,1,0.63157895,18.39285714,0.28947368,0.5,0.21052632,97.6076993075284,96.5026598478618,88.8751220703125,-3.39579287442294,-9.36118999280428,3.72475433349609,9.93306940252131,6.66068267822266,-1.89511549472809,0.280373394489288,-2.1384002789855,0.796264853328466,2.54884904081171,-11.25473831045,9.95331066660583,0.06666667,0.60869565,0.39473684,1,1,1,0.60526316,9,85.3205973307292,5.29867214626736,0,0,99.3599,2,0.22222222,"2024-08-31",0
"Drew Rasmussen",25385,"2024-08-28","@SEA",12,2024,"TBR","A",28,0,0,0,1,1,0,0,0,0,0,0,2,7,2,1,0,0,0,0,0,0,0,2,9,0,9,2,0.5,0,2,2,1,0,1,0,0,0.28571429,0,0.28571429,2.71462705054979,0,0.285714285714286,1,0.4,0.5,1.1664797782898,-1.1664797782898,2.67848818451166,0,27.9579124624459,64.7888072114456,1,0.2,0.4,0.4,0,0,1,4.5,10,16,26,-0.0296899899840355,-0.124390006065369,0.0947000160813332,-0.139999985694885,-0.0159000512212515,1.01132500171661,0.936299979686737,0.870000004768372,0.99260002374649,1,1,-0.0202053561806679,-0.00915215988354489,0,0,0.57692308,96.06666667,0.03846154,84,0.38461538,89.5,NA,0.307110041379929,-0.502868592739105,0.305335819721222,2.04740027586619,-50.2868592739105,3.05335819721222,0.35714286,0.75,0.53846154,0.2,0.77777778,0.57142857,0.46153846,0.57142857,0.23076923,2,1,2,1,3,1,5,0.4,0.2,0.4,0.2,0.6,0.2,1.31980990651847,46,80,61.48827,80,43.56393,48.33348,46.24804,63.85782,26.88017,80,20,67.75607,20,42.14451,55.72714,31.26149,0.61344,4.99725,142.06,128.08,161.92,112.1,82.1,97.46,87.72,121.46,111.16,111.56,4.33999999999999,24.68,117.868461538462,64.3169230769231,84.87,0.23076923,0.38461538,0.34615385,0.03846154,96.7999979654948,89.4099975585937,95.5444471571181,84.3000030517578,-3.69510173797607,1.55379104614258,-9.77114105224609,3.80846405029297,11.2857475280762,1.58600521087646,7.50219896104601,-3.56587362289429,-0.0177391543984413,0.308231092989445,0.0993696600198746,-0.510574221611023,-0.295652573307355,3.08231092989445,1.10410733355416,-51.0574221611023,0.18181818,0.8,0.53846154,0,0.66666667,0.57142857,0.57692308,18.57894737,0.23076923,0.34615385,0.42307692,97.2034301757812,95.7923990885417,89.2324329723011,-3.69961166381836,-8.71219465467665,2.68360363353382,9.51822662353516,6.59407128228082,-0.0518627058375965,0.0634978413581848,0.0181326642632484,-0.202343128621578,1.05829735596975,0.201474047369427,-1.83948298746889,0.27272727,0.73333333,0.53846154,0,0.72727273,0.57142857,0.57692308,5,86.7443603515625,4.00395317077637,0,0,105.247,2,0.4,"2024-08-28",0
