"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CB%","CBv","SF%","SFv","XX%","wFB","wSL","wCT","wCB","wSF","wFB/C","wSL/C","wCT/C","wCB/C","wSF/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_KC","pb_s_KC","pb_c_KC","pb_o_FC","pb_s_FC","pb_c_FC","pb_o_FS","pb_s_FS","pb_c_FS","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_KC","sp_l_KC","sp_p_KC","sp_s_FC","sp_l_FC","sp_p_FC","sp_s_FS","sp_l_FS","sp_p_FS","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxFS%","pfxSI%","pfxSL%","pfxKC%","pfxvFA","pfxvFC","pfxvFS","pfxvSI","pfxvSL","pfxvKC","pfxFA-X","pfxFC-X","pfxFS-X","pfxSI-X","pfxSL-X","pfxKC-X","pfxFA-Z","pfxFC-Z","pfxFS-Z","pfxSI-Z","pfxSL-Z","pfxKC-Z","pfxwFA","pfxwFC","pfxwFS","pfxwSI","pfxwSL","pfxwKC","pfxwFA/C","pfxwFC/C","pfxwFS/C","pfxwSI/C","pfxwSL/C","pfxwKC/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCU%","piFA%","piFC%","piFS%","piSI%","piSL%","pivCU","pivFA","pivFC","pivFS","pivSI","pivSL","piCU-X","piFA-X","piFC-X","piFS-X","piSI-X","piSL-X","piCU-Z","piFA-Z","piFC-Z","piFS-Z","piSI-Z","piSL-Z","piwCU","piwFA","piwFC","piwFS","piwSI","piwSL","piwCU/C","piwFA/C","piwFC/C","piwFS/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Bryce Miller",29837,"2024-09-23","@HOU",11,2024,"SEA","A",25,1,0,0,1,1,1,0,0,0,0,0,7,25,2,0,0,0,2,0,0,0,0,5,6.42857142857143,2.57142857142857,2.57142857142857,2.5,0.142857142,0,7,10,1,0,1,0,0,0.2,0.08,0.12,4.63222028401489,0,0.0869565217391304,0.571428571428571,0.111111111111111,1,2.59505120686122,-2.59505120686122,4.7550632157496,0,65.0190129224243,116.448947062729,0.7,0.055555555,0.388888888,0.555555555,0,0,4,5.14285714285714,30,67,97,0.457930028438568,-0.219846054911613,0.677776098251343,3.33899998664856,0.35389506816864,1.33134400844574,1.21617150306702,0.870000004768372,0.562200009822845,1,1,0.376011878252029,-0.0320511697247326,0,0,0.44329897,95.41860465,0.1443299,85.42857143,0.05154639,93.2,0.11340206,83,0.24742268,85.5,NA,1.54916381835938,0.612599074840546,0.0127905234694481,0.197418421506882,1.22984230518341,3.60270655432413,4.37570767743247,0.255810469388962,1.79471292278983,5.12434293826421,0.47368421,0.7,0.56701031,0.51851852,0.78571429,0.65454545,0.41237113,0.68,0.19587629,5,8,5,3,8,7,18,0.27777778,0.44444444,0.27777778,0.16666667,0.44444444,0.38888889,1.34229934394368,78,57.01178,60.53305,51.53367,30.83633,62.2266,28.85751,50.20125,44.13662,52.09717,75.18306,43.78085,77.11596,20,52.80514,20,58.21483,62.36065,62.00361,50.43827,58.01439,47.41101,0.09818,4.22436,111.12,89.24,107.88,106.76,69.94,87.26,101.264615384615,94.0615384615385,98.72,105.68,152.18,139.54,93.02,56.24,55.86,107.6,99.8,102.98,106.73793814433,95.9977319587629,103.91175257732,0.30927835,0.05154639,0.24742268,0.13402062,0.1443299,0.11340206,95.536669921875,93.2599975585938,85.5083312988281,94.984619140625,85.5214320591518,82.8636363636364,-4.00322647094727,-1.70526905059814,-7.84410603841146,-9.19579432560847,3.5942862374442,1.34080583398992,11.4509318033854,9.81243438720703,2.45424429575602,6.9764151939979,-0.833710057394845,-5.84222550825639,2.56728122010827,0.0123818255960941,1.28403064236045,-1.02548224106431,0.619100097566843,0.187338504940271,8.55760406702757,0.247636511921883,5.35012767650187,-7.88832493126392,4.42214355404888,1.70307731763883,0.39583333,0.73469388,0.56701031,0.47368421,0.75,0.65454545,0.50515464,20.88888889,0.12371134,0.30927835,0.05154639,0.24742268,0.13402062,0.13402062,83.1658274332682,95.6469319661458,93.3758605957031,85.6186930338542,95.0944542518029,85.6297701322115,2.09534454345703,-3.27881673177083,-0.675702381134033,-7.0838794708252,-8.4804435143104,4.80882233839769,-7.41140429178874,10.0807210286458,8.85278625488281,0.953478972117106,5.65873014009916,-2.11685899587778,0.163095571100712,2.56728122010827,0.0123818255960941,1.28403064236045,-1.02548224106431,0.643343031406403,1.3591297591726,8.55760406702757,0.247636511921883,5.35012767650187,-7.88832493126392,4.94879254928002,0.4,0.71153846,0.56701031,0.5,0.72972973,0.65454545,0.53608247,18,91.7274509006076,21.2763451470269,1,0.05555556,106.06,8,0.44444444,"2024-09-23",0
"Bryce Miller",29837,"2024-09-18","NYY",11,2024,"SEA","H",25,0,0,1.5,1,1,1,0,0,0,0,0,6,23,2,1,1,0,4,1,0,0,0,8,12,6,3,2,0,0,6,2,3,0,0,0,0,0.34782609,0.17391304,0.17391304,4.03577067312302,0,0.105263157894737,1,0.181818181818182,0.83333333,2.49981311162313,-0.999813111623129,3.00381591369708,39.6930847562047,62.5626034269191,72.882170434252,3,0.272727272,0.545454545,0.181818181,0,0,0,0,43,63,106,0.154336050152779,-0.234685987234116,0.389022022485733,1.58000004291534,0.179443493485451,0.933399975299835,0.881766676902771,0.870000004768372,0.889200031757355,1,1,0.173193618655205,-0.00784537113334105,0,0,0.46226415,95.42857143,0.13207547,86,0.02830189,92.33333333,0.08490566,85,0.29245283,85.51612903,0.03773585,1.47863733768463,-0.0524471886456013,0.365010589361191,-0.237760603427887,0.962591707706451,3.01762721976455,-0.374622776040009,12.167019645373,-2.64178448253208,3.10513454098855,0.12727273,0.62745098,0.36792453,0.71428571,0.84375,0.82051282,0.48113208,0.52173913,0.06603774,6,4,1,2,5,4,11,0.54545455,0.36363636,0.09090909,0.18181818,0.45454545,0.36363636,3.03662345921388,68,46.3364,58.8858,34.34542,77.5276,48.75002,80,55.04867,47.77743,66.26659,45.23769,47.597,45.03872,20,49.78472,20,60.97569,61.56603,59.85915,52.49665,57.99599,49.04659,-0.0297,4.03254,109.32,77.36,94.68,94.76,142.16,145.52,91.2685714285714,100.551428571429,106.165714285714,98.28,103.92,102.28,78.84,69.84,65.18,116.92,105.68,113.16,105.984905660377,96.8607547169811,106.208113207547,0.36792453,0.02830189,0.29245283,0.09433962,0.13207547,0.08490566,95.3846153846154,92.5333353678385,85.4645129788306,95.4799987792969,85.9571446010045,85.0777791341146,-3.74808247884115,-1.42332728703817,-7.03042602539062,-9.23363876342773,3.00048501150949,0.395896169874403,11.0664430275942,8.91400655110677,1.98905034219065,7.38899917602539,-0.674174036298479,-3.36929978264703,0.0585702024400234,0.368394620716572,0.9718585498631,1.48055361583829,-0.0150208473205566,-0.243628937751055,0.15018000625647,12.2798206905524,3.13502758020355,14.8055361583829,-0.107291766575405,-2.70698819723394,0.07317073,0.55384615,0.36792453,0.66666667,0.83333333,0.82051282,0.61320755,20.15662651,0.0754717,0.37735849,0.01886792,0.29245283,0.09433962,0.14150943,85.0736236572266,95.4129211425781,92.6827011108398,85.5499464465726,95.5801086425781,86.0494873046875,0.71964704990387,-3.44831619262695,0.115890502929688,-6.48787664598034,-8.81968688964844,3.56987711588542,-5.37746238708496,9.75986251831055,7.71056461334229,0.355173387835103,6.05375595092773,-2.39006525675456,-0.208580233156681,0.273309897631407,0.153654925525188,0.9718585498631,1.48055361583829,-0.0500695519149303,-2.60725291445851,0.683274744078517,7.68274627625942,3.13502758020355,14.8055361583829,-0.333797012766202,0.06976744,0.57142857,0.36792453,0.66666667,0.83333333,0.82051282,0.59433962,11,84.4236672141335,-3.40376455133612,1,0.09090909,105.034,4,0.36363636,"2024-09-18",0
"Bryce Miller",29837,"2024-09-12","TEX",11,2024,"SEA","H",25,0,0,1.5,1,1,1,0,0,0,0,0,6,22,5,1,1,1,1,0,0,0,0,7,10.5,1.5,7.5,7,0,0,6,6,2,1,0,0,0,0.31818182,0.04545455,0.27272727,2.77705552770099,1.5,0.238095238095238,1,0.307692307692308,1,3.49981311162313,-1.99981311162313,2.84515485117833,39.6930847562047,88.3549031297236,68.935068810004,1,0.142857142,0.428571428,0.428571428,0.166666666,0.166666666,4,6,33,51,84,0.16225603222847,-0.252161920070648,0.41441798210144,1.58000004291534,0.179443493485451,0.914933323860168,0.922700047492981,0.870000004768372,0.829200029373169,1,1,-0.00109789567068219,0.178439815564801,0,0,0.64285714,95.07407407,0.14285714,85.25,0.07142857,92.5,0.03571429,85.66666667,0.10714286,85.33333333,NA,-0.281686902046204,0.659020066261292,0.154854834079742,-0.60755980014801,0.180050894618034,-0.521642411196673,5.49183388551076,2.58091390132904,-20.251993338267,2.00056549575594,0.26086957,0.5,0.36904762,0.75,0.84210526,0.80645161,0.45238095,0.68181818,0.07142857,8,4,2,1,9,4,14,0.57142857,0.28571429,0.14285714,0.07142857,0.64285714,0.28571429,2.83167644305586,61,56.49943,62.85747,43.36606,80,66.38063,79.94345,71.99555,39.73847,80,22.47837,45.19371,34.76702,72.52095,45.72511,68.43469,31.68761,68.31542,43.55284,60.64128,58.2459,56.93922,-0.53569,3.27356,109.62,87.36,105.72,111.68,159.88,180.18,94.7466666666667,116.033333333333,118.706666666667,108.22,62.1,61.36,89.78,83.04,92.66,118.9,75.96,84.86,107.239277108434,97.7814457831326,111.759277108434,0.53571429,0.07142857,0.10714286,0.10714286,0.14285714,0.03571429,94.9666666666667,92.6333312988281,85.3999972873264,95.1555582682292,85.3250020345052,85.2666625976562,-3.21502109103733,-0.578974445660909,-7.73771837022569,-9.73231930202908,3.0207036336263,0.772469600041707,11.1329786512587,9.49968973795573,1.5629784266154,6.95423422919379,-0.642948389053345,-3.4134422938029,-0.520880591124296,0.155852969735861,0.179838135838509,0.24219273775816,0.666973937302828,-0.616866361349821,-1.15751242472066,2.59754949559768,1.99820150931676,2.69103041953511,5.55811614419023,-20.562212044994,0.22222222,0.47916667,0.36904762,0.75,0.82608696,0.80645161,0.57142857,19.86885246,0.03571429,0.5,0.10714286,0.10714286,0.10714286,0.14285714,85.4268697102865,95.2655145554316,93.1205647786458,85.5720757378472,95.3462660047743,85.4878946940104,1.46494674682617,-2.86908576602028,-0.563452667660183,-7.02412329779731,-9.16716003417969,3.72289371490479,-5.22435665130615,10.1425577799479,8.53933376736111,-0.043040802081426,5.58991877237956,-1.99622297286987,-0.616866361349821,-0.337679207324982,-0.0273484140634537,0.179838135838509,0.24219273775816,0.666973937302828,-20.562212044994,-0.803998112678528,-0.303871267371707,1.99820150931676,2.69103041953511,5.55811614419023,0.23529412,0.46,0.36904762,0.75,0.82608696,0.80645161,0.5952381,14,88.032706124442,20.3455178397042,1,0.07142857,105.245,4,0.28571429,"2024-09-12",0
"Bryce Miller",29837,"2024-09-06","@STL",11,2024,"SEA","A",25,1,0,0,1,1,1,0,0,0,0,0,6,22,3,0,0,0,2,0,0,0,0,4,6,3,4.5,2,0,0,8,3,5,1,0,0,0,0.18181818,0.09090909,0.09090909,4.34148941246761,0,0.15,0.833333333333333,0.1875,1,2.83314644495646,-2.83314644495646,3.5891506480674,0,71.1600366611873,87.4438760227841,2.666666666,0.3125,0.5,0.1875,0.333333333,0,3,4.5,32,62,94,0.336160004138947,-0.120460018515587,0.456620007753372,2.88000011444092,0.303797483444214,0.890973925590515,1.03913331031799,0.870000004768372,1.03760004043579,1,1,0.298243016004562,0.0790519804973253,0,0,0.61702128,95.18965517,0.20212766,84.89473684,0.0106383,93,0.04255319,85.5,0.12765957,84.66666667,NA,0.818222224712372,0.587225377559662,0.0389156937599182,-0.119195893406868,0.872702956199646,1.41072797364202,3.09065988189296,3.89156937599182,-2.9798973351717,7.27252463499705,0.23404255,0.61702128,0.42553191,0.63636364,0.89655172,0.825,0.5,0.68181818,0.07446809,5,5,6,4,7,5,16,0.3125,0.3125,0.375,0.25,0.4375,0.3125,4.0617659308076,69,59.54037,58.2601,56.75523,40.95366,60.46649,42.35575,32.02772,49.99194,32.84156,28.09504,57.85117,29.70548,80,50.76139,80,80,74.7734,72.94408,53.07005,59.7602,50.47464,-0.06532,3.97911,111.78,87.64,97.56,105.92,82.28,90.7,102.293684210526,80.5147368421053,82.42,118.18,66.5,77.48,85.46,171.4,169.72,123.18,112.48,125.08,109.814042553191,87.993829787234,96.1746808510638,0.36170213,0.0106383,0.12765957,0.25531915,0.20212766,0.04255319,95.3911779067096,92.9000015258789,84.6333312988281,94.7958374023438,84.9368446751645,85.75,-4.29880119772518,-1.55635738372803,-7.77027448018392,-9.70141092936198,4.04063576146176,-0.327554851770401,11.0848289938534,8.51625347137451,0.543211023012797,6.94553502400716,-1.46943614357396,-2.58389091491699,-0.0909204185009003,0.039364367723465,0.883677430450916,0.948765620589256,0.575099170207977,-0.121449183672667,-0.267412995590883,3.9364367723465,7.36397858709097,3.95319008578857,3.02683773793672,-3.03622959181666,0.26829268,0.54716981,0.42553191,0.63636364,0.89655172,0.825,0.56382979,21.35714286,0.03191489,0.37234043,NA,0.12765957,0.25531915,0.21276596,85.954600016276,95.3673200334821,NA,84.6764068603516,94.8401590983073,84.9739379882812,-0.88309637705485,-4.25983581542969,NA,-7.82771428426107,-9.62912241617838,4.23695526123047,-3.90206336975098,10.0632507324219,NA,-0.652979890505473,5.94351323445638,-2.66265354156494,-0.0731270276010036,-0.0515560507774353,NA,0.883677430450916,0.948765620589256,0.526777014136314,-2.43756758670012,-0.147303002221244,NA,7.36397858709097,3.95319008578857,2.63388507068157,0.21052632,0.57142857,0.42553191,0.5,0.90625,0.825,0.59574468,16,83.748193359375,10.7943074544271,1,0.0625,104.105,6,0.375,"2024-09-06",0
"Bryce Miller",29837,"2024-09-01","@LAA",11,2024,"SEA","A",25,0,1,5.78571507395541,1,1,0,0,0,0,0,0,4.2,22,4,3,3,1,3,0,1,0,0,4,7.71428676527388,5.78571507395541,7.71428676527388,1.33333333,0,0,2,9,3,0,0,0,0,0.18181818,0.13636364,0.04545455,6.16557619765847,1.92857169131847,0.222222222222222,1.50000020435881,0.230769230769231,0.75757576,6.8093374174469,-1.0236223434915,6.93963936148416,153.101919203842,173.715145899246,170.795892155844,0.222222222,0.214285714,0.142857142,0.642857142,0,0.111111111,2,3.85714338263694,38,53,91,-0.148855924606323,-0.532113969326019,0.383258074522018,-0.691999912261963,-0.0702181607484818,1.155109167099,1.0828800201416,0.870000004768372,0.804199993610382,1,1,-0.0635140687227249,-0.0653533395242096,0,0,0.40659341,95.21621622,0.32967033,85.2,0.01098901,93,0.12087912,84.36363636,0.13186813,84.91666667,NA,-0.585943222045898,-0.361621618270874,-0.0968978852033615,0.700324594974518,-0.481486052274704,-1.58363032985378,-1.20540539423625,-9.68978852033615,6.36658722704107,-4.01238376895587,0.16363636,0.75,0.3956044,0.33333333,0.81481481,0.69444444,0.3956044,0.63636364,0.12087912,5,7,2,1,6,7,14,0.35714286,0.5,0.14285714,0.07142857,0.42857143,0.5,6.69272170165298,42,39.96566,53.69701,34.03129,44.99217,64.92835,37.83481,41.66012,45.25423,42.83516,49.74701,50.87086,65.77479,20,52.98647,20,64.78598,70.52441,56.34561,41.83478,55.97206,39.20433,0.63269,5.02613,97.9,87.16,89.82,105.36,68.64,89.12,89.8329032258065,86.9070967741935,93.6232258064516,105.02,94,92.58,86.24,-105.96,-95.82,114.04,98.78,106.34,98.6261538461538,83.0782417582418,89.4404395604396,0.28571429,0.02197802,0.13186813,0.10989011,0.34065934,0.10989011,95.3807654747596,92.6999969482422,84.8333333333333,94.8400024414063,85.0354870211694,84.5700012207031,-4.20204896193284,-0.427601099014282,-7.48596382141113,-9.66368789672851,3.82768864785471,0.27451810836792,10.4501143235427,8.81431007385254,0.755055030186971,6.6822380065918,-1.35767549084079,-3.02684497833252,0.611002277582884,-0.198219075798988,-0.492301523685455,-1.05709416791797,-0.329488325864077,0.668858744204044,2.35000875993417,-9.91095378994942,-4.10251269737879,-10.5709416791797,-1.06286556730347,6.68858744204044,0.16666667,0.59183673,0.3956044,0.28571429,0.79310345,0.69444444,0.53846154,21.75362319,0.10989011,0.28571429,0.02197802,0.13186813,0.10989011,0.34065934,84.4452270507813,95.2746957632212,92.6006469726562,84.7161560058594,94.7341613769531,84.8954920614919,0.929301929473877,-3.95356104924129,0.499868482351303,-7.13143094380697,-9.42896575927734,4.57434820359753,-4.07139892578125,9.71260951115535,7.87731981277466,-0.325157999992371,5.93730697631836,-2.28682659518334,0.668858744204044,0.611002277582884,-0.198219075798988,-0.492301523685455,-1.05709416791797,-0.329488325864077,6.68858744204044,2.35000875993417,-9.91095378994942,-4.10251269737879,-10.5709416791797,-1.06286556730347,0.1627907,0.60416667,0.3956044,0.28571429,0.79310345,0.69444444,0.52747253,14,91.4096941266741,29.0553828648158,2,0.14285714,108.136,6,0.42857143,"2024-09-01",0
"Bryce Miller",29837,"2024-08-26","TBR",11,2024,"SEA","H",25,1,0,1.28571428571429,1,1,1,0,0,0,0,0,7,23,2,1,1,1,0,0,0,0,0,10,12.8571428571429,0,2.57142857142857,10,0,0,6,6,1,0,0,0,0,0.43478261,0,0.43478261,1.38369506281244,1.28571428571429,0.0869565217391304,0.285714285714286,0.0833333333333333,1,2.1664797782898,-0.880765492575509,1.60534412647997,34.0226440767469,53.965170192651,38.0915912262177,1,0.076923076,0.461538461,0.461538461,0,0.166666666,5,6.42857142857143,31,60,91,0.139502048492432,-0.152761965990067,0.292264014482498,2.00999999046326,0.228279381990433,0.577055990695953,0.751457154750824,0.870000004768372,0.414400011301041,1,1,0.263497292995453,-0.0217494370825693,0,0,0.68131868,94.87096774,0.08791209,84.875,0.02197802,92,0.0989011,85.55555556,0.10989011,85.7,NA,1.79034328460693,0.817721426486969,0.288738936185837,0.0707839727401733,0.530560255050659,2.88765045904344,10.2215178310871,14.4369468092918,0.786488586001926,5.30560255050659,0.36363636,0.63888889,0.47252747,0.5,0.86956522,0.69767442,0.3956044,0.60869565,0.14285714,9,4,0,0,10,3,13,0.69230769,0.30769231,0,0,0.76923077,0.23076923,1.2931217012204,78,58.15045,60.78483,52.61242,46.1229,68.14349,43.84941,68.1903,48.75816,70.53636,54.81581,51.84998,50.83144,80,58.42425,80,32.74109,67.94395,20,55.55164,59.16567,50.52654,-0.21949,3.74786,111.9,98.28,116.6,110.98,107.32,129.98,97.95,116.11,122.28,103.8,123.92,121.22,95.7,124.82,118.82,120.5,73.9,83.98,109.869450549451,102.529450549451,116.486153846154,0.51648352,0.04395604,0.0989011,0.15384615,0.08791209,0.0989011,94.8680809507979,90.7250061035156,85.6777750651042,94.9642857142857,84.9875030517578,85.3222249348958,-3.53949201867936,-1.49782061576843,-7.22149064805773,-9.43497358049665,5.08341932296753,0.377470440334744,11.2885859063331,8.33044624328613,0.804639392428928,7.51440266200474,-1.25652527809143,-3.91754319932726,0.918771121650934,0.595690213143826,0.327577210962772,0.843398831784725,0.82827290892601,0.0582145303487778,1.95483217372539,14.8922553285956,3.63974678847525,6.02427736989089,10.3534113615751,0.64682811498642,0.35416667,0.60465116,0.47252747,0.47058824,0.84615385,0.69767442,0.47252747,19.44117647,0.0989011,0.52747253,0.02197802,0.10989011,0.15384615,0.08791209,85.4522772894965,94.9739379882812,92.0319519042969,85.8882568359375,95.103262765067,85.1304473876953,1.04235119289822,-3.1667849222819,0.019416481256485,-6.18466911315918,-9.05492292131696,5.89029121398926,-5.67228359646267,10.1551856994629,7.13913536071777,-0.486477899551392,6.31986018589565,-2.68697905540466,0.0582145303487778,0.983992781490088,0.334340363740921,0.523705400526524,0.843398831784725,0.82827290892601,0.64682811498642,2.04998496143768,16.7170181870461,5.23705400526524,6.02427736989089,10.3534113615751,0.36170213,0.59090909,0.47252747,0.47058824,0.84615385,0.69767442,0.48351648,13,90.8065091646635,15.9564525897686,1,0.07692308,109.274,5,0.38461538,"2024-08-26",0
"Bryce Miller",29837,"2024-08-20","@LAD",11,2024,"SEA","A",25,0,0,4.5,1,1,0,0,0,0,0,0,4,19,5,2,2,2,2,0,0,0,0,5,11.25,4.5,11.25,2.5,0,0,3,7,2,0,0,0,0,0.26315789,0.10526316,0.15789474,4.34547423267722,4.5,0.294117647058824,1.75,0.3,1,8.66647977828979,-4.16647977828979,4.81249448917806,119.079254268614,221.61511826088,117.877697564165,0.428571428,0.166666666,0.25,0.583333333,0,0.285714285,3,6.75,37,55,92,-0.0055999867618084,-0.344599992036819,0.339000016450882,-0.0880000293254852,-0.00931216683238745,0.90105265378952,0.933000028133392,0.910000026226044,1.36000001430511,1,1,-0.156860589981079,0.150645651555165,0,0,0.43478261,95.725,0.22826087,86.28571429,0.14130435,91.53846154,0.07608696,85.28571429,0.11956522,85.81818182,NA,-2.35997819900513,0.137976050376892,0.134161844849586,0.309573799371719,-0.91319477558136,-5.89994549751282,0.657028811318534,1.03201419115067,4.42248284816742,-8.30177068710327,0.36507937,0.72413793,0.47826087,0.65217391,0.9047619,0.77272727,0.31521739,0.42105263,0.10869565,1,9,2,0,7,5,12,0.08333333,0.75,0.16666667,0,0.58333333,0.41666667,7.57419030808979,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.48,110.96,116.92,98.24,42.7,31.38,106.734285714286,79.4447619047619,86.7266666666667,119.64,115.48,117.26,91.16,70.82,74.16,121.24,134.86,145.1,105.169782608696,97.5860869565217,102.732173913043,0.39130435,0.14130435,0.11956522,0.04347826,0.22826087,0.07608696,95.7472195095486,91.484619140625,85.7999988902699,96,86.2714262462798,85.3857160295759,-3.08262401156955,1.13522192148062,-5.69219589233398,-8.69610786437988,2.85862895420619,0.101318538188934,10.2610100640191,5.89576193002554,0.0574836676770991,6.55579710006714,-0.316304819924491,-2.79840687343052,-2.55208111554384,0.132207226008177,-0.918479260057211,0.158981148153543,0.133729819208384,0.289231278002262,-7.08911420984401,1.01697866160136,-8.34981145506555,3.97452870383859,0.636808662897065,4.13187540003232,0.31666667,0.78125,0.47826087,0.57894737,0.92,0.77272727,0.34782609,21.5890411,0.07608696,0.39130435,0.14130435,0.11956522,0.04347826,0.22826087,85.2710396902902,95.6558430989583,91.3790377103365,85.6937144886364,95.8932495117188,86.1604527064732,0.45248556137085,-2.85901684231228,1.56490824772761,-5.66863285411488,-8.27907276153564,3.19619896298363,-4.4227728162493,9.49819861518012,5.37195058969351,-1.18559663945978,5.73193502426147,-1.44462521870931,0.289231278002262,-2.55208111554384,0.132207226008177,-0.918479260057211,0.158981148153543,0.133729819208384,4.13187540003232,-7.08911420984401,1.01697866160136,-8.34981145506555,3.97452870383859,0.636808662897065,0.3220339,0.75757576,0.47826087,0.57894737,0.92,0.77272727,0.35869565,12,94.9523417154948,22.3203837076823,2,0.16666667,109.799,6,0.5,"2024-08-20",0
"Bryce Miller",29837,"2024-08-15","@DET",11,2024,"SEA","A",25,0,0,0,1,1,1,0,0,0,0,0,7,23,2,0,0,0,0,0,0,0,0,9,11.5714285714286,0,2.57142857142857,9,0,0,4,8,2,3,0,0,0,0.39130435,0,0.39130435,1.92754383551055,0,0.0869565217391304,0.285714285714286,0.142857142857143,1,0.595051206861223,-0.595051206861223,2.32306081397193,0,13.4344135168153,55.9466380661726,0.5,0.142857142,0.285714285,0.571428571,0.375,0,1,1.28571428571429,29,61,90,0.492904037237167,-0.0685679912567139,0.561472058296204,3.35999989509583,0.354430377483368,1.03954994678497,1.29114294052124,0.923600018024445,2.46560001373291,1,1,0.446858048439026,0.027293327126503,0,0,0.54444444,95.30612245,0.08888889,87,NA,NA,0.11111111,84.9,0.25555556,85.52173913,NA,2.82034015655518,0.241052716970444,NA,0.191231191158295,1.05810225009918,5.75579623786771,3.01315896213055,NA,1.91231191158295,4.60044456564862,0.36734694,0.73170732,0.53333333,0.61111111,0.76666667,0.70833333,0.45555556,0.60869565,0.15555556,9,2,3,5,8,1,14,0.64285714,0.14285714,0.21428571,0.35714286,0.57142857,0.07142857,-0.208423860525543,86,70.55917,54.95529,70.30776,26.8341,37.98875,33.52668,55.36659,45.11059,59.16393,69.05047,45.46433,70.6954,NA,NA,NA,73.87595,64.95005,76.02919,67.94287,54.11066,70.71892,-0.98931,2.59313,104.26,130.74,138.62,115.04,100.12,116.74,91.72,95.46,101.7,90.32,122.68,115.32,NA,NA,NA,115.1,134.74,137.18,105.444666666667,124.668666666667,130.193333333333,0.44444444,NA,0.25555556,0.1,0.08888889,0.11111111,95.3299987792969,NA,85.504346764606,94.7777777777778,86.9749984741211,84.7899963378906,-4.25489616394043,NA,-7.01212144934613,-9.10530514187283,0.778587102890015,0.774586391448975,10.2678466796875,NA,0.995723558508832,6.53162553575304,1.70887458324432,-3.62843208312988,2.02256109565496,NA,1.06800259649754,0.813546162098646,0.242718622088432,0.192089173942804,5.05640273913741,NA,4.64348954998929,9.03940180109607,3.0339827761054,1.92089173942804,0.26190476,0.77083333,0.53333333,0.54545455,0.75675676,0.70833333,0.53333333,19.21212121,0.11111111,0.44444444,NA,0.25555556,0.1,0.08888889,84.6999328613281,95.2621826171875,NA,85.4243535580842,94.6899685329861,86.8930740356445,1.45096206665039,-3.77032241821289,NA,-6.56495467476223,-8.55534023708767,1.54866695404053,-4.91205902099609,9.48467330932617,NA,-0.35767882803212,5.48680538601345,0.715063095092773,0.192089173942804,2.02256109565496,NA,1.06800259649754,0.813546162098646,0.242718622088432,1.92089173942804,5.05640273913741,NA,4.64348954998929,9.03940180109607,3.0339827761054,0.275,0.74,0.53333333,0.54545455,0.75675676,0.70833333,0.55555556,14,83.347159249442,28.1578085763114,0,0,99.1582,3,0.21428571,"2024-08-15",0
