"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CH%","CHv","wFB","wSL","wCH","wFB/C","wSL/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxSL%","pfxCH%","pfxvFA","pfxvSI","pfxvSL","pfxvCH","pfxFA-X","pfxSI-X","pfxSL-X","pfxCH-X","pfxFA-Z","pfxSI-Z","pfxSL-Z","pfxCH-Z","pfxwFA","pfxwSI","pfxwSL","pfxwCH","pfxwFA/C","pfxwSI/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFC%","piFS%","piSI%","piSL%","piXX%","pivCH","pivFC","pivFS","pivSI","pivSL","pivXX","piCH-X","piFC-X","piFS-X","piSI-X","piSL-X","piXX-X","piCH-Z","piFC-Z","piFS-Z","piSI-Z","piSL-Z","piXX-Z","piwCH","piwFC","piwFS","piwSI","piwSL","piwXX","piwCH/C","piwFC/C","piwFS/C","piwSI/C","piwSL/C","piwXX/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Brent Suter",13942,"2024-09-29","@CHC",18,2024,"CIN","A",34,0,0,0,1,0,0,0,0,0,0,0,1.1,5,1,0,0,0,0,0,0,0,0,0,0,0,6.75000160932579,0,0,1,1,3,0,0,0,1,1,0,0,0,7.74112908401489,0,0.2,0.750000178813977,0.2,1,3.1664797782898,-3.1664797782898,6.5684995033937,0,73.6482366464374,160.522026728569,0.333333333,0,0.25,0.75,0,0,0,0,5,8,13,0.119772002100945,-0.0204640049487352,0.140236005187035,0.685000002384186,0.0734190791845322,1.23280000686646,1.42439997196198,1.26440000534058,1.79320001602173,1,1,0.0784403458237648,0.0187141005047864,1,0,0.46153846,84.83333333,0.15384615,75.5,0.38461538,73.6,0.615763604640961,-0.501343965530396,0.383182406425476,10.262726744016,-25.0671982765198,7.66364812850952,0.25,0.8,0.46153846,1,0.75,0.83333333,0.38461538,0.8,0.07692308,2,1,2,1,4,0,5,0.4,0.2,0.4,0.2,0.8,0,0.993519541401004,NA,41.05171,71.47712,24.25338,30.95318,65.37914,20,80,41.94351,80,50.25227,39.5325,66.508,42.32943,63.91076,28.80899,0.60196,4.98003,100.58,76.56,80.84,101.42,33.04,51.34,83.66,143.24,144.46,88.8,118.16,96.46,97.7892307692308,71.3507692307692,76.7907692307692,0.30769231,0.15384615,0.15384615,0.38461538,84.625,85.5999984741211,75.3999938964844,73.5799987792969,-1.24517071247101,4.03743267059326,-0.942755460739136,6.33779754638672,7.98013973236084,10.2406215667725,0.0704487562179565,6.25034065246582,0.544659696519375,0.0787287354469299,-0.50928820669651,0.387722995132208,13.6164924129844,3.9364367723465,-25.4644103348255,7.75445990264416,0.33333333,0.57142857,0.46153846,1,0.75,0.83333333,0.53846154,14,0.38461538,0.38461538,NA,0.07692308,0.15384615,NA,74.2485412597656,85.2014587402344,NA,87.6990966796875,76.0258026123047,NA,5.26155395507813,-1.91773548126221,NA,5.20550012588501,-2.25838899612427,NA,5.07817611694336,7.43139190673828,NA,7.49889993667603,-1.53232896327972,NA,0.387722995132208,0.58402406424284,NA,0.039364367723465,-0.50928820669651,NA,7.75445990264416,11.6804812848568,NA,3.9364367723465,-25.4644103348255,NA,0.2,0.625,0.46153846,1,0.8,0.83333333,0.61538462,5,71.3359069824219,33.9831428527832,0,0,90.012,0,0,"2024-09-29",0
"Brent Suter",13942,"2024-09-22","PIT",18,2024,"CIN","H",34,0,0,0,1,0,0,0,0,0,0,0,1,6,2,0,0,0,1,0,0,0,0,1,9,9,18,1,0,0,1,1,2,0,0,0,0,0.16666667,0.16666667,0,5.73367352628778,0,0.4,3,0.5,1,4.1664797782898,-4.1664797782898,5.67848818451166,0,96.3754543882264,139.014259199392,1,0.5,0.25,0.25,0,0,0,0,13,18,31,0.0215300060808659,-0.0293299928307533,0.0508599989116192,0.560999989509583,0.0530496500432491,0.596000015735626,0.344999998807907,0.344999998807907,NA,0,1,-0.000171616906300187,0.0362957872291683,0,0,0.74193548,87.08695652,0.03225806,77,0.22580645,74,-0.595820486545563,-0.0207000374794006,0.102909684181213,-2.59052385454593,-2.07000374794006,1.47013834544591,0.21052632,0.75,0.41935484,0.75,0.88888889,0.84615385,0.38709677,0.5,0.06451613,1,1,2,1,2,1,4,0.25,0.25,0.5,0.25,0.5,0.25,8.89283975306156,NA,78.7016,80,66.99006,41.18108,63.24069,33.88065,63.21279,36.7937,76.06694,20,45.66107,25.91458,58.85784,57.46778,62.33228,-0.42489,3.43976,119.52,121.68,128.86,118,58.66,68.54,115.22,91.84,87.54,103.26,96.24,66.2,116.881290322581,85.8761290322581,88.8270967741935,0.38709677,0.35483871,0.03225806,0.22580645,85.3250020345052,88.9272738370028,77.4000015258789,73.8857160295759,-1.31378531455994,7.04995727539062,0.0919948667287827,5.95623070853097,6.72602653503418,7.54908475008878,-0.731763064861298,7.05161939348493,-0.82460194081068,0.214168827980757,-0.0210469514131546,0.103788767009974,-6.871682840089,1.94698934527961,-2.10469514131546,1.48269667157105,0.22222222,0.69230769,0.41935484,0.75,0.88888889,0.84615385,0.41935484,16.16,0.22580645,0.38709677,NA,0.35483871,0.03225806,NA,74.2545689174107,85.716318766276,NA,89.3318370472301,77.7406005859375,NA,5.13061141967773,-2.37398465474447,NA,6.11048542369496,-1.37627995014191,NA,5.66599600655692,5.72609647115072,NA,6.44219554554332,-2.27542996406555,NA,0.103788767009974,-0.82460194081068,NA,0.214168827980757,-0.0210469514131546,NA,1.48269667157105,-6.871682840089,NA,1.94698934527961,-2.10469514131546,NA,0.125,0.73333333,0.41935484,0.5,0.90909091,0.84615385,0.48387097,4,95.0836944580078,8.59158420562744,0,0,109.738,2,0.5,"2024-09-22",0
"Brent Suter",13942,"2024-09-20","PIT",18,2024,"CIN","H",34,0,0,9,1,0,0,0,0,0,0,0,1,6,3,1,1,1,1,0,0,0,0,0,0,9,27,0,0,0,1,4,0,0,0,0,0,0,0.16666667,-0.16666667,10.1782290741489,9,0.6,4,0.5,1,19.1664797782898,-10.1664797782898,12.2145134031773,205.19992942694,437.283720515063,296.962038048404,0.25,0,0.2,0.8,0,0.25,0,0,8,12,20,0.00155000621452928,-0.0173299852758646,0.0188799910247326,-0.43900004029274,-0.0415130034089088,0.189166665077209,0.0710000023245811,0.0710000023245811,0.0820000022649765,1,1,-0.0800113454461098,0.0882052109662141,0,0,0.65,86.61538462,0.1,79.5,0.25,75.6,-0.67182856798172,-1.4983321428299,0.0350964926183224,-5.16791206139785,-74.9166071414948,0.701929852366447,0.2,0.7,0.45,1,1,1,0.5,0.83333333,0,1,2,2,1,2,2,5,0.2,0.4,0.4,0.2,0.4,0.4,14.4441110104592,NA,37.60122,69.02786,34.78045,28.96994,58.4547,21.41098,65.00255,38.95088,80,20,45.49015,20,30.25876,55.00092,37.01897,1.35186,6.10488,96.28,93.24,90.86,108,6.47999999999999,26.48,106.82,176.16,192.34,89.18,31.14,27.06,102.893,73.056,84.098,0.4,0.25,0.1,0.25,85.6750030517578,88.2599975585938,79.4499969482422,75.5599975585938,-1.69240045547485,6.67454833984375,-0.942474842071533,6.06377754211426,7.56476020812988,7.77564239501953,0.507683396339417,7.70247039794922,-1.08940292522311,0.386360786855221,-1.50146423280239,0.0339519828557968,-13.6175365652889,7.72721573710442,-75.0732116401196,0.679039657115936,0.11111111,0.72727273,0.45,1,1,1,0.55,14.92857143,0.25,0.4,NA,0.25,0.1,NA,75.9738403320312,86.0839996337891,NA,88.6697998046875,79.8770980834961,NA,5.23597984313965,-2.68500757217407,NA,5.71322021484375,-2.1794900894165,NA,6.20594024658203,6.39111518859863,NA,6.61205978393555,-1.4208869934082,NA,0.0339519828557968,-1.08940292522311,NA,0.386360786855221,-1.50146423280239,NA,0.679039657115936,-13.6175365652889,NA,7.72721573710442,-75.0732116401196,NA,0.1,0.8,0.45,1,1,1,0.5,5,85.1034423828125,33.0447387695312,1,0.2,106.742,1,0.2,"2024-09-20",0
"Brent Suter",13942,"2024-09-17","ATL",18,2024,"CIN","H",34,1,0,0,1,0,0,0,0,0,0,0,0.1,2,1,0,0,0,0,0,0,0,0,0,0,0,27.000028163224,0,0,0,0,1,1,0,0,0,0,0,0,0,8.41372908401489,0,0.5,3.00000312924711,0.5,1,3.1664797782898,-3.1664797782898,7.70250972840334,0,73.6482366464374,187.926204380887,0,0.5,0,0.5,0,0,2,54.0000563264481,0,3,3,0.042239997535944,-0.0180099904537201,0.0602499879896641,0.34799998998642,0.0329077988862991,1.76499998569489,0.717000007629395,1.43400001525879,2.1710000038147,1,1,0.0161859560757875,0.00774605405355757,0,0,1,85.33333333,NA,NA,NA,NA,-0.214129656553268,NA,NA,-7.13765521844228,NA,NA,1,0.5,0.66666667,1,1,1,0.66666667,1,0,0,1,1,0,2,0,2,0,0.5,0.5,0,1,0,9.6352202799277,NA,NA,NA,NA,80,51.62821,80,80,65.84397,80,NA,NA,NA,80,55.05505,80,-4.02282,-1.95714,NA,NA,NA,99.02,147.48,155.9,107.18,147.64,154.84,NA,NA,NA,104.46,147.586666666667,155.193333333333,0.33333333,0.66666667,NA,NA,84.4000015258789,85.75,NA,NA,-0.521501362323761,6.06313705444336,NA,NA,7.49110746383667,7.3285870552063,NA,NA,0.252764463424683,-0.471209853887558,NA,NA,25.2764463424683,-23.5604926943779,NA,NA,NA,0.66666667,0.66666667,NA,1,1,1,15,NA,0.33333333,NA,0.66666667,NA,NA,NA,84.4247970581055,NA,85.7235488891602,NA,NA,NA,-1.42885994911194,NA,5.4444751739502,NA,NA,NA,6.41218996047974,NA,6.04349517822266,NA,NA,NA,0.252764463424683,NA,-0.471209853887558,NA,NA,NA,25.2764463424683,NA,-23.5604926943779,NA,NA,NA,0.66666667,0.66666667,NA,1,1,1,2,80.9621887207031,33.4989738464355,0,0,92.4245,0,0,"2024-09-17",0
"Brent Suter",13942,"2024-09-14","@MIN",18,2024,"CIN","A",34,0,0,0,1,0,0,0,0,1,0,0,3,11,2,0,0,0,0,0,1,0,0,2,6,0,6,2,0,0,3,3,2,0,0,0,0,0.18181818,0,0.18181818,3.51562165597379,0,0.2,0.666666666666667,0.25,1,2.83314644495646,-2.83314644495646,4.34515485117833,0,66.0724973991743,106.793294405082,1,0.25,0.375,0.375,0,0,1,3,15,33,48,0.00185999996028841,-0.00310400011949241,0.00496400007978082,1.45200002193451,0.152201250195503,0.0196363646537066,0.0157333333045244,0.0372000001370907,NA,0,1,-0.0613762736320496,0.156098488924446,0,0,0.66666667,86.15625,0.16666667,77.75,0.16666667,75.125,0.417977511882782,-0.136859491467476,0.749572932720184,1.30617972463369,-1.71074364334345,9.3696616590023,0.40740741,0.71428571,0.54166667,0.81818182,1,0.92307692,0.4375,0.54545455,0.04166667,4,0,4,1,5,2,8,0.5,0,0.5,0.125,0.625,0.25,3.91035296239678,NA,51.11285,69.4323,36.63823,73.99725,60.23835,73.09435,20,45.69901,22.09133,32.35631,29.4753,46.83268,53.57394,53.14418,53.08917,-0.09662,3.93216,94.6,114.26,116.6,111.44,122.88,149.28,111.78,51.3,53.28,87.38,115.44,81.9,104.687083333333,106.782083333333,114.603333333333,0.47916667,0.1875,0.16666667,0.16666667,85.5956500509511,87.5444471571181,77.5750045776367,74.9875030517578,-1.350725505663,6.99869283040365,-1.55817127227783,5.74703741073608,7.28389375106148,7.83882649739583,-0.927136480808258,6.369309425354,0.619221244007349,-0.158199779689312,-0.136938408017159,0.761890139430761,2.69226627829282,-1.75777532988124,-1.71173010021448,9.52362674288452,0.375,0.70833333,0.54166667,0.77777778,1,0.92307692,0.5,14.64864865,0.16666667,0.47916667,NA,0.1875,0.16666667,NA,74.9417114257812,85.5689644191576,NA,87.524909125434,77.5312957763672,NA,4.84281730651855,-2.50337351923404,NA,6.18806542290582,-2.89873623847961,NA,5.46688604354858,6.41332609757133,NA,7.02116436428494,-2.42057132720947,NA,0.761890139430761,0.619221244007349,NA,-0.158199779689312,-0.136938408017159,NA,9.52362674288452,2.69226627829282,NA,-1.75777532988124,-1.71173010021448,NA,0.39130435,0.68,0.54166667,0.77777778,1,0.92307692,0.52083333,8,84.9227447509766,13.9909372329712,1,0.125,99.5832,2,0.25,"2024-09-14",0
"Brent Suter",13942,"2024-09-11","@STL",18,2024,"CIN","A",34,0,0,0,1,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13.2527290840149,0,0,0,0,1,3.1664797782898,-3.1664797782898,7.70250972840334,0,73.6482366464374,187.926204380887,0,0,0,1,1,0,0,0,3,3,6,0.0407799817621708,0,0.0407799817621708,0.219999998807907,0.023206751793623,1.4728000164032,0.736400008201599,1.4728000164032,1.79919993877411,1,1,0.0276887435466051,-1.2727672735191e-10,0,0,0.66666667,86.25,0.16666667,78,0.16666667,74,0.385146230459213,-0.0879258811473846,-0.04739710688591,9.62865576148033,-8.79258811473846,-4.739710688591,0.25,0.5,0.33333333,1,1,1,0.33333333,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,-2.38491364534094,NA,20,58.15288,20,80,53.25368,80,NA,NA,NA,80,32.11166,80,80,48.42355,80,-2.47337,0.36704,95.24,6.88000000000001,8.56,91.14,161.78,187.24,NA,NA,NA,104.86,222.04,175,94.11,146.006666666667,155.42,0.66666667,NA,0.16666667,0.16666667,86.3000030517578,NA,77.8000030517578,74,-0.991869211196899,NA,-0.824229598045349,5.43129205703735,7.8998589515686,NA,-0.692164301872253,5.86184120178223,0.390882570296526,NA,-0.0897959321737289,-0.0483221560716629,9.77206425741315,NA,-8.97959321737289,-4.83221560716629,0.25,0.5,0.33333333,1,1,1,0.33333333,16,0.16666667,0.66666667,NA,NA,0.16666667,NA,74.219596862793,86.5502777099609,NA,NA,78.0473022460938,NA,4.80845022201538,-2.00109648704529,NA,NA,-1.96280002593994,NA,5.15720987319946,6.89058017730713,NA,NA,-2.61298990249634,NA,-0.0483221560716629,0.390882570296526,NA,NA,-0.0897959321737289,NA,-4.83221560716629,9.77206425741315,NA,NA,-8.97959321737289,NA,0,0.66666667,0.33333333,NA,1,1,0.5,1,53.4120635986328,52.0718765258789,0,0,53.4121,0,0,"2024-09-11",0
"Brent Suter",13942,"2024-09-10","@STL",18,2024,"CIN","A",34,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2.31606242325356,0,0,0,0,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,73.6482366464374,78.3097583844777,2,0.333333333,0.666666666,0,0,0,0,0,2,5,7,0.0483280010521412,0,0.0483280010521412,0.479999989271164,0.0506329126656055,0.641199946403503,1.0103999376297,1.0103999376297,0.870400011539459,1,1,0.0757260248064995,-0.000354837826192625,0,0,0.71428571,86.6,0.14285714,78,0.14285714,75,0.724090814590454,0.0389156937599182,-0.04739710688591,14.4818162918091,3.89156937599182,-4.739710688591,0.33333333,0.5,0.42857143,1,1,1,0.57142857,0.66666667,0,1,1,1,0,1,2,3,0.33333333,0.33333333,0.33333333,0,0.33333333,0.66666667,6.67242761573905,NA,20,66.41418,20,35.83262,58.4846,27.36446,71.27575,68.51847,80,80,29.70609,80,40.52287,55.21494,41.46745,0.71419,5.14838,97.58,24.26,27.56,102.68,58.6,78.14,91.74,107.04,92.58,85.6,171.96,173.78,97.9485714285714,76.8085714285714,86.64,0.57142857,0.14285714,0.14285714,0.14285714,86.1750030517578,88.3000030517578,77.9000015258789,75.3000030517578,-0.771780610084534,6.10415649414062,-2.4555823802948,6.47908306121826,8.83088874816895,9.02761650085449,-0.547123372554779,7.55591773986816,0.47780155017972,0.255611628293991,0.039364367723465,-0.0483221560716629,11.945038754493,25.5611628293991,3.9364367723465,-4.83221560716629,0.33333333,0.5,0.42857143,1,1,1,0.57142857,11,0.14285714,0.57142857,NA,0.14285714,0.14285714,NA,75.5178985595703,86.38671875,NA,88.5180969238281,78.0693969726562,NA,5.46393013000488,-2.10937809944153,NA,5.02376985549927,-3.54426002502441,NA,6.65272998809814,7.39092254638672,NA,7.73818016052246,-1.69542002677917,NA,-0.0483221560716629,0.47780155017972,NA,0.255611628293991,0.039364367723465,NA,-4.83221560716629,11.945038754493,NA,25.5611628293991,3.9364367723465,NA,0.33333333,0.5,0.42857143,1,1,1,0.57142857,3,89.5347493489583,-5.65902964274089,0,0,98.2442,2,0.66666667,"2024-09-10",0
"Brent Suter",13942,"2024-09-04","HOU",18,2024,"CIN","H",34,0,0,2.70000025749209,1,0,0,0,0,1,0,0,3.1,13,3,1,1,1,0,0,0,0,0,6,16.2000015449525,0,8.10000077247627,6,0,0,3,4,0,0,0,0,0,0.46153846,0,0.46153846,0.843699501615786,2.70000025749209,0.230769230769231,0.900000085830697,0.333333333333333,1,3.46647980690003,-0.766479549407938,1.3808896954689,61.5599846988996,80.4664026192051,35.1596819877464,0.75,0,0.428571428,0.571428571,0,0.25,0,0,12,33,45,0.00707000494003296,-0.00794004183262587,0.0150100467726588,0.220999926328659,0.0208983421325684,0.053307693451643,0.0681333318352699,0.0820000022649765,NA,0,1,0.0758875757455826,0.0567387767047701,0,0,0.55555556,84.76,0.24444444,75.81818182,0.2,73.22222222,-1.02661526203156,0.564613521099091,0.671802401542664,-4.10646104812622,5.13285019180991,7.46447112825182,0.58333333,0.85,0.70454545,0.57142857,0.82352941,0.70967742,0.45454545,0.61538462,0.2,3,4,0,1,1,5,7,0.42857143,0.57142857,0,0.14285714,0.14285714,0.71428571,2.26213597558822,NA,57.08206,74.7849,41.70048,77.35807,63.56597,80,57.46525,58.22248,69.83105,43.3211,35.10482,43.89968,66.30328,59.75497,66.4785,-0.88745,2.74592,100.7,142.14,141.6,114.08,129.36,138.58,134.7,94.64,105.22,90.72,107.3,87.7,107.984888888889,122.665777777778,123.04,0.44444444,0.11111111,0.24444444,0.2,84.6299987792969,84.9,76.0181829279119,73.0555555555556,-1.53446416854858,7.36527709960937,-1.66875977949663,5.9662471347385,7.22598266601562,8.45288619995117,-0.633036873557351,6.56826655069987,0.0599724501371384,-1.08690391108394,0.570331569761038,0.679505739361048,0.299862250685692,-21.7380782216787,5.18483245237307,7.55006377067831,0.54545455,0.82608696,0.68888889,0.5,0.78947368,0.67741935,0.51111111,16.5,0.2,0.44444444,NA,0.11111111,0.24444444,NA,73.1942884657118,84.7700378417969,NA,85.063818359375,76.1699884588068,NA,5.42070897420247,-2.55700912475586,NA,6.58378982543945,-2.82619181546298,NA,5.32405344645182,6.16244659423828,NA,7.26469802856445,-2.36604725230824,NA,0.679505739361048,0.0599724501371384,NA,-1.08690391108394,0.570331569761038,NA,7.55006377067831,0.299862250685692,NA,-21.7380782216787,5.18483245237307,NA,0.57142857,0.79166667,0.68888889,0.41666667,0.84210526,0.67741935,0.53333333,7,91.6889299665179,11.9019208635603,1,0.14285714,103.381,3,0.42857143,"2024-09-04",0
"Brent Suter",13942,"2024-09-01","MIL",18,2024,"CIN","H",34,0,0,0,1,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0,0,0,0,0,0,0,6.35080315771215,0,0,0,0,1,3.1664797782898,-3.1664797782898,5.18249098658562,0,73.6482366464374,127.028128010054,0.75,0.222222222,0.333333333,0.444444444,0,0,0,0,6,21,27,0.582870006561279,0,0.582870006561279,2.31900000572205,0.219290778040886,2.13899993896484,2.27366662025452,1.87199997901917,2.56299996376038,1,1,0.248702824115753,0.0237936804158719,1,0,0.81481481,86.77272727,NA,NA,0.18518519,75.8,2.27124094963074,NA,0.0396096222102642,10.3238224983215,NA,0.792192444205284,0.22222222,0.66666667,0.51851852,1,1,1,0.66666667,0.77777778,0,2,3,4,1,7,1,9,0.22222222,0.33333333,0.44444444,0.11111111,0.77777778,0.11111111,4.19289040039691,NA,56.22109,75.24175,55.31968,80,58.607,80,43.84072,42.64796,61.35933,NA,NA,NA,73.18755,55.99583,80,-1.31515,2.10437,117.12,91.76,96.08,111.74,114.92,125.16,102.66,81.76,67.08,NA,NA,NA,110.718518518519,103.262222222222,106.868148148148,0.59259259,0.22222222,NA,0.18518519,86.0437469482422,88.4000040690104,NA,75.7599975585938,-0.750646471977234,6.2733465830485,NA,5.8304256439209,7.63659143447876,7.30202356974284,NA,7.48918914794922,1.26610660180449,1.05743650346994,NA,0.0398233942687511,7.91316626127809,17.6239417244991,NA,0.796467885375023,0.16666667,0.61904762,0.51851852,1,1,1,0.77777778,14.5,0.18518519,0.59259259,NA,0.22222222,NA,NA,75.7228637695312,86.0163803100586,NA,88.3847147623698,NA,NA,4.91531791687012,-1.7908775806427,NA,5.3538449605306,NA,NA,5.9233039855957,6.64492988586426,NA,6.20832824707031,NA,NA,0.0398233942687511,1.26610660180449,NA,1.05743650346994,NA,NA,0.796467885375023,7.91316626127809,NA,17.6239417244991,NA,NA,0.14285714,0.65,0.51851852,1,1,1,0.74074074,9,83.0244411892361,12.7906884087457,0,0,99.4006,1,0.11111111,"2024-09-01",0
"Brent Suter",13942,"2024-07-19","@WSN",18,2024,"CIN","A",34,0,0,0,1,0,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,13.500014081612,0,0,1,0,0,1,0,0,0,0,0,0,0.5,0,0.5,-0.528020915985107,0,0,0,0,1,0.166476649042681,-0.166476649042681,0.166476649042681,0,5.46651230198958,5.81251197675874,1,0,1,0,0,0,0,0,2,5,7,0.00220396765507758,0,0.00220396765507758,0.334000021219254,0.034683283418417,0.0433999970555305,0.0450666658580303,0.0383999980986118,0.0383999980986118,1,1,0.0507447570562363,3.79112526483483e-05,0,0,0.85714286,83.83333333,0.14285714,80,NA,NA,0.525794923305511,-0.04739710688591,NA,8.76324872175853,-4.739710688591,NA,0,0.8,0.57142857,NA,0.25,0.25,0.71428571,1,0.42857143,1,0,0,0,1,0,1,1,0,0,0,1,0,-0.988530091632254,NA,NA,NA,NA,75.52669,60.78143,80,20,61.54993,33.39877,47.00477,22.05753,64.1648,58.91828,47.08289,80,-0.42865,3.43412,NA,NA,NA,130.68,126.92,163.52,98.18,61.72,48.58,95.86,83.94,87.72,116.088571428571,105.325714285714,125.442857142857,0.57142857,0.14285714,0.28571429,NA,83.5500030517578,85.5,80.6999969482422,NA,-1.31780791282654,7.98712301254272,0.667052328586578,NA,8.07458114624023,10.1662483215332,4.95204544067383,NA,0.517159968614578,-0.0242429338395596,-0.00895778834819794,NA,12.9289992153645,-2.42429338395596,-0.447889417409897,NA,0,0.8,0.57142857,NA,0.25,0.25,0.71428571,10.8,NA,0.71428571,NA,0.14285714,0.14285714,NA,NA,82.9204040527344,NA,85.2848968505859,79.706298828125,NA,NA,-1.9784236907959,NA,7.05389022827148,-1.59736001491547,NA,NA,7.02058792114258,NA,8.53559970855713,-0.285932987928391,NA,NA,0.556524336338043,NA,-0.0242429338395596,-0.0483221560716629,NA,NA,11.1304867267609,NA,-2.42429338395596,-4.83221560716629,NA,0,0.8,0.57142857,NA,0.25,0.25,0.71428571,1,80.2265319824219,-2.52466726303101,0,0,80.2265,0,0,"2024-07-19",0
