"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","SF%","SFv","XX%","wFB","wSL","wSF","wFB/C","wSL/C","wSF/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FS","pb_s_FS","pb_c_FS","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FS","sp_l_FS","sp_p_FS","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFS%","pfxSL%","pfxvFA","pfxvFS","pfxvSL","pfxFA-X","pfxFS-X","pfxSL-X","pfxFA-Z","pfxFS-Z","pfxSL-Z","pfxwFA","pfxwFS","pfxwSL","pfxwFA/C","pfxwFS/C","pfxwSL/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piSL%","pivCH","pivFA","pivSL","piCH-X","piFA-X","piSL-X","piCH-Z","piFA-Z","piSL-Z","piwCH","piwFA","piwSL","piwCH/C","piwFA/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Christian Scott",30107,"2024-07-21","@MIA",25,2024,"NYM","A",25,0,1,6.75,1,1,0,0,0,0,0,0,4,21,7,3,3,1,2,0,0,0,0,4,9,4.5,15.75,2,0,0,2,9,3,0,0,1,0,0.19047619,0.0952381,0.0952381,5.59842296424854,2.25,0.368421052631579,2.25,0.428571428571429,0.78947368,5.9164797782898,0.833520221710205,6.06849869228899,170.306136773351,145.652554927723,148.439145329771,0.222222222,0.214285714,0.142857142,0.642857142,0,0.111111111,2,4.5,25,51,76,-0.163019984960556,-0.543319940567017,0.380299985408783,-0.911999940872192,-0.0907462611794472,1.33876192569733,0.991500020027161,0.870000004768372,0.851999998092651,1,1,-0.0944572314620018,-0.0273119806969436,0,0,0.48,93.97222222,0.42666667,85.625,0.09333333,84,0.01315789,-0.130413830280304,-1.95385980606079,0.198597893118858,-0.362260639667511,-6.10581189393997,2.83711275884083,0.44444444,0.76666667,0.57333333,0.7,0.7826087,0.74418605,0.4,0.61904762,0.14473684,3,5,7,2,8,5,15,0.2,0.33333333,0.46666667,0.13333333,0.53333333,0.33333333,5.66161598060394,35,58.44087,55.1873,51.91718,56.4474,55.61902,53.69055,48.18948,52.97373,55.76039,58.36117,57.02332,54.03212,-0.39404,3.48603,106.44,111.06,111.96,102.295,98.6775,104.725,94.58,111.9,113.56,103.525675675676,105.784864864865,108.982702702703,0.48,0.09333333,0.42666667,93.9555528428819,84.0857195172991,85.6624984741211,-6.64776017930773,-8.79406901768276,3.47059893608093,9.138916015625,1.5393134525844,2.85592746734619,-0.114925723522902,0.199902847409248,-1.97183386608958,-0.319238120896949,2.85575496298926,-6.16198083152995,0.37837838,0.76315789,0.57333333,0.64285714,0.79310345,0.74418605,0.50666667,19.62962963,0.09333333,0.48,0.42666667,84.1029139927455,93.9944525824653,85.6779937744141,-8.0840699332101,-5.76853349473741,4.72344303131104,0.107863851955959,8.00659349229601,1.30253350734711,0.199902847409248,-0.130335316061974,-1.97183386608958,2.85575496298926,-0.362042544616593,-6.16198083152995,0.37837838,0.76315789,0.57333333,0.64285714,0.79310345,0.74418605,0.50666667,15,88.2700718470982,26.8548017229353,2,0.13333333,106.909,4,0.26666667,"2024-07-21",0
"Christian Scott",30107,"2024-07-13","COL",25,2024,"NYM","H",25,0,0,6.23076968785577,1,1,0,0,0,0,0,0,4.1,21,7,3,3,2,1,0,1,0,0,5,10.3846161464263,2.07692322928526,14.5384626049968,5,0.333333333,0,3,8,3,2,1,0,0,0.23809524,0.04761905,0.19047619,4.13108282082677,4.15384645857051,0.368421052631579,1.8461539815869,0.416666666666667,0.96774194,8.24340322765376,-2.01263353979799,5.0348031268357,157.205676246402,202.228906475586,123.459144012892,0.375,0.214285714,0.214285714,0.571428571,0.25,0.25,4,8.30769291714103,31,51,82,-0.144290044903755,-0.477211982011795,0.332921922206879,-1.57009994983673,-0.170755848288536,0.934690952301025,0.829280018806458,0.870000004768372,2.91880011558533,1,1,-0.217036083340645,0.0626641547919182,0,0,0.58536585,93.6875,0.36585366,84.43333333,0.04878049,82.5,NA,-1.85301530361176,-1.7026447057724,-0.102430574595928,-3.86044854919116,-5.67548235257467,-2.5607643648982,0.25,0.73684211,0.47560976,0.54545455,0.96428571,0.84615385,0.46341463,0.57142857,0.07317073,6,3,5,4,4,6,14,0.42857143,0.21428571,0.35714286,0.28571429,0.28571429,0.42857143,7.28257122798892,34,55.26717,49.58497,51.57054,47.62509,56.42244,44.42439,28.65062,46.93336,31.8318,51.76023,51.3852,48.17152,0.01605,4.10117,86.72,109,100.06,97.8313333333333,105.14,111.362666666667,101.62,111.64,104.02,91.5119512195122,107.716585365854,104.388292682927,0.58536585,0.04878049,0.36585366,93.6354166666667,82.7750015258789,84.4066650390625,-5.56227366129557,-8.09390068054199,4.29657440185547,8.22284062703451,1.74124574661255,2.34264043172201,-1.83704137057066,-0.104953017085791,-1.7119456268847,-3.82716952202221,-2.62382542714477,-5.706485422949,0.23076923,0.69767442,0.47560976,0.55555556,0.93333333,0.84615385,0.52439024,19.65,0.04878049,0.58536585,0.36585366,82.9874725341797,93.8647969563802,84.61015625,-7.69397735595703,-4.87816143035889,5.06091156005859,0.829798996448517,7.66803932189941,1.59583079020182,-0.104953017085791,-1.83704137057066,-1.7119456268847,-2.62382542714477,-3.82716952202221,-5.706485422949,0.21052632,0.70454545,0.47560976,0.5,0.93548387,0.84615385,0.53658537,14,89.6889997209821,19.6217542375837,4,0.28571429,109.436,5,0.35714286,"2024-07-13",0
"Christian Scott",30107,"2024-07-08","@PIT",25,2024,"NYM","A",25,0,0,3.17647094462574,1,1,0,0,0,0,0,0,5.2,19,1,2,2,1,1,0,0,0,0,3,4.7647064169386,1.58823547231287,1.58823547231287,3,0,0,6,9,0,0,0,0,0,0.15789474,0.05263158,0.10526316,4.99036343275937,1.58823547231287,0.0555555555555556,0.352941216069526,0,0,4.93118585863743,-1.75471491401169,5.03849333938232,80.1440733558526,121.696315545865,123.548320669303,0.666666666,0,0.4,0.6,0,0.111111111,2,3.17647094462574,24,53,77,0.0602139793336391,-0.248227998614311,0.308441966772079,1.01700007915497,0.101345285773277,0.774126350879669,0.959200024604797,0.870000004768372,0.683799982070923,1,1,0.248751625418663,-0.17096848411981,0,0,0.57142857,94.38636364,0.35064935,84.25925926,0.07792208,84.33333333,NA,1.91546320915222,1.43065440654755,-0.994205117225647,4.35332547534596,5.29872002425017,-16.5700852870941,0.24242424,0.81818182,0.57142857,0.5,0.88888889,0.81818182,0.57142857,0.68421053,0.1038961,7,4,4,1,10,4,15,0.46666667,0.26666667,0.26666667,0.06666667,0.66666667,0.26666667,3.07419075098721,61,69.67422,54.08505,69.63328,43.28814,64.78912,35.52491,51.51733,40.45361,52.41915,61.9831,57.21999,58.25821,-0.61905,3.14852,101.86,123.92,119.98,98.8222222222222,91.7977777777778,99.8066666666667,95.6,120.72,114.86,100.307012987013,112.407012987013,112.507272727273,0.57142857,0.07792208,0.35064935,94.3045432350852,84.2000020345052,84.1333369502315,-4.90447061712092,-6.52746963500977,5.31788522225839,7.99987584894354,1.62785005569458,2.25512116043656,1.91945184767246,-0.989980291575193,1.48593243211508,4.36239056289196,-16.4996715262532,5.50345345227807,0.21428571,0.7755102,0.57142857,0.5,0.86842105,0.81818182,0.63636364,17.77192982,0.07792208,0.57142857,0.35064935,84.0299479166667,94.1613436612216,83.9616427951389,-6.46740023295085,-4.44788187200373,6.02808125813802,0.933236519495646,7.51511174982244,1.4088372124566,-0.989980291575193,1.91945184767246,1.48593243211508,-16.4996715262532,4.36239056289196,5.50345345227807,0.25806452,0.7826087,0.57142857,0.625,0.86111111,0.81818182,0.5974026,15,89.9134765625,21.89443359375,2,0.13333333,109.612,4,0.26666667,"2024-07-08",0
"Christian Scott",30107,"2024-07-03","@WSN",25,2024,"NYM","A",25,0,0,6.35294188925147,1,1,0,0,0,0,0,0,5.2,24,6,4,4,1,2,0,0,0,0,2,3.17647094462574,3.17647094462574,9.52941283387721,1,0,0,8,6,6,1,0,0,0,0.08333333,0.08333333,0,5.88191658511739,1.58823547231287,0.272727272727273,1.4117648642781,0.263157894736842,0.60606061,5.81353889881124,0.53940299044023,5.1203712511572,160.288146711705,143.149670964086,125.52695965385,1.333333333,0.3,0.4,0.3,0.166666666,0.166666666,5,7.94117736156434,34,65,99,-0.02960797958076,-0.469928026199341,0.440320044755936,-1.15499997138977,-0.11993769556284,0.88046669960022,0.84686666727066,0.870000004768372,0.746800005435944,1,1,-0.0518453344702721,0.0182177372037273,0,0,0.52525253,94.55769231,0.29292929,85.86206897,0.18181818,85.55555556,NA,0.855410814285278,-1.05210912227631,-0.0865373760461807,1.64502079670246,-3.62796249060795,-0.48076320025656,0.31372549,0.70833333,0.50505051,0.75,0.94117647,0.88,0.48484848,0.58333333,0.06060606,8,9,3,4,10,6,20,0.4,0.45,0.15,0.2,0.5,0.3,7.51330781718437,42,50.46482,53.68259,47.95881,61.60016,57.04773,55.87582,31.63273,48.68228,36.8945,49.12543,54.48085,46.42644,0.17974,4.3467,87.94,101.82,90.52,101.569655172414,119.337931034483,122.457931034483,94.64,92.74,86.14,93.1507070707071,105.300606060606,99.0791919191919,0.52525253,0.18181818,0.29292929,94.4442326472356,85.4111124674479,85.7896518049569,-6.60398219181941,-8.05252159966363,2.84397098935884,8.24762315016526,1.7624044418335,3.26929894809065,0.898201201111078,-0.0916251614689827,-1.04460122063756,1.72731000213669,-0.509028674827682,-3.60207317461228,0.28571429,0.66666667,0.50505051,0.66666667,0.94736842,0.88,0.57575758,19.41333333,0.18181818,0.52525253,0.29292929,85.1826578776042,94.2283466045673,85.5591072871767,-7.73008473714193,-5.95556464562049,3.9084806771114,0.723878966437446,7.49002720759465,2.24708478204135,-0.0916251614689827,0.898201201111078,-1.04460122063756,-0.509028674827682,1.72731000213669,-3.60207317461228,0.27906977,0.67857143,0.50505051,0.66666667,0.94736842,0.88,0.56565657,20,89.1367980957031,14.7196258544922,1,0.05,109.582,8,0.4,"2024-07-03",0
"Christian Scott",30107,"2024-05-30","ARI",25,2024,"NYM","H",25,0,0,3.6,1,1,0,0,0,0,0,0,5,20,4,2,2,0,1,0,0,0,0,4,7.2,1.8,7.2,4,0,0,2,10,2,2,0,0,0,0.2,0.05,0.15,5.32226908401489,0,0.210526315789474,1,0.266666666666667,0.6,2.1664797782898,1.4335202217102,5.19049659073353,90.8299396124537,54.4758046300395,127.221589227109,0.2,0.142857142,0.142857142,0.714285714,0.2,0,1,1.8,33,58,91,0.00204201322048903,-0.372606009244919,0.374648034572601,0.294899940490723,0.0320717692375183,0.999647617340088,0.915639996528625,0.870000004768372,0.933000028133392,1,1,0.0906633511185646,-0.088620618074372,0,0,0.52747253,94.04166667,0.35164835,84.3125,0.12087912,84.45454545,NA,0.0841241329908371,0.0654812231659889,0.291064918041229,0.175258610397577,0.204628822393715,2.64604470946572,0.2826087,0.75555556,0.51648352,0.61538462,0.91176471,0.82978723,0.49450549,0.35,0.08791209,3,6,5,3,7,4,15,0.21428571,0.42857143,0.35714286,0.21428571,0.5,0.28571429,1.33179296413495,58,66.22886,52.81147,66.55122,60.57365,62.72061,52.21616,31.62389,56.06833,26.2215,62.4366,58.08284,57.53811,-0.64723,3.10625,97.52,121.3,117.24,105.352903225806,117.41935483871,127.534838709677,97.62,64.26,61.36,100.230222222222,112.991777777778,113.956222222222,0.52747253,0.12087912,0.35164835,93.9729207356771,84.2727272727273,84.328125,-7.12682914733887,-9.50534196333452,4.72263097763062,9.24350738525391,2.02687662298029,3.49026441574097,-0.239421837031841,0.292419727891684,0.0839296728372574,-0.498795493816336,2.65836116265167,0.262280227616429,0.23684211,0.73584906,0.52747253,0.44444444,0.92307692,0.83333333,0.58241758,19.11267606,0.12087912,0.52747253,0.35164835,84.2396018288352,93.9529825846354,84.2997817993164,-8.94931307705966,-6.34745025634766,5.81229066848755,0.873217496004972,8.3252633412679,2.37636065483093,0.292419727891684,-0.239421837031841,0.0839296728372574,2.65836116265167,-0.498795493816336,0.262280227616429,0.21621622,0.74074074,0.52747253,0.375,0.925,0.83333333,0.59340659,15,89.1009358723958,34.9469441731771,2,0.13333333,110.604,6,0.4,"2024-05-30",0
"Christian Scott",30107,"2024-05-24","SFG",25,2024,"NYM","H",25,0,0,3,1,1,1,0,0,0,0,0,6,21,2,2,2,1,1,0,0,0,0,4,6,1.5,3,4,0,0,8,8,0,1,0,0,0,0.19047619,0.04761905,0.14285714,4.21025516056672,1.5,0.1,0.5,0.0666666666666667,0.625,4.49981311162313,-1.49981311162313,4.34915765325228,75.6916163437114,111.208004815265,106.89002501361,1,0,0.5,0.5,0.125,0.125,5,7.5,40,54,94,0.0671500563621521,-0.234095990657806,0.301246047019958,0.753900051116943,0.0819901973009109,0.708809554576874,0.97680002450943,0.870000004768372,0.8682000041008,1,1,0.0139815416187048,0.0807548455089173,0,0,0.68085106,93.890625,0.26595745,83.96,0.05319149,85,NA,2.43719458580017,-1.09525549411774,0.130998700857162,3.80811654031277,-4.38102197647095,2.61997401714325,0.18518519,0.6,0.36170213,0.7,0.91666667,0.85294118,0.42553191,0.57142857,0.05319149,6,8,2,2,8,6,16,0.375,0.5,0.125,0.125,0.5,0.375,2.49497093239591,62,54.93462,52.23309,53.69235,22.31706,64.22373,20,44.39155,41.09285,51.73241,45.00371,53.19302,41.24929,0.43581,4.73081,94.16,97.34,95.94,117.8424,70.1664,79.456,96.42,93.8,85.42,100.578723404255,89.9246808510638,90.9963829787234,0.68085106,0.05319149,0.26595745,93.890625,84.7,83.987998046875,-6.70329809188843,-7.93619155883789,3.76024871826172,8.81151008605957,4.60166931152344,3.11723724365234,2.51489407196641,0.132097139954567,-1.09608739987016,3.92952198744752,2.64194279909134,-4.38434959948063,0.09090909,0.6,0.36170213,0.75,0.86666667,0.85294118,0.53191489,17.50704225,0.05319149,0.68085106,0.26595745,85.0134399414062,94.2102737426758,84.2955859375,-7.2822021484375,-5.98559093475342,4.62576812744141,3.2027458190918,7.8213529586792,2.11536346435547,0.132097139954567,2.51489407196641,-1.09608739987016,2.64194279909134,3.92952198744752,-4.38434959948063,0.11627907,0.56862745,0.36170213,0.8,0.86206897,0.85294118,0.54255319,16,88.3670654296875,16.7883243560791,2,0.125,107.452,7,0.4375,"2024-05-24",0
"Christian Scott",30107,"2024-05-17","@MIA",25,2024,"NYM","A",25,0,1,9,1,1,0,0,0,0,0,0,4,21,7,4,4,1,1,0,1,0,0,3,6.75,2.25,15.75,3,0.166666666,0,6,7,3,1,1,0,0,0.14285714,0.04761905,0.0952381,4.88839348706902,2.25,0.368421052631579,2,0.4,0.65789474,6.4164797782898,2.5835202217102,5.81249448917806,227.074849031134,157.809454967415,142.252618518046,0.857142857,0.1875,0.375,0.4375,0.142857142,0.142857142,0,0,29,55,84,-0.221719965338707,-0.433900058269501,0.212180092930794,-1.91200017929077,-0.190248772501945,0.754666686058044,0.594500005245209,0.870000004768372,0.23199999332428,1,1,-0.20944519340992,-0.0843533396840051,0,0,0.47619048,94.425,0.39285714,87.27272727,0.13095238,85.18181818,NA,-0.386332213878632,-1.57092034816742,-0.0852910131216049,-0.965830534696579,-4.76036469141642,-0.775372846560045,0.31111111,0.82051282,0.54761905,0.85714286,0.8125,0.82608696,0.46428571,0.57142857,0.0952381,4,7,5,4,9,3,16,0.25,0.4375,0.3125,0.25,0.5625,0.1875,5.54224785051539,33,65.07058,53.71237,68.3339,34.75802,48.71355,35.05488,24.61345,51.6602,24.30477,47.79428,52.71382,47.99229,0.26244,4.47075,99.9,99.58,94.66,96.4654545454545,92.2836363636364,96.2181818181818,87.7,94.06,88.48,96.9530952380952,95.9907142857143,94.4628571428571,0.47619048,0.13095238,0.39285714,94.3325012207031,85.2000011097301,87.1696999289773,-6.51711654663086,-9.0729453346946,1.78703967007724,9.04219970703125,2.13754619251598,3.13743637547348,-0.432850003242493,-0.0876522623002529,-1.59457352757454,-1.08212500810623,-0.796838748184117,-4.83204099265012,0.16666667,0.83333333,0.54761905,0.66666667,0.85,0.82608696,0.57142857,21.15873016,0.13095238,0.47619048,0.39285714,85.5161243785511,94.6592224121094,87.4847523082386,-8.48422518643466,-5.51600646972656,2.87546978574811,0.972098003734242,7.91868133544922,1.94322204589844,-0.0876522623002529,-0.432850003242493,-1.59457352757454,-0.796838748184117,-1.08212500810623,-4.83204099265012,0.15151515,0.80392157,0.54761905,0.6,0.85365854,0.82608696,0.60714286,16,89.0535354614258,16.7090511322021,1,0.0625,106.165,7,0.4375,"2024-05-17",0
"Christian Scott",30107,"2024-05-11","ATL",25,2024,"NYM","H",25,0,1,4.5,1,1,1,0,0,0,0,0,6,25,6,3,3,1,2,0,0,0,0,8,12,3,9,4,0,0,4,7,4,3,0,0,0,0.32,0.08,0.24,3.22779308401489,1.5,0.260869565217391,1.33333333333333,0.357142857142857,0.75757576,3.6664797782898,0.833520221710204,3.26382291888197,113.537424515567,90.9465047491131,80.6621258139688,0.571428571,0.266666666,0.266666666,0.466666666,0.428571428,0.142857142,0,0,36,55,91,-0.140272006392479,-0.410156011581421,0.269883990287781,-1.21309995651245,-0.131930410861969,0.675400018692017,0.654571413993835,0.870000004768372,0.595600008964539,1,1,0.0360254533588886,-0.243712753492712,0,0,0.47252747,94.20930233,0.3956044,85.91666667,0.13186813,85,NA,-1.3072384595871,1.66656374931335,0.280832022428513,-3.04008944090023,4.62934374809265,2.34026685357094,0.33333333,0.82352941,0.51648352,0.68421053,0.71428571,0.70212766,0.37362637,0.52,0.15384615,7,4,4,4,5,6,15,0.46666667,0.26666667,0.26666667,0.26666667,0.33333333,0.4,3.69015025383001,53,50.47821,55.16053,44.41951,32.52091,50.08001,31.52893,58.04344,58.37526,39.21792,43.07997,55.42948,34.77429,0.55533,4.91009,100.62,87.38,85.92,102.324444444444,80.9133333333333,81.0477777777778,102.9,105.4,110.9,101.594945054945,87.198021978022,87.2865934065934,0.47252747,0.13186813,0.3956044,94.1209290970204,84.9416656494141,85.8833346896701,-6.2391321936319,-8.39008331298828,1.90558624267578,9.31138220498728,1.53308327992757,2.98247146606445,-1.33605303987861,0.282566897571087,1.66671476140618,-3.10710009274095,2.35472414642572,4.62976322612829,0.25531915,0.79545455,0.51648352,0.58333333,0.74285714,0.70212766,0.48351648,20.51515152,0.13186813,0.47252747,0.3956044,85.415771484375,94.6039017078488,86.3465779622396,-8.0482006072998,-5.55283941224564,2.65928395589193,0.220499734083811,8.38783299645712,2.010345670912,0.282566897571087,-1.33605303987861,1.66671476140618,2.35472414642572,-3.10710009274095,4.62976322612829,0.29166667,0.76744186,0.51648352,0.57142857,0.75757576,0.70212766,0.47252747,15,91.0380696614583,30.5761861165365,1,0.06666667,111.393,7,0.46666667,"2024-05-11",0
"Christian Scott",30107,"2024-05-04","@TBR",25,2024,"NYM","A",25,0,0,1.35000012874605,1,1,1,0,0,0,0,0,6.2,25,5,1,1,0,1,0,0,0,0,6,8.10000077247627,1.35000012874605,6.75000064373022,6,0,0,7,8,3,0,0,0,0,0.24,0.04,0.2,3.59485868401489,0,0.208333333333333,0.900000085830697,0.277777777777778,0.83333333,1.81647964954375,-0.466479520797705,3.63088991004564,34.0612306030022,45.9659714719501,89.5325652635472,0.875,0.166666666,0.388888888,0.444444444,0,0,1,1.35000012874605,27,67,94,0.274791985750198,-0.33121594786644,0.606007933616638,1.95500004291534,0.214717179536819,1.09893846511841,1.12734282016754,0.928600013256073,1.46280002593994,1,1,0.241704329848289,0.00834787459483199,0,0,0.43617021,95.41463415,0.4787234,84.95555556,0.08510638,85.5,NA,-0.184428080916405,3.00850462913513,-0.405862420797348,-0.449824587600987,6.68556584252251,-5.07328025996685,0.37735849,0.7804878,0.55319149,0.6,0.71875,0.67307692,0.43617021,0.68,0.18085106,7,7,4,2,10,6,18,0.38888889,0.38888889,0.22222222,0.11111111,0.55555556,0.33333333,1.69697389080616,71,61.63258,60.56471,59.55231,60.92304,68.37237,49.85411,65.24654,73.15397,59.9423,64.7207,70.11875,56.40713,-0.78913,2.8934,101.24,99.46,100.7,127.361777777778,93.1373333333333,120.479111111111,108.02,116.4,142.88,114.322127659574,97.8748936170213,113.758510638298,0.43617021,0.08510638,0.4787234,95.3560999428354,85.5625,84.9555555555555,-7.21622746165206,-9.46082210540771,4.8785651312934,9.07990916182355,1.11853241920471,2.79913499620226,-0.195550467818975,-0.408577647060156,3.08721235021949,-0.476952360534086,-5.10722058825195,6.86047188937664,0.34782609,0.75,0.55319149,0.5,0.75,0.67307692,0.5106383,19.69565217,0.08510638,0.43617021,0.4787234,85.5188369750977,95.3310070503049,84.8969618055555,-8.71926975250244,-6.2398737465463,6.10139295789931,-0.545038521289825,7.78881240472561,1.15454449123806,-0.408577647060156,-0.195550467818975,3.08721235021949,-5.10722058825195,-0.476952360534086,6.86047188937664,0.36585366,0.69811321,0.55319149,0.53333333,0.72972973,0.67307692,0.56382979,18,87.2018296983507,21.7957509358724,0,0,105.334,3,0.16666667,"2024-05-04",0
