"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","CT%","CTv","CB%","CBv","CH%","CHv","XX%","wFB","wCT","wCB","wCH","wFB/C","wCT/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSI%","pfxCU%","pfxCH%","pfxvFA","pfxvFC","pfxvSI","pfxvCU","pfxvCH","pfxFA-X","pfxFC-X","pfxSI-X","pfxCU-X","pfxCH-X","pfxFA-Z","pfxFC-Z","pfxSI-Z","pfxCU-Z","pfxCH-Z","pfxwFA","pfxwFC","pfxwSI","pfxwCU","pfxwCH","pfxwFA/C","pfxwFC/C","pfxwSI/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piFC%","piSI%","pivCH","pivCU","pivFA","pivFC","pivSI","piCH-X","piCU-X","piFA-X","piFC-X","piSI-X","piCH-Z","piCU-Z","piFA-Z","piFC-Z","piSI-Z","piwCH","piwCU","piwFA","piwFC","piwSI","piwCH/C","piwCU/C","piwFA/C","piwFC/C","piwSI/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Jared Koenig",27517,"2024-09-28","NYM",23,2024,"MIL","H",30,0,0,0,1,1,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,2,18,0,9,2,0,0,1,0,1,0,0,0,0,0.5,0,0.5,0.691604084014893,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-18.209743576056,-18.3531359984531,1,0.5,0.5,0,0,0,0,0,4,15,19,0.0477580055594444,-0.0244019664824009,0.0721599757671356,0.49889999628067,0.0512480735778809,0.857550024986267,0.870000004768372,0.870000004768372,0.930000007152557,1,1,0.0383785218000412,0.0173126964005638,0,0,0.42105263,96.25,0.42105263,90.5,0.05263158,82,0.10526316,86.5,NA,0.304984003305435,0.352769911289215,-0.536357283592224,0.227396890521049,3.81230004131794,4.40962389111519,-53.6357283592224,11.3698445260525,0.5,0.54545455,0.52631579,1,0.83333333,0.9,0.57894737,0.75,0.05263158,0,2,0,0,1,1,2,0,1,0,0,0.5,0.5,1.68568605964432,46,45.53387,47.45033,61.06506,58.34174,43.68868,80,NA,NA,NA,32.5495,57.99341,27.00596,68.94516,38.0397,76.76551,51.28113,48.35879,60.37392,0.04582,4.14582,103.12,101.48,85.7,215.28,101.28,161.52,NA,NA,NA,106.4,79.72,81.78,130.9,133.38,153.92,122.101052631579,105.738947368421,116.764210526316,NA,0.42105263,0.42105263,0.05263158,0.10526316,NA,90.4000015258789,96.3499984741211,82.0999984741211,86.1500015258789,NA,0.100000463426113,9.58884716033936,-6.33779382705688,9.8824405670166,NA,5.18629121780396,6.30835008621216,-3.39652681350708,2.41877341270447,NA,0.356276392936707,0.309018295258284,-0.544301271438599,0.229855183511972,NA,4.45345491170883,3.86272869072855,-54.4301271438599,11.4927591755986,0.33333333,0.61538462,0.52631579,1,0.875,0.9,0.68421053,19.4,0.10526316,0.05263158,NA,0.42105263,0.42105263,85.7055969238281,81.6654968261719,NA,89.9969635009766,95.9844131469727,9.31774997711182,-7.21139001846313,NA,-0.87770414352417,8.83711051940918,1.18010354042053,-4.88735008239746,NA,4.19788360595703,4.97420120239258,0.229855183511972,-0.544301271438599,NA,0.356276392936707,0.309018295258284,11.4927591755986,-54.4301271438599,NA,4.45345491170883,3.86272869072855,0.33333333,0.61538462,0.52631579,1,0.875,0.9,0.68421053,2,89.5822601318359,5.74216985702515,0,0,92.5812,0,0,"2024-09-28",0
"Jared Koenig",27517,"2024-09-26","@PIT",23,2024,"MIL","A",30,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,1,1,0,1,0,0,0,0,0.33333333,-0.33333333,11.7253957421829,0,0,1,0,1,6.1664797782898,-6.1664797782898,7.67848818451166,0,149.628679803828,187.345706390858,1,0,0.5,0.5,1,0,0,0,8,6,14,0.0540260039269924,-0.0505399964749813,0.104566000401974,0.521000027656555,0.0519182868301868,1.50800001621246,1.08799993991852,1.08799993991852,0.951799988746643,1,1,0.0174517370760441,0.0183745250898448,0,0,0.42857143,95.16666667,0.28571429,90.25,0.14285714,80.5,0.14285714,87.5,NA,-0.0567975640296936,0.0807642042636871,0.337078839540482,-0.13428895175457,-0.94662606716156,2.01910510659218,16.8539419770241,-6.7144475877285,0.2,0.25,0.21428571,1,1,1,0.28571429,0.66666667,0,1,0,1,2,0,0,2,0.5,0,0.5,1,0,0,4.29841262826357,NA,20,48.53622,20,80,44.99846,80,NA,NA,NA,20,49.65275,20,55.82823,36.90489,61.79312,31.27922,44.48088,32.28438,1.28846,6.00978,77.36,6.58,-19.5,99.56,174.36,183.96,NA,NA,NA,86.46,62.88,53.68,90.82,59.9,60.58,88.2771428571429,69.9114285714286,63.8085714285714,NA,0.28571429,0.42857143,0.14285714,0.14285714,NA,90.0250015258789,95.1666666666667,80.6999969482422,87.4499969482422,NA,1.66386735439301,9.24749628702799,-6.1770601272583,9.65798759460449,NA,6.47696781158447,7.03322728474935,-3.58081674575806,1.9471048116684,NA,0.117600873112679,-0.0586016401648521,0.341835025697947,-0.137187860906124,NA,2.94002182781696,-0.976694002747536,17.0917512848973,-6.85939304530621,0.14285714,0.28571429,0.21428571,1,1,1,0.5,19.45454545,0.14285714,0.14285714,NA,0.28571429,0.42857143,87.2365570068359,80.4808044433594,NA,89.8252258300781,94.9612630208333,9.20420455932617,-7.45890998840332,NA,1.01531994342804,8.6890131632487,0.507652521133423,-4.97249031066895,NA,5.54663991928101,5.90389315287272,-0.137187860906124,0.341835025697947,NA,0.117600873112679,-0.0586016401648521,-6.85939304530621,17.0917512848973,NA,2.94002182781696,-0.976694002747536,0.125,0.33333333,0.21428571,1,1,1,0.42857143,2,62.1934814453125,41.3982696533203,0,0,67.6893,0,0,"2024-09-26",0
"Jared Koenig",27517,"2024-09-22","ARI",23,2024,"MIL","H",30,1,0,9,1,0,0,0,0,0,0,0,1,5,1,1,1,0,1,0,0,0,0,0,0,9,9,0,0,0,3,1,0,0,0,0,0,0,0.2,-0.2,7.43248908401489,0,0.25,2,0.25,0.5,6.1664797782898,2.8335202217102,7.67848818451166,218.032512457265,149.628679803828,187.345706390858,3,0,0.75,0.25,0,0,4,36,7,14,21,-0.0497799962759018,-0.0778739973902702,0.0280940011143684,-0.500999987125397,-0.0514637939631939,0.496639996767044,0.488600015640259,0.488600015640259,2.86819982528687,1,1,-0.0577388852834702,-0.0424946774580579,0,0,0.52380952,95.81818182,0.0952381,95,0.19047619,81.5,0.19047619,85.75,NA,-0.0465498827397823,0.139680862426758,-0.0474855601787567,-0.149530738592148,-0.423180752179839,6.98404312133789,-1.18713900446892,-3.7382684648037,0.125,0.84615385,0.57142857,1,0.81818182,0.83333333,0.61904762,0.8,0.0952381,1,1,2,0,2,2,4,0.25,0.25,0.5,0,0.5,0.5,3.8679513184511,NA,68.37743,58.06935,62.14233,69.67257,53.11627,80,20,64.56131,20,78.66041,45.72654,75.15625,20,47.00971,20,61.07785,50.78861,59.69214,-0.56281,3.23288,81.5,87.22,71.5,146.72,102.14,129.16,124.16,44.78,54.38,80.46,131.8,120.68,118.14,116.38,107.22,103.110476190476,103.759047619048,102.174285714286,0.14285714,0.0952381,0.38095238,0.19047619,0.19047619,97.1333312988281,94.8999938964844,95.375,81.5500030517578,85.8249969482422,4.45035552978516,3.00173735618591,9.32048225402832,-5.60602855682373,9.13865756988525,9.88850339253744,9.41240119934082,6.59378623962402,-3.71286535263062,2.05500149726868,-0.0452898852527142,0.141648307442665,-0.0037057064473629,-0.049145519733429,-0.154468517750502,-1.50966284175714,7.08241537213326,-0.0463213305920362,-1.22863799333572,-3.86171294376254,0,0.85714286,0.57142857,NA,0.83333333,0.83333333,0.66666667,19.33333333,0.19047619,0.19047619,0.23809524,NA,0.38095238,85.3829498291016,81.1214294433594,95.8269775390625,NA,94.9569854736328,8.65412521362305,-6.47327518463135,3.29720993041992,NA,8.81087398529053,0.824836254119873,-5.28509998321533,8.71567611694336,NA,5.39654874801636,-0.154468517750502,-0.049145519733429,0.0963584221899509,NA,-0.0037057064473629,-3.86171294376254,-1.22863799333572,1.92716844379902,NA,-0.0463213305920362,0.125,0.84615385,0.57142857,1,0.81818182,0.83333333,0.61904762,4,94.8671951293945,3.38007664680481,0,0,108.086,2,0.5,"2024-09-22",0
"Jared Koenig",27517,"2024-09-20","ARI",23,2024,"MIL","H",30,0,0,0,1,0,0,0,0,0,0,0,0.2,5,0,0,0,0,3,1,0,0,0,1,13.500014081612,40.5000422448361,0,0.33333333,0,0,1,0,0,0,0,0,0,0.2,0.6,-0.4,17.1946890840149,0,0,4.50000469387067,0,1,13.6664907306547,-13.6664907306547,13.6664907306547,0,329.455824600512,332.050120811494,1,0,1,0,0,0,0,0,11,15,26,-0.140625983476639,-0.173935994505882,0.0333100073039532,-1.08800005912781,-0.111761681735516,1.90647995471954,1.03450000286102,2.06900000572205,0.349000006914139,1,1,-0.0579948201775551,-0.0157672894782613,0,1,0.46153846,96.58333333,0.19230769,90.2,0.23076923,82.33333333,0.11538462,85.33333333,0.15384615,-0.0385076217353344,-0.144195422530174,0.0449271090328693,-0.0116784907877445,-0.320896847794453,-2.88390845060349,0.748785150547822,-0.389283026258151,0.27777778,0.75,0.42307692,0.8,0.83333333,0.81818182,0.30769231,0.4,0.07692308,1,0,0,1,0,0,1,1,0,0,1,0,0,13.2883663818636,NA,80,56.62986,80,80,67.395,80,NA,NA,NA,20,51.83878,20,35.99557,53.02857,53.1667,41.29346,55.5909,52.88426,0.66632,5.07657,101.5,143.38,135.02,154.26,139.14,188.7,NA,NA,NA,88.96,72.48,61.88,102.74,18.74,40.14,108.126153846154,85.7092307692308,95.4046153846154,NA,0.19230769,0.46153846,0.23076923,0.11538462,NA,90.2600036621094,96.5,82.3500010172526,85.0333302815755,NA,0.630155992507935,9.76671600341797,-6.04441197713216,9.71360778808594,NA,5.62814674377441,7.15788459777832,-3.61524931589762,2.61473083496094,NA,-0.148828506469727,-0.0408194288611412,0.0417676903307438,-0.0121511183679104,NA,-2.97657012939453,-0.340161907176177,0.696128172179063,-0.405037278930346,0.3125,0.6,0.42307692,0.8,0.83333333,0.81818182,0.38461538,22.90909091,0.11538462,0.23076923,NA,0.19230769,0.46153846,84.6816660563151,82.0037638346354,NA,89.8726989746094,96.168212890625,9.23741340637207,-7.33711496988932,NA,-0.160937023162842,8.99588839213053,1.36263243357341,-5.26577313741048,NA,4.56462593078613,5.84861310323079,-0.0121511183679104,0.0417676903307438,NA,-0.148828506469727,-0.0408194288611412,-0.405037278930346,0.696128172179063,NA,-2.97657012939453,-0.340161907176177,0.3125,0.6,0.42307692,0.8,0.83333333,0.81818182,0.38461538,1,77.064567565918,-38.707389831543,0,0,77.0646,0,0,"2024-09-20",0
"Jared Koenig",27517,"2024-09-18","PHI",23,2024,"MIL","H",30,0,0,0,1,0,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,2,13.5000032186516,0,0,2,0,0,2,0,0,0,0,0,0,0.5,0,0.5,-0.528020915985107,0,0,0,0,1,0.166479063033887,-0.166479063033887,0.166479063033887,0,5.76715690000976,5.81257031260301,2,0,1,0,0,0,0,0,2,10,12,0.176082000136375,0,0.176082000136375,1.10099995136261,0.113097071647644,1.61744999885559,2.02699995040894,3.00139999389648,1.84940004348755,1,1,0.105373986065388,0.00348996661380503,1,0,0.58333333,96.85714286,0.25,90,0.16666667,82,NA,NA,NA,0.72884613275528,0.0434236712753773,0.161890506744385,NA,10.4120876107897,1.44745570917924,8.09452533721924,NA,0.375,0.5,0.41666667,1,1,1,0.33333333,0.75,0,1,1,0,0,2,0,2,0.5,0.5,0,0,1,0,-0.930348885830059,NA,NA,NA,NA,69.71752,54.4427,76.91692,NA,NA,NA,75.51636,78.54193,74.28698,20,58.90123,31.34618,65.33871,66.54928,71.79494,-0.82753,2.8358,NA,NA,NA,187.4,70.64,110.42,NA,NA,NA,117.8,115.6,136.5,105.74,59.1,73.56,126.385,93.9816666666667,116.418333333333,NA,0.25,0.58333333,0.16666667,NA,NA,89.9666646321615,96.7428588867188,81.5999984741211,NA,NA,0.722556829452515,9.86249215262277,-6.84464359283447,NA,NA,6.19618542989095,7.00983483450753,-4.44546222686768,NA,NA,0.0436800308525562,0.737800620496273,0.163724601268768,NA,NA,1.45600102841854,10.5400088642325,8.18623006343842,NA,0.4,0.42857143,0.41666667,1,1,1,0.58333333,21.125,NA,0.16666667,NA,0.25,0.58333333,NA,81.3650970458984,NA,89.6998697916667,96.4837123325893,NA,-7.6688346862793,NA,-0.0509573221206665,9.18245806012835,NA,-6.3220100402832,NA,4.92550977071126,5.60566983904157,NA,0.163724601268768,NA,0.0436800308525562,0.737800620496273,NA,8.18623006343842,NA,1.45600102841854,10.5400088642325,0.2,0.57142857,0.41666667,1,1,1,0.58333333,2,89.5437240600586,-9.64586925506592,0,0,98.007,1,0.5,"2024-09-18",0
"Jared Koenig",27517,"2024-09-15","@ARI",23,2024,"MIL","A",30,0,1,18,1,0,0,0,0,0,0,0,1,8,4,3,2,0,0,0,1,0,0,0,0,0,36,0,0,0,3,2,2,0,0,0,0,0,0,0,5.67060408401489,0,0.571428571428571,4,0.571428571428571,0.4,6.1664797782898,11.8335202217102,9.19049659073353,436.06502491453,149.628679803828,223.88448361004,1.5,0.285714285,0.428571428,0.285714285,0,0,2,18,9,20,29,-0.658800005912781,-0.79830002784729,0.139500007033348,-3.70700001716614,-0.374444454908371,3.5237500667572,2.74900007247925,2.26999998092651,NA,0,1,-0.0969267413020134,-0.0900331716974503,0,1,0.55172414,96.9375,0.24137931,92.71428571,0.10344828,82.33333333,0.10344828,87.33333333,NA,-0.46181383728981,-0.478817850351334,-0.560162723064423,0.0724043697118759,-2.88633648306131,-6.84025500501905,-18.6720907688141,2.41347899039586,0.25,0.70588235,0.51724138,0.66666667,0.91666667,0.86666667,0.5862069,0.875,0.06896552,4,1,2,2,2,3,7,0.57142857,0.14285714,0.28571429,0.28571429,0.28571429,0.42857143,6.94355390467186,NA,31.51469,49.12809,20,27.66231,54.98434,20.92904,NA,NA,NA,71.82932,58.878,71.55821,20,47.16852,20,44.71396,53.0889,38.29412,0.45381,4.75781,86.26,82.34,74.78,171.72,45.72,87.08,NA,NA,NA,107.48,126.3,133.24,96.24,11.42,14.14,109.21724137931,85.6868965517241,93.6689655172414,NA,0.24137931,0.55172414,0.10344828,0.10344828,NA,92.6714303152902,97.0749969482422,82.4666646321615,87.2333374023438,NA,1.29868793487549,9.21748447418213,-4.81700166066488,9.11831219991048,NA,7.0213132585798,7.99673318862915,-3.76175308227539,3.17579142252604,NA,-0.489809010177851,-0.488296862691641,-0.568544205278158,0.0730913765728474,NA,-6.9972715739693,-3.05185539182276,-18.9514735092719,2.43637921909491,0.18181818,0.72222222,0.51724138,0.5,0.92307692,0.86666667,0.62068966,20.25,0.10344828,0.10344828,NA,0.24137931,0.55172414,87.0736694335938,82.3132019042969,NA,92.5182582310268,96.9323501586914,8.63145637512207,-6.28427314758301,NA,0.177064197404044,8.36579895019531,1.62044588724772,-5.53087361653646,NA,5.90705980573382,6.70184993743896,0.0730913765728474,-0.568544205278158,NA,-0.489809010177851,-0.488296862691641,2.43637921909491,-18.9514735092719,NA,-6.9972715739693,-3.05185539182276,0.18181818,0.72222222,0.51724138,0.5,0.92307692,0.86666667,0.62068966,7,86.0069056919643,22.3769749232701,1,0.14285714,108.368,2,0.28571429,"2024-09-15",0
"Jared Koenig",27517,"2024-09-13","@ARI",23,2024,"MIL","A",30,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,2,0,0,0,0,0,0,0.33333333,0,0.33333333,-0.694826464786218,0,0,0,0,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,29.7440916753395,29.9783111930123,2,0,1,0,0,0,0,0,6,8,14,0.108980007469654,0,0.108980007469654,0.510999977588654,0.0516161620616913,1.42333328723907,1.9099999666214,1.9099999666214,2.48600006103516,1,1,0.0766000524163246,-3.32999580517079e-05,1,0,0.57142857,95.875,0.28571429,90.5,0.14285714,81.5,NA,NA,NA,0.515304982662201,0.0363776423037052,0.138800457119942,NA,6.44131228327751,0.90944105759263,6.94002285599709,NA,0.22222222,0.6,0.35714286,0.5,0.66666667,0.6,0.35714286,0.33333333,0.14285714,2,0,0,0,1,1,2,1,0,0,0,0.5,0.5,-0.217342140718614,NA,NA,NA,NA,28.90493,46.30272,28.8937,NA,NA,NA,62.68889,58.34494,66.10429,20,52.53691,20,36.17457,51.89722,48.10126,0.98433,5.55359,NA,NA,NA,138.9,119.2,132.28,NA,NA,NA,96.7,119.52,133.66,79.62,41.22,44.76,97.8485714285714,97.1028571428571,108.062857142857,NA,0.28571429,0.57142857,0.14285714,NA,NA,90.3499984741211,95.9124984741211,81.3999938964844,NA,NA,1.07852721214294,9.17080688476562,-6.24528121948242,NA,NA,6.25232696533203,7.40140056610107,-3.11863374710083,NA,NA,0.0355338118970394,0.523132611066103,0.140032518655062,NA,NA,0.888345297425985,6.53915763832629,7.00162593275309,NA,0.25,0.5,0.35714286,0.5,0.66666667,0.6,0.42857143,18.54545455,NA,0.14285714,NA,0.28571429,0.57142857,NA,81.3104019165039,NA,90.2873229980469,95.8765335083008,NA,-7.37867546081543,NA,0.110605210065842,8.48904514312744,NA,-4.89104986190796,NA,4.98469257354736,5.90903520584106,NA,0.140032518655062,NA,0.0355338118970394,0.523132611066103,NA,7.00162593275309,NA,0.888345297425985,6.53915763832629,0.25,0.5,0.35714286,0.5,0.66666667,0.6,0.42857143,2,102.40739440918,-10.2377233505249,0,0,108.589,2,1,"2024-09-13",0
"Jared Koenig",27517,"2024-09-07","COL",23,2024,"MIL","H",30,0,0,4.5,1,0,0,0,0,0,0,0,2,8,2,1,1,1,0,0,0,0,0,2,9,0,9,2,1,0,1,5,0,0,1,0,0,0.25,0,0.25,4.46147908401489,4.5,0.25,1,0.2,1,7.6664797782898,-3.1664797782898,4.94650079384446,109.016256228632,185.594056242375,121.325254240967,0.2,0,0.166666666,0.833333333,0,0.2,0,0,7,19,26,0.0363640375435352,-0.025542015209794,0.0619060508906841,-0.00200000405311584,-0.000205446965992451,0.331649988889694,0.538800001144409,0.588799953460693,0.748399972915649,1,1,-0.0385838001966476,0.148229627911811,0,0,0.57692308,95.8,0.11538462,88.66666667,0.15384615,81.75,0.15384615,84.75,NA,0.489689558744431,-1.44693493843079,0.316219359636307,0.298584938049316,3.2645970582962,-48.2311646143595,7.90548399090767,7.46462345123291,0.46153846,0.61538462,0.53846154,0.66666667,0.75,0.71428571,0.5,0.625,0.15384615,2,2,2,1,2,3,6,0.33333333,0.33333333,0.33333333,0.16666667,0.33333333,0.5,5.26732237977623,NA,71.05795,50.53205,72.82171,41.70005,55.32806,37.95314,NA,NA,NA,79.26432,57.14813,80,59.72791,54.69013,54.94488,76.15519,53.30711,80,-1.49951,1.82783,85.28,124,112.28,156.78,95.08,120.74,NA,NA,NA,102.66,117.52,122.38,109.62,86.48,108.62,109.115384615385,111.483076923077,118.986153846154,NA,0.11538462,0.57692308,0.15384615,0.15384615,NA,88.7999979654948,95.713330078125,81.75,84.6999969482422,NA,0.606802384058634,8.79446309407552,-6.68822193145752,9.44379711151123,NA,5.97274780273438,7.96839701334635,-3.9252781867981,2.86097168922424,NA,-1.4485649690032,0.493577141314745,0.31970563903451,0.301901079714298,NA,-48.2854989667733,3.29051427543163,7.99264097586274,7.54752699285746,0.44444444,0.58823529,0.53846154,0.5,0.8,0.71428571,0.65384615,16.16666667,0.15384615,0.15384615,NA,0.11538462,0.57692308,84.6472778320312,81.7044982910156,NA,88.7228597005208,95.6927897135417,8.81567764282227,-7.99366998672485,NA,-0.273358305295308,8.04420878092448,1.42923629283905,-5.64728975296021,NA,4.84887313842773,6.56387227376302,0.301901079714298,0.31970563903451,NA,-1.4485649690032,0.493577141314745,7.54752699285746,7.99264097586274,NA,-48.2854989667733,3.29051427543163,0.22222222,0.64705882,0.5,0.5,0.81818182,0.76923077,0.65384615,6,89.1580403645833,19.8681093851725,1,0.16666667,109.945,3,0.5,"2024-09-07",0
"Jared Koenig",27517,"2024-09-03","STL",23,2024,"MIL","H",30,0,0,0,1,0,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,0,0,1,9,0,9,1,0,0,3,0,0,0,0,0,0,0.25,0,0.25,-0.797583415985107,0,0.25,1,0.333333333333333,0,1.1664797782898,-1.1664797782898,1.1664797782898,0,29.7440916753395,29.9783111930123,3,0,1,0,0,0,1,9,5,13,18,-0.0565080158412457,-0.134417936205864,0.077909916639328,0.123000010848045,0.0126348230987787,2.14545011520386,2.64140009880066,2.64140009880066,2.64140009880066,1,1,0.0780053213238716,-0.104343857671465,0,0,0.44444444,96,0.5,90.66666667,0.05555556,81,NA,NA,NA,-0.0946987867355347,0.127320677042007,0.182590544223785,NA,-1.18373483419418,1.41467418935564,18.2590544223785,NA,0.375,0.5,0.44444444,1,0.8,0.875,0.55555556,0.75,0.05555556,1,2,0,0,3,0,3,0.33333333,0.66666667,0,0,1,0,0.158779415319409,NA,NA,NA,NA,31.99889,35.88163,53.22927,NA,NA,NA,80,69.74446,80,53.7246,43.90205,48.23365,73.97232,54.65379,77.65887,-1.3639,2.03124,NA,NA,NA,189.38,29.14,79.96,NA,NA,NA,123.82,118.9,132.86,125.12,95.56,109.32,128.112222222222,102.243333333333,118.151111111111,NA,0.5,0.44444444,0.05555556,NA,NA,90.7333306206597,96.0250015258789,80.6999969482422,NA,NA,0.91817389594184,9.75843620300293,-5.91350173950195,NA,NA,6.4215333726671,7.3907356262207,-4.74867582321167,NA,NA,0.127996049821377,-0.0966351851820946,0.184771567583084,NA,NA,1.42217833134863,-1.20793981477618,18.4771567583084,NA,0.28571429,0.54545455,0.44444444,1,0.83333333,0.875,0.61111111,18.14285714,NA,0.05555556,NA,0.5,0.44444444,NA,81.0057983398438,NA,91.0013563368056,96.3334732055664,NA,-7.06943988800049,NA,-0.269447538587782,8.93085384368896,NA,-6.30926990509033,NA,5.40733761257595,6.15600776672363,NA,0.184771567583084,NA,0.127996049821377,-0.0966351851820946,NA,18.4771567583084,NA,1.42217833134863,-1.20793981477618,0.22222222,0.66666667,0.44444444,1,0.83333333,0.875,0.5,3,84.0249481201172,-3.40408325195312,0,0,94.9719,0,0,"2024-09-03",0
"Jared Koenig",27517,"2024-09-01","@CIN",23,2024,"MIL","A",30,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,1,0,0,0,0,0,8.41372908401489,0,0,0,0,1,3.1664797782898,-3.1664797782898,7.70250499695539,0,77.697926926735,187.926090042024,0.333333333,0,0.25,0.75,0,0,0,0,8,10,18,0.137040033936501,-0.0405900068581104,0.177630037069321,0.950999975204468,0.089929074048996,1.89649999141693,1.97466671466827,2.8840000629425,1.49100005626678,1,1,0.0473857596516609,0.0248736838266983,1,0,0.72222222,95.46153846,0.16666667,90.33333333,NA,NA,0.11111111,85.5,NA,-0.197445407509804,0.275535821914673,NA,0.234712958335876,-1.51881082699849,9.18452739715576,NA,11.7356479167938,0.2,0.625,0.38888889,1,1,1,0.44444444,0.5,0,1,1,2,1,2,1,4,0.25,0.25,0.5,0.25,0.5,0.25,0.935044675136378,NA,30.45066,42.19009,26.29951,NA,NA,NA,NA,NA,NA,79.51714,51.1802,80,72.24849,47.20441,75.48793,79.85718,46.89448,80,-1.7295,1.48284,77.04,102.46,97.42,NA,NA,NA,NA,NA,NA,96.88,145.16,149.76,102.9,118.24,129.8,100.525555555556,126.412222222222,133.305555555556,NA,0.16666667,0.72222222,NA,0.11111111,NA,90.3333333333333,95.484619140625,NA,85.4000015258789,NA,1.22865430514018,9.59047698974609,NA,8.05498695373535,NA,6.28443654378255,6.79456798846905,NA,2.81588840484619,NA,0.278691668063402,-0.202678240835667,NA,0.237643048167229,NA,9.28972226878007,-1.55906339104359,NA,11.8821524083614,0,0.58333333,0.38888889,NA,1,1,0.66666667,19.28571429,0.11111111,NA,0.05555556,0.16666667,0.66666667,85.3504486083984,NA,95.9643020629883,90.3336385091146,95.4531453450521,7.53977966308594,NA,3.59754991531372,0.311985989411672,9.2652333577474,1.88850498199463,NA,8.40318965911865,5.30877335866292,5.43404642740885,0.237643048167229,NA,-0.0380783230066299,0.278691668063402,-0.164599917829037,11.8821524083614,NA,-3.80783230066299,9.28972226878007,-1.37166598190864,0,0.58333333,0.38888889,NA,1,1,0.66666667,4,89.6055526733398,25.4118614196777,1,0.25,99.044,2,0.5,"2024-09-01",0
