"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CH%","CHv","wFB","wSL","wCH","wFB/C","wSL/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSL%","pfxCH%","pfxvFA","pfxvSL","pfxvCH","pfxFA-X","pfxSL-X","pfxCH-X","pfxFA-Z","pfxSL-Z","pfxCH-Z","pfxwFA","pfxwSL","pfxwCH","pfxwFA/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piSL%","pivCH","pivFA","pivSL","piCH-X","piFA-X","piSL-X","piCH-Z","piFA-Z","piSL-Z","piwCH","piwFA","piwSL","piwCH/C","piwFA/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"David Festa",30056,"2024-09-26","MIA",8,2024,"MIN","H",24,0,0,6.23076968785577,1,1,0,0,0,0,0,0,4.1,21,7,4,3,0,1,0,0,0,0,5,10.3846161464263,2.07692322928526,14.5384626049968,5,0.2,0,5,7,3,3,1,0,0,0.23809524,0.04761905,0.19047619,3.77477669778361,0,0.35,1.8461539815869,0.466666666666667,0.5,1.55109504440126,4.67967464345451,3.9935703413232,155.64287628759,36.8261626079999,97.504855085868,0.714285714,0.2,0.333333333,0.466666666,0.428571428,0,0,0,19,53,72,-0.135851964354515,-0.464587986469269,0.328736037015915,-1.47260010242462,-0.154360592365265,1.03678178787231,0.874400019645691,0.870000004768372,0.974799990653992,1,1,-0.0783407017588615,-0.0526916581298193,0,0,0.38888889,94.14285714,0.34722222,85.48,0.26388889,88.52631579,0.105279117822647,-0.372065633535385,-0.651113152503967,0.375996849366597,-1.48826253414154,-3.42691132896825,0.41666667,0.77777778,0.59722222,0.6,0.78571429,0.72093023,0.5,0.9047619,0.16666667,6,6,3,4,4,7,15,0.4,0.4,0.2,0.26666667,0.26666667,0.46666667,1.57333621307734,42,72.08526,50.20593,75.65221,35.50142,55.54328,33.34159,65.43603,44.56105,74.06721,56.11118,52.42199,62.54902,-0.25425,3.69572,94.9,144.9,137.74,92.18,66.52,62.2,89.22,124.4,120.16,91.87,107.300833333333,102.259166666667,0.38888889,0.34722222,0.26388889,94.0857107979911,85.412001953125,88.4368446751645,-1.99697889600481,0.940748901367187,-8.22728769402755,10.3200585501535,-0.393678932189941,5.37641705964741,0.102240551263094,-0.381476070731878,-0.660425040870905,0.365144825939621,-1.52590428292751,-3.47592126774161,0.38709677,0.75609756,0.59722222,0.58333333,0.77419355,0.72093023,0.56944444,18.84,0.26388889,0.38888889,0.34722222,88.4360608552632,94.101327078683,85.39931640625,-7.95199344032689,-1.67008917672294,1.53625122070312,4.1301165129009,9.41764177594866,-1.46170608520508,-0.660425040870905,0.102240551263094,-0.381476070731878,-3.47592126774161,0.365144825939621,-1.52590428292751,0.40625,0.75,0.59722222,0.61538462,0.76666667,0.72093023,0.55555556,15,88.2475748697917,25.5608683268229,2,0.13333333,102.465,5,0.33333333,"2024-09-26",0
"David Festa",30056,"2024-09-20","@BOS",8,2024,"MIN","A",24,0,0,1.8,1,1,0,0,0,0,0,0,5,21,4,1,1,0,3,0,0,0,0,6,10.8,5.4,7.2,2,0,0,3,3,6,0,0,0,0,0.28571429,0.14285714,0.14285714,4.30107601794024,0,0.222222222222222,1.4,0.333333333333333,0.85714286,2.5664797782898,-0.766479778289795,3.47368482202292,44.9634942956901,62.1443251176797,84.5713668999397,1,0.5,0.25,0.25,0,0,0,0,37,66,103,0.140256002545357,-0.317236006259918,0.457491993904114,1.73500001430511,0.167148351669312,1.11041820049286,0.943040013313293,0.870000004768372,0.863600015640259,1,1,0.10997050255537,0.0163386686047423,0,0,0.41747573,94.60465116,0.31067961,86.28125,0.27184466,88.85714286,-0.0586338043212891,0.772335112094879,0.616545140743256,-0.136357684468114,2.4135472252965,2.20194693122591,0.328125,0.71794872,0.47572816,0.47619048,0.82142857,0.67346939,0.37864078,0.71428571,0.15533981,3,6,3,1,11,0,12,0.25,0.5,0.25,0.08333333,0.91666667,0,5.7307034729645,58,49.69599,61.41497,50.76454,52.80553,60.44145,47.11849,60.75423,63.06734,73.30609,53.47424,65.42362,57.11094,-0.09043,3.94145,94.32,103.64,104.8,107.06,78.94,80.74,95.16,101.54,95.6,99.8996116504854,92.6759223300971,91.8972815533981,0.41747573,0.31067961,0.27184466,94.5139557594477,86.2156219482422,88.7892892020089,-1.78603504979333,0.833502411842346,-9.47948019845145,11.3444795830305,0.0269030872732401,5.58655493600028,-0.0670420229434967,0.821058783680201,0.659977991133928,-0.155911681263946,2.56580869900063,2.35706425404974,0.32758621,0.66666667,0.47572816,0.42105263,0.83333333,0.67346939,0.4368932,19,0.27184466,0.41747573,0.31067961,88.9986572265625,94.7351414880087,86.4039001464844,-9.09176635742188,-1.17936333944631,1.62731420993805,4.08495603288923,10.1920151821403,-1.329216837883,0.659977991133928,-0.0670420229434967,0.821058783680201,2.35706425404974,-0.155911681263946,2.56580869900063,0.33333333,0.65217391,0.47572816,0.42105263,0.83333333,0.67346939,0.44660194,12,92.0481669108073,11.7592951456706,0,0,107.483,6,0.5,"2024-09-20",0
"David Festa",30056,"2024-09-15","CIN",8,2024,"MIN","H",24,0,0,4.9090917603045,1,1,0,0,0,0,0,0,3.2,18,3,2,2,0,3,0,1,0,0,4,9.81818352060899,7.36363764045674,7.36363764045674,1.33333333,0.166666666,0,6,3,1,0,1,0,0,0.22222222,0.16666667,0.05555556,5.19632784201868,0,0.214285714285714,1.6363639201015,0.3,0.71428571,4.25738905835746,0.651702701947035,5.49448705977328,122.627732978595,104.306388927651,134.844015199931,2,0.1,0.6,0.3,0,0,0,0,32,40,72,-0.102195993065834,-0.371903985738754,0.269708007574081,-0.821599960327148,-0.08612160384655,1.09498941898346,0.967500030994415,0.870000004768372,2.17759990692139,1,1,-0.0217429548501968,-0.0715876210385714,0,0,0.375,95.33333333,0.31944444,86.56521739,0.30555556,88.09090909,0.25328540802002,-0.326595306396484,-0.679785251617432,0.93809410377785,-1.41997959302819,-3.08993296189742,0.24444444,0.77777778,0.44444444,0.72727273,0.9047619,0.84375,0.375,0.44444444,0.06944444,7,3,0,1,6,3,10,0.7,0.3,0,0.1,0.6,0.3,3.58713222226466,47,33.75481,46.98215,34.5972,45.51626,63.25864,31.6606,39.17976,68.88539,43.73381,33.97681,64.03934,29.81554,1.12087,5.7584,87.04,73.5,61.98,96.36,82,87.46,86.82,85.82,92.06,90.3816901408451,80.603661971831,81.0549295774648,0.375,0.31944444,0.30555556,95.2703721788194,86.4913011633832,88.0499988902699,-1.43353624697085,0.814177969227666,-7.45454545454545,10.236482973452,0.246866495712944,5.72200879183683,0.250041827559471,-0.328759383410215,-0.689821742475033,0.926080842812856,-1.42938862352268,-3.13555337488651,0.26190476,0.7,0.44444444,0.72727273,0.9047619,0.84375,0.41666667,18.90740741,0.30555556,0.375,0.31944444,87.9542069868608,95.182056568287,86.3890699303668,-7.29587485573508,-1.06184147022389,1.33058813343877,4.66026098077947,9.39675903320312,-0.805851563163426,-0.689821742475033,0.250041827559471,-0.328759383410215,-3.13555337488651,0.926080842812856,-1.42938862352268,0.25,0.6875,0.44444444,0.7,0.90909091,0.84375,0.44444444,10,89.3041931152344,-0.723509454727173,1,0.1,105.297,4,0.4,"2024-09-15",0
"David Festa",30056,"2024-09-09","LAA",8,2024,"MIN","H",24,0,1,9,1,1,0,0,0,0,0,0,4,18,4,4,4,1,3,0,0,0,0,4,9,6.75,9,1.33333333,0,0,5,5,1,0,0,0,0,0.22222222,0.16666667,0.05555556,5.39879080432116,2.25,0.266666666666667,1.75,0.3,0.53571429,6.6664797782898,2.3335202217102,5.30649028606713,224.817471478451,164.37598453229,130.167112379107,1,0.09090909,0.454545454,0.454545454,0,0.2,2,4.5,25,41,66,-0.21909199655056,-0.430436015129089,0.211344003677368,-2.06360006332397,-0.216310277581215,0.738200008869171,0.676599979400635,0.870000004768372,0.673200011253357,1,1,-0.238423958420753,-0.0583682305771594,0,0,0.39393939,94.92307692,0.36363636,86.25,0.24242424,88,-0.439553618431091,0.388580977916718,-1.05669951438904,-1.69059084011958,1.61908740798632,-6.60437196493149,0.325,0.65384615,0.45454545,0.69230769,0.82352941,0.76666667,0.39393939,0.55555556,0.10606061,7,2,2,0,7,4,11,0.63636364,0.18181818,0.18181818,0,0.63636364,0.36363636,5.73051526946144,35,80,48.64347,80,71.59487,57.55969,73.25843,40.48575,55.30099,43.73524,67.8948,57.35274,71.85249,-0.98633,2.5976,90.62,143.32,140.4,93.3,118.16,117.46,104.96,95.52,96.02,96.890303030303,116.026666666667,115.224848484848,0.39393939,0.36363636,0.24242424,94.8961557241587,86.2083333333333,87.9312515258789,-1.58331827016977,1.15839918454488,-7.32107639312744,9.96681096003606,-0.535918513933818,5.39351224899292,-0.431748412549496,0.374822821468115,-1.10564107447863,-1.66057081749806,1.56176175611715,-6.91025671549141,0.32432432,0.62068966,0.45454545,0.66666667,0.83333333,0.76666667,0.43939394,18.25,0.24242424,0.39393939,0.36363636,87.8310241699219,94.8132136418269,86.1238505045573,-6.91812229156494,-1.01511001586914,2.0431653658549,4.28506422042847,9.16385944073017,-1.71276791890462,-1.10564107447863,-0.431748412549496,0.374822821468115,-6.91025671549141,-1.66057081749806,1.56176175611715,0.33333333,0.6,0.45454545,0.66666667,0.83333333,0.76666667,0.45454545,11,93.0115189985795,9.59000049937855,1,0.09090909,109.615,5,0.45454545,"2024-09-09",0
"David Festa",30056,"2024-09-03","@TBR",8,2024,"MIN","A",24,0,1,3.6,1,1,0,0,0,0,0,0,5,21,5,2,2,0,1,0,0,0,0,7,12.6,1.8,9,7,0.142857142,0,7,5,1,1,1,0,0,0.33333333,0.04761905,0.28571429,2.57112137133589,0,0.25,1.2,0.384615384615385,0.66666667,0.966479778289795,2.63352022171021,2.47848818451166,89.9269885913803,22.249043394905,59.8132932931754,1.4,0.076923076,0.538461538,0.384615384,0.2,0,1,1.8,33,57,90,-0.038147933781147,-0.562325954437256,0.524178028106689,0.25999990105629,0.0285557396709919,1.44230437278748,0.992280006408691,0.870000004768372,0.787000000476837,1,1,0.0731291323900223,-0.0995784273522363,0,0,0.38888889,94.37142857,0.27777778,86.12,0.33333333,88.4,-0.172659829258919,1.29669451713562,0.0592911802232265,-0.493313797882625,5.18677806854248,0.197637267410755,0.36842105,0.75757576,0.51111111,0.47619048,0.88,0.69565217,0.36666667,0.80952381,0.15555556,6,3,4,1,8,4,13,0.46153846,0.23076923,0.30769231,0.07692308,0.61538462,0.30769231,0.417579889823077,58,54.10208,60.50748,50.33617,56.72162,60.23911,50.39418,59.05005,62.79273,69.92684,56.03369,65.25511,55.88258,-0.24944,3.70293,95.3,105.42,102.68,108.5,95.94,104.12,90.94,121.1,119.32,99.1179775280899,106.202921348315,107.904269662921,0.38888889,0.27777778,0.33333333,94.3314313616071,86.08,88.3700032552083,-1.80998840332031,0.684625473022461,-9.26321818033854,11.3837219238281,0.42716796875,6.07218221028646,-0.180327903479338,1.3003158159554,0.0519453287124634,-0.515222581369536,5.2012632638216,0.173151095708211,0.32653061,0.73170732,0.51111111,0.4375,0.83333333,0.69565217,0.45555556,19.26086957,0.33333333,0.38888889,0.27777778,88.482080078125,94.4409458705357,86.18841796875,-8.60584411621094,-1.06437301635742,1.75368103027344,4.14005406697591,9.91910574776786,-1.42014389038086,0.0519453287124634,-0.180327903479338,1.3003158159554,0.173151095708211,-0.515222581369536,5.2012632638216,0.32653061,0.73170732,0.51111111,0.4375,0.83333333,0.69565217,0.45555556,13,91.5759465144231,13.8753286508413,0,0,107.467,5,0.38461538,"2024-09-03",0
"David Festa",30056,"2024-08-28","ATL",8,2024,"MIN","H",24,0,1,3,1,1,1,0,0,0,0,0,6,21,2,2,2,1,1,0,0,0,0,7,10.5,1.5,3,7,0,0,7,4,2,0,0,0,0,0.33333333,0.04761905,0.28571429,2.49804427482099,1.5,0.1,0.5,0.0833333333333333,0.625,3.49981311162313,-0.499813111623129,2.34115204910437,74.9391571594836,85.4165727892983,56.3967040271735,1.75,0.153846153,0.538461538,0.307692307,0,0.25,1,1.5,30,58,88,0.129164054989815,-0.202275991439819,0.331440031528473,1.52640008926392,0.159999996423721,0.75883811712265,0.980742871761322,0.870000004768372,2.43959999084473,1,1,0.181749165058136,-0.0115362407527823,0,0,0.29545455,94.03846154,0.46590909,85.75609756,0.23863636,88.23809524,-0.567296624183655,2.37650465965271,0.0753942355513573,-2.18191009301406,5.79635282842124,0.359020169292177,0.29166667,0.575,0.42045455,0.57142857,0.82608696,0.72972973,0.45454545,0.52380952,0.11363636,6,4,3,1,4,8,13,0.46153846,0.30769231,0.23076923,0.07692308,0.30769231,0.61538462,3.35802137879147,64,72.09211,61.43403,80,55.46644,55.68718,47.42341,51.52802,56.33874,61.6929,59.8957,62.45443,66.84161,-0.48937,3.34304,94.42,129.46,132.14,101.66,103.08,104.98,90.46,105.72,100.38,94.7140909090909,110.605227272727,109.318181818182,0.29545455,0.46590909,0.23863636,94.0115403395433,85.7463438452744,88.1904761904762,-1.73665692256047,0.468870256005264,-8.93397086007255,10.8128967285156,-0.249426376528856,6.3335687546503,-0.556073758751154,2.44746095687151,0.0698983110487461,-2.13874522596598,5.96941696797929,0.332849100232124,0.28888889,0.55813953,0.42045455,0.61538462,0.79166667,0.72972973,0.48863636,17.07462687,0.23863636,0.29545455,0.46590909,88.1393171037946,93.9690786508413,85.6912157012195,-8.80067734491258,-1.32484377347506,1.03026971584413,4.96685536702474,9.84515146108774,-1.52870959770389,0.0698983110487461,-0.556073758751154,2.44746095687151,0.332849100232124,-2.13874522596598,5.96941696797929,0.29545455,0.54545455,0.42045455,0.61538462,0.79166667,0.72972973,0.5,13,93.2808274489183,6.21080310528095,1,0.07692308,107.515,6,0.46153846,"2024-08-28",0
"David Festa",30056,"2024-08-23","STL",8,2024,"MIN","H",24,0,1,7.36363764045674,1,1,0,0,0,0,0,0,3.2,16,3,3,3,0,2,0,0,0,0,5,12.2727294007612,4.9090917603045,7.36363764045674,2.5,0,0,2,2,5,0,0,0,0,0.3125,0.125,0.1875,3.76373689651489,0,0.214285714285714,1.36363660008458,0.333333333333333,0.4,2.07557049822213,5.28806714223462,2.90030249916601,183.941599467892,49.9037225997897,70.3070082606168,1,0.555555555,0.222222222,0.222222222,0,0,1,2.45454588015225,30,45,75,-0.190959990024567,-0.46357199549675,0.272612005472183,-1.37859988212585,-0.144507333636284,1.12684440612793,0.978200018405914,0.870000004768372,0.941600024700165,1,1,-0.0444563739001751,-0.125008007327704,0,0,0.44,94.36363636,0.26666667,85.65,0.29333333,88.72727273,-0.216787368059158,0.666462779045105,-0.14457280933857,-0.656931418361086,3.33231389522552,-0.657149133357135,0.31914894,0.60714286,0.42666667,0.53333333,0.88235294,0.71875,0.37333333,0.4375,0.12,4,4,1,2,5,2,9,0.44444444,0.44444444,0.11111111,0.22222222,0.55555556,0.22222222,5.68630675851278,47,52.24453,48.14892,65.20616,45.22288,55.78214,53.18387,51.96947,60.19729,59.31668,46.64732,56.66322,60.99123,0.3337,4.57764,96.62,110.28,105,96.94,95.22,100.78,83.02,107.68,100.28,93.1341333333333,102.960266666667,101.884533333333,0.44,0.26666667,0.29333333,94.2727272727273,85.7650024414063,88.6136363636364,-0.583879933212743,1.01528520584106,-7.44833651455966,10.1411188299006,-0.495135116577148,6.31548656116832,-0.222200401127338,0.713314291089773,-0.148185428231955,-0.673334548870723,3.56657145544887,-0.673570128327066,0.275,0.6,0.42666667,0.54545455,0.80952381,0.71875,0.46666667,18.83050847,0.29333333,0.44,0.26666667,88.5658125443892,94.2430604876894,85.7082092285156,-7.50740120627663,-0.389601360667836,1.3811770439148,5.08253166892312,9.14872880415483,-1.73669681549072,-0.148185428231955,-0.222200401127338,0.713314291089773,-0.673570128327066,-0.673334548870723,3.56657145544887,0.28205128,0.58333333,0.42666667,0.54545455,0.80952381,0.71875,0.48,9,83.9398532443576,10.169561598036,0,0,101.27,1,0.11111111,"2024-08-23",0
"David Festa",30056,"2024-08-17","@TEX",8,2024,"MIN","A",24,0,0,3.6,1,1,0,0,0,0,0,0,5,21,6,2,2,0,0,0,0,0,0,6,10.8,0,10.8,6,0,0,5,6,4,0,0,0,0,0.28571429,0,0.28571429,2.7650760295161,0,0.285714285714286,1.2,0.4,0.66666667,0.766479778289795,2.8335202217102,2.58088986575603,89.9269885913803,17.2621331795581,62.3607982446036,0.833333333,0.266666666,0.333333333,0.4,0,0,1,1.8,27,54,81,-0.0088599780574441,-0.352048069238663,0.34318807721138,0.454999953508377,0.0472481846809387,0.956190466880798,0.898079991340637,0.870000004768372,0.821999967098236,1,1,0.0364545248448849,-0.0457204382421878,0,0,0.43209877,94.17142857,0.27160494,85.18181818,0.2962963,88.58333333,-0.817528665065765,0.107509456574917,1.03329372406006,-2.33579618590219,0.488679348067804,4.30539051691691,0.33333333,0.83333333,0.55555556,0.53333333,0.8,0.71111111,0.44444444,0.47619048,0.16049383,6,6,3,2,9,4,15,0.4,0.4,0.2,0.13333333,0.6,0.26666667,1.93244935353058,57,44.63224,56.32774,59.04737,44.52797,57.2554,35.74728,47.03018,50.10341,53.88057,41.28132,57.39759,46.80024,0.66707,5.0777,81.72,92.82,90.62,101.8,90.44,90.92,84.38,109.42,104.14,91.119012345679,96.3002469135802,94.4217283950617,0.43209877,0.27160494,0.2962963,94.0971400669643,85.1727294921875,88.5625,-0.770973205566406,0.402722488750111,-8.8761952718099,10.5765502929688,0.43811017816717,6.41356531778971,-0.743715163320303,0.148414179682732,1.04412787407637,-2.12490046662944,0.67460990764878,4.35053280865153,0.31707317,0.8,0.55555556,0.46153846,0.8125,0.71111111,0.49382716,18.25,0.2962963,0.43209877,0.27160494,88.8656514485677,94.4083217075893,85.4718295010653,-8.14957618713379,-0.052183655330113,1.23695373535156,4.76675128936768,9.31240408761161,-0.793959704312411,1.04412787407637,-0.743715163320303,0.148414179682732,4.35053280865153,-2.12490046662944,0.67460990764878,0.33333333,0.76190476,0.55555556,0.46153846,0.8125,0.71111111,0.51851852,15,89.721875,9.07010803222656,2,0.13333333,109.525,6,0.4,"2024-08-17",0
"David Festa",30056,"2024-08-11","CLE",8,2024,"MIN","H",24,0,0,2.70000025749209,1,1,0,0,0,0,0,0,3.1,16,3,1,1,1,3,0,0,0,0,3,8.10000077247627,8.10000077247627,8.10000077247627,1,0,0,3,6,1,2,0,0,0,0.1875,0.1875,0,6.44451424026489,2.70000025749209,0.230769230769231,1.80000017166139,0.222222222222222,1,7.96648023605351,-5.26647997856142,6.78809525487332,67.4452478756153,196.790912346177,167.025843097474,0.5,0.1,0.3,0.6,0.333333333,0.166666666,1,2.70000025749209,24,46,70,-0.0936280190944672,-0.323003977537155,0.229375958442688,-0.616599917411804,-0.0646331161260605,1.16341173648834,0.993900001049042,0.870000004768372,3.09599995613098,1,1,-0.037962406873703,-0.0425147072536439,0,0,0.41428571,94.65517241,0.17142857,85.25,0.41428571,88.79310345,0.301238924264908,-0.0901460200548172,-0.918426811695099,1.0387549112583,-0.751216833790143,-3.16698900584517,0.28571429,0.64285714,0.42857143,0.66666667,0.83333333,0.76666667,0.4,0.75,0.1,6,0,4,3,3,4,10,0.6,0,0.4,0.3,0.3,0.4,6.1562660255511,41,62.43833,43.46662,71.85912,69.8104,55.13102,66.63355,39.80083,57.18065,44.76567,63.16297,51.92679,69.86725,-0.69236,3.03855,92.18,127.78,120.5,99.32,109.64,111.96,103.88,70.82,68.16,97.1121739130435,110.512753623188,107.931884057971,0.41428571,0.17142857,0.41428571,94.6034482758621,85.3083343505859,88.7448309536638,-1.11810500046303,1.01952934265137,-7.29218476394127,10.4998116328798,0.655770897865295,6.0768990352236,0.298222776502371,-0.113713212311268,-0.896842200309038,1.02835440173231,-0.947610102593899,-3.09255931141048,0.28125,0.55263158,0.42857143,0.66666667,0.80952381,0.76666667,0.54285714,18.44444444,0.41428571,0.41428571,0.17142857,88.4934334590517,94.3516382677802,85.0449981689453,-7.02934317753233,-0.613500989716628,1.8159974416097,4.99410958125674,9.84844339304957,-0.404624223709106,-0.896842200309038,0.298222776502371,-0.113713212311268,-3.09255931141048,1.02835440173231,-0.947610102593899,0.28125,0.55263158,0.42857143,0.66666667,0.80952381,0.76666667,0.54285714,10,89.2430725097656,34.0414184570312,0,0,101.707,4,0.4,"2024-08-11",0
"David Festa",30056,"2024-08-05","@CHC",8,2024,"MIN","A",24,1,0,0,1,1,0,0,0,0,0,0,5,19,2,0,0,0,2,0,0,0,0,9,16.2,3.6,3.6,4.5,0,0,3,2,3,0,0,0,0,0.47368421,0.10526316,0.36842105,2.11147145887363,0,0.117647058823529,0.8,0.25,1,0.766479778289795,-0.766479778289795,1.37128314077854,0,17.2621331795581,32.2687227658104,1.5,0.375,0.375,0.25,0,0,2,3.6,31,51,82,0.283084034919739,-0.123467996716499,0.406552016735077,2.34500002861023,0.251339763402939,1.11438000202179,1.06088006496429,0.870000004768372,1.35759997367859,1,1,0.241686195135117,0.0123420846313428,0,0,0.40243902,94.51515152,0.23170732,86.84210526,0.36585366,88.53333333,-0.57050085067749,1.63242101669312,0.811337769031525,-1.72879045659846,8.59168956154271,2.70445923010508,0.38333333,0.59090909,0.43902439,0.56521739,0.76923077,0.63888889,0.26829268,0.63157895,0.15853659,1,3,4,3,4,1,8,0.125,0.375,0.5,0.375,0.5,0.125,1.86365081536118,70,56.70969,49.24755,61.58977,57.66271,54.91807,55.91183,47.43684,66.22941,53.89481,54.22959,58.04559,59.1366,-0.13736,3.87105,84.74,120.14,122.94,90.9,107.04,106.14,111.68,95.54,100.02,93.4612195121951,109.168048780488,110.868292682927,0.40243902,0.23170732,0.36585366,94.4575787168561,86.7315802323191,88.436669921875,-1.2103385925293,0.550122662594444,-7.72091115315755,10.3016172466856,0.456831379940635,5.78380889892578,-0.58202750235796,1.68696334213018,0.844745550304651,-1.76371970411503,8.87875443226413,2.8158185010155,0.36,0.5625,0.43902439,0.44444444,0.83333333,0.63888889,0.3902439,18.52380952,0.36585366,0.40243902,0.23170732,88.8982421875,94.9294951467803,87.1917853104441,-7.61629028320313,-0.865027051983458,1.06412104556435,4.48336639404297,9.18925522312973,-0.947438892565275,0.844745550304651,-0.58202750235796,1.68696334213018,2.8158185010155,-1.76371970411503,8.87875443226413,0.375,0.52941176,0.43902439,0.44444444,0.83333333,0.63888889,0.41463415,8,80.2801132202148,14.7077417373657,0,0,104.429,2,0.25,"2024-08-05",0
