"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","CB%","CBv","SF%","SFv","XX%","wFB","wCB","wSF","wFB/C","wCB/C","wSF/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_FS","pb_s_FS","pb_c_FS","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_FS","sp_l_FS","sp_p_FS","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFS%","pfxCU%","pfxvFA","pfxvFS","pfxvCU","pfxFA-X","pfxFS-X","pfxCU-X","pfxFA-Z","pfxFS-Z","pfxCU-Z","pfxwFA","pfxwFS","pfxwCU","pfxwFA/C","pfxwFS/C","pfxwCU/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCU%","piFA%","piSI%","pivCU","pivFA","pivSI","piCU-X","piFA-X","piSI-X","piCU-Z","piFA-Z","piSI-Z","piwCU","piwFA","piwSI","piwCU/C","piwFA/C","piwSI/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Jhoan Duran",21029,"2024-09-26","MIA",8,2024,"MIN","H",26,0,0,0,1,0,0,0,0,0,0,0,2,7,1,0,0,0,1,0,0,0,0,4,18,4.5,4.5,4,0,0,1,1,0,0,0,0,0,0.57142857,0.14285714,0.42857143,1.57546376868563,0,0.166666666666667,1,0.5,1,0.666479778289795,-0.666479778289795,1.42248398140073,0,14.7686780718847,33.5424752415245,1,0,0.5,0.5,0,0,2,9,10,21,31,0.161036014556885,-0.198736011981964,0.359772026538849,0.967999994754791,0.101467505097389,1.93885004520416,1.3840000629425,0.470400005578995,2.65960001945496,1,1,0.0692072585225105,0.0138502295773118,1,0,0.41935484,100.46153846,0.25806452,86,0.32258065,97.4,NA,-0.373361945152283,0.112592309713364,0.409912914037704,-2.87201496270987,1.40740387141705,4.09912914037704,0.44444444,0.46153846,0.4516129,0.5,0.5,0.5,0.41935484,0.71428571,0.22580645,0,1,1,0,1,1,2,0,0.5,0.5,0,0.5,0.5,-0.104231271376384,52.82539,48.55853,69.96876,45.10937,55.34327,48.96949,80,40.31871,80,57.64788,45.75744,68.28653,-0.34972,3.55251,130.88,79.86,98.92,95.68,109.14,112.1,122.14,121.74,153.42,119.477948717949,98.5533333333333,117.816923076923,0.41935484,0.32258065,0.25806452,100.230769230769,97.2400024414062,85.8874969482422,-7.08380009577824,-6.23141899108887,3.28929853439331,7.46624227670523,2.22172660827637,-5.6395468711853,-0.376858416944742,0.412011496722698,0.134866274893284,-2.89891089957494,4.12011496722698,1.68582843616605,0.35714286,0.52941176,0.4516129,0.2,0.66666667,0.5,0.5483871,18.875,0.25806452,0.41935484,0.32258065,85.8834381103516,100.237060546875,97.2476928710937,3.92337250709534,-6.66381483811599,-5.92004623413086,-6.90792369842529,6.56939286452073,1.03653173446655,0.134866274893284,-0.376858416944742,0.412011496722698,1.68582843616605,-2.89891089957494,4.12011496722698,0.42857143,0.47058824,0.4516129,0.16666667,0.75,0.5,0.5483871,2,95.7570343017578,9.07387924194336,0,0,98.1654,1,0.5,"2024-09-26",0
"Jhoan Duran",21029,"2024-09-25","MIA",8,2024,"MIN","H",26,0,0,0,1,0,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,1,13.500014081612,0,13.500014081612,1,1,0,1,0,1,0,1,0,0,0.33333333,0,0.33333333,1.13839575453556,0,0.333333333333333,1.50000156462356,0.5,1,0.166476649042681,-0.166476649042681,0.166476649042681,0,2.30132450714558,2.29606542354053,1,0.5,0.5,0,0,0,0,0,4,10,14,0.00479201134294271,-0.0068639968521893,0.0116560077294707,0.254999995231628,0.0267295595258474,0.190666660666466,0.0671999976038933,0.134399995207787,0.151600003242493,1,1,0.00380643247626722,0.021326494938481,0,0,0.5,101,0.42857143,85.66666667,0.07142857,97,NA,0.640141129493713,-0.564868211746216,-0.0344077162444592,9.14487327848162,-9.41447019577026,-3.44077162444592,0.5,0.75,0.57142857,0.6,1,0.75,0.28571429,0.33333333,0.14285714,0,1,1,1,1,0,2,0,0.5,0.5,0.5,0.5,0,3.82898528337677,20,54.06409,21.76165,62.50038,64.70824,64.83047,20,50.40167,20,31.36078,55.44004,33.7262,1.2834,6.00219,135.72,34.56,57.5,112.9,60.68,82.98,127.88,21.66,53.58,133.833,51.661,80.082,0.5,0.07142857,0.42857143,100.985717773438,97.4000015258789,85.7833353678385,-7.18553379603795,-7.10004281997681,2.94086647033691,7.88540921892439,0.916010200977325,-6.62546984354655,0.69095703214407,-0.0350487045943737,-0.574279278516769,9.87081474491528,-3.50487045943737,-9.57132130861282,0.44444444,0.8,0.57142857,0.75,0.5,0.625,0.35714286,20.09090909,0.42857143,0.5,0.07142857,85.6598714192708,100.883431570871,97.2536010742188,3.77366320292155,-6.66596439906529,-7.14152002334595,-8.26054191589355,7.04320853097098,-0.0629459992051125,-0.574279278516769,0.69095703214407,-0.0350487045943737,-9.57132130861282,9.87081474491528,-3.50487045943737,0.44444444,0.6,0.5,0.75,0.66666667,0.71428571,0.35714286,2,90.7485580444336,-8.94749641418457,0,0,100.017,1,0.5,"2024-09-25",0
"Jhoan Duran",21029,"2024-09-20","@BOS",8,2024,"MIN","A",26,0,0,0,1,0,0,0,0,0,0,0,1,6,2,0,0,0,0,0,1,0,0,2,18,0,18,2,1,0,1,0,2,0,1,0,0,0.33333333,0,0.33333333,1.64500686612628,0,0.4,2,0.666666666666667,1,2.1664797782898,-2.1664797782898,2.1664797782898,0,52.170504686986,52.0512824543046,1,0.666666666,0.333333333,0,0,0,0,0,6,14,20,0.112160004675388,-0.108172029256821,0.220332026481628,0.546999990940094,0.0526974946260452,2.55060005187988,1.81840002536774,1.81840002536774,2.30200004577637,1,1,0.0141702555119991,0.0298037123363597,1,0,0.5,100.4,0.3,85.16666667,0.2,97.25,NA,-0.108438290655613,0.148186326026917,-0.792530953884125,-1.08438290655613,2.46977210044861,-19.8132738471031,0.4,0.7,0.55,0.5,0.42857143,0.45454545,0.5,0.33333333,0.3,1,0,2,2,1,0,3,0.33333333,0,0.66666667,0.66666667,0.33333333,0,6.9998707416651,59.3242,52.83948,56.89967,68.73654,64.99417,65.01457,56.45724,49.13717,60.72917,63.60511,55.96842,61.50714,-0.71982,2.99736,139.6,68.28,95.28,114.12,113.12,127.14,129,112.32,144.68,132.549230769231,91.9692307692308,119.430769230769,0.5,0.2,0.3,100.25,97.1999969482422,85.3333333333333,-8.36586074829102,-7.44119453430176,5.25248273213704,7.99526062011719,1.49746942520142,-7.69024276733398,-0.112203299999237,-0.800582073628902,0.146901279687881,-1.12203299999237,-20.0145518407226,2.44835466146469,0.25,0.75,0.55,0.5,0.44444444,0.45454545,0.6,20.71428571,0.3,0.5,0.2,85.5335693359375,100.473760986328,97.4248733520508,6.19374847412109,-7.91214981079102,-7.07697248458862,-9.26081848144531,7.14579467773437,0.16766794025898,0.146901279687881,-0.112203299999237,-0.800582073628902,2.44835466146469,-1.12203299999237,-20.0145518407226,0.25,0.75,0.55,0.5,0.44444444,0.45454545,0.6,3,68.6437072753906,7.28931299845378,0,0,73.1529,0,0,"2024-09-20",0
"Jhoan Duran",21029,"2024-09-18","@CLE",8,2024,"MIN","A",26,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,2,0,0,0,0,0,0,0.33333333,0,0.33333333,-0.694826464786218,0,0,0,0,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,27.2359536102518,27.173712862954,2,0,1,0,0,0,2,18,5,6,11,0.13323201239109,0,0.13323201239109,0.479999989271164,0.0506329126656055,1.78213334083557,2.23839998245239,2.23839998245239,3.13160014152527,1,1,0.0747645199298859,-4.67489571844004e-06,1,0,NA,NA,0.27272727,86.33333333,0.72727273,97.25,NA,NA,-0.206386163830757,0.896869242191315,NA,-6.87953879435857,11.2108655273914,0.16666667,0.6,0.36363636,0,0.66666667,0.5,0.45454545,0.33333333,0.18181818,2,0,0,0,2,0,2,1,0,0,0,1,0,-0.216991782152027,20,58.52151,20,NA,NA,NA,40.49586,20,35.51719,22.50933,26.86534,20,1.8333,6.82704,78.68,36.98,30.4,NA,NA,NA,117.08,123.92,164.42,104.364285714286,86.8742857142857,112.198571428571,NA,0.72727273,0.27272727,NA,97.1374969482422,86.0999959309896,NA,-7.58906936645508,5.15765603383382,NA,1.51924514770508,-6.43534215291341,NA,0.898147709667683,-0.210805371403694,NA,11.226846370846,-7.02684571345647,0.33333333,0.4,0.36363636,0.5,0.5,0.5,0.45454545,17.75,0.27272727,NA,0.72727273,85.8695678710938,NA,96.9076766967773,6.10200691223145,NA,-7.35803604125977,-8.19054349263509,NA,0.295222491025925,-0.210805371403694,NA,0.898147709667683,-7.02684571345647,NA,11.226846370846,0.2,0.5,0.36363636,0,0.66666667,0.5,0.54545455,2,91.7993927001953,-27.9626693725586,0,0,92.5694,0,0,"2024-09-18",0
"Jhoan Duran",21029,"2024-09-17","@CLE",8,2024,"MIN","A",26,0,0,0,1,0,0,0,0,0,1,0,1.1,6,1,0,0,0,1,0,0,0,0,2,13.5000032186516,6.75000160932579,6.75000160932579,2,0,0,2,1,0,0,0,0,0,0.33333333,0.16666667,0.16666667,3.69039574374473,0,0.2,1.50000035762795,0.333333333333333,1,2.41647959947582,-2.41647959947582,3.55048617451045,0,58.4041379975233,86.4819978911584,2,0,0.666666666,0.333333333,0,0,0,0,10,20,30,-0.0107679991051555,-0.101860001683235,0.0910920053720474,0.0800000205636024,0.00843882095068693,0.951733291149139,0.940400004386902,1.0103999376297,2.62800002098083,1,1,-0.00156496989075094,-0.00974912325414052,0,0,0.36666667,100.27272727,0.33333333,85.2,0.3,96.44444444,NA,-0.794062197208405,0.478973567485809,0.188517168164253,-7.21874724734913,4.78973567485809,2.09463520182504,0.3125,0.57142857,0.43333333,0.6,0.75,0.69230769,0.46666667,0.5,0.13333333,2,0,1,0,2,1,3,0.66666667,0,0.33333333,0,0.66666667,0.33333333,1.35567371552981,57.07563,55.33817,53.01271,69.9774,50.498,72.08747,79.00112,43.5018,79.46279,68.94425,47.62536,68.63219,-1.05153,2.4998,141.36,114.44,130.7,100.68,122.36,119.48,115.86,139.12,176.12,127.9605,118.581,139.029,0.36666667,0.3,0.33333333,100.10908647017,96.4555528428819,85.1400024414063,-7.54519375887784,-7.11129336886936,4.15654983520508,6.83502821488814,1.52052126990424,-6.06806526184082,-0.804732624441385,0.190317306667566,0.472091920673847,-7.31575113128532,2.11463674075074,4.72091920673847,0.27272727,0.52631579,0.43333333,0.66666667,0.7,0.69230769,0.63333333,19.625,0.33333333,0.36666667,0.3,85.0002624511719,100.006258877841,96.3411593967014,4.99223289489746,-7.18479364568537,-6.85644912719727,-7.33491897583008,6.12124286998402,0.686374929216173,0.472091920673847,-0.804732624441385,0.190317306667566,4.72091920673847,-7.31575113128532,2.11463674075074,0.27272727,0.52631579,0.43333333,0.66666667,0.7,0.69230769,0.63333333,3,85.2940877278646,6.22624588012695,0,0,101.693,1,0.33333333,"2024-09-17",0
"Jhoan Duran",21029,"2024-09-11","LAA",8,2024,"MIN","H",26,0,0,9,1,0,0,0,0,1,0,0,1,6,3,1,1,0,0,0,0,0,0,2,18,0,27,2,0,0,2,0,2,0,0,0,0,0.33333333,0,0.33333333,1.13839575453556,0,0.5,3,0.75,0.66666667,-0.833520221710205,9.83352022171021,-0.833520221710205,224.817471478451,-22.6331485432166,-22.5814263197472,2,0.5,0.5,0,0,0,0,0,7,15,22,0.0316279977560043,-0.193340018391609,0.224968016147614,-0.515999972820282,-0.0540880523622036,2.15948581695557,0.72759997844696,0.72759997844696,NA,0,1,-0.0751292631030083,0.0897753411219847,0,0,0.22727273,100.8,0.27272727,85.83333333,0.5,98,NA,-0.535155415534973,0.664081513881683,-0.776074409484863,-10.7031083106995,11.0680252313614,-7.05522190440785,0.27272727,0.63636364,0.45454545,0,1,0.7,0.5,0.66666667,0.13636364,0,4,0,0,3,1,4,0,1,0,0,0.75,0.25,3.82898528337677,67.76796,56.83003,65.15277,32.14113,61.04111,28.52575,55.90034,44.43496,62.85751,48.82565,52.50333,50.5828,0.19837,4.37465,126.82,117.16,151.1,118.44,37.68,53.68,129.76,107.64,146.84,131.145714285714,97.2257142857143,132.595714285714,0.22727273,0.5,0.27272727,100.779998779297,97.8272705078125,85.8666687011719,-7.65849151611328,-6.13751220703125,3.88675498962402,6.85941009521484,1.0429836619984,-5.79283014933268,-0.543774969875813,-0.789022766053677,0.672346923500299,-10.8754993975163,-7.17293423685161,11.2057820583383,0.2,0.66666667,0.45454545,0,0.875,0.7,0.54545455,20.4375,0.27272727,0.22727273,0.5,85.6936645507812,100.652880859375,97.6548517400568,4.56019020080566,-7.10909957885742,-5.7814018943093,-6.87814521789551,6.07588806152344,-5.2361325784163e-05,0.672346923500299,-0.543774969875813,-0.789022766053677,11.2057820583383,-10.8754993975163,-7.17293423685161,0.2,0.66666667,0.45454545,0,0.875,0.7,0.54545455,4,96.2694320678711,5.47262763977051,0,0,98.0343,2,0.5,"2024-09-11",0
"Jhoan Duran",21029,"2024-09-07","@KCR",8,2024,"MIN","A",26,0,1,81.0000844896721,1,0,0,0,0,0,1,0,0.1,4,2,3,3,0,0,0,1,0,0,1,27.000028163224,0,54.0000563264481,1,0,0,0,0,2,0,0,0,0,0.25,0,0.25,2.72685408401489,0,0.666666666666667,6.00000625849423,1,0,6.16648290753691,74.8336015821352,6.16648290753691,2023.35935383433,151.908787020295,151.56163866777,0,1,0,0,0,0,0,0,7,10,17,-0.240979999303818,-0.28685998916626,0.0458800010383129,-1.41299998760223,-0.138325989246368,2.37400007247925,1.76579999923706,1.76579999923706,5.16559982299805,1,1,-0.0894112810492516,-0.0120967189282523,0,1,0.35294118,100.66666667,0.05882353,86,0.58823529,96.4,NA,-0.369259774684906,-0.4158576130867,-0.219929069280624,-6.15432957808177,-41.58576130867,-2.19929069280624,0.23076923,1,0.41176471,0.66666667,0.75,0.71428571,0.23529412,0.5,0.11764706,0,2,0,0,2,0,2,0,1,0,0,1,0,16.1603213265737,20,68.27706,20,20,61.2305,20,20,34.46693,20,20,45.56157,20,3.7719,9.73494,167.46,-70.78,-51.3,107.38,69.62,81.36,100.98,44.68,58.82,111.795555555556,36.3477777777778,52.1255555555556,0.35294118,0.58823529,0.05882353,100.583333333333,96.3700012207031,86.0999984741211,-7.65850448608398,-7.63031768798828,4.2064847946167,6.82994842529297,2.38805446624756,-7.18369054794312,-0.375670339912176,-0.224438451230526,-0.424290716648102,-6.2611723318696,-2.24438451230526,-42.4290716648102,0.25,0.8,0.41176471,0.66666667,0.75,0.71428571,0.29411765,22,0.05882353,0.35294118,0.58823529,85.9666976928711,100.518737792969,96.2828125,5.40815019607544,-7.29541015625,-7.21030731201172,-9.02964019775391,5.88260332743327,1.1003851890564,-0.424290716648102,-0.375670339912176,-0.224438451230526,-42.4290716648102,-6.2611723318696,-2.24438451230526,0.27272727,0.66666667,0.41176471,0.66666667,0.75,0.71428571,0.35294118,2,97.4248046875,10.4183158874512,0,0,101.47,1,0.5,"2024-09-07",0
"Jhoan Duran",21029,"2024-09-05","@TBR",8,2024,"MIN","A",26,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-22.6331485432166,-22.5814263197472,1,0,1,0,0,0,0,0,2,10,12,0.183660000562668,0,0.183660000562668,0.451999992132187,0.0496430546045303,2.49333333969116,3.33239984512329,3.33239984512329,NA,0,1,0.0737485587596893,-8.81309143628134e-05,1,0,0.58333333,101,0.33333333,86.5,0.08333333,98,NA,0.527915835380554,0.216794580221176,0,7.54165479115077,5.4198645055294,0,0.6,0.57142857,0.58333333,0.33333333,0.75,0.57142857,0.58333333,0.66666667,0.25,1,0,0,0,1,0,1,1,0,0,0,1,0,-1.5928636317418,75.03245,62.95802,66.26865,80,73.83978,80,80,80,80,80,71.3513,80,-2.92464,-0.30987,141.28,132.48,159.32,132.96,125.78,156.8,228.88,180.96,293.22,146.855,133.92875,170.17625,0.58333333,0.08333333,0.33333333,100.971426827567,98,86.3499984741211,-9.13472529820034,-9.55151557922363,5.06892681121826,7.98407091413225,0.68859875202179,-7.08402156829834,0.534129399806261,0,0.219049427658319,7.6304199972323,0,5.47623569145799,0.66666667,0.55555556,0.58333333,0.5,0.6,0.57142857,0.75,17,0.33333333,0.58333333,0.08333333,86.0358505249023,100.680001395089,97.6675033569336,6.30739974975586,-8.42735998971122,-8.98526954650879,-9.32730293273926,6.51748548235212,-1.13099002838135,0.219049427658319,0.534129399806261,0,5.47623569145799,7.6304199972323,0,0.6,0.57142857,0.58333333,0.33333333,0.75,0.57142857,0.58333333,1,75.5158462524414,-20.868989944458,0,0,75.5158,0,0,"2024-09-05",0
"Jhoan Duran",21029,"2024-09-02","@TBR",8,2024,"MIN","A",26,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,2,0,0,0,0,0,0,0.33333333,0,0.33333333,-0.694826464786218,0,0,0,0,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,27.2359536102518,27.173712862954,2,0,1,0,0,0,0,0,7,8,15,0.183660000562668,0,0.183660000562668,0.451999992132187,0.0496430546045303,2.49333333969116,3.33239984512329,3.33239984512329,NA,0,1,0.0737485587596893,-8.81309143628134e-05,1,0,0.21428571,100.33333333,0.21428571,87.66666667,0.57142857,97.75,0.06666667,0.0694210156798363,0.261134058237076,0.394335687160492,2.31403385599454,8.70446860790253,4.92919608950615,0.16666667,0.75,0.5,0,0.83333333,0.71428571,0.57142857,0.33333333,0.13333333,1,1,0,1,0,1,2,0.5,0.5,0,0.5,0,0.5,-0.216991782152027,20,80,20,80,53.19992,80,80,40.85167,80,72.85042,59.77496,69.08329,-1.2942,2.13579,146.78,33.58,77.78,128.72,105.04,121.42,123.76,154.16,181.56,141.442352941176,89.0423529411765,128.325882352941,0.21428571,0.57142857,0.21428571,100.299997965495,97.7750015258789,87.7333374023438,-8.54003206888835,-7.75043821334839,3.76593748728434,7.462340037028,2.35754680633545,-6.02466074625651,0.0700617581605911,0.398808725178242,0.264877170324326,2.33539193868637,4.98510906472802,8.82923901081085,0.2,0.66666667,0.5,0,0.83333333,0.71428571,0.64285714,19,0.21428571,0.21428571,0.57142857,87.8736673990885,100.534637451172,97.9328842163086,5.04220008850098,-7.6856066385905,-7.07224893569946,-8.04706319173177,6.01320012410482,0.7744020819664,0.264877170324326,0.059255987405777,0.398808725178242,8.82923901081085,1.97519958019257,4.98510906472802,0.2,0.66666667,0.5,0,0.83333333,0.71428571,0.64285714,2,105.104431152344,-5.08185625076294,0,0,109.874,2,1,"2024-09-02",0
"Jhoan Duran",21029,"2024-09-01","TOR",8,2024,"MIN","H",26,0,0,0,1,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,1,0,0,1,9,0,0,1,0,0,1,1,0,0,0,0,0,0.25,0,0.25,2.72685408401489,0,0,0,0,1,4.1664797782898,-4.1664797782898,5.67848818451166,0,102.039606840454,139.421515985497,1,0,0.5,0.5,0,0,0,0,4,9,13,0.15855997800827,-0.0812720134854317,0.239831998944283,0.483999997377396,0.0507337525486946,3.1761999130249,2.84479999542236,2.84479999542236,NA,0,1,0.0293072182685137,0.0206140657659233,1,0,0.61538462,101.375,0.38461538,85.8,NA,NA,NA,0.190254017710686,0.183196127414703,NA,2.37817522138357,3.66392254829407,NA,0.42857143,0.5,0.46153846,0.66666667,1,0.83333333,0.46153846,0.75,0.07692308,0,0,2,1,1,0,2,0,0,1,0.5,0.5,0,2.89021693330677,59.66309,50.18236,55.69284,80,67.15713,79.54737,NA,NA,NA,80,55.74458,74.11218,-2.24304,0.71253,131.94,115.06,132.64,127.36,127.04,146.98,NA,NA,NA,132.543333333333,117.378888888889,138.891111111111,0.61538462,NA,0.38461538,101.349998474121,NA,85.6400024414063,-7.86047220230103,NA,4.38678779602051,7.68549156188965,NA,-5.92292861938477,0.189431849867105,NA,0.184735901653767,2.36789812333882,NA,3.69471803307533,0.5,0.42857143,0.46153846,0.66666667,1,0.83333333,0.53846154,20.55555556,0.38461538,0.61538462,NA,85.5478210449219,101.287902832031,NA,5.1687141418457,-7.3841814994812,NA,-7.27195205688477,6.78617763519287,NA,0.184735901653767,0.189431849867105,NA,3.69471803307533,2.36789812333882,NA,0.5,0.42857143,0.46153846,0.66666667,1,0.83333333,0.53846154,2,88.5859451293945,37.3373756408691,0,0,88.5859,0,0,"2024-09-01",0
