"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","CH%","CHv","XX%","wFB","wSL","wCB","wCH","wFB/C","wSL/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_KC","pb_s_KC","pb_c_KC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_KC","sp_l_KC","sp_p_KC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSL%","pfxKC%","pfxCH%","pfxvFA","pfxvSL","pfxvKC","pfxvCH","pfxFA-X","pfxSL-X","pfxKC-X","pfxCH-X","pfxFA-Z","pfxSL-Z","pfxKC-Z","pfxCH-Z","pfxwFA","pfxwSL","pfxwKC","pfxwCH","pfxwFA/C","pfxwSL/C","pfxwKC/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piSL%","pivCH","pivCU","pivFA","pivSL","piCH-X","piCU-X","piFA-X","piSL-X","piCH-Z","piCU-Z","piFA-Z","piSL-Z","piwCH","piwCU","piwFA","piwSL","piwCH/C","piwCU/C","piwFA/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Cristian Javier",17606,"2024-05-21","LAA",21,2024,"HOU","H",27,0,0,9,1,1,0,0,0,0,0,0,4,21,8,4,4,1,3,0,0,0,0,1,2.25,6.75,18,0.33333333,0,0,2,6,9,0,0,0,0,0.04761905,0.14285714,-0.0952381,7.85300345620871,2.25,0.444444444444444,2.75,0.4375,0.72916667,8.16647977828979,0.833520221710206,7.1844923876226,226.753327126354,203.204196447948,176.887240353256,0.333333333,0.529411764,0.117647058,0.352941176,0,0.166666666,2,4.5,31,40,71,-0.257356017827988,-0.647639989852905,0.39028400182724,-2.0922999382019,-0.221759408712387,1.10339093208313,0.967500030994415,0.870000004768372,0.664799988269806,1,1,-0.239421620965004,0.00618060878619592,0,0,0.47887324,90.47058824,0.22535211,75.75,0.08450704,73.83333333,0.21126761,80.73333333,NA,0.438393294811249,-2.50596165657043,-0.550610184669495,-0.211077451705933,1.2893920435625,-15.6622603535652,-9.17683641115824,-1.40718301137288,0.34782609,0.72,0.47887324,0.75,0.88888889,0.82352941,0.35211268,0.57142857,0.08450704,10,5,2,1,13,3,17,0.58823529,0.29411765,0.11764706,0.05882353,0.76470588,0.17647059,15.7520483362422,24,71.66371,54.2771,73.46734,34.03785,46.78467,26.81861,20.50045,36.80231,20,80,39.32987,80,40.34876,44.05927,38.52632,0.72501,5.16461,91.18,120.7,115.92,94.4,77.5,83.58,108.14,69.2,72.02,82.92,121.64,113.06,95.8459154929577,88.4864788732394,90.2985915492958,0.47887324,0.22535211,0.08450704,0.21126761,90.4470573874081,75.7437515258789,73.6499989827474,80.7666666666667,-4.37014905144187,9.54975128173828,7.1774730682373,-8.75696004231771,11.8281842400046,-2.15993523597717,-6.83587137858073,3.03375396728516,0.519068241119385,-2.52687794342637,-0.556417316198349,-0.132205441594124,1.52667129740996,-15.7929871464148,-9.27362193663915,-0.881369610627492,0.28571429,0.75862069,0.47887324,0.83333333,0.81818182,0.82352941,0.4084507,20.22916667,0.21126761,0.05633803,0.47887324,0.25352113,81.1044514973958,73.8532485961914,90.7942181755515,75.8937649197049,-8.35460815429687,6.84611749649048,-3.91603985954733,9.95412868923611,1.19811236063639,-9.20518970489502,10.4520120059743,-4.20665105183919,-0.132205441594124,-0.745808102190495,0.519068241119385,-2.33748715743423,-0.881369610627492,-18.6452025547624,1.52667129740996,-12.9860397635235,0.28947368,0.6969697,0.47887324,0.81818182,0.82608696,0.82352941,0.46478873,17,91.2012867647059,23.3046390309053,0,0,109.569,7,0.41176471,"2024-05-21",0
"Cristian Javier",17606,"2024-05-16","OAK",21,2024,"HOU","H",27,1,0,0,1,1,1,0,0,0,0,0,6,21,2,0,0,0,1,0,0,0,0,8,12,1.5,3,8,0,0,6,5,1,2,0,0,0,0.38095238,0.04761905,0.33333333,2.19655901841668,0,0.1,0.5,0.166666666666667,1,0.999813111623129,-0.999813111623129,2.25982011680802,0,23.24335105021,54.3733632214719,1.2,0.083333333,0.5,0.416666666,0.4,0,8,12,29,52,81,0.174850031733513,-0.031905971467495,0.206755995750427,2.8617000579834,0.303306818008423,0.436018168926239,0.5496666431427,0.870000004768372,0.0458000004291534,1,1,0.320972204208374,0.0800432676103982,0,0,0.3,91.125,0.35,76.82142857,0.0375,76,0.3125,80.4,0.01234568,1.27129030227661,0.399112701416016,-0.00449865683913231,1.29628133773804,5.29704292615255,1.4254025050572,-0.149955227971077,5.18512535095215,0.28571429,0.71052632,0.4875,0.5,0.66666667,0.61538462,0.475,0.42857143,0.18518519,7,2,3,3,6,3,12,0.58333333,0.16666667,0.25,0.25,0.5,0.25,0.0277010376666714,77,66.60406,61.12883,57.96474,46.42825,49.10482,46.61094,46.89964,38.66154,46.64554,20,39.31313,20,50.55572,51.7264,46.95443,0.09089,4.21343,90.64,115.44,109.36,100.8,100.22,103.32,104.96,107.44,109.76,98.42,26.32,20.4,98.99175,104.732,104.352,0.3,0.35,0.0375,0.3125,91.0458374023438,76.8321446010045,76.1333312988281,80.3160009765625,-3.16765975952148,9.58265359061105,9.37344233194987,-8.48896606445313,11.7310612996419,-1.41598619733538,-5.46256001790365,3.00225250244141,1.24704445153475,0.403675314038992,-0.00491325184702873,1.29906773194671,5.19601854806145,1.44169755013926,-0.163775061567624,5.19627092778683,0.17142857,0.73333333,0.4875,0.5,0.63636364,0.61538462,0.5625,20.38983051,0.3125,0.025,0.3,0.3625,80.542314453125,76.2412567138672,91.2977905273438,77.0422447467672,-8.20776184082031,8.35749053955078,-2.70678043365479,10.1372985839844,1.34232559204102,-7.43742513656616,10.5920257568359,-2.93598438131398,1.29906773194671,-0.0731270276010036,1.24704445153475,0.461083319038153,5.19627092778683,-3.65635138005018,5.19601854806145,1.58994247944191,0.14705882,0.73913043,0.4875,0.4,0.64705882,0.61538462,0.575,12,84.9064788818359,23.6924006144206,0,0,104.299,2,0.16666667,"2024-05-16",0
"Cristian Javier",17606,"2024-05-11","@DET",21,2024,"HOU","A",27,0,1,47.2500112652805,1,1,0,0,0,0,0,0,1.1,13,5,7,7,2,4,0,0,0,0,0,0,27.0000064373032,33.750008046629,0,0.5,0,2,4,3,0,1,0,0,0,0.30769231,-0.30769231,11.7100604266501,13.5000032186516,0.555555555555556,6.75000160932579,0.428571428571429,0.32258065,31.6664865732209,15.5835246920596,16.7025082241961,1190.45525124001,793.308534541212,413.672341699189,0.5,0.333333333,0.222222222,0.444444444,0,0.5,0,0,29,21,50,-0.371668010950089,-0.531868040561676,0.160199999809265,-6.29300022125244,-0.663818538188934,1.38117337226868,0.894999980926514,0.870000004768372,0.0663999989628792,1,1,-0.377689123153687,0.108593281594276,0,0,0.4,91.35,0.26,77.61538462,0.04,75.5,0.3,81.8,NA,-3.31732153892517,0.287293434143066,-0.00848141312599182,-1.76248180866241,-16.5866076946259,2.2099494934082,-0.424070656299591,-11.7498787244161,0.0625,0.72222222,0.3,0.5,1,0.93333333,0.36,0.53846154,0.02,8,0,1,0,4,5,9,0.88888889,0,0.11111111,0,0.44444444,0.55555556,31.8175614992809,-4,61.2663,51.11322,62.63531,20.75768,42.18257,20,20,44.71557,20,42.39448,46.2758,61.84975,24.51843,46.10481,24.27372,1.70849,6.63983,79.88,112.6,106.76,82.74,51.56,50.54,102.76,70.56,78.38,90.68,91.4,92.06,87.4048,76.4056,76.3052,0.4,0.26,0.04,0.3,91.2900024414062,77.5923086313101,75.5,81.8399983723958,-2.61464462280273,9.74486776498648,9.10810279846191,-7.30277964274089,10.5063888549805,-2.21884155273438,-6.8494291305542,3.34709447224935,-3.3516252823174,0.332110065966845,-0.00895778834819794,-1.73334177583456,-16.758126411587,2.55469281512957,-0.447889417409897,-11.5556118388971,0.07142857,0.59090909,0.3,0.5,1,0.93333333,0.44,21.43243243,0.3,0.04,0.4,0.26,82.1225992838542,75.7758483886719,91.6064147949219,77.8857234074519,-7.29345550537109,9.34273529052734,-2.47578659057617,10.2760244516226,2.27509562174479,-7.50969505310059,10.0797462463379,-3.20735139113206,-1.73334177583456,-0.00895778834819794,-3.3516252823174,0.332110065966845,-11.5556118388971,-0.447889417409897,-16.758126411587,2.55469281512957,0.06896552,0.61904762,0.3,0.5,1,0.93333333,0.42,9,96.3682996961806,19.5610198974609,3,0.33333333,107.708,5,0.55555556,"2024-05-11",0
"Cristian Javier",17606,"2024-04-14","TEX",21,2024,"HOU","H",27,1,0,2.57142857142857,1,1,1,0,0,0,0,0,7,27,5,2,2,1,2,0,0,0,0,5,6.42857142857143,2.57142857142857,6.42857142857143,2.5,0,0,3,12,5,1,0,0,0,0.18518519,0.07407407,0.11111111,5.44777983891384,1.28571428571429,0.2,1,0.210526315789474,0.89285714,4.45219406400408,-1.88076549257551,5.18706561752728,64.7866648932442,109.935452653771,127.196116876583,0.25,0.25,0.15,0.6,0.083333333,0.083333333,8,10.2857142857143,27,62,89,0.18099208176136,-0.290058016777039,0.471050083637238,1.33869993686676,0.141886591911316,0.850000023841858,0.904314279556274,0.870000004768372,0.127399995923042,1,1,0.0824058055877686,0.130526049335372,0,0,0.48314607,92.1627907,0.28089888,78,0.06741573,75.66666667,0.16853933,81.93333333,NA,-0.832517266273499,-0.249953851103783,0.468860119581223,0.868080198764801,-1.93608666575232,-0.999815404415131,7.81433532635371,5.78720132509867,0.34090909,0.68888889,0.51685393,0.6,0.80645161,0.73913043,0.50561798,0.74074074,0.13483146,6,9,5,2,11,7,20,0.3,0.45,0.25,0.1,0.55,0.35,5.07948176151269,60,60.23775,54.69828,50.29972,62.64753,48.36942,66.25735,38.67192,43.68813,35.88776,75.50975,37.74287,80,57.52829,46.52756,57.52999,-0.34229,3.56366,89.72,92.92,92.3,101.82,124.06,127.2,117.98,76.12,87.42,97.68,130.9,115.42,104.040898876404,105.806516853933,109.349662921348,0.48314607,0.28089888,0.06741573,0.16853933,92.1000011355378,77.947998046875,75.6833343505859,81.8600016276042,-3.81444105991097,8.25187927246094,7.08167139689128,-7.48018747965495,11.5923107058503,0.585990905761719,-6.04181162516276,4.53522288004557,-0.842641454190016,-0.232665963470936,0.474427565932274,0.873967826366425,-1.95963128881399,-0.930663853883743,7.90712609887123,5.82645217577616,0.32432432,0.65384615,0.51685393,0.58333333,0.79411765,0.73913043,0.58426966,20.64516129,0.16853933,0.06741573,0.48314607,0.28089888,82.2449869791667,76.0933990478516,92.5025890261628,78.3424560546875,-6.88564249674479,7.66781171162923,-3.19621099427689,8.96665832519531,3.05702540079753,-7.42925516764323,10.4013955759448,-0.891121673583984,0.873967826366425,0.474427565932274,-0.842641454190016,-0.232665963470936,5.82645217577616,7.90712609887123,-1.95963128881399,-0.930663853883743,0.32432432,0.65384615,0.51685393,0.58333333,0.79411765,0.73913043,0.58426966,20,90.6166198730469,26.9244995117188,1,0.05,104.904,8,0.4,"2024-04-14",0
"Cristian Javier",17606,"2024-04-09","@KCR",21,2024,"HOU","A",27,0,0,3.37500020116569,1,1,0,0,0,0,0,0,5.1,25,5,3,2,0,3,0,0,0,0,4,6.75000040233138,5.06250030174853,8.43750050291422,1.33333333,0.166666666,0,6,9,2,0,1,1,0,0.16,0.12,0.04,5.65934188401489,0,0.227272727272727,1.50000008940697,0.277777777777778,0.625,3.35397978946567,0.0210204117000212,5.90549412704717,85.0325027407151,82.3583964760324,145.068872118575,0.666666666,0.117647058,0.352941176,0.529411764,0,0,3,5.06250030174853,38,55,93,-0.181408002972603,-0.693458020687103,0.512049973011017,-1.01600003242493,-0.0994615703821182,1.30058455467224,1.0489000082016,0.920000016689301,2.69219994544983,1,1,-0.0476518049836159,-0.0918300936141414,0,0,0.35483871,91.6969697,0.35483871,76.93939394,0.02150538,74.5,0.2688172,80.36,NA,-0.574019253253937,-1.09055781364441,-0.0688154324889183,0.789575755596161,-1.73945228258769,-3.3047206474073,-3.44077162444592,3.15830302238464,0.28070175,0.63888889,0.41935484,0.625,0.95652174,0.82051282,0.38709677,0.48,0.07526882,6,8,4,1,9,8,18,0.33333333,0.44444444,0.22222222,0.05555556,0.5,0.44444444,2.70660080955255,50,80,55.61366,77.9265,20,43.25779,20,51.4338,38.4078,61.73161,20,42.23404,20,43.55878,46.21519,39.55739,0.52558,4.86546,86.86,133.32,132.48,85.3,42.98,40.46,104.04,114.84,125.16,86.8,17.98,14.6,92.2747826086957,91.9802173913044,94.3641304347826,0.35483871,0.35483871,0.02150538,0.2688172,91.6787849195076,76.9030317826705,74.1499938964844,80.232001953125,-3.10083285245028,9.12765965317235,7.13624334335327,-6.94883605957031,10.630703088009,-1.31371943155924,-5.99704647064209,2.83192718505859,-0.578915487974882,-1.10805419832468,-0.0700974091887474,0.797014705836773,-1.75428935749964,-3.35773999492327,-3.50487045943737,3.18805882334709,0.21568627,0.66666667,0.41935484,0.63636364,0.89285714,0.82051282,0.4516129,19.80882353,0.2688172,0.03225806,0.35483871,0.34408602,80.3712109375,74.7952677408854,91.8385638612689,77.0729141235352,-6.88907531738281,7.00390688578288,-2.84244768547289,9.71772861480713,1.39378326416016,-6.20992660522461,9.9236542672822,-2.58082365989685,0.797014705836773,-0.0700974091887474,-0.578915487974882,-1.10805419832468,3.18805882334709,-2.33658030629158,-1.75428935749964,-3.46266936976463,0.20408163,0.65909091,0.41935484,0.6,0.89655172,0.82051282,0.47311828,18,88.8718046300552,17.779593075023,3,0.16666667,109.841,5,0.27777778,"2024-04-09",0
"Cristian Javier",17606,"2024-04-03","TOR",21,2024,"HOU","H",27,1,0,0,1,1,0,0,0,0,0,0,5,20,1,0,0,0,5,0,0,1,0,3,5.4,9,1.8,0.6,0,0,3,9,0,2,0,0,0,0.15,0.25,-0.1,8.42923908401489,0,0.0666666666666667,1.2,0.0833333333333333,1,4.96647977828979,-4.96647977828979,7.68809490948915,0,122.849586409888,189.415647137371,0.333333333,0,0.25,0.75,0.222222222,0,4,7.2,46,51,97,0.270514011383057,-0.241083979606628,0.511597990989685,2.38470005989075,0.252750396728516,1.31301820278168,1.01116001605988,0.870000004768372,0.610599994659424,1,1,0.12496867030859,0.0810559002647371,0,0,0.39175258,92.02631579,0.25773196,77.84,0.01030928,73,0.34020619,81.81818182,NA,-0.661944150924683,1.94576370716095,-0.0344077162444592,0.429288923740387,-1.74195829190706,7.7830548286438,-3.44077162444592,1.30087552648602,0.30985915,0.61538462,0.39175258,0.72727273,0.8125,0.76315789,0.26804124,0.5,0.09278351,4,5,3,2,7,3,12,0.33333333,0.41666667,0.25,0.16666667,0.58333333,0.25,2.88203078143427,60,52.31785,58.16025,48.05575,29.67147,52.79452,20,48.35042,47.10694,44.14284,20,40.34849,20,36.35427,55.49223,28.62495,0.97317,5.53685,93.02,92.98,92.98,99.98,74.5,84.46,122.62,81.72,102.16,86.38,21.36,16.6,103.307010309278,82.1,91.220824742268,0.39175258,0.25773196,0.01030928,0.34020619,92.0157920435855,77.76,73,81.633330374053,-4.33742804276316,8.51244079589844,6.97731733322144,-7.40208527536103,11.7114362214741,0.628893699645996,-6.89383268356323,2.96118788285689,-0.677104316651821,2.01177670434117,-0.0350487045943737,0.425043281167746,-1.78185346487321,8.04710681736469,-3.50487045943737,1.28800994293256,0.26229508,0.61111111,0.39175258,0.6875,0.81818182,0.76315789,0.37113402,21.41558442,0.34020619,0.01030928,0.39175258,0.25773196,82.0227716619318,73.3748016357422,92.4319233141447,78.158779296875,-6.93684017296993,7.15045022964478,-3.70992640445107,9.34396301269531,1.16384864575935,-7.98489999771118,10.4814059608861,-1.03713531494141,0.425043281167746,-0.0350487045943737,-0.677104316651821,2.01177670434117,1.28800994293256,-3.50487045943737,-1.78185346487321,8.04710681736469,0.27419355,0.6,0.39175258,0.64705882,0.85714286,0.76315789,0.36082474,12,86.2834065755208,29.187245686849,0,0,99.734,3,0.25,"2024-04-03",0
"Cristian Javier",17606,"2024-03-29","NYY",21,2024,"HOU","H",27,0,0,0,1,1,1,0,0,0,0,0,6,23,4,0,0,0,1,0,0,0,0,6,9,1.5,6,6,0,0,4,8,4,2,0,0,0,0.26086957,0.04347826,0.21739131,3.63417520234006,0,0.181818181818182,0.833333333333333,0.25,1,1.6664797782898,-1.6664797782898,3.68249098658562,0,39.9838948081391,89.7659567899514,0.5,0.25,0.25,0.5,0.25,0,1,1.5,34,56,90,0.362058103084564,-0.129571974277496,0.491630077362061,2.8617000579834,0.303306847810745,0.995599985122681,1.12446665763855,0.870000004768372,1.73000001907349,1,1,0.263142347335815,0.100515857259226,0,0,0.35555556,92.625,0.31111111,78.89285714,0.05555556,76.6,0.27777778,82.08,NA,0.79203861951828,1.69983184337616,-1.08915507793427,0.584388732910156,2.47512068599463,6.07082801205771,-21.7831015586853,2.33755493164062,0.27272727,0.6,0.4,0.53333333,0.95238095,0.77777778,0.38888889,0.65217391,0.08888889,4,7,5,3,12,1,16,0.25,0.4375,0.3125,0.1875,0.75,0.0625,1.97801450367593,71,73.30984,56.05607,70.74625,41.96235,57.0969,34.04529,54.64976,51.59271,55.46259,20,40.43798,28.80545,53.07621,56.81165,50.80756,-0.0657,3.97854,90.22,129.14,127.52,105.6,78.62,89.2,123.2,102.12,119.56,98.32,66.92,50.4,106.398888888889,99.3144444444445,107.134222222222,0.35555556,0.31111111,0.05555556,0.27777778,92.578125,78.9750017438616,76.4400024414062,82.012001953125,-4.68259859085083,8.2384899684361,6.65710525512695,-8.16228088378906,12.0256204605103,0.918493407113211,-6.78515167236328,4.2044140625,0.778257835656404,1.7599841542542,-1.10662876814604,0.594475273042917,2.43205573642626,6.28565769376499,-22.1325753629208,2.37790109217167,0.25,0.60526316,0.4,0.46153846,0.95652174,0.77777778,0.42222222,20.02985075,0.27777778,0.05555556,0.35555556,0.31111111,82.336796875,76.7460205078125,92.9176788330078,79.2921491350446,-7.95801574707031,6.79477386474609,-4.45772361755371,8.7072274344308,2.65241424560547,-8.11953430175781,11.001317024231,-0.628397669110979,0.594475273042917,-1.10662876814604,0.778257835656404,1.7599841542542,2.37790109217167,-22.1325753629208,2.43205573642626,6.28565769376499,0.25490196,0.58974359,0.4,0.46153846,0.95652174,0.77777778,0.43333333,16,85.3131332397461,30.3382225036621,0,0,103.817,2,0.125,"2024-03-29",0
