"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CH%","CHv","XX%","wFB","wSL","wCH","wFB/C","wSL/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxSL%","pfxCH%","pfxvFA","pfxvSI","pfxvSL","pfxvCH","pfxFA-X","pfxSI-X","pfxSL-X","pfxCH-X","pfxFA-Z","pfxSI-Z","pfxSL-Z","pfxCH-Z","pfxwFA","pfxwSI","pfxwSL","pfxwCH","pfxwFA/C","pfxwSI/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piSI%","piSL%","piXX%","pivCH","pivFA","pivSI","pivSL","pivXX","piCH-X","piFA-X","piSI-X","piSL-X","piXX-X","piCH-Z","piFA-Z","piSI-Z","piSL-Z","piXX-Z","piwCH","piwFA","piwSI","piwSL","piwXX","piwCH/C","piwFA/C","piwSI/C","piwSL/C","piwXX/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Jason Foley",19531,"2024-09-27","CHW",6,2024,"DET","H",28,0,0,0,1,0,0,0,0,1,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.2527290840149,0,0,0,0,1,3.1664797782898,-3.1664797782898,7.70250972840334,0,77.8618549705486,189.774252798055,0,0,0,1,0,0,0,0,0,2,2,0.0111959762871265,0,0.0111959762871265,0.219999998807907,0.023206751793623,0.375599980354309,0.187799990177155,0.375599980354309,NA,0,1,0.0298082455992699,-4.64205670430706e-10,0,0,1,97.5,NA,NA,NA,NA,NA,0.249823242425919,NA,NA,12.4911621212959,NA,NA,1,1,1,1,1,1,0.5,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0.792948038175706,NA,NA,NA,NA,NA,NA,80,61.02998,80,NA,NA,NA,80,55.5372,80,-3.48457,-1.14976,NA,NA,NA,NA,NA,NA,108.32,133.6,143.18,NA,NA,NA,108.32,133.6,143.18,NA,1,NA,NA,NA,97.8000030517578,NA,NA,NA,-8.73824596405029,NA,NA,NA,2.53601050376892,NA,NA,NA,0.252764478325844,NA,NA,NA,12.6382239162922,NA,NA,1,1,1,1,1,1,0.5,23,NA,NA,1,NA,NA,NA,NA,97.8201446533203,NA,NA,NA,NA,-8.25162029266357,NA,NA,NA,NA,1.80421698093414,NA,NA,NA,NA,0.252764478325844,NA,NA,NA,NA,12.6382239162922,NA,NA,1,1,1,1,1,1,0.5,1,92.5442199707031,32.8771514892578,0,0,92.5442,0,0,"2024-09-27",0
"Jason Foley",19531,"2024-09-26","TBR",6,2024,"DET","H",28,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,0,1,0,0,0,0,0,0.66666667,0,0.66666667,-0.078604246671107,0,0,0,0,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-22.8552967369489,15.0336680287444,0,0,0,1,0,0,0,0,5,7,12,0.157519996166229,0,0.157519996166229,0.479999989271164,0.0506329126656055,2.0973334312439,2.83759999275208,2.83759999275208,NA,0,1,0.0752061009407043,-0.000101211169884,1,0,0.66666667,98.625,0.33333333,89.5,NA,NA,NA,0.657355606555939,0.125092774629593,NA,8.21694508194923,3.12731936573982,NA,0,0.625,0.41666667,NA,0.4,0.4,0.66666667,NA,0.25,0,1,0,0,0,1,1,0,1,0,0,0,1,-1.69857882202947,NA,NA,NA,NA,NA,NA,80,53.79138,80,20,64.05496,20,79.07814,57.20063,79.39176,-1.68111,1.55543,NA,NA,NA,NA,NA,NA,116.6,147.22,160.76,127.22,74.04,94.44,113.563333333333,128.58,135.416666666667,NA,0.66666667,0.33333333,NA,NA,98.7874984741211,89.4499969482422,NA,NA,-9.28869342803955,1.33994770050049,NA,NA,3.7648332118988,-0.645068943500519,NA,NA,0.665172819048166,0.126030765473843,NA,NA,8.31466023810208,3.15076913684607,NA,0,0.55555556,0.41666667,NA,0.4,0.4,0.75,16.55555556,NA,0.16666667,0.5,0.33333333,NA,NA,98.7517547607422,98.9607849121094,89.5485992431641,NA,NA,-7.0029354095459,-9.00067647298177,2.23130750656128,NA,NA,4.49721527099609,2.16936333974202,-1.80848002433777,NA,NA,0.019891619682312,0.645281199365854,0.126030765473843,NA,NA,0.994580984115601,10.7546866560976,3.15076913684607,NA,0,0.55555556,0.41666667,NA,0.4,0.4,0.75,1,98.2023849487305,33.7037811279297,0,0,98.2024,1,1,"2024-09-26",0
"Jason Foley",19531,"2024-09-22","@BAL",6,2024,"DET","A",28,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,1,1,0,0,0,0,0.33333333,0,0.33333333,2.61817353088578,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,27.5032791167999,64.7888072114456,0,0.5,0,0.5,0,0,0,0,5,9,14,0.18860000371933,0,0.18860000371933,0.467000007629395,0.0502150543034077,2.53666663169861,3.37400007247925,3.37400007247925,NA,0,1,0.0744406580924988,-9.11155225162691e-05,1,0,0.35714286,96.6,0.21428571,91.33333333,0.42857143,93.66666667,NA,0.51851361989975,0.0510426200926304,0.196402862668037,10.370272397995,1.70142066975435,3.27338104446729,0.22222222,0.8,0.42857143,0.5,0.5,0.5,0.35714286,0.66666667,0.21428571,0,2,0,0,1,1,2,0,1,0,0,0.5,0.5,3.51142993340276,45.06842,41.1688,44.06603,80,36.1358,80,54.79562,42.3128,60.38104,63.37013,50.77531,54.49033,52.92627,44.81822,54.66551,-0.05639,3.99251,75.58,114.54,82.72,108.4,161.5,118.76,101.5,113.4,105.58,106.5,129.5,136.66,91.9557142857143,120.774285714286,103.384285714286,0.07142857,0.28571429,0.21428571,0.42857143,98.0999984741211,96.0999984741211,90.9666646321615,93.6166687011719,-8.04561805725098,-10.056224822998,-0.5977410475413,-9.33647219340006,6.91875267028809,5.77700090408325,2.38317394256592,1.87132263183594,0.23420649766922,0.333054322749376,0.0514561831951141,0.198243029415607,23.420649766922,8.32635806873441,1.7152061065038,3.30405049026012,0.25,0.66666667,0.42857143,0.5,0.5,0.5,0.42857143,18.09090909,0.28571429,0.07142857,0.42857143,0.21428571,NA,93.2813491821289,98.0709991455078,95.4262186686198,90.9088948567708,NA,-9.5197925567627,-7.96553993225098,-9.42992337544759,-0.138159662485123,NA,0.105194076895714,5.88580989837646,3.23720041910807,0.763395309448242,NA,0.1815473921597,0.23420649766922,0.349749960005283,0.0514561831951141,NA,4.53868480399251,23.420649766922,5.82916600008806,1.7152061065038,NA,0.22222222,0.8,0.42857143,0.5,0.5,0.5,0.35714286,2,97.87939453125,32.4313316345215,0,0,102.433,1,0.5,"2024-09-22",0
"Jason Foley",19531,"2024-09-21","@BAL",6,2024,"DET","A",28,0,0,18,1,0,0,0,0,0,0,1,0,4,3,2,2,0,1,0,0,0,0,0,0,9,27,0,0,0,2,0,1,0,0,0,0,0,0.25,-0.25,NA,0,1,4,1,0.5,6.1664797782898,11.8335202217102,6.1664797782898,451.920047427715,153.399718751172,151.561560819707,2,0.333333333,0.666666666,0,0,0,0,0,7,9,16,-0.839859962463379,-0.839859962463379,0,-3.45700001716614,-0.371720433235168,4.29299974441528,1.73399996757507,1.73399996757507,2.17000007629395,1,1,-0.190118998289108,-0.00551575886547662,0,1,0.625,97.1,0.25,88.5,0.125,93,NA,-1.2737398147583,0.108214676380157,-0.834430038928986,-12.737398147583,2.70536690950394,-41.7215019464493,0.18181818,1,0.4375,0.5,0.8,0.71428571,0.3125,0.75,0.125,1,1,1,0,0,3,3,0.33333333,0.33333333,0.33333333,0,0,1,10.7511008420739,20,37.87742,20,53.55641,59.63064,42.39907,20,30.87375,20,80,45.12484,80,26.40002,37.77571,20,1.59159,6.46448,68.82,36.76,-7.53999999999999,105.6,120.36,116.76,75.1,52.44,35.8,95.54,122.42,127.48,83.2375,76.465,63.4225,0.125,0.5,0.25,0.125,97.3500061035156,97.0625,88.375,92.6499938964844,-6.2919225692749,-9.65105438232422,1.15494227409363,-9.9901876449585,8.23738288879395,3.53425312042236,0.541415095329285,3.45332765579224,-0.0693691074848175,-1.22686298936605,0.109259761869907,-0.842976048588753,-3.46845537424088,-15.3357873670757,2.73149404674768,-42.1488024294376,0.28571429,0.55555556,0.4375,0.5,0.8,0.71428571,0.5625,20.66666667,0.125,0.125,0.5,0.25,NA,92.6526031494141,97.3593521118164,97.0775756835938,88.3968505859375,NA,-9.31171035766602,-5.78199005126953,-9.34062576293945,1.50898921489716,NA,2.03720998764038,7.51155519485474,2.27267742156982,-0.755426526069641,NA,-0.842976048588753,-0.0693691074848175,-1.22686298936605,0.109259761869907,NA,-42.1488024294376,-3.46845537424088,-15.3357873670757,2.73149404674768,NA,0.33333333,0.5,0.4375,0.5,0.8,0.71428571,0.625,3,98.5179239908854,6.68613942464193,0,0,109.243,2,0.66666667,"2024-09-21",0
"Jason Foley",19531,"2024-09-17","@KCR",6,2024,"DET","A",28,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,7.34739574882223,0,0,0,0,1,3.1664797782898,-3.1664797782898,6.19049659073353,0,77.8618549705486,152.159040742638,0.5,0,0.333333333,0.666666666,0,0,0,0,3,8,11,0.209049999713898,0,0.209049999713898,1.16400003433228,0.113950073719025,2.55520009994507,3.28679990768433,3.28679990768433,NA,0,1,0.0829309374094009,-0.00111738405270224,1,0,0.63636364,96.85714286,0.36363636,89.5,NA,NA,NA,0.392445623874664,0.319286078214645,NA,5.60636605535235,7.98215195536613,NA,0.33333333,1,0.63636364,1,1,1,0.45454545,0.66666667,0,1,2,0,0,2,1,3,0.33333333,0.66666667,0,0,0.66666667,0.33333333,0.975138036118594,NA,NA,NA,NA,NA,NA,71.14884,43.7107,76.6833,38.79331,60.13269,47.16425,65.62865,49.86602,77.38592,-0.84554,2.80878,NA,NA,NA,NA,NA,NA,111.44,122.52,122.12,115.56,107.84,111.28,111.832727272727,120.809090909091,122.9,NA,0.63636364,0.36363636,NA,NA,96.9142892020089,89.4499969482422,NA,NA,-9.3573968069894,1.10821771621704,NA,NA,3.95533643450056,1.18293988704681,NA,NA,0.397072948515415,0.323195699602365,NA,NA,5.67247069307736,8.07989249005914,NA,0,0.875,0.63636364,NA,1,1,0.72727273,20.25,NA,NA,0.63636364,0.36363636,NA,NA,NA,96.792471749442,89.3118286132812,NA,NA,NA,-9.00991003853934,1.69482743740082,NA,NA,NA,2.95723288399833,-0.365429997444153,NA,NA,NA,0.397072948515415,0.323195699602365,NA,NA,NA,5.67247069307736,8.07989249005914,NA,0.25,0.85714286,0.63636364,1,1,1,0.63636364,3,90.7383626302083,19.9206415812174,1,0.33333333,97.9962,1,0.33333333,"2024-09-17",0
"Jason Foley",19531,"2024-09-16","@KCR",6,2024,"DET","A",28,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,1,0,0,0,0,0,0.33333333,0,0.33333333,1.87828464271067,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,27.5032791167999,64.7888072114456,1,0,0.5,0.5,0,0,0,0,4,9,13,0.211594015359879,0,0.211594015359879,0.533999979496002,0.0522760637104511,2.72760009765625,3.55060005187988,3.55060005187988,NA,0,1,0.0776719748973846,-9.68143957791046e-05,1,0,0.61538462,97.75,0.38461538,90,NA,NA,NA,0.499338179826736,0.228882879018784,NA,6.24172724783421,4.57765758037567,NA,0.375,0.6,0.46153846,0.66666667,1,0.83333333,0.38461538,1,0.07692308,1,1,0,0,0,2,2,0.5,0.5,0,0,0,1,-0.367335774509848,NA,NA,NA,69.0687,29.09289,80,20,50.8615,20,38.80057,54.65857,37.80883,27.0363,50.3627,20,1.55206,6.40518,NA,NA,NA,78.42,150.94,95.1,132.3,43.06,63.74,102.06,91.08,93.24,116.524615384615,69.8276923076923,77.4984615384615,0.07692308,0.53846154,0.38461538,NA,95.3000030517578,98.1142839704241,89.9400024414062,NA,-7.08583116531372,-10.2163696289062,0.90991268157959,NA,7.07388925552368,3.67922810145787,1.2825779914856,NA,0.158626139163971,0.346662256866693,0.23143532127142,NA,15.8626139163971,4.95231795523848,4.62870642542839,NA,0.375,0.6,0.46153846,0.66666667,1,0.83333333,0.38461538,18.2,NA,0.07692308,0.53846154,0.38461538,NA,NA,95.138801574707,97.9620186941964,89.80419921875,NA,NA,-6.85268020629883,-10.0209481375558,1.57880935668945,NA,NA,6.37127017974854,2.65218707493373,-0.222619795799255,NA,NA,0.158626139163971,0.346662256866693,0.23143532127142,NA,NA,15.8626139163971,4.95231795523848,4.62870642542839,NA,0.375,0.6,0.46153846,0.66666667,1,0.83333333,0.38461538,2,101.852333068848,17.8933010101318,0,0,108.16,2,1,"2024-09-16",0
"Jason Foley",19531,"2024-09-15","BAL",6,2024,"DET","H",28,0,0,0,1,0,0,0,0,1,0,0,1.1,4,0,0,0,0,0,0,0,0,0,2,13.5000032186516,0,0,2,0,0,2,0,0,0,0,0,0,0.5,0,0.5,-0.528020915985107,0,0,0,0,1,0.166479063033887,-0.166479063033887,0.166479063033887,0,2.32397318029105,2.29612547777477,2,0,1,0,0,0,1,6.75000160932579,2,8,10,0.0963839888572693,0,0.0963839888572693,0.578999996185303,0.0610759481787682,0.952999949455261,1.31213331222534,1.01559996604919,NA,0,1,0.101630710065365,-0.000493255742977122,1,0,0.8,96.25,0.2,87.5,NA,NA,NA,0.817995190620422,0.127482786774635,NA,10.2249398827553,6.37413933873177,NA,0.71428571,0.66666667,0.7,0.4,1,0.57142857,0.3,0.75,0.3,0,2,0,0,2,0,2,0,1,0,0,1,0,-0.924152484818839,NA,NA,NA,NA,NA,NA,74.69085,55.27956,70.21202,20,51.89998,20,62.50662,49.51168,59.86177,-0.65158,3.09972,NA,NA,NA,NA,NA,NA,98.98,126.7,123.12,118.3,64.28,71.86,101.532,115.232,109.582,NA,0.8,0.2,NA,NA,96.1374969482422,87.75,NA,NA,-10.9106492996216,1.10149717330933,NA,NA,3.98472547531128,0.0375979095697403,NA,NA,0.827885992825031,0.128675896674395,NA,NA,10.3485749103129,6.43379483371973,NA,0.6,0.8,0.7,0.33333333,0.75,0.57142857,0.5,16.83333333,NA,0.1,0.7,0.2,NA,NA,96.9204025268555,96.2731323242188,87.9423522949219,NA,NA,-8.61067008972168,-10.4201845441546,1.95441007614136,NA,NA,5.27374982833862,2.42687143598284,-1.05093848705292,NA,NA,-0.0210469514131546,0.848932944238186,0.128675896674395,NA,NA,-2.10469514131546,12.1276134891169,6.43379483371973,NA,0.6,0.8,0.7,0.33333333,0.75,0.57142857,0.5,2,95.0542449951172,-13.4138946533203,0,0,98.398,1,0.5,"2024-09-15",0
"Jason Foley",19531,"2024-09-12","COL",6,2024,"DET","H",28,0,1,18,1,0,0,0,0,0,0,0,1,5,2,2,2,0,0,0,0,0,0,0,0,0,18,0,0,0,3,1,1,0,0,0,0,0,0,0,4.32832908401489,0,0.4,2,0.4,0,3.1664797782898,14.8335202217102,4.67848818451166,451.920047427715,77.8618549705486,114.543946394147,3,0.2,0.6,0.2,0,0,0,0,4,12,16,-0.413392007350922,-0.41949200630188,0.00610000034794211,-1.51999998092651,-0.160337552428246,1.74733328819275,2.29119992256165,2.29119992256165,NA,0,1,-0.141490817070007,-0.095093702977962,0,1,0.5625,96.77777778,0.4375,88.57142857,NA,NA,NA,-0.327540159225464,-0.427416145801544,NA,-3.63933510250515,-6.10594494002206,NA,0.42857143,0.66666667,0.5625,0.66666667,0.83333333,0.77777778,0.5625,0.6,0.125,0,3,2,1,3,1,5,0,0.6,0.4,0.2,0.6,0.2,3.81088025233982,NA,NA,NA,46.3133,39.56678,44.87742,80,59.33323,75.53244,69.9377,54.43125,76.68525,80,55.2165,80,-1.85232,1.29861,NA,NA,NA,140.46,224.14,209.18,130,104.28,124.36,105.08,131.42,134,119.75125,123.645,133.87875,0.125,0.4375,0.4375,NA,96.5999984741211,96.7999965122768,88.3857160295759,NA,-8.34996223449707,-11.0250941685268,0.624023846217564,NA,7.9086766242981,3.10042190551758,0.606592450823103,NA,0.106599617749453,-0.439645286649466,-0.424247875809669,NA,5.32998088747263,-6.28064695213522,-6.06068394013814,NA,0.33333333,0.7,0.5625,0.5,0.85714286,0.77777778,0.625,19.7,NA,0.125,0.4375,0.4375,NA,NA,96.8085479736328,97.0106026785714,88.5890154157366,NA,NA,-7.53139972686768,-10.2038803100586,1.73683643341064,NA,NA,7.01638984680176,1.93088436126709,-0.995599406106131,NA,NA,0.106599617749453,-0.439645286649466,-0.424247875809669,NA,NA,5.32998088747263,-6.28064695213522,-6.06068394013814,NA,0.33333333,0.7,0.5625,0.5,0.85714286,0.77777778,0.625,5,89.3013488769531,0.466428756713867,0,0,97.9062,1,0.2,"2024-09-12",0
"Jason Foley",19531,"2024-09-11","COL",6,2024,"DET","H",28,0,0,0,1,0,0,0,0,1,0,0,1,4,0,0,0,0,1,0,0,0,0,2,18,9,0,2,0,0,1,0,0,0,0,0,0,0.5,0.25,0.25,3.84572908401489,0,0,1,0,1,2.1664797782898,-2.1664797782898,2.1664797782898,0,52.6825670436742,52.0512824543046,1,0,1,0,0,0,0,0,6,11,17,0.0312360003590584,-0.00781196821480989,0.0390479676425457,0.479999989271164,0.0506329126656055,0.402899980545044,0.721199989318848,0.721199989318848,NA,0,1,0.0215745158493519,0.0559534113468775,0,0,0.41176471,98.14285714,0.47058824,90.375,0.11764706,93.5,NA,0.208589628338814,0.190973952412605,0.0199030227959156,2.97985183341163,2.38717440515757,0.99515113979578,0.11111111,0.75,0.41176471,1,0.66666667,0.71428571,0.47058824,0.5,0.11764706,1,0,0,0,1,0,1,1,0,0,0,1,0,1.51489599738202,43.26786,33.0101,45.99448,72.88826,63.3988,56.1705,80,43.95138,80,39.22406,50.79647,36.80722,60.45325,50.41452,65.11079,-0.52401,3.29108,73,140.38,124.06,150.3,100.46,125.46,107.64,152.84,145.92,108.86,92.54,103.82,111.195294117647,117.568235294118,122.415294117647,0.11764706,0.35294118,0.47058824,0.05882353,98.8499984741211,97.3166707356771,90.3625030517578,92.3000030517578,-7.25228023529053,-10.3831024169922,-0.123511359095573,-9.79303359985352,8.6424560546875,3.57008043924967,1.54577350616455,3.64982199668884,0.196128189563751,-0.0263808481395245,0.192109622061253,0.057969942688942,9.80640947818756,-0.439680802325408,2.40137027576566,5.7969942688942,0.125,0.66666667,0.41176471,1,0.66666667,0.71428571,0.52941176,18.23076923,0.05882353,0.11764706,0.35294118,0.47058824,NA,92.5543975830078,99.1215057373047,97.5520833333333,90.5924987792969,NA,-9.04788017272949,-6.56534957885742,-9.72458648681641,0.898833155632019,NA,2.38480997085571,7.60324001312256,2.43524138132731,0.0462473258376122,NA,0.057969942688942,0.196128189563751,-0.0263808481395245,0.192109622061253,NA,5.7969942688942,9.80640947818756,-0.439680802325408,2.40137027576566,NA,0.14285714,0.6,0.41176471,1,0.66666667,0.71428571,0.58823529,1,72.3675079345703,8.95557689666748,0,0,72.3675,0,0,"2024-09-11",0
"Jason Foley",19531,"2024-09-07","@OAK",6,2024,"DET","A",28,0,0,0,1,0,0,0,0,1,0,0,0.2,3,1,0,0,0,0,0,0,0,0,1,13.500014081612,0,13.500014081612,1,0,0,1,0,1,0,0,0,0,0.33333333,0,0.33333333,1.13839575453556,0,0.333333333333333,1.50000156462356,0.5,1,0.166476649042681,-0.166476649042681,0.166476649042681,0,2.3239123977114,2.29606542354053,1,0.5,0.5,0,0,0,0,0,2,8,10,0.101535998284817,-0.0936039984226227,0.19514000415802,0.239000007510185,0.0262061394751072,3.44600009918213,1.23520004749298,2.47040009498596,NA,0,1,0.012361709959805,0.0171031755197152,1,0,0.9,96.44444444,0.1,89,NA,NA,NA,0.633825719356537,-0.502868592739105,NA,7.04250799285041,-50.2868592739105,NA,0.5,0.5,0.5,0.5,0.66666667,0.6,0.6,1,0.2,2,0,0,0,2,0,2,1,0,0,0,1,0,3.80962426710957,NA,NA,NA,NA,NA,NA,80,49.49097,80,80,36.59077,80,80,43.79107,80,-3.08753,-0.5542,NA,NA,NA,NA,NA,NA,114.9,127.42,137.5,93.4,135.72,128.96,112.75,128.25,136.646,NA,0.9,0.1,NA,NA,96.4555528428819,88.8000030517578,NA,NA,-10.19213019477,0.710857033729553,NA,NA,3.86465454101562,2.41609573364258,NA,NA,0.64146114140749,-0.510574221611023,NA,NA,7.12734601563877,-51.0574221611023,NA,0.33333333,0.57142857,0.5,0,0.75,0.6,0.7,20.85714286,NA,NA,0.9,0.1,NA,NA,NA,96.489997016059,88.8079986572266,NA,NA,NA,-9.20347679985894,1.6473799943924,NA,NA,NA,2.45299551222059,0.869351983070374,NA,NA,NA,0.64146114140749,-0.510574221611023,NA,NA,NA,7.12734601563877,-51.0574221611023,NA,0.33333333,0.57142857,0.5,0,0.75,0.6,0.7,2,77.6560363769531,-1.98300457000732,0,0,77.7484,0,0,"2024-09-07",0
