"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CH%","CHv","XX%","wFB","wSL","wCT","wCH","wFB/C","wSL/C","wCT/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFC%","pfxSI%","pfxSL%","pfxCU%","pfxCH%","pfxvFC","pfxvSI","pfxvSL","pfxvCU","pfxvCH","pfxFC-X","pfxSI-X","pfxSL-X","pfxCU-X","pfxCH-X","pfxFC-Z","pfxSI-Z","pfxSL-Z","pfxCU-Z","pfxCH-Z","pfxwFC","pfxwSI","pfxwSL","pfxwCU","pfxwCH","pfxwFC/C","pfxwSI/C","pfxwSL/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piFC%","piSL%","pivCH","pivFA","pivFC","pivSL","piCH-X","piFA-X","piFC-X","piSL-X","piCH-Z","piFA-Z","piFC-Z","piSL-Z","piwCH","piwFA","piwFC","piwSL","piwCH/C","piwFA/C","piwFC/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Edwin Uceta",20539,"2024-09-27","@BOS",12,2024,"TBR","A",26,0,0,0,1,0,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,1,1,1,0,0,0,0,0.25,0,0.25,2.72685408401489,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,27.9579124624459,64.7888072114456,1,0.333333333,0.333333333,0.333333333,0,0,0,0,4,13,17,0.215708002448082,-0.100324004888535,0.316031992435455,0.546999990940094,0.0526974946260452,3.6956000328064,3.57920002937317,3.57920002937317,NA,0,1,0.0433656200766563,0.0150032511575708,1,0,0.52941176,93.55555556,NA,NA,0.11764706,89.5,0.35294118,87.83333333,NA,0.103611305356026,NA,-0.429545193910599,0.590202033519745,1.15123672617806,NA,-21.4772596955299,9.83670055866241,0.57142857,0.7,0.64705882,0.75,0.71428571,0.72727273,0.58823529,0.25,0.17647059,0,1,2,0,3,0,3,0,0.33333333,0.66666667,0,1,0,2.84015310124633,80,56.41893,80,NA,NA,NA,20,56.09233,20,NA,NA,NA,52.27547,47.01417,63.06977,39.01126,55.94441,39.49061,0.8081,5.28924,89.4,125.4,108.46,NA,NA,NA,NA,NA,NA,96.96,113.02,118.66,99.8505882352941,68.8105882352941,70.3670588235294,0.11764706,0.52941176,NA,NA,0.35294118,89.6500015258789,93.5,NA,NA,87.7166646321615,-0.0736935287714005,-7.7527830335829,NA,NA,-9.50679206848145,4.97477865219116,7.37283240424262,NA,NA,0.323234399159749,-0.436161175370216,0.104384012520313,NA,NA,0.597291000187397,-21.8080587685108,1.15982236133681,NA,NA,9.95485000312328,0.5,0.77777778,0.64705882,0.75,0.71428571,0.72727273,0.52941176,17.69230769,0.35294118,0.52941176,0.11764706,NA,88.0013224283854,93.77392578125,89.8995513916016,NA,-9.07983334859212,-7.44419521755642,0.35666885972023,NA,-0.753223021825155,6.72235785590278,4.05278491973877,NA,0.597291000187397,0.104384012520313,-0.436161175370216,NA,9.95485000312328,1.15982236133681,-21.8080587685108,NA,0.42857143,0.8,0.64705882,0.66666667,0.75,0.72727273,0.58823529,3,91.9296875,9.43812561035156,0,0,96.7911,1,0.33333333,"2024-09-27",0
"Edwin Uceta",20539,"2024-09-22","TOR",12,2024,"TBR","H",26,0,0,9,1,0,0,0,0,1,0,0,1,6,2,1,1,0,1,0,0,0,0,1,9,9,18,1,0,0,1,1,2,0,0,0,0,0.16666667,0.16666667,0,5.73367352628778,0,0.4,3,0.5,0.66666667,4.1664797782898,4.8335202217102,5.67848818451166,232.523317858679,104.744428506957,139.421515985497,1,0.5,0.25,0.25,0,0,0,0,7,12,19,0.066117987036705,-0.364040017127991,0.430157989263535,-0.547999978065491,-0.0601867139339447,3.68923330307007,1.4054000377655,1.4054000377655,NA,0,1,-0.0793308094143867,0.0972526868358238,1,0,0.63157895,93.66666667,NA,NA,0.10526316,90,0.26315789,89,NA,-0.587821483612061,NA,0.32859742641449,-0.432044982910156,-4.89851236343384,NA,16.4298713207245,-8.64089965820312,0.18181818,0.75,0.42105263,0,0.83333333,0.625,0.42105263,0.83333333,0.15789474,2,2,0,1,2,1,4,0.5,0.5,0,0.25,0.5,0.25,8.07903162836605,68.23372,63.62888,76.34674,NA,NA,NA,62.01257,56.93167,58.19138,NA,NA,NA,20,46.74549,22.4928,63.07693,57.50465,66.12921,-0.68701,3.04658,87.94,117.46,103.92,NA,NA,NA,NA,NA,NA,95.12,48.26,47.9,101.125263157895,108.217894736842,109.757894736842,0.10526316,0.63157895,NA,NA,0.26315789,89.8500061035156,93.6583353678385,NA,NA,89.0800048828125,-0.563003480434418,-8.8494561513265,NA,NA,-11.1295585632324,5.99625825881958,7.8115177154541,NA,NA,0.0591412484645844,0.332877218723297,-0.597361724823713,NA,NA,-0.439392812550068,16.6438609361649,-4.97801437353094,NA,NA,-8.78785625100136,0.25,0.54545455,0.42105263,0,0.83333333,0.625,0.57894737,16.23076923,0.26315789,0.63157895,0.10526316,NA,89.0271606445312,93.6076863606771,89.7973022460938,NA,-10.2904602050781,-8.25063959757487,0.344455003738403,NA,-1.31941022872925,6.91738001505534,4.86593532562256,NA,-0.439392812550068,-0.597361724823713,0.332877218723297,NA,-8.78785625100136,-4.97801437353094,16.6438609361649,NA,0.2,0.66666667,0.42105263,0,0.83333333,0.625,0.47368421,4,85.3549118041992,20.143482208252,0,0,102.147,1,0.25,"2024-09-22",0
"Edwin Uceta",20539,"2024-09-20","TOR",12,2024,"TBR","H",26,0,0,0,1,0,0,0,0,0,1,0,0.2,3,0,0,0,0,1,0,0,0,0,0,0,13.500014081612,0,0,0,0,2,0,0,0,0,0,0,0,0.33333333,-0.33333333,9.01695130162333,0,0,1.50000156462356,0,1,7.66648447216047,-7.66648447216047,7.66648447216047,0,194.328817367546,188.878031978827,2,0,1,0,0,0,0,0,7,7,14,0.058801993727684,-0.151442021131516,0.2102440148592,0.243000000715256,0.0266886316239834,2.95875000953674,2.13420009613037,2.13420009613037,2.02419996261597,1,1,0.00976617261767387,0.0101077584471851,0,0,0.5,93.71428571,0.07142857,83,0.14285714,90.5,0.28571429,88.25,NA,-0.349228620529175,-0.0373910665512085,-0.0344077162444592,0.647783935070038,-4.98898029327393,-3.73910665512085,-1.72038581222296,16.1945983767509,0.3,0.5,0.35714286,0.66666667,1,0.8,0.28571429,0.66666667,0.07142857,2,0,0,1,0,1,2,1,0,0,0.5,0,0.5,6.49745790423682,69.3367,72.59233,76.40401,NA,NA,NA,20,57.21128,20,66.6876,62.30824,62.35972,29.12395,51.81368,37.08391,20,63.57314,20,2.70446,8.13378,79.74,136.38,135.24,NA,NA,NA,136.06,181.44,175.02,113.82,73.58,85.9,104.921428571429,49.2271428571429,60.1128571428571,0.14285714,0.5,0.07142857,NA,0.28571429,90.3000030517578,93.7428588867188,82.6999969482422,NA,88.125,-0.341443836688995,-8.27672740391323,6.89076995849609,NA,-10.4203205108643,5.85219383239746,8.48581913539341,1.28518891334534,NA,-0.71986585855484,-0.0350487045943737,-0.358425118029118,-0.0380783230066299,NA,0.657173756510019,-1.75243522971869,-5.12035882898739,-3.80783230066299,NA,16.4293439127505,0.3,0.5,0.35714286,0.66666667,1,0.8,0.28571429,20.63636364,0.28571429,0.5,0.14285714,0.07142857,87.9457473754883,93.5482003348214,90.1017532348633,82.4619979858398,-9.75776481628418,-7.50538853236607,0.916168034076691,8.45806980133057,-2.17166757583618,7.61211994716099,4.43976497650146,-0.385969996452332,0.657173756510019,-0.358425118029118,-0.0350487045943737,-0.0380783230066299,16.4293439127505,-5.12035882898739,-1.75243522971869,-3.80783230066299,0.3,0.5,0.35714286,0.66666667,1,0.8,0.28571429,2,71.7303924560547,-8.02172756195068,0,0,103.726,1,0.5,"2024-09-20",0
"Edwin Uceta",20539,"2024-09-19","BOS",12,2024,"TBR","H",26,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,0,1,0,0,0,0,0,0.66666667,0,0.66666667,-0.078604246671107,0,0,0,0,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-23.233098233895,15.0336680287444,0,0,0,1,0,0,0,0,1,14,15,0.067936010658741,0,0.067936010658741,0.451999992132187,0.0496430546045303,0.919333338737488,1.38119995594025,1.38119995594025,1.4054000377655,1,1,0.0742930844426155,-0.000396046451981005,1,0,0.46666667,95.28571429,NA,NA,0.33333333,90.4,0.2,89.33333333,NA,0.364843994379044,NA,0.281585603952408,0.136018812656403,5.21205706255777,NA,5.63171207904816,4.53396042188009,0.75,0.85714286,0.8,0.5,0.5,0.5,0.46666667,1,0.4,1,0,0,0,1,0,1,1,0,0,0,1,0,-1.65063407162848,69.01983,67.88901,71.50196,NA,NA,NA,80,54.52775,80,NA,NA,NA,79.34437,54.26598,76.00643,80,58.20418,80,-2.58749,0.19586,123.42,116.92,122.72,NA,NA,NA,NA,NA,NA,130.92,99.84,114.14,123.652,116.248,120.942666666667,0.33333333,0.46666667,NA,NA,0.2,90.2799987792969,95.0428553989955,NA,NA,89.3333333333333,1.13661088943481,-8.8266841343471,NA,NA,-11.1097946166992,6.39963302612305,8.14548601422991,NA,NA,0.0105112393697103,0.284629143774509,0.368995252996683,NA,NA,0.137579187750816,5.69258287549019,5.27136075709547,NA,NA,4.58597292502721,0.85714286,0.75,0.8,0.5,0.5,0.5,0.53333333,18.16666667,0.2,0.46666667,0.33333333,NA,89.1892293294271,94.8929966517857,90.1210388183594,NA,-10.2305997212728,-8.06565148489816,1.97029800415039,NA,-1.71210432052612,7.03161839076451,5.20607795715332,NA,0.137579187750816,0.368995252996683,0.284629143774509,NA,4.58597292502721,5.27136075709547,5.69258287549019,NA,0.83333333,0.77777778,0.8,0.6,0.42857143,0.5,0.6,1,86.3080749511719,41.5124702453613,0,0,86.3081,0,0,"2024-09-19",0
"Edwin Uceta",20539,"2024-09-13","@CLE",12,2024,"TBR","A",26,0,0,0,1,0,0,0,0,1,0,0,1.2,5,0,0,0,0,0,0,0,0,0,2,10.8000041198746,0,0,2,0,0,2,1,0,1,0,0,0,0.4,0,0.4,1.04688908401489,0,0,0,0,1,0.766478862762102,-0.766478862762102,1.67368425256661,0,17.7196868897838,39.7917274688199,2,0,0.666666666,0.333333333,1,0,0,0,6,12,18,0.201439991593361,0,0.201439991593361,1.1360000371933,0.119831226766109,1.51784002780914,1.96533334255219,2.35120010375977,NA,0,1,0.13135190308094,0.00136299961148661,1,0,0.61111111,94.54545455,NA,NA,0.11111111,91,0.27777778,88.8,NA,0.911418497562408,NA,0.0931044071912766,0.219623431563377,8.2856227051128,NA,4.65522035956383,4.39246863126755,0.25,0.8,0.55555556,1,0.5,0.6,0.55555556,0.8,0.22222222,3,0,0,1,1,1,3,1,0,0,0.33333333,0.33333333,0.33333333,-1.1663519688513,20,54.8179,20,NA,NA,NA,78.1567,69.7004,76.76882,NA,NA,NA,80,56.47444,80,53.78654,63.54609,58.96889,-0.10983,3.91235,95.4,4.16,-8.69999999999999,NA,NA,NA,NA,NA,NA,89.66,166.76,159.16,106.96,110.495555555556,109.232222222222,0.11111111,0.61111111,NA,NA,0.27777778,90.9499969482422,94.3636363636364,NA,NA,88.8200012207031,-0.955710053443909,-7.45637512207031,NA,NA,-8.55455932617187,4.26386547088623,7.18372206254439,NA,NA,0.121518385410309,0.094138327986002,0.923379804939032,NA,NA,0.203164868056774,4.7069163993001,8.39436186308211,NA,NA,4.06329736113548,0.16666667,0.75,0.55555556,1,0.55555556,0.6,0.66666667,15.76923077,0.27777778,0.61111111,0.11111111,NA,88.8695190429687,94.4360795454545,91.0209045410156,NA,-8.11859817504883,-7.02599473433061,-0.532701969146729,NA,-0.741282367706299,6.67063834450462,3.73199510574341,NA,0.203164868056774,0.923379804939032,0.094138327986002,NA,4.06329736113548,8.39436186308211,4.7069163993001,NA,0.16666667,0.75,0.55555556,1,0.55555556,0.6,0.66666667,3,83.5481363932292,16.0140991210938,0,0,98.824,1,0.33333333,"2024-09-13",0
"Edwin Uceta",20539,"2024-09-10","@PHI",12,2024,"TBR","A",26,0,0,81.0000844896721,1,0,0,0,0,0,0,0,0.1,6,4,3,3,1,0,0,1,0,0,1,27.000028163224,0,108.000112652896,1,0,0,0,2,2,0,0,0,0,0.16666667,0,0.16666667,4.72872909190039,27.000028163224,0.8,12.0000125169885,1,0.55555556,45.1665235877494,35.8335609019227,15.238542807764,2092.71204359687,1154.1612691072,377.25244017257,0,0.5,0,0.5,0,0.5,0,0,9,12,21,-0.218267992138863,-0.227895975112915,0.00962798483669758,-4.03200006484985,-0.412903219461441,0.6632000207901,1.56840002536774,3.13680005073547,0.0401999987661839,1,1,-0.404130637645721,0.0750172701901081,0,1,0.47619048,94.9,NA,NA,0.19047619,89.5,0.33333333,89,NA,-0.569182991981506,NA,-1.26081073284149,-1.63775277137756,-5.69182991981506,NA,-31.5202683210373,-23.3964681625366,0.30769231,0.75,0.47619048,0.25,0.66666667,0.5,0.38095238,0.16666667,0.23809524,2,0,2,1,1,2,4,0.5,0,0.5,0.25,0.25,0.5,23.9997249276384,51.34419,59.28422,43.84775,NA,NA,NA,20,56.12922,20,NA,NA,NA,47.12752,54.76617,49.51442,20,58.23105,20,3.09414,8.7183,81.66,107.18,87.9,NA,NA,NA,NA,NA,NA,77.94,131.78,141.88,82.9514285714286,46.1038095238095,40.5247619047619,0.19047619,0.47619048,NA,NA,0.33333333,89.75,94.8900024414063,NA,NA,88.8857160295759,0.923596620559692,-7.16194000244141,NA,NA,-9.71683393205915,5.88112163543701,7.68572082519531,NA,NA,-0.602783339364188,-1.25972782075405,-0.581938497722149,NA,NA,-1.65425835549831,-31.4931955188513,-5.81938497722149,NA,NA,-23.6322622214045,0.30769231,0.75,0.47619048,0.25,0.66666667,0.5,0.38095238,19.13333333,0.33333333,0.47619048,0.19047619,NA,88.495858328683,94.5281921386719,89.3657760620117,NA,-9.4241943359375,-7.09100723266602,1.31559801101685,NA,-1.83959797450474,7.13850784301758,5.0914101600647,NA,-1.65425835549831,-0.581938497722149,-1.25972782075405,NA,-23.6322622214045,-5.81938497722149,-31.4931955188513,NA,0.35714286,0.71428571,0.47619048,0.4,0.6,0.5,0.33333333,4,89.8530883789062,24.6420364379883,1,0.25,100.186,2,0.5,"2024-09-10",0
"Edwin Uceta",20539,"2024-09-08","@BAL",12,2024,"TBR","A",26,0,0,0,1,0,0,0,0,1,0,0,1.2,7,1,0,0,0,1,0,0,0,0,4,21.6000082397492,5.40000205993731,5.40000205993731,4,0,0,0,1,1,0,0,0,0,0.57142857,0.14285714,0.42857143,1.49056581028116,0,0.166666666666667,1.20000045776385,0.5,1,0.166478633880179,-0.166478633880179,1.07368402368469,0,2.36237782253303,24.8651800199836,0,0.5,0,0.5,0,0,0,0,15,19,34,0.25475999712944,-0.102200001478195,0.356959998607635,1.33700001239777,0.143763437867165,2.37949991226196,2.51199984550476,4.06799983978271,NA,0,1,0.0399647317826748,0.067099780309391,1,0,0.61764706,95,NA,NA,0.05882353,89.5,0.32352941,89.18181818,NA,0.668165624141693,NA,0.111482799053192,-0.253771513700485,3.1817410673414,NA,5.57413995265961,-2.3070137609135,0.28571429,0.61538462,0.41176471,0.33333333,0.75,0.57142857,0.38235294,0.42857143,0.17647059,1,1,0,1,1,0,2,0.5,0.5,0,0.5,0.5,0,1.49233260883822,51.89856,65.95506,45.51661,NA,NA,NA,44.34966,55.20978,42.6951,NA,NA,NA,61.20016,42.8578,50.23543,47.66394,58.55709,42.56873,0.27054,4.4829,100.84,90.72,88.56,NA,NA,NA,NA,NA,NA,101.46,127.6,129.28,98.3078787878788,96.0581818181818,93.84,0.05882353,0.61764706,NA,NA,0.32352941,89.6999969482422,94.9761904761905,NA,NA,89.2090897993608,-0.49283367395401,-8.01017325265067,NA,NA,-10.1939905340021,6.7337532043457,7.70252918061756,NA,NA,0.0766004649075595,0.112743902951479,0.672758784145117,NA,NA,-0.260421749204397,5.63719514757395,3.20361325783389,NA,NA,-2.3674704473127,0.29411765,0.52941176,0.41176471,0.4,0.55555556,0.5,0.5,19.46153846,0.32352941,0.61764706,0.05882353,NA,89.3432284268466,95.1119966052827,89.8023529052734,NA,-9.86329512162642,-7.69301060267857,-0.0792725384235382,NA,-0.992069851268422,7.12096005394345,6.04963970184326,NA,-0.260421749204397,0.672758784145117,0.112743902951479,NA,-2.3674704473127,3.20361325783389,5.63719514757395,NA,0.29411765,0.52941176,0.41176471,0.4,0.55555556,0.5,0.5,2,77.5344467163086,35.8710327148438,0,0,82.9715,0,0,"2024-09-08",0
"Edwin Uceta",20539,"2024-09-03","MIN",12,2024,"TBR","H",26,0,0,0,1,0,0,0,0,0,1,0,0.2,4,2,0,0,0,0,0,0,0,0,2,27.000028163224,0,27.000028163224,2,0,0,0,0,2,0,0,0,0,0.5,0,0.5,0.562229084014893,0,0.5,3.00000312924711,1,1,-2.83352648020443,2.83352648020443,-2.83352648020443,0,-74.4242691195584,-72.3367211985741,0,1,0,0,0,0,0,0,2,12,14,0.0160820037126541,-0.280004024505615,0.296086013317108,0.0439999997615814,0.00483250617980957,4.79225015640259,2.79259991645813,2.79259991645813,5.39979982376099,1,1,-0.0259070601314306,0.0292628957384613,0,0,0.61538462,94.875,NA,NA,0.07692308,89,0.30769231,88,0.07142857,0.395227313041687,NA,0.0389156937599182,-0.808723628520966,4.94034141302109,NA,3.89156937599182,-20.2180907130241,0.8,0.875,0.84615385,0.25,0.85714286,0.63636364,0.61538462,1,0.28571429,1,1,0,1,1,0,2,0.5,0.5,0,0.5,0.5,0,5.21201800710102,80,80,69.27108,NA,NA,NA,80,67.07846,80,NA,NA,NA,80,57.08383,80,80,72.50459,80,-3.64364,-1.38837,108.26,126.96,130.02,NA,NA,NA,NA,NA,NA,88.94,158.74,151.2,107.5,144.518461538462,147.661538461538,0.07692308,0.61538462,NA,NA,0.30769231,88.5999984741211,94.7249984741211,NA,NA,88.125,-0.0212949980050325,-9.09095573425293,NA,NA,-11.2259969711304,5.79966115951538,7.91003704071045,NA,NA,-2.53489756584167,0.039364367723465,0.399526279419661,NA,NA,-0.821824327111244,3.9364367723465,4.99407849274576,NA,NA,-20.5456081777811,1,0.8,0.84615385,0.33333333,0.75,0.63636364,0.76923077,19.9,0.30769231,0.61538462,0.07692308,NA,88.2260971069336,94.8589019775391,88.7237014770508,NA,-10.5158996582031,-8.42022514343262,0.767374992370605,NA,-4.1534423828125,6.87466144561768,4.62370014190674,NA,-0.833180949091911,0.378479313105345,0.039364367723465,NA,-20.8295237272978,4.73099141381681,3.9364367723465,NA,1,0.8,0.84615385,0.33333333,0.75,0.63636364,0.76923077,2,77.0671005249023,18.1059150695801,0,0,91.037,0,0,"2024-09-03",0
"Edwin Uceta",20539,"2024-09-01","SDP",12,2024,"TBR","H",26,0,0,0,1,0,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,2,13.5000032186516,0,0,2,0,0,1,1,0,0,0,0,0,0.5,0,0.5,0.562229084014893,0,0,0,0,1,0.166479063033887,-0.166479063033887,1.30048563806852,0,2.36238880693908,30.5074529652481,1,0,0.5,0.5,0,0,0,0,7,16,23,0.140632003545761,0,0.140632003545761,0.66100001335144,0.072597473859787,1.39454996585846,1.70326673984528,1.46140003204346,2.25119996070862,1,1,0.10080624371767,3.77611503735859e-05,1,0,0.56521739,95.61538462,NA,NA,0.17391304,90.25,0.26086957,90.5,NA,0.349542289972305,NA,0.0425102189183235,0.718993306159973,2.68878684594081,NA,1.06275547295809,11.9832217693329,0.46666667,0.875,0.60869565,0.57142857,0.85714286,0.71428571,0.34782609,0.75,0.17391304,1,1,0,0,1,1,2,0.5,0.5,0,0,0.5,0.5,-0.994387254924348,71.06604,72.97533,78.43257,NA,NA,NA,20.87599,59.74557,25.16509,NA,NA,NA,69.37277,54.22173,66.68028,42.66527,63.25979,48.05708,0.58109,4.94873,102.64,168.1,155.28,NA,NA,NA,NA,NA,NA,112.48,123.62,132.28,115.180869565217,94.7878260869565,96.16,0.17391304,0.56521739,NA,NA,0.26086957,90.3000030517578,95.6153846153846,NA,NA,90.3166707356771,0.194758415222168,-8.24720940223107,NA,NA,-10.4159228006999,6.46974420547485,8.20270420954778,NA,NA,0.0663244475920995,0.0426228418946266,0.352682836353779,NA,NA,0.728775128722191,1.06557104736567,2.71294489502907,NA,NA,12.1462521453698,0.5,0.77777778,0.60869565,0.57142857,0.85714286,0.71428571,0.39130435,18.36842105,0.26086957,0.56521739,0.17391304,NA,90.4828796386719,95.7950533353365,90.4523773193359,NA,-9.75058174133301,-7.56620553823618,1.13726675510406,NA,-1.55520105361938,7.03353177584135,5.29665517807007,NA,0.728775128722191,0.352682836353779,0.0426228418946266,NA,12.1462521453698,2.71294489502907,1.06557104736567,NA,0.5,0.72727273,0.60869565,0.5,0.875,0.71428571,0.47826087,2,87.3823089599609,10.6682357788086,0,0,94.9277,0,0,"2024-09-01",0
"Edwin Uceta",20539,"2024-08-27","@SEA",12,2024,"TBR","A",26,1,0,0,1,0,0,0,0,0,0,0,1,5,1,1,0,0,1,0,0,0,0,3,27,9,9,3,0,0,0,0,1,0,0,0,0,0.6,0.2,0.4,2.27264908401489,0,0.25,2,1,0.5,0.166479778289795,-0.166479778289795,0.166479778289795,0,2.36240711427549,2.29614327160339,0,1,0,0,0,0,2,18,11,14,25,-0.144646033644676,-0.247468009591103,0.102821968495846,-0.569999992847443,-0.0647359415888786,1.56042850017548,1.30999994277954,1.30999994277954,1.9074000120163,1,1,-0.0547179207205772,-0.0379784339207346,0,1,0.28,93.71428571,0.12,82,0.2,89.4,0.4,88.3,NA,0.1348657310009,-0.022280789911747,-0.465642720460892,0.351481139659882,1.92665330001286,-0.742692997058233,-9.31285440921783,3.51481139659882,0.13333333,0.8,0.4,0,0.875,0.7,0.4,0.6,0.12,0,0,1,1,0,0,1,0,0,1,1,0,0,2.95732921887291,64.81141,70.57442,75.63263,NA,NA,NA,46.19972,65.34943,33.13708,34.25103,63.75634,23.34693,51.50185,49.16159,56.40567,54.60375,69.79869,56.54751,-0.1606,3.83619,75.56,110.4,94.38,NA,NA,NA,109.32,96.78,92.66,98.08,92.84,94.26,102.2648,100.2304,99.2008,0.2,0.28,0.12,NA,0.4,89.2799987792969,93.7999965122768,82,NA,88.2200012207031,-0.0513311684131622,-8.16240855625698,8.75595919291178,NA,-10.0462554931641,5.5743595123291,8.19281169346401,1.11647566159566,NA,-0.973148918151855,-0.473715867847204,0.135481733828783,-0.0229568891227245,NA,0.352931264787912,-9.47431735694408,1.93545334041119,-0.765229637424151,NA,3.52931264787912,0.15384615,0.66666667,0.4,0,0.875,0.7,0.48,16.84210526,0.4,0.28,0.2,0.12,88.4581420898437,94.0486886160714,89.4896606445313,82.2264658610026,-9.43436813354492,-7.65528542654855,0.515183925628662,9.92195320129395,-2.31900997161865,7.55747549874442,4.76521186828613,0.000106791655222575,0.352931264787912,0.135481733828783,-0.473715867847204,-0.0229568891227245,3.52931264787912,1.93545334041119,-9.47431735694408,-0.765229637424151,0.15384615,0.66666667,0.4,0,0.875,0.7,0.48,1,72.3697280883789,25.3936996459961,0,0,72.3697,0,0,"2024-08-27",0
