"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","XX%","wFB","wSL","wCT","wCB","wCH","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_KC","pb_s_KC","pb_c_KC","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_KC","sp_l_KC","sp_p_KC","sp_s_FC","sp_l_FC","sp_p_FC","sp_s_FO","sp_l_FO","sp_p_FO","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxFO%","pfxSI%","pfxSL%","pfxKC%","pfxCH%","pfxvFA","pfxvFC","pfxvFO","pfxvSI","pfxvSL","pfxvKC","pfxvCH","pfxFA-X","pfxFC-X","pfxFO-X","pfxSI-X","pfxSL-X","pfxKC-X","pfxCH-X","pfxFA-Z","pfxFC-Z","pfxFO-Z","pfxSI-Z","pfxSL-Z","pfxKC-Z","pfxCH-Z","pfxwFA","pfxwFC","pfxwFO","pfxwSI","pfxwSL","pfxwKC","pfxwCH","pfxwFA/C","pfxwFC/C","pfxwFO/C","pfxwSI/C","pfxwSL/C","pfxwKC/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piFC%","piFS%","piSI%","piSL%","piXX%","pivCH","pivCU","pivFA","pivFC","pivFS","pivSI","pivSL","pivXX","piCH-X","piCU-X","piFA-X","piFC-X","piFS-X","piSI-X","piSL-X","piXX-X","piCH-Z","piCU-Z","piFA-Z","piFC-Z","piFS-Z","piSI-Z","piSL-Z","piXX-Z","piwCH","piwCU","piwFA","piwFC","piwFS","piwSI","piwSL","piwXX","piwCH/C","piwCU/C","piwFA/C","piwFC/C","piwFS/C","piwSI/C","piwSL/C","piwXX/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Dane Dunning",19409,"2024-09-28","@LAA",13,2024,"TEX","A",29,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,1,0,0,0,0,0,0.33333333,0,0.33333333,1.87828464271067,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,26.7546194325921,64.7888072114456,1,0,0.5,0.5,0,0,4,36,3,12,15,0.00660999026149511,0,0.00660999026149511,0.508000016212463,0.0515474379062653,0.0856666713953018,0.112800002098083,0.112800002098083,3.48819994926453,1,1,0.0771171078085899,4.23073272434182e-05,0,0,0.46666667,89.28571429,0.46666667,80,0.06666667,89,NA,NA,NA,NA,NA,0.460567265748978,0.308986663818359,-0.0238054171204567,NA,NA,6.57953236784254,4.41409519740513,-2.38054171204567,NA,NA,0.55555556,0.66666667,0.6,0.6,1,0.77777778,0.4,1,0.13333333,1,0,1,1,1,0,2,0.5,0,0.5,0.5,0.5,0,-0.371590575804373,NA,NA,NA,NA,NA,NA,NA,70.67282,49.22071,65.85949,40.40121,39.39054,56.38417,NA,NA,NA,53.44253,47.10036,80,60.3467,45.40694,71.62029,-0.51739,3.30101,NA,NA,NA,NA,NA,NA,101.24,107.54,97.16,114.26,102.7,91.28,NA,NA,NA,82.84,148.16,126.6,NA,NA,NA,106.089333333333,107.989333333333,96.3786666666667,NA,0.06666667,NA,0.46666667,0.46666667,NA,NA,NA,88.6999969482422,NA,89.2857142857143,79.8857160295759,NA,NA,NA,-0.0970872268080711,NA,-8.99230630057199,1.05997140066964,NA,NA,NA,5.22376918792725,NA,4.14169475010463,-0.944723810468401,NA,NA,NA,-0.0242429338395596,NA,0.448588419705629,0.312378238886595,NA,NA,NA,-2.42429338395596,NA,6.40840599579471,4.4625462698085,NA,NA,0.55555556,0.66666667,0.6,0.6,1,0.77777778,0.4,15.63636364,NA,NA,NA,0.06666667,NA,0.46666667,0.46666667,NA,NA,NA,NA,88.9563980102539,NA,89.5551147460938,80.1065412248884,NA,NA,NA,NA,0.746390998363495,NA,-8.38256726946149,1.93520436968122,NA,NA,NA,NA,3.94014000892639,NA,3.16086278642927,-2.31862831115723,NA,NA,NA,NA,-0.0242429338395596,NA,0.448588419705629,0.312378238886595,NA,NA,NA,NA,-2.42429338395596,NA,6.40840599579471,4.4625462698085,NA,0.5,0.8,0.6,0.6,1,0.77777778,0.33333333,2,89.3551254272461,16.772331237793,0,0,93.4258,0,0,"2024-09-28",0
"Dane Dunning",19409,"2024-09-21","SEA",13,2024,"TEX","H",29,0,0,4.9090917603045,1,1,0,0,0,0,0,0,3.2,19,7,2,2,1,1,0,0,0,0,5,12.2727294007612,2.45454588015225,17.1818211610657,5,0,0,6,5,2,0,0,0,0,0.26315789,0.05263158,0.21052632,3.37010304430006,2.45454588015225,0.388888888888889,2.18181856013533,0.5,0.90909091,4.80284369839129,0.106248061913202,3.31921854053107,121.839690508182,115.823313687459,80.7286212326093,1.2,0.153846153,0.461538461,0.384615384,0,0.2,2,4.9090917603045,31,50,81,-0.0474079884588718,-0.302440017461777,0.255032032728195,-0.260900050401688,-0.0270924232900143,0.890126287937164,0.827199995517731,0.870000004768372,1,1,1,-0.0670071840286255,0.0137473386546189,0,0,0.41975309,88.76470588,0.16049383,78.69230769,0.2345679,87.05263158,0.11111111,75,0.07407407,83.5,NA,-1.64444959163666,-0.248912155628204,-0.117079824209213,0.252942502498627,0.0606145188212395,-4.83661644599017,-1.91470888944773,-0.616209601101122,2.81047224998474,1.01024198035399,0.29545455,0.64864865,0.45679012,0.53846154,0.95833333,0.81081081,0.45679012,0.47368421,0.08641975,5,7,1,0,9,4,13,0.38461538,0.53846154,0.07692308,0,0.69230769,0.30769231,4.22467949452869,38,23.31075,42.31999,20,28.32754,34.58615,48.97035,70.14814,41.37246,73.50717,23.08646,45.17561,25.90109,41.96316,51.3989,48.35546,40.12128,26.0199,56.64126,47.99639,40.20115,57.3882,0.24989,4.45193,83.1,64.6,58.08,71.66,98,80.4,95.88,116.4,114.26,87.1,80.72,65.64,64.86,117.06,99.78,77.68,117,99.9,NA,NA,NA,85.3030952380952,106.727380952381,96.7138095238095,0.03703704,0.2345679,NA,0.38271605,0.16049383,0.11111111,0.07407407,89.5333353678385,86.9842079564145,NA,88.606453188004,78.530771108774,75.1444430881076,83.6666666666667,-5.16884167989095,-1.20529957821495,NA,-9.49652690272177,0.0377359642432286,5.66569815741645,-10.8260663350423,8.28826522827148,6.29578319348787,NA,4.57642241447203,-1.36353302001953,-9.33460659450955,3.82096703847249,-0.0332007221877575,-0.12077833339572,NA,-1.62263505533338,-0.255652897059917,0.255189381539822,0.0601894222199917,-1.10669073959192,-0.63567543892484,NA,-5.23430663010766,-1.96656074661475,2.83543757266468,1.00315703699986,0.26315789,0.62790698,0.45679012,0.4,0.96296296,0.81081081,0.5308642,17.77419355,0.09876543,0.11111111,NA,0.2345679,NA,0.39506173,0.16049383,NA,85.083251953125,75.7267659505208,NA,87.5519441303454,NA,89.3723220825195,79.1023418719952,NA,-10.0038204193115,6.17050891452365,NA,-0.651297067341052,NA,-8.62496280670166,0.535402591411884,NA,2.38355112075806,-10.891603257921,NA,5.29859803852282,NA,3.78471446037292,-2.71276679405799,NA,0.32240366563201,0.255189381539822,NA,-0.12077833339572,NA,-1.91805002093315,-0.255652897059917,NA,4.03004582040012,2.83543757266468,NA,-0.63567543892484,NA,-5.9939063154161,-1.96656074661475,NA,0.20588235,0.63829787,0.45679012,0.28571429,0.93333333,0.81081081,0.58024691,13,92.8546424278846,13.7405677208534,1,0.07692308,104.838,7,0.53846154,"2024-09-21",0
"Dane Dunning",19409,"2024-08-30","OAK",13,2024,"TEX","H",29,0,0,15,1,0,0,0,0,0,0,0,3,16,6,5,5,2,0,0,1,0,0,0,0,0,18,0,0,0,6,7,2,1,0,0,0,0,0,0,6.19757283401489,6,0.4,2,0.307692307692308,0.47619048,12.8331464449565,2.16685355504354,7.69449939280748,372.287878666453,312.516657869543,189.574975116819,0.857142857,0.133333333,0.4,0.466666666,0.142857142,0.285714285,1,3,18,39,57,-0.0580920055508614,-0.088188000023365,0.0300959926098585,-3.52699995040894,-0.366251319646835,0.131717652082443,0.198533341288567,0.342000007629395,NA,0,1,-0.466769844293594,0.0257355210086556,0,0,0.56140351,88.78125,0.1754386,79.1,0.0877193,87.2,0.05263158,75.33333333,0.12280702,83.85714286,NA,-1.92813241481781,-1.31832897663116,-0.535278081893921,-0.0895154699683189,0.377821296453476,-6.02541379630566,-13.1832897663116,-10.7055616378784,-2.98384899894396,5.39744709219251,0.20833333,0.66666667,0.47368421,0.8,1,0.96296296,0.57894737,0.6875,0.01754386,8,5,2,2,6,7,15,0.53333333,0.33333333,0.13333333,0.13333333,0.4,0.46666667,10.6711560780418,NA,68.30169,46.36084,80,NA,NA,NA,57.5237,53.38306,55.67155,28.75435,43.96673,36.95046,20,53.83134,23.33591,45.04485,38.11275,62.04239,53.4089,49.18939,59.8987,-0.08637,3.94754,98.62,115.2,112.12,NA,NA,NA,102.2,95.88,95.34,89.24,80.28,69.76,89.7,83.06,69.06,89.38,121.72,97.3,NA,NA,NA,97.7042105263158,97.1077192982456,91.7017543859649,NA,0.0877193,NA,0.56140351,0.1754386,0.05263158,0.12280702,NA,87.3599975585937,NA,88.7718734741211,79.1900024414062,75.3333333333333,83.7714320591518,NA,-1.23256502151489,NA,-10.174220085144,0.167613852024078,6.52089881896973,-10.811413356236,NA,6.65323486328125,NA,3.90418171882629,-0.402347135543823,-9.08016649881999,3.28093011038644,NA,-0.558058809489012,NA,-1.93744110316038,-1.3202251419425,-0.091144360601902,0.38162811845541,NA,-11.1611761897802,NA,-6.05450344737619,-13.202251419425,-3.03814535339673,5.45183026364871,0.2,0.62162162,0.47368421,0.75,1,0.96296296,0.64912281,15.475,0.12280702,0.05263158,NA,0.0877193,NA,0.56140351,0.1754386,NA,84.4208984375,75.9950968424479,NA,88.0111572265625,NA,89.4310302734375,79.8297912597656,NA,-9.98243604387556,7.72697321573893,NA,-0.321950197219849,NA,-9.3043966293335,1.12393274307251,NA,1.99583775656564,-10.8742332458496,NA,5.5650520324707,NA,2.68600749969482,-1.79274635314941,NA,0.38162811845541,-0.091144360601902,NA,-0.558058809489012,NA,-1.93744110316038,-1.3202251419425,NA,5.45183026364871,-3.03814535339673,NA,-11.1611761897802,NA,-6.05450344737619,-13.202251419425,NA,0.2,0.62162162,0.47368421,0.75,1,0.96296296,0.64912281,15,92.8836588541667,20.7471130371094,3,0.2,109.906,8,0.53333333,"2024-08-30",0
"Dane Dunning",19409,"2024-08-24","@CLE",13,2024,"TEX","A",29,0,0,9,1,0,0,0,0,0,0,0,1,4,2,1,1,0,0,0,0,0,0,0,0,0,18,0,0,0,2,0,2,0,0,0,0,0,0,0,3.65572908401489,0,0.5,2,0.5,0.5,3.1664797782898,5.8335202217102,3.1664797782898,223.372727199872,75.742397450355,76.9288520456552,2,0.5,0.5,0,0,0,2,18,8,9,17,-3.6005974834552e-05,-3.6005974834552e-05,0,-0.519999980926514,-0.0548523180186749,0,0,0,NA,0,1,0,NA,0,0,0.64705882,89.36363636,0.23529412,80.25,0.11764706,87,NA,NA,NA,NA,NA,0.235625758767128,-0.937032580375671,-0.096498891711235,NA,NA,2.14205235242844,-23.4258145093918,-4.82494458556175,NA,NA,0,0.75,0.35294118,NA,1,1,0.47058824,NA,0,2,2,0,0,3,1,4,0.5,0.5,0,0,0.75,0.25,9.9882541144467,NA,NA,NA,NA,NA,NA,NA,55.03764,53.22959,56.38961,29.44664,35.29216,30.44741,NA,NA,NA,20,41.89837,20,38.80116,46.2078,37.68104,0.82115,5.30882,NA,NA,NA,NA,NA,NA,100.5,110.5,125.86,84.38,99.38,89.14,NA,NA,NA,78.08,32.88,25.1,NA,NA,NA,94.0694117647059,98.7517647058824,105.365882352941,NA,0.11764706,NA,0.64705882,0.23529412,NA,NA,NA,87.0500030517578,NA,89.3454534357244,80.125,NA,NA,NA,-1.74477791786194,NA,-9.65708368474787,1.08590793609619,NA,NA,NA,5.89808702468872,NA,3.30123554576527,-0.338164627552032,NA,NA,NA,-0.0984223820269108,NA,0.23844949901104,-0.947290945798159,NA,NA,NA,-4.92111910134554,NA,2.16772271828218,-23.682273644954,NA,NA,0,0.66666667,0.35294118,NA,1,1,0.52941176,14.38461538,NA,NA,NA,0.11764706,NA,0.64705882,0.23529412,NA,NA,NA,NA,87.5537490844727,NA,89.8379905007102,80.5866241455078,NA,NA,NA,NA,-1.64918994903564,NA,-9.21020785245028,1.6778324842453,NA,NA,NA,NA,5.39810466766357,NA,2.40184749256481,-1.63709497451782,NA,NA,NA,NA,-0.0984223820269108,NA,0.23844949901104,-0.947290945798159,NA,NA,NA,NA,-4.92111910134554,NA,2.16772271828218,-23.682273644954,NA,0,0.66666667,0.35294118,NA,1,1,0.52941176,4,99.5477294921875,2.00322198867798,0,0,104.764,3,0.75,"2024-08-24",0
"Dane Dunning",19409,"2024-08-19","PIT",13,2024,"TEX","H",29,0,0,6.75,1,1,0,0,0,0,0,0,4,18,5,3,3,1,1,0,0,0,0,4,9,2.25,11.25,4,0.25,0,4,8,1,1,1,0,0,0.22222222,0.05555556,0.16666667,4.35649451297235,2.25,0.294117647058824,1.5,0.333333333333333,0.65217391,5.1664797782898,1.5835202217102,4.94049659073353,167.529545399904,124.730175468118,121.06207875345,0.5,0.076923076,0.307692307,0.615384615,0.125,0.125,4,9,22,41,63,-0.0382439643144608,-0.33995595574379,0.30171200633049,-1.0359001159668,-0.107570096850395,0.931977808475494,0.883400022983551,0.870000004768372,1.27160000801086,1,1,-0.0574870519340038,0.0164517783827813,0,0,0.47619048,88.1,0.17460317,77.81818182,0.07936508,86.4,0.03174603,74,0.23809524,82.8,NA,0.654031753540039,-1.52239847183228,0.277222633361816,-0.0688154324889183,0.0894880890846252,2.18010584513346,-13.8399861075661,5.54445266723633,-3.44077162444592,0.596587260564168,0.27027027,0.57692308,0.3968254,0.5,0.93333333,0.76,0.41269841,0.61111111,0.0952381,4,6,3,3,7,3,13,0.30769231,0.46153846,0.23076923,0.23076923,0.53846154,0.23076923,3.55761816221675,40,23.95575,40.32076,20.57595,NA,NA,NA,68.93709,38.0808,72.63748,39.26166,34.53544,45.47287,20,48.80022,20,80,35.80651,80,48.90284,38.45401,54.36008,0.19357,4.36745,89,56.22,50.12,NA,NA,NA,93.26,128.66,119.88,88.02,99.72,88.66,74.6,80.4,61.5,76.34,154.28,144.68,NA,NA,NA,89.2603174603175,104.560952380952,95.7196825396825,NA,0.07936508,NA,0.44444444,0.17460317,0.03174603,0.26984127,NA,86.3199951171875,NA,88.1499982561384,77.9272738370028,73.6999969482422,83.2470559512868,NA,-1.85003051757813,NA,-9.86475699288505,0.325978322462602,7.10407733917236,-10.206761079676,NA,6.64589385986328,NA,4.56271880013602,-0.512893850153143,-9.56294631958008,3.15065002441406,NA,0.280736017972231,NA,0.66310578212142,-1.52700832113624,-0.0700974091887474,0.0616602040827274,NA,5.61472035944462,NA,2.36823493614793,-13.8818938285112,-3.50487045943737,0.362707082839573,0.3030303,0.5,0.3968254,0.5,0.93333333,0.76,0.47619048,17.62222222,0.25396825,0.03174603,NA,0.07936508,NA,0.46031746,0.17460317,NA,83.41552734375,74.0675048828125,NA,86.6812377929687,NA,88.4549181707974,78.2777266068892,NA,-9.26137733459473,8.20248985290527,NA,-0.804068183898926,NA,-8.87775920999461,1.50153628262607,NA,1.52020370960236,-11.0910501480103,NA,5.6371639251709,NA,3.38611971098801,-1.81602252613414,NA,0.0222958363592625,-0.0700974091887474,NA,0.280736017972231,NA,0.702470149844885,-1.52700832113624,NA,0.13934897724539,-3.50487045943737,NA,5.61472035944462,NA,2.42231086153409,-13.8818938285112,NA,0.3125,0.48387097,0.3968254,0.5,0.93333333,0.76,0.49206349,13,85.7147216796875,27.0922546386719,1,0.07692308,102.554,3,0.23076923,"2024-08-19",0
"Dane Dunning",19409,"2024-08-14","@BOS",13,2024,"TEX","A",29,0,0,7.2,1,1,0,0,0,0,0,0,5,21,5,4,4,1,1,0,0,0,0,3,5.4,1.8,9,3,0,0,7,7,2,1,0,1,0,0.14285714,0.04761905,0.0952381,4.8131848710673,1.8,0.25,1.2,0.25,0.43478261,5.1664797782898,2.03352022171021,4.68329154700041,178.698181759897,124.730175468118,114.663442378733,1,0.125,0.4375,0.4375,0.142857142,0.142857142,2,3.6,28,48,76,-0.15052404999733,-0.431060016155243,0.280535966157913,-0.657000064849854,-0.0632947981357574,0.858419060707092,0.951466679573059,0.870000004768372,1.30679988861084,1,1,0.0119016421958804,-0.187251954050956,0,0,0.5,89.13157895,0.15789474,79.41666667,0.27631579,87.47619048,NA,NA,0.06578947,83.8,NA,-0.0177164785563946,0.0963200181722641,0.674641072750092,NA,-0.620067536830902,-0.046622311990512,0.802666818102201,3.2125765369052,NA,-12.401350736618,0.29787234,0.79310345,0.48684211,0.57142857,0.7826087,0.7027027,0.38157895,0.57142857,0.14473684,9,5,3,4,7,6,17,0.52941176,0.29411765,0.17647059,0.23529412,0.41176471,0.35294118,4.44873523798703,42,20,35.96397,20,80,36.90179,80,43.43661,40.41878,47.05168,20,45.5698,20,NA,NA,NA,25.73207,32.37876,42.66244,34.47643,39.31224,40.36353,1.08983,5.71184,93.56,51.78,36.48,67.44,180.02,153.52,90.14,87.54,82.38,95.24,66.2,51.4,NA,NA,NA,82.2,91.42,72.94,NA,NA,NA,88.0802631578947,86.5405263157895,74.6684210526316,0.03947368,0.27631579,NA,0.46052632,0.15789474,NA,0.06578947,87.2999979654948,87.4952392578125,NA,89.1742885044643,79.4166666666667,NA,83.8799987792969,-4.53194872538249,-1.4126091003418,NA,-9.99020298549107,0.18173094590505,NA,-10.2598106384277,7.82050450642904,6.44825744628906,NA,4.29751456124442,-1.21500484148661,NA,3.44731483459473,0.54349984228611,0.722504530102015,NA,-0.518501657992601,0.0945936106145382,NA,-0.630043555051088,18.116661409537,3.44049776239055,NA,-1.48143330855029,0.788280088454485,NA,-12.6008711010218,0.225,0.77777778,0.48684211,0.44444444,0.78571429,0.7027027,0.47368421,15.78181818,0.06578947,NA,NA,0.31578947,NA,0.46052632,0.15789474,NA,83.787158203125,NA,NA,87.3531799316406,NA,89.0673060825893,79.2991994222005,NA,-9.5585578918457,NA,NA,-0.918681303660075,NA,-9.3097647530692,1.38865741093953,NA,2.1846981048584,NA,NA,5.88346354166667,NA,3.11885005405971,-2.80257860819499,NA,-0.630043555051088,NA,NA,1.26600437238812,NA,-0.518501657992601,0.0945936106145382,NA,-12.6008711010218,NA,NA,5.27501821828385,NA,-1.48143330855029,0.788280088454485,NA,0.20512821,0.78378378,0.48684211,0.375,0.79310345,0.7027027,0.48684211,17,89.9878616333008,16.9138793945312,1,0.05882353,105.856,7,0.41176471,"2024-08-14",0
"Dane Dunning",19409,"2024-08-11","@NYY",13,2024,"TEX","A",29,0,0,0,1,0,0,0,0,0,0,0,2,8,2,0,0,0,1,0,0,0,0,1,4.5,4.5,9,1,0,0,1,3,2,0,0,0,0,0.125,0.125,0,6.22954158401489,0,0.285714285714286,1.5,0.333333333333333,1,3.6664797782898,-3.6664797782898,5.9344923876226,0,87.9893419547957,145.790278364068,0.333333333,0.333333333,0.166666666,0.5,0,0,4,18,9,19,28,0.0165720339864492,-0.00328796845860779,0.019860003143549,0.979999959468842,0.101765312254429,0.111999996006489,0.166266664862633,0.0483999997377396,NA,0,1,0.0769269913434982,0.0710376030971045,0,0,0.42857143,90.41666667,0.17857143,81,0.25,89.42857143,NA,NA,0.14285714,85.75,NA,0.188621386885643,-0.0192939080297947,-0.535529911518097,NA,0.216195598244667,1.57184489071369,-0.385878160595894,-7.65042730740138,NA,5.40488995611668,0.25,0.6875,0.5,0.33333333,0.81818182,0.71428571,0.57142857,0.75,0.14285714,2,2,2,1,1,4,6,0.33333333,0.33333333,0.33333333,0.16666667,0.16666667,0.66666667,5.7576894920299,NA,33.82278,38.44476,41.56638,NA,NA,NA,68.6175,45.01319,66.39126,20,37.93618,20,NA,NA,NA,55.98506,38.80813,71.76747,46.8422,42.24672,54.97935,0.32159,4.55948,88.88,65.14,57.42,NA,NA,NA,101.76,116.18,119.68,97.2,39.04,28.32,NA,NA,NA,74.86,94.08,76.02,NA,NA,NA,90.4592857142857,88.01,80.4378571428571,NA,0.32142857,NA,0.35714286,0.17857143,NA,0.14285714,NA,89.5666639539931,NA,90.4599975585938,80.8200012207031,NA,85.8249969482422,NA,-1.98272874620226,NA,-10.2669845581055,0.547203779220581,NA,-10.4716854095459,NA,7.14212120903863,NA,4.04946746826172,-1.11553211212158,NA,3.51150798797607,NA,-0.445971690118313,NA,0.0924215316772461,-0.0213982760906219,NA,0.218811623752117,NA,-4.95524100131459,NA,0.924215316772461,-0.427965521812439,NA,5.47029059380293,0.25,0.6875,0.5,0.33333333,0.81818182,0.71428571,0.57142857,16.21052632,0.14285714,NA,NA,0.32142857,NA,0.35714286,0.17857143,NA,85.7819519042969,NA,NA,89.526611328125,NA,90.4377380371094,80.7685180664062,NA,-9.59430980682373,NA,NA,-1.0082974963718,NA,-9.42154083251953,1.67071571350098,NA,2.03072261810303,NA,NA,6.17673534817166,NA,2.80631198883057,-2.62701606750488,NA,0.218811623752117,NA,NA,-0.445971690118313,NA,0.0924215316772461,-0.0213982760906219,NA,5.47029059380293,NA,NA,-4.95524100131459,NA,0.924215316772461,-0.427965521812439,NA,0.25,0.6875,0.5,0.33333333,0.81818182,0.71428571,0.57142857,6,93.9200744628906,25.8955307006836,0,0,105.255,4,0.66666667,"2024-08-11",0
"Dane Dunning",19409,"2024-08-06","HOU",13,2024,"TEX","H",29,0,0,6.75,1,0,0,0,0,0,0,0,4,20,6,3,3,1,3,0,0,0,0,2,4.5,6.75,13.5,0.66666667,0,1,7,4,3,2,0,1,1,0.1,0.15,-0.05,6.10387908401489,2.25,0.352941176470588,2.25,0.357142857142857,0.78947368,7.6664797782898,-0.916479778289795,5.92848818451166,167.529545399904,185.964897990322,145.640908383335,1.75,0.214285714,0.5,0.285714285,0.5,0.25,2,4.5,22,39,61,-0.0778279900550842,-0.339215964078903,0.261387974023819,-1.03600001335144,-0.107580468058586,0.796540021896362,0.578299999237061,0.962000012397766,NA,0,1,-0.228971019387245,0.131263449251855,0,1,0.52459016,88.90625,0.16393443,80.4,0.19672131,87.58333333,NA,NA,0.1147541,83.71428571,NA,1.30121791362762,-0.399087607860565,-1.60795342922211,NA,-0.550554811954498,4.06630598008633,-3.99087607860565,-13.3996119101842,NA,-7.86506874220712,0.16666667,0.74193548,0.45901639,0.8,0.86956522,0.85714286,0.50819672,0.6,0.06557377,11,3,1,3,6,6,15,0.73333333,0.2,0.06666667,0.2,0.4,0.4,7.82107157900559,NA,55.99037,47.79659,61.66727,20,36.41217,20,63.10879,48.43269,69.21589,48.73412,35.22013,52.22592,NA,NA,NA,20,28.58328,37.06934,51.95073,42.1279,63.60199,0.00422,4.08342,95.88,72.16,71.98,66.66,79.16,54.3,97.26,85.68,87.9,90.96,89.76,81.02,NA,NA,NA,75.54,61.6,46.9,NA,NA,NA,90.79,79.6813333333333,75.6906666666667,0.03278689,0.19672131,NA,0.49180328,0.16393443,NA,0.1147541,87.4499969482422,87.5916646321615,NA,88.9466634114583,80.1799987792969,NA,83.6428571428571,-5.31455850601196,-2.35977681477865,NA,-10.1375010172526,0.0704930424690247,NA,-10.8924244471959,9.02268981933594,6.56395594278971,NA,3.97584457397461,-0.17367457151413,NA,3.60620498657227,-0.00895778834819794,-1.57472769171,NA,1.32138573750854,-0.425765555351973,NA,-0.55998444929719,-0.447889417409897,-13.12273076425,NA,4.40461912502845,-4.25765555351973,NA,-7.99977784710271,0.08,0.72222222,0.45901639,0.5,0.88461538,0.85714286,0.59016393,19.29268293,0.1147541,NA,0.04918033,0.18032787,NA,0.49180328,0.16393443,NA,83.9576328822545,NA,87.6930643717448,87.9237448952415,NA,89.2640869140625,80.4924926757812,NA,-9.98340606689453,NA,-4.17122650146484,-1.07070844823664,NA,-9.27197570800781,1.2198145866394,NA,2.22853565216064,NA,7.04728635152181,5.59919530695135,NA,2.91553777058919,-1.37150573730469,NA,-0.55998444929719,NA,-0.0332007221877575,-1.55048475787044,NA,1.32138573750854,-0.425765555351973,NA,-7.99977784710271,NA,-1.10669073959192,-14.0953159806403,NA,4.40461912502845,-4.25765555351973,NA,0.08333333,0.7027027,0.45901639,0.5,0.88461538,0.85714286,0.60655738,15,86.0694928850446,11.8794849940709,1,0.06666667,111.958,8,0.53333333,"2024-08-06",0
