"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","SF%","SFv","XX%","wFB","wSL","wCB","wSF","wFB/C","wSL/C","wCB/C","wSF/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FS","pb_s_FS","pb_c_FS","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FS","sp_l_FS","sp_p_FS","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFS%","pfxSL%","pfxCU%","pfxvFA","pfxvFS","pfxvSL","pfxvCU","pfxFA-X","pfxFS-X","pfxSL-X","pfxCU-X","pfxFA-Z","pfxFS-Z","pfxSL-Z","pfxCU-Z","pfxwFA","pfxwFS","pfxwSL","pfxwCU","pfxwFA/C","pfxwFS/C","pfxwSL/C","pfxwCU/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCU%","piFA%","piFC%","piFS%","piSL%","pivCU","pivFA","pivFC","pivFS","pivSL","piCU-X","piFA-X","piFC-X","piFS-X","piSL-X","piCU-Z","piFA-Z","piFC-Z","piFS-Z","piSL-Z","piwCU","piwFA","piwFC","piwFS","piwSL","piwCU/C","piwFA/C","piwFC/C","piwFS/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Yuki Matsui",33826,"2024-09-29","@ARI",29,2024,"SDP","A",28,0,0,0,1,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.2527290840149,0,0,0,0,1,3.1664797782898,-3.1664797782898,7.70250972840334,0,78.8033710472314,187.926204380887,0,0,0,1,0,0,0,0,1,2,3,0,0,0,0.233999997377396,0.0236363634467125,0,0,0,NA,0,1,0,NA,0,0,0.66666667,91.5,0.33333333,86,NA,NA,NA,NA,NA,0.200305253267288,0.0495179928839207,NA,NA,10.0152626633644,4.95179928839207,NA,NA,0.5,1,0.66666667,0,1,0.5,0.33333333,NA,0.33333333,0,0,1,0,1,0,1,0,0,1,0,1,0,0.765142307487695,NA,NA,NA,26.39909,65.55837,24.44903,20,40.16516,20,NA,NA,NA,20,56.50493,20,2.37698,7.64256,NA,NA,NA,105.28,65.76,79.76,112.44,45.06,66.2,NA,NA,NA,107.666666666667,58.86,75.24,0.66666667,NA,0.33333333,NA,91.0999984741211,NA,86.1999969482422,NA,3.61496829986572,NA,-3.4373893737793,NA,12.0965576171875,NA,4.20665073394775,NA,0.202594328671694,NA,0.0501701384782791,NA,10.1297164335847,NA,5.01701384782791,NA,0.5,1,0.66666667,0,1,0.5,0.33333333,20.5,NA,0.66666667,0.33333333,NA,NA,NA,90.7998046875,85.8636016845703,NA,NA,NA,2.90463495254517,-4.62355995178223,NA,NA,NA,10.4846000671387,2.55879998207092,NA,NA,NA,0.202594328671694,0.0501701384782791,NA,NA,NA,10.1297164335847,5.01701384782791,NA,NA,0.5,1,0.66666667,0,1,0.5,0.33333333,1,84.8597259521484,52.1843605041504,0,0,84.8597,0,0,"2024-09-29",0
"Yuki Matsui",33826,"2024-09-28","@ARI",29,2024,"SDP","A",28,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,1,0,2,18,0,9,2,0,0,1,1,0,0,0,0,0,0.5,0,0.5,0.562229084014893,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-18.4688219680816,18.1856412207288,1,0,0.5,0.5,0,0,0,0,6,9,15,0.00793999992311001,-0.00965999998152256,0.0175999999046326,0.511000037193298,0.0516161657869816,0.174666658043861,0.206000000238419,0.206000000238419,NA,0,1,0.0314552150666714,0.0140028020044296,0,0,0.33333333,90.8,0.4,84,NA,NA,0.26666667,87.5,NA,-0.00560974329710007,0.265520006418228,NA,0.0585852265357971,-0.112194865942001,4.4253334403038,NA,1.46463066339493,0.36363636,1,0.53333333,0.25,0.75,0.5,0.26666667,0.25,0.26666667,1,1,0,0,1,1,2,0.5,0.5,0,0,0.5,0.5,-0.98738820797386,NA,NA,NA,77.32665,61.1113,80,20,48.32046,20,20,22.61792,20,20,42.00567,20,2.74409,8.19323,NA,NA,NA,91.9,113.28,119.6,106.47,-29.57,-20.0166666666667,109.98,56.12,52.36,102.549333333333,40.8973333333333,45.8226666666667,0.33333333,0.26666667,0.4,NA,90.8,87.1999969482422,84.0166676839193,NA,3.49517860412598,4.66192674636841,-2.0228058497111,NA,11.6546546936035,3.61764788627625,4.59861437479655,NA,0.0351686924695969,0.0580100864171982,0.269026469439268,NA,0.703373849391937,1.45025216042995,4.48377449065447,NA,0.33333333,0.83333333,0.53333333,0,0.8,0.5,0.4,23.18181818,NA,0.33333333,0.2,0.26666667,0.2,NA,90.4056030273437,85.5948689778646,86.802848815918,81.588368733724,NA,2.95449409484863,-1.4833517074585,4.19722509384155,-3.97509098052979,NA,10.2771575927734,3.65278657277425,1.86193478107452,1.94791682561239,NA,0.0351686924695969,0.339123878628016,0.0580100864171982,-0.0700974091887474,NA,0.703373849391937,11.3041292876005,1.45025216042995,-2.33658030629158,0.33333333,0.83333333,0.53333333,0,0.8,0.5,0.4,2,93.197021484375,11.3345632553101,0,0,104.406,1,0.5,"2024-09-28",0
"Yuki Matsui",33826,"2024-09-26","@LAD",29,2024,"SDP","A",28,0,0,0,1,0,0,0,0,0,0,0,0.1,3,1,0,0,0,1,1,0,0,0,1,27.000028163224,27.000028163224,27.000028163224,1,0,0,0,1,0,0,0,0,0,0.33333333,0.33333333,0,7.35528463540534,0,0.5,6.00000625849423,1,1,6.16648290753691,-6.16648290753691,10.7025128576505,0,151.757591905898,260.423450788606,0,0,0,1,0,0,0,0,2,5,7,0.000299990206258371,-0.000679993652738631,0.000979983829893172,0.0990000069141388,0.0104761887341738,0.0253333318978548,0.00499999988824129,0.00999999977648258,NA,0,1,-0.0301107428967953,0.0419524622358836,0,0,0.42857143,90.33333333,0.42857143,85,NA,NA,0.14285714,86,0.57142857,0.13512547314167,-0.603130757808685,NA,-0.0238054171204567,4.50418243805567,-20.1043585936228,NA,-2.38054171204567,0,0.8,0.57142857,NA,0.75,0.75,0.71428571,0.66666667,0.14285714,0,0,1,0,1,0,1,0,0,1,0,1,0,3.40165955255143,NA,NA,NA,80,61.19386,80,34.80894,33.09813,44.72931,20,21.10988,62.11848,66.98283,43.28124,80,-0.92967,2.68259,NA,NA,NA,91.8,150.76,151.16,112.013333333333,99.46,88.3733333333333,68.78,91.16,59.36,97.1742857142857,120.26,111.137142857143,0.42857143,0.14285714,0.42857143,NA,90.2000020345052,85.9000015258789,84.8333333333333,NA,3.70587507883708,3.3037281036377,-2.95959631601969,NA,11.7679608662923,8.32975959777832,2.48994398117065,NA,0.136698678135872,-0.0242429338395596,-0.608769550919533,NA,4.55662260452906,-2.42429338395596,-20.2923183639844,NA,0,0.8,0.57142857,NA,0.75,0.75,0.71428571,25.6,NA,0.42857143,0.28571429,0.14285714,0.14285714,NA,90.1401672363281,85.8311996459961,85.8145980834961,82.5346984863281,NA,3.13022677103678,-2.4469895362854,3.03143000602722,-6.02436017990112,NA,10.5324897766113,1.95430994033813,6.70712995529175,-1.39286994934082,NA,0.136698678135872,-0.842976048588753,-0.0242429338395596,0.23420649766922,NA,4.55662260452906,-42.1488024294376,-2.42429338395596,23.420649766922,0,0.8,0.57142857,NA,0.75,0.75,0.71428571,1,77.9512481689453,43.1171112060547,0,0,77.9512,0,0,"2024-09-26",0
"Yuki Matsui",33826,"2024-09-07","SFG",29,2024,"SDP","H",28,0,0,18,1,0,0,0,0,0,0,0,1,5,1,2,2,1,1,0,0,1,0,2,18,9,9,2,0,0,0,2,0,0,0,0,0,0.4,0.2,0.2,4.22640908401489,9,0.25,2,0,0,15.1664797782898,2.83352022171021,5.19049659073353,454.941938619235,370.61995009317,127.221589227109,0,0,0,1,0,0.5,0,0,12,14,26,-0.116385996341705,-0.157640010118484,0.0412540100514889,-1.54299998283386,-0.168357878923416,0.645399987697601,0.597599983215332,0.597599983215332,NA,0,1,-0.12033087015152,-0.0600007049340338,0,1,0.5,92.61538462,0.23076923,87,NA,NA,0.26923077,87,NA,-1.23620402812958,-0.119796499609947,NA,0.414116501808167,-9.50926175484291,-1.99660832683245,NA,5.91595002583095,0.22222222,0.75,0.38461538,0.5,0.83333333,0.7,0.30769231,NA,0.11538462,1,1,0,0,1,1,2,0.5,0.5,0,0,0.5,0.5,12.8201407590317,NA,NA,NA,74.25388,70.00059,70.36076,20,34.71357,20,20,23.06976,37.23452,36.57792,48.418,37.52915,0.95928,5.51601,NA,NA,NA,93.04,137.32,143.58,104.72,26.34,38.24,101.22,88.88,88.04,98.0723076923077,96.2623076923077,102.402307692308,0.5,0.23076923,0.26923077,NA,92.5,87.4500020345052,86.7000034877232,NA,3.20876693725586,3.66031583150228,-0.854913711547852,NA,11.7252115102915,3.4381488164266,5.45145470755441,NA,-1.23814737796783,0.45366282761097,-0.157975446432829,NA,-9.52421059975257,7.56104712684949,-2.25679209189756,NA,0.21428571,0.58333333,0.38461538,0.33333333,0.85714286,0.7,0.46153846,22.19047619,NA,0.5,0.19230769,0.23076923,0.07692308,NA,92.3033259465144,87.346923828125,87.2331949869792,84.3130493164062,NA,2.86419061514047,-1.61761665344238,3.51298840840658,0.24965500831604,NA,10.681891808143,4.13619194030762,2.12457815806071,3.77638483047485,NA,-1.23814737796783,-0.0331308096647263,0.45366282761097,-0.124844636768103,NA,-9.52421059975257,-0.662616193294525,7.56104712684949,-6.24223183840513,0.1875,0.7,0.38461538,0.33333333,0.85714286,0.7,0.38461538,2,97.8524169921875,41.7358055114746,1,0.5,104.045,1,0.5,"2024-09-07",0
"Yuki Matsui",33826,"2024-09-04","DET",29,2024,"SDP","H",28,0,0,13.5000032186516,1,0,0,0,0,0,0,0,1.1,6,1,2,2,1,1,0,0,0,0,1,6.75000160932579,6.75000160932579,6.75000160932579,1,0,0,1,3,0,0,0,0,0,0.16666667,0.16666667,0,6.50739574934539,6.75000160932579,0.2,1.50000035762795,0,0,13.6664822816855,-0.166479063033886,7.31849968220768,341.206535314403,334.142938590125,178.646323746538,0.333333333,0,0.25,0.75,0,0.333333333,3,20.2500048279774,8,17,25,-0.0788659974932671,-0.102356001734734,0.0234900023788214,-1.33100008964539,-0.145226418972015,0.349900007247925,0.457666665315628,0.45100000500679,0.270999997854233,1,1,-0.0477504432201385,-0.177645372326061,0,1,0.44,92.27272727,0.48,85.66666667,NA,NA,0.08,86.5,NA,0.15949621796608,-0.942378342151642,NA,0.0365940518677235,1.44996561787345,-7.85315285126368,NA,1.82970259338617,0.4,1,0.64,0.33333333,1,0.75,0.4,0.5,0.16,2,2,0,0,2,2,4,0.5,0.5,0,0,0.5,0.5,11.6187104808575,NA,NA,NA,41.063,66.58305,40.11668,24.11048,39.78629,24.25918,20,37.28098,20,23.56389,52.91337,20.34763,1.76779,6.72878,NA,NA,NA,99.6,100.5,110.82,126.04,38.04,49.86,114.64,110.5,110.18,114.073333333333,70.1033333333333,80.2866666666667,0.44,0.08,0.48,NA,92.0818204012784,86.1999969482422,85.4749959309896,NA,1.99033806540749,4.41790008544922,-1.99807055791219,NA,11.510910727761,1.62135577201843,4.09165032704671,NA,0.15836975350976,0.0369229912757874,-0.939468141645193,NA,1.43972503190691,1.84614956378937,-7.82890118037661,NA,0.30769231,1,0.64,0,1,0.75,0.48,23.05555556,NA,0.44,0.36,0.08,0.12,NA,91.9498512961648,85.9694552951389,86.0171966552734,83.2764689127604,NA,1.5119290785356,-2.49598651462131,4.21724033355713,-1.84184678395589,NA,10.3472810225053,2.5279409620497,-0.00924298167228699,3.2340768178304,NA,0.15836975350976,-0.943810537457466,0.0369229912757874,0.00434239581227303,NA,1.43972503190691,-10.4867837495274,1.84614956378937,0.144746527075768,0.30769231,1,0.64,0,1,0.75,0.48,4,98.07421875,41.098747253418,0,0,103.068,3,0.75,"2024-09-04",0
"Yuki Matsui",33826,"2024-08-29","@STL",29,2024,"SDP","A",28,0,0,5.40000205993731,1,0,0,0,0,0,0,0,1.2,6,1,1,1,1,0,0,0,0,0,1,5.40000205993731,0,5.40000205993731,1,0,0,2,3,0,1,0,0,0,0.16666667,0,0.16666667,4.07892353529245,5.40000205993731,0.166666666666667,0.600000228881923,0,1,9.76648229599095,-4.36648023605364,4.68809548993948,136.482633649763,239.302550748076,115.080703091128,0.666666666,0,0.4,0.6,0.333333333,0.333333333,0,0,3,14,17,0.0543920509517193,-0.114276021718979,0.168668076395988,1.01600003242493,0.10717299580574,1.15646660327911,1.30399990081787,2.28799986839294,0.381999999284744,1,1,-0.0593399181962013,0.106372881186652,0,0,0.41176471,92.57142857,0.47058824,85.375,NA,NA,0.11764706,88.5,NA,-1.05220568180084,0.46485111117363,NA,0.367077767848969,-15.031509740012,5.81063888967037,NA,18.3538883924484,0.66666667,0.625,0.64705882,1,0.6,0.81818182,0.47058824,0.83333333,0.11764706,2,1,2,2,2,1,5,0.4,0.2,0.4,0.4,0.4,0.2,7.03162962284837,NA,NA,NA,80,65.90626,80,58.12849,42.60802,58.35276,51.90236,28.04737,77.90366,75.97958,50.92648,80,-1.4886,1.84419,NA,NA,NA,99.68,136.9,134.78,111.5425,118.1375,120.97,110.66,85.38,79.46,106.98375,121.07875,120.96,0.41176471,0.11764706,0.47058824,NA,92.6000017438616,88.3499984741211,85.2249984741211,NA,3.55660111563546,3.26898384094238,-1.67577934265137,NA,11.6720221383231,2.74300622940063,1.86065566539764,NA,-1.04935594275594,0.37150351703167,0.470411997288465,NA,-14.9907991822277,18.5751758515835,5.88014996610582,NA,0.4,0.75,0.64705882,1,0.77777778,0.81818182,0.70588235,26.36363636,NA,0.41176471,0.29411765,0.11764706,0.17647059,NA,92.7052699497768,86.2611572265625,88.4259490966797,83.6936340332031,NA,2.65835298810686,-1.71419944763184,2.52126502990723,-4.77406660715739,NA,10.895985194615,1.55155715942383,1.8527899980545,-0.285777032375336,NA,-1.04935594275594,0.391683261841536,0.37150351703167,0.0787287354469299,NA,-14.9907991822277,7.83366523683071,18.5751758515835,2.62429118156433,0.4,0.75,0.64705882,1,0.77777778,0.81818182,0.70588235,5,82.0803955078125,21.2798645019531,0,0,99.5314,1,0.2,"2024-08-29",0
"Yuki Matsui",33826,"2024-08-27","@STL",29,2024,"SDP","A",28,1,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,1,9,9,0,1,0,0,1,1,0,0,0,0,0,0.25,0.25,0,6.21610408401489,0,0,1,0,1,4.1664797782898,-4.1664797782898,5.67848818451166,0,103.12141930106,139.014259199392,1,0,0.5,0.5,0,0,2,18,5,13,18,0.0453720018267632,-0.0219959802925587,0.0673679783940315,0.480000019073486,0.0506329126656055,0.814499974250793,0.811999976634979,0.811999976634979,1.9099999666214,1,1,0.0401463955640793,0.0155589491395813,0,0,0.61111111,93.18181818,0.27777778,86.8,NA,NA,0.11111111,88.5,NA,-0.0221065357327461,0.263193309307098,NA,0.173208177089691,-0.200968506661328,5.26386618614197,NA,8.66040885448456,0.5,0.75,0.61111111,1,0.83333333,0.90909091,0.44444444,0.75,0.05555556,1,1,0,0,2,0,2,0.5,0.5,0,0,1,0,2.77476607391861,NA,NA,NA,59.72535,60.19726,59.66222,63.65466,42.78404,67.97462,65.2163,20.30126,80,63.47205,47.51391,71.67017,-0.71156,3.00975,NA,NA,NA,98.36,111.9,109.26,102.9,108.92,117.84,108.44,135.86,126.18,100.741111111111,113.734444444444,113.523333333333,0.61111111,0.11111111,0.27777778,NA,93.127274946733,88.5,86.5400024414062,NA,3.57957111705433,5.25275421142578,-1.45871629714966,NA,11.4152984619141,3.75599479675293,2.84957656860352,NA,-0.0265749767422676,0.175081223249435,0.266222182661295,NA,-0.241590697656978,8.75406116247177,5.3244436532259,NA,0.5,0.75,0.61111111,1,0.83333333,0.90909091,0.44444444,24,NA,0.61111111,0.27777778,0.11111111,NA,NA,93.2502996271307,86.649755859375,88.6320953369141,NA,NA,2.82260912114924,-2.4193208694458,4.54249000549316,NA,NA,10.2738820856268,1.5648416519165,2.30089497566223,NA,NA,-0.0265749767422676,0.266222182661295,0.175081223249435,NA,NA,-0.241590697656978,5.3244436532259,8.75406116247177,NA,0.44444444,0.77777778,0.61111111,1,0.85714286,0.90909091,0.5,2,81.5303192138672,20.0999622344971,0,0,86.2118,0,0,"2024-08-27",0
"Yuki Matsui",33826,"2024-08-24","NYM",29,2024,"SDP","H",28,0,0,9,1,0,0,0,0,0,0,0,1,4,1,1,1,1,0,0,0,0,0,3,27,0,9,3,0,0,0,1,0,0,0,0,0,0.75,0,0.75,-0.543708415985107,9,0.25,1,0,1,10.1664797782898,-1.16647977828979,-1.32151181548834,227.470969309617,249.029708824029,-30.1458059707366,0,0,0,1,0,1,0,0,7,11,18,-0.0189519971609116,-0.0240039993077517,0.00505200121551752,-0.542999982833862,-0.0592471361160278,0.091049998998642,0.170999988913536,0.170999988913536,0.0522000007331371,1,1,-0.0619113370776176,-0.146238002508803,0,0,0.33333333,92,0.44444444,86.5,NA,NA,0.22222222,88,NA,-1.22851800918579,0.484337687492371,NA,0.132711738348007,-20.4753001530965,6.05422109365463,NA,3.31779345870018,0.33333333,0.83333333,0.5,0.5,0.8,0.66666667,0.33333333,0.25,0.16666667,1,0,0,0,0,1,1,1,0,0,0,0,1,8.4259788942511,NA,NA,NA,67.35389,70.34281,61.27391,20,33.77616,20,40.32376,24.25905,57.96028,35.64777,45.04639,36.8898,1.01706,5.60268,NA,NA,NA,106.94,113.88,124.38,109.74,73.54,85.86,108.3,105.44,91.8,108.486666666667,94.0755555555556,100.02,0.33333333,0.22222222,0.44444444,NA,91.9833374023438,87.8249969482422,86.4625015258789,NA,2.85842323303223,4.43906402587891,-1.09375846385956,NA,12.0808753967285,3.49200439453125,5.26730585098267,NA,-1.22751462087035,0.133806917816401,0.489698074758053,NA,-20.4585770145059,3.34517294541001,6.12122593447566,NA,0.3,0.75,0.5,0.33333333,0.83333333,0.66666667,0.44444444,20.42857143,NA,0.33333333,0.27777778,0.22222222,0.16666667,NA,91.9422505696615,87.2959777832031,87.7369995117188,84.8507334391276,NA,2.54026508331299,-1.71608352661133,4.19998741149902,-0.725680351257324,NA,11.0575663248698,3.93635787963867,1.93471920490265,3.98226674397786,NA,-1.22751462087035,0.353913959115744,0.133806917816401,0.135784115642309,NA,-20.4585770145059,7.07827918231487,3.34517294541001,4.52613718807697,0.3,0.75,0.5,0.33333333,0.83333333,0.66666667,0.44444444,1,108.875213623047,20.9182987213135,1,1,108.875,1,1,"2024-08-24",0
"Yuki Matsui",33826,"2024-08-20","MIN",29,2024,"SDP","H",28,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,2,18,0,9,2,0,0,1,1,0,0,0,0,0,0.5,0,0.5,0.562229084014893,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-18.4688219680816,18.1856412207288,1,0,0.5,0.5,0,0,2,18,6,12,18,0.0303440019488335,-0.00746400048956275,0.0378080010414124,0.457000017166138,0.0498636141419411,0.438199996948242,0.545399963855743,0.545399963855743,1.82660007476807,1,1,0.0498407930135727,0.019406131131015,0,0,0.27777778,91.8,0.5,85,0.05555556,76,0.16666667,87,NA,-0.086815632879734,0.553650259971619,0.177418887615204,-0.325758039951324,-1.73631265759468,6.15166955524021,17.7418887615204,-10.8586013317108,0.5,0.66666667,0.55555556,0.33333333,0.75,0.5,0.33333333,0.75,0.27777778,1,1,0,0,1,1,2,0.5,0.5,0,0,0.5,0.5,-0.98738820797386,80,36.1502,80,20,54.08301,20,80,38.16986,80,66.44494,20,80,67.39136,39.15774,80,-0.95505,2.64452,128.24,164.36,134.98,94.44,63.46,56.14,109.94,125.02,135.62,108.2,126.46,110.74,106.457777777778,110.265555555556,110.742222222222,0.27777778,0.11111111,0.55555556,0.05555556,91.5599975585938,86.9499969482422,85.1200012207031,75.9000015258789,2.45252571105957,3.95882391929626,-1.49294166564941,-3.37027049064636,10.6100204467773,3.3274290561676,2.78757438659668,-8.78810596466064,-0.0889383070170879,0.213159546256065,0.0160993449389935,0.179673105478287,-1.77876614034176,10.6579773128033,0.160993449389935,17.9673105478287,0.5,0.6,0.55555556,0,0.83333333,0.5,0.55555556,21,0.05555556,0.27777778,0.38888889,0.16666667,0.11111111,76.1643981933594,91.7948974609375,85.733154296875,87.0552978515625,83.3029022216797,-3.19425010681152,2.22915000915527,-1.62265014648438,2.85011386871338,-3.33675003051758,-10.2447996139526,9.60774002075195,1.37602097647531,2.54336007436117,0.910876512527466,0.179673105478287,-0.0889383070170879,0.543704979121685,-0.331141725182533,0.0166956372559071,17.9673105478287,-1.77876614034176,7.76721398745264,-11.0380575060844,0.834781862795353,0.5,0.6,0.55555556,0,0.83333333,0.5,0.55555556,2,89.9730834960938,24.1675910949707,0,0,101.259,1,0.5,"2024-08-20",0
"Yuki Matsui",33826,"2024-08-18","@COL",29,2024,"SDP","A",28,0,0,0,1,0,0,0,0,0,0,0,1.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,6.03472908401489,0,0,0,0,1,3.1664797782898,-3.1664797782898,4.98089055789882,0,78.8033710472314,122.156307773627,1,0.2,0.4,0.4,0,0,1,5.40000205993731,10,17,27,0.0316160209476948,-0.0267039947211742,0.058320015668869,0.928000032901764,0.080765888094902,0.744320034980774,0.899733364582062,1.68720006942749,0.646000027656555,1,1,0.0965059399604797,-0.0540295595571074,0,0,0.37037037,93.1,0.44444444,85.66666667,NA,NA,0.18518519,87.8,NA,0.341502606868744,0.575164377689362,NA,0.256973206996918,3.41502606868744,4.79303648074468,NA,5.13946413993835,0.375,0.72727273,0.51851852,0.66666667,0.75,0.71428571,0.40740741,0.6,0.14814815,3,0,2,1,4,0,5,0.6,0,0.4,0.2,0.8,0,3.50749706400451,NA,NA,NA,47.76026,47.1945,47.54944,36.28188,44.60743,37.78599,56.01759,20.65748,71.47996,42.56733,41.05359,46.24777,0.58718,4.95786,NA,NA,NA,84.98,123.84,90.74,102.607272727273,85.8236363636364,100.305454545455,95.36,126.62,114.8,94.4338461538461,108.290769230769,99.4138461538462,0.37037037,0.18518519,0.44444444,NA,93.0700012207031,87.9,85.6500040690104,NA,3.45906372070313,4.34103202819824,-2.42463493347168,NA,9.12858581542969,4.1549934387207,1.46080446243286,NA,0.386727474629879,0.260427795350552,0.625040616840124,NA,3.86727474629879,5.20855590701103,5.20867180700103,NA,0.375,0.72727273,0.51851852,0.5,0.875,0.71428571,0.40740741,22.95454545,NA,0.37037037,0.2962963,0.18518519,0.14814815,NA,93.0173583984375,86.7807464599609,87.8432006835938,83.215202331543,NA,2.73048305511475,-2.99783492088318,3.61307792663574,-4.40364742279053,NA,8.99311447143555,1.62282681465149,3.59570198059082,-0.204565033316612,NA,0.386727474629879,0.76815664768219,0.260427795350552,-0.143116030842066,NA,3.86727474629879,9.60195809602737,5.20855590701103,-3.57790077105165,0.35294118,0.8,0.51851852,0.5,0.875,0.71428571,0.37037037,5,83.0199951171875,13.1852691650391,0,0,106.679,1,0.2,"2024-08-18",0
