"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","wFB","wSL","wCT","wCB","wCH","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSL%","pfxCH%","pfxvFA","pfxvFC","pfxvSL","pfxvCH","pfxFA-X","pfxFC-X","pfxSL-X","pfxCH-X","pfxFA-Z","pfxFC-Z","pfxSL-Z","pfxCH-Z","pfxwFA","pfxwFC","pfxwSL","pfxwCH","pfxwFA/C","pfxwFC/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piFC%","piSL%","pivCH","pivFA","pivFC","pivSL","piCH-X","piFA-X","piFC-X","piSL-X","piCH-Z","piFA-Z","piFC-Z","piSL-Z","piwCH","piwFA","piwFC","piwSL","piwCH/C","piwFA/C","piwFC/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Drew Thorpe",31967,"2024-07-31","KCR",4,2024,"CHW","H",23,0,1,10.8,1,1,0,0,0,0,0,0,5,24,7,6,6,1,2,0,0,0,0,0,0,3.6,12.6,0,0.2,0,5,14,3,1,1,0,0,0,0.08333333,-0.08333333,8.70945824696314,1.8,0.318181818181818,1.8,0.285714285714286,0.39473684,6.96647977828979,3.83352022171021,8.60010331571102,266.671628545553,165.801284484694,212.104199731052,0.357142857,0.136363636,0.227272727,0.636363636,0.071428571,0.071428571,3,5.4,29,50,79,-0.392755955457687,-0.661653935909271,0.268897980451584,-3.51530003547668,-0.362215369939804,1.037153840065,0.903039991855621,0.870000004768372,0.426400005817413,1,1,-0.230261042714119,-0.148425262331111,0,0,0.25316456,90.9,0.20253165,81.25,0.11392405,88.22222222,NA,NA,0.43037975,82.11764706,0.106238380074501,-3.18758392333984,0.460376143455505,NA,0.911873459815979,0.531191900372505,-19.922399520874,5.11529048283895,NA,2.68198076416464,0.31818182,0.77142857,0.51898734,0.85714286,0.88888889,0.87804878,0.44303797,0.5,0.06329114,8,11,3,5,14,3,22,0.36363636,0.5,0.13636364,0.22727273,0.63636364,0.13636364,5.76952936266103,27,65.33152,52.98587,71.3957,36.50848,28.71092,44.9243,38.83676,28.55091,48.25683,27.56233,38.50993,44.48414,47.09649,42.3882,59.22095,0.3058,4.53579,83.2,114.72,105.84,64.8,82.4,46.18,78.92,111.5,98.38,88.84,82.3,74.96,78.3174683544304,102.192151898734,85.7073417721519,0.25316456,0.11392405,0.20253165,0.43037975,90.8349975585938,88.1333346896701,81.2249984741211,82.0764662798713,-2.45658855438232,1.39125209384494,2.17695665359497,-6.58877967385685,9.37060012817383,4.59592141045464,-1.68149769306183,8.68390610638787,0.108845070004463,0.463401902467012,-3.21288831159472,0.942185118794441,0.544225350022316,5.14891002741125,-20.080551947467,2.77113270233659,0.2972973,0.71428571,0.51898734,0.90909091,0.86666667,0.87804878,0.53164557,16.6,0.43037975,0.25316456,0.11392405,0.20253165,82.1952335133272,90.9572082519531,88.2489013671875,81.3409576416016,-6.47687036850873,-2.19034061431885,1.86432456970215,2.66276812553406,7.34514303768382,8.39501037597656,3.45112101236979,-3.08168363571167,0.942185118794441,0.108845070004463,0.463401902467012,-3.21288831159472,2.77113270233659,0.544225350022316,5.14891002741125,-20.080551947467,0.27777778,0.72093023,0.51898734,0.9,0.87096774,0.87804878,0.5443038,22,89.8119007457386,20.6861808083274,1,0.04545455,109.724,10,0.45454545,"2024-07-31",0
"Drew Thorpe",31967,"2024-07-26","SEA",4,2024,"CHW","H",23,0,1,108.000112652896,1,1,0,0,0,0,0,0,0.2,10,6,8,8,3,2,0,0,0,0,1,13.500014081612,27.000028163224,81.0000844896721,0.5,0,0,1,4,2,0,0,0,0,0.1,0.2,-0.1,8.30593908401489,40.5000422448361,0.75,12.0000125169885,0.75,0,67.6665470571028,40.3335655957934,18.2385459370111,2666.71906706028,1626.0036020944,451.885226794685,0.25,0.285714285,0.142857142,0.571428571,0,0.75,0,0,18,21,39,-0.460734009742737,-0.556129932403564,0.0953959599137306,-7.605299949646,-0.78364759683609,1.29598188400269,0.870000004768372,0.870000004768372,0.0494000017642975,1,1,-0.861572802066803,0.506063195466637,0,0,0.33333333,91.15384615,0.20512821,83,0.17948718,88.28571429,NA,NA,0.28205128,82.09090909,-5.31636524200439,-0.06459990888834,-0.0297435782849789,NA,-0.950164079666138,-40.8951172461877,-0.80749886110425,-0.424908261213984,NA,-8.63785526969216,0.17391304,0.875,0.46153846,0.5,0.71428571,0.66666667,0.41025641,0.5,0.15384615,6,0,1,1,1,5,7,0.85714286,0,0.14285714,0.14285714,0.14285714,0.71428571,42.9161294180536,-14,43.69931,63.52294,44.53912,33.19831,28.42379,48.40996,32.24048,33.96243,41.14478,20,24.85582,62.22039,24.24359,40.58472,46.9715,1.72556,6.66543,104.54,56,57.58,70.62,92.08,69.92,88.7,111.24,91.62,67.22,95.66,72.8,83.285641025641,86.4764102564103,71.4076923076923,0.33333333,0.17948718,0.20512821,0.28205128,91.1846172626202,88.1571393694196,82.7624969482422,82.0727261629972,-4.00947981614333,0.523259469441005,1.51495349407196,-9.10501167990945,10.5958369328425,6.19342912946429,-0.391999095678329,9.3274751143022,-5.33207777515054,-0.0333094038069248,-0.066372487694025,-0.965553194284439,-41.0159828857734,-0.475848625813212,-0.829656096175313,-8.77775631167672,0.15789474,0.75,0.46153846,0.33333333,0.73333333,0.66666667,0.51282051,17.4137931,0.28205128,0.33333333,0.17948718,0.20512821,82.0574396306818,91.1793588491587,88.1510184151786,82.7462844848633,-8.96235101873224,-3.61579689612755,1.1864207131522,2.33221864700317,7.80551286177202,9.39578071007362,4.90547834123884,-2.1625702381134,-0.965553194284439,-5.33207777515054,-0.0333094038069248,-0.066372487694025,-8.77775631167672,-41.0159828857734,-0.475848625813212,-0.829656096175313,0.15789474,0.75,0.46153846,0.33333333,0.73333333,0.66666667,0.51282051,7,102.227434430804,16.5496172223772,4,0.57142857,106.892,6,0.85714286,"2024-07-26",0
"Drew Thorpe",31967,"2024-07-21","@KCR",4,2024,"CHW","A",23,0,0,0,1,1,1,0,0,0,0,0,6,23,3,0,0,0,2,0,1,0,1,5,7.5,3,4.5,2.5,0,0,5,5,5,0,0,0,0,0.2173913,0.08695652,0.13043478,4.32727917367728,0,0.15,0.833333333333333,0.2,1,2.99981311162313,-2.99981311162313,4.25982011680802,0,70.3790531839139,104.128502404173,1,0.333333333,0.333333333,0.333333333,0,0,1,1.5,35,62,97,0.377496004104614,-0.315593957901001,0.693089962005615,3.2039999961853,0.313656389713287,1.31338334083557,1.09730005264282,0.870000004768372,1.9099999666214,1,1,0.223182708024979,0.0642398535132637,0,0,0.25773196,91.36,0.2371134,81.08695652,0.17525773,87.23529412,NA,NA,0.32989691,81.90625,1.16248178482056,0.115059420466423,-0.0543845221400261,NA,1.35326993465424,4.64992713928223,0.500258349854013,-0.319908953764859,NA,4.22896854579449,0.34375,0.81818182,0.50515464,0.5,0.81481481,0.67346939,0.34020619,0.56521739,0.16494845,7,7,1,0,11,4,15,0.46666667,0.46666667,0.06666667,0,0.73333333,0.26666667,4.75966654035545,70,53.50014,52.08538,57.44676,20,27.91449,23.75079,30.88393,31.2897,36.16931,36.29308,45.00596,39.95693,30.64145,41.3467,36.80882,1.32809,6.06923,84.92,113.66,104.8,65.68,81.48,48.88,91.28,94.6408695652174,76.7017391304348,88.18,74.86,74.26,82.040618556701,94.0564948453608,78.3727835051546,0.25773196,0.17525773,0.2371134,0.32989691,91.27599609375,87.2529440487132,81.0173923658288,81.8468780517578,-3.38168121337891,2.38890950820025,3.47526450779127,-7.82738161087036,9.58032470703125,3.79526205623851,-1.58274675452191,8.15536403656006,1.21811055392027,-0.0626380667090416,0.11247456818819,1.41000454127789,4.87244221568108,-0.368459215935539,0.489019861687785,4.40626419149339,0.32758621,0.76923077,0.50515464,0.52631579,0.76666667,0.67346939,0.40206186,17.19178082,0.32989691,0.25773196,0.17525773,0.2371134,81.9746551513672,91.406015625,87.3612563189338,81.1211574388587,-7.76064395904541,-3.08931793212891,2.9594477485208,4.06853418764861,6.880943775177,8.69014099121094,2.76318583768957,-2.97986801810887,1.41000454127789,1.21811055392027,-0.0626380667090416,0.11247456818819,4.40626419149339,4.87244221568108,-0.368459215935539,0.489019861687785,0.33898305,0.76315789,0.50515464,0.5,0.79310345,0.67346939,0.39175258,15,92.1959228515625,11.8215738932292,0,0,111.791,5,0.33333333,"2024-07-21",0
"Drew Thorpe",31967,"2024-07-10","MIN",4,2024,"CHW","H",23,0,0,3,1,1,1,0,0,0,0,0,6,22,3,2,2,2,1,0,0,0,0,1,1.5,1.5,4.5,1,0,0,7,13,0,2,0,0,0,0.04545455,0.04545455,0,7.02464643915436,3,0.142857142857143,0.666666666666667,0.0555555555555556,1,7.6664797782898,-4.6664797782898,6.60916465843717,74.0754523737648,182.640501773068,162.574484732612,0.538461538,0,0.35,0.65,0.153846153,0.153846153,2,3,25,51,76,0.0617359951138496,-0.326817959547043,0.388553947210312,0.98169994354248,0.101154051721096,0.832336366176605,1.03773331642151,0.870000004768372,1.53939998149872,1,1,0.092390850186348,-0.0182189196753237,0,0,0.22368421,90.47058824,0.17105263,80.30769231,0.32894737,86,NA,NA,0.27631579,81.80952381,1.13447260856628,0.643874526023865,-0.557993352413177,NA,-0.41565352678299,6.67336828568402,4.95288096941434,-2.23197340965271,NA,-1.97930250849043,0.26829268,0.71428571,0.47368421,0.72727273,0.92,0.86111111,0.46052632,0.72727273,0.06578947,7,11,2,5,8,7,20,0.35,0.55,0.1,0.25,0.4,0.35,5.23739591138141,50,60.15295,52.05598,53.2348,27.94161,20,48.62448,20,27.27299,20.11742,60.32517,51.06506,44.50102,42.09717,39.3042,40.48346,0.61638,5.00166,82.56,104.46,102.52,60.18,94.46,57.14,100.8,77.5892307692308,66.3615384615385,91.9,116.44,109.92,83.7463157894737,101.567631578947,88.6184210526316,0.22368421,0.32894737,0.17105263,0.27631579,90.4294146369485,85.82,80.2307692307692,81.7380952380952,-3.72118220609777,1.74272399902344,3.11821629450871,-8.32711864653088,9.80005511115579,3.2072509765625,-1.09825016902043,8.55432782854353,1.14752231910825,-0.511809580028057,0.650728698819876,-0.320144142955542,6.75013128887205,-2.04723832011223,5.00560537553751,-1.52449591883591,0.25,0.675,0.47368421,0.66666667,0.92592593,0.86111111,0.52631579,16.22222222,0.27631579,0.22368421,0.32894737,0.17105263,81.6654982793899,90.3631232766544,85.74728515625,80.1422213040865,-8.00925118582589,-3.40929704553941,2.36267883300781,3.77328315147987,7.13586789085752,8.7067969827091,2.01961807250977,-2.75181491558368,-0.320144142955542,1.14752231910825,-0.511809580028057,0.650728698819876,-1.52449591883591,6.75013128887205,-2.04723832011223,5.00560537553751,0.25,0.675,0.47368421,0.66666667,0.92592593,0.86111111,0.52631579,20,87.8584167480469,20.794938659668,2,0.1,110.116,6,0.3,"2024-07-10",2
"Drew Thorpe",31967,"2024-07-05","@MIA",4,2024,"CHW","A",23,1,0,1.42105270290639,1,1,1,0,0,0,0,0,6.1,24,3,1,1,0,2,0,0,0,0,5,7.10526351453196,2.84210540581279,4.26315810871918,2.5,0.125,0,8,9,0,2,1,0,0,0.20833333,0.08333333,0.125,4.4356301249876,0,0.136363636363636,0.789473723836885,0.176470588235294,0.8,2.53490079922029,-1.11384809631389,4.68354443169906,35.0883739382507,59.1951111144975,114.669733535422,0.888888888,0,0.470588235,0.529411764,0.222222222,0,3,4.26315810871918,39,51,90,0.321780025959015,-0.217500001192093,0.539279997348785,2.95499992370605,0.294029831886292,1.00170373916626,1.04028570652008,0.870000004768372,1.49000000953674,1,1,0.247202947735786,0.0740297814410454,0,0,0.26666667,91.16666667,0.16666667,81.4,0.18888889,86,NA,NA,0.37777778,81.91176471,0.100461184978485,-0.22199359536171,1.29251337051392,NA,0.841154992580414,0.418588270743688,-1.4799573024114,7.60301982655245,NA,2.47398527229533,0.29310345,0.78125,0.46666667,0.70588235,0.8,0.76190476,0.35555556,0.41666667,0.11111111,7,6,4,6,9,2,17,0.41176471,0.35294118,0.23529412,0.35294118,0.52941176,0.11764706,0.67216637871636,69,52.68149,56.97532,72.23765,29.50171,29.82686,32.15382,20,28.54895,20,80,53.47865,80,42.4326,46.20965,59.8283,0.59555,4.97042,90.08,121.92,117.54,73.82,92.24,65.28,94.5386666666667,70.3826666666667,64.4173333333333,89.44,144.7,150.24,86.3662222222222,109.718666666667,100.926888888889,0.26666667,0.18888889,0.16666667,0.37777778,91.2041625976562,85.8352912454044,81.2,81.8205853630515,-3.55509789784749,2.20078277587891,2.85136998494466,-8.74603361241958,10.5932242075602,4.05532029095818,-1.47489840189616,8.95825374827665,0.12207954749465,1.30934334918857,-0.228458192199469,0.849631387740374,0.508664781227708,7.70201970110921,-1.52305461466312,2.49891584629522,0.24528302,0.78378378,0.46666667,0.69230769,0.79310345,0.76190476,0.41111111,17.78787879,0.37777778,0.26666667,0.18888889,0.16666667,81.8560216567096,91.2488708496094,85.8651553883272,81.2347900390625,-8.42597063849954,-3.30047098795573,2.58887840719784,3.47872594197591,7.04626285328585,9.14954312642415,2.68394380457261,-3.40749130249023,0.849631387740374,0.12207954749465,1.30934334918857,-0.228458192199469,2.49891584629522,0.508664781227708,7.70201970110921,-1.52305461466312,0.25490196,0.74358974,0.46666667,0.69230769,0.79310345,0.76190476,0.43333333,17,78.3703541475184,15.7442716710708,1,0.05882353,99.1121,3,0.17647059,"2024-07-05",0
"Drew Thorpe",31967,"2024-06-28","COL",4,2024,"CHW","H",23,1,0,3,1,1,1,0,0,0,0,0,6,21,2,2,2,1,1,0,0,0,0,4,6,1.5,3,4,0,0,7,5,4,0,0,0,0,0.19047619,0.04761905,0.14285714,4.06090368662696,1.5,0.1,0.5,0.0666666666666667,0.625,4.49981311162313,-1.49981311162313,3.59315345014135,74.0754523737648,106.463090230428,87.5434560099393,1.4,0.25,0.4375,0.3125,0,0.2,5,7.5,29,59,88,0.0141720436513424,-0.39028799533844,0.404460042715073,0.981700003147125,0.101154044270515,0.947863638401031,1.11539995670319,0.870000004768372,0.915800034999847,1,1,0.212324723601341,-0.197373159813907,0,0,0.43181818,91.60526316,0.13636364,81.16666667,0.06818182,85.5,NA,NA,0.36363636,81.46875,1.1532655954361,0.388709217309952,0.114037364721298,NA,0.502137720584869,3.03490946167394,3.23924347758293,1.90062274535497,NA,1.56918037682772,0.36363636,0.75757576,0.51136364,0.85,0.72,0.77777778,0.375,0.61904762,0.11363636,5,7,4,6,8,2,16,0.3125,0.4375,0.25,0.375,0.5,0.125,5.78508272669809,61,66.97172,59.04767,62.47019,50.52661,31.45317,61.629,20,40.14477,30.30387,20.98704,61.85666,27.48723,49.17438,44.43123,56.02167,0.1767,4.34214,101.8,113.56,113.76,67.4,116.12,81.98,96.9533333333333,74.18,64.9333333333333,93.32,99.38,93.88,85.7063636363636,108.328636363636,92.0231818181818,0.43181818,0.06818182,0.13636364,0.36363636,91.5078960217928,85.6833292643229,81.1749979654948,81.3781280517578,-3.24886422408255,4.20127137502034,4.27023696899414,-7.95828914642334,9.820068359375,2.03282562891642,-1.07703526814779,8.55177307128906,1.18525994941592,0.114761993288994,0.392837148159742,0.566952832043171,3.1191051300419,1.9126998881499,3.27364290133119,1.77172760013491,0.35416667,0.7,0.51136364,0.88235294,0.71428571,0.77777778,0.45454545,17.13432836,0.36363636,0.43181818,0.07954545,0.125,81.3344345092773,91.4814324629934,85.1682564871652,81.0147538618608,-7.28379440307617,-2.55824319939864,4.88446971348354,5.8063271262429,6.95869731903076,8.59621469598067,0.895479679107666,-3.12220764160156,0.566952832043171,1.18525994941592,0.0797132886946201,0.427885852754116,1.77172760013491,3.1191051300419,1.138761267066,3.88987138867378,0.34090909,0.68181818,0.51136364,0.86666667,0.73333333,0.77777778,0.5,16,78.4481735229492,9.03220081329346,1,0.0625,107.677,4,0.25,"2024-06-28",0
"Drew Thorpe",31967,"2024-06-22","@DET",4,2024,"CHW","A",23,1,0,0,1,1,1,0,0,0,0,0,6,23,2,0,0,0,4,0,0,0,0,5,7.5,6,3,1.25,0,0,7,4,3,0,0,0,0,0.2173913,0.17391304,0.04347826,5.44211282376339,0,0.105263157894737,1,0.142857142857143,1,3.49981311162313,-3.49981311162313,4.50781871577104,0,82.4070655327518,110.298104808433,1.75,0.214285714,0.5,0.285714285,0,0,5,7.5,47,47,94,0.28438401222229,-0.107900008559227,0.392284005880356,2.88000011444092,0.303797483444214,0.83452171087265,0.894933342933655,0.870000004768372,0.388399988412857,1,1,0.244683414697647,0.0960914369535015,0,0,0.39361702,90.59459459,0.13829787,80.30769231,0.06382979,86,NA,NA,0.40425532,80.34210526,1.78480494022369,-0.283642441034317,-0.915470361709595,NA,1.28030776977539,4.82379713573971,-2.18186493103321,-15.2578393618266,NA,3.36923097309313,0.16923077,0.65517241,0.31914894,0.54545455,0.68421053,0.63333333,0.30851064,0.60869565,0.11702128,5,3,6,4,8,2,14,0.35714286,0.21428571,0.42857143,0.28571429,0.57142857,0.14285714,4.08371906365621,68,32.55351,54.83516,40.44606,35.63555,34.48577,43.96752,29.46628,29.90123,29.59131,20,51.7276,20,21.02259,43.35276,30.02625,1.92567,6.9656,84.46,68.84,62.82,71.24,102.04,82.76,89.22,74.3246153846154,72.3784615384616,81.9,7.5,7.02,79.8427956989247,78.5008602150538,68.2748387096774,0.39361702,0.06382979,0.13829787,0.40425532,90.5378351984797,85.9166666666667,80.1999981219952,80.3052657277961,-2.53153001939928,2.68991120656331,3.37809225229117,-7.24936796489515,9.1357611578864,2.06547864278158,-1.22819621746357,8.21062027780633,1.85296203196049,-0.927981533110142,-0.291724044829607,1.27562026679516,5.0080054917851,-15.466358885169,-2.2440311140739,3.35689543893463,0.10909091,0.61538462,0.31914894,0.33333333,0.70833333,0.63333333,0.41489362,15.71830986,0.40425532,0.39361702,0.06382979,0.13829787,80.4436677631579,90.6963088576858,86.0680135091146,80.3446044921875,-6.99657962196752,-2.28281217008024,3.06912676493327,3.96867311917818,6.71161932694285,8.07209901551943,1.12616570790609,-2.91847757192758,1.27562026679516,1.85296203196049,-0.927981533110142,-0.291724044829607,3.35689543893463,5.0080054917851,-15.466358885169,-2.2440311140739,0.11320755,0.58536585,0.31914894,0.33333333,0.70833333,0.63333333,0.43617021,14,84.0923723493304,5.62449972970145,0,0,105.401,4,0.28571429,"2024-06-22",0
"Drew Thorpe",31967,"2024-06-16","@ARI",4,2024,"CHW","A",23,0,1,18.9000018024446,1,1,0,0,0,0,0,0,3.1,21,6,8,7,1,5,0,0,0,0,0,0,13.5000012874604,16.2000015449525,0,0,1,4,8,2,2,0,1,1,0,0.23809524,-0.23809524,10.3034796475497,2.70000025749209,0.375,3.30000031471255,0.333333333333333,0.3125,11.5664805793763,7.33352122306833,11.2953007284471,466.675394460352,276.45901736496,279.154160928821,0.5,0.142857142,0.285714285,0.571428571,0.25,0.125,1,2.70000025749209,28,32,60,-0.332499980926514,-0.451579988002777,0.119080029428005,-4.54300022125244,-0.45888888835907,0.696818172931671,0.592499971389771,0.870000004768372,0.709999978542328,1,1,-0.437280863523483,-0.0398880649612767,0,0,0.5,90.66666667,0.13333333,79.875,0.1,84.83333333,NA,NA,0.26666667,81.5,-1.84912145137787,-0.582101941108704,-1.24817359447479,NA,-0.123944319784641,-6.16373817125956,-7.2762742638588,-20.8028932412465,NA,-0.774651998654008,0.10810811,0.86956522,0.4,1,0.9,0.91666667,0.38333333,0.47619048,0.03333333,7,1,7,2,8,5,16,0.46666667,0.06666667,0.46666667,0.13333333,0.53333333,0.33333333,9.56771711551666,7,53.14922,50.34794,45.05694,42.18384,37.45198,49.7016,44.88739,32.54875,53.70137,20,55.10635,20,33.55977,39.98908,34.66387,1.14678,5.79726,89.5,94.92,88.2,70.18,85.8,69.22,92.0542857142857,89.5314285714286,82,81.2,-3.05999999999999,-0.519999999999996,79.1352542372881,79.6793220338983,68.791186440678,0.5,0.1,0.13333333,0.26666667,90.586669921875,84.8500010172526,80.0374984741211,81.4437484741211,-2.53418807983398,2.46488920847575,4.12449598312378,-7.41531038284302,9.77546590169271,2.55958493550619,-1.21639633178711,8.20462036132812,-1.88803947716951,-1.26745554059744,-0.605991836637259,-0.148654714226723,-6.29346492389838,-21.1242590099573,-7.57489795796573,-0.929091963917017,0.03333333,0.8,0.41666667,1,0.91666667,0.92,0.5,17.53846154,0.26666667,0.5,0.1,0.13333333,81.3631210327148,90.5143798828125,84.7764994303385,79.9661102294922,-7.59298896789551,-2.5055295308431,2.58835951487223,4.39539623260498,6.93170642852783,8.6638916015625,1.55444351832072,-2.71283650398254,-0.148654714226723,-1.88803947716951,-1.26745554059744,-0.214329566806555,-0.929091963917017,-6.29346492389838,-21.1242590099573,-2.67911958508193,0.03448276,0.77419355,0.41666667,1,0.91666667,0.92,0.51666667,16,92.5234985351562,31.2410212925502,1,0.0625,110.37,6,0.375,"2024-06-16",0
"Drew Thorpe",31967,"2024-06-11","@SEA",4,2024,"CHW","A",23,0,0,1.8,1,1,0,0,0,0,0,0,5,22,3,2,1,0,2,0,0,0,0,4,7.2,3.6,5.4,2,0.285714285,0,7,5,4,1,2,0,0,0.18181818,0.09090909,0.09090909,4.68415883590014,0,0.15,1,0.1875,0.6,2.7664797782898,-0.966479778289795,4.27848818451166,44.4452714242589,64.7659807544562,104.592918557606,1.4,0.25,0.4375,0.3125,0.2,0,3,5.4,37,61,98,0.0416320450603962,-0.387755990028381,0.429388046264648,0.150000035762787,0.0170357674360275,1.08659994602203,1.09608006477356,0.870000004768372,1.58259999752045,1,1,-0.0186579674482346,0.0569720178149847,0,0,0.28571429,91.32142857,0.15306122,82,0.13265306,85,0.04081633,78.5,0.3877551,82.15789474,-1.70885980129242,0.452984154224396,1.12378489971161,-0.507602691650391,0.649508118629456,-6.1030707189015,3.01989436149597,8.64449922855084,-12.6900672912598,1.70923189113015,0.28333333,0.71052632,0.44897959,0.58823529,0.88888889,0.77272727,0.3877551,0.68181818,0.10204082,6,5,5,3,9,4,16,0.375,0.3125,0.3125,0.1875,0.5625,0.25,3.54397048511045,57,67.7313,51.70175,71.13448,26.38414,32.15055,36.10343,30.10188,36.82433,42.06593,69.28963,57.60921,76.61478,47.17787,45.17575,59.12149,0.30074,4.5282,82.08,132.12,117.12,73.1,99.32,68.1,95.748,91.16,80.9264,92.26,107.44,105.64,83.7281632653061,110.536734693878,93.0612244897959,0.28571429,0.07142857,0.25510204,0.3877551,91.25,85,82.007998046875,82.1947342722039,-2.82891600472587,2.90145083836147,3.83175445556641,-7.44027388723273,10.1015450613839,3.08066177368164,-0.386797180175781,9.02607004266036,-1.73355624452233,0.47486174851656,0.628242775797844,0.616743046790361,-6.19127230186548,6.78373926452228,2.51297110319138,1.62300801786937,0.29166667,0.6,0.44897959,0.5,0.9,0.77272727,0.51020408,17.26666667,0.3877551,0.28571429,0.13265306,0.19387755,82.5339098478618,91.594735281808,85.1606257512019,81.5201865748355,-7.0933693333676,-2.53980336870466,3.73392780010517,4.59743539910567,7.3377581144634,8.82971790858677,0.365120741037222,-2.06798312538549,0.616743046790361,-1.73355624452233,0.887240715324879,0.215863808989525,1.62300801786937,-6.19127230186548,6.82492857942214,1.13612531047118,0.30612245,0.59183673,0.44897959,0.53333333,0.89655172,0.77272727,0.5,16,89.6708068847656,11.0194396972656,0,0,106.074,9,0.5625,"2024-06-11",0
