"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","XX%","wFB","wSL","wCT","wCB","wCH","wSF","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_o_FS","pb_s_FS","pb_c_FS","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_s_FS","sp_l_FS","sp_p_FS","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxFS%","pfxSI%","pfxSL%","pfxCU%","pfxCH%","pfxvFA","pfxvFC","pfxvFS","pfxvSI","pfxvSL","pfxvCU","pfxvCH","pfxFA-X","pfxFC-X","pfxFS-X","pfxSI-X","pfxSL-X","pfxCU-X","pfxCH-X","pfxFA-Z","pfxFC-Z","pfxFS-Z","pfxSI-Z","pfxSL-Z","pfxCU-Z","pfxCH-Z","pfxwFA","pfxwFC","pfxwFS","pfxwSI","pfxwSL","pfxwCU","pfxwCH","pfxwFA/C","pfxwFC/C","pfxwFS/C","pfxwSI/C","pfxwSL/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piFC%","piFS%","piSI%","piSL%","piXX%","pivCH","pivCU","pivFA","pivFC","pivFS","pivSI","pivSL","pivXX","piCH-X","piCU-X","piFA-X","piFC-X","piFS-X","piSI-X","piSL-X","piXX-X","piCH-Z","piCU-Z","piFA-Z","piFC-Z","piFS-Z","piSI-Z","piSL-Z","piXX-Z","piwCH","piwCU","piwFA","piwFC","piwFS","piwSI","piwSL","piwXX","piwCH/C","piwCU/C","piwFA/C","piwFC/C","piwFS/C","piwSI/C","piwSL/C","piwXX/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Tylor Megill",21318,"2024-09-30","@ATL",25,2024,"NYM","A",28,0,0,4.7647064169386,1,1,0,0,0,0,0,0,5.2,26,8,3,3,2,2,0,0,0,0,8,12.7058837785029,3.17647094462574,12.7058837785029,4,0.222222222,0,9,4,3,0,2,0,0,0.30769231,0.07692308,0.23076923,2.96049831062078,3.17647094462574,0.333333333333333,1.76470608034763,0.428571428571429,0.97222222,5.990009506846,-1.2253030899074,2.46907386914075,120.216110033779,147.44034204773,61.4564399499512,2.25,0.1875,0.5625,0.25,0,0.5,0,0,34,66,100,-0.0662800073623657,-0.436916053295135,0.370636075735092,-0.190000012516975,-0.0193089433014393,0.813911139965057,0.744066655635834,0.870000004768372,0.294799983501434,1,1,-0.1407191157341,0.0592851555536177,0,0,0.57,95.85964912,0.19,86.52631579,0.18,89.66666667,0.06,80.16666667,NA,NA,NA,NA,NA,0.612321197986603,-0.913565516471863,-1.07255554199219,-0.303894758224487,NA,NA,1.07424771576597,-4.80823956037823,-5.9586418999566,-5.06491263707479,NA,NA,0.39622642,0.74468085,0.56,0.52380952,0.77142857,0.67857143,0.47,0.76923077,0.18,6,8,2,3,6,7,16,0.375,0.5,0.125,0.1875,0.375,0.4375,5.6502653103816,41,NA,NA,NA,80,20,20,80,48.95115,20,80,28.4892,20,80,20,20,80,20,20,NA,NA,NA,80,20.94468,20,-3.22995,-0.76783,NA,NA,NA,102.92,50.5,57.4,123.94,113.16,127.02,105.9,117.88,124.44,121.5,126,131.54,108.6,111.92,114.64,NA,NA,NA,113.0362,112.4232,119.8026,0.25,0.18,NA,0.32,0.19,0.06,NA,96.55599609375,89.7388916015625,NA,95.2593765258789,86.4473684210526,79.9500020345052,NA,-4.3673974609375,1.34321763780382,NA,-8.6883430480957,0.650469729774877,4.38232612609863,NA,9.20336669921875,4.09343973795573,NA,5.00289392471313,0.126218620099519,-7.05443255106608,NA,0.687471706420183,-1.07374569773674,NA,-0.0765557251870632,-0.910550717264414,-0.309274338185787,NA,2.74988682568073,-5.96525387631522,NA,-0.239236641209573,-4.79237219612849,-5.15457230309645,NA,0.34615385,0.79166667,0.56,0.44444444,0.78947368,0.67857143,0.48,21.12676056,NA,0.06,0.25,0.2,NA,0.32,0.17,NA,NA,79.8985799153646,96.511533203125,89.4703674316406,NA,95.1960830688477,86.2098388671875,NA,NA,4.84004497528076,-3.91194274902344,1.95838565826416,NA,-8.42346477508545,1.42228283601649,NA,NA,-8.31647364298503,8.54382141113281,2.92626361846924,NA,4.05471754074097,-1.32213816923254,NA,NA,-0.309274338185787,0.687471706420183,-0.894072607159615,NA,-0.0765557251870632,-1.09022380784154,NA,NA,-5.15457230309645,2.74988682568073,-4.47036303579807,NA,-0.239236641209573,-6.41308122259729,NA,0.36170213,0.73584906,0.56,0.41176471,0.79487179,0.67857143,0.53,16,89.9000015258789,-0.8125,0,0,110.5,9,0.5625,"2024-09-30",1
"Tylor Megill",21318,"2024-09-22","PHI",25,2024,"NYM","H",28,0,0,2.25,1,1,0,0,0,0,0,0,4,18,4,1,1,0,2,0,0,2,0,6,13.5,4.5,9,3,0,0,3,2,5,0,0,0,0,0.33333333,0.11111111,0.22222222,3.34936488855992,0,0.25,1.5,0.4,0.83333333,1.6664797782898,0.583520221710205,2.42248398140073,56.7687122577835,42.3189045903483,60.3305616004696,1.5,0.5,0.3,0.2,0,0,1,2.25,31,52,83,0.0917879939079285,-0.258188009262085,0.349976003170013,0.835900008678436,0.090908095240593,1.15699005126953,0.93815004825592,0.870000004768372,1.19000005722046,1,1,0.0562229864299297,0.0231104476019465,0,0,0.71084337,95.6440678,0.1686747,84.5,0.04819277,88.25,0.03614458,79.66666667,NA,NA,0.03614458,84.66666667,NA,1.82541513442993,-1.07304680347443,0.240711897611618,-0.383347123861313,NA,-0.132431328296661,3.0939239566609,-7.66462002481733,6.01779744029045,-12.7782374620438,NA,-4.41437760988871,0.31914894,0.75,0.5060241,0.46666667,0.88888889,0.73809524,0.43373494,0.61111111,0.13253012,5,4,1,1,4,5,10,0.5,0.4,0.1,0.1,0.4,0.5,4.47389705751152,55,NA,NA,NA,20,66.48195,20,61.89772,59.71783,56.94348,76.87667,66.25472,67.733,27.6429,45.50005,31.25177,20,72.06044,22.63094,20,80,21.32124,47.96266,58.10202,43.50853,0.25198,4.45506,NA,NA,NA,85.12,-248.8,-243.48,109.78,98.36,109.88,100.86,153.7,158.82,112.36,84.46,86.8,98.56,83.7,92.88,130.64,11.14,27.68,108.14,88.2761445783132,97.0898795180723,0.55421687,0.04819277,0.03614458,0.15662651,0.1686747,0.03614458,NA,95.899997877038,88.375,84.4333343505859,94.6461557241587,84.4285714285714,79.7000020345052,NA,-5.29029779848845,2.15889096260071,-2.38947852452596,-9.70664743276743,1.09738513401576,4.29285971323649,NA,9.33585324494735,1.48570275306702,-4.45528380076091,4.41025601900541,-1.92120497567313,-8.34043947855631,NA,0.804556980729103,0.243573054671288,-0.135085817426443,1.0786874294281,-1.09117650613189,-0.392057057470083,NA,1.74903691462849,6.08932636678219,-4.50286058088144,8.29759561098539,-7.79411790094205,-13.0685685823361,NA,0.275,0.72093023,0.5060241,0.36363636,0.87096774,0.73809524,0.51807229,20.609375,NA,0.03614458,0.55421687,0.04819277,0.03614458,0.15662651,0.1686747,NA,NA,79.3131001790365,95.5562372622283,88.0126266479492,84.0692342122396,94.2930344801683,84.0530831473214,NA,NA,5.36573346455892,-4.79981928286345,2.82777738571167,-1.91061782836914,-9.39202528733474,1.85506221226283,NA,NA,-10.4527333577474,8.40134463102921,0.466513276100159,-6.03609657287598,3.18133544921875,-3.45397567749023,NA,NA,-0.392057057470083,0.804556980729103,0.243573054671288,-0.135085817426443,1.0786874294281,-1.09117650613189,NA,NA,-13.0685685823361,1.74903691462849,6.08932636678219,-4.50286058088144,8.29759561098539,-7.79411790094205,NA,0.29268293,0.71428571,0.5060241,0.41666667,0.86666667,0.73809524,0.5060241,10,93.196728515625,12.898991394043,1,0.1,107.415,5,0.5,"2024-09-22",0
"Tylor Megill",21318,"2024-09-17","WSN",25,2024,"NYM","H",28,1,0,0,1,1,1,0,0,0,0,0,6,23,2,1,0,0,2,0,0,1,0,4,6,3,3,2,0.125,0,8,7,2,2,1,0,0,0.17391304,0.08695652,0.08695652,4.80858352429889,0,0.0952380952380952,0.666666666666667,0.117647058823529,0.75,2.83314644495646,-2.83314644495646,4.59715625221531,0,70.6850046829611,112.883090608279,1.142857142,0.117647058,0.470588235,0.411764705,0.285714285,0,9,13.5,38,56,94,0.110743992030621,-0.240555971860886,0.351299971342087,1.75390005111694,0.190744966268539,0.883983314037323,0.769033312797546,0.870000004768372,0.0425999984145164,1,1,0.201995268464088,-0.0767168946848014,0,0,0.72340426,95.85294118,0.08510638,85.125,0.06382979,90.66666667,0.09574468,80.33333333,NA,NA,0.03191489,86.33333333,NA,1.18527662754059,0.00740896537899971,0.377699226140976,0.179038286209106,NA,0.116222403943539,1.74305386403028,0.0926120672374964,6.2949871023496,1.98931429121229,NA,3.87408013145129,0.26315789,0.7027027,0.43617021,0.73333333,0.80769231,0.7804878,0.39361702,0.56521739,0.09574468,3,7,7,6,11,0,17,0.17647059,0.41176471,0.41176471,0.35294118,0.64705882,0,1.86927029903487,69,NA,NA,NA,35.4601,53.91297,46.66551,64.48209,58.36891,58.14697,43.83191,65.63629,27.32364,65.51865,41.37636,66.46092,59.0209,57.16824,65.9249,43.06717,58.78169,26.37824,58.21353,54.65276,51.30938,-0.38486,3.4998,NA,NA,NA,92.46,67.12,67.9,109.14,99.78,112.22,112.62,74.92,85.88,100.5,119.62,124.24,93.6,130.52,140.16,126.78,84.14,83.08,106.997234042553,93.808085106383,103.538510638298,0.5,0.06382979,0.03191489,0.22340426,0.08510638,0.09574468,NA,96.2616979720745,90.7166646321615,86.2999979654948,94.9428594680059,85.0749969482422,80.3000013563368,NA,-5.36368252368684,0.0644811143477758,-4.10629177093506,-9.87493242536272,1.66050577163696,5.07294591267904,NA,9.57584916784408,5.17829195658366,1.1171809832255,4.9829112461635,-1.96317780017853,-8.03120846218533,NA,1.83312676474452,0.382468309253454,0.117351848632097,0.400556415319443,0.00574381276965141,0.180441200733185,NA,3.90026971222238,6.3744718208909,3.91172828773657,1.90741150152116,0.0717976596206427,2.00490223036872,NA,0.25,0.6,0.43617021,0.72727273,0.8,0.7804878,0.53191489,18.81690141,NA,0.10638298,0.5,0.06382979,0.03191489,0.22340426,0.07446809,NA,NA,80.1445190429688,96.1221326462766,90.5651346842448,86.1658325195312,94.7781110491071,85.5640869140625,NA,NA,5.87766418457031,-4.77246158681017,0.93013588587443,-3.16204643249512,-9.57257588704427,2.02282891954694,NA,NA,-9.66440811157227,8.64971988759142,4.1634267171224,-0.399633328119914,3.88652510870071,-2.55643245152065,NA,NA,0.395180895924568,1.83312676474452,0.382468309253454,0.117351848632097,0.400556415319443,-0.208995882421732,NA,NA,3.95180895924568,3.90026971222238,6.3744718208909,3.91172828773657,1.90741150152116,-2.9856554631676,NA,0.25,0.6,0.43617021,0.72727273,0.8,0.7804878,0.53191489,17,82.2468959263393,24.6102207728795,0,0,102.741,3,0.17647059,"2024-09-17",0
"Tylor Megill",21318,"2024-09-09","@TOR",25,2024,"NYM","A",28,0,0,0,1,1,1,0,0,0,0,0,6,21,1,0,0,0,2,0,0,0,0,9,13.5,3,1.5,4.5,0,0,7,2,1,0,0,0,0,0.42857143,0.0952381,0.33333333,2.12219393766794,0,0.0526315789473684,0.5,0.1,1,1.1664797782898,-1.1664797782898,1.67048258036375,0,30.1620045506571,42.1579035994063,3.5,0.1,0.7,0.2,0,0,1,1.5,33,55,88,0.375882029533386,-0.0609419941902161,0.436824023723602,2.87400007247925,0.303645014762878,0.985190510749817,1.15126669406891,0.870000004768372,1.9099999666214,1,1,0.367876380681992,0.0136559477681747,0,0,0.54545455,95.8125,0.13636364,85.33333333,0.13636364,90.08333333,0.05681818,79.6,NA,NA,0.125,85.72727273,NA,1.90699064731598,0.507437944412231,0.536883592605591,-0.0987151712179184,NA,0.119848378002644,3.97289718190829,4.22864953676859,4.47402993837992,-1.97430342435837,NA,1.08953070911494,0.25454545,0.84848485,0.47727273,0.5,0.78571429,0.69047619,0.375,0.61904762,0.14772727,7,3,0,0,7,3,10,0.7,0.3,0,0,0.7,0.3,0.647303803142368,79,NA,NA,NA,20,54.86102,20,68.51151,63.84083,65.39058,80,80,52.93894,51.16777,57.11573,45.35612,46.62054,65.71418,50.11203,20,76.0809,20,62.77229,69.6191,43.18802,-0.66808,3.07497,NA,NA,NA,83.1,60.5,49,127.7,102.84,124.14,112.18,140.9,162.2,103.345,99.145,109.828333333333,100.86,99.72,107.24,147.58,31.38,60.9,116.436404494382,100.511011235955,117.54,0.28409091,0.13636364,0.11363636,0.26136364,0.14772727,0.05681818,NA,96.59599609375,90.1166687011719,85.8600036621094,94.9565217391304,85.0769230769231,79.6200012207031,NA,-5.53398620605469,0.955732583999634,-5.52488059997559,-10.3840749989385,1.29901401813214,6.01804122924805,NA,10.1896307373047,4.08644644419352,-0.480599117279053,5.18411055855129,-1.09891906151405,-7.30879592895508,NA,0.517952457070351,0.542185138911009,0.11888874694705,1.41118748113513,0.510062228888273,-0.10083045065403,NA,2.0718098282814,4.51820949092507,1.1888874694705,6.13559774406578,3.92355560683287,-2.0166090130806,NA,0.20408163,0.82051282,0.47727273,0.5,0.75,0.69047619,0.44318182,20.20895522,NA,0.05681818,0.28409091,0.125,0.125,0.26136364,0.14772727,NA,NA,79.5084228515625,96.52,90.1923106800426,85.6353371360085,94.8533139436141,85.257821890024,NA,NA,6.92344207763672,-4.80371643066406,2.02996358004483,-4.12431959672408,-9.91716335130774,2.28791295565092,NA,NA,-8.77560424804688,9.0842041015625,3.23571638627486,-2.41296698830344,3.98264445429263,-2.16342221773588,NA,NA,-0.10083045065403,0.517952457070351,0.254371952265501,0.11888874694705,1.41118748113513,0.797875415533781,NA,NA,-2.0166090130806,2.0718098282814,2.31247229332274,1.08080679042773,6.13559774406578,6.1375031964137,NA,0.2244898,0.79487179,0.47727273,0.54545455,0.74193548,0.69047619,0.44318182,10,89.6995300292969,-0.999633979797363,1,0.1,107.354,4,0.4,"2024-09-09",0
"Tylor Megill",21318,"2024-09-04","BOS",25,2024,"NYM","H",28,0,0,6.75,1,1,0,0,0,0,0,0,4,17,5,3,3,0,1,0,0,0,0,3,6.75,2.25,11.25,3,0,0,2,6,5,1,0,0,0,0.17647059,0.05882353,0.11764706,5.03846264498688,0,0.3125,1.5,0.384615384615385,0.5,2.4164797782898,4.3335202217102,4.6844923876226,170.306136773351,60.5542546498851,114.993631516451,0.333333333,0.384615384,0.153846153,0.461538461,0.166666666,0,4,9,19,48,67,-0.113164030015469,-0.297328025102615,0.184163972735405,-1.53609991073608,-0.167058184742928,0.875,0.913120031356812,0.870000004768372,2.17400002479553,1,1,-0.0189002696424723,-0.110430050375206,0,0,0.55223881,95.45945946,0.08955224,84.33333333,0.20895522,90.35714286,0.11940299,79.5,NA,NA,0.02985075,85,NA,0.260491639375687,-0.672906517982483,0.380557179450989,-0.522073745727539,NA,-0.0238054171204567,0.704031457772126,-11.2151086330414,2.71826556750706,-6.52592182159424,NA,-1.19027085602283,0.45945946,0.73333333,0.58208955,0.64705882,0.68181818,0.66666667,0.44776119,0.52941176,0.19402985,6,3,4,3,6,4,13,0.46153846,0.23076923,0.30769231,0.23076923,0.46153846,0.30769231,4.43543535267807,46,NA,NA,NA,65.44119,52.10186,78.10813,65.71028,52.0824,64.16191,NA,NA,NA,74.91149,45.15181,80,55.70456,59.08421,55.18966,20,66.4415,34.93263,65.36132,50.53423,70.6739,-0.82893,2.8337,NA,NA,NA,105.7,115.72,109.56,106.24,107.18,111.22,NA,NA,NA,124.274285714286,126.017142857143,122.085714285714,95.46,101.74,102.18,119.94,59.24,69.12,106.216470588235,107.593823529412,109.043823529412,0.55223881,0.20895522,0.02985075,NA,0.08955224,0.11940299,NA,95.4054054054054,90.2714320591518,84.75,NA,84.4666646321615,79.4749984741211,NA,-4.91288303684544,1.36337648119245,-3.80794787406921,NA,1.72667646408081,5.90442752838135,NA,9.30667444177576,4.98497227260045,-2.20148801803589,NA,-1.45726490020752,-7.3788685798645,NA,0.299987703561783,0.389280661940575,-0.0242429338395596,NA,-0.684821411967278,-0.558459296822548,NA,0.810777577194008,2.78057615671839,-1.21214669197798,NA,-11.4136901994546,-6.98074121028185,NA,0.41935484,0.72222222,0.58208955,0.76923077,0.61538462,0.66666667,0.53731343,18.65306122,NA,0.11940299,0.55223881,0.20895522,0.02985075,NA,0.08955224,NA,NA,79.6022109985352,95.5650073902027,90.411124093192,84.8908004760742,NA,84.6060333251953,NA,NA,6.723961353302,-4.19333875501478,2.44331223624093,-3.35684990882874,NA,2.61509005228678,NA,NA,-8.59321784973145,8.31478057036529,3.81843076433454,-3.49147439002991,NA,-2.7659699122111,NA,NA,-0.558459296822548,0.299987703561783,0.389280661940575,-0.0242429338395596,NA,-0.684821411967278,NA,NA,-6.98074121028185,0.810777577194008,2.78057615671839,-1.21214669197798,NA,-11.4136901994546,NA,0.4137931,0.71052632,0.58208955,0.83333333,0.59259259,0.66666667,0.56716418,13,91.0442551832933,19.3882681039663,2,0.15384615,106.212,6,0.46153846,"2024-09-04",0
"Tylor Megill",21318,"2024-08-30","@CHW",25,2024,"NYM","A",28,1,0,1.68750010058284,1,1,0,0,0,0,0,0,5.1,23,5,1,1,0,1,0,1,0,0,6,10.1250006034971,1.68750010058284,8.43750050291422,6,0.166666666,0,6,4,5,1,1,0,0,0.26086957,0.04347826,0.21739131,3.25105989147793,0,0.238095238095238,1.12500006705523,0.333333333333333,0.85714286,2.04147971123457,-0.353979610651722,3.17548608349301,42.576536731097,51.4365779897493,78.5274022666375,1.5,0.333333333,0.4,0.266666666,0.25,0,4,6.75000040233138,33,64,97,0.140920028090477,-0.327193975448608,0.468113988637924,1.46300005912781,0.150747030973434,1.18770432472229,0.954766690731049,0.870000004768372,1.39520001411438,1,1,0.0893560275435448,0.0292930546877816,0,0,0.60824742,94.81355932,0.15463918,84.33333333,0.11340206,90.27272727,0.07216495,79.28571429,NA,NA,0.05154639,85.6,NA,2.12732863426208,0.727344274520874,-1.7566237449646,-0.337420642375946,NA,-0.0412934608757496,3.60564175298658,4.84896183013916,-15.9693067724055,-4.82029489108494,NA,-0.825869217514992,0.45614035,0.525,0.48453608,0.73076923,0.85714286,0.78723404,0.41237113,0.73913043,0.10309278,2,7,6,5,5,5,15,0.13333333,0.46666667,0.4,0.33333333,0.33333333,0.33333333,3.38055526473415,63,NA,NA,NA,38.5135,52.11354,33.98656,47.74969,46.13835,46.89745,80,56.48919,78.58778,62.81143,41.16585,70.73634,80,68.33521,80,72.87378,61.85306,51.41131,65.96683,48.30047,67.73176,-0.86655,2.77727,NA,NA,NA,99.2,47.68,40.66,102,97,89.68,98.72,152.24,161,108.82,122.36,116.96,87.74,151.98,165.3,119.66,148.1,140.36,101.469484536082,117.621030927835,116.254020618557,0.40206186,0.11340206,0.05154639,0.20618557,0.15463918,0.07216495,NA,95.1948742988782,90.2090897993608,85.8400024414063,93.9400024414062,84.3066650390625,79.1857125418527,NA,-5.45834546211438,1.92264071377841,-5.67462348937988,-9.4341423034668,1.42893129984538,4.82386343819754,NA,8.8356432792468,3.61218400435014,1.24425201416016,5.816845703125,-0.832941881815592,-7.1193607875279,NA,0.673034526407719,-1.78152539208531,-0.0424296371638775,1.47492423653603,0.777499217540026,-0.345597647130489,NA,1.72572955489159,-16.1956853825938,-0.84859274327755,7.37462118268013,5.18332811693351,-4.93710924472128,NA,0.39622642,0.59090909,0.48453608,0.61904762,0.92307692,0.78723404,0.45360825,19.40540541,NA,0.07216495,0.40206186,0.11340206,0.05154639,0.20618557,0.15463918,NA,NA,79.2218889508929,95.2555776742788,90.2491621537642,85.9046813964844,93.9895446777344,84.327783203125,NA,NA,5.4974125453404,-4.9827646108774,2.60521819374778,-4.88572807312012,-9.15846710205078,2.08144404093424,NA,NA,-8.58785683768136,7.90001502403846,2.68733908913352,-0.294530200958252,4.71227951049805,-2.22108586629232,NA,NA,-0.345597647130489,0.673034526407719,-1.78152539208531,-0.0424296371638775,1.47492423653603,0.777499217540026,NA,NA,-4.93710924472128,1.72572955489159,-16.1956853825938,-0.84859274327755,7.37462118268013,5.18332811693351,NA,0.36734694,0.60416667,0.48453608,0.61111111,0.89655172,0.78723404,0.49484536,15,81.8577962239583,7.86135559082031,0,0,102.837,4,0.26666667,"2024-08-30",0
"Tylor Megill",21318,"2024-07-31","MIN",25,2024,"NYM","H",28,0,0,4.5,1,0,0,0,0,0,0,0,2,9,3,1,1,0,1,0,0,0,0,2,9,4.5,13.5,2,0,0,1,3,2,1,0,0,0,0.22222222,0.11111111,0.11111111,4.59798834417075,0,0.375,2,0.5,0.75,2.6664797782898,1.8335202217102,4.9344923876226,113.537424515567,66.6327046697307,121.035062415384,0.333333333,0.333333333,0.166666666,0.5,0.333333333,0,0,0,12,22,34,-0.0104979975149035,-0.0698060020804405,0.0593080036342144,-0.0820000022649765,-0.00891790352761745,0.381933331489563,0.292999982833862,0.312999993562698,0.12780000269413,1,1,-0.0817202180624008,0.0542337521025938,0,0,0.67647059,94.91304348,0.02941176,83,0.08823529,89.66666667,NA,NA,NA,NA,0.20588235,84.42857143,NA,-0.484037488698959,0.174246281385422,-0.19381345808506,NA,NA,-0.528636574745178,-2.10451082043026,17.4246281385422,-6.46044860283534,NA,NA,-7.55195106778826,0.40909091,0.75,0.52941176,0.66666667,0.66666667,0.66666667,0.35294118,0.55555556,0.17647059,2,3,1,2,2,2,6,0.33333333,0.5,0.16666667,0.33333333,0.33333333,0.33333333,3.61075198523344,NA,NA,NA,NA,NA,NA,NA,53.87096,55.80661,47.89282,80,71.39608,80,47.44501,29.141,63.90155,20,59.45173,20,64.75965,71.00509,45.46929,56.19246,60.32349,45.94581,-0.2593,3.68814,NA,NA,NA,NA,NA,NA,99.02,96.4,103.88,93.68,140.56,123.42,136.16,62.18,60.8,91.4,-5.72,4.36,99.1,135.66,133.74,98.6711764705882,100.96,102.852941176471,0.52941176,0.08823529,0.20588235,0.14705882,0.02941176,NA,NA,95.2111138237847,89.6333312988281,84.4571446010045,93.6200012207031,83.1999969482422,NA,NA,-4.16636361016168,1.54350725809733,-1.80187729426793,-9.61267852783203,1.21950769424438,NA,NA,9.16642083062066,3.60665893554688,-1.43421513693673,5.15905265808105,-1.94825303554535,NA,NA,-0.976962365210056,-0.198252905160189,-0.532934293150902,0.308878019452095,0.158626139163971,NA,NA,-5.42756869561142,-6.60843017200629,-7.61334704501288,6.1775603890419,15.8626139163971,NA,NA,0.36842105,0.73333333,0.52941176,0.57142857,0.72727273,0.66666667,0.44117647,19.68,NA,NA,0.52941176,0.08823529,0.20588235,0.14705882,0.02941176,NA,NA,NA,95.1892564561632,89.5916341145833,84.4170706612723,93.6082214355469,83.1063995361328,NA,NA,NA,-3.78440433078342,2.04931306838989,-1.36902454921177,-9.42489395141602,1.37817001342773,NA,NA,NA,8.4242189195421,2.86429341634115,-2.75110898699079,4.25929183959961,-3.05271005630493,NA,NA,NA,-0.976962365210056,-0.198252905160189,-0.532934293150902,0.308878019452095,0.158626139163971,NA,NA,NA,-5.42756869561142,-6.60843017200629,-7.61334704501288,6.1775603890419,15.8626139163971,NA,0.33333333,0.75,0.52941176,0.5,0.75,0.66666667,0.47058824,6,85.6131998697917,23.8430302937826,0,0,101.761,2,0.33333333,"2024-07-31",0
