"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","CT%","CTv","CB%","CBv","SF%","SFv","wFB","wCT","wCB","wSF","wFB/C","wCT/C","wCB/C","wSF/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_FC","pb_s_FC","pb_c_FC","pb_o_FS","pb_s_FS","pb_c_FS","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_FC","sp_l_FC","sp_p_FC","sp_s_FS","sp_l_FS","sp_p_FS","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxFS%","pfxSI%","pfxCU%","pfxvFA","pfxvFC","pfxvFS","pfxvSI","pfxvCU","pfxFA-X","pfxFC-X","pfxFS-X","pfxSI-X","pfxCU-X","pfxFA-Z","pfxFC-Z","pfxFS-Z","pfxSI-Z","pfxCU-Z","pfxwFA","pfxwFC","pfxwFS","pfxwSI","pfxwCU","pfxwFA/C","pfxwFC/C","pfxwFS/C","pfxwSI/C","pfxwCU/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piFA%","piFC%","piFS%","piSI%","piSL%","pivFA","pivFC","pivFS","pivSI","pivSL","piFA-X","piFC-X","piFS-X","piSI-X","piSL-X","piFA-Z","piFC-Z","piFS-Z","piSI-Z","piSL-Z","piwFA","piwFC","piwFS","piwSI","piwSL","piwFA/C","piwFC/C","piwFS/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Cole Sands",21461,"2024-09-29","BAL",8,2024,"MIN","H",26,0,0,54.0000563264481,1,0,0,0,0,0,0,0,0.1,3,1,2,2,0,1,0,0,0,0,1,27.000028163224,27.000028163224,27.000028163224,1,0,0,1,0,0,0,0,0,0,0.33333333,0.33333333,0,6.88572907925689,0,0.5,6.00000625849423,1,0,6.16648290753691,47.8335734189112,6.16648290753691,1348.90623588955,151.908787020295,151.56163866777,1,0,1,0,0,0,0,0,5,8,13,-0.0379920043051243,-0.0906200110912323,0.052628006786108,-0.409000009298325,-0.0428721196949482,1.41453337669373,0.96040004491806,0.96040004491806,2.02480006217957,1,1,-0.0442724898457527,0.0174141597907028,0,0,0.53846154,95.42857143,0.15384615,91,NA,NA,0.30769231,87.25,-0.110777780413628,-0.256336987018585,NA,-0.105535954236984,-1.58253972019468,-12.8168493509293,NA,-2.63839885592461,0.14285714,0.66666667,0.38461538,1,0.75,0.8,0.46153846,0.33333333,0.07692308,1,0,0,0,0,1,1,1,0,0,0,0,1,3.88595910644213,NA,NA,NA,35.84964,48.24898,46.65775,NA,NA,NA,66.90996,32.03023,80,27.32794,42.11871,20,31.88439,42.54053,38.3621,1.25087,5.9534,NA,NA,NA,57.26,91.04,52,NA,NA,NA,94.2,130.48,112.1,97.82,84.84,76.94,76.0953846153846,98.7,74.0846153846154,0.5,0.16666667,0.33333333,NA,NA,95.2333374023438,91.3000030517578,87.3000030517578,NA,NA,-6.11995061238607,-1.506063580513,-5.53175354003906,NA,NA,7.59511439005534,4.0939507484436,-0.476354509592056,NA,NA,-0.154756676405668,-0.26107993721962,-0.108148999512196,NA,NA,-2.57927794009447,-13.053996860981,-2.70372498780489,NA,NA,0.16666667,0.66666667,0.41666667,1,0.75,0.8,0.5,16.77777778,0.41666667,0.16666667,0.33333333,0.08333333,NA,95.172119140625,91.1115493774414,87.0958023071289,94.6670989990234,NA,-5.18703994750977,-0.799867153167725,-5.01306486129761,-7.48755979537964,NA,6.92483215332031,3.2503650188446,-1.64534997940063,5.28379011154175,NA,-0.194121044129133,-0.26107993721962,-0.108148999512196,0.039364367723465,NA,-3.88242088258266,-13.053996860981,-2.70372498780489,3.9364367723465,NA,0.16666667,0.66666667,0.41666667,1,0.75,0.8,0.5,1,105.042930603027,5.24865770339966,0,0,105.043,1,1,"2024-09-29",0
"Cole Sands",21461,"2024-09-26","MIA",8,2024,"MIN","H",26,0,0,0,1,0,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,0,0,2,18,0,9,2,0,0,1,1,0,0,0,0,0,0.5,0,0.5,0.562229084014893,0,0.25,1,0.5,0,-0.833520221710205,0.833520221710205,0.678488184511662,0,-22.6331485432166,15.0336680287444,1,0,0.5,0.5,0,0,1,9,4,13,17,-0.0618120096623898,-0.180265426635742,0.118453413248062,0.100999966263771,0.0105870012193918,1.6431999206543,2.65960001945496,2.65960001945496,2.65960001945496,1,1,0.0616490803658962,-0.0992659332426765,0,1,0.35294118,95.33333333,0.41176471,91.14285714,NA,NA,0.23529412,87.75,-0.496239721775055,0.128465235233307,NA,0.479396194219589,-8.27066202958425,1.8352176461901,NA,11.9849048554897,0.55555556,0.875,0.70588235,0.2,1,0.66666667,0.47058824,0.75,0.23529412,1,0,1,0,0,2,2,0.5,0,0.5,0,0,1,-1.02847088453958,NA,NA,NA,60.965,47.2629,69.51191,23.73341,40.74052,24.5215,62.56735,42.69644,61.81255,80,46.91705,80,66.58193,45.50695,76.94567,-0.90476,2.71995,NA,NA,NA,109.48,91.64,90.6,90.74,99.5,85.7,122.96,104.2,119.06,117.76,188.22,190.66,112.569411764706,121.385882352941,124.709411764706,0.11764706,0.41176471,0.23529412,0.23529412,NA,96.0999984741211,91.028573172433,87.625,94.7750015258789,NA,-6.82566928863525,1.57953984396798,-7.95747327804565,-9.44974899291992,NA,8.72442626953125,3.73417772565569,0.136776924133301,3.46992921829224,NA,-0.47120988368988,0.136501502245665,0.485108647495508,-0.0332007221877575,NA,-23.560494184494,1.95002146065235,12.1277161873877,-0.830018054693937,NA,0.5,0.88888889,0.70588235,0,1,0.66666667,0.52941176,22.76923077,0.11764706,0.41176471,0.23529412,0.23529412,NA,96.0901031494141,91.0469883510045,87.6375732421875,94.8084716796875,NA,-6.32101011276245,2.20056969778878,-7.47161245346069,-9.26330471038818,NA,7.72378015518188,2.88648005894252,-1.19827318191528,2.35740423202515,NA,-0.47120988368988,0.136501502245665,0.485108647495508,-0.0332007221877575,NA,-23.560494184494,1.95002146065235,12.1277161873877,-0.830018054693937,NA,0.5,0.88888889,0.70588235,0,1,0.66666667,0.52941176,2,99.6336822509766,20.0130882263184,0,0,101.37,2,1,"2024-09-26",0
"Cole Sands",21461,"2024-09-25","MIA",8,2024,"MIN","H",26,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3,27,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,-0.337270915985107,0,0,0,0,1,-2.8335202217102,2.8335202217102,-2.8335202217102,0,-72.5022506966851,-72.3365655024484,0,0,0,0,0,0,0,0,5,11,16,0.0740640014410019,0,0.0740640014410019,0.483999997377396,0.0507337525486946,0.989600002765656,1.3400000333786,1.3400000333786,1.53719997406006,1,1,0.0749602988362312,-0.000117937039531862,1,0,0.3125,95.6,0.25,90.75,0.125,81.5,0.3125,86.8,0.0968509986996651,0.606237769126892,0.0121269263327122,0.0724043697118759,1.9370199739933,15.1559442281723,0.606346316635609,1.44808739423752,0.33333333,0.71428571,0.5,0.33333333,1,0.75,0.4375,0.66666667,0.125,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-2.79544167365313,68.2308,37.33127,57.35151,20,48.59604,20,NA,NA,NA,56.66072,37.86537,80,33.51367,44.48899,44.49461,28.89915,42.91388,43.49085,1.43633,6.23159,118.58,130.32,125.6,112.8,43.66,41.2,NA,NA,NA,116.62,70.38,81.6,92.12,74.96,54.16,108.015,70.95375,65.9,0.3125,0.25,0.3125,NA,0.125,95.5,90.4000015258789,86.6799987792969,NA,81.5500030517578,-8.49091644287109,0.424057871103287,-7.78623504638672,NA,7.39434003829956,8.3123291015625,4.93204021453857,1.31551818847656,NA,-3.45064878463745,0.0968499220907688,0.614268962293863,0.0730913765728474,NA,0.0120918154716492,1.93699844181538,15.3567240573466,1.46182753145695,NA,0.604590773582458,0.375,0.625,0.5,0.33333333,1,0.75,0.5,17.30769231,0.3125,0.25,0.3125,NA,0.125,95.3992370605469,90.2421264648438,86.5443603515625,NA,81.4221954345703,-7.88926849365234,1.37804746627808,-7.31689987182617,NA,8.60895442962646,7.19081039428711,3.82667255401611,0.0923871994018555,NA,-4.8680248260498,0.0968499220907688,0.614268962293863,0.0730913765728474,NA,0.0120918154716492,1.93699844181538,15.3567240573466,1.46182753145695,NA,0.604590773582458,0.375,0.625,0.5,0.33333333,1,0.75,0.5,0,NA,NA,0,NA,NA,0,NA,"2024-09-25",0
"Cole Sands",21461,"2024-09-22","@BOS",8,2024,"MIN","A",26,0,0,81.0000844896721,1,0,0,0,0,0,0,0,0.1,4,2,3,3,0,0,0,1,0,0,0,0,0,54.0000563264481,0,1,0,1,1,1,0,1,0,0,0,0,0,6.03472908401489,0,0.666666666666667,6.00000625849423,0.666666666666667,0,12.1664891660311,68.833595323641,16.7025191161447,2023.35935383433,301.516249533444,413.672612664399,1,0.333333333,0.333333333,0.333333333,0,0,0,0,7,13,20,-0.201587975025177,-0.201587975025177,0,-3.42499995231628,-0.329961478710175,1.40510010719299,0.882600009441376,1.76520001888275,0.185199990868568,1,1,-0.131252259016037,-0.0122165045213133,0,1,0.35,96.85714286,0.15,90.66666667,0.2,82.25,0.3,88,-1.57435953617096,0.0924674421548843,-0.00390239432454109,-0.0367854870855808,-22.490850516728,3.08224807182948,-0.0975598581135273,-0.613091451426347,0.36363636,0.66666667,0.5,0.75,0.66666667,0.7,0.45,0.75,0.15,0,1,2,1,1,1,3,0,0.33333333,0.66666667,0.33333333,0.33333333,0.33333333,10.2743479192541,39.87648,45.43521,26.53084,20.55605,41.69638,20,NA,NA,NA,80,54.31064,80,21.63819,55.77519,20,27.40923,47.39059,20,1.52889,6.37043,138.18,87.84,99.22,100.68,33.72,11.48,NA,NA,NA,105.46,141.74,154.7,99.16,70.4,72.82,108.441,71.751,68.913,0.35,0.15,0.3,NA,0.2,96.7000034877232,90.7999979654948,87.9333292643229,NA,82.125,-7.72082356044224,0.998696804046631,-7.17816607157389,NA,9.30748176574707,7.76280920846122,4.89593060811361,-1.13827506701152,NA,-3.76135587692261,-1.5956474095583,0.100140448659658,-0.0381139740347862,NA,-0.00435131415724754,-22.7949629936899,3.33801495532195,-0.63523290057977,NA,-0.108782853931189,0.3,0.7,0.5,0.66666667,0.71428571,0.7,0.5,20.8125,0.35,0.15,0.3,NA,0.2,97.0059727260045,91.055165608724,88.2161153157552,NA,82.3899002075195,-7.16601725987026,1.67995993296305,-6.74126307169596,NA,10.1140623092651,6.74399021693638,3.86246999104818,-2.48268493016561,NA,-5.39982509613037,-1.5956474095583,0.100140448659658,-0.0381139740347862,NA,-0.00435131415724754,-22.7949629936899,3.33801495532195,-0.63523290057977,NA,-0.108782853931189,0.3,0.7,0.5,0.66666667,0.71428571,0.7,0.5,3,93.2287190755208,-1.62524286905924,0,0,103.968,1,0.33333333,"2024-09-22",2
"Cole Sands",21461,"2024-09-20","@BOS",8,2024,"MIN","A",26,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,3,27,0,9,3,0,0,0,1,0,0,0,0,0,0.75,0,0.75,-0.543708415985107,0,0.25,1,1,1,-2.8335202217102,2.8335202217102,-1.32151181548834,0,-72.5022506966851,-34.7214711539568,0,0,0,1,0,0,0,0,6,10,16,0.0914799869060516,-0.105204001069069,0.196683987975121,0.546999990940094,0.0526974946260452,1.89759993553162,1.51839995384216,1.51839995384216,1.81840002536774,1,1,0.0292214751243591,0.018986782682323,1,0,0.25,97.25,0.375,91,0.125,83,0.25,88.5,0.656506776809692,0.0248272083699703,0.12150613963604,-0.762025654315948,16.4126694202423,0.413786806166172,6.07530698180199,-19.0506413578987,0.33333333,0.71428571,0.5,0.33333333,0.4,0.375,0.4375,0.75,0.3125,1,0,0,0,1,0,1,1,0,0,0,1,0,-1.98847109943604,71.91155,43.77764,69.96203,77.93722,46.39277,80,NA,NA,NA,66.30635,48.19044,61.93825,61.97974,59.41452,76.88879,71.18107,51.58582,77.77277,-1.19049,2.29136,91.4,179.88,186.02,146.14,123.64,151.64,NA,NA,NA,99.64,93.82,102.72,117,139.02,145.46,114.575,123.3325,136.0475,0.25,0.375,0.25,NA,0.125,96.8000030517578,90.8833312988281,88.2750015258789,NA,82.75,-7.56427526473999,0.565486510594686,-10.3895378112793,NA,7.14711570739746,8.60824584960938,3.91218535105387,0.0238852109760046,NA,-3.3750524520874,0.66454117000103,0.0242771953344345,-0.769884701818228,NA,0.123191602528095,16.6135292500257,0.404619922240575,-19.2471175454557,NA,6.15958012640476,0,0.8,0.5,NA,0.375,0.375,0.625,21.5,0.25,0.375,0.25,NA,0.125,97.0406036376953,91.1058959960938,88.5139999389648,NA,82.9586029052734,-6.95573997497559,1.29465476671855,-9.7390022277832,NA,8.19209480285645,7.62491512298584,3.01958497365316,-1.59612774848938,NA,-4.69890975952148,0.66454117000103,0.0242771953344345,-0.769884701818228,NA,0.123191602528095,16.6135292500257,0.404619922240575,-19.2471175454557,NA,6.15958012640476,0.125,0.875,0.5,0,0.42857143,0.375,0.5,1,103.063621520996,40.0551872253418,0,0,103.064,1,1,"2024-09-20",0
"Cole Sands",21461,"2024-09-19","@CLE",8,2024,"MIN","A",26,0,0,0,1,0,0,0,0,0,0,0,0.2,4,1,0,0,0,1,0,0,0,0,0,0,13.500014081612,13.500014081612,0,0,0,0,2,1,1,0,0,0,0,0.25,-0.25,11.5869790840149,0,0.333333333333333,3.00000312924711,0.333333333333333,1,7.66648447216047,-7.66648447216047,12.202514422274,0,189.310652648582,301.723432731227,0,0.333333333,0,0.666666666,0.5,0,0,0,6,11,17,0.0480479970574379,-0.0958080217242241,0.143856018781662,0.252999991178513,0.0266877617686987,2.30130004882812,0.569599986076355,1.13919997215271,1.79919993877411,1,1,-0.0153147066012025,0.0361933386952248,0,0,0.41176471,96.42857143,0.23529412,92.25,0.11764706,82,0.23529412,89,-0.011414960026741,-0.0858965888619423,0.194027259945869,-0.357420831918716,-0.163070857524872,-2.14741472154856,9.70136299729347,-8.93552079796791,0.28571429,0.8,0.58823529,0.5,1,0.9,0.58823529,0.75,0.05882353,1,0,2,1,2,0,3,0.33333333,0,0.66666667,0.33333333,0.66666667,0,7.95855002583997,36.27295,45.63867,33.75179,80,47.77752,80,61.90915,52.35689,68.18476,59.74415,29.19897,47.89967,20,44.22532,20,36.48092,43.01223,36.94034,0.9653,5.52504,101.44,72.6,79.4,47.28,187.3,163.56,87.96,137.84,132.7,83.92,165,162.74,84.7,80.04,91.66,75.8635294117647,137.502352941176,132.917647058824,0.17647059,0.23529412,0.23529412,0.23529412,0.11764706,96.9333292643229,92.3000030517578,89,96.25,81.8500061035156,-7.50349680582682,-0.922095537185669,-6.5167670249939,-9.35467338562012,9.86845970153809,8.01915041605631,3.73574709892273,-0.14652581512928,5.15742063522339,-3.34995985031128,0.0652216598391533,-0.0876166112720966,-0.365966141223907,-0.0776665359735489,0.178351406008005,2.17405532797178,-2.19041528180242,-9.14915353059769,-1.94166339933872,8.91757030040026,0.25,0.88888889,0.58823529,0.5,1,0.9,0.52941176,22.76923077,0.29411765,0.23529412,0.23529412,0.11764706,0.11764706,96.6983764648437,92.078254699707,88.7956695556641,95.5074005126953,81.6242980957031,-7.53141403198242,-0.280623018741608,-5.83031749725342,-9.24345970153809,10.8283843994141,6.37074012756348,2.95528507232666,-1.5735125541687,3.10984992980957,-4.70146989822388,0.41940063983202,-0.0876166112720966,-0.365966141223907,-0.431845515966415,0.178351406008005,8.3880127966404,-2.19041528180242,-9.14915353059769,-21.5922757983208,8.91757030040026,0.25,0.88888889,0.58823529,0.5,1,0.9,0.52941176,3,74.9935862223307,48.443603515625,0,0,78.9262,0,0,"2024-09-19",0
"Cole Sands",21461,"2024-09-17","@CLE",8,2024,"MIN","A",26,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,1,0,0,0,0,0,0.33333333,0,0.33333333,1.87828464271067,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,27.2359536102518,64.7888072114456,1,0,0.5,0.5,0,0,0,0,5,9,14,0.0864319950342178,0,0.0864319950342178,0.479999989271164,0.0506329126656055,1.15306663513184,1.57360005378723,1.57360005378723,1.9099999666214,1,1,0.0750607550144196,-0.000102385393104795,1,0,0.28571429,96.5,0.07142857,91,0.21428571,81.66666667,0.42857143,88.83333333,0.36358904838562,0.0389156937599182,0.13512547314167,0.179273188114166,9.0897262096405,3.89156937599182,4.50418243805567,2.98788646856944,0.14285714,0.57142857,0.35714286,0,1,0.8,0.5,1,0.07142857,1,1,0,0,1,1,2,0.5,0.5,0,0,0.5,0.5,-0.369202623681093,80,37.17138,80,20,56.69613,20,80,29.28063,80,77.65672,59.08473,77.33113,69.27836,43.99221,75.0943,67.38187,43.90955,79.55474,-0.95446,2.6454,89,163.52,164.82,95.84,41.28,32.84,124.3,140.54,122.26,94.78,100.24,102.24,86.46,138.58,119.56,92.3114285714286,120.475714285714,109.631428571429,0.21428571,0.07142857,0.42857143,0.07142857,0.21428571,96.6333312988281,90.6999969482422,88.5999959309896,95.5,81.9333292643229,-6.65435155232747,0.285562843084335,-7.75437863667806,-10.4788627624512,6.54291280110677,8.99866485595703,4.87489032745361,1.44420591990153,2.87943649291992,-3.0321725209554,0.145186323672533,0.039364367723465,0.181267835199833,0.222849875688553,0.136698678135872,4.83954412241777,3.9364367723465,3.02113058666388,22.2849875688553,4.55662260452906,0.28571429,0.42857143,0.35714286,0.5,1,0.8,0.5,18.09090909,0.21428571,0.07142857,0.42857143,0.07142857,0.21428571,96.5162353515625,90.5922012329102,88.4816487630208,95.345703125,81.7976989746094,-5.77408663431803,0.92077499628067,-7.04736200968425,-9.66075038909912,7.49913024902344,7.95501327514648,3.93368005752563,0.255486826101939,1.94702994823456,-4.02181339263916,0.145186323672533,0.039364367723465,0.181267835199833,0.222849875688553,0.136698678135872,4.83954412241777,3.9364367723465,3.02113058666388,22.2849875688553,4.55662260452906,0.16666667,0.5,0.35714286,0,1,0.8,0.57142857,2,88.6757965087891,19.9290428161621,0,0,94.2535,0,0,"2024-09-17",0
"Cole Sands",21461,"2024-09-15","CIN",8,2024,"MIN","H",26,1,0,0,1,0,0,0,0,0,0,0,2,7,1,0,0,0,1,0,0,0,0,3,13.5,4.5,4.5,3,0,0,0,1,2,0,0,0,0,0.42857143,0.14285714,0.28571429,2.5884229544173,0,0.166666666666667,1,0.333333333333333,1,1.6664797782898,-1.6664797782898,2.42248398140073,0,39.7032291486189,58.4200448328751,0,0.666666666,0,0.333333333,0,0,8,36,15,21,36,0.122080005705357,-0.116419985890388,0.238499984145164,0.967999994754791,0.101467505097389,1.28306663036346,1.14100003242493,0.956000030040741,0.0571999996900558,1,1,0.068965919315815,0.0261811313644557,1,0,0.61111111,96.36363636,0.25,92.22222222,0.05555556,82,0.08333333,88.33333333,0.546550929546356,-0.265369594097137,0.0197809934616089,0.219742923974991,2.48432240702889,-2.94855104552375,0.989049673080444,7.32476413249969,0.25,0.66666667,0.38888889,0.66666667,0.625,0.64285714,0.33333333,0.57142857,0.13888889,1,1,1,0,2,1,3,0.33333333,0.33333333,0.33333333,0,0.66666667,0.33333333,4.60568182709928,28.29113,45.90713,39.75694,56.00456,55.45083,61.63295,72.75982,48.96907,31.3982,80,37.0052,80,80,49.5413,45.48009,69.29903,47.13427,70.43599,-1.07357,2.46674,96.02,81.36,81.78,89.66,114.56,107.42,63.9,154.3,131.72,117.04,130.54,138.16,74.5,177.08,168.7,92.0172222222222,127.44,122.162222222222,0.5,0.25,0.08333333,0.11111111,0.05555556,96.2944471571181,92.1777750651042,88.1666666666667,96.1750030517578,82.0500030517578,-7.23620266384549,-0.236358059777154,-6.60356458028158,-9.93997478485107,7.96625232696533,7.63831583658854,5.12356101142036,0.548091729482015,5.21525716781616,-3.83526372909546,0.651747282594442,-0.227893486618996,0.222550444304943,-0.103935465216637,0.0197252556681633,3.62081823663579,-2.53214985132217,7.4183481434981,-2.59838663041592,0.986262783408165,0.15789474,0.64705882,0.38888889,0.33333333,0.72727273,0.64285714,0.47222222,20.32142857,0.52777778,0.25,0.08333333,0.08333333,0.05555556,96.2745554070724,92.0779893663194,88.0653279622396,95.7166341145833,81.963996887207,-7.31146641781456,0.426082425647312,-6.38032023111979,-8.19583002726237,8.38595581054688,6.89386789422286,4.305419921875,-0.507551948229472,3.15942668914795,-5.01739978790283,0.40030736848712,-0.227893486618996,0.222550444304943,0.147504448890686,0.0197252556681633,2.10688088677431,-2.53214985132217,7.4183481434981,4.91681496302287,0.986262783408165,0.22222222,0.55555556,0.38888889,0.5,0.7,0.64285714,0.5,3,86.8776041666667,23.4782435099284,0,0,101.424,1,0.33333333,"2024-09-15",0
"Cole Sands",21461,"2024-09-11","LAA",8,2024,"MIN","H",26,1,0,0,1,0,0,0,0,0,0,0,0.2,3,0,0,0,0,1,0,0,0,0,2,27.000028163224,13.500014081612,0,2,0,0,0,0,0,0,0,0,0,0.66666667,0.33333333,0.33333333,4.54806241285889,0,0,1.50000156462356,0,1,1.66647821366624,-1.66647821366624,1.66647821366624,0,39.7031901354329,39.6124587345978,0,0,0,0,0,0,3,40.5000422448361,9,7,16,0.0515320189297199,-0.0197880212217569,0.071320042014122,0.50900000333786,0.053354300558567,1.23773336410522,0.59579998254776,1.19159996509552,1.12440001964569,1,1,0.0255134701728821,0.0161207140740403,0,0,0.3125,95,0.5625,90.33333333,0.0625,82,0.0625,89,-0.0629186183214188,0.0977154821157455,-0.04739710688591,0.2312992811203,-1.25837236642838,1.08572757906384,-4.739710688591,23.12992811203,0.15384615,1,0.3125,0,0.33333333,0.2,0.1875,0.66666667,0.25,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.58296449594688,68.99251,42.34086,51.42785,33.83032,41.95049,35.67872,NA,NA,NA,20,42.70329,20,80,49.12775,80,24.37419,43.0936,20,1.71745,6.65327,103.2,114,126.16,102.14,98.2,99.7,NA,NA,NA,99.36,51.06,61.4,95.62,242.18,219.78,100.235,81.67,87.315,0.3125,0.5625,0.0625,NA,0.0625,95.2400024414062,90.4222208658854,88.6999969482422,NA,82.0999984741211,-7.17973327636719,0.502458148532444,-9.52420139312744,NA,9.59562397003174,7.96898651123047,3.35861057705349,0.923696339130402,NA,-3.24455142021179,-0.0650267116725445,0.0955861806869507,0.23420649766922,NA,-0.0483221560716629,-1.30053423345089,1.06206867429945,23.420649766922,NA,-4.83221560716629,0.2,0.5,0.3125,0,0.33333333,0.2,0.375,19.92307692,0.3125,0.5625,0.0625,NA,0.0625,95.0837585449219,90.2422553168403,88.5650024414062,NA,81.977897644043,-6.48502578735352,1.40830538007948,-9.19309997558594,NA,10.773099899292,7.21817016601562,2.5387077331543,-0.361167997121811,NA,-4.60000991821289,-0.0650267116725445,0.0955861806869507,0.23420649766922,NA,-0.0483221560716629,-1.30053423345089,1.06206867429945,23.420649766922,NA,-4.83221560716629,0.18181818,0.6,0.3125,0,0.33333333,0.2,0.3125,0,NA,NA,0,NA,NA,0,NA,"2024-09-11",0
"Cole Sands",21461,"2024-09-08","@KCR",8,2024,"MIN","A",26,0,0,0,1,0,0,0,0,0,0,0,1.2,6,1,0,0,0,0,0,0,0,0,1,5.40000205993731,0,5.40000205993731,1,0.5,0,2,3,0,0,1,0,0,0.16666667,0,0.16666667,4.07892353529245,0,0.166666666666667,0.600000228881923,0.2,1,1.96647932052595,-1.96647932052595,4.68809548993948,0,47.1835830575032,114.782952803513,0.666666666,0,0.4,0.6,0,0,0,0,11,19,30,0.0501200146973133,-0.0968500003218651,0.146970018744469,1.1470000743866,0.112285867333412,1.32089996337891,1.09826672077179,2.23280000686646,0.430999994277954,1,1,0.0988873988389969,-0.0609435604811665,0,0,0.36666667,96.18181818,0.4,91,0.06666667,83,0.16666667,88.8,0.975768089294434,-0.07566087692976,-0.0476108342409134,-0.0885816514492035,8.87061899358576,-0.630507307748,-2.38054171204567,-1.77163302898407,0.36842105,0.81818182,0.53333333,0.71428571,0.88888889,0.8125,0.36666667,0.83333333,0.1,1,3,1,1,2,2,5,0.2,0.6,0.2,0.2,0.4,0.4,0.288562132211185,70.21844,38.51226,77.77432,47.34585,34.37282,57.73538,64.869,46.46318,65.97928,45.2083,41.49278,25.92148,46.34134,49.37782,55.49556,48.53888,40.16732,41.86947,0.21619,4.40138,100.16,127.32,124.9,79.74,120.28,90.62,69.12,158.02,133.4,122.46,99.72,120.2,86.82,128.7,117.98,98.3073333333333,117.702666666667,113.575333333333,0.3,0.4,0.16666667,0.06666667,0.06666667,96.3555569118924,90.8833312988281,88.8200012207031,95.0500030517578,82.5500030517578,-7.00748358832465,0.548317988713582,-8.05272979736328,-9.65521717071533,6.57354211807251,7.34912448459201,4.90073617299398,-0.313389301300049,5.29962253570557,-3.00061321258545,0.808534443378448,-0.0786467492580414,-0.091371688991785,0.181012690067291,-0.0484858676791191,8.98371603753832,-0.655389577150345,-1.8274337798357,9.05063450336456,-2.42429338395596,0.3125,0.78571429,0.53333333,0.6,0.90909091,0.8125,0.46666667,19.95833333,0.33333333,0.4,0.16666667,0.03333333,0.06666667,95.9992919921875,90.6519470214844,88.5919189453125,94.6611022949219,82.3282470703125,-6.85210113525391,1.45822699864705,-7.70453567504883,-10.0017995834351,7.37335014343262,6.49342880249023,3.91999340057373,-1.67438087463379,2.55398011207581,-4.45687007904053,0.950182765722275,-0.0786467492580414,-0.091371688991785,0.039364367723465,-0.0484858676791191,9.50182765722275,-0.655389577150345,-1.8274337798357,3.9364367723465,-2.42429338395596,0.3125,0.78571429,0.53333333,0.6,0.90909091,0.8125,0.46666667,5,89.0395263671875,10.7372940063477,0,0,98.5359,3,0.6,"2024-09-08",0
