"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CH%","CHv","XX%","wFB","wSL","wCH","wFB/C","wSL/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FS","pb_s_FS","pb_c_FS","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FS","sp_l_FS","sp_p_FS","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFS%","pfxSI%","pfxSL%","pfxvFA","pfxvFS","pfxvSI","pfxvSL","pfxFA-X","pfxFS-X","pfxSI-X","pfxSL-X","pfxFA-Z","pfxFS-Z","pfxSI-Z","pfxSL-Z","pfxwFA","pfxwFS","pfxwSI","pfxwSL","pfxwFA/C","pfxwFS/C","pfxwSI/C","pfxwSL/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piFA%","piFS%","piSI%","piSL%","pivFA","pivFS","pivSI","pivSL","piFA-X","piFS-X","piSI-X","piSL-X","piFA-Z","piFS-Z","piSI-Z","piSL-Z","piwFA","piwFS","piwSI","piwSL","piwFA/C","piwFS/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Jeff Hoffman",17432,"2024-09-28","@WSN",26,2024,"PHI","A",31,0,1,36,1,0,0,0,0,0,0,0,1,7,4,4,4,1,0,0,0,0,0,2,18,0,36,2,0,0,1,2,2,0,0,0,0,0.28571429,0,0.28571429,2.56591276344936,9,0.571428571428571,4,0.75,0,12.1664797782898,23.8335202217102,2.19049659073353,870.191102231809,289.151003921285,54.7244184399108,0.5,0.4,0.2,0.4,0,0.5,1,9,8,18,26,-0.380403995513916,-0.415963977575302,0.035559993237257,-3.5090000629425,-0.364382147789001,0.954457104206085,1.80519998073578,1.80519998073578,NA,0,1,-0.223169460892677,-0.175385899885254,0,1,0.42307692,96.27272727,0.30769231,87.875,0.26923077,90.28571429,NA,-1.36256611347198,-0.389011442661285,-0.894307911396027,-12.3869646679271,-4.86264303326607,-12.7758273056575,0.5,0.7,0.57692308,0.375,0.71428571,0.53333333,0.38461538,0.71428571,0.26923077,3,1,1,0,3,2,5,0.6,0.2,0.2,0,0.6,0.4,11.914732195837,55.16901,57.92215,51.30174,80,80,62.23254,55.63501,53.70384,58.73043,44.90502,80,31.37889,55.74779,70.42393,45.95296,-0.23168,3.72957,108.12,117.08,119.88,111.64,150.28,165.98,105.3,83.4,94.38,128.02,77.08,99.86,113.0432,97.7776,108.9784,0.34615385,0.26923077,0.07692308,0.30769231,96.1000027126736,90.3428606305804,96.75,87.8375015258789,-8.18919457329644,-10.3773640223912,-10.5432605743408,0.756360173225403,9.96264309353299,1.18701539720808,8.44861221313477,-0.311120241880417,-1.47724596038461,-0.897876717150211,0.112743902951479,-0.396200612187386,-16.4138440042734,-12.826810245003,5.63719514757395,-4.95250765234232,0.5,0.8,0.61538462,0.375,0.75,0.5625,0.38461538,18.52631579,0.38461538,0.26923077,0.03846154,0.30769231,96.6033996582031,90.7578125,96.9599990844727,88.2153778076172,-7.77056732177734,-9.83259800502232,-10.1645002365112,1.36469173431396,9.02628631591797,-0.13190199647631,6.30331993103027,-1.45035314559937,-1.41927601769567,-0.897876717150211,0.054773960262537,-0.396200612187386,-14.1927601769567,-12.826810245003,5.4773960262537,-4.95250765234232,0.52941176,0.77777778,0.61538462,0.33333333,0.85714286,0.5625,0.34615385,5,93.1022094726563,20.5162948608398,0,0,101.265,3,0.6,"2024-09-28",0
"Jeff Hoffman",17432,"2024-09-25","CHC",26,2024,"PHI","H",31,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-17.9405169074213,-18.3531359984531,1,0,1,0,0,0,0,0,7,11,18,0.0230800025165081,0,0.0230800025165081,0.500999987125397,0.0513056851923466,0.297466665506363,0.491200000047684,0.491200000047684,0.340999990701675,1,1,0.0779987797141075,-0.000410245626699279,0,0,0.5,96.11111111,0.38888889,86.71428571,0.11111111,90,NA,0.713809609413147,0.0907856673002243,-0.0712025240063667,7.9312178823683,1.29693810428892,-3.56012620031834,0.2,1,0.55555556,1,0.875,0.9,0.44444444,0.66666667,0.05555556,1,0,0,0,0,1,1,1,0,0,0,0,1,-1.59899042301956,59.3045,60.50043,42.28906,80,55.57681,80,45.82808,55.12519,39.07953,20,48.12008,20,48.98309,58.60101,34.86041,0.18859,4.35998,83.38,147.4,137.16,99.28,137.2,141.7,117.72,98.44,118.64,95.42,49.16,48.84,98.9555555555555,116.877777777778,120.396666666667,0.44444444,0.11111111,0.05555556,0.38888889,95.9124984741211,90.0999984741211,97,86.7428588867188,-7.14530420303345,-10.0458030700684,-9.49370288848877,2.25773443494524,10.0310020446777,3.30986571311951,7.71473407745361,-0.614720753261021,0.665592066943645,-0.0725650899112225,0.057969942688942,0.0908252894878387,8.31990083679557,-3.62825449556112,5.7969942688942,1.29750413554055,0.2,1,0.55555556,1,0.875,0.9,0.44444444,16.86666667,0.44444444,0.11111111,0.05555556,0.38888889,95.9313354492188,90.1414031982422,96.9925003051758,86.7384120396205,-6.93918514251709,-10.3517246246338,-9.23435020446777,2.54274504525321,8.76674270629883,1.99898505210876,6.62719011306763,-2.20167527879987,0.665592066943645,-0.0725650899112225,0.057969942688942,0.0908252894878387,8.31990083679557,-3.62825449556112,5.7969942688942,1.29750413554055,0.22222222,0.88888889,0.55555556,1,0.875,0.9,0.5,1,100.379547119141,6.38274812698364,0,0,100.38,1,1,"2024-09-25",0
"Jeff Hoffman",17432,"2024-09-23","CHC",26,2024,"PHI","H",31,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,1,9,9,0,1,0,0,1,1,0,0,0,0,0,0.25,0.25,0,6.21610408401489,0,0,1,0,1,4.1664797782898,-4.1664797782898,5.67848818451166,0,100.171606488235,139.014259199392,1,0,0.5,0.5,0,0,0,0,6,9,15,0.0230800025165081,-0.00551596051082015,0.0285959616303444,0.500999987125397,0.0513056851923466,0.295800000429153,0.491200000047684,0.491200000047684,0.340999990701675,1,1,0.0355210602283478,0.0425046412017506,0,0,0.46666667,96.71428571,0.53333333,87.25,NA,NA,NA,0.631238877773285,-0.100431717932224,NA,9.01769825390407,-1.2553964741528,NA,0.3,0.8,0.46666667,0.66666667,1,0.85714286,0.33333333,0.25,0.06666667,1,1,0,0,1,1,2,0.5,0.5,0,0,0.5,0.5,2.90133386481614,32.35883,57.43782,20,80,52.6678,80,53.77837,54.37111,52.01827,NA,NA,NA,53.27127,57.43166,44.96353,-0.07782,3.96036,108.32,151.2,156.28,106.94,-39.04,-23.24,122.66,110.04,127.36,NA,NA,NA,115.692,91.2,104.952,0.33333333,NA,0.13333333,0.53333333,96.9400024414062,NA,96.8500061035156,87.2125015258789,-7.56575393676758,NA,-9.60161590576172,2.43297219276428,9.83515319824219,NA,7.51235246658325,-1.1660635471344,0.199997652322054,NA,0.436139717698097,-0.103271398693323,3.99995304644108,NA,21.8069858849049,-1.29089248366654,0.33333333,0.66666667,0.46666667,0.66666667,1,0.85714286,0.4,16.63636364,0.26666667,NA,0.2,0.53333333,96.9115295410156,NA,96.8619689941406,87.1590881347656,-6.75464248657227,NA,-8.78263346354167,3.10313248634338,9.11668491363525,NA,6.63654009501139,-2.49234175682068,0.467210073024035,NA,0.168927296996117,-0.103271398693323,11.6802518256009,NA,5.63090989987055,-1.29089248366654,0.25,0.71428571,0.46666667,0.5,1,0.85714286,0.46666667,2,94.7267913818359,14.7209558486938,0,0,94.9751,0,0,"2024-09-23",0
"Jeff Hoffman",17432,"2024-09-20","@NYM",26,2024,"PHI","A",31,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-17.9405169074213,-18.3531359984531,1,0,1,0,0,0,0,0,1,7,8,9.99999974737875e-05,0,9.99999974737875e-05,0.458999991416931,0.0499184317886829,0,0,0,NA,0,1,0,NA,0,0,0.375,96,0.5,86.5,0.125,91,NA,0.32432433962822,0.247177883982658,0.161890506744385,10.8108113209407,6.17944709956646,16.1890506744385,0.5,0.5,0.5,0,0.5,0.25,0.5,0.66666667,0.375,1,0,0,0,1,0,1,1,0,0,0,1,0,-1.59899042301956,NA,NA,NA,70.85987,74.55231,58.79049,45.88201,51.41396,40.48131,80,62.02848,80,65.7522,65.4622,58.25344,-0.85321,2.79728,NA,NA,NA,115.04,125.22,143.56,114.6,89.64,100.1,134.38,160.22,174.58,117.2375,111.805,125.7075,NA,0.125,0.375,0.5,NA,90.9000015258789,96.2666625976562,86.5500030517578,NA,-10.2313957214355,-11.0708160400391,2.53580904006958,NA,3.28253197669983,6.79447809855143,-3.43353247642517,NA,0.163724601268768,0.328517138957977,0.249580439180136,NA,16.3724601268768,10.9505712985992,6.23951097950339,0.66666667,0.4,0.5,0,0.5,0.25,0.625,14.6,NA,0.125,0.375,0.5,NA,90.4922027587891,95.9280293782552,86.1907730102539,NA,-9.68214988708496,-10.6682662963867,3.43863749504089,NA,1.77866005897522,5.55659357706706,-5.01529026031494,NA,0.163724601268768,0.328517138957977,0.249580439180136,NA,16.3724601268768,10.9505712985992,6.23951097950339,0.66666667,0.4,0.5,0,0.5,0.25,0.625,1,91.2331390380859,-21.2275047302246,0,0,91.2331,0,0,"2024-09-20",0
"Jeff Hoffman",17432,"2024-09-17","@MIL",26,2024,"PHI","A",31,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,1,0,0,0,0,0,0.33333333,0,0.33333333,1.87828464271067,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,29.3043324508413,66.5170884121943,1,0,0.5,0.5,0,0,0,0,3,6,9,0.0179319996386766,0,0.0179319996386766,0.499000012874603,0.051258347928524,0.235866665840149,0.43860000371933,0.43860000371933,NA,0,1,0.0759073346853256,0.000118667440932779,0,0,0.44444444,96.75,0.33333333,88.66666667,0.22222222,91.5,NA,0.306954592466354,0.285487979650497,0.135778471827507,7.67386481165886,9.51626598834991,6.78892359137535,0.25,1,0.66666667,0,0.6,0.5,0.55555556,1,0.33333333,2,0,0,1,1,0,2,1,0,0,0.5,0.5,0,-0.370622724792965,80,61.83752,80,NA,NA,NA,48.93125,80,45.45778,25.22625,52.30944,32.56221,60.26157,74.93872,58.363,-0.5121,3.30894,103.5,119.4,121.14,NA,NA,NA,120.54,80.44,105.5,111.16,9.45999999999999,9.32000000000001,110.882222222222,81.9822222222222,91.0777777777778,0.44444444,0.22222222,NA,0.33333333,97.0500030517578,91.4499969482422,NA,88.2666625976562,-7.57589912414551,-8.36981010437012,NA,0.720853249231974,10.1035346984863,4.07089757919312,NA,1.58953475952148,0.310446247458458,0.137297004461288,NA,0.288980472832918,7.76115618646145,6.86485022306442,NA,9.63268242776394,0.25,1,0.66666667,0,0.6,0.5,0.55555556,18.16666667,0.44444444,0.22222222,NA,0.33333333,96.8562240600586,91.2611999511719,NA,88.0163370768229,-6.84749746322632,-7.99324512481689,NA,1.51043637593587,8.7393045425415,2.89603495597839,NA,0.362192670504252,0.310446247458458,0.137297004461288,NA,0.288980472832918,7.76115618646145,6.86485022306442,NA,9.63268242776394,0.25,1,0.66666667,0,0.6,0.5,0.55555556,2,81.73779296875,13.5433225631714,0,0,98.8271,1,0.5,"2024-09-17",0
"Jeff Hoffman",17432,"2024-09-14","NYM",26,2024,"PHI","H",31,0,0,0,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10.5257290840149,0,0,0,0,1,6.1664797782898,-6.1664797782898,10.7025049969554,0,147.416455846498,260.423260829222,0,0,0,1,0,0,1,9,3,6,9,0.120628029108047,-0.0614079982042313,0.182036027312279,0.500999987125397,0.0513056851923466,2.17024993896484,2.16020011901855,2.16020011901855,1.50199997425079,1,1,0.0384526401758194,0.0171299113737888,1,0,0.33333333,97,0.55555556,88,0.11111111,91,NA,-0.041694849729538,0.254331231117249,0.210907548666,-1.38982832431793,5.08662462234497,21.0907548666,0.25,0.8,0.55555556,0,1,0.8,0.55555556,0.5,0.11111111,0,2,1,0,1,2,3,0,0.66666667,0.33333333,0,0.33333333,0.66666667,4.15567822374155,80,60.92754,80,20,76.94527,20,20,50.89707,20,34.51959,44.79506,46.73473,33.77492,59.17387,20,1.13342,5.77722,96.92,127.56,136.08,120.7,-87.6,-65.8,98.54,62.16,71.46,96.08,73.02,70.58,100.368888888889,61.26,70.4711111111111,0.22222222,0.11111111,0.11111111,0.55555556,96.4499969482422,91.4000015258789,97.5999984741211,88.0200012207031,-7.06767177581787,-9.58937644958496,-10.3832139968872,1.4034836769104,10.3447818756104,3.13869309425354,6.92389678955078,-0.294665813446045,0.327177554368973,0.213400110602379,-0.390563726425171,0.257080130279064,16.3588777184486,21.3400110602379,-39.0563726425171,5.14160260558128,0.25,0.8,0.55555556,0,1,0.8,0.55555556,19,0.22222222,0.11111111,0.11111111,0.55555556,96.1162033081055,91.051399230957,97.1932983398438,87.6268371582031,-6.37211990356445,-9.21430015563965,-10.3598003387451,2.2041540145874,9.09928035736084,1.75177001953125,6.09905004501343,-1.5994327545166,0.327177554368973,0.213400110602379,-0.390563726425171,0.257080130279064,16.3588777184486,21.3400110602379,-39.0563726425171,5.14160260558128,0.25,0.8,0.55555556,0,1,0.8,0.55555556,3,98.2986653645833,36.8235219319661,2,0.66666667,103.145,2,0.66666667,"2024-09-14",0
"Jeff Hoffman",17432,"2024-09-09","TBR",26,2024,"PHI","H",31,0,0,0,1,0,0,0,0,0,1,0,1,5,2,0,0,0,0,0,0,0,0,2,18,0,18,2,1,0,1,0,2,0,1,0,0,0.4,0,0.4,1.04688908401489,0,0.4,2,0.666666666666667,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-17.9405169074213,-18.3531359984531,1,0.666666666,0.333333333,0,0,0,0,0,8,14,22,0.120628029108047,-0.1250039935112,0.245632022619247,0.500999987125397,0.0513056889176369,2.61588001251221,2.16020011901855,2.16020011901855,2.87139987945557,1,1,0.00677682459354401,0.0393369224174285,1,0,0.40909091,97.44444444,0.54545455,88.91666667,0.04545455,92,NA,0.00653848424553871,-0.131295830011368,-0.0207000374794006,0.0726498249504301,-1.0941319167614,-2.07000374794006,0.5,0.5,0.5,0.25,1,0.45454545,0.27272727,0.6,0.27272727,2,0,1,2,0,1,3,0.66666667,0,0.33333333,0.66666667,0,0.33333333,4.43849178838961,67.01347,68.68718,43.84392,80,65.04575,75.3094,34.52968,62.04274,24.22235,55.32927,75.79994,38.17791,54.06203,69.80477,35.05159,-0.12695,3.88667,139.86,105.9,131.66,116.72,149.96,179.88,116.34,73.8,90.6,127.48,105.54,109.32,123.312727272727,94.3827272727273,114.823636363636,0.27272727,0.04545455,0.13636364,0.54545455,97.3499959309896,91.8000030517578,97.8666687011719,88.8666687011719,-6.81340662638346,-9.47497749328613,-10.0625235239665,1.02169267336528,10.4181493123372,1.48109364509583,7.77330525716146,-0.147130688031514,0.309004947543144,-0.0210469514131546,-0.260170876979828,-0.136791728436947,5.1500824590524,-2.10469514131546,-8.67236256599426,-1.13993107030789,0.5,0.5,0.5,0.25,1,0.45454545,0.27272727,20,0.27272727,0.04545455,0.13636364,0.54545455,96.9798482259115,91.3792037963867,97.4568990071615,88.449208577474,-6.16451517740885,-9.49707984924316,-9.78807957967122,1.92337512969971,9.56448682149251,0.201903000473976,6.46658007303874,-1.73118082682292,0.309004947543144,-0.0210469514131546,-0.260170876979828,-0.136791728436947,5.1500824590524,-2.10469514131546,-8.67236256599426,-1.13993107030789,0.47058824,0.6,0.5,0.25,1,0.45454545,0.22727273,3,78.3757731119792,-0.461713155110677,0,0,102.965,1,0.33333333,"2024-09-09",0
"Jeff Hoffman",17432,"2024-09-04","@TOR",26,2024,"PHI","A",31,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,1,1,0,0,0,0,0.33333333,0,0.33333333,2.61817353088578,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,29.3043324508413,66.5170884121943,0,0.5,0,0.5,0,0,1,9,4,7,11,0.137790009379387,0,0.137790009379387,0.479000002145767,0.0506075024604797,1.8384667634964,2.46480011940002,2.46480011940002,1.76919996738434,1,1,0.0750187188386917,-7.03911804110363e-05,1,0,0.63636364,96.57142857,0.36363636,87.25,NA,NA,NA,0.769578099250793,0.0379966497421265,NA,10.9939728464399,0.949916243553162,NA,0.28571429,0.75,0.45454545,0.5,0.33333333,0.4,0.36363636,0.33333333,0.27272727,0,1,1,1,0,1,2,0,0.5,0.5,0.5,0,0.5,3.54285049305053,78.52888,58.71865,80,NA,NA,NA,52.75985,52.5917,51.0516,NA,NA,NA,75.43367,56.12157,78.84374,-1.45469,1.89506,106.74,79.66,87.16,NA,NA,NA,100.18,103.76,111.38,NA,NA,NA,103.105454545455,102.556363636364,111.343636363636,0.63636364,NA,NA,0.36363636,96.5857107979911,NA,NA,87.3000030517578,-7.70121220179966,NA,NA,2.22766137123108,8.88873781476702,NA,NA,-0.670258045196533,0.778917375952005,NA,NA,0.0380426719784737,11.1273910850286,NA,NA,0.951066799461842,0.4,0.5,0.45454545,0.5,0.33333333,0.4,0.54545455,19,0.36363636,NA,0.27272727,0.36363636,96.7105712890625,NA,96.4371337890625,87.2596282958984,-6.00148487091064,NA,-8.13569323221842,3.07480239868164,8.92461776733398,NA,6.52724011739095,-1.74687397480011,0.398722533136606,NA,0.380194842815399,0.0380426719784737,9.96806332841516,NA,12.67316142718,0.951066799461842,0.4,0.5,0.45454545,0.5,0.33333333,0.4,0.54545455,2,77.0658874511719,34.6551322937012,0,0,99.7108,1,0.5,"2024-09-04",0
"Jeff Hoffman",17432,"2024-09-01","ATL",26,2024,"PHI","H",31,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,2,18,0,9,2,0,0,0,1,1,0,0,0,0,0.5,0,0.5,0.799854084014893,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-17.9405169074213,18.1856412207288,0,0.5,0,0.5,0,0,0,0,7,13,20,0.106830008327961,-0.0683879926800728,0.175218001008034,0.500999987125397,0.0513056814670563,2.23000001907349,1.8503999710083,1.8503999710083,2.32119989395142,1,1,0.0384772382676601,0.00942859465351911,1,0,0.45,96.55555556,0.55,87,NA,NA,NA,-0.277158945798874,0.595654428005219,NA,-3.07954384220971,5.4150402545929,NA,0.36363636,0.66666667,0.5,0.5,0.66666667,0.6,0.45,0.5,0.2,2,0,0,0,1,1,2,1,0,0,0,0.5,0.5,1.52401476256659,57.42879,48.7362,43.38407,45.91969,77.78654,29.51073,80,60.05403,80,NA,NA,NA,75.91581,61.8845,68.98238,-1.48464,1.85013,114.12,116.5,114.72,124.6,118.72,165.46,124.02,128.52,151.74,NA,NA,NA,121.137,123.444,142.692,0.3,NA,0.15,0.55,96.2833353678385,NA,96.7000020345052,87.0545432350852,-8.37426312764486,NA,-10.6219278971354,2.56071212074973,9.58555603027344,NA,8.21257146199544,-1.70086739280007,-0.304885804653168,NA,0.0229212380945683,0.590601678937674,-5.0814300775528,NA,0.764041269818942,5.36910617216067,0.4,0.6,0.5,0.5,0.66666667,0.6,0.5,19.75,0.3,NA,0.15,0.55,96.2360127766927,NA,96.4331359863281,86.934814453125,-7.6362902323405,NA,-9.90367635091146,3.42590817538175,8.8142884572347,NA,6.14176305135091,-3.07420626553622,-0.315691575407982,NA,0.0337270088493824,0.590601678937674,-5.2615262567997,NA,1.12423362831275,5.36910617216067,0.4,0.6,0.5,0.5,0.66666667,0.6,0.5,2,97.2857971191406,29.3476409912109,0,0,98.6348,2,1,"2024-09-01",0
"Jeff Hoffman",17432,"2024-08-31","ATL",26,2024,"PHI","H",31,0,0,0,1,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,2,18,0,9,2,0,0,0,0,2,0,0,0,0,0.5,0,0.5,0.562229084014893,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-17.9405169074213,-18.3531359984531,0,1,0,0,0,0,0,0,9,12,21,0.0426160171627998,-0.0111179947853088,0.0537340119481087,0.500999987125397,0.0513056851923466,0.568549990653992,0.881399989128113,0.881399989128113,0.751399993896484,1,1,0.0356900915503502,0.0392655286472326,0,0,0.47619048,97,0.47619048,88,0.04761905,90,NA,0.422241359949112,-0.103745847940445,0,4.22241359949112,-1.03745847940445,0,0.33333333,0.66666667,0.42857143,0.8,0.75,0.77777778,0.28571429,0.25,0.0952381,1,1,0,0,1,1,2,0.5,0.5,0,0,0.5,0.5,5.41139985622246,80,54.45607,80,NA,NA,NA,20,66.05546,20,73.77661,63.29927,80,44.23885,63.29848,35.36342,0.48333,4.80209,117.68,148.02,159.14,NA,NA,NA,128.84,33.9,54.5,127.04,125.18,135.9,123.44,92.5895238095238,108.204761904762,0.47619048,0.04761905,NA,0.47619048,96.9400024414062,89.5,NA,87.8700012207031,-7.62333068847656,-8.60112380981445,NA,1.29026556015015,10.5491432189941,4.5551586151123,NA,0.0809881508350372,0.470014039427042,0,NA,-0.107808772474527,4.70014039427042,0,NA,-1.07808772474527,0.33333333,0.66666667,0.42857143,0.8,0.75,0.77777778,0.28571429,20.47058824,0.47619048,0.04761905,NA,0.47619048,96.8512512207031,89.4010009765625,NA,87.7285217285156,-6.95387191772461,-8.3875904083252,NA,2.19985675811768,9.48362350463867,3.49941992759705,NA,-1.3644495010376,0.470014039427042,0,NA,-0.107808772474527,4.70014039427042,0,NA,-1.07808772474527,0.33333333,0.66666667,0.42857143,0.8,0.75,0.77777778,0.28571429,2,94.1443176269531,16.5126304626465,0,0,95.5005,1,0.5,"2024-08-31",0
