"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","CT%","CTv","CB%","CBv","XX%","wFB","wCT","wCB","wFB/C","wCT/C","wCB/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSL%","pfxvFA","pfxvFC","pfxvSL","pfxFA-X","pfxFC-X","pfxSL-X","pfxFA-Z","pfxFC-Z","pfxSL-Z","pfxwFA","pfxwFC","pfxwSL","pfxwFA/C","pfxwFC/C","pfxwSL/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piFA%","piFC%","piSL%","pivFA","pivFC","pivSL","piFA-X","piFC-X","piSL-X","piFA-Z","piFC-Z","piSL-Z","piwFA","piwFC","piwSL","piwFA/C","piwFC/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Chad Green",15552,"2024-09-25","BOS",14,2024,"TOR","H",33,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,1,0,1,9,0,9,1,0,0,0,2,1,1,0,0,0,0.25,0,0.25,4.46147908401489,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,4.19049659073353,0,27.1820729804239,102.403901559937,0,0.333333333,0,0.666666666,0.5,0,0,0,6,10,16,0.00564399128779769,-0.00373404612764716,0.00937803741544485,0.479000002145767,0.0506074987351894,0.0906800031661987,0.148599997162819,0.148599997162819,NA,0,1,0.0250529125332832,0.0371878361514445,0,0,0.4375,95.28571429,NA,NA,0.5625,88.11111111,NA,-0.0566554330289364,NA,0.347343921661377,-0.809363328984805,NA,3.85937690734863,0.41666667,0.75,0.5,0.6,1,0.75,0.25,0.25,0.125,2,1,0,1,2,0,3,0.66666667,0.33333333,0,0.33333333,0.66666667,0,1.71910947047653,80,45.41413,80,20,41.48529,20,NA,NA,NA,50.53829,43.52031,52.40195,0.09197,4.21505,92.76,159.8,146.02,97.46,77.92,83.3,NA,NA,NA,95.40375,113.7425,110.74,0.4375,NA,0.5625,95.3428606305804,NA,88,-5.23584311349051,NA,0.137359910541111,10.1883632114955,NA,2.31550958421495,-0.0590391270816326,NA,0.35122112557292,-0.84341610116618,NA,3.90245695081022,0.4,0.66666667,0.5,0.5,1,0.75,0.375,16.54545455,0.4375,NA,0.5625,95.0915963309152,NA,87.6979031032986,-4.97125026157924,NA,0.842208862304688,9.16575949532645,NA,0.761297914716933,-0.0590391270816326,NA,0.35122112557292,-0.84341610116618,NA,3.90245695081022,0.4,0.66666667,0.5,0.5,1,0.75,0.375,3,93.8262125651042,42.3249155680339,0,0,94.6645,0,0,"2024-09-25",0
"Chad Green",15552,"2024-09-24","BOS",14,2024,"TOR","H",33,0,0,0,1,0,0,0,0,0,0,0,1.1,4,1,0,0,0,0,0,0,0,0,0,0,0,6.75000160932579,0,0,0,2,2,0,0,0,0,0,0,0,0,6.03472908401489,0,0.25,0.750000178813977,0.25,1,3.1664797782898,-3.1664797782898,5.43449292835907,0,76.9525195600348,133.351507020602,1,0,0.5,0.5,0,0,0,0,4,6,10,0.222052022814751,-0.081648014485836,0.303700029850006,0.898999989032745,0.0949815139174461,2.63669991493225,2.6997332572937,3.51999998092651,2.66659998893738,1,1,0.0676633641123772,0.0165525231629316,1,0,0.7,95.57142857,NA,NA,0.3,88,NA,0.514756739139557,NA,0.305697321891785,7.35366770199367,NA,10.1899107297262,0.5,1,0.6,1,1,1,0.2,0.25,0,1,1,2,0,2,2,4,0.25,0.25,0.5,0,0.5,0.5,1.06772068425483,40.31522,59.8805,33.40381,80,39.63673,80,NA,NA,NA,51.95861,51.98907,54.72141,0.00373,4.08269,89.58,99.86,98.88,92.8,138.88,144.64,NA,NA,NA,90.546,111.566,112.608,0.7,NA,0.3,95.3714250837054,NA,88.1333312988281,-4.59557615007673,NA,1.14929580688477,10.3995710100446,NA,1.93400637308757,0.562861915677786,NA,0.312380123883486,8.04088450968266,NA,10.4126707961162,0.33333333,1,0.6,1,1,1,0.4,20.33333333,0.7,NA,0.3,95.0631103515625,NA,87.7782694498698,-4.18729155404227,NA,1.84235032399495,9.27389744349888,NA,0.604125658671061,0.562861915677786,NA,0.312380123883486,8.04088450968266,NA,10.4126707961162,0.33333333,1,0.6,1,1,1,0.4,4,88.0790100097656,5.73482513427734,0,0,102.614,2,0.5,"2024-09-24",0
"Chad Green",15552,"2024-09-19","@TEX",14,2024,"TOR","A",33,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,1,1,1,0,0,0,0,0.25,0,0.25,2.72685408401489,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,27.1820729804239,64.7888072114456,1,0.333333333,0.333333333,0.333333333,0,0,0,0,4,12,16,0.0174559988081455,-0.0117279998958111,0.0291839987039566,0.49099999666214,0.0509864985942841,0.290959984064102,0.428799986839294,0.428799986839294,NA,0,1,0.0242994781583548,0.0356950219935965,0,0,0.5,95.25,NA,NA,0.5,88,NA,-0.172746568918228,NA,0.553526878356934,-2.15933211147785,NA,6.91908597946167,0.46153846,0.66666667,0.5,0.83333333,1,0.875,0.1875,0.75,0.0625,1,0,2,0,2,1,3,0.33333333,0,0.66666667,0,0.66666667,0.33333333,2.91811221567253,41.79523,50.1681,52.12048,48.18344,46.49951,52.52608,NA,NA,NA,44.31005,48.58872,54.30901,0.47891,4.79546,94.34,105.48,91.78,104.74,109.4,112.7,NA,NA,NA,99.54,107.44,102.24,0.5,NA,0.5,95.1999969482422,NA,87.7249984741211,-5.05701923370361,NA,0.884556114673615,10.231068611145,NA,1.52444517612457,-0.176410980522633,NA,0.548705719411373,-2.20513725653291,NA,6.85882149264216,0.5,0.5,0.5,0.8,0.66666667,0.75,0.375,15.90909091,0.5,NA,0.5,95.759162902832,NA,88.259147644043,-4.91287755966187,NA,1.15491366386414,8.93525218963623,NA,0.208851128816605,-0.176410980522633,NA,0.548705719411373,-2.20513725653291,NA,6.85882149264216,0.5,0.5,0.5,0.8,0.66666667,0.75,0.375,3,90.7257486979167,17.4820416768392,0,0,101.89,1,0.33333333,"2024-09-19",0
"Chad Green",15552,"2024-09-15","STL",14,2024,"TOR","H",33,0,0,0,1,0,0,0,0,1,0,0,1,5,2,0,0,0,0,0,0,0,0,1,9,0,18,1,1,0,1,2,1,1,1,0,0,0.2,0,0.2,3.74716908401489,0,0.4,2,0.5,1,1.1664797782898,-1.1664797782898,4.19049659073353,0,27.1820729804239,102.403901559937,0.5,0.25,0.25,0.5,0.5,0,0,0,7,15,22,0.157259985804558,-0.176192000508308,0.333451986312866,0.479000002145767,0.0506075024604797,3.89919996261597,2.83579993247986,2.83579993247986,NA,0,1,0.00892964005470276,0.031401706711892,1,0,0.63636364,95.92857143,NA,NA,0.36363636,89.125,NA,0.928610980510712,NA,-1.09055769443512,6.63293557507651,NA,-13.631971180439,0.35714286,0.625,0.45454545,1,1,1,0.36363636,1,0,1,1,2,2,2,0,4,0.25,0.25,0.5,0.5,0.5,0,1.64566702043265,80,57.80344,80,34.53062,49.94965,40.28099,NA,NA,NA,70.9609,54.29249,75.94776,-1.17681,2.31188,94.7,137.84,128.18,112.94,83.48,91.56,NA,NA,NA,101.637391304348,119.379130434783,117.290434782609,0.63636364,NA,0.36363636,95.8571428571429,NA,89.1875,-4.05487414768764,NA,0.527560532093048,9.56392451695034,NA,2.3787796497345,0.940077196806669,NA,-1.10774841532111,6.71483712004764,NA,-13.8468551915139,0.3,0.58333333,0.45454545,1,1,1,0.54545455,18.17647059,0.63636364,NA,0.36363636,95.9002336774554,NA,89.2162628173828,-3.83694566999163,NA,0.838821172714233,8.63856015886579,NA,1.2128392457962,0.940077196806669,NA,-1.10774841532111,6.71483712004764,NA,-13.8468551915139,0.3,0.58333333,0.45454545,1,1,1,0.54545455,4,77.8988876342773,18.7223300933838,0,0,90.3751,0,0,"2024-09-15",0
"Chad Green",15552,"2024-09-11","NYM",14,2024,"TOR","H",33,0,1,54.0000563264481,1,0,0,0,0,0,0,0,0.2,6,1,4,4,0,3,0,0,0,0,0,0,40.5000422448361,13.500014081612,0,1,0,1,2,0,0,1,0,0,0,0.5,-0.5,16.8175624162382,0,0.333333333333333,6.00000625849423,0.333333333333333,0,16.6664938599018,37.3335624665463,21.2025238100154,1357.86932586424,412.903384396467,525.621792597571,0.5,0,0.333333333,0.666666666,0,0,0,0,17,14,31,-0.427285999059677,-0.427285999059677,0,-1.94200003147125,-0.20517697930336,2.47903323173523,1.14479994773865,2.28959989547729,0.539600014686584,1,1,-0.161883890628815,-0.0104760412953706,0,1,0.41935484,94.69230769,NA,NA,0.58064516,87.61111111,NA,-0.567316651344299,NA,-0.752515733242035,-4.36397424110999,NA,-4.18064296245575,0.13636364,0.77777778,0.32258065,0.66666667,0.71428571,0.7,0.29032258,0.66666667,0.09677419,1,0,2,1,2,0,3,0.33333333,0,0.66666667,0.33333333,0.66666667,0,11.0323372493884,42.24424,47.89355,38.90471,20,46.56075,20,NA,NA,NA,20,48.44416,20,2.1728,7.33629,81.86,78.16,64.58,102.28,49.04,51.84,NA,NA,NA,93.7167741935484,61.2516129032258,57.1825806451613,0.41935484,NA,0.58064516,94.6000037560096,NA,87.6277804904514,-5.32401803823618,NA,1.33779578738742,10.2750561053936,NA,1.20937252044678,-0.573070783168077,NA,-0.764184396713972,-4.4082367936006,NA,-4.24546887063318,0.2,0.54545455,0.32258065,0.75,0.66666667,0.7,0.35483871,17.8,0.41935484,NA,0.58064516,94.587167593149,NA,87.5980088975694,-4.69175397432767,NA,2.1337030198839,9.118042579064,NA,0.160324043697781,-0.573070783168077,NA,-0.764184396713972,-4.4082367936006,NA,-4.24546887063318,0.2,0.54545455,0.32258065,0.75,0.66666667,0.7,0.35483871,3,87.8399251302083,15.5140953063965,0,0,99.0133,1,0.33333333,"2024-09-11",0
"Chad Green",15552,"2024-09-10","NYM",14,2024,"TOR","H",33,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,0,1,0,0,0,0,0.33333333,0,0.33333333,1.13839575453556,0,0,0,0,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,27.1820729804239,27.173712862954,1,0.5,0.5,0,0,0,0,0,4,11,15,0.0134500069543719,0,0.0134500069543719,0.479000002145767,0.0506075024604797,0.173200011253357,0.32480001449585,0.32480001449585,NA,0,1,0.0809591114521027,-0.00330318719989657,0,0,0.66666667,95.8,NA,NA,0.33333333,88.6,NA,0.309807300567627,NA,0.460029453039169,3.09807300567627,NA,9.20058906078339,0.16666667,0.88888889,0.6,1,0.875,0.88888889,0.6,0.66666667,0.06666667,2,0,0,0,1,1,2,1,0,0,0,0.5,0.5,3.80371073084586,59.80658,67.25314,54.2401,20,59.41229,20.15221,NA,NA,NA,43.7632,65.38828,42.52406,0.51288,4.84641,119.2,104.26,117.18,99.64,62.12,79.1,NA,NA,NA,112.68,90.2133333333334,104.486666666667,0.66666667,NA,0.33333333,95.8200012207031,NA,88.4400024414062,-4.95542221069336,NA,0.579600858688355,11.7022094726562,NA,2.10020294189453,0.313190408051014,NA,0.465744853019714,3.13190408051014,NA,9.31489706039429,0,0.75,0.6,NA,0.88888889,0.88888889,0.8,16.5,0.66666667,NA,0.33333333,95.7477600097656,NA,88.3143798828125,-4.49904022216797,NA,1.32376699447632,10.657740020752,NA,0.842166996002197,0.313190408051014,NA,0.465744853019714,3.13190408051014,NA,9.31489706039429,0,0.75,0.6,NA,0.88888889,0.88888889,0.8,2,96.1625518798828,1.11676049232483,0,0,102.772,1,0.5,"2024-09-10",0
"Chad Green",15552,"2024-09-08","@ATL",14,2024,"TOR","A",33,0,0,9,1,0,0,0,0,0,0,1,1,4,2,1,1,0,0,0,0,0,0,0,0,0,18,0,0,0,2,1,1,0,0,0,0,0,0,0,5.15272908401489,0,0.5,2,0.5,0.5,3.1664797782898,5.8335202217102,4.67848818451166,226.31131824936,76.9525195600348,114.543946394147,2,0.25,0.5,0.25,0,0,0,0,3,10,13,-0.297755986452103,-0.460076004266739,0.162320002913475,-0.493000000715256,-0.0501016303896904,4.06470012664795,3.48559999465942,3.48559999465942,2.57039999961853,1,1,-0.0465209670364857,-0.0267331420428117,0,1,0.53846154,95.85714286,NA,NA,0.46153846,89,NA,-0.100801482796669,NA,0.000605583190917969,-1.44002118280956,NA,0.0100930531819661,0.42857143,1,0.69230769,1,0.66666667,0.77777778,0.46153846,0.75,0.15384615,1,2,1,0,2,2,4,0.25,0.5,0.25,0,0.5,0.5,4.52060817202058,80,53.00291,80,44.54476,52.11619,53.39433,NA,NA,NA,70.3434,53.00933,80,-1.13845,2.36942,91.48,97.5,82.22,115.22,102.4,105.66,NA,NA,NA,102.436923076923,99.7615384615385,93.0384615384615,0.53846154,NA,0.46153846,95.8571428571429,NA,89.0333353678385,-5.89630235944475,NA,0.674288193384806,10.6815545218331,NA,1.92704184850057,-0.0937022939324379,NA,-3.56510281562805e-05,-1.33860419903483,NA,-0.000594183802604675,0.6,0.75,0.69230769,0.66666667,0.83333333,0.77777778,0.61538462,18.77777778,0.53846154,NA,0.46153846,96.0585239955357,NA,89.2296956380208,-5.2180301121303,NA,1.71036497751872,9.37789808000837,NA,0.519271334012349,-0.0937022939324379,NA,-3.56510281562805e-05,-1.33860419903483,NA,-0.000594183802604675,0.5,0.77777778,0.69230769,1,0.71428571,0.77777778,0.69230769,4,101.555023193359,4.55992031097412,0,0,107.778,3,0.75,"2024-09-08",0
"Chad Green",15552,"2024-09-03","PHI",14,2024,"TOR","H",33,0,1,40.5000422448361,1,0,0,0,0,0,0,1,0.2,5,3,3,3,1,0,0,0,0,0,2,27.000028163224,0,40.5000422448361,2,0,0,1,1,1,0,0,0,0,0.4,0,0.4,1.29088908401489,13.500014081612,0.6,4.50000469387067,1,0,16.6664938599018,23.8335483849342,-0.565511505147663,1018.40199439818,412.903384396467,-15.914020822374,1,0.333333333,0.333333333,0.333333333,0,1,0,0,7,23,30,-0.760133981704712,-0.772445976734161,0.0123119987547398,-2.62000012397766,-0.276809304952621,2.46187996864319,2.83579993247986,2.83579993247986,0.148599997162819,1,1,-0.136800050735474,-0.171961542594214,0,1,0.53333333,96.125,NA,NA,0.46666667,88.64285714,NA,-1.65452253818512,NA,-0.445334732532501,-10.340765863657,NA,-3.18096237523215,0.52631579,1,0.7,0.8,0.72727273,0.76190476,0.36666667,0.4,0.16666667,2,1,0,0,1,2,3,0.66666667,0.33333333,0,0,0.33333333,0.66666667,12.8227780375232,80,55.88349,80,38.70017,50.9193,42.53835,NA,NA,NA,68.51408,54.28685,69.52042,-1.0248,2.53989,110.88,126.16,129.14,124.44,86.5,92.04,NA,NA,NA,117.208,107.652,111.826666666667,0.53333333,NA,0.46666667,96.125,NA,88.5428553989955,-5.17320394515991,NA,0.33907539503915,10.5805892944336,NA,2.0635884148734,-1.65629613026977,NA,-0.45367631316185,-10.351850814186,NA,-3.24054509401321,0.41666667,0.88888889,0.7,0.6,0.8125,0.76190476,0.6,21.24,0.53333333,NA,0.46666667,96.2252731323242,NA,88.627938406808,-4.46028423309326,NA,1.4919650214059,9.42822456359863,NA,0.573134762900216,-1.65629613026977,NA,-0.45367631316185,-10.351850814186,NA,-3.24054509401321,0.41666667,0.88888889,0.7,0.6,0.8125,0.76190476,0.6,3,108.108093261719,12.0767135620117,1,0.33333333,114.359,3,1,"2024-09-03",0
"Chad Green",15552,"2024-09-01","@MIN",14,2024,"TOR","A",33,0,1,27,1,0,0,0,0,0,0,1,1,6,3,3,3,1,0,0,0,0,0,1,9,0,27,1,0,0,1,3,1,1,0,0,0,0.16666667,0,0.16666667,4.72872909190039,9,0.5,3,0.5,0,14.1664797782898,12.8335202217102,5.70250499695539,678.933954748081,350.689975747894,140.018995908429,0.333333333,0.2,0.2,0.6,0.333333333,0.333333333,0,0,8,18,26,-0.684448003768921,-0.743215978145599,0.0587679781019688,-2.51600003242493,-0.26373165845871,1.6438000202179,1.67920005321503,1.67920005321503,NA,0,1,-0.155239015817642,-0.261142536287579,0,1,0.53846154,96.21428571,NA,NA,0.46153846,88.33333333,NA,0.574847280979156,NA,-2.14720034599304,4.10605200699398,NA,-17.8933362166087,0.4,0.90909091,0.61538462,0.83333333,0.9,0.875,0.42307692,0.66666667,0.07692308,2,0,3,1,2,2,5,0.4,0,0.6,0.2,0.4,0.4,10.4197383218744,74.60925,54.58922,78.57681,35.02186,57.15283,33.32163,NA,NA,NA,59.92036,56.76497,60.75119,-0.4909,3.34074,97.72,118.06,116.2,118.1,90.72,101.88,NA,NA,NA,107.126153846154,105.441538461538,109.590769230769,0.53846154,NA,0.46153846,96.1857125418527,NA,88.3833312988281,-5.83399036952427,NA,0.316485305627187,10.1831468854632,NA,1.8959420522054,0.581087600439787,NA,-2.16042716056108,4.15062571742705,NA,-18.0035596713424,0.33333333,0.85714286,0.61538462,0.75,0.91666667,0.875,0.53846154,19.5,0.53846154,NA,0.46153846,96.1002894810268,NA,88.2745666503906,-5.34746987479074,NA,1.13021389643351,9.28181457519531,NA,0.704938173294067,0.581087600439787,NA,-2.16042716056108,4.15062571742705,NA,-18.0035596713424,0.41666667,0.78571429,0.61538462,0.8,0.90909091,0.875,0.53846154,5,94.2287048339844,35.2820526123047,1,0.2,111.934,2,0.4,"2024-09-01",0
"Chad Green",15552,"2024-08-29","@BOS",14,2024,"TOR","A",33,0,0,0,1,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,5.15272908401489,0,0,0,0,1,6.1664797782898,-6.1664797782898,7.67848818451166,0,151.608189429451,189.176655168198,2,0,0.666666666,0.333333333,0,0,0,0,4,9,13,0.101248003542423,-0.0324679985642433,0.133716002106667,0.546999990940094,0.0526974946260452,1.38160002231598,1.9559999704361,1.9559999704361,NA,0,1,0.0290993060916662,0.0441838452596931,1,0,0.30769231,96,NA,NA,0.69230769,88.11111111,NA,0.027394350618124,NA,0.303146094083786,0.6848587654531,NA,3.36828993426429,0.5,0.8,0.61538462,0.5,1,0.75,0.38461538,0.25,0.15384615,1,2,0,0,2,1,3,0.33333333,0.66666667,0,0,0.66666667,0.33333333,4.63612851601751,57.76028,64.24879,60.85148,20,54.71692,20,NA,NA,NA,20,62.78809,20,2.03005,7.12217,96.76,100.22,105.8,121.92,57.38,68.22,NA,NA,NA,114.178461538462,70.5615384615385,79.7830769230769,0.30769231,NA,0.69230769,96.1500015258789,NA,87.8999972873264,-5.17911195755005,NA,1.06867270999485,11.1488475799561,NA,1.33261903127034,0.0272369012236595,NA,0.303807601332664,0.680922530591488,NA,3.37564001480738,0.5,0.71428571,0.61538462,0.33333333,1,0.75,0.53846154,16,0.30769231,NA,0.69230769,96.3134231567383,NA,88.0434095594618,-4.51135778427124,NA,1.83695708380805,10.2149724960327,NA,0.181003146701389,0.0272369012236595,NA,0.303807601332664,0.680922530591488,NA,3.37564001480738,0.5,0.71428571,0.61538462,0.33333333,1,0.75,0.53846154,3,87.2488606770833,20.1234982808431,0,0,99.6324,1,0.33333333,"2024-08-29",0
"Chad Green",15552,"2024-08-24","LAA",14,2024,"TOR","H",33,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,1,0,0,0,0,0,0.33333333,0,0.33333333,1.87828464271067,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,27.1820729804239,64.7888072114456,1,0,0.5,0.5,0,0,0,0,5,9,14,0.0702939927577972,0,0.0702939927577972,0.477999985218048,0.0505018495023251,0.930400013923645,0.729099988937378,1.45819997787476,NA,0,1,0.0760683864355087,-0.000515944791235443,1,0,0.35714286,96,NA,NA,0.64285714,87.77777778,NA,0.518000721931458,NA,0.210220336914062,10.3600144386292,NA,2.33578152126736,0.375,0.83333333,0.57142857,0.66666667,0.8,0.75,0.42857143,0.66666667,0.14285714,0,2,0,1,1,0,2,0,1,0,0.5,0.5,0,-0.366765573022453,43.34209,62.13118,69.23447,20,41.61353,21.13595,NA,NA,NA,24.56695,51.77478,35.66513,1.70547,6.6353,91.36,78.9,77.56,109.06,86.54,93.74,NA,NA,NA,102.738571428571,83.8114285714286,87.9614285714286,0.35714286,NA,0.64285714,95.9400024414062,NA,87.7333306206597,-3.9004997253418,NA,0.669779300689697,10.534602355957,NA,1.59462738037109,0.567159347236156,NA,0.211775910109282,11.3431869447231,NA,2.35306566788091,0.375,0.83333333,0.57142857,0.66666667,0.8,0.75,0.42857143,17.27272727,0.35714286,NA,0.64285714,96.3061401367188,NA,88.0645751953125,-3.36119194030762,NA,1.3571187125312,9.07704238891602,NA,0.191427853372362,0.567159347236156,NA,0.211775910109282,11.3431869447231,NA,2.35306566788091,0.28571429,0.85714286,0.57142857,0.5,0.83333333,0.75,0.5,2,77.3671493530273,-13.4762315750122,0,0,98.0088,1,0.5,"2024-08-24",0
"Chad Green",15552,"2024-08-23","LAA",14,2024,"TOR","H",33,1,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,3,0,0,0,0,0,0,0.25,0,0.25,-0.797583415985107,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,27.1820729804239,27.173712862954,3,0,1,0,0,0,2,18,4,11,15,0.0355199947953224,-0.0456700064241886,0.0811900049448013,0.478999972343445,0.0506075024604797,0.928160011768341,0.629599988460541,0.629599988460541,NA,0,1,0.0116897998377681,0.0265794579894996,0,0,0.53333333,95.75,NA,NA,0.46666667,88,NA,-0.158763274550438,NA,0.385293394327164,-1.98454093188047,NA,5.50419134753091,0.55555556,0.83333333,0.66666667,0.6,0.8,0.7,0.4,0.75,0.2,0,2,1,1,1,1,3,0,0.66666667,0.33333333,0.33333333,0.33333333,0.33333333,0.157477071304737,73.26389,62.36895,75.42127,62.59599,61.70709,79.43452,NA,NA,NA,73.98722,64.36269,80,-1.36483,2.02985,103.98,122.66,125.44,107.96,126.42,135.82,NA,NA,NA,105.837333333333,124.414666666667,130.284,0.53333333,NA,0.46666667,95.9000015258789,NA,88.0142822265625,-5.17478895187378,NA,0.255480068070548,11.1064500808716,NA,2.14297539847238,-0.162331856787205,NA,0.389820922166109,-2.02914820984006,NA,5.5688703166587,0.5,0.85714286,0.66666667,0.75,0.66666667,0.7,0.46666667,18.36363636,0.53333333,NA,0.46666667,96.2154159545898,NA,88.3013567243304,-4.62856769561768,NA,0.999026843479701,9.65858840942383,NA,0.548188720430647,-0.162331856787205,NA,0.389820922166109,-2.02914820984006,NA,5.5688703166587,0.5,0.85714286,0.66666667,0.75,0.66666667,0.7,0.46666667,3,64.5452829996745,-22.5473149617513,0,0,90.6486,0,0,"2024-08-23",0
