"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","CH%","CHv","SF%","SFv","XX%","wFB","wSL","wCB","wCH","wSF","wFB/C","wSL/C","wCB/C","wCH/C","wSF/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FS","sp_l_FS","sp_p_FS","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFS%","pfxSI%","pfxSL%","pfxCU%","pfxCH%","pfxvFA","pfxvFS","pfxvSI","pfxvSL","pfxvCU","pfxvCH","pfxFA-X","pfxFS-X","pfxSI-X","pfxSL-X","pfxCU-X","pfxCH-X","pfxFA-Z","pfxFS-Z","pfxSI-Z","pfxSL-Z","pfxCU-Z","pfxCH-Z","pfxwFA","pfxwFS","pfxwSI","pfxwSL","pfxwCU","pfxwCH","pfxwFA/C","pfxwFS/C","pfxwSI/C","pfxwSL/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piFS%","piSI%","piSL%","pivCH","pivCU","pivFA","pivFS","pivSI","pivSL","piCH-X","piCU-X","piFA-X","piFS-X","piSI-X","piSL-X","piCH-Z","piCU-Z","piFA-Z","piFS-Z","piSI-Z","piSL-Z","piwCH","piwCU","piwFA","piwFS","piwSI","piwSL","piwCH/C","piwCU/C","piwFA/C","piwFS/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Brandon Pfaadt",27782,"2024-09-29","SDP",15,2024,"ARI","H",25,1,0,1.68750010058284,1,1,0,0,0,0,0,0,5.1,20,3,2,1,0,1,0,0,0,0,9,15.1875009052456,1.68750010058284,5.06250030174853,9,0,0,4,4,2,0,0,0,0,0.45,0.05,0.4,1.67546408401489,0,0.157894736842105,0.750000044703486,0.3,0.5,0.353979610651721,1.33352048993112,1.48798598291017,40.3588775466333,10.6850063383541,37.7477412681813,1,0.2,0.4,0.4,0,0,7,11.8125007040799,25,54,79,0.11062003672123,-0.171139970421791,0.281760007143021,1.37709999084473,0.139101013541222,0.652100026607513,0.718999981880188,0.870000004768372,0.337999999523163,1,1,0.147481426596642,0.0221551816039737,0,0,0.55696203,93.79545455,0.11392405,85.22222222,0.18987342,82,0.13924051,86.63636364,NA,NA,NA,1.6930410861969,0.370639860630035,0.195349395275116,-0.453337550163269,NA,3.8478206504475,4.11822067366706,1.30232930183411,-4.12125045602972,NA,0.40425532,0.65625,0.50632911,0.63157895,0.85714286,0.75,0.40506329,0.8,0.12658228,5,4,1,1,5,4,10,0.5,0.4,0.1,0.1,0.5,0.4,0.634857410567335,67,40.50289,48.49218,41.27402,62.07135,43.4649,70.03897,53.1732,53.06177,48.21482,64.80944,44.45608,64.59713,55.70198,64.59746,38.61032,56.4692,46.63726,56.2403,-0.2765,3.66234,64.38,72.48,50.28,105.56,134.98,130.58,104.92,103.06,102.26,103.04,122.04,119.14,128.32,100.68,113.92,NA,NA,NA,101.562784810127,109.636962025316,106.214936708861,0.29113924,NA,0.26582278,0.11392405,0.18987342,0.13924051,93.8130413552989,NA,93.7952357700893,85.1999986436632,81.9799967447917,86.5272716175426,-3.96838577933933,NA,-9.39727056594122,5.25847752888997,5.79727325439453,-9.45974800803445,8.8210681417714,NA,4.94640967959449,3.24516211615668,-6.76420694986979,3.56345402110707,1.24592977389693,NA,0.463700234889984,0.374177075922489,0.199437458068132,-0.460507296025753,5.41708597346492,NA,2.20809635661897,4.15752306580544,1.32958305378755,-4.18642996387048,0.36585366,0.65789474,0.50632911,0.6,0.84,0.75,0.48101266,19.12068966,0.15189873,0.18987342,0.29113924,NA,0.25316456,0.11392405,86.5634969075521,81.6694010416667,93.5026112432065,NA,93.6580200195312,84.8796522352431,-9.32420476277669,6.47921244303385,-3.60560873280401,NA,-9.01601791381836,6.19933531019423,1.988409837087,-8.7326426188151,7.89677959939708,NA,3.65617866516113,1.81035508049859,-0.498585619032383,0.199437458068132,1.24592977389693,NA,0.501778557896614,0.374177075922489,-4.15488015860319,1.32958305378755,5.41708597346492,NA,2.50889278948307,4.15752306580544,0.38095238,0.64864865,0.50632911,0.5625,0.875,0.75,0.46835443,10,89.5587097167969,9.49499282836914,0,0,110.906,4,0.4,"2024-09-29",0
"Brandon Pfaadt",27782,"2024-09-24","SFG",15,2024,"ARI","H",25,0,1,13.5000032186516,1,1,0,0,0,0,0,0,2.2,16,6,5,4,2,2,0,0,0,0,4,13.5000032186516,6.75000160932579,20.2500048279774,2,0.5,0,2,6,2,0,1,0,0,0.25,0.125,0.125,4.86135408401489,6.75000160932579,0.428571428571429,3.00000071525591,0.5,0.57692308,12.1664819240575,1.33352129459407,5.81849932457973,322.871078106918,305.56302208357,142.397729710601,0.333333333,0.2,0.2,0.6,0,0.333333333,0,0,24,38,62,-0.249840006232262,-0.4686199426651,0.218779936432838,-2.79390001296997,-0.282212108373642,0.925999999046326,0.890666663646698,0.870000004768372,0.537999987602234,1,1,-0.312498331069946,0.0426927085110172,0,0,0.5483871,95.14705882,0.12903226,86.5,0.09677419,81.83333333,0.22580645,88,NA,NA,NA,-2.78531217575073,-0.294907510280609,-0.0745970085263252,-0.439660161733627,NA,-8.19209463456098,-3.68634387850761,-1.24328347543875,-3.14042972666877,NA,0.27272727,0.72413793,0.48387097,0.33333333,0.76190476,0.63333333,0.46774194,0.5625,0.17741935,6,3,1,2,4,4,10,0.6,0.3,0.1,0.2,0.4,0.4,10.489982370915,17,77.22357,57.1915,80,20,43.09121,20,56.67906,58.36037,52.50078,57.61761,43.91871,50.72096,23.33039,64.5988,20,52.38754,53.38837,49.7879,-0.02292,4.04271,72.34,139.36,130.58,91.18,36.74,39.38,103.16,111.8,122.24,100.42,135.5,127.42,128.24,67.68,86.2,NA,NA,NA,97.6145161290323,110.800322580645,112.707419354839,0.30645161,NA,0.24193548,0.12903226,0.09677419,0.22580645,95.0894711143092,NA,95.213330078125,86.4124984741211,81.7000020345052,87.9500034877232,-4.85581889905428,NA,-9.71565755208333,5.50976514816284,6.50150553385417,-9.75646427699498,9.72686205412212,NA,5.12373860677083,3.73868298530579,-6.4914805094401,3.06796537126814,-2.28192621469498,NA,-0.512998379766941,-0.30066517367959,-0.0768491439521313,-0.4468531049788,-12.0101379720788,NA,-3.41998919844627,-3.75831467099488,-1.28081906586885,-3.19180789270571,0.2,0.75,0.48387097,0.33333333,0.70833333,0.63333333,0.51612903,19.54347826,0.22580645,0.09677419,0.30645161,NA,0.24193548,0.12903226,87.624267578125,81.3925984700521,94.7644171463816,NA,94.9054443359375,86.0868148803711,-9.52624402727399,6.98689524332682,-4.58539701762952,NA,-9.45074361165365,6.51327896118164,1.47299221583775,-8.37927627563477,8.69691065738076,NA,3.80023727416992,2.34651875495911,-0.4468531049788,-0.0768491439521313,-2.28192621469498,NA,-0.512998379766941,-0.30066517367959,-3.19180789270571,-1.28081906586885,-12.0101379720788,NA,-3.41998919844627,-3.75831467099488,0.20689655,0.72727273,0.48387097,0.33333333,0.70833333,0.63333333,0.53225806,10,95.9320739746094,12.8824783325195,4,0.4,109.758,6,0.6,"2024-09-24",0
"Brandon Pfaadt",27782,"2024-09-19","@MIL",15,2024,"ARI","A",25,1,0,1.28571428571429,1,1,1,0,0,0,0,0,7,23,2,1,1,1,0,0,0,0,0,12,15.4285714285714,0,2.57142857142857,12,0,0,4,4,3,0,0,0,0,0.52173913,0,0.52173913,0.795029653720186,1.28571428571429,0.0869565217391304,0.285714285714286,0.1,1,1.59505120686122,-0.309336921146938,0.601913153273719,30.7496191550909,41.6661414084975,16.3351501814981,1,0.272727272,0.363636363,0.363636363,0,0.25,5,6.42857142857143,32,72,104,0.310507982969284,-0.11353200674057,0.424039989709854,2.49300003051758,0.25608628988266,0.819565236568451,0.997942864894867,0.870000004768372,0.598200023174286,1,1,0.296430021524429,0.0824391265489957,0,0,0.56730769,94.96610169,0.21153846,85.86363636,0.10576923,82,0.11538462,88.5,NA,NA,NA,4.83837842941284,-1.53345882892609,-0.0392873212695122,0.202495202422142,NA,8.20064140578448,-6.97026740420948,-0.357157466086474,1.68746002018452,NA,0.28571429,0.70833333,0.48076923,0.4375,0.76470588,0.66,0.46153846,0.69565217,0.16346154,1,3,7,2,8,1,11,0.09090909,0.27272727,0.63636364,0.18181818,0.72727273,0.09090909,2.00040036045012,81,43.74314,50.21062,43.94252,41.71682,48.2199,40.67597,80,56.60767,80,50.85667,54.26617,45.17763,80,67.37395,80,80,55.85049,80,-1.74125,1.46522,82.84,96.8,85.06,85.4,97.28,100.74,106.72,145.32,153.2,118.74,105.14,109.42,134.18,135.32,157.3,NA,NA,NA,109.483269230769,125.957115384615,133.5,0.40384615,NA,0.16346154,0.21153846,0.10576923,0.11538462,94.8690476190476,NA,95.1588206571691,85.7954545454545,82,88.3916625976562,-3.93708837599981,NA,-9.13900756835938,5.77659260142933,6.09861547296697,-9.2632999420166,9.42138671875,NA,4.30209664737477,3.86951897361062,-7.06875610351562,3.1311928431193,3.56520490720868,NA,1.33490417152643,-1.54043809324503,-0.0422633178532124,0.203483201563358,8.48858311240162,NA,7.85237747956725,-7.00199133293195,-0.384211980483749,1.69569334636132,0.3125,0.625,0.48076923,0.46666667,0.74285714,0.66,0.53846154,18.56790123,0.11538462,0.10576923,0.40384615,NA,0.16346154,0.21153846,88.1102294921875,81.7067815607244,94.5799502418155,NA,94.880464441636,85.4809625799006,-8.8668581644694,6.8472900390625,-3.35591052827381,NA,-8.6280122644761,6.70160328258168,1.7452449798584,-8.92998573996804,8.50705319359189,NA,2.98310133990119,2.52445324984464,0.203483201563358,-0.0422633178532124,3.56520490720868,NA,1.33490417152643,-1.54043809324503,1.69569334636132,-0.384211980483749,8.48858311240162,NA,7.85237747956725,-7.00199133293195,0.32,0.62962963,0.48076923,0.375,0.79411765,0.66,0.51923077,11,85.4054509943182,0.477587006308816,1,0.09090909,105.018,1,0.09090909,"2024-09-19",0
"Brandon Pfaadt",27782,"2024-09-14","MIL",15,2024,"ARI","H",25,0,1,43.2000164794985,1,1,0,0,0,0,0,0,1.2,14,7,8,8,1,3,0,0,0,0,0,0,16.2000061798119,37.8000144195612,0,0,0,3,5,3,0,0,0,0,0,0.21428571,-0.21428571,9.70485152527501,5.40000205993731,0.636363636363636,6.00000228881923,0.6,0.23255814,16.3664848136921,26.8335316658064,13.1025087872497,1033.18759774084,410.408590394197,318.421089054184,0.6,0.272727272,0.272727272,0.454545454,0,0.2,0,0,26,32,58,-0.41499999165535,-0.509819984436035,0.0948200151324272,-7.083899974823,-0.715545475482941,1.067999958992,0.845999956130981,0.870000004768372,0.0419999994337559,1,1,-0.360584944486618,-0.027991841646439,0,0,0.56896552,94.96969697,0.31034483,86.05555556,0.03448276,82,0.0862069,87.2,NA,NA,NA,-2.51269483566284,-1.59240448474884,0.00450797751545906,-0.207878172397614,NA,-7.61422677473588,-8.846691581938,0.225398875772953,-4.15756344795227,NA,0.11764706,0.75,0.37931034,0.75,0.94444444,0.90909091,0.4137931,0.78571429,0.03448276,1,6,4,1,8,2,11,0.09090909,0.54545455,0.36363636,0.09090909,0.72727273,0.18181818,14.3706270821189,0,80,50.93223,80,39.72085,45.15203,39.67845,59.20553,57.50527,58.33157,60.19775,48.63997,63.54713,54.22786,65.21593,42.28634,62.59081,57.58681,60.42837,-0.65681,3.09188,79.64,144,125.78,84.86,85.74,80.24,100.24,105.32,107.12,88.74,103.88,92.64,112.3,93.3,111.68,NA,NA,NA,99.3127586206896,102.567931034483,104.955172413793,0.36206897,NA,0.20689655,0.31034483,0.03448276,0.0862069,94.8952404203869,NA,94.8416646321615,86.1111111111111,82.1499938964844,87.1799987792969,-3.58151136125837,NA,-8.77315775553385,5.13437991672092,5.13387489318848,-8.99731140136719,8.72996230352492,NA,4.67670822143555,3.06154505411784,-5.99503612518311,2.8650915145874,-0.438823401927948,NA,-2.11310929059982,-1.6020879521966,0.00431566312909126,-0.211931627243757,-2.08963524727594,NA,-17.6092440883319,-8.90048862331443,0.215783156454563,-4.23863254487514,0.13793103,0.62068966,0.37931034,0.75,0.94444444,0.90909091,0.5,19.76744186,0.0862069,0.03448276,0.36206897,NA,0.20689655,0.31034483,87.1486206054688,82.0845031738281,94.8646065848214,NA,94.808349609375,86.0726860894097,-8.67095794677734,6.02437496185303,-3.26671818324498,NA,-8.52519861857096,6.01644219292535,1.50162925720215,-7.73532009124756,7.87070138113839,NA,3.55134677886963,1.75601535373264,-0.211931627243757,0.00431566312909126,-0.438823401927948,NA,-2.11310929059982,-1.6020879521966,-4.23863254487514,0.215783156454563,-2.08963524727594,NA,-17.6092440883319,-8.90048862331443,0.07692308,0.625,0.37931034,1,0.9,0.90909091,0.55172414,11,88.6546575372869,20.0773911909624,2,0.18181818,102.658,3,0.27272727,"2024-09-14",0
"Brandon Pfaadt",27782,"2024-09-06","@HOU",15,2024,"ARI","A",25,0,1,7.71428676527388,1,1,0,0,0,0,0,0,4.2,23,8,4,4,1,2,0,1,0,0,5,9.64285845659235,3.85714338263694,15.4285735305478,2.5,0,0,6,5,3,0,0,1,0,0.2173913,0.08695652,0.13043478,4.28397671703838,1.92857169131847,0.4,2.1428574347983,0.5,0.72916667,5.73790870004775,1.97637806522612,4.57220326218499,184.497740066368,145.085176994178,112.280083548319,1.2,0.214285714,0.428571428,0.357142857,0,0.2,0,0,36,52,88,-0.149166017770767,-0.491331994533539,0.342165976762772,-1.83500003814697,-0.194488614797592,0.984026074409485,0.84443998336792,0.870000004768372,0.203199997544289,1,1,-0.129116624593735,-0.0224708400578314,0,0,0.56818182,93.4,0.29545455,85.26923077,0.02272727,81.5,0.11363636,87.5,NA,NA,NA,-1.24126088619232,-0.944860637187958,0.0268209874629974,-0.873179256916046,NA,-2.48252177238464,-3.63407937379984,1.34104937314987,-8.73179256916046,NA,0.34482759,0.7,0.46590909,0.75,0.9047619,0.82926829,0.34090909,0.56521739,0.07954545,6,7,2,0,9,6,15,0.4,0.46666667,0.13333333,0,0.6,0.4,6.19570176452666,35,41.23979,42.9885,58.17915,51.98382,47.63577,55.83429,44.51808,57.18347,32.87223,69.9686,62.32905,57.95024,55.49365,68.17697,37.75403,54.82191,60.50912,44.46849,-0.17416,3.81585,50.14,97.48,71.52,105.78,103.34,101.7,102.82,94.62,90.92,111.24,112.68,126.1,119.1,86.74,107.08,NA,NA,NA,103.815909090909,97.33,102.53,0.31818182,NA,0.25,0.29545455,0.02272727,0.11363636,93.4928588867188,NA,93.2954545454545,85.0923039362981,81.5500030517578,87.5400024414062,-5.44948468889509,NA,-10.774224021218,4.7902471102201,6.66773700714111,-10.1099884033203,8.49758747645787,NA,4.27579428932883,4.12690265362079,-6.17232799530029,3.63820571899414,-0.806057758629322,NA,-0.348726950585842,-0.960414335131645,0.0271433368325233,-0.891210630536079,-2.87877770939044,NA,-1.58512250266292,-3.69390128896787,1.35716684162617,-8.91210630536079,0.31372549,0.67567568,0.46590909,0.75,0.88,0.82926829,0.42045455,20.328125,0.11363636,0.02272727,0.31818182,NA,0.25,0.29545455,87.7372680664062,81.7877502441406,93.6810913085938,NA,93.4911998401989,85.2782451923077,-9.18996887207031,7.59856510162354,-4.34775788443429,NA,-9.77846319025213,6.19513467641977,2.25669059753418,-7.5492000579834,7.58686719621931,NA,2.84580490805886,2.74530909611629,-0.891210630536079,0.0271433368325233,-0.806057758629322,NA,-0.348726950585842,-0.960414335131645,-8.91210630536079,1.35716684162617,-2.87877770939044,NA,-1.58512250266292,-3.69390128896787,0.29166667,0.675,0.46590909,0.78571429,0.85185185,0.82926829,0.45454545,15,96.9608939034598,13.8228214808873,2,0.13333333,108.893,10,0.66666667,"2024-09-06",0
"Brandon Pfaadt",27782,"2024-09-01","LAD",15,2024,"ARI","H",25,1,0,4.7647064169386,1,1,0,0,0,0,0,0,5.2,27,8,3,3,0,2,0,0,0,0,10,15.8823547231287,3.17647094462574,12.7058837785029,5,0,0,7,4,4,0,0,0,0,0.37037037,0.07407407,0.2962963,2.51093073252488,0,0.32,1.76470608034763,0.533333333333333,0.7,0.695891265803112,4.06881515113549,1.7631914370017,113.954483771862,19.2202199413841,44.3982802037953,1.75,0.266666666,0.466666666,0.266666666,0,0,9,14.2941192508158,33,65,98,0.103380046784878,-0.167299911379814,0.270679950714111,-0.167899996042252,-0.01695959828794,0.539111137390137,0.381333351135254,0.870000004768372,0.165999993681908,1,1,-0.0547810755670071,0.246541251929428,0,0,0.60204082,94.3220339,0.25510204,85.36,0.03061224,81,0.1122449,87.63636364,NA,NA,NA,-2.02394366264343,1.99899983406067,0.0931044071912766,-0.385604441165924,NA,-3.43041298753124,7.99599933624268,3.10348023970922,-3.50549491969022,NA,0.33333333,0.70212766,0.51020408,0.52941176,0.75757576,0.68,0.47959184,0.77777778,0.16326531,7,4,4,0,6,9,15,0.46666667,0.26666667,0.26666667,0,0.4,0.6,1.94343087092117,55,58.44113,55.40663,69.13538,80,48.27126,80,70.49699,60.61068,71.60916,39.39073,54.06393,40.97817,80,66.64219,77.91846,72.44767,60.40393,74.21415,-1.26918,2.17332,78.42,128.94,113.86,105.3,120.74,120,103.38,121.48,123.72,86.96,84.32,73.76,127.9,119.08,141.42,NA,NA,NA,103.876326530612,114.857142857143,117.838367346939,0.41836735,NA,0.18367347,0.25510204,0.03061224,0.1122449,94.5243902439024,NA,93.8944430881076,85.28,81.2999979654948,87.5999977805398,-4.05175074135385,NA,-9.21296098497179,4.36366027832031,5.90454228719075,-9.72364945845171,8.48551457102706,NA,4.49404271443685,3.85809509277344,-5.60477066040039,2.05614818226207,-1.34450471773744,NA,-0.721067000180483,2.00439185649157,0.094138327986002,-0.393478989601135,-3.2792797993596,NA,-4.00592777878046,8.01756742596626,3.13794426620007,-3.57708172364668,0.34883721,0.63636364,0.51020408,0.53333333,0.74285714,0.68,0.56122449,19.35714286,0.1122449,0.03061224,0.41836735,NA,0.18367347,0.25510204,87.7591552734375,81.4495646158854,94.6838140720274,NA,94.0436333550347,85.420693359375,-9.01212172074751,6.68836975097656,-3.37797323087367,NA,-8.64397515190972,5.40663146972656,0.811041398481889,-7.04940350850423,7.73000800900343,NA,3.41190952724881,2.80010009765625,-0.393478989601135,0.094138327986002,-1.34450471773744,NA,-0.721067000180483,2.00439185649157,-3.57708172364668,3.13794426620007,-3.2792797993596,NA,-4.00592777878046,8.01756742596626,0.34883721,0.63636364,0.51020408,0.46666667,0.77142857,0.68,0.56122449,15,93.805029296875,11.0690795898437,2,0.13333333,105.401,6,0.4,"2024-09-01",0
"Brandon Pfaadt",27782,"2024-08-27","NYM",15,2024,"ARI","H",25,0,1,11.5714301479108,1,1,0,0,0,0,0,0,4.2,24,8,8,6,1,1,0,0,0,0,6,11.5714301479108,1.92857169131847,15.4285735305478,6,0.142857142,0,7,7,3,0,1,0,0,0.25,0.04166667,0.20833333,3.45602074418489,1.92857169131847,0.347826086956522,1.92857169131847,0.4375,0.13157895,4.02362275220912,7.5478073957017,3.50592100529636,276.746610099551,102.291091092084,86.5126012533148,1,0.176470588,0.411764705,0.411764705,0,0.142857142,0,0,39,59,98,-0.221359983086586,-0.45618000626564,0.234820008277893,-3.22490000724792,-0.325747460126877,0.763499975204468,0.778400003910065,0.870000004768372,0.618000030517578,1,1,-0.240439414978027,-0.0494885356120235,0,0,0.45918367,93.4,0.35714286,84.57142857,0.1122449,80.09090909,0.07142857,86,NA,NA,NA,-3.26795697212219,0.38302406668663,0.0355132222175598,-0.0865937769412994,NA,-7.26212660471598,1.09435447624752,0.322847474705089,-1.23705395630428,NA,0.3015873,0.77142857,0.46938776,0.68421053,0.92592593,0.82608696,0.35714286,0.66666667,0.08163265,6,5,6,1,11,5,17,0.35294118,0.29411765,0.35294118,0.05882353,0.64705882,0.29411765,3.87691312003548,26,52.07235,51.042,50.84592,27.17895,40.78141,21.62998,67.57578,59.37558,63.01135,46.65273,44.29709,40.07652,76.40618,68.2366,65.92287,63.65149,57.82101,54.87438,-0.72271,2.99303,81.3,115.46,99.82,86.06,65.44,62.58,107.66,121.34,130.56,96.2,79.32,68.58,120.4,122.46,142.26,NA,NA,NA,105.56387755102,106.47,112.263469387755,0.25510204,NA,0.20408163,0.35714286,0.1122449,0.07142857,93.56400390625,NA,93.1349975585938,84.4685686383929,80.1363636363636,85.7285679408482,-3.71039886474609,NA,-8.87138900756836,5.6091299874442,5.08809973976829,-9.59328787667411,8.53686462402344,NA,3.94001426696777,4.09567740304129,-5.72795729203658,2.08271775926862,-1.02658819779754,NA,-1.19379556551576,0.391538459807634,0.0347712822258472,-0.089196041226387,-4.10635279119015,NA,-5.96897782757878,1.1186813137361,0.31610256568952,-1.27422916037696,0.18367347,0.75510204,0.46938776,0.44444444,0.91891892,0.82608696,0.5,20.52702703,0.07142857,0.1122449,0.25510204,NA,0.20408163,0.35714286,85.7761404854911,80.1739113547585,93.609091796875,NA,93.1989440917969,84.5201311383929,-9.46497235979353,5.38805528120561,-3.29731628417969,NA,-8.59695205688477,6.42629786900112,0.855594158172607,-7.28410269997337,7.73147094726562,NA,2.7819860458374,2.92534005301339,-0.089196041226387,0.0347712822258472,-1.02658819779754,NA,-1.19379556551576,0.391538459807634,-1.27422916037696,0.31610256568952,-4.10635279119015,NA,-5.96897782757878,1.1186813137361,0.1875,0.74,0.46938776,0.44444444,0.91891892,0.82608696,0.51020408,17,86.0279397403493,14.5146116368911,2,0.11764706,107.185,3,0.17647059,"2024-08-27",0
"Brandon Pfaadt",27782,"2024-08-19","@MIA",15,2024,"ARI","A",25,1,0,6.75000040233138,1,1,0,0,0,0,0,0,5.1,26,9,4,4,1,2,0,1,0,0,4,6.75000040233138,3.37500020116569,15.1875009052456,2,0,0,10,5,4,0,0,0,0,0.15384615,0.07692308,0.07692308,4.59371133184107,1.68750010058284,0.391304347826087,2.06250012293459,0.444444444444444,0.75471698,5.791479934752,0.958520467579379,4.77148775478873,161.435510186533,146.422487156876,117.095937513497,2,0.210526315,0.526315789,0.263157894,0,0.2,5,8.43750050291422,34,56,90,-0.231999978423119,-0.717580020427704,0.485580027103424,-2.07699990272522,-0.206666678190231,1.20992588996887,0.899333357810974,0.870000004768372,3.18400001525879,1,1,-0.156355410814285,-0.0353918526723133,0,0,0.58888889,93.88679245,0.21111111,84.94736842,0.04444444,81.5,0.15555556,87.28571429,NA,NA,NA,-0.635081827640533,-2.39844155311584,-0.298055380582809,1.36224043369293,NA,-1.19826759932176,-12.6233765953465,-7.45138451457024,9.73028881209237,NA,0.18518519,0.69444444,0.38888889,0.5,0.96,0.82857143,0.4,0.61538462,0.06666667,12,4,3,3,12,4,19,0.63157895,0.21052632,0.15789474,0.15789474,0.63157895,0.21052632,6.21394850421622,36,47.93688,49.96702,55.31285,63.38256,54.51565,57.85108,73.87729,63.9485,80,54.21623,51.84032,38.68994,80,70.98324,73.10548,67.65843,58.53325,61.46982,-0.97164,2.61963,93.82,92.04,85.7,84.56,115.36,114.56,107.24,119.9,120.46,107.94,90.98,102.66,126.36,130.34,155.5,NA,NA,NA,108.445333333333,106.643111111111,115.463555555556,0.2,NA,0.38888889,0.21111111,0.04444444,0.15555556,94.4166666666667,NA,93.5771414620536,84.9526302939967,81.75,87.1714303152902,-4.65602323744032,NA,-9.85591866629464,5.5714958592465,6.16042327880859,-10.2738538469587,9.41431596544054,NA,4.42761404854911,4.27221358449836,-1.61543047428131,3.10506057739258,-1.28559801727533,NA,0.344240073114634,-2.41646017879248,-0.30366425961256,1.38124887272716,-7.14221120708519,NA,0.98354306604181,-12.7182114673288,-7.59160649031401,9.86606337662254,0.23255814,0.53191489,0.38888889,0.5,0.96,0.82857143,0.52222222,19.484375,0.15555556,0.05555556,0.21111111,NA,0.37777778,0.2,87.2071881975446,82.3711791992187,94.5241377981086,NA,93.5585147633272,84.9793972439236,-9.79329027448382,6.51164779663086,-4.33423775120785,NA,-9.47801926556756,6.53118091159397,1.49314076559884,-2.49761009216309,8.14327601382607,NA,2.89167875402114,3.04445012410482,1.38124887272716,-0.235450483858585,-1.06371337920427,NA,0.122355435043573,-2.48467395454645,9.86606337662254,-4.70900967717171,-5.59849146949618,NA,0.359868926598745,-13.8037441919247,0.22727273,0.54347826,0.38888889,0.5,0.96,0.82857143,0.51111111,19,85.5270289370888,6.45955858732525,1,0.05263158,110.221,6,0.31578947,"2024-08-19",0
