"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CH%","CHv","XX%","wFB","wSL","wCT","wCH","wFB/C","wSL/C","wCT/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxSL%","pfxCH%","pfxvFA","pfxvSI","pfxvSL","pfxvCH","pfxFA-X","pfxSI-X","pfxSL-X","pfxCH-X","pfxFA-Z","pfxSI-Z","pfxSL-Z","pfxCH-Z","pfxwFA","pfxwSI","pfxwSL","pfxwCH","pfxwFA/C","pfxwSI/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piSI%","piSL%","pivCH","pivFA","pivSI","pivSL","piCH-X","piFA-X","piSI-X","piSL-X","piCH-Z","piFA-Z","piSI-Z","piSL-Z","piwCH","piwFA","piwSI","piwSL","piwCH/C","piwFA/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Michael King",19853,"2024-09-24","@LAD",29,2024,"SDP","A",29,1,0,0,1,1,0,0,0,0,0,0,5,20,3,1,0,0,2,0,1,0,0,3,5.4,3.6,5.4,1.5,0,0,3,3,8,0,0,0,0,0.15,0.1,0.05,5.33679408401489,0,0.176470588235294,1,0.214285714285714,0.83333333,3.7664797782898,-3.7664797782898,4.67368482202292,0,93.3941999995283,114.732458873427,1,0.571428571,0.214285714,0.214285714,0,0,4,7.2,36,59,95,0.150280028581619,-0.314499974250793,0.464780002832413,1.3899998664856,0.147089958190918,1.19971430301666,0.979600012302399,0.870000004768372,1.02199995517731,1,1,0.0857225954532623,0.0395405844586071,0,0,0.50526316,93.5625,0.21052632,82.9,0.08421053,85.75,0.2,87.52631579,NA,-1.00513994693756,0.755736887454987,-0.506282806396484,1.11156892776489,-2.09404155611992,3.77868443727493,-6.32853507995605,5.85036277770996,0.3559322,0.55555556,0.43157895,0.71428571,0.9,0.80487805,0.37894737,0.6,0.08421053,5,5,4,2,8,4,14,0.35714286,0.35714286,0.28571429,0.14285714,0.57142857,0.28571429,9.39645600705821,60,45.30182,40.56077,48.9477,57.98836,69.30399,46.58643,52.04235,50.49312,58.90239,64.96003,54.53874,66.27866,56.92343,54.55184,60.03907,-0.30472,3.62001,75.54,99.22,81.12,119.52,122,131.28,107.56,100.6,108.34,115.294285714286,108.542857142857,121.511428571429,105.701684210526,106.719789473684,111.124631578947,0.18947368,0.31578947,0.29473684,0.2,94.2888861762153,93.1100016276042,83.6071428571429,87.5421078330592,-4.20772849188911,-10.6779001871745,5.36129324776786,-10.8834525660465,8.89972347683377,2.52227884928385,1.62030397142683,3.03584510401676,-0.767798591405153,-0.296081691980362,0.244511231780052,1.08113387972116,-4.26554773002863,-0.986938973267873,0.873254399214472,5.69017831432192,0.26,0.62222222,0.43157895,0.76923077,0.82142857,0.80487805,0.47368421,19.67567568,0.2,0.18947368,0.31578947,0.29473684,87.4058131167763,94.1634046766493,92.98466796875,83.4648263113839,-10.0343949167352,-3.23842832777235,-9.66468912760417,6.73792702811105,1.74997650949579,8.18858591715495,1.46318092346191,0.360982043402536,1.08113387972116,-0.767798591405153,-0.296081691980362,0.244511231780052,5.69017831432192,-4.26554773002863,-0.986938973267873,0.873254399214472,0.28846154,0.60465116,0.43157895,0.66666667,0.88461538,0.80487805,0.45263158,14,87.6600777762277,9.39638846261161,2,0.14285714,110.426,5,0.35714286,"2024-09-24",0
"Michael King",19853,"2024-09-17","HOU",29,2024,"SDP","H",29,0,0,2.57142857142857,1,1,1,0,0,0,0,0,7,27,5,2,2,0,1,0,0,0,0,7,9,1.28571428571429,6.42857142857143,7,0,1,9,7,2,0,0,1,1,0.25925926,0.03703704,0.22222222,3.22375652133998,0,0.192307692307692,0.857142857142857,0.263157894736842,0.66666667,1.59505120686122,0.976377364567348,3.10705961308309,64.9917055170335,40.589295219787,76.8738270960797,1.285714285,0.111111111,0.5,0.388888888,0,0,2,2.57142857142857,26,61,87,0.0915520042181015,-0.380378007888794,0.471929997205734,1.19869995117188,0.130791038274765,1.0502518415451,0.951228559017181,0.870000004768372,1.82660007476807,1,1,0.235511183738708,-0.148339706768564,0,0,0.63218391,93.8,0.11494253,82.2,0.05747126,84.6,0.1954023,87.23529412,NA,1.03792750835419,0.80135703086853,0.193893194198608,0.0648176446557045,1.88714092428034,8.0135703086853,3.87786388397217,0.381280262680615,0.41176471,0.72222222,0.54022989,0.61904762,0.88461538,0.76595745,0.4137931,0.77777778,0.12643678,6,9,4,2,12,5,19,0.31578947,0.47368421,0.21052632,0.10526316,0.63157895,0.26315789,1.11926274650395,71,49.00313,42.42663,51.15583,22.46202,66.30304,20,66.79491,59.68359,61.27985,48.19703,48.91353,43.62146,49.05406,55.36998,44.56201,0.18418,4.35336,82.26,108.08,92.4,107.06,56.72,64.24,104.18,129.36,133.72,103.546666666667,94.3666666666667,104.393333333333,100.48275862069,101.634712643678,103.818620689655,0.24137931,0.3908046,0.17241379,0.1954023,94.2428559802827,93.438232421875,83,87.2764677159927,-4.1630605061849,-11.0046934240005,5.46753336588542,-11.4964617560892,8.93377322242373,3.16292459824506,1.14616317749023,3.26809714822208,0.248404067009687,0.837768878787756,1.04824885725975,0.0626045390963554,1.18287650956994,2.46402611408164,6.988325715065,0.368261994684444,0.34090909,0.74418605,0.54022989,0.53333333,0.875,0.76595745,0.49425287,19.06779661,0.1954023,0.24137931,0.3908046,0.17241379,87.2069019990809,94.1864246186756,93.3713235294118,82.922119140625,-10.6059920367073,-3.05006445021856,-9.93054558249081,6.87550506591797,2.25543414845186,8.34222121465774,2.14536307839786,0.127927589416504,0.0626045390963554,0.248404067009687,0.837768878787756,1.04824885725975,0.368261994684444,1.18287650956994,2.46402611408164,6.988325715065,0.36170213,0.75,0.54022989,0.58823529,0.86666667,0.76595745,0.45977011,19,90.8790147569444,13.7741131252713,1,0.05263158,104.338,7,0.36842105,"2024-09-17",0
"Michael King",19853,"2024-09-11","@SEA",29,2024,"SDP","A",29,0,1,1.8,1,1,0,0,0,0,0,0,5,22,4,3,1,0,2,0,1,0,0,6,10.8,3.6,7.2,3,0.25,0,4,5,4,1,1,0,0,0.27272727,0.09090909,0.18181818,3.77673321306976,0,0.210526315789474,1.2,0.307692307692308,0.57142857,2.5664797782898,-0.766479778289795,4.07848818451166,45.4941938619235,64.2125420949344,100.34910144622,0.8,0.307692307,0.307692307,0.384615384,0.2,0,0,0,33,57,90,-0.159228041768074,-0.483554005622864,0.324325978755951,-0.850000023841858,-0.0965360701084137,1.06275451183319,0.687839984893799,0.870000004768372,0.249599993228912,1,1,0.00916573591530323,-0.158991532931601,0,0,0.51111111,93.34782609,0.21111111,82.89473684,0.04444444,84.25,0.23333333,87.14285714,NA,2.11205148696899,0.0551526062190533,0.153910741209984,-2.32137584686279,4.59141627601955,0.290276874837123,3.8477685302496,-11.0541706993466,0.30357143,0.67647059,0.44444444,0.52941176,0.82608696,0.7,0.37777778,0.54545455,0.13333333,7,1,5,2,9,2,13,0.53846154,0.07692308,0.38461538,0.15384615,0.69230769,0.15384615,3.44812295708313,55,65.69963,48.58765,69.43088,80,66.64378,80,34.7142,46.75424,39.9728,35.44504,57.82234,35.18467,57.53131,56.04132,61.42105,-0.34248,3.56337,78.84,131.62,123.6,108.82,135.26,140.68,94.36,89.92,77.96,117.510434782609,78.8913043478261,91.9869565217391,99.9934090909091,107.293181818182,106.772045454545,0.22222222,0.28888889,0.25555556,0.23333333,94.1400024414063,92.6807673527644,83.0739109205163,87.0809500558036,-4.9029972076416,-10.340828528771,5.92728324558424,-11.8860357375372,9.27938613891602,4.05104182316707,1.91352479354195,2.26082919892811,1.49818588793278,0.679063029587269,0.205084752291441,-1.27316657453775,7.49092943966389,2.61178088302796,0.891672836049743,-6.0626979739893,0.28888889,0.6,0.44444444,0.46153846,0.81481481,0.7,0.5,19,0.23333333,0.22222222,0.28888889,0.25555556,87.22607421875,94.2918884277344,92.8232046274038,83.2064368206522,-11.0594809395926,-3.86367301940918,-9.39046889085036,7.42781066894531,0.82965832664853,8.29517135620117,2.898742382343,0.433563729991084,-1.27316657453775,1.49818588793278,0.679063029587269,0.205084752291441,-6.0626979739893,7.49092943966389,2.61178088302796,0.891672836049743,0.29166667,0.61904762,0.44444444,0.5,0.80769231,0.7,0.46666667,13,82.5573167067308,16.5575878436749,0,0,100.56,2,0.15384615,"2024-09-11",0
"Michael King",19853,"2024-09-06","SFG",29,2024,"SDP","H",29,1,0,1.5,1,1,1,0,0,0,0,0,6,25,6,1,1,1,1,0,0,0,0,8,12,1.5,9,8,0,0,9,3,4,1,0,0,0,0.32,0.04,0.28,2.31184748401489,1.5,0.25,1.16666666666667,0.333333333333333,1,3.1664797782898,-1.6664797782898,1.75581731473406,37.9118282182696,78.8033710472314,44.2200792033145,3,0.25,0.5625,0.1875,0.333333333,0.333333333,4,6,38,62,100,0.204890042543411,-0.235119983553886,0.440010011196136,1.74169993400574,0.190038189291954,1.00079226493835,0.794733345508575,0.870000004768372,0.865400016307831,1,1,0.127939403057098,0.0767884407937249,0,0,0.56,93.83928571,0.15,82.06666667,0.05,84.6,0.24,87.29166667,NA,-0.795055389404297,-1.04861199855804,0.0705577954649925,2.03320622444153,-1.41974176679339,-6.99074665705363,1.41115590929985,8.4716926018397,0.23214286,0.68181818,0.43,0.30769231,0.86666667,0.69767442,0.44,0.72,0.13,10,2,4,4,11,1,16,0.625,0.125,0.25,0.25,0.6875,0.0625,3.59853160621978,61,45.21615,40.02938,61.46165,60.75963,61.23032,59.22732,57.86983,50.70303,56.51556,24.45167,49.07007,25.76872,48.47439,49.77103,54.81056,0.22019,4.40738,67.14,102.94,83.9,98.32,128.18,123.1,100.58,107.28,116.74,109.675,66.955,73.295,93.8988,102.5624,101.505,0.21,0.35,0.2,0.24,94.2380952380952,93.6314313616071,82.6299987792969,87.2833353678385,-4.46409606933594,-10.6373160226004,6.2662956237793,-10.9557164510091,9.04266720726377,2.94141235351562,0.681586313247681,3.05448214213053,-0.646826911717653,-0.148872341960669,-1.01073071733117,2.0598501265049,-3.08012815103644,-0.425349548459053,-5.05365358665586,8.58270886043708,0.21153846,0.66666667,0.43,0.27272727,0.84375,0.69767442,0.48,19.96,0.24,0.21,0.35,0.2,87.1781819661458,94.1639520554316,93.5605678013393,82.5241760253906,-9.90581893920898,-3.41243671235584,-9.46680559430804,7.70190353393555,1.9069972038269,8.2555650983538,1.87171827043806,-0.545189332962036,2.0598501265049,-0.646826911717653,-0.148872341960669,-1.01073071733117,8.58270886043708,-3.08012815103644,-0.425349548459053,-5.05365358665586,0.18367347,0.66666667,0.43,0.22222222,0.82352941,0.69767442,0.51,16,87.0843963623047,0.581672370433807,1,0.0625,103.763,4,0.25,"2024-09-06",0
"Michael King",19853,"2024-08-29","@STL",29,2024,"SDP","A",29,0,1,4.15384645857051,1,1,0,0,0,0,0,0,4.1,24,7,2,2,0,4,1,0,0,0,3,6.23076968785577,8.30769291714103,14.5384626049968,0.75,0,0,10,5,1,0,0,1,0,0.125,0.16666667,-0.04166667,6.26393567054271,0,0.35,2.53846172468198,0.411764705882353,0.81818182,4.55109526447997,-0.397248805909453,6.29572047656706,104.986608921595,112.474517253402,153.930124163564,2,0.0625,0.625,0.3125,0,0,1,2.07692322928526,38,65,103,-0.141812011599541,-0.493540108203888,0.351728081703186,-1.1360000371933,-0.119831226766109,1.03085923194885,0.837520003318787,0.870000004768372,2.28799986839294,1,1,-0.173506870865822,0.0359400652298639,0,0,0.61165049,93.77777778,0.10679612,80.63636364,0.09708738,85.5,0.18446602,87.21052632,0.03883495,0.799561321735382,-0.813893258571625,-0.0614034794270992,-2.23067688941956,1.26914495513553,-7.39902962337841,-0.614034794270992,-11.7404046811556,0.22222222,0.67346939,0.4368932,0.66666667,0.78787879,0.75555556,0.47572816,0.66666667,0.10679612,8,4,5,3,6,8,17,0.47058824,0.23529412,0.29411765,0.17647059,0.35294118,0.47058824,3.03938603756664,41,35.98316,29.75086,51.30948,33.73417,50.23781,32.93355,54.41799,35.95202,57.68498,53.87548,39.92562,52.02841,44.56245,36.78435,51.75369,0.46323,4.77194,67.92,102.42,78.48,90.64,107.08,89.52,88.8,113.42,100.94,105.667619047619,98.5790476190476,108.700952380952,88.8161165048544,106.887766990291,95.7182524271845,0.23300971,0.37864078,0.2038835,0.18446602,94.1333312988281,93.51025390625,82.8952404203869,87.1947342722039,-4.00652567545573,-9.25654875926482,4.67741176060268,-9.36228220086349,7.34609095255534,2.95751835749699,0.147083373296828,2.51319343165347,0.378706138581038,0.421508599072695,-0.928902458399534,-2.21307642385364,1.57794224408766,1.08079127967358,-4.42334503999778,-11.6477706518612,0.2244898,0.62962963,0.4368932,0.45454545,0.85294118,0.75555556,0.52427184,19.2625,0.18446602,0.23300971,0.37864078,0.2038835,87.3139327199836,94.2516174316406,93.6358235677083,82.9821544828869,-9.03685961271587,-3.60739199320475,-8.66490681966146,5.24876040504092,1.67750398736251,6.84169006347656,2.12046696589543,-0.574227242242722,-2.21307642385364,0.378706138581038,0.421508599072695,-0.928902458399534,-11.6477706518612,1.57794224408766,1.08079127967358,-4.42334503999778,0.20833333,0.63636364,0.4368932,0.5,0.82857143,0.75555556,0.53398058,17,84.5179977416992,4.22699689865112,3,0.17647059,102.676,8,0.47058824,"2024-08-29",0
"Michael King",19853,"2024-08-24","NYM",29,2024,"SDP","H",29,0,1,1.8,1,1,0,0,0,0,0,0,5,23,3,5,1,1,3,0,1,0,0,7,12.6,5.4,5.4,2.33333333,0.333333333,0,3,7,2,1,1,0,0,0.30434783,0.13043478,0.17391304,4.09625459592112,1.8,0.157894736842105,1.2,0.181818181818182,0.35714286,5.3664797782898,-3.5664797782898,4.88329154700041,45.4941938619235,132.303077205654,119.797757053039,0.428571428,0.166666666,0.25,0.583333333,0.142857142,0.142857142,1,1.8,34,51,85,-0.253907978534698,-0.545323967933655,0.291416019201279,-2.7153000831604,-0.296268403530121,0.94670432806015,0.716400027275085,0.870000004768372,0.220999985933304,1,1,0.0818538963794708,-0.350055879838203,0,0,0.55294118,93.59574468,0.17647059,82.13333333,0.11764706,84.8,0.15294118,86.76923077,NA,-0.588477194309235,-1.03884100914001,-0.0247114263474941,1.02835893630981,-1.25207913682816,-6.9256067276001,-0.247114263474941,7.91045335622934,0.29824561,0.57142857,0.38823529,0.58823529,0.75,0.66666667,0.32941176,0.65217391,0.12941176,5,4,3,2,8,2,12,0.41666667,0.33333333,0.25,0.16666667,0.66666667,0.16666667,4.64293023987301,44,58.06367,46.61308,49.38974,39.91024,60.12997,28.79272,78.19986,57.14667,72.43281,61.98239,48.38781,58.03419,64.68295,54.0501,58.45022,-0.78679,2.89691,72.68,108.72,94.78,110.46,98.38,99.12,99.36,126,129.62,117.528,106.028,122.512,103.14880952381,111.134285714286,115.21380952381,0.23529412,0.31764706,0.29411765,0.15294118,94.0150024414063,93.1777795862268,83.21599609375,86.7384596604567,-4.74199600219727,-11.4682571976273,5.0955078125,-12.1844177246094,9.12852478027344,3.76937837953921,1.33298629760742,3.37874485896184,-1.20388830453157,0.59515368938446,-1.06577388942242,1.08030639588833,-6.01944152265787,2.20427292364615,-4.26309555768967,8.31004919914099,0.29787234,0.5,0.38823529,0.5,0.78947368,0.66666667,0.44705882,18.56451613,0.15294118,0.23529412,0.31764706,0.29411765,86.6471322866587,93.9461730957031,93.1034342447917,83.12603515625,-11.2841233473558,-3.64286804199219,-10.3206617567274,6.56899963378906,2.23311526958759,8.42050247192383,2.66383926956742,0.173648128509521,1.08030639588833,-1.20388830453157,0.59515368938446,-1.06577388942242,8.31004919914099,-6.01944152265787,2.20427292364615,-4.26309555768967,0.3125,0.48648649,0.38823529,0.46666667,0.83333333,0.66666667,0.43529412,12,83.9945424397786,27.0025329589844,1,0.08333333,108.129,2,0.16666667,"2024-08-24",0
"Michael King",19853,"2024-08-19","MIN",29,2024,"SDP","H",29,1,0,3,1,1,1,0,0,0,0,0,6,25,4,2,2,0,3,0,1,0,0,6,9,4.5,6,2,0,0,6,5,4,0,0,0,0,0.24,0.12,0.12,4.46117548401489,0,0.19047619047619,1.16666666666667,0.266666666666667,0.75,3.1664797782898,-0.166479778289796,4.42648678347468,75.8236564365391,78.8033710472314,108.758739400463,1.2,0.266666666,0.4,0.333333333,0,0,5,7.5,32,53,85,0.0564379915595055,-0.353151917457581,0.409589916467667,0.741700053215027,0.0809274390339851,1.05534398555756,0.902166664600372,0.870000004768372,0.865400016307831,1,1,0.00733272265642881,0.0461455672015347,0,0,0.49411765,93.04761905,0.11764706,82,0.10588235,84,0.28235294,86.91666667,NA,0.0395241193473339,0.0445740483701229,0.350719302892685,1.09736680984497,0.0941050460650807,0.445740483701229,3.89688114325205,4.57236170768738,0.32075472,0.625,0.43529412,0.35294118,0.9,0.64864865,0.37647059,0.64,0.15294118,9,6,0,1,6,8,15,0.6,0.4,0,0.06666667,0.4,0.53333333,3.93827140158753,62,63.39263,39.74403,72.74396,39.48759,54.11764,38.90398,20,49.60516,34.94025,29.97665,47.7972,24.63825,34.67008,47.41503,43.46089,1.0778,5.69379,76.88,127.48,105.98,100.68,94.98,93.32,90.7,28.32,25.72,97.4126315789474,57.4452631578947,62.4263157894737,90.1769411764706,75.3762352941176,69.3112941176471,0.18823529,0.30588235,0.22352941,0.28235294,93.1500015258789,92.8576941856971,82.9578921669408,86.8624979654948,-4.78936433792114,-10.8403590275691,4.26228693911904,-11.5547040303548,8.55457401275635,3.22632452157828,1.32260232222708,3.54706414540609,0.36777837574482,-0.339386619627476,0.393505688756704,1.11191401258111,2.29861484840512,-1.30533315241337,2.07108257240371,4.63297505242129,0.32608696,0.56410256,0.43529412,0.4,0.81818182,0.64864865,0.45882353,18.3,0.28235294,0.18823529,0.30588235,0.22352941,87.0185546875,93.3143005371094,93.0304048978365,83.1036762438322,-10.3605677286784,-3.55981945991516,-9.36230116624099,5.92037040308902,2.29430468877157,7.69879674911499,2.0630931854248,0.050963420616953,1.11191401258111,0.36777837574482,-0.339386619627476,0.393505688756704,4.63297505242129,2.29861484840512,-1.30533315241337,2.07108257240371,0.32608696,0.56410256,0.43529412,0.4,0.81818182,0.64864865,0.45882353,15,91.4411946614583,15.6131968180339,1,0.06666667,104.602,6,0.4,"2024-08-19",0
"Michael King",19853,"2024-08-13","PIT",29,2024,"SDP","H",29,1,0,0,1,1,1,0,0,0,0,0,6,23,7,0,0,0,0,0,0,0,0,10,15,0,10.5,10,0,0,7,2,4,0,0,0,0,0.43478261,0,0.43478261,1.13885574332592,0,0.304347826086957,1.16666666666667,0.538461538461538,1,-0.166853555043538,0.166853555043538,0.337149247030418,0,-2.25678979886275,9.93693880509599,3.5,0.307692307,0.538461538,0.153846153,0,0,2,3,23,70,93,0.34057405591011,-0.236795991659164,0.577370047569275,2.74170017242432,0.299148947000504,1.14925217628479,1.08369994163513,0.870000004768372,1.30099999904633,1,1,0.168902009725571,0.127442050297088,0,0,0.58064516,93.53703704,0.11827957,82.81818182,0.06451613,85.33333333,0.23655914,87.22727273,NA,1.40454185009003,-0.279411554336548,0.0769123435020447,0.646377384662628,2.60100342609264,-2.54010503942316,1.28187239170074,2.93807902119376,0.44,0.62790698,0.52688172,0.54545455,0.77777778,0.67346939,0.46236559,0.82608696,0.17204301,7,3,3,3,7,3,13,0.53846154,0.23076923,0.23076923,0.23076923,0.53846154,0.23076923,1.03240349233605,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.5,143.64,123.26,102.84,81.72,75.66,99.48,142.42,136.66,115.38,92.32,99.6058823529412,98.2741935483871,122.454838709677,115.56623655914,0.1827957,0.39784946,0.1827957,0.23655914,94.1588206571691,93.1999973606419,83.711763269761,87.218184037642,-4.0634370691636,-10.796273721231,4.54996894387638,-11.2809170809659,8.52192687988281,2.73208432584196,1.5714235866771,2.90478238192472,0.73562466353178,0.680222429335117,-0.208611123263836,0.658183708786964,4.32720390312812,1.83843899820302,-1.22712425449315,2.99174413084984,0.46511628,0.58,0.52688172,0.5,0.79310345,0.67346939,0.53763441,18.94285714,0.23655914,0.1827957,0.39784946,0.1827957,87.0979170365767,94.0349336511948,93.0765479835304,83.5728544347427,-10.2170611294833,-3.00077774945427,-9.64271504170186,5.97249693029067,1.62747175043279,7.62585269703585,1.5853903486922,0.280986757839427,0.658183708786964,0.73562466353178,0.680222429335117,-0.208611123263836,2.99174413084984,4.32720390312812,1.83843899820302,-1.22712425449315,0.47727273,0.57142857,0.52688172,0.52380952,0.78571429,0.67346939,0.52688172,13,82.7339242788462,7.56350708007812,0,0,106.069,3,0.23076923,"2024-08-13",0
"Michael King",19853,"2024-08-07","@PIT",29,2024,"SDP","A",29,0,0,5.4,1,1,0,0,0,0,0,0,5,23,6,4,3,1,2,0,0,0,0,7,12.6,3.6,10.8,3.5,0.25,0,8,3,3,0,2,0,0,0.30434783,0.08695652,0.21739131,3.05723569246737,1.8,0.285714285714286,1.6,0.384615384615385,0.60606061,4.1664797782898,1.23352022171021,2.47368482202292,136.48258158577,103.12141930106,61.5678669628146,2.666666666,0.214285714,0.571428571,0.214285714,0,0.333333333,5,9,37,57,94,-0.161385923624039,-0.54952597618103,0.388140022754669,-1.39499998092651,-0.139013454318047,0.89136666059494,0.96152001619339,0.870000004768372,1.56620001792908,1,1,-0.269793838262558,0.0887393623005312,0,0,0.5106383,92.8125,0.17021277,82.625,0.05319149,85,0.26595745,85.84,NA,-0.809326648712158,0.168029472231865,-0.0661226287484169,-1.17951118946075,-1.686097184817,1.05018420144916,-1.32245257496834,-4.71804475784302,0.30909091,0.53846154,0.40425532,0.64705882,0.9047619,0.78947368,0.41489362,0.69565217,0.08510638,7,3,4,5,6,3,14,0.5,0.21428571,0.28571429,0.35714286,0.42857143,0.21428571,4.30249344727955,43,44.4426,43.18643,56.41675,34.55535,51.54461,32.0258,44.56775,47.59321,44.77848,58.45256,50.08323,56.85067,44.18572,47.86032,49.02974,0.48663,4.80704,85.04,100.04,83.82,90.32,83.96,73.96,100.74,103.16,105.14,111.102857142857,98.0790476190476,111.64380952381,97.0497872340426,98.098085106383,95.7204255319149,0.15957447,0.34042553,0.22340426,0.27659574,93.3933349609375,92.6031265258789,83.0809500558036,85.9230769230769,-4.70301259358724,-10.3932218551636,5.22939591180711,-10.7588888315054,7.93068542480469,3.52775502204895,2.11730938866025,2.2063773228572,-0.278019722551107,-0.508875902742147,0.141183126717806,-1.21847262978554,-1.85346481700738,-1.59023719606921,0.672300603418123,-4.68643319148284,0.30769231,0.52380952,0.40425532,0.625,0.86363636,0.76315789,0.44680851,17.42857143,0.26595745,0.15957447,0.35106383,0.22340426,85.706796875,93.3327555338542,92.4234730113636,83.0162062872024,-10.1273272705078,-3.93838729858398,-9.55386167584044,6.51788984026228,1.15079963684082,7.32484079996745,2.58808228463838,1.11483619326637,-1.19422969594598,-0.278019722551107,-0.533118836581707,0.141183126717806,-4.77691878378391,-1.85346481700738,-1.61551162600517,0.672300603418123,0.31372549,0.51162791,0.40425532,0.625,0.86363636,0.76315789,0.45744681,14,76.5395769391741,-5.81308310372489,1,0.07142857,105.346,2,0.14285714,"2024-08-07",0
"Michael King",19853,"2024-07-27","@BAL",29,2024,"SDP","A",29,1,0,2.84210540581279,1,1,1,0,0,0,0,0,6.1,23,2,2,2,0,2,0,0,0,0,9,12.7894743261575,2.84210540581279,2.84210540581279,4.5,0,0,4,4,3,0,0,1,0,0.39130435,0.08695652,0.30434783,2.53565724908946,0,0.0952380952380952,0.631578979069508,0.166666666666667,0.5,1.27174284108127,1.57036256473151,2.22669556662739,71.8329412822597,32.7270667798838,55.5991928858105,1,0.272727272,0.363636363,0.363636363,0,0,8,11.3684216232511,35,66,101,0.246200025081635,-0.0277600008994341,0.273960024118423,2.3989999294281,0.257956981658936,0.505913019180298,0.703428566455841,0.870000004768372,0.166000008583069,1,1,0.310056269168854,0.176588698933644,0,0,0.52475248,93.90566038,0.14851485,81.93333333,NA,NA,0.32673267,87,NA,0.626972913742065,0.534329831600189,NA,2.02580261230469,1.18296776177748,3.5621988773346,NA,6.13879579486269,0.33898305,0.57142857,0.43564356,0.65,0.75,0.70454545,0.41584158,0.73913043,0.12871287,4,5,3,2,7,3,12,0.33333333,0.41666667,0.25,0.16666667,0.58333333,0.25,1.77605129433959,73,54.00671,55.64403,47.23998,55.09936,47.10409,55.75409,55.71862,59.99319,62.8391,60.89812,59.49736,56.18053,55.74828,54.89409,55.29028,-0.23171,3.72953,71.24,97.48,75.96,80.94,109.66,95.98,87.68,114.78,103.7,113.6,96.3,112.2,83.9558415841584,104.710099009901,93.3764356435644,0.32673267,0.1980198,0.14851485,0.32673267,94.366669625947,92.8900024414063,81.9,86.978789358428,-4.5394287109375,-9.78670272827148,7.93261973063151,-10.045673717152,8.13900017015862,2.30332775115967,2.3823855082194,2.16819138960405,0.53496615216136,0.133504956960678,0.538669768720865,2.0286555364728,1.62110955200412,0.667524784803391,3.59113179147243,6.14744101961454,0.35294118,0.52,0.43564356,0.72222222,0.69230769,0.70454545,0.4950495,18.06410256,0.32673267,0.32673267,0.1980198,0.14851485,86.9736550071023,94.3860529119318,92.9077941894531,81.8982014973958,-9.83509318033854,-4.01702973336884,-9.13137817382812,8.66106567382812,1.05761233243075,7.38958324085582,1.37725629806519,1.28599077860514,2.0286555364728,0.53496615216136,0.133504956960678,0.538669768720865,6.14744101961454,1.62110955200412,0.667524784803391,3.59113179147243,0.30769231,0.57142857,0.43564356,0.625,0.75,0.70454545,0.48514851,12,88.5260009765625,15.7636122270064,0,0,109.016,5,0.41666667,"2024-07-27",0
