"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","XX%","wFB","wSL","wCT","wCB","wCH","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_o_FS","pb_s_FS","pb_c_FS","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_s_FS","sp_l_FS","sp_p_FS","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxFS%","pfxSI%","pfxSL%","pfxCU%","pfxvFA","pfxvFC","pfxvFS","pfxvSI","pfxvSL","pfxvCU","pfxFA-X","pfxFC-X","pfxFS-X","pfxSI-X","pfxSL-X","pfxCU-X","pfxFA-Z","pfxFC-Z","pfxFS-Z","pfxSI-Z","pfxSL-Z","pfxCU-Z","pfxwFA","pfxwFC","pfxwFS","pfxwSI","pfxwSL","pfxwCU","pfxwFA/C","pfxwFC/C","pfxwFS/C","pfxwSI/C","pfxwSL/C","pfxwCU/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piFC%","piSI%","piSL%","pivCH","pivCU","pivFA","pivFC","pivSI","pivSL","piCH-X","piCU-X","piFA-X","piFC-X","piSI-X","piSL-X","piCH-Z","piCU-Z","piFA-Z","piFC-Z","piSI-Z","piSL-Z","piwCH","piwCU","piwFA","piwFC","piwSI","piwSL","piwCH/C","piwCU/C","piwFA/C","piwFC/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Marcus Stroman",13431,"2024-09-25","BAL",9,2024,"NYY","H",33,0,1,16.2000015449525,1,1,0,0,0,0,0,0,3.1,19,10,6,6,0,0,0,0,0,0,1,2.70000025749209,0,27.0000025749209,1,0.09090909,0,11,3,4,0,1,0,0,0.05263158,0,0.05263158,3.88474294973533,0,0.526315789473684,3.00000028610232,0.555555555555556,0.4,2.56647972106933,13.6335218238832,3.92728741644575,401.977962573584,60.2665245515933,95.8558970095109,3.666666666,0.222222222,0.611111111,0.166666666,0,0,1,2.70000025749209,27,39,66,-0.321019977331161,-0.510435998439789,0.189416021108627,-3.54990005493164,-0.368629276752472,0.931872725486755,0.692300021648407,0.870000004768372,0.44200000166893,1,1,-0.26923006772995,-0.0752590116810604,0,0,0.51515152,90.20588235,0.15151515,83.4,0.18181818,88.83333333,0.04545455,77.66666667,0.10606061,84,NA,-0.359438121318817,-1.4586273431778,-0.40815994143486,0.00517852231860161,-0.832897305488586,-1.05717094505534,-14.586273431778,-3.4013328452905,0.172617410620054,-11.8985329355512,0.25581395,0.69565217,0.40909091,0.90909091,0.9375,0.92592593,0.34848485,0.47368421,0.03030303,5,10,3,1,9,8,18,0.27777778,0.55555556,0.16666667,0.05555556,0.5,0.44444444,3.70851374929509,22,80,47.78812,80,20,44.92017,20,26.71076,44.96577,23.9654,20,24.04322,36.13537,62.62504,48.69427,63.98756,26.43572,32.39526,45.71225,41.92405,41.3153,40.8381,0.62714,5.0178,108.8,122.465,120.425,111.76,182.86,224.2,95.74,92.44,100.74,113.88,34.48,13.92,89.82,123.44,119.28,68.64,84.12,53.3,93.860303030303,102.892727272727,101.776060606061,0.03030303,0.18181818,0.10606061,0.48484848,0.01515152,0.18181818,88.4499969482422,88.8083292643229,83.8999982561384,90.2406234741211,86.3000030517578,81.6333312988281,-3.98948574066162,0.256909787654877,-8.30956922258649,-5.75378894805908,2.82815599441528,8.98981730143229,5.81544017791748,3.72418530782064,1.61045401436942,1.66419208049774,-1.79790925979614,-2.60696983337402,-0.0338878780603409,-0.416346427053213,-0.846081826835871,-0.335069686174393,-0.565348207950592,-0.913180738687515,-1.69439390301704,-3.46955355877678,-12.0868832405124,-1.04709276929498,-56.5348207950592,-7.60983948906263,0.11764706,0.71875,0.40909091,1,0.91304348,0.92592593,0.48484848,17.9787234,0.12121212,0.04545455,NA,0.18181818,0.5,0.15151515,83.8614120483398,77.3295288085938,NA,88.419443766276,89.8765684185606,82.9225891113281,-8.47043418884277,8.54409344991048,NA,0.359624107678731,-5.68819311893348,8.87559127807617,0.173271864652634,-6.69145329793294,NA,2.87901020050049,0.874847296512488,-2.94834403991699,-0.87032476067543,0.00434239581227303,NA,-0.416346427053213,-0.344714630395174,-1.48287134245038,-10.8790595084429,0.144746527075768,NA,-3.46955355877678,-1.04458978907628,-14.8287134245038,0.17142857,0.67741935,0.40909091,1,0.9047619,0.92592593,0.46969697,18,93.8771362304688,6.83196851942274,1,0.05555556,108.577,12,0.66666667,"2024-09-25",0
"Marcus Stroman",13431,"2024-09-17","@SEA",9,2024,"NYY","A",33,0,0,3,1,0,0,0,0,1,0,0,3,14,5,1,1,1,0,0,0,0,0,3,9,0,15,3,0.25,0,4,3,4,0,1,0,0,0.21428571,0,0.21428571,3.01907092477084,3,0.357142857142857,1.66666666666667,0.4,1,5.49981311162313,-2.49981311162313,2.67848818451166,74.4403563403663,131.197782294142,64.7888072114456,1.333333333,0.363636363,0.363636363,0.272727272,0,0.333333333,1,3,22,42,64,0.00154399999883026,-0.00413999985903502,0.0056839999742806,0.28999999165535,0.0329358354210854,0.021028570830822,0.0157999992370605,0.0274000000208616,NA,0,1,-0.0552206672728062,0.128644582347776,0,0,0.390625,90,0.203125,82.92307692,0.203125,88.92307692,0.078125,77.2,0.125,83.375,NA,0.6591437458992,-1.73839437961578,-0.599887609481812,0.37486806511879,0.249135836958885,2.6365749835968,-13.372264458583,-4.61452007293701,7.49736130237579,3.11419796198606,0.2972973,0.55555556,0.40625,0.90909091,0.86666667,0.88461538,0.421875,0.71428571,0.046875,5,3,3,2,7,2,11,0.45454545,0.27272727,0.27272727,0.18181818,0.63636364,0.18181818,7.85297499356732,NA,22.36476,47.54177,20,62.8085,37.49799,80,80,32.79143,80,27.66498,27.47426,22.47536,58.61746,45.94802,62.19579,47.60821,40.45679,61.42247,55.74271,37.39035,66.89685,-0.23136,3.73005,90.32375,65.86375,50.335,44.92,176.04,147.14,77.54,163.52,152.5,97.34,119.44,114.4,89.32,133.08,119.64,48.24,141.14,92.58,78.04625,129.5303125,111.2684375,0.0625,0.203125,0.125,0.328125,0.03125,0.25,90.0999984741211,88.8000018780048,83.2249984741211,89.9380929129464,84.8500061035156,80.8874969482422,-3.55965518951416,0.171088108649621,-9.13027381896973,-6.79581633068266,1.12561249732971,8.7637939453125,6.00715160369873,4.04554249690129,1.54077315330505,1.66267249697731,-0.765791893005371,-1.72243630886078,0.321114428341389,-0.609959855675697,0.251735053956509,0.388003751635551,0.0120918154716492,-1.3382306098938,8.02786070853472,-4.69199888981306,3.14668817445636,1.84763691255025,0.604590773582458,-8.36394131183624,0.21428571,0.55555556,0.40625,0.83333333,0.9,0.88461538,0.5625,17.08,0.125,0.078125,NA,0.203125,0.390625,0.203125,83.4746170043945,77.2980407714844,NA,89.0362361027644,90.212333984375,83.2271822415865,-9.05376625061035,9.36888198852539,NA,0.667724976172814,-5.98041687011719,8.36982609675481,-0.056965995579958,-4.67112579345703,NA,3.02495692326472,1.10638000488281,-2.69593752347506,0.251735053956509,0.421898446977139,NA,-0.609959855675697,0.70911817997694,-1.74803724139929,3.14668817445636,8.43796893954277,NA,-4.69199888981306,2.83647271990776,-13.4464403184561,0.23076923,0.52631579,0.40625,0.83333333,0.9,0.88461538,0.59375,11,87.0169788707386,8.05187502774325,1,0.09090909,104.931,3,0.27272727,"2024-09-17",0
"Marcus Stroman",13431,"2024-09-10","KCR",9,2024,"NYY","H",33,0,1,5.06250030174853,1,1,0,0,0,0,0,0,5.1,24,7,3,3,0,2,0,0,0,0,4,6.75000040233138,3.37500020116569,11.8125007040799,2,0,0,11,3,3,0,0,0,0,0.16666667,0.08333333,0.08333333,4.00956242161889,0,0.318181818181818,1.68750010058284,0.388888888888889,0.66666667,2.79147975593805,2.27102054581048,3.64198453513189,125.618108811791,65.7072751722865,88.7582547250125,3.666666666,0.176470588,0.647058823,0.176470588,0,0,0,0,33,56,89,-0.103003978729248,-0.469852030277252,0.366848051548004,-0.567900002002716,-0.0589719600975513,1.0045280456543,0.762400031089783,0.870000004768372,0.548799991607666,1,1,-0.152195930480957,0.0496562560787788,0,0,0.38202247,90.26470588,0.26966292,82.5,0.21348315,88.78947368,0.07865169,77,0.05617978,83.2,NA,0.201423108577728,-0.686840236186981,0.28252312541008,0.355127036571503,-0.383774846792221,0.592420907581554,-2.86183431744576,1.48696381794779,5.0732433795929,-7.67549693584442,0.3125,0.76,0.43820225,0.7,0.84210526,0.76923077,0.28089888,0.5,0.1011236,8,6,3,5,6,6,18,0.47058824,0.35294118,0.17647059,0.29411765,0.35294118,0.35294118,3.07466619372534,48,56.47892,50.12617,51.44496,20,20,20,25.61708,38.22969,24.554,28.44746,36.57408,36.13067,38.65186,36.95821,40.27958,39.2746,32.33064,36.57441,32.26452,38.01924,26.86667,1.22725,5.91797,102.695,108.475,102.075,39.48,-163.7,-212.14,91.94,86.94,83.76,94.24,76.28,55.92,87.12,111,103.6,67.3,126.58,77.18,91.8075,95.1793181818182,85.8231818181818,0.02247191,0.21348315,0.05617978,0.35955056,0.03370787,0.31460674,89.8000030517578,88.6368408203125,83.0400024414062,90.3000030517578,84.2000020345052,80.9428536551339,-4.60432291030884,-0.558087148164448,-8.92025146484375,-6.51759147644043,2.35690291722616,8.74166107177734,6.0563907623291,3.72542732640317,1.92285575866699,1.9728342294693,-0.957792599995931,-1.50395774841309,-0.367042943835258,0.28299693018198,-0.402158781886101,0.563737720251083,0.112001650035381,-0.455189969390631,-18.3521471917629,1.48945752727358,-8.04317563772202,1.76168037578464,3.73338833451271,-1.6256784621094,0.27083333,0.65853659,0.4494382,0.61538462,0.85185185,0.775,0.46067416,17.61538462,0.05617978,0.07865169,NA,0.21348315,0.39325843,0.25842697,83.0130981445313,76.8955426897321,NA,88.4337158203125,90.151904296875,82.3665930706522,-9.04719619750977,8.34148134504046,NA,0.0997934215947201,-6.06581028529576,9.0507348102072,0.682778215408325,-4.04709734235491,NA,2.70844790810033,1.27228404453823,-2.43817205014436,-0.402158781886101,0.358777713030577,NA,0.493420962244272,0.608082301914692,-0.877341359853745,-8.04317563772202,5.12539590043681,NA,2.59695243286459,1.73737800547055,-3.81452765153802,0.33333333,0.60526316,0.4494382,0.64705882,0.86956522,0.775,0.42696629,18,89.0717845243566,2.87316311106962,0,0,105.805,7,0.38888889,"2024-09-10",0
"Marcus Stroman",13431,"2024-09-04","@TEX",9,2024,"NYY","A",33,0,1,12.2727294007612,1,1,0,0,0,0,0,0,3.2,21,9,5,5,0,1,0,0,0,0,3,7.36363764045674,2.45454588015225,22.0909129213702,3,0,1,8,3,5,0,0,1,1,0.14285714,0.04761905,0.0952381,4.21401253409554,0,0.45,2.72727320016916,0.529411764705882,0.5,2.34829781823905,9.9244315825222,3.58539581965486,304.528783287185,54.9906439325502,87.3504650176477,2.666666666,0.3125,0.5,0.1875,0,0,0,0,33,55,88,-0.240719959139824,-0.471232056617737,0.230512097477913,-3.35400009155273,-0.348286628723145,0.879113018512726,0.708100020885468,0.870000004768372,0.225199997425079,1,1,-0.355258911848068,0.081437509968397,0,0,0.40909091,89.72222222,0.42045455,83.05405405,0.02272727,88,0.03409091,76,0.11363636,83.4,NA,-0.0346309766173363,-0.957722365856171,-0.502868592739105,-0.0146267227828503,-1.14425885677338,-0.0961971572703785,-2.5884388266383,-25.1434296369553,-0.487557426095009,-11.4425885677338,0.32075472,0.65714286,0.45454545,0.70588235,1,0.875,0.39772727,0.42857143,0.05681818,6,4,7,1,11,5,17,0.35294118,0.23529412,0.41176471,0.05882353,0.64705882,0.29411765,4.5157542522133,29,48.43315,46.94811,39.11719,80,41.74356,80,30.63093,38.04197,32.40451,49.46402,33.42834,56.73679,80,38.90651,80,38.43501,34.13756,56.05286,40.93788,36.2922,42.18349,0.68841,5.10971,75.6972727272727,106.098181818182,92.9545454545455,77.38,139.96,110.92,82.38,102.62,93.5,90.7,128,108.56,81.9,126.9,108.28,50.02,123.64,83.58,78.5085057471264,113.012413793103,96.2781609195402,0.03409091,0.02272727,0.11363636,0.375,0.20454545,0.25,89.3666687011719,87.8499984741211,83.3799987792969,89.7121212121212,84.1833292643229,80.9772727272727,-3.96280352274577,0.0809439048171043,-8.68161239624023,-5.94660024931937,2.04756355285645,8.21435477516868,6.25435384114583,2.91717886924744,1.85356750488281,2.21191383130623,-2.02749951680501,-1.32342087138783,0.00431566312909126,-0.510574247688055,-1.15913388133049,-0.0434202365577221,-1.0574425496161,0.113230362534523,0.143855437636375,-25.5287123844028,-11.5913388133049,-0.13157647441734,-5.87468083120055,0.514683466066014,0.31818182,0.59090909,0.45454545,0.71428571,0.96153846,0.875,0.5,18.52238806,0.11363636,0.03409091,0.01136364,0.02272727,0.39772727,0.42045455,83.7801879882813,76.2084350585938,90.6931991577148,88.274299621582,90.0595354352679,83.3542546452703,-8.29206619262695,7.00502332051595,-2.58070993423462,0.72509753704071,-5.38464965820313,6.02210050015836,0.675801753997803,-5.13187344868978,6.07020998001099,1.89372503757477,1.42939823695592,-2.60785654428843,-1.15913388133049,-0.0153234489262104,0,-0.510574247688055,-0.0391045734286308,-0.928888738155365,-11.5913388133049,-0.51078163087368,0,-25.5287123844028,-0.111727352653231,-2.51051010312261,0.325,0.5625,0.45454545,0.69230769,0.96296296,0.875,0.54545455,17,87.9346923828125,8.43072032928467,1,0.05882353,108.74,5,0.29411765,"2024-09-04",0
"Marcus Stroman",13431,"2024-08-30","STL",9,2024,"NYY","H",33,1,0,2.57142857142857,1,1,1,0,0,0,0,0,7,27,9,2,2,0,0,0,0,0,0,5,6.42857142857143,0,11.5714285714286,5,0,0,11,5,6,0,0,0,0,0.18518519,0,0.18518519,3.30018450521496,0,0.333333333333333,1.28571428571429,0.409090909090909,0.77777778,1.73790834971837,0.833520221710205,2.81791435416256,63.8060197203139,40.2307489767287,68.2573914497912,2.2,0.272727272,0.5,0.227272727,0,0,4,5.14285714285714,28,70,98,0.163400009274483,-0.443163961172104,0.606563985347748,1.43709993362427,0.149231553077698,1.08499252796173,1.07891428470612,0.870000004768372,1.43720006942749,1,1,0.164333522319794,-0.0137333982973303,0,0,0.32653061,90.59375,0.25510204,84.04,0.18367347,88.72222222,0.12244898,76,0.1122449,84.72727273,NA,1.12327754497528,-0.435051202774048,-0.0215152911841869,0.957912504673004,-0.592304885387421,3.51024232804775,-1.74020481109619,-0.119529395467705,7.98260420560837,-5.38458986715837,0.4516129,0.63888889,0.52040816,0.67857143,0.95652174,0.80392157,0.36734694,0.66666667,0.10204082,9,12,1,1,13,8,22,0.40909091,0.54545455,0.04545455,0.04545455,0.59090909,0.36363636,3.02019112779758,62,51.21113,47.47185,50.29241,29.5749,44.66504,20,60.03133,38.16452,60.92156,74.66291,32.86843,80,78.88515,36.3262,80,52.01674,35.03724,66.13946,62.72597,37.78445,70.20501,-0.66521,3.07928,110.975555555556,102.026666666667,94.6755555555555,131.2,108.32,93.26,93.78,123.02,119.7,101.04,143.86,131.26,87.24,153.06,134.08,74.22,120.82,94.54,96.2434693877551,124.483265306122,113.532448979592,0.01020408,0.18367347,0.1122449,0.31632653,0.10204082,0.2755102,90.5999984741211,88.6555582682292,84.7090897993608,90.5548371345766,85.4,79.885181568287,-1.52844727039337,0.21620339817471,-8.39330361106179,-6.22539495652722,2.16966876983643,9.03046445493345,8.1329927444458,3.08880911933051,1.09140708229759,2.0714606008222,-1.82345142364502,-2.04319650155527,-0.0210469514131546,0.0178488977253437,-0.603391285985708,1.20494832843542,-0.420800987631083,0.947670295834541,-2.10469514131546,0.0991605429185761,-5.4853753271428,3.88693009172716,-4.20800987631083,3.50988998457237,0.46428571,0.5952381,0.52040816,0.65384615,0.96,0.80392157,0.42857143,18.45070423,0.1122449,0.12244898,0.01020408,0.15306122,0.34693878,0.25510204,84.3389337713068,75.5962320963542,90.1937026977539,88.0795572916667,90.1113712086397,83.61390625,-8.36887290261009,9.97353998819987,-0.813628017902374,1.18214225769043,-5.5707348094267,6.88952758789063,-0.485645467584783,-5.71578089396159,7.15725994110107,1.76735852559408,1.00595003015855,-2.63595947265625,-0.603391285985708,0.973168738186359,-0.0210469514131546,-0.231939505785704,1.45473673194647,-0.446299429982901,-5.4853753271428,8.10973948488633,-2.10469514131546,-1.54626337190469,4.27863744690138,-1.7851977199316,0.45454545,0.60465116,0.52040816,0.64,0.96153846,0.80392157,0.43877551,22,90.9905617453835,8.13857685435902,1,0.04545455,105.172,10,0.45454545,"2024-08-30",0
"Marcus Stroman",13431,"2024-08-25","COL",9,2024,"NYY","H",33,1,0,5.4,1,1,0,0,0,0,0,0,5,23,5,3,3,0,3,0,0,0,0,5,9,5.4,9,1.66666667,0.375,0,8,1,6,0,3,0,0,0.2173913,0.13043478,0.08695652,4.27041149805263,0,0.25,1.6,0.333333333333333,0.625,2.96647977828979,2.43352022171021,3.26888145953417,133.992641412659,69.9389699841878,79.4763569970834,8,0.4,0.533333333,0.066666666,0,0,4,7.2,41,56,97,-0.0362119451165199,-0.441727995872498,0.405516058206558,-0.544900000095367,-0.0565835982561111,1.05416667461395,0.93479996919632,0.870000004768372,1.45160007476807,1,1,-0.157475188374519,0.123123936349045,0,0,0.26804124,90.69230769,0.36082474,83.51428571,0.21649485,88.28571429,0.01030928,76,0.1443299,84.14285714,NA,-1.16197085380554,0.577261447906494,-0.554949641227722,-0.0238054171204567,0.147368401288986,-4.46911866848285,1.64931842258998,-2.64261733917963,-2.38054171204567,1.05263143777847,0.21428571,0.65853659,0.40206186,0.75,0.92592593,0.87179487,0.42268041,0.65217391,0.05154639,8,6,1,2,7,6,15,0.53333333,0.4,0.06666667,0.13333333,0.46666667,0.4,5.72817038394569,49,60.19631,50.1254,59.64598,20,57.52187,20,52.04226,27.97424,58.50521,22.14991,37.47437,39.67683,41.85258,40.2185,45.96057,34.83366,33.65561,49.46411,42.36758,37.75086,49.42062,0.59958,4.97646,88.84,111.139,103.425,79.86,57.28,33.36,80.08,100.72,88.42,86.94,91.94,78.14,77.34,119.14,107.26,57.68,124.06,76.88,79.1892783505155,108.328659793814,91.6637113402062,0.01030928,0.21649485,0.1443299,0.25773196,0.15463918,0.21649485,90.6999969482422,88.1904761904762,84.0928606305804,90.667998046875,84.4666666666667,82.3238118489583,-2.43777894973755,-0.532005310058594,-9.04567010062081,-6.8561962890625,1.78736559549967,8.14083426339286,7.97605895996094,3.09661974225725,2.60518755231585,2.14523803710938,-2.36736119588216,-0.834704353695824,-0.0242429338395596,-0.520595107227564,0.189735300838947,-0.0792038403451443,-0.245326556265354,0.796952728182077,-2.42429338395596,-2.47902432013126,1.35525214884962,-0.316815361380577,-1.63551037510236,3.79501299134323,0.16666667,0.63265306,0.40206186,0.5,0.93548387,0.84615385,0.50515464,17.2972973,0.1443299,0.01030928,0.01030928,0.20618557,0.25773196,0.37113402,83.7051304408482,75.9961013793945,90.3543014526367,87.9167663574219,90.275234375,83.1045600043403,-8.93357086181641,9.2963399887085,-2.22174000740051,0.0652350425720215,-6.50543579101562,6.09249877929688,1.27021312713623,-4.19693994522095,7.5706000328064,2.30775012969971,1.02384925842285,-2.76877890692817,0.189735300838947,-0.0242429338395596,-0.0242429338395596,-0.482516784220934,-0.0792038403451443,0.537790782749653,1.35525214884962,-2.42429338395596,-2.42429338395596,-2.41258392110467,-0.316815361380577,1.4938632854157,0.17021277,0.62,0.40206186,0.5,0.93548387,0.84615385,0.51546392,15,88.537109375,0.363018353780111,1,0.06666667,108.866,8,0.53333333,"2024-08-25",0
"Marcus Stroman",13431,"2024-08-18","@DET",9,2024,"NYY","A",33,0,0,0,1,1,1,0,0,0,0,0,6,24,4,0,0,0,2,0,0,1,0,5,7.5,3,6,2.5,0,0,5,8,4,0,0,0,0,0.20833333,0.08333333,0.125,4.57439748720499,0,0.181818181818182,1,0.235294117647059,1,2.49981311162313,-2.49981311162313,4.51582431991895,0,58.6544519270909,110.497264782744,0.625,0.235294117,0.294117647,0.470588235,0,0,1,1.5,34,53,87,0.361723959445953,-0.198739990592003,0.560463964939117,2.87999987602234,0.303797483444214,1.16326403617859,1.09893333911896,0.870000004768372,1.9099999666214,1,1,0.248650833964348,0.0623051899442432,0,0,0.25287356,90.05555556,0.36781609,83.5,0.14942529,88.7,0.05747126,75.6,0.17241379,84.13333333,NA,0.995142161846161,-0.0371508970856667,0.33814537525177,0.959143698215485,-1.16965913772583,4.5233734629371,-0.116096553392708,2.60111827116746,19.1828739643097,-7.79772758483887,0.2244898,0.65789474,0.4137931,0.45454545,0.92,0.77777778,0.43678161,0.45833333,0.09195402,8,5,4,1,13,3,17,0.47058824,0.29411765,0.23529412,0.05882353,0.76470588,0.17647059,3.13490658509084,68,42.66264,42.87674,37.81726,NA,NA,NA,33.69674,26.71099,43.30325,55.38538,31.81777,59.09241,75.65615,37.65847,76.08769,44.08452,27.42609,51.06991,45.04919,31.52891,48.09695,0.43299,4.72658,72.532380952381,102.349523809524,76.54,NA,NA,NA,65.48,144.26,103.92,85.12,123.22,115.14,71.52,156.78,137.8,39.46,156.14,110.76,66.9992307692308,132.037435897436,103.708717948718,NA,0.12820513,0.19230769,0.23076923,0.17948718,0.26923077,NA,88.6099975585937,84.0733317057292,90.0333319769965,85.0142822265625,80.6619059244792,NA,0.863216590881348,-7.70261688232422,-5.32573699951172,2.59935597011021,8.48350742885045,NA,3.00572052001953,1.73797899881999,2.63108698527018,-2.82608822413853,-2.2795163109189,NA,0.100088812410831,-0.667607869952917,0.85076804459095,0.531607560813427,0.114488214254379,NA,1.00088812410831,-4.45071913301945,4.72648913661639,3.79719686295305,0.545181972639901,0.16216216,0.65853659,0.42307692,0.33333333,0.85185185,0.75757576,0.52564103,16.6031746,0.19230769,0.06410256,NA,0.12820513,0.23076923,0.38461538,84.0327718098958,75.5544189453125,NA,88.5650390625,89.9803195529514,83.4992513020833,-7.61150716145833,8.43157577514648,NA,1.26360950469971,-5.14370727539062,6.34006754557292,0.471255588531494,-5.83495216369629,NA,2.23586120605469,1.69673739539252,-3.3930290222168,-0.667607869952917,1.0135902762413,NA,0.100088812410831,0.85076804459095,-0.367494501173496,-4.45071913301945,20.271805524826,NA,1.00088812410831,4.72648913661639,-1.22498167057832,0.18421053,0.65,0.42307692,0.28571429,0.88461538,0.75757576,0.51282051,17,91.3289969308036,16.2536980765206,0,0,106.985,5,0.29411765,"2024-08-18",0
"Marcus Stroman",13431,"2024-08-11","TEX",9,2024,"NYY","H",33,1,0,1.8,1,1,0,0,0,0,0,0,5,20,4,1,1,0,3,0,0,0,0,1,1.8,5.4,7.2,0.33333333,0,0,9,2,5,0,0,0,0,0.05,0.15,-0.1,6.40612158401489,0,0.235294117647059,1.4,0.25,0.85714286,4.56647977828979,-2.76647977828979,5.17128314077854,44.6642138042198,108.628746179948,126.803487212943,4.5,0.3125,0.5625,0.125,0,0,5,9,37,52,89,0.197404026985168,-0.171631947159767,0.369035959243774,0.83709990978241,0.086926281452179,0.869300007820129,0.906199991703033,0.870000004768372,1.05199992656708,1,1,0.111091636121273,0.115992253455792,0,0,0.40449438,89.88888889,0.21348315,83.21052632,0.14606742,88.30769231,0.05617978,76.6,0.17977528,83.125,NA,-0.855741322040558,-0.331720590591431,1.94768607616425,0.447471857070923,-0.442028135061264,-2.37705922789044,-1.74589784521806,14.9822005858788,8.94943714141846,-2.7626758441329,0.29310345,0.67741935,0.42696629,1,0.95238095,0.97368421,0.34831461,0.45,0.01123596,8,6,2,2,9,5,16,0.5,0.375,0.125,0.125,0.5625,0.3125,7.31608189981888,53,59.0731,45.71622,62.16157,27.77242,45.26296,26.2754,43.45752,34.68976,46.4129,36.41081,39.37781,38.15505,69.36188,39.65791,77.64797,33.71216,32.73541,50.1697,45.42999,36.01159,53.4821,0.40933,4.69109,95.71,105.547142857143,99.5385714285714,104.32,100.94,54.92,85.66,109.2,109.22,93.6,115.2,98.86,75.88,122.76,117.16,69.22,99.56,68.14,84.4878651685393,109.116404494382,98.3880898876405,0.03370787,0.13483146,0.17977528,0.38202247,0.11235955,0.15730337,90.3333333333333,88.0750020345052,82.9937515258789,89.7794117647059,84.35,79.8285696847098,-2.52618153889974,-0.734708229700724,-8.83755493164062,-6.00200877470129,2.11894264221191,7.99294825962612,7.20455042521159,3.98485533396403,2.63996696472168,2.10674644919003,-2.26107997894287,-1.50422246115548,-0.0897959321737289,1.94038354977965,-0.45131403952837,-0.703182641416788,-0.59084789082408,0.683327902108431,-2.9931977391243,16.1698629148304,-2.82071274705231,-2.06818423946114,-5.9084789082408,4.88091358648879,0.18181818,0.66666667,0.42696629,1,0.96666667,0.97368421,0.50561798,17.79710145,0.17977528,0.05617978,0.03370787,0.13483146,0.38202247,0.21348315,82.9519424438477,76.5035034179687,90.310068766276,88.0204060872396,89.7395234949448,83.0200902035362,-8.47837352752686,9.05857391357422,-2.00064341227214,-0.0253447443246841,-5.59711635813994,5.65630260266756,1.25884664058685,-4.34113616943359,6.52888997395833,2.93089485168457,0.939401738783892,-2.98139813071803,-0.45131403952837,0.43506321310997,-0.0897959321737289,1.94038354977965,-0.703182641416788,-0.342583201825619,-2.82071274705231,8.7012642621994,-2.9931977391243,16.1698629148304,-2.06818423946114,-1.80306948329273,0.19565217,0.6744186,0.42696629,1,0.96551724,0.97368421,0.48314607,16,84.4823532104492,8.19528198242188,0,0,107.725,4,0.25,"2024-08-11",0
