"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","CB%","CBv","CH%","CHv","XX%","wFB","wCB","wCH","wFB/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxSL%","pfxCH%","pfxvFA","pfxvSI","pfxvSL","pfxvCH","pfxFA-X","pfxSI-X","pfxSL-X","pfxCH-X","pfxFA-Z","pfxSI-Z","pfxSL-Z","pfxCH-Z","pfxwFA","pfxwSI","pfxwSL","pfxwCH","pfxwFA/C","pfxwSI/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piSI%","piSL%","pivCH","pivFA","pivSI","pivSL","piCH-X","piFA-X","piSI-X","piSL-X","piCH-Z","piFA-Z","piSI-Z","piSL-Z","piwCH","piwFA","piwSI","piwSL","piwCH/C","piwFA/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Buck Farmer",14814,"2024-09-29","@CHC",18,2024,"CIN","A",33,0,0,0,1,0,0,0,0,1,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,1,2,0,0,0,0,0,0,0.25,-0.25,10.3741040840149,0,0,1,0,1,6.1664797782898,-6.1664797782898,9.19049659073353,0,141.829889871805,223.88448361004,0.5,0,0.333333333,0.666666666,0,0,0,0,6,13,19,0.088016003370285,-0.0331479981541634,0.121164001524448,1.07299995422363,0.115005351603031,1.3225599527359,1.7059999704361,1.7059999704361,NA,0,1,0.0289108045399189,0.0376389221384155,1,0,0.47368421,91.77777778,0.42105263,81.75,0.10526316,85.5,NA,0.0473910719156265,0.313820481300354,0.0365940518677235,0.526567465729184,3.92275601625443,1.82970259338617,0.3,0.55555556,0.42105263,0.66666667,1,0.875,0.47368421,1,0.05263158,1,1,1,1,2,0,3,0.33333333,0.33333333,0.33333333,0.33333333,0.66666667,0,4.67992225969705,NA,46.44107,48.73844,28.97025,69.90261,28.09578,80,44.55902,23.26182,62.93927,74.61481,53.90469,67.33615,65.21856,40.50143,72.54701,-0.82006,2.847,95.74,102.02,92.64,82.52,140.38,89.1,84.64,117.9,91.5,109.08,117.08,121.96,95.7642105263158,119.432631578947,104.066315789474,0.15789474,0.31578947,0.42105263,0.10526316,91.5999959309896,91.8833312988281,81.6875,85.3000030517578,-7.0265146891276,-9.31640434265137,5.16777992248535,-9.45770835876465,8.37428538004557,4.52357864379883,2.07880997657776,-0.398175895214081,0.297078493982553,-0.252090986818075,0.316362861543894,0.0369229912757874,9.90261646608512,-4.20151644696792,3.95453576929867,1.84614956378937,0.375,0.45454545,0.42105263,0.66666667,1,0.875,0.57894737,18.78571429,0.10526316,0.15789474,0.31578947,0.42105263,86.0026550292969,92.3026631673177,92.5653686523438,82.3699111938477,-9.01436996459961,-6.77812321980794,-9.06775156656901,5.68204498291016,-2.35553503036499,7.23459688822428,3.35817654927572,0.746038794517517,0.0369229912757874,0.297078493982553,-0.252090986818075,0.316362861543894,1.84614956378937,9.90261646608512,-4.20151644696792,3.95453576929867,0.42857143,0.41666667,0.42105263,0.66666667,1,0.875,0.63157895,3,83.8736572265625,36.9773864746094,0,0,93.5403,0,0,"2024-09-29",0
"Buck Farmer",14814,"2024-09-28","@CHC",18,2024,"CIN","A",33,0,1,9,1,0,0,0,0,0,0,0,1,4,1,1,1,0,0,0,0,0,0,0,0,0,9,0,0,0,1,2,1,1,0,0,0,0,0,0,6.91672908401489,0,0.25,1,0.25,0,3.1664797782898,5.8335202217102,6.19049659073353,205.19992942694,73.6482366464374,151.387312822842,0.5,0.25,0.25,0.5,0.5,0,0,0,2,6,8,-0.0506840124726295,-0.13569600880146,0.0850119963288307,-0.134999975562096,-0.0144694512709975,1.30599999427795,1.64880001544952,1.50440001487732,2.1159999370575,1,1,-0.0013076183386147,-0.0375009671856533,0,0,0.25,92.5,0.5,81,0.25,86,NA,0.177677512168884,-0.417449176311493,0.210907548666,8.88387560844421,-10.4362294077873,10.5453774333,0.33333333,1,0.75,0,1,0.83333333,0.625,0.75,0.125,2,0,2,1,2,1,4,0.5,0,0.5,0.25,0.5,0.25,3.38155565735381,NA,43.2725,34.41326,61.06253,NA,NA,NA,39.73468,43.5042,45.31951,80,51.99517,80,70.76287,49.35614,74.81947,-1.16451,2.33033,82.86,113.04,99.24,NA,NA,NA,82.38,98.06,93.66,101.94,129.08,141,92.28,117.315,118.725,NA,0.25,0.5,0.25,NA,92.1499938964844,80.9500045776367,85.9499969482422,NA,-9.6382007598877,4.01897001266479,-7.17736768722534,NA,4.04489517211914,2.82307457923889,1.01053714752197,NA,0.17969099059701,-0.438355803489685,0.213400099426508,NA,8.98454952985048,-10.9588950872421,10.6700049713254,0.33333333,1,0.75,0,1,0.83333333,0.625,17.5,0.25,NA,0.25,0.5,86.5173492431641,NA,92.7252502441406,81.5245208740234,-7.2294750213623,NA,-9.558424949646,4.4009952545166,-0.235645055770874,NA,2.81823492050171,1.46419978141785,0.213400099426508,NA,0.17969099059701,-0.438355803489685,10.6700049713254,NA,8.98454952985048,-10.9588950872421,0.5,1,0.75,0.5,1,0.83333333,0.5,4,90.4646987915039,26.7490158081055,0,0,104.47,1,0.25,"2024-09-28",0
"Buck Farmer",14814,"2024-09-25","@CLE",18,2024,"CIN","A",33,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,2,0,0,0,0,0,0,0.33333333,0,0.33333333,-0.694826464786218,0,0,0,0,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,28.1938011628592,29.9783111930123,2,0,1,0,0,0,1,9,4,7,11,0.0411280319094658,0,0.0411280319094658,0.479999989271164,0.0506329126656055,0.548666656017303,0.728399991989136,0.728399991989136,1.79919993877411,1,1,0.0751117914915085,-0.000151829083716887,0,0,0.27272727,92,0.36363636,82.5,0.36363636,87,NA,0.145727783441544,0.212001845240593,0.332753449678421,4.85759278138479,5.30004613101482,8.31883624196053,0.3,1,0.36363636,0.66666667,1,0.75,0.09090909,0.66666667,0.09090909,2,0,0,0,2,0,2,1,0,0,0,1,0,-0.230934060923212,NA,45.73244,51.37568,37.45037,NA,NA,NA,80,41.59823,80,39.87338,45.22741,45.08302,62.53091,50.53783,66.21604,-0.65309,3.09746,99.7,96.48,95.5,NA,NA,NA,84.54,157.64,152.58,101.06,107.66,108.64,96.06,117.225454545455,115.845454545455,NA,0.27272727,0.36363636,0.36363636,NA,92.2333374023438,82.2750015258789,86.9499969482422,NA,-9.46337381998698,5.64304828643799,-9.63981628417969,NA,4.38868713378906,0.702153503894806,-0.502340972423553,NA,0.147504448890686,0.214279226958752,0.336915243417025,NA,4.91681496302287,5.35698067396879,8.42288108542562,0.25,0.66666667,0.36363636,0.5,1,0.75,0.27272727,17.25,0.36363636,NA,0.27272727,0.36363636,86.8590469360352,NA,92.1548360188802,82.1510009765625,-9.22291278839111,NA,-9.30497678120931,6.46025991439819,-1.98263704776764,NA,3.43965339660645,-0.786331474781036,0.336915243417025,NA,0.147504448890686,0.214279226958752,8.42288108542562,NA,4.91681496302287,5.35698067396879,0.25,0.66666667,0.36363636,0.5,1,0.75,0.27272727,2,83.0208282470703,-19.7505855560303,0,0,84.2363,0,0,"2024-09-25",0
"Buck Farmer",14814,"2024-09-22","PIT",18,2024,"CIN","H",33,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,1,0,0,0,0,2,18,9,9,2,0,0,0,0,1,0,0,0,0,0.5,0.25,0.25,3.79922908401489,0,0.333333333333333,2,1,1,2.1664797782898,-2.1664797782898,2.1664797782898,0,50.9210189046483,54.144034788745,0,1,0,0,0,0,0,0,8,8,16,0.040350005030632,-0.0343399941921234,0.0746899992227554,0.560999989509583,0.0530496425926685,0.709800004959106,0.666000008583069,0.666000008583069,0.555999994277954,1,1,0.0252076368778944,0.031639368967022,0,0,0.4375,92.85714286,0.5625,83,NA,NA,NA,-0.191404014825821,-0.0651674866676331,NA,-2.7343430689403,-0.724083185195923,NA,0.16666667,1,0.375,0,1,0.66666667,0.25,0.75,0.125,0,1,0,0,1,0,1,0,1,0,0,1,0,5.97376142588412,NA,NA,NA,NA,20,28.30295,20,73.63762,38.07239,80,32.52932,52.99443,26.23498,46.59441,48.12408,47.39699,0.33699,4.58258,NA,NA,NA,70.98,127.48,69.46,94.52,140.5,135.76,107.92,80.54,89.7,99.115,105.145,101.56375,0.0625,0.375,0.5625,NA,91.5999984741211,92.7000020345052,83,NA,-7.9433274269104,-9.88691838582357,3.2315182156033,NA,6.89917802810669,4.23680877685547,2.55064243740506,NA,-0.0242429338395596,-0.171374812722206,-0.0705049298703671,NA,-2.42429338395596,-2.85624687870343,-0.783388109670745,NA,0.2,0.66666667,0.375,0,1,0.66666667,0.375,19.33333333,NA,0.125,0.3125,0.5625,NA,91.9530029296875,93.3414611816406,83.3986680772569,NA,-8.17331504821777,-9.77920837402344,4.03091345893012,NA,5.68829488754272,2.75478610992432,1.1418538623386,NA,0.160528633743525,-0.35614638030529,-0.0705049298703671,NA,8.02643168717623,-7.1229276061058,-0.783388109670745,0.22222222,0.57142857,0.375,0,1,0.66666667,0.4375,1,106.059852600098,11.3755769729614,0,0,106.06,1,1,"2024-09-22",0
"Buck Farmer",14814,"2024-09-21","PIT",18,2024,"CIN","H",33,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,1,0,0,0,0,0,0.33333333,0,0.33333333,1.87828464271067,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,28.1938011628592,66.5170884121943,1,0,0.5,0.5,0,0,1,9,5,8,13,0.0152699882164598,0,0.0152699882164598,0.560999989509583,0.0530496463179588,0.192666679620743,0.304000020027161,0.304000020027161,0.131999999284744,1,1,0.0802823305130005,-0.00102634163875323,0,0,0.46153846,92.83333333,0.30769231,83.25,0.23076923,87,NA,0.609485745429993,0.0166349038481712,0.0907827615737915,10.1580957571665,0.415872596204281,3.02609205245972,0.25,0.8,0.46153846,0,1,0.66666667,0.38461538,0.66666667,0.15384615,1,1,0,0,1,1,2,0.5,0.5,0,0,0.5,0.5,-0.392924839570395,NA,80,55.07585,80,20,20,40.27646,68.04915,20,68.52162,26.55635,51.4621,23.7853,58.06362,37.51603,61.07474,-0.37555,3.51377,105.78,159,161.22,81.52,112.56,29.7,88.8,167.22,133.16,105.66,86.38,89.3,97.3461538461538,136.244615384615,118.181538461538,0.07692308,0.38461538,0.30769231,0.23076923,93,92.5599975585938,83.2750015258789,87.0333353678385,-7.44010448455811,-9.778955078125,3.60667777061462,-9.50382359822591,6.0435152053833,4.18866119384766,2.66784977912903,-0.443814714749654,-0.0380783230066299,0.655340988188982,0.0164074786007404,0.0916969515383244,-3.80783230066299,13.1068197637796,0.410186965018511,3.05656505127748,0.28571429,0.66666667,0.46153846,0,1,0.66666667,0.46153846,17.55555556,0.23076923,0.07692308,0.38461538,0.30769231,87.4112345377604,93.3392028808594,92.9329772949219,83.6472244262695,-9.28996022542318,-7.14834022521973,-9.51198196411133,4.41304016113281,-2.16735013326009,5.38323020935059,3.09273796081543,0.998591542243958,0.0916969515383244,-0.0380783230066299,0.655340988188982,0.0164074786007404,3.05656505127748,-3.80783230066299,13.1068197637796,0.410186965018511,0.28571429,0.66666667,0.46153846,0,1,0.66666667,0.46153846,2,100.769271850586,20.4260921478271,0,0,108.256,1,0.5,"2024-09-21",0
"Buck Farmer",14814,"2024-09-17","ATL",18,2024,"CIN","H",33,0,0,0,1,0,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,2,27.000028163224,0,13.500014081612,2,0,0,0,1,0,0,0,0,0,0.66666667,0,0.66666667,-0.078604246671107,0,0.333333333333333,1.50000156462356,1,1,-2.83352648020443,2.83352648020443,-0.565511505147663,0,-62.7152120424582,-11.8765114327557,0,0,0,1,0,0,0,0,3,17,20,0.0197600014507771,-0.0483899973332882,0.0681499987840652,0.212999999523163,0.0201418437063694,1.07466661930084,1.0349999666214,1.0349999666214,1.43400001525879,1,1,-0.00608963193371892,0.0244767308683006,0,0,0.5,92.2,0.4,82.5,0.1,86.5,NA,-0.664378464221954,0.497611850500107,-0.0207000374794006,-6.64378464221954,6.22014813125134,-1.03500187397003,0.57142857,0.84615385,0.75,0.5,0.90909091,0.8,0.65,1,0.15,0,1,0,0,0,1,1,0,1,0,0,0,1,-1.81690392675247,NA,80,59.94736,80,67.01056,20,80,65.17641,24.59622,80,64.03606,49.39249,72.36052,74.40658,38.88393,80,-1.39088,1.99077,131.98,109.84,133.04,78.48,174.44,106.36,93.24,110.74,80.58,138.58,107.08,111.46,114.512,112.371,99.467,0.05,0.45,0.4,0.1,92.0999984741211,92.1999986436632,82.5374984741211,86.1500015258789,-7.33760404586792,-9.25433180067274,3.829341173172,-7.57040357589722,7.24854469299316,4.38106494479709,2.63864064216614,-1.63323438167572,-0.859671711921692,0.150198332965374,0.492069441825151,-0.0210469514131546,-85.9671711921692,1.66887036628193,6.15086802281439,-1.05234757065773,0.57142857,0.84615385,0.75,0.5,0.90909091,0.8,0.65,20.64705882,0.1,0.05,0.45,0.4,86.0858993530273,92.0711975097656,92.1768527560764,82.4965972900391,-7.34840488433838,-7.02465009689331,-9.04543982611762,4.53288269042969,-3.24270009994507,6.41828012466431,3.34626219007704,1.11384034156799,-0.0210469514131546,-0.859671711921692,0.150198332965374,0.492069441825151,-1.05234757065773,-85.9671711921692,1.66887036628193,6.15086802281439,0.5,0.91666667,0.75,0.5,0.90909091,0.8,0.6,1,100.07292175293,20.4790725708008,0,0,100.073,1,1,"2024-09-17",0
"Buck Farmer",14814,"2024-09-13","@MIN",18,2024,"CIN","A",33,0,0,27.000028163224,1,0,0,0,0,0,0,0,0.1,3,2,1,1,0,0,0,0,0,0,0,0,0,54.0000563264481,0,0,0,2,0,1,0,0,0,0,0,0,0,2.31606242325356,0,0.666666666666667,6.00000625849423,0.666666666666667,0.5,3.1664797782898,23.8335483849342,3.1664797782898,615.600430402106,73.6482366464374,78.3097583844777,2,0.333333333,0.666666666,0,0,0,0,0,6,9,15,-0.0560759976506233,-0.0731039941310883,0.0170280020684004,-2.05399990081787,-0.215303972363472,0.795333385467529,0.288800001144409,0.577600002288818,0.817599952220917,1,1,-0.0888578593730927,0.0183515802764852,0,0,0.33333333,93,0.4,82.16666667,0.26666667,87,NA,-0.158458635210991,-0.091991014778614,-0.465370923280716,-3.16917270421982,-1.53318357964357,-11.6342730820179,0.33333333,0.5,0.4,1,0.33333333,0.66666667,0.4,1,0.13333333,1,1,1,0,2,1,3,0.33333333,0.33333333,0.33333333,0,0.66666667,0.33333333,6.67242761573905,NA,42.85734,37.78796,39.2237,NA,NA,NA,71.6121,23.91517,80,69.31399,51.09692,80,65.41636,41.15364,80,-0.83235,2.82857,92.88,90.6,74.16,NA,NA,NA,89.78,157.12,141.5,122.32,116.96,117.16,103.622666666667,123.317333333333,113.806666666667,NA,0.33333333,0.4,0.26666667,NA,92.7400024414062,81.9333343505859,86.9250030517578,NA,-10.4209762573242,6.04600397745768,-7.93899011611938,NA,3.75502281188965,1.7298477490743,0.655568599700928,NA,-0.160412967205048,-0.0944354049861431,-0.472831673920155,NA,-3.20825934410095,-1.57392341643572,-11.8207918480039,0.28571429,0.5,0.4,1,0.5,0.66666667,0.53333333,17.33333333,0.26666667,NA,0.33333333,0.4,86.8237762451172,NA,92.6383422851563,81.8335673014323,-7.78830766677856,NA,-10.3682983398438,6.62112299601237,-0.659590005874634,NA,2.72991600036621,0.432551026344299,-0.472831673920155,NA,-0.160412967205048,-0.0944354049861431,-11.8207918480039,NA,-3.20825934410095,-1.57392341643572,0.25,0.57142857,0.4,1,0.5,0.66666667,0.46666667,3,90.5420837402344,3.41532897949219,0,0,102.036,1,0.33333333,"2024-09-13",0
"Buck Farmer",14814,"2024-09-11","@STL",18,2024,"CIN","A",33,0,1,27.000028163224,1,0,0,0,0,0,0,0,0.1,5,2,1,1,0,1,1,1,0,0,1,27.000028163224,27.000028163224,54.0000563264481,1,0,0,0,1,1,0,0,0,0,0.2,0.2,0,6.14436908401489,0,0.666666666666667,9.00000938774135,1,0.75,15.1664922952783,11.8335358679458,19.7025222453918,615.600430402106,346.375134024229,477.915190011763,0,0.5,0,0.5,0,0,0,0,10,14,24,-0.317472040653229,-0.405860036611557,0.0883879959583282,-2.05599999427795,-0.216877639293671,2.27926659584045,1.79919993877411,1.79919993877411,1.35199999809265,1,1,-0.0969916135072708,-0.0422953138019782,0,1,0.39130435,92.88888889,0.47826087,83,0.13043478,87.33333333,0.20833333,-0.618034601211548,-1.09658253192902,0.452791392803192,-6.86705112457275,-9.9689321084456,15.0930464267731,0.30769231,0.7,0.47826087,0.75,0.71428571,0.72727273,0.43478261,0.4,0.125,0,2,0,0,1,1,2,0,1,0,0,0.5,0.5,12.2877149547248,NA,80,57.42708,80,20,22.51223,20,80,43.88803,80,62.92549,58.99182,51.14704,53.97864,46.30667,50.32601,-0.12177,3.89444,47.62,120.48,124.44,85.38,94.36,55.8,111.98,202.18,212.16,116.4,98.4,106.6,98.7121739130435,107.058260869565,97.6704347826087,0.33333333,0.08333333,0.45833333,0.125,92.8000030517578,92.6999969482422,82.9272738370028,87.2000020345052,-6.43379497528076,-8.36259269714355,4.84901740334251,-9.2522341410319,7.60045528411865,4.21430492401123,2.63379582491788,1.0034601688385,-0.669015180319548,0.00256896764039993,-1.1117766238749,0.459499768912792,-8.36268975399435,0.128448382019997,-10.1070602170446,15.3166589637597,0.25,0.66666667,0.45833333,0.33333333,0.875,0.72727273,0.5,23,0.125,0.33333333,0.08333333,0.45833333,87.4660034179688,93.0613098144531,92.9575042724609,83.1846923828125,-8.98276329040527,-6.18529605865479,-8.15652942657471,5.3497446233576,-0.402278661727905,6.8256311416626,3.12461996078491,1.54121659018777,0.459499768912792,-0.669015180319548,0.00256896764039993,-1.1117766238749,15.3166589637597,-8.36268975399435,0.128448382019997,-10.1070602170446,0.25,0.66666667,0.45833333,0.33333333,0.875,0.72727273,0.5,2,99.6156692504883,18.5814266204834,1,0.5,105.676,1,0.5,"2024-09-11",0
"Buck Farmer",14814,"2024-09-08","@NYM",18,2024,"CIN","A",33,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,0,1,0,0,0,0,0,0.66666667,0,0.66666667,-0.078604246671107,0,0,0,0,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-17.260634320719,18.1856412207288,0,0,0,1,0,0,2,18,3,12,15,0.101593993604183,0,0.101593993604183,0.458999991416931,0.0499184317886829,1.37793338298798,1.78779995441437,1.78779995441437,1.71159994602203,1,1,0.0737273767590523,1.87231674989019e-06,1,0,0.33333333,93.8,0.4,82.5,0.26666667,88.25,NA,0.132020100951195,0.428203076124191,0.210907563567162,2.6404020190239,7.13671793540319,5.27268908917904,0.5,0.55555556,0.53333333,0.33333333,0.8,0.625,0.6,1,0.2,0,0,1,0,1,0,1,0,0,1,0,1,0,-1.81690392675247,NA,66.40188,66.70569,61.63174,80,46.53503,80,79.28691,47.10872,80,68.02788,62.28848,64.25099,79.4882,63.72166,80,-1.70658,1.51722,127.72,110.46,129.5,93.46,116.42,93.24,97.12,92.52,87.5,149.42,106.66,127.86,125.712,106.146666666667,115.609333333333,0.13333333,0.2,0.4,0.26666667,94.1500015258789,93.2333374023438,82.5333353678385,88.0500030517578,-8.8656063079834,-10.7298151652018,4.63433583577474,-10.7188940048218,8.10115814208984,4.35713609059652,4.21663761138916,-0.569899559020996,0.054773960262537,0.0787287354469299,0.432944167405367,0.213400099426508,2.73869801312685,2.62429118156433,7.21573612342278,5.3350024856627,0.42857143,0.625,0.53333333,0.33333333,0.8,0.625,0.53333333,18.09090909,0.26666667,0.13333333,0.2,0.4,87.9344253540039,94.0088043212891,93.0842997233073,82.3825327555339,-10.4871473312378,-8.5754451751709,-10.4267667134603,5.3680731455485,-2.10871505737305,7.16081523895264,3.23295021057129,2.96543121337891,0.213400099426508,0.054773960262537,0.0787287354469299,0.432944167405367,5.3350024856627,2.73869801312685,2.62429118156433,7.21573612342278,0.42857143,0.625,0.53333333,0.33333333,0.8,0.625,0.53333333,1,85.41015625,44.2322807312012,0,0,85.4102,0,0,"2024-09-08",0
"Buck Farmer",14814,"2024-09-06","@NYM",18,2024,"CIN","A",33,0,0,27.000028163224,1,0,0,0,0,0,0,0,0.1,4,3,1,1,0,0,0,0,0,0,1,27.000028163224,0,81.0000844896721,1,0,0,0,0,3,0,0,0,0,0.25,0,0.25,2.72685408401489,0,0.75,9.00000938774135,1,0.66666667,-2.83352648020443,29.8335546434285,-2.83352648020443,615.600430402106,-62.7152120424582,-66.6847344309602,0,1,0,0,0,0,2,54.0000563264481,6,8,14,-0.278136014938354,-0.300815999507904,0.0226799882948399,-1.6949999332428,-0.184339314699173,1.10780000686646,0.95849996805191,1.91699993610382,1.5025999546051,1,1,-0.185871779918671,-0.0651988223690974,0,1,0.42857143,93.16666667,0.35714286,82,0.21428571,87.33333333,NA,-0.797288239002228,-0.0727178305387497,-0.2668576836586,-13.2881373167038,-1.45435661077499,-8.89525612195333,0.125,0.83333333,0.42857143,0,0.8,0.66666667,0.42857143,0.25,0.14285714,2,0,1,1,2,0,3,0.66666667,0,0.33333333,0.33333333,0.66666667,0,15.2723565285373,NA,77.2161,67.22268,80,NA,NA,NA,43.66227,54.09944,47.26383,20,46.85805,20,29.14813,57.36211,25.77187,1.42086,6.20838,132,136.28,172.66,NA,NA,NA,106.46,100.1,115.58,102.3,24.26,37.68,110.447142857143,80.7671428571429,99.99,NA,0.42857143,0.35714286,0.21428571,NA,92.9833374023438,81.9400024414062,87.4333292643229,NA,-10.6138547261556,6.88592071533203,-9.53950627644857,NA,3.90834204355876,1.04856929779053,-1.75602499643962,NA,-0.810036707669497,-0.0744487233459949,-0.271281257271767,NA,-13.5006117944916,-1.4889744669199,-9.04270857572556,0.16666667,0.625,0.42857143,0,0.8,0.66666667,0.57142857,16.9,0.21428571,NA,0.42857143,0.35714286,87.5467325846354,NA,93.1288350423177,82.0681640625,-9.06055323282878,NA,-10.2337233225505,7.77622604370117,-2.99362659454346,NA,2.80780347188314,-0.28718900680542,-0.271281257271767,NA,-0.810036707669497,-0.0744487233459949,-9.04270857572556,NA,-13.5006117944916,-1.4889744669199,0.16666667,0.625,0.42857143,0,0.8,0.66666667,0.57142857,3,88.0160420735677,15.0799407958984,0,0,99.7615,1,0.33333333,"2024-09-06",0
