"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","CT%","CTv","CB%","CBv","CH%","CHv","wFB","wCT","wCB","wCH","wFB/C","wCT/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSL%","pfxCU%","pfxCH%","pfxvFA","pfxvFC","pfxvSL","pfxvCU","pfxvCH","pfxFA-X","pfxFC-X","pfxSL-X","pfxCU-X","pfxCH-X","pfxFA-Z","pfxFC-Z","pfxSL-Z","pfxCU-Z","pfxCH-Z","pfxwFA","pfxwFC","pfxwSL","pfxwCU","pfxwCH","pfxwFA/C","pfxwFC/C","pfxwSL/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piFC%","piSL%","pivCH","pivCU","pivFA","pivFC","pivSL","piCH-X","piCU-X","piFA-X","piFC-X","piSL-X","piCH-Z","piCU-Z","piFA-Z","piFC-Z","piSL-Z","piwCH","piwCU","piwFA","piwFC","piwSL","piwCH/C","piwCU/C","piwFA/C","piwFC/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Gavin Williams",30122,"2024-09-22","@STL",5,2024,"CLE","A",24,0,0,1.58823547231287,1,1,0,0,0,0,0,0,5.2,22,4,1,1,0,2,0,0,0,0,3,4.7647064169386,3.17647094462574,6.35294188925147,1.5,0,0,9,7,1,1,0,0,0,0.13636364,0.09090909,0.04545455,5.25262164067042,0,0.2,1.05882364820858,0.235294117647059,0.83333333,3.1664797782898,-1.57824430597693,5.03425507788732,39.895999392857,77.9208590801313,123.394562042398,1.285714285,0.058823529,0.529411764,0.411764705,0.142857142,0,1,1.58823547231287,29,57,86,0.125835970044136,-0.411487996578217,0.537323951721191,1.6599999666214,0.175105482339859,1.2569454908371,1.09893333911896,0.870000004768372,1.26639997959137,1,1,0.102888159453869,-0.00277564784421096,0,0,0.47674419,94.2195122,0.37209302,88.6875,0.11627907,76.3,0.03488372,87,0.351845562458038,0.453246504068375,1.08269166946411,-0.0276161134243011,0.85815990843424,1.41639532521367,10.8269166946411,-0.920537114143372,0.26666667,0.63414634,0.44186047,1,0.88461538,0.92105263,0.47674419,0.77272727,0.03488372,5,6,6,5,9,3,17,0.29411765,0.35294118,0.35294118,0.29411765,0.52941176,0.17647059,1.82669601725202,61,20,40.67056,20,44.2588,57.54091,38.59765,51.69304,47.91166,52.92507,39.90858,38.64716,44.00497,61.02224,50.80586,71.3245,44.31119,44.24558,46.24263,0.47884,4.79535,79.1,65.72,51.82,110.32,68.02,64.8,96.02,92.62,84.64,88.06,109.94,101.24,74.64,91.88,86.7,93.506511627907,94.4258139534884,86.6886046511628,0.47674419,0.04651163,0.3255814,0.11627907,0.03488372,94.2585389672256,90.5,88.2892892020089,76.4099975585937,86.7000020345052,-7.13431009432165,-0.54631769657135,0.630837644849505,5.75031700134277,-8.30647341410319,8.87720619759908,4.16491460800171,3.67199325561523,-8.51703186035156,3.7147699991862,0.390909560024738,0.0399839729070663,0.411302484571934,1.0998208746314,-0.0285969004034996,0.95343795127985,0.999599322676659,1.46893744489976,10.998208746314,-0.953230013449987,0.26829268,0.6,0.44186047,1,0.88888889,0.92105263,0.52325581,17.48387097,0.03488372,0.11627907,0.47674419,0.37209302,NA,87.173828125,76.8757385253906,94.7378048780488,89.0289077758789,NA,-8.1901798248291,6.37917098999023,-6.61107802972561,1.00082552433014,NA,3.12192344665527,-9.86390075683594,8.1788612923971,2.97873902320862,NA,-0.0285969004034996,1.0998208746314,0.390909560024738,0.451286457479,NA,-0.953230013449987,10.998208746314,0.95343795127985,1.41027017962188,NA,0.26829268,0.6,0.44186047,1,0.88888889,0.92105263,0.52325581,17,87.0383228975184,6.68657594568589,0,0,101.467,8,0.47058824,"2024-09-22",0
"Gavin Williams",30122,"2024-09-17","MIN",5,2024,"CLE","H",24,0,1,3.6,1,1,0,0,0,0,0,0,5,22,5,2,2,0,2,0,0,0,0,7,12.6,3.6,9,3.5,0.142857142,0,7,2,4,0,1,0,0,0.31818182,0.09090909,0.22727273,2.95871874391909,0,0.25,1.4,0.384615384615385,0.71428571,1.5664797782898,2.03352022171021,2.17128314077854,90.4309218110653,37.6034688092695,52.1707784388908,3.5,0.307692307,0.538461538,0.153846153,0,0,1,1.8,32,57,89,-0.0180919766426086,-0.410196006298065,0.392104029655457,0.399999916553497,0.0421940982341766,1.04732728004456,0.973839998245239,0.870000004768372,0.952000021934509,1,1,0.040103368461132,-0.0573777935499533,0,0,0.40449438,96.80555556,0.43820225,92.07692308,0.14606742,79.53846154,0.01123596,90,1.06547248363495,0.0259375236928463,-0.584850668907166,-0.0968978852033615,2.95964578787486,0.0665064710072982,-4.49885129928589,-9.68978852033615,0.30188679,0.77777778,0.49438202,0.375,0.85714286,0.68181818,0.40449438,0.72727273,0.15730337,6,4,3,3,3,7,13,0.46153846,0.30769231,0.23076923,0.23076923,0.23076923,0.53846154,2.93292048151593,56,20,56.27714,20,20,53.12958,20,63.3912,59.7235,42.03959,NA,NA,NA,55.52023,43.21888,42.44178,47.97067,51.14875,24.60723,0.25149,4.45433,48.24,-89.7,-114.32,91.78,31.52,26.9,106.74,106.48,114.52,NA,NA,NA,102.08,121.22,124.38,101.855505617978,99.7856179775281,103.471011235955,0.40449438,0.43820225,NA,0.14606742,0.01123596,96.7250027126736,91.9487179487179,NA,79.3384634164663,90.1999969482422,-7.02870178222656,-0.217796130058093,NA,4.93691194974459,-10.4745140075684,9.15113406711155,4.15713696602063,NA,-8.66640061598558,6.12746858596802,1.12201932072639,0.0590942576527596,NA,-0.598128885030746,-0.0991095378994942,3.1167203353511,0.151523737571178,NA,-4.60099142331343,-9.91095378994942,0.33333333,0.65909091,0.49438202,0.33333333,0.86206897,0.68181818,0.49438202,19.28358209,0.01123596,0.14606742,0.40449438,0.43820225,NA,90.1414031982422,79.229736328125,96.6319783528646,91.8316681690705,NA,-9.61826038360596,6.12620309682993,-6.3875855339898,0.625134932689178,NA,4.55205011367798,-10.5182131253756,8.47589280870226,3.19821949494191,NA,-0.0991095378994942,-0.598128885030746,1.12201932072639,0.0590942576527596,NA,-9.91095378994942,-4.60099142331343,3.1167203353511,0.151523737571178,NA,0.32608696,0.6744186,0.49438202,0.33333333,0.86206897,0.68181818,0.48314607,13,92.151113656851,5.45233741173377,0,0,109.354,7,0.53846154,"2024-09-17",0
"Gavin Williams",30122,"2024-09-12","TBR",5,2024,"CLE","H",24,0,1,5.06250030174853,1,1,0,0,0,0,0,0,5.1,24,7,3,3,1,2,0,0,0,0,5,8.43750050291422,3.37500020116569,11.8125007040799,2.5,0,0,3,9,5,0,0,0,0,0.20833333,0.08333333,0.125,4.91067352927586,1.68750010058284,0.318181818181818,1.68750010058284,0.375,0.78947368,4.85397987887264,0.208520422875893,4.96799407116781,127.168491376643,120.443109165954,121.746149236541,0.333333333,0.294117647,0.176470588,0.529411764,0,0.111111111,2,3.37500020116569,30,60,90,-0.149467974901199,-0.570367932319641,0.420899957418442,-0.999999940395355,-0.10548523068428,1.0202499628067,0.975799977779388,0.870000004768372,2.05200004577637,1,1,-0.203405484557152,0.0569041561081766,0,0,0.5,95.64444444,0.25555556,88.86956522,0.2,79,0.04444444,88.75,-2.46490168571472,0.627842724323273,-0.257397651672363,-0.0322868302464485,-5.47755930158827,2.72975097531858,-1.42998695373535,-0.807170756161213,0.32,0.625,0.45555556,0.625,0.76,0.70731707,0.44444444,0.75,0.13333333,4,8,5,1,10,6,17,0.23529412,0.47058824,0.29411765,0.05882353,0.58823529,0.35294118,6.01747068095315,43,42.07109,43.95933,41.94179,38.09518,58.95049,41.02352,70.07811,54.81044,69.06258,80,49.37527,80,80,51.48541,80,68.96869,52.40144,72.7965,-1.05304,2.49753,80.08,100.82,75.48,99.1,89.18,87.44,99.02,117.12,119.3,96.88,132.18,136.4,111.38,157.38,156.12,97.9568539325843,115.508764044944,116.107191011236,0.5,0.02222222,0.23333333,0.2,0.04444444,95.6555555555556,90.3499984741211,88.7190464564732,78.9888916015625,88.7249984741211,-6.96819797092014,-0.015738271176815,1.62601870582217,4.93135282728407,-9.54906463623047,9.24392971462674,3.44595837593079,2.79896563575381,-8.21788109673394,6.11536359786987,-2.47165710106492,0.273570865392685,0.401224076747894,-0.225649040192366,-0.0332007221877575,-5.49257133569982,13.6785432696342,1.91059084165664,-1.25360577884648,-0.830018054693937,0.325,0.56,0.45555556,0.53846154,0.78571429,0.70731707,0.55555556,18.01515152,0.04444444,0.2,0.5,0.25555556,NA,88.8911285400391,79.1537543402778,95.8508680555556,89.0200248386549,NA,-8.86048030853271,5.86624060736762,-6.2087151421441,2.38764704828677,NA,5.15083265304565,-9.84185791015625,8.36284857855903,1.85654947032099,NA,-0.0332007221877575,-0.225649040192366,-2.47165710106492,0.674794942140579,NA,-0.830018054693937,-1.25360577884648,-5.49257133569982,2.93389105278513,NA,0.31578947,0.55769231,0.45555556,0.58333333,0.75862069,0.70731707,0.57777778,17,94.8055419921875,14.52893335679,3,0.17647059,110.563,9,0.52941176,"2024-09-12",0
"Gavin Williams",30122,"2024-09-07","@LAD",5,2024,"CLE","A",24,0,1,67.5000704080601,1,1,0,0,0,0,0,0,0.2,7,2,5,5,0,3,0,0,0,0,0,0,40.5000422448361,27.000028163224,0,0,0,2,1,1,0,0,0,0,0,0.42857143,-0.42857143,14.5994433535429,0,0.5,7.50000782311779,0.5,0,16.6664938599018,50.8335765481583,18.9345088349586,1695.58155258686,418.099194324182,469.199092221371,2,0.25,0.5,0.25,0,0,0,0,20,17,37,-0.314779996871948,-0.336500018835068,0.0217200163751841,-3.74200010299683,-0.395978838205338,1.26085710525513,0.870000004768372,0.870000004768372,0.314000010490417,1,1,-0.229560300707817,-0.0200952673656597,0,0,0.64864865,98.45833333,0.13513514,92,0.18918919,80.57142857,0.02702703,90,-1.10774946212769,-0.64676833152771,-0.054179385304451,-0.0620911717414856,-4.61562275886536,-12.9353666305542,-0.773991218635014,-6.20911717414856,0.19230769,0.72727273,0.35135135,1,0.75,0.84615385,0.2972973,0.42857143,0.05405405,0,1,3,0,3,1,4,0,0.25,0.75,0,0.75,0.25,13.7551080758349,18,31.24082,46.78098,38.2807,49.10129,63.68148,48.37462,30.64063,60.55545,21.72454,23.34635,46.60115,25.22828,80,80,80,34.79375,59.49812,31.38942,1.07012,5.68227,80.64,67.5,63.74,103.12,132.92,137.82,101.72,37.02,44.32,98.04,-22.32,12,114.16,110.44,131.44,102.660540540541,62.3205405405405,71.0789189189189,0.64864865,0.10810811,0.02702703,0.18918919,0.02702703,98.4000040690104,92.0500030517578,90.6999969482422,80.7142857142857,89.5999984741211,-6.62349001566569,0.979228317737579,0.97978138923645,4.63460867745536,-9.11599254608154,8.23177401224772,2.47317671775818,2.04576420783997,-8.32232175554548,5.67632150650024,-1.13483947515488,-0.756341956555843,0.0652216598391533,-0.0486856959760189,-0.0633736774325371,-4.72849781314532,-18.9085489138961,6.52216598391533,-0.695509942514556,-6.33736774325371,0.17391304,0.64285714,0.35135135,1,0.77777778,0.84615385,0.37837838,20.13333333,0.02702703,0.18918919,0.64864865,0.13513514,NA,89.5977020263672,80.6882149832589,98.3587646484375,91.7363586425781,NA,-8.31037998199463,5.59717995779855,-5.72266896565755,1.92012996673584,NA,4.28915977478027,-9.90862165178571,7.43555068969727,1.54092178344727,NA,-0.0633736774325371,-0.0486856959760189,-1.13483947515488,-0.69112029671669,NA,-6.33736774325371,-0.695509942514556,-4.72849781314532,-13.8224059343338,NA,0.18181818,0.6,0.35135135,1,0.77777778,0.84615385,0.40540541,4,92.8497772216797,1.86739671230316,0,0,94.5021,0,0,"2024-09-07",0
"Gavin Williams",30122,"2024-09-02","@KCR",5,2024,"CLE","A",24,1,0,1.28571428571429,1,1,1,0,0,0,0,0,7,24,1,1,1,0,2,0,0,1,0,6,7.71428571428571,2.57142857142857,1.28571428571429,3,0,0,8,8,0,2,0,0,0,0.25,0.08333333,0.16666667,3.90593741339789,0,0.0454545454545455,0.428571428571429,0.0625,0.66666667,2.30933692114694,-1.02362263543265,4.03734652825764,32.2967577896662,56.3222571493125,98.5939002227736,1,0,0.5,0.5,0.25,0,4,5.14285714285714,36,62,98,0.28209000825882,-0.161516010761261,0.443606019020081,2.73799991607666,0.26803719997406,0.801461517810822,0.999885737895966,0.870000004768372,1.11199998855591,1,1,0.368283689022064,-0.0163141908116652,0,0,0.47959184,96.38297872,0.25510204,90.2,0.26530612,79.76923077,NA,NA,2.94839358329773,0.00254492834210396,0.683338642120361,NA,6.27317783680368,0.0101797133684158,2.62822554661677,NA,0.3968254,0.65714286,0.48979592,0.68,0.95652174,0.8125,0.35714286,0.45833333,0.09183673,7,5,4,3,8,5,16,0.4375,0.3125,0.25,0.1875,0.5,0.3125,0.480053174736893,78,NA,NA,NA,32.73665,63.03325,21.73338,78.12204,59.91265,72.92323,20,40.60166,20,52.35351,55.03182,57.31391,54.3667,56.13263,46.55808,-0.14588,3.85827,NA,NA,NA,107.44,93,97.76,109,118.62,127.52,98.7,45.74,54.32,107.86,77.3,87.82,107.96387755102,96.4444897959184,104.721428571429,0.47959184,0.13265306,0.12244898,0.26530612,NA,96.3297872340426,90.7384596604567,89.375,79.765380859375,NA,-6.60514993870512,-0.0437392729979295,0.210636913776398,5.20451002854567,NA,9.41408262861536,4.40981556819035,4.08293851216634,-8.68611555833083,NA,2.98403891175985,0.0366203188896179,-0.0401762686669827,0.705177612602711,NA,6.34901896119118,0.281694760689369,-0.334802238891522,2.7122215869335,NA,0.36538462,0.63043478,0.48979592,0.63157895,0.93103448,0.8125,0.46938776,17.54054054,NA,0.26530612,0.47959184,0.25510204,NA,NA,79.6786733774038,96.2607941323138,89.991455078125,NA,NA,6.0691886314979,-5.83268965051529,1.05631614685059,NA,NA,-10.6004626934345,8.4233158192736,3.00385314941406,NA,NA,0.705177612602711,2.98403891175985,-0.00355594977736473,NA,NA,2.7122215869335,6.34901896119118,-0.0142237991094589,NA,0.375,0.64285714,0.48979592,0.66666667,0.92592593,0.8125,0.42857143,16,89.748046875,17.7154541015625,1,0.0625,107.119,8,0.5,"2024-09-02",0
"Gavin Williams",30122,"2024-08-27","KCR",5,2024,"CLE","H",24,0,1,3.6,1,1,0,0,0,0,0,0,5,20,3,2,2,1,2,0,0,0,0,6,10.8,3.6,5.4,3,0,0,6,5,1,1,0,0,0,0.3,0.1,0.2,3.53876408401489,1.8,0.166666666666667,1,0.181818181818182,0.83333333,4.56647977828979,-0.966479778289794,3.47848818451166,90.4309218110653,113.198575567135,84.690862884526,1.2,0.083333333,0.5,0.416666666,0.2,0.2,1,1.8,30,53,83,0.00389203988015652,-0.289371997117996,0.29326406121254,0.39999994635582,0.042194090783596,0.827752351760864,0.815360009670258,0.870000004768372,0.952000021934509,1,1,0.0854494273662567,-0.0807474897977593,0,0,0.4939759,96.12195122,0.27710843,90.65217391,0.21686747,78.05555556,0.01204819,89,0.56934654712677,-0.0524906143546104,0.453115403652191,-0.26101353764534,1.38865011494334,-0.22822006241135,2.51730779806773,-26.101353764534,0.3125,0.77142857,0.5060241,0.66666667,0.85185185,0.78571429,0.42168675,0.6,0.10843373,4,4,4,2,5,5,12,0.33333333,0.33333333,0.33333333,0.16666667,0.41666667,0.41666667,3.49460288167528,53,20,68.8063,20,44.00813,58.78624,44.05029,72.82323,53.52012,69.08981,29.8707,42.81484,29.2033,61.25913,55.08328,65.51054,57.49191,51.63789,55.77514,-0.34003,3.56705,12.12,-488.88,-484.7,111.82,90.62,90.76,107.34,117.14,116.6,91.72,67.1,77.64,94.68,116.56,115.1,103.370843373494,99.1592771084337,99.7253012048193,0.4939759,0.18072289,0.09638554,0.21686747,0.01204819,96.0512218940549,91.5200032552083,89.0875015258789,77.9166666666667,88.9000015258789,-7.37739897937309,-0.0795160452524821,0.648957192897797,4.69458982679579,-9.73317718505859,8.92743515386814,3.54694112141927,3.50444889068604,-8.24319288465712,4.29274988174438,0.569624558091164,0.534408200532198,-0.591173876076937,0.444992009550333,-0.267212420701981,1.38932819046625,3.56272133688132,-7.38967345096171,2.47217783083518,-26.7212420701981,0.34090909,0.69230769,0.5060241,0.66666667,0.85185185,0.78571429,0.46987952,19.0952381,0.01204819,0.21686747,0.4939759,0.27710843,NA,89.3532028198242,78.3183051215278,96.4681723990091,91.0849715523098,NA,-9.55688953399658,5.31250127156575,-6.67424122880145,0.974280150040336,NA,3.69739007949829,-9.77689531114366,8.03548003406059,2.50778131899626,NA,-0.267212420701981,0.444992009550333,0.569624558091164,-0.0567656755447388,NA,-26.7212420701981,2.47217783083518,1.38932819046625,-0.246807284977125,NA,0.30952381,0.70731707,0.5060241,0.61538462,0.86206897,0.78571429,0.4939759,12,90.1785380045573,18.9979146321615,1,0.08333333,106.452,5,0.41666667,"2024-08-27",0
"Gavin Williams",30122,"2024-08-22","@NYY",5,2024,"CLE","A",24,0,1,6.23076968785577,1,1,0,0,0,0,0,0,4.1,20,4,3,3,1,4,0,0,0,0,5,10.3846161464263,8.30769291714103,8.30769291714103,1.25,0,0,3,6,2,1,0,0,0,0.25,0.2,0.05,5.75824158401489,2.07692322928526,0.25,1.8461539815869,0.3,0.75757576,6.62801849376522,-0.397248805909452,5.72156852819104,156.515068462567,165.145988661081,140.4932502334,0.5,0.181818181,0.272727272,0.545454545,0.166666666,0.166666666,0,0,36,62,98,0.00495199766010046,-0.371951907873154,0.376903891563416,0.280000030994415,0.0290758088231087,1.13201999664307,0.936720013618469,0.870000004768372,1.79960000514984,1,1,-0.103554457426071,0.107928936388267,0,0,0.43877551,97.88372093,0.2755102,92.07407407,0.15306122,81.06666667,0.13265306,90.84615385,0.631812214851379,1.10568571090698,-1.0550502538681,-1.1176255941391,1.46933073221251,4.09513226261845,-7.03366835912069,-8.59711995491615,0.375,0.69047619,0.51020408,0.71428571,0.79310345,0.76,0.42857143,0.7,0.12244898,3,2,6,2,8,1,11,0.27272727,0.18181818,0.54545455,0.18181818,0.72727273,0.09090909,6.30116073082436,39,80,59.18227,80,43.09517,76.05516,46.75974,75.71283,61.95747,60.39149,58.61671,52.67297,67.22943,53.94734,58.13739,67.33532,71.15356,62.88375,68.45304,-1.18878,2.29392,66.82,159.06,133.82,102.96,91.5,108.72,118.18,114.46,129.92,101.32,96.52,108.62,104.82,110.44,118.26,105.320816326531,115.612448979592,123.881632653061,0.43877551,0.26530612,0.01020408,0.15306122,0.13265306,97.8069812863372,92.1115347055288,89.5999984741211,80.9600016276042,90.8615347055288,-7.9047482512718,-1.24098352285532,0.535971999168396,4.37278086344401,-10.5954061654898,9.15102155818496,4.4777717590332,3.85712695121765,-8.46117451985677,5.94919762244591,0.63218729943037,1.07879478484392,0.039364367723465,-1.0558996796608,-1.11559847742319,1.47020302193109,4.14921071093816,3.9364367723465,-7.03933119773865,-8.58152674940916,0.3,0.72916667,0.51020408,0.66666667,0.8,0.76,0.48979592,20.70512821,0.13265306,0.15306122,0.43877551,0.2755102,NA,90.6437237079327,80.7710367838542,97.6018577398256,91.786304615162,NA,-9.77471865140475,5.73809661865234,-6.98243464980015,0.130125716880516,NA,4.77444780789889,-10.3394734700521,8.32822577897892,3.24565124511719,NA,-1.11559847742319,-1.0558996796608,0.63218729943037,1.11815915256739,NA,-8.58152674940916,-7.03933119773865,1.47020302193109,4.14133019469402,NA,0.28846154,0.76086957,0.51020408,0.66666667,0.8,0.76,0.46938776,11,86.7993330522017,22.7861189408736,1,0.09090909,104.578,3,0.27272727,"2024-08-22",0
"Gavin Williams",30122,"2024-08-16","@MIL",5,2024,"CLE","A",24,0,1,11.25,1,1,0,0,0,0,0,0,4,21,6,5,5,1,2,0,1,0,0,5,11.25,4.5,13.5,2.5,0,0,4,5,4,0,0,0,0,0.23809524,0.0952381,0.14285714,4.2282937073787,2.25,0.333333333333333,2,0.416666666666667,0.52631579,6.1664797782898,5.0835202217102,4.80649028606713,282.596630659579,153.515965837997,117.728327583432,0.8,0.307692307,0.307692307,0.384615384,0,0.2,0,0,32,60,92,-0.270563930273056,-0.473925948143005,0.203361988067627,-3.00399994850159,-0.308577299118042,0.559499979019165,0.509400010108948,0.870000004768372,0.129399999976158,1,1,-0.282710820436478,-0.200870842510802,0,0,0.5,96.89130435,0.25,91.52173913,0.20652174,79.63157895,0.04347826,88.75,-2.94134783744812,1.02467370033264,-1.0920821428299,-0.0232100933790207,-6.39423442923504,4.45510304492453,-5.74780075173629,-0.580252334475517,0.35185185,0.78947368,0.5326087,0.68421053,0.96666667,0.85714286,0.41304348,0.71428571,0.07608696,5,5,3,2,5,6,13,0.38461538,0.38461538,0.23076923,0.15384615,0.38461538,0.46153846,7.18667113681076,31,63.94733,56.43255,76.834,54.29465,63.55503,49.64884,69.35025,55.66235,65.90041,35.18713,52.57565,29.36116,58.33818,52.98465,73.75671,64.09713,54.91543,67.35816,-0.75039,2.95151,84.52,154.04,145.58,97.98,121.36,124.7,102.96,99.2,101.44,110.56,71.26,81.3,110.82,115.78,117.24,103.080652173913,107.886304347826,110.159565217391,0.5,0.19565217,0.05434783,0.20652174,0.04347826,96.84130859375,91.8888888888889,89.8599975585937,79.5526315789474,88.75,-7.08897399902344,-0.322142362594604,0.190680384635925,5.20544152510794,-10.0037403106689,8.34354367463485,3.8138181898329,3.07105407714844,-8.33427268580387,3.5541033744812,-2.96013613045216,0.435133073478937,0.596288658678532,-1.05826563760638,-0.0239246189594269,-6.43507854446121,2.41740596377187,11.9257731735706,-5.56981914529675,-0.598115473985672,0.3125,0.77272727,0.5326087,0.66666667,0.94117647,0.85714286,0.47826087,19.53521127,0.04347826,0.20652174,0.5,0.25,NA,88.5319213867188,79.3241994757401,96.6263586956522,91.2122325067935,NA,-9.45911979675293,6.0134980051141,-6.46825110394022,0.748298064522121,NA,2.17441940307617,-10.1656341552734,7.49249068550442,2.44051808896272,NA,-0.0239246189594269,-1.05826563760638,-2.96013613045216,1.03142173215747,NA,-0.598115473985672,-5.56981914529675,-6.43507854446121,4.48444231372812,NA,0.3125,0.77272727,0.5326087,0.66666667,0.94117647,0.85714286,0.47826087,13,92.8314678485577,15.4843468299279,1,0.07692308,107.22,5,0.38461538,"2024-08-16",0
"Gavin Williams",30122,"2024-08-10","@MIN",5,2024,"CLE","A",24,1,0,1.5,1,1,1,0,0,0,0,0,6,23,4,1,1,0,0,0,0,0,0,3,4.5,0,6,3,0.1,0,10,5,5,1,1,0,0,0.13043478,0,0.13043478,3.94733778828785,0,0.173913043478261,0.666666666666667,0.2,0.75,2.1664797782898,-0.666479778289796,3.42648678347468,37.6795507546105,52.7224901608427,83.3971944113809,2,0.25,0.5,0.25,0.2,0,2,3,24,49,73,0.24956402182579,-0.250735998153687,0.500299990177155,1.90400004386902,0.19958071410656,1.23093914985657,1.15333330631256,0.922800004482269,1.9099999666214,1,1,0.205187186598778,-0.00244440938280382,0,0,0.4109589,97.36666667,0.30136986,90.77272727,0.16438356,78.66666667,0.12328767,90.22222222,0.573521912097931,0.150415539741516,0.306440621614456,0.46733683347702,1.9117397069931,0.683706998825073,2.55367184678714,5.192631483078,0.4,0.81818182,0.5890411,0.6875,0.81481481,0.76744186,0.45205479,0.65217391,0.1369863,11,4,5,2,16,2,20,0.55,0.2,0.25,0.1,0.8,0.1,3.03556903577651,67,36.16767,51.61585,47.00511,20,63.15981,20,80,58.65196,80,59.58407,50.75727,60.33735,39.20523,68.70878,42.60784,59.50083,59.24236,56.08369,-0.46484,3.37983,76.66,77.76,52.36,112.76,73.36,76.78,99.72,146.4,144.76,109.2,131.86,140.62,95.04,97.88,99.6,99.1619178082192,115.032328767123,113.078904109589,0.4109589,0.19178082,0.10958904,0.16438356,0.12328767,97.3299967447917,91.1928536551339,90.0625,78.625,90.1555582682292,-7.43613484700521,-0.157146487917219,0.911188721656799,5.10882822672526,-9.83771260579427,9.08251241048177,3.68642970493862,3.87361335754395,-8.70039812723796,5.61350928412543,1.63907373324037,0.406287219375372,-0.212494805455208,0.309145726263523,0.471165742725134,5.46357911080122,2.90205156696694,-2.6561850681901,2.57621438552936,5.23517491916815,0.38235294,0.76923077,0.5890411,0.69230769,0.8,0.76744186,0.53424658,17.32,0.12328767,0.16438356,0.4109589,0.30136986,NA,89.9600219726562,78.4329732259115,97.1366455078125,90.5835238370028,NA,-9.04095798068576,6.02141507466634,-6.64622904459635,1.26375536485152,NA,4.33796776665582,-10.1605650583903,8.31702067057292,2.79043319008567,NA,0.471165742725134,0.309145726263523,1.63907373324037,0.193792413920164,NA,5.23517491916815,2.57621438552936,5.46357911080122,0.880874608728019,NA,0.38888889,0.78378378,0.5890411,0.71428571,0.79310345,0.76744186,0.50684932,20,86.3653564453125,9.61184692382812,0,0,106.708,6,0.3,"2024-08-10",0
