"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","CT%","CTv","CH%","CHv","XX%","wFB","wCT","wCH","wFB/C","wCT/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSI%","pfxCH%","pfxvFA","pfxvFC","pfxvSI","pfxvCH","pfxFA-X","pfxFC-X","pfxSI-X","pfxCH-X","pfxFA-Z","pfxFC-Z","pfxSI-Z","pfxCH-Z","pfxwFA","pfxwFC","pfxwSI","pfxwCH","pfxwFA/C","pfxwFC/C","pfxwSI/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piFC%","piSI%","piSL%","pivCH","pivFA","pivFC","pivSI","pivSL","piCH-X","piFA-X","piFC-X","piSI-X","piSL-X","piCH-Z","piFA-Z","piFC-Z","piSI-Z","piSL-Z","piwCH","piwFA","piwFC","piwSI","piwSL","piwCH/C","piwFA/C","piwFC/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Huascar Brazoban",6107,"2024-09-30","@ATL",25,2024,"NYM","A",34,0,0,18,1,0,0,0,0,0,0,0,1,6,3,2,2,0,1,0,0,0,0,1,9,9,27,1,1,0,1,1,2,1,1,0,0,0.16666667,0.16666667,0,5.73367352628778,0,0.6,4,0.75,0.5,4.1664797782898,13.8335202217102,5.67848818451166,454.149698062268,103.103404788804,139.014259199392,1,0.5,0.25,0.25,1,0,0,0,9,13,22,-0.139763966202736,-0.19709999859333,0.0573360435664654,-1.49299991130829,-0.151727631688118,0.922866642475128,0.755999982357025,0.755999982357025,0.112399995326996,1,1,-0.0840001851320267,-0.0674452781343549,0,1,0.59090909,97.23076923,0.27272727,91.33333333,0.13636364,91.66666667,NA,-1.13447904586792,0.376765251159668,-0.443252891302109,-8.72676189129169,6.27942085266113,-14.775096376737,0.18181818,0.54545455,0.36363636,1,1,1,0.5,0.66666667,0,4,0,0,2,1,1,4,1,0,0,0.5,0.25,0.25,6.96686929524557,77.37817,51.78585,20,80,28.55349,20,80,20,20,80,43.46753,20,80,24.0872,20,-2.91579,-0.29659,106.1,124.6,124.44,108.24,96.18,87.32,103.64,83.94,93.62,95.06,139.24,144.66,102.680909090909,107.348181818182,110.310909090909,0.22727273,0.27272727,0.36363636,0.13636364,98.0400024414062,91.2333374023438,96.7750015258789,91.5666707356771,-5.06439895629883,-1.20902760823568,-9.46737766265869,-8.48236910502116,8.82794799804688,4.82807318369548,4.738685131073,1.90461285909017,-0.0548096112906933,0.378947958350182,-1.09897293150425,-0.450162943452597,-1.09619222581387,6.31579930583636,-13.7371616438031,-15.0054314484199,0,0.53333333,0.36363636,NA,1,1,0.68181818,17.6875,0.13636364,0.22727273,0.27272727,0.36363636,NA,91.4962666829427,97.9638000488281,91.1351826985677,96.7333221435547,NA,-8.33033625284831,-4.66203384399414,-0.795576413472494,-9.37989234924316,NA,0.921666701634725,7.8991081237793,3.92901166280111,3.80836868286133,NA,-0.450162943452597,-0.0548096112906933,0.378947958350182,-1.09897293150425,NA,-15.0054314484199,-1.09619222581387,6.31579930583636,-13.7371616438031,NA,0,0.53333333,0.36363636,NA,1,1,0.68181818,4,82.7750015258789,12.25,0,0,101.2,1,0.25,"2024-09-30",2
"Huascar Brazoban",6107,"2024-09-30","@ATL",25,2024,"NYM","A",34,0,0,0,1,0,0,0,0,0,0,0,0.1,2,0,0,0,0,1,0,0,0,0,0,0,27.000028163224,0,0,0,0,0,0,1,0,0,0,0,0,0.5,-0.5,16.6767290840149,0,0,3.00000312924711,0,1,12.1664891660311,-12.1664891660311,12.1664891660311,0,297.61403367553,295.801497607635,0,1,0,0,0,0,0,0,7,6,13,0.00828002672642469,-0.00658400543034077,0.0148640321567655,0.23199999332428,0.0235772337764502,0.435999989509583,0.147399991750717,0.294799983501434,0.213599994778633,1,1,0.00341815641149879,0.0155727310326458,0,0,0.61538462,96.75,NA,NA,0.38461538,91.2,NA,-0.149411469697952,NA,0.0853086113929749,-1.8676433712244,NA,1.7061722278595,0.22222222,0.75,0.38461538,0.5,0.66666667,0.6,0.30769231,NA,0.15384615,1,0,0,0,0,1,1,1,0,0,0,0,1,60.829483916896,80,20,20,NA,NA,NA,80,20,20,NA,NA,NA,80,20,20,-3.63625,-1.37728,74.06,54.34,60.56,NA,NA,NA,106.08,85.32,109.66,NA,NA,NA,93.7646153846154,73.4046153846154,90.7753846153846,NA,NA,0.61538462,0.38461538,NA,NA,96.8000030517578,91.1200012207031,NA,NA,-10.0868272781372,-9.33824157714844,NA,NA,4.79213047027588,2.10409183502197,NA,NA,-0.153205260634422,0.126185975968838,NA,NA,-1.91506575793028,2.52371951937675,0.22222222,0.75,0.38461538,0.5,0.66666667,0.6,0.30769231,18,0.38461538,NA,NA,0.61538462,NA,91.0781616210938,NA,NA,96.7546615600586,NA,-9.18864974975586,NA,NA,-10.0596771240234,NA,0.835037803649902,NA,NA,3.8029899597168,NA,0.126185975968838,NA,NA,-0.153205260634422,NA,2.52371951937675,NA,NA,-1.91506575793028,NA,0.22222222,0.75,0.38461538,0.5,0.66666667,0.6,0.30769231,1,97.3000030517578,17,0,0,97.3,1,1,"2024-09-30",1
"Huascar Brazoban",6107,"2024-09-24","@ATL",25,2024,"NYM","A",34,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,1,1,1,0,0,0,0,0.25,0,0.25,2.72685408401489,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,30.1620045506571,66.5170884121943,1,0.333333333,0.333333333,0.333333333,0,0,1,9,8,13,21,0.0054560424759984,-0.00450801150873303,0.00996405351907015,0.506999969482422,0.0515243895351887,0.109599992632866,0.092399999499321,0.092399999499321,0.112399995326996,1,1,0.0176316481083632,0.0321497646904028,0,0,0.71428571,97.8,NA,NA,0.28571429,93,NA,-0.247367382049561,NA,0.217465132474899,-1.6491158803304,NA,3.62441887458166,0.35714286,0.85714286,0.52380952,0.6,0.83333333,0.72727273,0.33333333,0.25,0.14285714,3,0,0,0,2,1,3,1,0,0,0,0.66666667,0.33333333,2.82508216143325,66.39386,40.91687,78.12726,22.62619,42.08066,20.91931,23.74332,55.05803,20,NA,NA,NA,31.87962,42.88248,32.70368,1.25116,5.95383,117.78,126.46,133.52,74.72,108.32,97.68,102.74,91.52,105.48,NA,NA,NA,99.0314285714286,106.302857142857,111.262857142857,0.33333333,NA,0.38095238,0.28571429,97.971426827567,NA,97.5250015258789,92.7000020345052,-6.46947588239397,NA,-9.11702346801758,-7.57575670878092,6.63384028843471,NA,4.46856117248535,1.83056942621867,0.6147839166224,NA,-0.862669736146927,0.219076160341501,8.78262738032,NA,-10.7833717018366,3.65126933902502,0.38461538,0.75,0.52380952,0.4,1,0.72727273,0.38095238,16.94117647,0.28571429,0.28571429,NA,0.42857143,NA,92.5198974609375,97.6658833821615,NA,97.4845241970486,NA,-7.28784497578939,-5.78743171691895,NA,-8.62734815809462,NA,0.478694160779317,5.59714508056641,NA,3.18518214755588,NA,0.219076160341501,0.345261339098215,NA,-0.593147158622742,NA,3.65126933902502,5.75435565163692,NA,-6.59052398469713,NA,0.38461538,0.75,0.52380952,0.4,1,0.72727273,0.38095238,3,96.3745930989583,18.8579012552897,0,0,103.533,2,0.66666667,"2024-09-24",0
"Huascar Brazoban",6107,"2024-09-20","PHI",25,2024,"NYM","H",34,0,0,13.5000032186516,1,0,0,0,0,0,0,0,1.1,8,2,2,2,0,2,0,0,0,0,1,6.75000160932579,13.5000032186516,13.5000032186516,0.5,0,0,2,2,1,0,0,0,0,0.125,0.25,-0.125,7.85326033401489,0,0.333333333333333,3.00000071525591,0.4,0.5,6.1664804935457,7.33352272510588,8.43449364361497,340.612354755015,151.731022338158,205.615125352414,1,0.2,0.4,0.4,0,0,0,0,16,20,36,-0.00775999948382378,-0.0203440003097057,0.012584000825882,-1.22200000286102,-0.132898330688477,0.0996888875961304,0.0851999968290329,0.0952000021934509,0.0851999968290329,1,1,-0.0714251101016998,-0.00641706138748224,0,0,0.47222222,97.23529412,0.30555556,92.18181818,0.22222222,92,NA,-0.374195992946625,-0.652650535106659,0.428922206163406,-2.20115289968603,-5.93318668278781,5.36152757704258,0.28,0.72727273,0.41666667,0.57142857,0.875,0.73333333,0.30555556,0.625,0.11111111,2,0,3,3,2,0,5,0.4,0,0.6,0.6,0.4,0,5.77950579676992,32.51233,73.60594,26.72313,20,59.32012,20,80,73.64562,68.85774,44.96672,30.20178,36.3375,20.46531,59.50939,20,1.96029,7.01753,135.72,59.56,97.86,85.84,-33.32,-35.24,112.06,159.9,178.52,82.2,113.3,103.46,101.638888888889,75.0583333333333,84.2205555555556,0.25,0.30555556,0.22222222,0.22222222,97.1888902452257,92.127274946733,97.2874984741211,91.9875030517578,-7.17496914333767,-2.09821510314941,-10.6999893188477,-9.95840072631836,8.99760352240668,6.29975405606357,5.08727788925171,1.29065430164337,-0.296992462128401,-0.666154265403748,-0.0878642462193966,0.404707431793213,-3.29991624587112,-6.0559478673068,-1.09830307774246,5.05884289741516,0.25,0.625,0.41666667,0.4,0.9,0.73333333,0.44444444,17.92857143,0.22222222,0.25,0.30555556,0.22222222,NA,91.630126953125,96.8355102539062,91.7529518821023,96.9303588867188,NA,-9.81631755828857,-6.9226688808865,-1.65004834261808,-10.7342977523804,NA,-0.401617109775543,7.61039225260417,5.01328173550692,3.7015974521637,NA,0.404707431793213,-0.296992462128401,-0.666154265403748,-0.0878642462193966,NA,5.05884289741516,-3.29991624587112,-6.0559478673068,-1.09830307774246,NA,0.25,0.625,0.41666667,0.4,0.9,0.73333333,0.44444444,5,77.8572265625,16.2142959594727,0,0,96.47,1,0.2,"2024-09-20",0
"Huascar Brazoban",6107,"2024-09-18","WSN",25,2024,"NYM","H",34,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,0,1,0,0,0,0,0.33333333,0,0.33333333,1.13839575453556,0,0,0,0,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,30.1620045506571,29.9783111930123,1,0.5,0.5,0,0,0,0,0,7,10,17,2.60043143498478e-05,0,2.60043143498478e-05,0.458999991416931,0.0499184317886829,0,0,0,NA,0,1,0,NA,0,0,0.64705882,96.90909091,0.11764706,90.5,0.23529412,91.75,NA,0.469116479158401,0.106812082231045,0.193908214569092,4.26469526507638,5.34060411155224,4.84770536422729,0.3,0.85714286,0.52941176,0.66666667,0.66666667,0.66666667,0.41176471,0.33333333,0.17647059,2,0,0,0,1,1,2,1,0,0,0,0.5,0.5,3.68244760268354,78.91153,76.13111,64.44465,20,57.59407,20,76.29298,73.11181,61.14054,53.31468,43.17678,64.0859,42.46382,65.09356,32.74011,0.59361,4.96751,137.62,112.08,148.92,101.02,43.26,42.82,106.44,169.54,183.42,91.48,85.06,85.12,110.103529411765,101.511764705882,114.114117647059,0.35294118,0.11764706,0.29411765,0.23529412,96.9666646321615,90.6499938964844,96.8200012207031,91.5999984741211,-5.64274342854818,-0.86023211479187,-10.9774299621582,-10.0557708740234,9.23961130777995,4.85764360427856,4.88367691040039,2.62649703025818,-0.186831712722778,0.108140081167221,0.661498699337244,0.19612817466259,-3.11386187871297,5.40700405836105,13.2299739867449,4.90320436656475,0.3,0.85714286,0.52941176,0.66666667,0.66666667,0.66666667,0.41176471,16.78571429,0.23529412,0.35294118,0.11764706,0.29411765,NA,91.4419250488281,96.8163146972656,90.4951019287109,96.6882019042969,NA,-9.92564487457275,-5.31471347808838,-0.649230480194092,-10.828182220459,NA,1.07841897010803,8.33736673990885,3.59218001365662,3.4305061340332,NA,0.19612817466259,-0.186831712722778,0.108140081167221,0.661498699337244,NA,4.90320436656475,-3.11386187871297,5.40700405836105,13.2299739867449,NA,0.33333333,0.75,0.52941176,0.66666667,0.66666667,0.66666667,0.47058824,2,95.6831359863281,0.627904415130615,0,0,106.695,1,0.5,"2024-09-18",0
"Huascar Brazoban",6107,"2024-09-17","WSN",25,2024,"NYM","H",34,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,1,0,1,0,0,0,0.33333333,0,0.33333333,1.87828464271067,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,30.1620045506571,66.5170884121943,1,0,0.5,0.5,1,0,1,9,1,7,8,0.00100401637610048,0,0.00100401637610048,0.458999991416931,0.0499184317886829,0.0126000000163913,0.0225999988615513,0.0225999988615513,0,1,1,0.0647240281105042,0.0149598111588896,0,0,0.875,98,0.125,91,NA,NA,NA,0.493508100509644,0.234712973237038,NA,7.05011572156634,23.4712973237038,NA,0,0.85714286,0.75,NA,0.83333333,0.83333333,0.875,0.66666667,0.125,1,0,1,1,1,0,2,0.5,0,0.5,0.5,0.5,0,-1.33385517121138,NA,NA,NA,63.85571,65.01404,55.54253,80,80,66.49359,80,63.63655,80,80,66.59222,76.32163,-1.79954,1.37778,NA,NA,NA,103.54,119.62,123.28,119.2,140.96,155.9,105.3,157.58,168.7,107.675,129.7,137.1125,0.625,0.125,0.25,NA,98.1400024414063,91.1999969482422,97.5999984741211,NA,-6.22492561340332,-1.42883729934692,-10.3540325164795,NA,9.02556076049805,4.32108306884766,4.83077335357666,NA,0.284340985119343,0.237643033266068,0.214739695191383,NA,5.68681970238686,23.7643033266068,10.7369847595692,NA,0,0.85714286,0.75,NA,0.83333333,0.83333333,0.875,14.25,NA,0.625,0.125,0.25,NA,NA,98.0264831542969,91.0587997436523,97.4313049316406,NA,NA,-5.95408592224121,-0.922007977962494,-10.1337547302246,NA,NA,7.78526611328125,3.14362001419067,3.61091995239258,NA,NA,0.284340985119343,0.237643033266068,0.214739695191383,NA,NA,5.68681970238686,23.7643033266068,10.7369847595692,NA,0,0.85714286,0.75,NA,0.83333333,0.83333333,0.875,2,99.4911727905273,33.188102722168,0,0,100.497,2,1,"2024-09-17",0
"Huascar Brazoban",6107,"2024-09-10","@TOR",25,2024,"NYM","A",34,0,0,4.5,1,0,0,0,0,0,0,0,2,8,2,1,1,0,1,0,0,0,0,1,4.5,4.5,9,1,0,0,1,3,2,0,0,0,0,0.125,0.125,0,6.22954158401489,0,0.285714285714286,1.5,0.333333333333333,0.66666667,3.6664797782898,0.833520221710205,5.9344923876226,113.537424515567,90.9465047491131,145.200786011117,0.333333333,0.333333333,0.166666666,0.5,0,0,1,4.5,14,20,34,0.00744600966572762,-0.0231979768723249,0.0306439865380526,0.541999995708466,0.0572636015713215,0.195924997329712,0.19794999063015,0.270999997854233,0.368599981069565,1,1,0.00273463618941605,0.0352697520571593,0,0,0.63636364,96.52380952,0.03030303,91,0.33333333,90.63636364,0.02941176,-0.663752257823944,0.0572940893471241,0.0920887142419815,-3.16072503725688,5.72940893471241,0.837170129472559,0.38095238,0.66666667,0.48484848,0.75,0.875,0.8125,0.36363636,0.125,0.08823529,4,2,0,1,3,2,6,0.66666667,0.33333333,0,0.16666667,0.5,0.33333333,5.50175448907015,59.63384,59.80287,62.28764,20,52.53639,20,69.71673,59.4143,60.16448,80,56.07273,80,56.95425,58.28795,53.6131,-0.30663,3.61715,116.4,101.62,126.9,78.94,48.56,28.46,106.28,132.52,150.42,107.22,147.78,161.14,106.367878787879,112.505454545455,128.121818181818,0.12121212,0.03030303,0.51515152,0.33333333,97.1000061035156,90.5999984741211,96.2647058823529,90.4818170720881,-6.48371362686157,-0.297579944133759,-10.6930057301241,-9.83281083540483,8.39878749847412,4.33852815628052,5.34444966035731,2.51366476579146,0.0365022085607052,0.057969942688942,-0.705049842596054,0.091751042753458,0.91255521401763,5.7969942688942,-4.14735201527091,0.8341003886678,0.375,0.58823529,0.48484848,0.66666667,0.9,0.8125,0.51515152,18.73076923,0.33333333,0.12121212,0.03030303,0.51515152,NA,90.3817027698864,96.9857025146484,90.4422988891602,96.1745102826287,NA,-9.64318015358665,-5.82152986526489,0.329172998666763,-10.425708546358,NA,1.3348577672785,7.18714237213135,3.28356003761292,4.15802046831916,NA,0.00195512548089027,0.0365022085607052,0.057969942688942,-0.705049842596054,NA,0.0177738680080934,0.91255521401763,5.7969942688942,-4.14735201527091,NA,0.375,0.58823529,0.48484848,0.66666667,0.9,0.8125,0.51515152,6,93.0330098470052,22.6861216227214,1,0.16666667,102.735,3,0.5,"2024-09-10",0
"Huascar Brazoban",6107,"2024-09-04","BOS",25,2024,"NYM","H",34,0,0,0,1,0,0,0,0,0,1,0,1.1,5,1,0,0,0,1,0,0,0,0,1,6.75000160932579,6.75000160932579,6.75000160932579,1,0,0,1,1,1,0,0,0,0,0.2,0.2,0,5.87600908401489,0,0.25,1.50000035762795,0.333333333333333,1,3.91647995710377,-3.91647995710377,5.05048653213841,0,97.024959116606,123.838144850477,1,0.333333333,0.333333333,0.333333333,0,0,0,0,5,13,18,0.132153987884521,-0.165066003799438,0.29721999168396,0.800999999046326,0.0871125608682632,2.74036002159119,1.98046672344208,2.48140001296997,2.33219981193542,1,1,0.0136871701106429,0.0345378758115299,1,0,0.27777778,96.6,0.27777778,91,0.44444444,92.25,NA,0.0334002152085304,-0.724966466426849,1.21458351612091,0.668004304170609,-14.499329328537,15.1822939515114,0.54545455,1,0.72222222,0.33333333,0.85714286,0.61538462,0.38888889,0.8,0.27777778,1,2,0,0,3,0,3,0.33333333,0.66666667,0,0,1,0,5.65176731273946,67.92921,72.26605,54.26752,20,37.57312,20,79.23185,76.69432,57.08972,20,38.69694,20,28.79048,65.37831,20,1.44308,6.24171,121.44,97.06,114.78,99.18,44.12,27.28,112.98,134.14,160.56,103.96,14.24,7.72,112.701111111111,74.3522222222222,82.9488888888889,0.11111111,0.27777778,0.16666667,0.44444444,97,90.8599975585937,96.3333333333333,92.0625,-6.0468373298645,-1.19105081558228,-11.2145741780599,-9.10067749023438,8.42374229431152,5.10506019592285,4.66566848754883,0.865881025791168,-0.050431564450264,-0.738422315567732,0.0833352096378803,1.23300892487168,-2.5215782225132,-14.7684463113546,2.77784032126268,15.412611560896,0.5,1,0.72222222,0.2,0.875,0.61538462,0.44444444,22.15384615,0.44444444,0.11111111,0.27777778,0.16666667,NA,92.2140350341797,97.1294021606445,91.030078125,96.4973653157552,NA,-8.70277404785156,-5.2234001159668,-0.273029112815857,-10.9491996765137,NA,-0.487854421138763,7.21523475646973,3.42039604187012,3.44819323221842,NA,1.23300892487168,-0.050431564450264,-0.738422315567732,0.0833352096378803,NA,15.412611560896,-2.5215782225132,-14.7684463113546,2.77784032126268,NA,0.54545455,1,0.72222222,0.16666667,1,0.61538462,0.38888889,3,82.2101643880208,17.7504323323568,0,0,93.3227,0,0,"2024-09-04",0
"Huascar Brazoban",6107,"2024-08-31","@CHW",25,2024,"NYM","A",34,0,0,0,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,6.03472908401489,0,0,0,0,1,6.1664797782898,-6.1664797782898,7.67848818451166,0,151.731004947569,187.345706390858,1,0.333333333,0.333333333,0.333333333,0,0,0,0,7,6,13,0.0542219989001751,-0.0220100022852421,0.0762320011854172,0.496999979019165,0.0512107163667679,0.822520017623901,1.04579997062683,1.04579997062683,1.06459999084473,1,1,0.0332243666052818,0.0326974319386755,0,0,0.76923077,96.6,0.23076923,91.33333333,NA,NA,NA,0.0575734525918961,0.310705006122589,NA,0.575734525918961,10.3568335374196,NA,0.11111111,0.75,0.30769231,1,1,1,0.30769231,0.25,0,2,0,1,0,1,2,3,0.66666667,0,0.33333333,0,0.33333333,0.66666667,9.88114214715071,NA,NA,NA,NA,NA,NA,20,65.75577,20,80,41.01381,80,20,57.24324,20,3.53538,9.38016,NA,NA,NA,NA,NA,NA,108.52,16.16,37.64,84.48,150.86,149.66,102.972307692308,47.2446153846154,63.4907692307692,NA,0.23076923,0.76923077,NA,NA,91.4333292643229,96.6900024414062,NA,NA,-1.21927873293559,-10.7507881164551,NA,NA,5.57468032836914,4.9324275970459,NA,NA,0.315010048449039,0.0962707661092281,NA,NA,10.5003349483013,0.962707661092281,NA,0,0.8,0.30769231,NA,1,1,0.38461538,15,NA,NA,0.23076923,0.76923077,NA,NA,NA,91.427734375,96.7064086914063,NA,NA,NA,-0.614744345347087,-10.3813720703125,NA,NA,NA,4.42830340067546,3.65335311889648,NA,NA,NA,0.315010048449039,0.0962707661092281,NA,NA,NA,10.5003349483013,0.962707661092281,NA,0,0.66666667,0.30769231,NA,1,1,0.46153846,3,95.8485209147135,15.7477544148763,0,0,101.617,1,0.33333333,"2024-08-31",0
"Huascar Brazoban",6107,"2024-08-28","@ARI",25,2024,"NYM","A",34,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0.25,-0.25,6.13760408401489,0,0,1,0,1,6.1664797782898,-6.1664797782898,6.1664797782898,0,151.731004947569,150.806929171676,3,0,1,0,0,0,1,9,6,7,13,0.0926200151443481,-0.0225000027567148,0.115120023488998,0.603999972343445,0.0610100999474525,1.27300000190735,1.58533334732056,1.62000000476837,1.48600006103516,1,1,0.049177061766386,0.023580216321261,1,0,0.53846154,97.42857143,0.15384615,93.5,0.30769231,90.25,NA,0.0294647067785263,0.177677512168884,0.115187354385853,0.420924382550376,8.88387560844421,2.87968385964632,0.4,0.66666667,0.46153846,0.75,1,0.83333333,0.23076923,0.25,0.07692308,2,1,0,2,1,0,3,0.66666667,0.33333333,0,0.66666667,0.33333333,0,4.75985653192835,23.25507,52.36907,20,71.79317,53.43074,75.32392,NA,NA,NA,20,43.58175,20,37.3082,51.15617,34.25636,0.91391,5.44796,94.4,63.74,70.64,86.54,109.56,105.14,NA,NA,NA,88.46,42.2,39.82,89.2538461538462,85.0984615384615,84.4753846153846,0.53846154,0.15384615,NA,0.30769231,97.3428606305804,93.3000030517578,NA,90.3249969482422,-4.85109002249582,-2.2597975730896,NA,-9.36775398254395,8.1191760471889,5.46809053421021,NA,1.81068861484528,0.0269026346504688,0.17969099059701,NA,0.115630146116018,0.384323352149555,8.98454952985048,NA,2.89075365290046,0.16666667,0.71428571,0.46153846,1,0.8,0.83333333,0.53846154,15.77777778,0.30769231,0.53846154,0.15384615,NA,NA,90.4271469116211,97.4424874441964,93.3654022216797,NA,NA,-9.28663444519043,-4.41430418831961,-1.95155000686646,NA,NA,0.395420730113983,6.79512132917132,4.38774967193604,NA,NA,0.115630146116018,0.0269026346504688,0.17969099059701,NA,NA,2.89075365290046,0.384323352149555,8.98454952985048,NA,NA,0,0.75,0.46153846,NA,0.83333333,0.83333333,0.61538462,3,81.015614827474,-32.2733891805013,0,0,96.3678,1,0.33333333,"2024-08-28",0
