"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CB%","CBv","XX%","wFB","wSL","wCT","wCB","wFB/C","wSL/C","wCT/C","wCB/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFC%","pfxSI%","pfxSL%","pfxCU%","pfxvFC","pfxvSI","pfxvSL","pfxvCU","pfxFC-X","pfxSI-X","pfxSL-X","pfxCU-X","pfxFC-Z","pfxSI-Z","pfxSL-Z","pfxCU-Z","pfxwFC","pfxwSI","pfxwSL","pfxwCU","pfxwFC/C","pfxwSI/C","pfxwSL/C","pfxwCU/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFC%","piSI%","piSL%","pivCH","pivCU","pivFC","pivSI","pivSL","piCH-X","piCU-X","piFC-X","piSI-X","piSL-X","piCH-Z","piCU-Z","piFC-Z","piSI-Z","piSL-Z","piwCH","piwCU","piwFC","piwSI","piwSL","piwCH/C","piwCU/C","piwFC/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Phil Maton",18064,"2024-09-30","@ATL",25,2024,"NYM","A",31,0,0,54.0000563264481,1,0,0,0,0,0,1,0,0.1,3,1,2,2,0,0,0,1,0,0,0,0,0,27.000028163224,0,0,0,0,1,1,0,0,0,0,0,0,0,7.34739574882223,0,0.5,3.00000312924711,0.5,0,12.1664891660311,41.8335671604169,16.7025191161447,1362.45051533344,297.61403367553,405.417943604044,0,0.5,0,0.5,0,0,0,0,5,7,12,-0.0775880068540573,-0.123232007026672,0.0456439964473248,-0.685000061988831,-0.0696138218045235,1.48199999332428,1.06199991703033,1.06199991703033,2.67960000038147,1,1,-0.0766636803746223,0.0243100992656108,0,1,0.58333333,88.85714286,0.08333333,81,NA,NA,0.33333333,75,NA,-0.247457206249237,0.0572940893471241,NA,-0.367419809103012,-3.53510294641767,5.72940893471241,NA,-9.1854952275753,0.28571429,0.6,0.41666667,1,0.33333333,0.6,0.41666667,0.66666667,0.16666667,0,1,1,0,2,0,2,0,0.5,0.5,0,1,0,15.8624228704055,80,32.10151,20,80,20,20,80,20,20,80,20,20,80,20,20,-3.62443,-1.35955,142.36,104.42,134.42,75.18,17.68,0.700000000000003,103.86,106.2,110.26,93.9,112.6,112.88,106.203333333333,85.61,91.7966666666667,0.33333333,0.25,0.08333333,0.33333333,89.4000015258789,87.5999959309896,80.8000030517578,75,1.40669453144073,-8.15932846069336,7.08874416351318,9.29619884490967,7.08304929733276,3.58874575297038,1.65019166469574,-6.28228092193604,0.0488484427332878,-0.302877184003592,0.057969942688942,-0.37358595430851,1.2212110683322,-10.0959061334531,5.7969942688942,-9.33964885771275,0.16666667,0.66666667,0.41666667,1,0.5,0.6,0.5,18.66666667,NA,0.33333333,0.33333333,0.25,0.08333333,NA,74.9715270996094,89.3145751953125,87.5319315592448,80.7759017944336,NA,9.92237281799316,1.54412508010864,-8.40854008992513,7.34206008911133,NA,-7.42156505584717,6.79996490478516,3.02178319295247,1.10067999362946,NA,-0.37358595430851,0.0488484427332878,-0.302877184003592,0.057969942688942,NA,-9.33964885771275,1.2212110683322,-10.0959061334531,5.7969942688942,0.16666667,0.66666667,0.41666667,1,0.5,0.6,0.5,2,72.9499969482422,33.5,0,0,75.4,0,0,"2024-09-30",1
"Phil Maton",18064,"2024-09-29","@MIL",25,2024,"NYM","A",31,0,0,0,1,0,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,0,0,1,9,0,18,1,0.333333333,0,3,1,0,0,1,0,0,0.2,0,0.2,2.00296908401489,0,0.4,2,0.5,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,30.1620045506571,66.5170884121943,3,0,0.75,0.25,0,0,0,0,7,16,23,0.0143379997462034,-0.0156520009040833,0.0299900025129318,0.498999983072281,0.0512583442032337,0.30103999376297,0.328800022602081,0.328800022602081,0.199200004339218,1,1,-0.0155417174100876,0.063169939716964,0,0,0.56521739,90,0.17391304,80.75,NA,NA,0.26086957,75.83333333,NA,-0.298811674118042,0.176499843597412,NA,-0.0886905640363693,-2.29855133936955,4.4124960899353,NA,-1.47817606727282,0.125,0.66666667,0.47826087,0,0.9,0.81818182,0.65217391,0.8,0.08695652,3,1,0,1,2,1,4,0.75,0.25,0,0.25,0.5,0.25,0.276496566629617,49.12442,72.74722,46.52107,80,48.11448,80,53.06332,64.19147,48.21515,77.05251,56.11391,67.54061,68.86234,64.29102,65.97917,-1.04644,2.50743,133.58,79.6,96.98,112.48,99.1,103.06,114.7,99.14,108.4,95.86,139.68,127.9,111.144347826087,111.66347826087,113.202608695652,0.43478261,0.13043478,0.17391304,0.26086957,90.3900024414063,88.7000020345052,80.6999969482422,75.7666625976562,0.213637900352478,-9.27121798197428,8.71758842468262,8.41792170206706,7.32800750732422,4.15359306335449,3.08923530578613,-6.51811663309733,0.112036172300577,-0.416688397526741,0.178351409733295,-0.0907517932355404,1.12036172300577,-13.8896132508914,4.45878524333239,-1.51252988725901,0.125,0.66666667,0.47826087,0,0.9,0.81818182,0.65217391,18.61111111,NA,0.26086957,0.43478261,0.13043478,0.17391304,NA,75.4928843180339,90.0928894042969,88.4042053222656,80.4059753417969,NA,9.64614677429199,0.81278772354126,-8.96499633789062,9.54481506347656,NA,-8.13508987426758,6.71541976928711,3.27270666758219,2.28557753562927,NA,-0.0907517932355404,0.112036172300577,-0.416688397526741,0.178351409733295,NA,-1.51252988725901,1.12036172300577,-13.8896132508914,4.45878524333239,0.22222222,0.64285714,0.47826087,0.5,0.88888889,0.81818182,0.60869565,4,81.8276977539062,-7.94461154937744,0,0,95.2333,1,0.25,"2024-09-29",0
"Phil Maton",18064,"2024-09-28","@MIL",25,2024,"NYM","A",31,0,0,0,1,0,0,0,0,0,0,0,1.2,5,0,0,0,0,0,0,0,0,0,4,21.6000082397492,0,0,4,0,0,1,0,0,0,0,0,0,0.8,0,0.8,-0.357830915985106,0,0,0,0,1,-1.63352205276559,1.63352205276559,-1.63352205276559,0,-37.9166801915282,-37.6857591238177,1,0,1,0,0,0,0,0,1,14,15,0.0959300324320793,0,0.0959300324320793,1.44099998474121,0.148022592067719,0.609200000762939,0.655933380126953,0.969800055027008,0.399000018835068,1,1,0.146908268332481,0.010560596263612,1,0,0.4,89.66666667,0.26666667,82,NA,NA,0.33333333,76.6,NA,0.690521657466888,0.111320063471794,NA,0.4754938185215,11.5086942911148,2.78300158679485,NA,9.50987637042999,0.71428571,0.5,0.6,0.6,0.5,0.55555556,0.53333333,1,0.26666667,1,0,0,0,1,0,1,1,0,0,0,1,0,-2.01269247766415,71.38485,70.23091,65.19257,80,58.37415,80,80,64.69869,72.6905,80,59.19366,58.70138,80,67.88573,75.31756,-2.23408,0.72597,117.08,121.26,122.54,81.56,139.64,138.46,119.16,99.52,119.06,109.7,124.56,120.12,110.930666666667,118.793333333333,123.089333333333,0.26666667,0.13333333,0.26666667,0.33333333,90.7249984741211,87.4499969482422,81.75,76.4799987792969,1.82618260383606,-8.6353645324707,9.41305923461914,8.75828552246094,6.91874027252197,3.95568466186523,2.74135255813599,-7.87839126586914,0.444300774484873,0.254104062914848,0.112455744296312,0.480757333338261,11.1075193621218,12.7052031457424,2.81139360740781,9.61514666676521,0.75,0.54545455,0.6,0.66666667,0.5,0.55555556,0.73333333,19.8,NA,0.33333333,0.26666667,0.13333333,0.26666667,NA,76.1005187988281,90.348274230957,87.0880508422852,81.3663024902344,NA,9.53165435791016,2.40728998184204,-8.42302989959717,10.1817474365234,NA,-9.39839019775391,6.29941987991333,2.99208998680115,1.89782202243805,NA,0.480757333338261,0.444300774484873,0.254104062914848,0.112455744296312,NA,9.61514666676521,11.1075193621218,12.7052031457424,2.81139360740781,0.75,0.54545455,0.6,0.66666667,0.5,0.55555556,0.73333333,1,78.8256912231445,-3.6569812297821,0,0,78.8257,0,0,"2024-09-28",0
"Phil Maton",18064,"2024-09-22","PHI",25,2024,"NYM","H",31,1,0,0,1,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,5.51506241997356,0,0,0,0,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,78.7896047094219,114.84853560366,1.5,0.166666666,0.5,0.333333333,0,0,1,4.5,8,14,22,0.136367991566658,0,0.136367991566658,0.917999982833862,0.0998368635773659,0.925133347511292,1.26500010490417,1.19000005722046,1.73000001907349,1,1,0.14775650203228,-0.000352895910521817,1,0,0.68181818,88.66666667,0.22727273,81.4,NA,NA,0.09090909,73.5,NA,0.989834368228912,0.471914499998093,NA,-0.0344077162444592,6.59889578819275,9.43828999996185,NA,-1.72038581222296,0.33333333,0.71428571,0.45454545,1,1,1,0.31818182,0.16666667,0,2,3,1,0,4,2,6,0.33333333,0.5,0.16666667,0,0.66666667,0.33333333,3.11355473937449,20,80,20,29.37553,41.58972,25.67663,70.38019,61.08348,73.78222,26.39286,51.9021,33.14775,33.42821,55.03943,27.36534,1.15495,5.80952,137.72,35.9,66.96,81.78,97.3,75.16,115.5,128.98,140.32,89.9,95.84,92.16,97.1127272727273,98.4536363636364,94.6327272727273,0.31818182,0.36363636,0.22727273,0.09090909,88.9285714285714,88.125,81.3400024414063,73.8000030517578,2.07852104731968,-6.58366918563843,10.1634658813477,10.0882253646851,5.70726013183594,4.53707504272461,1.38209438323975,-7.91782379150391,0.448120106011629,0.596116192638874,0.477747995406389,-0.0350487045943737,6.40171580016613,7.45145240798593,9.55495990812778,-1.75243522971869,0.16666667,0.8,0.45454545,1,1,1,0.45454545,19,NA,0.09090909,0.31818182,0.36363636,0.22727273,NA,73.4357528686523,88.5466570172991,87.7587738037109,80.9533020019531,NA,10.2094993591309,2.40268298557826,-6.69994258880615,10.5962295532227,NA,-9.34463977813721,4.9231196812221,3.67906618118286,0.33738374710083,NA,-0.0350487045943737,0.448120106011629,0.596116192638874,0.477747995406389,NA,-1.75243522971869,6.40171580016613,7.45145240798593,9.55495990812778,0.16666667,0.8,0.45454545,1,1,1,0.45454545,6,86.2985331217448,2.67113304138184,1,0.16666667,104.456,2,0.33333333,"2024-09-22",0
"Phil Maton",18064,"2024-09-18","WSN",25,2024,"NYM","H",31,0,0,0,1,0,0,0,0,0,0,0,1,5,1,0,0,0,1,0,0,0,0,1,9,9,9,1,0,0,2,1,0,0,0,0,0,0.2,0.2,0,5.60764908401489,0,0.25,2,0.333333333333333,1,4.1664797782898,-4.1664797782898,5.67848818451166,0,103.103404788804,139.014259199392,2,0,0.666666666,0.333333333,0,0,1,9,10,15,25,0.000551972363609821,-0.000804027309641242,0.00135599973145872,0.458999991416931,0.0499184317886829,0.0140800001099706,0.0126000000163913,0.0126000000163913,0,1,1,0.0173969268798828,0.0218056554566719,0,0,0.48,88.25,0.28,81.71428571,NA,NA,0.24,75.5,NA,-0.552213668823242,0.136103332042694,NA,0.0725755393505096,-4.60178057352702,1.94433331489563,NA,1.20959232250849,0.2,0.7,0.4,1,0.71428571,0.8,0.4,0.2,0.08,0,1,2,1,2,0,3,0,0.33333333,0.66666667,0.33333333,0.66666667,0,2.44206895815784,48.56719,80,20,80,44.95993,80,58.9985,57.87379,54.51537,31.69686,54.30179,43.31922,54.88738,72.80983,49.13436,-0.17822,3.80976,104.58,40.24,90.28,90.18,169.6,188.76,108.82,86.72,114.16,71.74,77.78,65.2,92.2168,82.292,99.7552,0.36,0.12,0.28,0.24,88.2888861762153,88.0999959309896,81.471426827567,75.4333343505859,1.2860509024726,-8.18529764811198,9.3786871773856,10.3391621907552,6.30001449584961,5.83020337422689,2.67483302525112,-8.14927736918131,-0.590965554118156,-0.00584347918629646,0.13741521909833,0.0705640763044357,-6.56628393464618,-0.194782639543215,1.96307455854756,1.17606793840726,0.09090909,0.64285714,0.4,1,0.77777778,0.8,0.56,20.05,NA,0.24,0.36,0.12,0.28,NA,75.2426961263021,88.0985107421875,87.9554646809896,81.2586321149554,NA,10.5502115885417,1.37062358856201,-8.04501660664876,9.54692731584821,NA,-9.77776845296224,5.59320322672526,4.6140931447347,1.79929774148124,NA,0.0705640763044357,-0.590965554118156,-0.00584347918629646,0.13741521909833,NA,1.17606793840726,-6.56628393464618,-0.194782639543215,1.96307455854756,0.1,0.6,0.4,1,0.77777778,0.8,0.6,3,72.4060363769531,18.0041249593099,0,0,73.6447,0,0,"2024-09-18",0
"Phil Maton",18064,"2024-09-15","@PHI",25,2024,"NYM","A",31,0,0,0,1,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.2527290840149,0,0,0,0,1,3.1664797782898,-3.1664797782898,7.70250972840334,0,78.7896047094219,187.926204380887,0,0,0,1,0,0,0,0,2,3,5,0.0933439880609512,0,0.0933439880609512,0.361999988555908,0.0370711721479893,3.4092001914978,1.7046000957489,3.4092001914978,2.26099991798401,1,1,0.0273800250142813,4.51439868126569e-10,1,0,0.8,88.75,0.2,82,NA,NA,NA,NA,NA,0.273628681898117,-0.0238054171204567,NA,NA,6.84071704745293,-2.38054171204567,NA,NA,0.33333333,1,0.6,1,0.5,0.66666667,0.4,1,0.2,0,0,1,0,1,0,1,0,0,1,0,1,0,0.766477058496952,NA,NA,NA,NA,NA,NA,36.02193,47.38693,20,79.72878,67.0686,78.53374,75.07673,66.28206,76.78515,-1.43251,1.92833,NA,NA,NA,NA,NA,NA,108.7,91.68,101.8,113.54,155.74,158.92,112.572,142.928,147.496,0.8,NA,0.2,NA,88.9250030517578,NA,82,NA,2.28392434120178,NA,8.23906326293945,NA,5.4098949432373,NA,2.15383219718933,NA,0.277007400989532,NA,-0.0242429338395596,NA,6.92518502473831,NA,-2.42429338395596,NA,0.33333333,1,0.6,1,0.5,0.66666667,0.4,20,NA,NA,0.8,NA,0.2,NA,NA,88.544075012207,NA,81.6135025024414,NA,NA,2.49118256568909,NA,8.90528964996338,NA,NA,4.62755250930786,NA,1.20800995826721,NA,NA,0.277007400989532,NA,-0.0242429338395596,NA,NA,6.92518502473831,NA,-2.42429338395596,0.33333333,1,0.6,1,0.5,0.66666667,0.4,1,91.0546493530273,47.7926368713379,0,0,91.0546,0,0,"2024-09-15",0
"Phil Maton",18064,"2024-09-13","@PHI",25,2024,"NYM","A",31,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,1,1,0,0,0,0,0.33333333,0,0.33333333,2.61817353088578,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,30.1620045506571,66.5170884121943,0,0.5,0,0.5,0,0,1,9,4,8,12,0.000303999986499548,0,0.000303999986499548,0.500999987125397,0.0513056851923466,0.00673333322629333,0.0101999994367361,0.0101999994367361,0,1,1,0.0300000011920929,0.0151485123721019,0,0,0.66666667,89.25,0.08333333,83,NA,NA,0.25,75,NA,0.450752377510071,-0.0373910665512085,NA,0.39421346783638,5.63440471887589,-3.73910665512085,NA,13.1404489278793,0.2,0.28571429,0.25,0,1,0.66666667,0.58333333,0.66666667,0.08333333,0,1,1,1,1,0,2,0,0.5,0.5,0.5,0.5,0,3.39420788865905,56.99035,67.54684,38.63884,80,48.33852,80,28.00874,69.60295,20,31.73609,47.80874,33.94504,75.51721,54.83636,69.3931,-1.45988,1.88727,124.64,98.6,120.9,105.66,135.3,130.24,168.5,75.22,90.04,102.82,106.56,95.32,114.931666666667,113.933333333333,115.825,0.25,0.41666667,0.08333333,0.25,89.7000020345052,88.9200012207031,83.1999969482422,75.2999979654948,0.254508415857951,-9.40942306518555,8.32081413269043,10.378257115682,6.83744176228841,3.89762268066406,1.81069695949554,-5.96929931640625,-0.00592551752924919,0.462241355329752,-0.0380783230066299,0.398722518235445,-0.197517250974973,9.24482710659504,-3.80783230066299,13.2907506078482,0.33333333,0.16666667,0.25,0.5,1,0.66666667,0.5,16.77777778,NA,0.25,0.25,0.41666667,0.08333333,NA,74.8728332519531,89.2550659179688,88.5470581054688,82.7536010742188,NA,11.6318333943685,0.590301195780436,-9.16410598754883,9.72391033172607,NA,-7.75765673319499,6.2141367594401,2.77374992370605,0.687094986438751,NA,0.398722518235445,-0.00592551752924919,0.462241355329752,-0.0380783230066299,NA,13.2907506078482,-0.197517250974973,9.24482710659504,-3.80783230066299,0.2,0.28571429,0.25,0,1,0.66666667,0.58333333,2,72.7034072875977,29.0112266540527,0,0,91.3776,0,0,"2024-09-13",0
"Phil Maton",18064,"2024-09-08","CIN",25,2024,"NYM","H",31,0,1,27.000028163224,1,0,0,0,0,0,0,0,0.2,5,2,2,2,0,0,0,1,0,0,1,13.500014081612,0,27.000028163224,1,0.5,0,2,0,1,0,1,0,0,0.2,0,0.2,2.00296908401489,0,0.5,3.00000312924711,0.666666666666667,0.33333333,4.66648134291335,22.3335468203107,4.66648134291335,681.225257666719,115.26034287044,114.558381588337,2,0.333333333,0.666666666,0,0,0,0,0,5,12,17,-0.429100006818771,-0.439567983150482,0.0104680005460978,-1.84600007534027,-0.200761273503304,2.80871987342834,2.26079988479614,2.26079988479614,0.405599981546402,1,1,-0.101265154778957,-0.0515090719704723,0,1,0.41176471,88.42857143,0.23529412,82.5,NA,NA,0.35294118,75,NA,-0.168907538056374,0.179281488060951,NA,-1.09750556945801,-2.41296482937677,4.48203720152378,NA,-18.2917594909668,0.4,0.71428571,0.52941176,0.5,1,0.77777778,0.41176471,0.6,0.11764706,3,0,0,0,2,1,3,1,0,0,0,0.66666667,0.33333333,5.90317343895902,44.95839,68.2195,46.24977,67.91589,53.09764,74.96514,29.50208,53.99795,20,20,46.36324,20,32.47244,59.81682,20.97555,1.21433,5.89859,128.44,71.64,93.76,89.12,94.66,98.82,119.26,91.88,104.86,96.8,57.06,49.22,111.896470588235,77.0341176470588,86.784705882353,0.23529412,0.17647059,0.23529412,0.35294118,89.5250015258789,87.0666707356771,82.25,74.8833312988281,0.68921947479248,-7.222349802653,8.86083698272705,9.6515998840332,7.13618469238281,5.17674255371094,4.00995206832886,-7.56825192769368,-0.32207615301013,0.147504448890686,0.180804740637541,-1.11021637916565,-8.05190382525325,4.91681496302287,4.52011851593852,-18.5036063194275,0.44444444,0.625,0.52941176,0.5,1,0.77777778,0.47058824,18.91666667,NA,0.35294118,0.23529412,0.17647059,0.23529412,NA,74.7460479736328,89.3689498901367,86.8931986490885,82.0495452880859,NA,10.084348042806,0.910528004169464,-7.02097320556641,9.43488502502441,NA,-8.90898195902506,6.608802318573,4.36570008595784,3.0264048576355,NA,-1.11021637916565,-0.32207615301013,0.147504448890686,0.180804740637541,NA,-18.5036063194275,-8.05190382525325,4.91681496302287,4.52011851593852,0.44444444,0.625,0.52941176,0.5,1,0.77777778,0.47058824,3,92.8385823567708,-4.47826703389486,0,0,100.139,1,0.33333333,"2024-09-08",0
"Phil Maton",18064,"2024-09-04","BOS",25,2024,"NYM","H",31,0,0,0,1,0,0,0,0,0,1,0,0.1,3,2,0,0,0,0,0,0,0,0,0,0,0,54.0000563264481,0,0,0,0,0,3,0,0,0,0,0,0,0,6.03472908401489,0,0.666666666666667,6.00000625849423,0.666666666666667,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,78.7896047094219,78.3097583844777,0,1,0,0,0,0,4,108.000112652896,4,9,13,0.025193989276886,-0.0942599922418594,0.119453981518745,0.0950000137090683,0.0103317033499479,2.48839998245239,0.500199973583221,1.00039994716644,0.137799993157387,1,1,-0.0351270139217377,0.0452515877260087,0,0,0.38461538,88.8,0.07692308,81,NA,NA,0.53846154,75.57142857,NA,-0.401445508003235,-0.479063183069229,NA,0.244041845202446,-8.0289101600647,-47.9063183069229,NA,3.48631207432066,0.5,0.8,0.61538462,0.75,0.75,0.75,0.38461538,0.66666667,0.15384615,1,1,1,1,1,1,3,0.33333333,0.33333333,0.33333333,0.33333333,0.33333333,0.33333333,33.732238315421,53.33531,68.91838,36.63043,63.6846,25.6247,80,80,41.50235,80,20,59.88418,20,43.68468,62.37175,34.63956,0.51776,4.85373,111.2,80.72,96.86,76.86,98.84,107.08,95.98,165.44,164.08,83.04,75.24,63.44,97.6833333333333,87.4633333333333,92.1733333333333,0.30769231,0.07692308,0.07692308,0.53846154,89.2249984741211,87.1999969482422,81.1999969482422,75.3999982561384,1.27347791194916,-6.89411544799805,7.03628492355347,10.1180583408901,7.53843021392822,7.53118991851807,1.0268886089325,-8.41206577845982,-0.447130642831326,0.039364367723465,-0.486331313848495,0.246653858572245,-11.1782660707831,3.9364367723465,-48.6331313848495,3.52362655103207,0.42857143,0.83333333,0.61538462,0.66666667,0.8,0.75,0.46153846,23.4,NA,0.53846154,0.30769231,0.07692308,0.07692308,NA,75.5260184151786,89.3398284912109,87.347900390625,81.2733001708984,NA,10.8120553152902,1.50001239776611,-6.52405977249146,7.7513599395752,NA,-9.77419172014509,7.04421234130859,6.76760005950928,0.034995298832655,NA,0.246653858572245,-0.447130642831326,0.039364367723465,-0.486331313848495,NA,3.52362655103207,-11.1782660707831,3.9364367723465,-48.6331313848495,0.42857143,0.83333333,0.61538462,0.66666667,0.8,0.75,0.46153846,3,92.4172973632812,16.6599604288737,0,0,106.313,2,0.66666667,"2024-09-04",0
"Phil Maton",18064,"2024-09-02","BOS",25,2024,"NYM","H",31,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-18.4655956081077,-18.3531359984531,1,0,1,0,0,0,0,0,4,8,12,0.0293740071356297,0,0.0293740071356297,0.458999991416931,0.0499184317886829,0.39300000667572,0.69080001115799,0.69080001115799,NA,0,1,0.0750774815678596,-0.000334462136139121,0,0,0.41666667,89.4,0.41666667,80.8,NA,NA,0.16666667,75,NA,0.276297301054001,0.0639056414365768,NA,0.393189787864685,5.52594602108002,1.27811282873154,NA,19.6594893932343,0.125,0.25,0.16666667,0,1,0.5,0.33333333,0.66666667,0.08333333,1,0,0,1,0,0,1,1,0,0,1,0,0,-1.53190373636968,80,80,80,NA,NA,NA,53.68681,65.20601,37.44762,45.54593,47.84186,49.06926,56.43904,67.5348,53.72665,-0.27462,3.66516,139.76,103.48,123.1,NA,NA,NA,101.3,69.44,93.64,72.32,118.3,102.84,95.635,95.4716666666667,102.383333333333,0.41666667,NA,0.41666667,0.16666667,89.4199951171875,NA,80.6400024414063,75.1999969482422,-0.400476169586182,NA,12.273363494873,14.2867641448975,6.98891143798828,NA,1.47484893798828,-7.86384057998657,0.279961358755827,NA,0.0639297217130661,0.397931098937988,5.59922717511654,NA,1.27859443426132,19.8965549468994,0.125,0.25,0.16666667,0,1,0.5,0.33333333,15.44444444,NA,0.16666667,0.33333333,0.08333333,0.41666667,NA,75.6174011230469,89.5641479492188,90.7360000610352,81.0252990722656,NA,14.7986001968384,0.534872472286224,-2.54338002204895,12.6815200805664,NA,-9.27579975128174,5.86117744445801,7.6144700050354,0.482488346099854,NA,0.397931098937988,0.304204292595387,-0.0242429338395596,0.0639297217130661,NA,19.8965549468994,7.60510731488466,-2.42429338395596,1.27859443426132,0.125,0.25,0.16666667,0,1,0.5,0.33333333,1,76.5659103393555,-38.0427589416504,0,0,76.5659,0,0,"2024-09-02",0
