"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","wFB","wSL","wFB/C","wSL/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxSI%","pfxSL%","pfxvSI","pfxvSL","pfxSI-X","pfxSL-X","pfxSI-Z","pfxSL-Z","pfxwSI","pfxwSL","pfxwSI/C","pfxwSL/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piSI%","piSL%","pivSI","pivSL","piSI-X","piSL-X","piSI-Z","piSL-Z","piwSI","piwSL","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Taylor Rogers",13449,"2024-09-29","STL",30,2024,"SFG","H",33,0,0,0,1,0,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,13.500014081612,0,0,1,0,0,0,0,1,0,0,0,0,0.5,0,0.5,0.562229084014893,0,0,0,0,1,0.166476649042681,-0.166476649042681,0.166476649042681,0,6.04315120218939,5.81251197675874,0,1,0,0,0,0,0,0,2,6,8,0.0431319959461689,0,0.0431319959461689,0.875,0.0930356234312057,0.906299948692322,0.479299992322922,0.958599984645844,0.402400016784668,1,1,0.0477641150355339,-0.000172811506936106,0,0,0.625,91,0.375,77.33333333,0.328196287155151,0.218237563967705,6.56392574310303,7.27458546559016,0,0.33333333,0.25,NA,1,1,0.75,0.5,0,1,0,0,1,0,0,1,1,0,0,1,0,0,5.26994005821887,54.91805,56.1268,76.18565,79.4128,47.251,66.03195,70.70861,52.41095,80,-1.16114,2.33538,92.76,121.36,112.22,112.34,116.2,117.54,100.1025,119.425,114.215,0.625,0.375,90.9399963378906,77.2999979654948,11.001944732666,-8.94700495402018,4.86393814086914,0.594291965166728,0.33210963755846,0.220729291439056,6.6421927511692,7.35764304796855,0,0.33333333,0.25,NA,1,1,0.75,18.16666667,0.625,0.375,91.0869018554688,77.4254659016927,10.2331840515137,-10.0456403096517,3.9259880065918,-0.377727667490641,0.33210963755846,0.220729291439056,6.6421927511692,7.35764304796855,0,0.33333333,0.25,NA,1,1,0.75,1,72.3875503540039,13.4415321350098,0,0,72.3876,0,0,"2024-09-29",0
"Taylor Rogers",13449,"2024-09-27","STL",30,2024,"SFG","H",33,0,0,0,1,0,0,0,0,0,0,0,1.1,7,1,0,0,0,1,0,0,0,0,0,0,6.75000160932579,6.75000160932579,0,0,0,4,1,1,0,0,0,0,0,0.14285714,-0.14285714,6.17570866393187,0,0.166666666666667,1.50000035762795,0.166666666666667,1,5.41648031473173,-5.41648031473173,6.55048688976636,0,137.947468438657,160.086738886414,4,0.166666666,0.666666666,0.166666666,0,0,0,0,11,22,33,-0.133680000901222,-0.192016005516052,0.05833600461483,-0.951999962329865,-0.10122275352478,0.747542858123779,0.97133332490921,2.01999998092651,0.402400016784668,1,1,-0.0187952369451523,-0.160030631630114,0,1,0.6969697,92.08695652,0.3030303,77.6,-1.65801095962524,0.741213619709015,-7.20874330271845,7.41213619709015,0.22222222,0.6,0.39393939,1,1,1,0.45454545,0.71428571,0,2,4,0,0,3,3,6,0.33333333,0.66666667,0,0,0.5,0.5,5.23743731657759,21.08597,42.88182,45.68784,80,48.20968,80,48.28695,43.07791,66.79864,0.23184,4.42485,93.58,71.62,58.56,119.26,146.9,159.82,101.361818181818,94.4321212121212,89.2448484848485,0.6969697,0.3030303,91.9869543987772,77.5099975585938,9.71689439856488,-8.64881286621094,4.28017856763757,0.369376158714294,-1.67929919436574,0.751980368047953,-7.30130084506843,7.51980368047953,0.06666667,0.66666667,0.39393939,1,1,1,0.54545455,17.61538462,0.6969697,0.3030303,92.0218877377717,77.5533874511719,8.96229088824728,-9.84382476806641,3.34128205672554,-0.843657493591309,-1.67929919436574,0.751980368047953,-7.30130084506843,7.51980368047953,0.13333333,0.61111111,0.39393939,1,1,1,0.54545455,6,92.2533569335938,3.94142595926921,0,0,107.954,3,0.5,"2024-09-27",0
"Taylor Rogers",13449,"2024-09-25","@ARI",30,2024,"SFG","A",33,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,2,0,0,0,0,0,0,0.33333333,0,0.33333333,-0.694826464786218,0,0,0,0,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,31.1678441352104,29.9783111930123,2,0,1,0,0,0,0,0,7,11,18,0.0132200121879578,0,0.0132200121879578,0.510999977588654,0.0516161620616913,0.168666660785675,0.225999996066093,0.225999996066093,0.165999993681908,1,1,0.0789038464426994,-0.000524324808863025,0,0,0.55555556,92.7,0.44444444,78.875,0.700745940208435,-0.0102629251778126,7.00745940208435,-0.128286564722657,0.27272727,0.42857143,0.33333333,0.66666667,1,0.83333333,0.38888889,0.33333333,0.05555556,1,1,0,1,1,0,2,0.5,0.5,0,0.5,0.5,0,-0.212132203120714,58.08297,20,62.00587,61.02999,56.2875,41.62094,65.03863,36.75724,58.44105,-0.80888,2.86377,80.54,130.2,99.26,130.52,80.44,103.88,101.12,109.710588235294,101.162352941176,0.55555556,0.44444444,92.6799987792969,78.7750015258789,10.1531532287598,-8.29090023040771,4.80082092285156,1.14685022830963,0.710160054266453,-0.0114611200988293,7.10160054266453,-0.143264001235366,0.3,0.375,0.33333333,0.66666667,1,0.83333333,0.44444444,15.53333333,0.55555556,0.44444444,92.3562133789062,78.4398498535156,9.62567138671875,-9.55280685424805,3.75899620056152,-0.366816639900208,0.710160054266453,-0.0114611200988293,7.10160054266453,-0.143264001235366,0.3,0.375,0.33333333,0.66666667,1,0.83333333,0.44444444,2,80.2431259155273,-12.6867446899414,0,0,103.876,1,0.5,"2024-09-25",0
"Taylor Rogers",13449,"2024-09-19","@BAL",30,2024,"SFG","A",33,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,1,2,0,0,0,0,0,0.25,0,0.25,3.28666658401489,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,4.19049659073353,0,31.1678441352104,103.055865631376,0.5,0,0.333333333,0.666666666,0,0,0,0,6,12,18,0.0442199930548668,-0.0109599828720093,0.0551799759268761,0.467000007629395,0.0502150543034077,0.639499962329865,0.799999952316284,0.799999952316284,0.71399998664856,1,1,0.0492087081074715,0.0199390568021024,0,0,0.55555556,92.8,0.44444444,79.5,0.683340430259705,-0.430389940738678,6.83340430259705,-5.37987425923347,0.25,0.6,0.44444444,0.5,1,0.875,0.55555556,0.75,0.05555556,0,3,0,0,3,0,3,0,1,0,0,1,0,-0.0817655606449732,45.83109,43.18853,61.27186,53.23545,51.47195,33.63294,52.5438,47.68836,53.27922,-0.03263,4.02815,91.56,115.44,106.12,118.76,103.56,111.18,103.648888888889,110.16,108.368888888889,0.55555556,0.44444444,92.8400024414063,79.25,10.3046035766602,-8.46916007995605,4.57424125671387,0.652158856391907,0.692175291478634,-0.438018061220646,6.92175291478634,-5.47522576525807,0.16666667,0.58333333,0.44444444,0,1,0.875,0.66666667,17.14285714,0.55555556,0.44444444,92.8846130371094,79.2677001953125,9.80383224487305,-9.29248523712158,3.42350807189941,-0.654448390007019,0.692175291478634,-0.438018061220646,6.92175291478634,-5.47522576525807,0.16666667,0.58333333,0.44444444,0,1,0.875,0.66666667,3,90.6692504882812,9.12543296813965,0,0,101.434,1,0.33333333,"2024-09-19",0
"Taylor Rogers",13449,"2024-09-15","SDP",30,2024,"SFG","H",33,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,2,0,1,0,0,0,0.33333333,0,0.33333333,4.45139575020756,0,0,0,0,1,1.1664797782898,-1.1664797782898,4.19049659073353,0,31.1678441352104,103.055865631376,0,0,0,1,0.5,0,0,0,5,7,12,0.0854919999837875,0,0.0854919999837875,0.474000006914139,0.0503987222909927,1.1444000005722,1.53539991378784,1.53539991378784,1.83619999885559,1,1,0.0748631060123444,-0.000158457339641468,1,0,0.58333333,93,0.41666667,79.4,0.419356435537338,0.364130049943924,5.99080622196198,7.28260099887848,0.16666667,0.83333333,0.5,0,1,0.83333333,0.5,0.66666667,0.08333333,0,1,1,1,1,0,2,0,0.5,0.5,0.5,0.5,0,-1.47289758731361,32.04099,49.47303,37.12531,29.59268,45.2886,20,30.76548,47.73551,23.2621,1.32038,6.05766,92.32,99.38,111.32,110.2,85.6,93.7,99.77,93.6383333333333,103.978333333333,0.58333333,0.41666667,92.8857160295759,79.2400024414062,8.79068265642439,-6.12294082641602,3.62469645908901,1.02459297180176,0.424511857330799,0.350236650556326,6.0644551047257,7.00473301112652,0.16666667,0.83333333,0.5,0,1,0.83333333,0.5,17,0.58333333,0.41666667,92.9919695172991,79.3241821289062,8.13294001988002,-7.3826301574707,2.77022852216448,-0.0565652132034302,0.424511857330799,0.350236650556326,6.0644551047257,7.00473301112652,0.14285714,1,0.5,1,0.8,0.83333333,0.41666667,2,89.791259765625,65.6385803222656,0,0,97.3866,1,0.5,"2024-09-15",0
"Taylor Rogers",13449,"2024-09-13","SDP",30,2024,"SFG","H",33,0,0,0,1,0,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,0,0,0,13.500014081612,0,0.333333333,0,3,0,0,0,1,0,0,0,0,0,-1.18327091598511,0,0.333333333333333,1.50000156462356,0.333333333333333,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,81.4170727589986,78.3097583844777,3,0,1,0,0,0,0,0,2,7,9,0.00873399805277586,-0.00327799818478525,0.0120119964703918,0.395000010728836,0.0419989377260208,0.18979999423027,0.199799984693527,0.357799977064133,0.161600008606911,1,1,0.0140958419069648,0.0319210090850302,0,0,0.66666667,92.33333333,0.33333333,78.33333333,-0.057998102158308,0.0182156562805176,-0.9666350359718,0.607188542683919,0.25,0.8,0.55555556,1,1,1,0.55555556,0.66666667,0,0,2,1,0,1,2,3,0,0.66666667,0.33333333,0,0.33333333,0.66666667,1.34180193046909,75.85006,47.81994,79.02784,80,40.4865,80,80,43.97237,80,-2.31395,0.60617,94.28,131.36,122.14,108.48,152.8,127.5,99.0133333333333,138.506666666667,123.926666666667,0.66666667,0.33333333,92.3166707356771,78.5,10.049809773763,-6.98383204142253,4.20071220397949,0.609222571055094,-0.0600479021668434,0.0183174163103104,-1.00079836944739,0.610580543677012,0.33333333,0.66666667,0.55555556,1,1,1,0.66666667,16,0.66666667,0.33333333,92.3540852864583,78.5526021321615,9.36322657267253,-8.00021998087565,3.08034992218018,-0.53105898698171,-0.0600479021668434,0.0183174163103104,-1.00079836944739,0.610580543677012,0.33333333,0.66666667,0.55555556,1,1,1,0.66666667,3,98.9427388509115,-3.48037147521973,0,0,109.063,2,0.66666667,"2024-09-13",0
"Taylor Rogers",13449,"2024-09-10","MIL",30,2024,"SFG","H",33,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,2,0,0,0,0,1,9,18,0,0.5,0,0,0,1,1,1,0,0,0,0.2,0.4,-0.2,10.5633290840149,0,0,2,0,1,7.1664797782898,-7.1664797782898,8.67848818451166,0,181.915530006575,211.511429986591,0,0.5,0,0.5,1,0,0,0,9,13,22,0.0350399911403656,-0.0296899937093258,0.0647299885749817,0.474000006914139,0.0503987222909927,0.740599989891052,0.623199999332428,0.623199999332428,NA,0,1,0.0164399612694979,0.0308730168815284,0,0,0.5,92.63636364,0.5,78.18181818,-0.111925780773163,0.250032603740692,-1.01750709793784,2.27302367036993,0.35714286,0.375,0.36363636,0.8,0.66666667,0.75,0.36363636,0.8,0.09090909,0,1,1,1,1,0,2,0,0.5,0.5,0.5,0.5,0,9.54965668687305,20,31.77227,38.72615,80,54.51288,78.37792,48.62288,44.97676,63.28255,0.21097,4.39355,80.32,26.28,19.2,120.98,129.5,141.72,100.65,77.89,80.46,0.5,0.5,92.627274946733,78.1454523259943,9.91187563809481,-8.22381522438743,4.42681121826172,0.854588421908292,-0.0782253481447697,0.251194771379232,-0.711139528588815,2.28358883072029,0.25,0.5,0.36363636,1,0.6,0.75,0.45454545,18.23529412,0.5,0.5,92.7112926136364,78.2420265891335,9.34411898526278,-9.1449765292081,3.44117008556019,-0.35959454016252,-0.0782253481447697,0.251194771379232,-0.711139528588815,2.28358883072029,0.25,0.5,0.36363636,1,0.6,0.75,0.45454545,2,71.5108184814453,27.4923362731934,0,0,100.329,1,0.5,"2024-09-10",0
"Taylor Rogers",13449,"2024-09-08","@SDP",30,2024,"SFG","A",33,0,0,27.000028163224,1,0,0,0,0,0,0,0,0.1,4,1,3,1,0,2,0,0,0,0,0,0,54.0000563264481,27.000028163224,0,0,0,1,0,1,0,0,0,0,0,0.5,-0.5,16.3629790840149,0,0.5,9.00000938774135,0.5,0,21.1664985537725,5.83352960945155,21.1664985537725,670.162781545892,533.660602099854,513.293236830792,1,0.5,0.5,0,0,0,0,0,13,17,30,-0.0324340015649796,-0.0396080017089844,0.00717399967834353,-1.057000041008,-0.115330070257187,0.361249983310699,0.208800002932549,0.208800002932549,1.06079995632172,1,1,-0.0993702635169029,0.0095875560749925,0,0,0.5,92.73333333,0.5,79.06666667,-0.642230570316315,-0.237489342689514,-4.2815371354421,-1.58326228459676,0.1875,0.71428571,0.43333333,1,1,1,0.46666667,0.5,0,1,1,0,1,1,0,2,0.5,0.5,0,0.5,0.5,0,24.7713020644735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.16,52.36,13.5,123.38,102.78,119.98,101.77,77.57,66.74,0.5,0.5,92.586669921875,78.9333333333333,9.93626505533854,-9.01386515299479,4.36866912841797,-0.389570808410645,-0.658347778022289,-0.242112994194031,-4.38898518681526,-1.61408662796021,0.14285714,0.6875,0.43333333,1,1,1,0.53333333,21.73076923,0.5,0.5,92.4367594401042,78.7425455729167,9.44308471679688,-9.71211649576823,3.46750793457031,-1.65465761820475,-0.658347778022289,-0.242112994194031,-4.38898518681526,-1.61408662796021,0.07692308,0.70588235,0.43333333,1,1,1,0.56666667,2,55.7167015075684,-3.70982551574707,0,0,80.2055,0,0,"2024-09-08",0
"Taylor Rogers",13449,"2024-09-04","ARI",30,2024,"SFG","H",33,0,0,0,1,0,0,0,0,0,0,0,1.1,5,0,0,0,0,1,0,0,0,0,0,0,6.75000160932579,0,0,0,0,3,1,0,1,0,0,0,0,0.2,-0.2,7.43248908401489,0,0,0.750000178813977,0,1,5.41648031473173,-5.41648031473173,6.55048688976636,0,137.947468438657,160.086738886414,3,0,0.75,0.25,1,0,2,13.5000032186516,7,15,22,0.00647199852392077,-0.00322400219738483,0.0096960011869669,0.692000031471252,0.073577880859375,0.0866999998688698,0.0756666660308838,0.116200000047684,NA,0,1,0.054961197078228,0.019686998235606,0,0,0.54545455,92.41666667,0.45454545,78.7,0.445962965488434,0.359214246273041,3.71635804573695,3.59214246273041,0.42857143,0.75,0.54545455,1,0.83333333,0.91666667,0.36363636,0.6,0.04545455,1,3,0,2,2,0,4,0.25,0.75,0,0.5,0.5,0,2.84216254656624,20,35.23408,24.80807,67.49615,47.97887,67.63729,38.97307,41.67664,43.86265,0.81047,5.2928,80.78,31,6.64,117.9,129.38,115.98,98.4561904761905,77.847619047619,58.7066666666667,0.54545455,0.45454545,92.375,78.6,10.1151936848958,-8.20038299560547,4.74652131398519,0.878108215332031,0.448071397840977,0.363191910088062,3.73392831534147,3.63191910088062,0.27272727,0.81818182,0.54545455,1,0.88888889,0.91666667,0.5,19.76470588,0.54545455,0.45454545,92.3819580078125,78.5964721679688,9.56095314025879,-9.25149765014648,3.65426508585612,-0.520080471038818,0.448071397840977,0.363191910088062,3.73392831534147,3.63191910088062,0.33333333,0.8,0.54545455,1,0.875,0.91666667,0.45454545,4,78.2397079467773,1.84958529472351,0,0,91.4848,0,0,"2024-09-04",0
"Taylor Rogers",13449,"2024-08-31","MIA",30,2024,"SFG","H",33,0,0,27.000028163224,1,0,0,0,0,0,0,0,0.1,4,3,1,1,1,0,0,0,0,0,0,0,0,81.0000844896721,0,0,0,3,1,0,0,0,0,0,0,0,0,3.65572908401489,27.000028163224,0.75,9.00000938774135,0.666666666666667,1,42.1665204585023,-15.1664922952783,7.70250972840334,670.162781545892,1061.27805299752,187.926204380887,3,0,0.75,0.25,0,1,0,0,5,11,16,-0.147573992609978,-0.170815989375114,0.0232420042157173,-1.40100002288818,-0.148963317275047,0.857400059700012,0.947000026702881,0.947000026702881,1.34319996833801,1,1,-0.173695594072342,0.00157758341858594,0,1,0.5625,92.33333333,0.4375,79.57142857,-1.1365522146225,-0.873162508010864,-12.62835794025,-12.4737501144409,0.375,0.5,0.4375,1,0.75,0.85714286,0.5,0.75,0.0625,1,0,3,0,2,2,4,0.25,0,0.75,0,0.5,0.5,15.2459859621248,20,39.4504,41.52633,80,50.05795,80,61.64257,44.68079,80,-0.5979,3.18024,90.78,92.48,65.94,105.88,149.08,158.36,97.38625,117.2425,106.37375,0.5625,0.4375,92.3222249348958,79.6000017438616,9.8646477593316,-7.50732639857701,3.72731018066406,-0.266282388142177,-1.15495090931654,-0.866259913891554,-12.8327878812949,-12.3751416270222,0.28571429,0.55555556,0.4375,1,0.8,0.85714286,0.5625,14.75,0.5625,0.4375,92.4931098090278,79.7855137416295,9.21311865912543,-8.56587273733956,2.83389557732476,-1.62801878792899,-1.15495090931654,-0.866259913891554,-12.8327878812949,-12.3751416270222,0.28571429,0.55555556,0.4375,1,0.8,0.85714286,0.5625,4,89.3697128295898,12.1500778198242,0,0,104.124,2,0.5,"2024-08-31",0
