"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","CH%","CHv","XX%","wFB","wSL","wCB","wCH","wFB/C","wSL/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_KC","pb_s_KC","pb_c_KC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_KC","sp_l_KC","sp_p_KC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSL%","pfxKC%","pfxCH%","pfxvFA","pfxvSL","pfxvKC","pfxvCH","pfxFA-X","pfxSL-X","pfxKC-X","pfxCH-X","pfxFA-Z","pfxSL-Z","pfxKC-Z","pfxCH-Z","pfxwFA","pfxwSL","pfxwKC","pfxwCH","pfxwFA/C","pfxwSL/C","pfxwKC/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piSL%","pivCH","pivCU","pivFA","pivSL","piCH-X","piCU-X","piFA-X","piSL-X","piCH-Z","piCU-Z","piFA-Z","piSL-Z","piwCH","piwCU","piwFA","piwSL","piwCH/C","piwCU/C","piwFA/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Craig Kimbrel",6655,"2024-09-17","SFG",2,2024,"BAL","H",36,0,0,81.0000844896721,1,0,0,0,0,0,0,0,0.2,8,3,6,6,0,2,0,0,1,0,2,27.000028163224,27.000028163224,40.5000422448361,1,0,1,1,1,1,0,0,1,1,0.25,0.25,0,6.21610408401489,0,0.5,7.50000782311779,0.75,-0.2,6.16648290753691,74.8336015821352,8.43449788259368,2062.83311827146,154.019119463597,207.98433904397,1,0.333333333,0.333333333,0.333333333,0,0,0,0,12,22,34,-0.0125599997118115,-0.0156800001859665,0.00312000024132431,-4.10500001907349,-0.441397845745087,0.0626000016927719,0.0540000014007092,0.0540000014007092,0.00999999977648258,1,1,-0.300431102514267,0.0997921349076291,0,0,0.58823529,93.2,NA,NA,0.29411765,83.8,0.11764706,87.75,NA,-1.17977857589722,NA,-1.14347648620605,-0.203719452023506,-5.89889287948608,NA,-11.4347648620605,-5.09298630058765,0.27272727,0.91666667,0.5,0.66666667,1,0.88235294,0.35294118,0.625,0.05882353,3,0,1,0,2,2,4,0.75,0,0.25,0,0.5,0.5,5.76647187758423,20,65.30849,20,41.18872,55.26019,29.96095,NA,NA,NA,34.12277,58.91522,28.69654,20.8316,55.8428,20,1.93754,6.9834,57.02,-39.74,-71.26,112.08,74.58,79.46,NA,NA,NA,89.32,89.16,85.66,98.5090909090909,65.1412121212121,63.069696969697,0.58823529,NA,0.29411765,0.11764706,93.2200012207031,NA,83.75,87.8499984741211,-5.95325469970703,NA,6.35343589782715,-9.46417236328125,8.73339385986328,NA,-5.13815498352051,0.604798972606659,-0.310872096568346,NA,-1.15776199474931,-0.209242478013039,-1.55436048284173,NA,-11.5776199474931,-5.23106195032597,0.31578947,0.73333333,0.5,0.66666667,1,0.88235294,0.44117647,20.15384615,0.11764706,0.29411765,0.58823529,NA,87.9505462646484,83.8512084960937,93.3432861328125,NA,-9.14805793762207,7.16394500732422,-5.22796821594238,NA,-0.515744030475616,-6.54245834350586,7.85234527587891,NA,-0.209242478013039,-1.15776199474931,-0.310872096568346,NA,-5.23106195032597,-11.5776199474931,-1.55436048284173,NA,0.25,0.85714286,0.5,0.6,1,0.88235294,0.41176471,4,101.235524495443,6.37041346232096,1,0.25,105.284,2,0.5,"2024-09-17",0
"Craig Kimbrel",6655,"2024-09-09","@BOS",2,2024,"BAL","A",36,0,0,18,1,0,0,0,0,0,0,0,1,6,2,2,2,0,1,0,0,0,0,3,27,9,18,3,0,0,1,1,0,0,0,0,0,0.5,0.16666667,0.33333333,2.36922907397889,0,0.4,3,1,0.33333333,0.166479778289795,17.8335202217102,1.67848818451166,458.406881459742,2.33337385345797,39.911237620095,1,0,0.5,0.5,0,0,0,0,9,16,25,-0.0111599825322628,-0.0147319985553622,0.00357201579026878,-1.45299994945526,-0.139980733394623,0.0622285678982735,0.058399997651577,0.058399997651577,0,1,1,-0.0592674389481544,-0.120071133498287,0,0,0.64,93.9375,NA,NA,0.36,84.11111111,NA,NA,NA,-0.611782073974609,NA,-0.125282481312752,NA,-3.82363796234131,NA,-1.39202757014169,NA,0.46666667,0.7,0.56,0.28571429,0.71428571,0.5,0.4,0.83333333,0.28,0,0,2,0,1,1,2,0,0,1,0,0.5,0.5,0.459858622239687,NA,NA,NA,60.31003,70.76915,48.76834,NA,NA,NA,25.3988,64.46824,26.0255,43.8264,68.51791,33.93522,0.50895,4.84052,NA,NA,NA,120.54,107.42,125.72,NA,NA,NA,69.7,44.82,38.26,102.2376,84.884,94.2344,0.64,NA,0.36,NA,93.7437515258789,NA,84.1222195095486,NA,-5.43394422531128,NA,6.58823903401693,NA,8.97471714019775,NA,-5.1207635667589,NA,-0.620530504733324,NA,-0.130549393594265,NA,-3.87831565458328,NA,-1.45054881771406,NA,0.42857143,0.72727273,0.56,0.33333333,0.625,0.5,0.44,18.52631579,NA,0.36,0.64,NA,NA,84.2985365125868,93.9337005615234,NA,NA,7.36353217230903,-4.65087127685547,NA,NA,-6.09768888685438,8.55918788909912,NA,NA,-0.130549393594265,-0.620530504733324,NA,NA,-1.45054881771406,-3.87831565458328,NA,0.4,0.8,0.56,0.33333333,0.625,0.5,0.4,2,92.8359222412109,11.4979200363159,1,0.5,102.534,1,0.5,"2024-09-09",0
"Craig Kimbrel",6655,"2024-09-07","TBR",2,2024,"BAL","H",36,0,0,9,1,0,0,0,0,0,0,0,1,5,1,1,1,0,1,0,0,1,0,1,9,9,9,1,0,0,1,2,0,1,0,0,0,0.2,0.2,0,6.14436908401489,0,0.25,2,0.333333333333333,0.5,4.1664797782898,4.8335202217102,7.19049659073353,229.203440729871,103.457151520003,177.036610333989,0.5,0,0.333333333,0.666666666,0.5,0,0,0,7,14,21,-0.00275999982841313,-0.00392000004649162,0.00116000021807849,-0.532999992370605,-0.0573118254542351,0.0196666661649942,0.0199999995529652,0.0199999995529652,NA,0,1,-0.0648051872849464,-0.0755337906210192,0,0,0.47619048,93.1,0.0952381,85,0.42857143,84.55555556,NA,NA,NA,-1.06018686294556,-0.0827912092208862,0.504989206790924,NA,-10.6018686294556,-4.13956046104431,5.61099118656582,NA,0.38461538,0.625,0.47619048,0.2,1,0.6,0.38095238,0.8,0.19047619,1,1,1,1,1,1,3,0.33333333,0.33333333,0.33333333,0.33333333,0.33333333,0.33333333,1.50181774828415,NA,NA,NA,46.38924,56.03626,36.79842,35.42137,80,20.78844,43.52128,56.30746,39.51544,39.26516,63.88547,27.231,0.79233,5.26559,86.3,106.98,93.68,114.16,73.98,77.9,119.52,86.44,91.92,95.64,69.02,61.64,105.406666666667,74.612380952381,73.0180952380952,0.42857143,0.0952381,0.42857143,0.04761905,93.4888916015625,84.9499969482422,84.5333319769965,89.9000015258789,-6.23406346638997,8.88477516174316,6.60114542643229,-10.0927753448486,8.2353761461046,-0.0913789868354797,-3.969543033176,1.39772152900696,-1.12432336062193,-0.0844206288456917,0.499671723693609,0.054773960262537,-12.4924817846881,-4.22103144228458,5.5519080410401,5.4773960262537,0.30769231,0.75,0.47619048,0,1,0.6,0.38095238,19.125,0.04761905,0.38095238,0.42857143,0.14285714,89.9868011474609,84.3705749511719,93.5960761176215,85.5725708007812,-9.49427032470703,7.56080007553101,-5.48744667900933,9.57631301879883,0.00433142017573118,-5.6449499130249,7.47359551323785,-2.35951073964437,0.054773960262537,0.520718675106764,-1.12432336062193,-0.105467580258846,5.4773960262537,6.50898343883455,-12.4924817846881,-3.51558600862821,0.38461538,0.625,0.47619048,0.2,1,0.6,0.38095238,3,92.9267578125,19.7874704996745,0,0,103.848,2,0.66666667,"2024-09-07",0
"Craig Kimbrel",6655,"2024-09-03","CHW",2,2024,"BAL","H",36,0,0,0,1,0,0,0,0,0,0,0,1,5,1,0,0,0,1,0,0,0,0,0,0,9,9,0,0,0,1,1,2,0,0,0,0,0,0.2,-0.2,8.77520908401489,0,0.25,2,0.25,1,6.1664797782898,-6.1664797782898,7.67848818451166,0,154.019040353275,189.176655168198,1,0.5,0.25,0.25,0,0,0,0,10,10,20,0.000139999392558821,-0.000200033187866211,0.000340032565873116,0.467000007629395,0.0502150543034077,0,0,0,NA,0,1,0,NA,0,0,0.6,93,0.05,85,0.35,83.42857143,NA,NA,NA,0.0814749151468277,0.214809954166412,-0.344904720783234,NA,0.678957626223564,21.4809954166412,-4.92721029690334,NA,0.23076923,0.42857143,0.3,1,0.66666667,0.83333333,0.35,0.2,0.05,1,1,2,3,1,0,4,0.25,0.25,0.5,0.75,0.25,0,13.0622471104902,NA,NA,NA,45.61819,62.07787,37.03963,80,80,80,43.79411,58.88572,43.32358,43.68947,62.34345,38.76322,0.51746,4.85328,NA,NA,NA,100.6,60.64,68.18,108.08,152.02,165.28,79.7,119.76,109.08,93.659,85.901,87.35,0.6,0.05,0.35,NA,92.9749959309896,84.5999984741211,83.4428536551339,NA,-5.09818490346273,9.81166934967041,7.07608413696289,NA,8.63812573750814,-1.77793729305267,-5.72443662370954,NA,0.0601924695074558,0.259962946176529,-0.350880451500416,NA,0.501603912562132,25.9962946176529,-5.01257787857737,NA,0.30769231,0.28571429,0.3,1,0.5,0.83333333,0.35,19.46666667,NA,0.35,0.6,0.05,NA,83.2312970842634,92.7908325195312,84.3936004638672,NA,7.79310553414481,-4.46303844451904,10.5313997268677,NA,-6.9946299961635,7.99659856160482,-3.11959004402161,NA,-0.350880451500416,0.0601924695074558,0.259962946176529,NA,-5.01257787857737,0.501603912562132,25.9962946176529,0.33333333,0.25,0.3,1,0.5,0.83333333,0.4,4,78.1994247436523,3.65723299980164,0,0,85.6474,0,0,"2024-09-03",0
"Craig Kimbrel",6655,"2024-08-31","@COL",2,2024,"BAL","A",36,0,1,18,1,0,0,0,0,0,0,0,1,5,2,2,2,0,0,0,0,0,0,1,9,0,18,1,0,0,2,1,1,0,0,0,0,0.2,0,0.2,2.84676908401489,0,0.4,2,0.5,0,1.1664797782898,16.8335202217102,2.67848818451166,458.406881459742,27.6143182700941,64.7888072114456,2,0.25,0.5,0.25,0,0,0,0,7,9,16,-0.285984009504318,-0.341415971517563,0.0554319657385349,-1.37100005149841,-0.119321145117283,1.30193340778351,1.8432000875473,1.8432000875473,NA,0,1,-0.139607295393944,-0.0800537162942001,0,1,0.5,92.375,0.0625,83,0.4375,83.71428571,NA,NA,NA,-0.212118908762932,-0.463952898979187,0.182216688990593,NA,-2.65148635953665,-46.3952898979187,2.60309555700847,NA,0.33333333,1,0.5,0.5,1,0.75,0.25,0.4,0.125,0,3,1,1,2,1,4,0,0.75,0.25,0.25,0.5,0.25,2.5507914333489,NA,NA,NA,41.97958,50.23826,34.21316,NA,NA,NA,30.59616,56.98582,26.49352,39.03323,51.14032,34.49313,0.80674,5.2872,NA,NA,NA,91.88,112.16,109.64,NA,NA,NA,72.58,114.32,100.34,82.23,113.24,104.99,0.5,NA,0.5,NA,92.4000015258789,NA,83.6125030517578,NA,-4.75059652328491,NA,5.11908626556396,NA,6.31598997116089,NA,-3.65685248374939,NA,-0.212068382650614,NA,-0.287951115518808,NA,-2.65085478313267,NA,-3.5993889439851,NA,0.33333333,0.71428571,0.5,0.33333333,1,0.75,0.4375,21.09090909,NA,0.5,0.5,NA,NA,83.6645736694336,92.480339050293,NA,NA,5.57050609588623,-4.68303108215332,NA,NA,-3.94866132736206,6.57720994949341,NA,NA,-0.287951115518808,-0.212068382650614,NA,NA,-3.5993889439851,-2.65085478313267,NA,0.3,0.83333333,0.5,0.33333333,1,0.75,0.375,4,87.1027984619141,18.6687908172607,0,0,101.7,1,0.25,"2024-08-31",0
"Craig Kimbrel",6655,"2024-08-28","@LAD",2,2024,"BAL","A",36,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,6.03472908401489,0,0,0,0,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,78.1762071033664,114.543946394147,1,0.333333333,0.333333333,0.333333333,0,0,0,0,5,6,11,0.0129999993368983,0,0.0129999993368983,0.477999985218048,0.0505820102989674,0.167333334684372,0.218000009655952,0.218000009655952,NA,0,1,0.077764168381691,-7.49299438194684e-05,0,0,0.54545455,93.5,NA,NA,0.45454545,83.6,NA,NA,NA,0.584333658218384,NA,0.127398043870926,NA,9.73889430363973,NA,2.54796087741852,NA,0.16666667,0.8,0.45454545,1,0.75,0.8,0.45454545,0.33333333,0.09090909,0,2,1,0,1,2,3,0,0.66666667,0.33333333,0,0.33333333,0.66666667,5.75619338813214,NA,NA,NA,61.71268,60.2183,57.5903,NA,NA,NA,20,58.63557,20,35.1941,57.72482,28.03492,1.04525,5.64497,NA,NA,NA,111.78,128.34,140.58,NA,NA,NA,75.9,81.5,72.46,95.4709090909091,107.049090909091,109.616363636364,0.54545455,NA,0.45454545,NA,93.5999959309896,NA,83.6400024414063,NA,-5.42140579223633,NA,5.98175201416016,NA,8.89599863688151,NA,-5.18000640869141,NA,0.592017486691475,NA,0.170462716370821,NA,9.86695811152458,NA,3.40925432741642,NA,0.16666667,0.8,0.45454545,1,0.75,0.8,0.45454545,17,NA,0.45454545,0.54545455,NA,NA,83.4756408691406,93.441650390625,NA,NA,7.20808792114258,-4.24840005238851,NA,NA,-6.50818023681641,8.19429842631022,NA,NA,0.170462716370821,0.592017486691475,NA,NA,3.40925432741642,9.86695811152458,NA,0.2,0.66666667,0.45454545,1,0.75,0.8,0.54545455,3,96.0467427571615,14.9916178385417,0,0,99.1819,2,0.66666667,"2024-08-28",0
"Craig Kimbrel",6655,"2024-08-23","HOU",2,2024,"BAL","H",36,1,0,0,1,0,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,0,0,2,18,0,18,2,0,0,2,0,1,0,0,0,0,0.4,0,0.4,0.409289084014893,0,0.4,2,0.666666666666667,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-22.9475705631782,-22.5814263197472,2,0.333333333,0.666666666,0,0,0,5,45,10,17,27,0.0131400022655725,-0.010300001129508,0.0234400033950806,0.466999977827072,0.0502150543034077,0.248400002717972,0.229999989271164,0.229999989271164,1.43400001525879,1,1,0.0195802636444569,0.0333182956220317,0,0,0.44444444,93.5,0.07407407,84.5,0.48148148,83.84615385,NA,NA,NA,-0.32111069560051,-0.0879258811473846,0.225841164588928,NA,-2.67592246333758,-4.39629405736923,1.73723972760714,NA,0.33333333,0.83333333,0.44444444,0.14285714,1,0.5,0.22222222,0.6,0.22222222,2,1,0,0,3,0,3,0.66666667,0.33333333,0,0,1,0,1.58740657956573,NA,NA,NA,47.35453,57.38108,51.65642,80,80,20,59.26598,70.63187,56.76825,53.803,71.99404,49.05068,-0.11086,3.9108,NA,NA,NA,128.76,88.18,108.08,61.08,170.08,229.78,95.9,125.78,130.08,109.214814814815,110.70962962963,123.994814814815,0.44444444,0.03703704,0.51851852,NA,93.5499979654948,83.6999969482422,83.8785749162946,NA,-5.50049336751302,7.87144374847412,6.57280840192522,NA,8.90464846293131,2.11250877380371,-4.80064228602818,NA,-0.326509259641171,0,0.137268342077732,NA,-2.72091049700975,0,0.980488157698086,NA,0.29411765,0.7,0.44444444,0.2,0.71428571,0.5,0.37037037,18.90909091,NA,0.48148148,0.44444444,0.07407407,NA,83.7201021634615,93.5142720540365,84.4649505615234,NA,7.23944619985727,-4.58242162068685,9.64949417114258,NA,-6.13196974534255,8.20256996154785,-1.44433999061584,NA,0.227064274251461,-0.326509259641171,-0.0897959321737289,NA,1.74664826347278,-2.72091049700975,-4.48979660868645,0.31578947,0.75,0.44444444,0.16666667,0.83333333,0.5,0.2962963,3,92.5439860026042,-8.10307820638021,0,0,105.629,1,0.33333333,"2024-08-23",0
"Craig Kimbrel",6655,"2024-08-21","@NYM",2,2024,"BAL","A",36,0,0,9,1,0,0,0,0,0,0,0,1,4,1,1,1,1,0,0,0,0,0,0,0,0,9,0,0,0,1,2,1,0,0,0,0,0,0,0,6.91672908401489,9,0.25,1,0,1,16.1664797782898,-7.16647977828979,6.19049659073353,229.203440729871,406.828484519636,152.159040742638,0.5,0.25,0.25,0.5,0,0.5,1,9,4,9,13,-0.175496011972427,-0.234518006443977,0.05902199447155,-0.541000008583069,-0.0588363297283649,0.878449976444244,1.5025999546051,1.5025999546051,1.78779995441437,1,1,-0.13378669321537,-0.0659924822395525,0,1,0.53846154,92.14285714,NA,NA,0.46153846,82.5,NA,NA,NA,-0.844065308570862,NA,0.145390689373016,NA,-12.0580758367266,NA,2.42317815621694,NA,0,0.77777778,0.53846154,NA,1,1,0.69230769,0.5,0,1,1,2,0,2,2,4,0.25,0.25,0.5,0,0.5,0.5,23.0471416067373,NA,NA,NA,80,52.92809,80,NA,NA,NA,41.33631,57.23048,36.25892,75.45438,52.02425,79.23636,-1.45598,1.89312,NA,NA,NA,105.04,127.24,129.94,NA,NA,NA,79.72,102.42,90.88,93.3538461538462,115.784615384615,111.912307692308,0.53846154,NA,0.46153846,NA,92.2571411132812,NA,82.4666646321615,NA,-5.942992074149,NA,5.26785024007161,NA,8.25387627737863,NA,-4.82800769805908,NA,-0.75346690043807,NA,0.146490272134542,NA,-10.763812863401,NA,2.44150453557571,NA,0,0.875,0.53846154,NA,1,1,0.61538462,18.11111111,NA,0.46153846,0.53846154,NA,NA,83.0189005533854,92.8377685546875,NA,NA,6.03421020507812,-5.09626007080078,NA,NA,-5.77918179829915,7.70485414777483,NA,NA,0.146490272134542,-0.75346690043807,NA,NA,2.44150453557571,-10.763812863401,NA,0,0.77777778,0.53846154,NA,1,1,0.69230769,4,96.724479675293,15.3406934738159,1,0.25,107.013,2,0.5,"2024-08-21",0
"Craig Kimbrel",6655,"2024-08-20","@NYM",2,2024,"BAL","A",36,0,0,0,1,0,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,13.500014081612,0,0,1,0,0,0,1,0,0,0,0,0,0.5,0,0.5,1.65247908401489,0,0,0,0,1,0.166476649042681,-0.166476649042681,2.43449162409945,0,2.33329474313559,58.7187657997406,0,0,0,1,0,0,0,0,2,5,7,0.00586399994790554,0,0.00586399994790554,0.243000000715256,0.0264274049550295,0.116499997675419,0.0901999995112419,0.180399999022484,NA,0,1,0.049717865884304,0.000616898621385094,0,0,0.85714286,92.66666667,NA,NA,0.14285714,84,NA,NA,NA,0.293910592794418,NA,0.210907548666,NA,4.89850987990697,NA,21.0907548666,NA,0,0.4,0.28571429,NA,0.5,0.5,0.71428571,1,0.14285714,0,1,0,0,0,1,1,0,1,0,0,0,1,-1.10347068532854,NA,NA,NA,80,59.6104,80,NA,NA,NA,70.92481,51.30741,80,80,53.41982,80,-2.41094,0.46068,NA,NA,NA,108.96,129.98,145.44,NA,NA,NA,99.68,112.26,113.26,107.634285714286,127.448571428571,140.842857142857,0.85714286,NA,0.14285714,NA,92.8499959309896,NA,84.0999984741211,NA,-5.84430185953776,NA,4.66771221160889,NA,8.67457898457845,NA,-6.25028133392334,NA,0.297227296978235,NA,0.213400110602379,NA,4.95378828297059,NA,21.3400110602379,NA,0,0.4,0.28571429,NA,0.5,0.5,0.71428571,15.4,NA,0.14285714,0.85714286,NA,NA,84.5183029174805,93.2868957519531,NA,NA,5.28716993331909,-4.95968182881673,NA,NA,-7.09779977798462,8.00890159606934,NA,NA,0.213400110602379,0.297227296978235,NA,NA,21.3400110602379,4.95378828297059,NA,0,0.4,0.28571429,NA,0.5,0.5,0.71428571,1,94.8667449951172,32.6185684204102,0,0,94.8667,0,0,"2024-08-20",0
"Craig Kimbrel",6655,"2024-08-16","BOS",2,2024,"BAL","H",36,0,0,27,1,0,0,0,0,0,0,0,1,6,2,3,3,2,1,0,0,0,0,0,0,9,18,0,0,0,1,3,1,0,0,0,0,0,0.16666667,-0.16666667,9.23817351648145,18,0.4,3,0,0,32.1664797782898,-5.1664797782898,10.7025049969554,687.610322189613,811.323595185815,264.406843865182,0.333333333,0.2,0.2,0.6,0,0.666666666,3,27,7,15,22,-0.139080002903938,-0.157600000500679,0.0185200031846762,-2.53299999237061,-0.272365599870682,0.397999972105026,0.557999968528748,0.557999968528748,0.447999984025955,1,1,-0.392213851213455,0.0427665832442073,0,1,0.63636364,92.71428571,0.04545455,84,0.31818182,83.71428571,NA,NA,NA,-2.50652050971985,-0.04739710688591,0.172526404261589,NA,-17.9037179265703,-4.739710688591,2.4646629180227,NA,0.33333333,0.7,0.5,0.25,1,0.72727273,0.45454545,0.66666667,0.13636364,2,3,0,0,2,3,5,0.4,0.6,0,0,0.4,0.6,44.0384172587561,NA,NA,NA,73.17995,54.28146,75.53958,NA,NA,NA,41.53942,53.45308,38.73136,60.14131,50.13802,61.75897,-0.50463,3.32015,NA,NA,NA,106.74,97.02,102.64,NA,NA,NA,83.56,102.52,93.86,98.3109090909091,99.02,99.4472727272727,0.63636364,NA,0.36363636,NA,92.7142857142857,NA,83.6125030517578,NA,-5.99220984322684,NA,6.58505535125732,NA,8.72902134486607,NA,-4.94142198562622,NA,-2.50823877751827,NA,0.125387113541365,NA,-17.9159912679877,NA,1.56733891926706,NA,0.36363636,0.63636364,0.5,0.25,1,0.72727273,0.5,18.25,NA,0.36363636,0.63636364,NA,NA,83.4387664794922,92.5577566964286,NA,NA,7.69471120834351,-5.11163439069475,NA,NA,-6.27065134048462,8.15731375558036,NA,NA,0.125387113541365,-2.50823877751827,NA,NA,1.56733891926706,-17.9159912679877,NA,0.33333333,0.7,0.5,0.25,1,0.72727273,0.45454545,5,98.9441040039062,16.5781188964844,1,0.2,105.594,4,0.8,"2024-08-16",0
