"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","SF%","SFv","XX%","wFB","wSL","wSF","wFB/C","wSL/C","wSF/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FS","pb_s_FS","pb_c_FS","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FS","sp_l_FS","sp_p_FS","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFS%","pfxSI%","pfxSL%","pfxvFA","pfxvFS","pfxvSI","pfxvSL","pfxFA-X","pfxFS-X","pfxSI-X","pfxSL-X","pfxFA-Z","pfxFS-Z","pfxSI-Z","pfxSL-Z","pfxwFA","pfxwFS","pfxwSI","pfxwSL","pfxwFA/C","pfxwFS/C","pfxwSI/C","pfxwSL/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piFC%","piSI%","piSL%","pivCH","pivFA","pivFC","pivSI","pivSL","piCH-X","piFA-X","piFC-X","piSI-X","piSL-X","piCH-Z","piFA-Z","piFC-Z","piSI-Z","piSL-Z","piwCH","piwFA","piwFC","piwSI","piwSL","piwCH/C","piwFA/C","piwFC/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Joe Ryan",21390,"2024-08-07","@CHC",8,2024,"MIN","A",28,0,0,4.5,1,1,0,0,0,0,0,0,2,7,1,1,1,1,0,0,0,0,0,2,9,0,4.5,2,0,0,2,3,0,1,0,0,0,0.28571429,0,0.28571429,2.93291276344936,4.5,0.142857142857143,0.5,0,1,7.6664797782898,-3.1664797782898,3.4344923876226,112.408735739225,189.310535609024,83.5963543856913,0.666666666,0,0.4,0.6,0.333333333,0.333333333,2,9,11,22,33,-0.00741198472678661,-0.108759991824627,0.101348005235195,-0.0620000064373016,-0.00664523802697659,0.676971435546875,0.960600018501282,0.925599992275238,1.08560001850128,1,1,-0.0202828515321016,0.00933411080598958,0,0,0.60606061,93,0.18181818,79.66666667,0.21212121,87.42857143,NA,-0.336501032114029,0.551047682762146,-0.107424080371857,-1.68250516057014,9.18412804603577,-1.53462971959795,0.26666667,0.72222222,0.51515152,1,0.38461538,0.52941176,0.54545455,0.85714286,0.24242424,2,2,1,1,3,1,5,0.4,0.4,0.2,0.2,0.6,0.2,5.4771220544235,42,57.34434,45.75489,61.67956,80,50.12158,80,77.66054,66.14313,62.76403,20,61.27011,20,58.62889,51.39801,58.39271,-0.41067,3.46109,100.34,105.78,102,92.82,130.16,128.14,133.72,108.68,122.74,103.9,58.38,60.48,106.708484848485,97.730303030303,98.5478787878788,0.55172414,0.13793103,0.10344828,0.20689655,93.1312484741211,88.2750015258789,91.5666707356771,79.5666656494141,-8.49720191955566,-9.5701208114624,-9.29670715332031,10.0155995686849,6.62024736404419,-0.800519704818726,4.4547119140625,1.23681553204854,-0.76968564838171,-0.183407973498106,0.445325199514627,0.558190938085318,-4.81053530238569,-4.58519933745265,14.8441733171542,9.30318230142196,0.08333333,0.76470588,0.48275862,1,0.53846154,0.57142857,0.5862069,13.95454545,0.13793103,0.5862069,NA,0.06896552,0.20689655,88.5804290771484,93.3213177849265,NA,91.7104034423828,79.8447519938151,-9.01249027252197,-7.94760580623851,NA,-9.45106506347656,11.0309918721517,-1.86056745052338,6.06972817813649,NA,3.11149001121521,0.529607137044271,-0.183407973498106,-0.418498776853085,NA,0.094138327986002,0.558190938085318,-4.58519933745265,-2.4617575109005,NA,4.7069163993001,9.30318230142196,0.08333333,0.76470588,0.48275862,1,0.53846154,0.57142857,0.5862069,5,85.2112365722656,30.3421234130859,1,0.2,107.912,1,0.2,"2024-08-07",0
"Joe Ryan",21390,"2024-08-02","CHW",8,2024,"MIN","H",28,1,0,2.84210540581279,1,1,1,0,0,0,0,0,6.1,24,3,2,2,1,3,0,0,0,0,7,9.94736892034475,4.26315810871918,4.26315810871918,2.33333333,0,0,6,7,1,1,0,0,0,0.29166667,0.125,0.16666667,4.00038707696995,1.42105270290639,0.142857142857143,0.947368468604262,0.153846153846154,0.86956522,4.42963773642881,-1.58753233061603,4.04817332415862,70.9949945566741,108.601332388921,98.8632445912515,0.857142857,0.071428571,0.428571428,0.5,0.142857142,0.142857142,4,5.68421081162557,34,69,103,0.102076001465321,-0.358504056930542,0.460580050945282,0.879400014877319,0.0921802893280983,0.891149997711182,1.06622862815857,0.870000004768372,1.78600001335144,1,1,0.0475247763097286,0.0670193540022181,0,0,0.55339806,93.96491228,0.24271845,80,0.2038835,88.66666667,NA,0.132881700992584,0.709552943706512,0.842175543308258,0.23312579121506,2.83821177482605,4.01035973003932,0.30909091,0.72916667,0.50485437,0.64705882,0.88571429,0.80769231,0.46601942,0.75,0.09708738,8,3,3,2,6,6,14,0.57142857,0.21428571,0.21428571,0.14285714,0.42857143,0.42857143,3.38253743141461,60,59.98278,49.05689,70.42891,53.72847,61.73578,62.28198,53.78671,57.30016,49.61513,50.57464,47.0814,54.80994,56.93626,50.78098,63.77135,-0.30551,3.61883,106.7,108.74,108.26,103.96,65.66,74.1,118.4048,86.3216,90.0992,88.44,69.64,59.02,105.587572815534,94.1106796116505,92.6714563106796,0.51456311,0.21359223,0.02912621,0.24271845,93.9867887676887,88.5499988902699,93.9666646321615,79.892001953125,-8.05792812131486,-8.66346324573864,-9.88565444946289,8.56284484863281,7.20277088093308,0.642790447581898,4.43608697255452,0.308414630889893,0.12292455881834,0.662314791232347,0.294975999742746,0.682189621031284,0.231933129845925,3.01052177832885,9.83253332475821,2.72875848412514,0.28888889,0.67241379,0.50485437,0.61538462,0.87179487,0.80769231,0.5631068,17.6835443,0.2038835,0.53398058,NA,0.01941748,0.24271845,88.6524948846726,94.1167258522727,NA,93.4827499389648,80.0612109375,-7.9178474062965,-7.08368641246449,NA,-9.31544017791748,9.77208862304687,-0.571868578592936,6.69572920365767,NA,3.23435497283936,-0.596910972595215,0.851999837905169,-0.0910034216940403,NA,0.319218933582306,0.682189621031284,4.05714208526271,-0.165460766716437,NA,15.9609466791153,2.72875848412514,0.28888889,0.67241379,0.50485437,0.61538462,0.87179487,0.80769231,0.5631068,14,88.4890921456473,15.3065872192383,1,0.07142857,111.942,6,0.42857143,"2024-08-02",0
"Joe Ryan",21390,"2024-07-27","@DET",8,2024,"MIN","A",28,0,1,3,1,1,1,0,0,0,0,0,6,23,3,3,2,0,1,0,0,0,0,8,12,1.5,4.5,8,0.125,0,8,6,0,0,1,0,0,0.34782609,0.04347826,0.30434783,2.40948711884356,0,0.136363636363636,0.666666666666667,0.214285714285714,0.25,0.999813111623129,2.00018688837687,2.511821517845,74.9391571594836,23.0801950974628,60.6425456128871,1.333333333,0,0.571428571,0.428571428,0,0,2,3,33,56,89,-0.114139996469021,-0.575516045093536,0.461376041173935,-0.120000094175339,-0.0126582309603691,1.1515519618988,1.18573331832886,0.910000026226044,0.728399991989136,1,1,0.107129395008087,-0.206247802379661,0,0,0.61797753,93.25454545,0.2247191,79.4,0.15730337,88,NA,2.05977869033813,-0.5431227684021,0.0183613039553165,3.74505216425115,-2.7156138420105,0.131152171109404,0.3,0.61538462,0.43820225,0.53333333,0.75,0.66666667,0.43820225,0.65217391,0.14606742,6,6,2,2,6,6,14,0.42857143,0.42857143,0.14285714,0.14285714,0.42857143,0.42857143,-0.0263450426543453,66,67.05502,54.25482,70.90113,51.94992,66.02909,43.7121,54.03341,63.54138,47.466,39.6998,47.83584,42.2414,60.51933,56.00205,60.36236,-0.52812,3.28491,107.22,104.38,116.18,101.58,80.76,89.24,114.84,102.36,109.64,97.38,92.94,80.62,106.877528089888,100.003370786517,106.695056179775,0.52808989,0.15730337,0.08988764,0.2247191,93.4808531416223,87.9214303152902,91.7375030517578,79.2349975585937,-7.65075553731715,-8.5883538382394,-9.63470458984375,9.41732025146484,7.37971593978557,-0.126391444887434,3.32972264289856,0.679757881164551,2.57886746898293,0.0163162797689438,-0.512983988970518,-0.545127224177122,5.48695206166582,0.116544855492456,-6.41229986213148,-2.72563612088561,0.17948718,0.64,0.43820225,0.42857143,0.71875,0.66666667,0.56179775,18.32307692,0.15730337,0.52808989,NA,0.08988764,0.2247191,87.9778965541295,93.5434881981383,NA,91.7929534912109,79.2893920898437,-7.93691798618862,-6.85932370449634,NA,-9.19399070739746,10.670433807373,-1.16203907557896,6.84549080057347,NA,2.65008997917175,-0.316131949424744,0.0163162797689438,2.57886746898293,NA,-0.512983988970518,-0.545127224177122,0.116544855492456,5.48695206166582,NA,-6.41229986213148,-2.72563612088561,0.19512195,0.64583333,0.43820225,0.5,0.70967742,0.66666667,0.53932584,14,88.143798828125,14.4994256155831,0,0,107.901,4,0.28571429,"2024-07-27",0
"Joe Ryan",21390,"2024-07-21","MIL",8,2024,"MIN","H",28,0,0,6,1,1,0,0,0,0,0,0,6,25,7,4,4,1,0,0,0,0,0,6,9,0,10.5,6,0,1,9,7,2,2,0,1,1,0.24,0,0.24,3.08786668401489,1.5,0.28,1.16666666666667,0.333333333333333,0.53571429,3.33314644495646,2.66685355504354,2.93048958554864,149.878314318967,81.2608142765093,71.0579896028608,1.285714285,0.111111111,0.5,0.388888888,0.285714285,0.142857142,5,7.5,23,65,88,-0.167275950312614,-0.694992005825043,0.527716040611267,-1.09559988975525,-0.114842772483826,1.28326153755188,1.06406664848328,0.870000004768372,1.73000001907349,1,1,-0.0985407009720802,-0.031811487897955,0,0,0.625,92.92727273,0.21590909,80.10526316,0.15909091,88,NA,0.629222571849823,-1.29534828662872,0.441784352064133,1.14404103972695,-6.81762256120381,3.1556025147438,0.35714286,0.67391304,0.52272727,0.53333333,0.87096774,0.76086957,0.52272727,0.72,0.125,5,8,6,4,13,2,19,0.26315789,0.42105263,0.31578947,0.21052632,0.68421053,0.10526316,2.46419131082821,49,71.9509,52.41128,80,74.14547,50.57371,74.1948,61.07065,60.19291,55.2401,43.86901,54.59065,49.20295,69.99944,53.76546,75.33122,-1.11708,2.40147,106.58,111.4,113.38,98.66,145.74,144.56,116.409473684211,109.988421052632,117.612631578947,107.62,75.16,74.48,106.970344827586,113.965517241379,116.017931034483,0.39772727,0.15909091,0.22727273,0.21590909,93.3371442522321,87.778573172433,92.1900024414062,80.1263170744243,-7.63588605608259,-8.18995884486607,-9.48772048950195,8.47932996247944,7.65921282087054,-0.499697855540684,3.82032127380371,0.461418051468699,0.77312183380127,0.382464483380318,-0.152908951044083,-1.29894183948636,2.20891952514648,2.73188916700227,-0.764544755220413,-6.83653599729664,0.29032258,0.64912281,0.52272727,0.33333333,0.86486486,0.76086957,0.64772727,18.0483871,0.15909091,0.39772727,NA,0.22727273,0.21590909,87.562247140067,93.1169852120536,NA,91.9643371582031,79.905318410773,-7.41652461460659,-6.77053004673549,NA,-8.85,9.90273967542146,-1.42607634408133,7.17571411132812,NA,3.18035087585449,-0.447610704522384,0.382464483380318,0.77312183380127,NA,-0.152908951044083,-1.29894183948636,2.73188916700227,2.20891952514648,NA,-0.764544755220413,-6.83653599729664,0.29032258,0.64912281,0.52272727,0.33333333,0.86486486,0.76086957,0.64772727,19,83.1222805447049,9.3840086195204,0,0,108.553,4,0.21052632,"2024-07-21",0
"Joe Ryan",21390,"2024-07-12","@SFG",8,2024,"MIN","A",28,0,1,8.43750050291422,1,1,0,0,0,0,0,0,5.1,25,6,5,5,0,3,0,1,0,0,6,10.1250006034971,5.06250030174853,10.1250006034971,2,0,0,4,7,4,1,0,0,0,0.24,0.12,0.12,4.62234028401489,0,0.285714285714286,1.68750010058284,0.4,0.5,3.1664797782898,5.27102072462443,5.15099092974208,210.766392073703,77.1050557637202,126.298666320721,0.571428571,0.266666666,0.266666666,0.466666666,0.142857142,0,1,1.68750010058284,36,62,98,-0.208019942045212,-0.393709897994995,0.185689955949783,-2.03099989891052,-0.215948969125748,0.502968013286591,0.511333346366882,0.870000004768372,0.587800025939941,1,1,-0.286298394203186,-0.127286439325149,0,0,0.6122449,94.11666667,0.2244898,81.68181818,0.16326531,89,NA,-2.00260138511658,-0.00511611625552177,0.719828546047211,-3.3376689751943,-0.0232550738887353,4.49892841279507,0.25490196,0.68085106,0.45918367,0.46153846,0.90625,0.77777778,0.47959184,0.68,0.10204082,5,4,6,2,11,2,15,0.33333333,0.26666667,0.4,0.13333333,0.73333333,0.13333333,3.82457094238049,44,72.86544,49.52694,77.19747,58.58237,68.98213,54.98636,63.33809,64.32047,65.42953,20,56.64133,20,58.56187,56.88025,58.13241,-0.40651,3.46733,99.94,130.36,128.46,109.62,83.42,95.52,119.98,111.24,120.72,95.9,53.02,50.5,105.120816326531,105.945918367347,108.49306122449,0.45918367,0.16326531,0.15306122,0.2244898,94.2355577256944,89.0749969482422,93.5466634114583,81.5772705078125,-7.06521199544271,-9.96649265289307,-10.5889038085938,7.29787167635831,7.25168117947049,-0.53953230381012,3.60913365681966,1.44029478593306,-0.365510005503893,0.729659583419561,-1.66970378533006,0.031013909727335,-0.812244456675318,4.56037239637226,-11.131358568867,0.140972316942432,0.20930233,0.65454545,0.45918367,0.44444444,0.86111111,0.77777778,0.56122449,16.78082192,0.16326531,0.45918367,NA,0.15306122,0.2244898,89.3701477050781,94.5461697048611,NA,93.8556315104167,81.8739235617898,-9.10966777801514,-6.31672227647569,NA,-10.0304595947266,8.42989834872159,-1.55611658096313,6.82471788194444,NA,2.96877085367839,0.614029580896551,0.729659583419561,-0.365510005503893,NA,-1.66970378533006,0.031013909727335,4.56037239637226,-0.812244456675318,NA,-11.131358568867,0.140972316942432,0.19565217,0.69230769,0.45918367,0.44444444,0.86111111,0.77777778,0.53061224,15,87.8741943359375,20.0446126302083,1,0.06666667,110.059,5,0.33333333,"2024-07-12",0
"Joe Ryan",21390,"2024-07-06","HOU",8,2024,"MIN","H",28,1,0,4.7647064169386,1,1,0,0,0,0,0,0,5.2,24,5,3,3,1,1,0,1,0,1,8,12.7058837785029,1.58823547231287,7.94117736156434,8,0,0,5,5,4,2,0,0,0,0.33333333,0.04166667,0.29166667,2.59343741427206,1.58823547231287,0.227272727272727,1.05882364820858,0.307692307692308,0.71428571,3.69589160239408,1.06881481454452,2.73589891194039,119.021027665921,90.3057019324757,66.2170465783439,1,0.285714285,0.357142857,0.357142857,0.4,0.2,7,11.1176483061901,36,74,110,0.0523120649158955,-0.235883995890617,0.288196057081223,-0.853600025177002,-0.0894758850336075,0.610848009586334,0.645466685295105,0.870000004768372,2.21040010452271,1,1,-0.00965221412479877,0.0952906447899345,0,0,0.63636364,94.34285714,0.22727273,81.84,0.13636364,88.46666667,NA,1.35912644863129,-0.0679847374558449,-1.8503121137619,1.94160921233041,-0.27193894982338,-12.335414091746,0.3015873,0.76595745,0.5,0.63157895,0.77777778,0.72727273,0.42727273,0.625,0.13636364,3,5,6,3,9,2,14,0.21428571,0.35714286,0.42857143,0.21428571,0.64285714,0.14285714,4.2247214361298,54,50.94367,51.21475,49.31278,60.92591,47.74901,67.68954,43.37934,62.95396,36.79058,42.0931,50.54338,38.04981,49.54731,52.61574,47.92759,0.15354,4.3074,95.44,117.6,112.08,102.24,113.18,101.88,116.2904,96.3056,100.5696,108.36,90.72,90.16,102.997636363636,108.575818181818,104.912363636364,0.48181818,0.12727273,0.15454545,0.23636364,94.5943396226415,89.0142822265625,93.5764734604779,81.7115384615385,-6.86503111641362,-7.51710074288504,-8.77684380026425,6.91305365929237,7.12603990086969,-0.158998029572623,3.41994453878964,-0.00505615426943852,1.40117475762963,-1.91439396888018,0.0133978947997093,-0.0146041437983513,2.64372595779176,-13.6742426348584,0.0788111458806431,-0.0561697838398126,0.30188679,0.68421053,0.5,0.6875,0.74358974,0.72727273,0.51818182,17.90588235,0.13636364,0.48181818,NA,0.15454545,0.22727273,88.1606608072917,94.3380103920991,NA,93.3170955882353,81.499345703125,-6.65006459554036,-6.03001720500442,NA,-8.18973316865809,8.70522338867188,-1.11578267415365,6.78945634949882,NA,2.92405812880572,-0.834447326660156,-1.85962000861764,1.40117475762963,NA,0.0133978947997093,-0.0693781040608883,-12.3974667241176,2.64372595779176,NA,0.0788111458806431,-0.277512416243553,0.31481481,0.67857143,0.5,0.64705882,0.76315789,0.72727273,0.50909091,14,82.5571986607143,14.8883285522461,1,0.07142857,101.034,5,0.35714286,"2024-07-06",0
"Joe Ryan",21390,"2024-06-30","@SEA",8,2024,"MIN","A",28,0,0,1.58823547231287,1,1,0,0,0,0,0,0,5.2,27,6,2,1,0,0,0,2,0,0,10,15.8823547231287,0,9.52941283387721,10,0.333333333,1,6,5,3,0,2,1,1,0.37037037,0,0.37037037,1.88777023947367,0,0.24,1.05882364820858,0.4,0.75,0.695891265803112,0.892344206509756,2.03001647980134,39.6736758886402,15.5020403095282,48.6564072494928,1.2,0.214285714,0.428571428,0.357142857,0,0,3,4.7647064169386,26,73,99,0.124112017452717,-0.747344017028809,0.871456027030945,0.493000030517578,0.0559909008443356,1.85162138938904,1.12666666507721,0.932600021362305,0.727400004863739,1,1,-0.0211746469140053,0.0882034780584051,0,0,0.56565657,93.58928571,0.27272727,81.40740741,0.16161616,88.5,NA,-0.759102940559387,0.860066771507263,-0.489732980728149,-1.35554096528462,3.18543248706394,-3.06083112955093,0.3255814,0.69642857,0.53535354,0.64285714,0.76923077,0.73584906,0.56565657,0.77777778,0.14141414,6,7,2,1,9,5,15,0.4,0.46666667,0.13333333,0.06666667,0.6,0.33333333,1.51853156130212,65,77.08358,50.54559,80,35.56476,59.90167,20,80,64.68203,77.54814,40.01316,48.72088,45.4483,75.17004,54.87456,75.79305,-1.43831,1.91963,115.5,120.78,127.74,115.96,53.1,68.62,105.14,134.7,138.12,102.78,80.24,70.06,110.646666666667,113.922626262626,117.665858585859,0.50505051,0.16161616,0.06060606,0.27272727,93.64599609375,88.5,92.8499959309896,81.3888888888889,-7.70637573242187,-9.14874458312988,-10.1233984629313,6.37851912887008,7.62767028808594,-0.142331063747406,3.93546835581462,1.79318887216073,0.743691068142653,-0.453553892672062,-0.407283455133438,0.868923958390951,1.48738213628531,-2.83471182920039,-6.7880575855573,3.21823688292945,0.27777778,0.68253968,0.53535354,0.6,0.76744186,0.73584906,0.63636364,18.98611111,0.16161616,0.50505051,NA,0.06060606,0.27272727,88.5484161376953,93.693193359375,NA,92.871348063151,81.4115758825232,-8.29495620727539,-6.80296752929688,NA,-9.4582347869873,7.63978294089988,-1.14674389362335,7.14517639160156,NA,3.23026339213053,0.989623599582248,-0.453553892672062,0.743691068142653,NA,-0.407283455133438,0.868923958390951,-2.83471182920039,1.48738213628531,NA,-6.7880575855573,3.21823688292945,0.31428571,0.65625,0.53535354,0.54545455,0.78571429,0.73584906,0.64646465,15,94.6336059570312,11.2818232945033,1,0.06666667,111.496,8,0.53333333,"2024-06-30",0
"Joe Ryan",21390,"2024-06-25","@ARI",8,2024,"MIN","A",28,0,0,6,1,1,0,0,0,0,0,0,6,24,6,4,4,1,0,0,0,0,0,5,7.5,0,9,5,0,0,7,8,4,1,0,0,0,0.20833333,0,0.20833333,3.62531762856618,1.5,0.25,1,0.277777777777778,0.43478261,3.6664797782898,2.3335202217102,3.51582431991895,149.878314318967,89.5723313020873,85.6196951913929,0.875,0.210526315,0.368421052,0.421052631,0.125,0.125,4,6,28,58,86,-0.189479976892471,-0.337119996547699,0.147640004754066,-0.9339998960495,-0.094343438744545,0.434166669845581,0.457333326339722,0.870000004768372,1.51199996471405,1,1,0.100322231650352,-0.536744440107448,0,0,0.58139535,94.44,0.20930233,81.27777778,0.20930233,89.33333333,NA,-1.08506846427917,0.696197926998138,0.613384246826172,-2.17013692855835,3.86776626110077,3.4076902601454,0.24324324,0.63265306,0.46511628,0.66666667,0.87096774,0.825,0.56976744,0.66666667,0.08139535,7,9,3,2,12,5,19,0.36842105,0.47368421,0.15789474,0.10526316,0.63157895,0.26315789,3.85599808292693,50,76.20056,54.25713,79.61752,80,64.24031,80,60.22035,60.3871,53.61577,30.6374,43.86409,30.85705,67.78909,53.68782,67.34911,-0.97976,2.60745,101.66,144.8,143.42,99.22,108.96,117.94,104.52,102.14,107.02,88.36,87.36,75.18,99.2769411764706,121.072470588235,119.462352941176,0.51162791,0.20930233,0.06976744,0.20930233,94.5136385830966,89.2555541992188,93.4166666666667,81.25,-7.13634490966797,-8.28425089518229,-9.12035306294759,8.30878194173177,7.55026938698508,0.702168093787299,3.89583651224772,0.903279410468207,-1.34025103598833,0.619058191776276,0.263189900666475,0.683249350637197,-3.04602508179166,3.43921217653486,4.38649834444126,3.79582972576221,0.2,0.57377049,0.46511628,0.6,0.85714286,0.825,0.70930233,17.24193548,0.20930233,0.51162791,NA,0.06976744,0.20930233,89.0855712890625,94.3455699573864,NA,93.2497355143229,81.0813530815972,-7.97184160020616,-6.66105929287997,NA,-9.01786168416341,9.12955644395616,-0.345498455895318,6.9523794000799,NA,3.31816482543945,-0.129723575380113,0.619058191776276,-1.34025103598833,NA,0.263189900666475,0.683249350637197,3.43921217653486,-3.04602508179166,NA,4.38649834444126,3.79582972576221,0.19230769,0.58333333,0.46511628,0.6,0.85714286,0.825,0.69767442,19,89.2188784950658,16.717678672389,2,0.10526316,111.515,7,0.36842105,"2024-06-25",0
"Joe Ryan",21390,"2024-06-19","TBR",8,2024,"MIN","H",28,0,0,1.5,1,1,1,0,0,0,0,0,6,24,6,1,1,1,1,0,0,0,0,5,7.5,1.5,9,5,0.25,0,4,10,4,1,1,0,0,0.20833333,0.04166667,0.16666667,4.50110408255181,1.5,0.260869565217391,1.16666666666667,0.294117647058824,1,4.1664797782898,-2.6664797782898,4.51982712199291,37.4695785797418,102.039606840454,110.596844769899,0.4,0.222222222,0.222222222,0.555555555,0.1,0.1,2,3,28,66,94,0.231536000967026,-0.351463943719864,0.58299994468689,1.90439999103546,0.199622645974159,1.13390398025513,1.08546674251556,0.870000004768372,1.73000001907349,1,1,-0.0673697218298912,0.271563379316595,0,0,0.64893617,94.37704918,0.11702128,83.81818182,0.23404255,88.31818182,NA,1.51687693595886,-0.616560339927673,-0.743851184844971,2.48668350157191,-5.60509399934249,-3.38114174929532,0.44444444,0.675,0.54255319,0.625,0.66666667,0.64705882,0.42553191,0.70833333,0.19148936,11,3,4,5,9,4,18,0.61111111,0.16666667,0.22222222,0.27777778,0.5,0.22222222,4.40187986143472,57,62.24488,56.22508,64.09392,80,77.54971,80,53.30125,64.39536,43.58941,73.88044,60.24705,72.55512,72.54305,60.53641,71.15464,-1.27511,2.16443,109.64,102.92,108.08,109.02,145.48,160.44,111.047272727273,80.8018181818182,83.4727272727273,93.52,132.68,130.42,105.939574468085,113.635531914894,118.227234042553,0.5212766,0.23404255,0.12765957,0.11702128,94.42041015625,88.377274946733,93.7083333333333,83.7727272727273,-9.0877610809949,-9.66419497403231,-10.829600016276,4.79061750932173,7.88381148357781,-0.228255076841875,4.7954257329305,2.18868914517489,0.968834195286036,-0.73580588772893,0.651253812015057,-0.629050109535456,1.97721264344089,-3.34457221694968,5.42711510012547,-5.71863735941323,0.40909091,0.66,0.54255319,0.55555556,0.6969697,0.64705882,0.53191489,18.3,0.23404255,0.5,0.0106383,0.14893617,0.10638298,88.1727683327415,94.202989943484,89.1773986816406,93.7235107421875,83.0102905273438,-9.11249334161932,-8.2712259495512,0.321857988834381,-10.2341646466936,6.62589721679687,-1.2880578474565,7.59871462558178,3.64906001091003,4.32593291146415,1.40466957092285,-0.73580588772893,0.863890096545219,0,0.756197910755873,-0.629050109535456,-3.34457221694968,1.83806403520259,0,5.40141364825623,-6.29050109535456,0.41304348,0.66666667,0.54255319,0.52631579,0.71875,0.64705882,0.5106383,18,85.2948201497396,25.1194627549913,0,0,100.793,5,0.27777778,"2024-06-19",0
"Joe Ryan",21390,"2024-06-13","OAK",8,2024,"MIN","H",28,1,0,2.57142857142857,1,1,1,0,0,0,0,0,7,25,3,2,2,1,1,0,0,0,0,5,6.42857142857143,1.28571428571429,3.85714285714286,5,0,0,7,10,2,4,0,0,0,0.2,0.04,0.16,4.21910348401489,1.28571428571429,0.125,0.571428571428571,0.111111111111111,0.76923077,4.02362263543265,-1.45219406400408,4.32649178717818,64.2335632795574,98.4775281152067,105.787131523578,0.7,0.105263157,0.368421052,0.526315789,0.4,0.1,6,7.71428571428571,30,65,95,0.186600029468536,-0.234675988554955,0.42127600312233,1.38839995861053,0.145534589886665,0.802031993865967,1.08599996566772,0.870000004768372,0.473200023174286,1,1,0.322034329175949,-0.0893752446310994,0,0,0.68421053,94.27692308,0.15789474,82.73333333,0.15789474,89.2,NA,3.17859840393066,0.456733107566833,-1.10626029968262,4.89015139066256,3.04488738377889,-7.37506866455078,0.32692308,0.79069767,0.53684211,0.58823529,0.82352941,0.74509804,0.45263158,0.72,0.13684211,11,5,3,7,5,7,19,0.57894737,0.26315789,0.15789474,0.36842105,0.26315789,0.36842105,2.64484974072431,66,62.65424,50.74406,67.35066,57.25353,57.19709,46.75892,22.55274,60.41531,20,50.65298,49.15225,51.15005,54.94415,50.36436,55.64524,-0.18175,3.80447,102.06,116.3,119.08,96.9,116.64,117.46,106.792,72.496,81.384,95.44,87.86,85.38,101.312,104.618736842105,107.332842105263,0.6,0.16842105,0.07368421,0.15789474,94.4473684210526,89.1750030517578,93.4428536551339,82.6933349609375,-7.56730946323328,-8.32735729217529,-9.31239754813058,5.83035329182943,7.80446423982319,1.01194822788239,4.48836517333984,1.23473777770996,2.79480758681893,-1.15863959118724,0.458382673561573,0.502637892961502,4.9031712049455,-7.24149744492024,6.54832390802247,3.35091928641001,0.32608696,0.73469388,0.53684211,0.53333333,0.83333333,0.74509804,0.51578947,16.24285714,0.15789474,0.6,0.02105263,0.08421053,0.13684211,89.1835286458333,94.5652669270833,89.2590942382812,93.1668472290039,81.7973914513221,-7.99370727539062,-7.20161946614583,-0.565585494041443,-9.12090873718262,7.66071084829477,-0.392427253723145,7.26726117050439,2.05958986282349,3.90237617492676,0.106431841850281,-1.12359088659286,2.79480758681893,0.0331650711596012,0.423333968967199,0.469472821801901,-7.4906059106191,4.9031712049455,1.65825355798006,5.29167461208999,3.61132939847616,0.34090909,0.70588235,0.53684211,0.53333333,0.83333333,0.74509804,0.53684211,19,89.5695479543586,26.8383965743215,1,0.05263158,113.256,8,0.42105263,"2024-06-13",0
