"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CH%","CHv","XX%","wFB","wSL","wCH","wFB/C","wSL/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSL%","pfxCH%","pfxvFA","pfxvSL","pfxvCH","pfxFA-X","pfxSL-X","pfxCH-X","pfxFA-Z","pfxSL-Z","pfxCH-Z","pfxwFA","pfxwSL","pfxwCH","pfxwFA/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piSL%","pivCH","pivFA","pivSL","piCH-X","piFA-X","piSL-X","piCH-Z","piFA-Z","piSL-Z","piwCH","piwFA","piwSL","piwCH/C","piwFA/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Tony Santillan",19926,"2024-09-29","@CHC",18,2024,"CIN","A",27,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,2,0,1,0,0,0,0.33333333,0,0.33333333,4.45139575020756,0,0,0,0,1,1.1664797782898,-1.1664797782898,4.19049659073353,0,28.1938011628592,103.055865631376,0,0,0,1,0.5,0,3,27,3,6,9,0.130971997976303,0,0.130971997976303,0.468999981880188,0.0502679497003555,1.76480007171631,2.22640013694763,2.22640013694763,1.7059999704361,1,1,0.0742138475179672,-3.43067613345349e-07,1,0,0.55555556,96.2,0.44444444,85.75,NA,NA,NA,0.482647150754929,0.283311903476715,NA,9.65294301509857,7.08279758691788,NA,0.5,1,0.66666667,0.66666667,0.66666667,0.66666667,0.33333333,0.66666667,0.22222222,0,1,1,1,1,0,2,0,0.5,0.5,0.5,0.5,0,-1.60344453203446,NA,NA,NA,NA,57.79314,47.92353,65.17943,43.84395,46.16565,36.82784,53.06302,46.24459,54.49343,-0.06488,3.97977,NA,NA,NA,84.36,128.38,117.78,110.8,79.12,97.48,96.1111111111111,106.486666666667,108.757777777778,0.55555556,0.44444444,NA,96.0799987792969,85.7750015258789,NA,-6.84599456787109,4.11359167098999,NA,8.02634582519531,2.04615259170532,NA,0.488257046788931,0.286491487175226,NA,9.76514093577862,7.16228717938066,NA,0.4,1,0.66666667,0.5,0.75,0.66666667,0.44444444,20.16666667,NA,0.55555556,0.44444444,NA,96.8027404785156,86.4507751464844,NA,-6.19424209594727,4.97442245483398,NA,6.92768020629883,0.710174977779388,NA,0.488257046788931,0.286491487175226,NA,9.76514093577862,7.16228717938066,0.4,1,0.66666667,0.5,0.75,0.66666667,0.44444444,2,83.196662902832,57.0598335266113,0,0,83.9992,0,0,"2024-09-29",0
"Tony Santillan",19926,"2024-09-28","@CHC",18,2024,"CIN","A",27,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,1,0,0,0,0,10.5257290840149,0,0.25,1,0.25,1,3.1664797782898,-3.1664797782898,7.70250499695539,0,73.6482366464374,187.926090042024,0,0,0,1,0,0,0,0,3,7,10,0.0730279982089996,-0.0511600188910961,0.124188013374805,0.469000041484833,0.0502679534256458,1.61229991912842,1.31439995765686,1.31439995765686,1.50440001487732,1,1,0.0348440520465374,0.0104502491827757,1,0,0.7,96.71428571,0.3,85.66666667,NA,NA,NA,-0.0937462598085403,0.341525048017502,NA,-1.33923228297915,11.3841682672501,NA,0.33333333,1,0.6,1,0.75,0.83333333,0.4,0.5,0.1,1,2,1,1,3,0,4,0.25,0.5,0.25,0.25,0.75,0,0.84818578071681,NA,NA,NA,NA,58.84399,52.23387,68.43664,58.68273,36.98799,69.68575,61.36006,44.59626,75.59576,-0.58035,3.20657,NA,NA,NA,88.56,121.54,111.78,105.28,103.18,117.2,93.576,116.032,113.406,0.7,0.3,NA,96.6714303152902,85.5666707356771,NA,-6.67640958513532,6.13330523173014,NA,8.44012832641602,-2.01292673746745,NA,-0.0967243649065495,0.387994647026062,NA,-1.38177664152214,12.9331549008687,NA,0.4,0.8,0.6,1,0.75,0.83333333,0.5,17.6,NA,0.7,0.3,NA,97.2919747488839,86.1604309082031,NA,-6.06642859322684,6.74385706583659,NA,7.32508741106306,-3.18814659118652,NA,-0.0967243649065495,0.387994647026062,NA,-1.38177664152214,12.9331549008687,0.25,0.83333333,0.6,1,0.8,0.83333333,0.6,4,84.4921468098958,34.9535929361979,0,0,95.2027,1,0.25,"2024-09-28",0
"Tony Santillan",19926,"2024-09-25","@CLE",18,2024,"CIN","A",27,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,2,18,0,9,2,0,0,0,1,1,0,0,0,0,0.5,0,0.5,0.799854084014893,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-17.260634320719,18.1856412207288,0,0.5,0,0.5,0,0,1,9,5,10,15,0.0275520011782646,-0.0135320071130991,0.0410840064287186,0.480000019073486,0.0506329089403152,0.447899997234344,0.48199999332428,0.48199999332428,0.728399991989136,1,1,0.0234805271029472,0.0380332066509943,0,0,0.66666667,97.3,0.33333333,87.2,NA,NA,NA,-0.189364075660706,0.202371537685394,NA,-1.89364075660706,4.04743075370789,NA,0.375,0.57142857,0.46666667,0.66666667,1,0.85714286,0.46666667,0.5,0.06666667,1,0,1,0,2,0,2,0.5,0,0.5,0,1,0,1.61572190809104,NA,NA,NA,NA,52.88001,55.08678,52.92213,80,60.73613,65.54703,64.7359,56.11433,60.90557,-0.79008,2.89197,NA,NA,NA,91.86,111.98,105.98,133.48,174.64,176.1,105.733333333333,132.866666666667,129.353333333333,0.66666667,0.33333333,NA,97.2,87.1400024414063,NA,-6.9335693359375,5.04321212768555,NA,7.97786407470703,0.0575896739959717,NA,-0.190183207392693,0.204496808350086,NA,-1.90183207392693,4.08993616700172,NA,0.42857143,0.5,0.46666667,0.66666667,1,0.85714286,0.53333333,19.18181818,NA,0.66666667,0.33333333,NA,97.0845581054687,87.0005615234375,NA,-6.29216499328613,6.08695411682129,NA,7.34986877441406,-1.07517528533936,NA,-0.190183207392693,0.204496808350086,NA,-1.90183207392693,4.08993616700172,0.375,0.57142857,0.46666667,0.66666667,1,0.85714286,0.46666667,2,87.9011383056641,32.8348579406738,0,0,97.1764,1,0.5,"2024-09-25",0
"Tony Santillan",19926,"2024-09-22","PIT",18,2024,"CIN","H",27,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,0,1,0,0,0,0,0,0.66666667,0,0.66666667,-0.078604246671107,0,0,0,0,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-17.260634320719,18.1856412207288,0,0,0,1,0,0,0,0,4,9,13,0.043210007250309,0,0.043210007250309,0.560999989509583,0.0530496463179588,0.544666647911072,0.714999973773956,0.714999973773956,0.666000008583069,1,1,0.0794099718332291,-7.70304533413702e-05,0,0,0.46153846,96.83333333,0.53846154,85.85714286,NA,NA,NA,0.19683638215065,0.574294328689575,NA,3.2806063691775,8.20420469556536,NA,0.5,0.42857143,0.46153846,1,1,1,0.53846154,0.66666667,0,0,1,0,0,1,0,1,0,1,0,0,1,0,-1.81690392675247,NA,NA,NA,NA,55.70274,49.83544,57.08176,80,42.45414,80,79.07111,46.31069,80,-1.68067,1.55609,NA,NA,NA,81.5,131.98,116.32,134.28,147.72,168.66,109.92,140.455384615385,144.503076923077,0.46153846,0.53846154,NA,96.5499979654948,85.7714320591518,NA,-5.02760791778564,6.18190220424107,NA,7.27422841389974,-2.42879240853446,NA,0.198516804724932,0.58133015409112,NA,3.3086134120822,8.304716487016,NA,0.33333333,0.57142857,0.46153846,1,0.75,0.83333333,0.53846154,20.2,NA,0.46153846,0.53846154,NA,96.9629618326823,86.1774030412946,NA,-4.43946647644043,6.8928598676409,NA,6.6573232014974,-3.64348575047084,NA,0.198516804724932,0.58133015409112,NA,3.3086134120822,8.304716487016,0.2,0.625,0.46153846,1,0.8,0.83333333,0.61538462,1,93.0259552001953,44.8552398681641,0,0,93.026,0,0,"2024-09-22",0
"Tony Santillan",19926,"2024-09-18","ATL",18,2024,"CIN","H",27,0,1,27,1,0,0,0,0,0,0,0,1,7,4,3,3,1,1,0,0,0,0,2,18,9,36,2,0,0,0,3,1,0,0,0,0,0.28571429,0.14285714,0.14285714,4.91305561051479,9,0.666666666666667,5,1,0.55555556,15.1664797782898,11.8335202217102,6.70250499695539,615.599788280819,346.374849547906,163.760366446291,0,0.25,0,0.75,0,0.333333333,0,0,17,15,32,-0.358759999275208,-0.490230023860931,0.131469994783401,-2.43900012969971,-0.230638295412064,1.82442855834961,1.55099999904633,1.55099999904633,0.304000020027161,1,1,-0.205043748021126,0.00840135408724424,0,1,0.5625,97.16666667,0.4375,86.21428571,NA,NA,NA,-2.83523058891296,-0.0425056703388691,NA,-15.7512810495165,-0.303611930991922,NA,0.14285714,0.81818182,0.375,0.33333333,0.88888889,0.75,0.34375,0.28571429,0.09375,1,3,0,1,1,2,4,0.25,0.75,0,0.25,0.25,0.5,12.9165906271486,NA,NA,NA,NA,30.65722,56.53687,26.5881,20,47.00254,20,20,52.42319,20,2.06448,7.17381,NA,NA,NA,90.74,100.96,98.9,108.76,57.52,73.18,98.62375,81.955,87.6475,0.5625,0.4375,NA,97.0777791341146,86.2928553989955,NA,-6.04031202528212,5.61370304652623,NA,7.87905799018012,-0.791304111480713,NA,-2.85413713380694,-0.0490404516458511,NA,-15.8563174100386,-0.350288940327508,NA,0.10526316,0.76923077,0.375,0,0.9,0.75,0.40625,20.72,NA,0.5625,0.4375,NA,97.1990424262153,86.4241420200893,NA,-5.19222429063585,6.75661795479911,NA,6.86634402804905,-2.02904755728585,NA,-2.85413713380694,-0.0490404516458511,NA,-15.8563174100386,-0.350288940327508,0.10526316,0.76923077,0.375,0,0.9,0.75,0.40625,4,93.3904190063477,29.9475231170654,2,0.5,108.476,2,0.5,"2024-09-18",0
"Tony Santillan",19926,"2024-09-15","@MIN",18,2024,"CIN","A",27,0,0,13.500014081612,1,0,0,0,0,0,0,1,0.2,4,2,1,1,0,0,0,0,0,0,1,13.500014081612,0,27.000028163224,1,0,0,0,1,2,0,0,0,0,0.25,0,0.25,3.28666658401489,0,0.5,3.00000312924711,0.666666666666667,0.5,0.166476649042681,13.3335374325693,2.43449162409945,307.800215201053,5.46651230198958,60.6207349749633,0,0.666666666,0,0.333333333,0,0,0,0,4,15,19,-0.368680030107498,-0.460060000419617,0.0913799852132797,-2.10699987411499,-0.220859527587891,2.48429989814758,1.7396000623703,3.4792001247406,0.386000007390976,1,1,-0.103557914495468,-0.0448460806833765,0,1,0.68421053,96.46153846,0.31578947,86.5,NA,NA,NA,-0.298444122076035,-0.418813914060593,NA,-2.2957240159695,-6.98023190100988,NA,0.58333333,0.71428571,0.63157895,0.71428571,0.8,0.75,0.36842105,0.75,0.15789474,1,2,0,0,3,0,3,0.33333333,0.66666667,0,0,1,0,7.58074857707093,NA,NA,NA,NA,42.48141,43.19793,49.54085,57.21808,55.05245,54.36577,46.0977,43.79257,53.23384,0.36785,4.62887,NA,NA,NA,80.94,111.44,86.68,132.64,124.76,132.8,97.2663157894737,115.646315789474,101.244210526316,0.68421053,0.31578947,NA,96.4461576021635,86.5333353678385,NA,-5.96756979135367,4.20951175689697,NA,7.2408682016226,0.584433158238729,NA,-0.303980145603418,-0.422135662287474,NA,-2.33830881233399,-7.03559437145789,NA,0.6,0.66666667,0.63157895,0.66666667,0.83333333,0.75,0.47368421,23.46666667,NA,0.68421053,0.31578947,NA,96.356698843149,86.4284362792969,NA,-5.5129646888146,4.87448151906331,NA,6.61215386023888,-0.231983323891958,NA,-0.303980145603418,-0.422135662287474,NA,-2.33830881233399,-7.03559437145789,0.66666667,0.57142857,0.63157895,0.75,0.75,0.75,0.36842105,3,94.3272094726562,23.8126678466797,0,0,100.713,2,0.66666667,"2024-09-15",0
"Tony Santillan",19926,"2024-09-13","@MIN",18,2024,"CIN","A",27,0,0,0,1,0,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.03472908401489,0,0,0,0,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,73.6482366464374,78.3097583844777,0,1,0,0,0,0,1,27.000028163224,3,3,6,0.0232879966497421,-0.00658800173550844,0.0298759993165731,0.223000004887581,0.0233752634376287,0.932600021362305,0.408799976110458,0.817599952220917,0.57480001449585,1,1,0.0204607844352722,0.0045102600814585,0,0,0.66666667,97.25,0.33333333,86,NA,NA,NA,0.403170228004456,-0.111731298267841,NA,10.0792557001114,-5.58656491339207,NA,0.25,0.5,0.33333333,1,1,1,0.33333333,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,37.3281947237885,NA,NA,NA,NA,80,51.85132,80,20,46.2981,20,62.4827,47.86989,79.83667,-0.65009,3.10196,NA,NA,NA,68.52,174.52,163.72,143.64,0.939999999999998,23.32,93.56,116.66,116.92,0.66666667,0.33333333,NA,97.0250015258789,85.6499938964844,NA,-5.65224361419678,6.84881544113159,NA,8.52123832702637,-2.30951070785522,NA,0.409014880657196,-0.114038866013288,NA,10.2253720164299,-5.70194330066442,NA,0.25,0.5,0.33333333,1,1,1,0.33333333,20,NA,0.66666667,0.33333333,NA,96.9105529785156,85.5755996704102,NA,-5.13539505004883,7.51962471008301,NA,7.92476034164429,-3.47305488586426,NA,0.409014880657196,-0.114038866013288,NA,10.2253720164299,-5.70194330066442,0.25,0.5,0.33333333,1,1,1,0.33333333,1,64.5881118774414,15.6181001663208,0,0,64.5881,0,0,"2024-09-13",0
"Tony Santillan",19926,"2024-09-10","@STL",18,2024,"CIN","A",27,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,1,0,0,0,0,0,0.33333333,0,0.33333333,1.87828464271067,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,28.1938011628592,66.5170884121943,1,0,0.5,0.5,0,0,0,0,1,7,8,0.0519080013036728,0,0.0519080013036728,0.479999989271164,0.0506329126656055,0.690266668796539,1.03760004043579,1.03760004043579,1.0103999376297,1,1,0.0752024799585342,-2.55556674383373e-06,0,0,0.625,97,0.375,86.33333333,NA,NA,NA,0.48954513669014,0.227358251810074,NA,9.7909027338028,7.57860839366913,NA,0.33333333,0.4,0.375,1,1,1,0.625,1,0,1,1,0,0,0,2,2,0.5,0.5,0,0,0,1,-0.392924839570395,NA,NA,NA,NA,79.5633,45.03103,80,28.88485,42.07493,41.31852,65.32164,41.27221,80,-0.82647,2.83739,NA,NA,NA,82.24,123.7,107.18,103.92,65.92,74.68,90.37,102.0325,94.9925,0.625,0.375,NA,96.7799987792969,86.1333312988281,NA,-6.76733093261719,5.31762377421061,NA,7.93132781982422,-0.379940152168274,NA,0.537429332733154,0.230149276554585,NA,10.7485866546631,7.67164255181948,NA,0.33333333,0.4,0.375,1,1,1,0.625,14.6,NA,0.625,0.375,NA,97.0201599121094,86.329833984375,NA,-6.1004020690918,5.78964996337891,NA,7.03255767822266,-1.69834168752034,NA,0.537429332733154,0.230149276554585,NA,10.7485866546631,7.67164255181948,0,0.5,0.375,NA,1,1,0.75,2,95.9790649414062,4.09790372848511,0,0,100.661,1,0.5,"2024-09-10",0
"Tony Santillan",19926,"2024-09-08","@NYM",18,2024,"CIN","A",27,0,0,9,1,0,0,0,0,0,0,0,1,6,2,1,1,0,1,0,0,0,0,2,18,9,18,2,0,0,1,0,2,0,0,0,0,0.33333333,0.16666667,0.16666667,3.69039574374473,0,0.4,3,0.666666666666667,0.66666667,2.1664797782898,6.8335202217102,2.1664797782898,205.19992942694,50.9210189046483,54.144034788745,1,0.666666666,0.333333333,0,0,0,0,0,12,16,28,-0.126292005181313,-0.245793998241425,0.119501993060112,-0.648999989032745,-0.0705818384885788,1.58406662940979,1.43073332309723,1.66699993610382,1.52559995651245,1,1,-0.0555271171033382,-0.0241993305324963,0,1,0.53571429,97.6,0.42857143,87.83333333,0.03571429,92,NA,-0.183844268321991,-0.228142127394676,-0.04739710688591,-1.22562845547994,-1.90118439495564,-4.739710688591,0.14285714,0.92857143,0.53571429,0,0.76923077,0.66666667,0.5,0.66666667,0.17857143,0,3,0,0,2,1,3,0,1,0,0,0.66666667,0.33333333,7.44963039742102,NA,20,57.70992,20,72.06973,51.65638,78.25497,55.07305,59.23098,48.55857,64.51338,55.96101,64.71448,-0.77625,2.91272,98.32,2.69999999999999,12.12,94.9,144.02,136.86,128.16,110.02,135.02,109.276428571429,124.401428571429,131.616428571429,0.53571429,0.42857143,0.03571429,97.486669921875,87.7166646321615,91.5999984741211,-5.85960845947266,3.20918496449788,-8.5570068359375,7.90348765055339,1.43585840861003,2.60420823097229,-0.148519050329924,-0.234158724546432,-0.0483221560716629,-0.990127002199491,-1.9513227045536,-4.83221560716629,0.07692308,0.93333333,0.53571429,0,0.71428571,0.66666667,0.53571429,19.90909091,0.03571429,0.53571429,0.42857143,91.5038986206055,97.3594482421875,87.5658365885417,-7.8909797668457,-5.21236012776693,4.20731099446615,1.06860995292664,7.10868988037109,0.0865838130315145,-0.0483221560716629,-0.148519050329924,-0.234158724546432,-4.83221560716629,-0.990127002199491,-1.9513227045536,0.07692308,0.93333333,0.53571429,0,0.71428571,0.66666667,0.53571429,3,93.4419250488281,9.63132158915202,0,0,104.489,1,0.33333333,"2024-09-08",0
"Tony Santillan",19926,"2024-09-06","@NYM",18,2024,"CIN","A",27,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,0,1,0,0,0,0,0,0.66666667,0,0.66666667,-0.078604246671107,0,0,0,0,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-17.260634320719,18.1856412207288,0,0,0,1,0,0,0,0,3,9,12,0.101593993604183,0,0.101593993604183,0.458999991416931,0.0499184317886829,1.37793338298798,1.78779995441437,1.78779995441437,2.21560001373291,1,1,0.0737273767590523,1.87231674989019e-06,1,0,0.58333333,96.85714286,0.41666667,86.4,NA,NA,NA,0.566638290882111,0.215810090303421,NA,8.09483272688729,4.31620180606842,NA,0.57142857,0.8,0.66666667,0.5,0.75,0.625,0.41666667,0.66666667,0.25,0,1,0,0,0,1,1,0,1,0,0,0,1,-1.81690392675247,NA,NA,NA,NA,80,53.62177,80,74.02206,47.87445,66.44886,80,50.69479,80,-2.26353,0.6818,NA,NA,NA,98.6,141.04,138.9,110.06,122.76,129.84,103.375,133.423333333333,135.125,0.58333333,0.41666667,NA,96.7571411132812,86.6,NA,-5.72927965436663,5.2551815032959,NA,8.08474404471261,-0.484482097625732,NA,0.615713704377413,0.217701427638531,NA,8.79591006253447,4.35402855277061,NA,0.25,0.875,0.66666667,0,0.71428571,0.625,0.66666667,17,NA,0.58333333,0.41666667,NA,96.9034423828125,86.7290771484375,NA,-4.86745125906808,6.28231811523438,NA,7.21396582467215,-1.78949356079102,NA,0.615713704377413,0.217701427638531,NA,8.79591006253447,4.35402855277061,0.25,0.875,0.66666667,0,0.71428571,0.625,0.66666667,1,98.4664764404297,23.0753479003906,0,0,98.4665,1,1,"2024-09-06",0
