"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","CH%","CHv","wFB","wSL","wCB","wCH","wFB/C","wSL/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxSL%","pfxCU%","pfxCH%","pfxvFA","pfxvSI","pfxvSL","pfxvCU","pfxvCH","pfxFA-X","pfxSI-X","pfxSL-X","pfxCU-X","pfxCH-X","pfxFA-Z","pfxSI-Z","pfxSL-Z","pfxCU-Z","pfxCH-Z","pfxwFA","pfxwSI","pfxwSL","pfxwCU","pfxwCH","pfxwFA/C","pfxwSI/C","pfxwSL/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piSI%","piSL%","pivCH","pivCU","pivFA","pivSI","pivSL","piCH-X","piCU-X","piFA-X","piSI-X","piSL-X","piCH-Z","piCU-Z","piFA-Z","piSI-Z","piSL-Z","piwCH","piwCU","piwFA","piwSI","piwSL","piwCH/C","piwCU/C","piwFA/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Tommy Henry",26285,"2024-06-22","@PHI",15,2024,"ARI","A",26,0,1,14.7272752809135,1,1,0,0,0,0,0,0,3.2,19,6,6,6,2,2,0,1,0,0,2,4.9090917603045,4.9090917603045,14.7272752809135,1,0,0,5,8,1,0,0,0,0,0.10526316,0.10526316,0,6.33947977594649,4.9090917603045,0.375,2.18181856013533,0.333333333333333,0.48387097,11.6210266988142,3.10624858209928,7.82904438214989,352.222971395769,291.946706909175,190.984005848608,0.625,0.071428571,0.357142857,0.571428571,0,0.25,0,0,30,39,69,-0.294151991605759,-0.446916043758392,0.152764052152634,-4.31799983978271,-0.442191511392593,0.64897894859314,0.565400004386902,0.870000004768372,0.140599995851517,1,1,-0.408812969923019,-0.0444405481509074,0,0,0.5942029,88.65853659,0.08695652,82.33333333,0.05797101,76.25,0.26086957,82.66666667,-1.64730668067932,-0.742222130298615,-1.23629713058472,0.162036389112473,-4.01782117238859,-12.3703688383102,-30.9074282646179,0.900202161735959,0.24390244,0.71428571,0.43478261,0.7,0.95,0.86666667,0.4057971,0.52631579,0.05797101,3,8,3,1,8,5,14,0.21428571,0.57142857,0.21428571,0.07142857,0.57142857,0.35714286,9.58760567340462,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.79401,34.16392,47.12165,0.88372,5.40267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.984347826087,96.7446376811594,77.5701449275362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26086957,0.05797101,0.43478261,0.15942029,0.08695652,82.6243557400174,76.0588760375977,88.6546875,88.6300215287642,82.408447265625,7.43685658772786,-6.4829249382019,5.13782908121745,8.32053167169744,-1.41247701644897,0.412587112850613,-8.02358722686768,7.81259969075521,4.36413019353693,0.301678836345673,0.160840660333633,-1.23585452139378,-2.03179046884179,0.427336394786835,-0.754032071679831,0.893559224075741,-30.8963630348444,-6.7726348961393,3.88487631624395,-12.5672011946638,0.16666667,0.72727273,0.43478261,0.5,0.95833333,0.86666667,0.47826087,14,NA,NA,NA,NA,NA,NA,NA,"2024-06-22",0
"Tommy Henry",26285,"2024-06-15","CHW",15,2024,"ARI","H",26,0,0,11.25,1,0,0,0,0,0,0,0,4,20,5,5,5,2,3,0,0,0,0,3,6.75,6.75,11.25,1,0,0,3,6,4,1,0,1,0,0.15,0.15,0,5.92495158401489,4.5,0.294117647058824,2,0.25,0.57692308,10.4164797782898,0.833520221710206,6.1844923876226,269.059167607045,261.877345111621,151.24221691005,0.5,0.307692307,0.23076923,0.461538461,0.166666666,0.333333333,0,0,33,42,75,-0.107980005443096,-0.260379999876022,0.152399986982346,-2.95600008964539,-0.29858586192131,0.49770000576973,0.342000007629395,0.670000016689301,NA,0,1,-0.147671744227409,-0.0692862710253676,0,1,0.49333333,89.56756757,NA,NA,0.4,78.33333333,0.10666667,84.125,-2.13180494308472,NA,-0.416486501693726,0.0631492286920547,-5.76163498131005,NA,-1.38828833897909,0.789365358650684,0.17647059,0.83333333,0.38666667,0.88888889,1,0.96551724,0.32,0.45,0.01333333,6,4,4,3,5,6,14,0.42857143,0.28571429,0.28571429,0.21428571,0.35714286,0.42857143,13.048620807341,NA,35.26639,26.16893,42.55524,28.78083,47.45014,24.84692,40.68256,36.39848,43.60668,NA,NA,NA,20,30.22501,20,26.60723,31.88271,27.18939,1.57872,6.44517,77,94.5,70.34,80.68,87.52,76.42,57.5,105.04,70.54,NA,NA,NA,73.66,49.44,28.4,69.1786486486486,95.4375675675676,71.7659459459459,0.49333333,NA,0.01333333,0.4,0.09333333,89.4432406038851,NA,83.1999969482422,78.3066650390625,84.2000034877232,4.10035416886613,NA,2.98317432403564,-6.16193491617839,5.71674728393555,8.20342110298775,NA,3.28285312652588,-5.95966389973958,2.87651933942522,-2.13393699377775,NA,-0.0242429338395596,-0.42558541893959,0.0868104323744774,-5.76739728048041,NA,-2.42429338395596,-1.41861806313197,1.24014903392111,0.11363636,0.77419355,0.38666667,0.8,1,0.96551724,0.41333333,21.18181818,0.10666667,0.4,0.49333333,NA,NA,84.1679382324219,78.390576171875,89.5341137035473,NA,NA,4.88361501693726,-6.83853708902995,3.55447099015519,NA,NA,1.90069580078125,-7.49348551432292,7.26825858451225,NA,NA,0.0625674985349178,-0.42558541893959,-2.13393699377775,NA,NA,0.782093731686473,-1.41861806313197,-5.76739728048041,NA,NA,0.11904762,0.72727273,0.38666667,0.8,1,0.96551724,0.44,14,90.0250431941106,15.7276998666617,2,0.14285714,105.386,6,0.42857143,"2024-06-15",0
"Tommy Henry",26285,"2024-06-09","@SDP",15,2024,"ARI","A",26,1,0,7.71428676527388,1,0,0,0,0,0,0,0,2.1,13,3,2,2,1,2,0,1,0,0,1,3.85714338263694,7.71428676527388,11.5714301479108,0.5,0,0,4,4,1,2,0,0,0,0.07692308,0.15384615,-0.07692308,6.77600719048786,3.85714338263694,0.3,2.1428574347983,0.25,0.86956522,11.737909517483,-4.02362275220911,8.75849495080746,184.497740066368,294.864477651505,213.444851386683,1,0.111111111,0.444444444,0.444444444,0.5,0.25,8,30.8571470610955,19,27,46,-0.0159839913249016,-0.238139986991882,0.222156003117561,-0.991999983787537,-0.108237870037556,0.944769203662872,0.445749968290329,0.400000005960464,0.343199998140335,1,1,-0.203579172492027,0.186660763992966,0,0,0.65217391,90.2,0.08695652,84,0.17391304,78.25,0.08695652,84.5,0.810176074504852,-0.543365061283112,-1.71373009681702,-0.584673404693604,2.70058691501617,-13.5841265320778,-21.4216262102127,-14.6168351173401,0.19230769,0.65,0.39130435,0.8,0.92307692,0.88888889,0.43478261,0.61538462,0.04347826,3,4,2,3,1,5,9,0.33333333,0.44444444,0.22222222,0.33333333,0.11111111,0.55555556,9.4475979933493,NA,20,29.14685,20,20.83478,54.4479,20,45.63334,40.13144,50.29052,30.91609,49.50617,39.45081,38.38932,40.19704,60.52593,25.75725,39.43628,30.94479,1.63152,6.52437,77.24,51.08,32.22,85.56,49.18,38.6,72.66,88.58,65.2,101.46,44.08,38.26,110.54,103.14,99.3,86.7347826086957,67.1569565217391,53.0578260869565,0.34782609,0.30434783,0.08695652,0.17391304,0.08695652,89.78125,90.5642874581473,83.9749984741211,78.375,84.3249969482422,4.66267728805542,8.47381918770926,0.384435176849365,-6.45316982269287,6.75986862182617,8.53177070617676,6.47524751935686,1.49245083332062,-5.74512243270874,2.78334546089172,1.41326236724854,0.479623772203922,-0.551848568022251,-1.72252916917205,-0.593945108354092,8.83288979530334,3.42588408717087,-13.7962142005563,-21.5316146146506,-14.8486277088523,0.20833333,0.59090909,0.39130435,0.6,1,0.88888889,0.47826087,19.90909091,0.08695652,0.17391304,0.36956522,0.2826087,0.08695652,84.423698425293,78.5062713623047,89.899263269761,90.7606201171875,84.0803756713867,7.10755014419556,-6.36799144744873,4.90229617848116,8.83375314565805,0.311424285173416,1.38141095638275,-7.39255142211914,7.37550757913028,5.20157212477464,-0.123996250331402,-0.593945108354092,-1.72252916917205,1.6509054005146,0.241980738937855,-0.551848568022251,-14.8486277088523,-21.5316146146506,9.71120823832119,1.86139029952196,-13.7962142005563,0.13636364,0.625,0.39130435,0.66666667,0.93333333,0.88888889,0.52173913,9,87.0397677951389,21.3395063612196,1,0.11111111,102.507,5,0.55555556,"2024-06-09",0
"Tommy Henry",26285,"2024-04-29","LAD",15,2024,"ARI","H",26,0,1,4.5,1,1,0,0,0,0,0,0,4,18,5,2,2,0,2,0,1,0,0,0,0,4.5,11.25,0,0,0,5,6,4,1,0,0,0,0,0.11111111,-0.11111111,7.78940809350399,0,0.333333333333333,1.75,0.333333333333333,0.75,5.4164797782898,-0.916479778289795,7.6844923876226,107.623667042818,137.061278235356,187.490802303649,0.833333333,0.266666666,0.333333333,0.4,0.166666666,0,1,2.25,28,44,72,-0.013579960912466,-0.381099969148636,0.36752000451088,0.0441000089049339,0.0044545391574502,1.19444441795349,0.903499960899353,0.870000004768372,0.945999979972839,1,1,-0.00505443848669529,-0.00631483136659212,0,0,0.55555556,90.125,0.05555556,80.75,0.26388889,78.36842105,0.125,83.22222222,-0.952650427818298,0.0675593018531799,1.57179665565491,-0.948450744152069,-2.38162606954575,1.6889825463295,8.27261397713109,-10.5383416016897,0.28571429,0.6,0.41666667,0.91666667,1,0.96666667,0.41666667,0.55555556,0.01388889,7,5,3,1,6,8,15,0.46666667,0.33333333,0.2,0.06666667,0.4,0.53333333,6.93088543534156,44,50.54091,44.82484,48.91655,52.21118,36.43552,60.45642,55.02637,39.02817,63.49696,20,25.44107,20,20,39.5127,20,32.71574,29.92113,37.07013,1.19922,5.87592,80.52,93.4,73.7,79.64,147.1,133.96,75.34,121.7,98.52,76.76,25.3,14.56,104.12,48.34,56.7,79.0494444444445,102.991111111111,86.9422222222222,0.30555556,0.23611111,0.05555556,0.26388889,0.13888889,89.6818181818182,90.5176499310662,80.7750015258789,78.4210526315789,83.75,5.114783893932,8.21802655388327,-2.31725382804871,-4.99938322368421,8.01761856079102,9.09078563343395,6.76403898351333,3.86760926246643,-4.68964385986328,2.5744270324707,0.0143049024045467,-0.629715241491795,0.0677615329623222,1.59992563724518,-1.27690843865275,0.0650222836570306,-3.70420730289291,1.69403832405806,8.42066124865883,-12.7690843865275,0.30769231,0.54545455,0.41666667,0.91666667,1,0.96666667,0.45833333,21.16666667,0.125,0.26388889,0.375,0.18055556,0.05555556,83.4651692708333,78.6711490028783,90.1761338975694,90.4609187199519,81.0344772338867,7.34513854980469,-5.88062848542866,4.76440373173466,7.92471254788912,-3.17684769630432,1.03887112935384,-6.17913898668791,7.94765613697193,4.50103466327374,2.90205001831055,-0.958909820765257,1.59992563724518,-0.250054642558098,-0.683354314416647,0.0677615329623222,-10.6545535640584,8.42066124865883,-0.926128305770733,-5.25657164935882,1.69403832405806,0.3,0.5625,0.41666667,0.91666667,1,0.96666667,0.44444444,15,96.2800455729167,18.116943359375,2,0.13333333,110.782,9,0.6,"2024-04-29",0
"Tommy Henry",26285,"2024-04-23","@STL",15,2024,"ARI","A",26,1,0,1.5,1,1,1,0,0,0,0,0,6,23,5,1,1,1,1,0,0,0,0,6,9,1.5,7.5,6,0.142857142,0,7,7,2,0,1,0,0,0.26086957,0.04347826,0.21739131,3.35396348241064,1.5,0.227272727272727,1,0.266666666666667,1,3.83314644495646,-2.33314644495646,3.43048958554864,35.8745556809394,97.5361903912061,84.6897464132576,1,0.125,0.4375,0.4375,0,0.142857142,14,21,31,62,93,0.0823600292205811,-0.239600002765656,0.321960031986237,1.87999999523163,0.198312237858772,0.70565003156662,0.598399996757507,0.870000004768372,0.0164000000804663,1,1,0.0424841456115246,0.0742309759590546,0,0,0.51612903,90.66666667,0.03225806,82.66666667,0.32258065,78.23333333,0.12903226,84.58333333,0.488457769155502,0.054188709706068,-0.391997814178467,0.11082036793232,1.0176203524073,1.8062903235356,-1.30665938059489,0.923503066102664,0.30188679,0.6,0.43010753,0.6875,0.83333333,0.775,0.43010753,0.65217391,0.09677419,5,5,6,5,8,3,16,0.3125,0.3125,0.375,0.3125,0.5,0.1875,3.37653369211603,61,38.12948,43.29561,38.48333,59.1633,42.41624,63.60707,57.77853,34.74418,68.88596,54.75753,53.14463,60.28213,65.34646,34.01865,80,53.83774,35.71613,63.97963,-0.11301,3.90758,80.86,89.64,70.56,97.82,110.96,99.82,81.14,119.12,92.96,89.62,121.38,119.9,117.02,109.14,101.52,89.4655913978495,112.847956989247,98.3522580645161,0.30107527,0.21505376,0.03225806,0.32258065,0.12903226,90.3607177734375,90.9849975585937,82.8333333333333,78.1899983723958,84.4500020345052,5.48731667654855,9.75297088623047,-0.567900856335958,-6.32851816813151,9.15683873494466,8.82767268589565,6.11766510009766,4.81759961446126,-5.77975260416667,2.84751892089844,1.11551499739289,-0.603750109672546,0.054773960262537,-0.405673157423735,0.110536687076092,3.98398213354605,-3.01875054836273,1.8257986754179,-1.35224385807912,0.921139058967431,0.24390244,0.57692308,0.43010753,0.7,0.8,0.775,0.55913978,19.39130435,0.12903226,0.32258065,0.30107527,0.21505376,0.03225806,85.3235422770182,79.0513834635417,91.2336164202009,91.8614501953125,83.7178344726562,8.61522165934245,-6.78812510172526,4.83595439365932,9.19865264892578,-1.21078793207804,1.30630056063334,-7.22237752278646,7.78056771414621,4.78425483703613,3.22874323527018,0.110536687076092,-0.405673157423735,1.11551499739289,-0.603750109672546,0.054773960262537,0.921139058967431,-1.35224385807912,3.98398213354605,-3.01875054836273,1.8257986754179,0.23076923,0.57407407,0.43010753,0.66666667,0.80645161,0.775,0.58064516,16,87.0946731567383,10.5863780975342,2,0.125,107.743,4,0.25,"2024-04-23",0
"Tommy Henry",26285,"2024-04-16","CHC",15,2024,"ARI","H",26,0,0,10.3846161464263,1,1,0,0,0,0,0,0,4.1,21,9,5,5,0,1,0,0,0,0,3,6.23076968785577,2.07692322928526,18.6923090635673,3,0,0,8,4,5,0,0,0,0,0.14285714,0.04761905,0.0952381,4.37847285308208,0,0.45,2.30769247698362,0.529411764705882,0.5,2.47417203519471,7.91044411123158,3.86987220486439,248.362326780101,63.6118222288153,95.307745344411,2,0.294117647,0.470588235,0.235294117,0,0,4,8.30769291714103,26,48,74,-0.440660029649734,-0.863740026950836,0.423079967498779,-3.39590001106262,-0.343020170927048,1.23399996757507,0.924399971961975,0.870000004768372,1.53799998760223,1,1,-0.298631548881531,-0.0584673500071565,0,0,0.48648649,89.5,0.09459459,81.71428571,0.2027027,77.13333333,0.21621622,83,-1.19601655006409,-1.13900780677795,-0.209607020020485,-1.39468967914581,-3.32226819462246,-16.2715400968279,-1.3973801334699,-8.71681049466133,0.325,0.73529412,0.51351351,0.61538462,1,0.86842105,0.45945946,0.80952381,0.06756757,8,6,3,0,10,7,17,0.47058824,0.35294118,0.17647059,0,0.58823529,0.41176471,4.26998272818156,34,49.33699,48.74729,54.89112,57.9791,40.05899,67.41314,52.7018,37.45561,64.42652,80,34.11135,80,38.06074,41.46817,43.06067,54.87962,36.0906,70.07066,-0.17774,3.81048,74.72,90.28,74.38,86.74,116.36,101.34,77.86,113.42,90.5,74.96,146.8,139.22,103.62,94.58,91.78,80.9475675675676,112.643513513514,97.2335135135135,0.33783784,0.14864865,0.09459459,0.2027027,0.21621622,89.44,89.5363658558239,81.6000017438616,76.9933349609375,82.9312515258789,5.51626831054687,8.97160200639204,-3.79238864353725,-5.42234344482422,8.98117065429688,9.72056762695312,7.28319688276811,3.16984149387905,-5.84703369140625,2.54236149787903,0.485225208103657,-1.68867702782154,-1.14693976193666,-0.21240458637476,-1.41251850873232,1.94090083241463,-15.3516093438322,-16.3848537419524,-1.41603057583173,-8.82824067957699,0.21875,0.73809524,0.51351351,0.42857143,0.96774194,0.86842105,0.56756757,20.65384615,0.21621622,0.2027027,0.33783784,0.14864865,0.09459459,83.1601257324219,77.2292236328125,89.6820703125,89.770263671875,81.8470807756696,8.45305919647217,-6.19820302327474,4.71534088134766,8.40889670632102,-5.03910119192941,1.03330993652344,-7.25751647949219,8.60081481933594,6.00682484019886,1.55458191462925,-1.41251850873232,-0.21240458637476,0.485225208103657,-1.68867702782154,-1.14693976193666,-8.82824067957699,-1.41603057583173,1.94090083241463,-15.3516093438322,-16.3848537419524,0.2,0.72727273,0.51351351,0.33333333,0.96875,0.86842105,0.59459459,17,93.8755457261029,8.56957469267004,1,0.05882353,113.971,8,0.47058824,"2024-04-16",0
"Tommy Henry",26285,"2024-04-10","@COL",15,2024,"ARI","A",26,0,0,3.6,1,1,0,0,0,0,0,0,5,24,4,3,2,1,3,0,0,0,0,6,10.8,5.4,7.2,2,0.166666666,0,6,7,2,0,1,0,0,0.25,0.125,0.125,4.47052075011423,1.8,0.19047619047619,1.4,0.214285714285714,0.71428571,5.1664797782898,-1.5664797782898,4.68329154700041,86.0989336342545,130.820474891543,114.964612333893,0.857142857,0.133333333,0.4,0.466666666,0,0.142857142,2,3.6,33,62,95,-0.0251719802618027,-0.500656008720398,0.475484043359756,0.145000070333481,0.0126196667551994,1.14636659622192,1.00599992275238,0.916800022125244,0.912799954414368,1,1,-0.00508065056055784,-0.0168774039961275,0,0,0.49473684,89.82978723,0.09473684,82.66666667,0.25263158,78.125,0.15789474,83.8,-1.1648063659668,0.12226552516222,0.171257197856903,-0.26835235953331,-2.47831141695063,1.35850583513578,0.713571657737096,-1.78901573022207,0.27083333,0.76595745,0.51578947,0.69230769,0.91666667,0.85714286,0.49473684,0.625,0.07368421,8,4,3,2,8,5,15,0.53333333,0.26666667,0.2,0.13333333,0.53333333,0.33333333,4.53372801476096,47,20,36.20346,20,72.99338,40.88588,80,42.90913,36.7367,52.02947,67.78795,36.24744,80,20.28547,32.64957,27.15,44.63251,31.59409,58.12407,0.45887,4.7654,85.04,33.14,15.66,80.4,140.4,116.7,76.24,106.58,81.46,83.72,117.98,122.04,100.26,64.52,62.98,81.7433684210526,100.743578947368,82.4941052631579,0.30526316,0.18947368,0.09473684,0.25263158,0.15789474,89.7827569369612,89.7111138237847,82.6222195095486,78.0416666666667,83.6933349609375,4.28692021863214,7.65801408555773,-1.28918117947049,-3.05720551808675,7.60721435546875,8.31913862557247,7.32550218370226,2.44158871968587,-5.27919864654541,2.98486658732096,-1.2693279273808,0.0950102619826794,0.120783463120461,0.131996918469667,-0.23105426132679,-4.37699285303724,0.527834788792663,1.34203847911623,0.549987160290281,-1.5403617421786,0.16216216,0.74137931,0.51578947,0.66666667,0.88372093,0.85714286,0.61052632,20.42253521,0.15789474,0.25263158,0.36842105,0.12631579,0.09473684,84.1921305338542,78.5465647379557,90.1613002232143,90.5458374023438,83.1182861328125,7.08058268229167,-3.89617347717285,3.97304077148438,7.49990971883138,-2.5460327996148,2.67425664265951,-5.8398551940918,8.22804914202009,6.33353551228841,1.83662753634983,-0.23105426132679,0.131996918469667,-0.532097022980452,-0.642220642417669,0.120783463120461,-1.5403617421786,0.549987160290281,-1.52027720851558,-5.35183868681391,1.34203847911623,0.13888889,0.74576271,0.51578947,0.6,0.86363636,0.83673469,0.62105263,15,91.9360432942708,17.1737182617188,1,0.06666667,107.45,8,0.53333333,"2024-04-10",0
"Tommy Henry",26285,"2024-04-05","@ATL",15,2024,"ARI","A",26,0,0,3.6,1,1,0,0,0,0,0,0,5,25,6,2,2,1,2,0,1,0,0,5,9,3.6,10.8,2.5,0,0,10,4,3,0,0,0,0,0.2,0.08,0.12,3.95278508401489,1.8,0.272727272727273,1.6,0.3125,0.92105263,5.56647977828979,-1.96647977828979,4.17608650326729,86.0989336342545,140.805760241644,102.707635440677,2.5,0.176470588,0.588235294,0.235294117,0,0.25,5,9,32,70,102,0.0717880129814148,-0.443479984998703,0.515267968177795,0.535000026226044,0.0543699190020561,1.19078397750854,0.970160007476807,0.832399964332581,1.05719995498657,1,1,-0.189962163567543,0.250248507973701,0,0,0.51960784,90.96226415,0.12745098,83.46153846,0.14705882,78.73333333,0.20588235,83.80952381,-0.408918350934982,-0.060281116515398,-0.494799345731735,-0.978914678096771,-0.771544058367891,-0.463700896272293,-3.29866230487823,-4.66149846712748,0.43103448,0.68181818,0.53921569,0.68,0.83333333,0.76363636,0.43137255,0.76,0.12745098,9,7,1,1,11,5,17,0.52941176,0.41176471,0.05882353,0.05882353,0.64705882,0.29411765,5.4642399773427,47,51.66216,55.46378,55.64906,66.67918,43.73951,77.28135,61.77043,45.81907,64.84856,30.08021,29.67934,36.87808,42.5678,42.50863,45.73818,50.32746,40.65298,57.65211,0.10507,4.2347,91.32,97.78,90.56,90.46,102.4,96.36,98.66,125.36,110.12,82.32,93.24,81.26,121.56,95.02,98.56,95.0168627450981,104.880784313725,95.8054901960784,0.30392157,0.21568627,0.12745098,0.14705882,0.20588235,91.0806451612903,90.7045454545455,83.4230769230769,78.6733317057292,83.7857142857143,5.69321761592742,9.14780356667259,-0.61538028717041,-5.08827870686849,8.22901916503906,9.95923146893901,7.47370355779474,3.81401179387019,-5.82047831217448,2.4526123773484,0.0701800175011158,-0.490534644573927,-0.0627833977341652,-0.444897022098303,0.120591692626476,0.226387153229406,-2.22970292988149,-0.482949213339732,-2.96598014732202,0.574246155364173,0.34782609,0.69642857,0.53921569,0.5625,0.84615385,0.76363636,0.54901961,20.53246753,0.20588235,0.14705882,0.29411765,0.2254902,0.12745098,84.4627220517113,79.335498046875,91.8470703125,91.2774286684783,84.0997596153846,8.11751447405134,-5.32705383300781,5.19936218261719,8.84233358631963,-1.29342959477351,1.10331726074219,-7.34693654378255,8.76266784667969,6.07527757727582,2.13413077134352,0.120591692626476,-0.444897022098303,0.0944229513406754,-0.514777578413486,-0.0627833977341652,0.574246155364173,-2.96598014732202,0.314743171135585,-2.23816338440646,-0.482949213339732,0.36170213,0.69090909,0.53921569,0.58823529,0.84210526,0.76363636,0.53921569,17,91.0842644186581,3.5642832587747,3,0.17647059,107.514,8,0.47058824,"2024-04-05",0
"Tommy Henry",26285,"2024-03-30","COL",15,2024,"ARI","H",26,0,1,11.25,1,1,0,0,0,0,0,0,4,19,6,5,5,1,2,0,0,0,0,4,9,4.5,13.5,2,0,0,8,2,3,0,0,0,0,0.21052632,0.10526316,0.10526316,3.91854902648045,2.25,0.352941176470588,2,0.416666666666667,0.45454545,5.9164797782898,5.3335202217102,3.42248398140073,269.059167607045,149.542884922983,84.4962851962024,4,0.23076923,0.615384615,0.153846153,0,0.5,3,6.75,26,54,80,-0.32585996389389,-0.663799941539764,0.337939977645874,-2.58189988136292,-0.26079797744751,1.1085000038147,1.02559995651245,0.870000004768372,1.24600005149841,1,1,-0.228825658559799,-0.0651391251772362,0,0,0.425,90.67647059,0.0625,84.8,0.2875,78.2173913,0.225,83.66666667,-1.80323839187622,-0.0751049220561981,-0.412181854248047,0.866628050804138,-5.30364232904771,-1.50209844112396,-1.79209501846977,4.81460028224521,0.34090909,0.72222222,0.5125,0.66666667,0.88461538,0.80487805,0.45,0.57894737,0.1,7,1,5,1,7,5,13,0.53846154,0.07692308,0.38461538,0.07692308,0.53846154,0.38461538,6.623011950195,31,47.41491,37.54515,51.2689,71.5802,46.00228,77.60131,71.9931,48.80161,80,38.80841,37.41019,47.39256,20,40.64295,20,51.01909,38.02175,60.46874,0.0621,4.17024,93.22,101.7,88.56,92.74,124.4,104.92,105.14,108.26,92.62,82.54,98.28,86.98,104.1,70.2,65.86,92.3305,106.17625,91.94875,0.1375,0.2875,0.0625,0.2875,0.225,90.7545443448153,90.5434782608696,84.4,78.1260880180027,83.5722249348958,5.85696411132812,8.64165065599524,-0.0618901014328003,-4.92509758990744,8.38909403483073,10.132021817294,7.18391484799592,2.73927383422852,-5.20616713814113,3.00336498684353,-0.903047952800989,-0.914418172091246,-0.07691640406847,-0.431444309651852,0.879370782524347,-8.20952684364535,-3.97573118300542,-1.5383280813694,-1.87584482457327,4.88539323624637,0.36111111,0.63636364,0.5125,0.61538462,0.89285714,0.80487805,0.55,20.3442623,0.225,0.2875,0.1375,0.2875,0.0625,83.9478285047743,78.5339408542799,91.1415072354403,90.9398777173913,84.7911376953125,8.00359853108724,-5.42151840873387,5.22468740289862,8.30190177585768,-0.926922988891602,1.48631434970432,-6.90473539932914,8.6888164173473,5.6295922320822,0.891104793548584,0.879370782524347,-0.431444309651852,-0.903047952800989,-0.914418172091246,-0.07691640406847,4.88539323624637,-1.87584482457327,-8.20952684364535,-3.97573118300542,-1.5383280813694,0.32432432,0.6744186,0.5125,0.58333333,0.89655172,0.80487805,0.5375,13,92.6173095703125,4.60168104905349,1,0.07692308,107.622,5,0.38461538,"2024-03-30",0
