"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","CH%","CHv","wFB","wSL","wCB","wCH","wFB/C","wSL/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSL%","pfxCU%","pfxCH%","pfxvFA","pfxvSL","pfxvCU","pfxvCH","pfxFA-X","pfxSL-X","pfxCU-X","pfxCH-X","pfxFA-Z","pfxSL-Z","pfxCU-Z","pfxCH-Z","pfxwFA","pfxwSL","pfxwCU","pfxwCH","pfxwFA/C","pfxwSL/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piFS%","piSL%","pivCH","pivCU","pivFA","pivFS","pivSL","piCH-X","piCU-X","piFA-X","piFS-X","piSL-X","piCH-Z","piCU-Z","piFA-Z","piFS-Z","piSL-Z","piwCH","piwCU","piwFA","piwFS","piwSL","piwCH/C","piwCU/C","piwFA/C","piwFS/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Davis Daniel",27582,"2024-08-12","TOR",1,2024,"LAA","H",27,0,1,7.2,1,1,0,0,0,0,0,0,5,25,8,4,4,1,2,0,0,0,0,5,9,3.6,14.4,2.5,0,0,6,10,2,1,0,0,0,0.2,0.08,0.12,4.72345708401489,1.8,0.347826086956522,2,0.411764705882353,0.69767442,4.96647977828979,2.23352022171021,5.39049659073353,175.631439570069,118.718303405776,132.256985069558,0.6,0.111111111,0.333333333,0.555555555,0.1,0.1,1,1.8,32,60,92,-0.182715982198715,-0.552776038646698,0.370060086250305,-1.46019995212555,-0.148168444633484,0.935544013977051,0.754800021648407,0.870000004768372,0.437000006437302,1,1,-0.264402061700821,0.0690975335664586,0,0,0.4673913,91.13953488,0.27173913,81.12,0.06521739,72.33333333,0.19565217,85.11111111,-3.04223799705505,1.06132483482361,0.446145206689835,-0.872849404811859,-7.07497208617454,4.24529933929443,7.43575344483058,-4.84916336006588,0.3559322,0.63636364,0.45652174,0.52380952,0.95238095,0.73809524,0.35869565,0.72,0.11956522,7,6,5,3,8,7,18,0.38888889,0.33333333,0.27777778,0.16666667,0.44444444,0.38888889,3.77715103754868,36,51.51603,50.8099,54.92918,80,43.68014,80,30.51572,30.67283,32.95677,59.9763,53.29719,61.44845,42.50324,39.57937,47.77153,0.59116,4.96383,91.38,122.82,119.32,98.26,133.4,135.14,77.72,71.96,46.74,115.76,105.14,123.56,92.0619565217391,95.335,88.1158695652174,0.4673913,0.27173913,0.06521739,0.19565217,91.090695403343,81.032001953125,72.2999979654948,85.0944417317708,-4.51780061943586,6.30880493164063,5.85439682006836,-6.37889607747396,10.1196906511174,3.42498779296875,-8.00204531351725,2.86104732089572,-3.11108367145061,1.09627274796367,0.451784402132034,-0.883548900485039,-7.2350783056991,4.38509099185467,7.52974003553391,-4.90860500269466,0.34615385,0.6,0.45652174,0.44444444,0.95833333,0.73809524,0.43478261,16.49253731,NA,0.06521739,0.4673913,0.19565217,0.27173913,NA,72.2604827880859,91.0701762354651,85.0492214626736,80.993857421875,NA,6.09460703531901,-4.22671153933503,-6.41114298502604,6.88696533203125,NA,-9.79066340128581,9.03866151321766,1.36901028951009,1.86458023071289,NA,0.451784402132034,-3.11108367145061,-0.883548900485039,1.09627274796367,NA,7.52974003553391,-7.2350783056991,-4.90860500269466,4.38509099185467,0.35849057,0.58974359,0.45652174,0.47368421,0.95652174,0.73809524,0.42391304,18,90.1370374891493,20.2686411539714,2,0.11111111,112.659,7,0.38888889,"2024-08-12",0
"Davis Daniel",27582,"2024-08-07","@NYY",1,2024,"LAA","A",27,0,1,13.5000012874604,1,1,0,0,0,0,0,0,3.1,19,7,5,5,1,2,0,0,0,0,4,10.8000010299684,5.40000051498418,18.9000018024446,2,0,0,4,5,4,0,0,0,0,0.21052632,0.10526316,0.10526316,4.6933135686,2.70000025749209,0.411764705882353,2.70000025749209,0.5,0.52631579,6.46648009300235,7.0335211944581,4.83449254669669,329.308980599232,155.117864960627,118.424955770959,0.8,0.307692307,0.307692307,0.384615384,0,0.2,0,0,33,50,83,-0.237863957881927,-0.462707877159119,0.224843919277191,-2.70600008964539,-0.280996888875961,0.861031591892242,0.581900000572205,0.870000004768372,0.363600015640259,1,1,-0.340440422296524,0.0641857992121529,0,0,0.54216867,91.88888889,0.14457831,81.08333333,0.07228916,75,0.24096386,84.6,-1.48622465133667,-0.0131696946918964,-0.147098660469055,-1.88579261302948,-3.30272144741482,-0.109747455765804,-2.45164434115092,-9.4289630651474,0.17777778,0.68421053,0.40963855,0.875,0.84615385,0.85294118,0.45783133,0.47368421,0.06024096,7,4,2,3,5,5,13,0.53846154,0.30769231,0.15384615,0.23076923,0.38461538,0.38461538,7.5176489891916,24,39.88333,37.549,45.4104,20,43.47595,20,61.05065,45.83251,66.46934,22.98682,60.2288,20,43.61146,42.98248,47.69335,0.52231,4.86056,86.3,87.74,70.08,89.04,72.4,65.8,93.5,123.84,114.14,100.48,47.5,57.58,92.4518072289157,100.385542168675,91.8513253012048,0.54216867,0.14457831,0.07228916,0.24096386,91.8199978298611,81.0749969482422,74.8333333333333,84.5900024414063,-4.21291198730469,7.29831949869792,5.70383071899414,-7.60333938598633,11.1711778428819,3.2018346786499,-8.56192588806152,6.79124908447266,-1.52430246770382,-0.0201056003570557,-0.150202374905348,-1.90892417728901,-3.3873388171196,-0.167546669642131,-2.50337291508913,-9.54462088644505,0.15,0.65116279,0.40963855,0.83333333,0.85714286,0.85294118,0.51807229,16.9375,0.24096386,0.07228916,0.54216867,NA,0.14457831,84.3893493652344,74.6360473632812,91.6463107638889,NA,80.879872639974,-7.41180419921875,6.55062484741211,-3.77964579264323,NA,8.31041844685872,5.6771240234375,-10.4065882364909,10.2758307562934,NA,1.9511612256368,-1.90892417728901,-0.150202374905348,-1.52430246770382,NA,-0.0201056003570557,-9.54462088644505,-2.50337291508913,-3.3873388171196,NA,-0.167546669642131,0.12195122,0.69047619,0.40963855,0.8,0.86206897,0.85294118,0.5060241,13,93.4898587740385,15.3838137113131,3,0.23076923,107.626,7,0.53846154,"2024-08-07",1
"Davis Daniel",27582,"2024-07-31","COL",1,2024,"LAA","H",27,0,0,1.8,1,1,0,0,0,0,0,0,5,21,5,1,1,0,1,0,0,0,0,5,9,1.8,9,5,0,0,4,7,4,2,0,0,0,0.23809524,0.04761905,0.19047619,3.8712324787434,0,0.25,1.2,0.333333333333333,0.83333333,1.7664797782898,0.0335202217102049,3.88329154700041,43.9078598925173,41.0659217142138,94.7613867056525,0.571428571,0.266666666,0.266666666,0.466666666,0.285714285,0,1,1.8,25,60,85,0.145278036594391,-0.241745933890343,0.387023955583572,1.53980004787445,0.156245559453964,0.965419054031372,0.881959974765778,0.870000004768372,1.3400000333786,1,1,0.122823156416416,0.0276586845911158,0,0,0.49411765,91.23809524,0.28235294,80.66666667,0.05882353,74.2,0.16470588,84.35714286,0.397723346948624,0.034078486263752,0.178632229566574,0.232321500778198,0.946960349877675,0.141993692765633,3.57264459133148,1.65943929127284,0.43478261,0.71794872,0.56470588,0.8,0.92857143,0.875,0.45882353,0.66666667,0.07058824,6,5,4,3,10,2,15,0.4,0.33333333,0.26666667,0.2,0.66666667,0.13333333,2.42455956675557,59,68.88121,35.61017,80,20,43.74582,20,48.06814,34.71863,49.26516,80,51.53049,80,65.11171,37.40225,72.53883,-0.81342,2.85696,71.4,149.82,135.88,93.48,73.6,65.38,86.3,104.84,84.7,110.44,142.92,155.34,91.0842352941176,121.162823529412,111.938588235294,0.49411765,0.28235294,0.05882353,0.16470588,91.221429734003,80.6625010172526,73.9599975585938,84.3214285714286,-3.34822554815383,7.57801755269368,6.32253608703613,-6.64917809622628,10.2878679547991,2.67576662699381,-8.24388122558594,6.30446897234236,0.400728102773428,0.00963252782821655,0.162775438278913,0.233662214130163,0.954114530412924,0.040135532617569,3.25550876557827,1.66901581521545,0.34285714,0.72,0.56470588,0.66666667,0.94444444,0.875,0.58823529,17.421875,0.16470588,0.05882353,0.49411765,NA,0.28235294,84.4345877511161,74.07333984375,91.3510219029018,NA,80.7823689778646,-6.56402860369001,6.77008972167969,-3.03666287376767,NA,8.17729059855143,5.06109837123326,-10.1238922119141,9.36973717099144,NA,1.34248860677083,0.233662214130163,0.162775438278913,0.400728102773428,NA,0.00963252782821655,1.66901581521545,3.25550876557827,0.954114530412924,NA,0.040135532617569,0.36842105,0.72340426,0.56470588,0.64285714,0.97058824,0.875,0.55294118,15,82.6310872395833,26.825244140625,1,0.06666667,101.236,3,0.2,"2024-07-31",0
"Davis Daniel",27582,"2024-07-08","TEX",1,2024,"LAA","H",27,0,1,17.1818211610657,1,1,0,0,0,0,0,0,3.2,19,8,7,7,1,0,0,1,0,1,3,7.36363764045674,0,19.636367041218,3,0,0,7,6,2,1,0,0,0,0.15789474,0,0.15789474,4.08779834839617,2.45454588015225,0.444444444444444,2.18181856013533,0.5,0.26315789,5.89375297845896,11.2880681826068,4.82249382107068,419.120553465757,141.219857303242,118.12645663919,1.166666666,0.133333333,0.466666666,0.4,0.166666666,0.166666666,3,7.36363764045674,18,43,61,-0.546240031719208,-0.764307975769043,0.218067958950996,-5.20020008087158,-0.527671217918396,1.05687618255615,0.9307000041008,0.870000004768372,0.335600018501282,1,1,-0.282311737537384,-0.23453218489644,0,0,0.49180328,91.63333333,0.16393443,82.7,0.09836066,74.83333333,0.24590164,84.4,-1.78740036487579,-0.347257614135742,-0.173161774873734,-0.000929370522499084,-5.95800121625264,-3.47257614135742,-2.88602958122889,-0.00619580348332723,0.42105263,0.52173913,0.45901639,0.75,0.91666667,0.82142857,0.37704918,0.84210526,0.08196721,7,3,5,1,9,5,15,0.46666667,0.2,0.33333333,0.06666667,0.6,0.33333333,4.70480236626286,21,73.99672,36.80872,80,44.02528,40.97825,53.44232,57.30812,41.33763,66.40086,37.94957,49.38033,33.56161,57.95584,38.24952,71.03419,-0.36886,3.5238,80.16,147.06,131.12,99.06,92.88,83.28,84.6,89.3,71.48,119.68,84.28,98.9,90.6813114754098,103.032459016393,91.8013114754098,0.49180328,0.16393443,0.09836066,0.24590164,91.6033365885417,82.7299987792969,74.8666687011719,84.3266682942708,-3.38060862223307,7.10846710205078,6.15855534871419,-7.30293375651042,10.295746866862,4.2700252532959,-8.23919486999512,6.62833709716797,-1.79945370554924,-0.371770948171616,-0.171730872243643,0.0383894294500351,-5.99817901849747,-3.71770948171616,-2.86218120406071,0.255929529666901,0.34482759,0.5625,0.45901639,0.8,0.83333333,0.82142857,0.52459016,15.76190476,0.24590164,0.09836066,0.49180328,NA,0.16393443,84.5085367838542,75.0522664388021,91.7869873046875,NA,82.9035400390625,-6.97897135416667,6.90435345967611,-2.79721272786458,NA,8.12510986328125,5.28986104329427,-10.0962263743083,9.29237569173177,NA,2.74473361968994,0.0383894294500351,-0.171730872243643,-1.79945370554924,NA,-0.371770948171616,0.255929529666901,-2.86218120406071,-5.99817901849747,NA,-3.71770948171616,0.33333333,0.58064516,0.45901639,0.8,0.83333333,0.82142857,0.50819672,15,86.8078857421875,16.4754455566406,1,0.06666667,108.165,6,0.4,"2024-07-08",0
"Davis Daniel",27582,"2024-07-03","@OAK",1,2024,"LAA","A",27,0,1,6.75000040233138,1,1,0,0,0,0,0,0,5.1,24,7,5,4,2,1,0,0,0,0,3,5.06250030174853,1.68750010058284,11.8125007040799,3,0.25,0,8,8,4,1,2,0,0,0.125,0.04166667,0.08333333,4.98807282718189,3.37500020116569,0.304347826086957,1.50000008940697,0.277777777777778,0.57692308,7.47898003533484,-0.728979633003465,4.87199248927907,164.654484411112,179.687562455841,119.357863202224,1,0.2,0.4,0.4,0.125,0.25,0,0,27,61,88,-0.166355967521667,-0.434032082557678,0.267676115036011,-2.14200019836426,-0.234868422150612,0.671015381813049,0.619799971580505,0.870000004768372,0.298000007867813,1,1,-0.297946035861969,0.0500292637126002,0,0,0.42045455,91.91891892,0.34090909,82.83333333,0.10227273,75,0.13636364,84.75,0.36349755525589,-2.83133816719055,0.0935654789209366,-0.477179020643234,0.982425825015919,-9.43779389063517,1.03961643245485,-3.97649183869362,0.37777778,0.74418605,0.55681818,0.82352941,0.84375,0.83673469,0.48863636,0.625,0.09090909,9,6,5,4,10,6,20,0.45,0.3,0.25,0.2,0.5,0.3,7.63641437286429,31,60.05862,44.80449,66.40693,20,40.31868,20,78.76108,37.71264,80,61.43657,55.38925,55.38184,65.60168,43.41956,74.63711,-0.84386,2.8113,90.06,113.8,103.44,87.24,58.86,51.04,75.76,141.82,124.04,124.78,107.22,132.34,95.26,117.839770114943,116.413563218391,0.42045455,0.34090909,0.10227273,0.13636364,91.8405431798986,82.6566650390625,74.8333333333333,84.6749979654948,-6.34641121529244,4.18087310791016,5.37731213039822,-9.56994756062826,8.48905738624367,4.75027364095052,-7.47992028130425,6.44486300150553,0.367542002350092,-1.76222302019596,0.134880639612675,-0.486450631171465,0.993356763108357,-5.87407673398654,1.49867377347416,-4.05375525976221,0.28571429,0.73584906,0.55681818,0.8,0.84615385,0.83673469,0.60227273,20.9047619,0.13636364,0.10227273,0.42045455,NA,0.34090909,84.8469594319661,75.0121663411458,92.0199139569257,NA,82.8134847005208,-8.67125765482585,7.0348023308648,-5.4140064136402,NA,5.60417277018229,4.90385405222575,-9.48910692003038,7.23991765202703,NA,3.24543482462565,-0.486450631171465,0.134880639612675,0.367542002350092,NA,-1.76222302019596,-4.05375525976221,1.49867377347416,0.993356763108357,NA,-5.87407673398654,0.27777778,0.75,0.55681818,0.8,0.84615385,0.83673469,0.59090909,20,85.7377258300781,18.582666015625,2,0.1,110.399,9,0.45,"2024-07-03",0
"Davis Daniel",27582,"2024-06-27","DET",1,2024,"LAA","H",27,1,0,0,1,1,1,0,0,0,0,0,8,26,4,0,0,0,0,0,0,0,0,8,9,0,4.5,8,0,0,7,7,4,0,0,0,0,0.30769231,0,0.30769231,2.49285335121663,0,0.153846153846154,0.5,0.222222222222222,1,1.1664797782898,-1.1664797782898,2.48948713373393,0,26.5061001470459,60.0869204178841,1,0.222222222,0.388888888,0.388888888,0,0,5,5.625,26,73,99,0.329708069562912,-0.101771965622902,0.431480050086975,4.06379985809326,0.412359207868576,0.660118520259857,0.768700003623962,0.870000004768372,0.162799999117851,1,1,0.438655763864517,0.0608122247523173,0,0,0.48484848,91.60416667,0.2020202,82.6,0.07070707,74.71428571,0.24242424,84.5,2.92166495323181,0.555868685245514,0.397920250892639,-0.00576188042759895,6.08680198589961,2.77934342622757,5.68457501275199,-0.0240078351149956,0.37037037,0.64444444,0.49494949,0.6,0.82758621,0.73469388,0.45454545,0.84615385,0.13131313,6,4,8,2,10,6,18,0.33333333,0.22222222,0.44444444,0.11111111,0.55555556,0.33333333,1.42180032029947,87,49.72687,34.40999,62.78439,30.10573,44.22818,30.56769,59.63934,29.3361,78.295,53.73392,47.59208,48.07027,52.93953,31.53363,68.85309,-0.05721,3.99128,84.34,116.52,93.88,108.38,94.02,80.86,81.38,116.12,85.1,115.16,94.68,107.2,91.0257731958763,110.203505154639,91.5230927835051,0.47474747,0.2020202,0.07070707,0.25252525,91.6957488364362,82.5900024414063,74.7571411132812,84.587998046875,-6.0510636999252,6.27546310424805,6.59548950195312,-7.51288452148438,8.25877997215758,4.62266693115234,-7.53559058053153,6.48135925292969,3.08760805800557,0.560821317136288,0.401608321815729,0.0340940058231354,6.56937884682036,2.80410658568144,5.7372617402247,0.136376023292542,0.37209302,0.58928571,0.49494949,0.5625,0.81818182,0.73469388,0.56565657,16.69863014,0.24242424,0.07070707,0.48484848,NA,0.2020202,84.6045227050781,74.9931989397321,91.8427327473958,NA,82.800732421875,-7.02976735432943,7.45306723458426,-5.54768180847168,NA,7.27575073242187,5.04627132415771,-9.13160596575056,7.0694834391276,NA,3.24605293273926,-0.00527036190032959,0.401608321815729,3.12697242572904,NA,0.560821317136288,-0.0219598412513733,5.7372617402247,6.51452588693549,NA,2.80410658568144,0.36363636,0.6,0.49494949,0.5625,0.81818182,0.73469388,0.55555556,18,85.6031426323785,10.1499599880642,1,0.05555556,101.919,7,0.38888889,"2024-06-27",0
