"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CB%","CBv","SF%","SFv","wFB","wSL","wCT","wCB","wSF","wFB/C","wSL/C","wCT/C","wCB/C","wSF/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_o_FS","pb_s_FS","pb_c_FS","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_s_FS","sp_l_FS","sp_p_FS","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxFS%","pfxSI%","pfxSL%","pfxCU%","pfxvFA","pfxvFC","pfxvFS","pfxvSI","pfxvSL","pfxvCU","pfxFA-X","pfxFC-X","pfxFS-X","pfxSI-X","pfxSL-X","pfxCU-X","pfxFA-Z","pfxFC-Z","pfxFS-Z","pfxSI-Z","pfxSL-Z","pfxCU-Z","pfxwFA","pfxwFC","pfxwFS","pfxwSI","pfxwSL","pfxwCU","pfxwFA/C","pfxwFC/C","pfxwFS/C","pfxwSI/C","pfxwSL/C","pfxwCU/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCU%","piFA%","piFC%","piFS%","piSI%","piSL%","pivCU","pivFA","pivFC","pivFS","pivSI","pivSL","piCU-X","piFA-X","piFC-X","piFS-X","piSI-X","piSL-X","piCU-Z","piFA-Z","piFC-Z","piFS-Z","piSI-Z","piSL-Z","piwCU","piwFA","piwFC","piwFS","piwSI","piwSL","piwCU/C","piwFA/C","piwFC/C","piwFS/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Taijuan Walker",11836,"2024-09-24","CHC",26,2024,"PHI","H",31,0,0,16.2000061798119,1,0,0,0,0,0,0,0,1.2,12,4,3,3,0,3,0,0,0,0,1,5.40000205993731,16.2000061798119,21.6000082397492,0.33333333,0,0,1,3,4,1,0,0,0,0.08333333,0.25,-0.16666667,8.72114575438756,0,0.444444444444444,4.20000160217346,0.5,0.57142857,7.36648138046326,8.83352479934867,10.0880975498768,391.586145382574,175.763403308677,245.575660287961,0.333333333,0.5,0.125,0.375,0.333333333,0,1,5.40000205993731,23,32,55,-0.405364006757736,-0.455996006727219,0.050632007420063,-5.41099977493286,-0.554121851921082,1.08143329620361,0.998350024223328,2.89600014686584,0.480399996042252,1,1,-0.317854523658752,-0.0569850602349303,0,1,0.4,91.59090909,0.10909091,86,0.05454545,87.66666667,0.14545455,75.125,0.29090909,87.25,-1.5702029466629,-0.243081718683243,0.0197809934616089,0.367199301719666,-0.731758773326874,-7.13728612119501,-4.05136197805405,0.659366448720296,4.58999127149582,-4.57349233329296,0.28125,0.86956522,0.52727273,0.77777778,0.85,0.82758621,0.41818182,0.75,0.09090909,4,3,1,1,6,1,8,0.5,0.375,0.125,0.125,0.75,0.125,11.0728604977849,NA,34.38979,26.11318,49.62198,34.26158,20,54.32571,20,20,20,67.55559,28.47228,80,26.32741,20,44.495,54.69221,36.63329,68.68821,32.25402,20,50.60555,1.2279,5.91894,108.82,108.88,93.84,77.22,115.76,83.42,89.36,-42.78,-74.24,96.9,130.64,142.2,97.06,95.08,72.94,77.48,98.88,83.22,86.2247272727273,95.9312727272727,76.3854545454545,0.30909091,0.05454545,0.29090909,0.09090909,0.10909091,0.14545455,91.5294117647059,87.5666707356771,87.0687484741211,91.8799987792969,85.9666646321615,75.1374969482422,-5.45023660098805,-0.914860248565674,-6.02749633789062,-8.92976608276367,3.30792681376139,4.00456953048706,9.86209914263557,8.95462799072266,2.78934669494629,7.60614624023438,4.71440728505452,-6.75406122207642,-0.966315779834986,0.0197252556681633,-0.746493048965931,-0.630501016974449,-0.244428481906652,0.370793305337429,-5.68421046961756,0.65750852227211,-4.66558155603707,-12.610020339489,-4.07380803177754,4.63491631671786,0.18518519,0.85714286,0.52727273,0.8,0.83333333,0.82758621,0.50909091,17.46511628,0.14545455,0.30909091,0.05454545,0.29090909,0.09090909,0.10909091,75.150634765625,91.5439165900735,87.5711669921875,87.0596160888672,91.8701171875,85.9551289876302,4.1012749671936,-5.41211476045496,-0.802528301874797,-6.05523300170898,-8.78171005249023,3.55166498819987,-8.68264484405518,8.41776589786305,7.5855770111084,1.14031672477722,6.0678581237793,3.29899787902832,0.370793305337429,-0.966315779834986,0.0197252556681633,-0.746493048965931,-0.630501016974449,-0.244428481906652,4.63491631671786,-5.68421046961756,0.65750852227211,-4.66558155603707,-12.610020339489,-4.07380803177754,0.18518519,0.85714286,0.52727273,0.8,0.83333333,0.82758621,0.50909091,8,94.8697509765625,22.9198341369629,0,0,106.323,3,0.375,"2024-09-24",0
"Taijuan Walker",11836,"2024-09-19","@NYM",26,2024,"PHI","A",31,0,1,21.6000020599367,1,1,0,0,0,0,0,0,3.1,19,6,8,8,4,3,0,1,0,0,2,5.40000051498418,8.10000077247627,16.2000015449525,0.66666667,0.166666666,0,6,5,2,1,1,0,0,0.10526316,0.15789474,-0.05263158,6.72980110629154,10.8000010299684,0.4,2.70000025749209,0.222222222222222,0.45454545,21.1664814949037,0.433520565032993,7.83449283279901,522.114711131825,501.75286658405,191.115671601019,1.2,0.153846153,0.461538461,0.384615384,0.2,0.8,3,8.10000077247627,29,42,71,-0.554791986942291,-0.699559926986694,0.144767940044403,-5.65299987792969,-0.614790678024292,0.684610545635223,0.81454998254776,0.870000004768372,0.312999993562698,1,1,-0.73651385307312,-0.0738621928107793,0,0,0.36619718,92.53846154,0.21126761,86.26666667,0.1971831,88.78571429,0.02816901,77,0.1971831,88.35714286,-2.77255749702454,-0.550191938877106,-2.22065877914429,0.288738936185837,0.0539621636271477,-10.6636826808636,-3.66794625918071,-15.8618484224592,14.4369468092918,0.385444025908198,0.28888889,0.61538462,0.4084507,0.69230769,1,0.86206897,0.36619718,0.57894737,0.05633803,9,3,1,2,4,7,13,0.69230769,0.23076923,0.07692308,0.15384615,0.30769231,0.53846154,22.7242819874639,-4,80,37.57558,80,20,42.1393,20,33.04011,54.42236,26.77865,46.49649,32.83233,60.75602,39.13081,33.90593,53.3119,34.72497,44.87008,41.63505,35.91048,44.078,38.52275,1.00074,5.5782,80.96,144.96,140.6,91.38,74.92,56.26,94.36,62.32,65.08,98.24,115.26,109.54,81.54,69.36,64.52,87.62,100.66,89.84,90.7774647887324,85.4904225352113,80.8752112676056,0.05633803,0.1971831,0.1971831,0.30985915,0.21126761,0.02816901,92.6999969482422,88.6214250837054,88.3428606305804,92.4954556551847,86.2266682942708,77.0500030517578,-5.43103885650635,-0.361358199800764,-7.97073582240513,-9.84807239879261,2.44038263956706,2.63135695457458,9.90490055084229,8.4241703578404,2.73652866908482,7.02906868674538,5.62506815592448,-6.0321626663208,-1.59237348288298,-2.24052018299699,0.0524060763418674,-1.18736509978771,-0.540272686630487,0.292128831148148,-39.8093370720744,-16.0037155928356,0.374329116727625,-5.39711408994415,-3.60181791086992,14.6064415574074,0.24324324,0.58823529,0.4084507,0.66666667,0.95,0.86206897,0.47887324,15.44230769,0.02816901,0.05633803,0.15492958,0.1971831,0.30985915,0.25352113,76.7636566162109,92.4317016601562,88.4459561434659,88.0687255859375,92.2355291193182,86.2911512586806,3.2342050075531,-5.10681247711182,-0.144725539467551,-7.79692350115095,-9.63287006724964,2.83370950486925,-7.7096152305603,8.90598964691162,7.35093758322976,1.085524559021,5.61509531194513,4.50673505995009,0.292128831148148,-1.59237348288298,-2.23094515129924,0.0524060763418674,-1.18736509978771,-0.549847718328238,14.6064415574074,-39.8093370720744,-20.2813195572658,0.374329116727625,-5.39711408994415,-3.05470954626799,0.25,0.61290323,0.4084507,0.7,0.94736842,0.86206897,0.43661972,13,93.2206186147837,10.7588395338792,4,0.30769231,113.212,7,0.53846154,"2024-09-19",0
"Taijuan Walker",11836,"2024-09-14","NYM",26,2024,"PHI","H",31,0,0,0,1,0,0,0,0,0,0,0,3,11,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,2,3,0,0,0,0,0,0,0,4.54851421172122,0,0.272727272727273,1,0.272727272727273,1,3.1664797782898,-3.1664797782898,4.17448538243771,0,76.5491818091038,102.668943197266,3,0.272727272,0.545454545,0.181818181,0,0,3,9,15,22,37,0.0712400078773499,-0.0249560177326202,0.0961960256099701,1.50300002098083,0.15391705930233,0.35354545712471,0.417600005865097,0.350800007581711,0.981000006198883,1,1,0.140469044446945,0.0610326477448472,1,0,0.40540541,92.53333333,0.40540541,86.73333333,0.02702703,89,0.05405405,75.5,0.10810811,88,-0.55682110786438,1.1597603559494,0.0642120540142059,-0.0231754779815674,0.542602598667145,-3.71214071909587,7.73173570632935,6.42120540142059,-1.15877389907837,13.5650649666786,0.25,0.64705882,0.43243243,0.8,0.90909091,0.875,0.45945946,0.54545455,0.05405405,3,7,1,1,7,3,11,0.27272727,0.63636364,0.09090909,0.09090909,0.63636364,0.27272727,5.00880648990885,NA,24.79251,38.82508,20,44.20865,45.88105,52.88152,80,32.17141,80,40.73633,32.02217,54.04417,80,41.18352,80,58.51213,37.51722,77.56134,56.57373,34.97646,74.84049,-0.28299,3.65261,85.32,49.86,51.5,81.2,85.22,83.56,91.32,162.48,171.42,101.2,87.56,92.62,80.98,175,194.28,84.26,113.54,111.82,92.3172972972973,108.538378378378,112.918918918919,0.16216216,0.02702703,0.10810811,0.24324324,0.40540541,0.05405405,92.5666707356771,89.0999984741211,87.9499969482422,92.3888888888889,86.713330078125,75.0500030517578,-5.80048243204753,-0.224002748727798,-5.72324419021606,-8.35225507948134,2.71177266438802,6.9364857673645,10.0248120625814,9.81305885314941,1.92696940898895,7.45127783881293,5.23400268554687,-7.35385751724243,-0.135246314108372,0.0652216598391533,0.549368221312761,-0.431124269962311,1.21870942786336,-0.0240093097090721,-2.25410523513953,6.52216598391533,13.734205532819,-4.7902696662479,8.12472951908906,-1.20046548545361,0.25,0.57142857,0.43243243,0.75,0.91666667,0.875,0.56756757,15.26923077,0.05405405,0.16216216,0.05405405,0.10810811,0.24324324,0.37837838,74.6950531005859,92.2032979329427,88.3213958740234,87.5922698974609,92.0210096571181,86.1957048688616,7.33240509033203,-5.5312614440918,1.66694295406342,-5.57946014404297,-8.09091016981337,3.47619656154088,-9.19161033630371,8.7747065226237,7.71806049346924,0.380144983530045,6.13533528645833,3.61869076320103,-0.0240093097090721,-0.135246314108372,0.0301729552447796,0.549368221312761,-0.431124269962311,1.25375813245773,-1.20046548545361,-2.25410523513953,1.50864776223898,13.734205532819,-4.7902696662479,8.95541523184095,0.27777778,0.57894737,0.43243243,0.8,0.90909091,0.875,0.51351351,11,88.7968583540483,8.46658880060369,1,0.09090909,103.875,5,0.45454545,"2024-09-14",0
"Taijuan Walker",11836,"2024-09-07","@MIA",26,2024,"PHI","A",31,0,0,9,1,0,0,0,0,0,0,0,2,12,3,3,2,1,2,0,0,0,0,2,9,9,13.5,1,0.25,0,4,3,1,0,1,0,0,0.16666667,0.16666667,0,5.64274297069367,4.5,0.3,2.5,0.285714285714286,0.55555556,10.6664797782898,-1.66647977828979,6.4344923876226,217.547775557952,253.717366902588,157.283647808983,1.333333333,0.125,0.5,0.375,0,0.333333333,2,9,14,21,35,-0.0476000048220158,-0.0635000094771385,0.0159000046551228,-1.9559999704361,-0.194626867771149,0.110333330929279,0.137999996542931,0.221999987959862,NA,0,1,-0.27211320400238,-0.159306788678943,0,0,0.34285714,91.16666667,0.22857143,85.5,NA,NA,0.2,75,0.22857143,87.5,-2.50222659111023,0.672564506530762,NA,0.642691373825073,-0.620232999324799,-20.8518882592519,8.40705633163452,NA,9.18130534035819,-7.75291249155998,0.25,0.8,0.48571429,0.6,0.75,0.70588235,0.42857143,0.58333333,0.14285714,3,3,2,1,4,3,8,0.375,0.375,0.25,0.125,0.5,0.375,8.56527101352316,NA,61.69314,32.81987,69.03192,47.45762,38.49083,68.8845,23.52434,43.3881,23.93094,54.35175,33.52951,58.1691,NA,NA,NA,44.62602,38.58725,44.62389,45.31646,33.77438,51.79874,0.41638,4.70166,87.74,124.48,116.26,92.94,102.46,97.2,78.12,51.28,48.02,90.54,90.28,90.96,NA,NA,NA,82.06,101.36,78.5,87.1708571428571,97.9794285714286,89.6908571428571,0.2,NA,0.22857143,0.14285714,0.22857143,0.2,91.4142892020089,NA,87.4000015258789,90.8400024414063,85.2874984741211,74.942862374442,-4.9082020350865,NA,-6.32613134384155,-9.17854843139648,2.8598198890686,3.07554163251604,10.8373216901507,NA,3.73239898681641,7.82701873779297,5.46574878692627,-5.47724478585379,-0.187470037490129,NA,-0.627384059131145,-2.33180614933372,0.677843358367682,0.650391139090061,-2.67814339271614,NA,-7.84230073913932,-46.6361229866743,8.47304197959602,9.29130198700087,0.1875,0.73684211,0.48571429,0,0.85714286,0.70588235,0.54285714,18.04347826,0.2,0.22857143,NA,0.22857143,0.11428571,0.22857143,75.206298828125,91.791374206543,NA,87.6735229492188,90.7391967773438,85.552978515625,3.75146865844727,-4.77659893035889,NA,-5.74209880828857,-9.0571174621582,3.68996500968933,-7.4723014831543,9.10578918457031,NA,1.79129004478455,5.43067264556885,3.85685896873474,0.650391139090061,-1.04714174941182,NA,-0.627384059131145,-1.47213443741202,0.677843358367682,9.29130198700087,-13.0892718676478,NA,-7.84230073913932,-36.8033609353006,8.47304197959602,0.125,0.78947368,0.48571429,0,0.8,0.70588235,0.54285714,8,88.4280471801758,4.94455432891846,2,0.25,106.844,3,0.375,"2024-09-07",0
"Taijuan Walker",11836,"2024-09-03","@TOR",26,2024,"PHI","A",31,0,0,6,1,0,0,0,0,0,0,0,3,12,4,2,2,1,0,0,0,0,0,0,0,0,12,0,0.333333333,0,3,7,2,1,1,0,0,0,0,0,7.34739574882223,3,0.333333333333333,1.33333333333333,0.272727272727273,0.76923077,7.49981311162313,-1.49981311162313,6.69449939280748,145.031850371968,178.913022085339,163.566905229236,0.428571428,0.166666666,0.25,0.583333333,0.142857142,0.142857142,3,9,10,31,41,-0.0307519696652889,-0.158993989229202,0.128242015838623,-0.563000023365021,-0.0594823099672794,0.560916662216187,0.53766667842865,0.581000030040741,0.727199971675873,1,1,-0.0419054217636585,-0.0129190677492535,0,0,0.3902439,90.8125,0.2195122,84.66666667,0.04878049,86.5,0.12195122,73.4,0.2195122,86.44444444,-2.26483917236328,0.850003838539124,0.00989698246121407,0.896999537944794,0.25672435760498,-14.1552448272705,9.44448709487915,0.494849123060703,17.9399907588959,2.85249286227756,0.47619048,0.7,0.58536585,0.9,0.71428571,0.79166667,0.48780488,0.58333333,0.12195122,5,5,2,3,5,4,12,0.41666667,0.41666667,0.16666667,0.25,0.41666667,0.33333333,7.09968161177057,NA,80,33.54795,80,58.41853,41.84054,67.84807,26.83766,23.56385,40.46348,70.88936,28.25731,80,25.02516,21.46486,20,72.23555,37.44314,80,60.63876,29.09814,73.9646,-0.53554,3.27378,83.44,140.18,122.54,103.7,96.16,82.92,82.04,114.64,91.36,95.8,124.46,124.82,87.56,76.44,62.46,78.84,122.64,102.14,87.640487804878,118.720487804878,103.955609756098,0.12195122,0.02439024,0.2195122,0.26829268,0.24390244,0.12195122,91.0799987792969,86.6999969482422,86.4333360460069,90.5999977805398,84.8900024414063,73.5200012207031,-5.81904106140137,-0.241821825504303,-7.52193027072483,-8.90901184082031,2.26639041900635,3.41028594970703,10.850846862793,7.40492868423462,2.72119500901964,8.23383886163885,5.68282661437988,-6.20738906860352,-0.286932967603207,-0.0483221560716629,0.344112265855074,-1.99431863799691,0.942372027784586,0.912488847970963,-5.73865935206413,-4.83221560716629,3.82346962061193,-18.1301694363356,9.42372027784586,18.2497769594193,0.4,0.76190476,0.58536585,0.875,0.75,0.79166667,0.51219512,16.32142857,0.12195122,0.12195122,0.12195122,0.2195122,0.26829268,0.14634146,73.60419921875,91.1890197753906,85.953662109375,86.5093994140625,90.6879660866477,84.4396362304688,4.32155990600586,-4.97813186645508,2.30594253540039,-6.84395345052083,-8.21478410200639,3.42963822682699,-7.78535766601563,9.74558410644531,5.90038795471191,1.17164378696018,6.77878085049716,3.61002508799235,0.912488847970963,-0.286932967603207,0.266727913171053,0.344112265855074,-1.99431863799691,0.62732195854187,18.2497769594193,-5.73865935206413,5.33455826342106,3.82346962061193,-18.1301694363356,10.4553659756978,0.44444444,0.69565217,0.58536585,0.875,0.75,0.79166667,0.56097561,12,87.9791870117188,19.929084777832,2,0.16666667,109.589,4,0.33333333,"2024-09-03",0
"Taijuan Walker",11836,"2024-08-28","HOU",26,2024,"PHI","H",31,0,1,9,1,1,0,0,0,0,0,0,6,28,13,6,6,1,1,0,0,0,0,0,0,1.5,19.5,0,0.083333333,0,12,9,6,1,1,0,0,0,0.03571429,-0.03571429,6.4575224440031,1.5,0.481481481481481,2.33333333333333,0.461538461538462,0.63492063,5.83314644495646,3.16685355504354,5.9344923876226,217.547775557952,139.542314286787,145.200786011117,1.333333333,0.222222222,0.444444444,0.333333333,0.111111111,0.111111111,0,0,33,60,93,-0.268186002969742,-0.609315991401672,0.341130018234253,-2.99390006065369,-0.306594967842102,0.767773330211639,0.610300004482269,0.870000004768372,0.060199998319149,1,1,-0.405812442302704,0.0565088231006466,0,0,0.43010753,90.725,0.15053763,85.85714286,0.02150538,86.5,0.19354839,75.27777778,0.20430108,86.52631579,1.18786573410034,0.699299454689026,-0.429545193910599,-0.96177875995636,-3.68328547477722,2.96966433525085,4.99499610492161,-21.4772596955299,-5.34321533309089,-19.3857130251433,0.32075472,0.7,0.48387097,0.94117647,0.96428571,0.95555556,0.43010753,0.67857143,0.02150538,11,8,8,3,15,9,27,0.40740741,0.2962963,0.2962963,0.11111111,0.55555556,0.33333333,6.39561140663168,24,55.83294,36.13899,57.85948,20,20,20,47.41661,38.80272,55.9039,48.18758,23.76367,56.81329,80,36.67989,80,59.14935,38.19272,77.61972,48.0248,30.99727,58.95338,0.24812,4.44927,93.26,113.22,104.38,90.28,9.16,-40.44,85.36,92.56,81.36,98.52,114.84,116.64,90.12,150.16,158.44,77.5,123.4,115.34,87.4995698924731,104.148387096774,94.7688172043011,0.05376344,0.01075269,0.20430108,0.37634409,0.16129032,0.19354839,91.5,88.4000015258789,86.3105276007401,90.5600027901786,85.9333333333333,75.1333346896701,-6.72590637207031,-2.54538083076477,-7.41734073036595,-9.07144949776786,1.95622533162435,3.46318117777506,8.51657562255859,10.2964305877686,2.39787433021947,6.92249886648996,6.06290791829427,-5.31283950805664,-0.852013569325209,0.0501701384782791,-3.74519796669483,2.03580249473453,0.222710434347391,-0.974140256643295,-17.0402713865042,5.01701384782791,-19.7115682457623,5.81657855638436,1.48473622898261,-5.41189031468497,0.29545455,0.65306122,0.48387097,0.92307692,0.96875,0.95555556,0.52688172,17.64615385,0.19354839,0.03225806,0.09677419,0.20430108,0.39784946,0.07526882,75.1731635199653,92.1911010742188,86.7254570855035,86.3493716591283,90.6051916173986,85.3549543108259,3.8878411187066,-6.30838330586751,1.20949088202582,-7.15622831645765,-8.81775232263514,3.31256702968052,-7.03120507134332,7.71363321940104,6.16487672593859,0.819405254564787,5.58276614627323,3.80472564697266,-0.974140256643295,-0.693222463130951,-1.05560275539756,-3.74519796669483,1.87701138854027,1.32848332822323,-5.41189031468497,-23.1074154376984,-11.7289195044173,-19.7115682457623,5.07300375281153,18.9783332603318,0.3125,0.66666667,0.48387097,0.93333333,0.96666667,0.95555556,0.48387097,27,88.0931170428241,14.7830607096354,0,0,103.924,7,0.25925926,"2024-08-28",0
"Taijuan Walker",11836,"2024-08-23","@KCR",26,2024,"PHI","A",31,0,1,18,1,1,0,0,0,0,0,0,3,18,8,6,6,2,1,0,0,0,0,2,6,3,24,2,0,0,6,5,4,1,0,0,0,0.11111111,0.05555556,0.05555556,5.22695130259484,6,0.470588235294118,3,0.461538461538462,0.48387097,11.4998131116231,6.50018688837687,5.35316045532624,435.095551115905,273.402720801864,131.15247921787,1.2,0.266666666,0.4,0.333333333,0.2,0.4,2,6,31,47,78,-0.366904020309448,-0.53972601890564,0.172821998596191,-4.39799976348877,-0.430543333292007,0.773999989032745,0.880800008773804,0.870000004768372,0.284799993038177,1,1,-0.438008993864059,-0.0360272148030259,0,0,0.33333333,92.23076923,0.1025641,84.5,0.11538462,87.44444444,0.08974359,74.57142857,0.35897436,87.25,-2.05840086936951,-1.8551914691925,0.254682123661041,-0.555852234363556,0.18783712387085,-7.91692642065195,-23.1898933649063,2.82980137401157,-7.94074620519366,0.67084687096732,0.34693878,0.72413793,0.48717949,0.70588235,1,0.86842105,0.37179487,0.55555556,0.06410256,9,3,3,2,6,7,15,0.6,0.2,0.2,0.13333333,0.4,0.46666667,10.993925313316,12,43.81064,38.07666,51.07215,20,41.33763,20,35.37652,20.67097,51.46429,43.14961,36.10877,49.10066,25.28742,35.04733,34.30302,63.08132,41.90211,64.65217,38.47555,36.05862,42.87246,0.84138,5.33916,90.56,101.16,85.1,80.98,68.64,57.96,84.38,90.6,72.26,94.92,111.38,115.28,87.42,74.2,72.74,75.82,113.04,103.28,82.8141025641026,96.7451282051282,86.9987179487179,0.08974359,0.11538462,0.35897436,0.24358974,0.1025641,0.08974359,92.2000034877232,87.3999972873264,87.25,92.2473658511513,84.3499984741211,74.5857107979911,-4.79922430855887,0.192793594466315,-6.79585756574358,-8.23855269582648,2.05126571655273,4.06470789228167,9.72194344656808,8.00852627224392,1.77413082122803,7.75998968827097,3.0606541633606,-6.61754717145647,-0.357744984328747,0.239000856876373,0.217246051877737,-1.71634905040264,-1.85884855315089,-0.565647941082716,-5.11064263326781,2.65556507640415,0.775878756706204,-9.03341605475074,-23.2356069143862,-8.08068487261023,0.33333333,0.73333333,0.48717949,0.75,0.95454545,0.86842105,0.38461538,17.61666667,0.08974359,0.14102564,0.11538462,0.35897436,0.19230769,0.1025641,74.659903390067,92.296425559304,87.49267578125,87.3272966657366,92.377783203125,84.4353866577148,4.63983426775251,-5.46936347267844,0.473380088806152,-6.50621032714844,-8.22208353678385,2.60465383529663,-8.38842119489397,8.57655889337713,7.06882985432943,0.327661854880197,5.94125111897786,1.62437999248505,-0.565647941082716,-0.397311367094517,0.239000856876373,0.217246051877737,-1.67678266763687,-1.85884855315089,-8.08068487261023,-3.61192151904106,2.65556507640415,0.775878756706204,-11.1785511175791,-23.2356069143862,0.3125,0.76666667,0.48717949,0.73333333,0.95652174,0.86842105,0.38461538,15,97.4901204427083,15.3227355957031,2,0.13333333,114.56,9,0.6,"2024-08-23",0
"Taijuan Walker",11836,"2024-08-18","WSN",26,2024,"PHI","H",31,0,0,5.78571507395541,1,1,0,0,0,0,0,0,4.2,20,4,3,3,2,3,0,0,0,0,3,5.78571507395541,5.78571507395541,7.71428676527388,1,0,0,6,4,4,0,0,0,0,0.15,0.15,0,5.92133908401489,3.85714338263694,0.235294117647059,1.50000020435881,0.166666666666667,0.95238095,9.38076633920486,-3.59505126524946,5.10534439062931,139.852160483457,223.345698028858,125.163824695822,1.5,0.285714285,0.428571428,0.285714285,0,0.5,2,3.85714338263694,38,61,99,-0.115389980375767,-0.553382039070129,0.437992036342621,-0.598899960517883,-0.0613312721252441,1.07601606845856,1.01999998092651,0.870000004768372,0.470400005578995,1,1,-0.20678748190403,0.0995493246327651,0,0,0.31313131,91.03225806,0.05050505,83,0.07070707,87,0.15151515,74.8,0.41414141,86.80487805,-1.18004417419434,-0.108627870678902,0.171952500939369,0.451854556798935,-0.761748433113098,-3.80659411030431,-2.17255741357803,2.45646429913385,3.0123637119929,-1.85792300759292,0.36231884,0.56666667,0.42424242,0.88,0.82352941,0.85714286,0.3030303,0.65,0.06060606,8,5,1,1,10,3,14,0.57142857,0.35714286,0.07142857,0.07142857,0.71428571,0.21428571,12.5091076046017,36,33.27264,34.84793,38.23623,20,26.9479,25.73998,39.03035,29.61935,55.96262,57.42376,31.1872,69.32664,77.75558,20.46128,80,20,31.40991,33.47402,24.89613,27.74101,38.59421,1.68502,6.60462,80.04,88.5,73.12,76.36,94.54,75.12,74.84,105.66,80.34,110.78,98.78,93.92,96.96,154.68,147.38,69,76.94,51.4,76.6997916666667,93.296875,72.1422916666667,0.07070707,0.07070707,0.41414141,0.24242424,0.05050505,0.15151515,92.1571393694196,86.9285714285714,86.7756109470274,90.7000020345052,83.0599975585938,74.7466634114583,-5.15108871459961,0.721215452466692,-6.85598903749047,-8.98134803771973,3.11675491333008,3.18360799153646,9.37230682373047,7.84269169398716,3.06101375672875,6.62228838602702,2.92653789520264,-5.16144460042318,0.310526978224516,0.174085848033428,-0.722018867731094,-1.4914983138442,-0.112077794969082,0.496179845184088,4.43609968892166,2.48694068619183,-1.76102162861243,-6.21457630768418,-2.24155589938164,3.30786563456058,0.28813559,0.625,0.42424242,0.88235294,0.84,0.85714286,0.4040404,18.37179487,0.15151515,0.07070707,0.07070707,0.41414141,0.24242424,0.05050505,74.7502360026042,92.2049124581473,86.9378138950893,86.7958805735518,90.7268371582031,83.0876586914062,3.88656056722005,-4.63385718209403,1.3371650150844,-6.38224010932736,-8.41196123758952,4.05825614929199,-6.90458526611328,7.96413312639509,6.47825731549944,1.41248535528416,5.23046875,1.25169458389282,0.496179845184088,0.310526978224516,0.174085848033428,-0.722018867731094,-1.4914983138442,-0.112077794969082,3.30786563456058,4.43609968892166,2.48694068619183,-1.76102162861243,-6.21457630768418,-2.24155589938164,0.30645161,0.62162162,0.42424242,0.89473684,0.82608696,0.85714286,0.37373737,14,87.9292340959821,6.78660692487444,2,0.14285714,108.612,5,0.35714286,"2024-08-18",0
