"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","SF%","SFv","XX%","wFB","wSL","wSF","wFB/C","wSL/C","wSF/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_FC","pb_s_FC","pb_c_FC","pb_o_FS","pb_s_FS","pb_c_FS","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_FC","sp_l_FC","sp_p_FC","sp_s_FS","sp_l_FS","sp_p_FS","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxFS%","pfxvFA","pfxvFC","pfxvFS","pfxFA-X","pfxFC-X","pfxFS-X","pfxFA-Z","pfxFC-Z","pfxFS-Z","pfxwFA","pfxwFC","pfxwFS","pfxwFA/C","pfxwFC/C","pfxwFS/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piFA%","piFC%","piFS%","pivFA","pivFC","pivFS","piFA-X","piFC-X","piFS-X","piFA-Z","piFC-Z","piFS-Z","piwFA","piwFC","piwFS","piwFA/C","piwFC/C","piwFS/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Emilio Pagan",14771,"2024-09-25","@CLE",18,2024,"CIN","A",33,0,1,27,1,0,0,0,0,0,0,0,1,6,3,3,3,1,0,0,0,0,0,1,9,0,27,1,0,0,0,3,2,0,0,0,0,0.16666667,0,0.16666667,5.651867982935,9,0.5,3,0.5,0,14.1664797782898,12.8335202217102,5.70250499695539,615.599788280819,323.647631806117,139.594642850558,0,0.4,0,0.6,0,0.333333333,0,0,7,12,19,-0.364547997713089,-0.444748014211655,0.0802000164985657,-2.51999998092651,-0.265822798013687,1.58133327960968,1.79919993877411,1.79919993877411,NA,0,1,-0.0811279937624931,-0.149404053095504,0,1,0.52631579,93.5,0.15789474,85,0.31578947,82,NA,-1.74859595298767,0.149711072444916,0.026531882584095,-17.4859595298767,4.99036908149719,0.44219804306825,0.11111111,0.9,0.52631579,0,0.66666667,0.6,0.52631579,0.66666667,0.21052632,2,1,2,0,2,3,5,0.4,0.2,0.4,0,0.4,0.6,16.9954820339746,NA,75.78111,55.2143,70.44056,80,65.03914,80,39.65502,47.48922,34.03634,67.14331,53.56138,61.80677,-0.93964,2.66763,105.12,114.98,115.62,103.26,151.44,131.6,98,88.06,91.2,102.577894736842,112.235789473684,110.431578947368,0.52631579,0.15789474,0.31578947,93.4900024414062,85,82.0333353678385,-3.3764030456543,1.9022068977356,-5.18172899881999,10.5673545837402,3.22134240468343,2.74281565348307,-1.75647365301847,0.193290371447802,0.0260552652180195,-17.5647365301847,6.44301238159339,0.434254420300325,0.125,0.81818182,0.52631579,0,0.66666667,0.6,0.57894737,18.92307692,0.52631579,0.15789474,0.31578947,93.3825866699219,84.860829671224,81.9023030598958,-2.94433307647705,2.54775667190552,-4.72610855102539,9.6955078125,1.9322722752889,1.62212753295898,-1.75647365301847,0.193290371447802,0.0260552652180195,-17.5647365301847,6.44301238159339,0.434254420300325,0.125,0.81818182,0.52631579,0,0.66666667,0.6,0.57894737,5,92.6977783203125,25.1145294189453,1,0.2,106.087,3,0.6,"2024-09-25",0
"Emilio Pagan",14771,"2024-09-24","@CLE",18,2024,"CIN","A",33,0,0,27.000028163224,1,0,0,0,0,0,0,0,0.2,4,1,2,2,0,1,0,0,0,0,0,0,13.500014081612,13.500014081612,0,0,0,1,0,2,0,0,0,0,0,0.25,-0.25,9.17835408401489,0,0.333333333333333,3.00000312924711,0.333333333333333,0,7.66648447216047,19.3335436910636,7.66648447216047,615.600430402106,175.920823163109,187.055627996056,1,0.666666666,0.333333333,0,0,0,0,0,6,13,19,-0.0392960235476494,-0.0392960235476494,0,-1.61900007724762,-0.170780584216118,0.236699998378754,0.199200004339218,0.199200004339218,0.0263999998569489,1,1,-0.153962448239326,-0.0120537064577688,0,0,0.47368421,93.66666667,0.26315789,87.4,0.26315789,83.8,NA,-0.232060983777046,-0.657358109951019,0.0724043697118759,-2.57845537530051,-13.1471621990204,1.44808739423752,0.41666667,0.85714286,0.57894737,0.6,0.83333333,0.72727273,0.36842105,0.75,0.15789474,1,2,0,0,1,2,3,0.33333333,0.66666667,0,0,0.33333333,0.66666667,22.5729509986285,NA,35.83075,52.66564,32.85296,44.61173,79.66411,58.62297,80,50.29037,80,50.32644,57.98411,57.57837,0.10513,4.23479,93.2,51.22,56.16,117.46,96.84,80.34,107.08,125.32,115.3,103.236842105263,82.7252631578947,78.0863157894737,0.47368421,0.26315789,0.26315789,93.6000027126736,87.3200012207031,83.6399963378906,-4.97179328070747,1.64076557159424,-6.28010368347168,10.4788148668077,3.01891708374023,3.7875129699707,-0.232660628855228,-0.663249406963587,0.0730913765728474,-2.58511809839143,-13.2649881392717,1.46182753145695,0.36363636,0.875,0.57894737,0.5,0.85714286,0.72727273,0.42105263,23.2,0.47368421,0.26315789,0.26315789,93.4225463867188,87.1135803222656,83.4479370117188,-4.42081536187066,2.39731597900391,-5.96063804626465,9.78637440999349,1.99494800567627,2.67553443908691,-0.232660628855228,-0.663249406963587,0.0730913765728474,-2.58511809839143,-13.2649881392717,1.46182753145695,0.36363636,0.875,0.57894737,0.5,0.85714286,0.72727273,0.42105263,3,91.3224589029948,12.3987566630046,0,0,103.192,2,0.66666667,"2024-09-24",0
"Emilio Pagan",14771,"2024-09-17","ATL",18,2024,"CIN","H",33,0,0,0,1,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,1,1,1,0,0,0,0,0.25,0,0.25,2.72685408401489,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,28.1938011628592,66.5170884121943,1,0.333333333,0.333333333,0.333333333,0,0,0,0,2,13,15,0.12748995423317,-0.0320200026035309,0.1595099568367,0.560999989509583,0.0530496463179588,1.72699999809265,2.1710000038147,2.1710000038147,2.94600009918213,1,1,0.051485538482666,0.0223360911490498,1,0,0.53333333,94.75,0.33333333,86.8,0.13333333,84,NA,0.42075902223587,-0.506770968437195,0.466792315244675,5.25948777794838,-10.1354193687439,23.3396157622337,0.4,0.8,0.66666667,0,0.875,0.7,0.66666667,1,0.2,1,2,0,0,1,2,3,0.33333333,0.66666667,0,0,0.33333333,0.66666667,3.12624427844362,NA,80,55.27135,80,67.75701,67.94231,78.45071,80,53.08421,80,80,57.57068,80,-2.25612,0.69291,117.68,111.2,121.52,110,95.26,76.98,125.36,152.74,153.2,116.144,111.425333333333,110.897333333333,0.53333333,0.33333333,0.13333333,94.5500030517578,86.4400024414062,83.9499969482422,-3.689297914505,1.37148151397705,-3.94048047065735,11.0296258926392,2.92287349700928,3.85411691665649,0.425631526857615,-0.51492553576827,0.472945392131805,5.32039408572018,-10.2985107153654,23.6472696065903,0.5,0.72727273,0.66666667,0,0.875,0.7,0.73333333,22.63636364,0.53333333,0.33333333,0.13333333,94.5112380981445,86.4007446289063,83.9307556152344,-3.02780866622925,1.98225002288818,-3.56644010543823,9.86997985839844,1.52220735549927,2.58525991439819,0.425631526857615,-0.51492553576827,0.472945392131805,5.32039408572018,-10.2985107153654,23.6472696065903,0.25,0.81818182,0.66666667,0,0.77777778,0.7,0.73333333,3,88.3994344075521,22.7452545166016,1,0.33333333,102.529,1,0.33333333,"2024-09-17",0
"Emilio Pagan",14771,"2024-09-13","@MIN",18,2024,"CIN","A",33,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,2,0,0,0,0,0,0.33333333,0,0.33333333,4.45139575020756,0,0,0,0,1,1.1664797782898,-1.1664797782898,4.19049659073353,0,28.1938011628592,103.055865631376,0,0,0,1,0,0,0,0,2,9,11,0.0264440011233091,0,0.0264440011233091,0.483999997377396,0.0507337525486946,0.349866688251495,0.57480001449585,0.57480001449585,0.420399993658066,1,1,0.0759450420737267,-0.000361964257811973,0,0,0.54545455,96,0.27272727,87.33333333,0.18181818,85,NA,0.513354182243347,-0.0176100730895996,0.258897304534912,8.55590303738912,-0.587002436319987,12.9448652267456,0,0.66666667,0.54545455,NA,0.66666667,0.66666667,0.81818182,0.66666667,0.18181818,0,2,0,0,1,1,2,0,1,0,0,0.5,0.5,-0.548046620833629,NA,80,60.90073,80,55.7253,78.81066,51.37202,80,57.06117,80,80,64.16288,80,-3.41806,-1.05,118.06,139.1,150.04,113.56,98.38,94.8,110.28,176.74,180.76,115.418181818182,134.838181818182,140.56,0.54545455,0.27272727,0.18181818,96.0499979654948,87.4333292643229,85.1500015258789,-4.43078358968099,2.04688819249471,-4.35047054290771,10.3941535949707,2.94659360249837,0.964188933372498,0.519530687481165,-0.0183530673384666,0.262214243412018,8.65884479135275,-0.611768911282222,13.1107121706009,0,0.66666667,0.54545455,NA,0.66666667,0.66666667,0.81818182,18.75,0.54545455,0.27272727,0.18181818,95.9418131510417,87.3416341145833,84.9971466064453,-4.04585679372152,2.74498653411865,-3.97916984558105,9.8024164835612,1.86287053426107,0.35909178853035,0.519530687481165,-0.0183530673384666,0.262214243412018,8.65884479135275,-0.611768911282222,13.1107121706009,0,0.66666667,0.54545455,NA,0.66666667,0.66666667,0.81818182,2,99.7541351318359,42.9013977050781,1,0.5,104.431,2,1,"2024-09-13",0
"Emilio Pagan",14771,"2024-09-10","@STL",18,2024,"CIN","A",33,0,0,0,1,0,0,0,0,1,0,0,1,6,2,0,0,0,1,0,0,0,0,3,27,9,18,3,0,0,2,0,0,0,0,0,0,0.5,0.16666667,0.33333333,2.16828462927184,0,0.4,3,1,1,0.166479778289795,-0.166479778289795,0.166479778289795,0,5.46658342107012,5.81258759727958,2,0,1,0,0,0,0,0,9,15,24,0.0384879931807518,-0.275568008422852,0.314055979251862,0.479999989271164,0.0506329052150249,3.39313340187073,0.870400011539459,0.870400011539459,NA,0,1,-0.0757191404700279,0.0870620464576122,0,0,0.75,95.33333333,0.16666667,87.5,0.08333333,85,NA,-0.356751650571823,0.506994247436523,-0.604454398155212,-1.98195361428791,12.6748561859131,-30.2227199077606,0.08333333,0.66666667,0.375,0,0.75,0.66666667,0.5,0.33333333,0.125,1,1,0,0,0,2,2,0.5,0.5,0,0,0,1,0.601697669692379,NA,54.79681,66.93868,53.44259,63.87928,80,64.98671,20,51.58557,20,50.44544,66.53069,49.23761,0.09774,4.2237,105.98,106.78,124.72,106.96,76.76,67.28,111.42,-16.38,-15.9,106.596666666667,91.5133333333333,103.428333333333,0.75,0.16666667,0.08333333,95.2611083984375,87.375,84.75,-4.06105168660482,1.64714336395264,-5.84378433227539,11.578369140625,2.71530652046204,1.85667085647583,-0.367559019476175,0.501759771257639,-0.613670364022255,-2.04199455264542,12.543994281441,-30.6835182011127,0.2,0.5,0.375,0,0.85714286,0.66666667,0.58333333,22.77777778,0.75,0.16666667,0.08333333,95.4966091579861,87.5591278076172,84.9515991210938,-3.78909386528863,2.11132287979126,-5.50221538543701,10.4730818006727,1.51591300964355,0.543753504753113,-0.367559019476175,0.501759771257639,-0.613670364022255,-2.04199455264542,12.543994281441,-30.6835182011127,0.11111111,0.53333333,0.375,0,0.75,0.66666667,0.625,2,94.8910827636719,2.7221622467041,0,0,99.6084,1,0.5,"2024-09-10",0
"Emilio Pagan",14771,"2024-09-08","@NYM",18,2024,"CIN","A",33,0,0,0,1,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,27.000028163224,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-0.337270915985107,0,0,0,0,1,-2.83352648020443,2.83352648020443,-2.83352648020443,0,-62.7152120424582,-66.6847344309602,0,0,0,0,0,0,1,27.000028163224,3,3,6,0.0381539650261402,-0.0135079892352223,0.05166195333004,0.412999987602234,0.0449157133698463,1.66059994697571,0.762799978256226,1.52559995651245,1.5025999546051,1,1,0.0199172012507915,0.0030588111811168,0,0,0.33333333,94.5,0.5,85.66666667,0.16666667,84,NA,0.106215819716454,0.248022645711899,-0.0879258811473846,5.31079098582268,8.26742152372996,-8.79258811473846,0,1,0.5,NA,0.66666667,0.66666667,0.5,1,0.16666667,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-2.9750559738636,NA,80,57.22981,80,53.55409,80,20,80,74.52581,80,80,72.41745,56.69547,-2.72006,-0.003,95.46,144.7,156.98,76.5,146.18,137.24,132,256.26,270.46,92.07,164.033333333333,166.023333333333,0.33333333,0.5,0.16666667,94.3000030517578,85.5999959309896,83.6999969482422,-3.68003010749817,2.82846546173096,-6.64518690109253,11.3978366851807,1.98297516504924,0.660817623138428,0.10757814347744,0.251437354832888,-0.0897959321737289,5.37890717387199,8.38124516109626,-8.97959321737289,0,1,0.5,NA,0.66666667,0.66666667,0.5,22.2,0.33333333,0.5,0.16666667,94.1686019897461,85.465098063151,83.5044021606445,-3.12806510925293,3.61171340942383,-6.14897012710571,10.2730693817139,0.695213635762533,-0.908703982830048,0.10757814347744,0.251437354832888,-0.0897959321737289,5.37890717387199,8.38124516109626,-8.97959321737289,0,1,0.5,NA,0.66666667,0.66666667,0.5,0,NA,NA,0,NA,NA,0,NA,"2024-09-08",0
"Emilio Pagan",14771,"2024-09-06","@NYM",18,2024,"CIN","A",33,0,0,0,1,0,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,0,0,2,18,0,18,2,0,0,1,0,2,0,0,0,0,0.4,0,0.4,1.04688908401489,0,0.4,2,0.666666666666667,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-17.260634320719,-18.3531359984531,1,0.666666666,0.333333333,0,0,0,0,0,5,15,20,0.0841479897499084,-0.0670560076832771,0.151204004883766,0.459000021219254,0.0499184355139732,1.62059998512268,1.5025999546051,1.5025999546051,1.78779995441437,1,1,0.0181468594819307,0.0337771134431575,1,0,0.65,94.69230769,0.3,85.66666667,0.05,83,NA,-0.477691024541855,0.24497763812542,0.0495179928839207,-3.67454634262965,4.08296063542366,4.95179928839207,0.5,0.625,0.55,0.5,0.6,0.54545455,0.4,0.8,0.25,1,2,0,0,2,1,3,0.33333333,0.66666667,0,0,0.66666667,0.33333333,4.70557674212158,NA,73.08832,56.623,78.3837,80,61.8074,80,80,45.6218,80,80,54.72752,80,-2.24638,0.70752,114.06,105.88,110.06,95.62,150.2,145.1,92.5,178.3,180.9,107.45,122.797,124.114,0.65,0.3,0.05,94.7307692307692,85.5833333333333,83.4000015258789,-3.7268318763146,1.92351675033569,-6.28898096084595,10.4597707895132,2.08802366256714,2.74994730949402,-0.487315781414509,0.247904770076275,0.0501701384782791,-3.74858293395776,4.13174616793791,5.01701384782791,0.5,0.6,0.55,0.4,0.66666667,0.54545455,0.5,20.66666667,0.65,0.3,0.05,94.8715350811298,85.6958312988281,83.5232009887695,-3.16477848933293,2.45649655659994,-5.91002988815308,9.56631821852464,0.905921618143717,1.66896998882294,-0.487315781414509,0.247904770076275,0.0501701384782791,-3.74858293395776,4.13174616793791,5.01701384782791,0.5,0.6,0.55,0.2,0.83333333,0.54545455,0.5,3,100.44389851888,2.89208984375,0,0,105.98,3,1,"2024-09-06",0
"Emilio Pagan",14771,"2024-09-02","HOU",18,2024,"CIN","H",33,0,0,0,1,0,0,0,0,0,1,0,2.1,8,1,0,0,0,0,0,0,0,0,3,11.5714301479108,0,3.85714338263694,3,0,0,0,3,1,0,0,1,0,0.375,0,0.375,2.33033845901489,0,0.125,0.42857148695966,0.2,1,0.595050856531835,-0.595050856531835,2.53906192938187,0,15.2068116341103,63.1477520687396,0,0.25,0,0.75,0,0,0,0,8,20,28,0.213050007820129,-0.0778500214219093,0.290900021791458,1.24699997901917,0.117919623851776,1.69887495040894,1.68849992752075,2.06799983978271,1.36500000953674,1,1,0.127328604459763,-0.00192207717601742,1,0,0.53571429,95.4,0.32142857,86.55555556,0.14285714,83.5,NA,1.36248302459717,0.251048892736435,-0.493567883968353,9.08322016398112,2.78943214151594,-12.3391970992088,0.25,0.875,0.60714286,0.33333333,0.92857143,0.82352941,0.57142857,0.75,0.10714286,0,5,0,1,2,2,5,0,1,0,0.2,0.4,0.4,1.01561034012663,NA,80,52.43438,78.88328,67.2594,67.00888,67.56635,44.96492,54.68236,43.37558,76.34428,55.67869,77.07565,-1.51126,1.8102,126.34,127.54,140.84,104.98,102.06,98.16,107,110.46,114.3,116.711428571429,116.91,123.33,0.53571429,0.32142857,0.14285714,95.3466715494792,86.3777804904514,83.3000030517578,-5.36306966145833,0.925982263353136,-6.03002405166626,10.8105550130208,3.72567791408963,1.50484597682953,1.37913281098008,0.259898222982883,-0.501488398760557,9.19421873986721,2.88775803314315,-12.5372099690139,0.2,0.83333333,0.60714286,0.5,0.86666667,0.82352941,0.64285714,19.95,0.53571429,0.32142857,0.14285714,95.3480631510417,86.3618774414062,83.3016738891602,-4.94023996988932,1.66445880466037,-5.79496002197266,9.95804850260417,2.55464892917209,0.328144758939743,1.37913281098008,0.259898222982883,-0.501488398760557,9.19421873986721,2.88775803314315,-12.5372099690139,0.2,0.83333333,0.60714286,0.5,0.86666667,0.82352941,0.64285714,5,85.617546081543,24.4321327209473,1,0.2,99.6584,2,0.4,"2024-09-02",0
"Emilio Pagan",14771,"2024-08-30","MIL",18,2024,"CIN","H",33,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,1,1,0,0,0,0,0,0.33333333,0,0.33333333,1.87828464271067,0,0.333333333333333,1,0.5,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,28.1938011628592,66.5170884121943,1,0,0.5,0.5,0,0,0,0,3,7,10,0.113830015063286,-0.067699983716011,0.181529998779297,0.560999989509583,0.0530496425926685,2.02799987792969,1.87199997901917,1.87199997901917,2.38600015640259,1,1,0.0502974204719067,0.00583178165580294,1,0,0.5,95,0.1,85,0.4,83.75,NA,0.161823093891144,-0.463952898979187,0.354312747716904,3.23646187782288,-46.3952898979187,8.85781869292259,0.25,0.83333333,0.6,0,0.8,0.66666667,0.6,1,0.2,0,1,1,0,1,1,2,0,0.5,0.5,0,0.5,0.5,-0.392924839570395,NA,41.2154,53.16784,40.09961,80,50.91882,80,80,53.07165,80,78.11563,53.6452,80,-1.62131,1.64513,108.26,69.52,65.34,90.68,97.92,99.6,100.3,133.02,136.32,103.318,97.76,97.158,0.5,0.1,0.4,94.6799987792969,84.9000015258789,83.6500015258789,-4.02828483581543,1.3667060136795,-6.79946374893188,10.1101928710937,2.16893982887268,2.89620542526245,0.163503739982843,-0.47120988368988,0.358480293303728,3.27007479965687,-47.120988368988,8.9620073325932,0.33333333,0.71428571,0.6,0,0.8,0.66666667,0.7,21,0.5,0.1,0.4,94.8648193359375,85.0617980957031,83.7914505004883,-3.74790420532227,1.83264994621277,-6.49888515472412,9.33829345703125,1.13283002376556,1.91588449478149,0.163503739982843,-0.47120988368988,0.358480293303728,3.27007479965687,-47.120988368988,8.9620073325932,0.33333333,0.71428571,0.6,0,0.8,0.66666667,0.7,2,97.7459945678711,22.0442352294922,0,0,106.203,1,0.5,"2024-08-30",1
"Emilio Pagan",14771,"2024-08-29","OAK",18,2024,"CIN","H",33,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,1,1,0,0,0,0,0.33333333,0,0.33333333,2.61817353088578,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,28.1938011628592,66.5170884121943,0,0.5,0,0.5,0,0,3,27,0,8,8,0.034060001373291,0,0.034060001373291,0.958999991416931,0.0906855762004852,0.439000010490417,0.257499992847443,0.514999985694885,NA,0,1,0.0786017179489136,-0.00101629526238159,0,0,0.75,94.16666667,0.125,86,0.125,85,NA,0.342927634716034,0.291438937187195,0.173208177089691,5.71546057860057,29.1438937187195,17.3208177089691,1,0.5,0.875,0.66666667,1,0.71428571,0.25,1,0.25,1,1,0,0,2,0,2,0.5,0.5,0,0,1,0,3.75604049207022,NA,80,51.40017,80,80,63.53335,80,80,53.74082,80,80,49.24182,80,-3.78628,-1.60233,103.58,147.96,146.86,88.02,173,168.22,130.8,202.98,205.98,105.0375,157.9675,156.92,0.75,0.125,0.125,94.2333374023438,85.6999969482422,85.1999969482422,-3.73952674865723,3.36283159255981,-5.39676666259766,10.3287569681803,3.3845226764679,0.479469031095505,0.346902806311846,0.294975996017456,0.175081223249435,5.78171343853076,29.4975996017456,17.5081223249435,1,0.75,0.875,0.5,1,0.71428571,0.5,26,0.75,0.125,0.125,94.3199361165365,85.78759765625,85.2496032714844,-3.18862342834473,4.11707019805908,-4.91369009017944,9.47328503926595,2.12070989608765,-1.03126001358032,0.346902806311846,0.294975996017456,0.175081223249435,5.78171343853076,29.4975996017456,17.5081223249435,1,0.8,0.875,0.66666667,0.75,0.71428571,0.625,2,75.7409210205078,28.2724647521973,0,0,78.3308,0,0,"2024-08-29",0
