"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","CH%","CHv","XX%","wFB","wSL","wCB","wCH","wFB/C","wSL/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSL%","pfxCU%","pfxCH%","pfxvFA","pfxvFC","pfxvSL","pfxvCU","pfxvCH","pfxFA-X","pfxFC-X","pfxSL-X","pfxCU-X","pfxCH-X","pfxFA-Z","pfxFC-Z","pfxSL-Z","pfxCU-Z","pfxCH-Z","pfxwFA","pfxwFC","pfxwSL","pfxwCU","pfxwCH","pfxwFA/C","pfxwFC/C","pfxwSL/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piSL%","pivCH","pivCU","pivFA","pivSL","piCH-X","piCU-X","piFA-X","piSL-X","piCH-Z","piCU-Z","piFA-Z","piSL-Z","piwCH","piwCU","piwFA","piwSL","piwCH/C","piwCU/C","piwFA/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Slade Cecconi",27500,"2024-09-11","TEX",15,2024,"ARI","H",25,0,0,13.500014081612,1,0,0,0,0,0,0,0,0.2,6,3,1,1,0,1,0,0,0,1,0,0,13.500014081612,40.5000422448361,0,0,0,2,3,0,1,0,0,0,0,0.16666667,-0.16666667,8.57145129324067,0,0.6,6.00000625849423,0.6,0.75,7.66648447216047,5.83352960945155,14.4705293973308,322.871337909504,193.22862550377,351.48029699067,0.666666666,0,0.4,0.6,0.333333333,0,0,0,10,15,25,-0.0763600096106529,-0.153679996728897,0.0773199945688248,-1.88199996948242,-0.190101012587547,0.872500002384186,0.28999999165535,0.579999983310699,2.29399991035461,1,1,-0.129109725356102,0.0415910899383458,0,1,0.56,96.5,0.32,86.375,0.12,79.33333333,NA,NA,NA,-0.825728118419647,-0.0852364301681519,-0.55705726146698,NA,-5.89805798871177,-1.0654553771019,-18.5685753822327,NA,0.09090909,0.71428571,0.44,1,0.9,0.90909091,0.56,0.66666667,0.04,1,1,3,1,4,0,5,0.2,0.2,0.6,0.2,0.8,0,2.38413159120057,NA,NA,NA,NA,40.96143,43.20149,56.49435,62.87092,50.69607,65.6809,20,59.27175,20,71.51007,49.01283,78.28804,33.83739,50.78112,30.86212,1.12953,5.77139,NA,NA,NA,138.42,126.1,111.76,98.44,111.48,104.3,99.78,-2.72,11.38,103.6664,76.6904,75.4608,0.5,0.03571429,0.32142857,0.14285714,NA,96.4214303152902,90.4000015258789,86.2777777777778,80.6500015258789,NA,-8.85032980782645,-0.504480123519897,1.62409824795193,4.58586645126343,NA,8.98041643415179,4.76201152801514,1.84889199998644,-6.23639535903931,NA,-0.835318975150585,0.039364367723465,-0.114794496446848,-0.613670334219933,NA,-5.96656410821847,3.9364367723465,-1.27549440496498,-15.3417583554983,NA,0.07692308,0.73333333,0.42857143,1,0.90909091,0.91666667,0.53571429,17.80952381,NA,0.14285714,0.5,0.35714286,NA,80.6472778320312,96.4187622070312,86.6688903808594,NA,5.16081237792969,-8.46606935773577,1.93459892272949,NA,-7.78413248062134,7.84841646466936,1.07460126876831,NA,-0.613670334219933,-0.835318975150585,-0.0754301287233829,NA,-15.3417583554983,-5.96656410821847,-0.754301287233829,0,0.70588235,0.42857143,NA,0.91666667,0.91666667,0.60714286,5,88.5955444335937,24.6112503051758,0,0,100.679,1,0.2,"2024-09-11",0
"Slade Cecconi",27500,"2024-09-07","@HOU",15,2024,"ARI","A",25,0,0,4.5,1,0,0,0,0,0,0,0,2,7,1,1,1,1,0,0,0,0,0,3,13.5,0,4.5,3,0,0,1,3,0,1,0,0,0,0.42857143,0,0.42857143,1.49101480145846,4.5,0.142857142857143,0.5,0,1,6.6664797782898,-2.1664797782898,2.4344923876226,107.623667042818,168.265294954422,60.6207534260525,0.333333333,0,0.25,0.75,0.333333333,0.333333333,0,0,7,20,27,-0.00498998397961259,-0.00786997564136982,0.00287999166175723,-0.0460000187158585,-0.00487546436488628,0.0221142843365669,0.0258000008761883,0.0458000004291534,NA,0,1,-0.1855658441782,-0.0400794402754072,0,0,0.7037037,95.36842105,0.11111111,85.66666667,0.14814815,78.5,0.03703704,82,NA,-0.371248215436935,-0.0116784907877445,0.409915596246719,0.0572940893471241,-1.95393797598387,-0.389283026258151,10.247889906168,5.72940893471241,0.42857143,0.76923077,0.59259259,0.5,0.9,0.75,0.48148148,0.85714286,0.14814815,3,0,1,1,1,2,4,0.75,0,0.25,0.25,0.25,0.5,4.67201778788137,NA,80,55.28342,80,65.54528,45.58421,56.14978,70.37701,47.78711,71.76687,62.27739,56.1745,56.71616,NA,NA,NA,76.2614,43.20952,77.37439,-1.50611,1.81793,100.54,190.44,197.28,119.36,103.32,88.74,100.9,112.02,109.7,110.86,120.18,124.4,104.728148148148,114.542222222222,111.471851851852,0.7037037,NA,0.11111111,0.14814815,0.03703704,95.347367136102,NA,85.5666707356771,78.625,81.6999969482422,-9.62354399028577,NA,2.42726294199626,4.43573045730591,-9.42696762084961,9.30022390265214,NA,1.32173871994019,-6.7735390663147,3.32504177093506,-0.378211915493011,NA,-0.0121511183679104,0.437295466661453,0.057969942688942,-1.99058902891059,NA,-0.405037278930346,10.9323866665363,5.7969942688942,0.38461538,0.78571429,0.59259259,0.4,0.90909091,0.75,0.51851852,18.95,0.03703704,0.14814815,0.7037037,0.11111111,82.0101013183594,78.9163970947266,95.6400788959704,85.8412272135417,-8.41516017913818,5.25904750823975,-8.96784651906867,3.42080020904541,2.14600992202759,-8.48919296264648,8.09509598581415,0.0818496694167455,0.057969942688942,0.437295466661453,-0.378211915493011,-0.0121511183679104,5.7969942688942,10.9323866665363,-1.99058902891059,-0.405037278930346,0.41666667,0.73333333,0.59259259,0.4,0.90909091,0.75,0.55555556,4,90.4962615966797,32.6319351196289,1,0.25,101.049,1,0.25,"2024-09-07",0
"Slade Cecconi",27500,"2024-09-02","LAD",15,2024,"ARI","H",25,0,0,45,1,0,0,0,0,0,0,0,1,11,7,5,5,1,1,0,0,1,0,0,0,9,63,0,0.25,0,4,1,5,0,1,0,0,0,0.09090909,-0.09090909,6.14980345433651,9,0.7,8,0.666666666666667,0.45454545,19.1664797782898,25.8335202217102,7.67848818451166,1076.23667042818,480.305462145083,187.345706390858,4,0.5,0.4,0.1,0,1,2,18,14,33,47,-0.136560007929802,-0.151639997959137,0.0150800030678511,-6.48899984359741,-0.655454516410828,0.257538467645645,0.43133333325386,0.758000016212463,0.0120000001043081,1,1,-0.394574493169785,-0.135676421104113,0,1,0.4893617,95.73913043,0.40425532,85.73684211,0.10638298,77.6,NA,NA,NA,-2.78308701515198,-0.810639977455139,-0.455145925283432,NA,-12.1003783267477,-4.26652619713231,-9.10291850566864,NA,0.33333333,0.69230769,0.53191489,1,0.88888889,0.92,0.55319149,0.63636364,0.04255319,3,5,2,1,5,4,10,0.3,0.5,0.2,0.1,0.5,0.4,21.021998434052,NA,NA,NA,NA,20,45.19737,20,76.20117,46.73414,80,65.96271,50.20003,69.23435,NA,NA,NA,63.02707,46.57113,73.65689,-0.68391,3.05123,NA,NA,NA,89.1,-36.54,-54.96,90.88,133.52,117.56,97.96,123.34,125.96,93.5527659574468,111.313191489362,102.602553191489,0.4893617,NA,0.40425532,0.10638298,NA,95.6739130434783,NA,85.6631566097862,77.9,NA,-8.46339549189029,NA,2.05374245894583,4.43339996337891,NA,8.45597573985224,NA,0.0818326849686472,-6.26360855102539,NA,-2.80577798560262,NA,-0.779592622071505,-0.465184085071087,NA,-12.1990347200114,NA,-4.10311906353424,-9.30368170142174,NA,0.11764706,0.76666667,0.53191489,1,0.91304348,0.92,0.63829787,21.11111111,NA,0.10638298,0.4893617,0.40425532,NA,77.8761169433594,95.6610478940217,85.6261371813322,NA,5.10481605529785,-8.07463869841203,2.63869315699527,NA,-7.73974456787109,7.46579841945482,-1.09180882102565,NA,-0.465184085071087,-2.80577798560262,-0.779592622071505,NA,-9.30368170142174,-12.1990347200114,-4.10311906353424,0.13333333,0.71875,0.53191489,1,0.91304348,0.92,0.68085106,10,89.0898010253906,3.07546119689941,1,0.1,108.404,5,0.5,"2024-09-02",0
"Slade Cecconi",27500,"2024-08-08","PHI",15,2024,"ARI","H",25,0,0,6,1,0,0,0,0,0,0,0,3,14,4,2,2,1,1,1,0,0,0,2,6,3,12,2,0,0,3,5,3,0,0,0,0,0.14285714,0.07142857,0.07142857,4.98709643590012,3,0.307692307692308,1.66666666666667,0.3,0.83333333,7.1664797782898,-1.1664797782898,5.35316045532624,143.498222723757,180.746901642049,131.15247921787,0.6,0.272727272,0.272727272,0.454545454,0,0.2,1,3,18,34,52,-0.0915200114250183,-0.211020022630692,0.119500011205673,-0.467000037431717,-0.0471717156469822,0.513857126235962,0.597333312034607,0.990000009536743,NA,0,1,-0.102908812463284,-0.0751951910666637,0,1,0.53846154,95.28571429,0.46153846,85.70833333,NA,NA,NA,NA,0.07692308,-0.706193387508392,-0.821726560592651,NA,NA,-2.5221192411014,-3.42386066913605,NA,NA,0.30769231,0.65384615,0.48076923,0.625,0.70588235,0.68,0.5,0.57142857,0.15384615,6,1,4,0,7,4,11,0.54545455,0.09090909,0.36363636,0,0.63636364,0.36363636,8.46645199318177,NA,NA,NA,NA,NA,NA,NA,75.19893,45.03707,80,50.60692,49.91078,52.00947,NA,NA,NA,68.86435,46.63847,76.83106,-1.04656,2.50725,NA,NA,NA,NA,NA,NA,90.96,119.34,105.66,101.48,113.62,118.7,95.8153846153846,116.7,111.678461538462,0.53846154,NA,0.46153846,NA,NA,95.2250017438616,NA,85.7125040690104,NA,NA,-7.53677259172712,NA,0.799765030543009,NA,NA,9.28093065534319,NA,0.918600559234619,NA,NA,-0.712137512862682,NA,-0.813771460205317,NA,NA,-2.54334826022387,NA,-3.39071441752215,NA,NA,0.21052632,0.63636364,0.48076923,0.5,0.71428571,0.68,0.63461538,17.94871795,NA,NA,0.53846154,0.46153846,NA,NA,95.4977852957589,85.9534708658854,NA,NA,-7.38454164777483,1.11054833730062,NA,NA,8.16973168509347,-0.425233324368795,NA,NA,-0.712137512862682,-0.813771460205317,NA,NA,-2.54334826022387,-3.39071441752215,0.21052632,0.63636364,0.48076923,0.5,0.71428571,0.68,0.63461538,11,91.5165405273438,18.5680070356889,1,0.09090909,108.06,5,0.45454545,"2024-08-08",0
"Slade Cecconi",27500,"2024-08-03","@PIT",15,2024,"ARI","A",25,0,1,11.5714301479108,1,0,0,0,0,0,0,0,2.1,11,4,3,3,1,0,0,0,0,0,3,11.5714301479108,0,15.4285735305478,3,0,0,1,6,1,1,0,0,0,0.27272727,0,0.27272727,3.90485305739256,3.85714338263694,0.363636363636364,1.71428594783864,0.428571428571429,0.38461538,6.16648018700741,5.4049499609034,4.4830730022319,276.746610099551,155.783698469701,110.126186322277,0.166666666,0.125,0.125,0.75,0.166666666,0.166666666,1,3.85714338263694,18,38,56,-0.218979984521866,-0.359533995389938,0.140553995966911,-1.98000001907349,-0.197309404611588,0.887218177318573,1.10920000076294,0.837599992752075,0.408999979496002,1,1,-0.09830292314291,-0.148513463310855,0,1,0.50909091,96.03571429,0.30909091,86.17647059,0.14545455,77.875,0.03636364,79,0.01785714,-0.433750092983246,-0.80319482088089,-0.0705072432756424,0.0121269263327122,-1.54910747494016,-4.72467541694641,-0.88134054094553,0.606346316635609,0.48275862,0.73076923,0.6,0.71428571,0.84210526,0.78787879,0.47272727,0.63636364,0.125,2,5,1,1,3,4,8,0.25,0.625,0.125,0.125,0.375,0.5,4.49096412757158,NA,20,51.83219,20,80,46.90057,80,78.4765,38.25092,80,55.43595,52.59478,58.45051,NA,NA,NA,74.14762,41.74048,80,-1.37479,2.01491,104.68,52.08,46.56,117.26,155.8,144.44,97.06,141.78,122.04,110.92,105.9,115.6,104.559272727273,129.467272727273,120.562909090909,0.50909091,NA,0.30909091,0.14545455,0.03636364,95.9357125418527,NA,85.976469152114,77.7874984741211,79.25,-8.66770117623465,NA,-0.210609968970804,4.28009605407715,-8.50360870361328,8.35814666748047,NA,1.74992505241843,-6.4197096824646,3.14821767807007,-0.441043946892023,NA,-0.813651524484158,-0.0726338475942612,0.0120918154716492,-1.5751569531858,NA,-4.7861854381421,-0.907923094928265,0.604590773582458,0.39130435,0.75,0.6,0.66666667,0.83333333,0.78787879,0.58181818,20.22727273,0.03636364,0.14545455,0.50909091,0.30909091,79.1514511108398,77.644172668457,95.8171822684152,85.8399801815257,-8.66681003570557,4.94333505630493,-8.36653246198382,0.350446420557359,2.12585496902466,-7.82780504226685,7.63123648507254,0.838718975291533,0.00128604471683502,-0.0726338475942612,-0.441043946892023,-0.813651524484158,0.0643022358417511,-0.907923094928265,-1.5751569531858,-4.7861854381421,0.44,0.73333333,0.6,0.72727273,0.81818182,0.78787879,0.54545455,8,90.3314056396484,33.0191230773926,2,0.25,106.05,3,0.375,"2024-08-03",0
"Slade Cecconi",27500,"2024-07-29","WSN",15,2024,"ARI","H",25,0,0,0,1,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,1,0,0,3,13.5,0,0,3,0,0,2,1,0,1,0,0,0,0.42857143,0,0.42857143,0.950953579058688,0,0,0,0,1,1.6664797782898,-1.6664797782898,2.42248398140073,0,43.4492280781584,60.3305616004696,2,0,0.666666666,0.333333333,1,0,2,9,14,17,31,0.00756000075489283,-0.000860000378452241,0.00842000171542168,1.02199995517731,0.103232324123383,0.0497142858803272,0.0629999935626984,0.061999998986721,0.061999998986721,1,1,0.134041577577591,0.0180274026163787,0,0,0.67741935,95.38095238,0.19354839,85.5,0.09677419,76.66666667,0.03225806,83,NA,1.38524174690247,-0.0148274786770344,-0.222953885793686,-0.0344077162444592,6.59638927096412,-0.24712464461724,-7.43179619312286,-3.44077162444592,0.18181818,0.66666667,0.32258065,1,0.66666667,0.8,0.29032258,0.42857143,0.06451613,1,1,1,1,2,0,3,0.33333333,0.33333333,0.33333333,0.33333333,0.66666667,0,0.0805371149543269,NA,20,48.30628,20,20,45.60666,20,56.12331,44.93351,69.33421,20,40.70965,20,NA,NA,NA,28.87734,39.24243,33.93543,1.43768,6.23361,92.6,19.42,19.42,96.76,31.16,16.46,76.94,144.14,126.72,92.02,43.3,42.36,82.281935483871,109.665806451613,96.2606451612903,0.67741935,NA,0.19354839,0.09677419,0.03225806,95.3857131231399,NA,85.7666625976562,76.9333343505859,83.3000030517578,-7.55305044991629,NA,1.983611424764,4.99006811777751,-7.73072719573975,8.85927545456659,NA,0.0787650247414907,-6.85487747192383,6.01984834671021,1.38540036231279,NA,-0.0159168429672718,-0.229801468551159,-0.0350487045943737,6.59714458244187,NA,-0.265280716121197,-7.6600489517053,-3.50487045943737,0.125,0.53333333,0.32258065,1,0.75,0.8,0.48387097,17.43478261,0.03225806,0.09677419,0.67741935,0.19354839,83.5167007446289,77.1898295084635,95.6561221168155,86.0110982259115,-7.35054016113281,5.34014638264974,-7.27115304129464,2.3488933245341,4.35656023025513,-8.32689348856608,7.67010207403274,-0.888727823893229,-0.0350487045943737,-0.229801468551159,1.38540036231279,-0.0159168429672718,-3.50487045943737,-7.6600489517053,6.59714458244187,-0.265280716121197,0.14285714,0.47058824,0.32258065,1,0.75,0.8,0.5483871,3,97.7238972981771,13.2744471232096,0,0,105.665,2,0.66666667,"2024-07-29",0
"Slade Cecconi",27500,"2024-07-10","ATL",15,2024,"ARI","H",25,0,0,6.75,1,1,0,0,0,0,0,0,4,18,4,3,3,0,2,0,0,0,0,3,6.75,4.5,9,1.5,0,0,1,9,3,1,0,0,0,0.16666667,0.11111111,0.05555556,6.65443896705302,0,0.25,1.5,0.307692307692308,0.5,3.1664797782898,3.5835202217102,6.56849869228899,161.435500564227,80.8940481410376,160.522007127637,0.111111111,0.23076923,0.076923076,0.692307692,0.111111111,0,3,6.75,23,40,63,-0.11514001339674,-0.422619998455048,0.307479977607727,-0.955900013446808,-0.0965555533766747,1.11211109161377,0.967500030994415,0.870000004768372,1.19000005722046,1,1,-0.0331187099218369,-0.070414124401092,0,0,0.62903226,94.02564103,0.33870968,82.80952381,NA,NA,0.03225806,81,0.01587302,-0.0926191955804825,-0.285733342170715,NA,0.187732070684433,-0.237485116873032,-1.36063496271769,NA,9.38660353422165,0.25714286,0.7037037,0.4516129,0.66666667,0.89473684,0.82142857,0.43548387,0.66666667,0.07936508,2,6,5,2,6,5,13,0.15384615,0.46153846,0.38461538,0.15384615,0.46153846,0.38461538,3.43756494811856,46,36.63535,48.63306,29.11898,NA,NA,NA,46.8835,48.71667,47.31844,63.00265,44.80164,71.70501,NA,NA,NA,51.98387,45.29822,57.7161,0.00216,4.08033,89.08,65.12,61.64,NA,NA,NA,89.96,82.76,71.86,97.3142857142857,116.214285714286,107.305714285714,92.4225806451613,93.5222580645161,83.5361290322581,0.62903226,NA,0.33870968,NA,0.03225806,93.9487179487179,NA,82.7571440197173,NA,80.9000015258789,-7.6003652719351,NA,2.61446889241536,NA,-8.02326774597168,9.32653495592949,NA,-1.11187353588286,NA,4.06555843353271,-0.109995558857918,NA,-0.289248663932085,NA,0.231602318584919,-0.282039894507481,NA,-1.37737459015279,NA,11.5801159292459,0.16,0.64864865,0.4516129,0.5,0.875,0.82142857,0.59677419,19.06666667,0.03225806,NA,0.62903226,0.33870968,80.5851440429688,NA,93.67578125,82.4582403273809,-8.09490966796875,NA,-7.39370884039463,3.14610290527344,3.04626989364624,NA,8.3301031650641,-2.60290708996001,0.231602318584919,NA,-0.109995558857918,-0.300054434686899,11.5801159292459,NA,-0.282039894507481,-1.42883064136619,0.16,0.64864865,0.4516129,0.5,0.875,0.82142857,0.59677419,13,89.5968111478365,32.8160658616286,1,0.07692308,107.767,4,0.30769231,"2024-07-10",0
"Slade Cecconi",27500,"2024-07-05","@SDP",15,2024,"ARI","A",25,0,0,9.64285845659235,1,1,0,0,0,0,0,0,4.2,23,8,5,5,0,1,0,0,0,0,2,3.85714338263694,1.92857169131847,15.4285735305478,2,0.2,0,10,6,4,0,2,0,0,0.08695652,0.04347826,0.04347826,5.09388031430491,0,0.363636363636364,1.92857169131847,0.4,0.44444444,2.95219403480997,6.69066442178238,4.89620510766,230.622175082959,75.5447874032759,120.109822590576,1.666666666,0.2,0.5,0.3,0,0,2,3.85714338263694,24,57,81,-0.380367994308472,-0.615529954433441,0.235161975026131,-2.92700004577637,-0.319367170333862,1.03670430183411,0.897320032119751,0.910000026226044,0.311000019311905,1,1,-0.232000321149826,-0.134900822826847,0,0,0.59259259,93.625,0.13580247,85.18181818,0.14814815,73.5,0.12345679,80.4,NA,0.228369891643524,0.690408647060394,-0.532062888145447,-2.28158330917358,0.475770607590675,6.27644224600358,-4.43385740121206,-22.8158330917358,0.38095238,0.69230769,0.5308642,0.6875,0.96296296,0.86046512,0.48148148,0.82608696,0.07407407,5,10,5,2,13,5,20,0.25,0.5,0.25,0.1,0.65,0.25,3.5272233885298,37,61.96853,49.09193,61.98877,59.05702,46.53611,55.42513,64.60983,41.64838,75.45399,38.52172,42.15267,45.46722,NA,NA,NA,61.25671,38.55335,70.88506,-0.57393,3.2162,88.72,120.1,108.62,97.34,98.42,96.54,80.78,123.44,102.48,101.26,91.5,86.82,86.9948148148148,114.983456790123,100.231358024691,0.59259259,NA,0.13580247,0.14814815,0.12345679,93.5666707356771,NA,85.218184037642,73.2999979654948,80.3400024414063,-8.14963785807292,NA,1.4315053766424,6.8174991607666,-8.93035354614258,8.3383960723877,NA,-0.53811333396218,-8.26433690388997,3.83421058654785,0.225250765681267,NA,0.702022682875395,-0.54475450143218,-2.3010050393641,0.469272428502639,NA,6.38202438977632,-4.53962084526817,-23.010050393641,0.25806452,0.7,0.5308642,0.5,0.94285714,0.86046512,0.61728395,19.74137931,0.12345679,0.14814815,0.59259259,0.13580247,80.1690063476562,73.1421407063802,93.4283548990885,85.0525623668324,-8.22403182983398,7.87196604410807,-7.4756825764974,2.53426274386319,2.11872367858887,-10.1634349822998,7.14751243591309,-1.89797678860751,-2.3010050393641,-0.54475450143218,0.225250765681267,0.702022682875395,-23.010050393641,-4.53962084526817,0.469272428502639,6.38202438977632,0.23333333,0.70588235,0.5308642,0.42857143,0.94444444,0.86046512,0.62962963,20,93.2460423519737,12.4322469610917,0,0,108.659,7,0.35,"2024-07-05",0
"Slade Cecconi",27500,"2024-06-28","OAK",15,2024,"ARI","H",25,0,0,6.75,1,1,0,0,0,0,0,0,4,19,5,3,3,0,2,0,0,0,0,7,15.75,4.5,11.25,3.5,0,0,4,5,1,0,0,0,0,0.36842105,0.10526316,0.2631579,2.96924431408751,0,0.294117647058824,1.75,0.5,0.57142857,1.1664797782898,5.5835202217102,3.05649028606713,161.435500564227,30.967621390532,75.6517827169898,0.8,0.1,0.4,0.5,0,0,2,4.5,30,58,88,-0.132299974560738,-0.425260007381439,0.292960047721863,-0.955899953842163,-0.0965555533766747,1.15620005130768,0.960500001907349,0.870000004768372,0.945999979972839,1,1,-0.0271558165550232,-0.0872707261623072,0,0,0.38636364,93.38235294,0.34090909,84.6,0.10227273,74.44444444,0.17045455,82.13333333,NA,-0.0500781610608101,-1.27949464321136,0.769659757614136,0.469671070575714,-0.147288709002383,-4.26498214403788,8.55177508460151,3.13114047050476,0.3,0.78947368,0.51136364,0.33333333,0.73333333,0.6,0.43181818,0.73684211,0.20454545,2,4,4,2,3,5,10,0.2,0.4,0.4,0.2,0.3,0.5,1.06139571304338,48,51.84488,57.2663,48.62446,75.66826,46.61193,80,59.25952,45.34954,69.1071,39.10137,43.18529,48.71791,NA,NA,NA,52.37262,46.7969,61.2144,-0.02199,4.04411,94.5,106.6,98.32,104.28,147.14,132.84,89.1,103.86,92.44,100.12,103.88,97.52,95.2747126436782,108.81632183908,99.3264367816092,0.38636364,NA,0.34090909,0.10227273,0.17045455,93.3882338579963,NA,84.6533365885417,74.3888888888889,82.0799967447917,-7.48221857407514,NA,1.14300155639648,5.70451524522569,-9.10178833007813,9.49194246179917,NA,-1.19967778523763,-7.28941090901693,4.87910563151042,-0.0583455041050911,NA,-1.29840194806457,0.767166905105114,0.474367637187243,-0.171604423838503,NA,-4.32800649354855,8.52407672339016,3.16245091458162,0.34210526,0.64,0.51136364,0.23076923,0.75,0.6,0.56818182,19.44117647,0.17045455,0.10227273,0.38636364,0.34090909,81.8389567057292,74.156243218316,93.185209386489,84.4372151692708,-8.71367594401042,6.40743764241536,-6.94383329503676,2.04002520243327,3.61509323120117,-9.16101413302951,8.35666432100184,-2.63965504964193,0.474367637187243,0.767166905105114,-0.0583455041050911,-1.29840194806457,3.16245091458162,8.52407672339016,-0.171604423838503,-4.32800649354855,0.33333333,0.63461538,0.51136364,0.25,0.72727273,0.6,0.59090909,10,87.51982421875,12.4280212402344,2,0.2,104.776,4,0.4,"2024-06-28",0
"Slade Cecconi",27500,"2024-06-23","@PHI",15,2024,"ARI","A",25,0,1,3,1,1,0,0,0,0,0,0,3,14,5,1,1,0,0,0,0,0,0,2,6,0,15,2,0,0,4,4,4,0,0,0,0,0.14285714,0,0.14285714,4.37152501344355,0,0.357142857142857,1.66666666666667,0.416666666666667,0.8,1.83314644495646,1.16685355504354,3.84915765325228,71.7491113618787,47.6097636407005,94.8071632157434,1,0.333333333,0.333333333,0.333333333,0,0,0,0,10,36,46,0.0303079672157764,-0.194865942001343,0.225173905491829,0.50299996137619,0.0515105091035366,0.950757145881653,0.863466680049896,0.870000004768372,0.830399990081787,1,1,0.0120688956230879,0.0198088213596978,0,0,0.47826087,93.36363636,0.17391304,84.625,0.10869565,73,0.23913043,82,NA,-0.727834939956665,0.564696133136749,0.0571313500404358,-0.324650943279266,-3.30834063616666,7.05870166420937,1.14262700080872,-2.95137221162969,0.52173913,0.65217391,0.58695652,1,0.86666667,0.92592593,0.5,0.85714286,0.04347826,4,5,3,1,7,4,12,0.33333333,0.41666667,0.25,0.08333333,0.58333333,0.33333333,4.16446885561218,47,56.11859,56.298,52.08495,68.20726,47.27696,62.17996,73.83729,45.24893,80,64.55145,35.36409,77.85169,NA,NA,NA,69.93632,44.6793,77.10996,-1.11316,2.40735,101.08,107.7,99.06,117.54,142.56,129.94,98.1,124.98,112.52,91.64,122.3,117.54,99.8021739130435,122.292608695652,112.067826086957,0.47826087,NA,0.17391304,0.10869565,0.23913043,93.377274946733,NA,84.5875015258789,73.1599975585937,82.0818204012784,-8.33983958851207,NA,1.24468731880188,5.00490493774414,-9.67109541459517,9.08185924183239,NA,0.00463069230318069,-8.04594573974609,4.20081364024769,-0.696996860206127,NA,0.571126561611891,0.0576817840337753,-0.330945212393999,-3.16816754639149,NA,7.13908202014863,1.15363568067551,-3.00859283994545,0.45,0.69230769,0.58695652,0.88888889,0.94444444,0.92592593,0.56521739,20.96875,0.23913043,0.10869565,0.47826087,0.17391304,82.1794267134233,73.2648986816406,93.4805908203125,84.6802978515625,-9.43746809525923,5.47942008972168,-7.90551133589311,1.91213119029999,2.91155104203658,-9.82861404418945,8.02575614235618,-1.27603304386139,-0.330945212393999,0.0576817840337753,-0.696996860206127,0.571126561611891,-3.00859283994545,1.15363568067551,-3.16816754639149,7.13908202014863,0.45,0.69230769,0.58695652,0.88888889,0.94444444,0.92592593,0.56521739,12,84.4189758300781,11.2811559041341,1,0.08333333,107.801,3,0.25,"2024-06-23",0
