"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","SF%","SFv","wFB","wSL","wSF","wFB/C","wSL/C","wSF/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FS","pb_s_FS","pb_c_FS","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FS","sp_l_FS","sp_p_FS","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFS%","pfxSI%","pfxSL%","pfxvFA","pfxvFS","pfxvSI","pfxvSL","pfxFA-X","pfxFS-X","pfxSI-X","pfxSL-X","pfxFA-Z","pfxFS-Z","pfxSI-Z","pfxSL-Z","pfxwFA","pfxwFS","pfxwSI","pfxwSL","pfxwFA/C","pfxwFS/C","pfxwSI/C","pfxwSL/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piFA%","piFS%","piSI%","piSL%","pivFA","pivFS","pivSI","pivSL","piFA-X","piFS-X","piSI-X","piSL-X","piFA-Z","piFS-Z","piSI-Z","piSL-Z","piwFA","piwFS","piwSI","piwSL","piwFA/C","piwFS/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Keaton Winn",23499,"2024-06-20","@STL",30,2024,"SFG","A",26,0,1,16.8750040233145,1,1,0,0,0,0,0,0,2.2,14,5,5,5,1,1,0,0,0,0,2,6.75000160932579,3.3750008046629,16.8750040233145,2,0,0,3,5,3,0,0,0,0,0.14285714,0.07142857,0.07142857,5.35409643590012,3.3750008046629,0.384615384615385,2.25000053644193,0.4,0.2173913,7.66648085117366,9.20852317214083,5.6264961264694,418.85140143173,194.477864118315,137.75783349557,0.6,0.272727272,0.272727272,0.454545454,0,0.2,3,10.1250024139887,11,32,43,-0.34418797492981,-0.498563945293427,0.154375985264778,-3.13700008392334,-0.330907166004181,1.0434285402298,0.76853334903717,0.870000004768372,1.82000005245209,1,1,-0.348289459943771,0.0184269330341585,0,0,0.51162791,95.22222222,0.13953488,89,0.34883721,89,-0.0269940607249737,-0.216288983821869,-2.37898302078247,-0.122700276022608,-3.60481639703115,-15.8598868052165,0.33333333,0.88,0.65116279,0.5,0.90909091,0.82142857,0.58139535,0.71428571,0.11627907,8,1,2,1,3,7,11,0.72727273,0.09090909,0.18181818,0.09090909,0.27272727,0.63636364,8.15794239148743,25,66.1435,36.76424,80,60.019,41.49503,80,38.01586,29.64919,51.31481,80,40.74638,80,70.30952,32.21173,80,-1.13634,2.37258,82.44,119.84,96.86,84.42,139.32,133.9,87.64,81.68,83.5,121.18,124.46,138.66,91.9323076923077,119.469230769231,108.327692307692,0.61538462,0.23076923,0.07692308,0.07692308,95.0124969482422,88.9666646321615,94.5,89.4000015258789,-5.90337085723877,-7.96355628967285,-9.7000789642334,0.339566916227341,8.46947860717773,0.781797885894775,4.72610235214233,2.9141731262207,0.183473005890846,-1.15174734592438,0.039364367723465,-0.76553338766098,2.29341257363558,-38.3915781974792,3.9364367723465,-76.553338766098,0.66666667,1,0.92307692,0.5,0.9,0.83333333,0.76923077,21.96551724,0.61538462,0.23076923,0.07692308,0.07692308,94.7524490356445,88.725331624349,94.2230987548828,89.190803527832,-6.0160174369812,-8.07412338256836,-9.86839008331299,0.475127011537552,7.51957607269287,-0.718740304311117,3.34072995185852,1.72723996639252,0.183473005890846,-1.15174734592438,0.039364367723465,-0.76553338766098,2.29341257363558,-38.3915781974792,3.9364367723465,-76.553338766098,0.66666667,1,0.92307692,0.5,0.9,0.83333333,0.76923077,11,98.3000335693359,23.4420986175537,0,0,102.735,3,0.27272727,"2024-06-20",0
"Keaton Winn",23499,"2024-06-15","LAA",30,2024,"SFG","H",26,0,0,4.5,1,1,1,0,0,0,0,0,6,25,5,3,3,2,2,0,0,0,0,6,9,3,7.5,3,0,0,8,6,3,0,0,0,0,0.24,0.08,0.16,3.89305068401489,3,0.217391304347826,1.16666666666667,0.2,0.95238095,6.49981311162313,-1.99981311162313,3.67848818451166,111.693680418606,165.165787131979,90.682812007927,1.333333333,0.176470588,0.470588235,0.352941176,0,0.333333333,3,4.5,33,58,91,-0.0326879620552063,-0.53997790813446,0.507289946079254,-0.15559995174408,-0.0165443867444992,1.06587195396423,1.07513332366943,0.870000004768372,1.53539991378784,1,1,-0.181550025939941,0.150882212668721,0,0,0.46153846,95.5952381,0.15384615,88.14285714,0.38461538,89.45714286,-3.18383932113647,0.240677624940872,2.17779397964478,-7.5805698122297,1.7191258924348,6.22226851327079,0.3,0.75609756,0.50549451,0.33333333,0.80645161,0.65217391,0.45054945,0.56,0.17582418,8,6,3,1,9,7,17,0.47058824,0.35294118,0.17647059,0.05882353,0.52941176,0.41176471,6.44910967564115,47,25.84117,36.94702,29.86202,50.04884,62.03981,46.25461,33.45832,43.28626,28.18803,53.00702,63.13872,39.61701,38.86945,55.7085,29.31206,0.81691,5.30246,74.78,79.02,51.52,90,112.3,114.22,102.38,86.82,99.06,122.52,94.88,114.82,100.565494505494,93.2685714285714,96.2712087912088,0.25274725,0.38461538,0.20879121,0.15384615,96.0304326596467,89.3857142857143,94.9684223375822,88.1285749162946,-5.68756634256114,-7.84938005719866,-9.22227397717928,0.253880296434675,9.07569288170856,0.843413216727121,4.84882394891036,1.14392593928746,-1.85787213221192,2.24366834387183,-1.25653818994761,0.242438647896051,-8.07770492266054,6.41048098249095,-6.61335889446108,1.73170462782894,0.26666667,0.73913043,0.50549451,0.25,0.79411765,0.65217391,0.50549451,16.5,0.25274725,0.38461538,0.20879121,0.15384615,96.6452742866848,89.9940708705357,95.5709357010691,88.7356828962054,-5.4728187892748,-7.77379411969866,-9.21680490594161,0.327819926398141,7.89399586553159,-0.4915100642613,3.64257932964124,-0.0261653321129935,-1.85787213221192,2.24366834387183,-1.25653818994761,0.242438647896051,-8.07770492266054,6.41048098249095,-6.61335889446108,1.73170462782894,0.28888889,0.7173913,0.50549451,0.30769231,0.78787879,0.65217391,0.50549451,17,90.2883947035846,8.52041715734145,2,0.11764706,110.089,7,0.41176471,"2024-06-15",0
"Keaton Winn",23499,"2024-06-09","@TEX",30,2024,"SFG","A",26,0,1,14.5384626049968,1,1,0,0,0,0,0,0,4.1,22,6,7,7,1,2,0,1,0,0,7,14.5384626049968,4.15384645857051,12.4615393757115,3.5,0,0,4,6,2,1,0,0,0,0.31818182,0.09090909,0.22727273,3.33130758679538,2.07692322928526,0.315789473684211,1.8461539815869,0.454545454545455,0.26315789,5.01263375987669,9.52582884512011,4.1061837943025,360.856532440083,127.800979506737,101.018385897241,0.666666666,0.166666666,0.333333333,0.5,0.166666666,0.166666666,2,4.15384645857051,22,47,69,-0.317151993513107,-0.562272071838379,0.245120093226433,-3.93700003623962,-0.408826589584351,0.8299840092659,0.474560022354126,0.870000004768372,0.605199992656708,1,1,-0.242190524935722,-0.139927672490298,0,0,0.53623188,94.94594595,0.11594203,88.125,0.34782609,88.54166667,-1.95378398895264,-1.23352575302124,0.890983700752258,-5.28049726743956,-15.4190719127655,3.71243208646774,0.37837838,0.875,0.60869565,0.28571429,0.85714286,0.66666667,0.46376812,0.68181818,0.20289855,5,5,2,2,2,8,12,0.41666667,0.41666667,0.16666667,0.16666667,0.16666667,0.66666667,4.21668001310078,30,42.77358,44.821,44.296,68.87278,59.95555,62.49177,32.31958,43.39757,34.18286,49.67798,72.20448,35.20357,45.27198,58.81229,37.36796,0.41915,4.70582,85.1,76.1,56,99.74,106.1,116.06,100.16,89.38,88.88,116.22,63.68,84,99.7921739130435,77.6675362318841,78.255652173913,0.39130435,0.34782609,0.14492754,0.11594203,95.1925907841435,88.4000040690104,94.1200012207031,88.2375030517578,-6.33887001320168,-8.81845283508301,-9.84804611206055,-0.0838121026754379,9.33068395543981,-0.335774580637614,4.30221099853516,1.35076510906219,-1.7074250690639,0.937453553080559,-0.231090039014816,-1.23313265293837,-6.32379655208853,3.90605647116899,-2.31090039014816,-15.4141581617296,0.34285714,0.88235294,0.60869565,0.25,0.83333333,0.66666667,0.49275362,18.39130435,0.39130435,0.34782609,0.14492754,0.11594203,95.2060094762732,88.400146484375,94.1312683105469,88.2392730712891,-5.8439054135923,-8.26764869689941,-9.47311935424805,0.849487245082855,8.19789575647425,-1.81205161412557,3.14116706848145,-0.14521636068821,-1.7074250690639,0.937453553080559,-0.231090039014816,-1.23313265293837,-6.32379655208853,3.90605647116899,-2.31090039014816,-15.4141581617296,0.33333333,0.86111111,0.60869565,0.18181818,0.83870968,0.66666667,0.52173913,12,96.5448099772135,17.4283879597982,0,0,106.241,7,0.58333333,"2024-06-09",0
"Keaton Winn",23499,"2024-05-14","LAD",30,2024,"SFG","H",26,0,1,11.25,1,1,0,0,0,0,0,0,4,20,5,5,5,1,3,0,0,0,0,4,9,6.75,11.25,1.33333333,0,0,4,6,3,0,0,0,0,0.2,0.15,0.05,5.51641908401489,2.25,0.294117647058824,2,0.333333333333333,0.45454545,6.6664797782898,4.5835202217102,5.6844923876226,279.234201046516,169.353222850628,139.159355112184,0.666666666,0.23076923,0.307692307,0.461538461,0,0.166666666,0,0,29,49,78,-0.246082007884979,-0.55188399553299,0.30580198764801,-3.06660008430481,-0.326060622930527,0.904990494251251,0.831400036811829,0.870000004768372,0.546999990940094,1,1,-0.261643320322037,-0.0102733566465722,0,0,0.5,96.12820513,0.14102564,89.90909091,0.35897436,90.39285714,-0.178365141153336,-1.3370658159256,-1.55554568767548,-0.457346515777784,-12.1551437811418,-5.5555203131267,0.32,0.78571429,0.48717949,0.5625,0.81818182,0.71052632,0.35897436,0.55,0.14102564,5,5,3,1,5,7,13,0.38461538,0.38461538,0.23076923,0.07692308,0.38461538,0.53846154,6.81086614250852,31,42.10863,49.04406,34.87434,69.47877,65.5505,68.84933,55.01836,56.27605,56.71152,62.74641,66.2478,56.75929,56.25722,62.16835,51.21539,-0.26333,3.6821,78.22,100.22,76.86,104.94,115.8,123.16,103,92.82,100.12,119.38,95.78,115.92,101.628461538462,100.578717948718,103.065641025641,0.30769231,0.35897436,0.19230769,0.14102564,96.2541707356771,90.3178536551339,95.8933349609375,89.872725053267,-5.65374374389648,-8.97737775530134,-8.92376098632812,0.20946775783192,9.25141143798828,0.800552436283657,4.55343577067057,2.23104945096103,-0.0196383073925972,-1.57136152684689,-0.0854357592761517,-1.33990620076656,-0.0818262808024883,-5.61200545302459,-0.569571728507678,-12.1809654615142,0.3,0.68421053,0.48717949,0.41666667,0.84615385,0.71052632,0.48717949,19.5862069,0.30769231,0.35897436,0.19230769,0.14102564,96.5786743164062,90.6133946010045,96.203515625,90.1663929332386,-5.3527094523112,-8.82911573137556,-8.79349975585938,0.637489969080145,8.09550031026204,-0.715541635240827,3.20996856689453,0.693767460909757,-0.0196383073925972,-1.57136152684689,-0.0854357592761517,-1.33990620076656,-0.0818262808024883,-5.61200545302459,-0.569571728507678,-12.1809654615142,0.3,0.68421053,0.48717949,0.5,0.80769231,0.71052632,0.48717949,13,96.7062518780048,16.7071486253005,3,0.23076923,113.424,9,0.69230769,"2024-05-14",0
"Keaton Winn",23499,"2024-05-09","@COL",30,2024,"SFG","A",26,0,1,17.1818211610657,1,1,0,0,0,0,0,0,3.2,19,8,7,7,1,0,0,0,1,0,1,2.45454588015225,0,19.636367041218,1,0,0,8,5,5,0,0,0,0,0.05263158,0,0.05263158,5.16766538813667,2.45454588015225,0.421052631578947,2.18181856013533,0.411764705882353,0.15151515,6.16648029847588,11.0153408625899,4.68285514061566,426.466853727494,156.790928764156,114.954066257824,1.6,0.277777777,0.444444444,0.277777777,0,0.2,1,2.45454588015225,12,39,51,-0.308044016361237,-0.525984048843384,0.217940017580986,-3.90199995040894,-0.339599639177322,0.818239986896515,0.986699998378754,0.870000004768372,0.362800002098083,1,1,-0.240218430757523,-0.13625304618607,0,0,0.41176471,95.47619048,0.1372549,87,0.45098039,88.73913043,-2.13226675987244,-0.854569911956787,-0.894247829914093,-10.1536512374878,-12.2081415993827,-3.88803404310475,0.33333333,0.83333333,0.62745098,0.71428571,0.84,0.8125,0.58823529,0.78947368,0.11764706,10,6,2,1,8,9,18,0.55555556,0.33333333,0.11111111,0.05555556,0.44444444,0.5,7.28468870915499,20,64.00604,38.22586,20,80,20.74294,20,73.63232,26.96985,20,80,21.24016,20,80,22.60616,20,-2.53472,0.27501,79.66,110.94,89.72,100.96,92.34,97.42,103.4,97.38,106.98,119.32,108.94,126.04,103.727843137255,105.623921568627,109.525490196078,0.2745098,0.45098039,0.1372549,0.1372549,95.9142892020089,88.6826065726902,94.3285696847098,86.9285714285714,-4.49628666469029,-5.8725002122962,-6.91670445033482,0.441658530916486,6.30457305908203,0.0583685843840889,3.01332310267857,-0.413174254553659,-0.776108924299479,-0.892329927533865,-1.36536343023181,-0.865000210702419,-5.5436351735677,-3.87969533710376,-19.5051918604544,-12.3571458671774,0.35294118,0.76470588,0.62745098,0.66666667,0.84615385,0.8125,0.66666667,17.8125,0.25490196,0.45098039,0.15686275,0.1372549,96.7734093299279,89.495456861413,95.3282089233398,87.7281406947545,-4.41936903733474,-5.91828056003736,-6.66792726516724,0.353674139295306,6.36456944392278,-0.357381696286409,2.79532384872437,-0.615987573351179,-0.815473292022943,-0.892329927533865,-1.32599906250834,-0.865000210702419,-6.27287147709956,-3.87969533710376,-16.5749882813543,-12.3571458671774,0.33333333,0.78787879,0.62745098,0.66666667,0.84615385,0.8125,0.64705882,18,92.484856499566,12.9111268785265,2,0.11111111,110.719,8,0.44444444,"2024-05-09",0
"Keaton Winn",23499,"2024-05-04","@PHI",30,2024,"SFG","A",26,0,1,67.5000704080601,1,1,0,0,0,0,0,0,0.2,8,4,5,5,0,2,0,1,0,0,0,0,27.000028163224,54.0000563264481,0,0,0,2,0,3,0,0,0,0,0,0.25,-0.25,9.54535408401489,0,0.8,9.00000938774135,0.8,0.28571429,16.6664938599018,50.8335765481583,16.6664938599018,1675.40695386473,420.59971976464,404.547367219213,2,0.6,0.4,0,0,0,0,0,15,24,39,-0.315301984548569,-0.355559974908829,0.0402579940855503,-3.93600010871887,-0.403072208166122,1.26453328132629,0.870000004768372,0.870000004768372,0.66100001335144,1,1,-0.255718976259232,0.00637640125174171,0,0,0.58974359,94.52173913,NA,NA,0.41025641,88.5,-0.453468680381775,NA,-1.58888804912567,-1.97160295818163,NA,-9.93055030703545,0.32,0.92857143,0.53846154,0.75,0.92307692,0.85714286,0.35897436,0.625,0.07692308,3,1,1,2,1,2,5,0.6,0.2,0.2,0.4,0.2,0.4,22.5433085635169,17,56.31938,48.42593,54.63031,36.78612,60.56386,20,NA,NA,NA,20,76.03085,20,28.04902,65.43754,20,1.48914,6.3108,83.26,121.74,105.32,93.48,99.86,113.18,NA,NA,NA,125.44,-13.1,20.84,102.661025641026,61.9328205128205,72.2738461538462,0.38461538,0.41025641,0.20512821,NA,94.5799967447917,88.4875030517578,94.0124969482422,NA,-7.32440795898438,-9.84442615509033,-9.96185398101807,NA,9.9633066813151,0.415174871683121,4.20318460464478,NA,0.256962183862925,-1.61563246324658,-0.72264776006341,NA,1.71308122575283,-10.0977028952911,-9.03309700079262,NA,0.33333333,0.86666667,0.53846154,0.75,0.92307692,0.85714286,0.38461538,19.73333333,0.38461538,0.41025641,0.20512821,NA,95.0950358072917,89.0270156860352,94.5370025634766,NA,-6.97969716389974,-9.36115074157715,-9.70851707458496,NA,8.35805867513021,-1.43237805366516,2.65561628341675,NA,0.256962183862925,-1.61563246324658,-0.72264776006341,NA,1.71308122575283,-10.0977028952911,-9.03309700079262,NA,0.38095238,0.72222222,0.53846154,0.75,0.92307692,0.85714286,0.46153846,5,85.4801879882812,8.5465446472168,0,0,98.3175,2,0.4,"2024-05-04",0
"Keaton Winn",23499,"2024-04-28","PIT",30,2024,"SFG","H",26,1,0,1.5,1,1,1,0,0,0,0,0,6,22,3,1,1,0,1,0,1,0,0,5,7.5,1.5,4.5,5,0,0,10,3,2,0,0,0,0,0.22727273,0.04545455,0.18181818,2.96018569380696,0,0.15,0.666666666666667,0.2,0.8,2.49981311162313,-0.999813111623129,3.25581731473406,37.2312268062021,64.6673298844025,80.4686645969136,3.333333333,0.133333333,0.666666666,0.2,0,0,3,4.5,29,51,80,0.230583980679512,-0.2536960542202,0.48428001999855,1.84440004825592,0.196108460426331,1.02077388763428,0.956700026988983,0.870000004768372,1.31700003147125,1,1,0.210452020168304,0.0154393192094184,0,0,0.375,94.33333333,0.2375,87.57894737,0.3875,88.06451613,0.559241890907288,0.30505445599556,1.64305996894836,1.86413963635763,1.60554976839768,5.30019344822053,0.35555556,0.68571429,0.5,0.5625,0.91666667,0.775,0.4375,0.63636364,0.1125,9,5,1,1,9,5,15,0.6,0.33333333,0.06666667,0.06666667,0.6,0.33333333,2.16747350107129,70,77.01243,51.888,80,38.25652,54.33634,40.94532,29.41426,43.79042,34.27475,54.71516,51.20784,61.22574,44.62038,53.36428,48.91728,0.45963,4.76654,84.22,135.24,109.62,96.12,87.34,89.2,110.74,78.8,81.76,108.8,101.7,116.94,103.4645,95.0675,99.969,0.0875,0.3875,0.2875,0.2375,95.0714285714286,88,94.0652173913043,87.5684236225329,-6.45342908586775,-8.52966111706149,-9.4750571872877,0.561263736925627,9.36590467180524,0.663895699285692,4.85783386230469,1.53703207718699,0.244976632297039,1.68388687819242,0.322137910872698,0.30538247153163,3.49966617567199,5.43189315545944,1.40059961248999,1.60727616595594,0.325,0.675,0.5,0.53846154,0.88888889,0.775,0.5,17.75862069,0.0875,0.3875,0.2875,0.2375,95.7346888950893,88.6422946068548,94.7107145889946,88.2061510587993,-6.33985737391881,-8.51649819650958,-9.46827299698539,0.832403684917249,8.20678165980748,-0.748062441425939,3.69607112718665,0.0866191889110364,0.233620010316372,1.68388687819242,0.322137910872698,0.30538247153163,3.33742871880531,5.43189315545944,1.40059961248999,1.60727616595594,0.33333333,0.63414634,0.4875,0.53846154,0.92307692,0.79487179,0.5125,15,94.6204752604167,4.2123649597168,0,0,109.017,9,0.6,"2024-04-28",0
"Keaton Winn",23499,"2024-04-22","NYM",30,2024,"SFG","H",26,1,0,1.5,1,1,1,0,0,0,0,0,6,21,4,1,1,1,1,0,0,0,0,6,9,1.5,6,6,0.111111111,1,9,1,3,0,1,1,1,0.28571429,0.04761905,0.23809524,2.18294450654985,1.5,0.2,0.833333333333333,0.230769230769231,1,3.83314644495646,-2.33314644495646,1.91848117932677,37.2312268062021,98.1668156335947,48.1509691940756,9,0.23076923,0.692307692,0.076923076,0,1,5,7.5,27,60,87,0.137860015034676,-0.170347973704338,0.308207988739014,0.881399929523468,0.093716099858284,0.680990934371948,0.786314308643341,0.870000004768372,1.81239998340607,1,1,0.223459661006927,-0.0210193522209984,0,0,0.50574713,95.40909091,0.05747126,87.8,0.43678161,88.78947368,2.43448424339294,-0.784136176109314,-0.290008544921875,5.53291873498396,-15.6827235221863,-0.763180381373355,0.3877551,0.63157895,0.49425287,0.68421053,0.91666667,0.81395349,0.43678161,0.61904762,0.09195402,4,6,4,0,8,6,14,0.28571429,0.42857143,0.28571429,0,0.57142857,0.42857143,4.73333603508393,63,35.21922,39.88505,36.41888,77.74973,52.87994,80,80,47.77818,80,79.79103,62.77892,64.07563,61.58048,53.37623,56.27719,-0.59404,3.18603,83.32,87.26,59.92,88.74,136.1,135.04,87.02,145.7,143.42,113.34,114.34,131.7,97.2055172413793,107.49908045977,103.842068965517,0.40229885,0.43678161,0.10344828,0.05747126,95.6399972098214,88.7578960217928,94.6777750651042,87.9599975585938,-6.03892691476004,-8.11197863127056,-8.7921871609158,-0.120142138004303,8.61626150948661,0.404024124145508,4.59586673312717,1.35653038024902,2.25299338251352,-0.281219575554132,0.253446433693171,-0.79647509381175,6.43712395003864,-0.740051514616138,2.81607148547967,-15.929501876235,0.4047619,0.57777778,0.49425287,0.64705882,0.88461538,0.79069767,0.51724138,16.04545455,0.40229885,0.43678161,0.10344828,0.05747126,96.5192313058036,89.6102873149671,95.5540093315972,88.7921630859375,-5.74143458775112,-7.83244805586965,-8.51848856608073,0.302235102653503,7.41020159040179,-1.17604607029965,3.25959544711643,0.0125358253717422,2.25299338251352,-0.281219575554132,0.253446433693171,-0.79647509381175,6.43712395003864,-0.740051514616138,2.81607148547967,-15.929501876235,0.39534884,0.59090909,0.49425287,0.64705882,0.88461538,0.79069767,0.50574713,14,92.1319392277644,1.29473935640775,1,0.07142857,106.916,6,0.42857143,"2024-04-22",0
"Keaton Winn",23499,"2024-04-17","@MIA",30,2024,"SFG","A",26,1,0,1.5,1,1,1,0,0,0,0,0,6,21,4,1,1,1,1,0,0,0,0,4,6,1.5,6,4,0.125,0,8,5,3,0,1,0,0,0.19047619,0.04761905,0.14285714,3.95275856332198,1.5,0.2,0.833333333333333,0.2,1,4.49981311162313,-2.99981311162313,3.59315345014135,37.2312268062021,114.916558508191,88.6206364040188,1.6,0.1875,0.5,0.3125,0,0.2,2,3,28,53,81,0.205460041761398,-0.325000047683716,0.530460059642792,2.13199996948242,0.212139293551445,1.08809089660645,1.17333340644836,0.870000004768372,1.9099999666214,1,1,0.0601282678544521,0.128697906872485,0,0,0.39506173,94.90625,0.14814815,86.75,0.45679012,88.86486486,-0.48330944776535,1.10148811340332,0.629281163215637,-1.51034202426672,9.17906761169434,1.7007599005828,0.2826087,0.74285714,0.48148148,0.69230769,0.92307692,0.84615385,0.43209877,0.61904762,0.07407407,7,5,4,2,7,7,16,0.4375,0.3125,0.25,0.125,0.4375,0.4375,4.82401931693217,61,61.81969,53.39426,69.10891,33.50857,49.30122,40.30663,53.13281,44.81421,59.25392,38.23555,44.09192,45.58328,40.01428,48.45464,45.67464,0.74579,5.19578,83.5,104.18,85.46,93.36,86.5,83.4,115.74,104.72,110.4,99.86,82.38,86.32,97.9404938271605,90.3730864197531,89.0898765432099,0.17283951,0.45679012,0.22222222,0.14814815,95.528573172433,88.8108108108108,94.3111097547743,86.7999979654948,-6.63663210187639,-8.68633373363598,-9.76222483317057,-0.117865850528081,9.27674974714007,1.46174704061972,4.29684787326389,0.320104857285817,0.782575033605099,0.673213336616755,-1.2168335467577,1.11764458939433,5.58982166860785,1.81949550436961,-6.7601863708761,9.31370491161942,0.30769231,0.64285714,0.48148148,0.58333333,0.96296296,0.84615385,0.51851852,16.5,0.17283951,0.45679012,0.22222222,0.14814815,96.0274832589286,89.3004447318412,94.8137071397569,87.2854309082031,-5.83825193132673,-7.91406662399704,-8.96930355495877,0.787909110387166,7.86472974504743,-0.153082808932743,2.77149391174316,-1.37528689702352,0.782575033605099,0.673213336616755,-1.2168335467577,1.11764458939433,5.58982166860785,1.81949550436961,-6.7601863708761,9.31370491161942,0.28947368,0.65116279,0.48148148,0.54545455,0.96428571,0.84615385,0.5308642,16,93.7801208496094,5.51217699050903,2,0.125,108.198,8,0.5,"2024-04-17",0
"Keaton Winn",23499,"2024-04-12","@TBR",30,2024,"SFG","A",26,0,1,3.6,1,1,0,0,0,0,0,0,5,24,5,2,2,0,3,0,1,0,0,6,10.8,5.4,9,2,0.25,0,8,2,3,0,2,0,0,0.25,0.125,0.125,4.02585408401489,0,0.25,1.6,0.357142857142857,0.77777778,3.1664797782898,0.433520221710205,3.77128314077854,89.3549443348851,81.4170727589986,92.9252692721505,4,0.23076923,0.615384615,0.153846153,0,0,1,1.8,31,58,89,-0.0211279578506947,-0.540524005889893,0.519396066665649,0.260000020265579,0.0285557433962822,1.24536001682281,0.877960026264191,0.870000004768372,0.787000000476837,1,1,-0.103932105004787,0.0869667636052806,0,0,0.41573034,95.35135135,0.13483146,88,0.4494382,89,-0.906627058982849,0.0130236893892288,0.0993004888296127,-2.45034340265635,0.10853074491024,0.248251222074032,0.36,0.71794872,0.51685393,0.5,0.92857143,0.76086957,0.43820225,0.66666667,0.12359551,5,5,3,1,8,4,14,0.38461538,0.38461538,0.23076923,0.07692308,0.61538462,0.30769231,3.75158307146896,54,45.51051,60.49792,47.22689,30.07179,56.12425,27.2185,30.62675,47.76167,30.09968,58.54777,58.8963,61.13516,42.03003,60.65946,39.58232,0.62056,5.00793,110.72,92.98,75.9,109.42,51.22,65.96,101.42,88.98,92.46,112.82,95.82,110.2,109.983636363636,80.8804545454545,90.3095454545455,0.11235955,0.4494382,0.30337079,0.13483146,95.65,88.9950012207031,95.2370334201389,87.9000040690104,-7.119189453125,-10.0979515075684,-10.503012197989,-0.329646050930023,10.0237037658691,1.80434036254883,5.29739945023148,1.37390168507894,0.602967087179422,0.089397955685854,-1.53388340771198,0.0111830793321133,6.02967087179422,0.223494889214635,-5.68104965819253,0.0931923277676105,0.37777778,0.65909091,0.51685393,0.47058824,0.93103448,0.76086957,0.49438202,18.40625,0.11235955,0.4494382,0.30337079,0.13483146,96.1446716308594,89.4793579101563,95.7234971788194,88.3829650878906,-6.49614868164062,-9.41670989990234,-9.8197179723669,0.643667737642924,8.60387725830078,0.0482103258371353,3.60618223967376,-0.524125417073568,0.602967087179422,0.535834185779095,-1.53388340771198,0.0111830793321133,6.02967087179422,1.33958546444774,-5.68104965819253,0.0931923277676105,0.38636364,0.66666667,0.52808989,0.47058824,0.93333333,0.76595745,0.50561798,14,90.3181762695312,-1.07471068700155,1,0.07142857,110.7,6,0.42857143,"2024-04-12",0
