"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CH%","CHv","XX%","wFB","wSL","wCH","wFB/C","wSL/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxCU%","pfxCH%","pfxvFA","pfxvSI","pfxvCU","pfxvCH","pfxFA-X","pfxSI-X","pfxCU-X","pfxCH-X","pfxFA-Z","pfxSI-Z","pfxCU-Z","pfxCH-Z","pfxwFA","pfxwSI","pfxwCU","pfxwCH","pfxwFA/C","pfxwSI/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piSI%","piSL%","pivCH","pivFA","pivSI","pivSL","piCH-X","piFA-X","piSI-X","piSL-X","piCH-Z","piFA-Z","piSI-Z","piSL-Z","piwCH","piwFA","piwSI","piwSL","piwCH/C","piwFA/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Joe Mantiply",14857,"2024-09-29","SDP",15,2024,"ARI","H",33,0,0,0,1,0,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,13.500014081612,0,0,1,0,0,1,0,0,0,0,0,0,0.5,0,0.5,-0.528020915985107,0,0,0,0,1,0.166476649042681,-0.166476649042681,0.166476649042681,0,6.00432989921573,5.81251197675874,1,0,1,0,0,0,1,13.500014081612,4,7,11,0.00368003826588392,-0.00329999928362668,0.00698003731667995,-0.310999989509583,-0.0314141400158405,0.273333340883255,0.168999999761581,0.337999999523163,0.208000004291534,1,1,0.0264480914920568,-0.01298453723266,0,0,0.54545455,87.66666667,0.45454545,79.6,NA,NA,NA,0.183700785040855,0.294697016477585,NA,3.06167975068092,5.8939403295517,NA,0.55555556,1,0.63636364,0.4,1,0.57142857,0.18181818,0.5,0.27272727,1,0,0,0,1,0,1,1,0,0,0,1,0,-0.942387072532301,NA,NA,NA,NA,59.34527,58.4525,57.77943,NA,NA,NA,41.57015,63.54052,37.79538,49.12342,56.90206,44.80802,0.17987,4.3469,NA,NA,NA,104.56,112.74,117,NA,NA,NA,134.88,91.04,117.2,121.098181818182,100.903636363636,117.109090909091,NA,0.54545455,0.45454545,NA,NA,87.6666666666667,79.4200012207031,NA,NA,11.6811281840007,-3.84993362426758,NA,NA,0.830137650171916,-1.3688624382019,NA,NA,0.185890275985003,0.298068959265947,NA,NA,3.09817126641671,5.96137918531895,NA,0.625,0.66666667,0.63636364,0.4,1,0.57142857,0.27272727,20.55555556,NA,NA,0.54545455,0.45454545,NA,NA,87.3560791015625,79.0927612304688,NA,NA,10.8238716125488,-4.9782901763916,NA,NA,-0.681111335754395,-2.98298988342285,NA,NA,0.185890275985003,0.298068959265947,NA,NA,3.09817126641671,5.96137918531895,0.625,0.66666667,0.63636364,0.4,1,0.57142857,0.27272727,1,53.4610824584961,6.31303453445435,0,0,53.4611,0,0,"2024-09-29",0
"Joe Mantiply",14857,"2024-09-28","SDP",15,2024,"ARI","H",33,0,0,0,1,0,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,13.500014081612,0,0,1,0,0,0,1,0,0,0,0,0,0.5,0,0.5,1.65247908401489,0,0,0,0,1,0.166476649042681,-0.166476649042681,2.43449162409945,0,6.00432989921573,60.6207349749633,0,0,0,1,0,0,0,0,1,4,5,0.0784800052642822,0,0.0784800052642822,0.533999979496002,0.0539393946528435,1.51399993896484,0.88400000333786,1.76800000667572,1.54199993610382,1,1,0.0525392889976501,-0.000703087922278377,1,0,0.6,88.33333333,0.4,79,NA,NA,NA,0.346033036708832,0.170102804899216,NA,11.5344345569611,8.50514024496078,NA,0.5,1,0.8,0,0.66666667,0.5,0.6,1,0.4,0,1,0,0,1,0,1,0,1,0,0,1,0,-1.14139510524775,NA,NA,NA,NA,31.81366,51.15786,25.06568,NA,NA,NA,80,73.25959,80,80,58.85973,80,-2.32892,0.58371,NA,NA,NA,109.34,97.28,87.8,NA,NA,NA,110.64,125.4,145.38,110.12,114.152,122.348,NA,0.6,0.4,NA,NA,88.1666666666667,79,NA,NA,11.5071767171224,-4.89303874969482,NA,NA,-0.232575496037801,-3.07927203178406,NA,NA,0.35009877383709,0.171885255724192,NA,NA,11.669959127903,8.59426278620958,NA,0.5,1,0.8,0,0.66666667,0.5,0.6,18.66666667,NA,NA,0.6,0.4,NA,NA,87.7922973632812,78.6034469604492,NA,NA,10.7119674682617,-6.35249519348145,NA,NA,-1.52043008804321,-4.87637519836426,NA,NA,0.35009877383709,0.171885255724192,NA,NA,11.669959127903,8.59426278620958,0.5,1,0.8,0,0.66666667,0.5,0.6,1,86.2389755249023,60.6456642150879,0,0,86.239,0,0,"2024-09-28",0
"Joe Mantiply",14857,"2024-09-27","SDP",15,2024,"ARI","H",33,0,0,0,1,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.18327091598511,0,0,0,0,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,80.8940481410376,78.3097583844777,1,0,1,0,0,0,1,27.000028163224,0,3,3,0.0177600048482418,0,0.0177600048482418,0.326999992132187,0.0330303013324738,0.62200003862381,0.311000019311905,0.62200003862381,0.612000048160553,1,1,0.0285530611872673,-5.03322255401839e-10,0,0,0.33333333,87,0.66666667,79.5,NA,NA,NA,0.0389156937599182,0.173169538378716,NA,3.89156937599182,8.65847691893578,NA,1,0.5,0.66666667,1,1,1,0.66666667,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1.39254496826667,NA,NA,NA,NA,75.68012,47.48467,80,NA,NA,NA,80,60.42489,80,80,45.10224,80,-2.40462,0.47016,NA,NA,NA,106.88,140.04,134.22,NA,NA,NA,107.6,146.92,160.58,107.12,142.333333333333,143.006666666667,NA,0.33333333,0.66666667,NA,NA,87,79.5500030517578,NA,NA,10.6529140472412,-3.56968069076538,NA,NA,0.531913697719574,-2.80752182006836,NA,NA,0.039364367723465,0.175375323742628,NA,NA,3.9364367723465,8.7687661871314,NA,1,0,0.66666667,1,NA,1,0.33333333,20.5,NA,NA,0.33333333,0.66666667,NA,NA,86.6839981079102,79.2368469238281,NA,NA,9.84037017822266,-4.82520008087158,NA,NA,-0.64808601140976,-4.46670532226562,NA,NA,0.039364367723465,0.175375323742628,NA,NA,3.9364367723465,8.7687661871314,1,0,0.66666667,1,NA,1,0.33333333,1,59.0662498474121,5.86967611312866,0,0,59.0662,0,0,"2024-09-27",0
"Joe Mantiply",14857,"2024-09-22","@MIL",15,2024,"ARI","A",33,0,0,40.5000422448361,1,0,0,0,0,0,1,0,0.2,5,2,3,3,0,1,0,0,0,0,0,0,13.500014081612,27.000028163224,0,0.25,0,4,0,0,0,1,0,0,0,0.2,-0.2,4.51536908401489,0,0.5,4.50000469387067,0.5,0,7.66648447216047,32.8335577726756,7.66648447216047,968.614013728512,193.22862550377,187.055627996056,4,0,1,0,0,0,0,0,9,12,21,-0.0814440026879311,-0.124320007860661,0.0428760014474392,-1,-0.102722138166428,0.926239967346191,1.04779994487762,1.04779994487762,3.3173999786377,1,1,-0.0740350037813187,-0.013894696468261,0,1,0.33333333,88.28571429,0.33333333,80.42857143,0.33333333,81.28571429,NA,-0.362407684326172,-0.463554501533508,0.00830073654651642,-5.17725263323103,-6.6222071647644,0.11858195066452,0.3125,0.6,0.38095238,0.6,1,0.75,0.23809524,0.4,0.0952381,1,1,2,1,1,2,4,0.25,0.25,0.5,0.25,0.25,0.5,4.11864101432185,NA,57.50051,43.50333,47.87914,44.18939,54.1945,39.81727,47.05903,20,80,80,44.43866,80,61.73885,42.53863,60.09447,-0.60388,3.17127,98.12,97.9,105.54,95.06,99.08,93.34,38.68,267.46,214.86,105.16,139.46,157.5,96.2809523809524,118.241904761905,121.524761904762,0.04761905,0.28571429,0.33333333,0.33333333,89.4000015258789,88.2666625976562,80.3999982561384,81.3428606305804,9.21773910522461,10.800360361735,-4.0734190259661,8.9058723449707,7.0968074798584,0.710609992345174,-1.96602208273751,-1.91277095249721,0,-0.367906857281923,-0.472112998366356,0.00508419424295425,0,-6.13178095469872,-6.74447140523366,0.0726313463279179,0.41666667,0.33333333,0.38095238,0.6,1,0.75,0.42857143,19.9375,0.33333333,0.04761905,0.28571429,0.33333333,80.9297834123884,88.9542999267578,87.843983968099,79.9756556919643,8.29547446114676,8.34471988677979,10.2097733815511,-5.25691986083984,-3.30492428370885,6.34595012664795,-0.33210301399231,-3.36705153329032,0.00508419424295425,0,-0.367906857281923,-0.472112998366356,0.0726313463279179,0,-6.13178095469872,-6.74447140523366,0.38461538,0.375,0.38095238,0.6,1,0.75,0.38095238,4,80.0707473754883,-8.93587303161621,0,0,102.797,2,0.5,"2024-09-22",0
"Joe Mantiply",14857,"2024-09-21","@MIL",15,2024,"ARI","A",33,0,0,0,1,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,0,0,0,4,18,0,0,4,0,0,2,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-18.9588053599737,-18.3531359984531,2,0,1,0,0,0,0,0,7,18,25,0.108829997479916,0,0.108829997479916,0.998000025749207,0.102516695857048,0.713699996471405,1.05840003490448,1.0485999584198,1.04779994487762,1,1,0.152666091918945,-0.000179055323764415,1,0,0.36,89.33333333,0.36,80.22222222,0.28,82.42857143,NA,0.539392948150635,0.638058960437775,0.311968892812729,5.9932549794515,7.08954400486416,4.45669846875327,0.46666667,0.6,0.52,0.42857143,0.33333333,0.38461538,0.4,0.66666667,0.32,1,1,0,0,0,2,2,0.5,0.5,0,0,0,1,-1.61607952611381,NA,52.88243,40.63374,55.21516,46.02288,59.99674,51.69276,69.37315,21.93234,80,79.8457,54.50902,80,59.08115,49.47445,66.66695,-0.43877,3.41894,109.42,104.4,103.92,122.52,85.8,77.36,81.72,94.94,74.74,118.7,124.32,138.34,115.9976,103.7,104.2056,0.04,0.32,0.36,0.28,89.6999969482422,89.1125030517578,80.2777777777778,82.3571428571429,9.10206604003906,10.3524227142334,-4.77582126193576,7.99109595162528,5.13561820983887,-0.103665232658386,-2.54381730821398,-3.00948524475098,0.057969942688942,0.488316498696804,0.633554354310036,0.315160170197487,5.7969942688942,6.10395623371005,7.03949282566706,4.50228814567838,0.41666667,0.61538462,0.52,0.2,0.5,0.38461538,0.52,16.94736842,0.28,0.04,0.32,0.36,81.9528111049107,89.3061981201172,88.7168121337891,79.8848198784722,7.56333868844168,8.36258029937744,9.8558235168457,-5.81779437594944,-4.26622145516532,4.33436012268066,-1.16723001003265,-3.9507556491428,0.315160170197487,0.057969942688942,0.488316498696804,0.633554354310036,4.50228814567838,5.7969942688942,6.10395623371005,7.03949282566706,0.38461538,0.66666667,0.52,0.2,0.5,0.38461538,0.48,2,88.3428802490234,-0.360368251800537,0,0,89.9879,0,0,"2024-09-21",0
"Joe Mantiply",14857,"2024-09-18","@COL",15,2024,"ARI","A",33,0,0,18,1,0,0,0,0,0,0,0,1,5,3,2,2,0,0,0,0,0,0,0,0,0,27,0,0,0,2,1,2,0,0,0,0,0,0,0,5.37832908401489,0,0.6,3,0.6,0.33333333,3.1664797782898,14.8335202217102,4.67848818451166,430.494668171272,80.8940481410376,114.84853560366,2,0.4,0.4,0.2,0,0,0,0,4,8,12,0.00212800060398877,-0.021263999864459,0.0233919993042946,-1.37100005149841,-0.119321152567863,0.201759994029999,0.0531999990344048,0.0531999990344048,NA,0,1,-0.0835749879479408,0.0941221760276171,0,0,0.58333333,89.57142857,NA,NA,0.41666667,81.2,NA,0.151687920093536,NA,-0.803133308887482,2.16697028705052,NA,-16.0626661777496,0.42857143,1,0.66666667,0.33333333,1,0.75,0.41666667,0.6,0.16666667,3,2,0,0,3,2,5,0.6,0.4,0,0,0.6,0.4,7.42372370207402,NA,26.18829,37.35503,25.22576,NA,NA,NA,20,23.535,25.99394,70.92617,36.26367,76.16644,35.14083,31.65727,43.93279,1.04856,5.64993,92.72,75.42,79.28,NA,NA,NA,79.4,37.7,-5.86,85.38,116.3,113,87.4416666666667,86.1666666666667,79.14,0.16666667,0.41666667,NA,0.41666667,90.1499938964844,89.3,NA,81.2400024414062,7.36007356643677,9.48220672607422,NA,7.82631530761719,3.52396321296692,1.16275072097778,NA,-2.48858261108398,-0.589591141790152,0.744501773267984,NA,-0.811387844383717,-29.4795570895076,14.8900354653597,NA,-16.2277568876743,0.5,0.83333333,0.66666667,0.33333333,1,0.75,0.5,17.71428571,0.41666667,0.08333333,0.5,NA,81.4251220703125,91.3321990966797,89.4431457519531,NA,6.89613418579102,5.46873998641968,8.39417012532552,NA,-2.84419403076172,3.4471800327301,1.46370410919189,NA,-0.811387844383717,-0.0242429338395596,0.179153565317392,NA,-16.2277568876743,-2.42429338395596,2.98589275528987,NA,0.4,0.85714286,0.66666667,0,1,0.75,0.58333333,5,94.735693359375,13.2394561767578,0,0,107.019,2,0.4,"2024-09-18",0
"Joe Mantiply",14857,"2024-09-17","@COL",15,2024,"ARI","A",33,0,0,0,1,0,0,0,0,0,0,0,0.1,2,1,0,0,0,0,0,0,0,0,0,0,0,27.000028163224,0,0,0,0,1,1,0,0,0,0,0,0,0,8.41372908401489,0,0.5,3.00000312924711,0.5,1,3.1664797782898,-3.1664797782898,7.70250972840334,0,80.8940481410376,187.926204380887,0,0.5,0,0.5,0,0,0,0,1,4,5,0.00695202359929681,-0.00489199860021472,0.0118440221995115,0.279000014066696,0.0242819860577583,0.327800005674362,0.114799998700619,0.229599997401237,0.156400009989738,1,1,0.00649625482037663,0.0147118704967503,0,0,0.4,87.5,0.2,77,0.4,80,NA,0.00450797751545906,-0.502868592739105,0.284230977296829,0.225398875772953,-50.2868592739105,14.2115488648415,0.33333333,0.5,0.4,1,1,1,0.4,0.5,0,1,0,1,0,2,0,2,0.5,0,0.5,0,1,0,9.18546345697167,NA,68.33552,24.14107,80,57.87913,39.22816,68.30534,NA,NA,NA,51.82738,47.21682,64.74736,61.22489,32.20713,80,-0.57195,3.21917,100.2,140.8,149.52,90.66,90.5,87.38,NA,NA,NA,89.6,111.32,116.04,94.052,118.948,123.7,NA,0.4,0.2,0.4,NA,87.1999969482422,77,79.8000030517578,NA,9.03794384002686,-3.34493947029114,5.87550401687622,NA,1.32650661468506,-1.49720966815948,-1.41907787322998,NA,0.00431566312909126,-0.510574221611023,0.33002470433712,NA,0.215783156454563,-51.0574221611023,16.501235216856,0,0.5,0.4,NA,1,1,0.8,17,0.4,NA,0.4,0.2,80.0366516113281,NA,87.4480438232422,77.2089004516602,4.9053897857666,NA,8.00251007080078,-4.71362018585205,-1.62088489532471,NA,1.04271149635315,-1.73219001293182,0.33002470433712,NA,0.00431566312909126,-0.510574221611023,16.501235216856,NA,0.215783156454563,-51.0574221611023,NA,0.4,0.4,NA,1,1,1,2,97.1961517333984,20.3500785827637,0,0,105.874,1,0.5,"2024-09-17",0
"Joe Mantiply",14857,"2024-09-15","MIL",15,2024,"ARI","H",33,0,0,0,1,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,27.000028163224,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-0.337270915985107,0,0,0,0,1,-2.83352648020443,2.83352648020443,-2.83352648020443,0,-68.8853883426062,-66.6847344309602,0,0,0,0,0,0,0,0,0,3,3,0.0269999913871288,0,0.0269999913871288,0.326999992132187,0.0330303013324738,0.949999988079071,0.474999994039536,0.949999988079071,0.612000048160553,1,1,0.0284210443496704,-4.27634542360389e-10,0,0,0.66666667,87.5,NA,NA,0.33333333,81,NA,0.212123870849609,NA,0.054188709706068,10.6061935424805,NA,5.4188709706068,0.5,1,0.66666667,0,1,0.5,0.33333333,1,0.33333333,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-2.8361850727272,NA,20,39.55261,20,NA,NA,NA,NA,NA,NA,80,40.02085,80,60.45528,37.56083,80,-0.52414,3.29088,82.46,-17.64,-35.24,NA,NA,NA,NA,NA,NA,91.8,86.5,66.4,88.6866666666667,51.7866666666667,32.52,NA,0.66666667,NA,0.33333333,NA,87.5999984741211,NA,80.8000030517578,NA,11.4451274871826,NA,10.8765668869019,NA,2.09656858444214,NA,1.29082715511322,NA,0.2144455909729,NA,0.054773960262537,NA,10.722279548645,NA,5.4773960262537,NA,0.66666667,0.66666667,NA,0.5,0.5,1,19,0.33333333,NA,0.66666667,NA,80.6479034423828,NA,87.4668502807617,NA,9.92455959320068,NA,10.7626495361328,NA,-0.110434003174305,NA,1.02609097957611,NA,0.054773960262537,NA,0.2144455909729,NA,5.4773960262537,NA,10.722279548645,NA,NA,0.66666667,0.66666667,NA,0.5,0.5,1,0,NA,NA,0,NA,NA,0,NA,"2024-09-15",0
"Joe Mantiply",14857,"2024-09-13","MIL",15,2024,"ARI","H",33,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,1,9,9,0,1,0,0,1,0,0,0,0,1,0,0.25,0.25,0,5.94041658401489,0,0,1,0,1,4.1664797782898,-4.1664797782898,4.1664797782898,0,105.85726151629,102.47548198021,1,0,1,0,0,0,0,0,6,8,14,0.0224199928343296,-0.0341799929738045,0.0565999858081341,0.124000005424023,0.0125252520665526,0.78600001335144,0.952000021934509,0.990000009536743,1.40199995040894,1,1,0.0388119220733643,-0.010287758646531,0,0,0.64285714,88.55555556,0.07142857,80,0.28571429,81.25,NA,-0.177276030182838,0.173169538378716,0.380663394927979,-1.9697336686982,17.3169538378716,9.51658487319946,0.25,0.66666667,0.42857143,1,0.5,0.66666667,0.42857143,0.75,0.14285714,2,0,0,1,1,0,2,1,0,0,0.5,0.5,0,3.15860784611082,NA,58.27665,48.66404,77.74509,62.68325,44.42433,71.77982,20,27.92695,20,67.62948,50.09212,61.17945,58.50267,44.98318,64.35056,-0.40283,3.47285,113.92,84.92,86.82,100.06,73.26,78.2,74.96,-167.58,-169.6,78.84,100.62,96.62,90.9676923076923,73.0538461538462,71.7092307692308,0.07142857,0.57142857,0.07142857,0.28571429,88.0999984741211,88.4875030517578,79.5,81.1750030517578,7.96108722686768,11.7941999435425,-4.4842791557312,9.43824768066406,6.3209547996521,1.48213839530945,-1.88300287723541,-2.85234546661377,-0.123742401599884,-0.0602681823074818,0.175375327467918,0.385338887572289,-12.3742401599884,-0.753352278843522,17.5375327467918,9.63347218930721,0,0.66666667,0.42857143,NA,0.66666667,0.66666667,0.64285714,18.6,0.28571429,0.07142857,0.57142857,0.07142857,81.1148986816406,88.0140991210938,88.4263000488281,79.3831024169922,8.77089786529541,6.9753098487854,11.0161876678467,-5.4407901763916,-4.36185741424561,5.60519981384277,0.218607380986214,-3.06449007987976,0.385338887572289,-0.123742401599884,-0.0602681823074818,0.175375327467918,9.63347218930721,-12.3742401599884,-0.753352278843522,17.5375327467918,0,0.66666667,0.42857143,NA,0.66666667,0.66666667,0.64285714,2,66.3044662475586,-42.2714385986328,0,0,66.3045,0,0,"2024-09-13",0
"Joe Mantiply",14857,"2024-09-07","@HOU",15,2024,"ARI","A",33,0,0,0,1,0,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,13.500014081612,0,0,1,0,0,0,1,0,0,0,0,0,0.5,0,0.5,1.65247908401489,0,0,0,0,1,0.166476649042681,-0.166476649042681,2.43449162409945,0,6.00432989921573,60.6207349749633,0,0,0,1,0,0,1,13.500014081612,3,5,8,0.00133200758136809,0,0.00133200758136809,0.252999991178513,0.0268150493502617,0.0278999991714954,0.0178999993950129,0.0357999987900257,0.0458000004291534,1,1,0.0495202913880348,-0.00177808275281165,0,0,0.25,88.5,0.25,78.5,0.5,81,NA,-0.00848141312599182,0.23282390832901,0.291793316602707,-0.424070656299591,11.6411954164505,7.29483291506767,0.42857143,0,0.375,0.33333333,NA,0.33333333,0.125,1,0.25,0,0,1,0,0,1,1,0,0,1,0,0,1,-1.14139510524775,NA,68.40684,44.60841,77.09937,80,52.95533,80,20,25.7583,20,62.78954,35.61512,80,64.50546,42.54412,80,-0.77576,2.91345,92.72,137.36,136.54,117.5,176.32,162.48,82.64,47.78,29.82,79.94,129.76,127.8,96.0575,134.9525,128.5925,0.125,0.125,0.25,0.5,89.0999984741211,88.1999969482422,78.6999969482422,80.9499969482422,9.75909900665283,10.9737701416016,-5.4835147857666,9.3823070526123,5.55921125411987,1.74349224567413,-3.81496524810791,-1.98736429214478,-0.0483221560716629,0.039364367723465,0.235492557287216,0.295449279248714,-4.83221560716629,3.9364367723465,11.7746278643608,7.38623198121786,0.33333333,0.5,0.375,0,1,0.33333333,0.25,13.83333333,0.5,0.125,0.125,0.25,81.2827758789062,89.4359970092773,88.4917984008789,78.9867553710938,8.83640766143799,8.56112003326416,10.1611995697021,-6.28828001022339,-3.3434624671936,4.44821977615356,0.8490110039711,-5.21706008911133,0.295449279248714,-0.0483221560716629,0.039364367723465,0.235492557287216,7.38623198121786,-4.83221560716629,3.9364367723465,11.7746278643608,0.33333333,0.5,0.375,0,1,0.33333333,0.25,1,98.4547729492188,38.0439720153809,0,0,98.4548,1,1,"2024-09-07",0
