"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","XX%","wFB","wSL","wCT","wCB","wCH","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_KC","pb_s_KC","pb_c_KC","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_KC","sp_l_KC","sp_p_KC","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSL%","pfxKC%","pfxCH%","pfxvFA","pfxvFC","pfxvSL","pfxvKC","pfxvCH","pfxFA-X","pfxFC-X","pfxSL-X","pfxKC-X","pfxCH-X","pfxFA-Z","pfxFC-Z","pfxSL-Z","pfxKC-Z","pfxCH-Z","pfxwFA","pfxwFC","pfxwSL","pfxwKC","pfxwCH","pfxwFA/C","pfxwFC/C","pfxwSL/C","pfxwKC/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piFC%","piSL%","pivCH","pivCU","pivFA","pivFC","pivSL","piCH-X","piCU-X","piFA-X","piFC-X","piSL-X","piCH-Z","piCU-Z","piFA-Z","piFC-Z","piSL-Z","piwCH","piwCU","piwFA","piwFC","piwSL","piwCH/C","piwCU/C","piwFA/C","piwFC/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Cole Ragans",21846,"2024-09-24","@WSN",7,2024,"KCR","A",26,0,0,0,1,1,1,0,0,0,0,0,6,23,3,0,0,0,3,0,0,0,0,6,9,4.5,4.5,2,0,0,9,4,1,0,0,0,0,0.26086957,0.13043478,0.13043478,4.0857631043186,0,0.15,1,0.214285714285714,1,2.6664797782898,-2.6664797782898,3.67448538243771,0,64.4428371776046,89.5667968156409,2.25,0.071428571,0.642857142,0.285714285,0,0,0,0,32,57,89,0.35235995054245,-0.209547966718674,0.561907947063446,2.94599986076355,0.305918991565704,1.14427828788757,1.05640006065369,0.870000004768372,1.50839996337891,1,1,0.222607851028442,0.0853241916156017,0,0,0.47191011,93.35714286,0.15730337,83.5,0.04494382,88,0.07865169,79.57142857,0.24719101,82.90909091,NA,1.05949687957764,0.0285167880356312,-0.0560922473669052,0.631996035575867,0.671988487243652,2.52261161804199,0.203691343111651,-1.40230618417263,9.02851479394095,3.05449312383478,0.33333333,0.76315789,0.51685393,0.58823529,0.89655172,0.7826087,0.42696629,0.69565217,0.11235955,5,3,6,2,8,4,14,0.35714286,0.21428571,0.42857143,0.14285714,0.57142857,0.28571429,1.9681349145443,69,57.1957,64.97185,48.47651,76.11292,63.17932,75.11827,47.08477,53.80737,47.64172,70.10024,49.85607,74.045,39.83779,58.31531,52.59231,67.42715,62.78208,65.53741,-0.95727,2.64119,119.52,88.04,105.82,101.6,109.16,115.84,108.96,100.4,103.2,116.88,129.5,133.8,93.28,103.16,98.46,108.015280898876,103.891460674157,112.006292134831,0.47191011,0.04494382,0.15730337,0.07865169,0.24719101,93.4119059244792,88.0500030517578,83.4857177734375,79.5,82.7227283824574,7.9897206624349,0.232298791408539,0.227783611842564,-5.43108149937221,10.4746260209517,11.0535568963914,4.76055097579956,-1.01253802435739,-8.32931191580636,7.23356628417969,1.10680693760514,-0.057443656027317,0.0240396820008755,0.393577132374048,0.678889155387878,2.63525461334558,-1.43609140068293,0.171712014291968,5.6225304624864,3.08585979721763,0.29545455,0.73333333,0.51685393,0.61538462,0.84848485,0.7826087,0.50561798,16.74242424,0.24719101,0.07865169,0.47191011,0.04494382,0.15730337,83.1415571732955,79.9316144670759,93.8572416759673,88.4574508666992,83.9038870675223,10.048093622381,-6.21216583251953,7.55274382091704,-0.222901999950409,-0.42531647000994,5.58132379705256,-10.1614368983677,9.72218177432106,3.59767985343933,-2.48684011186872,0.678889155387878,0.627783630043268,1.10680693760514,-0.057443656027317,0.0240396820008755,3.08585979721763,8.96833757204669,2.63525461334558,-1.43609140068293,0.171712014291968,0.30232558,0.7173913,0.51685393,0.61538462,0.84848485,0.7826087,0.51685393,14,87.7750331333705,9.02642331804548,1,0.07142857,106.233,5,0.35714286,"2024-09-24",0
"Cole Ragans",21846,"2024-09-17","DET",7,2024,"KCR","H",26,0,0,1.28571428571429,1,1,1,0,0,0,0,0,7,27,4,1,1,0,4,0,1,0,0,6,7.71428571428571,5.14285714285714,5.14285714285714,1.5,0.125,0,8,4,4,2,1,0,0,0.22222222,0.14814815,0.07407407,4.92897736977505,0,0.181818181818182,1.14285714285714,0.25,0.88888889,3.59505120686122,-2.30933692114694,4.45905601041658,30.5720404969584,87.5265195113758,109.085007212515,2,0.25,0.5,0.25,0.5,0,1,1.28571428571429,39,66,105,0.345469951629639,-0.411380022764206,0.756849944591522,2.73839998245239,0.268076360225677,1.23446893692017,1.10408568382263,0.870000004768372,1.86240005493164,1,1,0.167717173695564,0.112135920454816,0,0,0.38095238,95.35,0.16190476,86,0.11428571,89,0.11428571,80.91666667,0.22857143,84.54166667,NA,-1.40873730182648,0.0045342817902565,-0.687221229076385,0.875512421131134,2.17762422561646,-3.52184325456619,0.0266722458250382,-5.72684357563655,7.29593684275945,9.0734342734019,0.36363636,0.64102564,0.46666667,0.58333333,0.8,0.69387755,0.37142857,0.59259259,0.14285714,8,4,4,3,9,4,16,0.5,0.25,0.25,0.1875,0.5625,0.25,4.34466354816563,68,66.81533,65.94176,62.50245,66.85183,61.52201,67.65862,57.59695,69.62614,47.29826,45.43347,45.47845,41.8875,51.65837,65.19541,53.42504,62.91651,64.72383,59.97655,-0.67704,3.06153,104.12,93.98,114.2,109.52,106.32,116.48,119.96,112.7,132.34,96.56,99.46,90.32,92.02,78.36,78.6,106.365384615385,100.436153846154,111.004615384615,0.38095238,0.11428571,0.16190476,0.11428571,0.22857143,95.25,89,85.9882381663603,80.8083343505859,84.6000010172526,7.36936264038086,0.158936242262522,0.277497067170985,-4.53620338439941,9.16347948710124,10.4798149108887,4.78355725606283,1.12690712423886,-7.13972155253092,6.70560646057129,-1.4582187756896,-0.696574650704861,0.00147730857133865,0.88475102186203,2.20661045610905,-3.64554693922401,-5.80478875587384,0.00869005041963914,7.37292518218358,9.1942102337877,0.31481481,0.62745098,0.46666667,0.52941176,0.78125,0.69387755,0.48571429,17.82051282,0.22857143,0.11428571,0.38095238,0.07619048,0.2,84.4644978841146,80.6776682535807,95.1249755859375,89.4086380004883,86.2074381510417,9.04656600952148,-5.23462994893392,7.14477310180664,-0.120586268603802,-0.250741163889567,5.35732269287109,-9.03196080525716,9.35475158691406,4.00916481018066,0.410261971609933,2.20661045610905,0.88475102186203,-1.4582187756896,-0.756104115396738,0.061006773263216,9.1942102337877,7.37292518218358,-3.64554693922401,-9.45130144245923,0.290508444110552,0.28301887,0.65384615,0.46666667,0.46666667,0.79411765,0.69387755,0.4952381,16,88.1620941162109,8.65352916717529,0,0,106.699,4,0.25,"2024-09-17",0
"Cole Ragans",21846,"2024-09-11","@NYY",7,2024,"KCR","A",26,0,0,3,1,1,1,0,0,0,0,0,6,23,3,2,2,1,3,0,0,0,0,7,10.5,4.5,4.5,2.33333333,0,0,4,6,2,1,0,1,0,0.30434783,0.13043478,0.17391304,3.97281036138748,1.5,0.15,1,0.166666666666667,0.86956522,4.49981311162313,-1.49981311162313,3.84515485117833,71.3347611595695,110.018312554538,93.8126384013546,0.666666666,0.166666666,0.333333333,0.5,0.166666666,0.166666666,2,3,39,61,100,-0.0163119621574879,-0.44650799036026,0.430196017026901,0.945999979972839,0.0982346832752228,0.96431303024292,1.15053331851959,0.870000004768372,1.50839996337891,1,1,0.158557295799255,-0.175472925523121,0,0,0.47,95.04255319,0.13,84.30769231,0.1,89.5,0.12,80.33333333,0.18,84.61111111,NA,1.58525633811951,-0.887074708938599,0.515524566173553,-0.806900382041931,0.592028737068176,3.37288582578618,-6.82365160721999,5.15524566173553,-6.72416985034943,3.28904853926765,0.31034483,0.64285714,0.45,0.5,0.88888889,0.73333333,0.42,0.69565217,0.12,5,5,3,5,5,3,13,0.38461538,0.38461538,0.23076923,0.38461538,0.38461538,0.23076923,4.66049471893449,58,60.3986,75.09217,52.86453,56.731,68.95666,50.92669,50.96082,57.75498,53.2171,62.24717,48.57315,58.79997,73.18282,57.8939,67.87231,59.40006,67.09695,55.37306,-0.45858,3.38922,127.2,70.46,98.86,111.92,96.28,111.94,118.8,91.18,100.94,103.76,115.66,108.18,90.44,113.88,112.98,112.4376,95.055,107.8084,0.47,0.1,0.13,0.12,0.18,94.968085106383,89.5900024414063,84.2923114483173,80.3416646321615,84.5,7.78064289498836,0.424521446228027,0.207828191610483,-5.78263727823893,10.1388956705729,11.1039013152427,5.38095016479492,0.34706449508667,-7.24304835001628,7.57419162326389,1.59947394579649,0.520366497337818,-0.904157541692257,-0.803177427500486,0.596259258687496,3.40313605488615,5.20366497337818,-6.95505801301736,-6.69314522917072,3.31255143715276,0.32075472,0.59574468,0.45,0.47058824,0.89285714,0.73333333,0.47,17.32894737,0.18,0.12,0.47,0.1,0.13,84.5328572591146,80.3673807779948,95.0218999335106,89.5919616699219,84.3277775691106,9.85184733072917,-6.49849383036296,7.42837914000166,-0.177341103553772,-0.456588635077843,6.0013788011339,-9.0749880472819,9.83696081283245,4.07330017089844,-1.11663855039156,0.596259258687496,-0.803177427500486,1.59947394579649,0.520366497337818,-0.904157541692257,3.31255143715276,-6.69314522917072,3.40313605488615,5.20366497337818,-6.95505801301736,0.29411765,0.6122449,0.45,0.53333333,0.83333333,0.73333333,0.49,13,86.6244608561198,13.8866170247396,1,0.07692308,102.678,2,0.15384615,"2024-09-11",0
"Cole Ragans",21846,"2024-09-06","MIN",7,2024,"KCR","H",26,1,0,0,1,1,1,0,0,0,0,0,6,22,4,0,0,0,1,0,0,0,0,7,10.5,1.5,6,7,0,0,4,9,1,0,0,0,0,0.31818182,0.04545455,0.27272727,3.13371875079118,0,0.19047619047619,0.833333333333333,0.285714285714286,1,1.33314644495646,-1.33314644495646,3.60115905428926,0,31.2970369034715,87.7426159842498,0.444444444,0.071428571,0.285714285,0.642857142,0,0,4,6,32,63,95,0.318887948989868,-0.072843998670578,0.391731947660446,3.20440006256104,0.313695549964905,0.771981835365295,0.955166697502136,0.870000004768372,0.627199947834015,1,1,0.336024224758148,0.0770527861004985,0,0,0.50526316,95.22916667,0.12631579,83.91666667,0.05263158,90.2,0.18947368,81.05555556,0.12631579,84.5,NA,0.442137897014618,0.619125366210938,0.24903005361557,0.395617008209229,0.062962532043457,0.921120618780454,5.15937805175781,4.9806010723114,2.19787226782905,0.524687767028809,0.36842105,0.65789474,0.48421053,0.76190476,0.84,0.80434783,0.4,0.54545455,0.09473684,5,5,4,2,8,4,14,0.35714286,0.35714286,0.28571429,0.14285714,0.57142857,0.28571429,0.547847985060322,72,69.64194,64.65227,61.66539,69.0025,66.99074,52.42108,61.9092,51.33486,67.20013,66.45302,44.96658,65.04237,29.70179,52.89989,35.72077,68.73739,59.55354,58.73506,-1.03867,2.51909,124.42,100.62,119.3,115.52,110.14,129.88,114.78,112.5,119.78,110.8,143.88,139.62,88.56,107.22,108.64,113.908631578947,114.384421052632,126.805684210526,0.50526316,0.05263158,0.12631579,0.18947368,0.12631579,95.1895853678385,90.1,83.8666687011719,80.9055582682292,84.4583333333333,7.87351417541504,1.07880716323853,-0.261297881603241,-5.86501354641385,10.0023473103841,10.5703341166178,6.13933868408203,-1.17657049496969,-7.12891303168403,7.10588773091634,0.422791246324778,0.251706298440695,0.626447509974241,0.397592268884182,0.0643418803811073,0.880815096509953,5.0341259688139,5.22039591645201,2.20884593824546,0.536182336509228,0.28301887,0.73809524,0.48421053,0.73333333,0.83870968,0.80434783,0.44210526,18.23287671,0.12631579,0.18947368,0.50526316,0.05263158,0.12631579,84.3089752197266,80.7564968532986,95.0455017089844,89.9310180664063,83.6893259684245,10.0852254231771,-6.43291558159722,7.74587376912435,0.652665615081787,-0.611039757728577,5.56654167175293,-9.27267032199436,9.38453356424967,4.92898216247559,-2.72894605000814,0.0643418803811073,0.397592268884182,0.422791246324778,0.251706298440695,0.626447509974241,0.536182336509228,2.20884593824546,0.880815096509953,5.0341259688139,5.22039591645201,0.28301887,0.73809524,0.48421053,0.8,0.80645161,0.80434783,0.44210526,14,89.3421456473214,23.6750030517578,0,0,105.568,4,0.28571429,"2024-09-06",0
"Cole Ragans",21846,"2024-08-31","@HOU",7,2024,"KCR","A",26,0,1,9,1,1,0,0,0,0,0,0,5,22,4,5,5,0,2,0,1,0,0,10,18,3.6,7.2,5,0,0,2,6,1,0,0,0,0,0.45454545,0.09090909,0.36363636,2.14531585480639,0,0.210526315789474,1.2,0.444444444444444,0.28571429,0.966479778289795,8.03352022171021,2.78088986575604,214.004283478709,22.1819418280849,67.3363121628738,0.333333333,0.111111111,0.222222222,0.666666666,0,0,0,0,26,67,93,-0.125862032175064,-0.462401956319809,0.336539924144745,-2.52800011634827,-0.267938524484634,1.08648693561554,1.05596661567688,0.870000004768372,0.165800005197525,1,1,0.043286208063364,-0.159129324118651,0,0,0.3655914,95.67647059,0.15053763,84.57142857,0.08602151,89.875,0.19354839,80,0.20430108,84.42105263,NA,1.64140903949738,0.320327997207642,-0.279592931270599,-0.939824163913727,-0.200704663991928,4.82767364558052,2.28805712291173,-3.49491164088249,-5.22124535507626,-1.05634033679962,0.42,0.69767442,0.5483871,0.42857143,0.73333333,0.60784314,0.46236559,0.68181818,0.21505376,4,4,1,1,6,2,9,0.44444444,0.44444444,0.11111111,0.11111111,0.66666667,0.22222222,0.884418319790307,52,64.68263,79.12668,51.98407,78.00758,72.83728,64.25361,59.8262,65.00296,56.42665,64.67378,46.2721,63.8943,72.56778,60.08222,68.90512,72.81125,69.83349,63.02326,-1.29177,2.13944,124.32,92.56,122.14,122.04,113.92,133.18,127.7,114.2,128.08,107.82,122,120.28,97.06,105.48,117.88,118.417826086957,110.398260869565,126.269565217391,0.3655914,0.08602151,0.15053763,0.19354839,0.20430108,95.5970602596507,89.7874984741211,84.528573172433,79.9444444444444,84.3421052631579,8.04944924747243,-0.231238096952438,-0.172834328242711,-6.55773883395725,10.040691978053,11.6157962574678,6.27619028091431,0.389789342880249,-7.62151167127821,7.99747667814556,1.70180244743824,-0.28516461327672,0.310831692069769,-0.947471752762794,-0.213571757078171,5.00530131599482,-3.564557665959,2.22022637192692,-5.2637319597933,-1.12406187935879,0.41025641,0.64814815,0.5483871,0.375,0.71428571,0.60784314,0.58064516,17.95714286,0.20430108,0.19354839,0.3655914,0.08602151,0.15053763,84.5687962582237,80.1627332899306,95.841215245864,89.9855880737305,84.7283935546875,9.85212627210115,-6.77182769775391,7.831226124483,-0.573970139026642,-0.415235315050398,6.0620904219778,-9.44775814480252,10.0671736773323,4.79110145568848,-1.16524274008615,-0.213571757078171,-0.947471752762794,1.70180244743824,-0.28516461327672,0.310831692069769,-1.12406187935879,-5.2637319597933,5.00530131599482,-3.564557665959,2.22022637192692,0.42105263,0.63636364,0.5483871,0.375,0.71428571,0.60784314,0.59139785,9,89.0707397460938,19.2645314534505,1,0.11111111,103.061,4,0.44444444,"2024-08-31",0
"Cole Ragans",21846,"2024-08-26","@CLE",7,2024,"KCR","A",26,0,0,2.25,1,1,0,0,0,0,0,0,4,20,3,2,1,0,4,0,1,0,0,4,9,9,6.75,1,0,0,4,6,1,0,0,0,0,0.2,0.2,0,6.32798908401489,0,0.2,1.75,0.272727272727273,0.75,4.9164797782898,-2.6664797782898,7.1844923876226,53.5010708696772,120.376375140204,176.887240353256,0.666666666,0.09090909,0.363636363,0.545454545,0,0,3,6.75,44,50,94,-0.0808359682559967,-0.425643920898438,0.344807952642441,-0.448000013828278,-0.0472573861479759,1.22989094257355,0.987839996814728,0.870000004768372,2.24959993362427,1,1,0.00799686834216118,-0.0737229953163524,0,0,0.40425532,93.84210526,0.20212766,83.68421053,0.08510638,89.75,0.13829787,80,0.17021277,83.6875,NA,-1.18324518203735,1.11131620407104,-0.0314991250634193,0.275510489940643,-0.0808617025613785,-3.11380311062461,5.8490326530055,-0.393739063292742,2.11931146108187,-0.505385641008615,0.21538462,0.68965517,0.36170213,0.78571429,0.95,0.88235294,0.30851064,0.4,0.04255319,5,2,4,1,6,4,11,0.45454545,0.18181818,0.36363636,0.09090909,0.54545455,0.36363636,4.18172363485039,47,43.43688,59.36622,32.68315,20.24347,54.47795,20,59.12254,65.99819,67.33876,33.24271,41.58182,32.68931,20,46.74548,20,26.62641,56.18072,20,1.57753,6.44339,108.78,58.14,75.74,97.92,50.9,53.04,112.36,119.82,131.22,99,93.76,91.14,83.92,39.42,41.92,101.760638297872,71.0904255319149,77.2704255319149,0.39361702,0.08510638,0.20212766,0.13829787,0.18085106,93.9513500316723,89.875,83.6052631578947,79.969228891226,83.8823529411765,7.47215559675887,0.96760219335556,0.427172861601177,-4.80085020798903,9.30818535299862,10.2696995090794,6.7670431137085,-0.148136477721365,-6.76824716421274,6.5845022762523,-1.08980599790812,0.00637296959757805,1.12451112642884,0.277291517704725,-0.21059950068593,-2.94542161596788,0.0796621199697256,5.91847961278338,2.13301167465173,-1.23882059227018,0.14814815,0.65,0.36170213,1,0.88461538,0.91176471,0.42553191,17.25,0.18085106,0.13829787,0.39361702,0.08510638,0.20212766,84.419677734375,80.5199256310096,94.5210884712838,90.3981475830078,84.1299663342928,8.84922521254596,-5.52404433030349,6.79614546492293,0.115817606449127,-0.319880585921438,5.32765467026654,-8.01418245755709,9.07669892182221,5.70371389389038,-1.16745848404734,-0.21059950068593,0.277291517704725,-1.08980599790812,0.00637296959757805,1.12451112642884,-1.23882059227018,2.13301167465173,-2.94542161596788,0.0796621199697256,5.91847961278338,0.16,0.59090909,0.36170213,0.875,0.92307692,0.91176471,0.46808511,11,88.5582275390625,20.7637287486683,0,0,101.029,3,0.27272727,"2024-08-26",1
"Cole Ragans",21846,"2024-08-20","LAA",7,2024,"KCR","H",26,0,1,7.2,1,1,0,0,0,0,0,0,5,22,3,5,4,1,3,0,1,0,0,9,16.2,5.4,5.4,3,0,0,5,4,0,1,0,0,0,0.40909091,0.13636364,0.27272727,3.01756172428388,1.8,0.166666666666667,1.2,0.25,0.35714286,4.56647977828979,2.63352022171021,3.17608650326729,171.203426782967,111.675602568244,77.1678440148277,1.25,0,0.555555555,0.444444444,0.25,0.25,2,3.6,37,60,97,-0.206673994660378,-0.599972009658813,0.393298000097275,-1.33760011196136,-0.130944684147835,1.08762609958649,1.06666672229767,0.870000004768372,1.83759999275208,1,1,-0.116504356265068,-0.0735186624349747,0,0,0.49484536,95.20833333,0.11340206,85.18181818,0.07216495,88.85714286,0.07216495,81.28571429,0.24742268,83.33333333,NA,-1.06807374954224,0.155905157327652,0.556916236877441,-0.0325169041752815,-0.378690361976624,-2.22515364487966,1.41731961206956,7.95594624110631,-0.464527202504022,-1.57787650823593,0.30508475,0.71052632,0.46391753,0.61111111,0.62962963,0.62222222,0.39175258,0.5,0.17525773,5,2,2,2,4,3,9,0.55555556,0.22222222,0.22222222,0.22222222,0.44444444,0.33333333,3.28851270951232,45,75.49558,68.84537,62.25789,68.541,57.27358,58.10421,52.74312,62.63824,48.17799,25.7801,51.49505,20,36.20316,64.12597,36.04125,65.6727,61.8844,52.64988,-0.84828,2.80467,120.38,101,133.46,115.04,119.98,130.9,121.42,115.76,122.84,100.94,61.86,62.74,95.58,67.34,78.34,114.662886597938,106.812371134021,121.907628865979,0.49484536,0.08247423,0.10309278,0.07216495,0.24742268,95.1937459309896,88.5749969482422,85.1700012207031,81.2142857142857,83.3958333333333,7.40401903788249,0.3329216837883,0.319944024085999,-6.31812340872628,9.96567598978678,10.3357537587484,4.25353717803955,-1.07674331665039,-7.54794584001814,7.62792205810547,-1.08543043583632,0.615026336163282,0.0943465754389763,-0.0345365777611732,-0.385487958788872,-2.26131340799232,7.68782920204103,0.943465754389763,-0.493379682302475,-1.60619982828697,0.25531915,0.64,0.45360825,0.5,0.6875,0.63636364,0.51546392,18.7027027,0.24742268,0.07216495,0.49484536,0.08247423,0.10309278,83.6809285481771,81.4979596819196,95.4992167154948,88.8648147583008,85.4563110351562,9.65436617533366,-6.95350156511579,7.09188079833984,-0.25868022441864,-0.188471031188965,6.2201410929362,-9.32286398751395,9.25621668497721,3.08792877197266,-2.57195739746094,-0.385487958788872,-0.0345365777611732,-1.08543043583632,0.615026336163282,0.0943465754389763,-1.60619982828697,-0.493379682302475,-2.26131340799232,7.68782920204103,0.943465754389763,0.28571429,0.64583333,0.46391753,0.42857143,0.70967742,0.62222222,0.49484536,9,84.614739312066,13.3813798692491,1,0.11111111,104.014,3,0.33333333,"2024-08-20",0
"Cole Ragans",21846,"2024-08-14","@MIN",7,2024,"KCR","A",26,1,0,1.28571428571429,1,1,1,0,0,0,0,0,7,26,5,1,1,1,0,0,0,0,0,8,10.2857142857143,0,6.42857142857143,8,0.142857142,0,7,7,4,1,1,0,0,0.30769231,0,0.30769231,2.49285335121663,1.28571428571429,0.192307692307692,0.714285714285714,0.235294117647059,1,2.73790834971837,-1.45219406400408,2.39277389879738,30.5720404969584,66.2185050494331,57.6809301853454,1,0.222222222,0.388888888,0.388888888,0.142857142,0.142857142,4,5.14285714285714,39,67,106,0.299552023410797,-0.261224001646042,0.560776054859161,2.38800001144409,0.250314474105835,1.08364617824554,1.11582863330841,0.870000004768372,1.01919996738434,1,1,0.148820027709007,0.127609705006685,0,0,0.50943396,95.42592593,0.10377358,85.18181818,0.08490566,90.22222222,0.11320755,80.16666667,0.18867925,84.4,NA,2.67922568321228,-0.443013250827789,-0.657181620597839,0.460361450910568,-0.400180399417877,4.9615290429857,-4.02739318934354,-7.30201800664266,3.83634542425474,-2.00090199708939,0.31746032,0.74418605,0.49056604,0.55,0.78125,0.69230769,0.40566038,0.46153846,0.1509434,6,6,6,3,10,5,18,0.33333333,0.33333333,0.33333333,0.16666667,0.55555556,0.27777778,3.14749204452388,70,55.58142,63.39301,41.75955,69.11541,61.06676,61.12465,69.81342,64.67749,70.68248,59.8784,47.05973,65.98142,20,59.96461,20,60.40593,60.51754,52.80259,-0.52107,3.29549,120.82,93.18,113.44,103.48,123.22,132.62,120.8,126.14,137,83.58,131.2,113.28,91.46,44.16,46.88,105.275660377358,112.045849056604,119.98641509434,0.50943396,0.08490566,0.10377358,0.11320755,0.18867925,95.3074092158565,90.2222222222222,85.1454523259943,80.1499989827474,84.3450012207031,7.23992637351707,0.313534869088067,-0.0734816139394587,-6.20099449157715,9.35091857910156,10.3989585593895,6.18526034884983,-0.177718877792358,-6.1186580657959,6.42055130004883,2.69626742973924,-0.667601104825735,-0.410346645861864,0.46628749370575,-0.390826061367989,4.99308783285044,-7.41779005361928,-3.73042405328967,3.88572911421458,-1.95413030683994,0.32692308,0.64814815,0.49056604,0.52941176,0.77142857,0.69230769,0.50943396,17.825,0.18867925,0.11320755,0.50943396,0.08490566,0.10377358,84.288720703125,80.0856068929036,95.2649920428241,90.157958984375,85.0751786665483,9.33717346191406,-6.89446258544922,6.97546725802951,-0.389967150158352,-0.608987634832209,5.21037940979004,-7.81598663330078,9.38057341399016,5.23117446899414,-1.56688395413485,-0.390826061367989,0.46628749370575,2.69626742973924,-0.667601104825735,-0.410346645861864,-1.95413030683994,3.88572911421458,4.99308783285044,-7.41779005361928,-3.73042405328967,0.33333333,0.63636364,0.49056604,0.52941176,0.77142857,0.69230769,0.51886792,18,89.3230387369792,16.7043236626519,1,0.05555556,108.047,6,0.33333333,"2024-08-14",0
"Cole Ragans",21846,"2024-08-07","BOS",7,2024,"KCR","H",26,1,0,1.42105270290639,1,1,1,0,0,0,0,0,6.1,27,6,4,1,2,2,0,0,0,0,7,9.94736892034475,2.84210540581279,8.52631621743836,3.5,0.125,0,8,5,5,0,1,0,0,0.25925926,0.07407407,0.18518519,3.56488546465148,2.84210540581279,0.24,1.26315795813902,0.25,0.76923077,6.00858518410258,-4.58753248119619,3.09701272708343,33.7901517189961,147.525405884733,75.2006806449629,1.6,0.277777777,0.444444444,0.277777777,0,0.4,8,11.3684216232511,38,68,106,-0.158237963914871,-0.633755922317505,0.475517958402634,-1.20860004425049,-0.11831621080637,0.981733322143555,0.889342844486237,0.870000004768372,1.53339993953705,1,1,-0.0670906454324722,-0.0940915823128062,0,0,0.33018868,94.6,0.16037736,86.17647059,0.16037736,89.70588235,0.10377358,80.90909091,0.24528302,83.61538462,NA,-2.1940746307373,1.19156718254089,-1.80025851726532,0.187958300113678,1.43979263305664,-6.26878465924944,7.00921872082879,-10.5897559839136,1.70871181921525,5.53766397329477,0.33333333,0.71428571,0.50943396,0.52631579,0.77142857,0.68518519,0.46226415,0.59259259,0.16037736,11,2,5,2,7,9,18,0.61111111,0.11111111,0.27777778,0.11111111,0.38888889,0.5,7.61033429484515,44,72.72091,66.78103,67.10971,59.80545,56.61729,54.5239,62.31374,69.1937,56.94997,53.56559,45.50986,55.52054,51.55506,54.269,54.1236,63.59567,62.46257,60.30188,-0.71924,2.99823,123.7,106.84,130.84,99.28,100.52,105.82,125.06,105.12,117.52,100.38,111.02,110.16,89.48,105.34,98.66,107.94679245283,104.670566037736,113.135471698113,0.33018868,0.16037736,0.16037736,0.10377358,0.24528302,94.5542829241071,89.6588206571691,86.0588235294118,80.7454556551847,83.5923039362981,7.41841343470982,0.730140910429113,0.327811185051413,-4.72730497880416,9.39634469839243,10.2887215750558,5.78528191061581,0.638762754552505,-6.94565651633523,7.77797405536358,-2.16987679153681,-0.732548784464598,1.20842577144504,0.188823774456978,1.44574769213796,-6.19964797581945,-4.30911049685057,7.10838689085315,1.71657976779071,5.56056804668445,0.33333333,0.67272727,0.50943396,0.52941176,0.75675676,0.68518519,0.51886792,18.97402597,0.24528302,0.10377358,0.33018868,0.16037736,0.16037736,83.8826904296875,81.0297907049006,94.8725446428571,89.9400634765625,86.3384219898897,9.14720916748047,-5.37016365744851,7.08747253417969,0.212445483488195,-0.236086340511546,6.40006138728215,-8.77663352272727,9.22135532924107,4.7725533878102,-0.585881064919864,1.44574769213796,0.188823774456978,-2.16987679153681,-0.732548784464598,1.20842577144504,5.56056804668445,1.71657976779071,-6.19964797581945,-4.30911049685057,7.10838689085315,0.33962264,0.67924528,0.50943396,0.55555556,0.75,0.68518519,0.5,18,85.8937174479167,3.8013072543674,2,0.11111111,107.211,6,0.33333333,"2024-08-07",0
