"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","CB%","CBv","SF%","SFv","XX%","wFB","wCB","wSF","wFB/C","wCB/C","wSF/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_FS","pb_s_FS","pb_c_FS","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_FS","sp_l_FS","sp_p_FS","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFS%","pfxCU%","pfxvFA","pfxvFS","pfxvCU","pfxFA-X","pfxFS-X","pfxCU-X","pfxFA-Z","pfxFS-Z","pfxCU-Z","pfxwFA","pfxwFS","pfxwCU","pfxwFA/C","pfxwFS/C","pfxwCU/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCU%","piFA%","piFS%","pivCU","pivFA","pivFS","piCU-X","piFA-X","piFS-X","piCU-Z","piFA-Z","piFS-Z","piwCU","piwFA","piwFS","piwCU/C","piwFA/C","piwFS/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"David Bednar",19569,"2024-09-28","@NYY",27,2024,"PIT","A",29,0,0,0,1,0,0,0,0,0,0,0,0.2,4,0,0,0,0,1,0,0,0,0,2,27.000028163224,13.500014081612,0,2,0,0,1,0,0,0,0,0,0,0.5,0.25,0.25,3.84572908401489,0,0,1.50000156462356,0,1,1.66647821366624,-1.66647821366624,1.66647821366624,0,41.9998072893296,42.0611351806182,1,0,1,0,0,0,0,0,7,11,18,0.0214879997074604,-0.0717000067234039,0.093188002705574,-0.100000023841858,-0.0103842206299305,1.55320000648499,0.596199989318848,1.1923999786377,0.677200019359589,1,1,-0.0101581402122974,0.0239928038858378,0,0,0.66666667,97.66666667,0.05555556,76,0.27777778,92,NA,-0.553903937339783,-0.0344077162444592,0.0724079012870789,-4.61586614449819,-3.44077162444592,1.44815802574158,0.2,0.875,0.5,0,0.57142857,0.44444444,0.44444444,0.75,0.27777778,0,1,0,0,0,1,1,0,1,0,0,0,1,1.55966538098546,20,39.16903,20,56.85673,80,24.5487,23.54946,60.51719,20,37.43748,76.28275,20,0.90587,5.4359,93.72,13.94,12.28,129.36,91.48,122.72,107.36,47.46,49.36,121.268888888889,74.9444444444444,96.2066666666666,0.66666667,0.27777778,0.05555556,97.6833292643229,91.9599975585938,75.5999984741211,-6.1568857828776,-5.3425479888916,4.82689142227173,11.6762275695801,3.07811737060547,-6.48007583618164,0.512749373912811,0.0716203711926937,-0.0350487045943737,4.27291144927343,1.43240742385387,-3.50487045943737,0.22222222,0.77777778,0.5,0,0.57142857,0.44444444,0.5,19.5,0.05555556,0.66666667,0.27777778,75.4495010375977,97.5928853352865,91.8604614257813,4.95374011993408,-5.687074025472,-4.77828826904297,-7.56518983840942,10.8369903564453,1.86534595489502,-0.0350487045943737,0.512749373912811,0.0716203711926937,-3.50487045943737,4.27291144927343,1.43240742385387,0.2,0.875,0.5,0,0.57142857,0.44444444,0.44444444,1,111.143600463867,-14.2007141113281,0,0,111.144,1,1,"2024-09-28",0
"David Bednar",19569,"2024-09-26","MIL",27,2024,"PIT","H",29,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,0,3,0,1,0,0,0,0.25,0,0.25,6.25129158401489,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,5.70250499695539,0,29.9346008508647,139.594642850558,0,0,0,1,0.333333333,0,2,18,2,10,12,0.00702200084924698,-0.00440400000661612,0.0114260008558631,0.521000027656555,0.0519182868301868,0.141400009393692,0.111400000751019,0.111400000751019,0.275200009346008,1,1,0.0367954708635807,0.0128650693256071,0,0,0.41666667,98.4,0.16666667,75.5,0.41666667,91.4,NA,-0.0591371543705463,0.288738936185837,0.0724043697118759,-1.18274308741093,14.4369468092918,1.44808739423752,0.33333333,0.83333333,0.58333333,1,0.6,0.71428571,0.5,1,0.16666667,0,1,2,1,2,0,3,0,0.33333333,0.66666667,0.33333333,0.66666667,0,-0.990480486520893,80,33.67947,80,35.53196,58.60425,21.47239,61.35948,50.93071,63.8537,57.38512,50.29628,56.77124,-0.3334,3.57699,86.62,184.68,174.92,123.32,87.02,91.62,102.24,96.6,96.64,108.42,107.288333333333,107.595,0.41666667,0.41666667,0.16666667,98.2399963378906,91.4599975585938,75.3000030517578,-4.70461006164551,-3.33810195922852,5.7422981262207,10.3125625610352,2.94014167785645,-2.69482278823853,-0.0616816096007824,0.0730913765728474,0.334340363740921,-1.23363219201565,1.46182753145695,16.7170181870461,0.4,0.71428571,0.58333333,1,0.6,0.71428571,0.58333333,20.875,0.16666667,0.41666667,0.41666667,75.0875549316406,98.0624633789062,91.2313415527344,6.44529485702515,-4.30139617919922,-2.76156234741211,-3.9599449634552,9.37358779907226,1.95015201568604,0.334340363740921,-0.0616816096007824,0.0730913765728474,16.7170181870461,-1.23363219201565,1.46182753145695,0.4,0.71428571,0.58333333,1,0.6,0.71428571,0.58333333,3,88.2320760091146,44.49853515625,0,0,95.7591,1,0.33333333,"2024-09-26",0
"David Bednar",19569,"2024-09-24","MIL",27,2024,"PIT","H",29,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,13.2527290840149,0,0,0,0,1,3.1664797782898,-3.1664797782898,7.70250499695539,0,78.1955776252467,187.926090042024,0,0,0,1,0.333333333,0,0,0,3,7,10,0.00169000006280839,0,0.00169000006280839,0.521000027656555,0.0519182868301868,0.0225333329290152,0.0237999986857176,0.0237999986857176,NA,0,1,0.074505053460598,0.000494950672490432,0,0,0.6,97.33333333,NA,NA,0.4,92.5,NA,0.680048704147339,NA,0.0694210156798363,11.3341450691223,NA,1.73552539199591,0.5,1,0.7,0.66666667,0.5,0.57142857,0.4,0.33333333,0.3,1,1,1,1,2,0,3,0.33333333,0.33333333,0.33333333,0.33333333,0.66666667,0,-0.299257203629213,NA,NA,NA,38.95098,65.47403,20,70.52984,42.12814,80,48.31872,55.63783,42.45077,0.22986,4.42188,NA,NA,NA,105.56,70.28,77.82,91.78,141.18,126.58,100.048,98.64,97.324,0.6,0.4,NA,97.25,92.2249984741211,NA,-5.04188855489095,-3.83366131782532,NA,10.878838857015,4.45981788635254,NA,0.68823166936636,0.0700617581605911,NA,11.4705278227727,1.75154395401478,NA,0.5,1,0.7,0.66666667,0.5,0.57142857,0.4,17.71428571,NA,0.6,0.4,NA,97.0435994466146,91.9682464599609,NA,-4.62843322753906,-3.26694130897522,NA,9.97891807556152,3.25571250915527,NA,0.68823166936636,0.0700617581605911,NA,11.4705278227727,1.75154395401478,0.57142857,1,0.7,0.75,0.33333333,0.57142857,0.3,3,87.8587137858073,49.3689524332682,0,0,90.8143,0,0,"2024-09-24",0
"David Bednar",19569,"2024-09-21","@CIN",27,2024,"PIT","A",29,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,3,0,1,0,0,0,0,0.25,-0.25,13.4148540840149,0,0,1,0,1,6.1664797782898,-6.1664797782898,10.7025049969554,0,150.58704278682,260.423260829222,0,0,0,1,0.333333333,0,0,0,9,12,21,0.00102998618967831,-0.000299990177154541,0.00132997636683285,0.560999989509583,0.0530496463179588,0.0152499992400408,0.0209999997168779,0.0209999997168779,0,1,1,0.0554974488914013,0.0120426324860426,0,0,0.61904762,96.92307692,0.0952381,75.5,0.28571429,91.16666667,NA,0.191235855221748,0.0151102766394615,0.22919750213623,1.47104504016729,0.755513831973076,3.81995836893717,0.35714286,1,0.57142857,1,1,1,0.33333333,1,0,2,1,0,1,1,1,3,0.66666667,0.33333333,0,0.33333333,0.33333333,0.33333333,3.00289630210935,45.24279,42.9028,41.96287,34.97368,49.70286,24.09242,64.16111,43.11706,72.13304,39.16028,43.19661,35.30886,0.79884,5.27535,90.8,103.76,99.34,104.18,67.1,62.6,88.14,135.74,123.62,98.3228571428571,90.2028571428571,83.5333333333333,0.61904762,0.28571429,0.0952381,96.7153883713942,91.1166687011719,75.0999984741211,-5.10418877234826,-6.07889366149902,3.79764318466187,10.2467158390925,3.59599526723226,-4.67485189437866,0.232205905020237,0.231182310730219,0.0151214338839054,1.78619926938644,3.85303851217031,0.756071694195271,0.33333333,0.88888889,0.57142857,1,1,1,0.42857143,21.0625,0.0952381,0.61904762,0.28571429,75.4417495727539,97.0770827073317,91.469980875651,4.17651987075806,-4.61748915452224,-5.54155985514323,-5.79962539672852,9.35394697922927,2.29745006561279,0.0151214338839054,0.232205905020237,0.231182310730219,0.756071694195271,1.78619926938644,3.85303851217031,0.30769231,1,0.57142857,1,1,1,0.38095238,3,92.0647379557292,43.0143839518229,0,0,100.805,1,0.33333333,"2024-09-21",0
"David Bednar",19569,"2024-09-18","@STL",27,2024,"PIT","A",29,0,1,54.0000563264481,1,0,0,0,0,0,0,1,0.1,4,1,3,2,1,1,0,0,0,0,0,0,27.000028163224,27.000028163224,0,0.5,0,2,1,0,0,1,0,0,0,0.25,-0.25,9.17835408401489,27.000028163224,0.333333333333333,6.00000625849423,0,-1.66666667,51.1665298462436,2.83352648020443,16.7025191161447,1279.16496097058,1236.46022837459,405.417943604044,2,0,0.666666666,0.333333333,0,1,0,0,6,9,15,-0.291552007198334,-0.329476028680801,0.0379240028560162,-1.39999997615814,-0.147679328918457,1.64139997959137,1.9099999666214,1.9099999666214,3.14520001411438,1,1,-0.160100892186165,-0.0175230939375076,0,1,0.53333333,96.75,0.13333333,75,0.33333333,91.6,NA,-0.0987728834152222,-1.44932198524475,-0.400818675756454,-1.23466104269028,-72.4660992622375,-8.01637351512909,0.25,0.85714286,0.53333333,0.5,1,0.875,0.46666667,1,0.06666667,2,1,0,0,2,1,3,0.66666667,0.33333333,0,0,0.66666667,0.33333333,28.4024281806281,42.30242,38.12936,39.77047,62.61475,60.11996,50.22011,54.12762,53.51697,48.61946,55.70975,53.78168,43.60008,-0.22931,3.73313,92.88,133.04,129.46,101.7,84.4,89.48,111.86,86.66,91.32,103.910666666667,91.6386666666667,95.424,0.53333333,0.33333333,0.13333333,96.6875,91.4400024414062,75.3000030517578,-4.20207500457764,-3.08388710021973,5.8205738067627,10.7013063430786,2.62669868469238,-3.47320437431335,-0.103466857224703,-0.409061327576637,-1.45103269442916,-1.29333571530879,-8.18122655153275,-72.551634721458,0.14285714,0.875,0.53333333,1,0.85714286,0.875,0.53333333,20.45454545,0.13333333,0.53333333,0.33333333,75.6428985595703,97.098014831543,91.8132995605469,6.28360986709595,-3.75955247879028,-2.53789939880371,-4.79573011398315,9.72017288208008,1.49802103042603,-1.45103269442916,-0.103466857224703,-0.409061327576637,-72.551634721458,-1.29333571530879,-8.18122655153275,0.14285714,0.875,0.53333333,1,0.85714286,0.875,0.53333333,3,90.9153035481771,-11.5496724446615,1,0.33333333,98.0048,2,0.66666667,"2024-09-18",0
"David Bednar",19569,"2024-09-15","KCR",27,2024,"PIT","H",29,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,2,0,0,0,0,0,0,0.33333333,0,0.33333333,-0.694826464786218,0,0,0,0,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,29.9346008508647,29.9783111930123,2,0,1,0,0,0,0,0,6,8,14,0.122932001948357,0,0.122932001948357,0.521000027656555,0.0519182868301868,1.59679996967316,2.16380000114441,2.16380000114441,2.89660000801086,1,1,0.0771335661411285,-0.00014709051292626,1,0,0.28571429,97.5,0.35714286,78.2,0.35714286,91.8,NA,0.158785134553909,-0.0146674327552319,0.535047650337219,3.96962836384773,-0.293348655104637,10.7009530067444,0,0.71428571,0.35714286,NA,0.8,0.8,0.5,0.66666667,0.07142857,2,0,0,0,0,2,2,1,0,0,0,0,1,-0.22227486154869,70.6164,41.14018,80,80,50.99182,80,50.6665,46.92728,67.05718,66.51998,42.95501,77.50743,-0.90091,2.72573,111.5,133.34,127.98,136.52,141.16,152.76,103.7,96.68,99.76,115.862857142857,122.481428571429,124.981428571429,0.28571429,0.35714286,0.35714286,97.5249938964844,92.1,78.2200012207031,-6.41793870925903,-3.65243606567383,3.40161209106445,10.4692726135254,3.33235816955566,-5.76662368774414,0.160528633743525,0.542258936911821,-0.0154452435672283,4.01321584358811,10.8451787382364,-0.308904871344566,0,0.5,0.35714286,NA,0.8,0.8,0.71428571,16.54545455,0.35714286,0.28571429,0.35714286,78.1398803710938,97.4679260253906,92.0226806640625,4.35658187866211,-5.80470991134644,-2.87855987548828,-7.10092010498047,9.61062812805176,2.21547794342041,-0.0154452435672283,0.160528633743525,0.542258936911821,-0.308904871344566,4.01321584358811,10.8451787382364,0,0.45454545,0.35714286,NA,0.8,0.8,0.78571429,2,108.387573242188,4.10145854949951,0,0,109.621,2,1,"2024-09-15",0
"David Bednar",19569,"2024-09-14","KCR",27,2024,"PIT","H",29,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,3,1,0,0,0,1,9,27,0,0.33333333,0,0,1,0,0,0,0,0,0,0.2,0.6,-0.4,17.1946890840149,0,0,3,0,1,10.1664797782898,-10.1664797782898,10.1664797782898,0,247.108996335584,247.469823554607,1,0,1,0,0,0,0,0,14,10,24,0.00397999957203865,-0.00920800026506186,0.0131879989057779,0.521000027656555,0.0519182980060577,0.090999998152256,0.0637999996542931,0.0637999996542931,NA,0,1,-0.0230469517409801,0.0667832116624314,0,0,0.375,97.44444444,0.29166667,78.14285714,0.33333333,92.75,0.04166667,0.469529122114182,-0.308007270097733,0.132514223456383,5.21699024571313,-4.40010385853904,1.65642779320478,0.2,0.33333333,0.25,0.33333333,0.66666667,0.5,0.375,0.2,0.125,0,1,0,0,1,0,1,0,1,0,0,1,0,13.589954474411,26.68813,45.09292,28.51131,26.13067,60.25213,20,40.21323,56.49409,34.58979,21.33808,53.68635,20,1.90607,6.9362,77.6,38.52,37.24,101.88,62.28,65.64,108.2,90.38,98.64,96.905,64.7166666666667,68.3566666666667,0.375,0.33333333,0.29166667,97.5,92.6875,78.0428553989955,-5.38065253363715,-4.80338764190674,4.86047799246652,9.57101609971788,2.68356347084045,-6.13026537214007,0.476276304572821,0.132387522608042,-0.317033674567938,5.29195893969801,1.65484403260052,-4.52905249382768,0.08333333,0.41666667,0.25,0,0.6,0.5,0.5,17.25,0.29166667,0.375,0.33333333,78.0024152483259,97.4765353732639,92.660774230957,5.52937589372907,-4.8642955356174,-4.00368881225586,-7.15251268659319,8.79006703694662,1.51922106742859,-0.317033674567938,0.476276304572821,0.132387522608042,-4.52905249382768,5.29195893969801,1.65484403260052,0.08333333,0.41666667,0.25,0,0.6,0.5,0.5,1,82.7849044799805,-5.77994060516357,0,0,82.7849,0,0,"2024-09-14",0
"David Bednar",19569,"2024-09-11","MIA",27,2024,"PIT","H",29,0,0,13.500014081612,1,0,0,0,0,0,1,0,0.2,5,3,1,1,0,0,0,0,0,0,2,27.000028163224,0,40.5000422448361,2,0.333333333,0,3,0,0,0,1,0,0,0.4,0,0.4,-0.621910915985107,0,0.6,4.50000469387067,1,0.66666667,-2.83352648020443,16.3335405618165,-2.83352648020443,319.791240242646,-66.5875037184216,-66.6847344309602,3,0,1,0,0,0,0,0,2,12,14,-0.039848018437624,-0.156994014978409,0.117145992815495,-0.927999973297119,-0.0924763232469559,1.73756003379822,0.776600003242493,0.776600003242493,2.87660002708435,1,1,-0.0909020975232124,0.0679687785802587,0,0,0.5,98.42857143,0.28571429,78,0.21428571,92.33333333,NA,-0.0616467781364918,-0.619322836399078,-0.472434312105179,-0.88066825909274,-15.483070909977,-15.747810403506,0.42857143,1,0.71428571,0.66666667,0.71428571,0.7,0.5,0.8,0.21428571,2,1,0,0,2,1,3,0.66666667,0.33333333,0,0,0.66666667,0.33333333,-0.52016551146336,45.69625,44.94155,46.32445,80,61.73181,79.5591,39.15135,43.20242,41.87874,68.89215,49.23941,60.6764,-1.04829,2.50466,102,111.94,107.4,112.56,144.62,155.9,86.58,86.22,79.8,103.975714285714,122.768571428571,125.735714285714,0.5,0.21428571,0.28571429,98.4142892020089,92.5999959309896,77.9250030517578,-5.08965410505022,-3.46950721740723,4.23794269561768,9.96349988664899,3.68209648132324,-5.69343090057373,-0.0638454779982567,-0.480167672038078,-0.625500839203596,-0.912078257117953,-16.0055890679359,-15.6375209800899,0.57142857,0.85714286,0.71428571,0.75,0.66666667,0.7,0.5,23.44444444,0.28571429,0.5,0.21428571,77.7742767333984,98.2956019810268,92.4649658203125,4.72223472595215,-4.66163144792829,-2.97175661722819,-7.08536243438721,9.04687282017299,2.49842675526937,-0.625500839203596,-0.0638454779982567,-0.480167672038078,-15.6375209800899,-0.912078257117953,-16.0055890679359,0.57142857,0.85714286,0.71428571,0.75,0.66666667,0.7,0.5,3,98.8763326009115,-1.07554602622986,0,0,111.32,1,0.33333333,"2024-09-11",0
"David Bednar",19569,"2024-09-10","MIA",27,2024,"PIT","H",29,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,0,1,0,0,0,0,0.33333333,0,0.33333333,1.13839575453556,0,0,0,0,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,29.9346008508647,29.9783111930123,1,0.5,0.5,0,0,0,0,0,5,7,12,0.048552006483078,0,0.048552006483078,0.521000027656555,0.0519182868301868,0.62773334980011,0.942800045013428,0.942800045013428,0.906599998474121,1,1,0.0773003399372101,4.46131364771757e-05,0,0,0.33333333,96.75,0.41666667,76.6,0.25,90.66666667,NA,0.220624476671219,0.426314324140549,0.0812822282314301,5.51561191678047,8.52628648281097,2.70940760771434,0.16666667,0.5,0.33333333,1,0.66666667,0.75,0.5,0.33333333,0.08333333,1,0,1,0,1,1,2,0.5,0,0.5,0,0.5,0.5,3.92220924356601,70.83484,44.68789,60.05718,44.8086,63.93118,35.71946,64.52532,58.4117,38.22116,58.1237,52.31424,39.54469,-0.37928,3.50817,78.08,189.26,187.2,92.32,88.16,93.86,118.74,89.82,112.74,92.9916666666667,130.7,137.471666666667,0.33333333,0.25,0.41666667,96.8000030517578,90.8666687011719,76.5799987792969,-4.46046829223633,-1.89735158284505,4.94910354614258,10.2110996246338,2.4518092473348,-5.69699249267578,0.26476738974452,0.0810368880629539,0.433130968362093,6.619184743613,2.70122960209846,8.66261936724186,0.16666667,0.5,0.33333333,1,0.66666667,0.75,0.5,17.33333333,0.41666667,0.33333333,0.25,76.5186401367187,96.7697448730469,90.8057963053385,5.42192993164062,-4.09126996994019,-1.45788129170736,-7.12640762329102,9.4330005645752,1.18128800392151,0.433130968362093,0.26476738974452,0.0810368880629539,8.66261936724186,6.619184743613,2.70122960209846,0.16666667,0.5,0.33333333,1,0.66666667,0.75,0.5,2,81.994499206543,-0.368270874023438,0,0,94.5856,0,0,"2024-09-10",0
"David Bednar",19569,"2024-09-07","WSN",27,2024,"PIT","H",29,0,0,9,1,0,0,0,0,0,0,0,1,6,0,1,1,0,3,1,0,0,0,0,0,27,0,0,0,0,0,2,0,0,0,1,0,0,0.5,-0.5,17.2317290829132,0,0,3,0,0.66666667,12.1664797782898,-3.16647977828979,15.1904965907335,213.193937782926,295.369973109966,368.878825184436,0,0,0,1,0,0,1,9,14,11,25,-0.0333079993724823,-0.0570759996771812,0.0237680003046989,-0.479000002145767,-0.0477329343557358,0.415724992752075,0.308999985456467,0.308999985456467,NA,0,1,-0.0691202953457832,-0.0109999763559138,0,0,0.48,97.16666667,0.24,76.66666667,0.28,92,0.08,-0.236873909831047,-0.128802567720413,0.183921277523041,-1.97394924859206,-2.14670946200689,2.62744682175773,0.14285714,0.45454545,0.28,0.5,0.8,0.71428571,0.44,0.16666667,0.08,1,1,1,0,1,2,3,0.33333333,0.33333333,0.33333333,0,0.33333333,0.66666667,10.9650785724798,25.12428,43.48209,20,31.17082,60.63139,20,53.56842,53.84906,52.71598,28.2152,52.61437,20,1.47882,6.29532,81.86,69.54,59.82,100.98,83.94,89.46,98.14,101.84,100.64,95.596,85.496,85.4768,0.48,0.28,0.24,97.0833333333333,91.7857142857143,76.6500040690104,-5.43861834208171,-5.76215362548828,4.26429494222005,9.92275174458822,2.9882275717599,-5.69259325663249,-0.245180580765009,0.184708148241043,-0.126441285014153,-2.04317150637507,2.6386878320149,-2.10735475023588,0.16666667,0.38461538,0.28,0.5,0.8,0.71428571,0.52,18.94736842,0.24,0.48,0.28,76.5957997639974,97.0466003417969,91.7330845424107,4.76905314127604,-4.93854522705078,-5.25350461687361,-6.96589152018229,8.95457331339518,1.65530627114432,-0.126441285014153,-0.245180580765009,0.184708148241043,-2.10735475023588,-2.04317150637507,2.6386878320149,0.16666667,0.38461538,0.28,0.5,0.8,0.71428571,0.52,3,100.007110595703,37.324893951416,0,0,102.215,2,0.66666667,"2024-09-07",1
