"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","wFB","wSL","wCB","wFB/C","wSL/C","wCB/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxSL%","pfxCU%","pfxvFA","pfxvSI","pfxvSL","pfxvCU","pfxFA-X","pfxSI-X","pfxSL-X","pfxCU-X","pfxFA-Z","pfxSI-Z","pfxSL-Z","pfxCU-Z","pfxwFA","pfxwSI","pfxwSL","pfxwCU","pfxwFA/C","pfxwSI/C","pfxwSL/C","pfxwCU/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCU%","piFC%","piSI%","piSL%","pivCU","pivFC","pivSI","pivSL","piCU-X","piFC-X","piSI-X","piSL-X","piCU-Z","piFC-Z","piSI-Z","piSL-Z","piwCU","piwFC","piwSI","piwSL","piwCU/C","piwFC/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Kyle Bradish",24586,"2024-06-14","PHI",2,2024,"BAL","H",27,0,0,3.6,1,1,0,0,0,0,0,0,5,19,3,2,2,2,1,0,0,0,0,4,7.2,1.8,5.4,4,0.111111111,0,9,4,1,0,1,0,0,0.21052632,0.05263158,0.15789474,3.42369030274291,3.6,0.166666666666667,0.8,0.0833333333333333,1,7.3664797782898,-3.7664797782898,3.37608650326729,91.6813762919484,184.356173653238,82.1433579330978,2.25,0.071428571,0.642857142,0.285714285,0,0.5,1,1.8,31,43,74,-0.0106399897485971,-0.301179975271225,0.290539979934692,0.334699928760529,0.0359892547130585,0.771789491176605,0.962400019168854,0.870000004768372,0.939999997615814,1,1,-0.0861619859933853,0.0723758566534065,0,0,0.66216216,96.06122449,0.2027027,87.73333333,0.13513514,83.9,-0.0517564713954926,1.01101171970367,-1.01624691486359,-0.105625451827536,6.74007813135783,-10.1624691486359,0.25531915,0.74074074,0.43243243,0.41666667,0.95,0.75,0.36486486,0.63157895,0.10810811,7,6,1,4,3,7,14,0.5,0.42857143,0.07142857,0.28571429,0.21428571,0.5,6.48862788940662,47,31.00297,53.54099,25.38965,20,58.23541,20,51.73904,52.67877,51.65451,70.14369,78.20038,67.58496,50.23198,56.92304,47.67422,0.111,4.24359,87.48,90.46,87.24,77.74,59.44,49.22,92.36,124.96,115.02,130.9,125.22,144.58,97.9321621621622,113.267297297297,110.144324324324,0.10810811,0.55405405,0.2027027,0.13513514,95.8499984741211,96.1512183212652,87.6533365885417,83.7200012207031,0.46770367026329,-6.26646683855755,7.30314076741536,2.48517608642578,8.85244274139404,7.65985702886814,-1.02019329071045,-7.10390472412109,0.0863532908260822,-0.129778273403645,1.02329660579562,-1.01246925070882,1.07941613532603,-0.316532374155231,6.82197737197081,-10.1246925070882,0.23809524,0.6875,0.43243243,0.4,0.90909091,0.75,0.43243243,18.33962264,0.13513514,0.10810811,0.55405405,0.2027027,83.7424072265625,95.9024658203125,96.200409679878,87.6899007161458,2.58818283081055,0.474434643983841,-6.44704753596608,7.65474395751953,-8.67070922851562,7.7559986114502,6.60677207388529,-2.48484649658203,-1.01246925070882,0.0863532908260822,-0.129778273403645,1.02329660579562,-10.1246925070882,1.07941613532603,-0.316532374155231,6.82197737197081,0.24390244,0.66666667,0.43243243,0.4,0.90909091,0.75,0.44594595,14,90.9422607421875,-6.86856242588588,3,0.21428571,107.861,7,0.5,"2024-06-14",0
"Kyle Bradish",24586,"2024-06-08","@TBR",2,2024,"BAL","A",27,1,0,0,1,1,1,0,0,0,0,0,6,19,1,0,0,0,0,0,0,0,0,9,13.5,0,1.5,9,0.166666666,0,6,4,0,3,1,0,0,0.47368421,0,0.47368421,1.06387313245572,0,0.0526315789473684,0.166666666666667,0.1,1,0.166479778289796,-0.166479778289796,1.17448538243771,0,2.33337385345797,27.3728728372644,1.5,0,0.6,0.4,0.75,0,1,1.5,30,58,88,0.368154019117355,-0.0357879959046841,0.40394201874733,2.71199989318848,0.297858327627182,0.936536848545074,1.15286672115326,0.870000004768372,1.9099999666214,1,1,0.392098307609558,0.00100317012651679,0,0,0.54545455,94.64583333,0.31818182,87.5,0.13636364,83.33333333,1.21894371509552,1.9144743680954,0.860263228416443,2.53946607311567,6.83740845748356,7.16886023680369,0.33333333,0.65,0.47727273,0.5,0.76923077,0.66666667,0.45454545,0.63157895,0.15909091,5,3,2,7,3,0,10,0.5,0.3,0.2,0.7,0.3,0,-1.35142175733689,82,80,55.54119,80,72.29208,61.86074,76.04872,56.77771,51.90531,59.47133,67.98868,80,54.15516,73.37288,66.25829,71.74193,-1.32666,2.0871,109.06,143.92,146.6,83.5,142.06,133.82,101.26,126.7,120.54,111.46,120.32,132.72,101.446818181818,130.611136363636,131.276590909091,0.23863636,0.29545455,0.32954545,0.13636364,94.1761881510417,95.1692270132212,87.6275845231681,83.2000020345052,0.96069690159389,-7.47938713660607,6.89971187196929,1.98125600814819,9.16342526390439,8.98528113731971,0.692154982994343,-7.41796938578288,0.714091960340738,0.477907124906778,1.95856430009007,0.840532679110765,3.40043790638447,1.83810432656453,6.7536700003106,7.00443899258971,0.28947368,0.62,0.47727273,0.36363636,0.77419355,0.66666667,0.56818182,20.23188406,0.13636364,0.23863636,0.29545455,0.32954545,83.1779174804688,94.1413806733631,95.1487849308894,87.5917042699353,2.35011911392212,1.3821462903704,-7.16014216496394,7.57036669500943,-9.32832400004069,7.94352213541667,7.49180603027344,-1.0006621788288,0.840532679110765,0.714091960340738,0.477907124906778,1.95856430009007,7.00443899258971,3.40043790638447,1.83810432656453,6.7536700003106,0.33333333,0.59183673,0.47727273,0.46153846,0.75862069,0.66666667,0.55681818,10,78.5858459472656,3.09322624206543,0,0,103.671,2,0.2,"2024-06-08",0
"Kyle Bradish",24586,"2024-06-01","TBR",2,2024,"BAL","H",27,0,0,16.8750040233145,1,1,0,0,0,0,0,0,2.2,19,7,5,5,0,3,0,0,1,0,6,20.2500048279774,10.1250024139887,23.6250056326403,2,0,0,6,2,2,1,0,0,0,0.31578947,0.15789474,0.15789474,3.99963489541027,0,0.4375,3.75000089406988,0.7,0.5,2.04147951006883,14.8335245132457,3.17548608510347,429.756553830455,49.7351378537714,77.1529070701733,3,0.2,0.6,0.2,0.5,0,4,13.5000032186516,34,42,76,-0.457799971103668,-0.787879943847656,0.330079972743988,-4.33729982376099,-0.466376334428787,1.4752631187439,0.899333357810974,0.870000004768372,2.77799987792969,1,1,-0.318682223558426,0.00836471796426508,0,0,0.40789474,95.32258065,0.38157895,89.55172414,0.21052632,85.375,-1.32157349586487,-0.790380656719208,-0.937501311302185,-4.26314030924151,-2.72545054041106,-5.85938319563866,0.18367347,0.59259259,0.32894737,0.66666667,1,0.88,0.35526316,0.52631579,0.03947368,4,3,3,2,4,4,10,0.4,0.3,0.3,0.2,0.4,0.4,2.51465763084311,26,70.64673,57.08827,69.34858,38.12581,66.3118,35.64933,20,51.97329,20,75.77224,60.05882,71.36043,46.66318,57.91961,44.85475,0.33272,4.57617,114.46,115.88,127.9,92.28,59.3,62.28,95.62,41.1,32.92,110.16,120.5,137.38,105.015263157895,88.0376315789474,94.1960526315789,0.05263158,0.35526316,0.36842105,0.22368421,94.5999984741211,95.3703703703704,89.471426827567,85.3941147748162,1.97940397262573,-6.22319934986256,5.95726503644671,2.95143980138442,8.6191577911377,7.27806373878762,1.18890803200858,-5.93269348144531,-0.5799007602036,-0.792689077556133,-0.244763381779194,-0.981427296996117,-14.49751900509,-2.93588547243012,-0.874154934925693,-5.77310174703598,0.11904762,0.58823529,0.32894737,0.4,1,0.88,0.44736842,20.87719298,0.22368421,0.05263158,0.35526316,0.36842105,85.0941880170037,94.2920989990234,95.0804126880787,89.1665300641741,3.32381753360524,2.15500259399414,-6.09148604781539,6.50481414794922,-7.92194142061121,7.46327495574951,6.19511017975984,-0.424342768532889,-0.981427296996117,-0.5799007602036,-0.792689077556133,-0.244763381779194,-5.77310174703598,-14.49751900509,-2.93588547243012,-0.874154934925693,0.12195122,0.57142857,0.32894737,0.4,1,0.88,0.46052632,10,90.8123779296875,6.56681137084961,1,0.1,105.863,6,0.6,"2024-06-01",0
"Kyle Bradish",24586,"2024-05-26","@CHW",2,2024,"BAL","A",27,1,0,0,1,1,1,0,0,0,0,0,7,24,0,0,0,0,4,0,0,0,0,11,14.1428571428571,5.14285714285714,0,2.75,0.333333333,0,3,5,1,2,1,0,0,0.45833333,0.16666667,0.29166667,3.01127074353227,0,0,0.571428571428571,0,1,1.73790834971837,-1.73790834971837,2.81791435416256,0,42.0605722224576,68.2573914497912,0.6,0.111111111,0.333333333,0.555555555,0.4,0,3,3.85714285714286,40,63,103,0.433433949947357,-0.152852013707161,0.586285948753357,3.47900009155273,0.358474999666214,0.986216008663177,1.13334286212921,0.870000004768372,1.04339993000031,1,1,0.356514185667038,0.0829777168573186,0,0,0.57281553,94.76271186,0.27184466,87.78571429,0.15533981,84.125,2.90701770782471,0.893412351608276,-0.117955900728703,4.92714865733001,3.19075839860099,-0.737224379554391,0.25,0.62790698,0.40776699,0.73333333,0.74074074,0.73809524,0.41747573,0.58333333,0.10679612,2,1,6,3,5,1,9,0.22222222,0.11111111,0.66666667,0.33333333,0.55555556,0.11111111,0.809130062860024,84,35.78527,53.67995,33.47954,52.18519,54.50975,48.91689,55.99536,49.63908,59.09177,66.55534,76.37779,56.26136,57.38862,57.8673,55.34787,-0.33362,3.57666,87.98,61.94,60.12,77.98,113.22,95.98,90.48,121.82,99.62,101.14,120.16,126.62,90.6836893203884,110.480582524272,100.152427184466,0.18446602,0.38834951,0.27184466,0.15533981,94.4526302939967,94.8375,87.7250017438616,83.9749984741211,1.31205940246582,-6.90452499389648,5.40039988926479,1.39980018138885,8.64082898591694,8.51084289550781,0.787985256740025,-6.37913084030151,0.578309267759323,2.46371579542756,0.901019997894764,-0.125715307891369,3.04373298820696,6.1592894885689,3.21792856390987,-0.785720674321055,0.22,0.58490566,0.40776699,0.72727273,0.74193548,0.73809524,0.51456311,19.05063291,0.15533981,0.18446602,0.38834951,0.27184466,84.3484878540039,94.8233771073191,95.2101501464844,88.08544921875,2.29553771018982,2.19659524214895,-6.24471092224121,6.52905491420201,-8.17062950134277,7.34642189427426,7.227490234375,-0.798013687133789,-0.125715307891369,0.578309267759323,2.46371579542756,0.901019997894764,-0.785720674321055,3.04373298820696,6.1592894885689,3.21792856390987,0.22,0.58490566,0.40776699,0.72727273,0.74193548,0.73809524,0.51456311,9,78.9455430772569,29.3048570421007,0,0,95.963,1,0.11111111,"2024-05-26",0
"Kyle Bradish",24586,"2024-05-21","@STL",2,2024,"BAL","A",27,0,0,1.8,1,1,0,0,0,0,0,0,5,21,4,1,1,0,1,0,1,0,0,6,10.8,1.8,7.2,6,0,0,6,3,4,1,0,0,0,0.28571429,0.04761905,0.23809524,2.94147058277097,0,0.210526315789474,1,0.307692307692308,0.83333333,1.9664797782898,-0.166479778289795,2.87368482202291,45.8406881459742,47.839073803403,69.6448251451294,2,0.307692307,0.461538461,0.23076923,0.333333333,0,1,1.8,22,52,74,0.134459987282753,-0.236196011304855,0.370655983686447,1.39999997615814,0.147679328918457,0.906704783439636,0.914399981498718,0.870000004768372,1.31640005111694,1,1,0.0934026911854744,0.0548925309624351,0,0,0.40540541,95.43333333,0.32432432,88.83333333,0.27027027,84.65,-0.823820829391479,-0.0156812965869904,1.08739376068115,-2.74606943130493,-0.0653387357791265,5.43696880340576,0.34210526,0.66666667,0.5,0.53846154,0.79166667,0.7027027,0.48648649,0.61904762,0.14864865,4,4,5,4,7,2,13,0.30769231,0.30769231,0.38461538,0.30769231,0.53846154,0.15384615,3.02503562835017,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.2,102.56,106.64,97.52,90.04,87.96,89,77.34,53.34,111.84,117.36,127.1,102.863243243243,99.0235135135135,96.8137837837838,0.13513514,0.27027027,0.32432432,0.27027027,94.9099975585937,95.5900024414063,88.8791707356771,84.4700012207031,2.29990310668945,-4.96900596618652,6.13429514567057,2.0907772064209,6.82663955688477,7.63375854492188,-0.182158728440603,-5.41038932800293,-0.500570707023144,-0.353184405714273,0.02314842492342,1.08250583708286,-5.00570707023144,-1.76592202857137,0.0964517705142498,5.41252918541431,0.37142857,0.61538462,0.5,0.53846154,0.79166667,0.7027027,0.52702703,19.47169811,0.27027027,0.13513514,0.27027027,0.32432432,84.6085876464844,95.049560546875,95.7331481933594,89.0253601074219,2.07883205413818,2.33410396575928,-5.02880630493164,6.50038083394368,-6.49895782470703,6.37626609802246,7.17552185058594,-1.19457769393921,1.08250583708286,-0.500570707023144,-0.353184405714273,0.02314842492342,5.41252918541431,-5.00570707023144,-1.76592202857137,0.0964517705142498,0.37142857,0.61538462,0.5,0.53846154,0.79166667,0.7027027,0.52702703,13,81.8314584585337,7.95745673546424,1,0.07692308,102.97,3,0.23076923,"2024-05-21",0
"Kyle Bradish",24586,"2024-05-15","TOR",2,2024,"BAL","H",27,0,0,4.5,1,1,0,0,0,0,0,0,4,18,4,2,2,0,2,0,0,0,0,3,6.75,4.5,9,1.5,0.25,0,8,5,0,0,2,0,0,0.16666667,0.11111111,0.05555556,4.97531242550878,0,0.25,1.5,0.307692307692308,0.66666667,3.1664797782898,1.3335202217102,5.05649028606713,114.601720364935,78.1762071033664,123.94771998127,1.6,0,0.615384615,0.384615384,0,0,1,2.25,29,56,85,-0.0477199330925941,-0.408519983291626,0.360800057649612,-0.132299944758415,-0.014225815422833,1.26144444942474,0.939499974250793,0.870000004768372,0.916000008583069,1,1,-0.0162031259387732,-0.0216264694226047,0,0,0.55294118,95.19148936,0.30588235,88.73076923,0.14117647,84.16666667,0.875475168228149,-0.576505184173584,-0.546270668506622,1.86271312388968,-2.21732763143686,-4.55225557088852,0.24444444,0.625,0.42352941,0.81818182,0.88,0.86111111,0.47058824,0.55555556,0.05882353,6,3,4,3,7,3,13,0.46153846,0.23076923,0.30769231,0.23076923,0.53846154,0.23076923,1.52419703458746,48,80,55.40806,79.09725,44.19514,65.88985,44.80861,45.82811,41.87284,52.217,59.10951,70.76723,52.41295,57.85301,54.43128,59.64376,-0.36247,3.53339,89.26,134.34,133.1,91.18,89.24,84.64,91.7,115.9,106.36,106.2,97.14,114.18,95.7541176470588,110.883058823529,110.993882352941,0.07058824,0.48235294,0.30588235,0.14117647,94.0166625976562,95.3219500285823,88.6499962439904,84.0499979654948,2.94056574503581,-6.23238614710366,6.01663912259615,2.00744088490804,7.77588589986165,8.26623981754954,0.0876341141187228,-6.35908635457357,0.212312027812004,0.357016649097204,-0.588034126907587,-0.553072344511747,3.53853379686673,0.87077231487123,-2.26166971887533,-4.60893620426456,0.16216216,0.625,0.42352941,0.66666667,0.9,0.86111111,0.56470588,21.46268657,0.14117647,0.07058824,0.48235294,0.30588235,84.1139424641927,94.0841878255208,95.4031238090701,88.7155949519231,2.12145789464315,3.14861838022868,-6.15999324147294,6.41572629488431,-8.41579182942708,6.63190015157064,6.80622677686738,-1.72053674551157,-0.553072344511747,0.212312027812004,0.669662471860647,-0.588034126907587,-4.60893620426456,3.53853379686673,1.63332310209914,-2.26166971887533,0.16666667,0.6122449,0.42352941,0.66666667,0.9,0.86111111,0.57647059,13,81.1336763822115,-3.87750361515926,0,0,100.06,3,0.23076923,"2024-05-15",0
"Kyle Bradish",24586,"2024-05-08","@WSN",2,2024,"BAL","A",27,0,0,1.8,1,1,0,0,0,0,0,0,5,22,4,1,1,0,2,0,1,1,0,9,16.2,3.6,7.2,4.5,0,0,5,2,3,0,0,0,0,0.40909091,0.09090909,0.31818182,2.3681071731932,0,0.210526315789474,1.2,0.4,0.85714286,1.3664797782898,0.433520221710205,1.97128314077854,45.8406881459742,32.6705071534214,47.1952645206207,2.5,0.3,0.5,0.2,0,0,2,3.6,34,56,90,0.152519941329956,-0.359043955802917,0.511563897132874,1.45499992370605,0.15109033882618,1.30711305141449,0.9653599858284,0.870000004768372,1.57160007953644,1,1,0.0922627821564674,0.0244218008372582,0,0,0.55555556,94.92,0.21111111,87.84210526,0.23333333,83.57142857,0.905252158641815,-0.19021113216877,0.273883998394012,1.81050431728363,-1.00111122194089,1.30420951616196,0.29787234,0.53488372,0.41111111,0.42857143,0.82608696,0.67567568,0.47777778,0.63636364,0.13333333,2,6,2,4,6,0,10,0.2,0.6,0.2,0.4,0.6,0,2.32600754656601,63,64.41322,55.94461,67.05175,32.47682,63.555,20,41.72105,47.85076,43.55069,45.86111,68.27405,34.08711,48.37542,53.50501,46.22387,0.22634,4.4166,90.74,115.08,113.34,87.6,89.5,81.48,94.6,101.26,85.78,111.24,81.9,94.48,96.7455555555555,99.6135555555556,93.7606666666667,0.06666667,0.48888889,0.21111111,0.23333333,93.7666625976562,95.0568181818182,87.8631591796875,83.528570265997,0.584035515785217,-6.58186409690163,6.15176592375103,1.89679500034877,7.9515864054362,7.84577595103871,0.505357290569105,-5.74071466355097,-0.0212489664554596,0.92596348747611,-0.155922468751669,0.273564819246531,-0.354149440924327,2.10446247153661,-0.820644572377205,1.30268961545967,0.31111111,0.51111111,0.41111111,0.42857143,0.82608696,0.67567568,0.5,19.49253731,0.23333333,0.06666667,0.48888889,0.21111111,83.7731236049107,94.0165710449219,95.3069291548295,88.1119256270559,1.84826859973726,0.546077648798625,-6.72600139271129,6.42021379972759,-7.47173055013021,7.01930363972982,6.69007249311967,-0.866040781924599,0.273564819246531,-0.0212489664554596,0.92596348747611,-0.155922468751669,1.30268961545967,-0.354149440924327,2.10446247153661,-0.820644572377205,0.30434783,0.52272727,0.41111111,0.42857143,0.82608696,0.67567568,0.48888889,10,82.4451965332031,-8.10154418945313,0,0,94.2388,0,0,"2024-05-08",0
"Kyle Bradish",24586,"2024-05-02","NYY",2,2024,"BAL","H",27,0,0,1.92857169131847,1,1,0,0,0,0,0,0,4.2,21,4,1,1,0,2,0,1,0,0,5,9.64285845659235,3.85714338263694,7.71428676527388,2.5,0,0,7,3,2,0,0,0,0,0.23809524,0.0952381,0.14285714,3.8868084481141,0,0.222222222222222,1.28571446087898,0.307692307692308,0.85714286,2.95219403480997,-1.0236223434915,3.92419957123498,49.1150297049355,72.7588611331753,95.7790789253928,2.333333333,0.166666666,0.583333333,0.25,0,0,3,5.78571507395541,33,51,84,0.0785600170493126,-0.346859991550446,0.425420016050339,0.860700011253357,0.0925483852624893,1.0848571062088,0.997600018978119,0.870000004768372,2.21799993515015,1,1,0.00694914255291224,0.06546594013374,0,0,0.52380952,94.88636364,0.38095238,87.84375,0.0952381,83.5,-0.02507683634758,-0.234725654125214,-0.114158242940903,-0.0569928098808635,-0.733517669141293,-1.42697803676128,0.2244898,0.57142857,0.36904762,0.45454545,0.9,0.74193548,0.41666667,0.42857143,0.0952381,6,2,4,0,10,2,13,0.5,0.16666667,0.33333333,0,0.83333333,0.16666667,2.95316107983205,57,68.81631,56.18749,69.93051,47.37381,64.25958,48.70935,54.76405,43.44681,61.35278,67.8456,67.17903,63.13663,63.60225,58.43573,66.54745,-0.71965,2.99762,102.28,124.8,127.02,96.3,112.58,111.84,88.38,126.16,111.4,83.5,122.78,119.56,89.2696385542169,122.27156626506,116.131084337349,0.16666667,0.35714286,0.38095238,0.0952381,94.4071393694196,94.963330078125,87.8000030517578,83.4250030517578,1.37410708836147,-6.47938944498698,6.3184962272644,2.51958346366882,6.96827370779855,7.49744466145833,0.165626391768456,-6.38322830200195,-1.52219739556313,1.49801946803927,-0.200587298721075,-0.075931292027235,-10.8728385397366,4.99339822679758,-0.62683530850336,-0.949141150340438,0.2972973,0.44680851,0.38095238,0.45454545,0.9047619,0.75,0.55952381,20.35483871,0.0952381,0.16666667,0.35714286,0.38095238,83.3721160888672,94.3541782924107,94.91708984375,87.7467346191406,2.53653001785278,1.45035675593785,-6.56322886149089,6.5322117805481,-8.28659152984619,5.84008734566825,6.16650848388672,-1.50694000720978,-0.075931292027235,-1.52219739556313,1.49801946803927,-0.200587298721075,-0.949141150340438,-10.8728385397366,4.99339822679758,-0.62683530850336,0.28947368,0.45652174,0.38095238,0.45454545,0.9047619,0.75,0.54761905,13,92.7254075270433,2.75169020432692,1,0.07692308,104.954,5,0.38461538,"2024-05-02",0
