"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","wFB","wSL","wCT","wCB","wCH","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_o_FS","pb_s_FS","pb_c_FS","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_s_FS","sp_l_FS","sp_p_FS","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxFS%","pfxSL%","pfxCU%","pfxvFA","pfxvFC","pfxvFS","pfxvSL","pfxvCU","pfxFA-X","pfxFC-X","pfxFS-X","pfxSL-X","pfxCU-X","pfxFA-Z","pfxFC-Z","pfxFS-Z","pfxSL-Z","pfxCU-Z","pfxwFA","pfxwFC","pfxwFS","pfxwSL","pfxwCU","pfxwFA/C","pfxwFC/C","pfxwFS/C","pfxwSL/C","pfxwCU/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piFC%","piSL%","pivCH","pivCU","pivFA","pivFC","pivSL","piCH-X","piCU-X","piFA-X","piFC-X","piSL-X","piCH-Z","piCU-Z","piFA-Z","piFC-Z","piSL-Z","piwCH","piwCU","piwFA","piwFC","piwSL","piwCH/C","piwCU/C","piwFA/C","piwFC/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Lucas Sims",13470,"2024-09-28","TBR",3,2024,"BOS","H",30,0,0,0,1,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,0,0,0,0,0,9,0,1,0,1,3,0,2,1,0,0,0,0,0,7.74112908401489,0,0.25,1,0.25,1,6.1664797782898,-6.1664797782898,10.7025049969554,0,150.628246926567,264.406843865182,0.333333333,0,0.25,0.75,0.666666666,0,0,0,5,11,16,0.004808000754565,-0.00447199959307909,0.0092799998819828,0.546999990940094,0.0526974946260452,0.104479998350143,0.0767999961972237,0.0767999961972237,0.0284000001847744,1,1,0.0166055504232645,0.0294128342483352,0,0,0.5,94.625,0.125,84,0.1875,91.66666667,0.1875,79.66666667,NA,NA,-0.277610033750534,0.124594211578369,-0.132545709609985,0.245152533054352,NA,-3.47012542188168,6.22971057891846,-4.41819032033285,8.17175110181173,NA,0,0.63636364,0.4375,NA,0.85714286,0.85714286,0.6875,0.6,0.0625,0,2,2,3,1,0,4,0,0.5,0.5,0.75,0.25,0,1.82195350568655,80,36.52361,80,48.98358,51.91721,44.38226,80,67.32546,80,24.21595,40.26745,20,NA,NA,NA,66.66159,45.59669,65.22628,-0.90971,2.71253,113.38,135.58,134.94,103.28,92.64,91.12,103.66,174.28,195.62,92.3,91.56,89.76,NA,NA,NA,103.1625,110.69375,112.14375,0.5,0.1875,NA,0.125,0.1875,94.4625015258789,91.6666666666667,NA,84.1999969482422,79.8333333333333,-4.08630800247192,1.30608002344767,NA,8.81734466552734,7.07717704772949,10.7171277999878,8.19659868876139,NA,5.0145320892334,-6.35543123881022,-0.300660956650972,-0.137799259275198,NA,0.126183718442917,0.248160645365715,-3.75826195813715,-4.5933086425066,NA,6.30918592214584,8.2720215121905,0,0.63636364,0.4375,NA,0.85714286,0.85714286,0.6875,17.09090909,NA,0.1875,0.5,0.1875,0.125,NA,80.1230977376302,94.7954635620117,91.9806315104167,84.4828491210938,NA,7.38810348510742,-3.72855854034424,1.71091667811076,8.98996543884277,NA,-7.7355531056722,9.60945224761963,7.27866999308268,3.85767507553101,NA,0.248160645365715,-0.300660956650972,-0.137799259275198,0.126183718442917,NA,8.2720215121905,-3.75826195813715,-4.5933086425066,6.30918592214584,0,0.63636364,0.4375,NA,0.85714286,0.85714286,0.6875,4,82.8072967529297,40.935546875,0,0,89.2519,0,0,"2024-09-28",0
"Lucas Sims",13470,"2024-09-24","@TOR",3,2024,"BOS","A",30,0,0,9,1,0,0,0,0,0,0,0,1,5,1,1,1,0,1,0,0,0,0,0,0,9,9,0,0,0,1,3,0,0,0,0,0,0,0.2,-0.2,10.1179290840149,0,0.25,2,0.25,0.5,6.1664797782898,2.8335202217102,10.7025049969554,211.381984329076,150.628246926567,264.406843865182,0.333333333,0,0.25,0.75,0,0,0,0,12,12,24,-0.0521500110626221,-0.0862820222973824,0.0341320112347603,-0.521000027656555,-0.0550449080765247,0.719280004501343,0.550999999046326,0.550999999046326,0.284799993038177,1,1,-0.072661392390728,0.00015831885015842,0,0,0.20833333,95,0.20833333,85.4,0.45833333,90.81818182,0.125,79.33333333,NA,NA,0.00659183040261269,-0.895567178726196,0.313242107629776,0.00854172557592392,NA,0.131836608052254,-17.9113435745239,2.84765552390705,0.284724185864131,NA,0.25,0.875,0.45833333,0.75,0.71428571,0.72727273,0.33333333,NA,0.125,2,1,1,0,3,1,4,0.5,0.25,0.25,0,0.75,0.25,3.70784426672805,35.81551,48.0959,29.18826,51.93942,51.07089,43.32904,74.2252,56.8195,61.76912,52.43066,49.85006,30.42547,NA,NA,NA,56.37253,53.0824,33.78033,-0.27049,3.67136,100.58,89.84,104.48,90.3,119.64,122.96,130.824,131.556,162.796,90.68,122.16,137.46,NA,NA,NA,100.201666666667,119.5525,135.595,0.20833333,0.45833333,NA,0.20833333,0.125,94.9200012207031,90.8545476740057,NA,85.2799987792969,79.0666656494141,-2.84874286651611,1.88192679665305,NA,8.28318176269531,7.03534253438314,10.3352432250977,4.88878284801136,NA,3.55896606445312,-9.21832784016927,0.00359569862484932,0.316927958279848,NA,-0.905499424785376,0.0149216055870056,0.0719139724969864,2.88116325708953,NA,-18.1099884957075,0.497386852900187,0.2,0.88888889,0.45833333,0.66666667,0.75,0.72727273,0.375,17.77777778,NA,0.125,0.20833333,0.45833333,0.20833333,NA,78.7478332519531,94.58583984375,90.5260731090199,84.9224975585937,NA,7.25770696004232,-2.41436786651611,2.29128820245916,9.00429382324219,NA,-10.8256670633952,9.47351989746094,3.92425537109375,2.17687110900879,NA,0.0149216055870056,0.00359569862484932,0.316927958279848,-0.905499424785376,NA,0.497386852900187,0.0719139724969864,2.88116325708953,-18.1099884957075,0.14285714,0.9,0.45833333,1,0.66666667,0.72727273,0.41666667,4,87.0423736572266,15.0254850387573,1,0.25,98.5183,1,0.25,"2024-09-24",0
"Lucas Sims",13470,"2024-09-22","MIN",3,2024,"BOS","H",30,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,9,9,0,1,0,0,1,0,0,0,0,0,0,0.33333333,0.33333333,0,6.88572907925689,0,0,1,0,1,4.1664797782898,-4.1664797782898,4.1664797782898,0,101.179499169259,101.806421637006,1,0,1,0,0,0,0,0,7,6,13,0.00617599068209529,-0.00594000099226832,0.0121159916743636,0.546999990940094,0.0526974946260452,0.13626666367054,0.126800000667572,0.126800000667572,0.0767999961972237,1,1,0.0280704367905855,0.0172523921078115,0,0,0.30769231,94.5,0.15384615,84.5,0.30769231,90.5,0.23076923,80.33333333,NA,NA,-0.289226025342941,0.207493871450424,0.0914127007126808,0.727466344833374,NA,-7.23065063357353,10.3746935725212,2.28531751781702,24.2488781611125,NA,0.33333333,0.25,0.30769231,0.66666667,1,0.75,0.30769231,0.33333333,0.07692308,0,1,0,0,1,0,1,0,1,0,0,1,0,4.13295155380378,38.53491,46.06545,49.08645,20,50.42201,20,20,48.68416,49.40193,38.56426,33.00861,53.73296,NA,NA,NA,20,43.20563,20,2.98443,8.55374,125.78,99.02,97.52,101.8,-17.82,-14.58,99.64,89.44,89.82,91.52,115.84,118.88,NA,NA,NA,105.849230769231,67.5076923076923,69.0076923076923,0.30769231,0.30769231,NA,0.15384615,0.23076923,94.3000030517578,90.1500015258789,NA,84.1999969482422,80.2666676839193,-3.9482090473175,1.90812206268311,NA,4.10655450820923,9.60040664672852,10.3979864120483,6.62425708770752,NA,-1.32403218746185,-5.66692606608073,-0.296699952334166,0.0919305756688118,NA,0.20996356382966,0.740741465240717,-7.41749880835414,2.29826439172029,NA,10.498178191483,24.6913821746906,0.3,0.33333333,0.30769231,0.66666667,1,0.75,0.23076923,18.4,NA,0.30769231,0.30769231,0.30769231,0.07692308,NA,80.9595489501953,94.5802001953125,90.4089736938477,86.8218002319336,NA,8.70419788360596,-3.52518248558044,2.20649123191833,5.07829999923706,NA,-7.23960494995117,9.38530731201172,5.54313278198242,2.24955010414124,NA,0.974947962909937,-0.296699952334166,0.0919305756688118,-0.0242429338395596,NA,24.3736990727484,-7.41749880835414,2.29826439172029,-2.42429338395596,0.22222222,0.5,0.30769231,0.5,1,0.75,0.30769231,1,78.6239700317383,2.98434782028198,0,0,78.624,0,0,"2024-09-22",1
"Lucas Sims",13470,"2024-09-20","MIN",3,2024,"BOS","H",30,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,9,9,0,1,0,0,0,1,0,0,0,0,0,0.33333333,0.33333333,0,7.35528463540534,0,0,1,0,1,4.1664797782898,-4.1664797782898,5.67848818451166,0,101.179499169259,139.421515985497,0,0,0,1,0,0,0,0,9,12,21,0.112160012125969,-0.0496879778802395,0.161847978830338,0.546999990940094,0.0526974946260452,1.89310002326965,1.86679995059967,1.86679995059967,2.37040019035339,1,1,0.0449553057551384,0.0142914380763115,1,0,0.19047619,94.5,0.71428571,83.6,0.0952381,91,NA,NA,NA,NA,-0.170717090368271,0.442347794771194,-0.122333601117134,NA,NA,-4.26792725920677,2.94898529847463,-6.1166800558567,NA,NA,0.25,0.77777778,0.47619048,0.66666667,0.71428571,0.7,0.42857143,0.33333333,0.14285714,1,0,0,0,0,1,1,1,0,0,0,0,1,3.76840004099981,NA,NA,NA,20,40.81769,20,47.77702,58.28101,34.20139,20,28.45105,20,NA,NA,NA,30.81451,58.28017,20,1.31733,6.05309,NA,NA,NA,98.62,60,30.2,127.622857142857,66.5228571428571,96.1,113.2,26.84,33.8,NA,NA,NA,118.98380952381,59.5457142857143,74.6857142857143,0.19047619,0.0952381,NA,0.71428571,NA,94.5250015258789,91.1500015258789,NA,83.7533365885417,NA,-3.67386722564697,0.956599831581116,NA,6.85176747639974,NA,9.95806980133057,10.2373237609863,NA,3.98509572347005,NA,-0.174216561019421,-0.124844636768103,NA,0.444267068058252,NA,-4.35541402548552,-6.24223183840513,NA,2.96178045372168,NA,0.18181818,0.8,0.47619048,0.5,0.75,0.7,0.47619048,18.4375,NA,0.04761905,0.19047619,0.0952381,0.66666667,NA,78.5052032470703,94.7511215209961,91.3623504638672,84.3390677315848,NA,4.87482023239136,-3.27296733856201,1.82174503803253,7.4503299168178,NA,-6.83709001541138,9.01035022735596,8.88693046569824,3.49011502947126,NA,0.039364367723465,-0.174216561019421,-0.124844636768103,0.404902700334787,NA,3.9364367723465,-4.35541402548552,-6.24223183840513,2.89216214524848,0.18181818,0.8,0.47619048,0.5,0.75,0.7,0.47619048,1,95.9836654663086,30.3711185455322,0,0,95.9837,1,1,"2024-09-20",0
"Lucas Sims",13470,"2024-08-25","ARI",3,2024,"BOS","H",30,0,0,9,1,0,0,0,0,0,0,0,1,4,1,1,1,1,0,0,0,0,0,0,0,0,9,0,0,0,0,3,1,1,0,0,0,0,0,0,10.5257290840149,9,0.25,1,0,1,16.1664797782898,-7.16647977828979,7.70250499695539,211.381984329076,397.871985713109,189.77413509113,0,0.25,0,0.75,0.333333333,0.333333333,1,9,7,16,23,-0.0340439938008785,-0.0437079966068268,0.00966400094330311,-0.453000009059906,-0.0436416193842888,0.175200000405312,0.331999987363815,0.331999987363815,NA,0,1,-0.0530021749436855,-0.141312857716819,0,0,0.2173913,94.6,0.26086957,83.5,0.43478261,90.4,0.08695652,78.5,NA,NA,0.0754751265048981,0.0676994919776917,-0.721792578697205,-0.0231754779815674,NA,1.50950253009796,1.12832486629486,-7.21792578697205,-1.15877389907837,NA,0.22222222,0.78571429,0.56521739,1,1,1,0.60869565,0.5,0,2,1,1,1,2,1,4,0.5,0.25,0.25,0.25,0.5,0.25,21.4694624881037,80,46.2256,80,20,45.58398,20,20,63.44582,20.61362,78.81599,43.15792,62.15724,NA,NA,NA,51.60474,52.04701,46.70791,0.02571,4.11566,92.46,135.08,146.32,101.84,63,53.98,149.36,38.54,69.42,101.46,161.24,167.98,NA,NA,NA,113.255652173913,105.6,115.602608695652,0.2173913,0.43478261,NA,0.26086957,0.08695652,94.5400024414062,90.3099975585938,NA,83.6666666666667,78.6500015258789,-1.73355274200439,2.27666549682617,NA,10.4184805552165,7.86789894104004,9.87759094238281,4.94945907592773,NA,2.72838656107585,-7.58160877227783,0.0763720497488976,-0.688020717352629,NA,0.0667061619460583,-0.0240093097090721,1.52744099497795,-6.88020717352629,NA,1.11176936576764,-1.20046548545361,0.14285714,0.75,0.56521739,1,1,1,0.69565217,15.78947368,NA,0.08695652,0.2173913,0.43478261,0.26086957,NA,78.7595520019531,94.6427795410156,90.3881225585938,83.7610982259115,NA,8.27926445007324,-1.24693222045898,2.84070701599121,11.0327746073405,NA,-8.90685081481934,9.12105178833008,4.0337760925293,1.57006851832072,NA,-0.0240093097090721,0.0763720497488976,-0.688020717352629,0.0667061619460583,NA,-1.20046548545361,1.52744099497795,-6.88020717352629,1.11176936576764,0.25,0.73333333,0.56521739,1,1,1,0.65217391,4,91.7674102783203,37.7946815490723,0,0,99.1951,1,0.25,"2024-08-25",0
"Lucas Sims",13470,"2024-08-24","ARI",3,2024,"BOS","H",30,0,0,54.0000563264481,1,0,0,0,0,0,0,0,0.1,3,0,2,2,0,2,0,0,0,0,0,0,54.0000563264481,0,0,0,0,0,1,0,1,0,0,0,0,0.66666667,-0.66666667,23.3345068337244,0,0,6.00000625849423,0,0,21.1664985537725,32.8335577726756,25.702528503886,1268.29322890738,521.494319318434,637.570972530743,0,0,0,1,1,0,0,0,10,5,15,-0.024592000991106,-0.0417400002479553,0.0171479992568493,-0.41100001335144,-0.0395953767001629,0.669333338737488,0.650400042533875,0.650400042533875,1.32560002803802,1,1,-0.0371443443000317,0.000403307259366631,0,0,0.2,93.33333333,0.2,84.33333333,0.46666667,89.42857143,0.13333333,79,NA,NA,-0.0790989100933075,0.0805210024118423,-0.356275618076324,-0.0231754779815674,NA,-2.63663033644358,2.68403341372808,-5.08965168680464,-1.15877389907837,NA,0.14285714,0,0.13333333,0.5,NA,0.5,0.06666667,0.66666667,0.06666667,1,0,0,1,0,0,1,1,0,0,1,0,0,16.3088247903225,28.82808,50.87421,45.98508,20,46.09635,20,20,64.47783,20,20,50.69123,20,NA,NA,NA,20,54.40009,20,4.23573,10.43069,95.74,63.82,73.6,95.16,-34.52,-44.3,161.14,-13.92,38.16,97.16,2.66,10.62,NA,NA,NA,109.366666666667,0.0626666666666665,13.5413333333333,0.2,0.46666667,NA,0.2,0.13333333,93.2333374023438,89.4285714285714,NA,84.2666625976562,78.8499984741211,-3.06726455688477,2.27925954546247,NA,10.3854052225749,7.6488037109375,10.5479914347331,5.24754987444196,NA,2.02628231048584,-7.42782497406006,-0.0815131068229675,-0.366267282515764,NA,0.0805635526776314,-0.0240093097090721,-2.71710356076558,-5.2323897502252,NA,2.68545175592105,-1.20046548545361,0.16666667,0,0.13333333,0.5,NA,0.5,0.2,17.41666667,NA,0.13333333,0.2,0.46666667,0.2,NA,78.812255859375,93.1963297526042,89.4082467215402,84.2362365722656,NA,8.54433059692383,-2.64441013336182,2.91947855268206,11.4874369303385,NA,-9.12512969970703,9.62530326843262,4.27018138340541,0.502386649449666,NA,-0.0240093097090721,-0.0815131068229675,-0.366267282515764,0.0805635526776314,NA,-1.20046548545361,-2.71710356076558,-5.2323897502252,2.68545175592105,0.16666667,0,0.13333333,0.5,NA,0.5,0.2,1,80.1908721923828,73.3291091918945,0,0,80.1909,0,0,"2024-08-24",0
"Lucas Sims",13470,"2024-08-19","@HOU",3,2024,"BOS","A",30,0,0,9,1,0,0,0,0,0,0,1,1,6,2,1,1,0,2,0,0,0,0,1,9,18,18,0.5,0,0,1,0,2,0,0,0,0,0.16666667,0.33333333,-0.16666667,9.04497908516723,0,0.5,4,0.666666666666667,0.75,7.1664797782898,1.8335202217102,7.1664797782898,211.381984329076,175.352620805222,176.439130411058,1,0.666666666,0.333333333,0,0,0,0,0,11,12,23,-0.205850005149841,-0.497928023338318,0.292078018188477,-0.523000001907349,-0.0554319024085999,2.68768572807312,2.46320009231567,2.46320009231567,2.23480010032654,1,1,-0.111211955547333,0.0346218977888235,0,1,0.13043478,95.33333333,0.30434783,85.28571429,0.52173913,90.33333333,0.04347826,80,NA,NA,-0.0306317918002605,-1.16781675815582,0.728171288967133,-0.0344077162444592,NA,-1.02105972667535,-16.6830965450832,6.0680940747261,-3.44077162444592,NA,0.25,0.85714286,0.43478261,0.75,0.83333333,0.8,0.30434783,0.33333333,0.08695652,1,1,1,1,1,1,3,0.33333333,0.33333333,0.33333333,0.33333333,0.33333333,0.33333333,15.6461229558039,20,51.05279,20,75.17345,54.11894,80,58.51801,64.612,27.5854,25.40238,51.49482,23.51718,NA,NA,NA,40.51529,60.34804,21.61841,0.71466,5.14908,95,10.04,19.08,129.36,111,124.96,141.54,76.76,122.46,95.5,43.04,54.34,NA,NA,NA,113.906956521739,60.7321739130435,82.7504347826087,0.13043478,0.52173913,NA,0.30434783,0.04347826,95.2000020345052,90.2416687011719,NA,85.1571393694196,79.8000030517578,-2.28760321935018,2.80997784932454,NA,9.49638039725167,7.21635484695435,10.3625717163086,5.29975096384684,NA,3.06643377031599,-7.95126581192017,-0.031825989484787,0.737764395773411,NA,-1.18936904147267,-0.0350487045943737,-1.06086631615957,6.14803663144509,NA,-16.9909863067525,-3.50487045943737,0.25,0.85714286,0.43478261,0.75,0.83333333,0.8,0.30434783,20.47058824,NA,0.04347826,0.13043478,0.52173913,0.30434783,NA,79.7236022949219,95.1159362792969,90.1701151529948,85.0738438197545,NA,7.78606986999512,-1.97339677810669,3.2921257019043,10.339465550014,NA,-9.28032970428467,9.29138946533203,4.15620930989583,1.53263378143311,NA,-0.0350487045943737,-0.031825989484787,0.737764395773411,-1.18936904147267,NA,-3.50487045943737,-1.06086631615957,6.14803663144509,-16.9909863067525,0.29411765,0.83333333,0.43478261,0.6,1,0.8,0.26086957,3,85.5901489257812,8.65468470255534,0,0,98.5281,1,0.33333333,"2024-08-19",0
"Lucas Sims",13470,"2024-08-17","@BAL",3,2024,"BOS","A",30,0,0,0,1,0,0,0,0,0,1,0,0.2,3,0,0,0,0,1,0,0,0,0,0,0,13.500014081612,0,0,0,0,1,1,0,0,0,0,0,0,0.33333333,-0.33333333,11.7253957421829,0,0,1.50000156462356,0,1,7.66648447216047,-7.66648447216047,9.93449944721724,0,187.714923797562,245.300732355027,1,0,0.5,0.5,0,0,2,27.000028163224,6,7,13,0.152659982442856,-0.0513200014829636,0.203979983925819,0.870000004768372,0.0935483872890472,3.97000002861023,1.80499994754791,3.60999989509583,0.546000003814697,1,1,0.0275606941431761,0.0108927016610293,1,0,0.30769231,94,0.07692308,83,0.38461538,89.2,0.23076923,78.66666667,NA,NA,0.249002605676651,0.0389156937599182,-0.201737999916077,0.0618020668625832,NA,6.22506514191628,3.89156937599182,-4.03475999832153,2.06006889541944,NA,0.27272727,1,0.38461538,1,0.5,0.8,0.15384615,0.66666667,0.07692308,2,0,0,1,1,0,2,1,0,0,0.5,0.5,0,6.63897127921086,23.28768,45.74568,25.78256,60.36607,46.18097,68.13459,80,64.02451,80,20,58.38939,20,NA,NA,NA,20,49.83011,20,2.6006,7.97799,89.04,85.18,83.02,121.78,139.9,130.22,116.04,161.48,173.7,93.98,-63.78,-53.28,NA,NA,NA,103.090769230769,50.5938461538462,52.0953846153846,0.30769231,0.38461538,NA,0.07692308,0.23076923,93.7750015258789,89.2199951171875,NA,82.5,78.7333374023438,-1.66781961917877,2.83248386383057,NA,10.4731893539429,7.56219100952148,10.1618824005127,5.15827522277832,NA,2.53225708007812,-7.68784332275391,0.251952320337296,-0.208093419671059,NA,0.039364367723465,0.0622856058180332,6.29880800843239,-4.16186839342117,NA,3.9364367723465,2.07618686060111,0.25,0.6,0.38461538,1,0.66666667,0.8,0.38461538,19.8,NA,0.23076923,0.30769231,0.38461538,0.07692308,NA,78.7035319010417,93.7869262695312,89.207080078125,82.5195999145508,NA,8.15506299336751,-1.23076796531677,3.43979415893555,11.3351001739502,NA,-9.1872304280599,9.52474498748779,4.41211013793945,1.52795994281769,NA,0.0622856058180332,0.251952320337296,-0.208093419671059,0.039364367723465,NA,2.07618686060111,6.29880800843239,-4.16186839342117,3.9364367723465,0.22222222,0.75,0.38461538,1,0.66666667,0.8,0.30769231,2,69.1987838745117,16.1122627258301,0,0,90.375,0,0,"2024-08-17",0
"Lucas Sims",13470,"2024-08-16","@BAL",3,2024,"BOS","A",30,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,-1.18327091598511,0,0,0,0,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,76.4551252906048,76.9288520456552,3,0,1,0,0,0,3,27,5,10,15,0.12966001033783,-0.0317399874329567,0.161399990320206,0.837000012397766,0.0900000035762787,2.06750011444092,1.19200003147125,2.3840000629425,0.373999983072281,1,1,0.0694740414619446,-0.00676061792586341,1,0,0.06666667,94,0.4,84.83333333,0.46666667,92,0.06666667,81,NA,NA,-0.0373910665512085,-0.0935156419873238,0.712973713874817,0.054188709706068,NA,-3.73910665512085,-1.55859403312206,10.1853387696402,5.4188709706068,NA,0.25,0.85714286,0.53333333,0.5,1,0.875,0.46666667,0.66666667,0.06666667,1,1,1,2,1,0,3,0.33333333,0.33333333,0.33333333,0.66666667,0.33333333,0,1.45977924691138,80,51.46624,80,20,39.39153,20,71.28608,66.98264,58.50878,32.41403,48.84163,20,NA,NA,NA,53.03494,61.47233,23.29559,-0.06314,3.98238,102.72,154.6,156.4,159.42,-5.52,22.4,149.296666666667,106.646666666667,143.513333333333,94.84,69.52,64.34,NA,NA,NA,121.453333333333,85.04,99.3506666666667,0.06666667,0.46666667,NA,0.4,0.06666667,94.1999969482422,92.0857107979911,NA,84.8833312988281,81.0999984741211,-0.865992307662964,1.91732815333775,NA,9.20260620117188,9.42754077911377,10.0942249298096,5.97864532470703,NA,2.59629122416178,-3.10883140563965,-0.0380783230066299,0.723244909197092,NA,-0.0957214497029781,0.054773960262537,-3.80783230066299,10.332070131387,NA,-1.59535749504964,5.4773960262537,0.28571429,0.75,0.53333333,0.5,1,0.875,0.53333333,20.83333333,NA,0.06666667,0.06666667,0.46666667,0.4,NA,80.9260025024414,94.004997253418,91.905770438058,84.7105662027995,NA,9.88348007202148,-0.449598997831345,2.64380427769252,10.1996682484945,NA,-4.23338985443115,10.0876998901367,5.04163033621652,1.50735934575399,NA,0.054773960262537,-0.0380783230066299,0.723244909197092,-0.0957214497029781,NA,5.4773960262537,-3.80783230066299,10.332070131387,-1.59535749504964,0.25,0.85714286,0.53333333,0.5,1,0.875,0.46666667,3,60.6765950520833,-29.488291422526,0,0,87.4946,0,0,"2024-08-16",0
"Lucas Sims",13470,"2024-08-13","TEX",3,2024,"BOS","H",30,0,0,0,1,0,0,0,0,0,1,0,1.1,5,1,0,0,0,0,0,0,0,0,2,13.5000032186516,0,6.75000160932579,2,0,0,0,2,1,0,0,0,0,0.4,0,0.4,2.17248908401489,0,0.2,0.750000178813977,0.333333333333333,1,0.166479063033887,-0.166479063033887,2.43449221310316,0,2.28198597038775,58.7187804527214,0,0.333333333,0,0.666666666,0,0,0,0,6,14,20,0.243016019463539,-0.0582520216703415,0.301268041133881,1.8309999704361,0.176396921277046,2.42968010902405,2.2163999080658,3.90199995040894,1.50679993629456,1,1,0.0469063855707645,0.0531133736399052,1,0,0.1,95.5,0.4,85.625,0.35,91.28571429,0.15,81,NA,NA,-0.0373910665512085,1.06043946743011,0.09681536257267,-0.777385890483856,NA,-1.86955332756042,13.2554933428764,1.383076608181,-25.9128630161285,NA,0.41666667,0.5,0.45,0.8,1,0.88888889,0.4,0.4,0.05,2,1,0,0,2,1,3,0.66666667,0.33333333,0,0,0.66666667,0.33333333,1.44859013326852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.02,103.72,124.02,162.88,106.42,138.28,143.04,119.56,154.5,102.02,78.22,79.82,NA,NA,NA,128.864,101.401,122.168,0.1,0.35,NA,0.4,0.15,95.5500030517578,91.3714250837054,NA,85.375,80.8666687011719,-2.69400548934937,2.06065954480852,NA,9.15011024475098,8.46137364705404,10.8161373138428,5.8897830418178,NA,2.37989139556885,-6.5396982828776,-0.0380783230066299,0.0972986593842506,NA,1.07357256487012,-0.823503341525793,-1.9039161503315,1.38998084834644,NA,13.4196570608765,-27.4501113841931,0.3,0.6,0.45,0.66666667,1,0.88888889,0.5,17.8,NA,0.15,0.1,0.35,0.4,NA,80.6869659423828,95.3381500244141,91.1748831612723,85.1950225830078,NA,9.03663698832194,-2.32246994972229,2.58846146719796,10.0594749450684,NA,-8.12620989481608,10.2107849121094,5.01014872959682,1.12730717658997,NA,-0.823503341525793,-0.0380783230066299,0.0972986593842506,1.07357256487012,NA,-27.4501113841931,-1.9039161503315,1.38998084834644,13.4196570608765,0.3,0.6,0.45,0.66666667,1,0.88888889,0.5,3,87.4586385091146,27.1401672363281,1,0.33333333,104.948,1,0.33333333,"2024-08-13",0
