"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CH%","CHv","XX%","wFB","wSL","wCT","wCH","wFB/C","wSL/C","wCT/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxSL%","pfxCH%","pfxvFA","pfxvSI","pfxvSL","pfxvCH","pfxFA-X","pfxSI-X","pfxSL-X","pfxCH-X","pfxFA-Z","pfxSI-Z","pfxSL-Z","pfxCH-Z","pfxwFA","pfxwSI","pfxwSL","pfxwCH","pfxwFA/C","pfxwSI/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piFC%","piSI%","piSL%","pivCH","pivFA","pivFC","pivSI","pivSL","piCH-X","piFA-X","piFC-X","piSI-X","piSL-X","piCH-Z","piFA-Z","piFC-Z","piSI-Z","piSL-Z","piwCH","piwFA","piwFC","piwSI","piwSL","piwCH/C","piwFA/C","piwFC/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"J.T. Ginn",27889,"2024-09-26","TEX",10,2024,"OAK","H",25,1,0,3.37500020116569,1,1,0,0,0,0,0,0,5.1,22,5,2,2,0,2,0,0,0,0,2,3.37500020116569,3.37500020116569,8.43750050291422,1,0.1,0,10,5,3,1,1,0,0,0.09090909,0.09090909,0,5.4523034643956,0,0.25,1.3125000782311,0.277777777777778,0.71428571,3.54147980064154,-0.16647959947585,4.9589877659646,87.125502223471,89.349538143839,121.522094252087,2,0.166666666,0.555555555,0.277777777,0.2,0,3,5.06250030174853,25,43,68,0.0833440348505974,-0.313112020492554,0.396456062793732,0.582300007343292,0.063848689198494,0.955709099769592,0.967400014400482,0.870000004768372,2.73239994049072,1,1,0.0878460109233856,-0.000639522180429813,0,0,0.60294118,92.75609756,0.27941176,84.63157895,NA,NA,0.11764706,88.375,NA,0.627088904380798,0.819755017757416,NA,-0.490722328424454,1.52948513263609,4.31450009346008,NA,-6.13402910530567,0.2972973,0.74193548,0.5,0.54545455,0.86956522,0.76470588,0.45588235,0.63636364,0.11764706,8,7,3,1,14,3,18,0.44444444,0.38888889,0.16666667,0.05555556,0.77777778,0.16666667,3.3085886869151,53,45.57439,46.3257,51.39914,20,33.20671,20,66.37832,52.36455,63.86942,52.32668,49.18765,54.55884,58.14143,49.43698,59.03312,-0.38039,3.50651,89.66,94.36,81.94,73.5,47.54,2.69999999999999,102.58,127.14,137.78,86,106.52,104.22,95.1444117647059,114.010294117647,115.874117647059,0.04411765,0.55882353,0.27941176,0.11764706,93.2999979654948,92.7000025699013,84.5894711143092,88.1750030517578,-4.74587186177572,-9.69901556717722,2.45147946006373,-9.09629535675049,6.71221542358398,3.44080352783203,0.823951670998021,1.63039553165436,-0.134722635149956,0.805176261812449,0.825515061616898,-0.494977377355099,-4.49075450499853,2.11888489950644,4.34481611377315,-6.18721721693873,0.23333333,0.71052632,0.5,0.42857143,0.85185185,0.76470588,0.55882353,21.80434783,0.11764706,0.04411765,NA,0.55882353,0.27941176,88.5857391357422,93.7268269856771,NA,93.1080707750822,84.9734593441612,-8.24026298522949,-3.81094328562419,NA,-8.90748274953742,3.67237613075658,-0.102193579077721,5.95731989542643,NA,1.92936806929739,-0.671406846297415,-0.494977377355099,-0.134722635149956,NA,0.805176261812449,0.825515061616898,-6.18721721693873,-4.49075450499853,NA,2.11888489950644,4.34481611377315,0.23333333,0.71052632,0.5,0.42857143,0.81481481,0.73529412,0.55882353,18,93.9758978949653,7.54457261827257,0,0,107.966,10,0.55555556,"2024-09-26",0
"J.T. Ginn",27889,"2024-09-20","NYY",10,2024,"OAK","H",25,0,0,1.8,1,1,0,0,0,0,0,0,5,18,4,1,1,0,1,0,0,0,0,4,7.2,1.8,7.2,4,0,0,7,3,3,0,0,0,0,0.22222222,0.05555556,0.16666667,3.47061796950267,0,0.235294117647059,1,0.307692307692308,0.8,2.1664797782898,-0.366479778289795,3.07368482202292,46.4669317495394,53.9168682033091,74.6203390633995,2.333333333,0.23076923,0.538461538,0.23076923,0,0,1,1.8,32,46,78,0.118536002933979,-0.26093602180481,0.379472017288208,1.26530003547668,0.138739034533501,1.05060005187988,1.02968001365662,0.870000004768372,1.3400000333786,1,1,0.162433505058289,-0.0496065518120199,0,0,0.51282051,92.3,0.33333333,84.11538462,NA,NA,0.15384615,87.41666667,NA,-0.0475020222365856,0.550269365310669,NA,1.56007695198059,-0.118755055591464,2.11642063581027,NA,13.0006412665049,0.22916667,0.73333333,0.42307692,0.45454545,0.81818182,0.6969697,0.38461538,0.5,0.12820513,4,4,5,3,8,2,13,0.30769231,0.30769231,0.38461538,0.23076923,0.61538462,0.15384615,2.68951737698972,60,53.07898,52.24449,56.58449,39.64563,28.95835,32.03272,39.36572,43.99562,40.22102,75.31033,47.74449,80,55.76536,47.02844,61.63516,-0.23277,3.72794,90.32,110.62,102.78,83.54,124.64,73,94.22,116.82,117.52,76.84,149.6,138.5,86.8682051282051,127.494615384615,118.250256410256,0.08974359,0.42307692,0.33333333,0.15384615,92.4285714285714,92.2878787878788,83.9615384615385,87.2083333333333,-5.5009776524135,-9.18786066228693,3.39098856999324,-9.08464940388997,7.68314361572266,3.70684583259351,0.962677735548753,1.69882663091024,0.540528498589993,-0.555002830922604,0.555035151541233,1.58636925369501,7.72183569414275,-1.68182676037153,2.1347505828509,13.2197437807918,0.23076923,0.61538462,0.42307692,0.55555556,0.75,0.6969697,0.5,20.91666667,0.15384615,0.08974359,NA,0.42307692,0.33333333,87.444590250651,92.6326729910714,NA,92.5092255563447,84.1728891225962,-8.32622400919596,-4.4484669821603,NA,-8.44769841974432,4.52728007389949,-0.140871187051137,6.44716698782785,NA,2.19585719253078,-0.616174697875977,1.58636925369501,0.540528498589993,NA,-0.555002830922604,0.555035151541233,13.2197437807918,7.72183569414275,NA,-1.68182676037153,2.1347505828509,0.275,0.57894737,0.42307692,0.54545455,0.77272727,0.6969697,0.48717949,13,86.3643517127404,8.18598820612981,0,0,102.691,5,0.38461538,"2024-09-20",0
"J.T. Ginn",27889,"2024-09-14","@CHW",10,2024,"OAK","A",25,0,0,6.75,1,1,0,0,0,0,0,0,4,20,10,3,3,1,0,0,0,0,0,3,6.75,0,22.5,3,0,0,5,6,6,1,0,0,0,0.15,0,0.15,4.36835158401489,2.25,0.5,2.5,0.5625,0.81395349,4.9164797782898,1.8335202217102,3.9344923876226,174.250994060773,124.782206932395,96.0351391813666,0.833333333,0.352941176,0.294117647,0.352941176,0.166666666,0.166666666,0,0,27,45,72,-0.145249992609024,-0.403192073106766,0.257942080497742,-1.01199996471405,-0.104276150465012,0.752336382865906,0.701150000095367,0.870000004768372,0.357600003480911,1,1,-0.154342636466026,-0.0387225879695078,0,0,0.49295775,93.31428571,0.36619718,84.96153846,NA,NA,0.14084507,87.7,0.01388889,-3.20477342605591,0.489587724208832,NA,-0.298518419265747,-9.15649550301688,1.88302970849551,NA,-2.98518419265747,0.30769231,0.78125,0.52112676,0.58333333,0.8,0.72972973,0.45070423,0.55,0.13888889,7,7,3,1,12,4,17,0.41176471,0.41176471,0.17647059,0.05882353,0.70588235,0.23529412,6.65954614346437,31,61.00741,49.722,57.59012,NA,NA,NA,49.46608,42.51336,45.93261,42.3294,45.25543,48.73989,50.73225,45.62007,50.2456,0.07992,4.19697,72.4,148.62,136.5,NA,NA,NA,105.22,101.32,104.9,81.66,102.94,87.62,91.9698591549296,108.575211267606,103.022816901408,NA,0.49295775,0.36619718,0.14084507,NA,93.3571428571429,84.9115365835337,87.5599975585938,NA,-9.49464198521205,1.62516476557805,-9.19142150878906,NA,4.26442217145647,1.59611731309157,1.6689395904541,NA,-3.19457685947418,0.532131440937519,-0.30344495549798,NA,-9.12736245564052,2.04665938822123,-3.0344495549798,0.25714286,0.77777778,0.52112676,0.44444444,0.82142857,0.72972973,0.50704225,19.67307692,0.14084507,NA,NA,0.49295775,0.36619718,87.5448425292969,NA,NA,93.3451032366071,84.8827279897837,-8.76767425537109,NA,NA,-9.15427420479911,2.42395415672889,0.27203528881073,NA,NA,3.11024671282087,0.496772105877216,-0.30344495549798,NA,NA,-3.21562373638153,0.532131440937519,-3.0344495549798,NA,NA,-9.18749638966152,2.04665938822123,0.25714286,0.77777778,0.52112676,0.44444444,0.82142857,0.72972973,0.50704225,17,91.5955307904412,15.1250807818244,1,0.05882353,107.344,7,0.41176471,"2024-09-14",0
"J.T. Ginn",27889,"2024-09-08","DET",10,2024,"OAK","H",25,0,1,5.4,1,1,0,0,0,0,0,0,5,24,7,3,3,1,1,0,1,0,0,5,9,1.8,12.6,5,0,0,5,8,4,0,0,0,0,0.20833333,0.04166667,0.16666667,4.14115095695818,1.8,0.318181818181818,1.6,0.375,0.78947368,4.96647977828979,0.433520221710205,4.78569322824478,139.400795248618,126.07066763656,117.210947330161,0.625,0.235294117,0.294117647,0.470588235,0,0.125,0,0,33,50,83,-0.134668007493019,-0.408536016941071,0.273868024349213,-0.73470002412796,-0.080559216439724,0.786083340644836,0.774879992008209,0.870000004768372,0.379600018262863,1,1,-0.0600365996360779,-0.111278578449936,0,0,0.51807229,91.6744186,0.19277108,85.3125,0.03614458,89.33333333,0.25301205,86.33333333,NA,0.299927949905396,-1.08280217647552,-0.0688154324889183,-0.620248436927795,0.697506860245106,-6.76751360297203,-2.29384774963061,-2.95356398537045,0.20930233,0.8,0.4939759,0.44444444,0.90625,0.80487805,0.48192771,0.54166667,0.09638554,8,6,3,1,9,7,17,0.47058824,0.35294118,0.17647059,0.05882353,0.52941176,0.41176471,5.20041412512031,43,51.39441,43.45873,60.40857,20,51.11575,20,51.87468,40.26913,52.85453,51.47823,34.18381,68.76024,48.89479,39.72987,57.18612,0.19407,4.3682,82.02,111.9,97.68,68.78,62.46,24.3,88.54,122.84,117.08,84.9,117.18,102.56,85.2363855421687,116.071084337349,104.901204819277,0.04819277,0.5060241,0.19277108,0.25301205,90.1500015258789,91.6500011625744,85.3000030517578,86.2428559802827,-2.29839658737183,-9.52340116954985,0.0372032485902309,-8.69300260997954,4.82491588592529,3.72069004603795,2.50589823722839,1.89645149594262,-0.091144360601902,0.337105568498373,-1.08237313106656,-0.628892112523317,-2.27860901504755,0.802632305948507,-6.764832069166,-2.99472434534913,0.225,0.74418605,0.4939759,0.44444444,0.90625,0.80487805,0.51807229,20.66101695,0.25301205,0.01204819,0.08433735,0.5060241,0.14457831,86.3692975725446,92.4268035888672,88.6710292271205,91.789068312872,84.5684000651042,-7.75204249790737,-1.91048002243042,-0.00109671694891793,-8.69224621000744,1.23098595937093,0.237801302047003,5.84492015838623,2.51880672999791,2.35593723115467,0.612555901209513,-0.628892112523317,-0.0210469514131546,0.184006657451391,0.337105568498373,-1.3364771977067,-2.99472434534913,-2.10469514131546,2.62866653501987,0.802632305948507,-11.1373099808892,0.23076923,0.72727273,0.4939759,0.44444444,0.90625,0.80487805,0.53012048,17,92.5620260799632,21.7909025304458,4,0.23529412,108.974,7,0.41176471,"2024-09-08",0
"J.T. Ginn",27889,"2024-09-03","SEA",10,2024,"OAK","H",25,0,0,3,1,1,1,0,0,0,0,0,6,22,5,2,2,0,1,0,0,0,0,7,10.5,1.5,7.5,7,0,0,7,5,2,0,0,0,0,0.31818182,0.04545455,0.27272727,2.69538197493227,0,0.238095238095238,1,0.357142857142857,0.66666667,1.33314644495646,1.66685355504354,2.59315345014135,77.4448862492324,32.4425231338891,62.6658864185887,1.4,0.142857142,0.5,0.357142857,0,0,2,3,33,55,88,0.105191990733147,-0.313483983278275,0.418675988912582,0.718300044536591,0.078760951757431,0.919436395168304,0.989933371543884,0.870000004768372,1.53159999847412,1,1,0.157021015882492,-0.0426118068431968,0,0,0.53409091,93.4893617,0.42045455,85.75675676,NA,NA,0.04545455,87.5,NA,1.40175175666809,1.1675238609314,NA,-0.756002366542816,2.98245054610232,3.15546989440918,NA,-18.9000591635704,0.30769231,0.75,0.48863636,0.5625,0.88888889,0.76744186,0.40909091,0.36363636,0.11363636,6,5,3,1,6,7,14,0.42857143,0.35714286,0.21428571,0.07142857,0.42857143,0.5,1.09002771120915,64,42.14479,45.35143,49.53887,NA,NA,NA,41.94794,45.56926,42.16481,42.6466,40.61905,46.72374,43.63972,43.70462,45.17014,0.52055,4.85792,77.98,120.2,107.56,NA,NA,NA,101.08,94.9,99.96,89.14,114.66,106,94.3443181818182,102.596818181818,99.8836363636364,NA,0.53409091,0.42045455,0.04545455,NA,93.3999958444149,85.6864838471284,87.5250015258789,NA,-9.06841976084608,0.451462255941855,-8.50847625732422,NA,3.95014304303108,1.29390623762801,2.54972410202026,NA,1.42274903506041,1.1774115152657,-0.763685386627913,NA,3.0271256065115,3.1821932845019,-19.0921346656978,0.27906977,0.68888889,0.48863636,0.41666667,0.90322581,0.76744186,0.51136364,20.93939394,0.04545455,0.03409091,NA,0.5,0.42045455,87.5130233764648,93.392832438151,NA,93.4037531072443,85.6814294763514,-7.73080730438232,-4.76932017008464,NA,-8.34755013205788,1.91308037010399,1.0219247341156,5.23622989654541,NA,2.20699119567871,-0.318174800357303,-0.763685386627913,-0.0833682082593441,NA,1.50611724331975,1.1774115152657,-19.0921346656978,-2.77894027531147,NA,3.42299373481761,3.1821932845019,0.28571429,0.67391304,0.48863636,0.5,0.87096774,0.76744186,0.52272727,14,94.9986136300223,16.1226141793387,0,0,107.413,10,0.71428571,"2024-09-03",0
"J.T. Ginn",27889,"2024-08-29","@CIN",10,2024,"OAK","A",25,0,0,7.2,1,1,0,0,0,0,0,0,5,21,4,4,4,2,1,0,1,0,0,4,7.2,1.8,7.2,4,0.1,0,10,5,0,2,1,0,0,0.19047619,0.04761905,0.14285714,3.6695295360573,3.6,0.210526315789474,1,0.153846153846154,0.625,7.96647977828979,-0.766479778289795,4.27848818451166,185.867726998158,203.378309886472,104.592918557606,2,0,0.666666666,0.333333333,0.4,0.4,6,10.8,22,45,67,-0.0322699956595898,-0.384700000286102,0.352430015802383,-1.19500005245209,-0.113002367317677,1.1271904706955,0.783200025558472,0.910000026226044,1.41299998760223,1,1,-0.0991430282592773,0.0705143301833624,0,0,0.55223881,93.45945946,0.26865672,86.66666667,NA,NA,0.17910448,86.83333333,NA,-1.53847336769104,0.294363439083099,NA,0.350516140460968,-4.1580361288947,1.63535243935055,NA,2.92096783717473,0.3,0.7037037,0.46268657,0.41666667,0.84210526,0.67741935,0.40298507,0.76190476,0.14925373,6,4,5,6,6,3,15,0.4,0.26666667,0.33333333,0.4,0.4,0.2,5.3955966815872,39,49.46996,42.35987,59.54246,20,34.00573,20,49.60793,41.02883,45.99608,27.23231,37.90422,27.96165,43.06914,39.80972,42.78387,0.556,4.91109,83.06,109.42,90.6,79.32,105.4,42.16,103.5,99.22,100.86,93.68,90.48,83.4,96.4791044776119,98.8832835820896,92.5794029850746,0.01492537,0.53731343,0.26865672,0.17910448,91.9000015258789,93.477776421441,86.6000027126736,86.7249959309896,-2.99234509468079,-8.28367445203993,0.00423472291893429,-8.22847938537598,6.04821395874023,3.59934319390191,0.830835660298665,2.19600105285645,-0.0210469514131546,-1.54769795015454,0.2952044531703,0.353608775883913,-2.10469514131546,-4.29916097265151,1.640024739835,2.94673979903261,0.25,0.65714286,0.46268657,0.375,0.7826087,0.67741935,0.52238806,19.58695652,0.17910448,0.02985075,NA,0.52238806,0.26865672,86.7833760579427,92.4332504272461,NA,93.5666224888393,86.6518690321181,-7.97988446553548,-4.21679973602295,NA,-8.21043265206473,0.718126614888509,0.782697836558024,5.06502485275269,NA,2.46452331542969,-0.231947633955214,0.353608775883913,-0.0591252744197845,NA,-1.50961962714791,0.2952044531703,2.94673979903261,-2.95626372098923,NA,-4.31319893470832,1.640024739835,0.32352941,0.60606061,0.46268657,0.27272727,0.9,0.67741935,0.49253731,15,82.3646647135417,4.23036549886068,2,0.13333333,106.421,5,0.33333333,"2024-08-29",0
"J.T. Ginn",27889,"2024-08-24","MIL",10,2024,"OAK","H",25,0,0,5.40000205993731,1,0,0,0,0,0,0,0,1.2,8,1,1,1,0,2,1,0,0,0,1,5.40000205993731,10.8000041198746,5.40000205993731,0.5,0,0,2,1,2,0,0,0,0,0.125,0.25,-0.125,7.71174470901489,0,0.166666666666667,1.80000068664577,0.2,0.66666667,5.56648069381749,-0.166478633880179,6.473686083622,139.400848425822,141.532219678972,159.204107059511,2,0.4,0.4,0.2,0,0,1,5.40000205993731,10,19,29,-0.083247996866703,-0.159455999732018,0.0762080103158951,-0.503999948501587,-0.0552631579339504,0.653249979019165,0.686999976634979,0.54119998216629,0.847599983215332,1,1,-0.0859833955764771,-0.0414532665596586,0,1,0.62068966,93.44444444,0.17241379,86.4,NA,NA,0.20689655,87,0.13793103,-0.483607679605484,0.523046553134918,NA,0.120256960391998,-2.68670933114158,10.4609310626984,NA,2.00428267319997,0.21428571,0.66666667,0.44827586,0.66666667,0.9,0.84615385,0.51724138,0.625,0.06896552,3,0,2,0,4,1,5,0.6,0,0.4,0,0.8,0.2,8.79429429170314,NA,20,49.84058,20,20,33.246,20,57.88987,41.52102,56.62556,42.24455,34.60411,56.0724,36.51942,39.63292,36.9539,0.96291,5.52146,89.2,38.96,27.16,90.82,88.2,62.32,119.18,83.48,95.04,98.62,81.54,72.52,106.498620689655,74.4227586206896,73.728275862069,0.10344828,0.51724138,0.17241379,0.20689655,93.1333312988281,93.4600016276042,86.4799987792969,87.0333353678385,-5.1221440633138,-8.98038635253906,-1.05749015808105,-9.1545041402181,8.25128809611003,3.48716328938802,1.17422685623169,2.38227081298828,-0.0725650899112225,-0.41853965446353,0.571634579449892,0.120592448860407,-2.41883633037408,-2.7902643630902,11.4326915889978,2.00987414767345,0.09090909,0.66666667,0.44827586,0,0.91666667,0.84615385,0.62068966,21.72727273,0.20689655,0.10344828,NA,0.51724138,0.17241379,87.1006164550781,93.2009989420573,NA,93.5495198567708,86.5744201660156,-8.15772692362467,-4.19566663106283,NA,-8.2539545694987,0.0821933388710022,0.501497189203898,7.32900683085124,NA,2.15160725911458,-0.133830904960632,0.120592448860407,-0.0725650899112225,NA,-0.41853965446353,0.571634579449892,2.00987414767345,-2.41883633037408,NA,-2.7902643630902,11.4326915889978,0.08333333,0.70588235,0.44827586,0,0.91666667,0.84615385,0.5862069,5,88.2427062988281,10.953092956543,0,0,108.94,1,0.2,"2024-08-24",0
"J.T. Ginn",27889,"2024-08-21","TBR",10,2024,"OAK","H",25,0,0,0,1,0,0,0,0,0,0,0,2,7,0,0,0,0,1,0,0,0,0,3,13.5,4.5,0,3,0,0,2,0,1,0,0,0,0,0.42857143,0.14285714,0.28571429,2.32668825993928,0,0,0.5,0,1,1.6664797782898,-1.6664797782898,1.6664797782898,0,41.0322611616571,39.6124976586293,2,0.333333333,0.666666666,0,0,0,0,0,14,17,31,0.0385599955916405,-0.00595999415963888,0.0445199906826019,0.906000018119812,0.0993421003222466,0.284914284944534,0.343800008296967,0.431199997663498,NA,0,1,0.123435690999031,0.0119032429513924,0,0,0.5483871,94.05882353,0.38709677,86.75,NA,NA,0.06451613,86.5,NA,0.566824913024902,0.769119083881378,NA,-0.135322988033295,3.33426419426413,6.40932569901149,NA,-6.76614940166473,0.33333333,0.5,0.38709677,0.42857143,0.6,0.5,0.32258065,0.57142857,0.19354839,2,0,1,1,0,2,3,0.66666667,0,0.33333333,0.33333333,0,0.66666667,2.42112022421521,NA,20,38.46144,20,NA,NA,NA,37.3819,50.26905,39.00143,58.96272,39.60352,62.59293,44.92091,45.24516,46.10189,0.44096,4.73853,100.52,72.7,71.66,NA,NA,NA,115.46,87.5,109,97.64,125.9,122.86,107.598064516129,101.409677419355,111.956129032258,NA,0.5483871,0.38709677,0.06451613,NA,93.9529383042279,86.7000020345052,86.3500061035156,NA,-9.02902849982767,0.781869888305664,-7.47342872619629,NA,3.20389871036305,-0.00542398169636726,2.14793491363525,NA,0.570629235357046,0.777607619762421,-0.138118088245392,NA,3.3566425609238,6.48006349802017,-6.90590441226959,0.3,0.54545455,0.38709677,0.33333333,0.66666667,0.5,0.35483871,18.47826087,0.06451613,NA,NA,0.5483871,0.38709677,86.416748046875,NA,NA,94.0713034237132,86.7885131835938,-6.18621492385864,NA,NA,-8.15415954589844,2.13129234313965,0.281823009252548,NA,NA,1.61937657524558,-1.53603871663411,-0.138118088245392,NA,NA,0.570629235357046,0.777607619762421,-6.90590441226959,NA,NA,3.3566425609238,6.48006349802017,0.36363636,0.44444444,0.38709677,0.5,0.5,0.5,0.29032258,3,87.2724405924479,-19.6820373535156,0,0,103.079,1,0.33333333,"2024-08-21",0
