"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","CB%","CBv","CH%","CHv","XX%","wFB","wCB","wCH","wFB/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxCU%","pfxCH%","pfxvFA","pfxvSI","pfxvCU","pfxvCH","pfxFA-X","pfxSI-X","pfxCU-X","pfxCH-X","pfxFA-Z","pfxSI-Z","pfxCU-Z","pfxCH-Z","pfxwFA","pfxwSI","pfxwCU","pfxwCH","pfxwFA/C","pfxwSI/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piSI%","piSL%","pivCH","pivFA","pivSI","pivSL","piCH-X","piFA-X","piSI-X","piSL-X","piCH-Z","piFA-Z","piSI-Z","piSL-Z","piwCH","piwFA","piwSI","piwSL","piwCH/C","piwFA/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Jack Kochanowicz",27688,"2024-09-29","TEX",1,2024,"LAA","H",23,0,1,3.85714285714286,1,1,1,0,0,0,0,0,7,29,6,3,3,0,1,0,1,0,0,1,1.28571428571429,1.28571428571429,7.71428571428571,1,0.066666666,0,15,5,6,4,1,0,0,0.03448276,0.03448276,0,4.9388777185907,0,0.222222222222222,1,0.230769230769231,0.625,3.73790834971837,0.119234507424491,4.81791435416256,94.0882711982514,88.9053354349082,118.012530632492,3,0.23076923,0.576923076,0.192307692,0.8,0,0,0,27,50,77,0.00999602023512125,-0.512871980667114,0.522867977619171,0.555800080299377,0.0563977807760239,1.01915335655212,0.96811431646347,0.870000004768372,0.265599995851517,1,1,0.115912929177284,-0.106104768147487,0,0,0.94805195,96.1369863,0.05194805,83.5,NA,NA,NA,0.799731850624084,-0.0328830890357494,NA,1.09552308304669,-0.822077225893736,NA,0.33333333,0.70731707,0.53246753,0.75,1,0.92682927,0.53246753,0.65517241,0.03896104,14,6,6,5,17,4,26,0.53846154,0.23076923,0.23076923,0.19230769,0.65384615,0.15384615,4.25584960214197,59,NA,NA,NA,43.74048,63.421,48.67852,20,38.57265,20,53.28799,56.79329,44.20006,46.42921,49.4854,36.7715,0.34725,4.59797,NA,NA,NA,131.14,81.84,97.36,89.62,49,25.92,96.24,112.66,112.62,98.7130864197531,103.346419753086,102.337530864198,0.1038961,0.84415584,0.05194805,NA,96.4625015258789,95.9615384615385,83.375,NA,-5.28215026855469,-9.57545447716346,4.89889287948608,NA,7.65660953521729,1.30276383620042,-1.38389074802399,NA,-1.2261517085135,2.00989491865039,-0.0337626598775387,NA,-15.3268963564187,3.09214602869291,-0.844066496938467,NA,0.33333333,0.70731707,0.53246753,0.75,1,0.92682927,0.53246753,18.95833333,NA,0.1038961,0.84415584,0.05194805,NA,96.7594604492188,96.2464918870192,83.64990234375,NA,-4.75796890258789,-9.12790339543269,5.41744518280029,NA,7.00510740280151,0.110058520390437,-2.54681468009949,NA,-1.2261517085135,2.00989491865039,-0.0337626598775387,NA,-15.3268963564187,3.09214602869291,-0.844066496938467,0.34285714,0.69047619,0.53246753,0.75,1,0.92682927,0.54545455,26,85.078642578125,4.06611838707557,1,0.03846154,102.148,6,0.23076923,"2024-09-29",0
"Jack Kochanowicz",27688,"2024-09-24","@CHW",1,2024,"LAA","A",23,0,0,0,1,1,1,0,0,0,0,0,7,23,3,0,0,0,0,0,0,0,0,4,5.14285714285714,0,3.85714285714286,4,0.071428571,0,14,2,3,0,1,0,0,0.17391304,0,0.17391304,1.90908636935305,0,0.130434782608696,0.428571428571429,0.157894736842105,1,2.02362263543265,-2.02362263543265,2.45562503721033,0,47.305845243,59.2445137551092,7,0.157894736,0.736842105,0.105263157,0,0,2,2.57142857142857,24,58,82,0.461679965257645,-0.0797820389270782,0.541462004184723,3.47899985313416,0.358475029468536,0.941652178764343,1.17848575115204,0.870000004768372,1.70340001583099,1,1,0.430531084537506,0.0597560678412749,0,0,0.82926829,95.97058824,0.14634146,83.66666667,0.02439024,87,NA,3.22179937362671,0.810759425163269,-0.0879258811473846,4.7379402553334,6.75632854302724,-4.39629405736923,0.44444444,0.78378378,0.59756098,0.75,0.89655172,0.83673469,0.45121951,0.73913043,0.09756098,7,9,3,1,7,11,19,0.36842105,0.47368421,0.15789474,0.05263158,0.36842105,0.57894737,1.98898505782864,79,45.8818,51.62479,52.20016,52.53939,62.01841,46.62397,21.93957,31.83636,24.60721,66.35885,58.16363,52.12327,63.63513,50.812,52.12263,-0.72169,2.99456,111.08,137.54,133.32,105.52,80.48,84.72,90.46,62.68,28.3,101.22,129.36,128.76,101.009787234043,111.608510638298,108.572340425532,0.09756098,0.73170732,0.14634146,0.02439024,96,95.8566650390625,83.6666666666667,86.9499969482422,-6.08453702926636,-9.43568013509115,5.06894302368164,-5.47140312194824,7.65753793716431,1.91704495747884,-0.641007820765177,1.4250373840332,0.0720172710716724,3.23149681463838,0.904233332723379,-0.0897959321737289,0.900215888395905,5.38582802439729,7.53527777269483,-4.48979660868645,0.41025641,0.76744186,0.59756098,0.625,0.93939394,0.83673469,0.52439024,17.62711864,0.02439024,0.08536585,0.74390244,0.14634146,86.8526458740234,96.045645577567,95.769507236168,83.5952555338542,-4.6399097442627,-5.54165703909738,-8.69523945792777,6.28112157185872,-0.13901749253273,6.93205697195871,0.510678338222816,-2.33437077204386,-0.0897959321737289,-0.165625762194395,3.46913984790444,0.904233332723379,-4.48979660868645,-2.36608231706279,5.68711450476138,7.53527777269483,0.41666667,0.73913043,0.59756098,0.66666667,0.91176471,0.83673469,0.56097561,19,92.8879330283717,-2.41203107331928,1,0.05263158,105.849,10,0.52631579,"2024-09-24",0
"Jack Kochanowicz",27688,"2024-09-18","CHW",1,2024,"LAA","H",23,0,0,1.28571428571429,1,1,1,0,0,0,0,0,7,26,5,1,1,1,0,0,0,0,0,5,6.42857142857143,0,6.42857142857143,5,0.09090909,0,11,8,2,2,1,0,0,0.19230769,0,0.19230769,3.539467254144,1.28571428571429,0.192307692307692,0.714285714285714,0.2,1,3.59505120686122,-2.30933692114694,3.46591795682907,31.3627570660838,85.4387112522492,84.3781461705733,1.375,0.095238095,0.523809523,0.38095238,0.25,0.125,0,0,20,59,79,0.246702015399933,-0.264206022024155,0.510908007621765,2.55579996109009,0.259340435266495,0.96210765838623,0.96811431646347,0.870000004768372,0.909799993038177,1,1,0.260767877101898,-0.00434957167677258,0,0,0.87341772,96.05797101,0.10126582,82.375,0.02531646,89.5,NA,1.93515765666962,-0.419004589319229,0.119327783584595,2.80457631401394,-5.23755736649036,5.96638917922974,0.37142857,0.75,0.58227848,0.76923077,0.87878788,0.84782609,0.55696203,0.69230769,0.08860759,6,13,2,5,11,5,21,0.28571429,0.61904762,0.0952381,0.23809524,0.52380952,0.23809524,2.54210762916811,67,28.2191,35.44851,33.79943,79.83015,61.22978,80,37.51537,38.19311,42.48754,62.61092,56.32542,58.79893,63.43477,47.6286,65.12492,-0.70924,3.01323,96.04,76.78,50.94,117.72,95.1,107.54,82.3,117.42,88.08,95.48,112.42,108.74,96.7979310344828,109.909195402299,104.134712643678,0.16455696,0.70886076,0.10126582,0.02531646,96.1230750450721,95.9696393694196,82.3249969482422,89.3499984741211,-5.75183633657602,-9.53939710344587,6.39488554000854,-7.70298910140991,7.48469367394081,2.08656474522182,-0.896354615688324,1.85681748390198,0.792155884206295,1.26280013844371,-0.426243778318167,0.120547816157341,6.09350680158689,2.25500024722091,-5.32804722897708,6.02739080786705,0.375,0.72340426,0.58227848,0.75,0.85294118,0.82608696,0.59493671,18.73584906,0.02531646,0.15189873,0.72151899,0.10126582,89.5272521972656,96.3814900716146,96.1763723273026,82.5243759155273,-6.97656536102295,-5.04662577311198,-9.04053698087993,7.11053991317749,0.428808569908142,6.73656972249349,0.9272191900956,-2.24447417259216,0.120547816157341,0.737381923943758,1.31757409870625,-0.426243778318167,6.02739080786705,6.14484936619798,2.31153350650218,-5.32804722897708,0.34375,0.74468085,0.58227848,0.72727273,0.85714286,0.82608696,0.59493671,21,83.2881266276042,8.97381083170573,0,0,101.994,7,0.33333333,"2024-09-18",0
"Jack Kochanowicz",27688,"2024-09-11","@MIN",1,2024,"LAA","A",23,0,1,6.35294188925147,1,1,0,0,0,0,0,0,5.2,25,7,4,4,1,1,0,2,0,0,3,4.7647064169386,1.58823547231287,11.1176483061901,3,0,0,7,6,5,0,0,1,0,0.12,0.04,0.08,4.97047948401489,1.58823547231287,0.318181818181818,1.4117648642781,0.333333333333333,0.69767442,5.990009506846,0.362932382405467,5.29684185919196,154.968934654754,143.555653766559,129.927082968073,1.166666666,0.277777777,0.388888888,0.333333333,0,0.166666666,3,4.7647064169386,24,45,69,-0.247971951961517,-0.679668009281158,0.431696057319641,-1.44999992847443,-0.151991620659828,1.00011205673218,0.915066659450531,0.922800004482269,1.38880002498627,1,1,-0.104170635342598,-0.143773532805674,0,0,0.88405797,96.91803279,0.10144928,83.71428571,0.01449275,90,NA,-0.285905390977859,-0.587482631206512,0.118980832397938,-0.468697362258786,-8.39260901723589,11.8980832397938,0.21875,0.75675676,0.50724638,0.57142857,0.85714286,0.8,0.53623188,0.52,0.10144928,6,10,3,4,7,8,19,0.31578947,0.52631579,0.15789474,0.21052632,0.36842105,0.42105263,7.98088182787345,42,23.53887,52.29312,20,36.49387,56.84343,30.30619,38.59467,51.77257,38.99789,47.05398,53.19172,41.80054,45.44833,47.92704,39.96204,0.40819,4.68938,107.82,-65.74,-77.6,93.3,58.88,64.18,76.16,107.3,75.82,94.26,99,99.02,91.1913157894737,92.536052631579,88.555,0.17391304,0.71014493,0.10144928,0.01449275,96.9333292643229,96.8877551020408,83.6000017438616,90.0999984741211,-5.96892229715983,-8.97368761957908,5.38810457502093,-8.84279918670654,7.38652674357096,2.00807594766422,-1.18100234440395,1.54594445228577,0.699041940271854,-0.892362054437399,-0.600377805531025,0.120601363480091,5.82534950226545,-1.82114704987224,-8.57682579330036,12.0601363480091,0.08,0.75,0.50724638,0,0.84848485,0.8,0.63768116,18.20930233,0.01449275,0.17391304,0.71014493,0.10144928,89.9113998413086,96.7820129394531,96.7323321906888,83.4410574776786,-8.58475017547607,-5.63175582885742,-8.71221612424267,6.04716164725167,0.627734005451202,6.7898317972819,0.991169287233936,-2.27506337847028,0.120601363480091,0.699041940271854,-0.892362054437399,-0.600377805531025,12.0601363480091,5.82534950226545,-1.82114704987224,-8.57682579330036,0.12,0.72727273,0.50724638,0,0.875,0.8,0.63768116,19,91.6616821289062,12.8078553941515,2,0.10526316,110.311,9,0.47368421,"2024-09-11",0
"Jack Kochanowicz",27688,"2024-09-05","@TEX",1,2024,"LAA","A",23,0,1,4.5,1,1,1,0,0,0,0,0,6,26,8,3,3,1,1,0,1,0,0,0,0,1.5,12,0,0.083333333,0,12,6,6,1,1,0,0,0,0.03846154,-0.03846154,6.01975866782085,1.5,0.333333333333333,1.5,0.304347826086957,0.81395349,6.33314644495646,-1.83314644495646,5.67848818451166,109.769649731293,151.88234141988,139.421515985497,2,0.25,0.5,0.25,0.166666666,0.166666666,1,1.5,28,65,93,-0.0843439698219299,-0.441927969455719,0.357583999633789,-0.0539999231696129,-0.00560749229043722,0.70880001783371,0.595533311367035,0.870000004768372,0.391999989748001,1,1,-0.0292997285723686,-0.0896957111846853,0,0,0.80645161,95.25333333,0.19354839,84.05555556,NA,NA,NA,-0.903410136699677,-0.314605891704559,NA,-1.2045468489329,-1.74781050946977,NA,0.26829268,0.73076923,0.52688172,0.81818182,0.89473684,0.87755102,0.55913978,0.73076923,0.06451613,16,3,5,5,8,11,24,0.66666667,0.125,0.20833333,0.20833333,0.33333333,0.45833333,8.02094083750306,42,NA,NA,NA,40.9934,61.7614,34.02564,20,43.4269,20,71.36304,57.65122,70.36602,70.63519,53.4815,71.97392,-1.15658,2.34222,NA,NA,NA,123.82,61.54,68.3,113.72,62.46,51.02,108.78,118.42,129.76,112.997477477477,101.03045045045,109.623603603604,0.01075269,0.79569892,0.19354839,NA,94.4000015258789,95.2283770586993,84.0888875325521,NA,-2.92582607269287,-9.637939453125,4.96988211737739,NA,8.96803760528564,1.85499696473818,-0.344432565901015,NA,-0.0210469514131546,-0.795734170824289,-0.325290683656931,NA,-2.10469514131546,-1.07531644705985,-1.80717046476073,NA,0.15384615,0.67164179,0.52688172,0.75,0.88888889,0.87755102,0.72043011,18.91044776,NA,0.01075269,0.79569892,0.19354839,NA,94.7514038085938,95.5967060810811,84.4615342881944,NA,-2.27301001548767,-8.84092588682432,5.87733374701606,NA,8.58652973175049,0.670795595323717,-1.58740107218424,NA,-0.0210469514131546,-0.795734170824289,-0.325290683656931,NA,-2.10469514131546,-1.07531644705985,-1.80717046476073,0.19230769,0.65671642,0.52688172,0.8,0.88636364,0.87755102,0.72043011,24,92.1269327799479,7.73393821716309,2,0.08333333,107.467,13,0.54166667,"2024-09-05",0
"Jack Kochanowicz",27688,"2024-08-29","@DET",1,2024,"LAA","A",23,1,0,0,1,1,1,0,0,0,0,0,6,22,5,0,0,0,0,0,1,0,0,4,6,0,7.5,4,0,0,8,3,6,0,0,0,0,0.18181818,0,0.18181818,3.31923322624417,0,0.238095238095238,0.833333333333333,0.294117647058824,1,2.33314644495646,-2.33314644495646,3.0891506480674,0,54.8168643054279,75.0050912271088,2.666666666,0.352941176,0.470588235,0.176470588,0,0,3,4.5,22,51,73,0.319503992795944,-0.283216029405594,0.602720022201538,2.87999987602234,0.303797483444214,1.19025456905365,0.99946665763855,0.870000004768372,1.03760004043579,1,1,0.173842221498489,0.0945911045335847,0,0,0.80821918,95.69491525,0.19178082,84.78571429,NA,NA,NA,1.65334272384644,0.0586862862110138,NA,2.80227580312955,0.419187758650098,NA,0.3030303,0.8,0.57534247,0.8,0.9375,0.9047619,0.54794521,0.63636364,0.05479452,2,11,4,0,11,6,17,0.11764706,0.64705882,0.23529412,0,0.64705882,0.35294118,4.62003375271304,69,NA,NA,NA,20,61.50014,20,20,26.96073,20,63.51116,45.4618,58.97898,53.11563,43.29209,45.55287,-0.06815,3.97487,NA,NA,NA,123.9,31.34,36.06,103.22,79.28,47.68,89.12,123.04,112.52,99.9862068965517,94.8004597701149,88.247816091954,0.01369863,0.79452055,0.19178082,NA,96,95.6258587015086,84.7000034877232,NA,-4.65216588973999,-9.18700961408944,4.61715752737863,NA,7.70673990249634,1.42833117781014,-0.190190315246582,NA,-0.0210469514131546,1.78693910688162,0.096166905015707,NA,-2.10469514131546,3.08092949462348,0.686906464397907,NA,0.33333333,0.74418605,0.57534247,0.8,0.9375,0.9047619,0.5890411,20.15686275,NA,0.01369863,0.79452055,0.19178082,NA,96.1508026123047,95.7693292025862,84.8133544921875,NA,-4.54533004760742,-8.63772846090383,5.72499193464007,NA,7.42926979064941,0.171571583583437,-1.5385377066476,NA,-0.0210469514131546,1.78693910688162,0.096166905015707,NA,-2.10469514131546,3.08092949462348,0.686906464397907,0.33333333,0.74418605,0.57534247,0.8,0.9375,0.9047619,0.5890411,17,93.1859130859375,0.765322573044721,2,0.11764706,105.547,9,0.52941176,"2024-08-29",0
"Jack Kochanowicz",27688,"2024-08-23","@TOR",1,2024,"LAA","A",23,0,0,4.5,1,1,1,0,0,0,0,0,6,25,7,3,3,0,0,0,0,0,0,1,1.5,0,10.5,1,0.055555555,0,18,4,2,1,1,0,0,0.04,0,0.04,3.08132268401489,0,0.28,1.16666666666667,0.291666666666667,0.57142857,2.83314644495646,1.66685355504354,3.84115204910437,109.769649731293,66.9500489447344,93.7130584141994,4.5,0.083333333,0.75,0.166666666,0.25,0,4,6,19,55,74,-0.106985986232758,-0.661160051822662,0.554174065589905,-0.730000078678131,-0.0771262496709824,1.23282396793365,1.08179998397827,0.870000004768372,2.60940003395081,1,1,0.0394188761711121,-0.126200110974713,0,0,0.86486486,95.765625,0.12162162,85,0.01351351,88,NA,0.570584774017334,-0.397642850875854,-0.0207000374794006,0.891538709402084,-4.41825389862061,-2.07000374794006,0.41666667,0.71052632,0.56756757,0.86666667,0.88888889,0.88095238,0.51351351,0.56,0.06756757,7,12,5,7,11,6,24,0.29166667,0.5,0.20833333,0.29166667,0.45833333,0.25,1.89391900612456,53,62.22,59.71934,63.53868,70.40571,61.96366,68.09448,47.7062,46.68223,43.85363,69.53138,59.15806,64.76219,75.02219,53.65141,73.95692,-1.42912,1.93341,114.76,178.94,174.08,114.88,110.28,126.08,103.56,124.16,102.24,96.02,113.02,108.02,100.260963855422,114.617590361446,112.492771084337,0.06756757,0.7972973,0.12162162,0.01351351,96.2399963378906,95.6915221133475,84.8777804904514,88.1999969482422,-7.03758163452148,-10.1634955971928,3.55670971340603,-10.9762287139893,8.9026008605957,2.77403983423265,0.779202461242676,3.53471994400024,0.158290419727564,0.418949153274298,-0.404608611017466,-0.0210469514131546,3.16580839455128,0.710083310634403,-4.4956512335274,-2.10469514131546,0.3,0.75,0.56756757,0.88888889,0.87878788,0.88095238,0.59459459,18.26530612,0.01351351,0.06756757,0.7972973,0.12162162,88.5274963378906,96.5615417480469,95.9874039989407,85.1450670030382,-10.6258001327515,-6.49012222290039,-9.62845521054025,4.24702326456706,1.45863997936249,7.77712249755859,1.28531556210275,-0.704304536183675,-0.0210469514131546,0.158290419727564,0.418949153274298,-0.404608611017466,-2.10469514131546,3.16580839455128,0.710083310634403,-4.4956512335274,0.34375,0.73809524,0.56756757,0.90909091,0.87096774,0.88095238,0.56756757,24,89.2390879755435,-4.20844078063965,1,0.04166667,108.941,9,0.375,"2024-08-23",0
"Jack Kochanowicz",27688,"2024-08-18","ATL",1,2024,"LAA","H",23,0,1,3,1,1,1,0,0,0,0,0,6,26,7,2,2,1,3,1,1,0,0,0,0,4.5,10.5,0,0,0,10,7,4,0,0,1,0,0,0.11538462,-0.11538462,7.46590363557572,1.5,0.318181818181818,1.66666666666667,0.285714285714286,0.9375,7.33314644495646,-4.33314644495646,6.93048958554864,73.1797664875289,176.148710698494,170.568267968263,1.428571428,0.19047619,0.476190476,0.333333333,0,0.142857142,1,1.5,28,57,85,0.0687760189175606,-0.477616012096405,0.546392023563385,1.04780006408691,0.106321662664413,1.08173334598541,0.856133341789246,0.870000004768372,0.986999988555908,1,1,-0.0440585277974606,0.10763798494631,0,0,0.8,96.10294118,0.18823529,85.8125,0.01176471,87,0.04705882,1.11664021015167,-1.08442914485931,-0.0238054171204567,1.6421179561054,-6.77768215537071,-2.38054171204567,0.23529412,0.68627451,0.50588235,0.75,0.88571429,0.86046512,0.6,0.65384615,0.07058824,8,7,7,1,13,8,22,0.36363636,0.31818182,0.31818182,0.04545455,0.59090909,0.36363636,8.63864480950868,43,20,43.32715,20,53.07368,65.42758,47.52878,20,51.6962,20,58.57951,59.30104,57.50631,58.88855,55.86062,58.15854,-0.4268,3.43689,85.58,83.2,68.62,119.86,76.48,89.6,74.22,33.82,19.78,101.22,90.08,91.54,105.607878787879,85.8179797979798,89.7068686868687,0.01176471,0.78823529,0.18823529,0.01176471,95.8000030517578,96.0313447411381,85.8125,87.0999984741211,-6.56761074066162,-9.20320880946828,3.96109437942505,-8.85066699981689,7.86906814575195,1.68746914080719,-0.314895153045654,2.95440006256104,-0.0350487045943737,1.20174452289939,-1.08281702920794,-0.0242429338395596,-3.50487045943737,1.79364854164088,-6.76760643254966,-2.42429338395596,0.21428571,0.64912281,0.50588235,0.66666667,0.89189189,0.86046512,0.67058824,19.41666667,0.01176471,0.01176471,0.78823529,0.18823529,87.1754989624023,95.834602355957,96.0669674090485,85.8262023925781,-8.0773401260376,-6.02520990371704,-8.76775029879897,4.64773321151733,1.53849005699158,7.43810987472534,0.728242959549178,-1.22587239742279,-0.0242429338395596,-0.0350487045943737,1.20174452289939,-1.08281702920794,-2.42429338395596,-3.50487045943737,1.79364854164088,-6.76760643254966,0.15384615,0.66101695,0.50588235,0.75,0.87179487,0.86046512,0.69411765,22,94.1228550502232,7.43200029645647,2,0.09090909,110.729,11,0.5,"2024-08-18",0
"Jack Kochanowicz",27688,"2024-08-11","@WSN",1,2024,"LAA","A",23,1,0,2.34782628165753,1,1,1,0,0,0,0,0,7.2,29,6,2,2,1,1,0,0,1,0,2,2.34782628165753,1.17391314082877,7.0434788449726,2,0.117647058,0,17,6,3,0,2,0,0,0.06896552,0.03448276,0.03448276,4.30846630183552,1.17391314082877,0.214285714285714,0.913043553977929,0.2,0.89285714,4.73169729939482,-2.38387101773728,4.21935600960265,57.2711263483271,113.020985072762,103.12185376122,2.833333333,0.115384615,0.653846153,0.23076923,0,0.166666666,6,7.0434788449726,32,61,93,0.224923983216286,-0.133448019623756,0.358372002840042,1.70299994945526,0.176843196153641,0.537346661090851,0.588349997997284,0.870000004768372,0.351999998092651,1,1,0.202795088291168,0.215787550260404,0,0,0.7311828,95.54411765,0.23655914,85,0.03225806,88,NA,1.48043465614319,-0.00520491227507591,-0.330260187387466,2.17710978844587,-0.023658692159436,-11.0086729129155,0.17073171,0.78846154,0.51612903,1,0.90243902,0.91666667,0.55913978,0.51724138,0.04301075,8,13,5,4,16,6,26,0.30769231,0.5,0.19230769,0.15384615,0.61538462,0.23076923,4.36354761973175,61,30.22111,46.91856,21.85513,59.10534,59.4503,56.27649,NA,NA,NA,50.51684,55.63542,45.79878,54.20636,51.76769,49.09718,-0.13591,3.87323,85.52,77.06,70.52,111.06,89.84,97.48,NA,NA,NA,100.92,106.72,109.12,103.66452173913,100.752695652174,104.387826086957,NA,0.7311828,0.23655914,0.03225806,NA,95.5323558134191,85.031815962358,87.8666687011719,NA,-8.96639476102941,3.40430693192915,-7.09319623311361,NA,1.77126469331629,-0.000101787800138647,4.22748184204102,NA,0.906600870192051,0.051060639321804,0.292128849774599,NA,1.33323657381184,0.232093815099109,9.73762832581997,0.08823529,0.76271186,0.51612903,1,0.91111111,0.91666667,0.6344086,19.96875,0.02150538,NA,0.74193548,0.23655914,86.1494445800781,NA,95.9704271399457,85.5026134144176,-6.52739524841309,NA,-8.66955212579257,3.92447662353516,2.13666701316833,NA,0.828910993493122,-1.12267164750533,0.00431566312909126,NA,1.19441405683756,0.051060639321804,0.215783156454563,NA,1.73103486498197,0.232093815099109,0.13888889,0.75438596,0.51612903,0.8,0.93023256,0.91666667,0.61290323,26,86.9350398137019,-3.20755826509916,0,0,109.629,10,0.38461538,"2024-08-11",0
"Jack Kochanowicz",27688,"2024-07-20","@OAK",1,2024,"LAA","A",23,0,1,15.75,1,1,0,0,0,0,0,0,4,19,7,7,7,1,3,0,0,0,0,4,9,6.75,15.75,1.33333333,0,0,7,3,2,0,0,0,0,0.21052632,0.15789474,0.05263158,5.07924708634494,2.25,0.4375,2.5,0.545454545454545,0.34883721,6.6664797782898,9.08352022171021,4.5504860829562,384.193774059526,159.971131179418,111.359565204861,2.333333333,0.166666666,0.583333333,0.25,0,0.333333333,1,2.25,29,45,74,-0.366103976964951,-0.528519988059998,0.162415981292725,-5.1879997253418,-0.5688596367836,0.752799987792969,0.607699990272522,0.870000004768372,0.061599999666214,1,1,-0.218484818935394,-0.267838218925274,0,0,0.48648649,95.58333333,0.35135135,86.03846154,0.16216216,87.83333333,NA,-2.47940492630005,0.162617087364197,-0.644944906234741,-6.88723590638902,0.625450336016141,-5.37454088528951,0.37254902,0.65217391,0.45945946,0.63157895,1,0.79411765,0.31081081,0.57894737,0.09459459,6,3,3,2,3,7,12,0.5,0.25,0.25,0.16666667,0.25,0.58333333,6.68529409507894,20,49.61027,38.91814,52.1997,70.69076,60.65362,64.69357,NA,NA,NA,24.453,65.82089,20,42.05104,56.96283,31.5659,0.61925,5.00597,91.68,96.3,83.02,104.56,121.62,128.02,NA,NA,NA,112.8,42.8,54.82,103.8446,91.5252,95.9748,NA,0.48648649,0.35135135,0.16216216,NA,95.5138888888889,85.9923095703125,87.9416707356771,NA,-9.57589297824436,2.84627914428711,-6.48247083028158,NA,1.92962837219238,0.378925030048077,2.12735446294149,NA,-2.50233094766736,0.161110766232014,-0.653098914772272,NA,-6.950919299076,0.619656793200053,-5.4424909564356,0.36956522,0.60714286,0.45945946,0.58823529,1,0.79411765,0.37837838,19.01818182,0.16216216,NA,0.48648649,0.35135135,88.4543050130208,NA,96.0582817925347,86.5266770582933,-5.44201532999675,NA,-8.67762332492405,4.10877345158504,0.81585955619812,NA,0.649476422203912,-1.09747167733999,-0.653098914772272,NA,-2.50233094766736,0.161110766232014,-5.4424909564356,NA,-6.950919299076,0.619656793200053,0.36956522,0.60714286,0.45945946,0.58823529,1,0.79411765,0.37837838,12,98.8470237038352,8.58863830566406,2,0.16666667,109.246,8,0.66666667,"2024-07-20",0
