"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","CH%","CHv","XX%","wFB","wSL","wCB","wCH","wFB/C","wSL/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSL%","pfxCU%","pfxCH%","pfxvFA","pfxvSL","pfxvCU","pfxvCH","pfxFA-X","pfxSL-X","pfxCU-X","pfxCH-X","pfxFA-Z","pfxSL-Z","pfxCU-Z","pfxCH-Z","pfxwFA","pfxwSL","pfxwCU","pfxwCH","pfxwFA/C","pfxwSL/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piSL%","piXX%","pivCH","pivCU","pivFA","pivSL","pivXX","piCH-X","piCU-X","piFA-X","piSL-X","piXX-X","piCH-Z","piCU-Z","piFA-Z","piSL-Z","piXX-Z","piwCH","piwCU","piwFA","piwSL","piwXX","piwCH/C","piwCU/C","piwFA/C","piwSL/C","piwXX/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Jake Latz",21306,"2024-08-02","BOS",13,2024,"TEX","H",28,0,0,9,1,0,0,0,0,0,0,0,2,10,3,2,2,1,3,0,0,0,0,0,0,13.5,13.5,0,0.25,0,4,3,0,0,1,0,0,0,0.3,-0.3,10.7609890840149,4.5,0.428571428571429,3,0.333333333333333,0.86956522,14.1664797782898,-5.16647977828979,9.93449238762259,223.372727199872,345.175176548051,245.30055672947,1.333333333,0,0.571428571,0.428571428,0,0.333333333,2,9,19,22,41,-0.0380399934947491,-0.0909319967031479,0.0528919994831085,-1.09900009632111,-0.114122524857521,0.289959996938705,0.333066672086716,0.495200008153915,0.201999992132187,1,1,-0.265877336263657,0.134686848277859,0,0,0.53658537,95.18181818,0.17073171,83.14285714,0.07317073,77,0.2195122,85.88888889,NA,-0.183215782046318,-0.564451932907104,-0.531849324703217,-0.710954964160919,-0.832799009301446,-8.06359904153006,-17.7283108234406,-7.89949960178799,0.18518519,1,0.46341463,1,0.92857143,0.94736842,0.34146341,0.3,0.02439024,3,2,2,1,2,4,7,0.42857143,0.28571429,0.28571429,0.14285714,0.28571429,0.57142857,13.3704840670496,69.76212,60.19139,65.60576,63.41405,51.52167,71.31932,31.16119,70.42492,20,43.25862,49.89572,50.63857,40.75963,64.71698,30.01824,0.69948,5.12631,88.82,132.92,139.98,98.62,116.54,110.82,111.88,32.84,44.6,110.48,95.38,92.26,105.608780487805,71.6107317073171,78.519512195122,0.53658537,0.17073171,0.07317073,0.2195122,95.154541015625,83.0142822265625,76.8666687011719,85.8222249348958,3.99718960848722,-3.47722108023507,-2.92452589670817,8.42206573486328,11.1905524513938,-0.841413838522775,-9.90290323893229,7.41410488552517,-0.189482241868973,-0.574209336191416,-0.539985608309507,-0.700210891664028,-0.86128291758624,-8.20299051702023,-17.9995202769836,-7.7801210184892,0.18181818,0.78947368,0.46341463,1,0.93333333,0.94736842,0.46341463,19.25806452,0.2195122,0.07317073,0.53658537,0.17073171,NA,86.0751546223958,77.1119995117188,95.4109774502841,83.249267578125,NA,7.78492906358507,-3.60741329193115,3.29551696777344,-4.25905581883022,NA,5.79473665025499,-11.8090006510417,10.0822871815075,-2.25156279972621,NA,-0.700210891664028,-0.539985608309507,-0.189482241868973,-0.574209336191416,NA,-7.7801210184892,-17.9995202769836,-0.86128291758624,-8.20299051702023,NA,0.22727273,0.73684211,0.46341463,1,0.92857143,0.94736842,0.46341463,7,90.4550606863839,5.69821984427316,1,0.14285714,104.233,4,0.57142857,"2024-08-02",0
"Jake Latz",21306,"2024-07-31","@STL",13,2024,"TEX","A",28,0,0,0,1,0,0,0,0,0,0,0,2,7,1,0,0,0,0,0,0,0,0,3,13.5,0,4.5,3,0.5,0,2,1,1,0,1,0,0,0.42857143,0,0.42857143,0.950953579058688,0,0.142857142857143,0.5,0.25,1,0.166479778289795,-0.166479778289795,0.922483981400728,0,2.26073042371058,21.1036904458492,2,0.25,0.5,0.25,0,0,0,0,14,21,35,-0.000300028303172439,-0.00082799670053646,0.00052796839736402,0.782000005245209,0.0824894607067108,0.0052000000141561,0.00546666653826833,0.0164000000804663,NA,0,1,-0.0385942570865154,-0.0191034933664969,0,0,0.51428571,96.05555556,0.34285714,84.83333333,NA,NA,0.14285714,85.6,NA,1.06243622303009,-0.40342515707016,NA,0.286026239395142,5.90242346127828,-3.361876308918,NA,5.72052478790283,0.31818182,0.61538462,0.42857143,0.42857143,0.875,0.66666667,0.37142857,0.57142857,0.14285714,2,2,0,1,2,1,4,0.5,0.5,0,0.25,0.5,0.25,0.733951330178085,63.93675,56.18026,68.04646,NA,NA,NA,43.75332,62.90216,30.49736,49.99708,56.87453,53.72515,47.99095,61.98567,43.54428,0.25023,4.45244,110.16,110.76,120.88,NA,NA,NA,102.92,82.04,88.26,116.78,100.22,114.98,108.706285714286,92.376,102.081142857143,0.51428571,0.34285714,NA,0.14285714,96.0111083984375,84.8333333333333,NA,85.7799987792969,4.01986185709635,-2.86788972218831,NA,8.13175506591797,10.0761066012912,-0.75156291325887,NA,5.78996391296387,1.11802840605378,-0.404329393059015,NA,0.289216734468937,6.21126892252101,-3.36941160882513,NA,5.78433468937874,0.25,0.57894737,0.42857143,0.5,0.72727273,0.66666667,0.54285714,19.32142857,0.14285714,NA,0.51428571,0.34285714,NA,86.032958984375,NA,96.2605794270833,85.0438944498698,NA,7.26617813110352,NA,2.84623061286079,-4.30102825164795,NA,4.69498596191406,NA,9.32053799099392,-1.71291859944661,NA,0.289216734468937,NA,1.11802840605378,-0.404329393059015,NA,5.78433468937874,NA,6.21126892252101,-3.36941160882513,NA,0.29411765,0.55555556,0.42857143,0.4,0.8,0.66666667,0.51428571,4,82.3723526000977,-2.84018468856812,0,0,100.55,2,0.5,"2024-07-31",0
"Jake Latz",21306,"2024-07-28","@TOR",13,2024,"TEX","A",28,0,0,5.40000205993731,1,0,0,0,0,0,0,0,1.2,7,1,1,1,0,1,0,0,0,0,0,0,5.40000205993731,5.40000205993731,0,0,0,1,2,3,0,0,0,0,0,0.14285714,-0.14285714,8.12183110916828,0,0.166666666666667,1.20000045776385,0.166666666666667,0.5,4.96648046493556,0.433521595001745,6.78089124454459,134.023687445902,119.831414484967,166.846624829184,0.5,0.5,0.166666666,0.333333333,0,0,0,0,13,22,35,-0.0487160086631775,-0.0722059682011604,0.0234899614006281,-1.01900005340576,-0.107659794390202,0.271600008010864,0.18860000371933,0.381000012159348,0.066200003027916,1,1,-0.0162776503711939,-0.163089091993662,0,0,0.45714286,95.1875,0.11428571,83.5,0.02857143,80,0.4,86.57142857,NA,-0.921742618083954,0.185232430696487,-0.0879258811473846,1.04699623584747,-5.76089136302471,4.63081076741219,-8.79258811473846,7.47854454176766,0.33333333,0.78571429,0.51428571,0.71428571,0.90909091,0.83333333,0.4,0.42857143,0.08571429,3,2,1,2,2,2,6,0.5,0.33333333,0.16666667,0.33333333,0.33333333,0.33333333,11.9550985730428,73.68741,56.23918,80,80,49.34438,80,63.5807,65.32538,50.80054,51.75323,44.46975,66.16433,71.75047,61.06814,74.1215,-1.22587,2.23829,102.82,158.08,170.12,110.62,186.52,162.24,110.16,106.58,115.08,105.94,89.54,90.86,106.754857142857,127.516571428571,135.675428571429,0.45714286,0.11428571,0.02857143,0.4,95.0562515258789,83.2750015258789,79.6999969482422,86.6071428571429,4.29124450683594,-3.18123841285706,-1.1433516740799,8.82914842878069,10.6150493621826,-0.463718563318253,-7.92189836502075,5.28809901646205,-0.935417771339417,0.186800263822079,-0.0897959321737289,1.06110540404916,-5.84636107087135,4.67000659555197,-8.97959321737289,7.57932431463684,0.35,0.73333333,0.51428571,0.71428571,0.90909091,0.83333333,0.42857143,19.85714286,0.4,0.02857143,0.45714286,0.11428571,NA,86.5383911132812,79.6384963989258,95.0045852661133,83.2369232177734,NA,8.56871196201869,-1.56541001796722,3.87581992149353,-3.83259987831116,NA,3.81266648428781,-9.77118015289307,9.5864839553833,-1.69441998004913,NA,1.06110540404916,-0.0897959321737289,-0.935417771339417,0.186800263822079,NA,7.57932431463684,-8.97959321737289,-5.84636107087135,4.67000659555197,NA,0.35,0.73333333,0.51428571,0.71428571,0.90909091,0.83333333,0.42857143,6,81.5327657063802,25.0796254475911,0,0,110.706,1,0.16666667,"2024-07-28",0
"Jake Latz",21306,"2024-07-26","@TOR",13,2024,"TEX","A",28,0,0,0,1,0,0,0,0,0,0,0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.03472908401489,0,0,0,0,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,75.742397450355,76.9288520456552,0,1,0,0,0,0,0,0,3,7,10,0.143798023462296,0,0.143798023462296,0.879999995231628,0.0929741114377975,3.14660000801086,1.57330000400543,3.14660000801086,1.7985999584198,1,1,0.0456994920969009,4.01733493693435e-10,1,0,0.5,94.8,0.5,82.8,NA,NA,NA,NA,NA,0.322638869285583,-0.0728156045079231,NA,NA,6.45277738571167,-1.45631209015846,NA,NA,0.57142857,0.66666667,0.6,1,1,1,0.3,NA,0,1,0,0,0,1,0,1,1,0,0,0,1,0,35.3014214787642,NA,NA,NA,NA,NA,NA,80,52.91349,80,74.91617,66.47688,80,80,61.95289,80,-2.82188,-0.15573,NA,NA,NA,NA,NA,NA,121.3,95.42,99.82,97.04,144.8,139.1,109.17,120.11,119.46,0.5,0.5,NA,NA,94.6400024414063,82.8799987792969,NA,NA,4.18563499450684,-3.55982971191406,NA,NA,10.2559410095215,-1.17157535552979,NA,NA,0.327438980340958,-0.0746744982898235,NA,NA,6.54877960681915,-1.49348996579647,NA,NA,0.57142857,0.66666667,0.6,1,1,1,0.3,27.77777778,NA,NA,0.5,0.5,NA,NA,NA,94.5422790527344,82.7884765625,NA,NA,NA,3.75126609802246,-4.30041198730469,NA,NA,NA,9.38606185913086,-2.80677490234375,NA,NA,NA,0.327438980340958,-0.0746744982898235,NA,NA,NA,6.54877960681915,-1.49348996579647,NA,0.57142857,0.66666667,0.6,1,1,1,0.3,1,101.436851501465,14.0796346664429,0,0,101.437,1,1,"2024-07-26",0
"Jake Latz",21306,"2024-07-25","CHW",13,2024,"TEX","H",28,0,0,0,1,0,0,0,0,0,1,0,0.2,4,2,0,0,0,1,0,0,0,0,1,13.500014081612,13.500014081612,27.000028163224,1,0,0,0,1,1,0,0,0,0,0.25,0.25,0,6.49179158401489,0,0.666666666666667,4.50000469387067,1,1,4.66648134291335,-4.66648134291335,6.93449631797012,0,112.483269287393,170.667945732913,0,0.5,0,0.5,0,0,0,0,5,9,14,0.011239979416132,-0.0631319880485535,0.0743719637393951,0.0599999949336052,0.00623052939772606,1.34590005874634,1.73000001907349,1.73000001907349,3.27279996871948,1,1,-0.00492912717163563,0.0132804006135891,0,0,0.5,95.28571429,NA,NA,0.14285714,76.5,0.35714286,85.6,NA,-0.348333835601807,NA,0.0778313875198364,-0.705016911029816,-4.97619765145438,NA,3.89156937599182,-14.1003382205963,0.375,0.33333333,0.35714286,0.33333333,0.5,0.4,0.42857143,0.5,0.21428571,0,2,0,0,1,1,2,0,1,0,0,0.5,0.5,7.61619211127874,50.7946,48.9841,45.56458,80,61.28639,80,20,65.23063,20,NA,NA,NA,33.31269,58.86722,20,1.16213,5.82029,108.06,88.44,86.4,84.42,169.24,161.62,101.58,43.04,57.86,NA,NA,NA,101.442857142857,77.2828571428571,82.8757142857143,0.5,NA,0.14285714,0.35714286,95.0714285714286,NA,76.4000015258789,85.7400024414062,3.04091099330357,NA,-3.35420560836792,7.82183990478516,10.7606353759766,NA,-11.7055339813232,7.21800308227539,-0.357044003903866,NA,0.0787287354469299,-0.716880224645138,-5.10062862719808,NA,3.9364367723465,-14.3376044929028,0.375,0.33333333,0.35714286,0.33333333,0.5,0.4,0.42857143,17.9,0.35714286,0.14285714,0.5,NA,NA,85.9860412597656,76.673095703125,95.3325369698661,NA,NA,7.67004013061523,-3.76465010643005,2.45000866481236,NA,NA,5.72342376708984,-13.2560501098633,9.7748053414481,NA,NA,-0.716880224645138,0.0787287354469299,-0.357044003903866,NA,NA,-14.3376044929028,3.9364367723465,-5.10062862719808,NA,NA,0.14285714,0.42857143,0.28571429,0,0.66666667,0.5,0.5,2,97.2693328857422,14.6287498474121,0,0,97.4852,2,1,"2024-07-25",0
"Jake Latz",21306,"2024-07-20","BAL",13,2024,"TEX","H",28,0,0,18,1,0,0,0,0,0,0,0,1,6,2,2,2,1,1,0,0,0,0,2,18,9,18,2,0,0,0,2,1,0,0,0,0,0.33333333,0.16666667,0.16666667,4.28472907744389,9,0.4,3,0.5,0.625,15.1664797782898,2.83352022171021,5.19049659073353,446.745454399744,369.669065556933,127.281471151288,0,0.333333333,0,0.666666666,0,0.5,0,0,10,13,23,-0.0785479992628098,-0.108484007418156,0.0299360062927008,-1.5090000629425,-0.156697809696198,0.302685707807541,0.420399993658066,0.420399993658066,0.0967999994754791,1,1,-0.230616703629494,-0.028886792031932,0,1,0.52173913,95.16666667,0.34782609,82.625,0.04347826,77,0.08695652,85.5,NA,0.521240055561066,-2.12006616592407,-0.0344077162444592,0.227396890521049,4.34366712967555,-26.5008270740509,-3.44077162444592,11.3698445260525,0.28571429,0.55555556,0.39130435,0,0.8,0.44444444,0.39130435,0.5,0.2173913,1,2,0,0,1,2,3,0.33333333,0.66666667,0,0,0.33333333,0.66666667,15.3376434755148,59.19625,42.17655,72.26482,20,55.93628,26.08033,32.01642,68.43436,20,80,50.03638,80,49.83828,60.53475,55.08379,0.13546,4.28028,109.12,143.32,133.34,87.64,62.62,58.84,104.22,70.52,81.46,95.26,113,112.18,100.808695652174,91.2826086956522,95.6730434782609,0.52173913,0.34782609,0.04347826,0.08695652,95.2416687011719,82.5749969482422,76.9000015258789,85.3000030517578,2.67611312866211,-3.93194365501404,-3.42039465904236,6.11763954162598,10.0049343109131,-1.0964013338089,-9.69449234008789,6.34414958953857,0.526861626654863,-2.13533800840378,-0.0350487045943737,0.218498561531305,4.3905135554572,-26.6917251050472,-3.50487045943737,10.9249280765653,0.23076923,0.6,0.39130435,0,0.66666667,0.44444444,0.43478261,17.52941176,0.08695652,0.04347826,0.52173913,0.34782609,NA,85.4642486572266,77.0799026489258,95.4542338053385,82.7675857543945,NA,5.98519515991211,-3.88503003120422,2.33382892608643,-4.31101131439209,NA,4.60107517242432,-11.5984001159668,9.13948758443197,-2.24210667610168,NA,0.218498561531305,-0.0350487045943737,0.526861626654863,-2.13533800840378,NA,10.9249280765653,-3.50487045943737,4.3905135554572,-26.6917251050472,NA,0.23076923,0.6,0.39130435,0,0.66666667,0.44444444,0.43478261,3,101.540934244792,25.5262298583984,1,0.33333333,104.962,3,1,"2024-07-20",0
"Jake Latz",21306,"2024-07-14","@HOU",13,2024,"TEX","A",28,0,0,0,1,0,0,0,0,0,1,0,0.2,2,0,0,0,0,0,0,0,0,0,1,13.500014081612,0,0,1,0,0,1,0,0,0,0,0,0,0.5,0,0.5,-0.528020915985107,0,0,0,0,1,0.166476649042681,-0.166476649042681,0.166476649042681,0,2.26065377627907,2.29606542354053,1,0,1,0,0,0,0,0,2,5,7,0.106257997453213,0,0.106257997453213,0.879999995231628,0.0932697355747223,2.2632999420166,1.34350001811981,2.68700003623962,0.863800048828125,1,1,0.047555647790432,-0.000607386324681748,1,0,0.57142857,97.25,NA,NA,NA,NA,0.42857143,88,NA,0.231904864311218,NA,NA,0.363005131483078,5.79762160778046,NA,NA,12.1001710494359,0.5,0.33333333,0.42857143,0.5,1,0.66666667,0.42857143,0.5,0.14285714,0,1,0,0,1,0,1,0,1,0,0,1,0,-0.934856819821311,44.53361,51.38885,39.52473,NA,NA,NA,55.76007,75.50752,46.72277,NA,NA,NA,46.62512,67.10156,38.52053,0.33508,4.57971,80.48,78.98,76.2,NA,NA,NA,117.84,80.3,93.22,NA,NA,NA,101.828571428571,79.7342857142857,85.9257142857143,0.57142857,NA,NA,0.42857143,97.0500030517578,NA,NA,87.8333333333333,3.87631607055664,NA,NA,8.75529988606771,11.3316707611084,NA,NA,7.23297754923503,0.234170846641064,NA,NA,0.367925941944122,5.85427116602659,NA,NA,12.2641980648041,0.5,0.33333333,0.42857143,0.5,1,0.66666667,0.42857143,21.6,0.42857143,NA,0.57142857,NA,NA,87.8225301106771,NA,97.0680694580078,NA,NA,8.15987014770508,NA,3.02721500396729,NA,NA,5.18812338511149,NA,9.83959007263184,NA,NA,0.367925941944122,NA,0.234170846641064,NA,NA,12.2641980648041,NA,5.85427116602659,NA,NA,0.5,0.33333333,0.42857143,0.5,1,0.66666667,0.42857143,1,88.8607482910156,-11.3928337097168,0,0,88.8607,0,0,"2024-07-14",0
"Jake Latz",21306,"2024-07-10","@LAA",13,2024,"TEX","A",28,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,2,18,9,0,2,0,0,1,0,0,0,0,0,0,0.5,0.25,0.25,3.84572908401489,0,0,1,0,1,2.1664797782898,-2.1664797782898,2.1664797782898,0,51.2485084414735,52.0512824543046,1,0,1,0,0,0,0,0,7,9,16,0.0175480265170336,-0.0081539573147893,0.0257019829005003,0.508000016212463,0.0515474379062653,0.305949985980988,0.305600017309189,0.305600017309189,0.214199990034103,1,1,0.0415647327899933,0.0157911335970183,0,0,0.5625,96.22222222,0.1875,84,0.0625,76,0.1875,86.66666667,NA,0.0577573105692863,-0.103223145008087,0.0389156937599182,0.437334418296814,0.641747895214293,-3.44077150026957,3.89156937599182,14.5778139432271,0.27272727,0.6,0.375,0.33333333,0.33333333,0.33333333,0.3125,0.25,0.25,0,1,0,0,1,0,1,0,1,0,0,1,0,1.53244283571905,80,49.33913,80,35.877,55.63842,51.49709,45.59324,68.6709,29.23013,20,45.70714,20,42.33253,60.38402,30.73864,0.60176,4.97973,129.92,201.16,210.42,83.82,135.68,126.62,108.7,45.4,58.66,97.18,40.4,47.2,108.96375,79.31,89.21375,0.5625,0.1875,0.0625,0.1875,96.0888875325521,83.9666646321615,76.4000015258789,86.4333292643229,3.28362125820584,-2.97428480784098,-2.63279819488525,7.62884330749512,10.0596474541558,-1.22599442799886,-9.04103374481201,5.11223856608073,0.0545387603342533,-0.105146113783121,0.039364367723465,0.442426517605782,0.605986225936148,-3.50487045943737,3.9364367723465,14.7475505868594,0.27272727,0.6,0.375,0.33333333,0.33333333,0.33333333,0.3125,18,0.1875,0.0625,0.5625,0.1875,NA,86.7527058919271,76.6414031982422,96.3649766710069,84.2572326660156,NA,7.18565368652344,-3.32747006416321,2.51309246487088,-4.0313933690389,NA,3.41462643941244,-11.0047998428345,9.0026863945855,-2.96915753682454,NA,0.442426517605782,0.039364367723465,0.0545387603342533,-0.105146113783121,NA,14.7475505868594,3.9364367723465,0.605986225936148,-3.50487045943737,NA,0.27272727,0.6,0.375,0.33333333,0.33333333,0.33333333,0.3125,1,72.9976577758789,-15.1893072128296,0,0,72.9977,0,0,"2024-07-10",0
"Jake Latz",21306,"2024-07-06","TBR",13,2024,"TEX","H",28,0,0,27.000028163224,1,0,0,0,0,0,0,1,0.1,3,2,1,1,1,0,0,0,0,0,1,27.000028163224,0,54.0000563264481,1,1,0,1,1,0,0,1,0,0,0.33333333,0,0.33333333,1.87828464271067,27.000028163224,0.666666666666667,6.00000625849423,1,1,36.1665142000081,-9.16648603678403,1.70250346990911,670.118880588077,884.04157786519,40.5086795538261,1,0,0.5,0.5,0,1,0,0,6,11,17,-0.355091989040375,-0.468143969774246,0.113051995635033,-1.83299994468689,-0.190342664718628,2.1265332698822,1.38719999790192,2.77439999580383,0.918799996376038,1,1,-0.132427081465721,-0.0345545473051491,0,1,0.41176471,94.57142857,0.17647059,83.33333333,0.11764706,77.5,0.29411765,86.4,NA,0.305014550685883,-0.04739710688591,-0.497441589832306,-1.36822247505188,4.35735072408404,-1.57990356286367,-24.8720794916153,-27.3644495010376,0.4,0.57142857,0.47058824,0.5,1,0.75,0.41176471,0.33333333,0.11764706,1,0,1,1,0,1,2,0.5,0,0.5,0.5,0,0.5,18.2744796776136,28.52915,52.30175,20,80,62.29444,62.95423,41.23965,70.62824,20,57.14521,48.46542,67.65953,38.82549,62.59577,20,0.81964,5.30655,87.2,83.12,90.64,117.62,92.7,83.92,103.26,93.5,106.52,114.62,141.52,137.58,102.230588235294,98.8270588235294,104.671764705882,0.41176471,0.17647059,0.11764706,0.29411765,94.7428588867188,83.1666666666667,77.4000015258789,86.3,2.88571330479213,-3.42844422658285,-2.87945079803467,7.64910049438477,10.560670035226,-1.8055731455485,-10.4815616607666,6.79401702880859,0.308420207351446,-0.0483221560716629,-0.504936903715134,-1.3688198029995,4.40600296216352,-1.6107385357221,-25.2468451857567,-27.3763960599899,0.25,0.66666667,0.47058824,0.5,0.83333333,0.75,0.52941176,21.78571429,0.29411765,0.11764706,0.41176471,0.17647059,NA,86.3467590332031,77.4084014892578,94.7784423828125,83.1726328531901,NA,7.66958389282227,-3.11932992935181,2.47147151402065,-4.03274345397949,NA,5.43045196533203,-12.2148494720459,9.65069689069476,-3.17665322621663,NA,-1.3688198029995,-0.504936903715134,0.308420207351446,-0.0483221560716629,NA,-27.3763960599899,-25.2468451857567,4.40600296216352,-1.6107385357221,NA,0.25,0.66666667,0.47058824,0.5,0.83333333,0.75,0.52941176,2,70.8854522705078,-13.0737066268921,1,0.5,99.0035,1,0.5,"2024-07-06",0
"Jake Latz",21306,"2024-07-05","TBR",13,2024,"TEX","H",28,0,0,0,1,0,0,0,0,0,1,0,0.2,4,0,0,0,0,2,0,0,0,0,0,0,27.000028163224,0,0,0,0,0,2,0,1,0,0,0,0,0.5,-0.5,17.9192290840149,0,0,3.00000312924711,0,1,12.1664891660311,-12.1664891660311,16.7025191161447,0,296.187628472583,413.672612664399,0,0,0,1,0.5,0,0,0,10,8,18,0.00336802750825882,-0.114299967885017,0.117668002843857,0.0600000023841858,0.00623052939772606,1.8798999786377,0.908800005912781,0.908800005912781,1.64039993286133,1,1,-0.0415380150079727,0.043329614319921,0,0,0.44444444,95.875,0.16666667,86,NA,NA,0.38888889,87.42857143,NA,-0.622336745262146,0.264933526515961,NA,0.229197472333908,-7.77920931577682,8.83111755053202,NA,3.27424960477012,0.09090909,0.57142857,0.27777778,1,1,1,0.38888889,0.5,0,0,1,1,1,1,0,2,0,0.5,0.5,0.5,0.5,0,8.64255390665659,65.825,49.66562,68.5982,NA,NA,NA,20,66.41892,20,51.91773,46.60624,59.45739,20,58.86131,20,2.02148,7.10931,83.38,134.44,138.46,NA,NA,NA,102.26,-67.66,-48.38,98.22,94.82,100.64,94.2444444444445,38.0144444444445,49.1166666666667,0.44444444,0.16666667,NA,0.38888889,95.8874969482422,85.9666646321615,NA,87.4285714285714,3.42522239685059,-2.31119203567505,NA,7.93584660121373,10.7916622161865,0.019375741481781,NA,7.93360028948103,-0.637529883533716,0.310097429901361,NA,0.23118232563138,-7.96912354417145,10.336580996712,NA,3.30260465187686,0.08333333,0.66666667,0.27777778,1,1,1,0.33333333,19.57142857,0.38888889,NA,0.44444444,0.16666667,NA,87.4410138811384,NA,95.9247589111328,85.9821980794271,NA,7.64252580915179,NA,3.19779872894287,-2.84464645385742,NA,6.32425417218889,NA,9.87546253204346,-1.40760866800944,NA,0.23118232563138,NA,-0.637529883533716,0.310097429901361,NA,3.30260465187686,NA,-7.96912354417145,10.336580996712,NA,0.07692308,0.8,0.27777778,1,1,1,0.27777778,2,83.6490783691406,47.7393188476562,0,0,86.6464,0,0,"2024-07-05",0
