"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","XX%","wFB","wSL","wFB/C","wSL/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSI%","pfxSL%","pfxvFA","pfxvFC","pfxvSI","pfxvSL","pfxFA-X","pfxFC-X","pfxSI-X","pfxSL-X","pfxFA-Z","pfxFC-Z","pfxSI-Z","pfxSL-Z","pfxwFA","pfxwFC","pfxwSI","pfxwSL","pfxwFA/C","pfxwFC/C","pfxwSI/C","pfxwSL/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piFC%","piSI%","piSL%","pivFC","pivSI","pivSL","piFC-X","piSI-X","piSL-X","piFC-Z","piSI-Z","piSL-Z","piwFC","piwSI","piwSL","piwFC/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Emmanuel Clase",21032,"2024-09-28","HOU",5,2024,"CLE","H",26,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,1,2,0,0,1,0,0,0,0,0,7.34739574882223,0,0.333333333333333,1,0.333333333333333,1,3.1664797782898,-3.1664797782898,6.19049659073353,0,77.9208590801313,152.159040742638,0.5,0,0.333333333,0.666666666,0,0,0,0,2,9,11,0.0356399938464165,-0.0165799930691719,0.0522199869155884,0.480000019073486,0.0506329089403152,0.644533336162567,0.631200015544891,0.631200015544891,NA,0,1,0.0340568237006664,0.021238987775293,0,0,0.63636364,98.71428571,0.36363636,92,NA,0.522532880306244,-0.486839264631271,7.46475543294634,-12.1709816157818,0.66666667,0.8,0.72727273,0.5,1,0.75,0.45454545,0.66666667,0.18181818,2,0,1,1,2,0,3,0.66666667,0,0.33333333,0.33333333,0.66666667,0,0.974632169407701,41.58136,43.43679,20,80,64.22455,80,42.60918,56.93479,26.4502,78.82728,63.49005,62.4039,-1.66552,1.57881,107.92,157.18,125.22,NA,NA,NA,135.62,161.7,192.28,112.88,80.82,96.12,118.011666666667,123.971666666667,134.528333333333,0.09090909,0.54545455,NA,0.36363636,99.3000030517578,98.7166646321615,NA,92.1000061035156,-4.58927965164185,0.699555635452271,NA,2.7204737663269,9.09203720092773,8.38440640767415,NA,2.14889025688171,0,0.528450194746256,NA,-0.494131088256836,0,8.80750324577093,NA,-12.3532772064209,0.66666667,0.8,0.72727273,0.5,1,0.75,0.45454545,20.125,0.54545455,0.09090909,0.36363636,98.8260192871094,99.4004974365234,92.2020797729492,1.08383854230245,-4.629469871521,3.17239761352539,7.33202679951986,8.27589988708496,1.02130246162415,0.528450194746256,0,-0.494131088256836,8.80750324577093,0,-12.3532772064209,0.8,0.66666667,0.72727273,0.5,1,0.75,0.54545455,3,76.604237874349,1.07544581095378,0,0,84.2718,0,0,"2024-09-28",0
"Emmanuel Clase",21032,"2024-09-25","CIN",5,2024,"CLE","H",26,0,0,0,1,0,0,0,0,1,0,0,1,6,1,0,0,0,2,0,0,0,0,1,9,18,9,0.5,0,0,2,0,1,0,0,0,0,0.16666667,0.33333333,-0.16666667,8.64772908436739,0,0.25,3,0.333333333333333,1,7.1664797782898,-7.1664797782898,7.1664797782898,0,178.714334757286,176.439130411058,2,0.333333333,0.666666666,0,0,0,0,0,8,13,21,0.0312359966337681,-0.232104003429413,0.263339996337891,0.479999989271164,0.0506329052150249,2.88359999656677,0.721199989318848,0.721199989318848,NA,0,1,-0.0802605077624321,0.0910927995750822,0,0,0.76190476,101,0.23809524,94.4,NA,-0.471768766641617,0.266312569379807,-2.94855479151011,5.32625138759613,0.30769231,0.75,0.47619048,0.25,1,0.7,0.38095238,0.66666667,0.14285714,1,1,1,0,1,2,3,0.33333333,0.33333333,0.33333333,0,0.33333333,0.66666667,9.0512400473111,NA,NA,NA,80,72.4202,80,42.13292,67.88017,34.92803,60.70627,73.28012,46.12437,-0.53973,3.2675,NA,NA,NA,NA,NA,NA,159.54,132.64,180.92,125.18,38.76,60.42,133.360952380952,61.112380952381,89.1104761904762,NA,0.76190476,NA,0.23809524,NA,101.0625,NA,94.4200012207031,NA,0.920644283294678,NA,3.38479309082031,NA,8.30212783813477,NA,1.99465141296387,NA,-0.487347278743982,NA,0.269219551235437,NA,-3.04592049214989,NA,5.38439102470875,0.3,0.63636364,0.47619048,0.33333333,0.85714286,0.7,0.52380952,22.53333333,0.76190476,NA,0.23809524,100.974006652832,NA,94.3197998046875,1.06688559055328,NA,3.84671211242676,7.39851856231689,NA,0.818620014190674,-0.487347278743982,NA,0.269219551235437,-3.04592049214989,NA,5.38439102470875,0.25,0.61538462,0.47619048,0.5,0.75,0.7,0.61904762,3,93.9561665852865,7.01957194010417,0,0,96.2797,1,0.33333333,"2024-09-25",0
"Emmanuel Clase",21032,"2024-09-24","CIN",5,2024,"CLE","H",26,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,2,0,0,0,0,0,0.33333333,0,0.33333333,4.45139575020756,0,0,0,0,1,1.1664797782898,-1.1664797782898,4.19049659073353,0,27.5241212415541,102.403901559937,0,0,0,1,0,0,0,0,2,9,11,0.00566799147054553,0,0.00566799147054553,0.479999989271164,0.0506329126656055,0.0773333311080933,0.149199992418289,0.149199992418289,NA,0,1,0.071050263941288,0.00224273132129874,0,0,0.81818182,99.44444444,0.18181818,93.5,NA,0.708665013313293,0.0572940893471241,7.87405570348104,2.8647044673562,0.6,0.5,0.54545455,0.33333333,1,0.66666667,0.54545455,1,0.18181818,0,1,1,0,2,0,2,0,0.5,0.5,0,1,0,-0.512089523355097,NA,NA,NA,68.91652,59.64224,74.39215,73.20919,54.73437,62.22044,77.29795,60.64267,73.09809,-1.57051,1.72133,NA,NA,NA,NA,NA,NA,109.88,116,123.02,113.42,119.2,128.7,112.776363636364,118.618181818182,127.667272727273,NA,0.81818182,NA,0.18181818,NA,99.2777777777778,NA,93.4000015258789,NA,1.34029536777072,NA,1.71039795875549,NA,7.01007800632053,NA,5.03101062774658,NA,0.758990090340376,NA,0.057969942688942,NA,8.43322322600418,NA,2.8984971344471,0.33333333,0.625,0.54545455,0,0.8,0.66666667,0.72727273,15.875,0.81818182,NA,0.18181818,99.0969916449653,NA,93.21484375,1.51484288109673,NA,2.19615006446838,6.22799767388238,NA,3.9592399597168,0.758990090340376,NA,0.057969942688942,8.43322322600418,NA,2.8984971344471,0.5,0.57142857,0.54545455,0.5,0.75,0.66666667,0.63636364,2,84.1010971069336,40.2388534545898,0,0,91.0895,0,0,"2024-09-24",0
"Emmanuel Clase",21032,"2024-09-19","MIN",5,2024,"CLE","H",26,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,9.75339574477623,0,0,0,0,1,3.1664797782898,-3.1664797782898,6.19049659073353,0,77.9208590801313,152.159040742638,0,0.333333333,0,0.666666666,0,0,0,0,3,11,14,0.133231997489929,0,0.133231997489929,0.479999989271164,0.0506329126656055,1.77973330020905,2.29119992256165,2.29119992256165,2.66519999504089,1,1,0.0748846977949142,-2.40445305852988e-05,1,0,0.71428571,99.2,0.28571429,92,NA,0.549164474010468,0.200305253267288,5.49164474010468,5.00763133168221,0.6,0.75,0.64285714,0.83333333,1,0.88888889,0.28571429,0.66666667,0.07142857,0,2,1,0,3,0,3,0,0.66666667,0.33333333,0,1,0,5.45991950855417,NA,NA,NA,20,61.40686,20,54.0364,42.55229,64.37863,43.56678,55.09544,49.24176,0.52508,4.86471,NA,NA,NA,NA,NA,NA,126.28,41.08,62.26,101.9,112.7,111.5,108.865714285714,92.2371428571429,97.4314285714286,NA,0.71428571,NA,0.28571429,NA,99.1900024414062,NA,91.8249969482422,NA,0.688443088531494,NA,1.74985039234161,NA,6.78457946777344,NA,2.66267728805542,NA,0.59791062027216,NA,0.202594343572855,NA,5.9791062027216,NA,5.06485858932137,0.42857143,0.85714286,0.64285714,0.66666667,1,0.88888889,0.5,18.27272727,0.71428571,NA,0.28571429,98.9964904785156,NA,91.6342239379883,0.880184936523438,NA,2.30751633644104,5.84960899353027,NA,1.15162754058838,0.59791062027216,NA,0.202594343572855,5.9791062027216,NA,5.06485858932137,0.42857143,0.85714286,0.64285714,0.66666667,1,0.88888889,0.5,3,85.9146118164062,33.1252670288086,0,0,90.9186,0,0,"2024-09-19",0
"Emmanuel Clase",21032,"2024-09-18","MIN",5,2024,"CLE","H",26,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,1,0,1,0,0,0,0.33333333,0,0.33333333,1.87828464271067,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,27.5241212415541,64.7888072114456,1,0,0.5,0.5,1,0,0,0,5,8,13,0.133231997489929,0,0.133231997489929,0.479999989271164,0.0506329126656055,1.77973330020905,2.29119992256165,2.29119992256165,2.66519999504089,1,1,0.0748846977949142,-2.40445305852988e-05,1,0,0.61538462,99.25,0.38461538,91,NA,0.330856204032898,0.397364854812622,4.13570255041122,7.94729709625244,0.33333333,0.75,0.46153846,0.33333333,1,0.66666667,0.30769231,1,0.15384615,0,2,0,1,0,1,2,0,1,0,0.5,0,0.5,-1.37920521442363,NA,NA,NA,56.55612,68.82792,67.11011,39.61569,62.12856,34.51559,48.75058,70.92665,44.12139,0.20303,4.38164,NA,NA,NA,NA,NA,NA,132.4,102.12,146.56,126.14,85.26,103.82,128.547692307692,91.7446153846154,120.258461538462,NA,0.61538462,NA,0.38461538,NA,99.3000030517578,NA,91.0599975585938,NA,1.41707563400269,NA,3.20902633666992,NA,6.43168687820435,NA,2.24332504272461,NA,0.333751998841763,NA,0.402971733361483,NA,4.17189998552203,NA,8.05943466722965,0.42857143,0.5,0.46153846,0.33333333,1,0.66666667,0.46153846,16.8,0.61538462,NA,0.38461538,99.0810394287109,NA,90.8117431640625,1.6720666885376,NA,3.59278411865234,5.31950998306274,NA,1.18395481109619,0.333751998841763,NA,0.402971733361483,4.17189998552203,NA,8.05943466722965,0.42857143,0.5,0.46153846,0.33333333,1,0.66666667,0.46153846,2,88.2705841064453,34.8075752258301,0,0,101.35,1,0.5,"2024-09-18",0
"Emmanuel Clase",21032,"2024-09-16","MIN",5,2024,"CLE","H",26,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-22.8726165970231,-22.5814263197472,1,0,1,0,0,0,0,0,4,8,12,0.157519996166229,0,0.157519996166229,0.479999989271164,0.0506329126656055,2.0973334312439,2.83759999275208,2.83759999275208,NA,0,1,0.0752061009407043,-0.000101211169884,1,0,0.83333333,100.1,0.16666667,91.5,NA,0.702845990657806,0.0418644286692142,7.02845990657806,2.09322143346071,0.5,0.5,0.5,0.75,0.5,0.66666667,0.33333333,0.66666667,0.16666667,1,0,0,1,0,0,1,1,0,0,1,0,0,-1.58398727747727,NA,NA,NA,20,55.5621,20,44.1454,71.10193,31.06346,29.24167,71.15235,20,1.41505,6.19967,NA,NA,NA,NA,NA,NA,99.94,-79.8,-89.7,111.24,90.76,112.76,109.356666666667,62.3333333333333,79.0166666666667,NA,0.83333333,NA,0.16666667,NA,99.9299987792969,NA,91.3000030517578,NA,1.60510311126709,NA,1.90103936195374,NA,7.08126068115234,NA,2.09285426139832,NA,0.710700150579214,NA,0.0424786768853664,NA,7.10700150579214,NA,2.12393384426832,0.42857143,0.6,0.5,0.66666667,0.66666667,0.66666667,0.41666667,18.77777778,0.83333333,NA,0.16666667,99.9888000488281,NA,91.3569488525391,1.76689453125,NA,2.37829995155334,6.21230888366699,NA,1.2214994430542,0.710700150579214,NA,0.0424786768853664,7.10700150579214,NA,2.12393384426832,0.42857143,0.6,0.5,0.66666667,0.66666667,0.66666667,0.41666667,1,51.836498260498,-32.4352149963379,0,0,51.8365,0,0,"2024-09-16",0
"Emmanuel Clase",21032,"2024-09-15","TBR",5,2024,"CLE","H",26,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,2,0,0,0,0,0,0.33333333,0,0.33333333,4.45139575020756,0,0,0,0,1,1.1664797782898,-1.1664797782898,4.19049659073353,0,27.5241212415541,102.403901559937,0,0,0,1,0,0,0,0,3,9,12,0.0704679861664772,0,0.0704679861664772,0.479999989271164,0.0506329126656055,0.932133316993713,1.46039998531342,1.46039998531342,NA,0,1,0.0761127918958664,-0.000514178605496837,1,0,0.58333333,101.42857143,0.41666667,92.6,NA,0.410133004188538,0.344508409500122,5.85904291697911,6.89016819000244,0.4,0.85714286,0.66666667,0.5,0.66666667,0.625,0.58333333,1,0.25,0,1,1,1,1,0,2,0,0.5,0.5,0.5,0.5,0,-0.512089523355097,NA,NA,NA,80,69.84392,80,80,80,68.38359,80,80,80,-3.47252,-1.13169,NA,NA,NA,NA,NA,NA,132.6,140.72,168.34,135.38,103.84,133.68,134.221666666667,119.206666666667,148.121666666667,NA,0.58333333,NA,0.41666667,NA,101.057146344866,NA,92.3599975585937,NA,2.03160762786865,NA,3.68105735778809,NA,7.08692387172154,NA,1.69496078491211,NA,0.456790678203106,NA,0.348812732845545,NA,6.52558111718723,NA,6.9762546569109,0,0.88888889,0.66666667,NA,0.625,0.625,0.75,18.11111111,0.58333333,NA,0.41666667,101.141427176339,NA,92.430322265625,2.09805175236293,NA,4.06903610229492,6.30114964076451,NA,0.714902257919312,0.456790678203106,NA,0.348812732845545,6.52558111718723,NA,6.9762546569109,0,0.88888889,0.66666667,NA,0.625,0.625,0.75,2,82.1313934326172,42.750602722168,0,0,82.1832,0,0,"2024-09-15",0
"Emmanuel Clase",21032,"2024-09-11","@CHW",5,2024,"CLE","A",26,0,0,0,1,0,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,0,0,2,18,0,9,2,0,0,1,0,1,0,0,0,0,0.5,0,0.5,0.324604084014893,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-22.8726165970231,-22.5814263197472,1,0.5,0.5,0,0,0,0,0,3,13,16,0.09026800096035,-0.0634060055017471,0.153674006462097,0.496999979019165,0.0512107163667679,1.75512003898621,1.82039999961853,1.82039999961853,NA,0,1,0.0242983363568783,0.0271329042165532,1,0,0.6875,100.36363636,0.3125,91.6,NA,-0.157238662242889,0.437996119260788,-1.42944238402627,8.75992238521576,0.33333333,0.76923077,0.6875,1,0.6,0.63636364,0.8125,0.75,0.25,0,2,0,0,1,1,2,0,1,0,0,0.5,0.5,1.6735902384741,NA,NA,NA,80,73.94744,80,80,53.7781,74.54815,80,66.81967,80,-2.45384,0.39633,109.96,67.86,38.3,95.74,77.9,58.96,157.8,120.3,167.36,98.82,131.12,135.4,116.46,117.955294117647,130.095294117647,0.0625,0.5625,0.0625,0.3125,100.599998474121,100.177781846788,100.900001525879,91.8,-3.80810618400574,0.185769240061442,-5.15940141677856,3.19165935516357,9.31523990631104,8.16012064615885,7.26020002365112,3.30231895446777,-0.544301271438599,0.328481484204531,0.054773960262537,0.443014729768038,-54.4301271438599,3.64979426893923,5.4773960262537,8.86029459536076,0.66666667,0.69230769,0.6875,0.5,0.66666667,0.63636364,0.8125,16.66666667,0.5625,0.125,0.3125,100.243021647135,100.792495727539,91.8294616699219,0.36636930041843,-4.31122493743896,3.57282218933105,7.11933898925781,7.10105991363525,2.11729774475098,0.328481484204531,-0.489527311176062,0.443014729768038,3.64979426893923,-24.4763655588031,8.86029459536076,1,0.64285714,0.6875,0.5,0.66666667,0.63636364,0.875,2,98.3023223876953,-15.2750310897827,0,0,105.341,1,0.5,"2024-09-11",0
"Emmanuel Clase",21032,"2024-09-09","@CHW",5,2024,"CLE","A",26,0,0,0,1,0,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,0,0,2,18,0,9,2,0.5,0,2,0,0,0,1,0,0,0.5,0,0.5,-0.528020915985107,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-22.8726165970231,-22.5814263197472,2,0,1,0,0,0,0,0,3,11,14,0.09026800096035,-0.0324259996414185,0.122694000601768,0.496999979019165,0.0512107163667679,1.35067999362946,1.82039999961853,1.82039999961853,NA,0,1,0.023411326110363,0.0434201968159432,1,0,0.71428571,99.5,0.28571429,91.5,NA,0.515679121017456,-0.24623928964138,5.15679121017456,-6.15598224103451,0.71428571,0.57142857,0.64285714,0.6,1,0.77777778,0.5,1,0.14285714,1,1,0,1,1,0,2,0.5,0.5,0,0.5,0.5,0,-0.92367306758708,NA,NA,NA,80,69.25739,80,70.35401,60.12467,66.68246,80,68.28822,80,-2.51599,0.30311,79.8,146.86,106.7,NA,NA,NA,158.94,141.48,181.98,107.76,102.68,110.34,118.385333333333,122.113333333333,131.676,0.07142857,0.64285714,NA,0.28571429,98.9000015258789,99.3666653103299,NA,91.4499969482422,-3.12341451644897,1.45703474680583,NA,4.22570180892944,7.7071099281311,7.34404585096571,NA,1.50724184513092,-0.0210469514131546,0.542498033493757,NA,-0.25083877146244,-2.10469514131546,6.02775592770841,NA,-6.27096928656101,0.5,0.7,0.64285714,0.5,0.85714286,0.77777778,0.71428571,17.7,0.64285714,0.07142857,0.28571429,99.483391655816,99.003303527832,91.5678482055664,1.63441700405545,-3.08561992645264,4.79075002670288,6.1570922003852,6.85087013244629,0.315895974636078,0.542498033493757,-0.0210469514131546,-0.25083877146244,6.02775592770841,-2.10469514131546,-6.27096928656101,0.66666667,0.63636364,0.64285714,0.5,0.85714286,0.77777778,0.78571429,2,80.0888900756836,-33.3011245727539,0,0,83.5691,0,0,"2024-09-09",0
"Emmanuel Clase",21032,"2024-09-06","@LAD",5,2024,"CLE","A",26,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,1,0,0,0,0,0,0.33333333,0,0.33333333,1.87828464271067,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,27.5241212415541,64.7888072114456,1,0,0.5,0.5,0,0,0,0,1,6,7,0.0861200019717216,0,0.0861200019717216,0.477999985218048,0.0505820102989674,1.14533340930939,1.76600003242493,1.76600003242493,NA,0,1,0.0756393224000931,-0.000447241848063898,1,0,0.71428571,100.4,0.28571429,92.5,NA,0.58942061662674,0.138800457119942,11.7884123325348,6.94002285599709,0.33333333,0.75,0.57142857,0,0.66666667,0.5,0.57142857,0.66666667,0.28571429,0,2,0,0,1,1,2,0,1,0,0,0.5,0.5,-0.367145213857753,NA,NA,NA,20,70.86809,20,80,72.37263,80,74.24461,76.19063,67.32052,-1.38082,2.00586,NA,NA,NA,NA,NA,NA,157.58,25.98,65.24,122.46,109.74,136.94,132.494285714286,85.8085714285714,116.454285714286,NA,0.71428571,NA,0.28571429,NA,100.5,NA,92.5999984741211,NA,1.79042930603027,NA,3.89370036125183,NA,5.85908164978027,NA,4.31354284286499,NA,0.596691194921732,NA,0.140032518655062,NA,11.9338238984346,NA,7.00162593275309,0.5,0.6,0.57142857,0,0.66666667,0.5,0.71428571,16,0.71428571,NA,0.28571429,100.382897949219,NA,92.4824981689453,1.96834487915039,NA,4.58837509155273,4.84104995727539,NA,3.18055009841919,0.596691194921732,NA,0.140032518655062,11.9338238984346,NA,7.00162593275309,0.5,0.6,0.57142857,0,0.66666667,0.5,0.71428571,2,96.4533615112305,-2.91791248321533,0,0,97.4756,2,1,"2024-09-06",0
