"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","XX%","wFB","wSL","wFB/C","wSL/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxSI%","pfxSL%","pfxCH%","pfxvSI","pfxvSL","pfxvCH","pfxSI-X","pfxSL-X","pfxCH-X","pfxSI-Z","pfxSL-Z","pfxCH-Z","pfxwSI","pfxwSL","pfxwCH","pfxwSI/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piSI%","piSL%","pivSI","pivSL","piSI-X","piSL-X","piSI-Z","piSL-Z","piwSI","piwSL","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Justin Lawrence",17639,"2024-09-28","LAD",19,2024,"COL","H",29,0,0,33.750008046629,1,0,0,0,0,0,0,0,1.1,11,6,5,5,0,2,0,0,0,0,1,6.75000160932579,13.5000032186516,40.5000096559548,0.5,0,0,3,1,4,0,0,0,0,0.09090909,0.18181818,-0.09090909,6.69570429035069,0,0.666666666666667,6.00000143051182,0.75,0.375,6.1664804935457,27.5835275530833,7.30048706858034,723.248212350728,143.90573583163,178.211035904383,3,0.5,0.375,0.125,0,0,0,0,17,22,39,-0.00589200016111135,-0.0153679996728897,0.00947599951177835,-2.77300000190735,-0.241340294480324,0.046000000089407,0.0381999984383583,0.0531999990344048,0,1,1,-0.139976739883423,0.0118897801082166,0,0,0.53846154,94.71428571,0.46153846,81.27777778,NA,-2.7761538028717,-0.23910316824913,-13.2197800136748,-1.32835093471739,0.24,0.64285714,0.38461538,0.83333333,0.77777778,0.8,0.35897436,0.45454545,0.07692308,2,3,3,1,4,3,8,0.25,0.375,0.375,0.125,0.5,0.375,11.972336491806,40.98478,55.95941,39.39121,26.35158,59.30916,27.02751,34.73658,59.26398,31.50469,1.07367,5.6876,89.56,98.38,94.3,104.22,76.22,69.5,96.4307692307692,87.4774358974359,80.848717948718,0.53846154,0.46153846,NA,94.7666655040923,81.2222222222222,NA,-6.5992424374535,7.76160346137153,NA,-0.651804015749977,1.17666085561117,NA,-2.8196384832263,-0.247235920280218,NA,-13.4268499201252,-1.37353289044566,NA,0.15,0.63157895,0.38461538,0.66666667,0.83333333,0.8,0.48717949,19,0.53846154,0.46153846,94.8796502976191,81.3197767469618,-6.0511957804362,8.5249743991428,-0.597984541030157,1.27167203691271,-2.8196384832263,-0.247235920280218,-13.4268499201252,-1.37353289044566,0.13636364,0.70588235,0.38461538,0.66666667,0.83333333,0.8,0.43589744,8,93.0526504516602,7.38713121414185,0,0,107.945,6,0.75,"2024-09-28",0
"Justin Lawrence",17639,"2024-09-27","LAD",19,2024,"COL","H",29,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-17.513261840626,-18.3531359984531,1,0,1,0,0,0,0,0,4,11,15,0.000532000092789531,0,0.000532000092789531,0.629000008106232,0.0547432526946068,0.0077333333902061,0.023199999704957,0.023199999704957,NA,0,1,0.00999999977648258,0.0587931151645186,0,0,0.53333333,95.875,0.46666667,82.14285714,NA,0.386114060878754,0.347278654575348,4.82642576098442,4.96112363679068,0.33333333,0.33333333,0.33333333,0.66666667,0.5,0.6,0.4,1,0.13333333,0,1,0,1,0,0,1,0,1,0,1,0,0,-1.80361779674144,54.7771,58.22392,39.27008,44.88125,70.13034,72.3069,53.95349,66.50068,58.50512,-0.1202,3.89679,84.2,120.04,98.46,135.78,81.74,95.58,108.270666666667,102.166666666667,97.116,0.53333333,0.46666667,NA,95.8499984741211,81.9285714285714,NA,-7.28968620300293,7.71339253016881,NA,-0.98481148481369,2.75725855146136,NA,0.390633098781109,0.351189095526934,NA,4.88291373476386,5.0169870789562,NA,0.42857143,0.25,0.33333333,0.66666667,0.5,0.6,0.53333333,21.81818182,0.53333333,0.46666667,96.0584259033203,82.1150163922991,-6.53889608383179,8.49623870849609,-0.968438506126404,2.94727570669992,0.390633098781109,0.351189095526934,4.88291373476386,5.0169870789562,0.42857143,0.25,0.33333333,0.66666667,0.5,0.6,0.53333333,1,48.9292602539062,-57.0295295715332,0,0,48.9293,0,0,"2024-09-27",0
"Justin Lawrence",17639,"2024-09-18","ARI",19,2024,"COL","H",29,0,0,0,1,0,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,1,0,1,13.500014081612,0,13.500014081612,1,0,0,1,0,1,0,0,0,0,0.33333333,0,0.33333333,1.13839575453556,0,0.333333333333333,1.50000156462356,0.5,1,0.166476649042681,-0.166476649042681,0.166476649042681,0,5.54652045347075,5.81251197675874,1,0.5,0.5,0,0,0,2,27.000028163224,4,12,16,-0.000599999912083149,-0.00123200006783009,0.000632000155746937,0.031999945640564,0.0027850242331624,0.0141000002622604,0.0115999998524785,0.023199999704957,NA,0,1,-0.00364157976582646,-0.038911604696807,0,0,0.5,94.375,0.5,81,NA,-0.149173468351364,0.163618355989456,-1.86466835439205,2.0452294498682,0.42857143,0.77777778,0.625,0.33333333,0.85714286,0.7,0.5625,0.66666667,0.1875,2,0,0,1,0,1,2,1,0,0,0.5,0,0.5,4.33560404226673,78.64631,57.11436,73.33038,42.84001,65.88896,20,66.98052,64.44039,47.85705,-0.92953,2.6828,98.32,129.56,120,131.56,84.86,95.34,114.94,107.21,107.67,0.5,0.5,NA,94.2750015258789,80.9625015258789,NA,-7.16526317596436,8.28928279876709,NA,-1.25832366943359,1.12829434871674,NA,-0.152157947421074,0.164907302707434,NA,-1.90197434276342,2.06134128384292,NA,0.25,0.75,0.625,0,0.77777778,0.7,0.75,19.30769231,0.5,0.5,94.4489288330078,81.1231842041016,-6.76053619384766,9.34232902526855,-1.17126667499542,1.412149310112,-0.152157947421074,0.164907302707434,-1.90197434276342,2.06134128384292,0.25,0.75,0.625,0,0.77777778,0.7,0.75,2,80.6632690429688,-27.6406497955322,0,0,107.641,1,0.5,"2024-09-18",0
"Justin Lawrence",17639,"2024-09-15","CHC",19,2024,"COL","H",29,0,0,27,1,0,0,0,0,0,0,0,1,9,3,3,3,2,3,0,0,0,0,2,18,27,27,0.66666667,0,0,0,3,1,0,0,0,0,0.22222222,0.33333333,-0.11111111,8.8553463625245,18,0.5,6,0.5,0.9375,34.1664797782898,-7.1664797782898,12.7025049969554,578.598431931933,789.581644052167,308.754708020687,0,0.25,0,0.75,0,0.666666666,1,9,18,17,35,-0.0809879973530769,-0.0964879989624023,0.0155000034719706,-2.37100005149841,-0.206353351473808,0.162622228264809,0.40599998831749,0.40599998831749,NA,0,1,-0.31247553229332,-0.185537551263737,0,1,0.6,94.47619048,0.4,81,NA,-3.88367605209351,0.145410150289536,-18.4936954861595,1.03864393063954,0.22727273,0.46153846,0.31428571,0.4,0.83333333,0.63636364,0.37142857,0.55555556,0.11428571,1,1,2,0,2,2,4,0.25,0.25,0.5,0,0.5,0.5,35.4042412470343,36.03439,58.72198,39.96941,34.86654,58.72033,30.92425,36.28987,59.48225,35.2771,0.97717,5.54285,93.46,71.26,70.24,103.84,81.84,82.62,97.612,75.492,75.192,0.6,0.4,NA,94.4523809523809,80.8785749162946,NA,-6.84269133068266,7.76241792951311,NA,-0.612468674069359,-0.435308728899275,NA,-3.90526960417628,0.141617354005575,NA,-18.596521924649,1.01155252861125,NA,0.27777778,0.35294118,0.31428571,0.4,0.83333333,0.63636364,0.48571429,18.23076923,0.6,0.4,94.6982596261161,81.0997750418527,-6.27492559523809,8.35572923932757,-0.539938881283715,-0.374715566635132,-3.90526960417628,0.141617354005575,-18.596521924649,1.01155252861125,0.23529412,0.38888889,0.31428571,0.5,0.71428571,0.63636364,0.51428571,4,98.7449417114258,33.712963104248,2,0.5,109.327,3,0.75,"2024-09-15",0
"Justin Lawrence",17639,"2024-09-10","@DET",19,2024,"COL","A",29,0,0,0,1,0,0,0,0,0,0,0,0.1,2,1,0,0,0,0,0,0,0,0,0,0,0,27.000028163224,0,0,0,2,0,0,0,0,0,0,0,0,0,-1.18327091598511,0,0.5,3.00000312924711,0.5,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,74.7261559756931,78.3097583844777,2,0,1,0,0,0,0,0,5,6,11,-0.000628044595941901,-0.000628044595941901,0,-1.42299997806549,-0.150105476379395,0.00499999988824129,0.00499999988824129,0.00999999977648258,0,1,1,-0.0628044605255127,-0.0628044614704457,0,0,0.63636364,93.42857143,0.36363636,82,NA,-0.0477292351424694,-0.204138427972794,-0.681846216320992,-5.10346069931984,0.16666667,1,0.54545455,1,0.8,0.83333333,0.45454545,NA,0.09090909,0,2,0,0,0,2,2,0,1,0,0,0,1,1.55414312658747,NA,NA,NA,NA,NA,NA,60.67043,52.1466,52.26782,-0.5375,3.27084,NA,NA,NA,NA,NA,NA,102.376363636364,147.672727272727,151.036363636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63636364,0.36363636,93.6270751953125,81.7744445800781,-9.24713679722377,7.37020969390869,-2.22579724448068,3.94621729850769,-0.048254668712616,-0.208215497434139,-0.689352410180228,-5.20538743585348,0,0.75,0.54545455,NA,0.83333333,0.83333333,0.72727273,2,NA,NA,NA,NA,NA,NA,NA,"2024-09-10",0
"Justin Lawrence",17639,"2024-09-03","@ATL",19,2024,"COL","A",29,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,2,0,0,0,0,0,0,18,0,0,0,0,1,1,1,0,0,0,0,0,0.4,-0.4,13.5374490840149,0,0,2,0,1,9.16647977828979,-9.16647977828979,10.6784881845117,0,213.085282700172,259.842877178056,1,0.333333333,0.333333333,0.333333333,0,0,0,0,17,14,31,0.0065799904987216,-0.00571998115628958,0.0122999716550112,0.506999969482422,0.0515243895351887,0.137799993157387,0.112399995326996,0.112399995326996,NA,0,1,0.026500403881073,0.0212498923849532,0,0,0.58064516,94.72222222,0.41935484,82.07692308,NA,0.15359078347683,-0.0280955955386162,0.853282130426831,-0.216119965681663,0.1,0.63636364,0.29032258,1,1,1,0.35483871,0.4,0,2,0,1,0,2,1,3,0.66666667,0,0.33333333,0,0.66666667,0.33333333,16.5422609223764,20,48.64504,20,29.58783,68.29698,38.60884,20,58.58354,20,2.63847,8.0348,94.06,53.9,47.84,124.4,69.38,78.54,106.783225806452,60.3916129032258,60.7141935483871,0.58064516,0.41935484,NA,94.8444417317708,82.0230806790865,NA,-8.0895987616645,8.67622258112981,NA,-0.139345566431681,1.21374548398531,NA,0.149366494268179,-0.0308769047260284,NA,0.829813857045439,-0.23751465173868,NA,0.05882353,0.57142857,0.29032258,1,1,1,0.4516129,19.03846154,0.58064516,0.41935484,94.744384765625,81.9234994741587,-7.17609405517578,10.0006913405198,-0.949038611518012,0.0956945052513709,0.149366494268179,-0.0308769047260284,0.829813857045439,-0.23751465173868,0.05882353,0.57142857,0.29032258,1,1,1,0.4516129,3,89.7862548828125,3.21834437052409,0,0,97.6668,1,0.33333333,"2024-09-03",0
"Justin Lawrence",17639,"2024-09-01","BAL",19,2024,"COL","H",29,0,0,0,1,0,0,0,0,0,0,0,0.2,4,2,0,0,0,0,0,0,0,0,0,0,0,27.000028163224,0,0.5,0,2,0,2,0,1,0,0,0,0,0,3.65572908401489,0,0.5,3.00000312924711,0.5,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,74.7261559756931,78.3097583844777,2,0.5,0.5,0,0,0,0,0,6,11,17,0.000131999666336924,-0.0034920007456094,0.00362400035373867,0.0550000071525574,0.0047867689281702,0.0507000014185905,0.0432000011205673,0.0432000011205673,0.0864000022411346,1,1,-0.00096309173386544,0.00356663537575028,0,0,0.64705882,93.90909091,0.35294118,81.83333333,NA,-0.501829504966736,-0.216722518205643,-4.56208640878851,-3.61204197009405,0.22222222,0.625,0.41176471,0.5,0.8,0.71428571,0.47058824,0.5,0.11764706,1,1,2,2,1,1,4,0.25,0.25,0.5,0.5,0.25,0.25,11.2371346754785,38.19678,53.11031,37.54138,76.53632,57.40864,74.1085,55.584,54.53412,53.38461,-0.2215,3.74484,98.56,101.5,94.64,106.24,123.54,126.06,101.270588235294,109.278823529412,105.729411764706,0.64705882,0.35294118,NA,93.8636363636364,81.75,NA,-6.91576801646839,6.90395482381185,NA,-1.2038405158303,0.279059747854869,NA,-0.510336089879274,-0.216691445559263,NA,-4.63941899890249,-3.61152409265439,NA,0.16666667,0.54545455,0.41176471,0,0.83333333,0.71428571,0.64705882,17.84615385,0.64705882,0.35294118,94.0790349786932,81.9518330891927,-6.69516754150391,7.66764640808105,-1.07783438942649,0.359853108723958,-0.510336089879274,-0.216691445559263,-4.63941899890249,-3.61152409265439,0.14285714,0.6,0.41176471,0,0.83333333,0.71428571,0.58823529,4,75.3949279785156,-15.384578704834,0,0,102.499,1,0.25,"2024-09-01",0
"Justin Lawrence",17639,"2024-08-29","MIA",19,2024,"COL","H",29,0,0,0,1,0,0,0,0,0,0,0,1,6,2,1,0,0,1,0,0,0,0,0,0,9,18,0,0,0,4,0,1,0,0,0,0,0,0.16666667,-0.16666667,4.96450685379112,0,0.4,3,0.4,0.66666667,6.1664797782898,-6.1664797782898,6.1664797782898,0,143.905719337933,150.806929171676,4,0.2,0.8,0,0,0,0,0,6,14,20,-0.0176560021936893,-0.0358480028808117,0.0181920006871223,-0.370999991893768,-0.0322889499366283,0.247657150030136,0.189600005745888,0.189600005745888,NA,0,1,-0.0300099700689316,-0.0412821456302957,0,0,0.65,94.46153846,0.35,82,NA,-0.184936657547951,-0.341285854578018,-1.42258967344578,-4.8755122082574,0.1,0.8,0.45,1,0.75,0.77777778,0.5,0.83333333,0.1,1,3,1,1,1,3,5,0.2,0.6,0.2,0.2,0.2,0.6,7.33548403454849,64.26657,56.60691,64.17796,59.07031,60.80272,37.8779,69.09378,58.16351,62.06775,-1.06081,2.48588,91.32,110.04,102.3,125.72,93.4,109.08,103.36,104.216,104.673,0.65,0.35,NA,94.3692345252404,81.8142874581473,NA,-7.09819030761719,8.71708243233817,NA,-0.897535617534931,1.05992180960519,NA,-0.192606985569,-0.347352661192417,NA,-1.48159219668462,-4.96218087417739,NA,0.16666667,0.57142857,0.45,1,0.75,0.77777778,0.7,16.64285714,0.65,0.35,94.2218205378606,81.6606706891741,-6.90338839017428,9.72614288330078,-0.908084649306077,1.10900259017944,-0.192606985569,-0.347352661192417,-1.48159219668462,-4.96218087417739,0.16666667,0.57142857,0.45,1,0.75,0.77777778,0.7,5,95.1882263183594,-9.28400802612305,0,0,110.107,4,0.8,"2024-08-29",0
"Justin Lawrence",17639,"2024-08-27","MIA",19,2024,"COL","H",29,0,0,0,1,0,0,0,0,0,1,0,1.1,4,0,0,0,0,0,0,0,0,0,1,6.75000160932579,0,0,1,0,0,2,1,0,0,0,0,0,0.25,0,0.25,2.16704158401489,0,0,0,0,1,1.66647942066184,-1.66647942066184,2.80048599569648,0,40.1363660477249,69.4652537965709,2,0,0.666666666,0.333333333,0,0,2,13.5000032186516,6,11,17,0.054296039044857,0,0.054296039044857,0.763000011444092,0.0664055719971657,0.491200000047684,0.666133344173431,0.546400010585785,0.619200050830841,1,1,0.111083500087261,-0.000545961325888675,0,0,0.58823529,94.4,0.41176471,81.57142857,NA,0.387600064277649,0.552706241607666,3.87600064277649,7.89580345153809,0.27272727,0.83333333,0.47058824,0.66666667,0.8,0.75,0.35294118,0.5,0.11764706,2,1,0,1,1,1,3,0.66666667,0.33333333,0,0.33333333,0.33333333,0.33333333,0.0401166096913828,32.46466,53.93375,20,69.07454,55.63677,60.79415,50.36274,55.33409,32.09793,0.10288,4.23141,89.54,79.64,76.96,122.6,116.2,126.08,103.152941176471,94.6941176470588,97.1858823529412,0.58823529,0.41176471,NA,94.3400024414063,81.5142822265625,NA,-7.63446426391602,6.89277212960379,NA,-0.251093530654907,1.2669301714216,NA,0.392213229089975,0.55925016477704,NA,3.92213229089975,7.98928806824344,NA,0.28571429,0.6,0.47058824,1,0.66666667,0.75,0.58823529,16.46153846,0.58823529,0.41176471,94.1412292480469,81.278799874442,-7.51521682739258,7.65348597935268,-0.640052890777588,1.23275034768241,0.392213229089975,0.55925016477704,3.92213229089975,7.98928806824344,0.25,0.66666667,0.47058824,1,0.66666667,0.75,0.52941176,3,85.709238688151,-6.24803161621094,0,0,93.9209,0,0,"2024-08-27",0
"Justin Lawrence",17639,"2024-08-26","MIA",19,2024,"COL","H",29,0,0,0,1,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,1,1,0,0,0,0,0,0,0,5.15272908401489,0,0.25,1,0.25,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,74.7261559756931,114.84853560366,2,0.25,0.5,0.25,0,0,0,0,9,11,20,0.104588016867638,-0.0248360279947519,0.129424050450325,0.629000008106232,0.0547432526946068,1.35829997062683,1.71000003814697,1.71000003814697,2.1800000667572,1,1,0.0549195781350136,0.0220796261124636,1,0,0.55,94.81818182,0.45,83,NA,0.398135125637054,-0.188094273209572,3.61941023306413,-2.08993636899524,0.25,0.875,0.5,0.66666667,0.71428571,0.7,0.4,0.5,0.15,3,0,1,0,4,0,4,0.75,0,0.25,0,1,0,5.15274910501881,24.92169,55.12903,20,49.85299,64.85326,31.73529,36.60393,61.50558,20,0.95766,5.51358,94.64,74.02,72.18,122.38,92.96,101.76,107.123,82.543,85.491,0.55,0.45,NA,94.872725053267,82.977776421441,NA,-7.07180161909624,8.51617262098524,NA,-0.0566382083025846,0.854383150736491,NA,0.402792412787676,-0.191758420318365,NA,3.66174920716069,-2.1306491146485,NA,0.2,0.8,0.5,0.5,0.75,0.7,0.5,17.25,0.55,0.45,94.6310702237216,82.7140774197049,-6.63305941495028,9.26833004421658,-0.231189901178533,0.923150804307726,0.402792412787676,-0.191758420318365,3.66174920716069,-2.1306491146485,0.2,0.8,0.5,0.5,0.75,0.7,0.5,4,82.6910247802734,12.1595182418823,0,0,88.1575,0,0,"2024-08-26",0
