"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CH%","CHv","XX%","wFB","wSL","wCT","wCH","wFB/C","wSL/C","wCT/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFC%","pfxSI%","pfxSL%","pfxCH%","pfxvFC","pfxvSI","pfxvSL","pfxvCH","pfxFC-X","pfxSI-X","pfxSL-X","pfxCH-X","pfxFC-Z","pfxSI-Z","pfxSL-Z","pfxCH-Z","pfxwFC","pfxwSI","pfxwSL","pfxwCH","pfxwFC/C","pfxwSI/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piFC%","piSI%","piSL%","pivCH","pivFA","pivFC","pivSI","pivSL","piCH-X","piFA-X","piFC-X","piSI-X","piSL-X","piCH-Z","piFA-Z","piFC-Z","piSI-Z","piSL-Z","piwCH","piwFA","piwFC","piwSI","piwSL","piwCH/C","piwFA/C","piwFC/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Cooper Criswell",24975,"2024-09-20","MIN",3,2024,"BOS","H",27,0,1,18,1,0,0,0,0,0,0,0,1,7,3,3,2,0,1,0,0,0,0,1,9,9,27,1,0.666666666,0,3,2,0,0,2,0,0,0.14285714,0.14285714,0,5.4426270424455,0,0.5,4,0.6,0.25,4.1664797782898,13.8335202217102,7.19049659073353,422.763968658151,101.179499169259,177.036610333989,1.5,0,0.6,0.4,0,0,1,9,8,14,22,-0.396443992853165,-0.444250911474228,0.0478069074451923,-1.82299995422363,-0.175626203417778,1.24314284324646,2.58119988441467,2.58119988441467,NA,0,1,-0.197571858763695,-0.121332758679827,0,1,0.5,88.81818182,0.22727273,77.6,0.13636364,87.33333333,0.13636364,83.33333333,NA,-0.543379783630371,0.281636595726013,-0.448842614889145,-0.436113744974136,-4.93981621482156,5.63273191452026,-14.9614204963048,-14.5371248324712,0.46666667,0.57142857,0.5,0.57142857,0.75,0.63636364,0.31818182,1,0.18181818,3,1,1,1,1,3,5,0.6,0.2,0.2,0.2,0.2,0.6,2.19617129048628,NA,32.73992,54.28607,20.07758,65.71157,41.18805,51.48819,40.88186,63.77421,36.6326,50.00031,44.54455,58.88734,55.75403,50.11175,44.84732,-0.23207,3.72899,94.26,76.6,72.94,113.04,129.46,133.48,123.34,67.04,83.2,85.52,114.14,109.36,109.067272727273,105.976363636364,110.508181818182,0.13636364,0.5,0.22727273,0.13636364,87.2666625976562,88.781815962358,77.5599975585938,83.1666666666667,-1.04928390185038,-10.0862177068537,9.44194793701172,-7.71319071451823,3.1521037419637,-0.651972033760764,4.82443161010742,-4.3287467956543,-0.456088449805975,-0.555725831538439,0.28450471162796,-0.436361003667116,-15.2029483268658,-5.05205301398581,5.6900942325592,-14.5453667889039,0.5,0.5,0.5,0.57142857,0.75,0.63636364,0.36363636,18.93333333,0.13636364,NA,0.13636364,0.5,0.22727273,83.3463643391927,NA,87.4712626139323,88.9916825727983,77.7645629882813,-7.2581164042155,NA,-0.573226650555929,-9.83104567094283,10.4239196777344,-5.56305948893229,NA,2.55684343973796,-1.80132588473233,3.80102996826172,-0.436361003667116,NA,-0.456088449805975,-0.555725831538439,0.28450471162796,-14.5453667889039,NA,-15.2029483268658,-5.05205301398581,5.6900942325592,0.5,0.5,0.5,0.57142857,0.75,0.63636364,0.36363636,5,91.0424926757812,2.20975818634033,0,0,101.918,3,0.6,"2024-09-20",0
"Cooper Criswell",24975,"2024-09-18","@TBR",3,2024,"BOS","A",27,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-22.4423702240119,-22.5814263197472,1,0,1,0,0,0,0,0,2,8,10,0.0719179883599281,0,0.0719179883599281,0.451999992132187,0.0496430546045303,0.978999972343445,1.31139993667603,1.31139993667603,1.50139999389648,1,1,0.0734444931149483,1.61712278474863e-05,1,0,0.1,89,0.2,80,0.2,87.5,0.5,84.8,NA,0.0389156937599182,0.138800457119942,0.280817270278931,0.286176979541779,3.89156937599182,6.94002285599709,14.0408635139465,5.72353959083557,0.25,0.66666667,0.5,0,0.75,0.6,0.6,0.66666667,0.2,1,0,0,1,0,0,1,1,0,0,1,0,0,-1.69410640757674,NA,70.99775,68.90557,73.13882,80,66.30774,80,23.88592,41.06791,44.15371,80,32.76143,80,80,64.28445,80,-1.89095,1.24067,101.22,92.12,89.04,100.28,106.34,122.16,104.28,101.15,91.35,98.2,208.58,188.28,101.134,118.64,112.662,0.2,0.1,0.2,0.5,87.6000061035156,88.5,79.9499969482422,84.6599975585937,-2.74409294128418,-9.64527893066406,6.75239372253418,-8.90599136352539,4.25584125518799,-1.27226948738098,1.23684823513031,-4.04115982055664,0.284376636147499,0.039364367723465,0.140032518655062,0.289405275136232,14.218831807375,3.9364367723465,7.00162593275309,5.78810550272465,0.25,0.66666667,0.5,0,0.75,0.6,0.6,12.28571429,0.5,NA,0.2,0.1,0.2,84.4007995605469,NA,87.35009765625,88.2929992675781,79.6925048828125,-7.95062789916992,NA,-1.86938047409058,-8.95205974578857,8.03709506988525,-5.82637023925781,NA,3.02806496620178,-2.66278004646301,-0.694855034351349,0.289405275136232,NA,0.284376636147499,0.039364367723465,0.140032518655062,5.78810550272465,NA,14.218831807375,3.9364367723465,7.00162593275309,0.4,0.6,0.5,0.5,0.66666667,0.6,0.5,1,84.8025283813477,-39.9314231872559,0,0,84.8025,0,0,"2024-09-18",0
"Cooper Criswell",24975,"2024-09-12","@NYY",3,2024,"BOS","A",27,0,0,1.68750010058284,1,1,0,0,0,0,0,0,5.1,23,4,1,1,1,3,0,1,0,0,4,6.75000040233138,5.06250030174853,6.75000040233138,1.33333333,0,0,5,8,2,0,0,0,0,0.17391304,0.13043478,0.04347826,5.63514306938414,1.68750010058284,0.210526315789474,1.3125000782311,0.214285714285714,1,6.35397996827961,-4.66647986769677,6.18449256751018,39.6341244240796,155.264071726194,152.009675237071,0.625,0.133333333,0.333333333,0.533333333,0,0.125,1,1.68750010058284,32,54,86,0.138016015291214,-0.326387822628021,0.464403837919235,1.432000041008,0.148701965808868,1.13135647773743,0.957866668701172,0.870000004768372,1.75160002708435,1,1,0.042995247989893,0.0789963771141847,0,0,0.27906977,89.25,0.25581395,76.81818182,0.12790698,87,0.3372093,84.82758621,NA,-2.02213883399963,1.02046775817871,0.718202650547028,0.585251271724701,-8.42557847499847,4.63848980990323,6.52911500497298,2.01810783353345,0.35416667,0.63157895,0.47674419,0.82352941,0.91666667,0.87804878,0.44186047,0.69565217,0.05813953,6,5,4,1,4,10,15,0.4,0.33333333,0.26666667,0.06666667,0.26666667,0.66666667,6.37694766623386,52,70.94782,52.12308,79.38791,31.00751,31.60711,26.63368,49.10358,59.34238,30.40292,51.94175,33.80479,64.85051,53.69684,50.45626,52.42751,-0.10426,3.9207,82.24,130.12,115.76,97.92,74.8,82.18,116.696363636364,77.9472727272727,95.6690909090909,91.32,130.4,101.8,96.5916279069767,101.371162790698,99.4637209302326,0.12790698,0.27906977,0.25581395,0.3372093,86.8181818181818,89.1958312988281,76.8227261629972,84.7517258216595,-1.03674611178311,-9.55754852294922,9.78929484974254,-7.41531319453799,3.95071549849077,-0.786808013916016,2.31792970137163,-3.72251786856816,0.726310238242149,-2.0374616459012,1.02740645781159,0.628795612603426,6.6028203476559,-8.48942352458835,4.67002935368906,2.16826073311526,0.34042553,0.64102564,0.47674419,0.8125,0.92,0.87804878,0.45348837,17,0.3372093,NA,0.12790698,0.27906977,0.25581395,84.7266214304957,NA,86.7867376154119,89.176025390625,76.7863658558239,-7.24045325969828,NA,-0.609676534479315,-9.3812739054362,10.275541825728,-5.01055118955415,NA,3.2714809070934,-1.84376859664917,1.23578999259255,0.628795612603426,NA,0.726310238242149,-2.0374616459012,1.02740645781159,2.16826073311526,NA,6.6028203476559,-8.48942352458835,4.67002935368906,0.33333333,0.65789474,0.47674419,0.8125,0.92,0.87804878,0.44186047,15,90.8668619791667,15.5212270100911,3,0.2,108.535,6,0.4,"2024-09-12",0
"Cooper Criswell",24975,"2024-09-07","CHW",3,2024,"BOS","H",27,1,0,3.6,1,1,0,0,0,0,0,0,5,22,6,2,2,1,2,0,0,0,0,0,0,3.6,10.8,0,0.076923076,0,13,4,3,0,1,0,0,0,0.09090909,-0.09090909,5.80235716999606,1.8,0.3,1.6,0.263157894736842,0.90909091,6.96647977828979,-3.36647977828979,5.57608650326729,84.5527937316303,170.407746029491,136.874011034069,3.25,0.15,0.65,0.2,0,0.25,7,12.6,29,50,79,0.0409839749336243,-0.35438796877861,0.395371973514557,0.734699964523315,0.0707803517580032,0.840781807899475,0.834800004959106,0.870000004768372,0.451999992132187,1,1,-0.100451022386551,0.149196100537105,0,0,0.37974684,88.36666667,0.17721519,79.07142857,0.13924051,85.63636364,0.30379747,83.95833333,NA,0.0930698662996292,-1.43567502498627,0.470153540372849,0.28930076956749,0.310232887665431,-10.2548216070448,4.27412309429862,1.20541987319787,0.26,0.72413793,0.43037975,0.92307692,1,0.97058824,0.36708861,0.54545455,0.01265823,6,11,3,2,10,8,20,0.3,0.55,0.15,0.1,0.5,0.4,7.42993515297723,41,61.97034,50.38898,70.56669,57.86784,45.0367,59.40833,20,52.30536,20,49.24036,35.53759,52.92286,51.97468,49.50537,57.29424,0.00273,4.08119,91.28,117.12,112.2,98.1,100.48,113.88,118.807142857143,65.7857142857143,70.8771428571429,100.78,122,108.36,100.070886075949,102.383291139241,104.980253164557,0.13924051,0.37974684,0.17721519,0.30379747,85.6636352539062,88.3166666666667,78.9071393694196,83.8666687011719,-0.725743293762207,-10.0037760416667,6.81342206682478,-8.07810846964518,3.98025478016246,-0.954500452677409,1.23558494022914,-3.30810832977295,0.517346240580082,0.0925503559410572,-1.44163003191352,0.289607428014278,4.70314764163711,0.308501186470191,-10.2973573708108,1.20669761672616,0.28571429,0.59459459,0.43037975,0.91666667,1,0.97058824,0.46835443,16.07017544,0.30379747,NA,0.13924051,0.37974684,0.17721519,84.0502471923828,NA,85.840409712358,88.5153971354167,79.0799647739955,-7.70367177327474,NA,-0.216850454157049,-9.62506612141927,7.57340785435268,-4.15628623962402,NA,3.69529724121094,-1.65664914449056,0.438320943287441,0.289607428014278,NA,0.517346240580082,0.0925503559410572,-1.44163003191352,1.20669761672616,NA,4.70314764163711,0.308501186470191,-10.2973573708108,0.30232558,0.58333333,0.43037975,0.92307692,1,0.97058824,0.4556962,20,93.2659118652344,-1.96491413116455,1,0.05,104.052,10,0.5,"2024-09-07",0
"Cooper Criswell",24975,"2024-09-01","@DET",3,2024,"BOS","A",27,0,0,0,1,1,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,5,11.25,0,0,5,0,0,4,2,1,0,0,0,0,0.41666667,0,0.41666667,1.36206242323306,0,0,0,0,1,0.666479778289795,-0.666479778289795,1.42248398140073,0,14.6441905939693,33.5424752415245,2,0.142857142,0.571428571,0.285714285,0,0,1,2.25,17,35,52,0.210107982158661,0,0.210107982158661,1.91999995708466,0.202531650662422,0.702000021934509,0.962500035762787,0.870000004768372,1.36000001430511,1,1,0.299775719642639,-0.000476609110328929,0,0,0.30769231,89.625,0.21153846,78.63636364,0.25,86.84615385,0.23076923,84.08333333,NA,0.841977953910828,0.447077393531799,0.814192652702332,0.803490281105042,5.26236221194267,4.06433994119818,6.26302040540255,6.69575234254201,0.27586207,0.69565217,0.46153846,0.625,0.875,0.79166667,0.44230769,0.66666667,0.09615385,2,4,1,0,5,2,7,0.28571429,0.57142857,0.14285714,0,0.71428571,0.28571429,0.159019184893405,68,68.42932,44.7328,80,45.2458,26.06445,52.15925,59.06597,45.395,71.78175,42.28763,33.81902,45.12311,55.59101,39.40703,67.9586,-0.22194,3.74418,79.8,138.9,112.6,114.84,102.52,113.8,106.885454545455,126.656363636364,119.990909090909,99.26,120.52,99.14,101.176153846154,120.521153846154,111.167692307692,0.25,0.30769231,0.21153846,0.23076923,86.8461538461538,89.5999984741211,78.7454556551847,84.1166687011719,-1.86747184166541,-10.1733102798462,6.32590415261008,-8.39332262674967,4.46756128164438,-0.122630424797535,0.920570286837491,-2.7437432607015,0.823252394795418,0.852543283253908,0.45151736959815,0.855535212904215,6.33271072919552,5.32839552033693,4.10470335998318,7.12946010753512,0.23076923,0.69230769,0.46153846,0.5,0.88888889,0.79166667,0.5,14.925,0.23076923,NA,0.25,0.30769231,0.21153846,84.2751922607422,NA,87.0042630709135,89.7662887573242,78.8930608575994,-7.94225056966146,NA,-1.10108823042649,-9.52701568603516,7.1718091097745,-3.83034578959147,NA,4.01850157517653,-1.07256305217743,-0.0130807215517217,0.855535212904215,NA,0.823252394795418,0.852543283253908,0.45151736959815,7.12946010753512,NA,6.33271072919552,5.32839552033693,4.10470335998318,0.23076923,0.69230769,0.46153846,0.5,0.88888889,0.79166667,0.5,7,87.1651960100446,10.6966596330915,0,0,103.018,1,0.14285714,"2024-09-01",0
"Cooper Criswell",24975,"2024-08-27","TOR",3,2024,"BOS","H",27,0,0,2.70000025749209,1,1,0,0,0,0,0,0,3.1,18,5,1,1,0,3,0,2,0,0,0,0,8.10000077247627,13.5000012874604,0,0,0,4,5,4,0,0,0,0,0,0.16666667,-0.16666667,8.64582166423508,0,0.384615384615385,2.40000022888186,0.384615384615385,0.9,7.66648020744328,-4.96647994995119,9.93449303307064,63.4146013464104,187.7148183551,245.300572786649,0.8,0.307692307,0.307692307,0.384615384,0,0,3,8.10000077247627,26,46,72,-0.0318200476467609,-0.341584056615829,0.30976402759552,-0.267300069332123,-0.0257514491677284,1.27579998970032,0.898399949073792,0.870000004768372,1.88760006427765,1,1,-0.0969353169202805,0.0719940660160259,0,0,0.375,89.18518519,0.19444444,79,0.22222222,87.3125,0.20833333,84.13333333,NA,-1.81250250339508,-0.958560049533844,-0.0190829858183861,-0.204188972711563,-6.7129722347966,-6.84685749667031,-0.119268661364913,-1.36125981807709,0.28571429,0.66666667,0.44444444,0.83333333,0.9,0.875,0.41666667,0.83333333,0.05555556,7,4,2,0,6,7,13,0.53846154,0.30769231,0.15384615,0,0.46153846,0.53846154,10.9735405994497,40,62.39656,48.31933,59.43748,44.02061,37.2518,51.69726,42.94731,54.31641,29.62598,20,34.11424,23.84164,41.37148,44.85294,40.72309,0.66147,5.0693,87.84,102.84,96.78,103.66,73.98,80.3,119.394285714286,93.66,88.5542857142857,99.16,71.38,50.22,102.423611111111,83.2413888888889,78.6538888888889,0.22222222,0.375,0.19444444,0.20833333,87.1812515258789,89.0888852719907,78.9428536551339,84.086669921875,-1.71710002422333,-9.73663895218461,7.16040747506278,-8.0236073811849,4.63419580459595,-0.669892911557798,2.53227397373744,-3.17584025065104,0.0177674740552902,-1.83368028327823,-0.97551292553544,-0.208170864731073,0.111046712845564,-6.79140845658602,-6.96794946811029,-1.38780576487382,0.23529412,0.63157895,0.44444444,0.875,0.875,0.875,0.52777778,18.30188679,0.20833333,NA,0.22222222,0.375,0.19444444,84.1981201171875,NA,87.2766342163086,89.2094907407407,79.0590384347098,-7.39620259602865,NA,-1.11621022224426,-9.17231467918113,8.14373615809849,-4.34029083251953,NA,4.26391077041626,-1.65088399251302,1.5712799344744,-0.208170864731073,NA,0.0177674740552902,-1.83368028327823,-0.97551292553544,-1.38780576487382,NA,0.111046712845564,-6.79140845658602,-6.96794946811029,0.22857143,0.64864865,0.44444444,0.875,0.875,0.875,0.51388889,13,93.2531926081731,14.1742553710938,2,0.15384615,112.201,6,0.46153846,"2024-08-27",0
"Cooper Criswell",24975,"2024-08-21","@HOU",3,2024,"BOS","A",27,0,0,1.92857169131847,1,1,0,0,0,0,0,0,4.2,18,4,1,1,1,1,0,0,0,0,4,7.71428676527388,1.92857169131847,7.71428676527388,4,0.125,0,8,2,3,0,1,0,0,0.22222222,0.05555556,0.16666667,3.06692661177747,1.92857169131847,0.235294117647059,1.07142871739915,0.25,1,4.88076572612843,-2.95219403480997,2.74305475184066,45.2961456701978,118.83977199989,66.3950664834472,4,0.23076923,0.615384615,0.153846153,0,0.5,2,3.85714338263694,37,43,80,0.175010040402412,-0.194574013352394,0.369584053754807,1.28600001335144,0.13630099594593,0.952431559562683,1.1113600730896,0.924199998378754,0.631600022315979,1,1,0.0890014469623566,0.0947493313956913,0,0,0.5,89.025,0.3125,79.28,0.075,86.66666667,0.1125,84.11111111,NA,0.361297965049744,-0.879286825656891,-0.048496201634407,0.357142478227615,0.903244912624359,-3.51714730262756,-0.808270027240117,3.96824975808462,0.1875,0.65625,0.375,0.77777778,0.80952381,0.8,0.4,0.44444444,0.075,10,0,3,2,7,4,13,0.76923077,0,0.23076923,0.15384615,0.53846154,0.30769231,6.18734020117446,52,63.08517,53.86525,61.56053,45.42843,38.83918,52.11104,22.46444,47.70297,20,20,44.10141,20.95534,39.11427,44.7659,36.32607,0.8017,5.27964,83.58,117.68,120.6,110.72,109.22,121.46,105.7312,73.1912,85.5304,82.28,97.32,93.26,103.97475,98.02025,108.02025,0.075,0.5,0.3125,0.1125,86.5166625976562,88.9525024414063,79.252001953125,84.022223578559,-1.60948928197225,-9.75357437133789,6.24820495605469,-8.83397759331597,5.07002957661947,-0.495277309417725,1.63608840942383,-3.26736174689399,-0.0501358769834042,0.379901573061943,-0.893857661634684,0.361210886389017,-0.835597949723403,0.949753932654858,-3.57543064653873,4.0134542932113,0.12195122,0.64102564,0.375,0.8,0.8,0.8,0.4875,14.81967213,0.1125,NA,0.075,0.5,0.3125,84.0049438476562,NA,86.5006713867188,88.9203063964844,79.2225830078125,-8.37451680501302,NA,-0.888059298197428,-9.10793075561523,7.1228173828125,-4.75705888536241,NA,4.14319165547689,-1.71842918395996,0.142224407196045,0.361210886389017,NA,-0.0501358769834042,0.379901573061943,-0.893857661634684,4.0134542932113,NA,-0.835597949723403,0.949753932654858,-3.57543064653873,0.12820513,0.6097561,0.375,0.8,0.8,0.8,0.5125,13,88.255849984976,-1.79532667306753,1,0.07692308,109.924,4,0.30769231,"2024-08-21",0
"Cooper Criswell",24975,"2024-08-16","@BAL",3,2024,"BOS","A",27,1,0,16.2000015449525,1,0,0,0,0,0,0,0,3.1,22,9,6,6,0,4,0,0,1,0,1,2.70000025749209,10.8000010299684,24.3000023174288,0.25,0,0,7,6,4,1,0,0,0,0.04545455,0.18181818,-0.13636364,7.65630965558213,0,0.5,3.90000037193302,0.529411764705882,0.53846154,6.16648006439212,10.0335214805604,8.88809545514495,380.487608078462,150.628254000268,219.268744221582,1.166666666,0.235294117,0.411764705,0.352941176,0.166666666,0,6,16.2000015449525,32,47,79,-0.556699991226196,-0.876179993152618,0.319480001926422,-5.27600002288818,-0.567311823368073,1.51341664791107,0.825999975204468,0.96399998664856,2.68400001525879,1,1,-0.418489038944244,0.0506458597413499,0,1,0.15384615,89.33333333,0.28205128,76.22727273,0.23076923,87,0.33333333,84.34615385,0.01265823,-0.615487933158875,-2.80189180374146,0.486860305070877,-1.10801184177399,-5.12906610965729,-12.7358718351884,2.70477947261598,-4.26158400682303,0.31914894,0.74193548,0.48717949,0.93333333,0.95652174,0.94736842,0.3974359,0.68181818,0.02531646,7,8,2,1,7,9,17,0.41176471,0.47058824,0.11764706,0.05882353,0.41176471,0.52941176,6.47289466851484,NA,29.06346,53.51731,26.40123,51.09968,41.62452,57.84758,40.98853,56.01435,30.21076,41.68565,51.22616,36.37754,33.39539,57.50955,25.2174,1.15699,5.81258,83.56,72.08,65,102.94,108.28,106.54,112.26,63.52,78.72,92.04,86.74,82.48,96.4283544303798,78.5351898734177,79.113417721519,0.2278481,0.15189873,0.27848101,0.34177215,86.9611138237847,89.1083374023438,76.1636352539062,84.2592592592593,-0.979156070285373,-9.31238174438477,10.0647104436701,-8.18508006908275,3.9067882961697,0.286164840062459,2.68309679898349,-1.9597492924443,0.472060795873404,-0.58496506139636,-2.82391060888767,-1.16651234403253,2.62255997707446,-4.87470884496967,-12.8359573131258,-4.32041608900936,0.2195122,0.76315789,0.48101266,0.88888889,0.96551724,0.94736842,0.48101266,17.50877193,0.32911392,0.01265823,0.2278481,0.15189873,0.27848101,84.0481144831731,85.3628005981445,86.7891710069444,88.9626871744792,75.9964932528409,-7.64296135535607,-7.34545993804932,-0.301227251688639,-8.80790011088053,11.0623640580611,-3.39003430880033,5.04877996444702,3.35631222195095,-0.741190512975057,1.613412510265,-1.13146363943815,-0.0350487045943737,0.472060795873404,-0.58496506139636,-2.82391060888767,-4.35178322860828,-3.50487045943737,2.62255997707446,-4.87470884496967,-12.8359573131258,0.26190476,0.72972973,0.48101266,0.90909091,0.96296296,0.94736842,0.46835443,17,93.081636316636,16.6712197696461,1,0.05882353,109.581,9,0.52941176,"2024-08-16",0
"Cooper Criswell",24975,"2024-08-05","@KCR",3,2024,"BOS","A",27,0,0,27.000028163224,1,0,0,0,0,0,0,0,0.2,5,3,2,2,0,0,0,0,0,0,1,13.500014081612,0,40.5000422448361,1,0,0,0,1,3,0,0,0,0,0.2,0,0.2,3.74716908401489,0,0.6,4.50000469387067,0.75,0.33333333,0.166476649042681,26.8335515141814,2.43449162409945,634.146614453692,2.28192628596661,58.7187657997406,0,0.75,0,0.25,0,0,0,0,11,14,25,-0.0356939993798733,-0.0660459995269775,0.0303520001471043,-1.80200004577637,-0.176407247781754,0.407480001449585,0.270999997854233,0.270999997854233,0.653400003910065,1,1,-0.143432408571243,0.0558354731317271,0,0,0.32,89,0.32,76.625,0.24,87.5,0.12,84,NA,-0.108902215957642,-0.829323947429657,-0.879422843456268,0.0594149753451347,-1.36127769947052,-10.3665493428707,-14.6570473909378,1.98049917817116,0.25,0.66666667,0.4,0.5,1,0.8,0.36,0.2,0.08,1,1,2,0,2,2,4,0.25,0.25,0.5,0,0.5,0.5,10.6162133457627,NA,26.11962,45.90977,20,74.77317,31.96658,71.16512,20,57.35444,20,20,36.45305,20,28.23061,46.52531,20,1.47786,6.29388,90.8,61.78,58.36,109.38,135.08,156.46,126.54,25.56,30.66,91.76,65.78,64.12,108.4128,74.6056,82.2704,0.24,0.32,0.32,0.12,87.5999959309896,88.875,76.5500030517578,83.6666666666667,-1.34213590621948,-9.51585292816162,9.03951168060303,-8.29068120320638,4.38739331563314,-1.01878261566162,2.14859199523926,-2.95479965209961,-0.889447778463364,-0.105889864265919,-0.839096415787935,0.0598179250955582,-14.8241296410561,-1.32362330332398,-10.4887051973492,1.99393083651861,0.23076923,0.58333333,0.4,0.33333333,1,0.8,0.48,16.55,0.12,NA,0.24,0.32,0.32,83.6854349772135,NA,87.6695454915365,88.9429626464844,76.6226043701172,-7.83179346720378,NA,-0.681275844573975,-9.21401405334473,10.0737886428833,-4.03450012207031,NA,3.66937001546224,-1.96703779697418,1.15981912612915,0.0598179250955582,NA,-0.889447778463364,-0.105889864265919,-0.839096415787935,1.99393083651861,NA,-14.8241296410561,-1.32362330332398,-10.4887051973492,0.23076923,0.58333333,0.4,0.33333333,1,0.8,0.48,4,95.8498992919922,22.3837738037109,0,0,107.245,2,0.5,"2024-08-05",0
"Cooper Criswell",24975,"2024-08-03","@TEX",3,2024,"BOS","A",27,0,0,0,1,0,0,0,0,0,0,0,2,8,2,0,0,0,1,0,0,0,0,0,0,4.5,9,0,0,0,4,2,1,0,0,0,0,0,0.125,-0.125,6.77066658401489,0,0.285714285714286,1.5,0.285714285714286,1,4.6664797782898,-4.6664797782898,6.17848818451166,0,113.541686108586,151.860300781173,2,0.142857142,0.571428571,0.285714285,0,0,0,0,13,15,28,0.0181760117411613,-0.00962802674621344,0.0278040394186974,0.98199999332428,0.101973004639149,0.152049988508224,0.156000003218651,0.205200001597404,NA,0,1,0.0615540780127048,0.0579856333643742,0,0,0.46428571,88.61538462,0.35714286,76,0.03571429,87,0.14285714,83.25,NA,0.563982844352722,0.441131889820099,-0.0879258811473846,-0.333931088447571,4.33832957194402,4.41131889820099,-8.79258811473846,-8.34827721118927,0.1875,0.5,0.32142857,1,0.83333333,0.88888889,0.42857143,0.625,0.03571429,3,0,4,0,4,3,7,0.42857143,0,0.57142857,0,0.57142857,0.42857143,4.89868023247356,NA,52.65503,54.49158,53.00675,66.41525,47.57309,56.54534,76.04621,64.57904,76.56179,20,20,20,64.74677,56.57745,59.17365,-0.79075,2.89097,99,79.54,77.3,102.54,121.36,136.98,122.6,88.4,114.2,105.16,-42.74,-98.8,109.292142857143,97.7535714285714,111.897857142857,0.03571429,0.46428571,0.35714286,0.14285714,86.6999969482422,88.6615365835337,75.7700012207031,83.4250030517578,-2.5511302947998,-10.4698157677284,9.60971450805664,-9.48844528198242,3.52284336090088,-1.56376735980694,2.88387260437012,-3.67444705963135,-0.0897959321737289,0.613450784236193,0.445857889950275,-0.339858915656805,-8.97959321737289,4.71885218643225,4.45857889950275,-8.49647289142013,0.16666667,0.4375,0.32142857,1,0.85714286,0.88888889,0.57142857,12,0.14285714,NA,0.03571429,0.46428571,0.35714286,83.7301712036133,NA,86.9889984130859,88.9593224158654,76.0487182617187,-9.1168098449707,NA,-2.32678008079529,-9.99244103064904,10.315380859375,-4.87036514282227,NA,3.06059002876282,-2.6495246887207,1.87925052642822,-0.339858915656805,NA,-0.0897959321737289,0.613450784236193,0.445857889950275,-8.49647289142013,NA,-8.97959321737289,4.71885218643225,4.45857889950275,0.15384615,0.53333333,0.35714286,1,0.75,0.8,0.53571429,7,93.4197474888393,8.19514683314732,0,0,104.694,5,0.71428571,"2024-08-03",0
