"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","XX%","wFB","wSL","wCB","wFB/C","wSL/C","wCB/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxSL%","pfxCU%","pfxvFA","pfxvSI","pfxvSL","pfxvCU","pfxFA-X","pfxSI-X","pfxSL-X","pfxCU-X","pfxFA-Z","pfxSI-Z","pfxSL-Z","pfxCU-Z","pfxwFA","pfxwSI","pfxwSL","pfxwCU","pfxwFA/C","pfxwSI/C","pfxwSL/C","pfxwCU/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCU%","piFA%","piSI%","piSL%","pivCU","pivFA","pivSI","pivSL","piCU-X","piFA-X","piSI-X","piSL-X","piCU-Z","piFA-Z","piSI-Z","piSL-Z","piwCU","piwFA","piwSI","piwSL","piwCU/C","piwFA/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Yohan Ramirez",19444,"2024-07-30","SEA",3,2024,"BOS","H",29,0,0,13.5000032186516,1,0,0,0,0,0,0,0,1.1,9,3,3,2,0,0,0,2,1,0,1,6.75000160932579,0,20.2500048279774,1,0,0,2,2,2,0,0,0,0,0.11111111,0,0.11111111,4.42342044353798,0,0.428571428571429,2.25000053644193,0.5,0.4,6.1664804935457,7.33352272510588,8.43449364361497,317.07305208972,150.628264610822,207.984233588482,1,0.333333333,0.333333333,0.333333333,0,0,0,0,13,16,29,-0.0508439987897873,-0.108663998544216,0.0578200034797192,-1.99200010299683,-0.1919075101614,0.457781821489334,0.41200003027916,0.648800015449524,0.0383999980986118,1,1,-0.163557901978493,0.0524918954158623,0,0,0.48275862,94.64285714,0.24137931,81.57142857,0.27586207,83.125,NA,-1.51581871509552,-0.23416893184185,0.550382792949677,-10.8272765363966,-3.34527045488358,6.87978491187096,0.31578947,0.6,0.4137931,0.5,1,0.75,0.34482759,0.11111111,0.10344828,2,1,3,1,2,3,6,0.33333333,0.16666667,0.5,0.16666667,0.33333333,0.5,8.11576901317267,20,69.63757,20,20,61.67219,20,20,62.78148,20,20,75.6901,20,20,68.62759,20,2.98085,8.54837,100.06,63.18,53.24,95.52,81.42,85.7,111.96,51.24,71.36,100.02,63.74,70,104.661379310345,59.6324137931034,67.0220689655172,0.06896552,0.4137931,0.24137931,0.27586207,94.3000030517578,94.5416666666667,81.5,83.1750030517578,-5.92960786819458,-9.55645497639974,10.024416242327,7.64521360397339,8.79006195068359,2.97740904490153,0.982065745762416,-5.10016870498657,0.0151214338839054,-1.5564621463418,-0.25024363771081,0.557614363729954,0.756071694195271,-12.9705178861817,-3.57490911015442,6.97017954662442,0.1875,0.69230769,0.4137931,0,1,0.75,0.44827586,23.2,0.27586207,0.06896552,0.4137931,0.24137931,83.1343231201172,94.2527465820312,94.5224202473958,81.4418247767857,8.48779296875,-5.68278980255127,-9.46236864725749,11.1505944388253,-6.38431882858276,8.23665523529053,2.3754874865214,-0.0383485725947789,0.557614363729954,0.0151214338839054,-1.5564621463418,-0.25024363771081,6.97017954662442,0.756071694195271,-12.9705178861817,-3.57490911015442,0.1875,0.69230769,0.4137931,0,1,0.75,0.44827586,6,86.676513671875,18.5555203755697,0,0,94.166,0,0,"2024-07-30",0
"Yohan Ramirez",19444,"2024-07-24","SFG",22,2024,"LAD","H",29,0,0,67.5000704080601,1,0,0,0,0,0,0,0,0.2,8,3,5,5,0,3,0,0,0,0,1,13.500014081612,40.5000422448361,40.5000422448361,0.33333333,0,0,3,0,1,0,0,0,0,0.125,0.375,-0.25,10.1728697090149,0,0.6,9.00000938774135,0.75,0.16666667,13.6664907306547,53.8335796774054,13.6664907306547,1670.69488376104,327.030749771175,332.050120811494,3,0.25,0.75,0,0,0,0,0,18,18,36,-0.189799979329109,-0.24465999007225,0.0548600107431412,-3.57100009918213,-0.377883613109589,1.05974996089935,0.810666680335999,0.696000039577484,0.393999993801117,1,1,-0.174876317381859,-0.0042225137877466,0,1,0.77777778,94.64285714,0.13888889,82,0.08333333,81,NA,-0.871395945549011,-0.117825619876385,-0.866017699241638,-3.11212837696075,-2.35651239752769,-28.8672566413879,0.1,0.75,0.38888889,0.5,0.83333333,0.78571429,0.44444444,0.375,0.08333333,2,2,0,0,3,1,4,0.5,0.5,0,0,0.75,0.25,9.54097245928082,20,64.3646,22.63255,41.4592,61.64569,35.56305,20,69.20457,20,20,75.45712,20,20,64.65121,20,2.64985,8.05187,110.3,43.84,25.74,90.3,77.92,75.4,122.86,-3.91999999999999,18.46,126.02,33.76,54.66,108.685555555556,39.3933333333333,47.8194444444444,0.41666667,0.36111111,0.13888889,0.08333333,94.4333333333333,94.530771108774,81.7199951171875,80.8666687011719,-6.59574584960937,-10.5812659630409,9.55002212524414,7.15928204854329,8.27780100504557,3.76692258394682,1.6280632019043,-5.46837552388509,-0.502384644001722,-0.392948381602764,-0.120528973639011,-0.879794269800186,-3.34923096001148,-3.0226798584828,-2.41057947278023,-29.3264756600062,0.11111111,0.66666667,0.38888889,0.5,0.83333333,0.78571429,0.5,22.32142857,0.08333333,0.41666667,0.36111111,0.13888889,80.8663991292318,94.455029296875,94.5457669771635,81.7314208984375,7.91586303710938,-5.82820790608724,-9.80614119309645,10.7654739379883,-6.84770647684733,7.43078104654948,2.59498185377855,0.361345982551575,-0.879794269800186,-0.502384644001722,-0.392948381602764,-0.120528973639011,-29.3264756600062,-3.34923096001148,-3.0226798584828,-2.41057947278023,0.11764706,0.63157895,0.38888889,0.5,0.83333333,0.78571429,0.52777778,4,88.7568664550781,2.22737979888916,0,0,104.667,2,0.5,"2024-07-24",0
"Yohan Ramirez",19444,"2024-07-20","BOS",22,2024,"LAD","H",29,0,0,27.000028163224,1,0,0,0,0,0,0,0,0.2,6,3,2,2,0,1,1,0,0,0,1,13.500014081612,13.500014081612,40.5000422448361,1,0.5,0,2,0,2,0,1,0,0,0.16666667,0.16666667,0,4.95995130323017,0,0.6,6.00000625849423,0.75,0.5,4.66648134291335,22.3335468203107,4.66648134291335,668.277953504415,112.826682104039,114.558381588337,2,0.5,0.5,0,0,0,0,0,8,12,20,-0.271639972925186,-0.389479994773865,0.117840021848679,-1.74700021743774,-0.184867724776268,1.74899995326996,0.453000009059906,0.906000018119812,0.950000047683716,1,1,-0.109950318932533,-0.0453612763692983,0,1,0.8,94.625,0.15,82.66666667,0.05,81,0.2,-0.395197212696075,-0.861952006816864,0.0495179928839207,-2.46998257935047,-28.7317335605621,4.95179928839207,0.1,0.8,0.45,1,0.875,0.88888889,0.5,0.16666667,0.05,2,2,0,0,2,2,4,0.5,0.5,0,0,0.5,0.5,8.47021385937649,80,50.76833,80,56.73403,52.72135,67.53459,67.2112,57.48157,69.26952,20,57.56425,20,60.72254,52.05259,67.04809,-0.54074,3.26598,105.06,114.6,103.14,74.14,145.7,133.88,111.02,128.66,151.52,96.56,24.98,30.3,99.758,121.146,130.15,0.2,0.6,0.1,0.1,94.9499969482422,94.4166666666667,82.6999969482422,81.25,-7.08412408828735,-9.72051111857096,5.61332893371582,6.03348445892334,6.96418380737305,3.87521076202393,1.85592842102051,-4.24976444244385,0.591834485530853,-0.995354615151882,-0.0700974091887474,-0.750376269221306,14.7958621382713,-8.29462179293235,-3.50487045943737,-37.5188134610653,0,0.75,0.45,NA,0.88888889,0.88888889,0.6,23.46666667,0.1,0.25,0.55,0.1,81.0726470947266,94.929736328125,94.1382057883523,82.5295562744141,6.88638973236084,-6.79237823486328,-9.43257904052734,7.03691005706787,-5.51104497909546,5.81477584838867,2.87745718522505,0.773796498775482,-0.750376269221306,0.55678578093648,-0.960305910557508,-0.0700974091887474,-37.5188134610653,11.1357156187296,-8.73005373234099,-3.50487045943737,0,0.75,0.45,NA,0.88888889,0.88888889,0.6,4,97.9917068481445,0.0895342752337456,1,0.25,108.899,3,0.75,"2024-07-20",0
"Yohan Ramirez",19444,"2024-07-14","@DET",22,2024,"LAD","A",29,0,1,9,1,0,0,0,0,0,0,1,1,7,3,2,1,0,0,0,0,0,0,1,9,0,27,1,0,1,2,0,2,0,0,2,2,0.14285714,0,0.14285714,3.15672909693732,0,0.428571428571429,3,0.5,0.33333333,1.1664797782898,7.8335202217102,1.1664797782898,222.75908547873,29.5251498850985,29.9783111930123,2,0.5,0.5,0,0,0,0,0,4,17,21,-0.668860018253326,-0.905035972595215,0.236175984144211,-2.48300004005432,-0.26191982626915,3.03085708618164,2.93900012969971,2.46560001373291,NA,0,1,-0.200925588607788,-0.0197578679968831,0,1,0.66666667,93.85714286,0.14285714,83,0.19047619,81.75,NA,-0.159542471170425,-1.45124328136444,0.0692989826202393,-1.13958907978875,-48.3747760454814,1.73247456550598,0.42857143,0.71428571,0.61904762,0.33333333,0.9,0.76923077,0.66666667,0.57142857,0.14285714,3,2,1,0,3,3,6,0.5,0.33333333,0.16666667,0,0.5,0.5,6.80238690434051,43.97322,55.37915,38.12862,79.27065,56.23934,80,80,61.13354,75.23361,80,66.27092,77.32117,80,56.32402,79.76093,-1.84594,1.30818,100.32,63.42,45.22,90.64,137.84,132.48,111,116.66,128.88,147.96,159.64,187.16,105.918,114.002,114.873,0.28571429,0.38095238,0.0952381,0.23809524,94.2666625976562,93.4124984741211,82.6000061035156,81.9400024414062,-5.75744565327962,-9.54243946075439,9.3554048538208,6.43450927734375,7.02128410339355,3.43486642837524,1.67777466773987,-4.62354774475098,-0.098968293517828,1.03983439132571,-0.31125009059906,-1.08191298693419,-1.64947155863047,12.9979298915714,-15.562504529953,-21.6382597386837,0.42857143,0.71428571,0.61904762,0.33333333,0.9,0.76923077,0.66666667,19.78571429,0.23809524,0.28571429,0.38095238,0.0952381,82.0832397460938,94.4081624348958,93.572883605957,82.7306518554688,7.28086013793945,-5.3294350306193,-9.25558280944824,10.1059856414795,-6.10772590637207,6.40703328450521,2.53996253013611,0.755649447441101,-1.08191298693419,-0.098968293517828,1.03983439132571,-0.31125009059906,-21.6382597386837,-1.64947155863047,12.9979298915714,-15.562504529953,0.5,0.66666667,0.61904762,0.33333333,0.9,0.76923077,0.71428571,6,96.6987686157227,7.00165510177612,0,0,99.3906,3,0.5,"2024-07-14",0
"Yohan Ramirez",19444,"2024-07-13","@DET",22,2024,"LAD","A",29,0,1,27.000028163224,1,0,0,0,0,0,0,0,0.1,2,1,2,1,1,0,0,0,0,0,0,0,0,27.000028163224,0,0,0,0,1,0,0,0,1,0,0,0,0,8.41372908401489,27.000028163224,0.5,3.00000312924711,0,2.5,42.1665204585023,-15.1664922952783,7.70250972840334,668.277953504415,1005.34363071711,187.926204380887,0,0,0,1,0,1,0,0,2,4,6,-0.192811995744705,-0.192811995744705,0,-1.17000007629395,-0.123417720198631,3.69860005378723,2.61240005493164,2.61240005493164,NA,0,1,-0.0434090830385685,-0.00872199167638284,0,1,0.16666667,95,0.66666667,83,0.16666667,78,NA,0.104759886860847,-1.41040635108948,0.0389156937599182,10.4759886860847,-35.2601587772369,3.89156937599182,0.25,1,0.5,0,1,0.66666667,0.33333333,1,0.16666667,2,0,0,0,1,1,2,1,0,0,0,0.5,0.5,2135.74544558734,80,43.10604,80,80,49.35814,80,NA,NA,NA,20,74.51785,20,29.55054,70.89203,20,1.39586,6.17088,82.22,152.5,147.88,NA,NA,NA,NA,NA,NA,100.74,59.72,68.34,97.036,78.276,84.248,0.16666667,NA,0.66666667,0.16666667,94.5999984741211,NA,82.9000015258789,78.1999969482422,-6.45971345901489,NA,8.08440971374512,5.36138343811035,7.16847324371338,NA,4.00464153289795,-6.76353359222412,0.107620283961296,NA,-1.41166828200221,0.039364367723465,10.7620283961296,NA,-35.2917070500553,3.9364367723465,0.33333333,0.66666667,0.5,0,1,0.66666667,0.5,23.5,0.16666667,0.16666667,NA,0.66666667,78.282096862793,94.6950988769531,NA,83.014274597168,5.77835988998413,-5.95047998428345,NA,9.47962760925293,-8.03355979919434,6.20600986480713,NA,2.66625499725342,0.039364367723465,0.107620283961296,NA,-1.41166828200221,3.9364367723465,10.7620283961296,NA,-35.2917070500553,0.33333333,0.66666667,0.5,0,1,0.66666667,0.5,2,103.674880981445,34.1824951171875,1,0.5,103.675,1,0.5,"2024-07-13",0
"Yohan Ramirez",19444,"2024-07-12","@DET",22,2024,"LAD","A",29,0,0,0,1,0,0,0,0,0,0,0,1.1,4,1,0,0,0,0,0,0,0,0,3,20.2500048279774,0,6.75000160932579,3,0,0,0,0,1,0,0,0,0,0.75,0,0.75,-0.459145915985107,0,0.25,0.750000178813977,1,1,-1.33352129459407,1.33352129459407,-1.33352129459407,0,-29.9759434930185,-30.4360237233343,0,1,0,0,0,0,0,0,4,12,16,0.0858320668339729,0,0.0858320668339729,0.899999976158142,0.0949367061257362,0.853299975395203,1.07133328914642,1.5628000497818,0.811999976634979,1,1,0.100296370685101,0.000292014770108359,1,0,0.4375,94.42857143,0.375,82,0.1875,83,NA,0.170138776302338,-0.062550812959671,0.227396890521049,2.43055394717625,-1.04251354932785,7.57989635070165,0.5,0.5,0.5,0.25,0.5,0.375,0.5,0.75,0.3125,1,0,0,0,1,0,1,1,0,0,0,1,0,0.384988383421743,30.99859,60.31395,21.10784,80,61.69304,80,57.39342,63.99398,45.57371,80,79.6442,72.99831,70.53792,71.40657,57.8279,-1.15053,2.3513,99.44,73.72,64.2,92.26,140.16,145.4,111.74,84.98,105.66,150.08,127.96,158.28,122.59375,102.435,120.1025,0.0625,0.375,0.375,0.1875,95.1999969482422,94.1833292643229,82.2666676839193,82.8333333333333,-7.47232294082642,-9.57802963256836,8.56200790405273,6.08229573567708,8.12434101104736,3.16158485412598,3.27343146006266,-5.38638114929199,0.039364367723465,0.132347363978624,-0.065118096768856,0.218498576432467,3.9364367723465,2.20578939964374,-1.08530161281427,7.28328588108222,0.42857143,0.55555556,0.5,0,0.6,0.375,0.5625,19.83333333,0.1875,0.0625,0.375,0.375,82.9047648111979,95.2900009155273,94.2896626790365,82.3272857666016,7.13718668619792,-7.11285018920898,-9.53314463297526,9.38922309875488,-7.03814633687337,7.27088022232056,2.5043568611145,2.38243166605631,0.218498576432467,0.039364367723465,0.132347363978624,-0.065118096768856,7.28328588108222,3.9364367723465,2.20578939964374,-1.08530161281427,0.5,0.5,0.5,0,0.6,0.375,0.625,1,85.2204971313477,17.6900081634521,0,0,85.2205,0,0,"2024-07-12",0
"Yohan Ramirez",19444,"2024-07-09","@PHI",22,2024,"LAD","A",29,0,0,0,1,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,1,0,0,3,13.5,0,0,3,0,0,1,1,1,0,0,0,0,0.42857143,0,0.42857143,1.06403521085163,0,0,0,0,1,1.6664797782898,-1.6664797782898,2.42248398140073,0,41.425363453703,60.3305616004696,1,0.333333333,0.333333333,0.333333333,0,0,0,0,8,17,25,0.00191801786422729,-0.000506021955516189,0.00242403987795115,1.00199997425079,0.102611370384693,0.0172285716980696,0.0200999993830919,0.0201999992132187,0.00999999977648258,1,1,0.115250751376152,-0.00392301638798671,0,0,0.52,94.46153846,0.28,82.28571429,0.2,81.4,NA,1.09817981719971,0.173813760280609,-0.116095013916492,8.44753705538236,2.48305371829442,-2.32190027832985,0.30769231,0.5,0.4,0.5,1,0.8,0.48,0.71428571,0.08,1,0,2,0,2,1,3,0.33333333,0,0.66666667,0,0.66666667,0.33333333,2.34137345830291,80,58.3109,80,80,45.27761,80,59.48423,61.02807,47.10502,60.6526,70.73865,46.99541,74.69923,62.02045,67.62465,-1.40906,1.9635,102.5,124.08,110.26,73.68,144.74,133.9,137.24,109.28,139.06,149.1,119.36,135.22,125.9856,119.3176,131.6056,0.12,0.4,0.28,0.2,94.2999979654948,94.4400024414062,82.1428571428571,81.4200012207031,-6.71344502766927,-10.8155578613281,9.79841613769531,7.22611694335937,6.29304313659668,3.0873664855957,1.99684987749372,-5.20896301269531,0.331493198871613,0.822094161063433,0.175045572221279,-0.12105006724596,11.0497732957204,8.22094161063433,2.50065103173256,-2.4210013449192,0.11111111,0.5625,0.4,0,0.88888889,0.8,0.64,19.94117647,0.2,0.12,0.4,0.28,81.2920593261719,94.1513061523438,94.3191284179688,82.0019880022321,8.03162612915039,-6.302490234375,-10.4085441589355,10.6888569423131,-6.94060211181641,5.3148930867513,1.99598350524902,0.64723573412214,-0.12105006724596,0.331493198871613,0.822094161063433,0.175045572221279,-2.4210013449192,11.0497732957204,8.22094161063433,2.50065103173256,0.11111111,0.5625,0.4,0,0.88888889,0.8,0.64,3,87.051035563151,14.3248647054036,0,0,102.575,1,0.33333333,"2024-07-09",0
"Yohan Ramirez",19444,"2024-07-07","MIL",22,2024,"LAD","H",29,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,1,0,0,1,9,9,0,1,0,0,1,0,0,0,0,0,0,0.25,0.25,0,5.94041658401489,0,0,1,0,1,7.1664797782898,-7.1664797782898,7.1664797782898,0,172.327712708353,174.972652767409,1,0,1,0,0,0,2,18,7,7,14,0.0137200029566884,-0.0231399964541197,0.0368600003421307,0.477999955415726,0.050582017749548,0.374500006437302,0.239999994635582,0.239999994635582,0.572000026702881,1,1,0.00883243605494499,0.0278030852290457,0,0,0.57142857,93.875,NA,NA,0.42857143,81.5,NA,0.414642244577408,NA,-0.0209485366940498,5.1830280572176,NA,-0.349142278234164,0.2,0.75,0.35714286,0.5,0.66666667,0.6,0.28571429,0.5,0.14285714,1,0,0,0,0,1,1,1,0,0,0,0,1,8.44794747882568,43.36213,60.79333,23.54724,47.38182,45.52397,34.71443,20,72.53858,20,NA,NA,NA,21.73388,55.27377,20,1.88148,6.89931,72.94,120.04,96.24,87,94.36,75.84,107.76,-80.24,-65.1,NA,NA,NA,85.4228571428572,67.9514285714286,54.3814285714286,0.35714286,0.21428571,NA,0.42857143,94.1400024414063,93.7666625976562,NA,81.4833323160807,-6.19909896850586,-9.99902852376302,NA,6.08132235209147,6.49404525756836,2.90428638458252,NA,-5.12870343526204,-0.0304338186979294,0.447512079030275,NA,-0.0223419144749641,-0.608676373958588,14.9170693010092,NA,-0.372365241249402,0.2,0.75,0.35714286,0.5,0.66666667,0.6,0.28571429,24.1,0.42857143,0.35714286,0.21428571,NA,81.4092305501302,94.0885192871094,93.7064310709635,NA,7.10636138916016,-5.65165786743164,-9.96208000183105,NA,-6.69653828938802,5.92535400390625,2.17535018920898,NA,-0.0223419144749641,-0.0304338186979294,0.447512079030275,NA,-0.372365241249402,-0.608676373958588,14.9170693010092,NA,0.2,0.75,0.35714286,0.5,0.66666667,0.6,0.28571429,1,93.3510513305664,-0.388217180967331,0,0,93.3511,0,0,"2024-07-07",0
"Yohan Ramirez",19444,"2024-07-03","ARI",22,2024,"LAD","H",29,0,0,27.000028163224,1,0,0,0,0,0,0,0,0.2,6,3,2,2,1,1,0,0,1,0,0,0,13.500014081612,40.5000422448361,0,0,0,2,3,0,0,0,0,0,0,0.16666667,-0.16666667,8.57145129324067,13.500014081612,0.6,6.00000625849423,0.5,0.76923077,27.1665048122667,-0.166476649042679,14.4705293973308,668.277953504415,648.336851271879,351.48029699067,0.666666666,0,0.4,0.6,0,0.333333333,0,0,17,20,37,-0.167940005660057,-0.181300014257431,0.0133600002154708,-2.78699994087219,-0.29492062330246,0.365428566932678,0.231333330273628,0.314000010490417,0.324000000953674,1,1,-0.249208003282547,-0.210361994404569,0,1,0.37837838,94.57142857,0.32432432,81.91666667,0.2972973,81.81818182,NA,-1.53715658187866,-1.02779459953308,0.115464210510254,-10.9796898705619,-8.56495499610901,1.04967464100231,0.22727273,0.53333333,0.35135135,1,1,1,0.40540541,0.5,0,3,2,0,1,1,3,5,0.6,0.4,0,0.2,0.2,0.6,13.6547826098802,57.2831,65.36039,48.33351,65.31306,51.70298,80,55.99895,56.78789,39.27083,63.18779,73.04296,38.1522,63.50616,65.0614,46.4992,-0.71368,3.00657,93.34,98.06,83.06,76.26,141.48,127.8,112.4,115.24,136.84,137.66,84.7,108.2,111.984444444444,101.997222222222,110.107222222222,0.12903226,0.32258065,0.35483871,0.19354839,94.0500030517578,94.4599975585938,81.6636352539062,81.5666656494141,-6.33545780181885,-9.92970504760742,8.47180800004439,6.1650988260905,7.41495370864868,3.3872917175293,0.855879957025701,-6.6797924041748,0.334977358579636,-1.87079257890582,-1.00981839373708,0.042730875313282,8.37443396449089,-18.7079257890582,-9.18016721579161,0.712181255221367,0.125,0.53333333,0.32258065,1,1,1,0.48387097,19.84,0.19354839,0.12903226,0.32258065,0.35483871,81.6916809082031,94.174201965332,94.6080688476563,81.7849010120739,7.04333305358887,-5.6782398223877,-9.61498718261719,9.33376936479048,-8.24845631917318,6.65567779541016,2.43588237762451,-0.230979702689431,0.042730875313282,0.334977358579636,-1.87079257890582,-1.00981839373708,0.712181255221367,8.37443396449089,-18.7079257890582,-9.18016721579161,0.13333333,0.5,0.32258065,1,1,1,0.51612903,5,92.2586730957031,24.9371475219727,2,0.4,107.107,3,0.6,"2024-07-03",0
"Yohan Ramirez",19444,"2024-06-30","@SFG",22,2024,"LAD","A",29,0,0,0,1,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0.5,0,2,1,1,0,1,0,0,0.2,0,0.2,2.84676908401489,0,0.2,1,0.25,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,29.5251498850985,66.5170884121943,2,0.25,0.5,0.25,0,0,0,0,4,9,13,0.000607981695793569,-0.000407975923735648,0.00101595767773688,0.473999977111816,0.050398726016283,0.0121599994599819,0.0153999999165535,0.0153999999165535,0,1,1,0.0346111580729485,0.0153873388673198,0,0,0.53846154,95.14285714,0.46153846,83,NA,NA,NA,-0.136147424578667,-0.341738790273666,NA,-1.94496320826667,-5.69564650456111,NA,0.16666667,0.71428571,0.46153846,0,1,0.83333333,0.53846154,0.6,0.07692308,1,2,1,0,3,1,4,0.25,0.5,0.25,0,0.75,0.25,2.5494852889192,NA,NA,NA,NA,NA,NA,61.14896,60.47837,50.76951,52.72327,75.47833,20.66071,62.5446,70.46801,36.61548,-0.65394,3.09618,NA,NA,NA,NA,NA,NA,109.36,117.5,132.2,117.14,103.78,118.52,112.950769230769,111.167692307692,125.886153846154,NA,0.53846154,0.46153846,NA,NA,95.0428553989955,82.9666646321615,NA,NA,-8.75561850411551,9.53696441650391,NA,NA,1.60626547677176,1.36768309275309,NA,NA,-0.14036276191473,-0.344440452754498,NA,NA,-2.00518231306757,-5.74067421257496,NA,0.16666667,0.71428571,0.46153846,0,1,0.83333333,0.53846154,19.5,NA,NA,0.53846154,0.46153846,NA,NA,95.3215157645089,83.1873982747396,NA,NA,-8.39360427856445,10.1418253580729,NA,NA,0.537773711340768,0.27120965719223,NA,NA,-0.14036276191473,-0.344440452754498,NA,NA,-2.00518231306757,-5.74067421257496,0.16666667,0.71428571,0.46153846,0,1,0.83333333,0.53846154,4,89.7194213867188,9.74112319946289,0,0,101.562,1,0.25,"2024-06-30",0
