"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","XX%","wFB","wSL","wCT","wCB","wCH","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFC%","pfxSI%","pfxSL%","pfxCU%","pfxCH%","pfxvFC","pfxvSI","pfxvSL","pfxvCU","pfxvCH","pfxFC-X","pfxSI-X","pfxSL-X","pfxCU-X","pfxCH-X","pfxFC-Z","pfxSI-Z","pfxSL-Z","pfxCU-Z","pfxCH-Z","pfxwFC","pfxwSI","pfxwSL","pfxwCU","pfxwCH","pfxwFC/C","pfxwSI/C","pfxwSL/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFC%","piSI%","piSL%","pivCH","pivCU","pivFC","pivSI","pivSL","piCH-X","piCU-X","piFC-X","piSI-X","piSL-X","piCH-Z","piCU-Z","piFC-Z","piSI-Z","piSL-Z","piwCH","piwCU","piwFC","piwSI","piwSL","piwCH/C","piwCU/C","piwFC/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Corbin Burnes",19361,"2024-09-26","@NYY",2,2024,"BAL","A",29,0,1,1.8,1,1,0,0,0,0,0,0,5,17,2,1,1,1,1,0,0,0,0,9,16.2,1.8,3.6,9,0,0,5,2,0,0,0,0,0,0.52941176,0.05882353,0.47058824,1.19024465460123,1.8,0.125,0.6,0.166666666666667,1,2.7664797782898,-0.966479778289795,0.771283140778542,45.8406881459742,68.063829336712,17.342181011,2.5,0,0.714285714,0.285714285,0,0.5,0,0,23,46,69,0.120468035340309,-0.165679976344109,0.286148011684418,1.45499992370605,0.15109033882618,0.706494092941284,0.849120020866394,0.870000004768372,0.821999967098236,1,1,0.135802879929543,0.0347123961979269,0,0,0.04347826,97.33333333,0.14492754,84.9,0.56521739,93.82051282,0.17391304,80.33333333,0.07246377,90.6,NA,-0.0827169120311737,-1.63193321228027,3.65084218978882,0.0077829621732235,-0.0759253203868866,-2.75723040103912,-16.3193321228027,9.36113381997133,0.0648580181101958,-1.51850640773773,0.37209302,0.73076923,0.50724638,0.375,0.73684211,0.57142857,0.37681159,0.76470588,0.2173913,4,1,2,0,3,4,7,0.57142857,0.14285714,0.28571429,0,0.42857143,0.57142857,1.73862040381663,63,66.46228,69.54326,63.07706,54.64809,61.97326,50.02361,20,61.35328,20,41.88167,72.95946,26.45563,80,66.58067,51.55885,75.7388,70.75297,43.72817,-1.47365,1.86662,117.72,133.2,147.02,117.48,103.26,121.54,85.86,93.62,107.62,122.46,101.86,132.06,129.38,133.58,160.28,123.570434782609,121.944927536232,146.20231884058,0.56521739,0.04347826,0.14492754,0.17391304,0.07246377,93.8769218249199,97.3666687011719,85.0400024414062,80.2666676839193,90.5400024414062,2.26674945537861,-6.6314951578776,9.01663818359375,5.87112935384115,-8.88504486083984,4.31948969914363,7.22657140096029,0.551358413696289,-8.22542317708333,3.67559509277344,3.69937971606851,-0.0849558338522911,-1.63946728408337,0.00598836317658424,-0.078504029661417,9.48558901556027,-2.8318611284097,-16.3946728408337,0.0499030264715354,-1.57008059322834,0.41176471,0.6,0.50724638,0.28571429,0.76190476,0.57142857,0.50724638,19.05769231,0.07246377,0.17391304,0.56521739,0.04347826,0.14492754,90.2846435546875,80.0245564778646,93.6278357872596,97.1449991861979,84.7883605957031,-9.02317581176758,5.82526270548503,2.47678433931791,-6.8219165802002,9.47557067871094,2.27352409362793,-9.90072059631348,3.22191991561498,6.16916020711263,-0.929377460479736,-0.078504029661417,0.00598836317658424,3.69937971606851,-0.0849558338522911,-1.63946728408337,-1.57008059322834,0.0499030264715354,9.48558901556027,-2.8318611284097,-16.3946728408337,0.4,0.61764706,0.50724638,0.28571429,0.76190476,0.57142857,0.49275362,7,91.0237165178571,5.28764125279018,1,0.14285714,103.33,3,0.42857143,"2024-09-26",0
"Corbin Burnes",19361,"2024-09-20","DET",2,2024,"BAL","H",29,1,0,0,1,1,1,0,0,0,0,0,7,26,3,0,0,0,3,0,0,0,0,8,10.2857142857143,3.85714285714286,3.85714285714286,2.66666667,0,0,6,7,2,0,0,0,0,0.30769231,0.11538462,0.19230769,3.69835334639082,0,0.130434782608696,0.857142857142857,0.2,1,2.1664797782898,-2.1664797782898,3.67848818451166,0,52.8952626867303,89.6663768027962,0.857142857,0.133333333,0.4,0.466666666,0,0,7,9,31,60,91,0.222179964184761,-0.0849800258874893,0.30715999007225,3.26870012283325,0.351473122835159,0.547259271144867,0.621714293956757,0.870000004768372,0.0540000014007092,1,1,0.291439414024353,0.114547246959864,0,0,NA,NA,0.13186813,84.66666667,0.50549451,94.26086957,0.20879121,79.15789474,0.15384615,89.57142857,NA,NA,1.45184755325317,1.48920571804047,-0.0226084440946579,-0.403426826000214,NA,12.0987296104431,3.23740373487058,-0.118991811024515,-2.88162018571581,0.31481481,0.56756757,0.41758242,0.47058824,0.95238095,0.73684211,0.40659341,0.69230769,0.10989011,7,5,3,2,7,6,15,0.46666667,0.33333333,0.2,0.13333333,0.46666667,0.4,1.74883088448336,77,41.80048,60.99365,36.45859,47.57471,52.93534,45.09202,NA,NA,NA,46.31446,80,21.84692,76.55193,59.08718,52.40601,60.46661,65.65059,40.30715,-0.52484,3.28983,86,79.12,70.52,110.42,92.32,100.22,NA,NA,NA,135.58,65.14,92.96,106.88,113.44,125.2,108.191428571429,97.3810989010989,107.320659340659,0.50549451,NA,0.13186813,0.20879121,0.15384615,94.2282608695652,NA,84.7250010172526,79.1157869037829,89.5,1.82444066586702,NA,8.82533645629883,6.5456647370991,-8.61842727661133,5.9018149997877,NA,0.881415446599325,-8.19190416837993,3.86057335989816,1.48336458578706,NA,1.45724022388458,-0.0264451280236244,-0.414688684046268,3.22470562127621,NA,12.1436685323715,-0.139184884334865,-2.96206202890192,0.26666667,0.56521739,0.41758242,0.33333333,0.92307692,0.73684211,0.50549451,19.390625,0.15384615,0.20879121,0.50549451,NA,0.13186813,89.4782278878348,79.1004959909539,94.2104810631793,NA,84.6997273763021,-8.57367052350726,6.77749794407895,2.2808839549189,NA,9.66780026753744,2.59881564549037,-9.83084588301809,4.72634224269701,NA,-0.629308064778646,-0.414688684046268,-0.0264451280236244,1.48336458578706,NA,1.45724022388458,-2.96206202890192,-0.139184884334865,3.22470562127621,NA,12.1436685323715,0.27083333,0.58139535,0.41758242,0.38461538,0.92,0.73684211,0.47252747,15,92.3922200520833,21.2622782389323,1,0.06666667,105.429,6,0.4,"2024-09-20",0
"Corbin Burnes",19361,"2024-09-14","@DET",2,2024,"BAL","A",29,1,0,0,1,1,1,0,0,0,0,0,7,23,2,0,0,0,1,0,0,0,0,7,9,1.28571428571429,2.57142857142857,7,0,0,10,4,1,0,0,0,0,0.30434783,0.04347826,0.26086957,2.42294268664406,0,0.0909090909090909,0.428571428571429,0.133333333333333,1,1.59505120686122,-1.59505120686122,2.45905601041658,0,38.4490087343668,59.3298680298137,2.5,0.066666666,0.666666666,0.266666666,0,0,4,5.14285714285714,38,59,97,0.412488043308258,-0.0998320132493973,0.512320041656494,3.35999989509583,0.354430377483368,0.971826076507568,1.09457147121429,0.870000004768372,0.567600011825562,1,1,0.386745661497116,0.0377007011592637,0,0,NA,NA,0.08247423,84.5,0.56701031,94.18181818,0.15463918,80.2,0.19587629,89.68421053,NA,NA,0.512963235378265,2.53400015830994,0.283119767904282,0.84667444229126,NA,6.41204044222832,4.60727301510898,1.88746511936188,4.45618127521716,0.40909091,0.51612903,0.44329897,0.44444444,0.875,0.60465116,0.31958763,0.56521739,0.17525773,7,3,5,3,9,3,15,0.46666667,0.2,0.33333333,0.2,0.6,0.2,0.664495864119898,82,32.42095,58.11055,28.12576,33.44284,58.8281,27.00948,NA,NA,NA,43.09865,73.12155,24.56399,74.81403,58.25152,51.65166,55.2853,63.8387,35.20634,-0.20295,3.77267,73.8,81.2,66.72,120.86,73.48,85.68,NA,NA,NA,126.94,89.66,105.32,100.32,122.72,137.28,100.497113402062,104.24618556701,112.843711340206,0.56701031,NA,0.08247423,0.15463918,0.19587629,94.1290926846591,NA,84.375,80.0533365885417,89.652632863898,1.69913829456676,NA,9.53608703613281,5.4751942952474,-9.43392462479441,5.98668545809659,NA,1.27777934074402,-7.48526967366536,4.46223730789988,2.56471049040556,NA,0.500937081873417,0.26005806401372,0.856789413839579,4.66310998255556,NA,6.26171352341771,1.73372042675813,4.50941796757673,0.38596491,0.525,0.44329897,0.31818182,0.9047619,0.60465116,0.41237113,17.32432432,0.19587629,0.15463918,0.56701031,NA,0.08247423,89.7867110402961,80.1945149739583,94.2768199573864,NA,84.5083465576172,-8.99151691637541,6.35791269938151,2.48106134588068,NA,10.9058876037598,3.10249629773592,-9.47741902669271,4.60469082919034,NA,-0.390026479959488,0.856789413839579,0.26005806401372,2.56471049040556,NA,0.500937081873417,4.50941796757673,1.73372042675813,4.66310998255556,NA,6.26171352341771,0.39655172,0.51282051,0.44329897,0.34782609,0.9,0.60465116,0.40206186,15,81.1708821614583,5.8729726155599,0,0,103.456,1,0.06666667,"2024-09-14",0
"Corbin Burnes",19361,"2024-09-08","TBR",2,2024,"BAL","H",29,0,1,3,1,1,1,0,0,0,0,0,6,26,7,2,2,1,2,0,0,0,0,3,4.5,3,10.5,1.5,0.166666666,0,6,10,5,0,1,0,0,0.11538462,0.07692308,0.03846154,5.83658410625936,1.5,0.291666666666667,1.5,0.3,0.92105263,5.33314644495646,-2.33314644495646,5.68649378865957,76.401146909957,132.951586672745,139.620675959808,0.6,0.238095238,0.285714285,0.476190476,0,0.1,0,0,31,62,93,0.013799961656332,-0.464299947023392,0.478099912405014,0.801699995994568,0.0862043052911758,1.02544832229614,1.06666672229767,0.870000004768372,0.557999968528748,1,1,0.0856577605009079,-0.0722002694150268,0,0,0.10752688,96.3,0.13978495,83.23076923,0.44086022,94.07317073,0.23655914,79.36363636,0.07526882,89,NA,0.287804454565048,-0.952423810958862,0.26763054728508,0.223351091146469,-0.381857693195343,2.87804454565048,-7.32633700737586,0.652757432402634,1.01523223248395,-5.45510990279061,0.36734694,0.70454545,0.52688172,0.66666667,0.93548387,0.83673469,0.47311828,0.65384615,0.08602151,7,9,5,4,10,7,21,0.33333333,0.42857143,0.23809524,0.19047619,0.47619048,0.33333333,6.03525869433526,48,62.42592,57.78958,59.49273,53.97864,53.26434,46.23805,69.09666,61.26802,63.27654,62.87928,71.62523,50.91185,52.36177,50.56339,33.0823,58.28223,58.47815,39.04555,-0.38913,3.4934,100.56,129.74,133.5,107.12,107,114.9,94.14,108.14,92.14,149.42,95.98,135.36,118.24,83.66,108.14,116.427173913043,97.3630434782609,114.824565217391,0.44086022,0.10752688,0.13978495,0.23655914,0.07526882,93.9390243902439,96.2900024414062,83.1999981219952,79.25,88.8285696847098,2.15688770573314,-6.48119049072266,9.54154440072867,5.08877251364968,-8.8304318019322,5.3804023556593,6.39257164001465,-0.99010364825909,-8.3498271595348,3.87661252702986,0.260451763868332,0.332169476896524,-0.948301497846842,0.220722790807486,-0.389039132744074,0.635248204556907,3.32169476896524,-7.29462690651417,1.0032854127613,-5.55770189634391,0.30952381,0.70588235,0.52688172,0.69230769,0.88888889,0.83673469,0.5483871,20.42424242,0.07526882,0.23655914,0.44086022,0.10752688,0.13978495,88.9350149972098,79.3512628728693,94.0378596608232,96.4139709472656,83.3153921274038,-8.86709867204939,5.14958468350497,2.34490352723657,-6.49515838623047,10.0445439265325,2.59810147966657,-9.96658394553445,4.1265898913872,5.20207405090332,-2.51429807222807,-0.389039132744074,0.220722790807486,0.260451763868332,0.332169476896524,-0.948301497846842,-5.55770189634391,1.0032854127613,0.635248204556907,3.32169476896524,-7.29462690651417,0.34090909,0.69387755,0.52688172,0.66666667,0.91176471,0.83673469,0.52688172,21,88.5992722284226,16.2326151529948,4,0.19047619,105.614,8,0.38095238,"2024-09-08",0
"Corbin Burnes",19361,"2024-09-02","CHW",2,2024,"BAL","H",29,1,0,1.8,1,1,0,0,0,0,0,0,5,20,6,2,1,0,1,0,0,0,0,4,7.2,1.8,10.8,4,0,0,8,4,3,0,0,0,0,0.2,0.05,0.15,3.71444908401489,0,0.315789473684211,1.4,0.4,0.71428571,2.1664797782898,-0.366479778289795,3.37608650326729,45.8406881459742,52.8952626867303,82.1433579330978,2,0.2,0.533333333,0.266666666,0,0,5,9,36,53,89,0.0564200133085251,-0.411999970674515,0.468419998884201,0.334699988365173,0.0359892435371876,1.16327273845673,0.992799997329712,0.870000004768372,0.88400000333786,1,1,-0.0179697498679161,0.0664708549341068,0,0,0.11235955,97.3,0.06741573,84.66666667,0.5505618,93.97959184,0.15730337,79.42857143,0.11235955,89.8,NA,0.619493305683136,-0.366293132305145,0.328358352184296,0.380694508552551,-0.0568237937986851,6.19493305683136,-6.10488553841909,0.670119086090399,2.71924648966108,-0.568237937986851,0.22641509,0.63888889,0.39325843,0.5,0.86956522,0.74285714,0.40449438,0.75,0.1011236,5,8,2,5,9,1,15,0.33333333,0.53333333,0.13333333,0.33333333,0.6,0.06666667,2.53654906880482,53,20,65.61333,20,43.21601,59.7082,37.57017,20,59.30559,20,56.17432,80,48.12063,72.99573,55.99975,55.46923,50.34452,62.88596,32.98211,0.10401,4.23311,114.78,34.86,51.18,121.46,86.28,106.58,111.02,73.44,77.72,160.68,68.87,112.423333333333,115.16,116.3,140.56,118.71191011236,94.4139325842697,116.214606741573,0.5505618,0.11235955,0.06741573,0.15730337,0.11235955,93.9612264827806,97.3200012207031,84.4833323160807,79.3642839704241,89.7700012207031,2.18978445870536,-7.5017333984375,9.69597180684408,6.11229923793248,-8.70211791992188,5.05163761061065,6.08823738098144,-1.40975761413574,-8.27967725481306,3.28036079406738,0.3362099789083,0.629280999302864,-0.372121937572956,0.383001573383808,-0.0595792271196842,0.686142814098572,6.29280999302864,-6.2020322928826,2.73572552417006,-0.595792271196842,0.18181818,0.6,0.39325843,0.25,0.88888889,0.74285714,0.50561798,19.77941176,0.11235955,0.15730337,0.56179775,0.11235955,0.05617978,89.6798889160156,79.2859409877232,93.782744140625,97.2698181152344,83.4596008300781,-9.19662017822266,5.99890790666853,2.34455841064453,-7.94102096557617,11.1754859924316,2.04213027954102,-9.95280238560268,3.76811065673828,4.88559799194336,-3.40302200317383,-0.0595792271196842,0.383001573383808,-0.208091292530298,0.629280999302864,0.172179333865643,-0.595792271196842,2.73572552417006,-0.416182585060597,6.29280999302864,3.44358667731285,0.22222222,0.56818182,0.39325843,0.3,0.92,0.74285714,0.49438202,15,84.2167236328125,6.53694610595703,0,0,106.528,3,0.2,"2024-09-02",0
"Corbin Burnes",19361,"2024-08-28","@LAD",2,2024,"BAL","A",29,0,1,1.8,1,1,0,0,0,0,0,0,5,22,5,6,1,2,0,0,0,0,0,4,7.2,0,9,4,0.1,0,10,4,4,0,1,0,0,0.18181818,0,0.18181818,3.14556380652518,3.6,0.227272727272727,1,0.1875,-0.45454545,6.7664797782898,-4.9664797782898,2.77608650326729,45.8406881459742,169.187607003257,67.2168161782875,2.5,0.222222222,0.555555555,0.222222222,0,0.5,4,7.2,31,63,94,-0.477199971675873,-0.842619955539703,0.365419983863831,-3.6100001335144,-0.382010579109192,1.03831994533539,0.857200026512146,0.870000004768372,0.479999989271164,1,1,-0.137564152479172,-0.322024410583375,0,0,0.04255319,96.75,0.09574468,89.55555556,0.43617021,94.51219512,0.32978723,79.64516129,0.09574468,89.55555556,NA,0.035609558224678,-1.74811518192291,0.947585046291351,-0.769446671009064,0.0762774646282196,0.890238955616951,-19.4235020213657,2.311183039735,-2.48208603551311,0.847527384757996,0.43548387,0.6875,0.5212766,0.66666667,0.72727273,0.69387755,0.34042553,0.54545455,0.15957447,10,7,1,1,11,6,18,0.55555556,0.38888889,0.05555556,0.05555556,0.61111111,0.33333333,7.18360384208472,33,71.17747,61.83619,74.90585,44.7696,55.93963,40.25524,54.35931,71.42164,55.03666,33.96471,72.99743,35.391,64.84586,62.93085,47.56882,55.1365,63.61801,43.86016,-0.1937,3.78654,111.32,125.88,140.1,110.12,98.1,109.56,97.2,131.02,132.66,154.04,101.06,131.04,118.38,86.6,110.04,117.492978723404,97.428085106383,115.732978723404,0.43617021,0.04255319,0.09574468,0.32978723,0.09574468,94.4195110041921,96.6750030517578,89.5888875325521,79.590324155746,89.6111111111111,2.10365388451553,-6.62363958358765,3.22743352254232,4.87150327620968,-8.54564751519097,5.36677625702649,5.29979419708252,0.716590086619059,-8.21259184806578,3.33673943413628,0.998346116393805,0.0355749912559986,-1.75512742623687,-0.76770082116127,0.0761051885783672,2.43499052778977,0.889374781399965,-19.5014158470763,-2.47645426181055,0.845613206426303,0.4,0.65909091,0.5212766,0.55,0.79310345,0.69387755,0.46808511,19.36619718,0.09574468,0.32978723,0.43617021,0.04255319,0.09574468,89.4468858506944,79.4247810609879,94.2504465987043,96.5382232666016,89.4185994466146,-8.23797014024523,5.46073421355217,2.72775361596084,-6.44908761978149,4.03516430324978,2.14291275872125,-9.96842808877268,4.15215134039158,4.29139995574951,-0.868831793467204,0.0761051885783672,-0.76770082116127,0.998346116393805,0.0355749912559986,-1.75512742623687,0.845613206426303,-2.47645426181055,2.43499052778977,0.889374781399965,-19.5014158470763,0.40425532,0.63829787,0.5212766,0.52631579,0.8,0.69387755,0.5,18,87.4733208550347,3.11817338731554,2,0.11111111,113.278,6,0.33333333,"2024-08-28",0
"Corbin Burnes",19361,"2024-08-22","HOU",2,2024,"BAL","H",29,0,1,7.94117736156434,1,1,0,0,0,0,0,0,5.2,26,8,6,5,0,2,0,0,0,1,2,3.17647094462574,3.17647094462574,12.7058837785029,1,0,1,9,8,4,2,0,1,1,0.07692308,0.07692308,0,5.9860811575942,0,0.333333333333333,1.76470608034763,0.363636363636364,0.4,3.51942099435932,4.42175636720502,5.65402133675649,202.238352746301,87.0988943691601,138.812840277787,1.125,0.19047619,0.428571428,0.38095238,0.25,0,0,0,34,60,94,-0.203060001134872,-0.594040036201477,0.390980005264282,-3.41429996490479,-0.367129027843475,0.964962959289551,0.858000040054321,0.870000004768372,0.0720000043511391,1,1,-0.122567124664783,-0.087865824268691,0,0,0.17021277,97.125,0.12765957,87.91666667,0.44680851,96.5,0.22340426,81.14285714,0.03191489,90,NA,0.687392592430115,-0.194591656327248,-0.591289460659027,0.670808076858521,-0.233368992805481,4.29620370268822,-1.6215971360604,-1.40783204918816,3.19432417551676,-7.77896642684937,0.33333333,0.675,0.4787234,0.83333333,0.88888889,0.86666667,0.42553191,0.46153846,0.06382979,11,7,4,4,12,6,22,0.5,0.31818182,0.18181818,0.18181818,0.54545455,0.27272727,3.35965117777548,37,80,80,80,39.33996,58.28138,35.4025,33.26303,68.66589,21.2243,63.69816,76.3804,57.9615,76.91968,53.64335,59.65691,61.53814,63.34815,48.30186,-0.59141,3.18998,123.62,127.76,152.56,124.9,85.54,107.2,98.1,70.52,77.74,142.823333333333,98.79,131.93,109.96,125.62,145.06,115.910212765957,103.930425531915,123.706382978723,0.44680851,0.17021277,0.12765957,0.22340426,0.03191489,96.5261928013393,97.0625,87.9416707356771,81.1095261346726,90.2333374023438,0.327160585494269,-7.62449073791504,4.66032632191976,5.4638918922061,-8.9603443145752,8.10038030715216,6.00772190093994,-0.09404323498408,-7.80840119861421,2.41444142659505,-0.522809009999037,0.695137348026037,-0.217482749372721,0.68010152131319,-0.237554207444191,-1.24478335714056,4.34460842516273,-1.81235624477267,3.23857867291995,-7.91847358147303,0.26086957,0.6875,0.4787234,0.75,0.90909091,0.86666667,0.5106383,19.70588235,0.03191489,0.22340426,0.44680851,0.17021277,0.12765957,90.0876668294271,80.9644019717262,96.3938104538691,96.9443969726562,87.8110860188802,-8.83851369222005,5.72977193196615,0.666257267906552,-7.62462139129639,5.17340914408366,1.17993561426799,-9.48531014578683,7.07814389183408,4.84575366973877,-1.49510860443115,-0.237554207444191,0.68010152131319,-0.522809009999037,0.695137348026037,-0.217482749372721,-7.91847358147303,3.23857867291995,-1.24478335714056,4.34460842516273,-1.81235624477267,0.23404255,0.72340426,0.4787234,0.72727273,0.91176471,0.86666667,0.5,22,87.9535725911458,13.7217436290923,0,0,109.029,10,0.45454545,"2024-08-22",0
"Corbin Burnes",19361,"2024-08-16","BOS",2,2024,"BAL","H",29,0,1,18,1,1,0,0,0,0,0,0,4,25,10,8,8,2,3,0,0,2,0,7,15.75,6.75,22.5,2.33333333,0,0,5,5,5,0,0,0,0,0.28,0.12,0.16,4.03980268401489,4.5,0.454545454545455,3.25,0.615384615384615,0.49019608,8.41647977828979,9.58352022171021,3.80649028606713,458.406881459742,210.901165290706,92.8507579920814,1,0.333333333,0.333333333,0.333333333,0,0.4,4,9,34,61,95,-0.659420013427734,-0.933780014514923,0.274360001087189,-6.13229990005493,-0.659387111663818,1.05940747261047,0.867500007152557,0.870000004768372,0.280000001192093,1,1,-0.431539207696915,-0.190903082428588,0,0,0.04210526,97.25,0.10526316,87.6,0.42105263,95.875,0.17894737,80.58823529,0.25263158,89.25,NA,-1.31479215621948,0.931317687034607,-2.9150059223175,-2.27166056632996,0.195101201534271,-32.8698039054871,9.31317687034607,-7.28751480579376,-13.3627092137056,0.812921673059464,0.40677966,0.72222222,0.52631579,0.625,0.92307692,0.78,0.37894737,0.64,0.11578947,7,4,4,2,5,8,15,0.46666667,0.26666667,0.26666667,0.13333333,0.33333333,0.53333333,8.59454819780104,8,42.57848,62.42859,38.6834,34.8158,54.00326,31.76052,35.85707,64.44652,31.88709,80,80,69.9906,75.26921,56.58949,63.29951,57.06126,65.30672,49.08795,-0.31328,3.60717,119.14,75.38,100.74,105.7,82.04,90.9,99.02,85.38,77.86,155.358,115.976,153.958,120.26,102.62,124.56,120.171789473684,92.7355789473684,113.647157894737,0.42105263,0.04210526,0.10526316,0.17894737,0.25263158,95.8349975585938,97.125,87.4900024414062,80.5647044462316,89.2416687011719,1.28839159011841,-6.48698377609253,5.0016773223877,6.09181931439568,-7.58512369791667,7.07128601074219,6.45811986923218,-1.92396640777588,-6.70617271872128,2.93868891398112,-2.95790553465486,-1.27315455302596,0.965510163456202,-2.28372175991535,0.176394321024418,-7.39476383663714,-31.828863825649,9.65510163456202,-13.4336574112668,0.734976337601741,0.35416667,0.70212766,0.52631579,0.64705882,0.84848485,0.78,0.49473684,20.84285714,0.25263158,0.17894737,0.42105263,0.04210526,0.10526316,89.072987874349,80.4092586741728,95.6730651855469,96.9764251708984,87.3284790039063,-7.52145385742188,6.55720116110409,1.62733306884766,-6.260085105896,5.5577449798584,1.75242185592651,-8.40426097196691,6.16814651489258,5.28133487701416,-3.4166259765625,0.176394321024418,-2.28372175991535,-2.95790553465486,-1.27315455302596,0.965510163456202,0.734976337601741,-13.4336574112668,-7.39476383663714,-31.828863825649,9.65510163456202,0.36734694,0.69565217,0.52631579,0.66666667,0.84375,0.78,0.48421053,15,91.0571207682292,12.826953125,3,0.2,105.361,8,0.53333333,"2024-08-16",0
"Corbin Burnes",19361,"2024-08-10","@TBR",2,2024,"BAL","A",29,0,0,4.5,1,1,1,0,0,0,0,0,6,23,4,3,3,0,1,0,0,0,0,5,7.5,1.5,6,5,0.166666666,0,6,6,5,0,1,0,0,0.2173913,0.04347826,0.17391304,3.84610715125603,0,0.181818181818182,0.833333333333333,0.235294117647059,0.4,1.99981311162313,2.50018688837687,3.511821517845,114.601720364935,48.6817719506242,85.5201152042377,1,0.294117647,0.352941176,0.352941176,0,0,4,6,41,57,98,0.00887403171509504,-0.336638003587723,0.34551203250885,-0.287999987602234,-0.0316309630870819,0.820583999156952,0.867266654968262,0.812799990177155,1.9099999666214,1,1,0.127062231302261,-0.116247943277864,0,0,0.19587629,98,0.15463918,89.46666667,0.39175258,96.13157895,0.16494845,81.25,0.09278351,89.66666667,0.01020408,-0.629110932350159,0.189142644405365,3.25301241874695,-0.776764690876007,-0.219786792993546,-3.31111017026399,1.26095096270243,8.5605589967025,-4.85477931797504,-2.44207547770606,0.35483871,0.77142857,0.50515464,0.59090909,0.85185185,0.73469388,0.36082474,0.65217391,0.13265306,8,7,2,1,10,6,17,0.47058824,0.41176471,0.11764706,0.05882353,0.58823529,0.35294118,3.21499839528339,61,66.43969,71.43629,47.21774,60.98508,64.21647,52.71893,28.7811,65.26989,20,40.33455,73.17713,25.75364,71.64023,57.40819,46.61106,57.33039,67.11785,33.64382,-0.33,3.58209,102.86,137.64,152.4,134.04,107.94,143.12,100.88,91.28,100,124.32,86.34,113.4,116.48,133.4,164.4,116.462680412371,112.640824742268,137.685773195876,0.39795918,0.19387755,0.15306122,0.16326531,0.09183673,96.1282051282051,98.0052618729441,89.4333333333333,81.1875,89.6444430881076,0.281163044464894,-7.25469970703125,3.91806055704753,6.26417350769043,-9.39110904269748,8.78230794270833,6.09630383943257,1.27582537333171,-7.72359466552734,3.04564242892795,3.24167417734861,-0.639807287603617,0.176900830119848,-0.764729369431734,-0.22566194459796,8.31198507012465,-3.36740677686114,1.17933886746565,-4.77955855894834,-2.50735493997733,0.29090909,0.76744186,0.5,0.4375,0.87878788,0.73469388,0.43877551,19.82432432,0.09183673,0.16326531,0.3877551,0.19387755,0.16326531,89.6450873480903,81.1811904907227,96.2339509662829,98.0281018708882,89.6086730957031,-8.98059590657552,6.95446491241455,0.940348876150031,-6.9264992161801,4.56929922103882,1.33034483591716,-9.72379970550537,7.46155186703331,4.42428107010691,-0.310795962810516,-0.22566194459796,-0.764729369431734,3.34078371524811,-0.639807287603617,0.0777912922203541,-2.50735493997733,-4.77955855894834,8.79153609275818,-3.36740677686114,0.486195576377213,0.31034483,0.775,0.5,0.5,0.87096774,0.73469388,0.40816327,17,92.0371524586397,8.81022823558134,1,0.05882353,110.2,6,0.35294118,"2024-08-10",0
