"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","CH%","CHv","XX%","wFB","wSL","wCB","wCH","wFB/C","wSL/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSI%","pfxCU%","pfxCH%","pfxvFA","pfxvFC","pfxvSI","pfxvCU","pfxvCH","pfxFA-X","pfxFC-X","pfxSI-X","pfxCU-X","pfxCH-X","pfxFA-Z","pfxFC-Z","pfxSI-Z","pfxCU-Z","pfxCH-Z","pfxwFA","pfxwFC","pfxwSI","pfxwCU","pfxwCH","pfxwFA/C","pfxwFC/C","pfxwSI/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piSI%","piSL%","pivCH","pivCU","pivFA","pivSI","pivSL","piCH-X","piCU-X","piFA-X","piSI-X","piSL-X","piCH-Z","piCU-Z","piFA-Z","piSI-Z","piSL-Z","piwCH","piwCU","piwFA","piwSI","piwSL","piwCH/C","piwCU/C","piwFA/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Genesis Cabrera",17490,"2024-09-28","MIA",14,2024,"TOR","H",27,0,0,27,1,0,0,0,0,0,0,0,1,6,3,3,3,1,0,0,0,0,0,0,0,0,27,0,0,0,1,4,1,1,0,0,0,0,0,0,8.41372908401489,9,0.5,3,0.4,0,16.1664797782898,10.8335202217102,9.21451340317726,678.933954748081,400.460422327505,227.389229439621,0.25,0.166666666,0.166666666,0.666666666,0.25,0.25,0,0,7,12,19,-0.0283519998192787,-0.0331339985132217,0.00478200055658817,-2.52100014686584,-0.266349703073502,0.132542863488197,0.122399993240833,0.122399993240833,0.00619999971240759,1,1,-0.0949781611561775,-0.118929997103912,0,0,0.36842105,96.57142857,0.52631579,90.4,0.10526316,79,NA,NA,NA,-1.7739485502243,-0.275624573230743,0.460730791091919,NA,-25.3421221460615,-2.75624573230743,23.0365395545959,NA,0.125,0.90909091,0.57894737,1,1,1,0.57894737,0.5,0,1,3,2,3,2,1,6,0.16666667,0.5,0.33333333,0.5,0.33333333,0.16666667,11.6862717796282,NA,NA,NA,57.4717,36.68393,61.09927,80,71.47672,80,21.21856,65.97086,20,20,25.63923,20,29.21026,43.70182,20.28108,1.417,6.20259,NA,NA,NA,95.42,118.24,118.34,123.44,159,163.82,93.52,96.78,99.84,101.86,82.28,90.36,101.258947368421,97.9568421052631,103.532631578947,0.10526316,0.52631579,0.26315789,0.10526316,NA,96.6999969482422,90.4200012207031,96.4799987792969,78.8499984741211,NA,7.11520481109619,1.92263584136963,10.2110237121582,-2.94757556915283,NA,10.41637134552,4.72891387939453,7.62354049682617,-2.75540065765381,NA,-0.504936903715134,-0.281257137656212,-1.27576515823603,0.508376106619835,NA,-25.2468451857567,-2.81257137656212,-25.5153031647205,25.4188053309917,NA,0.125,0.90909091,0.57894737,1,1,1,0.57894737,23.46153846,NA,0.10526316,0.10526316,0.26315789,0.52631579,NA,78.5896453857422,96.4550018310547,96.2669189453125,90.1927978515625,NA,-3.667799949646,6.59121513366699,10.0570640563965,1.17627096176147,NA,-4.18266487121582,9.18712425231934,6.31950988769531,3.32118186950684,NA,0.508376106619835,-0.504936903715134,-1.27576515823603,-0.281257137656212,NA,25.4188053309917,-25.2468451857567,-25.5153031647205,-2.81257137656212,0.125,0.90909091,0.57894737,1,1,1,0.57894737,6,88.779774983724,28.9123357137044,1,0.16666667,105.93,2,0.33333333,"2024-09-28",0
"Genesis Cabrera",17490,"2024-09-24","BOS",14,2024,"TOR","H",27,0,0,13.500014081612,1,0,0,0,0,0,0,1,0.2,5,3,1,1,0,0,0,0,0,0,1,13.500014081612,0,40.5000422448361,1,0,0,2,0,2,0,0,0,0,0.2,0,0.2,2.00296908401489,0,0.6,4.50000469387067,0.75,0.66666667,0.166476649042681,13.3335374325693,0.166476649042681,339.46733146606,2.29677181860536,2.29606542354053,2,0.5,0.5,0,0,0,0,0,5,19,24,-0.238996013998985,-0.378258019685745,0.13926200568676,-0.940999984741211,-0.0994189083576202,3.13883996009827,2.14860010147095,2.14860010147095,3.51999998092651,1,1,-0.0935991629958153,0.0174576530631129,0,1,0.41666667,97.5,0.58333333,90.5,NA,NA,NA,NA,NA,-0.347962141036987,-0.448986560106277,NA,NA,-3.47962141036987,-3.20704685790198,NA,NA,0.66666667,0.77777778,0.70833333,0.5,0.85714286,0.64705882,0.375,0.6,0.25,1,3,0,0,1,3,4,0.25,0.75,0,0,0.25,0.75,5.87722378856117,NA,NA,NA,NA,NA,NA,22.70771,60.87668,20,20,64.4858,25.78996,31.19672,30.92436,20,25.19435,46.63312,20,1.66649,6.57683,NA,NA,NA,NA,NA,NA,132.78,59.3,68.76,108.6,82.66,94.32,138.1,97.76,120,128.830833333333,88.5483333333333,106.105,0.125,0.58333333,0.29166667,NA,NA,97.8333333333333,90.3571428571429,97.4285714285714,NA,NA,6.65654309590658,1.08729096821376,10.0566253662109,NA,NA,9.58142217000326,3.44545555114746,6.96008355276925,NA,NA,-0.489527311176062,-0.457382522523403,0.135376982390881,NA,NA,-16.3175770392021,-3.26701801802431,1.93395689129829,NA,NA,0.64285714,0.8,0.70833333,0.55555556,0.75,0.64705882,0.41666667,22.88888889,NA,NA,0.125,0.29166667,0.58333333,NA,NA,97.4781697591146,97.1125662667411,90.0298723493304,NA,NA,6.12081654866536,9.86910247802734,0.309065648487636,NA,NA,8.58154042561849,5.71507426670619,1.90024553026472,NA,NA,-0.489527311176062,0.135376982390881,-0.457382522523403,NA,NA,-16.3175770392021,1.93395689129829,-3.26701801802431,0.66666667,0.77777778,0.70833333,0.5,0.85714286,0.64705882,0.375,4,94.4264297485352,8.82341003417969,0,0,101.996,3,0.75,"2024-09-24",0
"Genesis Cabrera",17490,"2024-09-22","@TBR",14,2024,"TOR","A",27,0,1,9,1,0,0,0,0,0,0,0,1,4,2,1,1,0,0,0,0,0,0,1,9,0,18,1,0,0,1,0,2,0,0,0,0,0.25,0,0.25,2.16704158401489,0,0.5,2,0.666666666666667,0.5,1.1664797782898,7.8335202217102,1.1664797782898,226.31131824936,27.1820729804239,27.173712862954,1,0.666666666,0.333333333,0,0,0,0,0,6,10,16,-0.177944019436836,-0.218015998601913,0.0400719828903675,-0.0959999859333038,-0.0105436518788338,1.69464004039764,1.81780004501343,1.50139999389648,0.486999988555908,1,1,-0.0860830768942833,-0.018920944723831,0,1,0.625,97.2,0.3125,90.8,0.0625,79,NA,NA,NA,0.19385926425457,-1.07226574420929,-0.0344077162444592,NA,1.9385926425457,-21.4453148841858,-3.44077162444592,NA,0.22222222,0.71428571,0.4375,0.5,0.8,0.71428571,0.4375,0.5,0.125,3,0,0,0,0,3,3,1,0,0,0,0,1,7.42675976895761,NA,NA,NA,20,45.35038,20,20,61.77872,20,40.60235,72.66241,41.12458,79.46533,62.20571,76.14866,30.65667,62.64702,31.78281,1.32714,6.0678,NA,NA,NA,88.52,35.64,36.68,154.54,-19.26,18.32,100.58,88.48,107.34,100.44,151.2,175.78,109.9,84.57625,107.62,0.1875,0.3125,0.4375,0.0625,NA,96.5333353678385,90.6,97.5142822265625,79,NA,6.28156916300456,1.82532768249512,10.5819582257952,-6.67363548278809,NA,10.8146184285482,3.49614334106445,7.92353221348354,-4.17780733108521,NA,-0.0350219719111919,-1.08285085484385,0.0602868981659412,-0.0350487045943737,NA,-1.1673990637064,-21.6570170968771,0.861241402370589,-3.50487045943737,NA,0.14285714,0.66666667,0.4375,1,0.66666667,0.71428571,0.5625,22,NA,0.0625,0.1875,0.4375,0.3125,NA,78.8674011230469,96.4985656738281,97.460440499442,90.5319213867188,NA,-7.34200000762939,5.94340324401855,10.2488054547991,1.3006688117981,NA,-5.81281995773315,9.73388290405273,6.29732131958008,1.62763404846191,NA,-0.0350487045943737,-0.0350219719111919,0.0602868981659412,-1.08285085484385,NA,-3.50487045943737,-1.1673990637064,0.861241402370589,-21.6570170968771,0.14285714,0.66666667,0.4375,1,0.66666667,0.71428571,0.5625,3,106.82568359375,11.7734616597493,1,0.33333333,109.552,3,1,"2024-09-22",0
"Genesis Cabrera",17490,"2024-09-21","@TBR",14,2024,"TOR","A",27,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,0,0,0,0,0,0,0.5,0,0.5,-0.528020915985107,0,0,0,0,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,27.1820729804239,27.173712862954,1,0,1,0,0,0,0,0,4,7,11,0.0451260134577751,0,0.0451260134577751,0.818000018596649,0.0898407474160194,0.456533342599869,0.378500014543533,0.757000029087067,NA,0,1,0.0888572707772255,0.00998767491894476,0,0,0.36363636,97.75,0.63636364,90.42857143,NA,NA,NA,NA,NA,-0.0322868302464485,0.510684609413147,NA,NA,-0.807170756161213,7.29549442018781,NA,NA,0.5,1,0.63636364,0,0.66666667,0.28571429,0.27272727,0.5,0.45454545,1,0,0,0,1,0,1,1,0,0,0,1,0,-0.922717957724042,NA,NA,NA,NA,NA,NA,80,80,58.14389,54.87641,80,61.04049,20,29.85026,20,20,51.85279,20,2.2211,7.40874,NA,NA,NA,NA,NA,NA,169.76,105.62,113.7,110.98,87.24,103.14,140.38,60.3,98.78,135.032727272727,71.7672727272727,101.325454545455,0.09090909,0.63636364,0.27272727,NA,NA,97.5999984741211,90.3428606305804,97.7333374023438,NA,NA,6.76263236999512,1.54376670292446,11.1892623901367,NA,NA,11.010931968689,3.48718343462263,7.08888117472331,NA,NA,0,0.51715998724103,-0.0332007221877575,NA,NA,0,7.387999817729,-1.10669073959192,NA,NA,0.5,0.8,0.63636364,0,0.5,0.28571429,0.45454545,20.33333333,NA,NA,0.09090909,0.27272727,0.63636364,NA,NA,97.3932037353516,97.4730326334635,90.0565447126116,NA,NA,6.65025997161865,11.2439664204915,1.11832795824323,NA,NA,9.57845020294189,5.67032368977865,1.75856099809919,NA,NA,0,-0.0332007221877575,0.51715998724103,NA,NA,0,-1.10669073959192,7.387999817729,0.5,0.8,0.63636364,0,0.5,0.28571429,0.45454545,1,71.3251266479492,-42.7515563964844,0,0,71.3251,0,0,"2024-09-21",0
"Genesis Cabrera",17490,"2024-09-19","@TEX",14,2024,"TOR","A",27,0,0,0,1,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,0,0,2,0,0,0,0,0.33333333,0,0.33333333,1.87828464271067,0,0.333333333333333,1,0.5,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,27.1820729804239,27.173712862954,0,1,0,0,0,0,0,0,4,9,13,0.053347997367382,0,0.053347997367382,0.49099999666214,0.0509864985942841,0.704933345317841,1.05560004711151,1.05560004711151,1.0324000120163,1,1,0.0756480693817139,3.00039024042076e-05,0,0,0.46153846,96.16666667,0.38461538,89,0.15384615,79.5,NA,NA,NA,-0.0952097475528717,0.260807156562805,-0.0717987865209579,NA,-1.5868291258812,5.2161431312561,-3.5899393260479,NA,0.2,0.875,0.61538462,1,1,1,0.61538462,0.33333333,0,1,1,0,0,1,1,2,0.5,0.5,0,0,0.5,0.5,10.5963320539393,NA,NA,NA,23.66018,36.04675,29.56246,66.84279,58.59495,52.58554,76.97488,31.73517,80,43.58534,38.75911,20,57.45642,37.18683,29.88614,-0.33783,3.57035,NA,NA,NA,113.96,118.16,106.04,143.1,94.36,108.44,67.44,172.7,148.02,121.14,117.36,140.34,106.890769230769,130.972307692308,132.518461538462,0.15384615,0.38461538,0.30769231,0.15384615,NA,96.5500030517578,89.0599975585938,95.75,79.1999969482422,NA,5.42793941497803,-0.823433971405029,9.42645072937012,-1.98524260520935,NA,10.1980819702148,3.51297607421875,7.03390121459961,-1.74531376361847,NA,0,0.263150025159121,-0.0970373004674911,-0.0731270276010036,NA,0,5.26300050318241,-2.42593251168728,-3.65635138005018,NA,0.2,0.875,0.61538462,1,0.85714286,0.875,0.61538462,22.5,NA,0.15384615,0.15384615,0.30769231,0.38461538,NA,79.7509994506836,97.0698471069336,96.3435211181641,89.6143005371094,NA,-3.11513996124268,4.66540002822876,8.73891448974609,-1.76811199188232,NA,-3.59897994995117,8.96527004241943,5.75011730194092,2.10372447967529,NA,-0.0731270276010036,0,-0.0970373004674911,0.263150025159121,NA,-3.65635138005018,0,-2.42593251168728,5.26300050318241,0.2,0.875,0.61538462,1,0.85714286,0.875,0.61538462,2,99.8084564208984,10.6704540252686,0,0,101.382,2,1,"2024-09-19",0
"Genesis Cabrera",17490,"2024-09-15","STL",14,2024,"TOR","H",27,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,1,1,0,0,0,0,0,0,0.33333333,-0.33333333,11.7253957421829,0,0,1,0,1,6.1664797782898,-6.1664797782898,7.67848818451166,0,151.608189429451,189.176655168198,1,0,0.5,0.5,0,0,0,0,5,6,11,0.120378024876118,-0.0685899928212166,0.188968017697334,0.600000023841858,0.0633914470672607,2.05253338813782,1.71446669101715,1.46619999408722,0.964800000190735,1,1,0.0424519516527653,0.0161965583163378,1,0,0.27272727,97.33333333,0.72727273,90.125,NA,NA,NA,NA,NA,-0.25889265537262,0.979550242424011,NA,NA,-8.62975517908732,12.2443780303001,NA,NA,0.28571429,0.5,0.36363636,1,1,1,0.36363636,0.33333333,0,1,0,1,0,2,0,2,0.5,0,0.5,0,1,0,6.201010774711,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,59.10516,20,21.72879,38.73467,20,20,47.41823,20,2.82213,8.31029,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.94,61.94,103.96,114.26,61.48,85.66,117.445454545455,61.6054545454546,90.6509090909091,NA,0.72727273,0.27272727,NA,NA,NA,89.9124984741211,97.4333292643229,NA,NA,NA,0.809630811214447,9.8547846476237,NA,NA,NA,3.35398006439209,6.19434611002604,NA,NA,NA,0.994845040142536,-0.265364438295364,NA,NA,NA,12.4355630017817,-8.84548127651215,NA,NA,0.28571429,0.5,0.36363636,1,1,1,0.36363636,19.75,NA,NA,NA,0.27272727,0.72727273,NA,NA,NA,97.4875996907552,89.9386978149414,NA,NA,NA,9.25149345397949,-0.0957926213741302,NA,NA,NA,5.03898684183757,2.31801867485046,NA,NA,NA,-0.265364438295364,0.994845040142536,NA,NA,NA,-8.84548127651215,12.4355630017817,0.28571429,0.5,0.36363636,1,1,1,0.36363636,2,83.6681060791016,16.2936553955078,0,0,83.9582,0,0,"2024-09-15",0
"Genesis Cabrera",17490,"2024-09-13","STL",14,2024,"TOR","H",27,0,0,9,1,0,0,0,0,0,0,1,1,5,2,1,1,1,0,0,0,0,0,1,9,0,18,1,0,0,1,2,1,0,0,0,0,0.2,0,0.2,3.74716908401489,9,0.4,2,0.333333333333333,1,14.1664797782898,-5.16647977828979,4.19049659073353,226.31131824936,350.689975747894,102.403901559937,0.5,0.25,0.25,0.5,0,0.5,0,0,10,13,23,-0.149949997663498,-0.314152002334595,0.164202019572258,-0.521000027656555,-0.0550449080765247,1.76296663284302,2.14860010147095,2.14860010147095,2.28959989547729,1,1,-0.132593110203743,0.0475376163163268,0,1,0.47826087,97.54545455,0.47826087,90.45454545,0.04347826,79,NA,NA,NA,-0.0244189873337746,0.349773824214935,-1.48281061649323,NA,-0.221990793943405,3.17976203831759,-148.281061649323,NA,0.23529412,0.83333333,0.39130435,0.5,0.8,0.66666667,0.26086957,0.4,0.13043478,2,0,2,3,0,1,4,0.5,0,0.5,0.75,0,0.25,14.5533557696714,NA,NA,NA,61.72357,38.94105,80,80,80,80,20,66.84702,20,39.57675,50.28281,20,38.37409,60.85684,20,0.84769,5.34863,NA,NA,NA,155.02,173.9,169.8,130.5,175.94,216.84,104.2,54.78,66.94,129.38,82.74,113.04,120.739130434783,83.8669565217391,106.494782608696,0.08695652,0.47826087,0.39130435,0.04347826,NA,97.1999969482422,90.4818170720881,97.522223578559,79.3000030517578,NA,5.11899757385254,0.757255467501554,9.57508850097656,-3.51201748847961,NA,11.8585748672485,3.18787522749467,7.61793348524306,-5.82617998123169,NA,0.377867482602596,0.352144610136747,-0.402763463556767,-1.48475968837738,NA,18.8933741301298,3.20131463760679,-4.47514959507518,-148.475968837738,NA,0.23076923,0.6,0.39130435,0.33333333,0.83333333,0.66666667,0.43478261,19.61111111,NA,0.04347826,0.08695652,0.39130435,0.47826087,NA,79.2662963867188,97.1304931640625,97.4717339409722,90.4164428710938,NA,-4.64101982116699,4.30470991134644,9.29446665445963,-0.203413378108631,NA,-7.27896976470947,10.7073497772217,6.50002670288086,1.84466240622781,NA,-1.48475968837738,0.377867482602596,-0.402763463556767,0.352144610136747,NA,-148.475968837738,18.8933741301298,-4.47514959507518,3.20131463760679,0.23076923,0.6,0.39130435,0.33333333,0.83333333,0.66666667,0.43478261,4,80.5540008544922,17.1703281402588,1,0.25,102.628,1,0.25,"2024-09-13",0
"Genesis Cabrera",17490,"2024-09-11","NYM",14,2024,"TOR","H",27,0,0,27.000028163224,1,0,0,0,0,0,0,0,0.1,4,2,1,1,1,1,0,0,0,0,0,0,27.000028163224,54.0000563264481,0,0,0,0,3,0,0,0,0,0,0,0.25,-0.25,13.4148540840149,27.000028163224,0.666666666666667,9.00000938774135,0.5,1,51.1665298462436,-24.1665016830196,25.7745790163718,678.934662932121,1271.44448342291,639.3634141692,0,0,0,1,0,0.333333333,1,27.000028163224,6,8,14,-0.0657219961285591,-0.0669079944491386,0.00118600018322468,-2.57999992370605,-0.272583186626434,0.159549996256828,0.269800007343292,0.539600014686584,NA,0,1,-0.142136812210083,-0.269784201080109,0,1,0.42857143,95.66666667,0.5,88.85714286,0.07142857,78,NA,NA,NA,-1.30010783672333,-0.898116886615753,-0.0344077162444592,NA,-21.6684639453888,-12.8302412373679,-3.44077162444592,NA,0.4,0.75,0.5,0.75,1,0.85714286,0.28571429,0.5,0.07142857,1,2,0,0,0,3,3,0.33333333,0.66666667,0,0,0,1,25.2656856692349,NA,NA,NA,20,37.30933,20,80,57.42832,80,51.81547,55.1779,65.41008,39.07055,20,20,49.41374,37.75982,20,0.16183,4.31984,NA,NA,NA,82.12,65.2,64.5,82.24,116.18,116.48,94.18,67.1,69.64,117.94,126.86,133.86,103.492857142857,103.855714285714,108.074285714286,0.14285714,0.5,0.28571429,0.07142857,NA,95.0999984741211,88.7142857142857,95.5500030517578,78,NA,6.17732810974121,0.836251667567662,8.79951763153076,-2.69699287414551,NA,9.19468402862549,3.56085041591099,8.38372898101807,-2.70425581932068,NA,-1.34345452487469,-0.907926578074694,0.039997324347496,-0.0350487045943737,NA,-67.1727262437344,-12.9703796867813,0.999933108687401,-3.50487045943737,NA,0.44444444,0.6,0.5,0.75,1,0.85714286,0.35714286,20.4,NA,0.07142857,0.14285714,0.28571429,0.5,NA,77.9442977905273,95.0988006591797,95.5669479370117,88.6874389648438,NA,-3.28666996955872,5.57799005508423,8.29479503631592,-0.0562171339988708,NA,-4.08611011505127,8.27976417541504,7.36307764053345,2.42150579180036,NA,-0.0350487045943737,-1.34345452487469,0.039997324347496,-0.907926578074694,NA,-3.50487045943737,-67.1727262437344,0.999933108687401,-12.9703796867813,0.44444444,0.6,0.5,0.75,1,0.85714286,0.35714286,3,100.915751139323,25.3760553995768,2,0.66666667,108.962,2,0.66666667,"2024-09-11",0
"Genesis Cabrera",17490,"2024-09-10","NYM",14,2024,"TOR","H",27,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,2,0,1,0,0,0,0.33333333,0,0.33333333,4.45139575020756,0,0,0,0,1,1.1664797782898,-1.1664797782898,4.19049659073353,0,27.1820729804239,102.403901559937,0,0,0,1,0.5,0,0,0,2,6,8,0.0215180050581694,0,0.0215180050581694,0.479000002145767,0.0506075024604797,0.280200004577637,0.467200011014938,0.467200011014938,0.32480001449585,1,1,0.0773081481456757,-0.000512985024230236,0,0,0.875,97.71428571,0.125,90,NA,NA,NA,NA,NA,0.58957827091217,0.193908214569092,NA,NA,8.42254672731672,19.3908214569092,NA,NA,0.5,0.5,0.5,0.5,1,0.75,0.5,0.66666667,0.125,1,0,1,1,1,0,2,0.5,0,0.5,0.5,0.5,0,-1.4966940070379,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.43359,68.3062,58.82863,75.71209,76.01945,80,80,64.58538,73.22523,-1.80179,1.37441,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.34,125.12,139.54,164.4,175.86,189.4,117.9725,131.4625,145.7725,NA,0.125,0.875,NA,NA,NA,90.3000030517578,97.6571393694196,NA,NA,NA,-0.219391956925392,9.94517735072545,NA,NA,NA,3.63953018188477,6.40998240879604,NA,NA,NA,0.184771567583084,0.578620307147503,NA,NA,NA,18.4771567583084,8.26600438782147,NA,NA,0.6,0.33333333,0.5,0.66666667,1,0.75,0.375,20,NA,NA,NA,0.875,0.125,NA,NA,NA,97.6061575753348,90.2494964599609,NA,NA,NA,9.77472032819476,-1.09421002864838,NA,NA,NA,5.47741154261998,2.40665006637573,NA,NA,NA,0.578620307147503,0.184771567583084,NA,NA,NA,8.26600438782147,18.4771567583084,0.6,0.33333333,0.5,0.66666667,1,0.75,0.375,2,88.7415466308594,60.2153015136719,0,0,89.9521,0,0,"2024-09-10",0
"Genesis Cabrera",17490,"2024-09-08","@ATL",14,2024,"TOR","A",27,0,0,0,1,0,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.18327091598511,0,0,0,0,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,76.9525195600348,76.9288520456552,1,0,1,0,0,0,0,0,2,2,4,0.112559989094734,0,0.112559989094734,0.365000009536743,0.037093497812748,4.07639980316162,2.03819990158081,4.07639980316162,3.48559999465942,1,1,0.0276125986129045,-6.02416564549069e-10,1,0,0.5,95,0.5,88.5,NA,NA,NA,NA,NA,0.209964349865913,0.00212088227272034,NA,NA,10.4982174932957,0.106044113636017,NA,NA,0,0.33333333,0.25,NA,1,1,0.75,NA,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1.36348034327887,NA,NA,NA,NA,NA,NA,80,76.38591,80,20,59.58178,20,80,52.30458,80,74.87696,60.34375,63.57264,-1.4201,1.94694,NA,NA,NA,NA,NA,NA,99.18,147.96,163.02,84.08,18.74,16.6,111.36,170.32,197.98,101.495,126.835,143.895,0.25,0.5,0.25,NA,NA,95.1999969482422,88.3999938964844,94.5999984741211,NA,NA,5.42090892791748,-0.755557894706726,7.34016466140747,NA,NA,10.1724967956543,4.04623508453369,9.13235378265381,NA,NA,0.247940421104431,0.00184798240661621,-0.0350487045943737,NA,NA,24.7940421104431,0.0923991203308105,-3.50487045943737,NA,NA,0,1,0.25,NA,1,1,0.25,26,NA,NA,0.25,0.25,0.5,NA,NA,95.3845977783203,94.8367004394531,88.6002044677734,NA,NA,5.21984004974365,7.36676979064941,-1.15812993049622,NA,NA,9.0102596282959,6.80805015563965,2.56508994102478,NA,NA,0.247940421104431,-0.0350487045943737,0.00184798240661621,NA,NA,24.7940421104431,-3.50487045943737,0.0923991203308105,0,0.33333333,0.25,NA,1,1,0.75,1,80.3816375732422,8.32469177246094,0,0,80.3816,0,0,"2024-09-08",0
