"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","SF%","SFv","XX%","wFB","wSL","wCT","wSF","wFB/C","wSL/C","wCT/C","wSF/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FS","pb_s_FS","pb_c_FS","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FS","sp_l_FS","sp_p_FS","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFS%","pfxSI%","pfxSL%","pfxvFA","pfxvFS","pfxvSI","pfxvSL","pfxFA-X","pfxFS-X","pfxSI-X","pfxSL-X","pfxFA-Z","pfxFS-Z","pfxSI-Z","pfxSL-Z","pfxwFA","pfxwFS","pfxwSI","pfxwSL","pfxwFA/C","pfxwFS/C","pfxwSI/C","pfxwSL/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piFA%","piFS%","piSI%","piSL%","piXX%","pivFA","pivFS","pivSI","pivSL","pivXX","piFA-X","piFS-X","piSI-X","piSL-X","piXX-X","piFA-Z","piFS-Z","piSI-Z","piSL-Z","piXX-Z","piwFA","piwFS","piwSI","piwSL","piwXX","piwFA/C","piwFS/C","piwSI/C","piwSL/C","piwXX/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Zack Littell",15823,"2024-09-25","@DET",12,2024,"TBR","A",28,0,1,5.78571507395541,1,1,0,0,0,0,0,0,4.2,21,7,3,3,1,0,0,0,0,0,7,13.5000018392293,0,13.5000018392293,7,0,0,4,5,5,0,0,0,0,0.33333333,0,0.33333333,2.2840442793318,1.92857169131847,0.333333333333333,1.50000020435881,0.461538461538462,0.71428571,2.95219403480997,2.83352103914544,1.7864885969472,149.479296131231,73.6641712655122,42.5980253963547,0.8,0.357142857,0.285714285,0.357142857,0,0.2,1,1.92857169131847,32,59,91,-0.142492011189461,-0.404459983110428,0.261967957019806,-0.820000052452087,-0.086497887969017,0.766704738140106,0.680480003356934,0.870000004768372,0.532000005245209,1,1,-0.0729379132390022,-0.112912002773154,0,0,0.24175824,89.95454545,0.01098901,78,0.42857143,85.79487179,0.31868132,82.10344828,NA,-1.39802074432373,-0.0373910665512085,-0.251937747001648,0.725212693214417,-6.35463974692605,-3.73910665512085,-0.645994223081149,2.5007334248773,0.29411765,0.725,0.48351648,0.33333333,0.89655172,0.70454545,0.43956044,0.52380952,0.14285714,11,3,0,0,6,8,14,0.78571429,0.21428571,0,0,0.42857143,0.57142857,4.53348807144624,45,30.39828,26.26585,34.65331,27.17973,20,51.04707,43.84007,20,65.39066,49.65263,47.94661,50.75104,39.42044,29.63225,53.56264,0.78268,5.25111,77.84,92.64,70.8,74.48,92.56,47.12,68.9385,122.847,116.977,86.26,105.58,96.42,76.2413186813187,110.032747252747,96.66,0.13186813,0.31868132,0.10989011,0.43956044,90.125,82.003451643319,89.6400024414063,85.6375,-4.15338738759359,-6.4016034356479,-7.94592361450195,1.0369833946228,9.32740910847982,1.18902561582368,7.2659423828125,4.90942840576172,-0.637750044465065,0.772446818649769,-0.780637700110674,-0.278616443276405,-5.31458370387554,2.66360971948196,-7.80637700110674,-0.696541108191013,0.25531915,0.72727273,0.48351648,0.33333333,0.84375,0.70454545,0.48351648,17.88571429,0.13186813,0.31868132,0.10989011,0.43956044,NA,90.3024597167969,82.1733145878233,89.8223999023437,85.8082458496094,NA,-3.61952177683512,-5.75457605822333,-7.45088500976563,1.80892848968506,NA,8.27785110473633,-0.445976257324219,6.06575698852539,3.75331382751465,NA,-0.637750044465065,0.772446818649769,-0.780637700110674,-0.278616443276405,NA,-5.31458370387554,2.66360971948196,-7.80637700110674,-0.696541108191013,NA,0.25,0.70212766,0.48351648,0.27272727,0.84848485,0.70454545,0.51648352,14,100.30069405692,13.6271525791713,5,0.35714286,111.082,10,0.71428571,"2024-09-25",0
"Zack Littell",15823,"2024-09-19","BOS",12,2024,"TBR","H",28,1,0,0,1,1,1,0,0,0,0,0,7,22,1,0,0,0,0,0,0,0,0,7,9,0,1.28571428571429,7,0,0,2,10,3,4,0,0,0,0.31818182,0,0.31818182,3.27989024044814,0,0.0454545454545455,0.142857142857143,0.0666666666666667,1,1.1664797782898,-1.1664797782898,3.32649178717818,0,27.9579124624459,80.9095619322277,0.2,0.2,0.133333333,0.666666666,0.4,0,2,2.57142857142857,24,51,75,0.443972021341324,-0.0137140024453402,0.45768603682518,3.16420006752014,0.347523331642151,0.864009082317352,1.20082855224609,0.870000004768372,1.38119995594025,1,1,0.488396167755127,0.0254549368542711,0,0,0.45333333,91.35294118,0.01333333,81,0.37333333,86.39285714,0.16,82.41666667,NA,1.71110618114471,-0.0879258811473846,1.74288487434387,1.43979382514954,5.03266523866092,-8.79258811473846,6.2245888369424,11.9982818762461,0.29268293,0.76470588,0.50666667,0.66666667,0.80769231,0.76315789,0.45333333,0.72727273,0.12,3,9,3,5,9,1,15,0.2,0.6,0.2,0.33333333,0.6,0.06666667,0.37134866450571,86,46.05894,28.98908,60.84123,62.69292,42.0203,80,39.49701,30.74769,49.21267,80,67.08163,80,56.42206,36.82371,68.74111,-0.27357,3.66674,78.92,122.58,94.86,74.8,134.18,113.34,79.3121428571428,108.14,98.4385714285714,106.22,151.66,153.9,82.9386486486487,123.399459459459,108.285405405405,0.33333333,0.16,0.12,0.38666667,91.66400390625,82.4416656494141,90.1333346896701,86.1482775457974,-4.53020965576172,-7.51633326212565,-8.87253061930338,0.34559940469676,10.0224468994141,0.405173460642497,8.60367329915365,5.01753287479795,1.22245067730546,1.53123455122113,0.48876990005374,1.67252154275775,4.88980270922184,12.7602879268428,5.43077666726377,5.7673156646819,0.27272727,0.69047619,0.50666667,0.66666667,0.79310345,0.76315789,0.56,17.94339623,0.33333333,0.16,0.12,0.38666667,NA,91.50642578125,82.2757517496745,89.9728122287326,85.9744241648707,NA,-4.1344384765625,-7.08435694376628,-8.44502088758681,1.03201392601276,NA,8.53123474121094,-1.83291800816854,6.98270458645291,3.3323869376347,NA,1.22245067730546,1.53123455122113,0.48876990005374,1.67252154275775,NA,4.88980270922184,12.7602879268428,5.43077666726377,5.7673156646819,NA,0.24242424,0.71428571,0.50666667,0.625,0.8,0.76315789,0.56,15,79.0597412109375,38.3529907226563,1,0.06666667,101.856,3,0.2,"2024-09-19",0
"Zack Littell",15823,"2024-09-13","@CLE",12,2024,"TBR","A",28,1,0,0,1,1,1,0,0,0,0,0,6,20,2,0,0,0,0,0,0,0,0,5,7.5,0,3,5,0.111111111,0,9,3,3,0,1,0,0,0.25,0,0.25,2.34827908401489,0,0.1,0.333333333333333,0.133333333333333,1,1.49981311162313,-1.49981311162313,2.25581731473406,0,36.4897475785027,54.2737832343166,3,0.2,0.6,0.2,0,0,3,4.5,24,65,89,0.305224001407623,-0.0912800207734108,0.396504014730453,2.88000011444092,0.303797483444214,0.790799975395203,0.969200015068054,0.870000004768372,1.03760004043579,1,1,0.290449261665344,0.0955193914761628,0,0,0.31460674,92.67857143,0.02247191,79.5,0.38202247,86.91176471,0.28089888,83.56,NA,1.81494414806366,0.102289795875549,-0.164554223418236,0.589142084121704,6.48194338594164,5.11448979377747,-0.483983010053635,2.35656833648682,0.44897959,0.725,0.57303371,0.68181818,0.65517241,0.66666667,0.4494382,0.85,0.19101124,6,7,2,1,12,2,15,0.4,0.46666667,0.13333333,0.06666667,0.8,0.13333333,1.66760460031261,76,54.79433,24.47718,75.11485,29.15351,24.19969,59.20971,72.24164,42.19725,80,68.04217,52.62855,46.7086,65.13817,41.74713,75.0522,-0.81507,2.85449,72.6,129.3,92.42,81.86,108.02,75.66,86.7166666666667,142.405555555556,135.913333333333,108.2,122.94,117.82,89.3505617977528,130.423595505618,115.264494382022,0.21348315,0.28089888,0.1011236,0.40449438,92.7947355571546,83.487998046875,92.0555555555556,86.4861111111111,-3.5847312525699,-4.57831481933594,-7.92745378282335,1.95579210917155,9.00533415141859,1.3632666015625,6.6553348965115,3.39196289910211,1.2682441174984,0.58870704844594,0.654369905591011,-0.0584067329764366,6.67496903946525,2.35482819378376,7.27077672878901,-0.162240924934546,0.37777778,0.77272727,0.57303371,0.64705882,0.67647059,0.66666667,0.49438202,16.7826087,0.20224719,0.28089888,0.11235955,0.40449438,NA,92.8702596028646,83.539091796875,92.1584838867188,86.531975640191,NA,-3.44093619452582,-4.53377166748047,-7.6655158996582,2.15294286939833,NA,8.29074859619141,-0.158466720581055,5.7072151184082,2.47022522820367,NA,1.2682441174984,0.58870704844594,0.654369905591011,-0.0584067329764366,NA,7.04580065276888,2.35482819378376,6.54369905591011,-0.162240924934546,NA,0.37777778,0.77272727,0.57303371,0.64705882,0.67647059,0.66666667,0.49438202,15,81.3662353515625,0.362103716532389,0,0,105.341,2,0.13333333,"2024-09-13",0
"Zack Littell",15823,"2024-09-08","@BAL",12,2024,"TBR","A",28,1,0,0,1,1,0,0,0,0,0,0,5,20,3,0,0,0,1,0,0,0,0,4,7.2,1.8,5.4,4,0,0,5,8,2,0,0,0,0,0.2,0.05,0.15,4.38584408401489,0,0.157894736842105,0.8,0.2,1,2.1664797782898,-2.1664797782898,4.58569322824478,0,53.5534178106164,112.235433411891,0.625,0.133333333,0.333333333,0.533333333,0,0,2,3.6,26,55,81,0.21283994615078,-0.18968003988266,0.402519971132278,1.9650000333786,0.211290329694748,1.04333329200745,1.06266665458679,0.870000004768372,2.3840000629425,1,1,0.169874951243401,0.0341250052242597,0,0,0.40740741,91.96969697,0.03703704,80.33333333,0.25925926,86.71428571,0.2962963,83.125,NA,1.41651177406311,0.0228863731026649,-0.0982951819896698,-0.09271639585495,4.29245992140336,0.762879103422165,-0.468072295188904,-0.386318316062292,0.36363636,0.7027027,0.51851852,0.75,0.92307692,0.85714286,0.45679012,0.55,0.07407407,7,3,5,0,11,4,15,0.46666667,0.2,0.33333333,0,0.73333333,0.26666667,1.74138355644606,65,33.49381,30.51335,41.34782,80,27.49263,80,25.99394,32.765,29.50721,80,54.05489,80,53.69818,38.35136,62.62538,-0.10434,3.92058,79.26,99.92,80.36,73.38,148.26,122.46,89.935,82.7575,80.8275,104.68,130.3,124.18,89.3014814814815,109.207407407407,98.16,0.28395062,0.2962963,0.12345679,0.2962963,92.1304347826087,83.1124979654948,91.65,85.8291625976562,-4.51729252027429,-5.50060081481934,-7.99597091674805,1.28223196665446,9.99493938943614,2.03244384129842,8.38419799804688,4.1125914255778,1.40150656178594,-0.0986203551292419,1.14841176941991,-0.0799776166677475,6.09350679037364,-0.410918146371841,11.4841176941991,-0.333240069448948,0.27777778,0.71111111,0.51851852,0.8,0.875,0.85714286,0.55555556,18.96721311,0.2962963,0.2962963,0.11111111,0.2962963,NA,92.2452290852865,83.2162322998047,91.6803860134549,85.9383646647135,NA,-4.64394664764404,-5.66514205932617,-8.19420539008247,1.42449522018433,NA,8.86305936177572,0.372660040855408,7.07924567328559,2.9714183807373,NA,1.46672822162509,-0.0986203551292419,1.08319010958076,-0.0799776166677475,NA,6.11136759010454,-0.410918146371841,12.0354456620084,-0.333240069448948,NA,0.35135135,0.65909091,0.51851852,0.76923077,0.89655172,0.85714286,0.54320988,15,91.6192220052083,22.6743591308594,0,0,111.576,5,0.33333333,"2024-09-08",0
"Zack Littell",15823,"2024-09-02","MIN",12,2024,"TBR","H",28,0,1,9,1,1,0,0,0,0,0,0,4,22,7,4,4,1,4,0,0,0,0,2,4.5,9,15.75,0.5,0,0,5,6,5,1,0,0,0,0.09090909,0.18181818,-0.09090909,7.46342742981355,2.25,0.388888888888889,2.75,0.4,0.72916667,8.41647977828979,0.583520221710206,7.4344923876226,232.523317858679,213.525326236682,183.106632751094,0.833333333,0.3125,0.3125,0.375,0.166666666,0.166666666,3,6.75,29,49,78,-0.272213965654373,-0.696433961391449,0.424219965934753,-2.19180011749268,-0.240724876523018,1.17605459690094,0.842450022697449,0.870000004768372,0.90559995174408,1,1,-0.272382706403732,0.0409189917329227,0,0,0.55128205,92.04651163,0.01282051,80,0.24358974,86.42105263,0.19230769,83.66666667,NA,-0.0480412244796753,-0.0207000374794006,-1.88706433773041,-0.841867804527283,-0.11172377785971,-2.07000374794006,-9.93191756700215,-5.61245203018188,0.31818182,0.82352941,0.53846154,0.57142857,0.89285714,0.78571429,0.43589744,0.77272727,0.11538462,7,5,4,2,7,7,16,0.4375,0.3125,0.25,0.125,0.4375,0.4375,9.61165162155669,25,56.44746,37.61832,66.79517,20,35.70886,20,54.19665,35.98287,66.28703,64.9237,63.78399,57.53974,47.77266,41.5479,55.11962,0.26379,4.47278,95.6,118.12,109.82,75.42,-54.7,-83.38,87.044,108.4,102.406,102.86,109.24,111.12,92.9912820512821,98.4105128205128,90.8305128205128,0.46153846,0.19230769,0.08974359,0.25641026,92.1055569118924,83.4399983723958,91.3142874581473,86.0700012207031,-4.30957370334201,-7.22602793375651,-9.19666726248605,1.41633319854736,10.7113198174371,0.504581610361735,7.98574338640486,4.22908058166504,0.805434171110392,-0.810435947030783,-0.865602161735296,-1.91952352970839,2.23731714197331,-5.40290631353855,-12.3657451676471,-9.59761764854193,0.34146341,0.75675676,0.53846154,0.57142857,0.89285714,0.78571429,0.47435897,18.50909091,0.46153846,0.19230769,0.08974359,0.25641026,NA,92.2829454210069,83.6178141276042,91.5067400251116,86.2346984863281,NA,-3.96646965874566,-6.89460245768229,-8.98370851789202,1.93480262756348,NA,9.24597761366102,-1.66406631469727,6.4022216796875,2.52277851104736,NA,0.805434171110392,-0.810435947030783,-0.865602161735296,-1.91952352970839,NA,2.23731714197331,-5.40290631353855,-12.3657451676471,-9.59761764854193,NA,0.35,0.73684211,0.53846154,0.57142857,0.89285714,0.78571429,0.48717949,16,92.5837860107422,20.3556118011475,1,0.0625,112.509,7,0.4375,"2024-09-02",0
"Zack Littell",15823,"2024-08-14","HOU",12,2024,"TBR","H",28,0,0,1.8,1,1,0,0,0,0,0,0,5,18,1,1,1,1,2,0,0,0,0,3,5.4,3.6,1.8,1.5,0,0,4,8,1,2,0,0,0,0.16666667,0.11111111,0.05555556,5.71805625179296,1.8,0.0625,0.6,0,1,5.7664797782898,-3.9664797782898,5.58569322824478,46.5046635717358,145.69723706403,137.113003003242,0.5,0.076923076,0.307692307,0.615384615,0.25,0.125,0,0,24,44,68,0.103439994156361,-0.178273975849152,0.281713962554932,1.26020002365112,0.138407468795776,0.743611097335815,1.01200008392334,0.870000004768372,0.927000045776367,1,1,0.190145537257195,-0.0510405742907166,0,0,0.39705882,90.44444444,0.08823529,78.33333333,0.32352941,84.77272727,0.19117647,82,NA,0.788313925266266,0.0897409543395042,0.634545266628265,0.171676427125931,2.91968120468987,1.49568257232507,2.88429666649212,1.3205879009687,0.375,0.85714286,0.57352941,0.66666667,0.875,0.79487179,0.41176471,0.66666667,0.11764706,6,4,3,4,5,4,13,0.46153846,0.30769231,0.23076923,0.30769231,0.38461538,0.30769231,4.30684579021838,57,53.09551,29.66654,63.89519,72.6184,38.81987,79.56935,20,31.5534,20,55.54618,52.94618,41.42967,43.70665,37.85036,42.98663,0.51639,4.85168,86,147.94,133.78,78.82,123.2,106.12,93.1357142857143,79.6714285714286,77.2714285714286,97.22,106,100.62,89.3938235294118,105.990294117647,97.6641176470588,0.16176471,0.19117647,0.23529412,0.41176471,91.2363614169034,82.0230806790865,89.875,83.2821393694196,-4.84464090520685,-5.63013516939603,-9.3474702835083,2.78079795837402,9.77028656005859,2.53038494403546,7.25700283050537,2.95429066249302,0.527468025684357,0.151376582682133,0.270210966467857,0.726230300962925,4.79516386985779,1.16443525140102,1.68881854042411,2.59367964629616,0.31428571,0.84848485,0.57352941,0.54545455,0.89285714,0.79487179,0.48529412,18.16,0.16176471,0.19117647,0.23529412,0.41176471,NA,91.2462824041193,82.0170241135817,89.8910217285156,83.272208077567,NA,-4.49893743341619,-5.33973400409405,-9.24124526977539,3.34664154052734,NA,8.56105527010831,0.713540884164663,5.97295141220093,1.44089712415423,NA,0.527468025684357,0.151376582682133,0.270210966467857,0.726230300962925,NA,4.79516386985779,1.16443525140102,1.68881854042411,2.59367964629616,NA,0.3030303,0.82857143,0.57352941,0.5,0.89655172,0.79487179,0.51470588,13,89.6487379807692,36.6934391902043,2,0.15384615,102.996,4,0.30769231,"2024-08-14",0
"Zack Littell",15823,"2024-08-09","BAL",12,2024,"TBR","H",28,0,1,1.8,1,1,0,0,0,0,0,0,5,23,7,3,1,1,1,0,0,0,0,5,9,1.8,12.6,5,0.285714285,0,7,7,3,0,2,0,0,0.2173913,0.04347826,0.17391304,3.84610715125603,1.8,0.318181818181818,1.6,0.375,0.75757576,4.3664797782898,-2.5664797782898,3.88329154700041,46.5046635717358,109.863529576591,94.7613867056525,1,0.176470588,0.411764705,0.411764705,0,0.142857142,0,0,32,58,90,-0.108611971139908,-0.494928002357483,0.386316031217575,-0.739800035953522,-0.0812520682811737,1.10337388515472,0.862800002098083,0.870000004768372,0.3783999979496,1,1,-0.0381816066801548,-0.0602546283995593,0,0,0.42222222,92.34210526,0.01111111,80,0.4,86.61111111,0.16666667,83.6,NA,1.00010979175568,-0.0373910665512085,-0.543246626853943,-1.26861619949341,2.63186787304125,-3.73910665512085,-1.50901840792762,-8.45744132995605,0.34545455,0.68571429,0.47777778,0.73684211,0.95833333,0.86046512,0.38888889,0.60869565,0.06666667,8,6,3,2,8,7,17,0.47058824,0.35294118,0.17647059,0.11764706,0.47058824,0.41176471,4.07648037642019,43,76.15741,40.92731,80,59.02503,35.24357,75.20655,42.9559,40.02818,46.29768,59.04235,69.71321,42.28338,58.94337,46.4268,62.91165,-0.43021,3.43178,100.98,139.26,140.88,82.48,147.3,126.12,92.64,100.939444444444,95.53,103.26,110.4,113.08,94.2492134831461,120.521573033708,114.865617977528,0.22222222,0.16666667,0.2,0.41111111,93.1150024414062,83.5666666666667,91.3944430881076,86.3675702069257,-4.80592575073242,-6.71900227864583,-9.06203460693359,1.19907111090583,10.7952301025391,0.45115655263265,7.71631028917101,4.51727377401816,0.334520574659109,-1.22746100649238,0.673422664403915,-0.595555525273085,1.67260287329555,-8.18307337661584,3.7412370244662,-1.60960952776509,0.29268293,0.63265306,0.47777778,0.66666667,0.93548387,0.86046512,0.54444444,20.02985075,0.22222222,0.16666667,0.2,0.41111111,NA,93.2286376953125,83.6695556640625,91.5142686631944,86.474681957348,NA,-4.50776405334473,-6.32982330322266,-8.59780968560113,1.8460361377613,NA,9.31048126220703,-1.74526952107747,6.28390842013889,2.88921789220861,NA,0.334520574659109,-1.22746100649238,0.673422664403915,-0.595555525273085,NA,1.67260287329555,-8.18307337661584,3.7412370244662,-1.60960952776509,NA,0.28571429,0.64583333,0.47777778,0.66666667,0.93548387,0.86046512,0.53333333,17,92.2810920266544,14.4918329575483,2,0.11764706,106.404,10,0.58823529,"2024-08-09",0
"Zack Littell",15823,"2024-08-03","@HOU",12,2024,"TBR","A",28,1,0,1.58823547231287,1,1,0,0,0,0,0,0,5.2,20,4,1,1,1,1,0,0,0,0,3,4.7647064169386,1.58823547231287,6.35294188925147,3,0,0,7,6,3,0,0,0,0,0.15,0.05,0.1,4.66795158401489,1.58823547231287,0.210526315789474,0.882353040173816,0.2,1,4.93118585863743,-3.34295038632456,4.23801821098338,41.0335312847815,124.317467076274,103.586123974797,1.166666666,0.1875,0.4375,0.375,0,0.166666666,2,3.17647094462574,26,53,79,0.208928018808365,-0.193315997719765,0.402244031429291,1.76300001144409,0.18685744702816,0.851719975471497,1.05553328990936,0.870000004768372,0.741600036621094,1,1,0.122774973511696,0.122526328354221,0,0,0.35443038,91.96428571,0.05063291,79.75,0.34177215,87.14814815,0.25316456,84,NA,0.639528274536133,-0.362840801477432,0.1392942070961,0.278982639312744,2.28402955191476,-9.07102003693581,0.515904470726296,1.39491319656372,0.43396226,0.65384615,0.50632911,0.65217391,0.88235294,0.75,0.32911392,0.85,0.12658228,10,4,2,2,12,2,16,0.625,0.25,0.125,0.125,0.75,0.125,5.26011860458611,57,43.96101,38.86819,46.80507,43.69475,42.12145,49.25553,48.3142,24.28009,59.51963,47.36858,42.23038,36.02731,45.61221,35.02962,47.19571,0.39801,4.67411,78.82,116.24,97.44,77.04,86.94,69.08,85.0232258064516,102.585806451613,97.541935483871,95.7,95.76,96.16,85.1670886075949,99.7630379746835,91.4121518987342,0.15189873,0.25316456,0.20253165,0.39240506,92.5333353678385,84.0150024414063,91.3249969482422,86.0967741935484,-4.13551266988118,-5.27578010559082,-8.44771766662598,1.35344671433972,10.17511622111,3.02413520812988,7.73211145401001,3.44024436704574,0.373447258025408,0.3265580534935,0.27191973477602,-0.212699588388205,3.11206048354506,1.6327902674675,1.69949834235013,-0.686127704478079,0.43181818,0.6,0.50632911,0.57894737,0.9047619,0.75,0.44303797,17.44827586,0.16455696,0.25316456,0.18987342,0.39240506,NA,92.5281982421875,83.9973571777344,91.2418863932292,86.0818973664314,NA,-4.19406392024114,-4.9835334777832,-8.35841217041016,1.85831488332441,NA,8.75964942345252,0.895440196990967,6.21832326253255,1.80122892318233,NA,0.412811625748873,0.3265580534935,0.232555367052555,-0.212699588388205,NA,3.1754740442221,1.6327902674675,1.5503691136837,-0.686127704478079,NA,0.38636364,0.65714286,0.50632911,0.52941176,0.91304348,0.75,0.44303797,16,84.5103149414062,9.83953857421875,2,0.125,107.526,5,0.3125,"2024-08-03",0
"Zack Littell",15823,"2024-07-27","CIN",12,2024,"TBR","H",28,1,0,0,1,1,1,0,0,0,0,0,7,25,3,0,0,0,1,0,1,0,0,5,6.42857142857143,1.28571428571429,3.85714285714286,5,0.166666666,0,6,9,3,0,1,0,0,0.2,0.04,0.16,4.21910348401489,0,0.130434782608696,0.571428571428571,0.166666666666667,1,2.59505120686122,-2.59505120686122,4.53906201486077,0,64.5229201026894,111.075362155801,0.666666666,0.166666666,0.333333333,0.5,0,0,4,5.14285714285714,36,60,96,0.329454064369202,-0.12822799384594,0.45768204331398,3.16420006752014,0.347523331642151,0.816799998283386,0.912000000476837,0.870000004768372,0.438400000333786,1,1,0.339029878377914,0.0643174098953387,0,0,0.29166667,91.53571429,0.11458333,79.18181818,0.29166667,85.57142857,0.30208333,82.89655172,NA,0.0400204993784428,-1.14150631427765,1.89913868904114,2.12889385223389,0.14293035492301,-10.3773301297968,6.78263817514692,7.34101328356513,0.31578947,0.66666667,0.45833333,0.55555556,0.84615385,0.72727273,0.40625,0.44,0.125,7,8,3,3,11,4,18,0.38888889,0.44444444,0.16666667,0.16666667,0.61111111,0.22222222,2.37278470670031,78,34.05306,34.34406,44.80025,29.84442,52.18992,24.30474,37.23827,37.66679,43.7063,54.15834,59.38111,48.01322,38.1186,48.47925,38.20908,0.86356,5.37243,81.98,104.66,94.24,95.6,78,72.2,86.7225641025641,88.92,86.7205128205128,99,106.36,110.08,90.325,96.2797916666667,93.9039583333333,0.19791667,0.30208333,0.09375,0.40625,91.6947342722039,82.9172447467672,91.2333306206597,83.7461563501603,-4.97885653847142,-5.65667040594693,-9.38829718695747,3.45926803197616,9.99894312808388,1.12755782028724,7.8408940633138,2.49067942301432,0.0589073225855827,2.19666857644916,-0.0425615161657333,0.800904978066683,0.31003853992412,7.57471922913502,-0.472905735174815,2.05360250786329,0.3,0.63043478,0.45833333,0.46666667,0.86206897,0.72727273,0.47916667,16.38571429,0.19791667,0.30208333,0.09375,0.40625,NA,91.7577289782072,82.9766130118534,91.2963663736979,83.799566806891,NA,-4.70058722245066,-5.30379985940867,-9.17539638943142,4.01243747808994,NA,8.66181704872533,-0.815373650912581,6.24190436469184,0.828875321608323,NA,0.0589073225855827,2.19666857644916,-0.0425615161657333,0.800904978066683,NA,0.31003853992412,7.57471922913502,-0.472905735174815,2.05360250786329,NA,0.31372549,0.62222222,0.45833333,0.5,0.85714286,0.72727273,0.46875,18,86.5092502170139,16.4169498019748,1,0.05555556,102.405,3,0.16666667,"2024-07-27",0
"Zack Littell",15823,"2024-07-22","@NYY",12,2024,"TBR","A",28,0,1,7.94117736156434,1,1,0,0,0,0,0,0,5.2,26,9,5,5,3,2,0,0,0,0,6,9.52941283387721,3.17647094462574,14.2941192508158,3,0,0,7,6,5,0,0,0,0,0.23076923,0.07692308,0.15384615,4.01438292859635,4.7647064169386,0.375,1.94117668838239,0.4,0.88235294,8.99000984343698,-1.04883248187264,3.70860638687909,205.167656423908,228.205118086493,90.4156444781583,1.166666666,0.277777777,0.388888888,0.333333333,0,0.5,1,1.58823547231287,32,70,102,-0.2289679646492,-0.46982803940773,0.240860059857368,-2.4850001335144,-0.258047789335251,0.568918526172638,0.582400023937225,0.870000004768372,0.312000006437302,1,1,-0.297299385070801,-0.105162398322979,0,0,0.45098039,92.67391304,0.04901961,80.6,0.2745098,87.25,0.2254902,84.13043478,NA,0.702993512153625,-1.2538890838623,-2.60499453544617,-0.550798892974854,1.52824676555136,-25.0777816772461,-9.30355191230774,-2.39477779554284,0.23404255,0.69090909,0.48039216,0.54545455,0.89473684,0.81632653,0.53921569,0.73076923,0.08823529,13,2,3,2,8,8,18,0.72222222,0.11111111,0.16666667,0.11111111,0.44444444,0.44444444,10.0467450649745,24,40.04982,35.9004,50.03965,57.75861,20,79.75563,60.19992,38.15629,76.14299,73.68343,50.0332,66.05045,56.89271,37.22737,69.94467,-0.30281,3.62288,81.72,93.36,74.42,74.74,127.96,88.98,83.4466666666667,117.201818181818,107.541818181818,105.94,117.14,112.44,86.970297029703,110.67603960396,95.629900990099,0.33333333,0.2254902,0.11764706,0.32352941,92.7764677159927,84.1217412533967,92.1666666666667,86.2121212121212,-3.29169374353745,-3.65332197106403,-7.49740982055664,2.21660590894295,9.2498581830193,1.11883644435717,6.94457499186198,3.14691138989998,0.927359849214554,-0.562955293804407,-0.216579344123602,-3.82214637100697,2.7275289682781,-2.44763171219307,-1.80482786769668,-11.5822617303241,0.21428571,0.66666667,0.48039216,0.44444444,0.9,0.81632653,0.58823529,19.61333333,0.33333333,0.2254902,0.11764706,0.32352941,NA,92.6320657169118,83.9774859884511,92.0175984700521,86.0608945904356,NA,-3.4999506333295,-3.84977854853091,-7.7105541229248,2.26827008796461,NA,8.4597464168773,-0.37578068608823,5.98690986633301,2.11983536228989,NA,0.927359849214554,-0.562955293804407,-0.216579344123602,-3.82214637100697,NA,2.7275289682781,-2.44763171219307,-1.80482786769668,-11.5822617303241,NA,0.2195122,0.6557377,0.48039216,0.55555556,0.875,0.81632653,0.59803922,18,90.9390055338542,18.1106177435981,3,0.16666667,112.758,10,0.55555556,"2024-07-22",0
