"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","wFB","wSL","wCB","wFB/C","wSL/C","wCB/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSL%","pfxCU%","pfxvFA","pfxvSL","pfxvCU","pfxFA-X","pfxSL-X","pfxCU-X","pfxFA-Z","pfxSL-Z","pfxCU-Z","pfxwFA","pfxwSL","pfxwCU","pfxwFA/C","pfxwSL/C","pfxwCU/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCU%","piFA%","piSL%","pivCU","pivFA","pivSL","piCU-X","piFA-X","piSL-X","piCU-Z","piFA-Z","piSL-Z","piwCU","piwFA","piwSL","piwCU/C","piwFA/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Joe Boyle",29608,"2024-09-29","@SEA",10,2024,"OAK","A",24,0,0,0,1,0,0,0,0,0,0,0,1.2,8,1,0,0,0,2,0,1,0,0,2,10.8000041198746,10.8000041198746,5.40000205993731,1,0,0,1,1,1,0,0,0,0,0.25,0.25,0,6.21610408401489,0,0.2,1.80000068664577,0.333333333333333,1,6.16648092269941,-6.16648092269941,7.07368631250392,0,156.993754027062,174.130654508347,1,0.333333333,0.333333333,0.333333333,0,0,2,10.8000041198746,18,17,35,0.00351403374224901,-0.00538797117769718,0.00890200491994619,0.652999997138977,0.0741624087095261,0.0562444441020489,0.0373999997973442,0.0373999997973442,0.0848000049591064,1,1,-0.00368266622535884,0.0661605482339927,0,0,0.82857143,100.03448276,0.17142857,89.33333333,NA,NA,0.334069341421127,-0.658281922340393,NA,1.15196324627975,-10.9713653723399,NA,0.16666667,0.72727273,0.34285714,0.75,0.625,0.66666667,0.31428571,0.625,0.11428571,0,1,2,1,2,0,3,0,0.33333333,0.66666667,0.33333333,0.66666667,0,7.79006353370758,NA,NA,NA,NA,51.57901,76.95634,36.47346,20,69.90685,20,30.62217,76.15327,20,1.32928,6.07101,NA,NA,NA,100.12,72.78,86.12,158.16,-14.54,23.06,110.069714285714,57.8108571428571,75.3097142857143,0.82857143,0.17142857,NA,99.9586223733836,89.2833353678385,NA,-4.31337054022427,1.63898960749308,NA,10.1335249275997,-0.975176254908244,NA,0.329646643251181,-0.671965658664703,NA,1.13671256293511,-11.1994276444117,NA,0.11111111,0.58823529,0.34285714,0.5,0.7,0.66666667,0.48571429,18,NA,0.82857143,0.17142857,NA,100.100897427263,89.4080708821615,NA,-3.94271797969424,2.56388664245605,NA,8.83560180664062,-2.93645668029785,NA,0.329646643251181,-0.671965658664703,NA,1.13671256293511,-11.1994276444117,0.11111111,0.58823529,0.34285714,0.5,0.7,0.66666667,0.48571429,3,78.7002868652344,13.7506790161133,0,0,85.7215,0,0,"2024-09-29",0
"Joe Boyle",29608,"2024-09-25","TEX",10,2024,"OAK","H",24,0,0,0,1,0,0,0,0,0,0,0,3,13,2,0,0,0,2,0,0,0,0,5,15,6,6,2.5,0,0,5,1,0,1,0,0,0,0.38461538,0.15384615,0.23076923,2.76140363291687,0,0.181818181818182,1.33333333333333,0.333333333333333,1,1.83314644495646,-1.83314644495646,2.33714924703042,0,45.3271301755411,56.2971240400182,5,0,0.833333333,0.166666666,1,0,0,0,29,31,60,0.0439320094883442,-0.0309320017695427,0.0748640075325966,1.35899996757507,0.149013161659241,0.32165715098381,0.264666676521301,0.30799999833107,0.167999997735023,1,1,0.094927005469799,0.0416532302065263,0,0,0.68333333,98.82926829,0.31666667,88.94736842,NA,NA,0.274369806051254,0.510236024856567,NA,0.669194648905498,2.68545276240299,NA,0.2195122,0.73684211,0.38333333,0.33333333,0.57142857,0.47826087,0.31666667,0.30769231,0.2,2,2,2,2,2,2,6,0.33333333,0.33333333,0.33333333,0.33333333,0.33333333,0.33333333,0.671104180360944,NA,NA,NA,NA,38.49081,65.07496,24.10994,26.19641,53.55238,22.91704,30.88164,61.30868,20,1.31316,6.04683,NA,NA,NA,92.94,89.6,89.44,116.8,59.22,79.84,100.495666666667,79.9796666666667,86.4,0.68333333,0.31666667,NA,98.7926829268293,88.926314504523,NA,-4.64749703756193,1.34044576946058,NA,10.0129684820408,-0.339083194732666,NA,0.250671461224556,0.512780454009771,NA,0.611393807864771,2.69884449478827,NA,0.20512821,0.71428571,0.38333333,0.25,0.6,0.47826087,0.35,18.63829787,NA,0.68333333,0.31666667,NA,99.2013028772866,89.326705129523,NA,-3.74148782869665,2.50271365517064,NA,8.55095021317645,-2.0014503880551,NA,0.250671461224556,0.512780454009771,NA,0.611393807864771,2.69884449478827,0.18918919,0.69565217,0.38333333,0.28571429,0.5625,0.47826087,0.38333333,6,93.0167439778646,-3.3247553507487,0,0,110.738,2,0.33333333,"2024-09-25",0
"Joe Boyle",29608,"2024-08-29","@CIN",10,2024,"OAK","A",24,0,0,81.0000844896721,1,0,0,0,0,0,1,0,0.1,5,0,3,3,0,3,0,1,0,0,0,0,81.0000844896721,0,0,0,0,0,1,0,1,0,0,0,0,0.6,-0.6,20.4323290840149,0,0,9.00000938774135,0,0.25,39.1665173292552,41.8335671604169,43.7025472793687,2091.01410982696,1007.37875694442,1085.36769226343,0,0,0,1,1,0,0,0,15,8,23,-0.292249977588654,-0.347089946269989,0.054839976131916,-2.08200001716614,-0.196879431605339,2.57459998130798,1.41299998760223,1.41299998760223,4.02400016784668,1,1,-0.111654616892338,-0.00185815391106318,0,1,0.7826087,100.05555556,0.2173913,89.4,NA,NA,-0.645210087299347,-0.390198260545731,NA,-3.58450048499637,-7.80396521091461,NA,0,0.75,0.26086957,NA,1,1,0.34782609,NA,0,0,0,1,1,0,0,1,0,0,1,1,0,0,30.7933735414966,NA,NA,NA,NA,27.05479,64.56566,20,20.73588,69.51589,20,20,64.67251,20,2.07311,7.18676,NA,NA,NA,68.48,90.98,77.86,113.8,55.46,83.78,78.3321739130435,83.2582608695652,79.1469565217391,0.7826087,0.2173913,NA,99.9888916015625,89.4200012207031,NA,-4.03341081407335,1.88442211151123,NA,9.13645765516493,-0.66913046836853,NA,-0.664898093789816,-0.399522680789232,NA,-3.69387829883231,-7.99045361578465,NA,0,0.54545455,0.26086957,NA,1,1,0.47826087,19.61111111,NA,0.7826087,0.2173913,NA,100.069078233507,89.5018798828125,NA,-3.62461513943142,2.68483600616455,NA,8.05162811279297,-2.03065166473389,NA,-0.664898093789816,-0.399522680789232,NA,-3.69387829883231,-7.99045361578465,0,0.54545455,0.26086957,NA,1,1,0.47826087,1,90.0040740966797,75.6983032226562,0,0,90.0041,0,0,"2024-08-29",0
"Joe Boyle",29608,"2024-08-24","MIL",10,2024,"OAK","H",24,0,1,9,1,1,0,0,0,0,0,0,5,24,5,5,5,1,4,0,0,1,0,8,14.4,7.2,9,2,0,0,5,3,4,0,0,0,0,0.33333333,0.16666667,0.16666667,4.14506241004648,1.8,0.25,1.8,0.363636363636364,0.52631579,4.96647977828979,4.03352022171021,3.27368482202291,232.334658747697,126.07066763656,79.5958529816696,1.666666666,0.333333333,0.416666666,0.25,0,0.333333333,1,1.8,41,63,104,-0.30091592669487,-0.609847962856293,0.308932065963745,-2.73469996452332,-0.299857467412949,1.12427699565887,0.75848001241684,0.870000004768372,0.217999994754791,1,1,-0.122110366821289,-0.145542469496437,0,0,0.48076923,98.66,0.51923077,88.77777778,NA,NA,-1.45533657073975,0.650407731533051,NA,-2.91067314147949,1.20445876209824,NA,0.30508475,0.68888889,0.47115385,0.33333333,0.93548387,0.71428571,0.43269231,0.5,0.13461538,5,5,2,1,9,2,12,0.41666667,0.41666667,0.16666667,0.08333333,0.75,0.16666667,6.02577192359308,38,NA,NA,NA,48.45306,64.67688,36.81003,50.12967,68.5009,48.53238,49.95471,70.62839,42.41715,0.12822,4.26942,NA,NA,NA,98.1,92.44,95.5,135.725925925926,81.3451851851852,111.636296296296,117.636538461538,86.6792307692308,103.878461538462,0.48076923,0.51923077,NA,98.66,88.7222222222222,NA,-4.52153747558594,2.04548969975224,NA,10.1152850341797,0.0960106584760878,NA,-1.46770073473454,0.642863854765892,NA,-2.93540146946907,1.19048861993684,NA,0.2745098,0.66037736,0.47115385,0.28571429,0.88571429,0.71428571,0.50961538,18.8875,NA,0.48076923,0.51923077,NA,98.77015625,88.8244448061343,NA,-3.71178192138672,3.12769035056785,NA,8.6172802734375,-1.5237712153682,NA,-1.46770073473454,0.642863854765892,NA,-2.93540146946907,1.19048861993684,0.26415094,0.68627451,0.47115385,0.21428571,0.91428571,0.71428571,0.49038462,12,87.2029927571615,7.50733502705892,1,0.08333333,102.442,6,0.5,"2024-08-24",0
"Joe Boyle",29608,"2024-08-19","TBR",10,2024,"OAK","H",24,1,0,0,1,1,1,0,0,0,0,0,6,24,2,0,0,0,3,0,0,1,0,6,9,4.5,3,2,0.166666666,0,6,7,2,2,1,0,0,0.25,0.125,0.125,4.47052075011423,0,0.0952380952380952,0.833333333333333,0.133333333333333,1,2.6664797782898,-2.6664797782898,4.43048958554864,0,66.8014752449611,108.374343989887,0.857142857,0.133333333,0.4,0.466666666,0.285714285,0,3,4.5,38,66,104,0.295732021331787,-0.21437606215477,0.510108053684235,2.71830010414124,0.298059195280075,1.08701539039612,0.961000025272369,0.870000004768372,0.861200034618378,1,1,0.182379454374313,0.089679270777701,0,0,0.52884615,98.92727273,0.47115385,88.83673469,NA,NA,0.835959136486053,1.31733703613281,NA,1.51992570270192,2.68844293088329,NA,0.30357143,0.60416667,0.44230769,0.76470588,0.75862069,0.76086957,0.46153846,0.45833333,0.10576923,5,6,4,3,9,3,15,0.33333333,0.4,0.26666667,0.2,0.6,0.2,1.89162916838171,71,NA,NA,NA,46.10463,63.71561,31.74078,66.5934,64.52848,62.42063,57.24627,66.84799,46.92329,-0.32477,3.58994,NA,NA,NA,95.24,70.92,71.18,132.129795918367,113.619591836735,139.238367346939,112.620769230769,91.0380769230769,103.245961538462,0.52884615,0.47115385,NA,98.8654563210227,88.7551020408163,NA,-4.36861017400568,2.11173263861209,NA,9.93224209872159,-0.018035820552281,NA,0.797972708940506,1.30735179409385,NA,1.45085947080092,2.66806488590581,NA,0.26530612,0.6,0.44230769,0.76923077,0.75757576,0.76086957,0.52884615,19.65822785,NA,0.52884615,0.47115385,NA,99.1094460227273,88.9868263711735,NA,-3.39646301269531,3.33230559679927,NA,8.35932006835938,-1.85364843874562,NA,0.797972708940506,1.30735179409385,NA,1.45085947080092,2.66806488590581,0.29787234,0.56140351,0.44230769,0.78571429,0.75,0.76086957,0.54807692,15,88.9862223307292,21.0891540527344,0,0,105.856,7,0.46666667,"2024-08-19",0
"Joe Boyle",29608,"2024-08-13","@NYM",10,2024,"OAK","A",24,0,0,9,1,1,0,0,0,0,0,0,4,23,7,4,4,0,3,0,1,1,0,6,13.5,6.75,15.75,2,0,0,3,5,5,0,0,0,0,0.26086957,0.13043478,0.13043478,4.4651241623349,0,0.368421052631579,2.5,0.538461538461538,0.63636364,3.1664797782898,5.8335202217102,5.05649028606713,232.334658747697,79.6860822866131,123.94771998127,0.6,0.384615384,0.23076923,0.384615384,0,0,7,15.75,31,54,85,-0.215281993150711,-0.479086011648178,0.263804018497467,-3.13100004196167,-0.340511173009872,0.870908319950104,0.541440010070801,0.815199971199036,2.61440014839172,1,1,-0.236668929457664,-0.0105235570752981,0,0,0.68235294,99.17241379,0.31764706,89.25925926,NA,NA,-1.10563313961029,-1.33749663829803,NA,-1.90626403381085,-4.95369125295568,NA,0.31111111,0.625,0.45882353,0.5,0.76,0.66666667,0.47058824,0.7826087,0.15294118,4,6,3,0,7,6,13,0.30769231,0.46153846,0.23076923,0,0.53846154,0.46153846,5.00246709153967,37,NA,NA,NA,60.97493,64.71961,50.41095,37.62304,70.12037,36.73309,55.38158,67.18632,46.77143,-0.20893,3.7637,NA,NA,NA,98.66,85.2,87.72,130.48,70.82,98.4,108.767529411765,80.6322352941176,91.1124705882353,0.68235294,0.31764706,NA,99.1965500404095,89.2481463396991,NA,-3.35354298558728,1.27939676355433,NA,9.63646198141164,0.0658541917800903,NA,-1.13583476468921,-1.36767356097698,NA,-1.95833580118829,-5.06545763324808,NA,0.28947368,0.59574468,0.45882353,0.45454545,0.75,0.66666667,0.55294118,18.66129032,NA,0.68235294,0.31764706,NA,99.1551808324353,89.1945619936343,NA,-3.10804853768184,1.67949492843063,NA,8.56811681287042,-1.25693879304109,NA,-1.13583476468921,-1.36767356097698,NA,-1.95833580118829,-5.06545763324808,0.26315789,0.61702128,0.45882353,0.4,0.75862069,0.66666667,0.55294118,13,89.8277775691106,15.7251164362981,0,0,102.288,6,0.46153846,"2024-08-13",0
"Joe Boyle",29608,"2024-05-05","MIA",10,2024,"OAK","H",24,0,1,36,1,1,0,0,0,0,0,0,1,7,1,4,4,1,3,0,0,0,0,1,9,27,9,0.33333333,0,0,1,2,0,1,0,0,0,0.14285714,0.42857143,-0.28571429,12.5176678552075,9,0.25,4,0,0,23.1664797782898,12.8335202217102,13.1904965907335,929.338634990789,595.070363952693,326.302027882092,0.5,0,0.333333333,0.666666666,0.5,0.5,0,0,19,16,35,-0.32558399438858,-0.392735958099365,0.0671519860625267,-3.54670000076294,-0.388892531394958,1.48912000656128,0.870000004768372,0.870000004768372,0.358000010251999,1,1,-0.189968660473824,-0.0286732172485963,0,0,0.62857143,95.40909091,0.28571429,85.5,0.08571429,78.66666667,-2.24259543418884,0.782754898071289,-0.0476108342409134,-10.1936156099493,7.82754898071289,-1.58702780803045,0.20833333,0.63636364,0.34285714,0.6,0.71428571,0.66666667,0.31428571,0.28571429,0.11428571,1,1,1,1,1,1,3,0.33333333,0.33333333,0.33333333,0.33333333,0.33333333,0.33333333,19.4932746429578,20,20,33.71739,23.46168,20,56.02165,20,28.04798,56.58442,36.15305,20,51.9889,20,3.02151,8.60936,112.12,50.18,46.34,84.2,27.14,19.7,113.82,76.76,89.12,95.056,43.292,41.8177142857143,0.62857143,0.28571429,0.08571429,95.3090931285511,85.4900024414062,78.7333374023438,-4.11866933649237,0.711920166015625,3.77681446075439,11.0678114457564,-0.321590042114258,-8.52997271219889,-2.26688729599118,0.792580232024193,-0.0484858676791191,-10.3040331635963,7.92580232024193,-1.61619558930397,0.11764706,0.55555556,0.34285714,0,0.8,0.66666667,0.51428571,17.25,0.08571429,0.62857143,0.28571429,79.0643666585286,95.6556618430398,85.8140930175781,4.65047645568848,-3.46973627263849,1.57334451675415,-10.2298304239909,9.41516321355646,-1.80427932739258,-0.0484858676791191,-2.26688729599118,0.792580232024193,-1.61619558930397,-10.3040331635963,7.92580232024193,0.11764706,0.55555556,0.34285714,0,0.8,0.66666667,0.51428571,3,86.0602010091146,37.735356648763,1,0.33333333,104.685,1,0.33333333,"2024-05-05",0
"Joe Boyle",29608,"2024-04-29","PIT",10,2024,"OAK","H",24,1,0,1.8,1,1,0,0,0,0,0,0,5,19,1,1,1,0,4,0,0,2,0,4,7.2,7.2,1.8,1,0,0,3,6,2,0,0,0,0,0.21052632,0.21052632,0,6.46501439758444,0,0.0666666666666667,1,0.0909090909090909,0.8,3.96647977828979,-2.1664797782898,5.78088986575604,46.4669317495394,100.301453553256,141.969020936926,0.5,0.181818181,0.272727272,0.545454545,0,0,5,9,46,45,91,0.152752012014389,-0.322107970714569,0.474859982728958,1.26530003547668,0.138739019632339,1.33344757556915,0.996640026569366,0.870000004768372,0.581200003623962,1,1,0.143076345324516,-0.0285221515091425,0,0,0.6043956,97.6,0.34065934,87.06451613,0.05494505,81,1.19214284420013,1.39435303211212,-0.22794383764267,2.16753244400024,4.4979130068133,-4.55887675285339,0.12727273,0.52777778,0.28571429,0.57142857,0.84210526,0.76923077,0.3956044,0.47368421,0.06593407,1,7,3,1,7,3,11,0.09090909,0.63636364,0.27272727,0.09090909,0.63636364,0.27272727,4.00738702441805,60,20,44.06519,20,39.42581,65.29441,28.28363,33.48593,64.8687,28.64868,29.07927,64.65714,20,1.42514,6.2148,114.94,0.459999999999994,13.38,93.5,77.68,75.3,119.8,76.2,98.42,103.637362637363,72.932967032967,79.7738461538462,0.6043956,0.34065934,0.05494505,97.5254527698864,86.9516129032258,80.9,-2.30359122536399,1.58327767156786,3.92727012634277,10.5400645862926,-0.0378627277189685,-8.85402984619141,1.32100582122803,1.39134129881859,-0.232458431273699,2.40182876586914,4.48819773812448,-4.64916862547398,0.14893617,0.43181818,0.28571429,0.57142857,0.84210526,0.76923077,0.48351648,17.98591549,0.05494505,0.6043956,0.34065934,81.1219604492187,97.7572531960227,87.1744266633064,4.12204399108887,-1.99289523037997,2.03768957814863,-10.5239074707031,8.97459272904829,-1.86543938421434,-0.232458431273699,1.32100582122803,1.39134129881859,-4.64916862547398,2.40182876586914,4.48819773812448,0.14,0.46341463,0.28571429,0.57142857,0.84210526,0.76923077,0.45054945,11,94.1502574573864,25.0489196777344,1,0.09090909,105.681,6,0.54545455,"2024-04-29",0
"Joe Boyle",29608,"2024-04-24","@NYY",10,2024,"OAK","A",24,0,1,6,1,1,0,0,0,0,0,0,3,17,3,2,2,1,4,0,0,0,1,6,18,12,9,1.5,0.666666666,0,3,4,0,0,2,0,0,0.35294118,0.23529412,0.11764706,5.14513392096835,3,0.230769230769231,2.33333333333333,0.333333333333333,0.89285714,7.49981311162313,-1.49981311162313,5.18249098658562,154.889772498465,191.352676647597,127.082311176977,0.75,0,0.428571428,0.571428571,0,0.25,0,0,35,50,85,-0.087743952870369,-0.312491983175278,0.22474804520607,-0.52700001001358,-0.05472481995821,0.941666662693024,0.695733368396759,0.870000004768372,0.592000007629395,1,1,-0.123780131340027,0.0306007119694456,0,0,0.42352941,96.88888889,0.50588235,87.06976744,0.07058824,81.5,-2.18558669090271,0.0700904279947281,0.122904404997826,-6.07107414139642,0.163000995336577,2.04840674996376,0.33898305,0.61538462,0.42352941,0.65,0.9375,0.77777778,0.30588235,0.76470588,0.09411765,2,3,2,3,3,1,7,0.28571429,0.42857143,0.28571429,0.42857143,0.42857143,0.14285714,5.10162081681914,37,48.10903,51.52347,45.81092,26.63973,52.76145,20,60.37028,74.27268,54.14529,43.44621,66.67956,33.96104,0.53257,4.87595,116.08,96.62,112.08,89.9,65.46,50.08,121.135348837209,103.140465116279,124.489302325581,107.549411764706,86.7214117647059,92.0988235294118,0.42352941,0.50588235,0.07058824,96.8805541992188,87.0255836664244,81.3333333333333,-1.22397751278347,3.19600659747456,3.89958985646566,8.80686865912543,-0.985825649527616,-8.8025582631429,-2.21102127432823,1.15990387648344,0.123677734285593,-6.14172576202287,2.69745087554288,2.06129557142655,0.29166667,0.59459459,0.42352941,0.5,0.95454545,0.77777778,0.43529412,19.08955224,0.07058824,0.42352941,0.50588235,81.6328837076823,97.1707763671875,87.3026492096657,3.87236181894938,-1.32145849863688,3.17969743595567,-10.4805533091227,7.81634351942274,-2.32325443001681,0.123677734285593,-2.21102127432823,1.15990387648344,2.06129557142655,-6.14172576202287,2.69745087554288,0.27659574,0.60526316,0.42352941,0.46153846,0.95652174,0.77777778,0.44705882,7,79.4478672572545,13.211291721889,1,0.14285714,103.152,3,0.42857143,"2024-04-24",0
"Joe Boyle",29608,"2024-04-19","@CLE",10,2024,"OAK","A",24,0,1,10.5,1,1,0,0,0,0,0,0,6,25,5,7,7,1,4,0,0,0,0,3,4.5,6,7.5,0.75,0,0,6,5,7,1,0,0,0,0.12,0.16,-0.04,6.57846988401489,1.5,0.238095238095238,1.5,0.235294117647059,0.26315789,6.33314644495646,4.16685355504354,5.42648678347468,271.057101872313,161.288593550409,133.152333594082,1.2,0.388888888,0.333333333,0.277777777,0.2,0.2,1,1.5,38,49,87,-0.302519977092743,-0.54587197303772,0.243352025747299,-4.11999988555908,-0.434599161148071,0.689246118068695,0.733533322811127,0.923600018024445,0.0263999998569489,1,1,-0.0976031944155693,-0.341311105080843,0,0,0.51724138,96.73333333,0.34482759,86.46666667,0.13793103,80.25,0.540964186191559,-1.31717216968536,0.442443549633026,1.20214263598124,-4.39057389895121,3.68702958027522,0.22,0.67567568,0.4137931,0.36363636,0.92,0.75,0.42528736,0.6,0.10344828,7,7,4,3,11,4,18,0.38888889,0.38888889,0.22222222,0.16666667,0.61111111,0.22222222,9.77216891927249,33,27.87323,47.45044,25.70448,38.3746,60.56789,31.46918,43.78308,55.10524,45.49744,35.35109,56.36352,31.84314,1.03549,5.63033,112.02,65.02,75.78,91.24,69.66,65.96,104.249333333333,57.9453333333333,72.6686666666667,98.592183908046,64.9804597701149,69.627816091954,0.51724138,0.34482759,0.13793103,96.6955512152778,86.4200032552083,80.1833343505859,-2.12504340277778,2.29207865397135,4.12392743428548,9.44118923611111,-1.14295171101888,-8.5085194905599,0.580920938402414,-1.35297065973282,0.446578502655029,1.29093541867203,-4.5099021991094,3.72148752212524,0.18181818,0.65116279,0.4137931,0.25,0.89285714,0.75,0.49425287,16.19354839,0.13793103,0.51724138,0.34482759,80.4764506022135,96.9891276041667,86.6945231119792,4.5546293258667,-2.02986704508464,2.61718953450521,-10.2843507130941,8.37243245442708,-2.39998143513997,0.446578502655029,0.580920938402414,-1.35297065973282,3.72148752212524,1.29093541867203,-4.5099021991094,0.20930233,0.61363636,0.4137931,0.33333333,0.88888889,0.75,0.50574713,18,90.3793470594618,11.9571533203125,0,0,104.747,9,0.5,"2024-04-19",0
