"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","CH%","CHv","XX%","wFB","wSL","wCB","wCH","wFB/C","wSL/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSL%","pfxCU%","pfxCH%","pfxvFA","pfxvSL","pfxvCU","pfxvCH","pfxFA-X","pfxSL-X","pfxCU-X","pfxCH-X","pfxFA-Z","pfxSL-Z","pfxCU-Z","pfxCH-Z","pfxwFA","pfxwSL","pfxwCU","pfxwCH","pfxwFA/C","pfxwSL/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piSL%","pivCH","pivCU","pivFA","pivSL","piCH-X","piCU-X","piFA-X","piSL-X","piCH-Z","piCU-Z","piFA-Z","piSL-Z","piwCH","piwCU","piwFA","piwSL","piwCH/C","piwCU/C","piwFA/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Will Smith",8048,"2024-08-25","PHI",7,2024,"KCR","H",34,0,0,45,1,0,0,0,0,0,0,0,1,8,4,5,5,1,0,0,1,0,0,1,9,0,36,1,0,0,2,2,2,0,0,0,0,0.125,0,0.125,4.23788533401489,9,0.571428571428571,4,0.6,0,17.1664797782898,27.8335202217102,7.19049659073353,1070.02141739354,424.903415158802,177.036610333989,1,0.333333333,0.333333333,0.333333333,0,0.5,0,0,9,18,27,-0.0722079947590828,-0.0767519995570183,0.00454400014132261,-4.46600008010864,-0.43720018863678,0.263300001621246,0.284799993038177,0.284799993038177,0,1,1,-0.292619496583939,0.0183772090242406,0,1,0.22222222,91.33333333,0.59259259,81.1875,0.03703704,78,0.14814815,86,NA,-1.56387436389923,-1.29868185520172,0.0389156937599182,0.149711072444916,-26.0645727316539,-8.11676159501076,3.89156937599182,3.74277681112289,0.35714286,0.76923077,0.55555556,0.4,0.9,0.73333333,0.48148148,0.75,0.14814815,4,1,1,1,2,3,6,0.66666667,0.16666667,0.16666667,0.16666667,0.33333333,0.5,16.2697615555445,29.02001,32.17552,35.61627,80,35.38693,80,24.50885,40.82353,20,54.99446,47.50139,58.60895,43.5377,46.00551,46.18137,0.52689,4.86743,89.42,98.76,82.5,89.38,137.06,139.68,82.02,77,55.44,118.3,102.26,120.08,104.888148148148,97.417037037037,100.874074074074,0.22222222,0.59259259,0.03703704,0.14814815,91.2999979654948,81.0374984741211,77.5,85.9749984741211,4.5087776184082,-2.44215846061707,-3.41840815544128,8.19239711761475,10.0482648213704,1.19268393516541,-4.60448217391968,7.44228458404541,-1.58656786382198,-1.29994759336114,0.039364367723465,0.193290375173092,-26.4427977303664,-8.12467245850712,3.9364367723465,4.8322593793273,0.30769231,0.78571429,0.55555556,0.5,0.81818182,0.73333333,0.51851852,19.68421053,0.14814815,0.03703704,0.22222222,0.59259259,86.0920257568359,77.6044006347656,91.406982421875,81.1223907470703,8.11052989959717,-3.84686994552612,4.28521982828776,-3.04728198051453,5.87879514694214,-6.42898988723755,8.86114311218262,-0.454349160194397,0.193290375173092,0.039364367723465,-1.58656786382198,-1.29994759336114,4.8322593793273,3.9364367723465,-26.4427977303664,-8.12467245850712,0.30769231,0.78571429,0.55555556,0.5,0.81818182,0.73333333,0.51851852,6,88.1692504882812,19.0922826131185,1,0.16666667,106.43,3,0.5,"2024-08-25",0
"Will Smith",8048,"2024-08-24","PHI",7,2024,"KCR","H",34,0,0,18,1,0,0,0,0,0,0,0,1,6,3,2,2,0,0,0,0,0,0,2,18,0,27,2,0,0,3,0,1,0,0,0,0,0.33333333,0,0.33333333,0.358451308518171,0,0.5,3,0.75,0.33333333,-0.833520221710205,18.8335202217102,-0.833520221710205,428.008566957417,-22.5648885419948,-22.5814263197472,3,0.25,0.75,0,0,0,0,0,3,15,18,-0.00648199999704957,-0.00789199955761433,0.00141000002622604,-1.46700000762939,-0.143612325191498,0.0247666668146849,0.0180999990552664,0.0361999981105328,0,1,1,-0.101063847541809,-0.160658896400715,0,0,0.22222222,91,0.55555556,81.7,0.11111111,77,0.11111111,86,NA,-1.05349802970886,0.328923910856247,0.0778313875198364,-0.600064039230347,-26.3374507427216,3.28923910856247,3.89156937599182,-30.0032019615173,0.63636364,0.85714286,0.72222222,0.71428571,0.83333333,0.76923077,0.38888889,1,0.16666667,1,2,1,0,3,1,4,0.25,0.5,0.25,0,0.75,0.25,1.65566659843208,64.08488,30.32649,67.04015,80,32.08856,80,25.13484,45.06165,20,48.16072,54.62453,44.16735,49.6482,49.38499,47.22556,0.14727,4.298,83.32,97.16,82.78,85,132.74,130.42,86.6,79.02,60.96,120.8,90.72,112.1,105.057777777778,93.5044444444445,99.5133333333333,0.22222222,0.55555556,0.11111111,0.11111111,91.25,81.5400024414062,77.1999969482422,86.0999984741211,3.74481463432312,-2.87106075286865,-3.13715982437134,7.75477504730225,10.0732345581055,2.01057243347168,-5.01071548461914,7.02981042861938,-1.06614404544234,0.332240350544453,0.0787287354469299,-0.605279475450516,-26.6536011360586,3.32240350544453,3.9364367723465,-30.2639737725258,0.66666667,0.77777778,0.72222222,0.5,1,0.76923077,0.5,20.75,0.11111111,0.11111111,0.22222222,0.55555556,86.1259002685547,77.2259979248047,91.2732009887695,81.5489807128906,7.4750599861145,-3.77131009101868,3.20641255378723,-3.58759498596191,5.59416007995605,-6.80144500732422,8.93634223937988,0.539140319824219,-0.605279475450516,0.0787287354469299,-1.06614404544234,0.332240350544453,-30.2639737725258,3.9364367723465,-26.6536011360586,3.32240350544453,0.6,0.875,0.72222222,0.5,1,0.76923077,0.44444444,4,85.1017150878906,10.8946466445923,0,0,90.9305,0,0,"2024-08-24",0
"Will Smith",8048,"2024-08-20","LAA",7,2024,"KCR","H",34,0,0,18,1,0,0,0,0,0,0,0,1,6,1,2,2,0,1,0,1,0,0,1,9,9,9,1,0,0,0,0,2,0,0,1,0,0.16666667,0.16666667,0,5.73367352628778,0,0.25,2,0.333333333333333,0.33333333,7.1664797782898,10.8335202217102,7.1664797782898,428.008566957417,176.309913102804,176.439130411058,0,1,0,0,0,0,0,0,13,18,31,-0.0586379989981651,-0.0723019987344742,0.0136639969423413,-1.46599996089935,-0.143514439463615,0.266066670417786,0.321000009775162,0.321000009775162,NA,0,1,-0.158090636134148,-0.0622977308345149,0,0,0.16129032,91.8,0.25806452,80.625,0.32258065,77.5,0.25806452,86.75,NA,0.375318288803101,-0.421242535114288,-0.653176724910736,-0.0262922458350658,7.50636577606201,-5.2655316889286,-6.53176724910736,-0.328653072938323,0.23529412,0.64285714,0.41935484,0.75,1,0.92307692,0.4516129,0.33333333,0.03225806,1,1,1,1,1,1,3,0.33333333,0.33333333,0.33333333,0.33333333,0.33333333,0.33333333,24.7398374452844,27.78424,39.07571,37.81068,57.40339,38.35553,59.06763,21.24729,39.62652,20,20,41.05581,20,20,37.32166,20,2.19013,7.36229,85.44,75.3,69.44,96.6,104.4,106.02,78.78,170.7,155.4,129.4,30.42,31.66,99.9946666666667,85.752,83.02,0.16129032,0.25806452,0.32258065,0.25806452,91.9200012207031,80.6125030517578,77.4099975585937,86.6875,4.60148162841797,-3.33916544914246,-4.62358131408691,8.98896884918213,10.3642929077148,-0.712763071060181,-5.20888595581055,8.23684406280518,0.381453111767769,-0.432695522904396,-0.659757778048515,-0.027904249727726,7.62906223535538,-5.40869403630495,-6.59757778048515,-0.348803121596575,0.21428571,0.58823529,0.41935484,0.66666667,1,0.92307692,0.5483871,20.72,0.25806452,0.32258065,0.16129032,0.25806452,86.9633407592773,77.6998413085937,92.2249206542969,80.8835983276367,8.47619724273682,-5.46186294555664,3.94700584411621,-4.11397266387939,6.58691120147705,-7.11148071289062,9.09514770507812,-2.19781374931335,-0.027904249727726,-0.659757778048515,0.381453111767769,-0.432695522904396,-0.348803121596575,-6.59757778048515,7.62906223535538,-5.40869403630495,0.21428571,0.58823529,0.41935484,0.66666667,1,0.92307692,0.5483871,3,82.2782669067383,24.6973533630371,0,0,109.037,1,0.33333333,"2024-08-20",0
"Will Smith",8048,"2024-08-13","@MIN",7,2024,"KCR","A",34,0,0,20.2500048279774,1,0,0,0,0,0,0,0,1.1,7,3,3,3,2,0,0,0,0,0,1,6.75000160932579,0,20.2500048279774,1,0,0,3,2,1,0,0,0,0,0.14285714,0,0.14285714,3.68103521943734,13.5000032186516,0.428571428571429,2.25000053644193,0.25,0,21.1664840698252,-0.916479241847863,3.93449257073111,481.509752627965,524.340922665984,96.0351437366616,1.5,0.166666666,0.5,0.333333333,0,1,0,0,2,15,17,-0.0210359785705805,-0.0213080234825611,0.000272045144811273,-4.02799987792969,-0.422222226858139,0.0312571413815022,0.0662666708230972,0.178800001740456,0,1,1,-0.197328448295593,-0.475669069738141,0,0,0.11764706,91.5,0.35294118,80.5,0.17647059,75.33333333,0.35294118,85.66666667,NA,0.0389156937599182,-1.20370948314667,-1.37149059772491,-0.140083253383636,1.94578468799591,-20.0618247191111,-45.7163532574971,-2.33472088972727,0.77777778,0.5,0.64705882,0.57142857,1,0.72727273,0.47058824,1,0.17647059,6,0,0,1,2,3,6,1,0,0,0.16666667,0.33333333,0.5,22.4455248275403,71.38879,40.87824,80,80,37.84641,80,68.43427,36.78345,80,60.09355,41.70518,57.1067,71.70848,41.24325,80,-1.22326,2.2422,90.32,113.1,102.74,90.24,130.42,127.16,73.82,136.86,96.16,116.62,118.74,126.08,97.6470588235294,120.942352941176,114.512941176471,0.11764706,0.35294118,0.17647059,0.35294118,91.0500030517578,80.5666656494141,75.2999979654948,85.6166687011719,3.83836770057678,-2.05569934844971,-4.31191444396973,8.54369099934896,9.22107791900635,0.208428382873535,-6.635191599528,6.07667287190755,0.039364367723465,-1.20286009460688,-1.37230390310287,-0.139631729573011,1.96821838617325,-20.0476682434479,-45.7434634367625,-2.32719549288352,0.71428571,0.6,0.64705882,0.4,1,0.72727273,0.58823529,17,0.35294118,0.17647059,0.11764706,0.35294118,85.4803670247396,75.1559041341146,90.9023971557617,80.3794657389323,8.36911201477051,-4.9564733505249,3.58926010131836,-2.77984491984049,4.89749177296956,-8.29726346333822,8.30384063720703,-1.08702437082926,-0.139631729573011,-1.37230390310287,0.039364367723465,-1.20286009460688,-2.32719549288352,-45.7434634367625,1.96821838617325,-20.0476682434479,0.75,0.55555556,0.64705882,0.5,1,0.72727273,0.52941176,6,84.6465962727865,-3.08022403717041,1,0.16666667,103.702,2,0.33333333,"2024-08-13",0
"Will Smith",8048,"2024-08-09","STL",7,2024,"KCR","H",34,0,1,54.0000563264481,1,0,0,0,0,0,1,0,0.1,3,1,2,2,0,1,0,0,0,0,0,0,27.000028163224,27.000028163224,0,0,0,1,0,1,0,0,0,0,0,0.33333333,-0.33333333,10.9178401874764,0,0.5,6.00000625849423,0.5,0,12.1664891660311,41.8335671604169,12.1664891660311,1284.02704021682,300.606897503953,300.827211911999,1,0.5,0.5,0,0,0,0,0,4,3,7,-0.154605999588966,-0.188999980688095,0.0343939736485481,-0.686000049114227,-0.0671561509370804,2.76259994506836,2.16620016098022,2.16620016098022,4.28259992599487,1,1,-0.0682467669248581,0.0122828189544107,0,1,0.14285714,91,0.42857143,78,0.42857143,77.33333333,NA,NA,NA,-0.120112672448158,-0.855437874794006,0.115586340427399,NA,-12.0112672448158,-28.5145958264669,3.85287801424662,NA,0.33333333,0.5,0.42857143,0,1,0.66666667,0.57142857,0.66666667,0.14285714,1,1,0,0,1,1,2,0.5,0.5,0,0,0.5,0.5,18.6397639309976,NA,NA,NA,80,39.55753,80,20,36.5487,20,20,33.43087,20,41.96127,33.04469,49.33921,0.62483,5.01434,NA,NA,NA,85.68,144.92,142.16,98.52,-113.14,-112.56,99.04,28.92,37.66,93.24,58.34,60.9857142857143,0.14285714,0.42857143,0.42857143,NA,90.6999969482422,78.3333333333333,77.1666666666667,NA,4.57337617874146,-3.27394040425619,-4.65531063079834,NA,10.4456758499146,-1.05651060740153,-5.86351140340169,NA,-0.123742401599884,-0.865363880991936,0.116317313164473,NA,-12.3742401599884,-28.8454626997312,3.87724377214909,NA,0.25,0.66666667,0.42857143,0,1,0.66666667,0.42857143,20,NA,0.42857143,0.14285714,0.42857143,NA,77.5497334798177,91.1184005737305,78.7149658203125,NA,-5.34546979268392,3.7821900844574,-4.04719988505046,NA,-7.67698987325033,9.3777904510498,-2.38916905721029,NA,0.116317313164473,-0.123742401599884,-0.865363880991936,NA,3.87724377214909,-12.3742401599884,-28.8454626997312,0.25,0.66666667,0.42857143,0,1,0.66666667,0.42857143,2,105.174835205078,6.92942762374878,1,0.5,107.606,2,1,"2024-08-09",0
"Will Smith",8048,"2024-08-07","BOS",7,2024,"KCR","H",34,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,7.34739574882223,0,0,0,0,1,3.1664797782898,-3.1664797782898,6.19049659073353,0,76.8725122804045,152.159040742638,0.5,0,0.333333333,0.666666666,0.5,0,0,0,4,7,11,0.0160120148211718,0,0.0160120148211718,0.533999979496002,0.0522760637104511,0.19986666738987,0.370999991893768,0.370999991893768,NA,0,1,0.0826173201203346,-0.00250383731563092,0,0,NA,NA,0.63636364,82,0.27272727,76,0.09090909,87,NA,NA,0.352867007255554,0.132020100951195,0.244372069835663,NA,5.04095724650792,4.40067003170649,24.4372069835663,0.2,0.66666667,0.45454545,1,1,1,0.54545455,1,0,1,1,1,1,1,1,3,0.33333333,0.33333333,0.33333333,0.33333333,0.33333333,0.33333333,-0.147011853529864,80,50.62793,80,80,47.0188,80,NA,NA,NA,59.08455,40.89306,32.86589,80,46.6049,67.17484,-1.92251,1.19333,76.7,166.34,175.12,96.32,151.68,154.92,NA,NA,NA,109.68,121.58,124.06,103.038181818182,133.858181818182,137.118181818182,NA,0.63636364,0.27272727,0.09090909,NA,81.8142874581473,76.0666656494141,86.6999969482422,NA,-2.49123437064035,-6.86317189534505,9.50178813934326,NA,0.387946435383388,-6.01223309834798,6.72918033599854,NA,0.338825531303883,0.133502695709467,0.247940421104431,NA,4.84036473291261,4.45008985698223,24.7940421104431,0,0.71428571,0.45454545,NA,1,1,0.63636364,17.75,0.09090909,0.27272727,NA,0.63636364,87.0161972045898,76.3093973795573,NA,82.085928780692,9.09578037261963,-7.64973004659017,NA,-3.23868288312639,5.29869985580444,-7.4950631459554,NA,-0.848543439592634,0.247940421104431,0.133502695709467,NA,0.338825531303883,24.7940421104431,4.45008985698223,NA,4.84036473291261,0,0.71428571,0.45454545,NA,1,1,0.63636364,3,75.7598164876302,22.4046401977539,0,0,96.2674,1,0.33333333,"2024-08-07",0
"Will Smith",8048,"2024-08-06","BOS",7,2024,"KCR","H",34,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,2,0,0,0,0,0,0.33333333,0,0.33333333,4.45139575020756,0,0,0,0,1,1.1664797782898,-1.1664797782898,4.19049659073353,0,27.1538118692049,102.403901559937,0,0,0,1,0,0,0,0,2,6,8,0.0417679995298386,0,0.0417679995298386,0.533999979496002,0.0522760637104511,0.542600035667419,0.703400015830994,0.703400015830994,NA,0,1,0.0771949142217636,-0.000217404483006819,0,0,0.25,92,0.5,81.75,0.125,77,0.125,87,NA,0.200305253267288,0.550543546676636,-0.0238054171204567,0.0389156937599182,10.0152626633644,13.7635886669159,-2.38054171204567,3.89156937599182,0,0.66666667,0.5,NA,0.75,0.75,0.75,0.66666667,0.125,1,0,1,0,1,1,2,0.5,0,0.5,0,0.5,0.5,-0.540978980584257,80,34.54658,80,71.92255,37.51296,80,28.31774,58.65206,20,80,58.58156,80,80,55.57841,80,-2.11152,0.90981,80.1,118.3,110.16,95.9,126,117.54,85.64,31.82,28.32,120.46,156.92,168.16,103.64,116.9525,119.6225,0.25,0.5,0.125,0.125,91.5999984741211,81.5749969482422,77.4000015258789,86.5999984741211,5.48433780670166,-3.26380038261414,-5.50333976745605,8.20935344696045,11.0281238555908,3.16309285163879,-4.91992568969727,7.88936281204224,0.202594328671694,0.599244266748428,-0.0242429338395596,0.039364367723465,10.1297164335847,14.9811066687107,-2.42429338395596,3.9364367723465,0,0.66666667,0.5,NA,0.75,0.75,0.75,18.4,0.125,0.125,0.25,0.5,86.7052993774414,77.5210037231445,91.6995468139648,81.6499252319336,8.00741004943848,-6.2774600982666,4.97786045074463,-3.88413000106812,6.62651014328003,-6.74245023727417,9.79931449890137,1.88852870464325,0.039364367723465,-0.0242429338395596,0.202594328671694,0.587887644767761,3.9364367723465,-2.42429338395596,10.1297164335847,14.697191119194,0,0.5,0.375,NA,1,1,0.75,2,93.2766265869141,28.9753570556641,0,0,96.6361,1,0.5,"2024-08-06",0
"Will Smith",8048,"2024-08-04","@DET",7,2024,"KCR","A",34,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,0,2,1,0,0,0,0,0.25,0,0.25,4.46147908401489,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,4.19049659073353,0,27.1538118692049,102.403901559937,0,0.333333333,0,0.666666666,0,0,0,0,3,9,12,0.0220319963991642,-0.0146959833800793,0.0367279797792435,0.479999989271164,0.0506329089403152,0.467700004577637,0.381999999284744,0.381999999284744,0.219200000166893,1,1,0.0367476344108582,0.0103594773777349,0,0,NA,NA,0.5,80.16666667,0.33333333,74.75,0.16666667,84.5,NA,NA,0.0156843774020672,0.0196182541549206,0.284230977296829,NA,0.261406290034453,0.490456353873014,14.2115488648415,0.28571429,0.6,0.41666667,0.5,1,0.8,0.41666667,0.5,0.08333333,0,0,3,1,2,0,3,0,0,1,0.33333333,0.66666667,0,2.87990519911323,80,35.29777,73.84695,66.06264,34.72827,66.69528,NA,NA,NA,54.21008,27.35143,60.37128,64.31632,29.97364,66.46896,-0.76401,2.93108,87.5,147.82,143.06,87.7,120.32,118.92,NA,NA,NA,105.58,116.28,118.4,96.6066666666667,122.883333333333,122.683333333333,NA,0.5,0.33333333,0.16666667,NA,80.1333312988281,74.5999984741211,84.0999984741211,NA,-2.05679527918498,-3.42290091514587,6.86722850799561,NA,1.20360167821248,-5.29878950119019,7.43381643295288,NA,-0.00371162220835686,0.0194370970129967,0.287813171744347,NA,-0.061860370139281,0.485927425324917,14.3906585872173,0,0.625,0.41666667,NA,0.8,0.8,0.66666667,20.25,0.16666667,0.33333333,NA,0.5,84.2261047363281,74.7090301513672,NA,80.243418375651,6.78629493713379,-3.4781699180603,NA,-2.43092823028564,6.21421003341675,-6.57242250442505,NA,-0.0335876842339834,0.287813171744347,0.0194370970129967,NA,-0.00371162220835686,14.3906585872173,0.485927425324917,NA,-0.061860370139281,0,0.625,0.41666667,NA,0.8,0.8,0.66666667,3,80.7169596354167,33.2548573811849,0,0,91.1488,0,0,"2024-08-04",0
"Will Smith",8048,"2024-08-01","@DET",7,2024,"KCR","A",34,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,2,18,9,0,2,0,0,0,1,0,0,0,0,0,0.5,0.25,0.25,3.75272908401489,0,0,1,0,1,2.1664797782898,-2.1664797782898,3.67848818451166,0,52.0131620748047,89.6663768027962,0,0,0,1,0,0,0,0,7,10,17,0.00281200022436678,-0.00165599992033094,0.0044680000282824,0.480000019073486,0.0506329089403152,0.0449599996209145,0.0791999995708466,0.0791999995708466,NA,0,1,0.0273742601275444,0.0351702293759364,0,0,0.35294118,90.33333333,0.41176471,79,0.05882353,76,0.17647059,85.33333333,NA,0.151214078068733,0.14269745349884,-0.0344077162444592,0.209018498659134,2.52023463447889,2.03853504998343,-3.44077162444592,6.9672832886378,0.18181818,0.66666667,0.35294118,0.5,0.75,0.66666667,0.35294118,0.5,0.11764706,0,1,0,1,0,0,1,0,1,0,1,0,0,1.41421080590574,62.06544,33.02747,68.17892,20,36.47213,20,56.35192,38.22513,69.95241,75.17937,61.20985,80,61.78694,47.29855,76.93678,-0.60687,3.16679,88.66,109.96,92.84,77.9,43.66,33.9,68.04,139.62,122.62,107.98,120.8,134.02,88.7047058823529,120.991764705882,116.84,0.35294118,0.41176471,0.05882353,0.17647059,90.2000020345052,79.1285749162946,75.9000015258789,85.2999979654948,3.73562812805176,-3.49100630623954,-3.1109778881073,8.18599764506022,9.49101448059082,3.77986744471959,-4.61714172363281,7.15363629659017,0.153187725692987,0.139819655567408,-0.0350487045943737,0.211249623447657,2.55312876154979,1.99742365096297,-3.50487045943737,7.04165411492189,0.22222222,0.5,0.35294118,0.5,0.75,0.66666667,0.47058824,15.46153846,0.17647059,0.05882353,0.35294118,0.41176471,85.4798380533854,76.1353988647461,90.4076843261719,79.2953055245536,8.15071678161621,-3.63212990760803,3.57418664296468,-3.94832720075335,6.08490308125814,-6.5719199180603,8.67583974202474,2.7954341343471,0.211249623447657,-0.0350487045943737,0.153187725692987,0.139819655567408,7.04165411492189,-3.50487045943737,2.55312876154979,1.99742365096297,0.125,0.55555556,0.35294118,0,0.8,0.66666667,0.52941176,1,80.0988311767578,57.4584045410156,0,0,80.0988,0,0,"2024-08-01",0
"Will Smith",8048,"2024-07-29","@CHW",7,2024,"KCR","A",34,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,6.03472908401489,0,0,0,0,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,76.8725122804045,114.543946394147,1,0.333333333,0.333333333,0.333333333,0,0,0,0,3,7,10,0.0506380014121532,0,0.0506380014121532,0.496999979019165,0.0512107163667679,0.665199995040894,1.04339993000031,1.04339993000031,0.903400003910065,1,1,0.0764397084712982,-0.00031523193843197,0,0,0.4,90.75,0.3,80.33333333,0.1,76,0.2,85.5,NA,0.486726522445679,0.0709863528609276,0.0389156937599182,0.156718850135803,12.168163061142,2.36621176203092,3.89156937599182,7.83594250679016,0.25,0.66666667,0.5,1,0.75,0.8,0.6,1,0.1,0,3,0,0,3,0,3,0,1,0,0,1,0,6.16501365589574,69.0714,33.96898,80,80,38.63261,80,80,41.08671,80,77.02864,42.2579,80,80,37.72055,80,-2.28146,0.6549,96.92,145.7,115.7,89.36,140.32,141.56,84.72,145.84,117.02,114.36,123.84,122.76,96.516,138.66,120.932,0.4,0.3,0.1,0.2,90.8499984741211,80.4666646321615,75.5,85.4499969482422,4.19835329055786,-2.9577522277832,-4.83756303787231,7.98148822784424,10.8745784759521,-1.04110479354858,-5.35114908218384,6.4459400177002,0.493020042777061,0.0714695975184441,0.039364367723465,0.200837686657906,12.3255010694265,2.38231991728147,3.9364367723465,10.0418843328953,0,0.71428571,0.5,NA,0.8,0.8,0.7,15.14285714,0.2,0.1,0.4,0.3,85.5993957519531,75.6418991088867,90.9669036865234,80.5835367838542,7.65817499160767,-5.66500997543335,3.48502492904663,-3.80378977457682,5.09517478942871,-6.94946002960205,9.82478713989258,-2.13574997584025,0.200837686657906,0.039364367723465,0.493020042777061,0.0714695975184441,10.0418843328953,3.9364367723465,12.3255010694265,2.38231991728147,0,0.71428571,0.5,NA,0.8,0.8,0.7,3,82.738515218099,15.8667882283529,0,0,86.2331,0,0,"2024-07-29",0
