"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","SF%","SFv","XX%","wFB","wSL","wCB","wSF","wFB/C","wSL/C","wCB/C","wSF/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_o_FS","pb_s_FS","pb_c_FS","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_s_FS","sp_l_FS","sp_p_FS","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxFS%","pfxSI%","pfxSL%","pfxvFA","pfxvFC","pfxvFS","pfxvSI","pfxvSL","pfxFA-X","pfxFC-X","pfxFS-X","pfxSI-X","pfxSL-X","pfxFA-Z","pfxFC-Z","pfxFS-Z","pfxSI-Z","pfxSL-Z","pfxwFA","pfxwFC","pfxwFS","pfxwSI","pfxwSL","pfxwFA/C","pfxwFC/C","pfxwFS/C","pfxwSI/C","pfxwSL/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCU%","piFA%","piFS%","piSI%","piSL%","pivCU","pivFA","pivFS","pivSI","pivSL","piCU-X","piFA-X","piFS-X","piSI-X","piSL-X","piCU-Z","piFA-Z","piFS-Z","piSI-Z","piSL-Z","piwCU","piwFA","piwFS","piwSI","piwSL","piwCU/C","piwFA/C","piwFS/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Reed Garrett",16866,"2024-09-28","@MIL",25,2024,"NYM","A",31,0,0,54.0000563264481,1,0,0,0,0,0,0,0,0.2,7,3,4,4,0,2,0,0,0,0,2,27.000028163224,27.000028163224,40.5000422448361,1,0,0,2,1,0,0,0,0,0,0.28571429,0.28571429,0,6.51930050490161,0,0.6,7.50000782311779,1,0.2,6.16648290753691,47.8335734189112,8.43449788259368,1362.45051533344,151.731081031458,205.615227790401,2,0,0.666666666,0.333333333,0,0,0,0,12,13,25,-0.0488100051879883,-0.0631680116057396,0.0143580054864287,-2.2720000743866,-0.233384698629379,0.28685000538826,0.229400008916855,0.229400008916855,0.139599993824959,1,1,-0.137838706374168,-0.0323199280031345,0,0,0.44,98.09090909,0.4,91.5,NA,NA,0.16,89.75,NA,-0.783326923847198,-0.438842922449112,NA,-0.264915943145752,-7.12115385315635,-4.38842922449112,NA,-6.6228985786438,0.13333333,0.6,0.32,0.5,0.66666667,0.625,0.4,0.57142857,0.12,1,2,0,1,1,1,3,0.33333333,0.66666667,0,0.33333333,0.33333333,0.33333333,3.16642099966088,20,56.30024,20,75.07448,52.99966,72.56588,20,54.67904,20,51.72377,53.83873,44.58557,45.18407,54.59255,60.34905,39.67031,55.55636,31.50853,0.76716,5.22783,101.92,56.7,60.3,126,118.26,147.8,106.94,120.86,147.06,115.62,65.58,90.1,112.92,152.64,167.08,111.3552,87.412,104.3616,0.32,0.32,0.16,0.12,0.08,98.2375030517578,92.625,89.8000030517578,97.2333374023438,86.5500030517578,-5.67220830917358,1.8491986989975,-7.44111728668213,-10.2042973836263,9.40118598937988,8.99026775360107,3.75512933731079,1.47762680053711,5.12764549255371,1.57305359840393,-0.95361378416419,-0.491470858454704,-0.271563734859228,0.154988594353199,0.0424786768853664,-11.9201723020524,-6.1433857306838,-6.7890933714807,5.16628647843997,2.12393384426832,0.16666667,0.46153846,0.32,0.5,0.66666667,0.625,0.52,21.61111111,NA,0.32,0.16,0.12,0.4,NA,97.8510513305664,89.4220275878906,96.8682657877604,91.0212585449219,NA,-5.17583608627319,-7.14527988433838,-10.0523401896159,4.05067291259766,NA,8.19458866119385,-0.0160442516207695,3.97789319356283,2.32786235809326,NA,-0.95361378416419,-0.271563734859228,0.154988594353199,-0.448992181569338,NA,-11.9201723020524,-6.7890933714807,5.16628647843997,-4.48992181569338,0.16666667,0.46153846,0.32,0.5,0.66666667,0.625,0.52,3,89.0425923665365,11.1832059224447,0,0,110.346,1,0.33333333,"2024-09-28",0
"Reed Garrett",16866,"2024-09-21","PHI",25,2024,"NYM","H",31,0,0,0,1,0,0,0,0,0,1,0,0.2,3,1,0,0,0,0,0,0,0,0,0,0,0,13.500014081612,0,0,0,2,1,0,0,0,0,0,0,0,0,4.72206241920756,0,0.333333333333333,1.50000156462356,0.333333333333333,1,3.1664797782898,-3.1664797782898,5.43449475334657,0,78.7896047094219,133.117981382682,2,0,0.666666666,0.333333333,0,0,0,0,3,7,10,0.0137799568474293,-0.102526009082794,0.116305962204933,-0.383000016212463,-0.0416530780494213,2.24186658859253,0.800400018692017,1.60080003738403,1.17559993267059,1,1,-0.020117836073041,0.0262644805333077,0,0,0.6,97.66666667,0.3,90.66666667,NA,NA,0.1,89,NA,0.356039077043533,-0.217765867710114,NA,-0.0238054171204567,5.93398461739222,-7.25886225700378,NA,-2.38054171204567,0.4,0.8,0.6,1,1,1,0.5,0.66666667,0,2,1,0,0,2,1,3,0.66666667,0.33333333,0,0,0.66666667,0.33333333,1.12690091326228,80,63.72466,80,20,68.32822,20,80,80,80,20,69.62374,20,20,63.18805,20,55.88993,67.42233,46.27162,-0.24051,3.71633,114.58,134.4,154.12,105.08,13.74,24.2,198.28,123.88,171.18,116.62,40,61.88,114.42,25.48,36.88,122.392,91.51,112.662,0.5,0.2,0.1,0.1,0.1,97.7599975585938,92.5,89.0999984741211,96.4000015258789,86.5999984741211,-5.3335391998291,2.1324667930603,-6.66931629180908,-10.7280759811401,8.22345352172852,10.0294738769531,4.76211738586426,-0.74889200925827,3.86602354049683,1.4371349811554,0.395391315221786,0.284555062651634,-0.0242429338395596,-0.0350487045943737,-0.506222903728485,7.90782630443573,14.2277531325817,-2.42429338395596,-3.50487045943737,-50.6222903728485,0.33333333,1,0.6,1,1,1,0.4,19.71428571,NA,0.5,0.1,0.1,0.3,NA,97.6050048828125,88.9136962890625,96.1996002197266,90.3344014485677,NA,-4.8890739440918,-6.86218023300171,-10.8252000808716,4.61719004313151,NA,8.9145378112793,-1.70044994354248,2.93870997428894,2.3651704788208,NA,0.395391315221786,-0.0242429338395596,-0.0350487045943737,-0.221667841076851,NA,7.90782630443573,-2.42429338395596,-3.50487045943737,-7.38892803589503,0.4,0.8,0.6,1,1,1,0.5,3,93.6819559733073,11.456179300944,0,0,104.26,1,0.33333333,"2024-09-21",0
"Reed Garrett",16866,"2024-09-19","PHI",25,2024,"NYM","H",31,0,0,0,1,0,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,1,13.500014081612,0,13.500014081612,1,0,0,0,2,0,0,0,0,0,0.33333333,0,0.33333333,4.45139575020756,0,0.333333333333333,1.50000156462356,0.5,1,0.166476649042681,-0.166476649042681,4.70250659915622,0,5.84812838738598,115.428957973168,0,0,0,1,0,0,1,13.500014081612,3,7,10,-0.00259202904999256,-0.0502699911594391,0.0476779639720917,-0.85999995470047,-0.0935290977358818,0.726466655731201,0.409099996089935,0.818199992179871,0.445600003004074,1,1,-0.0441573522984982,0.0405893577738442,0,0,0.1,99,0.8,88.75,NA,NA,0.1,90,NA,0.0389156937599182,0.516135811805725,NA,-0.797038972377777,3.89156937599182,6.45169764757156,NA,-79.7038972377777,0.4,0.6,0.5,0.5,0.66666667,0.6,0.5,0.66666667,0.2,0,1,1,0,1,1,2,0,0.5,0.5,0,0.5,0.5,-0.49525136049882,80,61.25223,80,NA,NA,NA,35.40715,59.75561,29.85482,52.01431,46.34911,44.17339,35.21608,47.48297,46.50425,50.46552,61.58882,44.1652,0.09649,4.22183,96.02,161.44,164.02,NA,NA,NA,139.8,82.34,112.24,108.54,113.08,134.6,101.9,112.2,111.74,122.254,102.458,124.076,0.1,0.3,0.1,NA,0.5,99.0999984741211,92.4333292643229,90.3000030517578,NA,86.4599975585938,-5.59933137893677,1.28177650769552,-6.7859468460083,NA,8.39853668212891,9.17370986938477,4.63439496358236,1.39708709716797,NA,0.437833309173584,0.039364367723465,0.290280867367983,-0.804897725582123,NA,0.23170318081975,3.9364367723465,9.67602891226609,-80.4897725582123,NA,4.634063616395,0.25,0.66666667,0.5,0,0.75,0.6,0.6,19.85714286,NA,0.1,0.1,NA,0.8,NA,98.8455963134766,90.0448989868164,NA,88.4113235473633,NA,-5.30111980438232,-6.50130987167358,NA,6.66043996810913,NA,8.06707954406738,0.205612003803253,NA,0.570319294929504,NA,0.039364367723465,-0.804897725582123,NA,0.521984048187733,NA,3.9364367723465,-80.4897725582123,NA,6.52480060234666,0.5,0.5,0.5,0.33333333,1,0.6,0.4,2,93.2208404541016,31.5002498626709,0,0,98.5856,1,0.5,"2024-09-19",0
"Reed Garrett",16866,"2024-09-16","WSN",25,2024,"NYM","H",31,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2.31606242325356,0,0,0,0,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,78.7896047094219,78.3097583844777,2,0,1,0,0,0,1,9,3,6,9,0.303692013025284,-0.00455834995955229,0.308250367641449,1.067999958992,0.116150081157684,3.87846684455872,2.69180011749268,2.69180011749268,NA,0,1,0.0669028162956238,0.0113992616121319,1,0,0.11111111,100,0.55555556,89,NA,NA,0.33333333,89.33333333,NA,-0.0879258811473846,0.333411335945129,NA,0.322360575199127,-8.79258811473846,6.66822671890259,NA,10.7453525066376,0.33333333,0.66666667,0.44444444,1,1,1,0.33333333,0.66666667,0,0,3,0,0,3,0,3,0,1,0,0,1,0,1.32001229239029,20,69.84296,20,NA,NA,NA,40.66423,54.04802,35.37994,80,50.60596,57.64165,20,56.2442,20,20.09414,63.0378,20,1.98335,7.05212,162.32,-53.5,-17.7,NA,NA,NA,119.12,91.92,115.7,123.62,113.06,166.1,102.58,-193.12,-141.22,121.208571428571,-7.27428571428572,30.4371428571429,0.11111111,0.22222222,0.33333333,NA,0.33333333,99.5999984741211,92.6500015258789,89.0666707356771,NA,86.2333374023438,-7.46721267700195,1.2407648563385,-6.02419217427572,NA,6.99218432108561,10.186333656311,4.71361637115479,-0.223866999149323,NA,3.39704322814941,-0.0897959321737289,0.10757814347744,0.328820705413818,NA,0.229861129075289,-8.97959321737289,5.37890717387199,10.9606901804606,NA,7.66203763584296,0.25,0.6,0.44444444,1,1,1,0.55555556,21.33333333,NA,0.11111111,0.33333333,NA,0.55555556,NA,99.5802001953125,89.0093688964844,NA,88.7409790039062,NA,-7.14210987091064,-5.84492301940918,NA,5.39219398498535,NA,8.63681983947754,-1.22461263338725,NA,2.85839595794678,NA,-0.0897959321737289,0.328820705413818,NA,0.337439272552729,NA,-8.97959321737289,10.9606901804606,NA,6.74878545105457,0.4,0.5,0.44444444,1,1,1,0.44444444,3,85.4209289550781,-0.557062387466431,0,0,88.5104,0,0,"2024-09-16",0
"Reed Garrett",16866,"2024-09-14","@PHI",25,2024,"NYM","A",31,0,0,0,1,0,0,0,0,0,0,1,0.2,4,1,0,0,0,1,0,0,0,0,2,27.000028163224,13.500014081612,13.500014081612,2,0,0,0,0,1,0,0,0,0,0.5,0.25,0.25,3.79922908401489,0,0.333333333333333,3.00000312924711,1,1,1.66647821366624,-1.66647821366624,1.66647821366624,0,42.3188665484039,42.0611351806182,0,1,0,0,0,0,0,0,11,12,23,-0.19853001832962,-0.400994002819061,0.202463984489441,-0.595000028610229,-0.0609319061040878,2.55640006065369,1.62290000915527,3.24580001831055,0.530999958515167,1,1,-0.0169334262609482,-0.0607265696783631,0,1,0.26086957,98.5,0.43478261,90.3,NA,NA,0.30434783,90,NA,0.155512660741806,-0.48371696472168,NA,-0.222537621855736,2.5918776790301,-4.8371696472168,NA,-3.17910888365337,0.25,0.71428571,0.39130435,0.25,0.8,0.55555556,0.30434783,0.75,0.17391304,1,0,0,0,0,1,1,1,0,0,0,0,1,5.39828795762725,60.08784,58.44394,66.78526,20,64.30829,20,20,57.40622,20,63.64557,44.97118,39.47596,20,50.04012,23.30346,24.91493,57.13826,20,1.68385,6.60287,122.76,134.48,148.84,125.96,42.8,84.26,191.14,6.89999999999999,76.26,114.04,85.78,122.54,126.36,56.76,81.04,133.890434782609,63.975652173913,100.298260869565,0.13043478,0.26086957,0.30434783,0.13043478,0.17391304,98.9666646321615,92.3333333333333,90.0428553989955,97.7999979654948,87.0999984741211,-5.93335914611816,1.43909613291423,-6.76388549804688,-10.1115519205729,8.35180759429932,9.57714525858561,3.73731835683187,0.896793978554862,5.04702345530192,0.458328515291214,0.112206477671862,-0.688271395862103,-0.227743551135063,0.0442044660449028,0.199157807976007,3.74021592239539,-11.471189931035,-3.25347930192947,1.47348220149676,4.97894519940019,0.21428571,0.66666667,0.39130435,0,0.83333333,0.55555556,0.39130435,21.31578947,NA,0.13043478,0.30434783,0.13043478,0.43478261,NA,98.6215006510417,89.6432146344866,97.4525960286458,89.8426574707031,NA,-5.28234990437825,-6.55854688371931,-9.7172368367513,4.83683471679687,NA,8.56677373250326,-0.545803001948765,3.57213656107585,1.27017593383789,NA,0.112206477671862,-0.227743551135063,0.0442044660449028,-0.489113587886095,NA,3.74021592239539,-3.25347930192947,1.47348220149676,-4.89113587886095,0.3125,0.57142857,0.39130435,0.4,0.75,0.55555556,0.30434783,1,103.103286743164,21.9285717010498,1,1,103.103,1,1,"2024-09-14",0
"Reed Garrett",16866,"2024-09-11","@TOR",25,2024,"NYM","A",31,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,1,1,1,0,0,0,0,0.25,0,0.25,2.72685408401489,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,30.1620045506571,66.5170884121943,1,0.333333333,0.333333333,0.333333333,0,0,0,0,4,6,10,0.0505579933524132,-0.00689599756151438,0.057453989982605,0.678999960422516,0.0717379823327065,0.639100015163422,0.803866684436798,1.38960003852844,0.497199982404709,1,1,0.049882560968399,0.0292255475480515,0,0,0.4,96.25,0.4,91,NA,NA,0.2,89.5,NA,0.299341231584549,0.0367257036268711,NA,-0.0717987865209579,7.48353078961372,0.918142590671778,NA,-3.5899393260479,0.16666667,1,0.5,1,0.75,0.8,0.4,0.5,0.1,1,1,1,2,0,1,3,0.33333333,0.33333333,0.33333333,0.66666667,0,0.33333333,2.82508216143325,NA,NA,NA,22.2412,59.7872,20,80,59.2717,80,80,51.01901,80,80,55.05323,80,80,58.34175,80,-1.9213,1.19514,NA,NA,NA,106.64,85.48,102.68,94.58,137.24,144.44,123.08,147.3,166,117.7,169.74,179.36,112.578,126.054,141.188,NA,0.3,0.2,0.4,0.1,NA,92.9333292643229,89.6500015258789,96.4749984741211,84.9000015258789,NA,2.36250464121501,-8.23277854919434,-9.0265531539917,7.67462778091431,NA,3.95215288798014,1.09540843963623,4.66482782363892,0.965033173561096,NA,-0.179033443331718,-0.0731270276010036,0.302934627979994,0.214739695191383,NA,-5.96778144439062,-3.65635138005018,7.57336569949985,21.4739695191383,0,0.83333333,0.5,NA,0.8,0.8,0.6,19.33333333,NA,NA,0.2,0.4,0.4,NA,NA,89.6574020385742,96.474723815918,90.9134979248047,NA,NA,-7.80155467987061,-8.57060527801514,4.4238748550415,NA,NA,-0.16448900103569,3.65731000900269,2.46775579452515,NA,NA,-0.0731270276010036,0.302934627979994,0.0357062518596649,NA,NA,-3.65635138005018,7.57336569949985,0.892656296491623,0,0.83333333,0.5,NA,0.8,0.8,0.6,3,84.9480997721354,13.6780319213867,0,0,100.006,1,0.33333333,"2024-09-11",0
"Reed Garrett",16866,"2024-09-08","CIN",25,2024,"NYM","H",31,0,0,0,1,0,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,3,20.2500048279774,0,0,3,0,0,0,0,1,0,0,0,0,0.75,0,0.75,-0.459145915985107,0,0,0,0,1,-1.33352129459407,1.33352129459407,-1.33352129459407,0,-30.6225217336826,-30.4360237233343,0,1,0,0,0,0,0,0,8,13,21,0.141688004136086,0,0.141688004136086,0.672999978065491,0.0731919482350349,1.3984500169754,1.70606672763824,1.46259999275208,2.26079988479614,1,1,0.101286984980106,3.0904408984081e-05,1,0,0.28571429,97.66666667,0.33333333,88.57142857,NA,NA,0.38095238,89.25,NA,0.0648176372051239,0.331062972545624,NA,0.694496035575867,1.08029395341873,4.72947103636605,NA,8.68120044469833,0.42857143,0.57142857,0.47619048,0.5,0.25,0.4,0.33333333,0.25,0.28571429,0,0,1,1,0,0,1,0,0,1,1,0,0,0.377671329858304,20,62.64616,20,32.17533,80,20,49.6331,61.0111,52.25661,40.72225,66.48043,37.49793,67.61476,61.63374,51.40782,47.9776,71.48757,27.23932,0.25106,4.45368,93.42,98.38,101.28,128.7,-12.2,25.28,119.78,82.9,96.2,118.16,83.16,114.28,123.1,111.48,131.7,118.321904761905,82.4504761904762,102.900952380952,0.0952381,0.14285714,0.38095238,0.19047619,0.19047619,97.0999984741211,93.1333312988281,89.1999969482422,97.5749969482422,85.3499984741211,-6.72844219207764,1.69872840245565,-8.15284729003906,-10.6308536529541,7.93269157409668,8.64556312561035,4.57492319742839,1.5617710351944,5.71208190917969,0.625315368175507,0.0151214338839054,0.318598710000515,0.702442485839128,0.0500645749270916,0.0164074786007404,0.756071694195271,10.6199570000172,8.78053107298911,1.25161437317729,0.410186965018511,0.38461538,0.625,0.47619048,0.6,0.2,0.4,0.38095238,17.6875,NA,0.14285714,0.38095238,0.14285714,0.33333333,NA,97.1477661132812,89.0443420410156,97.4696044921875,88.5593000139509,NA,-6.89276313781738,-7.7279200553894,-11.323366800944,5.97239303588867,NA,7.30652364095052,0.188725993037224,3.86625989278158,1.1035167830331,NA,-0.0332007221877575,0.702442485839128,0.0983867309987545,0.335006188601255,NA,-1.10669073959192,8.78053107298911,3.27955769995848,4.78580269430365,0.38461538,0.625,0.47619048,0.6,0.2,0.4,0.38095238,1,64.8304824829102,14.9443778991699,0,0,64.8305,0,0,"2024-09-08",0
"Reed Garrett",16866,"2024-09-06","CIN",25,2024,"NYM","H",31,0,0,0,1,0,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,3,20.2500048279774,0,0,3,0,0,1,0,0,0,0,0,0,0.75,0,0.75,-0.374583415985107,0,0,0,0,1,-1.33352129459407,1.33352129459407,-1.33352129459407,0,-30.6225217336826,-30.4360237233343,1,0,1,0,0,0,0,0,4,12,16,0.120731964707375,0,0.120731964707375,0.554000020027161,0.0602501332759857,1.22224998474121,1.47113335132599,0.757799983024597,2.26079988479614,1,1,0.0991287976503372,-0.000350342985077107,1,0,0.25,97.5,0.5,87.875,NA,NA,0.25,90.25,NA,0.103543967008591,0.797773957252502,NA,0.0983874052762985,2.58859917521477,9.97217446565628,NA,2.45968513190746,0.55555556,0.71428571,0.625,0.4,1,0.7,0.4375,0.5,0.1875,0,1,0,1,0,0,1,0,1,0,1,0,0,-1.83537599536877,41.05877,60.38179,28.83538,80,57.27665,80,80,60.33923,80,40.51108,47.12041,21.86528,56.73446,50.02092,72.27028,73.21418,60.01358,72.12267,-1.3168,2.10189,97.18,78.66,86.06,113.66,167.72,193.76,141.3,135.08,159.08,110.76,89.8,106.44,142.32,122.3,145.84,125.82875,114.85625,134.37625,0.1875,0.1875,0.25,0.0625,0.3125,97.7333374023438,91.9333292643229,90.25,97,85.6400024414063,-5.97712008158366,1.85011657079061,-6.12627649307251,-9.07678985595703,8.02242431640625,9.04423395792643,3.55529657999674,0.656236946582794,6.53376531600952,-0.788949298858643,0.0544858016073704,0.0808911807835102,0.0992186814546585,0.0501701384782791,0.72627592459321,1.81619338691235,2.69637269278367,2.48046703636646,5.01701384782791,14.5255184918642,0.42857143,0.77777778,0.625,0.33333333,0.85714286,0.7,0.5625,20.16666667,NA,0.1875,0.25,0.0625,0.5,NA,97.8868001302083,90.3682479858398,97.1630020141602,88.1104736328125,NA,-5.29699007670085,-5.66253519058228,-8.60805988311768,6.43065643310547,NA,8.09816678365072,-0.52947872877121,5.76408004760742,-0.243511110544205,NA,0.0544858016073704,0.0992186814546585,0.0501701384782791,0.80716710537672,NA,1.81619338691235,2.48046703636646,5.01701384782791,10.089588817209,0.57142857,0.66666667,0.625,0.25,1,0.7,0.5625,1,99.70361328125,-12.0432796478271,0,0,99.7036,1,1,"2024-09-06",0
"Reed Garrett",16866,"2024-09-03","BOS",25,2024,"NYM","H",31,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2,1,0,0,1,0,0,0,0,0,4.72206241920756,0,0,0,0,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,78.7896047094219,114.84853560366,2,0,0.666666666,0.333333333,0,0,4,36,2,8,10,0.172007977962494,-0.145265996456146,0.31727397441864,0.425999999046326,0.0463295243680477,4.60073328018188,1.94700002670288,3.89400005340576,0.137799993157387,1,1,0.027678532525897,0.00970854633464795,1,0,NA,NA,0.5,89.8,NA,NA,0.5,89.6,NA,NA,0.890431046485901,NA,0.265876322984695,NA,17.808620929718,NA,5.31752645969391,0.71428571,0,0.5,0.8,NA,0.8,0.3,1,0.1,1,2,0,1,2,0,3,0.33333333,0.66666667,0,0.33333333,0.66666667,0,1.12690091326228,NA,NA,NA,NA,NA,NA,80,51.48592,80,80,53.31286,80,41.22382,53.88624,47.91723,80,61.09988,80,-2.03714,1.02138,NA,NA,NA,NA,NA,NA,87.52,155.44,156.12,93.38,153.26,149.56,93.26,119.22,99.96,92.148,136.676,126.072,NA,0.3,0.5,NA,0.2,NA,92.5,89.5200012207031,NA,85.75,NA,0.98628576596578,-9.10447769165039,NA,7.660569190979,NA,4.78997993469238,2.27230072021484,NA,0.756335437297821,NA,0.833560328930616,0.269269935786724,NA,0.0787287354469299,NA,27.7853442976872,5.38539871573448,NA,3.9364367723465,0.66666667,0.25,0.5,0.75,1,0.8,0.4,21.71428571,NA,NA,0.5,NA,0.5,NA,NA,89.8666198730469,NA,90.1524597167969,NA,NA,-8.49784393310547,NA,4.34011611938477,NA,NA,0.642398405075073,NA,2.08411293029785,NA,NA,0.269269935786724,NA,0.912289064377546,NA,NA,5.38539871573448,NA,18.2457812875509,0.57142857,0.33333333,0.5,0.75,1,0.8,0.3,3,81.5319620768229,-5.94893900553385,0,0,87.6275,0,0,"2024-09-03",0
"Reed Garrett",16866,"2024-09-01","@CHW",25,2024,"NYM","A",31,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,1,0,0,0,0,0,0.33333333,0,0.33333333,1.87828464271067,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,30.1620045506571,66.5170884121943,1,0,0.5,0.5,0,0,1,9,5,9,14,0.140830010175705,0,0.140830010175705,0.496999979019165,0.0512107163667679,1.85660004615784,2.47760009765625,2.47760009765625,1.82039999961853,1,1,0.0759269222617149,-7.32075819446232e-05,1,0,0.28571429,98,0.42857143,91.83333333,NA,NA,0.28571429,89.75,NA,-0.0537159107625484,0.407834857702255,NA,0.3916295170784,-1.34289776906371,6.79724762837092,NA,9.79073792695999,0.44444444,0.4,0.42857143,0.25,1,0.5,0.35714286,0.33333333,0.21428571,0,1,1,1,1,0,2,0,0.5,0.5,0.5,0.5,0,-0.355073006517256,20,64.50543,21.36948,20,49.39196,20,20,42.22063,20,75.77451,45.35668,63.58825,20,55.90854,20,20,55.41915,20,2.46155,7.76942,103.34,23.88,30.56,90.32,49.3,51.04,94.6,15.62,17.4,121.46,184.26,229.62,95.14,67.78,75.74,104.77875,87.635,105.79875,0.14285714,0.35714286,0.28571429,0.14285714,0.07142857,98.1500015258789,92.8,89.9000015258789,97.3999938964844,87,-6.68965482711792,1.0382869720459,-8.03134822845459,-7.64544486999512,4.79321050643921,9.93678951263428,4.78908882141113,1.68490123748779,7.61570739746094,2.33700013160706,0.0425387844443321,0.43056221306324,0.397093821316957,-0.0984223820269108,-0.0350487045943737,2.12693922221661,8.6112442612648,9.92734553292394,-4.92111910134554,-3.50487045943737,0.5,0.33333333,0.42857143,0.25,1,0.5,0.42857143,18.54545455,NA,0.28571429,0.28571429,NA,0.42857143,NA,97.8054733276367,89.9049987792969,NA,91.8443806966146,NA,-6.45584964752197,-7.26891469955444,NA,2.59905576705933,NA,7.89032745361328,0.324158012866974,NA,3.44046847025553,NA,-0.0558835975825787,0.397093821316957,NA,0.395513508468866,NA,-1.39708993956447,9.92734553292394,NA,6.59189180781444,0.5,0.33333333,0.42857143,0.25,1,0.5,0.42857143,2,85.2427444458008,27.626407623291,0,0,99.848,1,0.5,"2024-09-01",0
