"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CB%","CBv","XX%","wFB","wSL","wCT","wCB","wFB/C","wSL/C","wCT/C","wCB/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_KC","pb_s_KC","pb_c_KC","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_KC","sp_l_KC","sp_p_KC","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFC%","pfxSI%","pfxKC%","pfxvFC","pfxvSI","pfxvKC","pfxFC-X","pfxSI-X","pfxKC-X","pfxFC-Z","pfxSI-Z","pfxKC-Z","pfxwFC","pfxwSI","pfxwKC","pfxwFC/C","pfxwSI/C","pfxwKC/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCU%","piFC%","piSI%","piSL%","pivCU","pivFC","pivSI","pivSL","piCU-X","piFC-X","piSI-X","piSL-X","piCU-Z","piFC-Z","piSI-Z","piSL-Z","piwCU","piwFC","piwSI","piwSL","piwCU/C","piwFC/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Brendon Little",21574,"2024-09-28","MIA",14,2024,"TOR","H",27,0,0,54.0000563264481,1,0,0,0,0,0,0,0,0.1,4,3,2,2,0,0,0,0,0,0,1,27.000028163224,0,81.0000844896721,1,0,0,1,1,1,0,0,0,0,0.25,0,0.25,2.72685408401489,0,0.75,9.00000938774135,1,0.33333333,-2.83352648020443,56.8335828066525,1.70250346990911,1357.86932586424,-72.358975922824,40.5086795538261,1,0.333333333,0.333333333,0.333333333,0,0,0,0,6,12,18,-0.207158014178276,-0.260749995708466,0.0535919964313507,-2.51600003242493,-0.26582145690918,2.01464986801147,0.764299988746643,1.52859997749329,0.701000034809113,1,1,-0.0920456796884537,-0.0107801350933217,0,1,0.77777778,94.42857143,NA,NA,0.11111111,93,0.11111111,86.5,NA,-1.36064088344574,NA,0.00212088599801064,-0.0611964836716652,-9.71886345318386,NA,0.106044299900532,-3.05982418358326,0.45454545,0.85714286,0.61111111,0.4,0.83333333,0.63636364,0.38888889,0.75,0.22222222,0,1,2,0,1,2,3,0,0.33333333,0.66666667,0,0.33333333,0.66666667,2.91811221567253,57.3603,56.87978,53.18934,45.90553,52.18381,29.62994,20,58.00291,20,50.06319,52.44704,42.50884,0.12149,4.25933,117.88,124.88,145.34,140.6,97.32,126.44,97.06,6.44,13.18,118.091111111111,108.657777777778,128.555555555556,0.11111111,0.77777778,0.11111111,92.75,94.3642839704241,86.75,-0.00528647378087044,9.90403420584542,0.374087274074554,2.89166641235352,-0.883779321398054,-4.09691524505615,0.00184798240661621,-1.37826033309102,-0.0623212568461895,0.0923991203308105,-9.84471666493586,-3.11606284230947,0.4,0.875,0.61111111,0.25,0.85714286,0.63636364,0.44444444,24.14285714,0.11111111,0.11111111,0.77777778,NA,86.5146026611328,92.5339965820312,94.1505911690848,NA,-0.470794022083282,-0.475861996412277,9.58044651576451,NA,-6.04917001724243,2.25753498077393,-2.22387163979667,NA,-0.0623212568461895,0.00184798240661621,-1.37826033309102,NA,-3.11606284230947,0.0923991203308105,-9.84471666493586,NA,0.4,0.875,0.61111111,0.25,0.85714286,0.63636364,0.44444444,3,92.0879313151042,16.5469258626302,1,0.33333333,100.512,2,0.66666667,"2024-09-28",0
"Brendon Little",21574,"2024-09-25","BOS",14,2024,"TOR","H",27,0,0,0,1,0,0,0,0,0,1,0,1,4,2,0,0,0,0,0,0,0,0,1,9,0,18,1,0.333333333,0,3,0,0,0,1,0,0,0.25,0,0.25,-0.797583415985107,0,0.5,2,0.666666666666667,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,27.1820729804239,27.173712862954,3,0,1,0,0,0,2,18,5,9,14,0.0442960001528263,-0.0530980154871941,0.0973940193653107,0.47900003194809,0.0506075024604797,0.888150036334991,0.893400013446808,0.893400013446808,0.251000016927719,1,1,-0.00991612859070301,0.0597905848656998,0,0,0.5,94.28571429,NA,NA,0.21428571,94,0.28571429,86,NA,0.417017340660095,NA,0.0151102766394615,-0.308960378170013,5.9573905808585,NA,0.503675887982051,-7.72400945425034,0.4,0.75,0.5,0.75,0.33333333,0.57142857,0.28571429,0.75,0.21428571,2,1,0,2,0,1,3,0.66666667,0.33333333,0,0.66666667,0,0.33333333,0.157477071304737,58.08351,65.2661,48.38382,20,50.79067,20,62.46658,40.66933,65.07928,45.0893,53.95543,41.49302,0.43049,4.72283,122.56,99.62,129.84,128.44,57.88,77.88,99.9,129.32,124.22,119.384285714286,94.0585714285714,113.79,0.21428571,0.5,0.28571429,93.8666687011719,94.2857142857143,85.8249969482422,0.857980171839396,8.24199676513672,-1.09410238265991,4.3530543645223,-0.711214474269322,-3.54041433334351,0.0151214338839054,0.424835864454508,-0.314446073025465,0.50404779613018,6.06908377792154,-7.86115182563663,0.16666667,0.75,0.5,0,0.66666667,0.57142857,0.57142857,19.6,0.28571429,0.21428571,0.5,NA,85.5365982055664,93.5746053059896,94.0121285574777,NA,-1.36250746250153,0.125227987766266,8.02543585641044,NA,-5.35108232498169,3.02019659678141,-2.09646660940988,NA,-0.314446073025465,0.0151214338839054,0.424835864454508,NA,-7.86115182563663,0.50404779613018,6.06908377792154,NA,0.16666667,0.75,0.5,0,0.66666667,0.57142857,0.57142857,3,84.5894266764323,-23.5874354044596,0,0,91.8063,0,0,"2024-09-25",0
"Brendon Little",21574,"2024-09-23","BOS",14,2024,"TOR","H",27,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2.31606242325356,0,0,0,0,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,76.9525195600348,76.9288520456552,2,0.333333333,0.666666666,0,0,0,0,0,6,5,11,0.0189179964363575,0,0.0189179964363575,0.479000002145767,0.0506075024604797,0.250200003385544,0.331000000238419,0.331000000238419,0.24099999666214,1,1,0.0757753178477287,-0.000163822322662918,0,0,0.54545455,95,NA,NA,0.18181818,95.5,0.27272727,87.66666667,NA,0.549487411975861,NA,0.325846672058105,-0.159724667668343,9.15812353293101,NA,16.2923336029053,-5.32415558894475,0.14285714,0.75,0.36363636,0,1,0.75,0.36363636,0.33333333,0.09090909,2,1,0,1,0,2,3,0.66666667,0.33333333,0,0.33333333,0,0.66666667,6.22820573169423,73.96753,76.97169,57.32136,20,60.09853,20,29.13659,64.03184,25.11214,44.68707,68.48765,20,0.45548,4.76031,136.12,127.02,170.62,130.62,43.04,62.24,98.98,96.38,114.84,127.867272727273,98.5454545454545,130.92,0.18181818,0.54545455,0.27272727,95.3499984741211,95.2666625976562,87.5999959309896,1.61910247802734,11.0366274515788,-0.262661516666412,5.99348592758179,1.73828268051147,-3.00726540883382,0.330024726688862,0.557353653013706,-0.162922959774733,16.5012363344431,9.28922755022844,-5.43076532582442,0.14285714,0.75,0.36363636,0,1,0.75,0.36363636,21.875,0.27272727,0.18181818,0.54545455,NA,87.1488952636719,94.8774490356445,94.8263956705729,NA,-1.1322713692983,1.13153600692749,10.9038836161296,NA,-5.4052734375,4.91771507263184,0.183123826980591,NA,-0.162922959774733,0.330024726688862,0.557353653013706,NA,-5.43076532582442,16.5012363344431,9.28922755022844,NA,0.14285714,0.75,0.36363636,0,1,0.75,0.36363636,3,80.9099324544271,-28.4839223225911,0,0,97.87,1,0.33333333,"2024-09-23",0
"Brendon Little",21574,"2024-09-21","@TBR",14,2024,"TOR","A",27,0,0,0,1,0,0,0,0,0,0,0,1.1,4,0,0,0,0,1,0,0,1,0,1,6.75000160932579,6.75000160932579,0,1,0,0,2,0,0,0,0,0,0,0.25,0.25,0,5.04972908401489,0,0,0.750000178813977,0,1,3.91647995710377,-3.91647995710377,3.91647995710377,0,95.6164414772146,95.5870336876253,2,0,1,0,0,0,1,6.75000160932579,5,7,12,0.0561920255422592,-0.0456199944019318,0.101812019944191,1.29199993610382,0.141900062561035,0.804942846298218,0.903225004673004,0.61980003118515,0.355599999427795,1,1,0.0783155336976051,-0.00850681895384925,0,0,0.5,93.5,NA,NA,0.41666667,94.4,0.08333333,86,NA,-0.00494300574064255,NA,0.478397816419601,-0.0968978852033615,-0.0823834290107091,NA,9.56795632839203,-9.68978852033615,0.28571429,0.8,0.5,0,0.5,0.33333333,0.41666667,0.75,0.33333333,1,1,0,2,0,0,2,0.5,0.5,0,1,0,0,3.09268268417871,54.39577,79.3519,37.1419,20,40.92458,20,32.08933,54.00338,20,31.67455,63.98331,20,1.2639,5.97294,120.3,43.42,77.82,77.02,-98.46,-92.26,97.02,96.14,85.62,106.993333333333,53.5633333333333,66.8966666666667,0.41666667,0.5,0.08333333,94.5400024414062,93.4166666666667,85.8000030517578,1.94446678161621,9.63793563842773,1.02287948131561,5.18387413024902,-0.0328183894356092,-3.38965678215027,0.287831071764231,-0.00814607366919518,-0.0991095378994942,5.75662143528461,-0.135767894486586,-9.91095378994942,0.33333333,0.66666667,0.5,0,0.5,0.33333333,0.5,17.125,0.08333333,0.41666667,0.5,NA,85.5152969360352,94.2675415039062,93.1479288736979,NA,0.340658992528915,1.63221797943115,9.43562825520833,NA,-5.98701000213623,3.95923004150391,-1.86943117777507,NA,-0.0991095378994942,0.287831071764231,-0.00814607366919518,NA,-9.91095378994942,5.75662143528461,-0.135767894486586,NA,0.28571429,0.6,0.41666667,0,0.66666667,0.4,0.41666667,2,84.4091110229492,-47.3571548461914,0,0,87.9164,0,0,"2024-09-21",0
"Brendon Little",21574,"2024-09-17","@TEX",14,2024,"TOR","A",27,0,0,9,1,0,0,0,0,0,0,0,1,4,1,1,1,1,0,0,0,0,0,0,0,0,9,0,0,0,2,2,0,0,0,0,0,0,0,0,6.03472908401489,9,0.25,1,0,1,16.1664797782898,-7.16647977828979,6.19049659073353,226.31131824936,400.460422327505,152.159040742638,1,0,0.5,0.5,0,0.5,1,9,7,11,18,-0.0413519665598869,-0.058056004345417,0.0167040377855301,-0.50900000333786,-0.0528556630015373,0.238999992609024,0.391999989748001,0.391999989748001,0.225199997425079,1,1,-0.115515783429146,-0.0575050025067513,0,0,0.38888889,94.57142857,NA,NA,0.22222222,94.25,0.38888889,86.57142857,NA,-1.02439510822296,NA,0.375105559825897,-0.0871230363845825,-14.6342158317566,NA,9.37763899564743,-1.24461480549404,0.27272727,0.71428571,0.44444444,1,1,1,0.38888889,0.75,0,2,0,2,1,1,2,4,0.5,0,0.5,0.25,0.25,0.5,14.9669518917451,45.8431,58.81209,42.611,27.53169,50.33273,25.57231,57.6958,44.02302,60.02701,37.93946,50.56359,33.81367,0.87469,5.38913,117.5,105.46,119.4,122.8,78.48,92.12,83.9,165.82,164.78,112.094444444444,108.381111111111,118.875555555556,0.22222222,0.38888889,0.38888889,94.0250015258789,94.7285679408482,86.4428536551339,1.90241205692291,10.4243382045201,-0.815017427716936,4.71965789794922,0.553639275687081,-4.04555674961635,0.380723420530558,-1.02019106224179,-0.0899568013846874,9.51808551326394,-14.5741580320256,-1.28509716263839,0.25,0.6,0.44444444,1,1,1,0.55555556,20,0.38888889,0.22222222,0.38888889,NA,86.868399483817,94.4369964599609,95.1967424665179,NA,-1.69771371568952,0.859626471996307,9.54863630022321,NA,-5.65485164097377,3.58623242378235,-0.757618018559047,NA,-0.0899568013846874,0.380723420530558,-1.02019106224179,NA,-1.28509716263839,9.51808551326394,-14.5741580320256,NA,0.2,0.75,0.44444444,1,1,1,0.44444444,4,85.9586868286133,16.0749664306641,1,0.25,102.758,2,0.5,"2024-09-17",0
"Brendon Little",21574,"2024-09-13","STL",14,2024,"TOR","H",27,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,2,0,0,0,0,0,0,0.33333333,0,0.33333333,-0.694826464786218,0,0,0,0,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,27.1820729804239,27.173712862954,2,0,1,0,0,0,0,0,4,8,12,0.307004004716873,-0.00250082765705884,0.309504836797714,1.08299994468689,0.114421546459198,3.85326671600342,2.66659998893738,2.66659998893738,2.66659998893738,1,1,0.0684630572795868,0.0112106397011651,1,0,0.41666667,94,NA,NA,0.08333333,93,0.5,85.66666667,NA,0.281221956014633,NA,-0.0620911717414856,0.471352279186249,5.62443912029266,NA,-6.20911717414856,7.85587131977081,0.33333333,0.66666667,0.41666667,0.66666667,1,0.8,0.25,0.33333333,0.08333333,0,1,1,0,1,1,2,0,0.5,0.5,0,0.5,0.5,-0.215559452228852,51.63217,62.47726,34.30456,80,57.48303,80,20,43.00424,20,76.27239,57.56726,58.09456,-1.5068,1.81689,112.3,71.5,81.26,82.7,205.96,204.62,95.8,-29.54,-17.26,96.125,130.31,134.73,0.08333333,0.41666667,0.5,93,94.1200012207031,85.6666666666667,1.00913512706757,10.5523765563965,-1.66720088322957,4.58422517776489,0.301725244522095,-4.93182341257731,-0.0633736774325371,0.284998007118702,0.4770746268332,-6.33736774325371,5.69996014237404,7.95124378055334,0.375,0.5,0.41666667,0.66666667,1,0.8,0.33333333,18.11111111,0.5,0.08333333,0.41666667,NA,85.6249491373698,92.9608001708984,94.0696594238281,NA,-2.50881226857503,0.332534998655319,10.0923042297363,NA,-6.54156176249186,3.96153998374939,-0.944511222839356,NA,0.4770746268332,-0.0633736774325371,0.284998007118702,NA,7.95124378055334,-6.33736774325371,5.69996014237404,NA,0.375,0.5,0.41666667,0.66666667,1,0.8,0.33333333,2,88.3671722412109,-18.5395889282227,0,0,98.9123,1,0.5,"2024-09-13",0
"Brendon Little",21574,"2024-09-10","NYM",14,2024,"TOR","H",27,0,0,27.000028163224,1,0,0,0,0,0,0,0,0.1,3,1,1,1,0,1,0,0,1,0,0,0,27.000028163224,27.000028163224,0,0,0,1,1,0,0,0,0,0,0,0.33333333,-0.33333333,11.7253957421829,0,0.5,6.00000625849423,0.5,0.5,12.1664891660311,14.8335389971929,16.7025191161447,678.934662932121,300.919762784323,413.672612664399,1,0,0.5,0.5,0,0,0,0,7,7,14,-0.0409259758889675,-0.0684859603643417,0.0275599863380194,-0.672999978065491,-0.0711040645837784,0.771250009536743,0.567199945449829,0.567199945449829,1.41340005397797,1,1,-0.0780260488390923,0.0249615750849201,0,0,0.42857143,94.33333333,NA,NA,0.21428571,94.66666667,0.35714286,86.6,NA,-1.01462876796722,NA,0.24837289750576,-0.0559702180325985,-16.9104794661204,NA,8.27909658352534,-1.11940436065197,0.36363636,0.66666667,0.42857143,0.75,1,0.83333333,0.21428571,0.33333333,0.07142857,2,0,0,0,1,1,2,1,0,0,0,0.5,0.5,6.201010774711,20,43.76903,20,46.78966,54.94381,34.8466,31.96492,57.37572,56.96032,20.16113,49.20489,20,1.97919,7.04588,97.7,26.74,40.86,138.06,97.48,126.14,98.96,107.98,98,112.384285714286,69.4128571428571,83.5614285714286,0.21428571,0.42857143,0.35714286,94.6666666666667,94.2666625976562,86.7,2.41405010223389,10.9047419230143,-0.460469913482666,5.03725783030192,0.73430856068929,-3.64113388061523,0.2509432323277,-1.02843012660742,-0.0572772920131683,8.36477441092332,-17.1405021101236,-1.14554584026337,0.3,0.75,0.42857143,0.66666667,1,0.83333333,0.28571429,20.18181818,0.35714286,0.21428571,0.42857143,NA,86.6072814941406,94.5915323893229,94.2047017415365,NA,-1.1529655456543,1.62736701965332,10.5750350952148,NA,-5.34371795654297,4.05399672190348,-0.612960497538249,NA,-0.0572772920131683,0.2509432323277,-1.02843012660742,NA,-1.14554584026337,8.36477441092332,-17.1405021101236,NA,0.3,0.75,0.42857143,0.66666667,1,0.83333333,0.28571429,2,86.9368896484375,21.6915893554688,0,0,96.0973,1,0.5,"2024-09-10",0
"Brendon Little",21574,"2024-09-08","@ATL",14,2024,"TOR","A",27,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2.31606242325356,0,0,0,0,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,76.9525195600348,76.9288520456552,2,0.333333333,0.666666666,0,0,0,2,18,4,8,12,0.0436360351741314,0,0.0436360351741314,0.507000029087067,0.0515243895351887,0.572666645050049,0.755999982357025,0.755999982357025,2.48359990119934,1,1,0.0763662084937096,-0.000168239655629648,0,0,0.58333333,94,NA,NA,0.08333333,94,0.33333333,86.5,NA,0.284472286701202,NA,0.0642120540142059,0.366925060749054,4.06388981001718,NA,6.42120540142059,9.17312651872635,0,0.75,0.5,NA,0.83333333,0.83333333,0.66666667,0.33333333,0.08333333,3,0,0,0,2,1,3,1,0,0,0,0.66666667,0.33333333,6.22820573169423,64.49177,70.25131,67.09409,70.68654,46.70168,73.92073,48.48086,53.47317,54.7986,69.90249,56.87625,78.5688,-1.11106,2.4105,111.3,138.98,159.9,124.26,109.22,124.1,68.56,173.26,163.12,112.058333333333,131.916666666667,148.235,0.08333333,0.58333333,0.33333333,93.9000015258789,93.6857125418527,86.4499969482422,4.03874731063843,9.18289075578962,-0.784074306488037,6.54619979858398,0.114201392446245,-4.02078437805176,0.0652216598391533,0.287627208977938,0.371606521308422,6.52216598391533,4.10896012825625,9.29016303271055,0,0.75,0.5,NA,0.66666667,0.66666667,0.66666667,17.77777778,0.33333333,0.08333333,0.58333333,NA,86.6893768310547,94.0677032470703,93.9083164760045,NA,-0.847204864025116,3.87073993682861,9.17848423549107,NA,-5.54816770553589,5.49615001678467,-1.12393583570208,NA,0.371606521308422,0.0652216598391533,0.287627208977938,NA,9.29016303271055,6.52216598391533,4.10896012825625,NA,0,0.75,0.5,NA,0.83333333,0.83333333,0.66666667,3,94.2945760091146,-9.97303771972656,0,0,101.302,2,0.66666667,"2024-09-08",0
"Brendon Little",21574,"2024-09-07","@ATL",14,2024,"TOR","A",27,0,0,0,1,0,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-1.18327091598511,0,0,0,0,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,76.9525195600348,76.9288520456552,2,0,1,0,0,0,0,0,0,4,4,0.0247599985450506,0,0.0247599985450506,0.411999940872192,0.0418699122965336,0.389799982309341,0.292999982833862,0.585999965667725,NA,0,1,0.0627701878547668,0.000749565015312384,0,0,1,94.5,NA,NA,NA,NA,NA,NA,NA,0.424170464277267,NA,NA,NA,10.6042616069317,NA,NA,NA,NA,1,1,NA,0.5,0.5,1,1,0.5,1,1,0,0,2,0,2,0.5,0.5,0,0,1,0,1.36348034327887,74.49007,53.41565,77.76577,NA,NA,NA,NA,NA,NA,80,47.84716,80,-2.04013,1.0169,103.58,102.48,97.36,NA,NA,NA,NA,NA,NA,103.58,102.48,97.36,NA,1,NA,NA,94.1500015258789,NA,NA,9.97109317779541,NA,NA,0.798934042453766,NA,NA,0.429479386657476,NA,NA,10.7369846664369,NA,NA,1,1,NA,0.5,0.5,1,16,NA,NA,1,NA,NA,NA,94.3930053710938,NA,NA,NA,9.77253246307373,NA,NA,NA,-0.508279740810394,NA,NA,NA,0.429479386657476,NA,NA,NA,10.7369846664369,NA,NA,1,1,NA,0.5,0.5,1,2,82.4512481689453,-14.5881395339966,0,0,92.132,0,0,"2024-09-07",0
"Brendon Little",21574,"2024-09-04","PHI",14,2024,"TOR","H",27,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,1,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0.25,-0.25,7.96547908401489,0,0,1,0,1,9.16647977828979,-9.16647977828979,9.16647977828979,0,226.263859298867,226.194269593759,2,0,1,0,0,0,0,0,8,7,15,0.0200419966131449,-0.0694560036063194,0.0894979983568192,0.110000036656857,0.0116217667236924,0.952199995517731,0.911499977111816,0.953400015830994,1.36339998245239,1,1,0.000395961425965652,0.0206521342550763,0,0,0.33333333,93.8,NA,NA,0.4,93.33333333,0.26666667,86,NA,0.320586711168289,NA,0.372283101081848,-0.353403449058533,6.41173422336578,NA,6.20471835136414,-8.83508622646332,0.27272727,0.75,0.4,1,1,1,0.26666667,0.25,0,1,1,0,0,1,1,2,0.5,0.5,0,0,0.5,0.5,11.8853629723907,20,71.03754,20,20,46.94681,20,80,54.62617,20,20.87367,56.77773,20,1.93492,6.97947,112,-55.78,-36.48,69.14,27.66,34.02,66.68,125.4,114.32,82.4426666666667,38.9426666666667,42.64,0.4,0.33333333,0.26666667,93.25,93.8200012207031,85.9749984741211,1.89700031280518,9.81496505737305,0.465113967657089,4.72894287109375,0.605788326263428,-3.38851928710938,0.377485923469067,0.324776865541935,-0.362006295472383,6.29143205781778,6.4955373108387,-9.05015738680959,0.2,0.8,0.4,1,1,1,0.33333333,20.90909091,0.26666667,0.4,0.33333333,NA,85.9411239624023,93.2325134277344,93.8192810058594,NA,-0.00054662162438035,1.22944951057434,9.63037796020508,NA,-5.14416265487671,3.63658491770426,-0.580144214630127,NA,-0.362006295472383,0.377485923469067,0.324776865541935,NA,-9.05015738680959,6.29143205781778,6.4955373108387,NA,0.22222222,0.66666667,0.4,1,1,1,0.4,2,89.2947540283203,-4.78741216659546,0,0,101.082,1,0.5,"2024-09-04",0
